[00:00:05.635 --> 00:00:06.136]  Stand by.
[03:15:23.260 --> 03:15:24.361]  But I just read the update.
[03:15:24.361 --> 03:15:28.007]  They actually, it just popped up on Twitter a minute ago before we came in here.
[03:15:28.007 --> 03:15:34.497]  They're actually allowing Christmas trees to come back and the celebration of Christmas along with the Pledge of Allegiance.
[03:15:34.497 --> 03:15:35.940]  They didn't say anything about Thanksgiving though.
[03:15:37.321 --> 03:15:44.624]  It's so funny, man, because we've seen all these stories, Biggs, I believe it was in California, they're telling the kids they couldn't wear American flag shirts.
[03:15:44.624 --> 03:15:50.946]  All this type of stuff, and just like you said, if you go to some foreign country and tell them not to wave their flag, I think they'd have a pretty big issue with it.
[03:15:50.946 --> 03:15:54.447]  Yeah, I'm pretty sure if I went to Belgium and I said, hey man, your flag offends me.
[03:15:54.947 --> 03:15:56.167]  You need to take that down.
[03:15:56.167 --> 03:15:58.328]  Instead, I need you to raise my flag.
[03:15:58.328 --> 03:16:01.749]  I need you guys to be more tolerant of me and stop speaking your gibberish.
[03:16:01.749 --> 03:16:04.290]  Start speaking English because I don't understand you.
[03:16:04.290 --> 03:16:07.371]  They're going to backhand me and tell me to get the hell out of there and go back to America.
[03:16:07.371 --> 03:16:13.073]  Which is why I don't understand why people understand that here in our country, we're a country founded on Christianity.
[03:16:14.173 --> 03:16:17.576]  You either need to assimilate, you need to be an American.
[03:16:17.576 --> 03:16:19.318]  Anybody can just move somewhere and save or something.
[03:16:19.318 --> 03:16:20.639]  No, it takes more than that.
[03:16:20.639 --> 03:16:21.860]  You've got to conform to our ways.
[03:16:21.860 --> 03:16:23.361]  You have to work at being American.
[03:16:23.361 --> 03:16:24.222]  I want to see you get a job.
[03:16:24.222 --> 03:16:25.323]  I want to see you do something.
[03:16:25.323 --> 03:16:26.584]  That's what it means.
[03:16:26.584 --> 03:16:31.509]  And I was thinking about this, because just like we're talking about the flags and the Pledge of Allegiance and all this.
[03:16:32.209 --> 03:16:33.090]  I was watching some fights.
[03:16:33.090 --> 03:16:37.173]  I'm not a big UFC guy, but I was watching some fights on this past Saturday.
[03:16:37.173 --> 03:16:42.117]  And you know, the thing that everybody does, or a lot of the fighters do, once they win the fight, they'll come out with their flag.
[03:16:42.117 --> 03:16:44.999]  You know, they come from Brazil, they come from Mexico, or wherever.
[03:16:44.999 --> 03:16:47.240]  And they jump up there with their flag and they celebrate.
[03:16:47.240 --> 03:16:50.423]  All these people who are offended by flags, I have this idea.
[03:16:50.423 --> 03:16:51.804]  Go to a UFC fight.
[03:16:52.344 --> 03:16:58.490]  And if you're that offended by somebody's flag, hop the guardrail, jump into the ring and tell that guy to drop his flag.
[03:16:58.490 --> 03:17:01.973]  And then when you regain consciousness, you tell me if that was worth your time.
[03:17:01.973 --> 03:17:04.836]  That's what I think people need to do if they're really offended.
[03:17:04.836 --> 03:17:06.097]  Because it's a thing of pride.
[03:17:06.097 --> 03:17:08.579]  That's the whole thing about the flag.
[03:17:08.579 --> 03:17:10.962]  It represents more than, it's not just a piece of cloth.
[03:17:11.641 --> 03:17:17.906]  It represents the people who died for the values, to die for what that country represents.
[03:17:17.906 --> 03:17:23.471]  That flag is a representation of what we as Americans want to portray out and what we believe in.
[03:17:23.471 --> 03:17:25.253]  That's right.
[03:17:25.253 --> 03:17:27.455]  Even though the country has gone to complete and total...
[03:17:28.962 --> 03:17:31.524]  Yeah.
[03:17:31.524 --> 03:17:35.367]  I still want it to represent more than what it looks like now to the outside looking in.
[03:17:35.367 --> 03:17:40.411]  That's why I see a lot of patriots that are fighting for this country and standing up and saying, you know what, enough is enough.
[03:17:40.411 --> 03:17:41.472]  Fly the American flag.
[03:17:43.015 --> 03:17:44.497]  Play Christmas music, who cares?
[03:17:59.190 --> 03:18:00.972]  Oklomo, however you pronounce it.
[03:18:00.972 --> 03:18:05.135]  And they're jumping on the bandwagon saying that if you are on the no-fly list, you can't buy a gun.
[03:18:05.135 --> 03:18:09.078]  But we've documented several, several times of the fallacies of the no-fly list.
[03:18:09.078 --> 03:18:12.100]  You know, little 8-year-old Boy Scouts not being allowed planes.
[03:18:12.100 --> 03:18:16.043]  And to be clear, the Boy Scouts aren't on the fly list, no-fly list.
[03:18:16.043 --> 03:18:19.186]  It's somebody with a similar name or a birthday or a place of origin.
[03:18:19.406 --> 03:18:28.668]  For example, I was just at GT Distributors, this little store up the place where I usually go and look at guns that you showed me to where I can get all my cool tactical gear, and there was a police officer in uniform trying to buy a gun.
[03:18:28.668 --> 03:18:33.429]  He was told no because his name, when they came back, is similar to another guy with warrants in California.
[03:18:33.429 --> 03:18:34.870]  He has the exact same name.
[03:18:34.870 --> 03:18:39.791]  So they declined it and blocked it and said no, and he had to wait and then file something to get that.
[03:18:40.091 --> 03:18:40.291]  Yes.
[03:18:56.471 --> 03:19:00.394]  A horrible situation, and he used it to exploit his own agenda.
[03:19:00.394 --> 03:19:04.958]  That's something he's been looking for to happen, so he can go, okay, now let's go ahead and push this.
[03:19:04.958 --> 03:19:07.900]  Just like with the Umpqua Community College shooting in Oregon.
[03:19:07.900 --> 03:19:10.502]  He took that and used that to push for gun control.
[03:19:10.502 --> 03:19:13.064]  Now he's using this to push for this no-fly thing.
[03:19:13.064 --> 03:19:14.906]  And like you said, anybody can get put on it.
[03:19:15.186 --> 03:19:17.146]  Because of the similarity of a name?
[03:19:17.146 --> 03:19:19.447]  Or the fact that they just get thrown on by accident?
[03:19:19.447 --> 03:19:25.268]  Or maybe it's not an accident, maybe there's this whole secret list and they just don't like certain people based off your Facebook posts.
[03:19:25.268 --> 03:19:29.529]  And the thing about it is, they've recently changed it to where now you can fight it.
[03:19:29.529 --> 03:19:32.149]  I don't know, I'm not sure how successful those fights have been.
[03:19:32.149 --> 03:19:32.869]  Probably not.
[03:19:32.869 --> 03:19:37.790]  But, you know, it used to be like you got put on it and you had no idea how you got on it, what was going to happen next.
[03:19:37.790 --> 03:19:39.590]  So we'll have more on this.
[03:19:39.590 --> 03:19:42.111]  Is that Alex Jones sneaking into the studio?
[03:19:42.811 --> 03:19:45.835]  Live coverage tonight, 7 o'clock central!
[03:19:45.835 --> 03:19:48.177]  Tell your friends and family, tune in and spread that link.
[03:19:48.177 --> 03:19:49.859]  InfoWars.com.
[03:19:49.859 --> 03:19:53.503]  Forward slash, absolutely, forward slash, 2016, baby.
[03:19:53.503 --> 03:19:55.405]  You are the power, you are the resistance.
[03:19:55.405 --> 03:19:57.107]  Let's have a million viewers tonight.
[03:19:57.107 --> 03:19:58.349]  I get that on Facebook mentions.
[03:20:00.174 --> 03:20:03.737]  We've had an amazing year here at Supernatural Silver.
[03:20:03.737 --> 03:20:13.486]  We've truly enjoyed the fantastic response from thousands of people as they've tried our extraordinary product, and we're thrilled at the life-changing results people have.
[03:20:13.486 --> 03:20:21.634]  Our company email is continually full of happy, satisfied customers who thank us for the help they've received from Supernatural Silver.
[03:20:21.634 --> 03:20:24.977]  This holiday season, as you think of gifts to give your loved ones,
[03:20:25.297 --> 03:20:30.821]  Consider giving Supernatural Silver, a gift that can help provide good health and wellness.
[03:20:30.821 --> 03:20:38.726]  A gift that can change lives and make a real difference in a world where we are constantly exposed to dangerous health threats.
[03:20:38.726 --> 03:20:42.108]  Give yourself and your loved ones a fighting chance.
[03:20:42.108 --> 03:20:44.010]  Give Supernatural Silver.
[03:20:44.010 --> 03:20:50.514]  Go to SupernaturalSilver.com and use the promo code HOLIDAY2015 for 20% off.
[03:20:50.514 --> 03:20:55.077]  And this holiday season, we wish you and yours the blessings of peace and good health.
[03:20:55.418 --> 03:20:58.870]  From all of us here at SupernaturalSilver.com
[03:20:59.941 --> 03:21:03.144]  A clean, toxic-free body is the foundation of true health.
[03:21:03.144 --> 03:21:05.506]  Deep Cleanze by InfoWarsLife.com.
[03:21:05.506 --> 03:21:12.512]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[03:21:12.512 --> 03:21:17.837]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[03:21:17.837 --> 03:21:26.825]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[03:21:27.245 --> 03:21:36.133]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[03:21:36.133 --> 03:21:43.218]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spike G-Rex herbal processing technique.
[03:21:43.218 --> 03:21:48.583]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you the best.
[03:21:48.883 --> 03:21:54.495]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit Infowarslife.com.
[03:21:54.495 --> 03:21:56.438]  That's Infowarslife.com or call 888-253-3139.
[03:21:59.983 --> 03:22:10.895]  What would your life be like if you woke up each morning with new vitality, feeling better than you have in years, and you noticed a difference in your sleeping patterns, blood sugar levels, and had a sense of well-being overall?
[03:22:10.895 --> 03:22:15.059]  There's something that is changing thousands of people's lives, and you could be one of them.
[03:22:15.059 --> 03:22:17.221]  It's called Heart and Body Extract.
[03:22:17.221 --> 03:22:22.687]  Sharon Harris, co-creator of Heart and Body Extract, talks about the positive effects of Heart and Body Extract.
[03:22:22.827 --> 03:22:32.870]  What happens with the Formula Heart and Body Extract is it's giving the body the necessary vitamins, minerals, amino acids, enzymes, and phytonutrients so the body will heal itself.
[03:22:32.870 --> 03:22:39.352]  And yes, the body does have the ability to balance blood pressure, balance cholesterol, clean and unclog the arteries.
[03:22:39.352 --> 03:22:42.693]  It can also work on balancing the circulation for a diabetic.
[03:22:42.693 --> 03:22:44.754]  So the body is an amazing thing.
[03:22:44.754 --> 03:22:47.875]  It simply needs some help so it has the tools to heal itself.
[03:22:47.895 --> 03:22:51.018]  Winter has just begun, and are you already tired of being cold?
[03:22:51.018 --> 03:22:53.159]  How would you like to never be cold again?
[03:22:53.159 --> 03:22:57.583]  This is Dale with Fortress Clothing, and I'm here to tell you, you will never be cold again with Fortress.
[03:23:12.614 --> 03:23:22.501]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand deer hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[03:23:22.501 --> 03:23:26.524]  If you snowmobile, ski, snowboard, get Fortress.
[03:23:26.524 --> 03:23:33.148]  Sledding with the kids, shoveling the walks, shopping, or if you or your spouse get cold feet at home, get Fortress.
[03:23:33.148 --> 03:23:41.514]  If you're stuck outside working in the cold or find yourself in an emergency situation, get our winter bug out bag and you will never be cold again.
[03:23:42.014 --> 03:23:46.179]  Fortress is the answer, so quit complaining and go to FortressClothing.com.
[03:23:46.179 --> 03:23:49.382]  It's a mid-layer garment that goes with anything you want to wear.
[03:23:49.382 --> 03:23:53.446]  Enter coupon code RADIO and get 20% off any item.
[03:23:53.446 --> 03:23:55.749]  Go now while we still have inventory.
[03:23:55.749 --> 03:23:56.690]  FortressClothing.com
[03:24:09.079 --> 03:24:11.000]  And welcome back to the Alex Jones Show.
[03:24:11.000 --> 03:24:13.240]  Jakari Jackson and Joe Biggs in studio.
[03:24:13.240 --> 03:24:17.722]  I want to take a moment and tell you about the great specials at InfoWarshop.com.
[03:24:17.722 --> 03:24:20.963]  Free shipping on all InfoWars.com orders.
[03:24:20.963 --> 03:24:23.844]  Only three days left for guaranteed Christmas delivery.
[03:24:23.844 --> 03:24:26.565]  And one of the great things you can get is the Essentials Pack.
[03:24:26.565 --> 03:24:30.706]  That is Survival Shield X2, Super Male, Super Female Vitality,
[03:24:31.306 --> 03:24:31.786]  We're good to go.
[03:24:55.543 --> 03:25:01.828]  Yeah, my question is concerning basically the election tonight, or the GOP election tonight.
[03:25:01.828 --> 03:25:13.599]  And from what I've seen on TV, they're basically ridiculing Cruz about him and his carpet bombing statement about destroying ISIS.
[03:25:13.599 --> 03:25:19.464]  And my question to you guys is, what do you think or what do you believe has the best plan
[03:25:20.023 --> 03:25:29.789]  I'm going to say Lindsey Graham because he just wants to blow up the whole universe to get rid of ISIS.
[03:25:29.789 --> 03:25:31.590]  I mean, that's someone who wants to just bomb everything.
[03:25:31.590 --> 03:25:35.252]  But I mean, militarily speaking, I mean, he could carpet bomb stuff.
[03:25:35.252 --> 03:25:39.775]  And I mean, I was reading some articles my special operations buddies put out.
[03:25:39.775 --> 03:25:42.056]  It takes more than just bombing a whole bunch of buildings.
[03:25:42.056 --> 03:25:42.797]  Yes.
[03:25:42.797 --> 03:25:44.178]  Especially when our government
[03:25:44.838 --> 03:25:51.669]  I was reading articles earlier today, they know where these propaganda sites are, where these guys are running social media over there, they won't bomb them.
[03:25:51.669 --> 03:25:54.573]  You know, so if they bomb something, what are they going to be bombing?
[03:25:55.373 --> 03:26:03.675]  And on top of that, when you bomb, say if they went in there and just bombed the entire area, all the people who survived, you've created a whole other generation of people.
[03:26:03.675 --> 03:26:04.376]  Of enemies, yeah.
[03:26:04.376 --> 03:26:05.796]  Of enemies who are going to want to go in.
[03:26:05.796 --> 03:26:07.737]  You've got to go in there and you've got to attack the money.
[03:26:07.737 --> 03:26:08.877]  You've got to take that money away.
[03:26:08.877 --> 03:26:12.038]  You've got to stop that from happening so they can't grow any further.
[03:26:12.038 --> 03:26:12.898]  Then you've got to go in.
[03:26:12.898 --> 03:26:14.459]  This all has to be done strategically.
[03:26:14.459 --> 03:26:16.979]  You can't just do it with bombs and bullets.
[03:26:16.979 --> 03:26:19.120]  I mean, that works, you know, essentially in some ways.
[03:26:19.620 --> 03:26:20.820]  But this is an idea.
[03:26:20.820 --> 03:26:23.161]  It's just like they could come in and bomb America.
[03:26:23.161 --> 03:26:23.721]  But guess what?
[03:26:23.721 --> 03:26:27.503]  America will prevail because America is an idea, a way that we believe.
[03:26:27.503 --> 03:26:28.043]  And we're going to go.
[03:26:28.043 --> 03:26:29.664]  And it's the same thing with these guys.
[03:26:29.664 --> 03:26:31.744]  They're willing to die and fight for this idea.
[03:26:31.744 --> 03:26:33.345]  So you can bomb them to hell and back.
[03:26:33.345 --> 03:26:40.247]  But at the end of the day, you're just going to create more people who want to stand up and they're going to be angrier and they're going to hate us for the rest of their lives.
[03:26:40.247 --> 03:26:41.388]  Well, thank you so much, Marcus.
[03:26:41.388 --> 03:26:43.849]  Let's move on now to Mark in California.
[03:26:43.849 --> 03:26:47.670]  Now, Wayne Mattson has left us, but you're welcome to go ahead and make your statement, Mark.
[03:26:49.741 --> 03:26:57.787]  Yes sir, I would like to ask if Wayne Madsen knew Michael Aquino, because he was the former head of the NSA.
[03:26:57.787 --> 03:27:06.373]  And I was hoping maybe you could ask him and talk about this guy, because he's a devil worshipper there in San Francisco.
[03:27:06.373 --> 03:27:08.155]  Very, very despicable man.
[03:27:08.155 --> 03:27:15.840]  As a matter of fact, if I had to put my finger on the most wicked man that's living, it'd be either him or David Rockefeller.
[03:27:15.840 --> 03:27:18.883]  And so I was wondering if Wayne Madsen actually
[03:27:19.997 --> 03:27:29.883]  You know, I know he knows about him because he was the top dog, you know, and if he knew anything about him, because he was friends with Anton LaVey.
[03:27:29.883 --> 03:27:36.347]  And Oprah, you know, Anton LaVey started the Church of Satan in San Francisco.
[03:27:36.347 --> 03:27:47.834]  And when Oprah interviewed Michael Aquino, the former head of the NSA, there were like 800 people that called the FBI and said that they had been messed with as a child by Michael Aquino.
[03:27:48.454 --> 03:27:50.174]  Yes, this is Harvey in Florida.
[03:27:50.174 --> 03:27:51.135]  Hello, Jakari and Joe Biggs.
[03:27:51.135 --> 03:27:51.595]  How's it going?
[03:27:51.595 --> 03:27:53.335]  Yeah, I wanted to talk to Wayne Madsen, but
[03:28:18.709 --> 03:28:27.931]  They were talking, him and Alex were talking about how the military generals are like cowards and they don't get involved with saying anything or stopping anything.
[03:28:27.931 --> 03:28:42.874]  And I want to bring up Bradley Manning, who was like the bravest soldier in my memory for getting that classified information, the emails and the information on the State Department and passing it on to Julian Assange.
[03:28:42.874 --> 03:28:45.855]  Now what they did to that poor guy, they tortured him for two years.
[03:28:47.344 --> 03:28:51.747]  Then they tried him in a kangaroo court in Virginia.
[03:28:51.747 --> 03:29:00.053]  I think it was in Virginia there at Fort, or whatever that name is, but the NSA is located over there.
[03:29:00.053 --> 03:29:00.453]  Fort Lee.
[03:29:00.453 --> 03:29:00.593]  And, um,
[03:29:03.484 --> 03:29:06.468]  This guy, like he went into the gulag, he disappeared.
[03:29:06.468 --> 03:29:12.015]  They said he was gay, and they gave him a girl's name and all this crap.
[03:29:12.015 --> 03:29:14.058]  What do you two gentlemen think about that fact?
[03:29:14.058 --> 03:29:16.581]  Did you show you were in the military?
[03:29:16.581 --> 03:29:20.386]  I'd like to get your take on it, because to me, he's the bravest soldier we had.
[03:29:22.406 --> 03:29:24.548]  I don't share the same sentiments in a sense.
[03:29:24.548 --> 03:29:32.212]  I mean, you know, when you go about something like that, you can put people's lives at danger when you're releasing things like that.
[03:29:32.212 --> 03:29:33.733]  But that's just from a soldier's standpoint.
[03:29:33.733 --> 03:29:42.238]  I mean, not being in that situation, and when someone leaks something, you not have to worry about dying, and then I do out there on the ground, it's a little different.
[03:29:42.238 --> 03:29:43.279]  Alright, well thank you so much.
[03:29:43.279 --> 03:29:46.221]  We'll come back right after this break with more calls on the Alex Jones Show.
[03:29:49.127 --> 03:29:53.060]  We're on the march, the empire's on the run.
[03:29:53.060 --> 03:29:55.748]  Alex Jones and the GCN Radio Network.
[03:29:59.818 --> 03:30:05.519]  A New York City principal has banned Christmas and the Pledge of Allegiance, reports EAG News.
[03:30:05.519 --> 03:30:14.962]  The new principal has also eliminated Thanksgiving, despite clear notice from the city's Department of Education allowing for holiday themes and symbols, the New York Post writes.
[03:30:14.962 --> 03:30:17.242]  We definitely can't say Christmas.
[03:30:17.242 --> 03:30:22.583]  Nothing with Christmas on it, nothing with Santa, a local PTA president told the news site.
[03:30:22.583 --> 03:30:23.744]  No angels.
[03:30:23.744 --> 03:30:28.545]  We can't even have a star because it can represent a religious system, like the Star of David.
[03:30:29.185 --> 03:30:37.026]  The report states that about 95% of the students at Brooklyn's PS169 are either Hispanic or Asian.
[03:30:37.026 --> 03:30:45.368]  And the assistant principal announced last month that the school is changing its holiday traditions to be sensitive to the diversity of our families.
[03:30:45.368 --> 03:30:48.889]  Not all children celebrate the same holidays, he added.
[03:30:48.889 --> 03:30:53.049]  And the Pledge of Allegiance was also ditched when the principal took office.
[03:30:53.049 --> 03:30:56.770]  You can find more reports on InfoWars.com.
[03:30:59.668 --> 03:31:01.289]  Clean, pure drinking water.
[03:31:01.289 --> 03:31:02.790]  You can't survive without it.
[03:31:02.790 --> 03:31:03.991]  But where do you get it?
[03:31:03.991 --> 03:31:09.975]  Alexa Pure Pro is a brand new, groundbreaking, gravity-fed water filtration system that is like no other.
[03:31:09.975 --> 03:31:15.679]  The Alexa Pure Pro transforms water from virtually any fresh source into clean, healthy drinking water.
[03:31:15.879 --> 03:31:32.761]  Pairing the unprecedented superfiltration power of an all-new Gravity Block Core with a hybrid chromatic shell, it removes up to 99.999% of impurities, including bacteria, viruses, fluoride, disinfectants, volatile organic contaminants, and hormones.
[03:31:33.141 --> 03:31:35.622]  Filter capacity up to 5,000 gallons.
[03:31:35.622 --> 03:31:37.103]  Stainless fuel construction.
[03:31:37.103 --> 03:31:38.124]  Easy assembly.
[03:31:38.124 --> 03:31:39.044]  Low maintenance.
[03:31:39.044 --> 03:31:41.145]  Replacement filters are simple to install.
[03:31:41.145 --> 03:31:48.429]  And now, as part of an exclusive limited-time introductory offer, you can save $20 off the retail price and get free shipping.
[03:31:48.429 --> 03:31:52.752]  This is a limited-time offer, so order your unit today and receive free shipping and $20 off.
[03:31:52.752 --> 03:31:54.213]  Go to InfowarsStore.com or call 888-253-3139.
[03:31:54.213 --> 03:31:55.293]  I want more candy!
[03:31:55.293 --> 03:31:56.634]  I want more baby again!
[03:31:56.634 --> 03:31:57.474]  Mine, mine, mine!
[03:32:02.637 --> 03:32:12.379]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[03:32:12.379 --> 03:32:15.080]  All of our children are hit with modern mind control.
[03:32:15.080 --> 03:32:18.641]  Television, music, fast food, GMOs, sugars, you name it.
[03:32:18.641 --> 03:32:24.962]  Young humans have not yet developed their nervous system and are being hammered daily by globulous concoctions.
[03:32:24.962 --> 03:32:29.783]  It's no wonder they can't focus and calm down and then are put on dangerous psychotropic drugs.
[03:32:30.083 --> 03:32:36.468]  Working with my team we set out to find the best formula with the highest quality ingredients that children would actually like and take.
[03:32:36.468 --> 03:32:44.214]  We worked with the leading manufacturer in nutritional supplements that are safe for children to bring you the most affordable and powerful calming formula out there.
[03:32:44.214 --> 03:32:51.760]  Introducing Child Ease with herbs and calming extracts like chamomile and lemon balm and essential nutrients that taste great.
[03:32:51.760 --> 03:32:55.363]  Obtain your Child Ease today at InfoWarsLife.com.
[03:32:55.363 --> 03:32:58.285]  That's Child Ease exclusively at InfoWarsLife.com.
[03:33:11.513 --> 03:33:14.958]  President Obama's record-breaking national debt.
[03:33:14.958 --> 03:33:18.264]  Raising the debt ceiling, which has been done over a hundred times, does not
[03:33:19.474 --> 03:33:20.595]  Increase our debt.
[03:33:20.595 --> 03:33:31.783]  Increasing Obamacare tax penalties and premiums, blue-collar depleting trade deals, and overall Salinski-esque tactics are demolishing the American middle class.
[03:33:31.783 --> 03:33:47.615]  As we near the finish line of Obama's two terms, the only change we've experienced is a totalitarian transformation of the presidential office begun by his criminal counterparts that have continuously seized the throne since JFK was gunned down in Dallas.
[03:33:51.095 --> 03:33:59.203]  Breitbart reports Pew Research found that the share of American adults living in middle income households has fallen from 61% in 1971 to 50% in 2015.
[03:33:59.203 --> 03:34:02.987]  The share living in the upper income tier rose from 14% to 21% over the same period.
[03:34:02.987 --> 03:34:06.830]  Meanwhile, the share in the lower income tier increased from 25% to 29%.
[03:34:15.839 --> 03:34:18.801]  Manufacturing accounted for 26% of employed adults in 1971, compared with 11% in 2014.
[03:34:18.801 --> 03:34:23.845]  A Gallup poll discovered that since the year 2000 through 2008, 10% of middle class to upper middle class of Americans transferred into the lower class.
[03:34:35.335 --> 03:34:40.940]  62% of Americans have under $1,000 in savings.
[03:34:40.940 --> 03:34:49.507]  Meanwhile, Obamacare will raise the penalty next year by 50% for not participating to $1,000.
[03:34:49.507 --> 03:34:53.270]  Just to make sure that anybody struggling can't get ahead.
[03:34:53.270 --> 03:35:01.998]  So their goal has always been to eliminate the middle class, raise taxes, give away their health care to poor and illegals, flood the country with immigrants,
[03:35:02.718 --> 03:35:04.800]  Degrade our position abroad.
[03:35:04.800 --> 03:35:15.448]  Do everything they can to eliminate the foundation of what supports the free market system and that is the only threat to their having a permanent hold on power.
[03:35:15.448 --> 03:35:17.610]  The goal is to keep a permanent hold on power.
[03:35:18.391 --> 03:35:28.096]  When I grew up, I guess it was the years before you grew up, but we had a country of middle-class families who had intact nuclear families.
[03:35:28.096 --> 03:35:35.100]  That is, the mother and father were married to each other and raising their own children in one household.
[03:35:35.100 --> 03:35:39.442]  And now, that's just a minority of people in our country.
[03:35:40.257 --> 03:35:44.900]  But the nuclear family was a self-contained economic unit.
[03:35:44.900 --> 03:35:50.003]  They spent their own money, made their own decisions, decided how they were going to raise their children.
[03:35:50.003 --> 03:35:58.629]  The now pseudo-privileged, financially doomed millennial generation has proclaimed the death of the American dream, according to a Harvard poll.
[03:35:58.629 --> 03:36:07.775]  Blindly throwing their collective votes towards the socialist promises of Bernie Sanders out of total desperation, the millennial generation workforce
[03:36:08.215 --> 03:36:11.257]  Still makes up 40% of the unemployed.
[03:36:11.257 --> 03:36:20.804]  This generation will overtake the baby boomer generation as the nation's largest living population approaching 75 million strong.
[03:36:20.804 --> 03:36:31.251]  A generation that will inherit the mind-controlling PC culture, dwindling middle class numbers, Obamacare penalties and rate hikes, and crippling student debt.
[03:36:31.251 --> 03:36:35.794]  If you thought the middle class was in trouble now, you ain't seen nothing yet.
[03:36:35.794 --> 03:36:37.775]  John Bowne for Infowars.com
[03:36:39.818 --> 03:36:42.482]  Another fantastic report there from John Bowne.
[03:36:42.482 --> 03:36:49.292]  And that's the thing, as we're watching this video with all the college students, if you're listening on the radio, he had several college students featured in that video.
[03:36:50.649 --> 03:36:57.854]  You have all these people who are coming out of school with massive amounts of debt and not a whole lot of prospects for jobs in the future.
[03:36:57.854 --> 03:37:05.519]  You know, a lot of these guys, and including what happened to myself for a period of time, you know, you get out of school and then you just go work some job.
[03:37:05.519 --> 03:37:13.004]  You go work at IHOP, you go work at Denny's, you go work at Walmart or someplace like that, just trying to make your ends meet and then eventually maybe there's some type of
[03:37:13.564 --> 03:37:13.964]  We're good to go.
[03:37:40.740 --> 03:37:43.701]  But let's go ahead and go to James in Washington.
[03:37:43.701 --> 03:37:46.742]  Go ahead, James.
[03:37:46.742 --> 03:37:47.342]  Hey, guys.
[03:37:47.342 --> 03:37:48.243]  How you doing?
[03:37:48.243 --> 03:37:48.643]  Doing good.
[03:37:48.643 --> 03:37:51.004]  Yourself?
[03:37:51.004 --> 03:37:51.944]  Pretty good, man.
[03:37:51.944 --> 03:37:52.944]  Hey, Joe Biggs.
[03:37:52.944 --> 03:37:54.365]  I just want to say God bless, man.
[03:37:54.365 --> 03:37:56.345]  You remind me of my best friend, Mike.
[03:37:56.345 --> 03:37:57.506]  You're like a brother.
[03:37:57.506 --> 03:38:00.687]  Like a brother I'd like to hang out with up here if you ever come up in Seattle.
[03:38:01.684 --> 03:38:04.767]  Well Joe Biggs left us too, I guess I should have mentioned that as well.
[03:38:04.767 --> 03:38:07.449]  But I'm sure he can hear you and he appreciates your call.
[03:38:07.449 --> 03:38:09.030]  Thank you so much, James.
[03:38:09.030 --> 03:38:10.992]  Alright, so we took one call there.
[03:38:10.992 --> 03:38:12.673]  Let's go ahead and go to another video.
[03:38:12.673 --> 03:38:14.335]  This is Trey Gowdy.
[03:38:14.335 --> 03:38:19.800]  And Trey Gowdy is grilling DHS officials on due process oversight and reform committee.
[03:38:19.800 --> 03:38:24.964]  Because, yeah, we have all these DHS guys that we're talking about guys on no-fly list, no-gun-by list.
[03:38:24.964 --> 03:38:27.847]  We've also seen, I believe it was 72 people from DHS.
[03:38:28.487 --> 03:38:32.109]  On the no-fly list, I wonder how seriously that's going to be enforced.
[03:38:32.109 --> 03:38:35.992]  So if the guys are ready, we can go ahead and run that clip.
[03:38:35.992 --> 03:38:38.834]  Let me ask you another question about the terrorism list.
[03:38:38.834 --> 03:38:41.576]  What process is afforded a U.S.
[03:38:41.576 --> 03:38:52.943]  citizen, not someone who's overstayed a visa, not someone who crossed the border without permission, but an American citizen, what process is currently afforded an American citizen before they go on that list?
[03:38:58.240 --> 03:39:04.303]  I'm sorry, there's not a process afforded the citizen prior to getting on the list.
[03:39:04.303 --> 03:39:08.485]  There is a process, should someone feel they are unduly placed on the list.
[03:39:08.485 --> 03:39:09.646]  Yes, there is.
[03:39:09.646 --> 03:39:18.110]  And when I say process, I'm actually using half of the term due process, which is a phrase we find in the Constitution.
[03:39:18.110 --> 03:39:21.812]  That you cannot deprive people of certain things without due process.
[03:39:22.572 --> 03:39:31.455]  So, I understand Mr. Goode's idea, which is wait until your right has been taken from you, and then you can petition the government to get it back.
[03:39:31.455 --> 03:39:33.995]  I understand that that's his idea.
[03:39:33.995 --> 03:39:44.999]  My question is, can you name another constitutional right that we have that is chilled until you find out it's chilled, and then you have to petition the government to get it back?
[03:39:44.999 --> 03:39:46.279]  Is that true with the First Amendment?
[03:39:48.504 --> 03:39:52.286]  Sir, there are strict criteria before... That's not my question, ma'am.
[03:39:52.286 --> 03:39:53.507]  That is not my question.
[03:39:53.507 --> 03:40:03.814]  My question is, what process is afforded a United States citizen before that person's constitutional right is infringed?
