[00:00.000 --> 00:18.480]  Today, that's 1-800-426-6186.
[1:20:07.120 --> 1:20:11.120]  For a limited time, GCN listeners who order online will receive double the active ingredients,
[1:20:11.120 --> 1:20:19.120]  which means you get up to 64 gallons of product absolutely free, save money on daily tasks and be truly prepared for those urgent situations.
[1:20:19.120 --> 1:20:33.120]  For a short tell-all video, go to hazardrid.com or call 800-675-0323. That's 800-675-0323 in order today.
[1:20:33.120 --> 1:20:41.120]  You're listening to GCN, the Genesis Communication Radio Network.
[1:20:47.120 --> 1:20:49.120]  Welcome back, ladies and gentlemen.
[1:20:52.120 --> 1:21:01.120]  Yeah, you know, I don't want to do this service here. I don't want to come on air and just calmly report on this and in a way condition people to accept it.
[1:21:01.120 --> 1:21:13.120]  This is a big deal. This is really bad. Let's say there's a list of 100 things the government checks off to bring a nation to total tyranny and bondage and oppression.
[1:21:13.120 --> 1:21:24.120]  And one of the biggest ones you check off is indoctrinating the youth paramilitarily to train the central government to serve the central government,
[1:21:24.120 --> 1:21:26.120]  to be trained by the central government.
[1:21:26.120 --> 1:21:34.120]  And that is what is happening now. And I keep telling people it's in government documents. It's being set up. It's being done.
[1:21:34.120 --> 1:21:41.120]  When I was in high school, they were just now, this is like 18 years ago. I'm hard to believe I'm getting that old.
[1:21:41.120 --> 1:21:50.120]  They were already setting up that you could take a law enforcement semester, but then it was just learning about it and I didn't do it.
[1:21:50.120 --> 1:21:58.120]  Now they and I mean, I've gotten to the grants, the federal grants to the schools and the BATF and the FBI or the federal marshals are different grants.
[1:21:58.120 --> 1:22:09.120]  They federalize a local group of police officers or sheriff's deputies and then they go teach the federal curriculum and it is what is in your parents medicine cabinet.
[1:22:09.120 --> 1:22:16.120]  And then it's let's go out with M16s or toy M16s at first than real ones later and do warrant service training.
[1:22:16.120 --> 1:22:24.120]  Let's practice running checkpoints. By the way, it's in the stack of I have time to get to it. Tennessee newspapers have given us credit.
[1:22:24.120 --> 1:22:32.120]  It's up on info wars.com link to the article that we supposedly stopped illegal military checkpoints to be run in Tennessee.
[1:22:32.120 --> 1:22:44.120]  Well, it'd be nice to get the credit and they have the governor statements and others in there, but they, the governor and the state reps said don't have the illegal military checkpoints without warrants.
[1:22:44.120 --> 1:22:49.120]  And it went ahead and happened. So we actually don't deserve the credit, but we did point it out.
[1:22:49.120 --> 1:22:52.120]  I don't even the media is not even getting it right here.
[1:22:52.120 --> 1:23:02.120]  The point is, again, suddenly all over the country, the armies running checkpoints, suddenly they're just popping up with drills and the drills go live and they're searching citizens.
[1:23:02.120 --> 1:23:08.120]  This is to acclimate and to test which cities, which counties, which states will go along with takeover.
[1:23:08.120 --> 1:23:16.120]  And then why would the military want to take over because they work under North com, which is publicly chartered under the North American Union.
[1:23:16.120 --> 1:23:27.120]  That is public declassified treaties. We are in the N. A. U. And under this new system, we don't have any rights or liberties.
[1:23:27.120 --> 1:23:32.120]  Now they can tell me all day I don't have rights and liberties, but I have them because God gave them to me.
[1:23:32.120 --> 1:23:42.120]  I'm innately a free being even if you're an atheist. Don't you believe that you're innately a free human that the government, you know, can't stick you on the end of a pike out front?
[1:23:42.120 --> 1:23:46.120]  The castle gates for no reason if they want to.
[1:23:46.120 --> 1:23:50.120]  Oh, it's so amazing, ladies and gentlemen to have all of this happening.
[1:23:50.120 --> 1:23:55.120]  But upon info wars dot com prison planet dot com story by Paul Joseph Watson and Kurt Nemo.
[1:23:55.120 --> 1:24:07.120]  Governments ready youth corps to take on vets 10 minutes into an errant mayhem in the town near Mexican border and a gunman, a disgruntled Iraq war veteran has already taken on two people.
[1:24:07.120 --> 1:24:11.120]  One slumped in the desk, the other covered in blood on the floor.
[1:24:11.120 --> 1:24:19.120]  And it goes the New York Times article reporting on how the Boy Scouts are being trained to take on domestic terrorists.
[1:24:19.120 --> 1:24:26.120]  Now, see, if this was just one drill, you'd say, oh, well, in that one scenario, the feds in the grant paid to have this.
[1:24:26.120 --> 1:24:30.120]  No, I have articles in Texas, Michigan, California, New York, everywhere.
[1:24:30.120 --> 1:24:38.120]  I have I have Hobbs Middle School article 1998.
[1:24:38.120 --> 1:24:42.120]  In fact, if folks don't believe this, Google it again, like I did two weeks ago in the air.
[1:24:42.120 --> 1:24:46.120]  Hobbs Middle School Marines.
[1:24:46.120 --> 1:24:50.120]  Marshall law, Hobbs Middle School Marines, Marshall law, 1998.
[1:24:50.120 --> 1:24:54.120]  We have the article saved and a listener faxed it to me.
[1:24:54.120 --> 1:25:00.120]  And I called the Marines up and I said, did you really go in and tell the kids it was Marshall law and put guns in their heads?
[1:25:00.120 --> 1:25:02.120]  And they said, yeah, we were ordered to do so.
[1:25:02.120 --> 1:25:04.120]  The Marines weren't even hiding this.
[1:25:04.120 --> 1:25:12.120]  This has been a long term strategic operation to acclimate everybody, including the children to go along with this.
[1:25:12.120 --> 1:25:17.120]  So they have drills where they come in and say the police come in and say unannounced in Michigan, the AP reported.
[1:25:17.120 --> 1:25:19.120]  We're here to kill you.
[1:25:19.120 --> 1:25:23.120]  We're the home schoolers against public education and for the second amendment.
[1:25:23.120 --> 1:25:24.120]  I'm not kidding.
[1:25:24.120 --> 1:25:25.120]  That's a quote.
[1:25:25.120 --> 1:25:28.120]  And then the kids parents say, what was this about?
[1:25:28.120 --> 1:25:33.120]  Oh, it's about home schoolers attacking those darn home schoolers.
[1:25:33.120 --> 1:25:41.120]  I mean, that'd be like if I didn't like black people and I dressed up, you know, in blackface and went over to my neighbor's house and beat them up and said, I'm a black guy.
[1:25:41.120 --> 1:25:43.120]  I don't like white people.
[1:25:43.120 --> 1:25:47.120]  That would be a false flag attack against black people.
[1:25:47.120 --> 1:25:56.120]  If I burned down the police station and then left evidence that somebody I didn't like did it, that would be a false flag as stage terror attack.
[1:25:56.120 --> 1:26:04.120]  When the police attacked their own police in Denver and in Canada last year and in England, the G 22 weeks ago, and then admit they did it.
[1:26:04.120 --> 1:26:08.120]  That's a false flag to make all the demonstrators look bad.
[1:26:08.120 --> 1:26:10.120]  Well, it's the same thing here.
[1:26:10.120 --> 1:26:21.120]  They have these drills everywhere where veterans go crazy and kill everybody or were home schoolers come to the public school and kill people or were militia members come and kill people.
[1:26:21.120 --> 1:26:26.120]  That's how they demonize gun owners, veterans and others to the local police.
[1:26:26.120 --> 1:26:28.120]  It's a simple false flag.
[1:26:28.120 --> 1:26:29.120]  It's basic psychology.
[1:26:29.120 --> 1:26:31.120]  Do you like being manipulated?
[1:26:31.120 --> 1:26:33.120]  Do you like being suckered?
[1:26:33.120 --> 1:26:36.120]  Do you like being fools?
[1:26:36.120 --> 1:26:41.120]  And now they've announced, you know, I said one million off of Ramam annuals book.
[1:26:41.120 --> 1:26:56.120]  He wrote three years ago and now he's chief of staff and now the White House is saying 8 million 7 to 8 million of the New York Times youth core with police powers with environmental core armed core, you know, all these different
[1:26:56.120 --> 1:27:09.120]  surveillance squads, they're announcing it and what are the number one new federal grants for people to get tuition in the schools?
[1:27:09.120 --> 1:27:22.120]  You know, you know, when a kid has great grades, they get scholarships now to not be a nuclear physicist, to not be a biologist, to not be a teacher, to not be a physical therapist.
[1:27:22.120 --> 1:27:30.120]  No, the biggest piece of the pie now is law enforcement and surveillance and Patriot Act compliance.
[1:27:30.120 --> 1:27:31.120]  And what is it?
[1:27:31.120 --> 1:27:38.120]  Data mining, spying on neighbors, running people's backgrounds when they rent a car, get a hotel, how to be spies.
[1:27:38.120 --> 1:27:47.120]  That's why everywhere you go now, there's security guards and spies and you can't videotape here as you walk down the street, you know, videotaping a landmark.
[1:27:47.120 --> 1:27:49.120]  Acting like everybody's a terrorist.
[1:27:49.120 --> 1:28:06.120]  See, it's all for us, it's all for the people because big offshore banks, publicly and trilateral commission, CFR, Club of Rome, Builderburg Group documents that we post on infowars.com that are now mainstream news, Politico, CBS News.
[1:28:06.120 --> 1:28:14.120]  All these major newspapers, Portugal television, biggest papers in Greece are now quoting us because we get the documents.
[1:28:14.120 --> 1:28:19.120]  We send the teams to Builderburg, I get arrested going to it, Jim Tucker does, others do.
[1:28:19.120 --> 1:28:28.120]  More than a dozen reporters got arrested over the weekend in Greece just trying to cover these people meeting.
[1:28:28.120 --> 1:28:30.120]  And you know what their documents say?
[1:28:30.120 --> 1:28:36.120]  They are going to have a string of controlled financial implosions, each one worse than the next.
[1:28:36.120 --> 1:28:46.120]  Government's going to pose as the savior during each one and use that to get more control for select group of corporations. They're going to hand what's left of the West industry over to select banks.
[1:28:46.120 --> 1:28:52.120]  Then they're going to bankrupt the world currencies total and have a new global digital currency.
[1:28:52.120 --> 1:29:05.120]  See, first they're going to go to regional currencies where you still have your dollar or still have your euro, but it will be digitized and set to the same rate every day, the same currency rate, in the name of stabilization.
[1:29:05.120 --> 1:29:13.120]  Then they're going to go right to thumb scans and retina scans. This has openly been announced. That's the new global currency.
[1:29:13.120 --> 1:29:21.120]  And if your retinas turned off, your thumb prints turned off, no buying, no selling, total control. Think of what Hitler or Stalin would have done with that.
[1:29:21.120 --> 1:29:24.120]  Stay with us. Your call straight ahead.
[1:29:24.120 --> 1:29:26.120]  Let's go.
[1:29:54.120 --> 1:30:05.120]  Audio Genius John Bedini, this unique and patented charging system rejuvenates the electrochemical plate structure in the battery without additives, increasing capacity and maintaining cell integrity.
[1:30:05.120 --> 1:30:10.120]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[1:30:10.120 --> 1:30:18.120]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use. Save your money. Save the environment.
[1:30:18.120 --> 1:30:33.120]  Visit us online at r-charge.com. That's r-charge.com or call us at 989-637-4179. That's 989-637-4179. Be a part of the revolution today.
[1:30:48.120 --> 1:30:53.120]  We have all products produced in distilled water, without use of animal protein, nitrates or saline solutions.
[1:30:53.120 --> 1:31:04.120]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level, and germs can't mutate to be resistant like they can to modern-day antibiotics.
[1:31:04.120 --> 1:31:12.120]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold and copper, with a money-bag guarantee on the colloidal products we produce.
[1:31:12.120 --> 1:31:20.120]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of health care and freedom of speech.
[1:31:20.120 --> 1:31:34.120]  Visit us today at utopiasilver.com. That's utopiasilver.com or call 888-213-4338. 888-213-4338 and help us win this battle.
[1:31:34.120 --> 1:31:41.120]  Spring is here. Growing season. The economy is not getting any better. In fact, it's getting worse.
[1:31:41.120 --> 1:31:46.120]  Think about it. At this rate, how will your life be in a month or even a year?
[1:31:46.120 --> 1:31:52.120]  Maybe you've been putting things off, but the time to act is now. You need to get your seeds before it's too late.
[1:31:52.120 --> 1:32:04.120]  At organicaseed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family for years.
[1:32:04.120 --> 1:32:15.120]  Grow your very own fresh vegetables, wheatgrass, fruits, herbs, rice, tea, coffee, and tobacco with detailed growing guides available to you at no charge.
[1:32:15.120 --> 1:32:24.120]  You can maximize your harvest and investment. And the best part? All orders ship within 24 hours. So head over to organicaseed.com.
[1:32:24.120 --> 1:32:34.120]  That's O-R-G-A-N-I-C-A seed.com. Organica seed.com today.
[1:32:55.120 --> 1:33:04.120]  Using reverse osmosis and a five-stage carbon and UV light filtration system, which produces great tasting water at an unbeatable price.
[1:33:04.120 --> 1:33:13.120]  Finally, drinking water that you control, I use one every day. Say goodbye to expensive water delivery services and storing five gallon bottles of water in your home.
[1:33:13.120 --> 1:33:21.120]  The Acola Blue 28 is shipped right to your home, ready to make close to seven gallons a day right out of the box. They have a 30-day money-back guarantee.
[1:33:21.120 --> 1:33:33.120]  Call Acola Blue right now at 1-800-691-6043. That's 1-800-691-6043. Or visit Acola Blue at e-c-o-l-o-b-l-u-e dot com today.
[1:33:33.120 --> 1:33:54.120]  The GCN Radio Network, providing the world with hard-hitting talk radio. GCN Great Talk Radio starts here.
[1:33:54.120 --> 1:34:05.120]  Folks, it couldn't be creepier when you look at what the federal government's doing. All the warrantless wiretapping and the secret arrest and no rights for detainees.
[1:34:05.120 --> 1:34:12.120]  And if you read that Military Commissions Act, it says that's for U.S. citizens as well, just they just trip you to your citizenship.
[1:34:12.120 --> 1:34:22.120]  And then you look at where the funding's going. I'd say 98% of anti-terrorists focused inward on the American people and the federalized local police.
[1:34:22.120 --> 1:34:30.120]  This is all for you, the youth corps, the Boy Scouts. And I don't want to just sing a lot of the Boy Scouts here because I think it's been a very good organization overall.
[1:34:30.120 --> 1:34:45.120]  I'm talking about all the public schools, the private schools. They're all being recruited into these federal programs where the youth actually march around and train with guns and train for gun confiscation.
[1:34:45.120 --> 1:34:55.120]  And Obama keeps getting up and saying, oh, I don't want your guns. We're not coming after your guns. They've got eight different bills introduced that'll basically completely ban the Second Amendment.
[1:34:55.120 --> 1:35:09.120]  They're trying to get us to sign on and to get the, they've already signed on. They want the Senate to ratify this small arms ban that states that it'll ban the Second Amendment right down to black powder.
[1:35:09.120 --> 1:35:19.120]  I mean, it's all happening. It's all happening. Everybody's worried about the economy and the media keeps saying everything's fine. Yeah, Chrysler's laying off 3,000 and GM's going to lay off, you know.
[1:35:19.120 --> 1:35:27.120]  Well, I say 3,000. I mean, 3,000 dealerships. Yeah, they're shutting all the, you know, all the Chrysler dealerships are almost all of them.
[1:35:27.120 --> 1:35:36.120]  They're going to shut down 3,000 GM ones, but everything's fine. And yeah, $14.8 trillion in seven months has been stolen by offshore banks.
[1:35:36.120 --> 1:35:48.120]  And then the very banking heads meet in secret in Greece and mainstream reporters for the biggest Greek papers, British, biggest British papers and others, London Guardian and others.
[1:35:48.120 --> 1:36:03.120]  And I interviewed them Thursday and Friday. They went and showed up. They went there and they got arrested. They got picked up.
[1:36:03.120 --> 1:36:08.120]  Hey guys, will you guys come reboot the phone system and just shut down in here?
[1:36:08.120 --> 1:36:15.120]  That's why old patent papers seems to be good with these guests. These computers are always frying out. Thank you because I want to go back to the calls here in a moment.
[1:36:15.120 --> 1:36:24.120]  Look, all of this is going on. All of this is happening. And I know it sounds crazy. I can't believe it. I understand.
[1:36:24.120 --> 1:36:31.120]  But they couldn't believe it in Germany in the 30s. They couldn't believe it in Russia in 1918. They couldn't believe it in China.
[1:36:31.120 --> 1:36:40.120]  But it's happening here. And it is the big money setting up a police state to turn the poor people loose on you.
[1:36:40.120 --> 1:36:46.120]  And they're going to tell the poor folks, you know, here's a fancy uniform. Here's a machine gun. And it starts slow.
[1:36:46.120 --> 1:36:52.120]  You know, military in New York after 9 11 and then military at the Kentucky Derby and then military arresting people.
[1:36:52.120 --> 1:36:58.120]  The Kentucky Derby and at college football games in the Super Bowl and then the regular army at high school football games.
[1:36:58.120 --> 1:37:05.120]  It's now happening. These reports are pouring in mainstream news everywhere going. Oh, yes, the army and the Air Force MPs.
[1:37:05.120 --> 1:37:14.120]  We're out in Tennessee. We're out in Arkansas. We're out in Michigan. We're out in New York running checkpoints today just searching people for everyone's safety.
[1:37:14.120 --> 1:37:17.120]  Oh, hi, I'm the regular army. I'm just here to search you.
[1:37:17.120 --> 1:37:29.120]  And then they're having drills in Florida and Arizona and California and upstate New York with foreign troops training with public FEMA drills to take over the U.S.
[1:37:29.120 --> 1:37:36.120]  And saying, oh, yes, in newspaper headlines, foreign troops will help if terrorists strike. They've done this before.
[1:37:36.120 --> 1:37:43.120]  Actually, why Mexican troops helped in New Orleans and Norwegian troops helped after 9 11.
[1:37:43.120 --> 1:37:51.120]  See, they just set the press. It's happening as bad as things are now. This is nothing. What are they planning so bad?
[1:37:51.120 --> 1:37:58.120]  They think we're going to accept youth corps running around in gray, red and blue uniforms.
[1:37:58.120 --> 1:38:04.120]  That's the good that they're in uniforms. You can go to the government websites. I have it up on info wars dot com.
[1:38:04.120 --> 1:38:15.120]  They're in blue, gray and red uniforms running around and they admit they're going to come door to door and already are asking you if you support the president's policies and then marking down your house.
[1:38:15.120 --> 1:38:24.120]  If you support or not, talk about intimidation unspoken. Oh, hi, we're just here in a red uniform to ask and see if it's happening.
[1:38:24.120 --> 1:38:37.120]  People. It's kind of a cool sound. Wow. Wow. Wow. I mean, I don't know what it's going to take to get people.
[1:38:37.120 --> 1:38:44.120]  Oh, man, I wish this wasn't true. Ladies and gentlemen, I wish.
[1:38:44.120 --> 1:38:50.120]  Let's go to your phone calls. Micah North Carolina. Micah on the air. Hey, Alex, how they going? Good.
[1:38:50.120 --> 1:38:57.120]  They just keep incrementally implementing this where it's kind of the ambient background like the frog in the pot and people put up with it.
[1:38:57.120 --> 1:39:04.120]  Oh, they're pulling on all the stops. Let me tell you, punks in red uniforms better not come around my house.
[1:39:04.120 --> 1:39:12.120]  That is un-American as it gets and they equate it with our history. Yes, we're the youth corps in red uniforms and khaki pants.
[1:39:12.120 --> 1:39:21.120]  I mean, you got to see these outfits, man. Black boots and khaki pants and red jackets. I mean, and it's military style.
[1:39:21.120 --> 1:39:27.120]  Unbelievable. Did you do that? Oh, listen, I forgot. The end of the video is the worst. I couldn't listen to it.
[1:39:27.120 --> 1:39:33.120]  It says, and this is my uniform. This is what I wear. I mean, folks, look out, man.
[1:39:33.120 --> 1:39:38.120]  This is crazy. But how do they wear people outrage about it?
[1:39:38.120 --> 1:39:44.120]  Because they drink sodium fluoride, a known sedative in every major government study. And then the public sew brainwash because they made Archie Bunker talk about it.
[1:39:44.120 --> 1:39:49.120]  Some people aren't kooks. They're not Archie Bunker. So they believe sodium fluoride is good for them. And people are fat, dumb and happy.
[1:39:49.120 --> 1:39:54.120]  We had it so good because we had liberty that people just still can't believe it's happening to them. Let me tell you something.
[1:39:54.120 --> 1:40:01.120]  The economy is going to get worse and worse and worse and worse and worse. It's all by design. I'm on record three years ago making a film,
[1:40:01.120 --> 1:40:08.120]  breaking down exactly how the economy would go down because we had spies inside Bouldered Bird because we get arrested.
[1:40:08.120 --> 1:40:14.120]  We get death-threaded. We go through hell to bring the fat, dumb America in this information.
[1:40:14.120 --> 1:40:20.120]  But you may be fat and dumb, but you're my kin, so I still love you and I'm not going to be free if you're not free.
[1:40:20.120 --> 1:40:25.120]  So I'm here saying, wake up, wake up. Our house is on fire and they're like, what's that smell? It smells like a barbecue.
[1:40:25.120 --> 1:40:33.120]  And I'm like, yeah, our house is burning and they're like, shut up. I'm going to lay here on the couch. Listen, get up, man. Come on.
[1:40:33.120 --> 1:40:37.120]  We've been chemically lobotomized, my friend.
[1:40:37.120 --> 1:40:44.120]  And with the entertainment, the average adult watches four hours of TV a day and all the studies admit it literally puts you into a dreamlike state.
[1:40:44.120 --> 1:40:54.120]  That's not my opinion, folks. Google search engine, television watching, dreamlike state, lowered brainwaves, television Alzheimer's.
[1:40:54.120 --> 1:41:00.120]  They've known. They know. They know, ladies and gentlemen, it's brainwashing you.
[1:41:00.120 --> 1:41:09.120]  The flicker rates, the blue mist, you know, that's meant to get your eye focused on that, put you into subconscious mode, bombarding with like 20 different images,
[1:41:09.120 --> 1:41:14.120]  shuts off your conscious thinking, goes right into the subconscious. They knew this 50 years ago.
[1:41:14.120 --> 1:41:26.120]  I wanted to bring your attention. April 3, CDC let out a report that they tested 18 baby formulas. Every one of them had perchlorate rocket fuel.
[1:41:26.120 --> 1:41:33.120]  I know. And also, more than 90% has melamine that kills the kidneys. And they'd always said it was deadly.
[1:41:33.120 --> 1:41:38.120]  But when that came out, they said, we now say melamine is good for you. And they now say mercury is good for you.
[1:41:38.120 --> 1:41:46.120]  Well, that seriously affects the infant brain development. They know it. It's also in 35 states water systems. They won't say which ones.
[1:41:46.120 --> 1:41:47.120]  But here's a kicker, Alec.
[1:41:47.120 --> 1:41:52.120]  M-B-T-E that they ordered put in the gasoline to help the greenhouse gas?
[1:41:52.120 --> 1:41:53.120]  Yep.
[1:41:53.120 --> 1:41:56.120]  That is in 49 states that attacks brains.
[1:41:56.120 --> 1:41:57.120]  But why?
[1:41:57.120 --> 1:41:59.120]  Of course, it's an accident.
[1:41:59.120 --> 1:42:07.120]  Yeah. Why does a one baby formula that has 80% of the market share have three times the amount that the other ones do?
[1:42:07.120 --> 1:42:16.120]  It's an accident. I appreciate your call. Just like when you go into babies are us and all these stores, it's huge racks of fluoride for your baby.
[1:42:16.120 --> 1:42:25.120]  Fluoride water. The mineral it needs. Fluoride. And they know. They know. They know. Not babies are us, but the company.
[1:42:25.120 --> 1:42:33.120]  They know fluoride is four times as bad. In fact, people don't believe me. I want to cover it in the last segment.
[1:42:33.120 --> 1:42:38.120]  Google and print for me. Fluoride more damaging to young brains.
[1:42:38.120 --> 1:42:43.120]  Or fluoride increases cancer in children. It particularly attacks children.
[1:42:43.120 --> 1:42:46.120]  I'm going to read to you government reports. There's thousands of them, literally.
[1:42:46.120 --> 1:42:53.120]  But it's, oh, your baby needs it. And I've talked to people in the Soviet, old Soviet Union, and then I actually searched it and found it was true.
[1:42:53.120 --> 1:42:58.120]  They would eat. They would have food rationing. No sausage, no bread.
[1:42:58.120 --> 1:43:06.120]  But when they went to school, there was always free chocolate, strawberry and regular flavored milk free and it fortified with fluoride.
[1:43:06.120 --> 1:43:16.120]  Oh, free fluoride milk. Oh, the government wants to help.
[1:43:16.120 --> 1:43:23.120]  And they now say on government announcements at PRTV ads, mercury is actually good for the brain.
[1:43:23.120 --> 1:43:29.120]  And they've got ads where they say corn syrup's good, though you can Google that more than half of the corn syrup in the country.
[1:43:29.120 --> 1:43:33.120]  High levels of mercury will be right back. Don't listen to me. Drink more mercury.
[1:43:33.120 --> 1:43:39.120]  Companies continue to lay off thousands of people. Unemployment is the highest it's been in over 30 years.
[1:43:39.120 --> 1:43:50.120]  Statistics prove that in a recession, crime rates go up. Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[1:43:50.120 --> 1:43:55.120]  You need to prepare yourself with DPS pepper spray available at MrDefense.com.
[1:43:55.120 --> 1:44:02.120]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[1:44:02.120 --> 1:44:07.120]  Need something more? The Scorpion Stun Gun is a great way to take down a potential attacker.
[1:44:07.120 --> 1:44:16.120]  MrDefense also carries the largest selection of air tasers, knives, self-defense key chains, swords, batons, survival, spy and tactical gear.
[1:44:16.120 --> 1:44:20.120]  Mention this ad and receive 10% off of your order and a free self-defense key chain.
[1:44:20.120 --> 1:44:27.120]  Visit MrDefense.com. That's MRDefense.com or call 1-800-313-6400.
[1:44:27.120 --> 1:44:33.120]  That's 1-800-313-6400 for all of your self-defense needs today.
[1:44:33.120 --> 1:44:40.120]  Ah, springtime. Now that you've planted your organic garden, how will you keep the bugs away without using toxic chemicals and poisons?
[1:44:40.120 --> 1:44:45.120]  The answer is all natural insecticides from FreshwaterOrganics.com.
[1:44:45.120 --> 1:44:51.120]  These revolutionary insecticides start with the same organic product that we use in FPP to kill parasites.
[1:44:51.120 --> 1:44:59.120]  We then add a small amount of pyrethrin from chrysanthemum flowers and a mild attractant to offer you the most effective insecticide available anywhere.
[1:44:59.120 --> 1:45:02.120]  It can even be applied up to the day of harvest.
[1:45:02.120 --> 1:45:09.120]  Our natural insecticides work in the home, on plants and in your garden, killing pests mechanically not with poisons.
[1:45:09.120 --> 1:45:13.120]  So pests can't develop an immunity and they won't harm your children or pets.
[1:45:13.120 --> 1:45:23.120]  It's effective against white flies, moths, bedbugs, fleas, roaches, crickets and more, and save enough to use on your pets, ridding them of fleas and other pests.
[1:45:23.120 --> 1:45:29.120]  Order now from FreshwaterOrganics.com or call 888-949-3570.
[1:45:29.120 --> 1:45:44.120]  Finally in the news this evening, it's being reported that cyber spies from Russia and China have now penetrated our power grid.
[1:45:44.120 --> 1:45:57.120]  Even as energy experts are reporting that each summer we get closer and closer to the limits of our nation's power grid, some say that this summer's demand for electrical power may finally push the grid over its edge, creating a cascade of power outages across the country, putting us all in the dark.
[1:45:57.120 --> 1:46:02.120]  Are you prepared for the next round of storm-related outages or government-created blackouts?
[1:46:02.120 --> 1:46:09.120]  Have you ever thought about taking steps to get off the grid and generate your own private supply of electrical power?
[1:46:09.120 --> 1:46:13.120]  If so, this will be the most important information you have ever heard.
[1:46:13.120 --> 1:46:21.120]  Solar-powered generators are finally available. They have no moving parts to wear out or break and require absolutely no gas whatsoever.
[1:46:21.120 --> 1:46:28.120]  Remember, the government doesn't own the sun, so go to MySolarBackup.com. That's MySolarBackup.com.
[1:46:28.120 --> 1:46:56.120]  Check out MySolarBackup.com before you lose your power.
[1:46:56.120 --> 1:47:09.120]  IonicZone also sells highly effective alternative health products. For instance, Jim Humble's revolutionary internal virus-killing invention, MMS, Miracle Mineral Solution, Canada's nursery in cases as CYXT.
[1:47:09.120 --> 1:47:33.120]  Naturopath recommended Super zeolite for heavy metal detox, even an ozone handheld bidet. If you're interested in natural healing, you'll love what IonicZone has to offer. IonicZone also offers free home business opportunities that will make you well over $1,000 a month. Call Mike, toll free at 1-800-549-9535 to inquire, or go to IonicZone.com.
[1:47:33.120 --> 1:47:43.120]  Are you tired of searching for great talk radio? Search no more. We are the GCN Radio Network.
[1:48:03.120 --> 1:48:26.120]  Here's one, three studies that were done by the federal government. Fluoride affects on the brain, drinking water on children's intelligence, and it's got just hundreds and hundreds and hundreds of studies put out by the National Research Council, the EPA.
[1:48:26.120 --> 1:48:41.120]  You name it, and that's why they've had the majority of EPA scientists two years ago. I had one of the heads of their major union on saying, yes, they knowingly are putting deadly poison to brain damage the public in the water.
[1:48:41.120 --> 1:48:51.120]  I mean, I'm looking at literally hundreds and hundreds. That's why this is such a great 15-page article, because it's not even an article. It's just links to governments, Chinese, British, Russian, U.S., Canadian.
[1:48:51.120 --> 1:49:01.120]  I mean, I remember when I first looked this up more than 12 years ago on the Internet, I found University of Texas studies from, like, 1932 about how they were saying, yes, we could use this in the same assailants.
[1:49:01.120 --> 1:49:13.120]  It's a great sedative. It's just very toxic and causes cancer. Did you guys print up the studies for me about it, massively increasing bone cancer? Absolute confirmed fact.
[1:49:13.120 --> 1:49:23.120]  But drink up. It's for your baby. Oh, the government wouldn't do that to make me more manageable. Well, listen, government idiots, you're drinking it too, you little controlled Frank servants.
[1:49:23.120 --> 1:49:32.120]  This is a very small group of eugenicists at the top that are doing this, and I'm sorry a lot of you were too cowardly to admit the truth. The facts are the facts.
[1:49:32.120 --> 1:49:51.120]  Look at this rat studies and brain cell damage with aluminum and fluoride and water, Wall Street Journal, October 28, 1992, fluoride in the pineal gland, BBC, fluoride in the brain interview with Dr. Phyllis Mullenich's interview, and it just goes through hundreds of these links.
[1:49:51.120 --> 1:50:03.120]  Full text, Zhang Q Beijing affect the fluoride and drinking water on children's intelligence. Full text affect the fluoride on water intelligence of children.
[1:50:03.120 --> 1:50:14.120]  Here's the EPA. It is apparent that fluorides have the ability to interfere with the functions of the brain source National Research Council for fluoride and drinking water, a scientific review of the EPA standards.
[1:50:14.120 --> 1:50:22.120]  National Academics Press, Washington, D.C. I'm on page one, by the way, this goes on 15 pages. When I say thousands, I mean thousands.
[1:50:22.120 --> 1:50:31.120]  In harm's way, toxic threats to children's development. But don't worry, the stores have it just for your baby. Oh, they love you as a government cares.
[1:50:31.120 --> 1:50:39.120]  But meanwhile, you see all the big headlines about the government says it will reduce the population by at least half. Humans are bad. We want carbon taxes on fat people.
[1:50:39.120 --> 1:50:47.120]  We want carbon taxes to shut down U.S. industry. Do you know if you buy a piece of rural land and want to get an environmental exemption so you don't have to pay as many taxes on it?
[1:50:47.120 --> 1:50:57.120]  You could never go back and even if somebody buys it, you could never convert back to agriculture. You could never use it for agriculture again because they don't want agriculture.
[1:50:57.120 --> 1:51:07.120]  They don't want industry. Do you understand? And it's not for the environment. So they control things. This is bigger than anything you could imagine, folks, what you're listening to.
[1:51:07.120 --> 1:51:15.120]  And I'm sorry it's some guy from Texas bringing it to you, but you need to step up and research this and find out about it.
