[00:00:13.206 --> 00:00:15.328]  He is a very, very busy man.
[03:00:24.961 --> 03:00:26.642]  Well, I really appreciate him coming on.
[03:00:26.642 --> 03:00:28.223]  We've been having a lively discussion.
[03:00:28.223 --> 03:00:33.847]  Dr. Henry L. Nyman, highly recommended, prestigious researcher, inventor.
[03:00:33.847 --> 03:00:38.971]  Many of the major technologies used today in researching all this and treating it.
[03:00:38.971 --> 03:00:40.271]  I hope he's wrong, though.
[03:00:40.271 --> 03:00:42.333]  I mean, I don't want this to be a real deadly flu.
[03:00:42.333 --> 03:00:49.938]  I mean, I know it's deadly for those that are being dying, but you've got the flu season raging right now and a few thousand dead, or 1,700 and something.
[03:00:49.938 --> 03:00:51.039]  That doesn't sound like
[03:00:52.116 --> 03:00:55.397]  A big deal to me, but he's saying it could mutate.
[03:00:55.397 --> 03:01:01.500]  So are you saying, Doctor, it's bad now, or it could be potentially mega bad?
[03:01:01.500 --> 03:01:04.281]  I mean, I just want to be clear on that.
[03:01:04.281 --> 03:01:09.603]  Well, let me explain why it's bad now and why it could get much worse.
[03:01:09.603 --> 03:01:16.606]  Seasonal flu, the numbers thrown out is 36,000 in the United States die.
[03:01:16.606 --> 03:01:20.868]  90% of the people that die from the flu in the United States and worldwide
[03:01:21.608 --> 03:01:23.489]  Our 65 years are older.
[03:01:23.489 --> 03:01:26.671]  Most of those people are actually quite a bit more than 65.
[03:01:26.671 --> 03:01:28.272]  They're in nursing homes.
[03:01:28.272 --> 03:01:32.234]  They basically have very serious illnesses.
[03:01:32.234 --> 03:01:34.815]  They get the flu, and the flu kind of puts it over the top.
[03:01:34.815 --> 03:01:38.137]  They really can't mount a good response to the flu.
[03:01:38.137 --> 03:01:38.817]  They're compromised.
[03:01:38.817 --> 03:01:39.858]  Right, right.
[03:01:39.858 --> 03:01:44.861]  They're compromised in many ways, and that flu normally dies from the flu.
[03:01:44.861 --> 03:01:50.724]  The people that are dying from the flu today, those 1,000 people that died in Argentina,
[03:01:51.761 --> 03:01:56.325]  They are previously healthy young adults.
[03:01:56.325 --> 03:02:00.588]  So is this like the 1918 then, that it has that hemorrhagic effect?
[03:02:00.588 --> 03:02:10.096]  Yeah, I mean there are reports actually, I was just reading what I was trying to find out where it was, where a patient actually turned blue overnight and died.
[03:02:10.096 --> 03:02:12.298]  Those are the characteristics of 1918.
[03:02:15.430 --> 03:02:23.056]  There's this cyanosis, basically the person literally turns blue and ends up dying suddenly.
[03:02:23.056 --> 03:02:31.704]  I mean, there are reports in 1918 of people that basically were sitting down and playing bridge, and they literally fell over and died at the bridge table.
[03:02:31.704 --> 03:02:34.866]  Yeah, I know, because it has this huge autoimmune response.
[03:02:34.866 --> 03:02:35.747]  Right, right.
[03:02:35.747 --> 03:02:38.790]  But doctor, doctor... And here's why...
[03:02:39.716 --> 03:02:39.936]  Oh, God.
[03:03:09.956 --> 03:03:11.816]  Okay, let me just stop because we're almost out of time.
[03:03:11.816 --> 03:03:13.157]  It's clear I've got to have you back up.
[03:03:13.157 --> 03:03:14.897]  I'm very appreciative of your time.
[03:03:14.897 --> 03:03:17.137]  I hope you're wrong.
[03:03:17.137 --> 03:03:20.758]  Because, you know, I got family and I live here in Texas.
[03:03:20.758 --> 03:03:24.879]  It seems to be one of the epicenters for all of this, and I don't trust these vaccines.
[03:03:24.879 --> 03:03:30.680]  I've seen what their history, what they do, and this whole thing has stage written all over it.
[03:03:30.680 --> 03:03:33.060]  I know you don't get into areas like that.
[03:03:33.060 --> 03:03:37.741]  You just cover the facts that you can document, but I've had a bad feeling all along.
[03:03:38.677 --> 03:03:43.581]  Yeah, I've said it looks like 1918 for the last several months and there's been nothing in the last several months that takes it off the 1918 track.
[03:03:56.608 --> 03:04:00.890]  It was tracking then, it's following the exact same track right now.
[03:04:00.890 --> 03:04:06.173]  In Texas, you know, there's likely to be Cami flu resistance in Texas.
[03:04:06.173 --> 03:04:15.857]  There was a report that came out a day or so ago on the border by a... Yeah, Houston Chronicle, there's now... And that indicated there were several
[03:04:16.657 --> 03:04:17.338]  Oh, no.
[03:04:32.452 --> 03:04:35.854]  Well, Dr. Nyman, let me get you up then in the next few weeks as this unfolds.
[03:04:35.854 --> 03:04:38.795]  When do you see it, quickly, really starting to break out then?
[03:04:38.795 --> 03:04:40.136]  October?
[03:04:40.136 --> 03:04:43.458]  I would say, yeah, you'll see the first die in September, October.
[03:04:43.458 --> 03:04:45.299]  You know, in the northern hemisphere.
[03:04:45.299 --> 03:04:49.201]  I think it'll get worse in the southern hemisphere before that.
[03:04:49.201 --> 03:04:52.463]  Alright, Dr. Nyman, the flu tracker, just Google that, you'll find him.
[03:04:52.463 --> 03:04:53.023]  Thank you, sir.
[03:04:53.023 --> 03:04:55.004]  Okay, good talking to y'all.
[03:04:55.004 --> 03:04:55.825]  Well, that's scary.
[03:04:58.012 --> 03:05:02.236]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[03:05:02.236 --> 03:05:04.258]  Do you really know what's in your tap water?
[03:05:04.258 --> 03:05:12.787]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[03:05:12.787 --> 03:05:18.332]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[03:05:18.332 --> 03:05:19.954]  Now what are you going to do about it?
[03:05:20.174 --> 03:05:26.699]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[03:05:26.699 --> 03:05:37.747]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultraviolet light sterilization techniques.
[03:05:37.747 --> 03:05:38.207]  That's right.
[03:05:38.507 --> 03:05:41.069]  Clean water, right from the air you breathe.
[03:05:41.069 --> 03:05:42.891]  Order today by calling 1-800-691-6043.
[03:05:42.891 --> 03:05:43.151]  That's 1-800-691-6043.
[03:05:43.151 --> 03:05:45.713]  Or visit A Cola Blue on the web at www.ecoloble.com today.
[03:05:45.713 --> 03:05:46.354]  That's acolablue.com.
[03:05:57.935 --> 03:06:03.242]  The illusion created by the power elite is a lie that covers even the food they want you to eat.
[03:06:03.242 --> 03:06:07.788]  Will you continue to be their profit center, buying their processed food that makes you sick?
[03:06:07.788 --> 03:06:10.051]  Go to the doctor and buy their drugs?
[03:06:10.051 --> 03:06:11.673]  You don't have to cooperate.
[03:06:11.673 --> 03:06:12.715]  There is a solution.
[03:06:12.935 --> 03:06:21.359]  Interhealth Botanicals, a company that my wife and I just love, have been providing products for the last five years that give you the perfect solution to this madness.
[03:06:21.359 --> 03:06:28.822]  Try their Interfood with 20 organic ingredients full of dense nutrition that gives you the energy you need and will keep you well.
[03:06:28.822 --> 03:06:34.484]  It even won the award for Best Superfood of 2009 from our friend Mike Adams, the health ranger.
[03:06:34.864 --> 03:06:40.866]  I love their Nutri-Cafe, great organic coffee infused with herbal extracts to boost your immune system.
[03:06:40.866 --> 03:06:45.028]  Try all of their truly honest products that will keep you alive and healthy.
[03:06:45.028 --> 03:06:52.491]  Go to enerfood.com or give them a call right now, 866-762-9238.
[03:06:52.491 --> 03:06:55.812]  Click on their banner at infowars.com to see all the available discounts.
[03:06:58.251 --> 03:07:02.092]  Americans know the significance of July 4th, 1776.
[03:07:02.092 --> 03:07:10.195]  However, few know the importance of September 17th, 1787, the day the Constitution was written and adopted by our founders.
[03:07:10.195 --> 03:07:16.878]  Unfortunately, over 200 years later, this sacred document is under attack, along with our beloved Republic.
[03:07:16.878 --> 03:07:23.520]  Throughout the span of history, brave men and women have rallied behind banners which have served as symbols of liberty against the forces of tyranny.
[03:07:24.000 --> 03:07:35.346]  Today, we have the Constitution Pride Flag to show our support for the Constitution, the Bill of Rights, freedom, liberty, and justice for we the people of the United States.
[03:07:35.346 --> 03:07:39.628]  Now available at www.1787flags.com.
[03:07:39.628 --> 03:07:45.471]  Get your very own Constitution Pride Flag today and receive a free pocket Constitution with your order.
[03:07:46.152 --> 03:07:52.902]  www.1787flags.com, the official website of the Constitution Pride Flag.
[03:07:52.902 --> 03:07:54.484]  That's www.1787flags.com.
[03:07:59.038 --> 03:08:00.920]  Max, if I could start with you.
[03:08:00.920 --> 03:08:02.221]  What is it about Goldman Sachs?
[03:08:02.221 --> 03:08:05.064]  How does it manage to turn the figures around like that?
[03:08:05.064 --> 03:08:07.166]  Well, Goldman Sachs are scum.
[03:08:07.166 --> 03:08:09.248]  I mean, that's the bottom line.
[03:08:09.248 --> 03:08:11.490]  They basically have co-opted the U.S.
[03:08:11.490 --> 03:08:11.930]  government.
[03:08:11.930 --> 03:08:15.954]  They've co-opted the Treasury Department, the Federal Reserve functionality.
[03:08:15.954 --> 03:08:17.756]  They've co-opted the Obama administration.
[03:08:17.756 --> 03:08:22.260]  Barack Obama, you know, dances to Goldman Sachs' tune.
[03:08:22.840 --> 03:08:26.943]  And they are really crooked and abominable in what they've done.
[03:08:26.943 --> 03:08:38.309]  You just remember Hank Paulson held Congress hostage, took him in the back room and said, give us 700 billion dollars, we're going to crash this market.
[03:08:38.309 --> 03:08:45.193]  Well, joining us for the rest of the hour, maybe twist his arm a little bit into the next, take some phone calls, is Max Keiser.
[03:08:45.193 --> 03:08:48.335]  He's a former Wall Street broker and is the inventor of the
[03:08:49.105 --> 03:08:56.548]  Virtual Specialist Technology, Prediction Markets, Hollywood Stock Exchange, a bunch of other systems, and My Private Film.
[03:08:56.548 --> 03:09:00.809]  Max is currently a TV presenter, radio host, entrepreneur, broadcast journalist.
[03:09:00.809 --> 03:09:04.111]  He's the host of On The Edge with Max Keiser on Press TV.
[03:09:04.111 --> 03:09:07.772]  He's also done a BBC show called The Oracle, blogger for The Huffington Post.
[03:09:08.272 --> 03:09:11.114]  Max also presented the films for Al Jazeera.
[03:09:11.114 --> 03:09:13.655]  He joins us from Paris, France.
[03:09:13.655 --> 03:09:19.798]  And he's also a little bit in the new Obama film that I will soon announce the name of.
[03:09:19.798 --> 03:09:20.979]  I'll announce it by next Wednesday.
[03:09:20.979 --> 03:09:24.321]  I've got to quit procrastinating and get to doing that.
[03:09:24.321 --> 03:09:28.023]  You just heard me play a clip of him on national, main French television.
[03:09:28.023 --> 03:09:29.244]  We're going to play another clip.
[03:09:29.884 --> 03:09:30.344]  Uh-oh!
[03:09:30.344 --> 03:09:30.624]  Uh-oh!
[03:09:30.624 --> 03:09:31.245]  I am at the curveball!
[03:09:55.495 --> 03:10:03.362]  It's a knuckleball, but seriously, the flu situation, troops everywhere, mass graves, they denied it a year ago, now they admit it.
[03:10:03.362 --> 03:10:09.989]  Forced inoculations, talks of lockdown, only less than 2,000 dead worldwide.
[03:10:09.989 --> 03:10:13.572]  They are really hyping this thing, really trying to scare people.
[03:10:13.572 --> 03:10:15.594]  This looks like, to me, the perfect cover.
[03:10:15.994 --> 03:10:24.167]  To get their carbon tax through, to get their open borders through, their gun control, their government health care, that they're trying to push through in October.
[03:10:24.167 --> 03:10:28.053]  What does Max Keiser's spidey sense tell him?
[03:10:30.189 --> 03:10:37.373]  Well, you know, I mean, I'm all about the banking and finance systems, you know.
[03:10:37.373 --> 03:10:39.614]  I mean, that's what I cover.
[03:10:39.614 --> 03:10:52.440]  As far as the whole swine flu epidemic, you know, I'm an idiot because I go to the drugstore every day and I buy that stuff for your hands to disinfect my hands.
[03:10:52.440 --> 03:10:55.161]  Of course, I was laughing at those people a year ago.
[03:10:55.161 --> 03:10:57.763]  But, you know, it's a herd mentality.
[03:10:57.763 --> 03:10:58.643]  You know, how much do they think
[03:10:58.763 --> 03:11:03.896]  I charge $8 for like, you know, a quarter of that stuff over here.
[03:11:03.896 --> 03:11:05.620]  Think of the profits that are being generated.
[03:11:07.438 --> 03:11:13.602]  People like sharing these things, little antiseptic gel.
[03:11:13.602 --> 03:11:14.603]  I mean, it's pathetic.
[03:11:14.603 --> 03:11:23.489]  I mean, you fall into the behavior that is inculcated through this massive wave of scare tactics.
[03:11:23.489 --> 03:11:25.790]  Everything can be sold using scare tactics now.
[03:11:25.790 --> 03:11:27.071]  They figured that out.
[03:11:27.071 --> 03:11:30.013]  You know, shock and awe, 9-11.
[03:11:30.013 --> 03:11:33.475]  If you scare enough people, they can scare you into buying anything now.
[03:11:33.475 --> 03:11:36.177]  Why bother coming up with a creative campaign to sell stuff?
[03:11:37.398 --> 03:11:41.360]  It's getting blown up and then you'll sell a truckload of whatever it is you're trying to sell.
[03:11:41.360 --> 03:11:43.781]  You know, it's all salesmanship.
[03:11:43.781 --> 03:11:52.664]  It's like just basically, you know, infomercials for psychosis and mass destruction and they'll sell anything down the pike.
[03:11:52.664 --> 03:11:58.967]  But, you know, I want to talk about Goldman Sachs for a second because it's just gotten so hilarious.
[03:11:58.967 --> 03:11:59.987]  It's gotten ridiculous.
[03:11:59.987 --> 03:12:00.927]  It's gotten absurd.
[03:12:00.927 --> 03:12:02.148]  If that's okay, why you?
[03:12:03.086 --> 03:12:08.750]  Yeah, let's get into $23.7 trillion missing in 10 months.
[03:12:08.750 --> 03:12:10.912]  They're refusing to say where the money went.
[03:12:10.912 --> 03:12:15.735]  Paulson gets up before Congress last week and says, yeah, I took $200 million myself.
[03:12:15.735 --> 03:12:18.698]  That's not a conflict of money he gave himself.
[03:12:18.698 --> 03:12:22.060]  I mean, this is a new level of heist.
[03:12:22.060 --> 03:12:23.241]  You're an expert in all this.
[03:12:23.241 --> 03:12:24.262]  Break it down for us.
[03:12:24.262 --> 03:12:26.904]  And then I want to get into, they say the economy's fixed.
[03:12:27.384 --> 03:12:28.545]  Everything's wonderful.
[03:12:28.545 --> 03:12:33.551]  The stock market's going up, but housing at all-time low.
[03:12:33.551 --> 03:12:35.133]  Reuters reporting that half of U.S.
[03:12:35.133 --> 03:12:39.377]  mortgages seen underwater by 2011.
[03:12:39.377 --> 03:12:40.699]  Record joblessness.
[03:12:40.699 --> 03:12:47.206]  All of that is degrading quickly, but they're meanwhile saying, Marie Antoinette, let them all eat birthday cake.
[03:12:48.740 --> 03:12:51.061]  Let's just talk about a couple of things here.
[03:12:51.061 --> 03:12:56.482]  One, I don't know if you saw this or not, the high-frequency trading scandal.
[03:12:56.482 --> 03:13:00.063]  High-frequency trading, which is now being talked about a lot.
[03:13:00.063 --> 03:13:02.984]  That special little computer, tell us about that.
[03:13:02.984 --> 03:13:05.105]  Yeah, this is really amazing.
[03:13:05.105 --> 03:13:10.286]  Now, just to give you an analogy here, if you saw somebody, your neighbor,
[03:13:10.856 --> 03:13:14.840]  And they had a rubber hose in your neighbor's gas tank.
[03:13:14.840 --> 03:13:19.084]  And he had that hose and it was over a bucket.
[03:13:19.084 --> 03:13:25.010]  And he was stealing gas from your... You know, you would say, hey buddy, you know, don't steal our neighbor's gas.
[03:13:25.010 --> 03:13:26.051]  That's not very nice.
[03:13:26.051 --> 03:13:27.493]  That's not very social behavior.
[03:13:27.493 --> 03:13:29.955]  He's siphoning off gas, right?
[03:13:29.955 --> 03:13:30.496]  Basically...
[03:13:31.324 --> 03:13:32.784]  And they don't even argue.
[03:13:32.784 --> 03:13:34.465]  They don't deny this.
[03:13:34.465 --> 03:13:40.447]  Goldman Sachs over at 85 Broad Street is where they have their headquarters down there on Wall Street.
[03:13:40.447 --> 03:13:48.089]  They co-located a server next to the New York Stock Exchange and they use this high frequency trading to siphon off
[03:13:49.270 --> 03:13:53.674]  Depending on whose estimates you read, between $100 million and $200 million a day.
[03:13:53.674 --> 03:13:56.337]  They're just siphoning cash directly off the floor of the exchange.
[03:13:56.337 --> 03:14:03.024]  And that's what we know of, with a computer program plugged in secretly, rigging the market.
[03:14:03.024 --> 03:14:09.751]  But that's okay, because they're allowed to give themselves the bonus money while they're former executives of the Treasury Sec.
[03:14:11.309 --> 03:14:16.774]  They claim that they're, quote-unquote, adding liquidity to the system.
[03:14:16.774 --> 03:14:22.318]  So if you caught a guy syping gas from a car, his defense was, no, I'm adding gas to the car!
[03:14:24.969 --> 03:14:40.024]  So they say, hey Goldman, you're siphoning money from the floor of the exchange using high-frequency trading, using all those proprietary algorithms, which I know a lot about because I created the virtual specialist technology that's used to trade bonds by Cantor Fitzgerald on Wall Street.
[03:14:40.024 --> 03:14:44.869]  It's used by the Hollywood Stock Exchange to trade box office features, and I designed these systems.
[03:14:44.869 --> 03:14:48.853]  So I know all about these systems, and basically it's nothing more than siphoning off cash
[03:14:49.253 --> 03:14:54.015]  And Barney Frank says, oh, a little profiteering is okay.
[03:14:54.015 --> 03:15:01.778]  We need the banks on Wall Street to have a little profiteering, because after all, if the banks aren't healthy, the economy is not healthy.
[03:15:01.778 --> 03:15:04.299]  So the entire economy, 23.7 trill of our money,
[03:15:05.680 --> 03:15:07.121]  We have to pay interest to them on.
[03:15:07.121 --> 03:15:10.043]  Oh, here's our money and we pay you interest to take our money.
[03:15:10.043 --> 03:15:16.188]  Then it turns out the Fed is paying banks not the loan because they want to consolidate and blow out the economy.
[03:15:16.188 --> 03:15:17.089]  Is there no end?
[03:15:17.089 --> 03:15:23.594]  Will Geithner soon be barbecuing children on his lawn and we say, well, he's got to eat.
[03:15:23.594 --> 03:15:27.017]  The economy will collapse if we don't feed him our children.
[03:15:27.017 --> 03:15:28.498]  In fact, let me ask you that question.
[03:15:28.498 --> 03:15:32.962]  Why is he in the Wall Street Journal and other pub papers screaming and cussing and yelling
[03:15:33.522 --> 03:15:34.823]  Bernanke and freaking out.
[03:15:34.823 --> 03:15:37.384]  Are they scared of the auditing the Fed?
[03:15:37.384 --> 03:15:40.585]  I mean Bernanke suddenly on TV stuttering and bumbling.
[03:15:40.585 --> 03:15:45.248]  These omnipresent Mount Olympus elites are now coming and groveling.
[03:15:45.248 --> 03:15:50.110]  I mean are we seeing the momentum shift against their criminal activity?
[03:15:51.092 --> 03:15:56.359]  He's upset because now that he works for the government, his slice of the bonus pool is smaller.
[03:15:56.359 --> 03:15:59.444]  He needs all 30 of these guys to give him more money.
[03:15:59.444 --> 03:16:06.574]  He's upset he can't sell his house in Larchmont, New York, which by the way, his house in Larchmont is less than a mile from where I grew up.
[03:16:07.094 --> 03:16:11.476]  In Westchester County, I used to ride my bicycle by his house all the time.
[03:16:11.476 --> 03:16:15.977]  He just said he can't sell his house because of the economic problems that he himself helped create.
[03:16:15.977 --> 03:16:23.880]  And now that Paulson successfully ransomed the government for $700 billion, which became $13 trillion, he's now paying himself.
[03:16:23.880 --> 03:16:25.901]  He's working with the Chinese to manage their money.
[03:16:25.901 --> 03:16:27.401]  He's going to make billions again.
[03:16:27.401 --> 03:16:31.603]  When he took the job for the government, of course, he said, well, I had to sell my Goldman Sachs.
[03:16:32.304 --> 03:16:32.985]  I don't think so.
[03:16:42.741 --> 03:16:43.021]  I think so.
[03:17:04.774 --> 03:17:06.215]  They could have easily, Alex.
[03:17:06.215 --> 03:17:07.715]  This is the tragedy of it.
[03:17:07.715 --> 03:17:24.200]  Going back to what I call the 9th of August, or 8-9, which is right up there with 9-11, two years ago, the 9th of August, two years ago in 2007 is when BNP in Paris said that they couldn't value the subprime bonds on their books.
[03:17:24.700 --> 03:17:29.605]  And that started what we call the credit crash for the next 24 months.
[03:17:29.605 --> 03:17:35.691]  The response from the government was not to reform the banking system, but to give them now what we know to be roughly $13 trillion.
[03:17:35.691 --> 03:17:40.416]  And according to guys like Carl Denninger, who's a very plugged-in guy, that number's going to double again.
[03:17:40.416 --> 03:17:47.903]  And the tragedy is that they could have very easily wiped out every mortgage debt and every credit card debt in America for less than that money.
[03:17:48.852 --> 03:17:59.700]  Well, yeah, I mean, Bloomberg reported 9.4 trillion would pay off all mortgages, not just bad mortgages, but, you know, $50 million palaces, $100,000 bungalows.
[03:17:59.700 --> 03:18:03.762]  Everything paid off, but now you're saying 13.
[03:18:03.762 --> 03:18:05.544]  The Congress and the banks are saying 23.7.
[03:18:05.544 --> 03:18:14.410]  But I guess that's different types of money they created, and that's not counting all the magical SDRs and these other layers of global currency.
[03:18:15.805 --> 03:18:19.208]  Okay, but get back to this point, because it's a very important point.
[03:18:19.208 --> 03:18:22.511]  Every single mortgage in America could have been paid off.
[03:18:22.511 --> 03:18:25.093]  Every single credit card debt could have been paid off.
[03:18:25.093 --> 03:18:30.077]  So therefore, every citizen in America could be sitting there with no debts at all.
[03:18:30.077 --> 03:18:32.920]  They'd have their credit card, they'd be in the mall shopping.
[03:18:32.920 --> 03:18:36.523]  The economy is 70% consumption anyway, so the economy would be growing.
[03:18:36.523 --> 03:18:39.305]  The jobs would be growing, not collapsing.
[03:18:39.305 --> 03:18:43.329]  The banks would actually be still making some money, because they're still in the business of making loans.
[03:18:43.809 --> 03:18:49.273]  And what we have left are these incredible black holes of debt, which would have to be addressed.
[03:18:49.273 --> 03:18:57.598]  And the way to address that would have been to force the banks to write off those debts in real time and suffer the consequences, because they created those debts.
[03:18:57.598 --> 03:19:06.324]  So it's sort of like Warren Buffett, who's now saying, I'm going to have a blockbuster quarter of my life because 75% of his businesses are getting bailed out by the government.
[03:19:06.964 --> 03:19:08.525]  Well, I was reading that he got $98 billion in bailout money.
[03:19:30.489 --> 03:19:37.470]  Unless you have $100,000 to buy one share of Berkshire Hathaway stock of Warren Buffett, then forget it.
[03:19:37.470 --> 03:19:38.490]  You're not part.
[03:19:38.490 --> 03:19:43.251]  You're not going to be part of the true economy that's run by all these insiders.
[03:19:43.251 --> 03:19:53.113]  So you're sitting there holding your, you know, 50 shares of some over-the-counter NASDAQ.com bomb that was sold to you by some hard-selling telephone salesman working on commissions.
[03:19:53.113 --> 03:19:54.373]  Of course, that's going to go to zero.
[03:19:54.373 --> 03:19:55.554]  The whole cycle is repeated again.
[03:19:55.554 --> 03:19:56.794]  Max, stay there.
[03:19:56.794 --> 03:19:57.974]  Buffett deserves all the...
[03:19:58.880 --> 03:20:07.862]  Did you know that millionaire, entrepreneur, businessman, and your congressional candidate, Robert Beatles, wrote a 72-page book on how to become wealthy?
[03:20:07.862 --> 03:20:10.502]  It doesn't matter if you are poor or wealthy.
[03:20:10.502 --> 03:20:12.242]  This book is for you.
[03:20:12.242 --> 03:20:17.643]  The book tells you how to create and protect your wealth, and it's called, Here's What You Do.
[03:20:17.643 --> 03:20:21.604]  You can buy it for only $6 at here'swhatyoudo.net.
[03:20:21.604 --> 03:20:23.844]  That's here'swhatyoudo.net.
[03:20:23.844 --> 03:20:26.405]  Again, here'swhatyoudo.net.
[03:20:26.405 --> 03:20:27.085]  Buy it today.
[03:20:27.905 --> 03:20:29.166]  Hi, this is Ted Anderson.
[03:20:29.166 --> 03:20:33.729]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[03:20:33.729 --> 03:20:39.533]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[03:20:39.533 --> 03:20:43.175]  Gold has outperformed paper investments, yet no word about IRAs.
[03:20:43.175 --> 03:20:45.897]  If you would like to have gold for your retirement, call 800-686-2237.
[03:20:45.897 --> 03:20:50.961]  Don't get left behind by rising inflation and low returns.
[03:20:50.961 --> 03:20:51.201]  Call 800-686-2237.
[03:20:51.201 --> 03:20:52.602]  Secure your future and call 1-800-686-2237.
[03:20:59.086 --> 03:21:01.128]  Hi, John Huebner from Midas Resources.
[03:21:01.128 --> 03:21:04.050]  Are you tired of watching your hard-earned assets dwindle away?
[03:21:04.050 --> 03:21:12.657]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[03:21:12.657 --> 03:21:15.659]  Is this market a setup for a crash greater than 1987?
[03:21:15.659 --> 03:21:20.884]  Too many of today's policies resemble those that led to the collapse of 1929.
[03:21:20.884 --> 03:21:22.465]  How much are you willing to lose?
[03:21:22.845 --> 03:21:23.906]  Take action now!
[03:21:23.906 --> 03:21:28.711]  Call me at 1-800-686-2237, extension 129.
[03:21:28.711 --> 03:21:32.695]  I believe that we are facing a financial catastrophe of biblical proportion.
[03:21:32.695 --> 03:21:36.038]  Over recent decades, numerous economic systems have failed.
[03:21:36.038 --> 03:21:42.465]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[03:21:42.745 --> 03:21:48.715]  Secure your assets today by calling 1-800-686-2237, extension 129.
[03:21:48.715 --> 03:21:51.059]  Do this while paper can still buy gold.
[03:21:51.059 --> 03:21:52.801]  Call me, John Humer, at 1-800-686-2237, extension 129.
[03:21:58.726 --> 03:22:04.528]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[03:22:04.528 --> 03:22:12.111]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[03:22:12.111 --> 03:22:18.253]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[03:22:18.693 --> 03:22:20.653]  Well, Obama's already fudging.
[03:22:20.653 --> 03:22:23.174]  He's fudged since day one in this election.
[03:22:23.174 --> 03:22:34.736]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[03:22:34.736 --> 03:22:36.417]  It's not about left or right.
[03:22:36.417 --> 03:22:38.277]  It's about a one-world government.
[03:22:38.277 --> 03:22:42.638]  This film documents who Obama works for, the lies he is told.
[03:22:43.278 --> 03:22:45.181]  And his real agenda.
[03:22:45.181 --> 03:22:53.452]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[03:22:53.452 --> 03:22:55.034]  The Obama Deception.
[03:22:55.034 --> 03:22:56.236]  The people strike back!
[03:22:58.820 --> 03:23:01.823]  Hello, this is Alex Jones with some important questions.
[03:23:01.823 --> 03:23:07.148]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[03:23:07.148 --> 03:23:09.210]  My answer would be all I can get.
[03:23:09.210 --> 03:23:14.214]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[03:23:14.214 --> 03:23:15.395]  How much do you want?
[03:23:15.395 --> 03:23:16.516]  When do you want it?
[03:23:16.516 --> 03:23:18.418]  Now or after the battle starts?
[03:23:18.418 --> 03:23:19.479]  When will you need it?
[03:23:19.479 --> 03:23:21.681]  Can you buy it without proper identification?
[03:23:21.681 --> 03:23:23.022]  Will there be any food?
[03:23:23.022 --> 03:23:24.324]  Will it make your children sick?
[03:23:24.684 --> 03:23:24.904]  There's a
[03:23:41.367 --> 03:23:42.468]  I'm Alex Jones.
[03:23:42.468 --> 03:23:45.509]  I want all of you good guys to live to fight another day.
[03:23:45.509 --> 03:23:47.289]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[03:23:47.289 --> 03:23:48.190]  Again, that number 1-800-409-5633.
[03:24:19.190 --> 03:24:25.037]  Joining us from Paris, Captain Little France, Max Keiser, MaxKeiser.com.
[03:24:25.037 --> 03:24:28.001]  He is in my big new upcoming Obama film.
[03:24:29.561 --> 03:24:32.224]  Max, you got cut off there by the break.
[03:24:32.224 --> 03:24:37.989]  Obama's approval rating's gone from the mid-80s to now the mid-40s, depending on which poll you look at.
[03:24:37.989 --> 03:24:44.856]  He's now lower than Bush, lower than Jimmy Carter, than they were at this point seven months into their administration.
[03:24:45.656 --> 03:24:48.938]  What do you see happening to Obama over the next few years?
[03:24:48.938 --> 03:24:56.881]  I mean, I'm almost just feeling sorry for him now, because, you know, when he's this big star and they're pushing the corporate agenda through on him, you know, he's dangerous.
[03:24:56.881 --> 03:24:59.022]  And I had to oppose him, and I still do.
[03:24:59.022 --> 03:25:07.686]  But now that everything's being blamed on him, he almost becomes a shield for the bankers.
[03:25:07.686 --> 03:25:09.567]  Then he needs to do a gynerectomy.
[03:25:12.328 --> 03:25:14.790]  You know, look at Tony Blair over there in the UK.
[03:25:14.790 --> 03:25:15.851]  When he left No.
