[00:00:07.412 --> 00:00:11.794]  Ladies and gentlemen.
[02:45:43.066 --> 02:45:52.191]  You know, we can't go to a wedding, we can't go to a funeral, we can't have a gathering, even in your own home, to be able to have a Bible study or to pray, but you can go march on the street.
[02:45:52.191 --> 02:45:58.515]  This is selective martial law by the United Nations Global Cabal.
[02:45:58.515 --> 02:45:59.656]  Exactly.
[02:45:59.656 --> 02:46:01.136]  That sums it up exactly.
[02:46:01.136 --> 02:46:04.578]  It's wild to be living it, though.
[02:46:04.578 --> 02:46:07.780]  We could predict it was coming, but now... Tell us about the group.
[02:46:07.780 --> 02:46:10.362]  I don't even know about that group that's bragging they planned it for 50 years.
[02:46:11.462 --> 02:46:13.844]  Yeah, it's weforum.org.
[02:46:13.844 --> 02:46:18.248]  Weforum.org is where you need to go, and it's everything that you need to know.
[02:46:18.248 --> 02:46:21.010]  In fact, Alex, it's so depressing to go and read that site.
[02:46:21.010 --> 02:46:28.917]  I've actually made a commitment to myself, I won't spend more than maybe an hour a week there, because every week they come out with another angle.
[02:46:28.917 --> 02:46:36.703]  There's another site, it's called biologos.org, B-I-O, and then the word logos, L-O-G-O-S, biologos.org.
[02:46:36.703 --> 02:46:38.124]  Oh yeah, so it's the World Economic Forum.
[02:46:38.124 --> 02:46:39.806]  Yeah, they admit it's a total takeover, yeah.
[02:46:40.765 --> 02:46:47.750]  And then you go to biologos.org, and they are taking Christianity and turning it into scientism.
[02:46:47.750 --> 02:47:00.718]  They're saying, you know, they want Christians to sign a pledge to always wear a mask, to get vaccinated, to support social justice, and to put down any sort of misinformation that goes against our scientists.
[02:47:00.718 --> 02:47:04.061]  And then Big Tech is blocking medical doctors and even U.S.
[02:47:04.061 --> 02:47:05.362]  think tanks from questioning it.
[02:47:05.362 --> 02:47:06.763]  I mean, this is their big move.
[02:47:06.763 --> 02:47:07.143]  This is it.
[02:47:08.035 --> 02:47:08.735]  This is it.
[02:47:08.735 --> 02:47:10.296]  This is our Waterloo, Alex.
[02:47:10.296 --> 02:47:17.498]  This is something that you and I've been talking about and in our on our respect together and on our respective platforms for 20 years.
[02:47:17.498 --> 02:47:22.340]  We are at the point now it's we either win or this is win or lose, win or lose.
[02:47:23.584 --> 02:47:26.707]  And so everybody needs to do more than just like get awake.
[02:47:26.707 --> 02:47:28.068]  They need to get active.
[02:47:28.068 --> 02:47:33.612]  They need to start deciding which side of the line are they going to stand on.
[02:47:33.612 --> 02:47:41.679]  And the time to make a decision about what you're going to do about mandatory vaccines, about contact tracing, is not when the people knock at your door.
[02:47:42.439 --> 02:47:43.759]  You need to know ahead of time.
[02:47:43.759 --> 02:47:47.560]  You've got to be organizing the neighborhood and giving them this interview that's live.
[02:47:47.560 --> 02:47:49.341]  It'll be archived soon to Bandai Video.
[02:47:49.341 --> 02:47:51.241]  You've got to do it now, folks.
[02:47:51.241 --> 02:47:53.102]  I'm telling you, everything else was preparatory.
[02:47:53.102 --> 02:47:53.502]  You're right.
[02:47:53.502 --> 02:47:54.982]  The collapse has happened.
[02:47:54.982 --> 02:47:56.423]  This is the main assault.
[02:47:56.423 --> 02:47:57.703]  And I look at it as the Battle of the Bulge.
[02:47:57.703 --> 02:47:58.663]  The Nazis were losing.
[02:47:58.663 --> 02:48:00.364]  They launched a counteroffensive.
[02:48:00.364 --> 02:48:02.124]  I see this as their Battle of the Bulge.
[02:48:02.124 --> 02:48:03.104]  Waterloo, you name it.
[02:48:03.104 --> 02:48:05.625]  I just hope that we're Lord Wellington and they're Napoleon.
[02:48:05.945 --> 02:48:07.926]  Dr. Sherry Tinpenny, you are incredible.
[02:48:07.926 --> 02:48:09.087]  I know you're a busy lady.
[02:48:09.087 --> 02:48:11.988]  Come back and join us in a couple of weeks to give us updates.
[02:48:11.988 --> 02:48:13.830]  We really, really appreciate you.
[02:48:13.830 --> 02:48:16.791]  And again, what's the best website for people to visit?
[02:48:16.791 --> 02:48:20.333]  Go to vaxter.com and think about signing up for our bootcamp course.
[02:48:20.333 --> 02:48:22.374]  We only do it twice a year.
[02:48:22.374 --> 02:48:25.096]  Masteringvaccineinfo.com forward slash bootcamp.
[02:48:25.096 --> 02:48:26.457]  All right.
[02:48:26.457 --> 02:48:27.897]  Obviously, you could talk for five hours.
[02:48:27.897 --> 02:48:29.158]  Please go on David Knight's show.
[02:48:29.158 --> 02:48:30.779]  Please go on Owen Shroyer's show.
[02:48:30.779 --> 02:48:32.200]  Come on our other shows and lay it out.
[02:48:32.200 --> 02:48:32.760]  We love you.
[02:48:32.760 --> 02:48:33.521]  We appreciate you.
[02:48:33.521 --> 02:48:33.881]  Amazing.
[02:48:34.790 --> 02:48:36.150]  Thank you so much, Alex.
[02:48:36.150 --> 02:48:36.931]  Thank you so much.
[02:48:36.931 --> 02:48:37.931]  Thank you.
[02:48:37.931 --> 02:48:40.912]  Well, that was the best interview ever with her because of the quickenings here.
[02:48:40.912 --> 02:48:41.792]  There's no more games.
[02:48:41.792 --> 02:48:43.053]  We know we're right.
[02:48:43.053 --> 02:48:44.093]  She'd be on 20 years ago.
[02:48:44.093 --> 02:48:45.214]  I'd be questioning what we're doing.
[02:48:45.214 --> 02:48:46.394]  I thought we were right.
[02:48:46.394 --> 02:48:47.114]  We were right.
[02:48:47.114 --> 02:48:48.035]  And then some.
[02:48:48.035 --> 02:48:50.435]  This is insane.
[02:48:50.435 --> 02:48:50.796]  All right.
[02:48:50.796 --> 02:48:53.036]  Hour number four coming up.
[02:48:53.036 --> 02:48:57.458]  Black Lives Matter founder admits it's a satanic ritual.
[02:48:57.458 --> 02:49:00.179]  There's a bigot on Salazar article on InfoWars.com.
[02:49:03.123 --> 02:49:06.964]  A little more than a decade ago, it happened in Salt Lake City, Utah.
[02:49:06.964 --> 02:49:14.426]  The public came out on a very clear day and looked up more than 60,000 feet and saw what they thought was a giant UFO.
[02:49:14.426 --> 02:49:20.168]  It was actually a large DARPA government surveillance blimp.
[02:49:20.168 --> 02:49:25.970]  There were thousands of phone calls made to the police departments, newspapers, TV stations, thinking it was an alien craft.
[02:49:25.970 --> 02:49:28.831]  When the public was told that it was a blimp, they didn't want to believe it.
[02:49:28.831 --> 02:49:32.332]  You see, they'd already told themselves it was a UFO, so they
[02:49:33.539 --> 02:49:33.979]  I don't know.
[02:50:04.329 --> 02:50:11.335]  You can watch a factory of robots being controlled by wireless internet commands.
[02:50:11.335 --> 02:50:15.639]  But if you were a person just 200 years ago and you saw that, you'd think it was magic.
[02:50:15.639 --> 02:50:19.282]  You wouldn't even know really what the machines were or what was controlling them.
[02:50:19.282 --> 02:50:22.865]  So for that person it would be spiritual or it would be something of the spirit.
[02:50:23.926 --> 02:50:32.054]  And it's similar to how ducks and butterflies and many other species of animal know how to fly thousands and thousands of miles back to the exact place where they were born.
[02:50:32.054 --> 02:50:34.096]  They're following magnetic lines.
[02:50:34.096 --> 02:50:36.519]  They have magnetic cells in their brains.
[02:50:36.519 --> 02:50:39.101]  We now know scientifically what's going on, but there's even a lot more than that.
[02:50:39.101 --> 02:50:43.246]  So when we talk about the spirit, we're talking about all the dark matter.
[02:50:43.246 --> 02:50:45.248]  We're talking about all the things you don't understand, but we know it's there.
[02:50:45.948 --> 02:51:06.762]  And just like you can have a bunch of robots working off a wireless system, that's what's going on with this satanic transmission that's working through people, and that's how this entity behind it all is able to direct, because it is a consciousness manipulated through the space-time continuum.
[02:51:06.762 --> 02:51:09.364]  You're listening to The Alex Jones Show.
[02:51:10.953 --> 02:51:26.176]  There is an extremely predatory group of people that go out of their way and even destroy their own self-interest and their own children to dumb people down, mutate people, poison people, and turn us against each other, setting us up for an end-of-planet event.
[02:51:26.176 --> 02:51:36.818]  Now, the Bible says an off-world entity was marooned here by the Creator, and because we have free will, that entity is allowed to try to trick us to destroy ourselves.
[02:51:36.818 --> 02:51:38.598]  Satan comes to kill, steal, and destroy.
[02:51:39.338 --> 02:51:41.019]  He was cast out of heaven.
[02:51:41.019 --> 02:51:57.067]  And I can tell you, as I've been telling you for 20 plus years, none of the globalists, not the Rockefellers, not the Rothschilds, not Elon Musk, none of them believe that there's not other entities and a controller that they're rebelling against that they believe they're going to break free from.
[02:51:57.067 --> 02:52:03.811]  And you notice Elon Musk came out about six months after I was on Joe Rogan, and he basically repeated everything I said about the establishment and what they believe.
[02:52:03.811 --> 02:52:05.152]  This is what they believe.
[02:52:05.712 --> 02:52:10.897]  The elite are all about transcendence and living forever and the secrets of the universe and they want to know all this.
[02:52:10.897 --> 02:52:13.559]  Some are good, some are bad, some are a mix.
[02:52:13.559 --> 02:52:15.881]  But the good ones don't ever want to organize.
[02:52:15.881 --> 02:52:18.644]  The bad ones don't want to organize because they lost after power.
[02:52:18.644 --> 02:52:22.107]  Powerful consciousnesses don't want to dominate other people.
[02:52:22.107 --> 02:52:26.090]  They want to empower them so they don't tend to get together until things are really late in the game.
[02:52:26.090 --> 02:52:26.931]  Then they come together.
[02:52:26.931 --> 02:52:29.173]  Evil is always defeated because good is so much stronger.
[02:52:30.214 --> 02:52:36.057]  And we're on this planet, and Einstein's physics showed it, Max Planck's physics showed it, oh, there's at least 12 dimensions.
[02:52:36.057 --> 02:52:39.038]  And now that's what all the top scientists and billionaires are coming out saying.
[02:52:39.038 --> 02:52:40.159]  It's a false hologram.
[02:52:40.159 --> 02:52:41.799]  It is artificial.
[02:52:41.799 --> 02:52:50.643]  The computers are scanning it and finding tension points where it's artificially projected, and gravity's bleeding in to this universe.
[02:52:50.643 --> 02:52:51.704]  That's what they call dark matter.
[02:52:52.717 --> 02:52:58.904]  So we're like a thought or a dream that's a wisp in some computer program, some God's mind, whatever.
[02:52:58.904 --> 02:52:59.684]  They're proving it all.
[02:52:59.684 --> 02:53:00.665]  It's all coming out.
[02:53:00.665 --> 02:53:04.890]  There are many, many simulations.
[02:53:04.890 --> 02:53:08.173]  These simulations are... we might as well call them reality.
[02:53:08.173 --> 02:53:09.375]  Or you could call them multiverse.
[02:53:09.929 --> 02:53:12.030]  These simulations you believe are created?
[02:53:12.030 --> 02:53:14.751]  Like someone has manufactured... They're running on the substrate.
[02:53:14.751 --> 02:53:21.833]  There's like this sub-transmission zone below the third dimension that's just turned over the most horrible things is what it resonates to.
[02:53:21.833 --> 02:53:28.055]  And it's trying to get up into the third dimension that's just a basic level consciousness to launch into the next levels.
[02:53:28.895 --> 02:53:33.497]  And our species is already way up in the fifth, sixth dimension, consciously, our best people.
[02:53:33.497 --> 02:53:42.021]  But there's this big war trying to, like, basically destroy humanity, because humanity has free will, and there's a decision to which level we want to go to.
[02:53:42.021 --> 02:53:45.223]  We have free will, so evil's allowed to come and contend, not just good.
[02:53:46.451 --> 02:54:03.244]  And the elites themselves believe they're racing, using human technology to try to take our best minds and build some type of breakaway civilization where they're going to merge with machines, transcend, and break away from the failed species that is man.
[02:54:03.244 --> 02:54:12.051]  Which is kind of like a false transmission because they're thinking what they are is ugly and bad, projecting it onto themselves instead of believing, no, it's a human test about building us up.
[02:54:12.981 --> 02:54:14.642]  Well that's the scenario.
[02:54:14.642 --> 02:54:22.347]  The merge scenario with AI is the one that seems like probably the best.
[02:54:22.347 --> 02:54:22.927]  For us?
[02:54:22.927 --> 02:54:23.648]  Yes.
[02:54:23.648 --> 02:54:24.768]  Like if you can't
[02:54:25.851 --> 02:54:26.612]  Beat it.
[02:54:26.612 --> 02:54:27.572]  Join it.
[02:54:27.572 --> 02:54:30.495]  And so, Google was set up 18, 19 years ago.
[02:54:30.495 --> 02:54:32.116]  This was, I knew about this before it was declassified.
[02:54:32.116 --> 02:54:33.898]  I'm just saying I have good sources.
[02:54:33.898 --> 02:54:37.060]  That they wanted to build a giant artificial system.
[02:54:37.060 --> 02:54:49.551]  And Google believes that the first artificial intelligence will be a supercomputer based on the neuron activities of the hive mind of humanity with billions of people wired into it with the internet of s***.
[02:54:50.251 --> 02:55:06.116]  And so all of our thoughts go into it and we're actually building a computer that has real neurons in real time that's also psychically connected to us that are organic creatures so that they will have current prediction powers, future prediction powers, a true crystal ball.
[02:55:07.130 --> 02:55:15.215]  But the big secret is, once you have a crystal ball and know the future, you can add stimuli beforehand and make decisions that control the future.
[02:55:15.215 --> 02:55:27.382]  And so then it's the end of consciousness and free will for individuals as we know, and a true 2.0 in a very bad way, hive mind consciousness with an AI jacked into everyone knowing our hopes and dreams.
[02:55:27.842 --> 02:55:44.087]  Delivering it to us, not in some PKD wirehead system where we plug in and give up on consciousness because of unlimited pleasure, but because we were already wired in and absorbed before we knew it by giving over our consciousness to this system by our daily decisions that it was able to manipulate and control into a larger system.
[02:55:44.087 --> 02:55:48.688]  Is this like a collective AI in the Google search?
[02:55:52.429 --> 02:55:53.890]  Where we're all sort of plugged in.
[02:55:53.890 --> 02:55:58.291]  The full video is at man.video2020electioncenter.com.
[02:55:58.291 --> 02:55:59.492]  Very, very important.
[02:55:59.492 --> 02:56:00.532]  Dealing with the facts.
[02:56:00.532 --> 02:56:06.335]  We'll be right back to plumb the depths of the satanic ritual that is Black Lives Matter.
[02:56:06.335 --> 02:56:06.915]  Stay with us.
[02:56:11.954 --> 02:56:15.239]  Remember 15 days to flatten the curve because the hospitals were so full?
[02:56:15.239 --> 02:56:16.301]  Of course, all that was a lie.
[02:56:16.301 --> 02:56:17.623]  All that was a fraud.
[02:56:17.623 --> 02:56:20.107]  The Rockefeller and Bill Gates documents from the beginning are on record.
[02:56:20.107 --> 02:56:22.851]  They said the mask wearing will never end.
[02:56:22.851 --> 02:56:24.393]  The social distancing will never end.
[02:56:24.393 --> 02:56:26.276]  The forced inoculations will never end.
[02:56:26.276 --> 02:56:26.717]  The social
[02:56:27.057 --> 02:56:32.120]  Tracking through your cell phones and the global social credit score will never end if you put up with it.
[02:56:32.120 --> 02:56:34.921]  This is the rollout of the post-human world.
[02:56:34.921 --> 02:56:43.986]  I know you know that, but I've seen National Democrat Party's statements and I've seen CNN and others point out that Jones says that COVID is a hoax.
[02:56:43.986 --> 02:56:45.727]  What I'm saying is it's an overblown fraud.
[02:56:45.727 --> 02:56:46.607]  It's a scam.
[02:56:46.607 --> 02:56:49.309]  But he sells InfoWars.com masks.
[02:56:49.949 --> 02:56:58.157]  Yes, if you're going to be made to do it to fly in an airport, or by the police on a train, then fight back with information warfare, have a walking billboard.
[02:56:58.157 --> 02:57:02.121]  That's hypocrisy, to be able to hold two different ideas in your head at the same time.
[02:57:02.121 --> 02:57:09.048]  If you're going to be raped by these people, and they're going to put Nabirka over your head, might as well advertise it with InfoWars.com.
[02:57:09.048 --> 02:57:10.229]  It's that simple, ladies and gentlemen.
[02:57:10.229 --> 02:57:10.590]  Fight back.
[02:57:36.110 --> 02:57:46.112]  Well, Bishop Larry Gaters, back when Black Lives Matter got set up years ago, said they are Marxist-Communists, but they're really witches.
[02:57:46.112 --> 02:57:51.853]  And, you know, I knew the guy was credible, I knew a little bit of that, but man, he wrote a bunch about it, I read about it, and all of a sudden they just emerged
[02:57:53.200 --> 02:58:11.585]  It dressed up like Lucifer, black wings, and they talk about incantations of murder, and the death of police gives them power, and this demonic spirit when they're murdering innocent people, they get all excited, and then their sacrament is getting rid of the black family, or any other family, and going after the testicles of men.
[02:58:11.585 --> 02:58:15.986]  I mean, this is total Satanism, the end of our species.
[02:58:15.986 --> 02:58:16.947]  Kill, steal, and destroy.
[02:58:19.872 --> 02:58:24.594]  They are openly doing these rituals that they believe will have power over all of us.
[02:58:24.594 --> 02:58:35.877]  So, Bishop Larry Gaters, at Bishop L. Gaters on Twitter, he laid all this out years ago, came on the show, he's co-hosted the last six months.
[02:58:35.877 --> 02:58:42.460]  But I saw this breaking big today, there's an article on Infowars.com, shocked video, Black Lives Matter founder takes part in bizarre cult ritual.
[02:58:42.460 --> 02:58:44.120]  Remember, V.I.
[02:58:44.120 --> 02:58:46.501]  Lennon was a devil whisperer, Stalin was a devil whisperer.
[02:58:47.739 --> 02:58:49.220]  Hitler was a devil worshipper.
[02:58:49.220 --> 02:58:50.962]  Mao Zedong, they're not atheists.
[02:58:50.962 --> 02:58:55.386]  They want you to not believe there's a God, so you're hopeless!
[02:58:55.386 --> 02:59:00.291]  But Hollywood and all of it is into pedophilia to destroy the innocence of children.
[02:59:00.291 --> 02:59:04.114]  Sex they can get away with, killing them they can't, but now they're doing it.
[02:59:04.114 --> 02:59:12.102]  So I wanted to play you, because when I was reading what he put out years ago when I went, I saw him say this, I went and looked up their current ritual about
[02:59:12.895 --> 02:59:33.109]  When police are murdered, if a police officer is a warrior, they can be black, they can be white, they can be male, female, particularly a male though, this is in Germanic rituals, this is in African rituals, this is in ancient Asian rituals and Mesoamerican rituals, the highest thing was not a virgin, a child, the highest thing you could kill was not even a nobleman.
[02:59:33.109 --> 02:59:36.851]  The Druids would demand that, the Aztecs would demand that, it's all the same satanic spirit.
[02:59:36.851 --> 02:59:38.433]  Groups never met each other, they're doing the same thing.
[02:59:39.193 --> 02:59:55.206]  What these winged serpents, they called them, demanded in Egypt and in Latin America, which was before that Mesoamerica and in Europe, was winged serpents would demand that the pure warrior, the best warrior they had, be sacrificed.
[02:59:55.206 --> 02:59:58.709]  And that was the spirit trying to kill the best of humanity to call off
[02:59:59.793 --> 03:00:00.354]  We're good to go.
[03:00:18.655 --> 03:00:20.416]  Which this stuff really goes on, by the way.
[03:00:20.416 --> 03:00:22.497]  To then finally he believes he's saving a little girl.
[03:00:22.497 --> 03:00:23.177]  He's not.
[03:00:23.177 --> 03:00:26.338]  They sacrifice him because that's the highest level sacrifice.
[03:00:26.338 --> 03:00:35.902]  This morning I was reading what they did in this ritual about killing the male police officer who's innocent and means well is the highest level sacrifice.
[03:00:35.902 --> 03:00:37.443]  Gators will break down his view on this.
[03:00:37.443 --> 03:00:38.863]  This is just my own research.
[03:00:38.863 --> 03:00:40.444]  Seeing this pattern over and over again.
[03:00:41.464 --> 03:00:46.086]  And he's an expert on how they have this cult that feeds on the energy of black people, which is true.
[03:00:46.086 --> 03:00:46.827]  I've run into it.
[03:00:46.827 --> 03:00:52.629]  Like, I go to protests at abortion clinics, and black people showed up going, you're not going to stop us getting it.
[03:00:52.629 --> 03:00:58.532]  And so there's this obsession with the energy of black people, and black people and in these Satanists who are white as well.
[03:00:58.532 --> 03:01:02.334]  And so they're the ones saying they're protecting black people when they're obsessed with the energy.
[03:01:02.334 --> 03:01:04.174]  So he'll give you his view on it.
[03:01:04.174 --> 03:01:05.955]  I understand a lot of his perspective.
[03:01:05.955 --> 03:01:07.296]  I've got my own, just from my own research.
[03:01:07.816 --> 03:01:09.537]  But it's all dead on.
[03:01:09.537 --> 03:01:19.760]  So here is the trailer for the 1973 film, Wicker Man, which is based on real rituals of killing the pure warrior.
[03:01:19.760 --> 03:01:27.383]  I could a tale unfold, whose lightest word would harrow up my soul, freeze thy young blood.
[03:01:50.362 --> 03:01:55.283]  I am here to investigate the disappearance of a young girl.
[03:01:55.283 --> 03:01:57.204]  Where is Rowan Morrison?
[03:01:57.204 --> 03:02:01.325]  If Rowan Morrison existed, we would know of him.
[03:02:01.325 --> 03:02:02.366]  I suspect murder.
[03:02:02.366 --> 03:02:06.947]  But Sergeant, I've already told you... In the name of God, woman, what kind of mother are you?
[03:02:06.947 --> 03:02:13.009]  That can stand by and see your own child slaughtered?
[03:02:13.009 --> 03:02:15.369]  You are the fool, Mr. Harry.
[03:02:15.369 --> 03:02:16.990]  You're liars.
[03:02:45.019 --> 03:02:47.481]  Good God in heaven, even these people can't be that mad.
[03:02:59.906 --> 03:03:02.588]  So he thought he was going to save a little girl.
[03:03:02.588 --> 03:03:05.450]  No, they were coming to kill him.
[03:03:05.450 --> 03:03:08.292]  Bishop Larry Gators is our guest.
[03:03:08.292 --> 03:03:09.073]  He takes over.
[03:03:25.458 --> 03:03:43.962]  Right now but I thought of this because in the ritual she says she's raising up her incarnated brother but really her ritual is killing the black male and the male period and they admit that is their ritual but now she's claiming she's killed the male now she's rising the male or ushering in the Antichrist.
[03:03:43.962 --> 03:03:45.783]  Premier Deep Research is that an accurate analysis?
[03:03:47.136 --> 03:03:49.379]  You are 100% right, Alex.
[03:03:49.379 --> 03:03:55.868]  Thank you so much for giving the Bishop an opportunity to come back to grace your powerful program.
[03:03:55.868 --> 03:04:01.335]  Now, thank God for you, Alex, because you are indeed my mentor.
[03:04:01.335 --> 03:04:03.759]  Yes, so then, Black Lives Matter.
[03:04:04.439 --> 03:04:06.340]  Uh, is a threefold paradigm.
[03:04:06.340 --> 03:04:13.762]  The manipulation of reality, the manipulation of time through the prism of the manipulation of probability.
[03:04:13.762 --> 03:04:16.483]  Now, that's Patrisse Cullors, okay?
[03:04:16.483 --> 03:04:25.286]  So, she- And I'm gonna get out of here and let you have the floor, but you said it would really be a black magic ritual, that they would soon reveal themselves and then be destroyed, and then they're now doing it.
[03:04:26.308 --> 03:04:40.096]  Yeah, because their foundation is this West African witchcraft religion called Odu Aifa, which represents the 16 points of demonic possession and infiltration of the human body.
[03:04:40.096 --> 03:04:47.480]  But yet at the same time, Alex, there are 16 Black Lives Matter chapters here in the United States and in Canada.
[03:04:47.480 --> 03:04:49.462]  That is not by accident.
[03:04:49.462 --> 03:04:51.623]  So these three women, okay,
[03:04:52.088 --> 03:04:52.588]  I don't know.
[03:05:14.756 --> 03:05:15.176]  We're good to go.
[03:05:41.796 --> 03:05:47.841]  From the Odu Aifa demonic religion, which is a witchcraft religion through libation.
[03:05:47.841 --> 03:05:55.908]  But let's be clear, as I said earlier, and I want you to elaborate on this, it's the same thing the ancient Druidics did, that the Mesoamericans did, that the Africans did.
[03:05:55.908 --> 03:05:57.409]  Every group's doing the same thing.
[03:05:57.409 --> 03:05:58.290]  That means it's a spirit.
[03:05:59.184 --> 03:06:00.085]  It's a spirit.
[03:06:00.085 --> 03:06:04.207]  See, you and I are not fighting against flesh and blood, but against principalities of power.
[03:06:04.207 --> 03:06:18.938]  So then, our enemy is not the physicality of Black Lives Matter, it is the demonic realm that goes back to Genesis 6, Enoch 6, and Jude 6, 666, historical social distancing.
[03:06:18.938 --> 03:06:25.062]  These are demons, men of God, that you and I are encountering.
[03:06:25.062 --> 03:06:28.204]  But President Trump is going to destroy Black Lives Matter.
[03:06:28.564 --> 03:06:30.266]  In the next year or two, I guarantee you.
[03:06:41.840 --> 03:06:46.522]  Yeah, they can also go to facebook.com forward slash BishopLGators.
[03:06:46.522 --> 03:06:48.963]  That's G-A-I-T-E-R-S.
[03:06:48.963 --> 03:06:53.805]  Also, we are nationally syndicated and internationally syndicated through the Life Radio Network, 92.9 FM, 1468.
[03:06:53.805 --> 03:06:58.206]  It's like you're on iHeartRadio, you're on thousands of stations.
[03:06:58.206 --> 03:06:59.247]  Alright, you're gonna take over.
[03:06:59.247 --> 03:07:01.207]  I'll be listening while I get my work done.
[03:07:01.207 --> 03:07:01.647]  We love you.
[03:07:01.647 --> 03:07:02.348]  We appreciate you.
[03:07:02.348 --> 03:07:03.828]  My God, they're all out in the open.
[03:07:03.828 --> 03:07:07.390]  I knew they were into the occult, but now they admit the whole thing's an occult ritual to bring down America.
[03:07:07.390 --> 03:07:08.150]  We'll be right back.
[03:07:11.018 --> 03:07:13.580]  The party was not going to go on forever.
[03:07:13.580 --> 03:07:25.106]  All the welfare, all the entertainment, all the decadence was only designed to get people domesticated, dumbed down, selfish, and most importantly, isolated.
[03:07:25.106 --> 03:07:30.590]  And now that most of the population is selfish, isolated, and very, very dumbed down and ignorant,
[03:07:31.010 --> 03:07:33.814]  The New World Order is making its move.
[03:07:33.814 --> 03:07:44.669]  And they are now going to weaponize the giant masses of foolish followers who believe they just follow orders, they'll get another little piece of grain like when the chicken pecks at the lever.
[03:07:44.669 --> 03:07:47.773]  But all that they're really going to get is the noose tied around their foolish neck.
[03:07:48.434 --> 03:07:59.481]  Those of us that are aware and informed can laugh at the massive slaves, but remember, they're a dangerous weapon pointed at our throats, and so we've got to save them to save ourselves.
[03:07:59.481 --> 03:08:07.246]  And to do that, we've got to expose the globalists, we've got to take it to them politically, and absolutely annihilate them with the crimes that they've actually committed.
[03:08:07.246 --> 03:08:08.107]  Expose the enemy now.
[03:08:09.600 --> 03:08:12.521]  This is going to come down to a fight over how many people are awake and how many aren't.
[03:08:12.521 --> 03:08:14.061]  They're going to contest an election.
[03:08:14.061 --> 03:08:15.482]  They're going to say Trump lost.
[03:08:15.482 --> 03:08:17.282]  They're super pissed that I'm on air.
[03:08:17.282 --> 03:08:18.363]  I want them shut down.
[03:08:18.363 --> 03:08:19.323]  I want them silenced.
[03:08:19.323 --> 03:08:20.143]  I want them muted.
[03:08:20.143 --> 03:08:21.964]  I think they are horrible for our society.
[03:08:21.964 --> 03:08:23.024]  You kept us on air.
[03:08:23.024 --> 03:08:24.585]  We did the analysis first.
[03:08:24.585 --> 03:08:25.665]  It's now gone mainstream.
[03:08:25.665 --> 03:08:27.746]  We continue to be the epicenter.
[03:08:27.746 --> 03:08:33.847]  And what they've said directly to us is you continue to be the epicenter of our plans not going the way we want.
[03:08:33.847 --> 03:08:35.408]  And you need to stop right now.
[03:08:35.408 --> 03:08:36.608]  And they're very, very serious.
[03:08:36.608 --> 03:08:38.949]  Well, I'm not signing on with a bunch of devil-worshipping child molesters.
[03:08:39.289 --> 03:08:42.270]  This is not going to happen, so they are moving now to destroy me.
[03:08:42.270 --> 03:08:44.812]  I used to say support InfoWars, rescue InfoWars.
[03:08:44.812 --> 03:08:46.772]  Save yourself, save the world.
[03:08:46.772 --> 03:08:47.953]  We're in this together.
[03:08:47.953 --> 03:08:49.394]  Because let me tell you something.
[03:08:49.394 --> 03:08:53.936]  Communism's up here, InfoWars is the dam blocking it, which is all of us together supporting.
[03:08:53.936 --> 03:08:55.936]  And you and I are all down here with our families.
[03:08:55.936 --> 03:08:58.237]  My children are right here!
[03:08:58.237 --> 03:09:00.178]  But I need money to fight a war!
[03:09:00.178 --> 03:09:01.459]  And I need word of mouth!
[03:09:01.459 --> 03:09:02.179]  And I need prayer!
[03:09:02.179 --> 03:09:03.840]  And I need action!
[03:09:03.840 --> 03:09:06.141]  Because that dam's going to come down!
[03:09:06.141 --> 03:09:08.082]  Trump's told you, hell's coming!
[03:09:11.906 --> 03:09:14.528]  You're listening to The Alex Jones Show.
[03:09:37.262 --> 03:09:50.080]  Welcome back to the Alex Jones Show, here with your guest host during the fourth hour of the most powerful radio and television show in America today, The Alex Jones Show.
[03:09:50.080 --> 03:09:52.183]  This is your host and moderator, Bishop Larry Gators.
[03:09:52.623 --> 03:10:03.507]  I am the host of the nationally and internationally syndicated radio broadcast, Global Spiritual Revolution Radio on the Life Radio Network, 92.9 FM, 1460 AM on your dial.
[03:10:03.507 --> 03:10:12.210]  We're also internationally syndicated through both the iHeart Radio Network and the iHeart Media Group here in New York City to New York.
[03:10:12.210 --> 03:10:15.511]  I'm so very excited to be back during the fourth hour
[03:10:16.431 --> 03:10:27.678]  of the most powerful show on the earth today, the Alex Jones Show, to talk about what you and I talked about a few weeks ago concerning the coming destruction of Black Lives Matter.
[03:10:28.234 --> 03:10:32.479]  Black Lives Matter is a trauma-based organization.
[03:10:32.479 --> 03:10:34.862]  Now, one may say, Bishop, what do you mean?
[03:10:34.862 --> 03:10:45.676]  Well, every black organization in American history was not only not founded by black people, but every black organization in America
[03:10:46.400 --> 03:10:49.883]  It's based on trauma and victimhood.
[03:10:49.883 --> 03:10:59.572]  So there is a threefold tier of manipulation that is the foundation of Black Lives Matter and their coming destruction.
[03:10:59.572 --> 03:11:08.701]  And that is the manipulation of reality that we call esochinesis, the manipulation of time, chronokinesis,
[03:11:09.338 --> 03:11:31.131]  Through the prism of the manipulation of probability, Tychokinesis, that's ECT, which is the acronym for the French word, et cetera, et cetera, and that goes back thousands of years to Eastern, Central, and Western Europe, witches and warlocks, through many wicked demonic secret societies,
