[00:00.000 --> 00:01.020]  In the conditioning!
[03:11:53.700 --> 03:12:01.620]  emotional guilt trips this is all about you are not in the polar bureau young lady you do not set
[03:12:01.620 --> 03:12:09.220]  policy let's go to more of this upstart millie weaver daring to speak down to biden here's more
[03:12:09.220 --> 03:12:15.300]  of her report uh this is typical of democrat candidates so they don't tend to have as big
[03:12:15.300 --> 03:12:19.940]  of turnout this is not a really big venue either it's a rather small building behind me that was
[03:12:19.940 --> 03:12:25.220]  filled out this is a right but overall it's interesting because i talked to some of the
[03:12:25.220 --> 03:12:29.940]  shirt guys who follow around the presidential campaigns and what he said is that he's noticed
[03:12:29.940 --> 03:12:43.620]  that the democrat campaigns have much smaller turnouts so let's go talk to some of these
[03:12:43.620 --> 03:12:51.060]  biden supporters what do you think about biden biden not a fan not a fan why are you here then
[03:12:51.780 --> 03:12:57.300]  i'm here just to see what he has to say anybody to be trump anybody to be trump
[03:12:57.300 --> 03:13:03.540]  but i like joe biden i think he's very intelligent i think he's mature experienced i and i think he
[03:13:03.540 --> 03:13:11.700]  has what it takes to be trump um very impressed with him very impressed he said i liked biden
[03:13:11.700 --> 03:13:15.540]  so what what brings you out here what do you like alex jones what do you work for him
[03:13:16.340 --> 03:13:21.140]  so what what brings you out here well how much does he pay you are you satisfied again
[03:13:21.140 --> 03:13:29.220]  how much does he pay you you're not you want me to talk i will not talk how much does he pay you
[03:13:29.780 --> 03:13:35.700]  let's go back to this well alex that's one of the things that it's hard to hear in there he
[03:13:35.700 --> 03:13:40.900]  actually says how much does he pay you are you sleeping with him so he can say this sexist
[03:13:40.900 --> 03:13:47.460]  remark to me and sit there and act like he's an ally to feminists oh by the way by the way millie
[03:13:47.460 --> 03:13:53.300]  we've shaken hands but i'm i'm in love with your power and your will and your courage
[03:13:53.300 --> 03:13:56.500]  and with the great work your husband does i admire you and your family
[03:13:56.500 --> 03:14:00.980]  that's what i'm in love with just like you love what i'm doing how dare him claim when i say i
[03:14:00.980 --> 03:14:05.780]  love a powerful informed woman taking action i tell the whole crew how much i admire you
[03:14:05.780 --> 03:14:12.660]  how dare him boil that down to just sex this isn't about sex no what it is is we all know
[03:14:12.660 --> 03:14:18.260]  that's the case alex of course but this guy is going to essentially he's gonna say you're a sex
[03:14:18.260 --> 03:14:22.740]  object he's gonna say you're not out there because you're a badass reporter who has incredible courage
[03:14:22.740 --> 03:14:26.900]  who's been beat up at pepper spray and called a white supremacist and attacked he's gonna say
[03:14:26.900 --> 03:14:31.700]  you got a job here not because you get 20 million views a month not because you're a badass but because
[03:14:31.700 --> 03:14:37.220]  you're a woman like i said that's the only reason why a woman would be a reporter right that's the
[03:14:37.220 --> 03:14:42.340]  only reason a woman would actually be out there not because she can hold her own and only a leftist
[03:14:42.340 --> 03:14:50.660]  would think like that i mean exactly exactly yet trump has put more women in his cabinet than
[03:14:50.660 --> 03:14:55.540]  any other president and these guys are the ones who want to say oh trump's a a misogynist he's
[03:14:55.540 --> 03:15:00.340]  sexist all this stuff but then this guy can say sexist stuff time pamphlets coming up in 15 minutes
[03:15:00.340 --> 03:15:04.420]  god bless him i seem to take over time he's gonna host but i love him we'll get him his own show soon
[03:15:04.980 --> 03:15:08.420]  as well as you but you're too busy on the road to your own show we already launched one i want to
[03:15:08.420 --> 03:15:11.060]  come back and have you have the floor and play more of the clips at the end of this but yeah
[03:15:11.060 --> 03:15:18.500]  yeah these weird men going oh why are you with info wars are you having sex with jones i mean i
[03:15:18.500 --> 03:15:23.540]  remember the media put pis on us i've never told the story a few years ago but i think i'm gonna
[03:15:23.540 --> 03:15:27.060]  tell it lian's coming into town this week her grandma had brain cancer that's why she left
[03:15:27.060 --> 03:15:32.020]  her while but they had pis on us and were convinced me and lian were dating never happened i've shook
[03:15:32.020 --> 03:15:37.540]  lian's hand they're like convinced i'm like them that if good-looking women work in the building
[03:15:37.540 --> 03:15:44.340]  i'm having sex with them it ain't happening what's happening is i'm f-ing over your globalist agenda
[03:15:44.340 --> 03:15:50.580]  got that god almighty it's insane holy tolita we'll be right back stay with us
[03:15:53.220 --> 03:15:57.780]  hi i'm dan pilla i started fighting the irs over 40 years ago when they tried to seize my mother's
[03:15:57.780 --> 03:16:03.220]  house i sued the irs in one i beat the irs then and i've been beating them ever since i wrote the
[03:16:03.220 --> 03:16:06.900]  book on tax debt settlement and i've helped thousands of people deal with tax problems they
[03:16:06.900 --> 03:16:12.500]  fought might never be solved i can help you too if you owe taxes you can't pay don't wait another day
[03:16:12.500 --> 03:16:19.140]  there's no such thing as a hopeless tax case call 834 no tax or go to my website danpilla.com
[03:16:19.140 --> 03:16:26.180]  that's danpilla.com danpilla.com the united states of empire is a book that claims the united
[03:16:26.180 --> 03:16:32.740]  states is the empire of the world george washington had warned us against foreign wars the united
[03:16:32.740 --> 03:16:39.940]  states of empire shows that world wars one and two left england broken its former colony the us
[03:16:39.940 --> 03:16:46.660]  had to save the empire was there ever a vote who do we fight for the deep state began with world war
[03:16:46.660 --> 03:16:53.940]  one the united states of empire by james dunne available at amazon books okay so a watch is good
[03:16:53.940 --> 03:16:58.500]  and some jewelry better grab some flowers too hey what you're doing mother's day remember oh yeah
[03:16:58.500 --> 03:17:02.180]  so i'm making lists got a plan a trip to the store then need to save all the receipts in case she
[03:17:02.180 --> 03:17:07.060]  wants to return you know there's an easier way right i'm guessing you do yes i'm going to show you
[03:17:07.060 --> 03:17:14.020]  the easy quick way to shop for mom and save 30 at sunshine dash pillows dot com pillows great idea
[03:17:14.020 --> 03:17:18.500]  oh not just pillows sunshine dash pillows dot com has the best selection of custom heated
[03:17:18.500 --> 03:17:23.300]  neck wraps and heated neck pillows she always says she has stress and aches and pains right
[03:17:23.300 --> 03:17:28.740]  look they have hot and cold therapy products oh it says we can buy any select combo up to 150
[03:17:28.740 --> 03:17:35.380]  dollars and get 30 off yep just use this promo code mom 30 you know for a little brother you're
[03:17:35.380 --> 03:17:40.820]  pretty smart get something for every mom on your list and save 30 when you spend up to 150
[03:17:40.820 --> 03:17:45.780]  dollars on any select combo now through mother's day only at sunshine dash pillows dot com use promo
[03:17:45.780 --> 03:17:51.380]  code mom 30 sunshine dash pillows dot com your complete line of therapeutic pillows and pads
[03:17:51.380 --> 03:17:58.340]  the globalists know that if they suppress the good halogen and pump the environment full of
[03:17:58.340 --> 03:18:03.700]  the bad halogens fluoride chlorine bromide you name it that it lowers IQ it literally
[03:18:04.340 --> 03:18:09.380]  dumps the population down and on our quest to bring our listeners and viewers the best iodine
[03:18:09.380 --> 03:18:15.460]  in the world we've gone through two permutations first seaweed based iodine that was pretty good
[03:18:15.460 --> 03:18:19.940]  but hard to source and the globalists tried to block us getting a supply of it so we discovered
[03:18:19.940 --> 03:18:25.940]  deep earth crystals a pure nascent iodine and brought you x2 that's been incredible now due
[03:18:25.940 --> 03:18:30.740]  to the establishment trying to block that we did more research and secured more of the deep
[03:18:30.740 --> 03:18:35.940]  earth crystals of nascent iodine but chemists scientists and others showed us the research
[03:18:35.940 --> 03:18:41.940]  that by combining it with three other compounds two forms of iodine and vitamin c it super
[03:18:41.940 --> 03:18:48.180]  charges it and makes it even more bio available ladies and gentlemen you want to research it
[03:18:48.180 --> 03:18:54.900]  you want to see it it's an incredible discovery x3 now available at m4's live dot com brain force
[03:18:54.900 --> 03:19:03.860]  plus is a top tier new tropic focus clarity energy but instead of having a seven times markup we
[03:19:03.860 --> 03:19:10.740]  have a hundred and fifty percent markup right now it's massively discounted and when you get a bottle
[03:19:10.740 --> 03:19:16.500]  of it at 25 percent off you get a free bottle of what is our total best seller it's not very
[03:19:16.500 --> 03:19:21.460]  profitable because we give it at such a low price but it's amazing and that of course is knockout
[03:19:21.460 --> 03:19:26.500]  ultimate sleep aid so we've got a way to energize you ramp you up in a healthy way during the day
[03:19:26.500 --> 03:19:32.420]  and put you deep into that restful healthy sleep at night it's the brain force and knockout combo
[03:19:32.420 --> 03:19:38.660]  deal 25 percent off brain force and a free bottle of knockout together right now get the combo and
[03:19:38.660 --> 03:19:44.420]  experience both these great products today take advantage of it and fund the m4 m4warslife.com
[03:19:44.420 --> 03:19:51.620]  m4store.com the brain force plus knockout combo right now get your free bottle today at m4store.com
[03:19:56.980 --> 03:19:59.620]  you're listening to the alex jones show
[03:19:59.620 --> 03:20:16.580]  alex jones here back live tom pappard our great local tv station managers taken over
[03:20:16.580 --> 03:20:20.100]  who i want to work out get this own show soon here on the network so i appreciate them holding
[03:20:20.100 --> 03:20:24.580]  all we do all this uh millie weaver yeah you're up there and again this all got followed a while
[03:20:24.580 --> 03:20:29.700]  it was on air you sent me a transcript of someone was in it but you gotta let this come up to you
[03:20:29.700 --> 03:20:36.020]  going honey why you on m4 wars you having sex with alex jones and imagine like if a right
[03:20:36.020 --> 03:20:40.660]  winger said that as if we would ever do it you're good-looking you're smart you've got hundreds
[03:20:40.660 --> 03:20:45.780]  of millions of views on these platforms conservatively god's gotta be a billion now uh you've been on
[03:20:45.780 --> 03:20:52.100]  air as a reporter for m4s off and on for like seven years you're married your husband's running
[03:20:52.100 --> 03:20:58.100]  camera you've just had a baby a few months ago and it's it's like i'm not gonna slap that guy in
[03:20:58.100 --> 03:21:05.140]  the face but man he won't respond to a live tv he won't respond to a camera he just wants to
[03:21:05.140 --> 03:21:10.180]  dehumanize you and do something that no right winger would ever do but that he claims right
[03:21:10.180 --> 03:21:16.740]  wingers are doing it was disgusting oh yeah it was just a way to try to degrade me or try to you
[03:21:16.740 --> 03:21:23.460]  know it dehumanize like you said degrade me make me look like i'm not worth my salt many of the
[03:21:23.460 --> 03:21:30.020]  women standing by actually were not thrilled by him talking that way to a female reporter so even
[03:21:30.020 --> 03:21:34.340]  some of the other women we're gonna play it again and we're gonna play it again but i mean and i just
[03:21:34.340 --> 03:21:39.780]  jump in here not to dominate you because i have to keep being comments i noticed people got upset
[03:21:39.780 --> 03:21:44.260]  by that but i mean this is the standard leftist operation why do you think they act like this
[03:21:44.260 --> 03:21:51.780]  yes well i think they're just hypocrites really double standards hypocrisy run rampant within
[03:21:51.780 --> 03:21:59.060]  the left and they can be vile and nasty and mean and they don't care they see that they do no wrong
[03:21:59.060 --> 03:22:04.580]  because they believe that they have the moral high ground because they adhere to these principles
[03:22:04.580 --> 03:22:08.980]  that are being perpetuated through propaganda well you were a contractor seven years ago for us
[03:22:08.980 --> 03:22:14.420]  you've been here for three years you just like royal flush just like katelyn Bennett i mean
[03:22:14.420 --> 03:22:19.220]  it isn't about women or men but i'm actually telling my crew i'm like we need women it's women
[03:22:19.220 --> 03:22:22.900]  that are dominating and not just because you're a woman the stuff you save the stuff you do
[03:22:22.900 --> 03:22:28.980]  what you catch it's that magic and we're trying to hire women versus cnn it's almost all men
[03:22:28.980 --> 03:22:34.100]  it just seems like a virtue signal it seems like pure crap look you know i don't i don't take it
[03:22:34.100 --> 03:22:39.620]  personal a lot of this slides off my back like water a duck's back i mean i don't care because i
[03:22:39.620 --> 03:22:45.540]  know most of these most of these people are crazy okay so who cares what a crazy person says i mean
[03:22:45.540 --> 03:22:50.180]  they were calling you all kinds of things alex i mean they were just making up stuff like just
[03:22:50.180 --> 03:22:56.260]  one of them you just just imagine that i hire women to have sex imagine that i'm actually
[03:22:56.260 --> 03:23:02.820]  hiring women to have sex with them think of how insulting that is well yeah it was really meant
[03:23:02.820 --> 03:23:08.580]  to insult me uh as a reporter out there that's what his aim was i don't think they even believe
[03:23:08.580 --> 03:23:11.940]  half the stuff let's just say it millie because you've got you've got a great husband and two
[03:23:11.940 --> 03:23:16.020]  children and i'm sure that's passionate it's awesome but let's be honest when you get a video
[03:23:16.020 --> 03:23:20.020]  that gets 20 million views you change the course of humanity and you stand up for your children
[03:23:20.020 --> 03:23:25.380]  is that not the highest thrill in your life well you know katelyn Bennett was actually the one who
[03:23:25.380 --> 03:23:31.540]  just recently got the 20 million i think she got like 50 million oh i she just is off the charts
[03:23:31.540 --> 03:23:35.620]  she is really kicking butt but i'm just saying explain to people what really matters i we didn't
[03:23:35.620 --> 03:23:41.300]  script this i mean i just what's your view on that well i mean my view is that you're always
[03:23:41.300 --> 03:23:46.500]  going to have people who are haters or who love what you're doing when you're actually being um
[03:23:47.700 --> 03:23:51.300]  how would i say when you're actually going out there and doing something that's worth doing
[03:23:51.300 --> 03:23:55.540]  you're gonna have people that hate you or love you sure what i'm saying is what are the highest
[03:23:55.540 --> 03:24:01.940]  points in your life probably falling around the hillary clinton campaign and the trump campaign
[03:24:01.940 --> 03:24:07.620]  and testing you're falling down well that too not it's not like it's the highest point in my life
[03:24:07.620 --> 03:24:12.020]  obviously the highest point emotionally no but that's like shooting shooting torpedoes down the
[03:24:12.020 --> 03:24:17.460]  death star mine shaft but sorry go ahead the highest point in my life was actually having my son i
[03:24:17.460 --> 03:24:24.420]  mean that's my moment of like wow i like i just you know i fulfilled my my dreams my hopes and
[03:24:24.420 --> 03:24:29.700]  you know that's the highest point in my life but as far as like my career i would say following the
[03:24:29.700 --> 03:24:35.380]  trump campaign the hillary campaign participating in what happened in 2016 that was just so amazing
[03:24:35.380 --> 03:24:39.380]  and i hope more people will actually get out there and participate in this next upcoming
[03:24:39.380 --> 03:24:44.820]  election exactly they want to penalize people but they can't stop the masses but you just you
[03:24:44.820 --> 03:24:48.740]  just had your new baby too that was powerful but there's nothing like that first baby is her
[03:24:48.740 --> 03:24:55.940]  it's it's it's that first baby i i love my daughter all the same i love her just as much but just
[03:24:55.940 --> 03:25:00.980]  like the right of passage in the mother explain the switches that get flipped how much is your
[03:25:00.980 --> 03:25:08.180]  iq go up when you had that first baby i don't even know if it's necessarily iq it's that my
[03:25:09.140 --> 03:25:16.980]  confidence my strength my authority um my compassion my empathy all of that just got
[03:25:16.980 --> 03:25:21.860]  heightened to where i'm like it sounds cheesy but i'm like some other bears i don't mess with my kids
[03:25:21.860 --> 03:25:27.940]  you know it's like do not mess with you turned into a war machine for humanity yeah and i
[03:25:27.940 --> 03:25:33.460]  tried to project that out there in my work and stand with strength and i'm not intimidated i
[03:25:33.460 --> 03:25:38.660]  intimidated by these crazy leftists that want to scream and yell my face and threaten me because i
[03:25:38.660 --> 03:25:44.100]  know that you know i what i'm doing is right and i'm a person of faith where i believe that god
[03:25:44.100 --> 03:25:48.740]  protects me and looks out for me because i feel like what i'm doing is in a way
[03:25:48.740 --> 03:25:54.260]  some of his work now i totally agree the force is with you let's go back to your huge reports on
[03:25:54.260 --> 03:25:59.220]  info wars dot com uh we we should get to all of it here but uh papper's coming up here here's more
[03:25:59.220 --> 03:26:03.460]  of this guy saying oh you're on info wars because you have sex with alex jones here he is who said
[03:26:03.460 --> 03:26:08.500]  i like biden so what what brings you out here what do you like alex jones what do you work for him
[03:26:08.500 --> 03:26:13.380]  how much does he pay you what it what brings you out here what how much does he pay you are you sleeping
[03:26:13.380 --> 03:26:20.580]  with him that's that's a pretty uh i would say sexist comment to make against a female reporter
[03:26:20.580 --> 03:26:26.980]  that i have to be sleeping with my my boss in order to have a job that's that's pretty low
[03:26:26.980 --> 03:26:33.460]  that's pretty low do you like biden i'm looking at the field and doing my homework what do you
[03:26:33.460 --> 03:26:42.580]  hope to hear from biden today a plan for a future what do you think about donald trump uh what am i on
[03:26:44.100 --> 03:26:54.020]  not very much i think he's uh a piece of work he wants to build the wall um he is anti-immigration
[03:26:54.020 --> 03:27:04.020]  um he uh has produced tax tax cuts for the wealthy um let's pause again wall street gives 99%
[03:27:04.020 --> 03:27:09.940]  their money to hillary they're trying to crush our border and enslave us right now and these people
[03:27:09.940 --> 03:27:15.060]  are just such followers and i'm not being mean but you look at them they're so physically weak
[03:27:15.060 --> 03:27:21.140]  meli like a woman has great intuition about a man or about women have intuition what is your
[03:27:21.140 --> 03:27:25.300]  intuition about leftist when you're around them i don't feel good they're so weak i just feel like
[03:27:25.300 --> 03:27:33.940]  they're dead yeah they're definitely lost i mean i misinformed lost uh aimed in the wrong direction
[03:27:34.580 --> 03:27:39.700]  it's like they're literally just brainwashed and it's like you can trigger them just by saying
[03:27:39.700 --> 03:27:46.580]  things that you know go against the mainstream media's programming essentially uh so it's crazy
[03:27:46.580 --> 03:27:52.260]  to see that these are like lemmings that all want to run off a cliff into the next illery which is
[03:27:52.260 --> 03:27:57.940]  biden wow the next finisuela well tell people where they can find your videos they're on news wars
[03:27:57.940 --> 03:28:01.700]  dot com they're on info wars dot com only our audience can breathe life into these and get
[03:28:01.700 --> 03:28:05.540]  them out there uh but tell people about your youtube about your twitter about where people
[03:28:05.540 --> 03:28:10.820]  can find the great work you're doing meli well you can go to millennial millie on youtube and
[03:28:10.820 --> 03:28:15.380]  what i will say is that that was just the very beginning of the videos and the other video is
[03:28:15.380 --> 03:28:22.820]  even more impactful where these leftists go crazy they attack me they slander alex jones one lady
[03:28:22.820 --> 03:28:28.340]  i haven't seen this yet what's the name of that one that one is called uninformed leftists get
[03:28:28.340 --> 03:28:33.540]  triggered by facts that was actually pretty funny it's hilarious actually we're gonna have to bleep
[03:28:33.540 --> 03:28:38.500]  that out and air on the war room coming up but we'll we'll get that all right meli you're awesome
[03:28:38.500 --> 03:28:44.100]  gabin gabin's awesome he's a guy behind the camera your husband you're awesome we admire you as a human
[03:28:44.100 --> 03:28:49.540]  soul and we love you and uh all these idiots thinking that we're all having sex or something
[03:28:49.540 --> 03:28:56.260]  it's a little bit deeper than that it's spiritual heart disease is on the rise clogged arteries
[03:28:56.260 --> 03:29:01.540]  high blood pressure and high cholesterol levels may not be fully detected by you but the symptoms
[03:29:01.540 --> 03:29:07.220]  are there loss of energy blood sugar spikes and drops poor circulation and irregular heartbeat
[03:29:07.220 --> 03:29:12.500]  are just a few of these that can alert you that something is wrong here how heart and body extract
[03:29:12.500 --> 03:29:17.620]  is making a difference in thousands of people's lives across america my blood pressure has
[03:29:17.620 --> 03:29:22.500]  normalized my diabetes has totally improved everyone is telling me now how much healthier
[03:29:22.500 --> 03:29:26.580]  i look and i'm telling everyone how much healthier i feel i recommend heart and body extract to
[03:29:26.580 --> 03:29:32.020]  everyone anybody over 40 in the north american continent should be using this product as a
[03:29:32.020 --> 03:29:37.460]  preventative to keep their cardiovascular system healthy order your two month supply today by calling
[03:29:37.460 --> 03:29:47.540]  866-295-5305 that's 866-295-5305 or order online hbextract.com heart and body extract
[03:29:47.540 --> 03:29:56.660]  866-295-5305 or hbextract.com our grandparents the great grandparents know that they can food
[03:29:57.300 --> 03:30:01.700]  during the falls they have it during the winter and that's what i'm talking about
[03:30:01.700 --> 03:30:07.860]  at m4store.com with m4 select it's the full spectrum of my patriot supply on the top
[03:30:08.820 --> 03:30:13.140]  most respected companies out there but because i private label it i'm able to go
[03:30:13.700 --> 03:30:18.900]  below cost on contracts that all their other distributors aren't able to do but i want to
[03:30:18.900 --> 03:30:24.340]  be a market leader and i want you to have swarable food so it's a total win-win we have those incredible
[03:30:24.340 --> 03:30:31.140]  sell prices back m4store.com on m4 select swarable foods they've got special diet foods they've got
[03:30:31.140 --> 03:30:36.740]  three month supplies your supplies weak emergency supplies they've got so many great products there
[03:30:36.740 --> 03:30:41.620]  and you got a three-year supply if stuff happens you can feed your whole block it's up to us to be
[03:30:41.620 --> 03:30:46.900]  self-sufficient you're buying war bonds bringing great products and together with god's help we
[03:30:46.900 --> 03:30:53.380]  are unstoppable m4store.com and m4 select high-quality swarble foods powered by my patriot supply
[03:30:53.940 --> 03:30:58.660]  it's time to show them what a real alpha male looks like with one of our most powerful products
[03:30:58.660 --> 03:31:04.820]  ever made alpha power as you age your body can lose testosterone over time with the incredible
[03:31:04.820 --> 03:31:09.700]  ingredients in this formula we can help you beat the test of time and assist in restoring that
[03:31:09.700 --> 03:31:15.300]  lost energy and move that comes with time and age alpha powers incredible ingredients can help you
[03:31:15.300 --> 03:31:20.180]  boost your sport performance or enhance your day-to-day life with ease while encouraging
[03:31:20.180 --> 03:31:27.380]  hormonal balance perfect by itself or with super male vitality in the true alpha male pack alpha
[03:31:27.380 --> 03:31:32.500]  power can help lose performance help maintain normal testosterone levels support healthy
[03:31:32.500 --> 03:31:38.500]  cholesterol and more let alpha power help bring you to the peak of your optimal health don't fall
[03:31:38.500 --> 03:31:43.940]  short on energy in the fight against tyranny show the world what a true alpha male looks like today
[03:31:43.940 --> 03:31:47.620]  with alpha power head to infowarstore.com today
[03:31:47.620 --> 03:32:00.260]  nurse a probiotic friendly environment in your gut with prebiotic fiber by info wars life
[03:32:01.060 --> 03:32:06.500]  help the good bacteria thrive and support overall digestive health with our specially
[03:32:06.500 --> 03:32:13.540]  formulated prebiotic fiber a mixture of clinically studied and organic acacia fruit and flax fiber
[03:32:13.540 --> 03:32:19.940]  prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria which
[03:32:19.940 --> 03:32:26.340]  helps you digest food absorb nutrients and even support your immune system info wars life's
[03:32:26.340 --> 03:32:32.020]  cutting-edge formula only brings you the highest quality organic and clinically studied ingredients
[03:32:32.580 --> 03:32:38.420]  cheap prebiotic fibers are used up only at the beginning of the colon but our premium organic
[03:32:38.420 --> 03:32:45.540]  acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum
[03:32:45.540 --> 03:32:52.660]  prebiotic effect head to info wars life.com or call 1-888-253-3139
[03:32:56.580 --> 03:32:59.220]  you're listening to the alex jones show
[03:32:59.220 --> 03:33:01.220]  you
[03:33:07.060 --> 03:33:13.220]  yeah here's our new single record from highwayman 2 alpha silver stallion
[03:33:15.220 --> 03:33:18.500]  you know a few bands can do live better than they can do
[03:33:19.940 --> 03:33:25.940]  taped but that is definitely a high woman i'm gonna steal me only christia starverson
[03:33:25.940 --> 03:33:29.940]  and willie nelson survive
[03:33:34.020 --> 03:33:34.580]  teach him
[03:33:36.660 --> 03:33:44.820]  he can trust me like a brother and one day one day we'll saddle up
[03:33:44.820 --> 03:33:55.220]  there and we're gonna ride and we're gonna ride we're gonna ride
[03:33:58.180 --> 03:34:04.500]  ride like a one-eyed jack of diamonds with the devil can use that cheesy we're gonna ride
[03:34:05.620 --> 03:34:11.380]  game of thrones analogy about those dragons that took five seasons to raise but once you raise them
[03:34:11.380 --> 03:34:19.380]  they're fire breathing they're ready that's part of the song i'm going to find me a reckless woman
[03:34:23.860 --> 03:34:32.900]  with razor blades and dice and just a touch of sadness in her fingers
[03:34:32.900 --> 03:34:41.860]  and thunder thunder and lightning in her thigh
[03:34:43.140 --> 03:34:44.340]  oh we're gonna ride
[03:34:46.660 --> 03:34:53.780]  and we're gonna ride we're gonna ride ride like the one-eyed jack
[03:34:56.660 --> 03:34:59.220]  this is america's defense against the globalist cancer
[03:34:59.220 --> 03:35:02.900]  we're gonna ride this is it this is you the audience that are the leaders
[03:35:03.620 --> 03:35:07.860]  you're in the arena right now tom papper takes over i want to invite him to co-host the show
[03:35:07.860 --> 03:35:11.940]  sooner take it over himself i just bad luck for him every time he's about to co-host and i
[03:35:11.940 --> 03:35:15.860]  appreciate him doing it that i ended up taking over but there's so much going on what an epic
[03:35:15.860 --> 03:35:21.780]  time to be alive tom we love you and we appreciate you take it over my friend thank you alex thank
[03:35:21.780 --> 03:35:25.780]  you so much for having me on and it's okay i understand sometimes the news is just so insane
[03:35:25.780 --> 03:35:30.420]  you need to keep going and someday alex when we're all done with this when you can finally
[03:35:30.420 --> 03:35:34.980]  retire like bill bowbaggins let's go create a highwayman cover band because your country music
[03:35:34.980 --> 03:35:39.460]  singing is some of the best out there i have no you're awesome i didn't cover transgender athletes
[03:35:39.460 --> 03:35:44.100]  smash his four women's powerlifting records and then world champion powerlifting women go this is
[03:35:44.100 --> 03:35:49.220]  a joke that's a man they're calling for their arrest i mean this is the level we've hit where
[03:35:49.220 --> 03:35:54.420]  every women's sports gonna be dominated by dude like this is mental illness man they go you don't
[03:35:54.420 --> 03:35:59.380]  like trans people i don't give a damn what you're doing you want to cut your johnson off go ahead
[03:35:59.380 --> 03:36:04.340]  just don't charge me for it but i don't want to go to i don't want to go to one of my daughter's
[03:36:04.340 --> 03:36:09.860]  sports and have some 40 you know how they have adults competing against little kids they're now
[03:36:09.860 --> 03:36:14.740]  saying they identify themselves as young so some 50 year old dudes gonna beat up your five year old
[03:36:14.740 --> 03:36:21.460]  daughter god almighty jesus sorry no you're all right you know i've got a friend here in town he's
[03:36:21.460 --> 03:36:26.900]  a big muscular guy he works out all summer long and i keep telling him craig you and i need to get
[03:36:26.900 --> 03:36:31.780]  together you'll identify as a woman you can even wear a dress oh i think it's a stunt i should try
[03:36:31.780 --> 03:36:38.580]  to go join say six year old girl swimming and i can beat him and i'll just like i'm a six year
[03:36:38.580 --> 03:36:45.060]  old girl and i'll just i'd i'll be in the newspaper with all the blue ribbons in fact i'm doing it that's
[03:36:45.060 --> 03:36:51.380]  a big i'm doing it i am a six year old girl and you know i'm not going to let you know the the men
[03:36:51.380 --> 03:36:55.380]  demand to be in the showers the girls i won't go that far but you know that's where they are go ahead
[03:36:56.100 --> 03:37:01.060]  well and people think we're joking just a couple years ago there was like a 46 or a 52 year old
[03:37:01.060 --> 03:37:07.700]  obese man who said i identify as a six year old now and he found a family to take him in and raise
[03:37:07.700 --> 03:37:13.140]  him as if he's a six year old girl it's absolutely disgusting what oh no let us make people they get
[03:37:13.140 --> 03:37:17.700]  taxpayer money in san francisco to be on a chain and they take the man out and he poops in a field
[03:37:17.700 --> 03:37:25.300]  and they pick it up it is just it's disgusting and you know it's this full assault how are you
[03:37:25.300 --> 03:37:30.580]  racist against against that we need to we need we need to have convicted by the fall school with
[03:37:30.580 --> 03:37:36.180]  small children right because it's empowering you know we had an article up if we keep the baby
[03:37:36.180 --> 03:37:42.660]  comfortable that's right well they they actually said we're going to groom this children that's
[03:37:42.660 --> 03:37:48.740]  what this is all about drag oh yeah we're going to groom them to be part of the lgbt community
[03:37:48.740 --> 03:37:53.220]  isn't that wonderful and progressive and we're just going to have our convicted pedophiles who
[03:37:53.220 --> 03:37:58.500]  rape eight-year-old boys come out and we're going to groom you nothing wrong i shouldn't have taken
[03:37:58.500 --> 03:38:04.980]  over today what do you have in the segments you have to cover here jet on leader i've got a lot
[03:38:04.980 --> 03:38:08.260]  because i've been kind of what listening to the show and i wanted to keep it in line one of the
[03:38:08.260 --> 03:38:14.580]  big things to do are going to keep the audience comfortable and then you and i as the host and
[03:38:14.580 --> 03:38:18.740]  the co-host the guest host we will make a decision as to whether or not we should kill the audience
[03:38:18.740 --> 03:38:26.260]  obviously we don't want the parents involved we just kill the baby all them little goody-tooties
[03:38:27.300 --> 03:38:33.300]  you know it's now trying is he's now trying to find people to say that they were in that
[03:38:33.300 --> 03:38:38.020]  famous blackface kkk photo because you know not only does he like to kill babies but
[03:38:38.020 --> 03:38:43.540]  ostensibly he hates black people and he's trying to find a cover you know i wonder how much he's
[03:38:43.540 --> 03:38:54.580]  gonna pay for those bills why are you being bad tom just let us kill you tom southern loving voice
[03:38:54.580 --> 03:39:04.180]  tom i wonder did he have this moment with the ethereal george soros telling him if he just kills
[03:39:04.180 --> 03:39:12.900]  the baby called southern loving tom it's out of comfort and compassion will make them comfortable
[03:39:12.900 --> 03:39:17.620]  and then we'll just put the ice pick right in the forehead and it'll be totally comfortable and then
[03:39:17.620 --> 03:39:25.460]  we get those little goody woody's oh my and then you just sell it to the highest bidder use that
[03:39:25.460 --> 03:39:30.260]  to fund your campaign hey what do you think what do you think of the fact that it's coming out that
[03:39:30.260 --> 03:39:36.020]  biden's a chi-com operative you know it doesn't surprise me biden has so many disgusting things
[03:39:36.020 --> 03:39:41.220]  surrounding him if big league politics we had an exclusive story where they actually we we have a
[03:39:41.220 --> 03:39:46.260]  person who came forward biden i should add you're a senior writer at bigleaguepolitics.com a total
[03:39:46.900 --> 03:39:53.780]  badass tell us about this so we have this article where biden's daughter-in-law she runs this lawyers
