[00:00.000 --> 00:05.120]  From the front lines of the information war, it's Alex Jones
[01:30:47.880 --> 01:30:57.720]  males and females supercharge and conquer your world at info wars life dot com or call 188-253-3139
[01:30:59.160 --> 01:31:05.560]  2015 is almost here and with it comes those new year's resolutions to finally transform your body
[01:31:05.560 --> 01:31:11.080]  the way you want it there's a reason over 88 percent of new year's resolutions fail make
[01:31:11.080 --> 01:31:16.440]  this year different by equipping yourself with oxy powder the next level in cleansing the body
[01:31:16.440 --> 01:31:22.440]  naturally using super oxygenation oxy powder available through info wars life calm gently
[01:31:22.440 --> 01:31:27.960]  cleanses the body while you sleep with easy capsules info wars nightly news director rob do
[01:31:27.960 --> 01:31:32.680]  has been using oxy powder with incredible success took it that first day and i took it for six more
[01:31:32.680 --> 01:31:37.880]  days after that 12 pounds melted off in about a week i'd say a week seven days and i've been able
[01:31:37.880 --> 01:31:42.040]  to keep it off too my wife is like wow you look really good and i'm like i know i don't i i guess
[01:31:42.040 --> 01:31:47.160]  this is oxy powder 2015 can be different diet and exercise are important but a lot of us have
[01:31:47.160 --> 01:31:53.320]  already tried that oxy powder flushes it out secure your oxy powder at info wars life dot com
[01:31:53.320 --> 01:32:01.560]  as info wars life dot com or 888-253-3139 sold out for weeks through the difficult and extensive
[01:32:01.560 --> 01:32:06.760]  proprietary process behind its creation the exclusive info wars life secret 12 formulation
[01:32:06.760 --> 01:32:12.120]  is now back in stock in the last limited shipment of 2014 the most bioactive form that has been
[01:32:12.120 --> 01:32:17.640]  created with our proprietary process this ultra clean vitamin b12 nutraceutical has been carefully
[01:32:17.640 --> 01:32:22.360]  crafted and developed over the last two years and is based on cellular science of how your body
[01:32:22.360 --> 01:32:27.080]  actively absorbs essential nutrients secret 12 is taken by mouth right on the tongue and then
[01:32:27.080 --> 01:32:33.480]  swallowed no needles no injections vitamin b12 deficiency is linked to scores of serious problems
[01:32:33.480 --> 01:32:39.960]  and secret 12 is a fusion of two organic proprietary forms of vitamin b12 bringing you
[01:32:39.960 --> 01:32:46.520]  a true nutraceutical quality vitamin b12 secret 12 secret 12 is an excellent christmas gift and
[01:32:46.520 --> 01:32:52.680]  is tailor made to boost your new year's resolutions supplies of secret 12 are very limited secure
[01:32:52.680 --> 01:33:04.040]  yours today at info wars life dot com or by calling toll free 888-253-3139 you're listening to the alex
[01:33:04.040 --> 01:33:24.680]  jones show waging war waging war on corruption it's alex jones coming to you live from the
[01:33:24.680 --> 01:33:38.520]  front lines of the info war
[01:33:38.520 --> 01:33:56.200]  all right i really want to endeavor to get as many of your calls as possible and i want
[01:33:56.200 --> 01:34:02.120]  to get to some science tech news very interesting the dominant life form in the cosmos is probably
[01:34:02.120 --> 01:34:11.240]  super intelligent robots we're going to look at this report and break some of it down now it ties
[01:34:11.240 --> 01:34:17.240]  in with california puzzles of her safety of driverless cars i'm just going to hammer this because
[01:34:17.240 --> 01:34:24.600]  it's such a good christmas deal we only do it during the holiday season every year and it also
[01:34:24.600 --> 01:34:29.400]  helps pay for the cameras the reporters the researchers and so much what we do in the bandwidth
[01:34:29.400 --> 01:34:35.160]  but has bandwidth has gotten cheaper we've gone from 595 a month for one person to be able to
[01:34:35.160 --> 01:34:43.080]  watch info wars nightly news and all the films and prison planet dot tv going back 15 years is
[01:34:43.080 --> 01:34:50.200]  how long it's been around or since 2000 i guess 14 years about to be 15 years all that material
[01:34:50.200 --> 01:34:56.840]  all those archive shows all the new nightly news shows hd of the radio show all of it commercial
[01:34:56.840 --> 01:35:05.160]  free podcast 29 95 said a 54 95 when you sign up for a year that's something like 20 cents we do the
[01:35:05.160 --> 01:35:11.960]  math per person because 20 people can use each membership just create an original username
[01:35:11.960 --> 01:35:17.320]  and passcode that you can share with friends and family share it with them you can go buy one monthly
[01:35:17.320 --> 01:35:25.000]  membership or 595 or get a yearly 29 95 and then 20 people that's 20 people you're done shopping for
[01:35:25.000 --> 01:35:30.920]  here's a card here's an online video site just like netflix or whatever but a bunch of underground
[01:35:30.920 --> 01:35:37.960]  films and a live you know nightly news sometimes taped to air the live radio show here it is
[01:35:37.960 --> 01:35:44.200]  here's your membership seven months free basically right now when you sign up for a year prison
[01:35:44.200 --> 01:35:54.040]  planet dot tv or info wars news dot com and it is a late christmas gift you can give and
[01:35:54.040 --> 01:35:58.440]  not battle all that traffic and the rest of it but again more than that if you've got a membership
[01:35:58.440 --> 01:36:03.160]  share it with friends and family if you get with your friends and family and say hey while you're
[01:36:03.160 --> 01:36:08.440]  at dinner christmas eve or christmas day hey let me download this free iphone or droid app at
[01:36:08.440 --> 01:36:16.440]  info wars dot com listen to this that's how we reach people is you and that's how we're going to
[01:36:16.440 --> 01:36:20.600]  awaken more people so i want to thank you all for your support this christmas and i'm done
[01:36:20.600 --> 01:36:25.240]  plugging i usually plug like you know once a show on sunday but i'm plugging every few segments because
[01:36:25.240 --> 01:36:29.720]  this is so important i'm not like other talk show hosts that plug coming in and out of each break
[01:36:29.720 --> 01:36:35.400]  we just plug maybe once an hour or so well it's just so important to wake people up and spread
[01:36:35.400 --> 01:36:40.360]  the word and you know i've been on stations sometimes 10 years and they sell they change
[01:36:40.360 --> 01:36:46.360]  formats or espn's come in over 100 stations we've been on over the years i always hear oh we're
[01:36:46.360 --> 01:36:52.360]  sorry mr jones your show's popular has ratings but it's selling or we're going to espn that just
[01:36:52.360 --> 01:36:59.400]  happens all the time we were on the air like eight years in corpus christy had top ratings espn so
[01:36:59.400 --> 01:37:05.000]  remember info wars dot com prison planet dot com remember where you can always find the show
[01:37:05.000 --> 01:37:09.880]  and remember the system wishes you didn't okay i want to go to christy and andrew and patrick
[01:37:09.880 --> 01:37:13.960]  and all the people holding but richard and ron island finishing your point for those that don't
[01:37:13.960 --> 01:37:20.440]  know spoke in washington became a national news story two weeks ago we first aired it last sunday
[01:37:20.440 --> 01:37:25.080]  but it broke last friday so about eight days ago when a listener gave us a video of a sheriff's
[01:37:25.080 --> 01:37:29.800]  deputy saying we need this armored tank because the constitutionalist there's a lot of guns in the
[01:37:29.800 --> 01:37:35.400]  county turns out it's the sheriff that's ordering him to say that he was just parroting that so yeah
[01:37:35.400 --> 01:37:42.120]  i don't want to demonize that deputy himself but the sheriff has come out and said info wars
[01:37:42.120 --> 01:37:49.560]  wants violence on police and we've got that clip and that is a bunch of bull go ahead
[01:37:50.760 --> 01:37:55.880]  alex uh in closing i'd like to say that the good policemen out there join oath keepers
[01:37:56.440 --> 01:38:02.200]  stop the blue wall of silence because the burly cops are going to get you killed and to the people
[01:38:02.200 --> 01:38:08.520]  that get stopped by by police i think they should uh meet them halfway we're in trying times if they
[01:38:08.520 --> 01:38:14.600]  ask for id give it to them and try to be cordial they might be cordial back to us absolutely when
[01:38:14.600 --> 01:38:19.320]  you're cordial with the police it's always a lot better i mean i've had cases just randomly
[01:38:20.280 --> 01:38:25.560]  where some roided up shaved head big white cop i was downtown like six seven years ago walking
[01:38:25.560 --> 01:38:32.200]  out of a restaurant and uh i wouldn't even look at him and the guy like looked at me he goes you
[01:38:32.200 --> 01:38:36.360]  looking for some trouble you want something and i was just like man this guy knows who i am he wants
[01:38:36.360 --> 01:38:43.080]  to beat me up and i'm just ignoring but i mean there are obviously weirdos that go get badges
[01:38:43.880 --> 01:38:50.600]  and the feds want that but it doesn't mean then we just hate everybody it's the same deal i mean
[01:38:50.600 --> 01:38:57.880]  almost got to this earlier i grew up in a suburb of dallas i couldn't imagine if i grew up in
[01:38:57.880 --> 01:39:07.080]  actual south dallas but i grew up and i would go to garland and richardson and visit friends that
[01:39:07.080 --> 01:39:13.960]  had moved away from rock wall and i mean i used to know it was just so bizarre i was thinking about
[01:39:13.960 --> 01:39:17.480]  the numbers the other day i said i've probably been attacked racially 20 times now it's worse than
[01:39:17.480 --> 01:39:25.160]  that i was probably attacked racially 20 times in the sixth grade where there were like black kids
[01:39:25.160 --> 01:39:30.920]  that had flunked some of them were hispanic to him i'm i'm i'm just being stereotypical that's
[01:39:30.920 --> 01:39:35.320]  just what happened to me i guess there were a few rednecks that had flunked two or three
[01:39:35.320 --> 01:39:37.960]  grades it would start fights too but that was later in high school when i got in fights with a
[01:39:37.960 --> 01:39:43.480]  bunch of rednecks but and you beat one up when they fight and then you got to fight their older
[01:39:43.480 --> 01:39:48.040]  brother and you're at a sonic and you're 16 the guy pulls up and gets out and says you know i mean
[01:39:48.040 --> 01:39:53.640]  college football player you put my brother in the hospital i won't kill you and like almost
[01:39:53.640 --> 01:39:58.200]  rips your car door off i mean that's the kind of stuff growing up in dallas i say i like the
[01:39:58.200 --> 01:40:01.640]  liberal culture and not getting in fights with me and macho because i grew up in dallas used to be
[01:40:01.640 --> 01:40:07.720]  the murder capital of the us and i mean let me tell you something i mean i've been in the hospital
[01:40:07.720 --> 01:40:14.520]  probably 10 times broken leg concussions broke i mean you know i mean i have been in just epic
[01:40:14.520 --> 01:40:21.480]  battles and especially when i was young man because i noticed the so-called minorities once
[01:40:21.480 --> 01:40:26.280]  i got bigger and older they weren't it was mainly minorities beating me up when i was in sixth seventh
[01:40:26.280 --> 01:40:31.240]  eighth and ninth grade and i mean they would just be sitting there going you little white cracker
[01:40:31.240 --> 01:40:37.080]  piece of and just you know and i learned to fight because of that and i don't then look at black
[01:40:37.080 --> 01:40:44.280]  people and think and hate them i mean i guarantee you eric holder hasn't been beat up 20 times in
[01:40:44.280 --> 01:40:51.240]  one year by black people the whining uh attorney general i mean give me a break i mean i have had
[01:40:51.960 --> 01:40:56.120]  270 pound black guy when i was like 14
[01:41:00.040 --> 01:41:04.520]  beating the beating me to a pulp and you know what i did i blacked out
[01:41:05.080 --> 01:41:10.120]  no pun intended and just started just getting really vicious and the police got there and
[01:41:10.120 --> 01:41:15.080]  they're like how did this kid just we're putting this guy in an ambulance i don't know i snapped
[01:41:15.080 --> 01:41:22.920]  i snapped and that's what happened and i snapped ever since by the way and but i am not a racist
[01:41:22.920 --> 01:41:27.320]  because of that i mean it's just it's unbelievable how much i've been attacked by black people i mean
[01:41:27.320 --> 01:41:35.400]  it's just over the top i mean i've got scars all over my head scar in my eyebrow uh because they
[01:41:35.400 --> 01:41:43.000]  were taught that i'm white i deserve to be beat up and that is exactly what's going on now
[01:41:50.760 --> 01:41:54.920]  and i just am sick of it i'm tired of it i'm tired of being accused of being a racist when all i
[01:41:54.920 --> 01:41:59.240]  want is freedom and for everybody to have a good life and go forward and now i see folks moving in
[01:41:59.240 --> 01:42:04.200]  from a louisiana and from dallas and houston into austin and man it's just what i grew up around
[01:42:04.200 --> 01:42:08.840]  i beat up white people every night and the politically correct police and all of them
[01:42:08.840 --> 01:42:13.080]  they just cover it up well you're gonna cover it up cops when you start getting shot in the head
[01:42:13.080 --> 01:42:19.880]  because you're a cop and it's all the democratic party selling race politics teaching people that
[01:42:19.880 --> 01:42:24.520]  it's okay to burn down buildings it's okay to shoot people it's okay to beat a white guy to death
[01:42:24.520 --> 01:42:31.240]  with a hammer it's okay to rape somebody because they're white it's wrong just like when the kook
[01:42:31.240 --> 01:42:37.000]  logs clan pulls up to some black guy and drags him down the highway and kills him that's disgusting
[01:42:37.560 --> 01:42:42.600]  well it's disgusting when it happens in st louis there's been like five white people the last
[01:42:42.600 --> 01:42:47.080]  few weeks beat to death in st louis because they were white turns out they're from like eastern
[01:42:47.080 --> 01:42:53.800]  europe in an enclave never owned slaves i mean it's just it's stupid but the media is pushing it
[01:42:53.800 --> 01:43:04.040]  and there to blame media matters msnbc as the year is coming to a close we all pause to reflect on
[01:43:04.040 --> 01:43:10.280]  what's happened in the past year we take a step back and thank god for what we have i'm david hall
[01:43:10.280 --> 01:43:15.640]  founder of diamond gusset genes at diamond gusset we are celebrating the brush fires of liberty
[01:43:15.640 --> 01:43:21.880]  that are spreading across this great nation another thing we are celebrating is you without the valued
[01:43:21.880 --> 01:43:27.960]  listeners of alex jones and our loyal customers we wouldn't be here today we offer a wonderful
[01:43:27.960 --> 01:43:33.720]  online shopping experience if you receive a pair that doesn't fit send them back and we'll exchange
[01:43:33.720 --> 01:43:41.080]  them at no cost to you beat the shopping rush by visiting us at gusset.com and join our email
[01:43:41.080 --> 01:43:47.720]  newsletter to receive some great holiday discounts and paying no attention to political correctness
[01:43:47.720 --> 01:43:52.920]  diamond gusset wants to wish you all a merry christmas thanks for believing in our dream
[01:43:52.920 --> 01:43:56.920]  the original 100 american made diamond gusset gene
[01:44:00.040 --> 01:44:05.560]  several months back i started taking your nixon ira and your super meal prior to this i was barely
[01:44:05.560 --> 01:44:12.040]  walking now i'm able to function there and heal me again info wars lives dot com you've heard the
[01:44:12.040 --> 01:44:19.880]  callers of the show your products are great i use dna force i use x2 super male vitality
[01:44:19.880 --> 01:44:25.400]  and lung cleanse every day they're great stuff whether it's survival shield nascent iodine
[01:44:25.400 --> 01:44:32.840]  or dna force super male vitality super female vitality lung cleanse fluoride shield oxy powder
[01:44:32.840 --> 01:44:38.360]  i believe that all of these products will blow you away like they've done the thousands of other
[01:44:38.360 --> 01:44:44.520]  customers that have visited info wars life dot com there's two um just just amazing what it's able
[01:44:44.520 --> 01:44:49.640]  to do to actually detoxing the body it's great stuff check out info wars life dot com today
[01:44:49.640 --> 01:45:00.600]  and the entire line of groundbreaking cutting edge hard core products sold out for weeks through
[01:45:00.600 --> 01:45:05.720]  the difficult and extensive proprietary process behind its creation the exclusive info wars life
[01:45:05.720 --> 01:45:11.880]  secret 12 formulation is now back in stock in the last limited shipment of 2014 the most bioactive
[01:45:11.880 --> 01:45:17.320]  form that has been created with our proprietary process this ultra clean vitamin b12 nutraceutical
[01:45:17.320 --> 01:45:21.960]  has been carefully crafted and developed over the last two years and is based on cellular science
[01:45:21.960 --> 01:45:26.840]  of how your body actively absorbs essential nutrients secret 12 is taken by mouth right on the
[01:45:26.840 --> 01:45:32.760]  tongue and then swallowed no needles no injections vitamin b12 deficiency is linked to scores of
[01:45:32.760 --> 01:45:39.560]  serious problems and secret 12 is a fusion of two organic proprietary forms of vitamin b12
[01:45:39.560 --> 01:45:45.880]  bringing you a true nutraceutical quality vitamin b12 secret 12 secret 12 is an excellent
[01:45:45.880 --> 01:45:51.720]  christmas gift and is tailor made to boost your new year's resolutions supplies of secret 12 are
[01:45:51.720 --> 01:45:57.400]  very limited secure yours today and info wars life dot com are by calling toll free 888 to
[01:45:57.400 --> 01:46:05.640]  533139 for all of recorded history civilizations around the world praised the health benefits
[01:46:05.640 --> 01:46:11.480]  of silver at info wars life our mission is to bring you the highest quality purest cleanest
[01:46:11.480 --> 01:46:16.680]  effective colloidal silver on the market today for the lowest price available you don't have to
[01:46:16.680 --> 01:46:22.280]  be a doctor to know the fall and winter months are the most dangerous time of year in north america
[01:46:22.280 --> 01:46:27.640]  when it comes to you and your family's health info wars life dot com is very excited to announce
[01:46:27.640 --> 01:46:33.320]  our biggest run yet of silver bullet colloidal silver exclusively available at info wars life
[01:46:33.320 --> 01:46:38.280]  dot com now info wars life dot com has taken colloidal silver to the next level using a cutting
[01:46:38.280 --> 01:46:42.680]  edge technique that is free of toxic artificial additives now more than ever it's important to
[01:46:42.680 --> 01:46:48.200]  stock up on high quality silver bullet from info wars life dot com and to help others during christmas
[01:46:48.200 --> 01:46:53.400]  by teaching them about the powerful benefits of silver secure your silver bullet today at info
[01:46:53.400 --> 01:47:04.200]  wars life dot com are by calling toll free 888 to 533139 you're listening to the alex jones show
[01:47:04.200 --> 01:47:20.120]  hello this is hank hill and i'm telling you what you need to listen to alex jones
[01:47:20.120 --> 01:47:35.480]  live from austin texas broadcasting worldwide it's alex jones
[01:47:41.160 --> 01:47:47.240]  i want to go quick for your calls now christine andrew chris patrick victor bill bubba and others
[01:47:47.240 --> 01:47:51.640]  and then lord willow will be back tomorrow live i'll be here all week because i missed some
[01:47:51.640 --> 01:47:56.360]  last week with family stuff i'm going to be here except christmas day christmas eve i'm going to
[01:47:56.360 --> 01:48:03.320]  be on the air on over 170 something affiliates weekdays over 100 affiliates uh on the sunday
[01:48:03.320 --> 01:48:08.840]  transmission we're going to be here lord willing because you never know uh tomorrow please don't
[01:48:08.840 --> 01:48:17.000]  forget the free iphone apps android apps and info wars dot com forward slash show right now let's go
[01:48:17.000 --> 01:48:22.840]  ahead and talk to christine and oklahoma go ahead christine you're on the air hello alex this is
[01:48:22.840 --> 01:48:31.800]  uh christine um back when i was going to school uh at a major university in oklahoma um i had some
[01:48:31.800 --> 01:48:39.080]  friends of mine that were from different parts of the world um uh one of my friends happened to be
[01:48:40.200 --> 01:48:47.720]  from pakistan and his dad happened to be uh i guess the equivalent of our fifth star general here
[01:48:47.720 --> 01:48:53.000]  in the united states is what his dad was what he brought back from going on vacation he came back
[01:48:53.000 --> 01:49:03.640]  with a video from a cia agent um that happened to go about describing everything that you've talked
[01:49:03.640 --> 01:49:11.960]  about you know like special like rfid chips and things like that how our movies are conditioning
[01:49:11.960 --> 01:49:18.360]  us to uh what's going to happen here soon uh a lot of those movies happen and be movies that
[01:49:18.360 --> 01:49:25.000]  Arnold Schwarzenegger was in um and i didn't believe it at all at first until all this other
[01:49:25.000 --> 01:49:33.320]  stuff started happening he told me that he kind of warned me that you know um the radical as long
[01:49:33.320 --> 01:49:44.520]  as this would eventually attack united states um i didn't really oh yeah the homeland security now
[01:49:44.520 --> 01:49:49.800]  says another as long as this 9-11 is imminent which still lets somebody attack us or whatever
[01:49:49.800 --> 01:49:56.280]  and then take more of our freedoms isn't that great yeah i just i never really had anybody
[01:49:56.280 --> 01:50:02.760]  to talk to about it before and when i started listening to your show it really just started
[01:50:02.760 --> 01:50:12.120]  hitting me and dawned on me how severe this is well your response is normal people should be
[01:50:12.120 --> 01:50:17.480]  really freaking out to try to stop all this i mean the president's operating as a dictator right now
[01:50:18.040 --> 01:50:24.280]  the sky's the limit we're canceling movies because north korea doesn't like them and the north korea
[01:50:24.280 --> 01:50:29.560]  denies they're doing that i mean who knows what's going on right now we know this they just passed
[01:50:29.560 --> 01:50:36.040]  the law to sign us on to unlimited derivatives bigger than the banker bailout i mean get ready
[01:50:36.040 --> 01:50:43.160]  the next shoe is about to drop folks i just it really worries me because i you know i really
[01:50:43.160 --> 01:50:48.920]  didn't i didn't understand it but fully until he said just watch and see what's going to happen he said
[01:50:49.560 --> 01:50:54.520]  all these different things are going to happen before you know it's going to get really bad and
[01:50:54.520 --> 01:51:01.160]  i i didn't i didn't understand it until then and um happened to be funny because at the time one of
[01:51:01.160 --> 01:51:09.160]  my roommates happened to be a you and diplomat son and uh he didn't quite understand it as well as
[01:51:09.160 --> 01:51:17.480]  in himself and it was it was just really i mean the most terrifying video i had ever seen well
[01:51:17.480 --> 01:51:25.080]  was it on youtube or was it a private video no it was a private vhs tape that his that his son
[01:51:25.080 --> 01:51:32.040]  had gotten from his office oh my god well you know i you know the general hami ghoul who was
[01:51:32.040 --> 01:51:37.640]  basically the head of the armed forces in pakistan and ran the cia operation against the russians
[01:51:38.280 --> 01:51:45.480]  he's been on the show we should try to get him back on he only comes on my show he'll go on bbc
[01:51:45.480 --> 01:51:50.760]  sometimes i'm not bragging it's just that he comes on because he believes my analysis is so accurate
[01:51:50.760 --> 01:51:55.720]  and that's basically what he talks about and he wants to be friends with america but he's
[01:51:55.720 --> 01:51:59.720]  explaining how al-qaeda and everything's really run by criminals in our government how they're
[01:51:59.720 --> 01:52:03.560]  going to turn them loosely stabilize the middle east he said that three years ago before it all
[01:52:03.560 --> 01:52:08.120]  happened and now you see what's happening with isis thank you for the call christine send me a copy
[01:52:08.120 --> 01:52:13.960]  of that vhs you got it around let's talk to christ in new york you're on the year go ahead
[01:52:13.960 --> 01:52:19.400]  hey elix good sir go ahead you say you were targeted by the nypd
[01:52:20.760 --> 01:52:26.920]  oh no no i wasn't talking about nypd i don't like to talk about the nypd they're way too aggressive
[01:52:26.920 --> 01:52:32.280]  down here in new york man especially they've been really rude to me listen i listen i the worst police
[01:52:32.280 --> 01:52:37.640]  i've seen even though a lot of them are listeners i've said is you can see it in my film marshal law
[01:52:37.640 --> 01:52:41.480]  that they would threaten to arrest me for just filming on the street and i'd say first amendment
[01:52:41.480 --> 01:52:47.480]  they'd say listen shut up scum i'm gonna arrest you so yes the nypd's got big problems no i'm
[01:52:47.480 --> 01:52:52.040]  talking about to the point if you go to down to the projects where the slums are if you go in there
[01:52:52.040 --> 01:52:57.160]  like the police is so crazy over there if you walk out of your apartment they'll come out of the
[01:52:57.160 --> 01:53:01.800]  staircase and say what are you doing here you know and you'll have flip flops out throwing
[01:53:01.800 --> 01:53:06.920]  out the garbage and actually a question like do you live here or something like that which is
[01:53:06.920 --> 01:53:10.840]  just ridiculous because you don't go out to long island next cop when he comes out of his house
[01:53:10.840 --> 01:53:15.480]  and throw out the garbage if he lives there you see what i'm saying no i hear you i hear you it's
[01:53:15.480 --> 01:53:19.400]  a sickening situation what do you what do you make of it all what do you think it's going
[01:53:21.080 --> 01:53:27.160]  i think it's a period somebody is up high up whoever the whoever's running the nypd is starting
[01:53:27.160 --> 01:53:31.160]  from the top down they come into the offices to act like that and they got some of these officers
[01:53:31.160 --> 01:53:36.280]  at juice stop too a lot of them i know this because i used to work out now it's very it's a personal
[01:53:36.280 --> 01:53:41.320]  affair these guys at juice stop it coming out of the van hyped up beating up young kids that look
[01:53:41.320 --> 01:53:46.920]  like dogs these kids are like paper thin you know these guys are grown men look like football players
[01:53:46.920 --> 01:53:53.640]  kicking these kids asses it's just ridiculous they got a bunch of videos online of them kicking
[01:53:53.640 --> 01:53:59.720]  everybody's ass you know and no i know and and and certainly there's some problems and it's bad
[01:53:59.720 --> 01:54:04.920]  and i'm the guy that's always criticizing it but you notice how they've trained them to act like
[01:54:04.920 --> 01:54:11.800]  this now there's the response it's going to cause a civil war all i'm saying is the fixes in the system
[01:54:11.800 --> 01:54:17.160]  is trying to manipulate this uh and no amount of armored vehicles or you name it is going to end up
[01:54:17.160 --> 01:54:22.600]  protecting the establishment i'm just saying if you don't like what's happening the target is not
[01:54:24.600 --> 01:54:29.160]  the cop on the beat i mean i could see people in new york carrying a gun and if somebody
[01:54:29.160 --> 01:54:33.000]  whoever they are is attacking you and killing you gotta defend yourself but randomly killing two
[01:54:33.000 --> 01:54:40.680]  guys in a car will then just legitimize uh the whole situation but what i'm saying is look at
[01:54:40.680 --> 01:54:46.280]  how the democratic party is promoting attack the police why do you think they want that
[01:54:47.160 --> 01:54:51.320]  while they're protected by them they want to create a bunch of burning cities
[01:54:51.320 --> 01:54:56.360]  as a distraction but i hear you chris could hear from you it is sickening i mean i've been in new
[01:54:56.360 --> 01:55:01.560]  york and when you see cops with their hats on sideways they weigh 300 pounds with their bellies
[01:55:01.560 --> 01:55:06.200]  hanging out smoking cigarettes what you're looking at and then you others the other cops are really
[01:55:06.200 --> 01:55:10.680]  nice and hey we're listeners alex how you doing it's unions that are above the law
[01:55:13.400 --> 01:55:20.280]  and then it's it's and by the way black white cops i don't care i mean they just have got
[01:55:20.280 --> 01:55:25.000]  some real pieces of work and i've had new york cops with me that i can't even understand their
[01:55:25.000 --> 01:55:32.200]  english their foreigners we got video why you film why you film i'm just getting a shot of
[01:55:32.200 --> 01:55:36.760]  wall street here i'm a you you get permit a new york doesn't give permits first amendment
[01:55:37.560 --> 01:55:42.840]  all right gonna kick your ass you know start pulling out the billy club it's just like whoa man
[01:55:42.840 --> 01:55:45.560]  i've been to third world countries cops don't act like this i get it
[01:55:45.560 --> 01:55:53.480]  i get it but patrick in pennsylvania you're on the air go ahead
[01:55:54.520 --> 01:55:58.600]  hey thanks for taking my call alex i agree with both you and the last caller
[01:55:59.240 --> 01:56:04.200]  with regards to the two cops that were executed in new york you know it's very unfortunate maybe
[01:56:04.200 --> 01:56:09.480]  they did nothing wrong they certainly didn't deserve that but this type of mentality that people have
[01:56:09.480 --> 01:56:14.040]  against the cops is certainly genuine i mean these cops are getting away with murder everywhere
[01:56:14.040 --> 01:56:19.400]  they go look at kelly commas look at across united states what they're doing and and nothing is
[01:56:19.400 --> 01:56:23.880]  happening they're getting away with it and so people have this great deal of anger and they
[01:56:23.880 --> 01:56:28.520]  want to take it out and certainly that was unjust what happened to the people but i could
[01:56:28.520 --> 01:56:33.320]  certainly see where they're coming from number one and number two you know look at look at the union
[01:56:33.320 --> 01:56:38.760]  what they did when mayor de blasio walked into the hospital these thug cops turned around and
[01:56:38.760 --> 01:56:43.400]  gave him their back and that's fine you don't have to agree with the mayor or not but these cops
[01:56:43.400 --> 01:56:48.840]  are public servants and on your website you have someone post the comment that they were they were
[01:56:48.840 --> 01:56:53.640]  like total thugs like who they are they're getting taxpayer money to do a job but they don't want a
[01:56:53.640 --> 01:56:58.520]  job and quit and have someone else do it but just because they disagreed with the mayor statements
[01:56:58.520 --> 01:57:02.920]  they turned around and gave them their back and i'm thinking you know i'm glad other people feel
[01:57:02.920 --> 01:57:11.400]  the same way i do no i hear you here's the paradox uh bonjino running running for congress uh
[01:57:11.400 --> 01:57:17.000]  dan bonjino highly decorated secret service guy ran foreign operations he told me that new york cops
[01:57:17.000 --> 01:57:21.640]  are huge fans well i already know a bunch of new york cops that send me really good information
[01:57:21.640 --> 01:57:27.400]  so i'm saying is it's kind of like serpa co was a good guy i agree though they've hired a bunch of
[01:57:27.400 --> 01:57:32.680]  scum but you then here's what i'm saying there's a larger issue to get us fighting with each other
[01:57:32.680 --> 01:57:37.160]  i'm not saying people don't have a right to be mad i'm saying why does the why do the social
[01:57:37.160 --> 01:57:42.040]  engineers want us to just playing cops because they want to get the low level people getting the
[01:57:42.040 --> 01:57:47.560]  blame not the high ups getting the heat let's put the heat on them everybody have a great christmas
[01:57:47.560 --> 01:57:55.560]  we love you the average person's life is filled with unexpected challenges unlock the energy it
[01:57:55.560 --> 01:58:02.280]  takes to defeat these daily beast with super male or super female vitality specifically designed to
[01:58:02.280 --> 01:58:09.160]  assist the body in regulating proper hormone balance to create superior vitality in males and
[01:58:09.160 --> 01:58:17.960]  females supercharge and conquer your world at in force life dot com or call 188-253-3139
[01:58:19.560 --> 01:58:24.280]  the government's department of homeland security is buying up loads of ammo at the same time the
[01:58:24.280 --> 01:58:29.800]  restricting civilians rights to own and purchase firearms can you put two and two together infidel
[01:58:29.800 --> 01:58:36.040]  body armor can stop every round including hollow points and 308 sniper rounds is reasonably priced
[01:58:36.040 --> 01:58:44.040]  and fully legal but for how long go to infidel body armor dot com spelled i-n-f-i-d-e-l body armor
[01:58:44.040 --> 01:58:53.000]  dot com infidel body armor just won't quit 2015 is almost here and with it comes those new year's
[01:58:53.000 --> 01:58:59.000]  resolutions to finally transform your body the way you want it there's a reason over 88 percent
[01:58:59.000 --> 01:59:04.520]  of new year's resolutions fail make this year different by equipping yourself with oxy powder
[01:59:04.520 --> 01:59:10.200]  the next level in cleansing the body naturally using super oxygenation oxy powder available
[01:59:10.200 --> 01:59:15.960]  through info wars life dot com gently cleanses the body while you sleep with easy capsules tens of
[01:59:15.960 --> 01:59:21.400]  thousands of individuals have used oxy powder to cleanse their bodies and aid in their transformations
[01:59:21.400 --> 01:59:27.240]  even info wars nightly news director rob do has been using oxy powder with incredible success took
[01:59:27.240 --> 01:59:31.480]  it that first day that took it for six more days after that 12 pounds melted off in about a week
[01:59:31.480 --> 01:59:37.080]  i'd say a week seven days 2015 can be different diet and exercise are important but a lot of us
[01:59:37.080 --> 01:59:42.920]  have already tried that oxy powder flushes it out secure your oxy powder at info wars life dot
[01:59:42.920 --> 01:59:58.840]  com at info wars life dot com or 888-253-3139
