[00:00.000 --> 00:10.000]  It's Sunday, January 22nd, 2023.
[01:35:23.000 --> 01:35:27.000]  For whatever reason, your family, your background, your connection.
[01:35:27.000 --> 01:35:34.000]  There are a bunch of these evil people that have got to get the message because God wants them served with a notice.
[01:35:34.000 --> 01:35:38.000]  And there's a bunch of them are going to join us and help us do the right thing.
[01:35:38.000 --> 01:35:41.000]  But the other ones got to be served.
[01:35:41.000 --> 01:35:43.000]  They got to be given their warning.
[01:35:43.000 --> 01:35:45.000]  And that's what I'm doing.
[01:35:45.000 --> 01:35:47.000]  And that's why I do it.
[01:35:47.000 --> 01:35:50.000]  So it isn't that you don't matter.
[01:35:50.000 --> 01:35:53.000]  You're already on the team.
[01:35:53.000 --> 01:35:57.000]  We already thank God you're already on board.
[01:35:57.000 --> 01:36:07.000]  Thank God for that.
[01:36:07.000 --> 01:36:11.000]  These other people, we got to try to save them.
[01:36:11.000 --> 01:36:13.000]  Love was projector evil on us.
[01:36:13.000 --> 01:36:15.000]  They want to kill everybody because they want to kill themselves.
[01:36:15.000 --> 01:36:20.000]  And I would want to kill myself if I was like them.
[01:36:20.000 --> 01:36:25.000]  But I don't want to live forever because I love life and I love God and I will my spirit.
[01:36:25.000 --> 01:36:27.000]  I will stop.
[01:36:27.000 --> 01:36:30.000]  It's hard to cover this.
[01:36:30.000 --> 01:36:33.000]  I did a lot of research on this and it's just so horrible to research it.
[01:36:33.000 --> 01:36:35.000]  I don't even like covering things like on this.
[01:36:35.000 --> 01:36:39.000]  But what we've got to expose it all over the country.
[01:36:39.000 --> 01:36:54.000]  In the last week, good police officers and good district attorneys not controlled by George Soros have busted LGBTQP organizations going and getting foster children grabbed from Christian parents
[01:36:54.000 --> 01:37:03.000]  and turned over to them to be brutally raped, little boys and girls, main little boys, they hate men, and then sold out to sex slavery at the Democratic Party.
[01:37:03.000 --> 01:37:07.000]  This has been out for weeks. You already know all about it. There's a bunch of these cases.
[01:37:07.000 --> 01:37:16.000]  But I wanted to tie it in to Jamie Lee Curtis and John and Tony Podesta because that's been big news.
[01:37:16.000 --> 01:37:19.000]  And this Jamie Lee Curtis thing broke like five, six days ago.
[01:37:19.000 --> 01:37:23.000]  I held back on it until I could do some research.
[01:37:23.000 --> 01:37:26.000]  And I'm going to give you my take on it right now.
[01:37:26.000 --> 01:37:29.000]  But I really don't want to accuse people of things they haven't done.
[01:37:29.000 --> 01:37:32.000]  Most of these people, it's all in record. They've done it.
[01:37:32.000 --> 01:37:35.000]  So we're going to tie it all together.
[01:37:35.000 --> 01:37:37.000]  So here it is.
[01:37:37.000 --> 01:37:41.000]  A gay couple, a pedophile couple.
[01:37:41.000 --> 01:37:43.000]  Not saying gays are pedophiles.
[01:37:43.000 --> 01:37:45.000]  I'm saying these are pedophiles.
[01:37:45.000 --> 01:37:54.000]  In Atlanta had been charged with raping their adopted sons and also for pimping them out on other local pedophiles.
[01:37:54.000 --> 01:38:00.000]  And they did this on mainline Instagram and Facebook channels, thinking they were so protected.
[01:38:00.000 --> 01:38:03.000]  Does that tell you how widespread this is?
[01:38:03.000 --> 01:38:07.000]  This is one of five or six big breaking cases right now.
[01:38:07.000 --> 01:38:09.000]  And you already know all about it. I'm not going to get into it.
[01:38:09.000 --> 01:38:18.000]  But here it is. Gay activist, pedo activist couple who sexually abused adopted sons having a rough time in prison.
[01:38:18.000 --> 01:38:24.000]  Sold them reportedly to dozens of men alone in their neighborhoods.
[01:38:24.000 --> 01:38:30.000]  Meanwhile, Facebook and Instagram will allow users to show their breasts, but only if they're trans or non-binary.
[01:38:30.000 --> 01:38:33.000]  Special rights to those people.
[01:38:33.000 --> 01:38:39.000]  End of civilization. A little woman that's $200,000 selling her farts.
[01:38:39.000 --> 01:38:43.000]  It's all about degrading you folks. That's all they want.
[01:38:43.000 --> 01:38:45.000]  And now that leads us to this.
[01:38:45.000 --> 01:38:50.000]  Jamie Lee Curtis slammed for photo of naked child in box.
[01:38:50.000 --> 01:38:52.000]  Strong Epstein vibes.
[01:38:52.000 --> 01:38:54.000]  I noticed most of the photos weren't HD.
[01:38:54.000 --> 01:38:57.000]  We found the HD. I forgot to tell the crew, but I gave it to you today.
[01:38:57.000 --> 01:38:59.000]  Pull up the HD photos of it.
[01:38:59.000 --> 01:39:05.000]  It's a child in a plastic container looking like a prisoner.
[01:39:05.000 --> 01:39:10.000]  Now, I don't know. We put that on screen. Just type in Jamie Lee Curtis. It's everywhere, guys.
[01:39:10.000 --> 01:39:16.000]  And you look at that and I don't know if that's in her office because she's into that.
[01:39:16.000 --> 01:39:19.000]  But I know that type of bondage of children.
[01:39:19.000 --> 01:39:23.000]  I'll pull up on my phone if you can't do it. I'll do it.
[01:39:23.000 --> 01:39:27.000]  Just go to Google. You type in Jamie Lee Curtis office photo. It's everywhere, guys.
[01:39:27.000 --> 01:39:31.000]  We did preparation for the show. I'm not mad, but I just don't know how.
[01:39:31.000 --> 01:39:33.000]  There it is. Okay.
[01:39:33.000 --> 01:39:41.000]  So it's a naked child inside of a plastic tote container from like Walmart.
[01:39:41.000 --> 01:39:44.000]  And maybe it's innocent. Maybe it's no big deal.
[01:39:44.000 --> 01:39:48.000]  But people are smart and are doing the right thing.
[01:39:48.000 --> 01:39:53.000]  Being concerned about it.
[01:39:53.000 --> 01:39:57.000]  But Jamie Lee Curtis says, oh, no, that's a photo a friend gave me a decade ago.
[01:39:57.000 --> 01:40:06.000]  It's no big deal. Okay. Maybe a naked girl in a garbage bin looking abused and totally brainwashed is normal.
[01:40:06.000 --> 01:40:08.000]  Maybe it's an innocent thing.
[01:40:08.000 --> 01:40:11.000]  Except you go anywhere around these people.
[01:40:11.000 --> 01:40:13.000]  That's all the art and culture you see.
[01:40:13.000 --> 01:40:17.000]  And that's what they spew out the media in the whole situation.
[01:40:17.000 --> 01:40:27.000]  So let's actually show you real art by the hundreds of pieces that I want to show on air.
[01:40:27.000 --> 01:40:33.000]  From Tony Podesta, the top lobbyist in DC and his brother.
[01:40:33.000 --> 01:40:45.000]  John Podesta from the pizza game and him in the Washington Post 2007 calling it dangerous art and his DC compound of little boys tied up and little girls tied up.
[01:40:45.000 --> 01:40:48.000]  Being paddled and raped and everything else.
[01:40:48.000 --> 01:40:52.000]  I can't show you the really hardcore stuff but adults.
[01:40:52.000 --> 01:41:00.000]  The child performing oral sex on a man inside showers inside dungeons, adults raping babies.
[01:41:00.000 --> 01:41:02.000]  That's a toddler sized child.
[01:41:02.000 --> 01:41:09.000]  All of it children tied up against walls being tortured with the woman looking on.
[01:41:09.000 --> 01:41:16.000]  Thousands of these that they published in the Washington Post calling it dangerous art.
[01:41:16.000 --> 01:41:18.000]  That's called lesser magic.
[01:41:18.000 --> 01:41:20.000]  That they would show that to you.
[01:41:20.000 --> 01:41:21.000]  That they would do that.
[01:41:21.000 --> 01:41:25.000]  They believe gives them more power.
[01:41:25.000 --> 01:41:30.000]  Because it shows a two year old on the floor being anally raped by a fat man.
[01:41:30.000 --> 01:41:34.000]  With notice a bunch of women looking on approvingly.
[01:41:34.000 --> 01:41:35.000]  Look at that image.
[01:41:35.000 --> 01:41:40.000]  This is what they published in the Washington Post as his cool art.
[01:41:40.000 --> 01:41:51.000]  What looks like a three year old with a fat man missionary style raping a child while the women look on approvingly with a little teddy bear over here.
[01:41:51.000 --> 01:41:53.000]  Meaning innocence has been removed.
[01:41:53.000 --> 01:41:59.000]  This is a satanic ritual.
[01:41:59.000 --> 01:42:02.000]  That's who we're dealing with.
[01:42:02.000 --> 01:42:05.000]  That's who the system is defending.
[01:42:05.000 --> 01:42:07.000]  And that's what makes me cry.
[01:42:07.000 --> 01:42:08.000]  Look at the other stuff at his house.
[01:42:08.000 --> 01:42:13.000]  Demon goblins with little girls in bed with the peacock looking on.
[01:42:13.000 --> 01:42:16.000]  All that is pedophilic.
[01:42:16.000 --> 01:42:19.000]  The phallic symbol of his arm about to destroy.
[01:42:19.000 --> 01:42:22.000]  He has the saiths about to destroy her innocence.
[01:42:22.000 --> 01:42:23.000]  The grim reaper.
[01:42:23.000 --> 01:42:26.000]  A golem like creature.
[01:42:26.000 --> 01:42:34.000]  And then after the rape the love she now loves the goblin that raped her.
[01:42:34.000 --> 01:42:37.000]  This is what he showed.
[01:42:37.000 --> 01:42:45.000]  This is what he showed the Washington Post and exercise their power over the children.
[01:42:45.000 --> 01:42:47.000]  Images of demonic women.
[01:42:47.000 --> 01:42:50.000]  Demonic breasts to form with cancer.
[01:42:50.000 --> 01:42:55.000]  Demonic demon raping children.
[01:42:55.000 --> 01:43:00.000]  On and on and on.
[01:43:00.000 --> 01:43:04.000]  I talk a lot about the great successes Info Wars has had.
[01:43:04.000 --> 01:43:06.000]  I don't think anybody can deny it.
[01:43:06.000 --> 01:43:10.000]  And it is because of listeners and viewers supporting us.
[01:43:10.000 --> 01:43:15.000]  When we talk about the crew at Info Wars, people behind the scenes, the researchers, the writers.
[01:43:15.000 --> 01:43:19.000]  They really have been the MVPs in this fight.
[01:43:19.000 --> 01:43:25.000]  We look at Harrison Smith and Owen Troyer and the hard work they engage in every day, 5, 6, 7 days a week.
[01:43:25.000 --> 01:43:27.000]  It's really just incredible.
[01:43:27.000 --> 01:43:31.000]  So for myself, the whole Info Wars crew, I thank you for your past support.
[01:43:31.000 --> 01:43:37.000]  I only encourage you now to realize that Info Wars cannot stay on air if you do not support us.
[01:43:37.000 --> 01:43:40.000]  I know you spread the word, I know you pray for us and that's wonderful, keep doing it.
[01:43:40.000 --> 01:43:44.000]  But most viewers and listeners never go to InfoWarsTour.com
[01:43:44.000 --> 01:43:49.000]  and you never buy great products that enrich and empower your life, while at the same time keep us on air.
[01:43:49.000 --> 01:43:53.000]  I know that less than 1% of our listeners actually go buy products at InfoWarsTour.com.
[01:43:53.000 --> 01:43:58.000]  If just 1% more of you took action at InfoWarsTour.com, our fighting problems will be over.
[01:43:58.000 --> 01:43:59.000]  Please take action now.
[01:43:59.000 --> 01:44:02.000]  It's a post-COVID world now.
[01:44:02.000 --> 01:44:06.000]  Americans have lost trust in their doctors and the healthcare system.
[01:44:06.000 --> 01:44:07.000]  There's a solution.
[01:44:07.000 --> 01:44:08.000]  The wellness company.
[01:44:08.000 --> 01:44:11.000]  I'm Dr. Peter McCullough and I'm the Chief Scientific Officer.
[01:44:11.000 --> 01:44:22.000]  And I can tell you firsthand that these verticals of uncensored content, virtual appointments, doctors on demand, prescriptions through a network of community pharmacies,
[01:44:22.000 --> 01:44:33.000]  in-home, in-vitro diagnostics, laboratory testing, imaging, an online set of holistic products can help guide you for your usual general medical care,
[01:44:33.000 --> 01:44:47.000]  but also COVID-19, acute and post-COVID syndromes, vaccine injury syndromes, and the array of things that now America has to work through in this new world that we're living in.
[01:44:47.000 --> 01:44:54.000]  So go to onlinehealthnow.com and check out the wellness company for a low monthly fee.
[01:44:54.000 --> 01:44:57.000]  You can get started today and on a pathway to better health.
[01:44:57.000 --> 01:45:06.000]  Like a rock thrown into a pond, your actions, you know they may seem little, have a massive ripple effect throughout time and space.
[01:45:06.000 --> 01:45:08.000]  We're actually winning the info award.
[01:45:08.000 --> 01:45:18.000]  And when you realize that Band-Aught Video has hundreds and hundreds of censored directors and investigative journalists and talk show hosts whose information is beyond incredible.
[01:45:18.000 --> 01:45:24.000]  Hundreds of medical doctors and scientists, all of them right now telling the truth at Band-Aught Video.
[01:45:24.000 --> 01:45:31.000]  Millions of people today visiting Band-Aught Video, but you can take that information and cause a bigger ripple effect, an amplifying effect,
[01:45:31.000 --> 01:45:36.000]  and make sure it gets out to your friends, your family, your neighbors, and perfect strangers.
[01:45:36.000 --> 01:45:42.000]  You are the modern Paul Revere's. You are what takes our information and amplifies it.
[01:45:42.000 --> 01:45:47.000]  When you decide to take action, we as a species and as a race are invincible.
[01:45:47.000 --> 01:45:55.000]  So I thank you all for your past action and I challenge you to redouble your efforts now because humanity and the children are counting on you.
[01:46:18.000 --> 01:46:26.000]  Info Wars is more influential and more powerful than ever because of your support and because of the facts of what we've covered is coming true.
[01:46:26.000 --> 01:46:35.000]  But if they can convince you we've been shut down, if they can convince you that we're going away and you stop supporting, you stop spreading the word, then they do win.
[01:46:35.000 --> 01:46:41.000]  Ladies and gentlemen, there's only one group of people that can shut down Info Wars and that's you, the viewers and listeners.
[01:46:41.000 --> 01:46:50.000]  If you decide we're done, we're done. If you decide to go to infowarshtore.com and get supplements and books and films and t-shirts and so much more, we will stay on the air indefinitely.
[01:46:50.000 --> 01:47:11.000]  It is all in your hands. So thanks for your support. Stand up against the globalists. Go to infowarshtore.com right now and keep us on air. It's up to you.
[01:47:21.000 --> 01:47:37.000]  So, there was an article in 2007 called Dangerous Art with Tony Podesta, the top lobbyist in D.C.
[01:47:37.000 --> 01:47:43.000]  And it was just children in dungeons, children hanging up, children being raped. You're like, why would they put that in the newspaper?
[01:47:43.000 --> 01:47:50.000]  And believe me, folks, we've showed you stuff you show on TV. We've not shown you the worst stuff. So be careful when you're online.
[01:47:50.000 --> 01:47:57.000]  It's the only legal child porn is whatever the Clintons and the Obamas put out. This is child porn. This is child porn.
[01:47:57.000 --> 01:48:05.000]  It's like the, you know, adults can't see it on TV, but the same type of books are put in public schools, including Austin, for middle schoolers.
[01:48:05.000 --> 01:48:11.000]  Like, oh, the man pulls up in your backyard once you get in this van. Get in the van. He's going to give you a blow job. It's going to be wonderful.
[01:48:11.000 --> 01:48:17.000]  A little kid gets in. It's images of this. I mean, you look at this, it makes you cry because you have children.
[01:48:17.000 --> 01:48:23.000]  And you realize how evil this is. This is our government. This is who took over while we were asleep.
[01:48:23.000 --> 01:48:37.000]  So, I showed this article. Podesta's art, stuff so bad, journalists don't want you to see it. And it's demons raping children in their beds.
[01:48:37.000 --> 01:48:46.000]  But don't worry. Again, the teddy bears dropped. The innocent's gone. The six-year-old girl has been raped by the demon.
[01:48:46.000 --> 01:49:00.000]  Oh, look how loving and liberal. But it's liberal that this is happening. And then demonic images of women and more children being raped, children being killed.
[01:49:00.000 --> 01:49:13.000]  It goes on and on and on. Demons attacking children. Stuff that looks like it's out of a Hellraiser movie or Stranger Things.
[01:49:13.000 --> 01:49:25.000]  That's who these people are. Maggots having sex with children. Human animal hybrids.
[01:49:25.000 --> 01:49:30.000]  And then look at this other stuff at his house. He showed the Washington Post. This is from the Washington Post.
[01:49:30.000 --> 01:49:35.000]  Why is he going to Podesta own artwork like this? Children look like Anderson Cooper.
[01:49:35.000 --> 01:49:53.000]  Little girls tied up in dungeons in their underwear with their butts paddled red. And babies with those black eyes, those dead eyes they have after they've been tortured.
[01:49:53.000 --> 01:50:04.000]  That can go on for days, days. Demons face-sucking children. People loving demons.
[01:50:04.000 --> 01:50:14.000]  Demonically possessed babies. All these torture photos of children. These are the people that dialed into this.
[01:50:14.000 --> 01:50:29.000]  Tony Podesta had a toilet camera. Yes, Tony Podesta had a toilet camera. Washingtonian. But meanwhile, we have the New York Times running defense covering it up saying it's no big deal.
[01:50:29.000 --> 01:50:36.000]  It's all pizza gate. It's all fake because they focus on a pizza place to hide what really happened.
[01:50:36.000 --> 01:50:45.000]  We've got Ghislaine Maxwell now doing interviews saying, oh, she's nothing about any of it. Oh, no. She's a nice person.
[01:50:45.000 --> 01:50:55.000]  What about this next clip I'm going to play? This is, if you long for the fastest government to parent your children, you're clearly a sick person.
[01:50:55.000 --> 01:51:10.000]  It's only a minute and 26 seconds long. And this is a woman in the New York Times saying, I lived in China the way they controlled our lives was so beautiful and we need that here.
[01:51:10.000 --> 01:51:23.000]  Stockholm syndrome or beyond. That's why the pedophilic image is a big fat man raping toddlers that Tony Podesta has and showed the Washington Post to sear our conscience and blacken our hearts and just throw it in our face.
[01:51:23.000 --> 01:51:32.000]  What he's doing, a big thrill for him. They can't help it. Tyrants love to brag.
[01:51:32.000 --> 01:51:36.000]  That's why the system defends them.
[01:51:36.000 --> 01:51:44.000]  So here's a mother moved back from China, wishing the state would take control of her children here. Here's the clip.
[01:51:44.000 --> 01:51:55.000]  Today, the New York Times published an op-ed from a woke American woman who spent 16 years living in China. What does she miss about China? She misses the Communist Party of China co-parenting her children.
[01:51:55.000 --> 01:52:04.000]  She thinks the Chinese commissars did a better job as a mother than she could have. She misses their firm hand. And we're quoting, not making this up. This is the New York Times saying, quote,
[01:52:04.000 --> 01:52:18.000]  Our stringent government co-parent quickly made its presence felt, the woman writes. The girl's Chinese kindergarten lectured us on everything, including how many hours our daughter should sleep, what they should eat, and their optimal weight.
[01:52:18.000 --> 01:52:23.000]  The Communist Party party fat shamed this lady's kids, quote,
[01:52:23.000 --> 01:52:31.000]  We sometimes felt as if our children were on loan to us for evenings and weekends to be delivered back to school each weekday.
[01:52:31.000 --> 01:52:41.000]  Now, again, she's not writing a new version of darkness at noon. She's complimenting the government of China. The piece ends by noting, quote,
[01:52:41.000 --> 01:52:47.000]  Tight control of the Communist Party surveillance state results in its own kind of freedom.
[01:52:47.000 --> 01:53:00.000]  Okay, that is un-American. That person is sick. And if you don't recognize how sick that person is, if you long for a fascist government to call your little girl's fat, you're a sick person.
[01:53:00.000 --> 01:53:12.000]  Okay, the fact that the New York Times would run that and expect all of its readers to applaud, oh, if only the government would tell my kids they're fat, this would be a better country.
[01:53:12.000 --> 01:53:18.000]  So we showed you images, the ones we can show you on air. We're on a lot of TV stations.
[01:53:18.000 --> 01:53:30.000]  Of cartoons in Tony Podesta's home and he showed the Washington Post in 2007, he's proud of, of big fat men in beds raping toddlers.
[01:53:30.000 --> 01:53:35.000]  You say, well, okay, that's hypothetical. It's still horrible, but it's a cartoon. It's just right.
[01:53:35.000 --> 01:53:41.000]  What about China and 50 million dead girls, the one child policy? What about all the things that were done there?
[01:53:41.000 --> 01:53:58.000]  What about this woman in the New York Times saying, I want G.G. Ping telling me how to live my life? They're openly externalizing all of this evil in our faces.
[01:53:58.000 --> 01:54:16.000]  They know exactly what they're doing. And it's important for everybody to let that sink in and think about the individuals we're fighting and what we're up against.
[01:54:16.000 --> 01:54:23.000]  So looking at these images again, and these are the ones we can show you on air.
[01:54:23.000 --> 01:54:28.000]  I'm trying to find the ones I showed earlier. If you guys can put them on screen of the fat man with women all around.
[01:54:28.000 --> 01:54:35.000]  Well, they're able to put that on screen, but regardless, we got it on air earlier and the children in dungeons all tied up and the rest of it.
[01:54:35.000 --> 01:54:40.000]  Why are these people into this? Because it's simple.
[01:54:40.000 --> 01:54:55.000]  If they can get you to go along with all of this, if they can get you to accept this, if they can get you to not revolt against this, then they can do anything.
[01:54:55.000 --> 01:55:10.000]  If they can condition you to accept what they've done, if they can condition you not to reject it, to vomit it out, to say no to it, there it is.
[01:55:10.000 --> 01:55:17.000]  Show the rest of it. In every photo, every painting, it's the teddy bear against the wall.
[01:55:17.000 --> 01:55:28.000]  This is what these people are into. Giant men. Look at that one. It looks like a newborn baby being shoved into a woman's vagina.
[01:55:28.000 --> 01:55:37.000]  And a child tied up, chained to a wall while a woman onlooks while a man tasers it or shocks it while a big fat man rapes a two-year-old.
[01:55:37.000 --> 01:55:42.000]  And you go, that's not even real. They just raped your body with a poison shot.
[01:55:42.000 --> 01:55:49.000]  They just raped your body with a genetically engineered system to destroy your immune system.
[01:55:49.000 --> 01:55:57.000]  And that's why they've got an emaciated child stuffed in a garbage can, hanging on the wall of one of these Hollywood people.
[01:55:57.000 --> 01:56:05.000]  Because it's about their power and about their hatred of God and how they're willing to do anything.
[01:56:05.000 --> 01:56:14.000]  I'll throw my children away. I'll throw your children away. I'll throw anything away. I surrender to the devil.
[01:56:14.000 --> 01:56:18.000]  Well, guess what? I don't surrender to the devil.
[01:56:18.000 --> 01:56:23.000]  And in fact, I declare war on these people eternally, but I can only do it with your support.
[01:56:23.000 --> 01:56:29.000]  We're going to start the next two hours. We're going to cover something very special that's very, very important.
[01:56:29.000 --> 01:56:35.000]  Stephen Colbert is a big buddy of these guys. He's in. He's with them.
[01:56:35.000 --> 01:56:40.000]  They want to tie your children up and put poison shots on them.
[01:56:40.000 --> 01:56:44.000]  Whereas you think of the pedophilia as bad.
[01:56:44.000 --> 01:56:48.000]  They've all got their ruby slippers being there and on the club.
[01:56:48.000 --> 01:56:53.000]  They're already raping them with a bio weapon that kills their DNA. Your child can get over being raped by them.
[01:56:53.000 --> 01:56:59.000]  Your child can't get over being given genetic death.
[01:56:59.000 --> 01:57:02.000]  infowars.com. 4 and slash show is the coordinates of the resistance.
[01:57:02.000 --> 01:57:05.000]  If you don't share it, you can pitch like to the enemy.
[01:57:05.000 --> 01:57:11.000]  Band out video. Conspiracy fact.info is the URL right now. The live show feeds. They're not censoring.
[01:57:11.000 --> 01:57:17.000]  Share it or roll over and die. I mean, I'm just here fully max in the fight because I'm not a pedophile.
[01:57:17.000 --> 01:57:22.000]  God demands we fight this or with the enemy. It's not like, oh, you're a hero. You're fighting them.
[01:57:22.000 --> 01:57:25.000]  You know, it's what we're supposed to do.
[01:57:25.000 --> 01:57:29.000]  The next two hours is coming up. I'll be right back in 4s.com 4 slash show.
[01:57:29.000 --> 01:57:35.000]  If your local station doesn't carry us and I'll be back tomorrow 11 a.m. Central with the regular weekday Alex Jones show.
[01:57:35.000 --> 01:57:40.000]  Right after the great Harrison Smith and American Journal 8 a.m. Central and always 3 p.m.
[01:57:40.000 --> 01:57:49.000]  Owen shroyer with the war room will be right back with our three and four. Stay with us.
[01:57:49.000 --> 01:57:54.000]  The second American Revolution is happening right now against the New World Order.
[01:57:54.000 --> 01:58:04.000]  And the answer to their 1984 tyranny is the 1776 mindset and in full wars in bodies that fight for human liberty against globalist tyranny.
[01:58:04.000 --> 01:58:09.000]  Now, in the last year, we've done a very successful fundraiser of silver coins.
[01:58:09.000 --> 01:58:18.000]  When you buy the coin, you know that you are supporting the transmission and you get a historical momento so you can remember the great contribution you make to freedom.
[01:58:18.000 --> 01:58:24.000]  Now, despite the fact that the coins are selling out the last of the four coin series, Teddy Roosevelt man the arena.
[01:58:24.000 --> 01:58:31.000]  We're offering it for $30 off right now. All supplies last at 1776.com.
[01:58:31.000 --> 01:58:37.000]  And just like an NPR pledge drive where they mark up a coffee cup or a t-shirt or a DVD 300%.
[01:58:37.000 --> 01:58:40.000]  That's what we've done with this because it's a fundraiser.
[01:58:40.000 --> 01:58:46.000]  But despite that, we're offering $30 off exclusively at 1776 on what coins remain.
[01:58:46.000 --> 01:58:49.000]  Please go to 1776coin.com right now.
[01:59:16.000 --> 01:59:25.000]  At 40% off what they're sold on stores over 20% off what they're sold online under the info wars platinum brand name.
[01:59:25.000 --> 01:59:26.000]  These are incredible.
[01:59:26.000 --> 01:59:32.000]  Paying MD, HGH max boost and of course 1776 testosterone boost.
[01:59:32.000 --> 01:59:37.000]  Read about them at infowarstore.com, learn about them and then try it out for yourself.
[01:59:37.000 --> 01:59:40.000]  And I know you will be a repeat customer, which is awesome.
[01:59:40.000 --> 01:59:45.000]  It will empower your life, make your life more amazing and it will keep us on the air of 360 win.
[01:59:45.000 --> 01:59:48.000]  Info wars platinum, now available.
