[00:00.000 --> 00:25.000]  Yeah! Praise God America is Awakening! Humanity is Awakening! And Jesus Christ is King!
[1:29:44.000 --> 1:29:47.000]  That's why everybody's so upset. Everybody's so fighting mad.
[1:29:47.000 --> 1:29:50.000]  Everybody's fighting with each other. They know that something's wrong.
[1:29:50.000 --> 1:29:53.000]  Everyone's having incredible dreams. Everyone is so, so angry.
[1:29:53.000 --> 1:30:00.000]  Because you know at a metaphysical, spiritual level, you are being fitted for death.
[1:30:00.000 --> 1:30:10.000]  And then let me just do this. Let me just go ahead and just show you a bunch of mainstream news articles throwing this on your face right now.
[1:30:10.000 --> 1:30:15.000]  Ahead of Joe Hoff and all the big election news coming up next hour. Here, let's just look at this.
[1:30:15.000 --> 1:30:18.000]  And this all ties into what I'm about to cover, but here it is.
[1:30:18.000 --> 1:30:24.000]  Oh, Pierce Morgan slammed photographs out without a mask on in public at restaurants walking around the streets.
[1:30:24.000 --> 1:30:28.000]  Well, of course, that's for you, the slaves, not for him.
[1:30:28.000 --> 1:30:35.000]  NIH director begs Americans to swallow vaccine skepticism as Bill Gates eyes unofficial role.
[1:30:35.000 --> 1:30:38.000]  That's right. Boris Johnson announced a month ago.
[1:30:38.000 --> 1:30:44.000]  It almost got no coverage that Bill Gates will be the shadow leader.
[1:30:44.000 --> 1:30:49.000]  That's a British term.
[1:30:49.000 --> 1:30:53.000]  What is the bureaucracy that acts for the elected?
[1:30:53.000 --> 1:31:02.000]  That's his words, though. Bill Gates will control the G8 for the rotating year that the UK has it right now, 2021.
[1:31:02.000 --> 1:31:07.000]  And Bill Gates will decide for the G8, the medical policies.
[1:31:07.000 --> 1:31:13.000]  And here is the National Institutes of Health director saying Bill Gates will direct it.
[1:31:13.000 --> 1:31:22.000]  He wants you to know he did it. He wants to take full ownership of it.
[1:31:22.000 --> 1:31:24.000]  Wow.
[1:31:24.000 --> 1:31:29.000]  And Bill Gates just told you, he said a year ago, or 10 months ago, he goes,
[1:31:29.000 --> 1:31:32.000]  things won't open up until the end of 2021.
[1:31:32.000 --> 1:31:37.000]  Now he goes, I'm sorry, it's 2022 now.
[1:31:37.000 --> 1:31:48.000]  And his wife came out and said, I, we didn't realize this would starve millions, but we're going to go ahead with it.
[1:31:48.000 --> 1:31:55.000]  See, that's the beauty of the four horsemen. The fear of the coming of the green horse, which you psychically know is coming.
[1:31:55.000 --> 1:31:59.000]  It'll kill the most of us billions. You're psychic. You're connected.
[1:31:59.000 --> 1:32:06.000]  You see in the future your own death. And so Gates trots out the green horse and says, hey, what do you think of this?
[1:32:06.000 --> 1:32:12.000]  And then you take the green horse into you, you take his shots and you get implanted with a binary weapon.
[1:32:12.000 --> 1:32:15.000]  So he doesn't have it. You have it.
[1:32:15.000 --> 1:32:26.000]  He can activate one with electromagnetics. He can act another with chemicals. He will activate what he does to you.
[1:32:26.000 --> 1:32:34.000]  And to a Satanist like him, the sacrifice of billions, he is just, oh, this is ecstasy for him.
[1:32:34.000 --> 1:32:36.000]  It's all about his selfishness.
[1:32:36.000 --> 1:32:43.000]  And so they're telling you, Bill Gates is your doctor.
[1:32:43.000 --> 1:32:50.000]  Bill Gates says when your business can open, Bill Gates says we can go outside. Bill Gates is your pimp.
[1:32:50.000 --> 1:32:55.000]  He's your master, but it's okay. He funds black lives matter. He likes black people.
[1:32:55.000 --> 1:33:03.000]  That's why he says black people need the shot first and then Melinda came out and she attacked Trump.
[1:33:03.000 --> 1:33:08.000]  She said, how dare him want to give it to Americans first?
[1:33:08.000 --> 1:33:13.000]  Because Trump is only now figuring this out. Or it's a sick joke for Trump.
[1:33:13.000 --> 1:33:16.000]  Oh, no, we're going to give it to the white people too. They're like, no, don't do that.
[1:33:16.000 --> 1:33:21.000]  But again, they've got the white people working for them. They're going to kill them. That's their main target.
[1:33:21.000 --> 1:33:26.000]  The globalists want to get everybody. Satan wants to get everybody. But they first go, oh, it's just these black people.
[1:33:26.000 --> 1:33:30.000]  And then it's everybody. But let's continue. I'm giving you this, oh, this is the artworks, folks.
[1:33:30.000 --> 1:33:33.000]  They're hopping mad over this right now. I'm telling you exactly what they're doing.
[1:33:33.000 --> 1:33:38.000]  I told you eight months ago, 10 months ago, there's going to be HIV. There'll be false positive HIVs.
[1:33:38.000 --> 1:33:45.000]  I've got snopes. Jones claims they'll have trouble covering up the HIV positivity because it'll give it to people,
[1:33:45.000 --> 1:33:52.000]  but they'll just claim it's a false positive. I mean, I've already foreseen their whole operation.
[1:33:52.000 --> 1:33:59.000]  Because I've got the big field marshal giving me the intel. The only question is, can you handle it?
[1:33:59.000 --> 1:34:05.000]  The marshal will talk to you. But are you ready? Because you better do something or it doesn't talk to you anymore.
[1:34:05.000 --> 1:34:13.000]  God wants action now. Action now. No fear. God hates cowards. Stop caring about the enemy.
[1:34:13.000 --> 1:34:19.000]  Start caring about what God thinks. And then you'll start feeling God's power for real.
[1:34:19.000 --> 1:34:26.000]  Let's continue. More evidence shows total deaths in 2020 are no different than prior years.
[1:34:26.000 --> 1:34:33.000]  Open up the economy. Incredible article. That's right. Even our population's gone up by 3 million.
[1:34:33.000 --> 1:34:37.000]  People coming in. There's as many deaths this year, right online as last year.
[1:34:37.000 --> 1:34:47.000]  Because they're just calculating and calling it deaths with a fake PCR test, which is incentivized by the 52,000 shemolians
[1:34:47.000 --> 1:34:51.000]  that you get when somebody has COVID in your hospital.
[1:34:51.000 --> 1:35:01.000]  Funny how $50,000 incentivizes people to do stuff like that. Isn't that funny? Isn't that funny?
[1:35:01.000 --> 1:35:06.000]  Oh, here's another one. Melinda Gates last week. We hadn't really thought through the economic impacts.
[1:35:06.000 --> 1:35:11.000]  Go read her full speech. She's like, oh, we're sorry, but the lockdowns continue.
[1:35:11.000 --> 1:35:16.000]  Yeah, it's going to kill a lot more than COVID. But hey, we're liberal.
[1:35:16.000 --> 1:35:21.000]  And here's the guy at the WHO that runs it told you about this a long time ago.
[1:35:21.000 --> 1:35:30.000]  He ran the extermination of Christians in Ethiopia for the Muslim takeover.
[1:35:30.000 --> 1:35:40.000]  Look at that guy. Report WHO chief. Ted Rose could face genocide charges.
[1:35:40.000 --> 1:35:49.000]  That's the CHICOM operative. He killed over 2 million Christians.
[1:35:49.000 --> 1:35:54.000]  And he did it with a U.N. and the Chinese help. And guess what happened? It's real funny.
[1:35:54.000 --> 1:35:58.000]  Only hit certain wells.
[1:35:58.000 --> 1:36:05.000]  Weaponized cholera.
[1:36:05.000 --> 1:36:13.000]  Killing those black people again. Aren't you, buddy boy? But he's liberal. So it's okay.
[1:36:13.000 --> 1:36:17.000]  Here's Bill Gates. Like I told you, oh, first we wouldn't be back till 2021.
[1:36:17.000 --> 1:36:22.000]  Oh, sorry. 2022 now. Oh, you never go back to normal.
[1:36:22.000 --> 1:36:28.000]  Oh, and then here's all the articles about Alex Jones is wrong from 10 months ago, February.
[1:36:28.000 --> 1:36:33.000]  Oh, Alex Jones is wrong. Oh, there's no HIV insertions.
[1:36:33.000 --> 1:36:37.000]  And what's the headline out of the city morning, Harold? HIV insertions.
[1:36:37.000 --> 1:36:42.000]  Insertions. Have they insert something in a wild virus?
[1:36:42.000 --> 1:36:45.000]  Hmm. It's kind of like evolution. It's not true.
[1:36:45.000 --> 1:37:04.000]  They're right back. Stay with us.
[1:37:46.000 --> 1:37:51.000]  Well, Mr. Dictionary has a very simple definition of terrorism.
[1:37:51.000 --> 1:37:54.000]  Other dictionaries have similar ones.
[1:37:54.000 --> 1:38:01.000]  Terrorism is the threat of force or actually carrying out force for a political or financial reason.
[1:38:01.000 --> 1:38:05.000]  It's basically scaring the hell out of people until you submit to them.
[1:38:05.000 --> 1:38:09.000]  That's exactly what all this overblown COVID-19 garbage is.
[1:38:09.000 --> 1:38:14.000]  You see the headlines from CNN, ABC News. Doctors say it's worse than they ever thought.
[1:38:14.000 --> 1:38:16.000]  COVID more dumbest thing they could ever imagine.
[1:38:16.000 --> 1:38:22.000]  They told us that two and a half million people would be dead just eight months ago within three months.
[1:38:22.000 --> 1:38:25.000]  Okay. It's a quarter million.
[1:38:25.000 --> 1:38:30.000]  If you count all of the people that died of other things, we're talking 96% had co-morbidity.
[1:38:30.000 --> 1:38:32.000]  These are real numbers. These are real facts.
[1:38:32.000 --> 1:38:34.000]  This is the chicken little event.
[1:38:34.000 --> 1:38:37.000]  We all run our houses, never come out and are taught we're not essential.
[1:38:37.000 --> 1:38:40.000]  Well, the big box stores in Amazon take over the planet.
[1:38:40.000 --> 1:38:44.000]  You could stand up against it. This is slavery.
[1:38:44.000 --> 1:38:48.000]  It is not something you could put up with and survive.
[1:38:48.000 --> 1:38:52.000]  We are witnessing a perfect dichotomy of psychological warfare.
[1:38:52.000 --> 1:38:57.000]  The United Nations, the big corporations, the globalists, big tech and big farmer are all pushing.
[1:38:57.000 --> 1:39:02.000]  The cub is the most deadly thing in history, even though statistically it's a very weak flu or cold.
[1:39:02.000 --> 1:39:05.000]  But if you are deficient, then you can actually die from it.
[1:39:05.000 --> 1:39:08.000]  That's why you see somebody dying inside the nursing homes.
[1:39:08.000 --> 1:39:15.000]  Meanwhile, all these top scientists and researchers and former Pfizer head medical officers have come out and said
[1:39:15.000 --> 1:39:20.000]  that the COVID-19 vaccine, especially the mRNA ones, are basically bioweapons and are super deadly.
[1:39:20.000 --> 1:39:23.000]  And now they're having to resuscitate people that die, basically.
[1:39:23.000 --> 1:39:27.000]  When they take it, just like newborn babies, they give vaccines.
[1:39:27.000 --> 1:39:30.000]  They have to resuscitate them all the time or a lot of times they just let them die.
[1:39:30.000 --> 1:39:32.000]  And that's on the record. It does that.
[1:39:32.000 --> 1:39:36.000]  Guillain-Barre, narcolepsy, cancer, all these other diseases, but they tell you,
[1:39:36.000 --> 1:39:39.000]  it's safe and effective. No one's getting hurt. It's a conspiracy theory.
[1:39:39.000 --> 1:39:42.000]  And then all the fine princess can kill you absolutely deadly.
[1:39:42.000 --> 1:39:46.000]  So they run from something that isn't dangerous towards something that is incredibly dangerous,
[1:39:46.000 --> 1:39:48.000]  because the media says it's safe. They do it.
[1:39:48.000 --> 1:39:52.000]  Fox has betrayed President Trump, as I predicted they would.
[1:39:52.000 --> 1:39:56.000]  They've always been part of the establishment, and it's only going to get worse.
[1:39:56.000 --> 1:40:02.000]  If they're able to keep Trump from rightfully taking office for second term on January 20th,
[1:40:02.000 --> 1:40:06.000]  the system is going to drop the hammer harder than ever on this republic.
[1:40:06.000 --> 1:40:10.000]  They are going to explode gas prices. They're going to shut down our coal power plants.
[1:40:10.000 --> 1:40:12.000]  They're going to cut off the energy source to the U.S.
[1:40:12.000 --> 1:40:15.000]  So it's impossible for factories to move back here.
[1:40:15.000 --> 1:40:18.000]  This is economic domination. This is economic war.
[1:40:18.000 --> 1:40:20.000]  We are being consolidated. We are being taken over.
[1:40:20.000 --> 1:40:23.000]  The Democrats aren't mismanaging their blue cities and states.
[1:40:23.000 --> 1:40:29.000]  They're consolidating power and control to bankrupt the population and bring them absolutely to heal
[1:40:29.000 --> 1:40:33.000]  and then consolidate ownership of all the infrastructure and property.
[1:40:33.000 --> 1:40:36.000]  This is a monopolistic takeover. That's what the great reset is.
[1:40:36.000 --> 1:40:39.000]  Cloud Schwab and these other criminals admit it.
[1:40:39.000 --> 1:40:41.000]  That's what social distancing is.
[1:40:41.000 --> 1:40:44.000]  So your business is only at 25 percent for several more years.
[1:40:44.000 --> 1:40:46.000]  No small businesses will be there.
[1:40:46.000 --> 1:41:00.000]  This is a master plan. Say no.
[1:41:16.000 --> 1:41:45.000]  So we don't stand up for ourselves. We follow Satan.
[1:41:45.000 --> 1:41:49.000]  And we don't care about our own human lives and care about others.
[1:41:49.000 --> 1:41:53.000]  God will remove himself from the equation and let evil take over,
[1:41:53.000 --> 1:41:57.000]  just as a natural report you sow equation.
[1:41:57.000 --> 1:42:01.000]  And so you can look at this as evil taking over and how horrible it is.
[1:42:01.000 --> 1:42:04.000]  Believe me, I'm not happy about it at all.
[1:42:04.000 --> 1:42:09.000]  Or you can look at it as justice.
[1:42:09.000 --> 1:42:13.000]  And believe me, the wicked are going to get a lot worse than we are.
[1:42:13.000 --> 1:42:15.000]  But who would blame God if God said,
[1:42:15.000 --> 1:42:18.000]  look, you're sterilizing your boys, you're killing most your kids,
[1:42:18.000 --> 1:42:20.000]  you're devil worshiping, you don't care, you're lazy, you're dumb.
[1:42:20.000 --> 1:42:23.000]  I'm just going to blow the whole planet up and redo something else.
[1:42:23.000 --> 1:42:25.000]  I mean, God made us. That's God's right.
[1:42:25.000 --> 1:42:28.000]  But God's not going to do that.
[1:42:28.000 --> 1:42:30.000]  The globalists say the earth's failed and fallen.
[1:42:30.000 --> 1:42:32.000]  They're going to destroy it and create something new.
[1:42:32.000 --> 1:42:34.000]  That's actually what Satan's doing.
[1:42:34.000 --> 1:42:36.000]  Because Satan's not about free will.
[1:42:36.000 --> 1:42:42.000]  Satan's about inversion and total power and total control.
[1:42:42.000 --> 1:42:45.000]  God has blessings, Satan has curses.
[1:42:45.000 --> 1:42:48.000]  God has life, Satan has death.
[1:42:48.000 --> 1:42:53.000]  And you better know, Satan is 100% real as real as God is.
[1:42:53.000 --> 1:42:55.000]  Because that's how the universe is.
[1:42:55.000 --> 1:42:58.000]  And free will demands there be a Satan.
[1:42:58.000 --> 1:43:01.000]  Because somebody's going to play the role of Satan.
[1:43:01.000 --> 1:43:04.000]  My gosh, don't we see that with humankind?
[1:43:04.000 --> 1:43:07.000]  So let me just try to boil it down to this.
[1:43:07.000 --> 1:43:10.000]  Because I've gone through this myself and I know you're going through this right now.
[1:43:10.000 --> 1:43:13.000]  You know you're being robbed. You know the globalists are evil.
[1:43:13.000 --> 1:43:15.000]  You say, why aren't other Americans standing up?
[1:43:15.000 --> 1:43:17.000]  They are. They're being silenced.
[1:43:17.000 --> 1:43:19.000]  They're not leaders though.
[1:43:19.000 --> 1:43:22.000]  So they need you to lead them.
[1:43:22.000 --> 1:43:24.000]  And you need to try to be a leader.
[1:43:24.000 --> 1:43:26.000]  You need to be a leader.
[1:43:26.000 --> 1:43:28.000]  Don't try. Do it.
[1:43:28.000 --> 1:43:31.000]  To quote Yoda. Don't try. Only do it.
[1:43:31.000 --> 1:43:36.000]  And it's absolutely true.
[1:43:36.000 --> 1:43:40.000]  And so that's why I'm calling on this audience of activists. You're amazing.
[1:43:40.000 --> 1:43:42.000]  Don't just set it to make you feel good.
[1:43:42.000 --> 1:43:44.000]  You are the heart of the resistance. You're the people they hate.
[1:43:44.000 --> 1:43:46.000]  You're the people that know the truth.
[1:43:46.000 --> 1:43:48.000]  I've looked into your beautiful eyes.
[1:43:48.000 --> 1:43:52.000]  I tell you, man, I go all over the country and I see a family of white people,
[1:43:52.000 --> 1:43:56.000]  a family of black people, a family of Asians, Hispanics, mixed up, whatever.
[1:43:56.000 --> 1:43:58.000]  Their children all are glowing.
[1:43:58.000 --> 1:44:00.000]  Their parents are glowing.
[1:44:00.000 --> 1:44:03.000]  Or they might be old people.
[1:44:03.000 --> 1:44:06.000]  With hunchbacks and bad knees with their eyes,
[1:44:06.000 --> 1:44:10.000]  when they look at my eyes, I see the fire of God.
[1:44:10.000 --> 1:44:18.000]  And I tell you, I don't see that in the eyes of Joe Biden and the enemy, do you?
[1:44:18.000 --> 1:44:21.000]  So let's stop thinking we're losers.
[1:44:21.000 --> 1:44:27.000]  We're only losers when we stop dialing in to God's spirit.
[1:44:27.000 --> 1:44:29.000]  And so I don't try to be a preacher, folks,
[1:44:29.000 --> 1:44:33.000]  but it's at times like these that I'll just level with you.
[1:44:33.000 --> 1:44:38.000]  And I'll tell you, we brought all this on ourselves.
[1:44:38.000 --> 1:44:41.000]  And I'm not happy about what's going to happen.
[1:44:41.000 --> 1:44:46.000]  But they're launching the bio attack.
[1:44:46.000 --> 1:44:49.000]  And Trump got swindled, I know, thinking Gates said,
[1:44:49.000 --> 1:44:51.000]  my vaccine won't be ready for two years.
[1:44:51.000 --> 1:44:53.000]  And so Trump, like, tried to rush regular ones,
[1:44:53.000 --> 1:44:56.000]  but then they go, oh, our mRNAs are the really bad ones.
[1:44:56.000 --> 1:44:58.000]  They're already, and that's what we got hit with
[1:44:58.000 --> 1:45:01.000]  because Trump's not in control of the bureaucracy.
[1:45:01.000 --> 1:45:02.000]  That's been proven.
[1:45:02.000 --> 1:45:04.000]  They don't do a damn thing he says.
[1:45:04.000 --> 1:45:06.000]  He says, don't make troops wear high heels.
[1:45:06.000 --> 1:45:08.000]  All troops wear high heels now.
[1:45:08.000 --> 1:45:11.000]  I mean, you know, it's, it's just, it's just, you know, that's, that sounds dumb.
[1:45:11.000 --> 1:45:13.000]  Well, when we're talking about high heels,
[1:45:13.000 --> 1:45:16.000]  they're injecting the troops with all this crap.
[1:45:16.000 --> 1:45:21.000]  You think they just tested all these deadly vaccines on our military?
[1:45:21.000 --> 1:45:22.000]  For no reason.
[1:45:22.000 --> 1:45:25.000]  They did it to have control over the enforcers
[1:45:25.000 --> 1:45:28.000]  and to have them where they wanted them, and now they're moving on to us.
[1:45:28.000 --> 1:45:31.000]  You take the soldiers out, you take the men out first,
[1:45:31.000 --> 1:45:34.000]  then you got everybody else.
[1:45:34.000 --> 1:45:37.000]  And so when I get up here and I bring up all this dire news
[1:45:37.000 --> 1:45:40.000]  and I tell you how much trouble you're in,
[1:45:40.000 --> 1:45:42.000]  I don't do that to scare you.
[1:45:42.000 --> 1:45:44.000]  I do it like a Janice Joplin song,
[1:45:44.000 --> 1:45:47.000]  that we should cue it up to that next segment or go out with it.
[1:45:47.000 --> 1:45:49.000]  The part where she says,
[1:45:49.000 --> 1:45:57.000]  freedom is just another word for nothing left to lose.
[1:45:57.000 --> 1:46:01.000]  And if you don't have anything else to lose, you're not free.
[1:46:01.000 --> 1:46:02.000]  And that's what I'm here to tell you.
[1:46:02.000 --> 1:46:04.000]  We got to lose it all.
[1:46:04.000 --> 1:46:06.000]  We got to lose the entertainment.
[1:46:06.000 --> 1:46:08.000]  Hollywood's a curse anyways.
[1:46:08.000 --> 1:46:10.000]  The fancy crap, but not loving our own children,
[1:46:10.000 --> 1:46:12.000]  not being all of us are decked up.
[1:46:12.000 --> 1:46:15.000]  We've all been raised in this evil and it's all going to get taken away.
[1:46:15.000 --> 1:46:18.000]  The Satanists think they're going to get more power and more money
[1:46:18.000 --> 1:46:20.000]  and more control.
[1:46:20.000 --> 1:46:22.000]  No, this is the end of them.
[1:46:22.000 --> 1:46:25.000]  This is God pulling the plug,
[1:46:25.000 --> 1:46:28.000]  flushing the commode.
[1:46:28.000 --> 1:46:32.000]  And we're sitting here in this commode floating around with Joe Biden
[1:46:32.000 --> 1:46:35.000]  and Kamala Harris thinking, man, we're cursed.
[1:46:35.000 --> 1:46:36.000]  This is bad.
[1:46:36.000 --> 1:46:40.000]  God should have pulled the plug a long time ago.
[1:46:40.000 --> 1:46:43.000]  So embrace it.
[1:46:43.000 --> 1:46:46.000]  And get with your children and your neighbors and your family
[1:46:46.000 --> 1:46:51.000]  and pray to God and get on your damn knees.
[1:46:51.000 --> 1:46:54.000]  Because you're not God, God's God.
[1:46:54.000 --> 1:46:57.000]  And repent and God will heal our land.
[1:46:57.000 --> 1:47:01.000]  But not before he burns this son of a bitch down.
[1:47:01.000 --> 1:47:02.000]  You better get that straight.
[1:47:02.000 --> 1:47:05.000]  God's going to burn this sucker down.
[1:47:05.000 --> 1:47:08.000]  God's going to tear everything up, throw it down.
[1:47:08.000 --> 1:47:10.000]  And he's going to let these Satanists have their way with us
[1:47:10.000 --> 1:47:14.000]  until that last minute and God's going to grab those comodes by the neck
[1:47:14.000 --> 1:47:16.000]  and grab those Joe Biden's by the neck
[1:47:16.000 --> 1:47:18.000]  and grab those nuisance by the neck
[1:47:18.000 --> 1:47:25.000]  and grab Merkel and all of them that are so scared of Satan,
[1:47:25.000 --> 1:47:28.000]  they rolled over and did this for power because they're all scared.
[1:47:28.000 --> 1:47:32.000]  You know, these people don't do this because they even like it at the top.
[1:47:32.000 --> 1:47:36.000]  They do it because they're scared.
[1:47:36.000 --> 1:47:39.000]  Why are you so scared, Merkel?
[1:47:39.000 --> 1:47:43.000]  Why are you so scared, Boris Johnson?
[1:47:43.000 --> 1:47:46.000]  Why are you so scared?
[1:47:46.000 --> 1:47:51.000]  Because, you know, you picked the wrong side.
[1:47:51.000 --> 1:47:56.000]  And you don't want to take the attacks now with a little,
[1:47:56.000 --> 1:47:58.000]  a little abutian Satanist.
[1:47:58.000 --> 1:48:01.000]  And you're just hoping you figure out some immortality
[1:48:01.000 --> 1:48:05.000]  or some computer or some thing like Faust that gets you out of this
[1:48:05.000 --> 1:48:07.000]  and it's not going to do that for you.
[1:48:07.000 --> 1:48:10.000]  You're not going to get out of this.
[1:48:10.000 --> 1:48:16.000]  You're going to burn.
[1:48:16.000 --> 1:48:23.000]  And if I'm a little piece of kindling, that's the secret, isn't it?
[1:48:23.000 --> 1:48:26.000]  I'm the match that lights your ass on fire.
[1:48:26.000 --> 1:48:29.000]  I say burn me first.
[1:48:29.000 --> 1:48:32.000]  But it's got to be done God's way, not our way.
[1:48:32.000 --> 1:48:34.000]  We're not offensively violent.
[1:48:34.000 --> 1:48:36.000]  We don't go out and start fights.
[1:48:36.000 --> 1:48:38.000]  We let God use us.
[1:48:38.000 --> 1:48:40.000]  And then you just turn it over to God.
[1:48:40.000 --> 1:48:42.000]  And then magically it all starts happening.
[1:48:42.000 --> 1:48:44.000]  And the more you turn it over to God, it's like, whoa, OK, well now.
[1:48:44.000 --> 1:48:47.000]  And everything you do has a totally different effect.
[1:48:47.000 --> 1:48:49.000]  And you think something's a defeat, you learn a year later.
[1:48:49.000 --> 1:48:54.000]  It was your greatest victory, like the Garth Brooks song.
[1:48:54.000 --> 1:49:03.000]  Some of God's greatest gifts run answered prayers.
[1:49:03.000 --> 1:49:05.000]  All right, I got to go to break.
[1:49:05.000 --> 1:49:08.000]  And we got Joe Hoff coming on with the big news.
[1:49:08.000 --> 1:49:10.000]  And I only had part of this.
[1:49:10.000 --> 1:49:11.000]  It's not about tootin' my horn.
[1:49:11.000 --> 1:49:13.000]  It's about how crazy it is if you type in.
[1:49:13.000 --> 1:49:15.000]  There's literally, I said 20.
[1:49:15.000 --> 1:49:16.000]  That's the ones I looked at.
[1:49:16.000 --> 1:49:17.000]  There's more than that.
[1:49:17.000 --> 1:49:19.000]  There's all this quote, fat checking.
[1:49:19.000 --> 1:49:21.000]  Every globalist outlet calls itself a fat checker now,
[1:49:21.000 --> 1:49:24.000]  because they think it fools certain people.
[1:49:24.000 --> 1:49:27.000]  They're like, Jones is insane with no basis in reality.
[1:49:27.000 --> 1:49:32.000]  He says that there is HIV insertions in the COVID virus
[1:49:32.000 --> 1:49:36.000]  and that people that protect the vaccine may get HIV or test
[1:49:36.000 --> 1:49:37.000]  positive.
[1:49:37.000 --> 1:49:38.000]  Look at these articles.
[1:49:38.000 --> 1:49:39.000]  Look at this.
[1:49:39.000 --> 1:49:43.000]  It's in the articles, one in Guardian.
[1:49:43.000 --> 1:49:46.000]  And then now, 10 months later, it's happening.
[1:49:46.000 --> 1:49:48.000]  That's hilarious, folks.
[1:49:48.000 --> 1:49:50.000]  People go, how the hell do you know that?
[1:49:50.000 --> 1:49:54.000]  If it's a damn HIV virus, and then they created a tenuated version,
[1:49:54.000 --> 1:49:58.000]  because it's a live virus, it's going to say you got HIV.
[1:49:58.000 --> 1:50:01.000]  If you take a live HIV virus, you're probably going
[1:50:01.000 --> 1:50:03.000]  to come up positive for it.
[1:50:03.000 --> 1:50:06.000]  People keep asking me, Jones, how the hell do you know that?
[1:50:06.000 --> 1:50:07.000]  How do you know this?
[1:50:07.000 --> 1:50:08.000]  How'd I know it?
[1:50:08.000 --> 1:50:13.000]  I'm reading what it is.
[1:50:13.000 --> 1:50:14.000]  All right.
[1:50:14.000 --> 1:50:16.000]  Listen, if you don't find this, we won't be there.
[1:50:16.000 --> 1:50:17.000]  And that's God's will.
[1:50:17.000 --> 1:50:19.000]  I barely plugged these days, whatever.
[1:50:19.000 --> 1:50:20.000]  Christmas is here.
[1:50:20.000 --> 1:50:21.000]  Could be the last Christmas.
[1:50:21.000 --> 1:50:23.000]  Could be the beginning of something new, whatever.
[1:50:23.000 --> 1:50:27.000]  The point is, is that there's a big study out that they're
[1:50:27.000 --> 1:50:28.000]  really pissed about it.
[1:50:28.000 --> 1:50:29.000]  It's a global star.
[1:50:29.000 --> 1:50:33.000]  It's like 80% of the people that were hospitalized with COVID
[1:50:33.000 --> 1:50:34.000]  didn't have D3.
[1:50:34.000 --> 1:50:36.000]  Well, folks, if you don't have oxygen, you're going to die, too.
[1:50:36.000 --> 1:50:37.000]  It just takes four minutes.
[1:50:37.000 --> 1:50:39.000]  With D3, it takes six months.
[1:50:39.000 --> 1:50:42.000]  We've got great D3 in the prostate guard for men.
[1:50:42.000 --> 1:50:43.000]  Women can take it, too.
[1:50:43.000 --> 1:50:45.000]  And it's got all the other vitamins and minerals in it.
[1:50:45.000 --> 1:50:48.000]  So it's a really good product designed for your prostate,
[1:50:48.000 --> 1:50:49.000]  but it works for women as well.
[1:50:49.000 --> 1:50:54.000]  It's kind of like that old ad they had for whatever kind of deodorant
[1:50:54.000 --> 1:50:58.000]  was strong enough for a man, but made for a woman.
[1:50:58.000 --> 1:51:00.000]  I mean, just because it's good for your prostate
[1:51:00.000 --> 1:51:04.000]  and a bunch of studies, sawpomato is good for everything.
[1:51:04.000 --> 1:51:06.000]  In fact, some studies show it's better for women
[1:51:06.000 --> 1:51:07.000]  than it is for men.
[1:51:07.000 --> 1:51:10.000]  Amazing, miraculous, but it's got all the vitamins and minerals
[1:51:10.000 --> 1:51:12.000]  on top of it, prostate guard, a great stocking stuffer,
[1:51:12.000 --> 1:51:15.000]  and these little contact tracer pouches.
[1:51:15.000 --> 1:51:17.000]  You just put your phone in so you can actually go around
[1:51:17.000 --> 1:51:18.000]  and not be tracked by them.
[1:51:18.000 --> 1:51:20.000]  Just pull the phone out when you want to and use it.
[1:51:20.000 --> 1:51:22.000]  Those are at infowarstore.com.
[1:51:22.000 --> 1:51:25.000]  And we've got Alpha Power back in, X2, X3, DNA Force Plus.
[1:51:25.000 --> 1:51:27.000]  And a bunch of stuff is getting ready to sell out.
[1:51:27.000 --> 1:51:29.000]  Thank you for funding us and thank you for your prayers and support.
[1:51:29.000 --> 1:51:30.000]  Do your Christmas shopping with us.
[1:51:30.000 --> 1:51:32.000]  Get your orders in by the 18th.
[1:51:32.000 --> 1:51:34.000]  By the 18th, we'll get them before Christmas.
[1:51:34.000 --> 1:52:03.000]  We'll be right back. Stay with us.
[1:52:04.000 --> 1:52:27.000]  We'll be right back.
[1:52:27.000 --> 1:52:38.000]  We'll be right back.
[1:52:57.000 --> 1:53:12.000]  We'll be right back.
[1:53:12.000 --> 1:53:41.000]  We'll be right back.
[1:53:41.000 --> 1:53:48.000]  You're listening to the Alex Jones show.
[1:53:48.000 --> 1:54:12.000]  He aligns himself with the truth.
[1:54:12.000 --> 1:54:28.000]  All right.
[1:54:28.000 --> 1:54:30.000]  We got Joe Hoff coming up.
[1:54:30.000 --> 1:54:32.000]  I'm going to dig through our archives.
[1:54:32.000 --> 1:54:35.000]  We got a lot of footage, but sitting the best audio bow and speech.
[1:54:35.000 --> 1:54:36.000]  I thought it was powerful.
[1:54:36.000 --> 1:54:38.000]  And we haven't aired it.
[1:54:38.000 --> 1:54:41.000]  I've been asking us to air this last day, but for whatever reason we didn't.
[1:54:41.000 --> 1:54:43.000]  But here's a short speech Owen gave.
[1:54:43.000 --> 1:54:45.000]  The Jericho rally in D.C. on Saturday.
[1:54:45.000 --> 1:54:46.000]  I thought it was important.
[1:54:46.000 --> 1:55:12.000]  And here it is.
