[00:00:08.504 --> 00:00:12.973]  Leading a frontal assault on the lies of the New World Order.
[01:18:07.029 --> 01:18:09.912]  Don't be dependent on the government for you and your family.
[01:18:09.912 --> 01:18:15.296]  You need to get your own supply of high-quality, storable foods from efoodsdirect.com.
[01:18:15.296 --> 01:18:20.881]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[01:18:21.221 --> 01:18:23.564]  It's all fresh, made on a monthly basis.
[01:18:23.564 --> 01:18:26.908]  Not some old cruddy food they're selling you like some of the other guys.
[01:18:26.908 --> 01:18:28.871]  Try their new Evacuation Pack.
[01:18:28.871 --> 01:18:31.434]  A two-week supply of delicious, easy-to-fix food.
[01:18:31.434 --> 01:18:33.837]  It comes with all the equipment you need to prepare it.
[01:18:33.837 --> 01:18:39.544]  With open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[01:18:39.904 --> 01:18:42.127]  Get yourself and your family ready today.
[01:18:42.127 --> 01:18:44.509]  The place to go is efoodsdirect.com.
[01:18:44.509 --> 01:18:52.338]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[01:18:52.338 --> 01:18:57.403]  Again, on the web, efoodsdirect.com forward slash Alex, or give them a call at 800-409-5633.
[01:19:00.106 --> 01:19:05.069]  The question is, where should the American people draw their line in the sand?
[01:19:05.069 --> 01:19:06.069]  What have we got?
[01:19:06.069 --> 01:19:08.510]  A republic or a monarchy?
[01:19:08.510 --> 01:19:09.511]  A republic.
[01:19:09.511 --> 01:19:11.952]  It's based on a constitution which protects minority rights.
[01:19:11.952 --> 01:19:14.433]  It's not democracy, not mob rule.
[01:19:14.433 --> 01:19:16.454]  Two wolves and a sheep voting on what's for dinner.
[01:19:16.454 --> 01:19:18.135]  So they think they own our land?
[01:19:18.135 --> 01:19:19.456]  They think they own our water?
[01:19:19.456 --> 01:19:20.056]  Children?
[01:19:20.056 --> 01:19:21.177]  Our education?
[01:19:21.177 --> 01:19:22.017]  Our money?
[01:19:22.017 --> 01:19:25.659]  We have to define who we are and what we will tolerate.
[01:19:26.039 --> 01:19:31.026]  Somebody's gonna ask you what you did during the Patriot Uprising.
[01:19:31.026 --> 01:19:32.027]  We have the facts.
[01:19:32.027 --> 01:19:33.189]  We have the Constitution.
[01:19:33.189 --> 01:19:34.090]  We have the Bill of Rights.
[01:19:34.090 --> 01:19:34.991]  We have common law.
[01:19:34.991 --> 01:19:37.515]  Knowledge is power, ladies and gentlemen.
[01:19:37.515 --> 01:19:41.280]  And I'm so excited to be able to offer you Don't Tread on Me, Rise of the Republic.
[01:19:41.380 --> 01:19:46.341]  Tyranny is upon us, but liberty and the sleeping giant that is the American people is rising.
[01:19:46.341 --> 01:19:47.841]  A new tool in the Info War.
[01:19:47.841 --> 01:19:48.921]  Don't tread on me.
[01:19:48.921 --> 01:20:01.484]  Order it at InfoWars.com or PrisonPlanet.com or call toll free 888-253-3139 and support independent patriotic liberty films.
[01:20:01.484 --> 01:20:03.024]  Coast to Coast.
[01:20:03.024 --> 01:20:05.084]  Direct from Austin.
[01:20:05.084 --> 01:20:08.265]  You're listening to the Alex Jones Broadcasting Network.
[01:20:10.618 --> 01:20:15.688]  From the front lines of the Information War, it's Alex Jones!
[01:20:21.940 --> 01:20:36.067]  I'll be getting back into the North American Union and how a private consortium of banks is dissolving our sovereignty through treason at the presidential and congressional level as they sign away our authority.
[01:20:36.067 --> 01:20:40.369]  Obama is not only suing Arizona, he's now going to the U.N.
[01:20:40.369 --> 01:20:42.350]  asking them to go after Arizona.
[01:20:42.350 --> 01:20:43.511]  That is coming up, but
[01:20:44.377 --> 01:21:06.054]  For the rest of this hour and five minutes into the next hour, Don Adams, who we talked about in the last two days, a decorated Korean War vet, retired FBI agent, who was investigating one of the people he has evidence was involved in the JFK assassination before it even happened, saw a subsequent cover-up.
[01:21:06.054 --> 01:21:13.721]  The information he has literally blows the JFK murder and assassination and cover-up sky high.
[01:21:14.921 --> 01:21:26.914]  And it integrates with the deathbed confession of E. Howard Hunt that we broke here on air with his son, the audio and video, and with all of the research I've done in the last 15 years.
[01:21:26.914 --> 01:21:33.821]  And of course, the congressional report in the late 70s finding 95% chance it was a conspiracy, not just Lee Harvey Oswald.
[01:21:34.895 --> 01:21:35.295]  I don't think so.
[01:21:58.757 --> 01:22:10.676]  And they have the Miami intelligence police interviewing the person who was photographed in Dealey Plaza, the individual that Mr. Adams was tracking.
[01:22:11.704 --> 01:22:12.784]  Thanks, Alex.
[01:22:41.283 --> 01:22:42.284]  You've got the floor.
[01:22:42.284 --> 01:22:44.305]  The website's AdamsJFK.com.
[01:22:44.305 --> 01:22:46.886]  You've got a book coming out in the next few months.
[01:22:46.886 --> 01:22:50.589]  You've also got a DVD breaking this down, but you've got the floor.
[01:22:50.589 --> 01:22:51.789]  Go over it, sir.
[01:22:51.789 --> 01:22:53.410]  Alright, I will.
[01:22:53.410 --> 01:22:58.413]  My investigation started in November, on November the 13th of 1963.
[01:22:58.413 --> 01:23:05.678]  I received a telephone call from the agent in charge in the Atlanta FBI office.
[01:23:05.678 --> 01:23:09.260]  He told me that they had just received information from the Secret Service.
[01:23:10.066 --> 01:23:20.950]  Of a conspiracy discussion that took place up in Indianapolis, Indiana, at a meeting of a large group of very strong right-wingers.
[01:23:20.950 --> 01:23:33.473]  And as a result of it, there was one of the people in a discussion of four people, who was an informant for the Miami Intelligence Police Department, as well as for the FBI.
[01:23:33.473 --> 01:23:34.894]  His name is William Somerset.
[01:23:36.162 --> 01:23:41.285]  Uh, the principal person that was talking in the group of four was Joseph Adams Miltier.
[01:23:41.285 --> 01:24:04.357]  Uh, Joseph Adams Miltier, uh, and Somerset with the other two fellas, they planned, uh, I mean, they discussed about, uh, the assassination of President Kennedy when he left Homestead Air Force Base in Miami, Florida, and traveled up Collins Avenue to the Kennedy compound in Palm Beach, Florida.
[01:24:05.497 --> 01:24:19.368]  They were going to take and secrete a man who was willing to give his life up in a palm tree and then when the motorcade with the open limousine came by, they were going to go ahead and shoot the president.
[01:24:19.368 --> 01:24:28.115]  That person was a sniper in the Second World War and so they planned on killing him there.
[01:24:28.115 --> 01:24:33.639]  If that failed, for whatever reason, they had a backup plan at the White House
[01:24:34.426 --> 01:24:57.047]  Behind Lafayette Park, which is right across the street from the White House, and they had purchased or rented an apartment or an office, and they had purchased a high-powered rifle with a tripod, and they were going to shoot the President when he came out onto the portico of the White House, or if he walked the grounds.
[01:24:57.047 --> 01:24:58.589]  And that was their backup plan.
[01:24:59.463 --> 01:25:11.488]  So, all this was discussed, and as a result of it, the Secret Service called our SAC and asked for me to ask for an investigation to be conducted.
[01:25:11.488 --> 01:25:18.651]  The SAC called me and said, Don, since military lives in Quitman, Georgia, in your territory, I want you to do a full background on him.
[01:25:19.674 --> 01:25:36.794]  So I contacted the police chief down there, William Elliott, and Bill and I went to work on on military and we spent about five days working full time, gathering as much intelligence as we possibly could on him.
[01:25:36.794 --> 01:25:39.157]  Once we acquired all the intelligence that we could get,
[01:25:40.418 --> 01:25:44.959]  I then took and prepared a report, a pretty extensive report.
[01:25:44.959 --> 01:25:56.302]  I acquired a lot of handout material from him, which he mimeographed and he handed out every Saturday to all of the people that would take it.
[01:25:56.302 --> 01:26:08.705]  And I took a lot of that material from him and there was an awful lot of bitterness and indications, not direct threats, but implied threats against the President and Bobby and them.
[01:26:09.321 --> 01:26:13.642]  So I took all that material and I put it all together and hand carried my report.
[01:26:13.642 --> 01:26:16.182]  I wrote my report and I hand carried it up to Atlanta.
[01:26:16.182 --> 01:26:23.224]  Gave it to the boss and then turned it over to the Secret Service and we were through with it.
[01:26:23.224 --> 01:26:26.384]  That was our total investigation.
[01:26:26.384 --> 01:26:33.625]  I finished probably around the 18th or 19th, I can't give you an exact date, but around then.
[01:26:33.625 --> 01:26:36.026]  And then of course on November 22nd,
[01:26:37.561 --> 01:26:46.444]  At 1.30 in the afternoon, my partner and I were riding in a car, and an announcement came out and said that the President had been shot in Dallas.
[01:26:46.444 --> 01:26:58.108]  And then there was a radio code for Code 36 for us to go to the Thomasville, Georgia Highway Patrol post, and they had a message for me.
[01:26:58.108 --> 01:26:58.748]  So I went there,
[01:26:59.620 --> 01:27:06.462]  Identified myself, and he then said to me, the sergeant behind the desk, that we were going to go to the Department of Agriculture.
[01:27:06.462 --> 01:27:08.743]  They have a teletype they want me to read.
[01:27:08.743 --> 01:27:18.507]  So we took off, went to the Department of Agriculture, and once we got inside and looked at the teletype, the teletype read, The president is dead.
[01:27:18.507 --> 01:27:21.988]  Call your special agent in charge in Atlanta immediately.
[01:27:23.047 --> 01:27:33.512]  So then I immediately, I mean I was shocked and devastated because here it is so close to what I was doing and now they're talking about to call the boss and that.
[01:27:33.512 --> 01:27:41.516]  So I called my boss and he says find Milter wherever he is and hold him for the Secret Service.
[01:27:41.516 --> 01:27:50.221]  And I'm devastated because I'm thinking I must have screwed up somehow or made a mess of something or something happened because of the close proximity and time.
[01:27:51.598 --> 01:27:59.583]  Uh, I went out and I started looking for Miltier, hunting him through all of his haunts and wherever he was.
[01:27:59.583 --> 01:28:05.446]  And I went from November 22nd to November the 27th and located him on the 27th.
[01:28:05.446 --> 01:28:19.194]  Uh, the first indication that I had that there was something going wrong was that my agent in charge told me that when you interview Miltier, you can only ask these five questions and nothing more.
[01:28:20.097 --> 01:28:32.749]  And I queried my boss, and I said, Boss, wait a minute, we're passing up a very important opportunity here to find out who he associated with, where he went, who he met in his travels, and everything else, and maybe I can get a lot of information from him.
[01:28:32.749 --> 01:28:36.113]  He said, I only want you to ask these five questions and nothing more.
[01:28:48.867 --> 01:28:49.788]  We're good to go.
[01:29:00.836 --> 01:29:04.917]  Let me tell you a little bit about one of our great sponsors, HomeGain.com.
[01:29:04.917 --> 01:29:10.898]  This is the place to get you started buying or selling a home, finding a realtor, and getting any real estate questions answered.
[01:29:10.898 --> 01:29:15.079]  Go to HomeGain.com and see what I'm talking about.
[01:29:15.079 --> 01:29:21.801]  All you need to do is type in your home address and you will get an instant free estimate of your home's value online.
[01:29:21.801 --> 01:29:25.122]  This is a great way to be able to monitor the value of your home.
[01:29:25.122 --> 01:29:26.622]  And again, it's absolutely free.
[01:29:27.202 --> 01:29:29.243]  There are tons of tools to help you.
[01:29:29.243 --> 01:29:33.044]  For instance, if you want to remodel your home, go to HomeGain.com.
[01:29:33.044 --> 01:29:39.826]  Use their Home Sale Maximizer to help you determine which home improvements can most increase your home's value before you put it on the market.
[01:29:39.826 --> 01:29:43.407]  For 10 years, these folks have been helping home sellers and buyers.
[01:29:43.407 --> 01:29:45.747]  Visit their link at InfoWars.com.
[01:29:45.747 --> 01:29:50.789]  Look for Max, the Orange Home Gain Gorilla to help you with any real estate needs you might have.
[01:29:51.149 --> 01:29:52.389]  You'll love this site.
[01:29:52.389 --> 01:29:54.270]  It's HomeGain.com.
[01:29:54.270 --> 01:29:57.131]  H-O-M-E-G-A-I-N.com.
[01:29:57.131 --> 01:30:00.392]  Check them out today.
[01:30:00.392 --> 01:30:02.032]  Hello friends, this is Alex Jones.
[01:30:02.032 --> 01:30:05.413]  You've heard me talk about Calden 5 Star Soaps for years.
[01:30:05.413 --> 01:30:10.635]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[01:30:10.635 --> 01:30:14.056]  You can buy factory direct, shipped via UPS right to your door.
[01:30:14.056 --> 01:30:16.397]  Check them out on the web at 5starsoap.com.
[01:30:17.037 --> 01:30:20.560]  Or call 800-340-7091.
[01:30:20.560 --> 01:30:21.701]  Take my word for it.
[01:30:21.701 --> 01:30:24.364]  Once you've used pure soap, you won't buy anything else.
[01:30:24.364 --> 01:30:30.869]  Since 1947, Calvin's Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[01:30:30.869 --> 01:30:32.391]  Buy American and stay clean.
[01:30:32.391 --> 01:30:35.694]  As well as support InfoWars, visit 5starsoap.com today.
[01:30:35.694 --> 01:30:36.114]  Or call 1-800-340-7091.
[01:30:36.114 --> 01:30:37.415]  Well, Marty, what do you have to say?
[01:30:40.686 --> 01:30:48.614]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[01:30:48.614 --> 01:30:53.739]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[01:30:53.739 --> 01:30:54.180]  Thank you!
[01:30:59.994 --> 01:31:04.538]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[01:31:04.538 --> 01:31:05.458]  Number 1.
[01:31:05.458 --> 01:31:08.881]  New climate legislation could easily double or triple your electric bill.
[01:31:08.881 --> 01:31:09.742]  Number 2.
[01:31:09.742 --> 01:31:14.625]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:31:14.625 --> 01:31:15.386]  It's true.
[01:31:15.386 --> 01:31:20.250]  Total government control of electricity in the name of smart grid technology is coming.
[01:31:20.250 --> 01:31:21.070]  Number 3.
[01:31:21.070 --> 01:31:24.653]  In some areas of the country, the power grid is dangerously overloaded.
[01:31:24.653 --> 01:31:28.356]  And now, new socialist legislation is only compounding the problem.
[01:31:28.556 --> 01:31:29.357]  Number 4.
[01:31:29.357 --> 01:31:32.119]  Dangerous weather is always a threat to local grids.
[01:31:32.119 --> 01:31:35.802]  Every year, thousands of families lose their power from weather-related outages.
[01:31:35.802 --> 01:31:36.583]  Number 5.
[01:31:36.583 --> 01:31:40.747]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:31:40.747 --> 01:31:45.491]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:31:45.791 --> 01:31:49.953]  You can get more information at www.mysolarbackup.com.
[01:31:49.953 --> 01:31:51.734]  That's mysolarbackup.com.
[01:31:51.734 --> 01:31:53.995]  Remember, the government doesn't own the sun.
[01:31:53.995 --> 01:31:56.616]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:31:56.616 --> 01:31:58.997]  Listen up friends, this is Alex Jones with key information.
[01:32:02.819 --> 01:32:06.600]  The mainstream media is now admitting that we're going into a depression.
[01:32:06.600 --> 01:32:09.481]  Don't be dependent on the government for you and your family.
[01:32:09.481 --> 01:32:14.862]  You need to get your own supply of high-quality, storable foods from efoodsdirect.com.
[01:32:14.862 --> 01:32:20.804]  They're the best company out there, the longest continually operating, with a ton of great food to choose from.
[01:32:20.804 --> 01:32:26.065]  It's all fresh and made on a monthly basis, not some old cruddy food they're selling you like some of the other guys.
[01:32:26.485 --> 01:32:31.007]  Try their new Evacuation Pack, a two-week supply of delicious, easy-to-fix food.
[01:32:31.007 --> 01:32:39.509]  It comes with all the equipment you need to prepare it, with open talk of a strike on Iran in the next three months, the crisis in the Gulf, and possible evacuations.
[01:32:39.509 --> 01:32:41.710]  Get yourself and your family ready today.
[01:32:41.710 --> 01:32:44.091]  The place to go is efoodsdirect.com.
[01:32:44.091 --> 01:32:49.273]  Go to their website online right now, efoodsdirect.com forward slash Alex, or call 800-409-5633.
[01:32:49.273 --> 01:32:50.053]  Again, on the web,
[01:32:53.234 --> 01:33:01.601]  eFoodsDirect.com forward slash Alex or give them a call at 800-409-5633.
[01:33:01.601 --> 01:33:03.142]  Coast to Coast.
[01:33:03.142 --> 01:33:05.203]  Direct from Austin.
[01:33:05.203 --> 01:33:09.006]  You're listening to the Alex Jones Broadcasting Network.
[01:33:09.006 --> 01:33:18.674]  Big Brother.
[01:33:18.674 --> 01:33:21.476]  Mainstream Media.
[01:33:21.476 --> 01:33:22.577]  Government Cover-Ups.
[01:33:24.033 --> 01:33:25.974]  You want answers?
[01:33:25.974 --> 01:33:27.875]  Well, so does he.
[01:33:27.875 --> 01:33:34.839]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:33:34.839 --> 01:33:38.441]  We're speaking with FBI agent Don Adams.
[01:33:38.441 --> 01:33:51.188]  This is amazing information, and in a moment we're going to play a clip from the audio tape made by the Intelligence Bureau there in Miami, Florida.
[01:33:51.188 --> 01:33:51.568]  In fact,
[01:33:52.128 --> 01:33:57.570]  Let's go ahead, let's go ahead now and play a clip of this tape.
[01:33:57.570 --> 01:34:02.972]  Because separately you've got FBI agent Don Adams in Georgia investigating this guy before it happens.
[01:34:02.972 --> 01:34:09.814]  Then he learns this guy's shooting his mouth off so much and hanging out with these gribs in Miami that we now know we're planning it.
[01:34:09.814 --> 01:34:16.056]  Headed up, of course, by famous CIA black op commander E. Howard Hunt.
[01:34:16.656 --> 01:34:22.618]  Who ran assassinations worldwide, deathbed confession, talking about how it was planned in Miami.
[01:34:22.618 --> 01:34:32.460]  Here he is in Florida, Joseph Adams Miltier, saying to the police undercover, yeah, we're going to kill him in Dallas, we're going to kill him with a rifle.
[01:34:32.460 --> 01:34:37.902]  And then later, the cops go back and get another interview and he's saying, see, I told you we were going to kill him.
[01:34:37.902 --> 01:34:39.962]  You think I was playing games, boy?
[01:34:39.962 --> 01:34:41.363]  Let's go ahead and play that audio.
[01:34:41.363 --> 01:34:41.743]  Here it is.
[01:34:42.503 --> 01:34:54.231]  But the most startling discovery was a tape recording captured by Miami intelligence officers November 9th 1963 just weeks before Dallas.
[01:34:54.231 --> 01:34:57.373]  Miltier is talking to the informant William Somerset.
[01:35:09.676 --> 01:35:14.569]  The FBI headquarters and Secret Service both had that tape within days.
[01:35:14.569 --> 01:35:16.735]  I should have stopped the President from traveling yesterday.
[01:35:17.318 --> 01:35:18.578]  But they didn't.
[01:35:18.578 --> 01:35:20.599]  And he says he was jubilant.
[01:35:20.599 --> 01:35:22.040]  Bragging to Somerset.
[01:35:22.040 --> 01:35:26.621]  You thought I was kidding when I said he would be killed from a window with a high-powered rifle.
[01:35:26.621 --> 01:35:32.243]  Despite all of that, Miltier was never even mentioned in the Warren Commission report.
[01:35:32.243 --> 01:35:38.745]  When Hoover set up the propaganda in the FBI, don't embarrass the FBI, that was his rules.
[01:35:38.745 --> 01:35:39.626]  And you didn't.
[01:35:39.626 --> 01:35:43.287]  So they ordered everything put into the archives and to be forgotten about it.
[01:35:43.607 --> 01:35:48.809]  But Don can't forget, and hopes something is done before the truth is buried forever.
[01:35:48.809 --> 01:35:54.571]  I mean, when we die off, when we're gone, there's not going to be anybody who's going to sit here and tell you these things.
[01:35:54.571 --> 01:35:58.033]  All right, going back now to retired FBI agent Don Adams.
[01:35:58.033 --> 01:36:03.415]  That must have hit you like a thunderbolt when all this came out, that other police agencies
[01:36:04.435 --> 01:36:15.418]  Yes, it devastated me to have that type of positive information on a tape recording by the two people that we were dealing with as far as that time element is concerned, and then for him to make that positive statement.
[01:36:30.742 --> 01:36:32.763]  He should have been stopped.
[01:36:32.763 --> 01:36:37.464]  The President's travel should have been stopped immediately, and he should have not gone to Dallas.
[01:36:37.464 --> 01:36:42.446]  When we interviewed him, I took the statements on those five questions.
[01:36:42.446 --> 01:36:52.309]  He denied any involvement in the assassination, and one of them was concerning Martin Luther King, if there was any threats on him, and he denied any of that information.
[01:36:53.215 --> 01:37:02.303]  And, uh, as a result of it, uh, I called my boss and the boss said, go ahead and release him since he didn't give you anything of any positive nature in that.
[01:37:02.303 --> 01:37:08.428]  And the Secret Service will contact you if they decide they want him located and they want to talk to him.
[01:37:08.428 --> 01:37:10.550]  And that's the last I heard of him.
[01:37:10.550 --> 01:37:11.951]  And I forgot all about it.
[01:37:11.951 --> 01:37:15.915]  And then, uh, seven months later, I was transferred to Dallas, Texas.
[01:37:17.330 --> 01:37:24.055]  When I got to Dallas, Texas, uh, the first thing that my boss said to me was, I want you to look at the Zabruder film.
[01:37:24.055 --> 01:37:25.856]  I went in and looked at the Zabruder film.
[01:37:25.856 --> 01:37:33.762]  When I looked at the Zabruder film, uh, I saw him, I saw the president take his hands and go up towards his throat with his hands.
[01:37:33.762 --> 01:37:37.064]  And I made a comment with two senior agents sitting there with me.
[01:37:37.064 --> 01:37:38.885]  And I said, hell, he didn't get shot from the back.
[01:37:38.885 --> 01:37:39.866]  He got shot from the front.
[01:37:40.865 --> 01:37:50.619]  And I was cautioned by one of the agents that said, Don, the Warren Commission's already in here working to get this thing established and that, and I would kind of hold your comments to yourself.
[01:37:51.698 --> 01:37:56.179]  I left there a couple days later with two other senior agents and went to the Book Depository.
[01:37:56.179 --> 01:38:02.140]  When I got to the Book Depository, I looked out the window and looked down on Elm Street, and there was a tree in full foliage.
[01:38:02.140 --> 01:38:08.941]  And I asked the two agents, I said, was that tree bare at the time when the assassination took place?
[01:38:08.941 --> 01:38:15.002]  They said, no, the timing is such that it's not like you have back at home in Ohio.
[01:38:15.002 --> 01:38:19.063]  The leaves were still on there in November and they're still on in June.
[01:38:19.463 --> 01:38:22.485]  Yeah, live oaks drop their leaves in the summer.
[01:38:22.485 --> 01:38:25.286]  Yes, okay, which they did do.
[01:38:25.286 --> 01:38:28.067]  So as a result of it, I made a comment.
[01:38:28.067 --> 01:38:42.255]  I said, there's no way in the world, if the foliage is all up there, there's no way in the world that this individual could not have possibly made those shots, three shots in seven and a half seconds.
[01:38:42.255 --> 01:38:44.796]  And again, I was cautioned and said, be careful what you say.
[01:38:45.999 --> 01:38:59.675]  So then that was my completion as far as I cover a couple of leads on the assassination when I worked in Dallas and then subsequently I made my transfers and stuff, went back to Ohio and forgot all about Miltier.
[01:38:59.675 --> 01:39:00.336]  In November of 1992,
[01:39:04.840 --> 01:39:17.849]  At Christmas time, we had a get-together at a house there, and one of the fellows that was there, he was a son of a friend of mine, and he said, Mr. Adams, I understand that you're involved in the assassination investigation, and I'm a buff for that.
[01:39:17.849 --> 01:39:20.290]  Could you talk with me about it?
[01:39:20.290 --> 01:39:26.074]  I did, told him the whole story I just told you, and he said, fine, thank you very much.
[01:39:26.074 --> 01:39:30.297]  And then he said, I'm reading a book in my home in Houston.
[01:39:30.297 --> 01:39:31.558]  When I finish it, I'll send it to you.
[01:39:32.316 --> 01:39:39.178]  So, about a month later, I received a package from him, and inside was the book.
[01:39:39.178 --> 01:39:42.858]  I opened up the book, and the name of the book was High Treason.
[01:39:42.858 --> 01:39:47.439]  And it was written by Robert Groten and William Livingston.
[01:39:47.439 --> 01:39:58.542]  And when I opened up that, there was a paste of notes on the inside cover, and it said, Don Adams, Joseph A. is mentioned in the appendix.
[01:39:58.542 --> 01:39:59.422]  Good reading, Larry.
[01:40:00.353 --> 01:40:05.677]  So then when I opened it up and went to the index, I was thinking to myself, hell, there's a lot of Joseph A's.
[01:40:05.677 --> 01:40:09.840]  And I never used his last name when I talked to the group at Larry's house.
[01:40:09.840 --> 01:40:12.102]  So I figured, you know, he's just got somebody else.
[01:40:12.102 --> 01:40:16.885]  But when I went to the index, it had Joseph Patterson of New Jersey in the index.
[01:40:16.885 --> 01:40:18.247]  I immediately went to the appendix.
[01:40:18.247 --> 01:40:22.830]  The appendix in there talked in terms of a tape-recorded conversation.
[01:40:22.830 --> 01:40:24.751]  And I want all your listeners to understand this.
[01:40:24.751 --> 01:40:26.773]  On November the 9th of 1963,
[01:40:29.213 --> 01:40:33.497]  Uh, two weeks approximately, two weeks before the assassination.
[01:40:33.497 --> 01:40:58.276]  Uh, Joseph Adams Miltier, uh, in a tape-recorded conversation that was done by the Miami Intelligence Police Unit, uh, they placed a recorder in Somerset's apartment, and he was their informant, and, uh, they tape-recorded the conversation, and in that conversation, Miltier said that, uh, we're going to kill him from an office building with a high-powered rifle.
[01:40:59.221 --> 01:41:05.828]  And then Somerset said to him, uh, are you sure that you, he said, oh yes, he said, I'm sure it's in the works.
[01:41:05.828 --> 01:41:15.357]  Well, Don, the story, I mean, the real issue here is, and of course you've researched this, you know about it, the black secret service agent that knew that was coming in Chicago, so they moved it from Chicago.
[01:41:16.278 --> 01:41:29.264]  To Dallas, and of course he said that decades ago, and then documents did come out, and then there's a deathbed confession by E. Howard Hunt, the famous black op, head of state, assassin squad leader.
[01:41:29.264 --> 01:41:43.651]  It says, yeah, we were in Miami for the big event, and LBJ was running the big event, and I was there, kind of on the sideline, and then we were gonna be doing it in Chicago, but then it got moved to Dallas.
[01:41:43.651 --> 01:41:45.432]  I mean, we've just got it all right there.
[01:41:46.152 --> 01:41:48.255]  Yeah, it's amazing.
[01:41:48.255 --> 01:41:51.500]  I heard about statements and that.
[01:41:51.500 --> 01:41:59.811]  I've never listened to it personally, but when you start tying all the knots together, Nat, you're going to come up with an answer.
[01:41:59.811 --> 01:42:01.954]  And all this information that
[01:42:02.735 --> 01:42:06.417]  If they had it in their hands, I got none of it.
[01:42:06.417 --> 01:42:10.620]  I knew nothing about the 9th Cape Recording.
[01:42:10.620 --> 01:42:22.567]  I knew nothing that military had been interviewed by my partner a year before in 1982 on a civil rights investigation.
[01:42:22.567 --> 01:42:24.928]  My partner says nothing to me about it at all.
[01:42:25.538 --> 01:42:36.926]  My, William Elliott worked with my partner a year before that in 82 and he said nothing to me and we worked together extensively every day doing a workup on Miltier.
[01:42:36.926 --> 01:42:42.169]  Now why in the hell was this stuff kept from me?
[01:42:42.169 --> 01:42:49.934]  You know, when I go back in 93, I mean back to 93 when all this stuff started and that, I was devastated.
[01:42:49.934 --> 01:42:51.776]  I was totally shocked to think that
[01:42:52.698 --> 01:42:57.922]  My own agency, the FBI, had covered this whole thing.
[01:42:57.922 --> 01:43:05.027]  You may be arrested and or subject to public police action.
[01:43:05.027 --> 01:43:06.288]  Tyranny is here.
[01:43:06.288 --> 01:43:09.951]  The grim future foretold in 1984 has become reality.
[01:43:09.951 --> 01:43:12.453]  It really says that the state is God.
[01:43:12.453 --> 01:43:17.857]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:43:18.297 --> 01:43:24.981]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[01:43:24.981 --> 01:43:30.944]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:43:30.944 --> 01:43:34.626]  Police State 4 chronicles the sickening depth to which our Republic has fallen.
[01:43:35.126 --> 01:43:39.407]  Prepare to enter the secretive world of emergency dictatorship.
[01:43:39.407 --> 01:43:45.369]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[01:43:45.369 --> 01:43:48.911]  It's only the beginning of the New World Order's hellish plan.
[01:43:48.911 --> 01:43:50.891]  The police state isn't coming.
[01:43:50.891 --> 01:43:51.992]  It's here.
[01:43:51.992 --> 01:43:58.814]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:44:02.625 --> 01:44:06.588]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:44:06.588 --> 01:44:15.455]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:44:15.455 --> 01:44:20.079]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:44:20.079 --> 01:44:30.908]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:44:31.508 --> 01:44:41.030]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[01:44:41.030 --> 01:44:46.452]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:44:46.452 --> 01:44:53.953]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:44:53.953 --> 01:44:56.694]  That's www.SilverLungs.com.
[01:45:00.484 --> 01:45:04.971]  Alex Jones here with urgent information concerning TrendsResearch.com.
[01:45:04.971 --> 01:45:12.442]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[01:45:12.442 --> 01:45:15.907]  By tracking 300 separately defined domestic and international trends,
[01:45:16.488 --> 01:45:21.011]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[01:45:21.011 --> 01:45:28.877]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
