[00:00.000 --> 00:22.000]  If you are receiving this transmission, you are the resistance.
[01:26:12.000 --> 01:26:15.000]  Russian collusion, delusion.
[01:26:15.000 --> 01:26:22.000]  Yeah, no, I totally agree with you on that. And it's interesting how you were brought into that, which blew my mind.
[01:26:22.000 --> 01:26:31.000]  I just could not understand how they made that leap in the face of what you had already testified to.
[01:26:31.000 --> 01:26:39.000]  There's no difference in saying that Alex Jones said no children were killed at Marjory Stoneman Douglas High School, which he never said,
[01:26:39.000 --> 01:26:45.000]  in which nobody here said as to whether the television witnesses were coached.
[01:26:45.000 --> 01:27:04.000]  Tucker Carlson, a Fox reported that they were box is owned by the News Corporation, the same news corporation that says close down info wars because they claim that children were prompt as to what to say on television in the aftermath of the killing in Parkland.
[01:27:04.000 --> 01:27:09.000]  Where's the consistency here? This is so slow motion strangulation.
[01:27:09.000 --> 01:27:13.000]  We see it in Facebook and Twitter.
[01:27:13.000 --> 01:27:25.000]  It is the night of the long knives people's feeds are arbitrarily being closed on Facebook if they're pro liberty and they have strong followings if they follow Alex Jones and info wars.
[01:27:25.000 --> 01:27:38.000]  This is this is an attempt of Stalin's like hitler like censorship. They lost the last election. They don't want a free vibrant robust alternative media in the 2018 election.
[01:27:38.000 --> 01:27:47.000]  They think the only way they can get the White House back in 2020 is by going back to the old days when mainstream media dominated the political dialogue.
[01:27:47.000 --> 01:28:00.000]  They can't win a debate of ideas. They take on Doug Hagman in an argument of ideas. They will lose. So they just want to silence us, but we will not go silent into that good night.
[01:28:00.000 --> 01:28:11.000]  This is going to get fought out in the courts, in the Congress, in the streets in terms of civil not civil disobedience so much as public demonstration.
[01:28:11.000 --> 01:28:22.000]  This is the war for the future. It's about the First Amendment. It's about free communications as guaranteed by the Constitution.
[01:28:22.000 --> 01:28:29.000]  It is and I've so wanted to directly ask you these questions and get your take on these questions.
[01:28:29.000 --> 01:28:36.000]  It's serendipitous how this worked out this evening and I'm so glad to have this opportunity. We've got about 20 seconds to the break.
[01:28:36.000 --> 01:28:41.000]  Go ahead.
[01:28:41.000 --> 01:28:55.000]  60 seconds to go. Let me say this, folks. We will break this down for you on the other side. In the meantime, go to the InfoWars.com store now to help us fuel the fight for truth and freedom.
[01:28:55.000 --> 01:28:57.000]  We are the tip of the spear.
[01:28:57.000 --> 01:29:05.000]  I am very proud to announce the introduction of the highest quality InfoWars Biome Defense probiotic.
[01:29:05.000 --> 01:29:19.000]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:29:19.000 --> 01:29:31.000]  Biome Defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:29:31.000 --> 01:29:38.000]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:29:38.000 --> 01:29:47.000]  Secure your Biome Defense in ultra strength or regular strength at InfoWars.com today and get started supporting your digestive system naturally.
[01:29:47.000 --> 01:29:58.000]  We have been testing this formula for years, but this is the limited first run of the public, so please take advantage of it today, support your own health, and support the InfoWars.
[01:29:58.000 --> 01:30:07.000]  You know, I've got some talking points here about caveman from infowarslife.com, but instead of going with those talking points, let me just give you what I've experienced personally.
[01:30:07.000 --> 01:30:14.000]  From all the wives, tales, and every culture, we know that the bones have the essence. We know chicken noodle soup is great for people that are sick.
[01:30:14.000 --> 01:30:18.000]  Again, in every culture, this has been reported because it works.
[01:30:18.000 --> 01:30:31.000]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[01:30:31.000 --> 01:30:47.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[01:30:47.000 --> 01:30:58.000]  Find out for yourself today at infowarsstore.com, what it can do for your family, and again, I want to thank you all for your support. You are funding the Information War in 2018.
[01:31:17.000 --> 01:31:28.000]  Thank you for the night and achieve proper sleep. Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[01:31:28.000 --> 01:31:46.000]  The natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need. Wake up refreshed and take on the day. InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[01:31:46.000 --> 01:31:58.000]  Get the sleep you deserve and experience the power of knockout. Head on over to infowarslife.com and say goodbye to fatigue. That's infowarslife.com.
[01:32:16.000 --> 01:32:26.000]  And smart technology that's easy to use, and let me tell you something, it is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts, and entire meals.
[01:32:26.000 --> 01:32:46.000]  Woo, that's what I'm talking about. And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison. Harvestrite freeze dryers retain 97% of the food's taste, color, and nutritional value and have a shelf life of up to 25 years.
[01:32:46.000 --> 01:33:01.000]  Now that's what I call the miracle of food preservation. Harvestrite is truly the world's best, most affordable freeze dryer. So what are you waiting for? Check it out right now at infowarsstore.com.
[01:33:01.000 --> 01:33:20.000]  You're listening to the Alex Jones Show.
[01:33:20.000 --> 01:33:30.000]  Live from Austin, Texas, broadcasting worldwide. It's Alex Jones.
[01:33:30.000 --> 01:33:39.000]  Doug Hagman sitting in for Alex Jones, this Sunday edition of infowars. Roger Stone had to go because of the way he actually was having Skype issues.
[01:33:39.000 --> 01:33:55.000]  He was going to be providing information solo for the remainder of the show. It was so funny because I had wanted to speak with Roger Stone about the various issues, about the references with respect to Russia, and of course how this all ties into the censorship.
[01:33:55.000 --> 01:34:04.000]  But having said that, I will get another chance hopefully at some point in the future, and I wish the best for Roger and I hope all is well with him.
[01:34:04.000 --> 01:34:22.000]  But the issue of, what are they censoring? Aside from the truth, we know that, but specifically what is it the truth about the shootings, is the truth about the corruption in the DOJ and the FBI?
[01:34:22.000 --> 01:34:36.000]  Well, who else is reporting on the latter, or the former for that matter? Only sources like infowars and individuals in the mostly conservative new media, the honest media.
[01:34:36.000 --> 01:34:51.000]  So having said that, what I wanted to address, and right before Roger came on, I was referencing this, I don't think there is any other agency that's talking about some revelations here that we saw this weekend that they're not being referenced at all.
[01:34:51.000 --> 01:35:12.000]  The revelations in the 12 or 13 page, let me be exact here, I believe it's 13 pages with annotations and footnotes or 10 pages. Well, regardless, I'm sorry, it is 10 pages with the annotations and the multiple redactions with the House Permanence Select Committee on Intelligence,
[01:35:12.000 --> 01:35:28.000]  their response to their democratic response, the partisan response to the Nunez memo as I was getting read earlier before. The most interesting and perhaps the most damning aspect of this that I'm not hearing anyone really talk about is on page 5 of this.
[01:35:28.000 --> 01:35:53.000]  I'm not going to get too detailed on this, but you can download this, of course, on the Internet, where the Democrats or the response in the House Permanence Select Committee on Intelligence, they admit ties to the Hillary Clinton DNC position of the Steele dossier.
[01:35:53.000 --> 01:36:11.000]  They admit the ties that were not disclosed, at least not to the extent they should have been. And when you consider that the FISA court is an ex parte proceeding, in other words, a one-sided proceeding, that's extremely important.
[01:36:11.000 --> 01:36:34.000]  But the admission where the FISA court was not informed of the financial ties of Christopher Steele to the actual dossier, to the underlying documents of the FISA warrant application, that admission I think is extremely critical for people to understand and for people to really look at and say,
[01:36:34.000 --> 01:36:47.000]  wait a minute, this is what we've been talking about. But there are a couple of other things, of course, beyond the, when you follow the money and investigations like I've done for the last 30 years, you look at this and you say,
[01:36:47.000 --> 01:37:04.000]  OK, who is paying for everything? And where's the money trail? It is beyond any shadow of a doubt. Now, when you balance the two memos, you've got the money flowing ultimately to Christopher Steele, who's disseminating, compiling and disseminating information.
[01:37:04.000 --> 01:37:20.000]  And the hops, the following the money train is like this. You've got Hillary Clinton at the base, paying Perkins Cooey, the law firm. And I know you've heard this before, but just follow me on this.
[01:37:20.000 --> 01:37:38.000]  Paying Perkins Cooey, who's paying Fusion GPS, who's paying Christopher Steele, who's also approved for reimbursement by the FBI slash DOJ to create a dossier to compile it.
[01:37:38.000 --> 01:37:52.000]  In part, he's just one of a number of people. And that's another key issue to create the underlayment for this, this illegal spying operation by the opposing political party.
[01:37:52.000 --> 01:38:08.000]  Now, here is a name that has surfaced of late. Just only a couple of websites have mentioned this that you're going to be hearing more about. And this is first, I believe, on InfoWars and first with respect to this issue.
[01:38:08.000 --> 01:38:19.000]  Lisa Monaco. Lisa Monaco happened to be the chief of staff of Robert Mueller, then FBI director Robert Mueller.
[01:38:19.000 --> 01:38:29.000]  She moved to an assistant deputy in the National DHS National Security Division of the White House.
[01:38:29.000 --> 01:38:38.000]  The reason I bring her name up is when you look at the Steele dossier, as I've said before, it's not the Steele dossier, it's the Clinton Steele dossier.
[01:38:38.000 --> 01:38:49.000]  Through the work of Obama, through the executive order, 12333, I believe it is, and the opening up of the unmaskings.
[01:38:49.000 --> 01:39:05.000]  What he did and what Lisa Monaco and Susan Rice have appeared to do is spread the information that was a product of political opposition research from the presidential daily briefing
[01:39:05.000 --> 01:39:10.000]  to numerous other people, including with unlimited members of the media.
[01:39:10.000 --> 01:39:14.000]  So here's why this is at the end. Here's why this is important.
[01:39:14.000 --> 01:39:37.000]  You have got an operation out of the Obama White House using a weaponized Department of Justice and FBI to create, obviously, create the political opposition product to go against President Donald Trump.
[01:39:37.000 --> 01:39:47.000]  But in the periphery of this, and this is something that I found, and I believe is so critical for the listeners of this program to understand.
[01:39:47.000 --> 01:39:53.000]  Folks, the surveillance was not just limited to the political opposition.
[01:39:53.000 --> 01:40:04.000]  The surveillance was limited or was also involved people such as Roger Stone, people such as or entities such as InfoWars,
[01:40:04.000 --> 01:40:10.000]  people such as Sean Hannity, people and entities such as Fox News.
[01:40:10.000 --> 01:40:23.000]  When you look at it this way and now take that and draw back to where we are, where we're seeing today, the war against the alternative media,
[01:40:23.000 --> 01:40:37.000]  including and especially InfoWars and even myself at the Hagman Report, we're watching this blowback, this attempt to shut us down, to shut us up.
[01:40:37.000 --> 01:40:48.000]  And if you can't do it by fighting the facts, for example, getting these facts out, you've got to do it by portraying InfoWars, by portraying Alex,
[01:40:48.000 --> 01:41:01.000]  by portraying all of the truth tellers as bullies, as bigots, or insert the pejorative name here and under the violations of terms of service.
[01:41:01.000 --> 01:41:07.000]  So to tie this all together, this is what we're seeing today. This didn't happen overnight.
[01:41:07.000 --> 01:41:14.000]  This was not an arbitrary or capricious decision by Twitter, by Facebook, by YouTube or Google or whatever.
[01:41:14.000 --> 01:41:21.000]  This exists. The rot is at the very top of the deep state.
[01:41:21.000 --> 01:41:33.000]  And in the deep state, of course, lacking any plausible deniability, you're looking at Barack Hussein, Obama, Clinton, and those in their council in orbit, I should say.
[01:41:33.000 --> 01:41:43.000]  Before we go to break, I want to mention, you know, myself, I'll tell you something, I've never felt better than when I'm taking the nutritional supplements from InfoWars.
[01:41:43.000 --> 01:41:52.000]  I've got nothing to gain by saying this. I love the products that they offer. I love their, by the way, I love their toothpaste.
[01:41:52.000 --> 01:42:02.000]  There is a limited time sales. The number of limited time sales are ending soon. Super blue, 50% off. Self force, 53% off.
[01:42:02.000 --> 01:42:19.000]  50% off of a curin and more. Folks, go to InfoWarsStore.com. Get your products today, because right now it's never been so more important than supporting InfoWars and supporting alternative media than it is right now.
[01:42:19.000 --> 01:42:36.000]  We're going to break here very shortly. And on the other side, going to wrap it up with a few other issues related to what you are not hearing with respect to the memo and the other issues that involve censorship, the memo, and the political corruption.
[01:42:36.000 --> 01:42:57.000]  Doug Hagman sitting in for Alex, and we'll be right back.
[01:43:07.000 --> 01:43:10.000]  They are your body's cellular engines.
[01:43:10.000 --> 01:43:24.000]  Cell force helps promote your cellular energy production by supporting mitochondria, much like a cellular engine overhaul, because when your mitochondria don't run at 100% efficiency, then they start producing reactive oxygen species.
[01:43:24.000 --> 01:43:32.000]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[01:43:32.000 --> 01:43:45.000]  The antioxidants found in cell force are some of the most powerful available on the market. The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[01:43:45.000 --> 01:43:57.000]  Boost, protect, and adapt with cell force from InfoWarsLife. Head to InfoWarsLife.com or call 1-888-253-3139.
[01:43:57.000 --> 01:44:09.000]  Top scientists and researchers agree we are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[01:44:09.000 --> 01:44:21.000]  So what do we do about it? Well, for starters, don't just sit there and take it. Fight back with the all new supercharged Brain Force Plus and feel the rush without the crash.
[01:44:21.000 --> 01:44:36.000]  Brain Force Plus is the next generation of advanced neural activation and new tropics, and now we've added a brand new ingredient called black pepper fruit extract that gives you an added kick.
[01:44:36.000 --> 01:44:49.000]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[01:44:49.000 --> 01:44:57.000]  It's the real deal. Brain Force Plus. Secure your bottle right now at InfoWarsStore.com.
[01:45:20.000 --> 01:45:27.000]  Discover and try a bag of the Patriot Blend 100% organic coffee at InfoWarsLife.com.
[01:45:27.000 --> 01:45:34.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:45:34.000 --> 01:45:41.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:45:41.000 --> 01:45:49.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[01:45:49.000 --> 01:45:55.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee.
[01:45:55.000 --> 01:46:12.000]  Available at InfoWarsLife.com.
[01:46:26.000 --> 01:46:33.000]  Floor life supports your body's core, where you need it most, including digestion, regularity, immunity, the gut lining, and metabolism.
[01:46:33.000 --> 01:46:41.000]  Did you know that over 80% of your immune system is located in your gut? That's why increasing gut probiotic levels is so important for overall health.
[01:46:41.000 --> 01:46:49.000]  Floor life is sold as a 15 billion probiotic for everyday maintenance care and a 50 billion probiotic for a 30 day advanced gut restoration program.
[01:46:49.000 --> 01:47:01.000]  Head to InfoWarsLife.com to pick up your bottle of Floor Life probiotics today. That's InfoWarsLife.com.
[01:47:01.000 --> 01:47:09.000]  You're listening to the Alex Jones Show.
[01:47:09.000 --> 01:47:21.000]  From the front lines of the Information War, it's Alex Jones.
[01:47:21.000 --> 01:47:28.000]  Well, you did have Alex Jones. Doug Hagman sitting in for Alex Jones. Thank you so much for your patience.
[01:47:28.000 --> 01:47:34.000]  But right before the break, we were talking of course about the bigger picture.
[01:47:34.000 --> 01:47:42.000]  I'm a big picture kind of guy when I'm looking at all of this. Of course, Alex and Roger Stone, they were talking about censorship.
[01:47:42.000 --> 01:47:53.000]  And of course, the Florida shooting and just the incredible blowback by InfoWars, by Alex, bringing the truth to the American public.
[01:47:53.000 --> 01:48:00.000]  And obviously, the powers that exist in Washington inside the swamp, they don't like the truth.
[01:48:00.000 --> 01:48:07.000]  So what are they going to do? Can they refute the facts? Can they tolerate asking questions? Of course not. They've got to pull the plug.
[01:48:07.000 --> 01:48:16.000]  And this is why I've said before, I said Friday with Alex and Milo, is the fact that we, in the alternative media, we've all got to stick together.
[01:48:16.000 --> 01:48:25.000]  We've got to, look, we can win on the numbers. But we've got to show up. We've got to play. We've got to, we've got to fire back.
[01:48:25.000 --> 01:48:30.000]  We cannot tolerate that. The problem in America, in my view, is that we tolerate too much.
[01:48:30.000 --> 01:48:43.000]  People accuse others of being intolerant, especially on the left, the left accusing the Christian conservatives and conservatives of being too intolerant.
[01:48:43.000 --> 01:48:48.000]  I don't think that's the case at all. We're too tolerant and we allow too much.
[01:48:48.000 --> 01:48:56.000]  When's the last time you saw a rally in the streets by conservatives? You haven't. But at some point, we must rally.
[01:48:56.000 --> 01:49:09.000]  We must get behind one another. That's why it's so important, I believe, for each one of us to get behind Info Wars, to get behind Alex Jones, to be Alex Jones, where we can be.
[01:49:09.000 --> 01:49:16.000]  That's my view, because if we don't do that, if we don't stand together, we will fall separately and we can't have that.
[01:49:16.000 --> 01:49:23.000]  Roger Stone, it's my understanding, will be on tomorrow as his time was cut short today by a bad Skype connection. I understand he's traveling.
[01:49:23.000 --> 01:49:36.000]  So having said that, having looked at the last or the before the break, talking about the war of memos, shall we say, and what that really reflects,
[01:49:36.000 --> 01:49:44.000]  and how that relates to everything else, and I think it does in the larger sense. And here's what I mean by that.
[01:49:44.000 --> 01:49:55.000]  When we look at this race to unveil, to expose the corruption that wrought within the deep state, the permanent state,
[01:49:55.000 --> 01:50:03.000]  we are looking at the blowback from this attempt to expose what's really going on.
[01:50:03.000 --> 01:50:12.000]  And the takeaways, of course, as we can see, the takeaways from the Democratic memo are several. There are a number of takeaways.
[01:50:12.000 --> 01:50:20.000]  Sarah Carter weighing in, Devin Nunes, of course, weighing in, and others weighing in with respect to the takeaways.
[01:50:20.000 --> 01:50:29.000]  The bottom line with this memo, and I think Devin Nunes earlier today on some of the Sunday talk shows had said it best,
[01:50:29.000 --> 01:50:43.000]  the most telling part of this Democratic memo, the response to the Nunes memo exists on page five of this minority response memo,
[01:50:43.000 --> 01:50:54.000]  and that is simply this. They admit ties to Hillary Clinton, to the DNC. The financial aspect was not disclosed to the FISA court,
[01:50:54.000 --> 01:50:59.000]  and remember the FISA court is an exparte proceeding, it's a one-sided proceeding.
[01:50:59.000 --> 01:51:08.000]  In other words, there's no defense, shall we say. They lied to the FISA court, they lied to the FISA court,
[01:51:08.000 --> 01:51:15.000]  and think back to 1975, the Church Committee, the revelations from the Church Committee, that spawned the FISA court.
[01:51:15.000 --> 01:51:23.000]  It was because of the revelations from the Church Committee that we have the FISA court today, the Foreign Intelligence Surveillance Court,
[01:51:23.000 --> 01:51:31.000]  and it was because of the centralization of power, it was because of the FISA court and the 17 different intelligence agencies,
[01:51:31.000 --> 01:51:41.000]  and the compartmentalization therein that we found, we saw the creation of the Office of the Director of National Intelligence.
[01:51:41.000 --> 01:51:56.000]  So all of this to say that the deep state, the foreign, or the deep state, the actors that they're in have really abused the process.
[01:51:56.000 --> 01:52:01.000]  And when I say abuse the process, I'm talking about conducting surveillance, as I said before the break,
[01:52:01.000 --> 01:52:06.000]  of not just those believed to be foreign agents or foreign actors,
[01:52:06.000 --> 01:52:12.000]  but even those people who, well, it's quite simply the political opponents,
[01:52:12.000 --> 01:52:16.000]  and those in the alternative independent media who are telling the truth,
[01:52:16.000 --> 01:52:24.000]  and attempting to get the truth out there through exposing the various memos or the various misdeeds of the FBI and the DOJ,
[01:52:24.000 --> 01:52:31.000]  as well as the State Department, which is phase two, and of course the Obama White House.
[01:52:31.000 --> 01:52:38.000]  At this point, and this is important I think for everyone to understand, at this point we are going to see in the next couple of months,
[01:52:38.000 --> 01:52:45.000]  we are going to see the Office of the Inspector General, and there are 73 inspectors in general,
[01:52:45.000 --> 01:52:52.000]  but Michael Horowitz as the IG for the FBI and DOJ, we're going to see a report come out,
[01:52:52.000 --> 01:52:57.000]  possibly mid-March, I expected to be then, if not early April.
[01:52:57.000 --> 01:53:05.000]  When that report comes out, you're going to see that working in tandem, taking a parallel path to the exposures to date,
[01:53:05.000 --> 01:53:19.000]  and by the way, that will address the, in large part, the OIG report will address the Hillary Clinton email abuse scandal crime,
[01:53:19.000 --> 01:53:29.000]  and everything surrounding that, and the overlap between that into the FBI, DOJ abuse,
[01:53:29.000 --> 01:53:37.000]  all combining within this deep state, cauldron of deep state swamp denizens,
[01:53:37.000 --> 01:53:46.000]  all combining to create this secret society self-named, and this movement against not just Donald Trump,
[01:53:46.000 --> 01:53:49.000]  but to overturn the will of the American people.
[01:53:49.000 --> 01:53:56.000]  So, if anything, if this was my last time ever on air, my dying breath,
[01:53:56.000 --> 01:54:03.000]  I would really like people to see how over the last eight years, very specifically,
[01:54:03.000 --> 01:54:09.000]  but in a larger sense over the last generation, the last 50 years, how the deep state has been created,
[01:54:09.000 --> 01:54:17.000]  and what we're now seeing today is the results of that creation, where alternative media,
[01:54:17.000 --> 01:54:29.000]  where even members of our Congress, members of our Supreme Court, members of those wanting a constitutional republic to succeed,
[01:54:29.000 --> 01:54:37.000]  and that's just not limited to Donald Trump, as I said, we are seeing this blowback in attempt to silence all of us,
[01:54:37.000 --> 01:54:43.000]  because this stuff gets out, the Florida shooting information gets out,
[01:54:43.000 --> 01:54:54.000]  and InfoWars has done a phenomenal job, in my view, of explaining the issues with respect to the Florida shooting.
[01:54:54.000 --> 01:54:56.000]  When I say issues, things don't add up there.
[01:54:56.000 --> 01:55:01.000]  Look, I've been an investigator for 30 years, plus, and I can tell you this,
[01:55:01.000 --> 01:55:07.000]  nothing really makes sense with respect to the Florida shooting, and don't even get me started on Las Vegas.
[01:55:07.000 --> 01:55:12.000]  But all of that said, the truth has to be stopped by the deep state.
[01:55:12.000 --> 01:55:17.000]  The deep state is attempting to stop the truth, and this, of course, here we are.
[01:55:17.000 --> 01:55:29.000]  Here we are today, and we attempted, the more effective we are, the more blowback we receive collectively and individually.
[01:55:29.000 --> 01:55:36.000]  So, the bottom line is this, as we approach the end of the program, the bottom line is this.
[01:55:36.000 --> 01:55:42.000]  We have been, and when I say we, I'd like to be included in that, of course, Alex Jones and his fund crew,
[01:55:42.000 --> 01:55:48.000]  we have been over the target, and we've been taking flag in coming.
[01:55:48.000 --> 01:55:55.000]  We need to keep pressing on, pressing forward, spreading the information on social networking.
[01:55:55.000 --> 01:56:00.000]  You know, they may be able to shut down one account, 10 accounts, 100,000 accounts,
[01:56:00.000 --> 01:56:05.000]  but not everybody, and that information can, we can win on the numbers.
[01:56:05.000 --> 01:56:09.000]  I like to say that very often, we can win on the numbers.
[01:56:09.000 --> 01:56:13.000]  So, having said that, we've got to get together.
[01:56:13.000 --> 01:56:20.000]  We've got to support one another, and I don't want this to be a rally as opposed to the information,
[01:56:20.000 --> 01:56:26.000]  but it's so important when I'm, this is so important for all of us.
[01:56:26.000 --> 01:56:30.000]  And how do you support us? How do you support InfoWars? How do you support the truth?
[01:56:30.000 --> 01:56:36.000]  Folks, it's really simple, if I can just say this, and help yourself at the same time.
[01:56:36.000 --> 01:56:45.000]  Go to InfoWars store, buy SelfWars, 53% off, buy the various products.
[01:56:45.000 --> 01:56:50.000]  It doesn't matter, so you can help yourself and support InfoWars at the same time.
[01:56:50.000 --> 01:56:54.000]  Look, SelfWars, it's a fantastic product.
[01:56:54.000 --> 01:56:59.000]  The reason that this is so important, the reason that I bring this up now, and I'm not getting paid to do this,
[01:56:59.000 --> 01:57:01.000]  I don't have to say this.
[01:57:01.000 --> 01:57:07.000]  There's a benefit to me, I take it, I feel better, but there's also a benefit by keeping InfoWars on the air,
[01:57:07.000 --> 01:57:14.000]  keeping people, having the ability to go out there and tell the truth in such adverse conditions.
[01:57:14.000 --> 01:57:19.000]  So, having said all of that, the bottom line, we are in a war.
[01:57:19.000 --> 01:57:25.000]  We are in a civil war right now, we are in a war of information. Alex had it right from day one.
[01:57:25.000 --> 01:57:28.000]  This is an InfoWar, but we can win.
[01:57:28.000 --> 01:57:38.000]  Don't lose hope, never give up, and remember the more flak that you take, rest assured.
[01:57:38.000 --> 01:57:45.000]  It is, again, I cite my good friend, Coach David Albemar, the devil knows your name.
[01:57:45.000 --> 01:58:09.000]  The more flak you get.
[01:58:15.000 --> 01:58:21.000]  SuperMail Vitality and so many others, with its unique delivery system and proprietary manufacturing process,
[01:58:21.000 --> 01:58:23.000]  designed for maximized effects.
[01:58:23.000 --> 01:58:29.000]  This formula is the platinum standard of multivitamin mineral products, and this part is most important.
[01:58:29.000 --> 01:58:36.000]  The ingredients in vitamin mineral fusion are either plant-derived or of the highest quality lab standard.
[01:58:36.000 --> 01:58:42.000]  That means it's clean, that means it's pure, and rest assured, you're finding the tip of the spear in the InfoWars.
[01:58:42.000 --> 01:58:48.000]  That's infowarslife.com and vitamin mineral fusion. Take action now before we sell out.
[01:58:48.000 --> 01:58:53.000]  You know, I've got some talking points here about caveman from infowarslife.com,
[01:58:53.000 --> 01:58:57.000]  but instead of going on those talking points, let me just give you what I've experienced personally.
[01:58:57.000 --> 01:59:01.000]  From all the wives, tales, and every culture, we know that the bones have the essence.
[01:59:01.000 --> 01:59:04.000]  We know chicken noodle soup is great for people that are sick.
[01:59:04.000 --> 01:59:09.000]  Again, in every culture, this has been reported because it works.
[01:59:09.000 --> 01:59:14.000]  And there's no way to quantify how strong this is, but the amount of bone protein
[01:59:14.000 --> 01:59:22.000]  and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[01:59:22.000 --> 01:59:27.000]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins,
[01:59:27.000 --> 01:59:31.000]  whether it's for your brain, whether it's for energy, this, ladies and gentlemen,
[01:59:31.000 --> 01:59:38.000]  is the strongest, most concentrated bone broth formula out there, and it's amazing.
[01:59:38.000 --> 01:59:42.000]  Find out for yourself today at infowarslife.com, what it can do for your family,
[01:59:42.000 --> 01:59:44.000]  and again, I want to thank you all for your support.
[01:59:44.000 --> 02:00:09.000]  You are funding the Information War in 2018.
