[00:00:00.896 --> 00:00:03.176]  Victimizers, beware!
[02:48:30.576 --> 02:48:39.519]  When I came back out, I saw what looked like two Asian folks, probably Chinese, walking down the sidewalk about 50 yards up ahead of me.
[02:48:39.519 --> 02:48:44.281]  And here I am parked a truck with the windows up, and the woman stops and points at me.
[02:48:44.281 --> 02:48:47.562]  So they stop, and they wait while I'm inside my truck.
[02:48:47.562 --> 02:48:49.802]  Truck started, and they sit there and stretch.
[02:48:49.802 --> 02:48:50.603]  She keeps pointing.
[02:48:51.263 --> 02:48:53.272]  And they put their hands out like they're waiting for me.
[02:48:54.588 --> 02:48:59.029]  To go, because I'm not wearing a mask inside my car.
[02:48:59.029 --> 02:49:02.990]  And so then I just sat there, so they acted angry and walked past me.
[02:49:02.990 --> 02:49:08.291]  I almost shot a video of it on my phone, but everybody sees this stuff happening everywhere.
[02:49:08.291 --> 02:49:09.311]  This is mental illness.
[02:49:09.311 --> 02:49:12.872]  People are pulling guns on folks that aren't wearing masks.
[02:49:12.872 --> 02:49:14.312]  This is all cult programming.
[02:49:14.312 --> 02:49:15.873]  This is all about submitting.
[02:49:15.873 --> 02:49:18.713]  We cannot submit to this UN brainwashing.
[02:49:18.713 --> 02:49:20.113]  It's all a giant fraud.
[02:49:20.113 --> 02:49:22.394]  We must expose the fraud or become slaves to it.
[02:49:24.494 --> 02:49:29.375]  We need to get back to the land, back to self-sufficiency, and back to being prepared.
[02:49:29.375 --> 02:49:38.558]  And the way to start, ladies and gentlemen, is having friends and family with a bug-out plan if there is a total collapse, and water filtration, and food to last you at least a few months.
[02:49:38.558 --> 02:49:41.078]  And the food we have is very high quality.
[02:49:41.078 --> 02:49:43.799]  It's in great containers that are great to be mobile.
[02:49:43.799 --> 02:49:46.360]  They have wide selections, special diets, you name it.
[02:49:46.360 --> 02:49:47.900]  It's the best price you're going to find.
[02:49:48.240 --> 02:49:51.943]  You need to get the orders in now, in the lull before the storm.
[02:49:51.943 --> 02:49:53.765]  I told you lockdown two was coming.
[02:49:53.765 --> 02:49:55.666]  The new world order is making its move.
[02:49:55.666 --> 02:49:59.489]  Whether Trump loses or wins, things are just going to get more crazy.
[02:49:59.489 --> 02:50:02.912]  And this food lasts 25 years inside the containers.
[02:50:02.912 --> 02:50:09.618]  So it's something you can hide, something you can bury, something you know is an ace in the hole for you and your family in the future.
[02:50:09.618 --> 02:50:14.502]  And the little bit of profit that comes in funds the info war to continue to warn the people.
[02:50:14.842 --> 02:50:27.114]  So you're also funding InfoWars, the most powerful Paul Revere organization in the world, and it's powered by you!
[02:50:27.114 --> 02:50:29.756]  You're listening to the Alex Jones Show!
[02:50:38.167 --> 02:50:39.088]  We're good to go.
[02:51:00.282 --> 02:51:00.462]  I don't
[02:51:22.314 --> 02:51:25.416]  But you understand the mathematical equation of deception.
[02:51:25.416 --> 02:51:28.518]  This is what big corporations want is to divide us all against each other.
[02:51:28.518 --> 02:51:42.008]  And so those of us that are actually trying to unify people together around the Americana, free market, Christian ethos, we are under attack because we're running a parallel system that is better than this and the authoritarians don't like it.
[02:51:42.008 --> 02:51:43.609]  And so they know it's a fraud.
[02:51:43.609 --> 02:51:44.970]  They know we're not Nazis.
[02:51:44.970 --> 02:51:48.293]  And they're using Nazi tactics of cutting off bank accounts.
[02:51:49.244 --> 02:51:50.585]  Look at Laura Loomer.
[02:51:50.585 --> 02:51:53.286]  She's pro-Israel, Jewish lady, pro-freedom.
[02:51:53.286 --> 02:52:01.910]  She's had all the Airbnbs and Uber and PayPal and all of them blacklist her and gang up on her to show her.
[02:52:01.910 --> 02:52:05.712]  That's the most Nazi-like behavior in the ADL.
[02:52:05.712 --> 02:52:07.333]  I mean, that's Hitler behavior.
[02:52:07.333 --> 02:52:09.554]  And now they want to put us in jail.
[02:52:09.554 --> 02:52:10.594]  I mean, why?
[02:52:10.594 --> 02:52:12.195]  My grandfather was both in World War II.
[02:52:12.195 --> 02:52:14.236]  Why do you want to put me in jail?
[02:52:14.236 --> 02:52:16.417]  Why does Jonathan Greenblatt want to put me in jail?
[02:52:16.417 --> 02:52:17.418]  Because he's a monster.
[02:52:18.257 --> 02:52:20.318]  The ADL attacking a fellow Jewish woman.
[02:52:20.318 --> 02:52:21.878]  It really is incredible.
[02:52:21.878 --> 02:52:26.259]  And you know what you're saying about the way that they really just hammer anyone who speaks out against it.
[02:52:26.259 --> 02:52:29.520]  I get a lot of people ask me, why are the Swedes allowing this to happen to their country?
[02:52:29.520 --> 02:52:32.301]  Why are the Germans allowing this to happen to their country?
[02:52:32.301 --> 02:52:37.002]  Because anyone who speaks out against it at all, especially in Germany, the propaganda is non-stop.
[02:52:37.002 --> 02:52:40.843]  If you've been stabbed and a black dude did it, you say a black dude stabbed me, you're arrested.
[02:52:41.363 --> 02:52:47.287]  Right, and in Germany the propaganda is non-stop from the mainstream media and from the government.
[02:52:47.287 --> 02:52:53.510]  And that's because they never got out from under the occupation during the reconstruction of the Marshall Plan.
[02:52:53.510 --> 02:52:56.552]  It's not America that runs it, it's the Ford Foundation Carnegie Endowment.
[02:52:58.190 --> 02:52:59.811]  And there is no free speech there.
[02:52:59.811 --> 02:53:05.652]  And that's one of the reasons why it is happening there almost unchecked because no one's even allowed to talk about it.
[02:53:05.652 --> 02:53:13.795]  So that's why I recommend everyone here in the United States, we have a lot of issues facing us here between coronavirus, between migration, between this culture war.
[02:53:14.455 --> 02:53:20.523]  You still have the right to speak up, and if people don't exercise that right, it's going to die, and it is dying.
[02:53:20.523 --> 02:53:22.907]  So people really do need to speak up right now.
[02:53:22.907 --> 02:53:31.959]  Everyone needs to be speaking up en masse, because that's the only recourse that we have right now before the next phase, and it's not going to be pretty if people don't speak up soon.
[02:53:32.219 --> 02:53:33.380]  It's very simple.
[02:53:33.380 --> 02:53:39.283]  The powers that be, the Southern Providence Law Center, the ADL, the NAACP, they're all the same program.
[02:53:39.283 --> 02:53:42.945]  They're casting America as Hitler and they're Captain America.
[02:53:42.945 --> 02:53:47.187]  And I see leftists hit a woman in the head with a club just because she's going to a Trump event.
[02:53:47.187 --> 02:53:48.748]  And they go, she's a Nazi.
[02:53:48.748 --> 02:53:51.750]  It's an excuse for them to act bad and do bad things.
[02:53:51.750 --> 02:53:54.571]  Just like Hitler said, because you're a Jew, I can do something to you.
[02:53:54.571 --> 02:53:57.493]  Well, I refuse to sink to the level of Hitler, ADL, but you've done it.
[02:53:58.342 --> 02:54:03.164]  Dehumanizing everyone, and at this point we've lost our... They're literally Hitler-like!
[02:54:03.164 --> 02:54:06.326]  I mean, Jonathan Greenblatt is the closest thing to Hitler I've ever seen!
[02:54:06.326 --> 02:54:08.006]  It's unbelievable!
[02:54:08.006 --> 02:54:13.048]  I mean, can you believe these people?
[02:54:13.048 --> 02:54:15.369]  The nerve, man!
[02:54:15.369 --> 02:54:18.151]  It's... Sasha Barrett-Cohen says, we're gonna arrest you!
[02:54:18.151 --> 02:54:22.212]  And then he lies about what I said, when he's talking about having me arrested!
[02:54:22.212 --> 02:54:24.994]  The Ernid Leldred Zion crap!
[02:54:25.982 --> 02:54:33.387]  Notice that's what he pushes so that when Jews get persecuted because of what he's pushing, then he'll be their savior.
[02:54:33.387 --> 02:54:34.788]  Very simple.
[02:54:34.788 --> 02:54:38.991]  And we're not allowed to even defend ourselves when they slander and say that we say things that we didn't.
[02:54:38.991 --> 02:54:42.734]  You're not even allowed to correct the record.
[02:54:42.734 --> 02:54:52.001]  Why do Americans, because we defeated Hitler and protected the ADL like Abe Foxman, why does Abe Foxman hate America so much?
[02:54:52.001 --> 02:54:52.201]  Why?
[02:54:54.301 --> 02:54:55.081]  I don't have the answer.
[02:54:55.081 --> 02:54:55.582]  I wish I knew.
[02:54:55.582 --> 02:54:57.603]  And what did I do to him?
[02:54:57.603 --> 02:55:00.444]  They've been calling me a Nazi for 25 years for no reason.
[02:55:00.444 --> 02:55:02.425]  Because they want me to hate them.
[02:55:02.425 --> 02:55:03.485]  They want me to attack them.
[02:55:03.485 --> 02:55:04.666]  They want me to attack Jews.
[02:55:04.666 --> 02:55:06.187]  And I'm not going to do it.
[02:55:06.187 --> 02:55:07.347]  But I will attack you.
[02:55:07.347 --> 02:55:08.988]  I will expose your ass.
[02:55:08.988 --> 02:55:10.749]  And I'm sure they'll just torture me more.
[02:55:10.749 --> 02:55:11.589]  You know?
[02:55:11.589 --> 02:55:12.209]  It's all funny.
[02:55:12.209 --> 02:55:18.732]  Just the smugness of these lawyers sitting up there in judgment of us like they're God.
[02:55:18.732 --> 02:55:19.893]  Well, the people are waking up.
[02:55:21.144 --> 02:55:24.768]  Just know Facebook's now run by Jonathan Greenblatt and Obama.
[02:55:24.768 --> 02:55:29.753]  I mean, when you see this, this is just Obama, an Islamic extremist hiding behind a Jew.
[02:55:32.697 --> 02:55:34.358]  It's finally here!
[02:55:34.358 --> 02:55:38.481]  Introducing the new Survival Shield X2 Spray.
[02:55:38.481 --> 02:55:44.825]  Available now for 33% off at InfoWarsStore.com.
[02:55:44.825 --> 02:55:54.232]  Listeners have been asking us for months to develop an iodine spray made with our exclusive Deep Earth Crystal Nascent Iodine.
[02:55:55.032 --> 02:56:09.586]  Our proprietary new Aerodyne technology allows us to harness the full power of ancient iodine crystals from 7,000 feet below the Earth's surface into the ultimate spray formula.
[02:56:09.586 --> 02:56:17.654]  Iodine is an essential mineral that helps support thyroid health, healthy metabolism, and healthy cognitive function.
[02:56:18.334 --> 02:56:25.938]  Get the new Survival Shield X2 Spray for 33% off intro pricing at InfoWarStore.com.
[02:56:25.938 --> 02:56:30.661]  That's Survival Shield X2 Spray at InfoWarStore.com.
[02:56:44.232 --> 02:56:47.894]  Well, I'm going to end my part of this transmission with Dan Lyman of EuropeWars.com.
[02:56:47.894 --> 02:56:49.474]  I'm Alex Jones, your host.
[02:56:49.474 --> 02:56:54.997]  Before Dr. Nick Begich, one of the pioneers exposing the PSYOP, comes on.
[02:56:54.997 --> 02:57:00.339]  Where I begin, Obama, Hillary, the Deep State, they're the ones funding radical Islam.
[02:57:00.339 --> 02:57:05.561]  They're the ones having the ADL now literally put on symposiums and backing radical Islam.
[02:57:05.561 --> 02:57:10.083]  I mean, the ADL's been bought out by radical Islam and the globalists.
[02:57:10.083 --> 02:57:10.744]  They're the ones.
[02:57:12.051 --> 02:57:19.753]  Obama and the globalists that have the Washington Post saying Trump could lose and not leave, but cabinet members who try to help him face prison.
[02:57:19.753 --> 02:57:23.534]  And I've got the CFR saying they may remove him before or during the election.
[02:57:23.534 --> 02:57:27.536]  So if Trump challenges the results, Democrats say they already are.
[02:57:27.536 --> 02:57:32.197]  If he challenges them, they say that the Pentagon will arrest him or they will arrest them.
[02:57:32.197 --> 02:57:35.518]  So now again, it's not just the ADL saying
[02:57:36.718 --> 02:57:42.323]  Take Alex Jones off the air, Zuckerberg do what we say or we'll arrest you, we'll purge you using Nazi stuff.
[02:57:42.323 --> 02:57:45.306]  Nazi, I mean, why are you going to purge me?
[02:57:45.306 --> 02:57:47.228]  Wow, that's wonderful.
[02:57:47.228 --> 02:57:48.910]  You're so nice, let me know what you say.
[02:57:48.910 --> 02:57:50.591]  Now they're telling the brass.
[02:57:50.591 --> 02:57:57.618]  Now the Washington Post, like I said, Jeff Bezos is saying, so they're all in lockstep, a bunch of articles gearing up for this.
[02:57:57.618 --> 02:57:57.979]  What do we do?
[02:57:59.881 --> 02:58:00.622]  It's going to get ugly.
[02:58:00.622 --> 02:58:07.085]  I mean, it got so ugly at the 2016 election and we've had four more years of just pure insanity since then.
[02:58:07.085 --> 02:58:09.846]  So for 2020, it's going to be just crazy.
[02:58:09.846 --> 02:58:19.130]  But I think one of the things that the Trump administration should really be focused on, and it doesn't seem like they are no matter how much they talk about it, is that they're not focusing on tech censorship.
[02:58:19.130 --> 02:58:27.014]  And they're allowing so many of their supporters to be silenced and basically de-platformed, de-personed, and all these people are going to be gone.
[02:58:27.014 --> 02:58:28.955]  If Trump loses, it's his fault.
[02:58:29.878 --> 02:58:40.926]  Yeah, there's going to be no one there to expose the truth, to fight on behalf of a fair election, which I think was really, really critical for the 2016 election.
[02:58:40.926 --> 02:58:50.752]  There were still enough voices out there exposing fraud, rallying around, getting good information out there, and trying to expose that they were going to try to steal the election.
[02:58:50.752 --> 02:58:55.656]  And that might not work this time because there are so many people now that have been wiped off the internet, essentially.
[02:58:56.104 --> 02:59:00.947]  Well that's right, and I know Trump cares about his supporters, I know he cares about censorship.
[02:59:00.947 --> 02:59:03.669]  They stymie him, they lie to him, they say it's not going on.
[02:59:03.669 --> 02:59:06.831]  He tells the Justice Department to go in there and do something.
[02:59:06.831 --> 02:59:09.233]  They spin their wheels with investigations.
[02:59:09.233 --> 02:59:12.355]  And so he's sitting there, he calls them in, he meets with them, he says stop.
[02:59:12.355 --> 02:59:14.377]  They don't stop, they don't respect him, they're belligerent.
[02:59:15.191 --> 02:59:27.097]  And so now, we sit here and get mad at Trump, you know, he should have, the real power he had, is what Caller said years ago, he should have moved to Parler, he should have started his own Twitter, they would have backed off right at that point.
[02:59:27.097 --> 02:59:34.320]  But now, with 115 days left, he's doing more speeches, more rallies, he's killing himself, but almost no one carries it.
[02:59:34.320 --> 02:59:41.003]  And before they carried it because it got high ratings, but now they're sacrificing ratings because they can block it online.
[02:59:41.003 --> 02:59:42.484]  They didn't want online to get the coverage.
[02:59:43.084 --> 02:59:56.932]  So now we try to stream, and we know people that, you know, do, and we have folks that work behind the scenes, I'll leave it at that, and we've got a few tentacles out there nobody knows about, and we know other broadcasting groups, you know, like Right Side, there's dozens of them, that now Trump's speeches for six months are blocked!
[02:59:56.932 --> 02:59:58.373]  They don't let him get out!
[02:59:58.373 --> 03:00:06.957]  So they don't show much of his speeches on TV, they don't show much of his speeches online, and Trump allowed himself to be cut off from his supply line!
[03:00:06.957 --> 03:00:07.618]  Communication!
[03:00:08.462 --> 03:00:13.505]  And they're finding ways, he can't even hold his rallies at this point, or can't effectively hold them.
[03:00:13.505 --> 03:00:17.348]  Oh, it's his fault there's COVID, but the Democrat rallies are good.
[03:00:17.348 --> 03:00:20.730]  Right, and they've just cancelled tomorrow's New Hampshire rally as well, if I'm not mistaken.
[03:00:20.730 --> 03:00:21.231]  I missed that.
[03:00:21.231 --> 03:00:24.813]  Due to weather, but there's going to be something coming up every time now at this point.
[03:00:24.813 --> 03:00:25.834]  Well, he's being sabotaged.
[03:00:25.834 --> 03:00:31.138]  Let me tell you, the way they harass me, they harass thousands of people seen as in the upper support of Trump.
[03:00:31.138 --> 03:00:35.721]  They are buying off and harassing everybody, and it's just down to a handful of people.
[03:00:35.721 --> 03:00:37.322]  And they know Tucker Carlson can't be bought.
[03:00:38.080 --> 03:00:41.445]  And that's why they, you know, there was already talk of him being a VP or something like that.
[03:00:41.445 --> 03:00:44.830]  That's why they had David Duke come out and endorse him to discredit that.
[03:00:44.830 --> 03:00:45.731]  But it's very sophisticated.
[03:00:46.397 --> 03:00:47.338]  It is, definitely.
[03:00:47.338 --> 03:00:52.141]  And the Trump administration and the campaign need to get more sophisticated as well.
[03:00:52.141 --> 03:01:01.027]  They need to really clean house there at the campaign because it's not gaining much traction, especially with people who are looking for some hope now in these crazy times.
[03:01:01.027 --> 03:01:05.591]  Well, Jared Kushner's being sidelined and so is Brad Parscale and all the rest of them.
[03:01:05.591 --> 03:01:07.352]  I mean, I know people that know Brad Parscale.
[03:01:07.352 --> 03:01:09.894]  He actually believes he got Trump elected.
[03:01:09.894 --> 03:01:11.415]  He actually thinks that.
[03:01:11.415 --> 03:01:13.096]  He thinks if they run Google ads, they're going to win.
[03:01:14.212 --> 03:01:18.774]  Which is just not the case, because all these platforms are purging Trump ads.
[03:01:18.774 --> 03:01:23.937]  So, I mean, thinking that you can rely on big tech to run ads and get the word out about the campaign is just not going to work.
[03:01:23.937 --> 03:01:26.158]  That's not going to work at all.
[03:01:26.158 --> 03:01:27.419]  Trump needs a big splash.
[03:01:27.419 --> 03:01:28.980]  He needs to pull something really, really big.
[03:01:28.980 --> 03:01:35.383]  I mean, look, Brad Parscale should not be buying two or three houses and four or five Lamborghinis.
[03:01:35.383 --> 03:01:37.304]  And I know a lot of people that know him, they have parties with him.
[03:01:37.304 --> 03:01:38.665]  He screws off a lot.
[03:01:38.665 --> 03:01:39.966]  He should not be screwing off any.
[03:01:40.816 --> 03:01:42.798]  He speaks very little.
[03:01:42.798 --> 03:01:49.407]  I mean, and they're all literally, Pascal's, people that know him again, he's like, oh, we'll have a Trump dynasty for 100 years, oh, we're gonna win.
[03:01:49.407 --> 03:01:51.930]  Delusional, delusional, they're all in a little bubble.
[03:01:55.796 --> 03:01:59.779]  I'm not just trying to attack Parscales or any of these people, but they're all just delusional.
[03:01:59.779 --> 03:02:01.241]  They're rolling over, you know?
[03:02:01.241 --> 03:02:02.882]  Yeah, I think they've gotten comfortable, too.
[03:02:02.882 --> 03:02:04.223]  They've been around for a few years now.
[03:02:04.223 --> 03:02:06.525]  The administration's been in place for almost four years.
[03:02:06.525 --> 03:02:07.466]  There's complacency.
[03:02:07.466 --> 03:02:12.530]  There's not that same hunger, that same fight that they had, you know, when they knew that they were up against all the odds.
[03:02:12.530 --> 03:02:16.574]  And they are still up against all the odds, but there's complacency, and that's created rot.
[03:02:16.574 --> 03:02:18.515]  And then Trump will figure out they stole it.
[03:02:18.515 --> 03:02:20.998]  He'll see the evidence, and the whole media is going to turn against him.
[03:02:21.701 --> 03:02:23.603]  And they're going to say he's insane, remove him.
[03:02:23.603 --> 03:02:30.290]  And they've got the Pentagon, they've all signaled, the top generals have all signaled they're going to throw him under the bus.
[03:02:30.290 --> 03:02:35.776]  Now, I know with some of the higher up people on the kind of the super deep state, the team below the deep state,
[03:02:36.605 --> 03:02:39.667]  That they say that's not going to be allowed to happen.
[03:02:39.667 --> 03:02:42.069]  They're going to go with what the actual vote is.
[03:02:42.069 --> 03:02:44.431]  So this could really be some fireworks.
[03:02:44.431 --> 03:02:45.171]  Definitely.
[03:02:45.171 --> 03:02:47.053]  And it's going to be so complicated with Corona.
[03:02:47.053 --> 03:02:53.057]  They're going to be flashing more and more, you know, increase in cases and they're going to really mess with the voting that way.
[03:02:53.057 --> 03:02:55.959]  And so I think they're going to really be messing with this election.
[03:02:55.959 --> 03:02:57.800]  They're going to be throwing everything they have at it.
[03:02:57.800 --> 03:03:00.903]  And people should be totally aware of that and be prepared.
[03:03:00.903 --> 03:03:03.084]  Well, the super deep state is the American people.
[03:03:03.084 --> 03:03:05.166]  And at the end of the day, we're where the rubber meets the road.
[03:03:06.772 --> 03:03:08.373]  Television has killed our people.
[03:03:08.373 --> 03:03:11.574]  Everybody, black, white, old, young, sits there and watches TV all day.
[03:03:11.574 --> 03:03:12.774]  You gotta get out of it.
[03:03:12.774 --> 03:03:14.855]  And they want you even less in your house.
[03:03:14.855 --> 03:03:20.397]  I mean, you know, they want you in your house while the leftists are all running around like cockroaches on the street.
[03:03:20.397 --> 03:03:22.158]  That means do the opposite of what they tell you.
[03:03:23.208 --> 03:03:24.990]  Absolutely.
[03:03:24.990 --> 03:03:29.715]  If the news tells you one thing, think the opposite, do the opposite, do your own research too.
[03:03:29.715 --> 03:03:38.924]  You know, I was actually going to bring this up really quick because it really pertains to what's going on here in Texas and what's going on with the supposed explosion in cases of coronavirus.
[03:03:39.504 --> 03:03:48.428]  And so it's, you know, the border states, we have Texas, Arizona, they're saying they have an explosion in cases there, and of course that's bringing in the new mandates, the new mask laws, the new fines.
[03:03:48.428 --> 03:04:08.417]  But one of the things that they're not reporting, and I've been tracking this, I run another website that we're tracking only immigration-related news at borderhawk.news, and so we've been tracking this for a couple weeks now, and the info is starting to come in more conclusively, and shockingly, even CNN reported on this recently, is that we have people coming across the border from Mexico in droves
[03:04:08.897 --> 03:04:09.097]  Just
[03:04:28.895 --> 03:04:35.483]  Absolutely, and even CNN has to admit that's true, and they won't tell anybody, hey, there's inhalable steroids that have a 100% knockout rate.
[03:04:35.483 --> 03:04:40.028]  Because it's all pre-programmed at the hospitals, you gotta put a tube down their throat.
[03:04:40.028 --> 03:04:43.272]  These poor Mexicans think they're coming here to get treatment, you're about to get your ass killed.
[03:04:44.130 --> 03:04:52.015]  Yeah, and they're really abusing the system as well, because it's probably not costing them anything, it's only costing... But notice, that's why nothing's for free.
[03:04:52.015 --> 03:04:54.556]  They're going right into a spider trap about to get killed.
[03:04:54.556 --> 03:04:59.419]  That hospital's going to get $52,000 of corona money to treat them.
[03:04:59.419 --> 03:05:00.420]  COVID-19 money.
[03:05:00.420 --> 03:05:10.126]  Which leads you to believe the hospitals are probably perfectly fine with accepting as many people as... That's why we got an ambulance for you, sweetheart, because we're going to put a tube down your throat, kill you, and take that taxpayer money.
[03:05:10.902 --> 03:05:14.584]  Yeah, and I think a lot of people would be shocked by the fact that you can come across the U.S.
[03:05:14.584 --> 03:05:19.046]  border, call 9-1-1, and be brought into a medical facility, and that's also happening in the U.K.
[03:05:19.046 --> 03:05:22.208]  They're coming across the English Channel, and as soon as they reach U.K.
[03:05:22.208 --> 03:05:23.989]  waters, they're actually calling the U.K.
[03:05:23.989 --> 03:05:26.170]  emergency line, and they're getting picked up that way.
[03:05:26.170 --> 03:05:31.972]  So our system is being totally overwhelmed, total Cloward and Piven style, and it's just... That's the plan.
[03:05:31.972 --> 03:05:34.834]  EuropeWars.com, and tell folks about your new great site.
[03:05:35.154 --> 03:05:37.117]  Yeah, borderhawk.news.
[03:05:37.117 --> 03:05:39.259]  I know people don't have time to be tracking all the news.
[03:05:39.259 --> 03:05:40.160]  Borderhawk.
[03:05:40.160 --> 03:05:41.402]  Borderhawk.news.
[03:05:41.402 --> 03:05:41.963]  Great name.
[03:05:41.963 --> 03:05:42.363]  Yep.
[03:05:42.363 --> 03:05:50.994]  And yeah, we're tracking specifically immigration-related stories and globalism, nationalism, and just mixing it all into one place because... Alright, great job.
[03:05:50.994 --> 03:05:52.996]  And you're on The War Room today?
[03:05:52.996 --> 03:05:53.357]  That's right.
[03:05:54.028 --> 03:05:55.590]  All right, well, that's Dan Lyman.
[03:05:55.590 --> 03:05:58.855]  I'm Alex Jones, your host, InfoWars.com, NewsWars.com.
[03:05:58.855 --> 03:06:00.016]  Nick Begich is coming up.
[03:06:00.016 --> 03:06:01.959]  I want to introduce him when we come back.
[03:06:01.959 --> 03:06:05.684]  And then again, the War Rooms will be hosted with Dan Lyman right here.
[03:06:05.684 --> 03:06:08.968]  And of course, Harrison Smith in studio with Savannah Hernandez.
[03:06:09.368 --> 03:06:13.451]  Because Owen is out in the field with a little surprise for everybody.
[03:06:13.451 --> 03:06:15.412]  So he's definitely a busy beaver.
[03:06:15.412 --> 03:06:18.474]  We're back with Dr. Nick Begich in T-Minus 4 minutes.
[03:06:18.474 --> 03:06:19.955]  Please let everybody you know, tune in.
[03:06:19.955 --> 03:06:27.020]  The man is a living legend exposing the architecture and technical scientific infrastructure of the New World Order.
[03:06:27.020 --> 03:06:29.021]  And he can help us take this sucker out.
[03:06:29.021 --> 03:06:29.381]  Stay with us.
[03:06:30.802 --> 03:06:34.304]  I am cutting this breaking announcement on July 9th.
[03:06:34.304 --> 03:06:38.405]  By Monday, we will have to end the biggest sale yet of the year.
[03:06:38.405 --> 03:06:50.710]  Storewide Free Shipping Double Patriot Points is the July 4th sale, the tail end of it, and all of the high quality products that were sold out have been back in stock and are available again, but some of these are in limited numbers.
[03:06:50.710 --> 03:06:53.051]  Ladies and gentlemen, not just Storewide Free Shipping Double Patriot Points,
[03:06:53.251 --> 03:06:56.634]  But, we have DNA Force Plus, back in stock, 50% off.
[03:06:56.634 --> 03:06:59.737]  Winter Sun with vitamin D3 and K, so good for your immune system.
[03:06:59.737 --> 03:07:01.178]  Back in stock, 50% off.
[03:07:01.178 --> 03:07:04.462]  Ultra 12, high quality B12, taking it under the tongue, 50% off.
[03:07:04.462 --> 03:07:07.424]  Back in stock, and again, double Patriot points.
[03:07:07.424 --> 03:07:09.426]  Bodies, 50% off.
[03:07:09.426 --> 03:07:13.830]  Sold out for months, now back in stock with double Patriot points and free shipping.
[03:07:13.830 --> 03:07:14.531]  All of these.
[03:07:14.531 --> 03:07:16.093]  Storable Food, available again.
[03:07:16.093 --> 03:07:16.973]  Ships three to four weeks.
[03:07:16.973 --> 03:07:17.634]  We have it in stock.
[03:07:17.634 --> 03:07:18.375]  Get your orders in now.
[03:07:18.955 --> 03:07:21.557]  Where the hell did this water come from?
[03:07:21.557 --> 03:07:22.957]  Where did it come from?
[03:07:22.957 --> 03:07:24.618]  Where did it come from?
[03:07:24.618 --> 03:07:25.999]  Where did it come from?
[03:07:25.999 --> 03:07:26.719]  Where did it come from?
[03:07:47.523 --> 03:07:49.725]  Infowarsstore.com.
[03:07:49.725 --> 03:07:54.030]  We can't survive without pure, clean drinking water.
[03:07:54.030 --> 03:07:59.956]  So make sure that it's always available to you with the Alexa Pure Water Filtration System.
[03:07:59.956 --> 03:08:07.784]  This gravity-fed system filters through all the toxins and gets straight to clean, healthy, great-tasting water.
[03:08:07.784 --> 03:08:08.344]  Mmm!
[03:08:09.225 --> 03:08:12.546]  Mmm, yummy in my tummy.
[03:08:12.546 --> 03:08:23.288]  Bring the purest, most refreshing water to your home by ordering the Alexa Pure Water Filtration System today from InfoWarsTore.com.
[03:08:23.288 --> 03:08:26.249]  InfoWarsTore.com.
[03:08:26.249 --> 03:08:32.790]  Other systems just don't compare.
[03:08:32.790 --> 03:08:35.391]  You're listening to the Alex Jones Show.
[03:08:42.461 --> 03:08:43.161]  Yeah.
[03:08:43.161 --> 03:09:02.172]  Here's our new single record from Highwayman's new album, Silver Stallion.
[03:09:02.172 --> 03:09:04.953]  Alright, I'm about to punch out of here and get to work on some other things.
[03:09:04.953 --> 03:09:07.795]  I'll be listening to Dr. Nick Baggish while I eat my lunch.
[03:09:07.795 --> 03:09:09.216]  And people always like Dr. Nick Baggish.
[03:09:09.216 --> 03:09:10.677]  I remember listening to him on Art Bell.
[03:09:12.261 --> 03:09:12.942]  26, 27 years ago.
[03:09:12.942 --> 03:09:14.802]  He was most popular guest on then.
[03:09:14.802 --> 03:09:16.663]  But lately people said, boy, he's really been on fire.
[03:09:16.663 --> 03:09:17.604]  So I don't want to cut into that.
[03:09:17.604 --> 03:09:19.424]  But I do have a question for him here in a moment.
[03:09:19.424 --> 03:09:28.508]  But first off, we're able to stay on air against all the Soros and DNC funded and Bloomberg funded and all the rest of it.
[03:09:28.508 --> 03:09:29.849]  Hillary Clinton funded lawsuits.
[03:09:29.849 --> 03:09:36.052]  We're able to go through all this and have reporters all over the United States and Europe and just really kick butt and break so many big stories.
[03:09:36.906 --> 03:09:45.490]  Because you've been supporting us, so I want to thank all the listeners and viewers for supporting us, and remind you, we've got the best water filtration, air filtration, high-quality, storable food you need.
[03:09:45.490 --> 03:09:47.011]  We've got store-wide free shipping.
[03:09:47.011 --> 03:09:48.292]  Double Patriot points right now.
[03:09:49.758 --> 03:09:51.559]  It has to end by Sunday or so.
[03:10:19.818 --> 03:10:22.121]  with the books and films of Dr. Nick Begich and the writings.
[03:10:22.121 --> 03:10:26.807]  We also carry some of his books and films at InfoWarsTore.com as well, so be sure and get those.
[03:10:26.807 --> 03:10:27.949]  Okay, Doc, here's my question.
[03:10:27.949 --> 03:10:29.451]  I know you got your own stuff to get into.
[03:10:29.451 --> 03:10:31.193]  I'll be listening.
[03:10:31.193 --> 03:10:34.277]  How do you handle the Southern Poverty Law Center and ADL?
[03:10:35.855 --> 03:10:54.070]  When they constantly want to make things racial, just like the left, when that's not what I'm trying to do, and when they constantly try to attack and literally say, we're going to arrest you if you disagree with us, we're going to purge you, and then they defame you, and they're the closest thing I could find.
[03:10:54.070 --> 03:10:58.593]  The NAACP now does stuff like this.
