[00:00.000 --> 00:05.480]  8 to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[1:25:31.700 --> 1:25:41.700]  All the GI tract stuff, all the allergies, the autoimmune system stuff, all of that could easily be exacerbated by the fact that we're eating these genetically engineered crops.
[1:25:41.700 --> 1:25:52.700]  And the only human feeding study ever conducted shows that the genes actually colonize the DNA of our gut bacteria. They continue to exist inside us long after we stop eating the genetically engineered crops.
[1:25:52.700 --> 1:25:58.700]  Okay, here's the $64 million question, and then I want to go back into all these horrors that are all documented by the way.
[1:25:58.700 --> 1:26:02.700]  I haven't told you what happened to the researcher. You know, but you're all here. Go ahead. What's the question?
[1:26:02.700 --> 1:26:08.700]  No, no, no. Go ahead and finish up there. And then why is Monsanto and Cargill and these other guys, we know it's about money and power.
[1:26:08.700 --> 1:26:15.700]  They brag that they're taking over the entire genetic code of the planet and ha ha ha, then they sue people when their own crops infect them.
[1:26:15.700 --> 1:26:25.700]  I mean, it's just amazing. But why are they doing this to their own families? And then the answer is they built their own secret gene bunkers, gene arcs.
[1:26:25.700 --> 1:26:33.700]  What are the, you know, and now they admit they have them. There's a larger plan clearly there. I know you don't like to speculate, but why are they doing this?
[1:26:33.700 --> 1:26:45.700]  Well, let's tell you what happened to this fellow, Arpat Pustai, when he was concerned. What happened was he went public with his concerns about the effects of GMOs on the rats,
[1:26:45.700 --> 1:26:52.700]  and was a hero for about two days at the Rout Institute, the top research institute in nutrition in the U.K. and one of the best in the world.
[1:26:52.700 --> 1:27:05.700]  And then after two days of being praised up and down by the director who was now giving press releases and holding press interviews, that director got a call from the Prime Minister's office,
[1:27:05.700 --> 1:27:15.700]  forwarded through the receptionist, two phone calls, actually, and the next morning Dr. Pustai was fired from his job after 35 years and silenced with threats of a lawsuit.
[1:27:15.700 --> 1:27:31.700]  A 30-member research team was disbanded. They never implemented the long-term safety testing protocols. Instead, they put into effect a campaign to discredit Pustai, to trash his reputation, and to maintain the reputation of genetic engineering.
[1:27:31.700 --> 1:27:33.700]  But now the good news is, years later, he's been vindicated.
[1:27:33.700 --> 1:27:43.700]  Absolutely. He was allowed to speak before Parliament seven months later, which means he got his data back. There was an immediate peer review by 23 independent top scientists in the world.
[1:27:43.700 --> 1:27:56.700]  They all said his stuff was good. It's now published in the Lancet, and it's the most in-depth animal feeding study yet published on genetically engineered foods, implicating the process itself as causing this huge damage.
[1:27:56.700 --> 1:28:00.700]  So how do they think they're going to get away with it?
[1:28:00.700 --> 1:28:17.700]  Well, one of the things is by keeping the number of studies so low, and by Tim, by the United States, eliminating the need for labeling, it's very hard to sue these companies for damages to health, because it's hard to say it's because of GMOs unless you've done the studies.
[1:28:17.700 --> 1:28:29.700]  Every time a study comes and points to a problem, the person who's gotten the study has lost their funding, denied tenure, fired, stripped of responsibilities, forced out, threatened, etc.
[1:28:29.700 --> 1:28:41.700]  And this is what we document. So what we're having right now is less than three dozen peer-reviewed published animal feeding studies on Earth, even though these foods are being fed to a billion people for a dozen years.
[1:28:41.700 --> 1:28:52.700]  All right. You're also involved with the Institute of Responsible Technology, responsibletechnology.org. We'll tell folks about some of your books and videos when we get back in the new film about Monsanto.
[1:28:52.700 --> 1:29:06.700]  Ladies and gentlemen, this is real. This is happening. And I just want to warn everybody that please don't take this for granted that you're being warned. Check out the evidence for yourself, at least for your children. We'll be right back.
[1:29:23.700 --> 1:29:36.700]  Between now and January 20, 2009, all food units U1 through U7 are being offered at wholesale prices. That's a 33% savings. A year's supply of meals starts as low as 73 cents per meal.
[1:29:36.700 --> 1:29:52.700]  Ready Reserve food offers only the highest quality to hydrated food, packed in doubly-nammeled cans in an inert nitrogen atmosphere, allowing a 15-plus-year shelf life. Ready Reserve has been manufacturing since 1972, giving them the freedom to offer you amazing savings.
[1:29:52.700 --> 1:30:07.700]  Great tasting Ready Reserve foods at wholesale prices. Order now at ReadyReserveFoods.com or call today 1-800-453-2202. That's 1-800-453-2202.
[1:30:07.700 --> 1:30:23.700]  How would you like to save up to 90% on your phone bill? It can be done thanks to Empire One Telecom. EOT offers voiceover IP technology that will allow you to make phone calls from your home or business without the high cost.
[1:30:23.700 --> 1:30:43.700]  Take advantage of EOT's most popular plan, which includes unlimited long distance throughout the U.S. and Canada, and 360 minutes of international calling for only $19.95 a month. Plus, all calling plans include over 40 special features, including call waiting, caller ID, and three-way calling, free.
[1:30:43.700 --> 1:30:53.700]  Take your phone number on the road with you thanks to EOT's travel-friendly box. Simply plug your adapter into any internet connection and start making phone calls. It's that easy.
[1:30:53.700 --> 1:31:03.700]  So if you have a high-speed internet connection and are ready to dramatically lower your monthly phone bill, choose your plan now at EOTTech.com. That's EOTTech.com.
[1:31:03.700 --> 1:31:24.700]  Drought, crop failure, economic collapse, famine. Is this an America's future? Sadly, this is part of America's not-so-distant past. During the Great Depression, half of the American people grew much of their own food, but over 18 million people suffered from starvation.
[1:31:24.700 --> 1:31:41.700]  Today, it's been estimated that only 1% of Americans grow their own food. Plan for your family's future and don't leave anything to chance. Go to GetSeeds.net and give the gift of life this Christmas and help ensure that if history repeats itself, you and your loved ones will be prepared for crisis.
[1:31:41.700 --> 1:31:58.700]  Each order includes over 14,000 non-GMO all-natural chemical-free seeds that will provide you with food for years. Go to GetSeeds.net or call 877-394-6657 and get 100 varieties of our heirloom seeds for just $49.
[1:31:58.700 --> 1:32:13.700]  Once again, that's GetSeeds.net or call 877-394-6657 to establish your own food supply today.
[1:32:13.700 --> 1:32:29.700]  The time clock is ticking. Laws could change. The New World Order is advancing rapidly. Health consciousness is fading away. Junk food. Fast food. Fat food is the New World Order's game. Don't play the game.
[1:32:29.700 --> 1:32:45.700]  Slim down, detox and cleanse yourself from the chemical foods and processed food that we intake daily. And now for the holiday special. Buy one month of super tea and we'll throw in an extra two weeks. That's right. One month of super tea and we'll throw in an extra two weeks.
[1:32:45.700 --> 1:33:08.700]  It won't last long. So order now. GetTheTea.com. That's GetTheTea.com or call us at 928-308-0408. That's 928-308-0408. Order now before you can't.
[1:33:08.700 --> 1:33:17.700]  Thank you for listening to GCN. Visit GCNLive.com today.
[1:33:17.700 --> 1:33:38.700]  All right. We're going to have time for a few phone calls for our guests. Normally, you know, I would have gotten your calls earlier in the first hour. I know you're all over the map, callers. I'm not going to be able to get to folks probably on other issues.
[1:33:38.700 --> 1:33:51.700]  We're going to be talking specifically on genetically modified foods and their effects and what you plan to do about it. We've got some solutions. Then the toll-free number is 877-590-5525. 877-590-5525.
[1:33:51.700 --> 1:34:02.700]  You're listening to us out of the mothership station that we send the syndicated broadcast out on. News Radio 590-KLBJ. It's 836-0590. We disagree with this call in.
[1:34:02.700 --> 1:34:11.700]  Believe me, I wish this wasn't true. It's hard to try to only get organic food for my children or to ask them at restaurants when we're there and have them act like we're weirdos.
[1:34:11.700 --> 1:34:22.700]  I mean, I've never been, quote, a health nut on this big kick. I researched this myself and found out it was true. By the way, Jeffery and Smith's books are just gorgeous. They're like textbooks, but they're fun to read.
[1:34:22.700 --> 1:34:32.700]  They're big color photographs, documents, all the research is right there. You need to get the Deadly Gamble Combo. We have it at infowars.com in the shopping cart.
[1:34:32.700 --> 1:34:47.700]  It's got the two film, one audio CD combo pack in it, and then it's got his two books for one super low price, the GMO Trilogy DVD CD set from Jeffery Smith.
[1:34:47.700 --> 1:34:57.700]  That's 1995 by itself. Or you can get it in the Deadly Gamble Combo with his two big books on the subject genetic roulette and seeds of destruction.
[1:34:57.700 --> 1:35:08.700]  Or you can get those separately again at infowars.com. And before he leaves this, I'll get him to briefly talk more about those and the new film he's in about Monsanto that we're not selling yet, but we've just ordered.
[1:35:08.700 --> 1:35:16.700]  We'll have on the shopping cart soon, but I hope you'll get it and have parties and show it to friends and family and neighbors. We have to educate people.
[1:35:16.700 --> 1:35:22.700]  And again, the good news is we could turn the corner on this. We're having some major victories in the fight against it.
[1:35:22.700 --> 1:35:28.700]  Jeffery, I mean, continuing with that statement, I understand that they're able to cover it up through the controlled media.
[1:35:28.700 --> 1:35:34.700]  I understand that they limit the studies or go after the governments or institutions that do expose this even when it's their own researchers.
[1:35:34.700 --> 1:35:38.700]  I understand how they're suppressing it, but not completely successfully.
[1:35:38.700 --> 1:35:47.700]  Now, my issue is why are they doing this? And I mean, I really know why it's part of the larger sterilization program against humans.
[1:35:47.700 --> 1:35:52.700]  And we see the sperm count dropping by 80 percent, women infertility exploding. I mean, this is everywhere.
[1:35:52.700 --> 1:35:57.700]  We know in pigs, we know in cows, we know in sheep, we know in rats, we know in mice. It's doing it.
[1:35:57.700 --> 1:36:02.700]  Animals we test that are similar to us, and it's happening. But I mean, from what you know, why are they doing this?
[1:36:02.700 --> 1:36:05.700]  From what they admit or what they've said?
[1:36:05.700 --> 1:36:14.700]  Well, what is interesting, the Arthur Anderson Consulting was giving a lecture at a Baute conference in January 1999,
[1:36:14.700 --> 1:36:23.700]  and they described how they had worked with their client, Monsanto, by asking the executives to describe their ideal future in 15 to 20 years.
[1:36:23.700 --> 1:36:30.700]  And the executives describe a world in which 100 percent of all commercial seeds were genetically engineered and patented.
[1:36:30.700 --> 1:36:36.700]  And so Anderson Consulting worked backwards from that goal to create the strategy and tactics to achieve it.
[1:36:36.700 --> 1:36:44.700]  Another Baute company at the same conference projected a 95 percent takeover of all commercial seeds within five years by 2004.
[1:36:44.700 --> 1:36:50.700]  So their ambition was to replace nature, is still to replace nature.
[1:36:50.700 --> 1:37:02.700]  I know there's only eight genetically engineered food crops, and you could find them at ResponsibleTechnology.org, along with a shopping guide how to avoid them, ResponsibleTechnology.org.
[1:37:02.700 --> 1:37:12.700]  And even though there's only eight food crops that have been currently commercialized and still around, the issue is there's about 173 or so that have been field-trialled
[1:37:12.700 --> 1:37:16.700]  in more than 50,000 field trials in the United States and around the world.
[1:37:16.700 --> 1:37:22.700]  I mean, they are militarily going into countries where it's illegal and secretly setting up growing operations.
[1:37:22.700 --> 1:37:24.700]  They're caught every week doing this.
[1:37:24.700 --> 1:37:28.700]  So they understand, and then that infects all the similar plants.
[1:37:28.700 --> 1:37:29.700]  That's what happened in Brazil.
[1:37:29.700 --> 1:37:36.700]  There were huge numbers of trucks of seeds coming across from Argentina planting illegally genetically engineered soy.
[1:37:36.700 --> 1:37:37.700]  It happened in Paraguay.
[1:37:37.700 --> 1:37:44.700]  It's happened in other places where it becomes so infected in the area that the government just gives up and says,
[1:37:44.700 --> 1:37:46.700]  well, I guess we have to approve it because it's already...
[1:37:46.700 --> 1:37:47.700]  Well, I remember...
[1:37:47.700 --> 1:37:49.700]  Well, that's another Monsanto executive said that.
[1:37:49.700 --> 1:37:52.700]  He said, we're just going to take over so everything's infected and you don't have a choice.
[1:37:52.700 --> 1:38:02.700]  But I remember seeing, like, seven, eight years ago, a headline out of the BBC that 89% of the ancient Mexican corn varieties had all been infected.
[1:38:02.700 --> 1:38:04.700]  Well, and you like this, you like this story.
[1:38:04.700 --> 1:38:12.700]  A friend of mine was debating with a person from USAID, was definitely trying to push GMOs around the world.
[1:38:12.700 --> 1:38:15.700]  And he's debating on South African television.
[1:38:15.700 --> 1:38:19.700]  And after the lights go down, the cameras are shut off, they're still arguing.
[1:38:19.700 --> 1:38:21.700]  And at one point she says, you just wait.
[1:38:21.700 --> 1:38:25.700]  There'll be so much contamination of genetically engineered corn in South Africa.
[1:38:25.700 --> 1:38:28.700]  No one in Africa can grow non-GM corn.
[1:38:28.700 --> 1:38:39.700]  So she let it out of the bag that her intention was to contaminate the food supply forcibly so that no one could grow non-GM stuff.
[1:38:39.700 --> 1:38:47.700]  And their favorite is where the plant develops a pesticide in its own genetic code so bugs won't eat it or animals won't eat it.
[1:38:47.700 --> 1:38:48.700]  But then they feed it to us.
[1:38:48.700 --> 1:38:54.700]  And of course, most animals have better olfactory nerves, noses than we do.
[1:38:54.700 --> 1:38:56.700]  And so they're able to get away with this.
[1:38:56.700 --> 1:38:59.700]  So it's extremely cold-blooded and wide-reaching.
[1:38:59.700 --> 1:39:02.700]  You know, I tell people about this, I'll read like an AP article on there.
[1:39:02.700 --> 1:39:15.700]  I remember about five years ago, it was about prote gene in Texas with a pharmacological crop of corn that grew HIV virus shells in it.
[1:39:15.700 --> 1:39:18.700]  And I told people on there, and they thought I was making this up.
[1:39:18.700 --> 1:39:19.700]  I mean...
[1:39:19.700 --> 1:39:25.700]  Yeah, the thing is, there's a whole pharmaceutical crop concept where they grow...
[1:39:25.700 --> 1:39:37.700]  Like, for example, a prote gene company was growing a vaccine for pig diarrhea in a corn field in Iowa, right near Nebraska.
[1:39:37.700 --> 1:39:41.700]  And the next year, they were growing in that...
[1:39:41.700 --> 1:39:51.700]  The farmer was growing soybeans on the same field, but the inspectors just happened to be driving by and noticed there was some corn stubble from the previous year and some corn stalks coming through.
[1:39:51.700 --> 1:39:55.700]  And, you know, they had been planted the previous year and they just grew, called volunteer crops.
[1:39:55.700 --> 1:40:00.700]  So they told the guy, you should harvest that, you should remove that before you harvest the soybeans.
[1:40:00.700 --> 1:40:01.700]  Well, he never did.
[1:40:01.700 --> 1:40:08.700]  It ended up contaminating 500,000 bushels of soybeans, so they had to destroy it.
[1:40:08.700 --> 1:40:10.700]  The company had to pay 3 million bucks.
[1:40:10.700 --> 1:40:21.700]  And when that came out, only then we found out that they had also destroyed 155 acres in Iowa of corn that had probably been contaminated by other pharmaceutical corn.
[1:40:21.700 --> 1:40:30.700]  This is one of the most stupid things you can imagine planting pharmaceutical corn that creates drugs or industrial chemicals outside.
[1:40:30.700 --> 1:40:31.700]  Next to other corn.
[1:40:31.700 --> 1:40:32.700]  Let's explain.
[1:40:32.700 --> 1:40:35.700]  They can have animal virus grown in the plants.
[1:40:35.700 --> 1:40:46.700]  Now, I also tell people, I'll read like a Toronto star or a Reuters headline, they don't believe it, that cloned beef, cloned, you know, all these major staples, cloned pigs in Canada and the United States.
[1:40:46.700 --> 1:40:48.700]  They say, yeah, it's already in the food chain.
[1:40:48.700 --> 1:40:49.700]  It's already been bred.
[1:40:49.700 --> 1:40:50.700]  Nothing you can do about it.
[1:40:50.700 --> 1:40:53.700]  And people say they don't clone cows.
[1:40:53.700 --> 1:40:54.700]  Huh.
[1:40:54.700 --> 1:41:02.700]  Well, you know, you were right about that, that they tried to put a spider gene into a goat to milk the goat to get spider web protein to make bulletproof vests.
[1:41:02.700 --> 1:41:07.700]  They put human genes into corn to make spermicide.
[1:41:07.700 --> 1:41:09.700]  And it's interesting, this whole thing.
[1:41:09.700 --> 1:41:10.700]  Oh.
[1:41:10.700 --> 1:41:21.700]  The pigs and cows that were getting sterile from certain varieties of genetically engineered corn, it seemed to cluster around a certain number of years in a certain area.
[1:41:21.700 --> 1:41:24.700]  It was actually all over the United States, but mostly in Iowa.
[1:41:24.700 --> 1:41:32.700]  There was a company that took corn cobs and crushed them up so that they were used for bedding for animals.
[1:41:32.700 --> 1:41:46.700]  And a Baylor University study was doing something on mice, and they found that when the mice were in a cage with these crushed corn cobs, then they became sterile or largely infertile.
[1:41:46.700 --> 1:42:01.700]  And they found that they traced it to the corn cobs, and they found two different endocrine disruptors in the corn that were much higher, apparently causing the sterility.
[1:42:01.700 --> 1:42:08.700]  And the researchers said in his published research that he found that the levels were different in genetically engineered corn.
[1:42:08.700 --> 1:42:14.700]  Well, as you know, though, I mean, with genetic engineering, you know, the holy grail is to actually get the change you want.
[1:42:14.700 --> 1:42:21.700]  This is not an accident that magically it's always about sterilization, just magically every product sterilized, sterilized.
[1:42:21.700 --> 1:42:23.700]  I mean, this is clearly being done by design.
[1:42:23.700 --> 1:42:27.700]  I mean, when they're in there changing one thing, they're really in there changing other things.
[1:42:27.700 --> 1:42:28.700]  You know, it's interesting.
[1:42:28.700 --> 1:42:38.700]  One thing that is an argument against the idea that it's being used for population control is that it's not targeted.
[1:42:38.700 --> 1:42:39.700]  It's a shotgun.
[1:42:39.700 --> 1:42:45.700]  Once you put it in the environment, you can't control it, it'll get can outlast the effects of global warming and nuclear waste.
[1:42:45.700 --> 1:42:46.700]  It can spread.
[1:42:46.700 --> 1:42:49.700]  We don't have a technology to search and destroy.
[1:42:49.700 --> 1:42:54.700]  It's like trying to recall genetically engineered salmon from the ocean or mosquitoes from the environment.
[1:42:54.700 --> 1:42:55.700]  So if these people...
[1:42:55.700 --> 1:42:58.700]  Oh, yeah, I forgot about the GMOs, the mosquitoes.
[1:42:58.700 --> 1:42:59.700]  Stay there.
[1:42:59.700 --> 1:43:00.700]  We're going to come back with a final segment.
[1:43:00.700 --> 1:43:02.700]  Boy, this has gone by really fast.
[1:43:02.700 --> 1:43:04.700]  We'll try to cram some of your calls in when we get back.
[1:43:04.700 --> 1:43:08.700]  I mean, if you care, if not, just, I guess, kiss your butts goodbye.
[1:43:08.700 --> 1:43:11.700]  Can't decide what to give your friends and family this Christmas?
[1:43:11.700 --> 1:43:17.700]  Why not give them the most unique gift available by helping them protect their credit card numbers and personal information from thieves?
[1:43:17.700 --> 1:43:23.700]  There are now millions of credit cards, debit cards and passports in circulation that contain an RFID chip.
[1:43:23.700 --> 1:43:29.700]  These new cards and passports make transactions a breeze, but introduce a new threat to your personal information.
[1:43:29.700 --> 1:43:32.700]  These cards can be read while still in your wallet or purse.
[1:43:32.700 --> 1:43:38.700]  So this Christmas, give your friends and family a pack of secure sleeves from Identity Stronghold.
[1:43:38.700 --> 1:43:44.700]  Our radio blocking secure sleeves block the signals needed to read the RFID chip inside their new credit cards and passports,
[1:43:44.700 --> 1:43:47.700]  keeping the personal data safe and secure.
[1:43:47.700 --> 1:43:51.700]  You can buy them on the web at www.idstronghold.com.
[1:43:51.700 --> 1:44:02.700]  That's www.idstronghold.com or call toll-free 800-610-2770, 800-610-2770.
[1:44:02.700 --> 1:44:07.700]  Order now and get them in time for Christmas. Go to idstronghold.com today.
[1:44:08.700 --> 1:44:12.700]  Santa, Christmas Eve and you haven't left yet?
[1:44:12.700 --> 1:44:17.700]  Ho ho ho ho ho! No! I can't find my keys.
[1:44:17.700 --> 1:44:22.700]  Here's the perfect gift. Our patented Find One Find All Keyfinder or FOFA XT for short.
[1:44:22.700 --> 1:44:28.700]  Once a FOFA keyfinder is attached to each of those easy-to-lose things, it can find and be found by all the rest.
[1:44:28.700 --> 1:44:34.700]  Use your wallet to find your keys, your keys to find the remote control or any of them to find an uncharged or muted cell phone.
[1:44:34.700 --> 1:44:40.700]  FOFA goes through walls, cushions and laundry baskets up to 30 feet and projects a loud 90 plus decibel beep.
[1:44:40.700 --> 1:44:43.700]  And new for Christmas, there's even a FOFA just for eyeglasses.
[1:44:43.700 --> 1:44:46.700]  Where did I put my glasses, Mrs. Claus?
[1:44:46.700 --> 1:44:48.700]  Oh, here they are.
[1:44:48.700 --> 1:44:52.700]  Luckily, Rudolph's nose isn't the only thing that flashes.
[1:44:52.700 --> 1:44:56.700]  Order your FOFA today with batteries included along with a 30-day money-back guarantee.
[1:44:56.700 --> 1:45:01.700]  Call 866-245-8670. That's 866-245-8670.
[1:45:01.700 --> 1:45:06.700]  Or buy online at findonefindall.com. Again, that's findonefindall.com.
[1:45:08.700 --> 1:45:10.700]  Are you tired of the high cost of home energy bills?
[1:45:10.700 --> 1:45:16.700]  Millennium Technologies has an answer that every listener to this station needs to hear.
[1:45:16.700 --> 1:45:20.700]  An Australian inventor has developed a generator that is powered by the energy of magnets.
[1:45:20.700 --> 1:45:25.700]  And through this technology, the ability to power a typical home with this generator has arrived.
[1:45:25.700 --> 1:45:31.700]  This high-tech generator harnesses the power of permanent magnets and requires no fossil fuel to produce electrical power.
[1:45:31.700 --> 1:45:39.700]  Visit agreeneralternative.com to learn how you can qualify to have a similar, larger, more advanced unit installed in your home by Millennium Technologies
[1:45:39.700 --> 1:45:41.700]  with no cost to you ever.
[1:45:41.700 --> 1:45:46.700]  As a promotional offer, a limited number of units will be available at no cost to kick off our program.
[1:45:46.700 --> 1:45:52.700]  To learn more and see a 5-minute independent TV news story on this revolutionary new device,
[1:45:52.700 --> 1:45:58.700]  please visit us online at agreeneralternative.com. That's agreeneralternative.com.
[1:45:58.700 --> 1:46:06.700]  Or call 815-648-4400. That's 815-648-4400.
[1:46:06.700 --> 1:46:10.700]  Heart disease is on the rise.
[1:46:10.700 --> 1:46:15.700]  Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you,
[1:46:15.700 --> 1:46:17.700]  but the symptoms are there.
[1:46:17.700 --> 1:46:22.700]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat
[1:46:22.700 --> 1:46:25.700]  are just a few of these that can alert you that something is wrong.
[1:46:25.700 --> 1:46:31.700]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[1:46:31.700 --> 1:46:35.700]  My blood pressure has normalized. My diabetes has totally improved.
[1:46:35.700 --> 1:46:40.700]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[1:46:40.700 --> 1:46:42.700]  I recommend heart and body extract to everyone.
[1:46:42.700 --> 1:46:47.700]  Anybody over 40 in the North American continent should be using this product as a preventative
[1:46:47.700 --> 1:46:50.700]  to keep their cardiovascular system healthy.
[1:46:50.700 --> 1:46:55.700]  Order your two-month supply today by calling 866-295-5305.
[1:46:55.700 --> 1:46:58.700]  That's 866-295-5305.
[1:46:58.700 --> 1:47:07.700]  Or order online, hbxtract.com, heart and body extract, 866-295-5305, or hbxtract.com.
[1:47:10.700 --> 1:47:15.700]  You're listening to GCA, the Genesis Communication Radio Network.
[1:47:19.700 --> 1:47:22.700]  Coming to you from the capitol of Texas.
[1:47:22.700 --> 1:47:26.700]  Broadcasting the truth coast to coast and worldwide.
[1:47:26.700 --> 1:47:29.700]  This is The Alex Jones Show.
[1:47:31.700 --> 1:47:34.700]  Yeah, time flies when you're fighting the New World Order.
[1:47:37.700 --> 1:47:39.700]  Look, I want to go to Paula Kath and everybody else that's holding me.
[1:47:39.700 --> 1:47:43.700]  You're calling in about the police state I covered in the first 45 minutes, 40 minutes.
[1:47:43.700 --> 1:47:45.700]  Tomorrow I'll be covering that on the weekday show in detail.
[1:47:45.700 --> 1:47:50.700]  Yes, Obama's announcing National Compulsory Service and domestic spy squads.
[1:47:50.700 --> 1:47:54.700]  Yes, he's freaking all the liberals out who thought it was Bush that wanted to use the military.
[1:47:54.700 --> 1:47:56.700]  They all work for the same people.
[1:47:56.700 --> 1:48:02.700]  Now he's announcing, yes, military will be on the streets of America to fight all crime and for social and environmental issues.
[1:48:02.700 --> 1:48:06.700]  They've stated it, but it isn't real environmental issues.
[1:48:06.700 --> 1:48:13.700]  It's taxing the people and not stopping the true environmental problems like GMO.
[1:48:13.700 --> 1:48:15.700]  So it's all very, very nuanced subject.
[1:48:15.700 --> 1:48:19.700]  But I do want to take Tom and I think Georgia for the guest.
[1:48:19.700 --> 1:48:21.700]  So we're going to get to you guys here in just a moment.
[1:48:21.700 --> 1:48:24.700]  Jeffrey, when you get back in three months, please contact me.
[1:48:24.700 --> 1:48:26.700]  I want to have you on first and I apologize.
[1:48:26.700 --> 1:48:27.700]  I ended up rescheduling you Friday.
[1:48:27.700 --> 1:48:29.700]  That was my fault, not my producers.
[1:48:29.700 --> 1:48:30.700]  Got a problem.
[1:48:30.700 --> 1:48:32.700]  But it's great to have you here just briefly.
[1:48:32.700 --> 1:48:37.700]  One of your films, films you're involved in, I'm not carrying yet, is the truth about Monsanto.
[1:48:37.700 --> 1:48:38.700]  Tell folks about that briefly.
[1:48:38.700 --> 1:48:39.700]  Right.
[1:48:39.700 --> 1:48:40.700]  The world according to Monsanto.
[1:48:40.700 --> 1:48:48.700]  If you go to Monsantofilm.com, it's an amazing film by award-winning film producer from France, Marie Monique Robin.
[1:48:48.700 --> 1:48:59.700]  And she traveled all over the world and found the absolute disgusting and despicable and really evil hand that's been behind Monsanto,
[1:48:59.700 --> 1:49:08.700]  giving us PCB poison and DDT poison and Agent Orange poison and now the poison associated with genetically engineered foods.
[1:49:08.700 --> 1:49:15.700]  And it shows clearly the damages that it's happening around the world and also the cover-up and the arrogance.
[1:49:15.700 --> 1:49:18.700]  It's an incredible film.
[1:49:18.700 --> 1:49:22.700]  That brings me to my last question before we take a few calls here.
[1:49:22.700 --> 1:49:29.700]  And that is, if you get lead or you get mercury or you get arsenic, it poisons you, it hurts you.
[1:49:29.700 --> 1:49:31.700]  It affects DNA a little bit but not that much.
[1:49:31.700 --> 1:49:41.700]  But when you change the DNA of the planet, when you vandalize the DNA of the planet, as you've said, in an irrevocable fashion already and they're now accelerating it,
[1:49:41.700 --> 1:49:43.700]  we've got a big problem.
[1:49:43.700 --> 1:49:48.700]  And so that's the issue here is that this is irrevocable.
[1:49:48.700 --> 1:49:55.700]  I mean, when you talk about half the mice being sterile or 90% of them dying or 50% dying depending on the study.
[1:49:55.700 --> 1:50:05.700]  I mean, this is confirmed and we're eating this and we see diabetes and cancer and everything exploding off the charts and sterilization and infertility exploding.
[1:50:05.700 --> 1:50:06.700]  It's clear.
[1:50:06.700 --> 1:50:15.700]  We really speak to that and then briefly, solutions, we are having victories all over the world and the bovine growth hormone and milk.
[1:50:15.700 --> 1:50:16.700]  We're having victories.
[1:50:16.700 --> 1:50:18.700]  We can have this tipping point.
[1:50:18.700 --> 1:50:19.700]  Yes, we have.
[1:50:19.700 --> 1:50:26.700]  When we look at all of the different things going on, and I did in with about 30 scientists over two years and we came up with the book,
[1:50:26.700 --> 1:50:30.700]  Genetic Roulette, the documented health risks of genetically engineered foods.
[1:50:30.700 --> 1:50:40.700]  In Genetic Roulette, you see thousands of sick, sterile and dead livestock, thousands of toxic and allergic reactions in humans and damage to virtually every organ in every system studied.
[1:50:40.700 --> 1:50:49.700]  As bad as GMOs are, it's one of the easiest health and environmental catastrophes to solve because we are in charge of what we buy.
[1:50:49.700 --> 1:50:59.700]  Now, because GMOs don't give any consumer benefit to these companies, if they perceive GMOs, genetically modified organisms as a liability for sales,
[1:50:59.700 --> 1:51:03.700]  they'll simply switch to the non-GMO brand, as many have.
[1:51:03.700 --> 1:51:14.700]  In fact, when the tipping point of consumer rejection hit Europe in April of 1999, within a few days, within a single week, virtually every major food company committed to stop using GM ingredients.
[1:51:14.700 --> 1:51:26.700]  In the last three years, we saw a huge rejection of bovine growth hormone, as you said, kicked out last month by Subway, this year by Wal-Mart, Kroger, the end of last year by Starbucks.
[1:51:26.700 --> 1:51:32.700]  So we're seeing a huge consumer backlash against one genetically engineered product.
[1:51:32.700 --> 1:51:39.700]  But the empire is striking back trying to take over every major food crop. We don't have much time. We better get involved in voting with our dollars.
[1:51:39.700 --> 1:51:49.700]  We can force them to stop doing this, but they're striking back also coming in, as you've eloquently covered, to where they don't want us to be able to have real labeling.
[1:51:49.700 --> 1:51:56.700]  Exactly. So go to responsibletechnology.org and do a number of things in order to help with this.
[1:51:56.700 --> 1:52:02.700]  One, you can become a member, either a free member or we'd love to get some support. I mean, we just lost funding to India, but I'm going anyway.
[1:52:02.700 --> 1:52:09.700]  The other thing is, there's a petition there asking if the Obama committed to labeling during his campaign.
[1:52:09.700 --> 1:52:12.700]  So we're going to say, great, thank you for labeling, but we want real labeling.
[1:52:12.700 --> 1:52:20.700]  And so we want comprehensive labeling, not loophole labeling, and so there's a petition there you can sign that we will send to Obama.
[1:52:20.700 --> 1:52:30.700]  And then go on the site also at responsibletechnology and download or order a shopping guide, a non-GMO shopping guide, and learn how to avoid eating.
[1:52:30.700 --> 1:52:35.700]  And by the way, you have those where you can print a month or like ten pages long, or you can buy them at cost in bulk.
[1:52:35.700 --> 1:52:41.700]  We've got to jump to calls. Folks, you've been given the sites, take action, get the books and videos at infowars.com or the other sites.
[1:52:41.700 --> 1:52:46.700]  Don't wait around. Your family, your children are worth it, and you will find out what we've covered here is true and accurate.
[1:52:46.700 --> 1:52:50.700]  Let's talk to Tom in Minnesota, and then we'll go to George, and that's it we have for calls.
