[00:00:03.342 --> 00:00:08.186]  Big Brother, Mainstream Media, Government Cover Ups.
[03:17:20.534 --> 03:17:28.398]  Pull up that Gerald Salente article from PrisonPlanet.com where he was predicting the riots for folks.
[03:17:28.398 --> 03:17:30.739]  Again, we've been predicting this as well.
[03:17:30.739 --> 03:17:34.761]  Greece-style riots coming to the United States.
[03:17:34.761 --> 03:17:37.563]  That's up on PrisonPlanet.com.
[03:17:37.563 --> 03:17:46.187]  Frequently and frighteningly accurate trends forecaster Gerald Salente says the America will see riots similar to those currently ongoing in Greece and that will
[03:17:46.827 --> 03:17:47.968]  We're good.
[03:18:06.674 --> 03:18:06.814]  Yeah.
[03:18:36.674 --> 03:18:40.995]  And then the middle class begs them to come in for control just to stop the rioting and looting.
[03:18:40.995 --> 03:18:41.475]  You understand?
[03:18:41.475 --> 03:18:42.996]  Right.
[03:18:42.996 --> 03:18:43.396]  Yeah.
[03:18:43.396 --> 03:18:44.436]  Yeah.
[03:18:44.436 --> 03:18:44.756]  Yeah.
[03:18:44.756 --> 03:18:53.658]  I mean, like a friend of mine, you know, has been talking about, you know, it might be a time, at the time, maybe a year's time or so, to get out the country.
[03:18:53.658 --> 03:18:57.579]  You know, I mean, he doesn't know that much about the conspiracy stuff, but he's talking about
[03:18:58.303 --> 03:18:59.664]  Serious blood on the street, Tom.
[03:18:59.664 --> 03:19:00.705]  Well, where are you going to go?
[03:19:00.705 --> 03:19:02.005]  I mean, where are you going to go?
[03:19:02.005 --> 03:19:10.631]  This is going to be a worldwide depression, a worldwide control grid, openly, as the Financial Times of London said, to bring in a world government.
[03:19:10.631 --> 03:19:12.432]  They're bringing in world government right now.
[03:19:12.432 --> 03:19:18.536]  I mean, they killed hundreds of millions last century funding the Nazis and the Communists, the same banker families, publicly.
[03:19:18.536 --> 03:19:20.057]  I mean, so the sky's the limit.
[03:19:20.057 --> 03:19:21.618]  They must be defeated.
[03:19:21.618 --> 03:19:22.598]  They must be exposed.
[03:19:22.598 --> 03:19:23.759]  And they're openly stealing
[03:19:25.440 --> 03:19:30.284]  8.5 trillion in the U.S., trillions in Europe, close to a trillion in England.
[03:19:30.284 --> 03:19:39.792]  I mean, they are the criminals, they are the Ponzi scheme operators, but they're such big, powerful Ponzi scheme scam artists that they own the military and the government fraudulently.
[03:19:39.792 --> 03:19:42.013]  So, either they go or we go.
[03:19:42.013 --> 03:19:45.336]  Either they get their world government system of tyranny or we defeat them.
[03:19:45.336 --> 03:19:46.297]  I appreciate your call.
[03:19:46.297 --> 03:19:49.259]  We'll come back, take more calls, cover a lot of other news.
[03:19:49.259 --> 03:19:49.719]  Stay with me.
[03:19:52.506 --> 03:19:54.087]  The holiday season is here again!
[03:19:54.087 --> 03:19:57.968]  A time to appreciate our friends and family and the many blessings we have.
[03:19:57.968 --> 03:20:01.069]  It's also time to find unique gift ideas for those we love.
[03:20:01.069 --> 03:20:04.230]  This year, why not give a gift that saves your loved ones money?
[03:20:04.230 --> 03:20:09.071]  A 2-ounce bottle of Fuel Conditioner from Fuel Saver Technologies makes a great stocking stuffer.
[03:20:09.071 --> 03:20:11.372]  It's also an inexpensive and thoughtful present.
[03:20:11.372 --> 03:20:15.913]  A small squeeze of our product in the gas tank improves combustion, boosting fuel economy 10-20% or more!
[03:20:17.654 --> 03:20:19.575]  Completely safe for all engines.
[03:20:19.575 --> 03:20:25.537]  Our fuel additive also reduces emissions, maintenance costs, and reduces the friction of engine moving parts.
[03:20:25.537 --> 03:20:29.639]  Each little bottle treats 100 gallons of gasoline or 50 gallons of diesel.
[03:20:29.639 --> 03:20:33.781]  With a case of 16 or 32 bottles, you'll have plenty to give as gifts.
[03:20:33.781 --> 03:20:36.962]  And the cost is only $6 per bottle with free shipping!
[03:20:37.342 --> 03:20:41.785]  On September 11th, 2001, along with hundreds of my fellow troops, I went to Ground Zero.
[03:20:41.785 --> 03:20:42.865]  And we knew what to do.
[03:21:00.205 --> 03:21:01.406]  At least we thought we did.
[03:21:01.406 --> 03:21:08.451]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[03:21:08.451 --> 03:21:13.615]  Whitman, EPA Director on the 18th, made a statement.
[03:21:14.585 --> 03:21:17.346]  That the air was safe to breathe.
[03:21:17.346 --> 03:21:24.448]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[03:21:24.448 --> 03:21:27.609]  He had his hand over the radio while he was getting a countdown.
[03:21:27.609 --> 03:21:32.731]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom.
[03:21:33.391 --> 03:21:36.474]  This is an emergency transmission worldwide.
[03:21:36.474 --> 03:21:42.520]  Download Truth Rising at PrisonPlanet.TV and aggressively spread it worldwide.
[03:21:42.520 --> 03:21:45.443]  Or order the DVD at Infowars.com.
[03:21:45.443 --> 03:21:50.368]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[03:21:51.664 --> 03:21:52.144]  Good day.
[03:21:52.144 --> 03:21:53.785]  Jim Newcomer from Midas Resources.
[03:21:53.785 --> 03:21:55.526]  December 16, 2008.
[03:21:55.526 --> 03:21:57.106]  Gold opened this morning at $835.80.
[03:21:57.106 --> 03:22:01.828]  A one ounce gold coin can be purchased for $860.68, $430.34 for the half ounce, and $215.17 for a quarter ounce.
[03:22:01.828 --> 03:22:02.388]  That's $860.68, $430.34, and $215.70.
[03:22:09.508 --> 03:22:22.035]  On June 4th, 1963, an unknown presidential decree, Executive Order 11,110, was signed with the authority to strip the Federal Reserve Bank of its power to lend money to the United States government and interest.
[03:22:22.035 --> 03:22:25.217]  With the stroke of a pen, Kennedy would have put the Fed out of business.
[03:22:25.217 --> 03:22:28.559]  The November assassination quieted the production of the new currency.
[03:22:28.559 --> 03:22:31.401]  However, the Executive Order still stands unrepealed.
[03:22:31.641 --> 03:22:34.443]  Midas has the Kennedy vs. Fed document.
[03:22:34.443 --> 03:22:34.964]  Call 800-686-2237.
[03:22:34.964 --> 03:22:39.648]  Unlike your liberty, the paper is free.
[03:22:39.648 --> 03:22:42.550]  Call 800-686-2237.
[03:22:42.550 --> 03:22:46.273]  If you're interested in breaking the bondage of taxation and debt, call 800-686-2237.
[03:22:46.273 --> 03:22:46.454]  That's 800-686-2237.
[03:22:51.977 --> 03:22:55.418]  Silver is mankind's oldest natural antibiotic.
[03:22:55.418 --> 03:22:59.659]  This very special mineral has been used for centuries by most cultures throughout the world.
[03:22:59.659 --> 03:23:11.322]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[03:23:11.322 --> 03:23:17.144]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[03:23:17.444 --> 03:23:22.127]  And germs can't mutate to be resistant like they can to modern-day antibiotics.
[03:23:22.127 --> 03:23:30.313]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold, and copper, with a money-back guarantee on the colloidal products we produce.
[03:23:30.313 --> 03:23:38.479]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of health care and freedom of speech.
[03:23:38.479 --> 03:23:41.181]  Visit us today at utopiasilver.com.
[03:23:41.181 --> 03:23:44.643]  That's U-T-O-P-I-A-Silver dot com, or call 888-
[03:23:45.544 --> 03:23:47.489]  2 1 3 4 3 3 8 8 8 8 2 1 3 4 3 3 8 and help us win this battle!
[03:23:57.888 --> 03:23:59.849]  Okay, we're live.
[03:23:59.849 --> 03:24:06.890]  During that little four-minute break, I was trying to Google around for CBS News, Washington Post.
[03:24:06.890 --> 03:24:12.372]  I know we screenshotted Save the Army Times, where it said, we hope we don't have to shoot Americans.
[03:24:12.372 --> 03:24:16.993]  That's what we're deploying for, and that's Ian Gates' own report.
[03:24:16.993 --> 03:24:23.835]  And then I said, you know, I'll just go to PrisonPlanet.com and find the articles that Paul Watson and Steve Watson wrote about this a month ago.
[03:24:24.858 --> 03:24:51.194]  and so I went to PrisonPlanet.com and guess what today's afternoon top headlines they write multiple stories a day they're great guys it is a story we've got up on screen for you right now and it says army strategic shock report says troops may be needed to quell US civil unrest purposeful domestic resistance would require military to rapidly determine the parameters defending
[03:24:52.054 --> 03:24:58.258]  Defining the legitimate use of military force inside the United States, and that is against the American people.
[03:24:58.258 --> 03:25:01.200]  I'm reading directly from the Army Strategic Report.
[03:25:01.200 --> 03:25:02.501]  I mean, there's hundreds of these.
[03:25:02.501 --> 03:25:09.185]  I mean, just today, I'm talking about it and people are calling in who can't find it, and it's just everywhere.
[03:25:09.185 --> 03:25:14.989]  So what I'm going to do is, I'm going to set Paul Watson up on the show tomorrow, or I can just do this tonight, and I'm going to find
[03:25:15.709 --> 03:25:27.493]  Ten reports and a couple of Army reports where they're saying, and I'll blow it up and show it to you on screen so there's no more denial about all of this, Strategic Studies Institute, United States Army War College.
[03:25:27.493 --> 03:25:29.273]  Okay, do you see that?
[03:25:29.273 --> 03:25:29.873]  Punch me up.
[03:25:29.873 --> 03:25:30.634]  Okay, you see this?
[03:25:30.634 --> 03:25:33.375]  I'm on PrisonPlanet.com right now.
[03:25:33.375 --> 03:25:40.717]  The date is the 16th of December 2008 and you can go there and you see the official Army War College Strategic
[03:25:41.817 --> 03:25:43.159]  Uh, development.
[03:25:43.159 --> 03:25:49.284]  And it says right here, use troops against the American people, and what are the rules of engagement against the American people?
[03:25:49.284 --> 03:25:56.551]  Now, Gates on the November 24th put out another report saying it's for civil unrest and rioting in the United States.
[03:25:56.551 --> 03:26:02.816]  That's what the Army Times said, and there was a huge backlash to it, and that was two months ago when they announced, you know, a brigade, close to 5,000.
[03:26:05.228 --> 03:26:10.551]  Now they've announced 20,000 troops for Homeland Security to fight terror, environmental reasons.
[03:26:10.551 --> 03:26:12.813]  Barack Obama put out a new order.
[03:26:12.813 --> 03:26:15.234]  In fact, I've got it right here in my stack.
[03:26:15.234 --> 03:26:17.476]  Here it is.
[03:26:17.476 --> 03:26:21.018]  WorldNetDaily and InfoWars.com.
[03:26:21.018 --> 03:26:22.099]  And what is our source?
[03:26:22.099 --> 03:26:26.422]  We link directly through to Obama's new National Security Directive.
[03:26:26.422 --> 03:26:28.603]  I mean, here they are, right here.
[03:26:29.972 --> 03:26:33.716]  Here they are, right here for you, and you can read where he's saying that.
[03:26:33.716 --> 03:26:34.557]  Here are the headlines.
[03:26:34.557 --> 03:26:36.960]  New rules for Obama's National Security Force.
[03:26:36.960 --> 03:26:38.442]  It doesn't just say policing.
[03:26:38.442 --> 03:26:40.164]  It doesn't just say law enforcement.
[03:26:40.164 --> 03:26:49.074]  It says, for all community reasons, which is what Gates mentions in his report and what the Army Times says about using troops, quote, at auto accidents.
[03:26:49.614 --> 03:26:53.717]  And then we have the Marines out at checkpoints in California for U.S.
[03:26:53.717 --> 03:26:55.619]  citizens, and we put that on screen.
[03:26:55.619 --> 03:26:59.902]  I mean, I don't know how much more we've got to show people before they figure it out.
[03:26:59.902 --> 03:27:01.504]  But put it back up on the screen.
[03:27:01.504 --> 03:27:04.266]  This is the Army War College, ladies and gentlemen.
[03:27:04.266 --> 03:27:05.847]  The Army War College.
[03:27:05.847 --> 03:27:09.770]  And listen, people may seem like I'm really in a bad mood or upset.
[03:27:09.770 --> 03:27:14.995]  I'm upset because, I mean, I've been videotaping the Marines trying to confiscate our guns for a decade.
[03:27:15.715 --> 03:27:22.418]  I've had Army walk up to me on the streets of Texas, in Belton, south of Waco, and say, turn your cameras off.
[03:27:22.418 --> 03:27:25.420]  You know, that's in road to tyranny, when they're out there.
[03:27:25.420 --> 03:27:27.541]  I mean, they're everywhere.
[03:27:27.541 --> 03:27:34.004]  I mean, this is going on all around us, and we have to address it and deal with it, so that we can politically say no to it.
[03:27:34.671 --> 03:27:43.693]  Instead, we have been so culturally taught that this doesn't exist, as it was creeping up, as the alternative media warned you, that people are now saying, well, no, the media denies it.
[03:27:43.693 --> 03:27:46.854]  They are not denying that this is going on.
[03:27:46.854 --> 03:27:57.416]  So I need everybody to go, right now, to PrisonPlanet.com and get this report that's up on screen and get it out to everybody that we know out there.
[03:27:59.480 --> 03:28:02.784]  In fact, John, just go ahead and dial Paul Watson for me right now on air.
[03:28:02.784 --> 03:28:16.721]  Go ahead and dial him in England, because I can't do this by myself in here while they're busy running the show, and Aaron's busy packing up the studio over there today, so he would normally be here to pull stuff up while I'm live on air.
[03:28:18.403 --> 03:28:25.665]  I want to get Paul on and by the end of the show, I want him to come on and he can read five or six headlines and give people where it says civil unrest.
[03:28:25.665 --> 03:28:27.905]  I mean, I just gave you another one.
[03:28:27.905 --> 03:28:35.267]  I just gave you THE Army's website saying it on screen for you.
[03:28:35.267 --> 03:28:36.087]  Punch it back up.
[03:28:36.087 --> 03:28:38.207]  They'll say it's not real.
[03:28:38.207 --> 03:28:41.348]  And, you know, there it is, folks.
[03:28:41.348 --> 03:28:42.908]  Okay?
[03:28:42.908 --> 03:28:46.689]  And it says right here in it, in the 51-page report,
[03:28:49.824 --> 03:28:53.447]  That they are going to use these against the American people.
[03:28:53.447 --> 03:28:58.850]  I mean, there it is, and there's the article that boils down all the key points of it with links.
[03:28:58.850 --> 03:29:10.638]  Widespread civil violence inside the United States would force the defense establishment to reorient priorities and extremes to basic, to defend basic domestic order and human security.
[03:29:10.638 --> 03:29:14.401]  The report, authored by retired Lieutenant Colonel Nathan Fryer, reads,
[03:29:17.182 --> 03:29:34.813]  Employment of weapons of mass destruction or other catastrophic capabilities, unforeseen economic collapse, loss of functioning political and legal order, purposeful domestic resistance or insurgency, pervasive public health emergencies, catastrophic natural and human disasters, are all passed to the disruptive domestic shock.
[03:29:34.813 --> 03:29:39.856]  But what this guy doesn't know, writing this, I'm sure he's not evil, is this was all engineered and orchestrated
[03:29:40.776 --> 03:29:42.298]  It's just incredible.
[03:29:42.298 --> 03:29:43.699]  We're on the march.
[03:29:43.699 --> 03:29:46.221]  The Empire's on the run.
[03:29:46.221 --> 03:29:48.924]  Alex Jones and the GCN Radio Network.
[03:29:52.293 --> 03:29:58.536]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators starting at $299.
[03:29:58.536 --> 03:30:12.504]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of secondhand smoke, pet odors, you name it.
[03:30:12.504 --> 03:30:16.046]  What else can three oxygen atoms, in other words, ozone, do?
[03:30:16.046 --> 03:30:20.528]  Many hospitals sterilize their operating rooms with ozone before and after operations.
[03:30:20.708 --> 03:30:20.868]  I think.
[03:30:35.745 --> 03:30:36.185]  That's right.
[03:30:52.216 --> 03:30:58.982]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[03:30:58.982 --> 03:31:01.624]  The enemy struck America on September 11th.
[03:31:01.624 --> 03:31:03.165]  But who is the enemy?
[03:31:03.165 --> 03:31:03.966]  Bin Laden.
[03:31:03.966 --> 03:31:04.907]  This is his ammo.
[03:31:04.907 --> 03:31:06.348]  We have to look to the Middle East.
[03:31:06.348 --> 03:31:08.330]  We have to look to Osama Bin Laden.
[03:31:08.330 --> 03:31:15.056]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[03:31:15.456 --> 03:31:15.957]  Some U.S.
[03:31:15.957 --> 03:31:22.302]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[03:31:22.302 --> 03:31:25.804]  I'm aware that some Israeli citizens have been detained.
[03:31:25.804 --> 03:31:36.293]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[03:31:36.293 --> 03:31:37.514]  Fabled enemies.
[03:31:37.514 --> 03:31:44.139]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[03:31:45.281 --> 03:31:48.612]  Either you are with us, or you are with the terrorists.
[03:31:52.096 --> 03:31:57.920]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[03:31:57.920 --> 03:32:03.364]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[03:32:03.364 --> 03:32:08.728]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[03:32:08.728 --> 03:32:14.633]  People who alkalize the water they drink experience normalized blood sugar, mental clarity, and loss of weight.
[03:32:14.633 --> 03:32:18.916]  It was intended for human beings to drink alkaline water, but due to modern way of life,
[03:32:19.096 --> 03:32:20.857]  Most people are overly acidic.
[03:32:20.857 --> 03:32:24.640]  The fact is that disease simply cannot exist in an alkaline environment.
[03:32:24.640 --> 03:32:29.464]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[03:32:29.464 --> 03:32:30.504]  Do your part.
[03:32:30.504 --> 03:32:33.126]  Alkalize and supercharge your body now!
[03:32:33.126 --> 03:32:39.251]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[03:32:39.571 --> 03:32:42.336]  Up to the pH of 10, with only 10 drops.
[03:32:42.336 --> 03:32:48.808]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[03:32:48.808 --> 03:32:50.792]  Again, that's alkavision.com.
[03:33:10.271 --> 03:33:14.954]  Alright, we're back live ladies and gentlemen.
[03:33:14.954 --> 03:33:18.175]  Here at PrisonPlanet.TV.
[03:33:18.175 --> 03:33:22.878]  We're streaming live over the internet.
[03:33:22.878 --> 03:33:26.640]  I'm gonna go to your phone calls and I'm gonna go through a news blitz here.
[03:33:27.944 --> 03:33:30.766]  I mean, I could talk all day just about this article out of nature.
[03:33:30.766 --> 03:33:34.309]  There's a bunch of other stories where they say we all need to be put on drugs, basically.
[03:33:34.309 --> 03:33:37.411]  That Ritalin and Prozac and other things are brain boosters.
[03:33:37.411 --> 03:33:41.154]  They're saying they want to put statin drugs in all the water to force us to take it.
[03:33:41.154 --> 03:33:44.877]  There's open discussions of putting Prozac in the water, just like they had fluoride.
[03:33:44.877 --> 03:33:47.159]  I mean, this is just total insanity.
[03:33:47.159 --> 03:33:49.841]  And then people will just deny that they're even saying all of this.
[03:33:49.841 --> 03:33:54.904]  I mean, you cannot make this type of stuff up.
[03:33:54.904 --> 03:33:55.525]  It's just, it's...
[03:33:57.020 --> 03:33:59.121]  All of it is just too amazing.
[03:33:59.121 --> 03:34:01.282]  Let's go ahead and go to Mike in Ohio.
[03:34:01.282 --> 03:34:02.622]  Mike, thanks for holding her on the air.
[03:34:02.622 --> 03:34:04.383]  Hello.
[03:34:04.383 --> 03:34:06.244]  Yes, sir.
[03:34:06.244 --> 03:34:17.148]  Alex, I've been sitting here and listening to you with my two questions in mind, and you completely blew my mind when you said that they're preparing to use Puff the Magic Dragon.
[03:34:19.369 --> 03:34:32.739]  Yeah, they're going to mount a C-130 that's normally mounted with the Vulcan Gatling guns and howitzers with microwave guns and sound cannons to fly around and hurt the American people.
[03:34:32.739 --> 03:34:36.361]  They've been drilling for decades to make war on us.
[03:34:36.361 --> 03:34:44.647]  And I've seen Puff the Magic Dragon work out in Vietnam and they can put a bull in every square inch of a football field.
[03:34:44.647 --> 03:34:44.968]  It's robotic.
[03:34:44.968 --> 03:34:46.489]  Why would they need something like that here?
[03:34:48.078 --> 03:34:55.325]  Because the bankers are going to totally bankrupt everything and take this nation over, and if the public doesn't like it, they're going to use the military on us.
[03:34:55.325 --> 03:35:01.051]  It's the bankers imploding the economy, then it falls apart, then the people riot, then they bring in the military against us.
[03:35:01.051 --> 03:35:03.974]  As we've always said, it's now happening.
[03:35:03.974 --> 03:35:11.541]  Yeah, well I know I've been following things, but I never thought I'd ever see the day that we'd be using the Marine Corps
[03:35:12.051 --> 03:35:13.892]  In the United States of America.
[03:35:13.892 --> 03:35:25.461]  In fact, when I was stationed in California at the Marine Corps Air Station, we weren't even allowed to wear our jungle boots or utility boots off base.
[03:35:25.461 --> 03:35:30.265]  If you left base, you either went in your civilian clothes or you wore your full dress uniform.
[03:35:30.265 --> 03:35:33.167]  There was none of those utilities off the base.
[03:35:33.167 --> 03:35:38.972]  That's because in a free society, you don't have military on the streets running around controlling the population.
[03:35:38.972 --> 03:35:40.653]  But in a police state, you do.
[03:35:41.400 --> 03:35:42.280]  Good to hear from you, sir.
[03:35:42.280 --> 03:35:43.281]  I appreciate your call.
[03:35:43.281 --> 03:35:44.661]  Here's a story out of CNN.
[03:35:44.661 --> 03:35:46.341]  I see these stories every week.
[03:35:46.341 --> 03:35:51.703]  Slain student called 911, but no one came in time.
[03:35:51.703 --> 03:35:56.444]  And then 48 minutes later, the police did show up, and she'd been brutally murdered.
[03:35:56.444 --> 03:36:05.406]  Then the police basically, for a few days, tried to cover up the fact that they got a 911 call, and that this person came in and killed her, and they never came for 48 minutes.
[03:36:05.406 --> 03:36:06.807]  I'm not even here bashing the police.
[03:36:06.807 --> 03:36:07.967]  The police can't protect you
[03:36:08.627 --> 03:36:12.008]  Historically, it's not their job, the Supreme Court's rule.
[03:36:12.008 --> 03:36:15.670]  But I do bash the system and the police for trying to confiscate our guns.
[03:36:15.670 --> 03:36:17.651]  How dare you try to disarm us?
[03:36:17.651 --> 03:36:21.452]  How dare this article not say women ought to arm themselves?
[03:36:21.452 --> 03:36:29.656]  I mean, every day I read about some woman jogging or going to her car, or somebody busting in their house, and these women light them up with a little .357 in their purse.
[03:36:32.136 --> 03:36:41.880]  You need to take your daughters out, teach them how to shoot, you need to train them, and they need to get firearms, and when somebody tries to come in and rape them and kill them, they need to kill them.
[03:36:41.880 --> 03:36:43.320]  Bottom line.
[03:36:43.320 --> 03:36:50.683]  Here's a story out of my record journal, and it says, Big Brother is watching, but seniors don't mind.
[03:36:50.683 --> 03:37:00.167]  I'm going to get this group or this senior on the show, and it says, seniors keep track of just about everything Shirley Player does in her apartment.
[03:37:01.371 --> 03:37:10.834]  So, sensors keep track of just about everything Shirley Player does in her apartment, but she's not worried that Big Brother is watching far from it.
[03:37:10.834 --> 03:37:14.034]  And then it says everything she eats is monitored by a computer.
[03:37:14.034 --> 03:37:16.455]  There's sensors in every room watching her.
[03:37:16.455 --> 03:37:18.155]  They're making sure she gets enough rest.
[03:37:18.155 --> 03:37:19.996]  They're making sure she gets her food.
[03:37:19.996 --> 03:37:21.716]  She's eighty-something years old.
[03:37:21.716 --> 03:37:24.697]  Eighty-four years old.
[03:37:24.697 --> 03:37:27.158]  This is a test put on by
[03:37:28.197 --> 03:37:29.298]  The Masons.
[03:37:29.298 --> 03:37:32.519]  And they're the same ones making sure all the kids get the databases.
[03:37:32.519 --> 03:37:37.602]  And you can go read this crazy article.
[03:37:37.602 --> 03:37:42.965]  This is just incredible.
[03:37:42.965 --> 03:37:47.368]  And she's doing this as part of a study with the Masonic Healthcare Center Independent Living Complex.
[03:37:49.725 --> 03:37:53.669]  And this is in her separate apartment and everything she's doing being watched.
[03:37:53.669 --> 03:38:05.681]  Toyota's gonna put sensors in all your cars watching you with an infrared camera and the minute the temperature goes up too high in the car the sensor will dial a cell phone that's in the car to police that will then over a cell phone link watch you
[03:38:06.936 --> 03:38:14.578]  The chief of police in San Antonio, excuse me, in Houston last year proposed cameras in everyone's homes watching them.
[03:38:14.578 --> 03:38:16.599]  They're putting cameras in young people's cars.
[03:38:16.599 --> 03:38:20.820]  They're moving to try to make it the law that new drivers have to have a camera in the car watching them.
[03:38:20.820 --> 03:38:23.581]  There's always these excuses for it about how it's for safety.
[03:38:23.581 --> 03:38:25.121]  This is all about control.
[03:38:27.677 --> 03:38:29.538]  In fact, I forgot to give you this article, guys.
[03:38:29.538 --> 03:38:32.740]  Will you guys take these two articles and just put them up on screen?
[03:38:32.740 --> 03:38:36.402]  I know I won't be covering them at the time, but I want to get them up on screen so folks see them.
[03:38:36.402 --> 03:38:39.684]  Because what happens is folks out on the web watching this are lazy.
[03:38:39.684 --> 03:38:41.505]  They'll just say I made it up.
[03:38:41.505 --> 03:38:43.647]  They'll just say it doesn't exist.
[03:38:43.647 --> 03:38:47.569]  This is Time Magazine, because Greece's riots spread to France.
[03:38:47.569 --> 03:38:49.310]  How about the United States?
[03:38:49.310 --> 03:38:50.971]  Desperate doublespeak.
[03:38:50.971 --> 03:38:53.673]  Global cooling is part of global warming.
[03:38:55.620 --> 03:39:01.582]  Before I take some more calls, go ahead and get the fella on who we had to cut off because of another guest.
[03:39:01.582 --> 03:39:12.866]  Go ahead and get Ben on, who goes under the pen name Branson Hunter, who wrote the original great story about the Marines running the checkpoints that was then confirmed by the mainstream media.
[03:39:13.366 --> 03:39:14.248]  Thank you for the call, Mike.
[03:39:14.248 --> 03:39:15.129]  Let's talk to Todd in Texas.
[03:39:15.129 --> 03:39:16.030]  Todd, you're on the air.
[03:39:29.918 --> 03:39:34.963]  Hey Alex, I sent an email out to Mr. Gideon Rackman and he sent me a response.
[03:39:34.963 --> 03:39:36.605]  I'd like to read you what I got here.
[03:39:36.605 --> 03:39:38.827]  Now remember, everybody is inside your head.
[03:39:38.827 --> 03:39:40.929]  They don't know who Gideon Rackman is.
[03:39:40.929 --> 03:39:54.342]  Preface it, it's the Financial Times of London last Tuesday, and now for a world government headline, admitting it's tyrannical, saying that that's a good thing, that democracy's bad, and that the bankers are going to take over and set up a world government.
[03:39:54.858 --> 03:39:56.258]  Well, I wanted to hear how the email ended.
[03:40:24.474 --> 03:40:26.875]  His line got cuts.
[03:40:26.875 --> 03:40:29.095]  Call back in right now.
[03:40:29.095 --> 03:40:29.936]  Mike in Ohio.
[03:40:29.936 --> 03:40:31.496]  Leave a line open for him.
[03:40:31.496 --> 03:40:33.797]  Don't let that line fill up, John, okay?
[03:40:33.797 --> 03:40:35.197]  I want to hear the end of that email.
[03:40:35.197 --> 03:40:36.678]  I want to hear how he responded.
[03:40:36.678 --> 03:40:40.319]  Send your email to Aaron at InfoWars.com.
[03:40:40.319 --> 03:40:40.999]  That was interesting.
[03:40:40.999 --> 03:40:43.500]  I want to hear how that guy responded.
[03:40:43.500 --> 03:40:46.581]  Let's go ahead and talk to Todd in Texas.
[03:40:46.581 --> 03:40:49.582]  Todd, you're on the air.
[03:40:49.582 --> 03:40:50.742]  Or that was Todd.
[03:40:50.742 --> 03:40:51.923]  Charles in California.
[03:40:51.923 --> 03:40:52.703]  Go ahead, Charles.
[03:40:53.729 --> 03:40:55.310]  Hi, hi Alex.
[03:40:55.310 --> 03:40:59.572]  You're, uh, you're all tied in though, is the problem with your show, you know?
[03:40:59.572 --> 03:41:02.894]  Is that I think you're supporting terrorists right now with what you're doing.
[03:41:02.894 --> 03:41:08.356]  That's right, I have, uh, I have FEMA on video teaching police that the Founding Fathers are terrorists.
[03:41:08.356 --> 03:41:10.658]  No, I'm agreeing, we're all now terrorists.
[03:41:10.658 --> 03:41:15.520]  I mean, I think you're gonna cause us to lose the war on terror, though, you know, specifically.
[03:41:15.520 --> 03:41:23.224]  And I don't know if you're gonna, I think everybody's feet are gonna fall off from, you know, getting Ecolo Blue machines and not using the industrial waste, you know?
[03:41:25.123 --> 03:41:41.870]  Yeah, you gotta rig your industrial waste fluoride or without kind of... Yup, but um... I was wondering if you knew uh... basically how the whole uh... the vaccine and uh... the chips are all linked and uh... Obama also invested in uh... what's it called?
[03:41:41.870 --> 03:41:44.251]  AVI Biopharma?
[03:41:44.251 --> 03:41:51.415]  Which made uh... which made a vaccine cure for uh... avian flu or whatever?
[03:41:51.415 --> 03:41:52.195]  You know about that?
[03:41:54.451 --> 03:41:55.671]  Yeah, so that's good to know.
[03:41:55.671 --> 03:42:00.852]  Now that you've got the chips, supposedly the chips can tell if you have a virus.
[03:42:00.852 --> 03:42:07.814]  And, uh, you know, because if you're thinking about this stuff logically, it's hard to, you know, hard to imagine that they're going to chip people.
