[00:00.000 --> 00:02.000]  the media.
[3:17:45.880 --> 3:17:47.520]  a combination of both.
[3:17:47.520 --> 3:17:49.400]  This thing looks like a foundry.
[3:17:49.400 --> 3:17:52.600]  It literally pours down 60 plus floors and doesn't dissipate.
[3:17:52.600 --> 3:17:54.720]  Only molten metal would do that.
[3:17:54.720 --> 3:17:59.320]  And it's quite interesting, you know, I just woke up December and Ron Paul is one that
[3:17:59.320 --> 3:18:00.320]  woke me up.
[3:18:00.320 --> 3:18:07.040]  I feel very, very bad about what I've told other people a year ago, and I was a debunker
[3:18:07.040 --> 3:18:08.280]  in a manner of speaking.
[3:18:08.280 --> 3:18:10.520]  I could not believe my country could do this.
[3:18:10.520 --> 3:18:12.920]  Well, it's very difficult for the majority of us.
[3:18:12.920 --> 3:18:16.480]  I know when I first started to get into this about six months after the attacks, it was
[3:18:16.480 --> 3:18:21.360]  the last thing that I wanted to believe about my country, and that's why another one of
[3:18:21.360 --> 3:18:26.560]  those debunker arguments just doesn't hold water with me of, well, you know, these conspiratorial
[3:18:26.560 --> 3:18:31.120]  minds work in a fashion that they want the world to be this perfect place where our rulers
[3:18:31.120 --> 3:18:32.120]  control everything.
[3:18:32.120 --> 3:18:37.080]  No, man, I was way more comfortable thinking it was Muslims in a cave halfway across the
[3:18:37.080 --> 3:18:38.360]  world where we could bomb them.
[3:18:38.360 --> 3:18:43.840]  I am much more uncomfortable with elements within our own military industrial complex
[3:18:43.840 --> 3:18:46.880]  apparatus carrying out these attacks.
[3:18:46.880 --> 3:18:51.680]  And like you said, we just keep having more fuel to fire, I'm very happy to hear that
[3:18:51.680 --> 3:18:55.720]  you woke up in December because that tells me we can keep waking up more and more minds,
[3:18:55.720 --> 3:19:01.080]  and I just tell people, make copies of our films, hand them out, have movie night, talk
[3:19:01.080 --> 3:19:04.040]  to people like a human being, know your information.
[3:19:04.040 --> 3:19:09.240]  I mean, you're going to catch more flies with honey than any other way.
[3:19:09.240 --> 3:19:10.240]  Oh, definitely.
[3:19:10.240 --> 3:19:15.000]  And I'm very well connected also because I'm an armorer, and I deal with a lot of military
[3:19:15.000 --> 3:19:17.400]  and I deal with a lot of other people.
[3:19:17.400 --> 3:19:21.480]  And I'm also a veteran of the Navy and the Army and private military.
[3:19:21.480 --> 3:19:25.280]  Well, Mike, I thank you for waking up, thank you for the call.
[3:19:25.280 --> 3:19:26.280]  This is The Alex Jones Show.
[3:19:26.280 --> 3:19:28.440]  We're going to be taking your calls in the last 40 minutes.
[3:19:28.440 --> 3:19:31.960]  Remember, prisonplanet.tv, we got the video running.
[3:19:31.960 --> 3:19:48.080]  This is The Alex Jones Show, infowars.com.
[3:19:48.080 --> 3:19:49.080]  Warning!
[3:19:49.080 --> 3:19:54.280]  The EPA states indoor air pollution is the number one health problem today, causing 50%
[3:19:54.280 --> 3:19:55.520]  of all illnesses.
[3:19:55.520 --> 3:19:58.040]  Go to germfree33.com.
[3:19:58.040 --> 3:20:03.080]  This technology developed for NASA is now available to protect your family and health.
[3:20:03.080 --> 3:20:10.040]  Laboratory proven to eliminate 99.9% of deadly MRSA, black mold, E. coli, bird flu, and more
[3:20:10.040 --> 3:20:11.760]  from all surfaces.
[3:20:11.760 --> 3:20:13.760]  Germfree33.com.
[3:20:13.760 --> 3:20:17.720]  Remove pollen, mold, pet dander, dust mites, and more from the air.
[3:20:17.720 --> 3:20:19.720]  Germfree33.com.
[3:20:19.720 --> 3:20:21.720]  World's best air purifiers.
[3:20:21.720 --> 3:20:22.720]  Nothing else compares.
[3:20:22.720 --> 3:20:24.720]  Germfree33.com.
[3:20:24.720 --> 3:20:28.280]  No expensive filters to replace covers 3,000 square feet.
[3:20:28.280 --> 3:20:31.320]  See the proof at germfree33.com.
[3:20:31.320 --> 3:20:32.960]  Order from our secure website.
[3:20:32.960 --> 3:20:34.120]  Credit cards accepted.
[3:20:34.120 --> 3:20:37.720]  Order by phone 800-492-1073.
[3:20:37.720 --> 3:20:43.520]  Payment plans available 800-492-1073 germfree33.com.
[3:20:43.520 --> 3:20:46.400]  The world's best air purifiers.
[3:20:46.400 --> 3:20:49.240]  Terror Storm, a history of government sponsored terror.
[3:20:49.240 --> 3:20:50.720]  Loose change, final cut.
[3:20:50.720 --> 3:20:54.880]  Endgame, blueprint for global enslavement, the true story of the Bilderberg group, the
[3:20:54.880 --> 3:20:58.200]  late-rate USA, America, freedom to fascism.
[3:20:58.200 --> 3:21:03.640]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us
[3:21:03.640 --> 3:21:04.640]  and prisonplanet.com.
[3:21:04.640 --> 3:21:09.440]  When you visit prisonplanet.com, you can connect to our amazing online store, whether you're
[3:21:09.440 --> 3:21:13.480]  looking for survival and wellness products like Berkey water filters, or you would like
[3:21:13.480 --> 3:21:18.080]  a book on the history of the Federal Reserve, we've got the most well-researched and documented
[3:21:18.080 --> 3:21:21.240]  titles, all available at prisonplanet.com.
[3:21:21.240 --> 3:21:26.920]  Or if you'd like, you can give the Info War store a call at 888-253-3139.
[3:21:26.920 --> 3:21:33.200]  Or you can view more than a thousand titles in super high quality right now at prisonplanet.tv.
[3:21:33.200 --> 3:21:34.200]  Knowledge is power.
[3:21:34.200 --> 3:21:37.720]  And the information you need to effectively wake up your fellow man and fight the new
[3:21:37.720 --> 3:21:43.400]  world order is available right now at truthnews.us and prisonplanet.tv.
[3:21:43.400 --> 3:21:45.640]  Join the Info War today.
[3:21:45.640 --> 3:21:49.840]  In the average, Americans work between 45 to 50 years, hoping to build up enough wealth
[3:21:49.840 --> 3:21:52.320]  to retire and live out their golden years.
[3:21:52.320 --> 3:21:57.400]  Unfortunately, with taxation, the rising cost of food, energy, housing, and medical, many
[3:21:57.400 --> 3:22:00.440]  retirees are forced to live below the poverty line.
[3:22:00.440 --> 3:22:04.720]  Is this a flaw for enterprise, or is our monetary unit we call the Federal Reserve Note forcing
[3:22:04.720 --> 3:22:08.640]  us into perpetual debt, ensuring inflation and higher taxes?
[3:22:08.640 --> 3:22:12.400]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature
[3:22:12.400 --> 3:22:13.640]  from Jekyll Island.
[3:22:13.640 --> 3:22:17.800]  Congressman Ron Paul states, it's what every American needs to know about central bank
[3:22:17.800 --> 3:22:22.800]  power, a gripping adventure into the secret world of international banking cartel.
[3:22:22.800 --> 3:22:24.200]  Hi, this is Ted Anderson.
[3:22:24.200 --> 3:22:28.920]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[3:22:28.920 --> 3:22:33.760]  Call 1-800-686-2237 and order a copy today.
[3:22:33.760 --> 3:22:36.840]  It's critical that the public be made aware of the system.
[3:22:36.840 --> 3:22:41.640]  Call and order your copy today at 1-800-686-2237.
[3:22:41.640 --> 3:22:44.880]  It's 1-800-686-2237.
[3:22:44.880 --> 3:22:49.440]  Doctors around the world claim that cancer and other diseases cannot live in a pH balanced
[3:22:49.440 --> 3:22:50.800]  alkaline environment.
[3:22:50.800 --> 3:22:56.120]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[3:22:56.120 --> 3:23:00.560]  pH balance is the foundation of energy abundance and perfect health, as well as prevention
[3:23:00.560 --> 3:23:01.560]  of disease.
[3:23:01.560 --> 3:23:06.400]  People who alkalize the water they drink experience normalized blood sugar, mental clarity, and
[3:23:06.400 --> 3:23:07.400]  loss of weight.
[3:23:07.400 --> 3:23:12.040]  It was intended for human beings to drink alkaline water, but due to modern way of life, most
[3:23:12.040 --> 3:23:13.640]  people are overly acidic.
[3:23:13.640 --> 3:23:17.560]  The fact is that disease simply cannot exist in an alkaline environment.
[3:23:17.560 --> 3:23:21.840]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize
[3:23:21.840 --> 3:23:22.840]  it.
[3:23:22.840 --> 3:23:26.400]  Do your part, alkalize, and supercharge your body now.
[3:23:26.400 --> 3:23:31.040]  Alcovision plasma pH drops contain a special mineral salt concentrate that raises the pH
[3:23:31.040 --> 3:23:35.200]  of the water you drink up to the pH of 10 with only 10 drops.
[3:23:35.200 --> 3:23:41.520]  Consider your bottle of Alcovision Plasma pH drops now by going directly to alkavision.com.
[3:23:41.520 --> 3:24:07.320]  Again, that's alcovision.com.
[3:24:07.320 --> 3:24:08.320]  All right, folks.
[3:24:08.320 --> 3:24:09.520]  It's the Alex Jones Show.
[3:24:09.520 --> 3:24:13.840]  I am Jason Burma, subbing into the entire week as Alex takes on the Bilderbergers in
[3:24:13.840 --> 3:24:16.400]  Chantilly, Virginia.
[3:24:16.400 --> 3:24:22.360]  If you missed any of Alex's calling with Jim Tucker in the first hour, you can go to infowars.com.
[3:24:22.360 --> 3:24:26.440]  As soon as this broadcast is over, we replay it all day for free.
[3:24:26.440 --> 3:24:31.920]  There is a podcast, infowars.com, prismplanet.com.
[3:24:31.920 --> 3:24:35.960]  If you want to see the last hour video feed, you want to see my pretty little face on the
[3:24:35.960 --> 3:24:39.680]  radio, I guess, or my little shirt that I'm going to wear, I'll put this up there.
[3:24:39.680 --> 3:24:40.920]  Oh, investigate 9-11.
[3:24:40.920 --> 3:24:43.760]  You get that at my website, loosechange91.com.
[3:24:43.760 --> 3:24:46.000]  Become a PrismPlanet.tv subscriber.
[3:24:46.000 --> 3:24:49.880]  They have, I think, something like 40 to 50 documentaries on there now.
[3:24:49.880 --> 3:24:55.680]  All of Alex Jones's films, all of his big interviews on MP3, I mean, what you get with
[3:24:55.680 --> 3:25:00.600]  prismplanet.tv, which is about 15 cents a day, you're not going to get anywhere else.
[3:25:00.600 --> 3:25:02.240]  We really do need your support and help.
[3:25:02.240 --> 3:25:06.480]  That's why the Infowars Money Bomb is running until Friday, and we're going to be giving
[3:25:06.480 --> 3:25:08.320]  out the totals on that.
[3:25:08.320 --> 3:25:09.920]  We've made over $200,000.
[3:25:09.920 --> 3:25:14.040]  That's going to go towards a new office and a new television program, hopefully on Dish
[3:25:14.040 --> 3:25:15.040]  Network.
[3:25:15.040 --> 3:25:16.440]  We're really going to try to put it together, folks.
[3:25:16.440 --> 3:25:19.520]  It's not an easy task.
[3:25:19.520 --> 3:25:24.280]  I want to remind people I'm over at MySpace, MySpace.com, Jason Bermas, if you want to get
[3:25:24.280 --> 3:25:25.280]  at me.
[3:25:25.280 --> 3:25:26.360]  I do read my emails.
[3:25:26.360 --> 3:25:27.840]  I do check out my comments.
[3:25:27.840 --> 3:25:31.680]  I do not have an administrator running it, and I love to hear from you guys.
[3:25:31.680 --> 3:25:34.400]  So that being said, let's take some more callers.
[3:25:34.400 --> 3:25:36.400]  Let's go to Bob in Pennsylvania.
[3:25:36.400 --> 3:25:39.320]  Bob, are you with us?
[3:25:39.320 --> 3:25:40.320]  No, Bob?
[3:25:40.320 --> 3:25:41.320]  Yes, I'm here.
[3:25:41.320 --> 3:25:42.320]  Oh, how are you doing, Bob?
[3:25:42.320 --> 3:25:43.320]  Good.
[3:25:43.320 --> 3:25:50.280]  Jason, I wanted to ask you, whenever it happens, last year around this time, we were kind of
[3:25:50.280 --> 3:25:55.280]  told that there may be a theatrical release of Lose Change Final Cut.
[3:25:55.280 --> 3:25:58.880]  Is that still possibly on the table or whatever became that?
[3:25:58.880 --> 3:25:59.880]  Sure.
[3:25:59.880 --> 3:26:02.960]  I answered this question yesterday, but I'll answer it again today.
[3:26:02.960 --> 3:26:05.200]  Basically, we met with all these Hollywood types.
[3:26:05.200 --> 3:26:06.400]  We talked to people at Paramount.
[3:26:06.400 --> 3:26:07.800]  We talked to people at Lionsgate.
[3:26:07.800 --> 3:26:12.320]  The only people that were really interested in possibly putting this out was Mark Heuven's
[3:26:12.320 --> 3:26:15.320]  company, Magnolia, or 2929.
[3:26:15.320 --> 3:26:18.400]  We met with Charlie Sheen, who was all about the project.
[3:26:18.400 --> 3:26:23.080]  Unfortunately, when things were put onto paper, that paper said that we no longer owned the
[3:26:23.080 --> 3:26:28.560]  second edition, that we would have to get the second edition off the Internet in full,
[3:26:28.560 --> 3:26:33.440]  but there was no theatrical release guaranteed for the final cut that they would own both
[3:26:33.440 --> 3:26:34.440]  editions.
[3:26:34.440 --> 3:26:35.440]  They would try and scrub it.
[3:26:35.440 --> 3:26:36.440]  It's a very big possibility.
[3:26:36.440 --> 3:26:39.480]  I mean, if you look at the other pictures that they put out, they put out that film
[3:26:39.480 --> 3:26:43.000]  Redacted, which got some decent press, I guess.
[3:26:43.000 --> 3:26:47.200]  It was against the Iraq War, but it opened in eight theaters, and it was out for two
[3:26:47.200 --> 3:26:49.720]  weeks, and it wasn't seen by anybody.
[3:26:49.720 --> 3:26:53.960]  So we saw that, and we said, well, how are we going to take our movie off the Internet?
[3:26:53.960 --> 3:26:56.680]  That's what made us big, and this is a completely separate movie.
[3:26:56.680 --> 3:27:01.920]  Why should we sell the rights to our completely separate movie to these people?
[3:27:01.920 --> 3:27:04.320]  And basically, things degraded from there.
[3:27:04.320 --> 3:27:06.720]  It did show up in theaters in the UK.
[3:27:06.720 --> 3:27:12.360]  Picture House carried it for a while, but it's very hard to get that kind of distribution.
[3:27:12.360 --> 3:27:16.280]  And unfortunately, I don't see us being able to do that.
[3:27:16.280 --> 3:27:19.880]  I mean, it's always a possibility where I'm always talking to people behind the scenes,
[3:27:19.880 --> 3:27:22.520]  but when it comes down to it, it's tough.
[3:27:22.520 --> 3:27:27.240]  Do you know anything about the film The Reflecting Pool?
[3:27:27.240 --> 3:27:28.560]  I haven't watched it yet.
[3:27:28.560 --> 3:27:31.680]  I actually do have a copy of that back in New York.
[3:27:31.680 --> 3:27:33.080]  I didn't know that's been out yet.
[3:27:33.080 --> 3:27:35.640]  I thought it was a pending release.
[3:27:35.640 --> 3:27:36.640]  I don't know.
[3:27:36.640 --> 3:27:37.640]  I think so.
[3:27:37.640 --> 3:27:38.640]  I got it on DVD.
[3:27:38.640 --> 3:27:41.440]  I mean, I might have got a pre-screener copy from the filmmakers.
[3:27:41.440 --> 3:27:46.600]  They sent it to Dylan, but I think you can get that on DVD right now.
[3:27:46.600 --> 3:27:49.680]  I have not watched it, so I really can't give an opinion on it.
[3:27:49.680 --> 3:27:53.000]  Okay, well, thank you very much, and you're doing a great job.
[3:27:53.000 --> 3:27:54.000]  Well, thanks, Bob.
[3:27:54.000 --> 3:27:55.520]  I appreciate the support.
[3:27:55.520 --> 3:27:57.320]  Let's go to Graham in Seattle.
[3:27:57.320 --> 3:27:58.960]  Graham, are you with us?
[3:27:58.960 --> 3:28:01.520]  Okay, so then let's go to Darren.
[3:28:01.520 --> 3:28:02.520]  Darren, are you with us?
[3:28:02.520 --> 3:28:03.520]  Yes, I'm here.
[3:28:03.520 --> 3:28:04.520]  How are you, buddy?
[3:28:04.520 --> 3:28:05.520]  Good, man.
[3:28:05.520 --> 3:28:06.520]  How are you doing?
[3:28:06.520 --> 3:28:07.520]  All right.
[3:28:07.520 --> 3:28:10.640]  You know, I hear everybody talking about the World Trade Towers, and no one seems to
[3:28:10.640 --> 3:28:17.640]  even touch upon the fact that the engines, when they smashed into the Pentagon, they
[3:28:17.640 --> 3:28:24.120]  had to change 90 degrees, travel some feet, and then fit into a 40-foot hole.
[3:28:24.120 --> 3:28:28.360]  Now, what's the distance between the two engines?
[3:28:28.360 --> 3:28:31.000]  I'm not quite sure what the distance of the two engines are.
[3:28:31.000 --> 3:28:35.920]  I know you're talking about a plane with a wingspan of almost 120 feet in a hole that
[3:28:35.920 --> 3:28:37.200]  I wouldn't even say was 40 feet.
[3:28:37.200 --> 3:28:42.520]  I would say 16, 20 feet tops with visible damage, maybe 70 feet across.
[3:28:42.520 --> 3:28:46.520]  But in order for the wings to penetrate that visible damage, you would think there would
[3:28:46.520 --> 3:28:49.400]  be a hole there when, in fact, there isn't a hole.
[3:28:49.400 --> 3:28:53.040]  And I think the biggest problem with that for me is the fact that there's no damage
[3:28:53.040 --> 3:28:57.760]  from the tail section whatsoever, and this is a huge vertical stabilizer on the back
[3:28:57.760 --> 3:28:58.760]  of this plane.
[3:28:58.760 --> 3:29:03.040]  And it's not on the lawn, and there's no markings from where it would have hit, so what happened
[3:29:03.040 --> 3:29:04.040]  to it?
[3:29:04.040 --> 3:29:05.040]  Yeah, yeah.
[3:29:05.040 --> 3:29:10.320]  And the engines themselves, they're what, each of them are five tons?
[3:29:10.320 --> 3:29:12.720]  I believe they're over a ton of titanium.
[3:29:12.720 --> 3:29:15.920]  I don't think they're five tons each, but they're almost indestructible.
[3:29:15.920 --> 3:29:19.600]  We cover that in length in a loose change, second edition.
[3:29:19.600 --> 3:29:22.720]  Graham, hold over so I can keep you on the other side.
[3:29:22.720 --> 3:29:36.120]  This is the Alex Jones show, infowars.com and prismplanet.com.
[3:29:36.120 --> 3:29:39.920]  We're on the march, the empire's on the run.
[3:29:39.920 --> 3:29:46.920]  Alex Jones and the GCN Radio Network.
[3:30:34.440 --> 3:30:37.640]  Why does our government not allow this crop to grow in the U.S.?
[3:30:37.640 --> 3:30:40.080]  This product is also great for pets and animals.
[3:30:40.080 --> 3:30:45.800]  Call 908-6912608 or go to hempusa.org today.
[3:30:45.800 --> 3:30:50.280]  Now from the makers of Loose Change, the most downloaded film in Internet history comes
[3:30:50.280 --> 3:30:56.520]  the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely
[3:30:56.520 --> 3:30:59.000]  destroys the official fable forever.
[3:30:59.000 --> 3:31:03.280]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which
[3:31:03.280 --> 3:31:08.080]  family members receive answers to their questions and the true perpetrators of the horrendous
[3:31:08.080 --> 3:31:09.960]  crime are brought to justice.
[3:31:09.960 --> 3:31:13.480]  Loose Change Final Cut is the ultimate 9-11 expose.
[3:31:13.480 --> 3:31:17.920]  From hijackers being trained at U.S. military bases to bombs in the buildings, Loose Change
[3:31:17.920 --> 3:31:21.280]  Final Cut is the one 9-11 film everyone must see.
[3:31:21.280 --> 3:31:26.760]  Secure your copy of Loose Change Final Cut today at infowars.com or prismplanet.com.
[3:31:26.760 --> 3:31:30.680]  While you're visiting the online video store, be sure to check out the huge discounts on
[3:31:30.680 --> 3:31:35.760]  films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds
[3:31:35.760 --> 3:31:36.760]  of other titles.
[3:31:36.760 --> 3:31:39.480]  We're in a no-holds-bar information war.
[3:31:39.480 --> 3:31:44.120]  Truth is our weapon, and prismplanet.com has the tools you need to take the fight back
[3:31:44.120 --> 3:31:48.120]  to Big Brother.
[3:31:48.120 --> 3:31:52.440]  Once America was led by real politicians, now politicians in the U.S., city, county,
[3:31:52.440 --> 3:31:55.520]  state, and federal are owned and controlled by corporations.
[3:31:55.520 --> 3:31:58.400]  We have corporate representatives instead of politicians.
[3:31:58.400 --> 3:32:02.480]  And corporate manipulation has caused green prices to soar to the highest levels in history.
[3:32:02.480 --> 3:32:05.760]  Shortages of rice, corn, and wheat now exist in most countries.
[3:32:05.760 --> 3:32:08.960]  Natural disasters have put millions worldwide at risk of starvation.
[3:32:08.960 --> 3:32:12.880]  Food riots and bread lines occur daily in 30 nations, and not only is that list growing,
[3:32:12.880 --> 3:32:14.200]  but it's headed this way.
[3:32:14.200 --> 3:32:18.000]  Survival enterprises are massive distributors of the highest quality long-term storage foods.
[3:32:18.000 --> 3:32:21.920]  Mountain House freeze-dried foods, canned beef, chicken, turkey, butter, bacon, spices,
[3:32:21.920 --> 3:32:22.920]  cheese, fruit, and more.
[3:32:22.920 --> 3:32:24.840]  We have tons of food in stock now.
[3:32:24.840 --> 3:32:32.880]  Call 1-800-753-1981, that's 1-800-753-1981, or go to beforeitstoolate.us, that's before
[3:32:32.880 --> 3:32:37.240]  itstoolate.us, where you'll find what you'll need to keep you and your loved one secure.
[3:32:37.240 --> 3:32:41.240]  And remember, those without food will be servants of those with the food.
[3:32:41.240 --> 3:33:10.240]  Call now.
[3:33:11.240 --> 3:33:21.520]  Man, I love Metallica.
[3:33:21.520 --> 3:33:26.280]  Even when they're covering stuff, Garage Day is Inc. is one hell of an album, folks.
[3:33:26.280 --> 3:33:31.440]  We're talking to Darren, and we're talking Pentagon, and you know, we're talking about
[3:33:31.440 --> 3:33:36.000]  what hit the Pentagon, but I think it's really just as important as why was the Pentagon
[3:33:36.000 --> 3:33:37.000]  even hit.
[3:33:37.000 --> 3:33:39.960]  I mean, this is the most secure building in probably the world.
[3:33:39.960 --> 3:33:44.520]  This is the head of our military industrial complex right here, and I just posted over
[3:33:44.520 --> 3:33:51.800]  in my blog, LooseChange911.com, Norman Mineta's account of what happened in that PEOC, the
[3:33:51.800 --> 3:33:56.120]  Presidential Emergency Operating Center, which he wasn't even aware of until 9-11 when
[3:33:56.120 --> 3:33:57.760]  they took him down into it.
[3:33:57.760 --> 3:34:01.400]  And on five separate occasions, I have all five videos up there.
[3:34:01.400 --> 3:34:07.320]  He confirms that Cheney is in that bunker prior to 9-11 that somebody is coming to him
[3:34:07.320 --> 3:34:10.760]  saying, sir, the plane is 50 miles out, sir, the plane is 30 miles out, sir, the plane
[3:34:10.760 --> 3:34:14.000]  is 10 miles out, do the orders still stand?
[3:34:14.000 --> 3:34:15.800]  And he says, of course they still stand.
[3:34:15.800 --> 3:34:17.680]  Have you heard anything to the contrary?
[3:34:17.680 --> 3:34:20.640]  And they didn't even warn the people in that wing of the Pentagon.
[3:34:20.640 --> 3:34:21.640]  Sure.
[3:34:21.640 --> 3:34:26.320]  Most of them had been evacuated because it was where there was a bunch of work being
[3:34:26.320 --> 3:34:32.240]  done, but we still lost over 120 people in that building, and did those people deserve
[3:34:32.240 --> 3:34:33.240]  to die?
[3:34:33.240 --> 3:34:34.240]  No.
[3:34:34.240 --> 3:34:35.240]  They deserve to be warned.
[3:34:35.240 --> 3:34:37.160]  And then Cheney allowed this to happen.
[3:34:37.160 --> 3:34:41.520]  The 9-11 Commission whitewashed the entire situation by saying that Cheney wasn't in
[3:34:41.520 --> 3:34:45.000]  that bunker until almost 10 o'clock, well after the Pentagon strike.
[3:34:45.000 --> 3:34:46.480]  And then there's no more questions asked.
[3:34:46.480 --> 3:34:51.680]  It's okay, because Cheney and Bush testified together, not under oath in front of the 9-11
[3:34:51.680 --> 3:34:55.040]  Commission, with no record whatsoever of what they said.
[3:34:55.040 --> 3:35:02.320]  No transcript, no tape, no verbal confirmation, and no commissioners talking about what they
[3:35:02.320 --> 3:35:03.320]  actually said.
[3:35:03.320 --> 3:35:06.320]  Do you have any other points on the Pentagon, Darren?
[3:35:06.320 --> 3:35:07.320]  Well, no.
[3:35:07.320 --> 3:35:13.000]  I was just talking about the engines and the instantaneous acceleration that those engines
[3:35:13.000 --> 3:35:18.560]  had to go through to change direction and squeeze into that tight, neat little hole
[3:35:18.560 --> 3:35:23.520]  that they called an airliner, which is an absolute ridiculous assumption.
[3:35:23.520 --> 3:35:26.400]  Well, I'm with you, and I thank you for the call.
[3:35:26.400 --> 3:35:27.400]  I'm great to say.
[3:35:27.400 --> 3:35:28.400]  All right.
[3:35:28.400 --> 3:35:29.400]  Yep.
[3:35:29.400 --> 3:35:30.400]  Let's keep shooting through these callers.
[3:35:30.400 --> 3:35:31.400]  Let's go to Craig in New Jersey.
[3:35:31.400 --> 3:35:32.400]  Craig, are you with me?
[3:35:32.400 --> 3:35:33.400]  No, I'm with somebody.
[3:35:33.400 --> 3:35:36.360]  You know, I did a few years in the Navy, and here's the thing that bothers me the most
[3:35:36.360 --> 3:35:37.760]  about 9-11.
[3:35:37.760 --> 3:35:40.400]  No one's head rolled.
[3:35:40.400 --> 3:35:41.760]  That's number one.
[3:35:41.760 --> 3:35:47.160]  And number two, are they really trying to insult our intelligence by telling us that
[3:35:47.160 --> 3:35:53.680]  not a single jet fighter in the area could have been dispatched with the exception from
[3:35:53.680 --> 3:35:54.680]  Boston?
[3:35:54.680 --> 3:35:56.200]  Dude, let me tell you something.
[3:35:56.200 --> 3:36:06.120]  OCEAN and Naval Air Station in Norfolk, Virginia, for example, in 2001 was the air station fighter
[3:36:06.120 --> 3:36:07.120]  wing on the East Coast.
[3:36:07.120 --> 3:36:12.480]  So you're trying to tell me they couldn't find one at 14 Tomcat, which could have been
[3:36:12.480 --> 3:36:16.320]  basically armed and ready to roll in 10 minutes.
[3:36:16.320 --> 3:36:19.000]  I mean, it's things like that that really bothers me.
[3:36:19.000 --> 3:36:23.520]  Well, what really bothers me is the fact that we also have these simultaneous drills going
[3:36:23.520 --> 3:36:28.360]  on so that fighter jets are put halfway across the country in the wrong direction, and then
[3:36:28.360 --> 3:36:29.880]  some of them aren't even armed.
[3:36:29.880 --> 3:36:30.880]  Well, exactly.
[3:36:30.880 --> 3:36:32.120]  I mean, look for this way, too.
[3:36:32.120 --> 3:36:34.880]  You have Naval Air Station World Grove in Pennsylvania.
[3:36:34.880 --> 3:36:39.760]  You could have dispatched a dog on A-10 Warthog that flies like 300 miles an hour to intercept
[3:36:39.760 --> 3:36:41.960]  that jet for crying out loud.
[3:36:41.960 --> 3:36:46.200]  Well, with you being in the military, I'd be interested to get your take on the other
[3:36:46.200 --> 3:36:49.280]  white plane that was in New York City on the morning of 9-11.
[3:36:49.280 --> 3:36:54.400]  Now, a lot of people know about the white E-4B that was present on the scene of the Pentagon
[3:36:54.400 --> 3:36:56.520]  Strike, and that was part of the Global Guardian drill.
[3:36:56.520 --> 3:36:57.720]  They had five of those in the air.
[3:36:57.720 --> 3:36:58.720]  Oh, yeah, the Doomsday plane.
[3:36:58.720 --> 3:37:00.360]  Yeah, the Doomsday plane, sure.
[3:37:00.360 --> 3:37:05.880]  But if you look at the videos, you've got to type in World Trade Center, first plane,
[3:37:05.880 --> 3:37:08.040]  and then a camera planted or something like that.
[3:37:08.040 --> 3:37:12.440]  You can actually see before the second plane strikes that there is another white plane
[3:37:12.440 --> 3:37:17.000]  in restricted airspace prior to the second strike happening, and this looks a little different
[3:37:17.000 --> 3:37:18.000]  from an E-4B.
[3:37:18.000 --> 3:37:25.680]  It has a white body, it has two blue wings and a blue marking on the tail section, and
[3:37:25.680 --> 3:37:28.400]  this plane is also on the scene of the second crash.
[3:37:28.400 --> 3:37:32.560]  And then it flies away, but according to the official version, there's no military planes
[3:37:32.560 --> 3:37:33.560]  in the air that day.
[3:37:33.560 --> 3:37:36.040]  Well, that's just a lot of hooey.
[3:37:36.040 --> 3:37:42.640]  And besides that, my friend, there's also redundancy built into the combat readiness
[3:37:42.640 --> 3:37:43.640]  of the East Coast.
[3:37:43.640 --> 3:37:46.600]  If the Pentagon gets knocked out, which it was, guess what?
[3:37:46.600 --> 3:37:53.440]  You have the backup at the fleet headquarters in Norfolk, Virginia, which basically replicates
[3:37:53.440 --> 3:37:56.120]  the Naval Command Center that's in the Pentagon.
[3:37:56.120 --> 3:37:57.960]  So there's redundancy built into there.
[3:37:57.960 --> 3:38:01.680]  And meanwhile, they're running these drills at a Cheyenne mountain, and I've got the audio
[3:38:01.680 --> 3:38:03.920]  tapes of NORAD by them.
[3:38:03.920 --> 3:38:10.560]  Yeah, after Flight 93 has went down, they're calling up Cheyenne Mountain and saying, hey,
[3:38:10.560 --> 3:38:11.560]  stop the inputs.
[3:38:11.560 --> 3:38:13.680]  We can't tell what the real attacks are.
[3:38:13.680 --> 3:38:14.920]  Yeah, exactly.
[3:38:14.920 --> 3:38:18.760]  And finally, my friend, let's put it this way, if they're trying to tell us what the
[3:38:18.760 --> 3:38:23.000]  best picture they could get on the Pentagon or something hitting it was that pinhole
[3:38:23.000 --> 3:38:24.000]  camera.
[3:38:24.000 --> 3:38:25.640]  I don't know if you've ever been to the Pentagon.
[3:38:25.640 --> 3:38:29.640]  You can't step on the ground without a camera taking your picture.
[3:38:29.640 --> 3:38:32.560]  You can't scratch your nose without somebody seeing it.
[3:38:32.560 --> 3:38:33.560]  They got thermal.
