[00:00:03.107 --> 00:00:04.067]  Altercation in St.
[03:18:41.175 --> 03:18:45.977]  And that's why you need to continue to wear a mask, even if you took the vaccine.
[03:18:45.977 --> 03:18:51.319]  But apparently Joe and Jill Biden don't when they're visiting 93-year-old and 96-year-old people inside.
[03:18:55.709 --> 03:19:02.132]  Meanwhile, swimming pool tells swimmers to exhale underwater, not look at or talk to others.
[03:19:02.132 --> 03:19:21.361]  And we saw several examples of this back during the first lockdown around a year ago, where not only were people told, you know, told to keep their social distance, were told to mask up, but they were even told and they literally had signs funded by local government councils in the UK telling people
[03:19:22.097 --> 03:19:28.120]  Not to look at others and not to talk to others as they pass them by in the street.
[03:19:28.120 --> 03:19:40.586]  Well now a lengthy set of COVID-19 rules mandated by the operators of a swimming pool in London include asking swimmers to exhale underwater as well as not to look at or talk to others.
[03:19:40.586 --> 03:19:49.470]  This was tweeted in response to a tweet by the rapper Zoobie by an individual who said seen at the pool this morning.
[03:19:50.865 --> 03:19:57.631]  And this list of rules tells people, quote, when you need to rest, look away from other swimmers and maintain social distancing.
[03:19:57.631 --> 03:20:00.994]  When swimming, exhale underwater when you can.
[03:20:00.994 --> 03:20:07.539]  They even ban backstrokes and other strokes where social distancing cannot be maintained.
[03:20:07.539 --> 03:20:09.541]  They're told to avoid talking to each other.
[03:20:09.541 --> 03:20:12.483]  And they're told to not look at each other.
[03:20:12.483 --> 03:20:19.089]  And we've literally had, there you see one example, no handshaking, high-fiving or extended eye contact.
[03:20:19.702 --> 03:20:21.683]  Not allowed to have eye contact with anyone.
[03:20:21.683 --> 03:20:26.684]  Apparently eye contact also spreads the virus.
[03:20:26.684 --> 03:20:36.567]  Swimmers in Spain were hit with a similar draconian mandate after the government passed legislation mandating face masks not just on the beach but while swimming in the sea.
[03:20:36.567 --> 03:20:41.528]  A bizarre video that emerged earlier this month also showed a man wearing a face mask.
[03:20:41.528 --> 03:20:44.329]  Yes, while swimming underwater.
[03:20:44.329 --> 03:20:47.710]  This is the level of social engineering and brainwashing
[03:20:49.218 --> 03:20:58.806]  To the extent, as I mentioned before, that the average American believes the virus has killed 225 times more people than it actually has.
[03:20:58.806 --> 03:21:10.555]  And you wonder why people with looks of terror in their faces will literally jump out of your way, leap out of your way, if you come within 10 feet of them on the street.
[03:21:10.555 --> 03:21:16.680]  Meanwhile, the Telegraph reports, and this is in the context of the UK apparently opening up on June 21st,
[03:21:18.573 --> 03:21:32.682]  The government has bestowed upon us the gracious privilege of being able to sit outside a pub in the freezing cold with up to six other people and have a pint of beer.
[03:21:32.682 --> 03:21:39.686]  Even as the weather is terrible, literally we've got hailstones, we've got weather more akin to the beginning of the winter season,
[03:21:40.606 --> 03:21:53.791]  And yet, as I mentioned last week, we have these people, many of them Conservatives, posting selfies on Instagram, on Twitter, celebrating the fact that the government has allowed them to have a drink outside while they're freezing their balls off.
[03:21:54.460 --> 03:22:02.103]  with a few of their friends and saying, thank you, oh my god, we're so, so grateful for this freedom that you've bestowed on us.
[03:22:02.103 --> 03:22:11.888]  No, that's not a freedom that the government bestows on you, that's basic right to mobility, basic right to assemble.
[03:22:11.888 --> 03:22:21.512]  So by taking those selfies and acting like it's this grand gesture, you're only playing into their narrative that they have the power to impose on you
[03:22:22.429 --> 03:22:29.254]  The ability, the permission to perform basic human activities, but only with their say-so.
[03:22:29.254 --> 03:22:34.558]  So stop taking pub selfies and celebrating it like it's some momentous occasion.
[03:22:34.558 --> 03:22:35.398]  It isn't.
[03:22:35.398 --> 03:22:37.860]  It's playing into their narrative.
[03:22:37.860 --> 03:22:39.601]  Vaccinated but won't go out.
[03:22:39.601 --> 03:22:42.663]  The rise of COVID anxiety syndrome.
[03:22:42.663 --> 03:22:51.970]  And this is an entire article about how health professionals have diagnosed the new symptom, which undoubtedly will be added to the new DSM manual,
[03:22:52.771 --> 03:23:11.923]  Covid anxiety syndrome, where people have been so terrified, so cowed into submission, so gelded, that even if the government says, bestows upon them this great privilege that they're allowed to go out and meet their neighbours, meet their friends, they just can't do it.
[03:23:11.923 --> 03:23:14.444]  They're cowering in fear.
[03:23:14.444 --> 03:23:21.929]  And even as the lockdown is tangentially being eased in the United Kingdom, there are numerous cases cited in this article
[03:23:22.532 --> 03:23:25.454]  With people saying they're just not ready.
[03:23:25.454 --> 03:23:30.858]  They worry, they're concerned, they're having panic attacks about being around large groups of people.
[03:23:30.858 --> 03:23:34.080]  Maybe people not wearing masks.
[03:23:34.080 --> 03:23:42.527]  Basically, an entire population has been traumatised by this nonsense and it's not going to end any time soon.
[03:23:42.527 --> 03:23:43.727]  Summit.News will be back.
[03:23:43.727 --> 03:23:44.248]  No, go away.
[03:23:47.961 --> 03:24:01.833]  You know, listeners call into the show and they thank me, and it makes me feel pathetic, because I sit there and I beg you for support, constantly, for prayer, for financial support, and for word of mouth, and we're all in this together.
[03:24:01.833 --> 03:24:07.177]  And it gets old having to come to you and say, hey, I got great products, please buy them or we won't be here on air.
[03:24:07.177 --> 03:24:07.858]  But it's true.
[03:24:07.858 --> 03:24:11.261]  We're the only media organization in the United States that promotes liberty at this level.
[03:24:12.021 --> 03:24:14.505]  That is not beholden to the big corporate sponsors.
[03:24:14.505 --> 03:24:16.567]  And they've harassed and almost shut down everybody else.
[03:24:16.567 --> 03:24:18.329]  They've crippled all the other groups.
[03:24:18.329 --> 03:24:19.190]  And we're still here.
[03:24:19.190 --> 03:24:23.616]  And as this whole New World Order comes out in the open, our credibility is going up.
[03:24:23.616 --> 03:24:25.258]  That's why we've got to be taken off air.
[03:24:25.258 --> 03:24:27.381]  That's why America has got to be taken down.
[03:24:27.381 --> 03:24:29.123]  You can't have all these other nations enslaved.
[03:24:29.623 --> 03:24:32.404]  Fourteen months ago, I began to stay on the broadcast every day.
[03:24:32.404 --> 03:24:34.044]  When the first world collapses, the third world dies.
[03:24:55.217 --> 03:25:07.085]  We have such a complex civilization with so many billions of moving parts that when you shut down the first world, it causes a chain reaction that will devastate the third world and really hurt the first world.
[03:25:07.085 --> 03:25:10.067]  Well, now you're hearing about gas shortages all over the United States.
[03:25:10.667 --> 03:25:17.333]  That's because the companies and the systems and the drivers that could barely get the job done before delivering gas have been shut down.
[03:25:17.333 --> 03:25:20.496]  Plus, the Keystone Pipeline's been shut down, along with other pipelines.
[03:25:20.496 --> 03:25:23.959]  The left is now blowing up dams across the U.S.
[03:25:23.959 --> 03:25:24.840]  We're being shut down.
[03:25:24.840 --> 03:25:27.162]  Our coal power plants are off as well.
[03:25:27.162 --> 03:25:29.604]  Ladies and gentlemen, prepare to be a total slave.
[03:25:30.124 --> 03:25:31.505]  The third world is imploding as well.
[03:25:31.505 --> 03:25:32.745]  The borders have been removed.
[03:25:32.745 --> 03:25:37.627]  Until you wake up and this is a globalist shycom takeover, Gregory said, you have no hope.
[03:25:37.627 --> 03:25:42.690]  They're announcing that there will be less than two-thirds the gas needed this summer.
[03:25:42.690 --> 03:25:46.932]  So they told you that you're under lockdown one way or another and CNN laughed at you and your family.
[03:25:49.701 --> 03:25:52.283]  A trillion percent believe what I'm saying.
[03:25:52.283 --> 03:25:53.964]  Hell, everybody knows that.
[03:25:53.964 --> 03:25:55.245]  I'll just tell you what I'm really thinking.
[03:25:55.245 --> 03:25:57.626]  People say, well, Jones, why the hell did you just say that on air?
[03:25:57.626 --> 03:25:58.667]  That's embarrassing.
[03:25:58.667 --> 03:26:02.089]  Well, I'm not going to stop with only the good stuff about me.
[03:26:02.089 --> 03:26:03.630]  But I'll tell you this right now.
[03:26:03.630 --> 03:26:06.132]  You're nuts if you don't get storable food.
[03:26:06.132 --> 03:26:11.135]  And I've got the biggest, best sponsor with the highest quality food at the lowest price you're going to find.
[03:26:11.135 --> 03:26:15.558]  Can you spend triple or four times it and get like gourmet stuff that tastes even better?
[03:26:15.558 --> 03:26:15.638]  Yeah.
[03:26:16.545 --> 03:26:17.987]  Most of this stuff tastes amazing.
[03:26:17.987 --> 03:26:18.929]  Some of it tastes okay.
[03:26:18.929 --> 03:26:22.674]  The point is it's high quality, it's nutritious, and it lasts a long time.
[03:26:22.674 --> 03:26:25.218]  And compared to other competitors, they can't even get close.
[03:26:26.118 --> 03:26:36.526]  We've got three-month, six-month gear supplies right now, and I twisted their arm so hard to give you 10% off again, because you're so conditionally buying our Super Sale.
[03:26:36.526 --> 03:26:38.428]  We're doing it one more time.
[03:26:38.428 --> 03:26:40.650]  Infowarrestore.com.
[03:26:40.650 --> 03:26:42.771]  Infowarrestore.com.
[03:26:42.771 --> 03:26:46.174]  10% off the entire catalog of my favorite supply.
[03:26:46.174 --> 03:26:47.215]  Get ready while you still can.
[03:26:50.189 --> 03:26:55.173]  One of the most popular memes on the internet in the last decade has been, Alex Jones was right.
[03:26:55.173 --> 03:27:04.059]  But it now routinely trends number one on platforms like Twitter and Facebook, making the globalists pull their hair out in anger.
[03:27:04.059 --> 03:27:06.401]  But let me tell you, we are tomorrow's news today.
[03:27:06.401 --> 03:27:07.502]  And thanks for your support.
[03:27:07.502 --> 03:27:11.065]  We're still on air at InfoWars.com and Bandai Video, radio stations and TV stations.
[03:27:11.525 --> 03:27:12.185]  We're good to go.
[03:27:31.972 --> 03:27:33.313]  You're listening to the Alex Jones Show!
[03:28:02.092 --> 03:28:11.696]  You're listening to the Summit.News Radio Hour with Paul Joseph Watson.
[03:28:11.696 --> 03:28:19.099]  So, top epidemiologists have questioned over the past few months why the flu virus has completely disappeared.
[03:28:19.099 --> 03:28:22.260]  Of course, I've talked about this many times before.
[03:28:22.260 --> 03:28:28.563]  There was a Freedom of Information Act request sent to the UK government here in the United Kingdom
[03:28:29.238 --> 03:28:45.087]  Where somebody asked how many COVID deaths were as a result of COVID alone on the birth certificate with no other comorbidities and what percentage of the total COVID death toll that they're telling the public that that represented.
[03:28:45.087 --> 03:28:55.512]  And the government came back and answered because they have to answer by the law, they have to answer every Freedom of Information Act request and that is highly classified information.
[03:28:55.512 --> 03:28:56.433]  The answer came back
[03:28:57.549 --> 03:29:05.694]  The total amount of COVID only, with only COVID on the death certificate, was 10% of the total amount of COVID deaths.
[03:29:05.694 --> 03:29:16.561]  So literally 10 times fewer people have died from COVID than we're being told, if you account for the fact that COVID is the only cause of death.
[03:29:16.561 --> 03:29:21.484]  And of course, in many of those cases, the victims were elderly people.
[03:29:22.105 --> 03:29:30.792]  The CDC itself admits that the chance of surviving COVID for people under the age of 40 is 99.8%.
[03:29:30.792 --> 03:29:37.138]  And yet we still have Americans saying that everybody, even after being vaccinated with this miracle cure,
[03:29:39.516 --> 03:29:42.317]  15% of them say we probably should have to wear masks forever.
[03:29:42.317 --> 03:29:57.260]  That is the level, that is the intensity of the brainwashing that is what produces those polls which find that they literally think 225 times more people have died from this virus than is actually the case.
[03:29:57.260 --> 03:30:01.501]  So the flu has disappeared but don't you worry the flu is coming back.
[03:30:01.501 --> 03:30:05.002]  It's coming back with a vengeance this coming winter
[03:30:05.689 --> 03:30:14.195]  And when it does, they're going to reimpose these lockdown measures once again, or at least they're going to attempt to, unless there is massive resistance.
[03:30:14.195 --> 03:30:26.825]  They're in creating the precedent that when they give us these few months off of glorious freedom, from May to the end of August, that that's government bestowing upon us that gracious privilege.
[03:30:26.825 --> 03:30:29.467]  No, that's just normal everyday behaviour.
[03:30:31.132 --> 03:30:32.713]  That's the old normal.
[03:30:32.713 --> 03:30:40.719]  The new normal is the government saying, oh, we allowed you to go to the pub for three months if you sign in and give all your details to a government database.
[03:30:40.719 --> 03:30:42.180]  You should be happy with that.
[03:30:42.180 --> 03:30:44.482]  Now get back in the house!
[03:30:44.482 --> 03:30:50.667]  And this is the context of what a lecturer warned about today in a video clip that was posted to Twitter.
[03:30:50.667 --> 03:30:51.888]  We're going to play it here in a moment.
[03:30:53.743 --> 03:31:00.686]  Headline is Lecturer warns lockdown restrictions will return whenever there's a harsh flu season.
[03:31:00.686 --> 03:31:02.546]  Many others have warned about this before.
[03:31:02.546 --> 03:31:03.607]  The flu has disappeared.
[03:31:03.607 --> 03:31:07.728]  It's going to come back and they're going to lock down once again.
[03:31:07.728 --> 03:31:20.433]  This is Lecturer Dr David Thunder, PhD, who warns that governments have now set the precedent for draconian lockdown measures to be reintroduced at the drop of a hat every time there's a harsh flu season.
[03:31:20.433 --> 03:31:20.693]  We had
[03:31:21.781 --> 03:31:34.130]  By the way, a flu season back in 2017-2018, that if that was counted as COVID now, the media would have freaked out about it and we would have had the lockdown measures then.
[03:31:34.130 --> 03:31:45.559]  But because it happened before COVID, because it happened before they knew that they could voice this oppression upon the population and that they would go along with it, they would comply with it without question,
[03:31:46.488 --> 03:31:48.449]  We had a bad flu season back then.
[03:31:48.449 --> 03:31:57.992]  We didn't have any of the measures that we had after COVID-19, but rest assured that will be happening this winter if enough people don't say no.
[03:31:57.992 --> 03:32:01.073]  And to be honest, enough people are not saying no.
[03:32:01.073 --> 03:32:02.874]  They're just saying, I'll mask up.
[03:32:02.874 --> 03:32:04.414]  I'll do anything you say.
[03:32:04.414 --> 03:32:08.216]  Just let me go to the pub with my friends for a few months over the summer.
[03:32:08.216 --> 03:32:12.277]  Here's Dr. David Thunder, PhD, warning about the true agenda.
[03:32:13.214 --> 03:32:21.297]  The true benchmark, the true precedent that's being set by this mass compliance exercise that we've seen over the past year.
[03:32:21.297 --> 03:32:23.978]  Here's the clip.
[03:32:23.978 --> 03:32:42.186]  As we leave the winter season behind and Covid-19 recedes across the Northern Hemisphere due to seasonal variation, naturally acquired immunity and possibly also the vaccination of vulnerable populations, governments will attempt to take credit for the lull in Covid infections and hospitalisations.
[03:32:43.482 --> 03:32:52.906]  They will claim that we are only able to open up and return to some semblance of normality because of their draconian restrictions on social life.
[03:32:52.906 --> 03:33:02.929]  They will suggest that our enjoyment of normal life is due to their wise stewardship of the pandemic and their graciousness in relaxing restrictions.
[03:33:02.929 --> 03:33:11.773]  They will conveniently ignore the fact that similar patterns of remission in disease levels occur in regions like Sweden, Florida and Texas,
[03:33:12.529 --> 03:33:21.574]  that have not been in lockdown for months, many citizens will take whatever breadcrumbs of normality fall from the table of their captors.
[03:33:21.574 --> 03:33:32.820]  Many will hope we can put this nightmare behind us and get back to a normal life if we just toe the line and diligently comply with government instructions.
[03:33:32.820 --> 03:33:41.364]  But make no mistake about it, this nightmare will not be over until citizens push back and say enough is enough.
[03:33:42.594 --> 03:33:53.298]  Governments are now armed with a powerful excuse to suspend citizens' civil liberties whenever there is a winter resurgence in respiratory viruses.
[03:33:53.298 --> 03:34:07.644]  A harsh flu season will be enough to set in motion the wheels of tyranny, threatening people's jobs, businesses, mental and physical health, freedom of movement and freedom of association.
[03:34:07.644 --> 03:34:09.845]  The future of democracy is in our hands.
[03:34:10.942 --> 03:34:31.862]  The only way governments will be brought into line is if we peacefully but firmly show them that we do not recognise their right to pressure us to take a vaccine many of us do not need, instruct us how many guests we may have over for tea, or tell us how far and for what purposes we may leave our homes.
[03:34:31.862 --> 03:34:34.285]  This is not over until we say it is.
[03:34:39.269 --> 03:34:46.583]  That is Dr David Thunder, PhD, warning that they have created the precedent, the benchmark for this all to be reintroduced.
[03:34:47.407 --> 03:34:53.132]  In the winter months, once we have yet another flu season, that's exactly what's going to happen.
[03:34:53.132 --> 03:35:07.504]  That's exactly what happened last year, where we were told, even during the summer phase, where the virus was supposedly on its last legs, that the government had already planned before there was an increase in cases, to lock down once again in October.
[03:35:07.504 --> 03:35:13.890]  We were told that months in advance when we were still in summer, and that's exactly what's going to happen once again.
[03:35:14.924 --> 03:35:17.045]  Meanwhile, where did the virus come from?
[03:35:17.045 --> 03:35:36.771]  Well, you're not going to find out where the virus came from if you listen to the WHO, which, as we've talked about before, sent a team of investigators to the Wuhan lab in China to conduct a thorough, exhaustive investigation and ask the question, did the COVID-19 virus leak from that Wuhan lab?
[03:35:37.600 --> 03:35:40.441]  They sent people in for a time limit of three hours.
[03:35:40.441 --> 03:35:42.761]  They were literally there for three hours.
[03:35:42.761 --> 03:35:55.043]  The scope of their thorough, exhaustive investigation was to ask the Chinese scientists, linked with the Communist Party, if the virus was leaked from the Wuhan lab.
[03:35:55.043 --> 03:35:57.724]  And the scientists said, no!
[03:35:57.724 --> 03:35:58.804]  And that was it.
[03:35:58.804 --> 03:36:00.564]  Investigation over.
[03:36:00.564 --> 03:36:01.184]  They left.
[03:36:01.184 --> 03:36:03.085]  They announced the results of the investigation.
[03:36:03.085 --> 03:36:04.425]  That's literally what happened.
[03:36:05.740 --> 03:36:13.662]  Well now Zero Hedge reports evidence reveals that military team collaborated with lab where COVID-19 pandemic originated.
[03:36:13.662 --> 03:36:20.083]  The Chinese regime has said its controversial Virology Institute had no relationship with the military.
[03:36:20.083 --> 03:36:26.284]  Despite the fact that literally every facility of this kind as we know in China is linked with the military.
[03:36:26.284 --> 03:36:34.006]  There's nothing of any importance or significance whatsoever in China that isn't linked with the communist government or the military.
[03:36:34.665 --> 03:36:41.150]  But the Institute worked with military leaders on a government-sponsored project for almost a decade.
[03:36:41.150 --> 03:36:41.910]  Oh!
[03:36:41.910 --> 03:36:49.516]  But the WHO didn't discover this when they were there for three hours, when they had their little chat with the scientists in the lab.
[03:36:49.516 --> 03:36:51.557]  What a surprise!
[03:36:51.557 --> 03:37:02.165]  The Wuhan Institute of Virology participated in a project sponsored by the National Natural Science Foundation of China, a regime-funded scientific research institution, from 2012 to 2018.
[03:37:05.126 --> 03:37:22.450]  The project was comprised of a team of five military and civil experts who conducted research at WIV labs, military labs and other civil labs, leading to, quote, the discovery of animal pathogens, biological agents that cause disease in wild animals.
[03:37:22.450 --> 03:37:29.412]  Those bats, of course, that we're told were responsible for the virus, weren't even in Wuhan, they were 200 miles away.
[03:37:30.945 --> 03:37:37.735]  The exact horseshoe bat that was responsible was not sold in the wet market in Wuhan.
[03:37:37.735 --> 03:37:44.664]  It was present in the virology lab in Wuhan, but of course, as we know, that's just a coincidence.
[03:37:44.664 --> 03:37:46.006]  Summit.News, we'll be back.
[03:37:46.006 --> 03:37:46.427]  Now go away.
[03:37:47.857 --> 03:37:53.418]  It's time to show them what a real alpha male looks like with one of our most powerful products ever made.
[03:37:53.418 --> 03:37:54.478]  Alpha Power.
[03:37:54.478 --> 03:37:57.919]  As you age, your body can lose testosterone over time.
[03:37:57.919 --> 03:38:06.840]  With the incredible ingredients in this formula, we can help you beat the test of time and assist in restoring that lost energy and mood that comes with time and age.
[03:38:06.840 --> 03:38:14.962]  Alpha Power's incredible ingredients can help you boost your sports performance or enhance your day-to-day life with ease while encouraging hormonal balance.
[03:38:15.602 --> 03:38:21.025]  Perfect by itself or with super male vitality in the True Alpha Male Pack.
[03:38:21.025 --> 03:38:28.268]  Alpha Power can help boost performance, help maintain normal testosterone levels, support healthy cholesterol and more.
[03:38:28.268 --> 03:38:31.930]  Let Alpha Power help bring you to the peak of your optimal health.
[03:38:31.930 --> 03:38:34.971]  Don't fall short on energy in the fight against tyranny.
[03:38:34.971 --> 03:38:39.033]  Show the world what a True Alpha Male looks like today with Alpha Power.
[03:38:39.033 --> 03:38:41.534]  Head to infowarsstore.com today.
[03:38:47.475 --> 03:38:49.036]  Gerald in South Carolina.
[03:38:49.036 --> 03:38:49.816]  Go ahead, you're on the air.
[03:38:49.816 --> 03:38:50.556]  Trying to move quicker.
[03:38:50.556 --> 03:38:51.377]  Hey, Alex.
[03:38:51.377 --> 03:38:51.817]  Welcome.
[03:38:51.817 --> 03:38:56.959]  Would like to say, first off, thanks for being the voice of reason in amongst all this stupidity.
[03:38:56.959 --> 03:39:00.340]  Wanted to warn people, I've been trying to get a hold of you for a year, okay?
[03:39:00.340 --> 03:39:06.803]  I'm a double amputee, and I have bacteria infection on my lung that'll never go away.
[03:39:06.803 --> 03:39:08.464]  Living Defense saved my life.
[03:39:08.464 --> 03:39:12.625]  They had me on antibiotics for two years that almost killed me.
[03:39:12.625 --> 03:39:14.066]  Living Defense brought me back.
[03:39:14.346 --> 03:39:19.870]  I wanted to just quote from the Bible Jesus is saying as to where we are right now.
[03:39:19.870 --> 03:39:22.292]  This is Matthew 24 verse 9.
[03:39:22.292 --> 03:39:31.578]  Then they shall deliver you up to be afflicted and shall kill you and ye shall be hated of all nations for my name's sake.
[03:39:31.578 --> 03:39:37.022]  And then shall many be offended and shall betray one another and shall hate one another.
[03:39:37.022 --> 03:39:38.543]  That's right where we're at brother.
[03:39:38.743 --> 03:39:48.776]  And that's because God's name is on the founding of this country no matter what they say, and that's why the enemy hates it, because God created this country.
[03:39:48.776 --> 03:39:55.745]  The scientific dictatorship that I've been warning you about for 27 years has now gone from beta testing to operational.
[03:39:56.289 --> 03:40:01.813]  The globalists are out in the open with their planetary depopulation takeover, their robot takeover.
[03:40:01.813 --> 03:40:09.680]  But the good news is, we've been working, and you've been working, and others have been working across the planet for decades to get ready for this, to be able to fight it off.
[03:40:09.680 --> 03:40:11.161]  Humanity is strong.
[03:40:11.161 --> 03:40:12.121]  We're incredible.
[03:40:12.121 --> 03:40:15.884]  And if we're aware of the attack that's happening, we have a real chance of defeating it.
[03:40:15.884 --> 03:40:18.366]  If we ask God for guidance, we will defeat it.
[03:40:18.366 --> 03:40:24.291]  So prayer is essential, research is essential, getting prepared is essential, and warning others is absolutely essential.
[03:40:24.471 --> 03:40:26.493]  You know, it's crazy to get to this point.
[03:40:26.493 --> 03:40:27.553]  It's very bittersweet.
[03:40:53.021 --> 03:40:56.022]  Everything we've talked about has happened just like we said it would.
[03:40:56.022 --> 03:40:57.262]  And now we have a lot of credibility.
[03:40:57.262 --> 03:40:58.203]  But I don't care about that.
[03:40:58.203 --> 03:41:00.243]  I care about beating the new world order.
[03:41:00.243 --> 03:41:04.945]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[03:41:04.945 --> 03:41:08.286]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[03:41:08.286 --> 03:41:09.806]  I can't tell you what's going on.
[03:41:09.806 --> 03:41:11.007]  But let's just say this.
[03:41:11.007 --> 03:41:12.327]  We're going to see this through to the end.
[03:41:12.327 --> 03:41:14.788]  We're going to stay on air as long as we can.
[03:41:15.408 --> 03:41:19.050]  So please pray for us and please buy the products at mfulworthstore.com.
[03:41:19.050 --> 03:41:21.631]  They're great products, plus they fund the operation.
[03:41:21.631 --> 03:41:24.812]  So you know, unlike other products you can buy, they're still great.
[03:41:24.812 --> 03:41:25.652]  Do they fund freedom?
[03:41:25.652 --> 03:41:26.773]  No, a lot of them don't.
[03:41:26.773 --> 03:41:33.235]  These are great products that fund freedom and fund justice when the whole world's waking up and looking for truth.
[03:41:33.235 --> 03:41:34.956]  That's why the globalists are censoring.
[03:41:34.956 --> 03:41:37.777]  They can't bring in all this tyranny and leave people like us on the air.
[03:41:38.357 --> 03:41:41.482]  So while you're at it, don't just financially support us and spread the word.
[03:41:41.482 --> 03:41:51.297]  Download everything we've done you can find and save it, because who knows how long we're going to be on the air and the enemy is trying to destroy everything we ever said.
[03:41:51.297 --> 03:41:53.921]  You're listening to the Alex Jones Show!
[03:42:06.400 --> 03:42:13.605]  And we are back.
[03:42:13.605 --> 03:42:15.026]  It is the final segment.
[03:42:15.026 --> 03:42:27.175]  I'm going to go to a clip in a minute which illustrates everything as it pertains to people fleeing the big cities, the Ferguson effect, the riots, the violence that is plaguing many American cities, both large and small.
[03:42:27.175 --> 03:42:29.576]  In 2020, and it looks like into 2021 and 2022,
[03:42:34.085 --> 03:42:35.646]  Headline here out of Summit News.
[03:42:35.646 --> 03:42:36.506]  Rotten Apple.
[03:42:36.506 --> 03:42:38.847]  New York as dead as it was a year ago.
[03:42:38.847 --> 03:42:41.247]  I talked about this previously.
[03:42:41.247 --> 03:42:45.809]  The places where the mask mandates, the social distancing, the COVID restrictions have been lifted.
[03:42:45.809 --> 03:42:47.349]  They're all bouncing back.
[03:42:47.349 --> 03:42:48.510]  They're roaring back.
[03:42:48.510 --> 03:42:51.170]  Texas, Florida, South Dakota.
[03:42:51.170 --> 03:42:57.252]  Not the case in places like New York where everything is still bordered up.
[03:42:57.252 --> 03:42:59.473]  And this was a video posted by Nick Gillespie.
[03:43:00.686 --> 03:43:09.651]  Of morning rush hour traffic on the Bowery, a street located in a normally busy neighbourhood in Manhattan, suffice to say it's not that busy.
[03:43:09.651 --> 03:43:16.755]  You see boarded up shops, you see a distinct lack of traffic that you would expect in a busy area of Manhattan.
[03:43:16.755 --> 03:43:21.998]  At that time of the morning, he said New York is seemingly as dead as it was a year ago.
[03:43:23.562 --> 03:43:27.564]  People blame the coronavirus lockdown restrictions for the city's decline.
[03:43:27.564 --> 03:43:32.647]  One commented, quote, it's absolutely tragic what these morons have done to my beautiful city.
[03:43:32.647 --> 03:43:35.749]  It's going to take years to recover from this.
[03:43:35.749 --> 03:43:40.612]  I would say that that was a optimistic outlook.
[03:43:40.612 --> 03:43:51.798]  We had a survey back in September 2020, which found that two in five New Yorkers wanted to leave the city with the reason cited being crime and public safety, as well as the anemic post-COVID economic recovery.
[03:43:51.798 --> 03:43:52.479]  Of course, we know
[03:43:53.695 --> 03:44:08.126]  They took all the homeless people in the already run-down bad areas of New York and put them in areas more like this, with the high-class hotels in places like Manhattan, the Upper East Side.
[03:44:08.126 --> 03:44:20.135]  Again, in the name of preventing the spread of COVID, that led to more crapping on the streets, more public drug use, the kind, the like that you see in San Francisco, and of course more crime on the streets.
[03:44:21.317 --> 03:44:25.440]  But again, it was in the name of preventing the spread of COVID, so people accepted it.
[03:44:25.440 --> 03:44:32.706]  Which led to, people again, an exacerbation of this trend of people fleeing New York and other major cities.
[03:44:32.706 --> 03:44:47.977]  We had articles last year which showed removal trucks became a common sight on the streets, with 2020 showing a 44% increase in home sales in the suburbs compared to the same time period in 2019 as people fled for bigger homes in safer areas.
[03:44:49.401 --> 03:44:55.124]  We featured the comments of hedge fund manager James Altucher, who previously warned that the city was on its knees.
[03:44:55.124 --> 03:45:00.107]  There were no signs of New York's political leadership offering a way out of the malaise.
[03:45:00.107 --> 03:45:01.968]  It's basically done.
[03:45:01.968 --> 03:45:04.530]  You can stick a fork in it.
[03:45:04.530 --> 03:45:10.093]  30 to 50 percent of the restaurants in New York City are not coming back, according to this entrepreneur.
[03:45:10.845 --> 03:45:19.876]  And then, of course, you had the added benefit, the juicy bonus of regular Black Lives Matter riots rampaging through the streets.
[03:45:19.876 --> 03:45:23.740]  And in one case, telling white people to get the F out of New York.
[03:45:23.740 --> 03:45:26.483]  Again, making them feel very welcome.
[03:45:26.483 --> 03:45:28.366]  You see a similar situation here in London.
[03:45:29.204 --> 03:45:45.356]  Where over the past year 700,000 people have left London again primarily due to coronavirus lockdown restrictions which have put many people out of business including many of the precious immigrants that the globalists are supposed to love and support.
[03:45:45.356 --> 03:45:52.321]  A lot of them have left because the restaurants, the bars have closed and many of them are not coming back.
[03:45:52.321 --> 03:45:56.845]  And of course the other reason why people are fleeing major cities is violent crime.
[03:45:58.138 --> 03:45:59.840]  And it's the Ferguson effect.
[03:45:59.840 --> 03:46:02.422]  They don't call it the Ferguson effect anymore.
[03:46:02.422 --> 03:46:05.784]  They call it a lack of resources.
[03:46:05.784 --> 03:46:11.990]  Here's a headline out of Information Liberation and we've got the clip which we're going to play here coming up in a second.
[03:46:11.990 --> 03:46:15.172]  Headline, you're always going to be Mexican, you'll never be white.
[03:46:15.172 --> 03:46:18.895]  Professor berates LA deputy during traffic stop.
[03:46:18.895 --> 03:46:21.237]  Yes, she was actually a teacher.
[03:46:21.237 --> 03:46:26.702]  Viral video out of Los Angeles County shows a professor berating a Hispanic police officer as a murderer.
[03:46:27.631 --> 03:46:39.723]  During a routine traffic stop, he stopped her because she was wildly swinging her phone out of the car window trying to film this police officer simply because he was driving behind her.
[03:46:39.723 --> 03:46:41.845]  Apparently that makes him a murderer.
[03:46:41.845 --> 03:46:42.746]  Here's the clip.
