[00:00:00.369 --> 00:00:02.011]  Thanks for watching!
[01:13:01.397 --> 01:13:05.261]  Well, now we teamed up with them and came out with two different types of
[01:13:05.521 --> 01:13:05.881]  Of course!
[01:13:21.511 --> 01:13:21.931]  Of course!
[01:13:50.072 --> 01:14:03.604]  You're listening to the Alex Jones Show.
[01:14:03.604 --> 01:14:06.146]  He aligns himself with the truth.
[01:14:06.146 --> 01:14:08.929]  It's time for you to choose a side.
[01:14:08.929 --> 01:14:12.031]  You're listening to Alex Jones.
[01:14:12.031 --> 01:14:14.734]  Okay, so there's so much fentanyl in this country.
[01:14:16.101 --> 01:14:24.665]  That earlier today, I just sent a link into the producers and said, hey, look at the 25 tons of fentanyl seized coming into Mexico bound to the U.S.
[01:14:24.665 --> 01:14:29.827]  And somehow they just got a clip out of Virginia where they're calling it a record seizure.
[01:14:29.827 --> 01:14:33.268]  You know, a few pounds of it can kill 14 million people.
[01:14:33.268 --> 01:14:39.391]  OK, and I'm glad we had this hiccup today because it's really illustrative.
[01:14:39.391 --> 01:14:42.112]  A couple pounds of it.
[01:14:42.112 --> 01:14:43.592]  Can kill 20.
[01:14:43.592 --> 01:14:45.033]  I can kill 14 million people.
[01:14:46.694 --> 01:14:49.277]  14 million people.
[01:14:49.277 --> 01:14:56.606]  What does 25 tons of pure fentanyl grabbed by the Mexican Navy bound to the U.S.
[01:14:56.606 --> 01:14:59.289]  do?
[01:14:59.289 --> 01:15:04.635]  And we're rolling footage for TV viewers of where this barely got a mention in the U.S.
[01:15:04.635 --> 01:15:05.516]  news a week ago.
[01:15:07.762 --> 01:15:33.673]  That's CGTV, the Mexican Navy seizes six tons at one spot, and in all the raids, it was 25 tons of ships, boats, offshore Chinese trawlers, loading it on to motorboats, and bringing it in to Mexico, to then be loaded on 18 wheelers and taken to the United States.
[01:15:33.673 --> 01:15:36.555]  So, understand, one of those little boxes
[01:15:37.640 --> 01:15:41.681]  is more than the DEA is making a big deal about in Virginia.
[01:15:41.681 --> 01:15:45.402]  They could kill 14 million people if it was overdosed.
[01:15:45.402 --> 01:15:48.163]  There's enough overdoses for 14 million people.
[01:15:48.163 --> 01:15:54.125]  This stuff's so strong before it's been cut that a single speck of it will kill you.
[01:15:54.125 --> 01:16:00.787]  Meanwhile, 25 tons got grabbed in different busts last week.
[01:16:00.787 --> 01:16:05.389]  And then you just type in fentanyl, DEA, more than 1 million fentanyl pills.
[01:16:05.389 --> 01:16:06.469]  Season, Arizona.
[01:16:11.496 --> 01:16:20.724]  More than 23,000 kilograms of Chinese fentanyl seized at Mexico's largest seaport.
[01:16:20.724 --> 01:16:22.905]  And that's a whole nother one!
[01:16:22.905 --> 01:16:30.552]  So, you're beginning to get the idea here, China has a very long memory, and they remember the British particularly.
[01:16:31.394 --> 01:16:34.256]  And that's how Skull and Bones made its money at Yale.
[01:16:34.256 --> 01:16:38.219]  The guy that founded it was the big opium distributor into the United States as well.
[01:16:38.219 --> 01:16:41.921]  I mean, hell, they used to sell laudanum to women, men, children.
[01:16:41.921 --> 01:16:46.904]  You ever go out in the countryside, you'll find an old dump, there'll be hundreds of bottles that say laudanum.
[01:16:46.904 --> 01:16:49.506]  As your baby was crying, you just gave him some laudanum.
[01:16:49.506 --> 01:16:51.187]  They were happy for five, six hours.
[01:16:51.187 --> 01:16:52.268]  Because it was opium!
[01:16:53.626 --> 01:16:57.109]  But the Chinese, you see, they execute you.
[01:16:57.109 --> 01:17:09.560]  If you get caught with one opium pill, much less fentanyl, if you get caught with one marijuana, cigarette, then you get executed.
[01:17:09.560 --> 01:17:15.126]  But they ship it all here and they make most of our drugs in China.
[01:17:16.192 --> 01:17:27.040]  And they're spiking everything, and they're finding toxic waste in the over-the-counter pills you get, and they're finding plastic in most of the food that's shipped in from China.
[01:17:27.040 --> 01:17:32.784]  They are just pissing in our Cheerios with poison!
[01:17:32.784 --> 01:17:43.392]  And they're funding Netflix and Hollywood with all the anti-American race war movies, and trying to demoralize us constantly!
[01:17:47.426 --> 01:17:50.407]  It's incredible.
[01:17:50.407 --> 01:17:55.328]  And they know what they're doing.
[01:17:55.328 --> 01:17:58.489]  And again, they've killed 115 million of their own people.
[01:17:58.489 --> 01:18:01.050]  But they are really getting us back.
[01:18:01.050 --> 01:18:07.012]  Even though the United States really doesn't have any history of shipping opium in, it doesn't matter.
[01:18:07.012 --> 01:18:09.373]  We're still seen as a competitor to them.
[01:18:09.373 --> 01:18:10.513]  We're still seen as their enemy.
[01:18:12.290 --> 01:18:15.954]  And so, Japan bombed our ships in a sneak attack.
[01:18:15.954 --> 01:18:18.636]  They bombed military men and women.
[01:18:18.636 --> 01:18:20.518]  Mainly men at that time.
[01:18:20.518 --> 01:18:22.760]  They killed some women as well.
[01:18:22.760 --> 01:18:25.743]  And it was seen as dastardly because it was a sneak attack.
[01:18:25.743 --> 01:18:30.127]  That's, in the age of war at that time, was normal.
[01:18:30.127 --> 01:18:30.828]  Not a good thing.
[01:18:30.828 --> 01:18:32.830]  I'm not defending it.
[01:18:32.830 --> 01:18:36.153]  But the Chinese communists are shipping
[01:18:39.428 --> 01:18:45.613]  Let's pull up, what's the estimated amount of fentanyl, type in, estimated amount of fentanyl shipped in the U.S.
[01:18:45.613 --> 01:18:47.235]  annually?
[01:18:47.235 --> 01:18:47.575]  Is it 100 tons?
[01:18:47.575 --> 01:18:49.517]  Is it 200 tons?
[01:18:49.517 --> 01:18:49.997]  Is it 300 tons?
[01:18:49.997 --> 01:18:51.979]  Is it 400 tons?
[01:18:51.979 --> 01:18:55.382]  I mean, they just caught 25 tons coming in last week.
[01:19:05.680 --> 01:19:06.460]  And I could talk all day.
[01:19:06.460 --> 01:19:08.462]  I've got so much other news.
[01:19:08.462 --> 01:19:13.284]  But see, I've been harping on this, haven't I?
[01:19:13.284 --> 01:19:14.365]  Because let me show you the numbers.
[01:19:14.365 --> 01:19:15.285]  I mentioned this earlier.
[01:19:15.285 --> 01:19:25.671]  I've got the federal government's own numbers right here in my stack about the numbers here.
[01:19:25.671 --> 01:19:26.672]  The latest numbers we have is 2017.
[01:19:32.233 --> 01:19:34.094]  And it says here it's 53,000.
[01:19:34.094 --> 01:19:37.256]  That graph we showed said 47,000.
[01:19:37.256 --> 01:19:38.376]  Let me show you this.
[01:19:38.376 --> 01:19:39.297]  Can I have an overhead shot?
[01:19:39.297 --> 01:19:40.237]  Thanks a lot.
[01:19:40.237 --> 01:19:42.458]  Here.
[01:19:42.458 --> 01:19:42.878]  Opioid.
[01:19:42.878 --> 01:19:46.900]  This is from the American Society of Addiction Medicine.
[01:19:46.900 --> 01:19:47.661]  They say 52,404.
[01:19:47.661 --> 01:19:48.361]  So I said 53.
[01:19:48.361 --> 01:19:51.763]  I was going from memory.
[01:19:51.763 --> 01:19:52.323]  And that was in 2017.
[01:19:52.323 --> 01:19:55.905]  Oh, I'm sorry.
[01:19:55.905 --> 01:19:56.725]  That number's even older.
[01:19:56.725 --> 01:19:58.266]  That's 2015.
[01:19:58.266 --> 01:20:00.047]  And they say it's up tenfold.
[01:20:02.506 --> 01:20:07.628]  So whether it's 47,000 or 53,000, whoever's right, that's a lot of people.
[01:20:07.628 --> 01:20:10.489]  And most people that die in overdoses, it never gets reported right.
[01:20:10.489 --> 01:20:19.873]  So if it's 10 times that amount coming in right now, and they just seized 25 tons of it, but a couple pounds of it, can we queue that Virginia News piece up again?
[01:20:19.873 --> 01:20:22.575]  Thanks.
[01:20:22.575 --> 01:20:27.997]  If a small amount of it, I forget exactly how much they said, we'll play it again, would kill 14 million people,
[01:20:31.613 --> 01:20:34.695]  Because the numbers I've seen is a hundred times stronger than heroin.
[01:20:34.695 --> 01:20:38.898]  And then I see a hundred times stronger than opium, and heroin's a lot stronger than opium, so I don't know.
[01:20:38.898 --> 01:20:46.863]  Let's just say this, this stuff makes Oxycontin look like beer compared to Everclear, compared to white lightning.
[01:20:46.863 --> 01:20:51.907]  And there are people like zombies all over the place, totally addicted to this stuff.
[01:20:51.907 --> 01:20:57.270]  And the Chinese are doing it, and Trump's trying to fight it, and he's the bad guy.
[01:20:57.270 --> 01:21:01.193]  Just remember, the Federal Reserve's private, owned by Europe, trying to crash our economy.
[01:21:02.890 --> 01:21:06.151]  All these big media outlets are trying to bankrupt us, trying to get us shut down.
[01:21:06.151 --> 01:21:11.132]  All these big Democrat law firms are suing us because they want to continue hammering America.
[01:21:11.132 --> 01:21:13.813]  Because this is 21st century warfare.
[01:21:13.813 --> 01:21:17.134]  And everybody siding with the globalists is part of this.
[01:21:17.134 --> 01:21:23.055]  So again, here's that newscast out of Virginia, making a big deal out of a small amount being found.
[01:21:23.055 --> 01:21:26.957]  So if this small amount kills 14 million, what's 25 tons?
[01:21:26.957 --> 01:21:27.917]  Here it is.
[01:21:29.321 --> 01:21:35.064]  Investigators have busted a massive drug ring spanning three states, all this over just the last three days.
[01:21:35.064 --> 01:21:42.928]  Law enforcement officers in Virginia seized enough fentanyl to kill 14 million people as part of what they're calling Operation Cookout.
[01:21:42.928 --> 01:21:47.430]  There are 35 suspects that have been arrested, four others still on the run.
[01:21:47.430 --> 01:21:48.971]  Chip Reid is in Washington for us.
[01:21:48.971 --> 01:21:51.872]  Chip, what else did investigators seize in this bust?
[01:21:51.872 --> 01:21:52.793]  Good morning.
[01:21:52.793 --> 01:21:56.094]  Well, authorities say they seized about 66 pounds of fentanyl.
[01:21:56.094 --> 01:21:56.915]  Okay, hit pause.
[01:21:58.015 --> 01:22:00.617]  I'm so flustered today, I heard pounds.
[01:22:00.617 --> 01:22:02.479]  So that's why.
[01:22:02.479 --> 01:22:05.461]  I'm so flustered today, my normal trick memory's gone out the window.
[01:22:05.461 --> 01:22:06.622]  So I said, play it again.
[01:22:06.622 --> 01:22:11.706]  So let's, we'll do the calculator thing tomorrow when I start the show.
[01:22:11.706 --> 01:22:18.552]  66 pounds, or whatever, divided into 25 tons, how much smaller is that?
[01:22:18.552 --> 01:22:20.133]  What fraction is it?
[01:22:20.133 --> 01:22:23.756]  So that's gonna kill 14 million, if it was taken in an overdose amount.
[01:22:25.216 --> 01:22:25.836]  What's 25 tons?
[01:22:25.836 --> 01:22:27.878]  Is that enough to kill the whole country?
[01:22:27.878 --> 01:22:31.480]  If it was all taken?
[01:22:31.480 --> 01:22:32.320]  330 million people?
[01:22:32.320 --> 01:22:34.922]  If we all took it?
[01:22:34.922 --> 01:22:35.822]  As an overdose?
[01:22:35.822 --> 01:22:38.204]  Is that enough to give us all an overdose and kill the whole country?
[01:22:38.204 --> 01:22:42.426]  Is that our headline?
[01:22:42.426 --> 01:22:47.169]  China tried to ship enough fentanyl into the United States to kill everybody in the U.S.?
[01:22:47.169 --> 01:22:49.310]  I don't have a calculator in front of me.
[01:22:49.310 --> 01:22:50.531]  I guess I could do it by hand.
[01:22:52.210 --> 01:22:53.531]  But that's crazy.
[01:22:53.531 --> 01:23:06.843]  Yeah, so 66 pounds, 66 pounds is .0013, according to my producers, of 25 tons.
[01:23:06.843 --> 01:23:13.229]  So we have to find out how much more 25 tons is to that, and then apply the number.
[01:23:13.229 --> 01:23:14.750]  So if 14 million is .0013,
[01:23:18.154 --> 01:23:19.216]  What with 25 tons?
[01:23:19.216 --> 01:23:22.321]  I think that could kill the whole country.
[01:23:22.321 --> 01:23:23.402]  I'm not a mathematician.
[01:23:23.402 --> 01:23:24.844]  I'll get that done tonight.
[01:23:24.844 --> 01:23:26.747]  First thing tomorrow, you'll hear from us.
[01:23:27.941 --> 01:23:37.425]  Okay, I didn't get to mainstream news telling you that Apple and Google and all the companies are watching and listening to you and selling your data and listening to you have sex and everything.
[01:23:37.425 --> 01:23:43.228]  They're only telling you now because they want to normalize it to move forward as this is the new economy.
[01:23:43.228 --> 01:23:45.849]  But that's the front page of Yahoo.
[01:23:45.849 --> 01:23:47.149]  It's up on InfoWars.com.
[01:23:47.149 --> 01:23:48.330]  It's up on DreadReport.com.
[01:23:48.330 --> 01:23:51.131]  We'll explain why they're throwing it in your face now when we told you.
[01:23:54.343 --> 01:24:01.724]  We told you in 2004 with articles and covered it in detail with the actual documents, so that's... No mathematician, but how many years ago is that?
[01:24:03.768 --> 01:24:04.249]  17 years ago?
[01:24:04.249 --> 01:24:05.949]  16 years ago?
[01:24:05.949 --> 01:24:08.311]  Because we're the bad guys.
[01:24:08.311 --> 01:24:10.952]  Remember, we're the Infowars, it's the bad guys.
[01:24:10.952 --> 01:24:12.293]  Don't tell anybody about this show.
[01:24:12.293 --> 01:24:13.934]  Don't tune in.
[01:24:13.934 --> 01:24:17.535]  The 25 tons of fentanyl is not the problem enough to kill the whole country, assuredly.
[01:24:17.535 --> 01:24:17.876]  No, no, no.
[01:24:17.876 --> 01:24:20.777]  The problem is that you own guns that can protect yourself.
[01:24:20.777 --> 01:24:21.738]  You're bad.
[01:24:21.738 --> 01:24:26.500]  And the same folks that want Trump to not stop the fentanyl, they want your guns because they want you out of the way.
[01:24:26.500 --> 01:24:28.101]  They want to conquer you and dominate you.
[01:24:28.806 --> 01:24:29.768]  Thank you all for tuning in.
[01:24:29.768 --> 01:24:31.611]  Lord willing, I'll be on tomorrow at 11 a.m.
[01:24:31.611 --> 01:24:32.173]  Central.
[01:24:32.173 --> 01:24:33.736]  I'm gonna try my best to be live.
[01:24:33.736 --> 01:24:34.257]  I will be here.
