[00:00:07.870 --> 00:00:09.311]  We did it!
[02:55:06.091 --> 02:55:09.894]  We're not funded by dictatorships in the Middle East like CNN is.
[02:55:10.635 --> 02:55:16.720]  We're not funded by George Soros billionaire globalists like Black Lives Matter and MoveOn.org.
[02:55:16.720 --> 02:55:18.841]  We're funded by you.
[02:55:18.841 --> 02:55:20.783]  That's how we remain impartial.
[02:55:21.789 --> 02:55:28.755]  Beholden only to the truth as best we see it, not to all these corporate big government interests.
[02:55:28.755 --> 02:55:30.757]  And we're taking them on, and we're winning.
[02:55:30.757 --> 02:55:37.623]  And it's because of you supporting us by getting the products at infowarsstore.com.
[02:55:37.623 --> 02:55:41.726]  Final couple of news stories here in the last three minutes.
[02:55:41.726 --> 02:55:45.109]  BBC interview with French far-right leader Marine Le Pen's box.
[02:55:45.109 --> 02:55:46.951]  Twitter storm!
[02:55:46.951 --> 02:55:47.171]  Yes.
[02:55:48.342 --> 02:55:50.844]  This is what they found to be outraged about today.
[02:55:50.844 --> 02:55:57.849]  The fact that the BBC merely asked Marine Le Pen, who could be the next President of France, for an interview.
[02:55:57.849 --> 02:55:59.770]  How disgraceful is that?
[02:55:59.770 --> 02:56:17.023]  Marine Le Pen, leader of France's far-right National Front, is to basically far-right means anybody who's speaking any kind of sense right now, is set to appear on the BBC's Andrew Marr Show according to an announcement by the programme's editor and social media users are not happy about it.
[02:56:17.023 --> 02:56:17.083]  Oh!
[02:56:18.615 --> 02:56:25.977]  How offensive that a prominent politician in France who could be the next president would appear on television.
[02:56:25.977 --> 02:56:27.777]  I mean, that's literally Hitler, right?
[02:56:27.777 --> 02:56:28.337]  OMG.
[02:56:28.337 --> 02:56:38.400]  I can't even... Already facing criticism for airing the interview on Remembrance Sunday, editor of the show Rob Burley along with presenter Ma defended the move.
[02:56:38.400 --> 02:56:38.920]  One Twitter
[02:56:39.881 --> 02:56:46.747]  User 1 Moron responded by saying, WTF is the BBC playing at giving Le Pen airtime?
[02:56:46.747 --> 02:56:47.868]  Yeah, God forbid.
[02:56:47.868 --> 02:56:52.392]  Anybody who disagreed with you politically would be able to have the chance to speak.
[02:56:52.392 --> 02:56:53.453]  We can't have that, can we?
[02:56:53.453 --> 02:56:55.374]  Because we're liberal.
[02:56:55.374 --> 02:56:57.556]  She is a fascist.
[02:56:57.556 --> 02:57:00.679]  Fascists use every platform they have to undermine democracy.
[02:57:00.679 --> 02:57:01.719]  I am done.
[02:57:01.719 --> 02:57:06.143]  Oh no, actually, real fascists stop other people from talking.
[02:57:06.143 --> 02:57:07.044]  Okay?
[02:57:07.044 --> 02:57:07.985]  You're the fascist.
[02:57:09.079 --> 02:57:11.783]  Next headline out of Breitbart.
[02:57:11.783 --> 02:57:14.187]  More cultural enrichment in Germany.
[02:57:14.187 --> 02:57:16.671]  Police warn of child rape epidemic.
[02:57:16.671 --> 02:57:18.434]  That's liberal now, that's tolerant.
[02:57:18.434 --> 02:57:19.736]  Migrant-occupied Malmo.
[02:57:21.420 --> 02:57:22.321]  Actually in Sweden.
[02:57:22.321 --> 02:57:23.522]  Malmo is just a hellhole.
[02:57:23.522 --> 02:57:25.725]  I know people who go there routinely.
[02:57:25.725 --> 02:57:33.053]  They say there's literally homemade bombs going off, burkas everywhere, massive rape gangs just roaming.
[02:57:33.053 --> 02:57:35.155]  This is the cultural enrichment.
[02:57:35.155 --> 02:57:39.801]  And now in Sweden they want to give returning ISIS jihadists jobs.
[02:57:39.801 --> 02:57:42.564]  And some of those jobs are actually in the government.
[02:57:44.178 --> 02:57:51.782]  You've got, like, the head of the immigration board in Sweden tweeting out, posting on Facebook, pro-ISIS propaganda.
[02:57:51.782 --> 02:57:53.763]  That's the level it's got to in Sweden.
[02:57:53.763 --> 02:58:05.029]  But following separate incidents in which children were raped in broad daylight, cultural enrichment, in the multicultural city of Malmo, police warned that the number of sex attacks on young people could escalate.
[02:58:05.029 --> 02:58:11.273]  So they're finally having to admit that these rapes, these mass molestations, are actually taking place.
[02:58:12.688 --> 02:58:29.273]  Thank God we've got an election next year in Germany, and the sensible, far-right AFD party has a chance of making significant gains, as does Marine Le Pen in the French election next year, as the populist revolution continues to sweep the West.
[02:58:29.273 --> 02:58:37.596]  But that's going to wrap it up for this hour of the Alex Jones Show, but stay tuned, fourth hour coming up with Owen Troyer, breaking news at InfoWars.com.
[02:58:42.791 --> 02:58:46.760]  This is GCN, the Genesis Communications Radio Network.
[02:58:50.037 --> 02:58:51.758]  I'm Alex Jones with a simple question.
[02:58:51.758 --> 02:58:56.061]  Will you and your family be financially protected if there's another economic meltdown?
[02:58:56.061 --> 02:58:59.623]  Like many experts, I believe another devastating crash is coming.
[02:58:59.623 --> 02:59:01.665]  I think it's a matter of when, not if.
[02:59:01.665 --> 02:59:04.567]  Don't wait for another crisis that could wipe out your hard-earned money.
[02:59:04.567 --> 02:59:10.090]  Do what I did and call United States Gold Vault at 844-541-ALEX.
[02:59:10.090 --> 02:59:11.471]  It's a company I trust.
[02:59:11.471 --> 02:59:17.255]  They're offering gold and silver coin survival packs that could help safeguard your money in an economic meltdown.
[02:59:17.555 --> 02:59:20.776]  I'm talking real money, not paper or worthless stocks.
[02:59:20.776 --> 02:59:25.218]  China recently bought more than a billion dollars worth of gold, proving that gold is on the move.
[02:59:25.218 --> 02:59:31.040]  Gold and silver are recognized worldwide as one of the most stable means of protecting finances.
[02:59:31.040 --> 02:59:31.720]  Don't delay.
[02:59:31.720 --> 02:59:38.742]  Call 844-541-ALEX now and get a rugged double locked bank bag to securely store your coins absolutely free.
[02:59:38.742 --> 02:59:43.224]  These are dangerous times and you need to make financial protection a priority.
[02:59:43.544 --> 02:59:46.167]  I personally own these survival packs and you should too.
[02:59:46.167 --> 02:59:52.092]  Pick up the phone and call 844-541-ALEX-NOW.
[02:59:52.092 --> 03:00:01.101]  You're listening to the Alex Jones Show.
[03:00:01.101 --> 03:00:06.746]  Behind me stands the University of Texas Tower where a large protest is going on, the F-Trump protest.
[03:00:07.580 --> 03:00:12.546]  We're not even 24 hours into his president-elect candidacy, and this is their reaction.
[03:00:12.546 --> 03:00:16.170]  They attack Trump as a racist, a misogynist, a rapist.
[03:00:16.170 --> 03:00:18.473]  But do they actually know the facts?
[03:00:18.473 --> 03:00:21.036]  What's your opinion of Trump being elected president?
[03:00:21.036 --> 03:00:23.499]  I'm really sad and disappointed.
[03:00:23.499 --> 03:00:24.080]  Why is that?
[03:00:25.017 --> 03:00:30.040]  Because I think he's a terrible person who doesn't deserve to be the face of the United States.
[03:00:30.040 --> 03:00:31.661]  Why is he a terrible person?
[03:00:31.661 --> 03:00:37.405]  Well, he's been accused of sexually assaulting several women.
[03:00:37.405 --> 03:00:42.588]  He's also racist and quite clearly sexist, possibly homophobic.
[03:00:42.588 --> 03:00:43.749]  Okay, all right.
[03:00:43.749 --> 03:00:50.694]  Hillary was also under NYPD investigation, according to Eric Prince of Blackwater.
[03:00:51.554 --> 03:00:56.738]  And she was found to have visited Jeffrey Epstein's pedophile island six times.
[03:00:56.738 --> 03:00:58.599]  So she is under investigation.
[03:00:58.599 --> 03:01:05.323]  I don't think several women have specifically come out and said, this person sexually assaulted me.
[03:01:05.323 --> 03:01:06.244]  About Hillary Clinton?
[03:01:06.844 --> 03:01:07.684]  Right.
[03:01:07.684 --> 03:01:08.485]  Yeah, they have it.
[03:01:08.485 --> 03:01:09.785]  It's under investigation.
[03:01:09.785 --> 03:01:10.185]  Right.
[03:01:10.185 --> 03:01:11.166]  As is Donald Trump.
[03:01:11.166 --> 03:01:13.266]  Okay, what about the racism?
[03:01:13.266 --> 03:01:14.327]  What about the racism?
[03:01:14.327 --> 03:01:15.987]  How do you explain the racism?
[03:01:15.987 --> 03:01:17.208]  He was endorsed by the KKK.
[03:01:17.208 --> 03:01:19.968]  Okay, he was endorsed by the KKK.
[03:01:19.968 --> 03:01:21.489]  He was like, this is my guy.
[03:01:21.489 --> 03:01:25.930]  Do you realize Hillary Clinton's mentor was Robert Byrd?
[03:01:25.930 --> 03:01:26.751]  Is that just a joke?
[03:01:28.314 --> 03:01:29.916]  Is that just a joke to you?
[03:01:29.916 --> 03:01:30.717]  Is what a joke?
[03:01:30.717 --> 03:01:36.623]  Today our country has lost a true American original, my friend and mentor Robert C. Byrd.
[03:01:36.623 --> 03:01:41.488]  Senator Byrd was a man of surpassing eloquence and nobility.
[03:01:41.488 --> 03:01:47.074]  There are a lot of people who wrote these eulogies for Senator Byrd in the newspapers and I read a bunch of them.
[03:01:48.727 --> 03:01:53.349]  They mentioned that he once had a fleeting association with a Ku Klux Klan.
[03:01:53.349 --> 03:01:54.309]  And what does that mean?
[03:01:54.309 --> 03:01:55.849]  I'll tell you what it means.
[03:01:55.849 --> 03:01:58.570]  He was a country boy from the hills and hollows of West Virginia.
[03:01:58.570 --> 03:02:01.151]  He was trying to get elected.
[03:02:01.151 --> 03:02:04.052]  And maybe he did something he shouldn't have done.
[03:02:04.052 --> 03:02:06.153]  And he spent the rest of his life making it up.
[03:02:06.798 --> 03:02:09.220]  I don't understand why you ask if that's a joke.
[03:02:09.220 --> 03:02:14.525]  Well, if Trump is a racist, why isn't Hillary Clinton a racist?
[03:02:14.525 --> 03:02:16.988]  Is KKK endorsing Hillary?
[03:02:16.988 --> 03:02:19.430]  The Klan was her mentor.
[03:02:19.430 --> 03:02:20.591]  Why is it so funny?
[03:02:20.591 --> 03:02:22.333]  Alright, so why did you come up here to the protest?
[03:02:23.414 --> 03:02:33.385]  I was walking to class and I saw it was when it was smaller here and then when I came back... See, that brings everyone together.
[03:02:33.385 --> 03:02:41.214]  Obviously, it's a very, very big pro-Hillary, anti-Trump rally.
[03:02:41.694 --> 03:02:43.575]  Earlier, you mentioned the people with masks.
[03:02:43.575 --> 03:02:45.416]  Do you know who those people are?
[03:02:45.416 --> 03:02:49.598]  From what I can tell, they're wearing keffiyehs, which generally come from the Middle East.
[03:02:49.598 --> 03:02:56.681]  There are a lot of Palestinian supporters wear them, because that's like one of their... What if I told you it's the local Communist Party?
[03:02:56.681 --> 03:02:57.301]  Oh, I knew it.
[03:02:57.301 --> 03:02:58.402]  I knew it was.
[03:02:58.402 --> 03:03:03.404]  Because, I mean, the pro-Palestinian group here on campus is very, very communist.
[03:03:03.404 --> 03:03:06.305]  I know a few people from classes that are involved.
[03:03:06.305 --> 03:03:08.186]  I think we can come together now.
[03:03:08.186 --> 03:03:09.707]  Donald Trump said, make America great again.
[03:03:10.267 --> 03:03:11.668]  I think we can do that.
[03:03:11.668 --> 03:03:16.369]  And this is going to involve everyone across the entire political spectrum.
[03:03:16.369 --> 03:03:19.610]  Left, right, communist, conservative.
[03:03:19.610 --> 03:03:25.993]  Everyone is going to have to work together to make this country great again.
[03:03:25.993 --> 03:03:30.514]  In fact, the majority of them actually believe they're going to be immediately deported.
[03:03:33.661 --> 03:03:35.042]  Uh huh.
[03:03:35.042 --> 03:03:37.825]  Why does Trump have to go?
[03:03:37.825 --> 03:03:40.768]  Because he does not represent this country.
[03:03:40.768 --> 03:03:46.713]  He is racist, xenophobic, and completely utter... Where are you from, my friend?
[03:03:46.713 --> 03:03:48.435]  I am from Houston.
[03:03:48.435 --> 03:03:49.596]  Okay, where are you?
[03:03:49.596 --> 03:03:50.957]  I was born and raised here.
[03:03:50.957 --> 03:03:52.099]  I am a Muslim American.
[03:03:52.099 --> 03:03:52.659]  You're an American?
[03:03:52.659 --> 03:03:53.119]  Yes, sir.
[03:03:53.119 --> 03:03:54.541]  I am a Muslim American.
[03:03:54.541 --> 03:03:57.223]  I do not deserve to be thrown out of this country.
[03:03:57.223 --> 03:03:58.605]  Well, of course you don't.
[03:03:59.245 --> 03:03:59.705]  Exactly.
[03:03:59.705 --> 03:04:01.026]  Of course not.
[03:04:01.026 --> 03:04:02.347]  Freedom of religion.
[03:04:02.347 --> 03:04:02.707]  Yes sir.
[03:04:02.707 --> 03:04:05.008]  I do not believe Trump respects that.
[03:04:05.008 --> 03:04:12.252]  He believes all of my kind are terrorists, are radical Islamists, when very few of us are.
[03:04:12.252 --> 03:04:14.854]  What's the first thing that comes to mind?
[03:04:15.354 --> 03:04:27.918]  He's gonna deport illegal immigrants who will help this country and white supremacy.
[03:04:27.918 --> 03:04:35.861]  The local Communist Party that I spoke to here in Austin wouldn't speak back because they don't believe in free speech and frankly they're cowards.
[03:04:35.861 --> 03:04:38.762]  This entire march was a march of cowardice.
[03:04:38.762 --> 03:04:44.404]  As Obama, your leader, has explained to you, you must accept this peaceful transfer of power
[03:04:45.024 --> 03:04:46.986]  And accept the resurrection of the U.S.
[03:04:46.986 --> 03:04:51.390]  Constitution and the Bill of Rights of which this country was founded on.
[03:04:51.390 --> 03:04:52.592]  John Bowne for Infowars.com
[03:05:00.839 --> 03:05:05.986]  Three days after the election of Donald Trump and the reality of a Trump presidency is starting to hit home.
[03:05:05.986 --> 03:05:11.373]  For some people this is such a devastating notion that they need to call an ambulance or even want to die.
[03:05:11.373 --> 03:05:15.278]  Well we Trump voters care about our fellow Americans and we're pained by this.
[03:05:15.278 --> 03:05:15.759]  So let's help
[03:05:16.359 --> 03:05:19.781]  Let's try to help them recover from their devastation.
[03:05:19.781 --> 03:05:25.003]  If you see a Trump protester or a group of them, give them a diaper, hand them a binky, cover them in a blankie.
[03:05:25.003 --> 03:05:27.445]  After all, this is what you do for crying babies.
[03:05:27.445 --> 03:05:31.186]  Many of these people look like they need a hug, so give them a box of huggies.
[03:05:31.186 --> 03:05:38.810]  We Trump voters can't stand to see our fellow Americans so depleted, so we will make sure to get as many of them a warm bottle of milk as possible.
[03:05:38.810 --> 03:05:44.993]  To make America great again, we must make sure that these babies are taken care of with plenty of diapers, binkies, and rattles.
[03:05:45.313 --> 03:05:46.876]  Don't worry, Trump protesters.
[03:05:46.876 --> 03:05:50.483]  Remember, we're stronger together, even if you do have to wear a diaper.
[03:05:50.483 --> 03:05:53.769]  This is Owen Schroer from InfoWars.com.
[03:05:53.769 --> 03:05:55.232]  This message is paid for by the Russians.
[03:05:59.867 --> 03:06:09.214]  You know, in the coming election, no matter who gets in, one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[03:06:09.214 --> 03:06:20.282]  The potential for power grid chaos, EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms, all a very real threat to our grid.
[03:06:20.282 --> 03:06:23.224]  My friends, chaos is already here, and it's gonna get a lot worse.
[03:06:23.464 --> 03:06:29.528]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[03:06:29.528 --> 03:06:33.450]  Now I've got the perfect power solar generator system at my house.
[03:06:33.450 --> 03:06:35.331]  The Solutions from Science system.
[03:06:35.331 --> 03:06:37.833]  Simply put, this thing is amazing.
[03:06:37.833 --> 03:06:40.334]  Solutions from Science only makes the best equipment.
[03:06:40.334 --> 03:06:43.096]  Go to powergridchaos.com.
[03:06:43.096 --> 03:06:46.138]  That's powergridchaos.com to check it out.
[03:06:46.138 --> 03:06:47.219]  Now this is key.
[03:06:47.219 --> 03:06:48.459]  Right now, get 70% off.
[03:06:49.520 --> 03:06:52.822]  They're top-of-the-line perfect power solar generator.
[03:06:52.822 --> 03:06:54.824]  This is the one I use in my home.
[03:06:54.824 --> 03:06:59.647]  Go to powergridchaos.com and get 70% off.
[03:06:59.647 --> 03:07:04.450]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[03:07:04.730 --> 03:07:13.553]  Yongevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[03:07:13.553 --> 03:07:17.514]  Yongevity also offers you an ingenious way to augment your income.
[03:07:17.514 --> 03:07:18.294]  And the best part?
[03:07:18.294 --> 03:07:21.175]  You'll be helping your friends and family along the way.
[03:07:21.175 --> 03:07:23.796]  Visit InfoWarsTeam.com today.
[03:07:23.796 --> 03:07:24.576]  Become a member.
[03:07:24.576 --> 03:07:28.637]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[03:07:28.857 --> 03:07:35.580]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[03:07:35.580 --> 03:07:36.541]  Another win-win.
[03:07:36.541 --> 03:07:40.282]  That's why I'm a member of the Longevity Team at InfoWarsTeam.com.
[03:07:40.282 --> 03:07:41.523]  And you can be too.
[03:07:41.523 --> 03:07:42.063]  It's simple.
[03:07:42.063 --> 03:07:45.005]  Just go to InfoWarsTeam.com today.
[03:07:45.005 --> 03:07:47.106]  Complete a short sign-up and you're part of the team.
[03:07:47.106 --> 03:07:50.367]  That's InfoWarsTeam.com or InfoWarsHealth.com.
[03:07:50.367 --> 03:07:56.670]  So many people call into my radio show and tell me how Longevity and the products at InfoWarsTeam.com have changed their lives.
[03:07:56.670 --> 03:07:57.971]  Check it out for yourself today.
[03:08:01.178 --> 03:08:18.752]  I'm about to give you the secret, the jewel in the crown, to why Donald Trump decisively won this historic 2016 presidential election, and is now president-elect number 45.
[03:08:18.752 --> 03:08:21.494]  Man, that's got a good ring, doesn't it?
[03:08:21.494 --> 03:08:22.374]  Are you ready?
[03:08:22.374 --> 03:08:25.417]  I'll give you the jewel in the crown, and then the
[03:08:27.093 --> 03:08:31.798]  The accompanying accoutrement on the sides, the smaller jewels.
[03:08:31.798 --> 03:08:33.039]  Are you ready?
[03:08:33.039 --> 03:08:44.911]  Because this secret deployed against the rest of this corrupt power structure will bring them down and restore our republic.
[03:08:44.911 --> 03:08:45.432]  The Internet.
[03:08:47.366 --> 03:09:03.833]  This is what killed the New World Order globalist establishment and is why their program of tyranny is declining in Russia, Europe, the United Kingdom with Brexit and now with shocking results supposedly to them here in the United States.
[03:09:03.833 --> 03:09:14.037]  The Internet coupled with delusion, this marriage, this Congress is what brought us to this point.
[03:09:14.037 --> 03:09:14.497]  Think about it.
[03:09:15.799 --> 03:09:24.693]  The internet already is hundreds and hundreds of times bigger than all the entertainment news combined on broadcast and cable transmitted and satellite TVs.
[03:09:24.693 --> 03:09:27.477]  I mean there's hundreds and hundreds and hundreds of times the traffic.
[03:09:27.477 --> 03:09:30.702]  And the political traffic on the internet is...
[03:09:32.252 --> 03:09:32.892]  50, 100 times?
[03:09:32.892 --> 03:09:33.373]  I don't know.
[03:09:33.373 --> 03:09:38.434]  It's just so huge, they just corrected me that it wasn't 60 million earlier.
[03:09:38.434 --> 03:09:39.315]  They went and did the numbers.
[03:09:39.315 --> 03:09:41.736]  I guess I hadn't checked since this morning.
[03:09:41.736 --> 03:09:51.199]  100 million, not counting terrestrial radio, that we have 3.5 million rated, when the ratings come in, from our affiliates.
[03:09:53.595 --> 03:10:00.979]  But our internet success is so big that we just got like 60 more affiliates last few months, so we're over 230 right now.
[03:10:00.979 --> 03:10:03.280]  And it's not about Infowars bragging.
[03:10:03.280 --> 03:10:20.309]  If this ragtag operation is kicking the entire cable news system's ass up and down the road, when they're spending billions of dollars in the aggregate and have all these beauty queen tarts up there spreading their legs, you can't cover up this fraud with a little bit of sugar.
[03:10:20.309 --> 03:10:22.791]  So having bimbos on there, it'd mean we're swallowing the cyanide.
[03:10:23.712 --> 03:10:39.157]  And when I talk about the hubris, the delusion of the delusionites, they've known for years that not just InfoWars, but a constellation of Liberty sites like DrudgeReport.com and others dwarfed them already.
[03:10:39.157 --> 03:10:42.158]  And it isn't just InfoWars that exploded the last few months.
[03:10:42.158 --> 03:10:50.541]  Drudge is now not just bigger than Facebook and Twitter and the New York Times combined, it's bigger than like
[03:10:51.567 --> 03:10:54.009]  The entire mainstream media just in traffic.
[03:10:54.009 --> 03:10:56.011]  There's two people running it.
[03:10:56.011 --> 03:10:57.252]  So think about that.
[03:10:57.252 --> 03:10:59.434]  This is how pathetic these people are.
[03:10:59.434 --> 03:11:04.478]  And we have to celebrate the fact that they're pathetic, and they're known traitors, and they're jokes, because they're all scared up.
[03:11:04.478 --> 03:11:09.762]  They're going, the pollsters actually weren't wrong, and we don't lie to you, and we have a big audience, and we love you.
[03:11:09.762 --> 03:11:11.504]  Here, here's one with big breasts.
[03:11:11.504 --> 03:11:12.305]  Show your legs, baby.
[03:11:14.158 --> 03:11:15.558]  Paul Ryan likes you.
[03:11:15.558 --> 03:11:17.939]  He doesn't want your guns or open borders.
[03:11:17.939 --> 03:11:20.599]  He didn't say you couldn't nominate Trump.
[03:11:20.599 --> 03:11:23.200]  He didn't say that there wasn't any free elections.
[03:11:23.200 --> 03:11:26.501]  They're hoping you go back to sleep, but you're not asleep.
[03:11:26.501 --> 03:11:37.183]  So the big secret is, they're still up there wondering why they have no ratings, wonder why they're going bankrupt, wonder why they're all shrinking, wonder why the New York Times is collapsing, and they still don't get it.
[03:11:38.732 --> 03:11:52.797]  They have no audience and just because they have the fanciest suits and the biggest teleprompters doesn't mean anybody takes what they say seriously and no one's even tuning into them to go back and regurgitate their talking points out.
[03:11:52.797 --> 03:11:57.138]  I go to forums that don't even deal with politics and everybody gets exactly what's happening.
[03:11:57.138 --> 03:11:58.678]  I walk down the street, people get it.
[03:11:58.678 --> 03:12:06.421]  Now sure, about a third of the public can't tie their shoelaces and they're long gone, you know, George Soros control, but a large group of people, a majority now,
[03:12:07.549 --> 03:12:09.729]  Are awake, and here's what's scary to the establishment.
[03:12:09.729 --> 03:12:11.610]  They're getting awake a lot faster.
[03:12:11.610 --> 03:12:21.612]  So barring launching a big war, barring a total stock market collapse, which we're already headed towards, barring societal breakdown, they're not going to be able to organize and keep themselves in power.
[03:12:21.612 --> 03:12:25.692]  And even a societal breakdown will only blow up in their face.
[03:12:25.692 --> 03:12:29.113]  There's nothing they can do.
[03:12:29.113 --> 03:12:31.153]  Elites always believe they're invincible.
[03:12:31.153 --> 03:12:32.874]  They always believe they're unstoppable.
[03:12:32.874 --> 03:12:33.834]  So you have the big jewel.
[03:12:34.605 --> 03:12:49.810]  The internet and their own delusion, instead of admitting they've lied in the last decade as their credibility collapsed, they began to double and triple down, making fun of us, laughing at us, saying we're pathetic, saying we wear tinfoil hats.
[03:12:49.810 --> 03:12:59.553]  That's all they've got is this Carnival Barker scam to act like we're the ones with no credibility and he's that Alex Jones, that nut on the internet.
[03:13:00.692 --> 03:13:09.238]  I am so proud we're self-made in a market of ideas coming from local radio and AXS TV 21 years ago.
[03:13:09.238 --> 03:13:12.881]  I like my grassroots bonafides.
[03:13:12.881 --> 03:13:18.505]  But you're all from trashy families, social climbers, who went and sold yourselves out to the elite.
[03:13:18.505 --> 03:13:28.372]  I go study most of these talk show hosts and most of these movie people and most of these political hosts, and man, they come from families where their dad was a con artist and their mom was involved in weird stuff.
[03:13:29.813 --> 03:13:37.757]  And nothing bad about this, but failures and swindles and scams and they just, the elite went and found a bunch of trash.
[03:13:37.757 --> 03:13:39.298]  Most of the people out here aren't trash.
[03:13:39.298 --> 03:13:42.159]  You come from a family of plumbers that are good, honorable, hardworking folks.
[03:13:42.159 --> 03:13:43.660]  You're good people.
[03:13:43.660 --> 03:13:46.241]  You put them in power, they do a great job.
[03:13:46.241 --> 03:13:49.422]  Ranchers, police officers, whatever the case is.
[03:13:49.422 --> 03:13:56.806]  But you look at the political class, they're all these wannabe nouveau riche trash who are sociopathic, narcissistic, empty.
[03:13:58.055 --> 03:14:18.712]  Totally dishonorable, so they were typecast and picked to be the cacophony of parrots to sit up there repeating the same thing over and over again so we would all feel like we were alone when we thought, well I thought tax cuts helped, or I thought family was okay, or I thought guns were alright for self-defense, or gee they just don't seem to get that good people defend themselves.
[03:14:18.712 --> 03:14:19.773]  Of course they get it!
[03:14:19.773 --> 03:14:24.137]  They're a ruling class of filth trying to capture the greatest nation on earth!
[03:14:26.445 --> 03:14:31.367]  And then I realized good people never brag about their families.
[03:14:31.367 --> 03:14:37.069]  Good people don't ever just think what good folks they come from or what their ancestors did, or they don't even go look into it.
[03:14:37.069 --> 03:14:39.990]  And then I went and looked into my family and all the things they did.
[03:14:39.990 --> 03:14:43.591]  I mean, I'm going to go back to the founding of the country, the Mayflower, Texas Independence.
[03:14:43.591 --> 03:14:46.633]  I mean, at the detonator level of it with Andrew Jackson.
[03:14:46.633 --> 03:14:49.093]  I mean, my family was detonator level.
[03:14:49.093 --> 03:14:52.315]  On my mom's side, complete, absolute detonator.
[03:14:52.315 --> 03:14:53.595]  Original funding, everything.
[03:14:53.595 --> 03:14:54.896]  And you bet it was a covert operation.
[03:14:54.896 --> 03:14:55.436]  You better believe it.
[03:14:57.205 --> 03:15:06.255]  And then he goes right through to my grandfather coming back from World War II and runs as a Republican for desegregation and then works with Eisenhower and his little county and has the Klan come after him.
[03:15:06.255 --> 03:15:11.640]  So I can be called Klan today by a bunch of racist Mexicans with Mexican flags acting like jackasses.
[03:15:12.501 --> 03:15:15.883]  I mean, I just realized, of course I'm fighting tyranny.
[03:15:15.883 --> 03:15:17.584]  Of course I'm not out to screw people.
[03:15:17.584 --> 03:15:18.985]  Of course I'm not trash.
[03:15:18.985 --> 03:15:20.625]  And Trump's the same.
[03:15:20.625 --> 03:15:22.587]  You don't start a fight with Trump, you don't get one.
[03:15:22.587 --> 03:15:23.607]  He's for prosperity.
[03:15:23.607 --> 03:15:26.609]  He does hard-nosed, you know, deals.
[03:15:26.609 --> 03:15:34.333]  But he does want to bring back this republic, and that's why that swamp of trash and filth and scum are coming after him.
[03:15:35.376 --> 03:15:44.119]  And if he thinks Megyn Kelly and Little Twinkle Eyes, Paul Ryan aren't gonna stab him in the back when they're trying to act friendly now, he's crazy.
[03:15:44.119 --> 03:15:49.101]  They're just holding back because at a metaphysical level, they come from filth.
[03:15:49.101 --> 03:15:51.742]  You look them up, they come from trash.
[03:15:51.742 --> 03:15:57.204]  And they inherently have an instinct of trash because they are trash.
[03:15:57.204 --> 03:16:04.367]  And to them, the jewel of America and hijacking it and raping it and destroying it attracts them.
[03:16:06.212 --> 03:16:10.366]  George Soros, the Saudis, the Communist Chinese leaders, these are bad people!
[03:16:11.598 --> 03:16:16.602]  They have to be recognized as who they are, wanting to conquer greater men and women.
[03:16:16.602 --> 03:16:18.763]  So now you've seen the big secret.
[03:16:18.763 --> 03:16:19.404]  You already knew it.
[03:16:19.404 --> 03:16:20.505]  You know I'm telling you the truth.
[03:16:20.505 --> 03:16:21.385]  It's the Internet.
[03:16:21.385 --> 03:16:22.026]  It's bigger.
[03:16:22.026 --> 03:16:22.566]  It's there.
[03:16:22.566 --> 03:16:23.247]  It's the people.
[03:16:23.247 --> 03:16:24.788]  We've broken with mainstream news.
[03:16:24.788 --> 03:16:26.589]  We don't buy a word they say.
[03:16:26.589 --> 03:16:28.331]  They can't ever put it back in the bottle again.
[03:16:28.331 --> 03:16:34.315]  We're going back to basic Americana and what worked in free market, not something like they're saying they don't know where they're going or where they're doing.
[03:16:34.315 --> 03:16:35.016]  Yes, they do.
[03:16:35.016 --> 03:16:36.397]  They've rediscovered liberty.
[03:16:36.397 --> 03:16:37.398]  We've rediscovered it.
[03:16:37.398 --> 03:16:38.218]  We've promoted it.
[03:16:38.218 --> 03:16:39.319]  Ron Paul's promoted it.
[03:16:39.319 --> 03:16:40.280]  Countless others have promoted it.
[03:16:41.280 --> 03:16:49.584]  And so now, we're selling what works, what feels good, what's honorable, what's true, what's historical, what our forebearers did.
[03:16:49.584 --> 03:16:57.347]  And it's spiritually, metaphysically clicking in all of us as the spirit of America comes back from the dead.
[03:16:57.347 --> 03:17:00.068]  That we do the hanging!
[03:17:00.068 --> 03:17:01.429]  We run the show!
[03:17:01.429 --> 03:17:02.570]  We build the ships!
[03:17:02.570 --> 03:17:03.750]  We fought the wars!
[03:17:03.750 --> 03:17:05.751]  We planted the crops!
[03:17:05.751 --> 03:17:07.432]  We took care of the kids!
[03:17:07.432 --> 03:17:08.892]  We went in the mines!
[03:17:08.892 --> 03:17:09.273]  Not you!
