[00:00.000 --> 00:29.000]  Ladies and gentlemen, we are live on this Friday, November 27th, 2020.
[2:54:13.000 --> 2:54:42.000]  Well, blew me away, ladies and gentlemen, because fundamentally, you know, I think the three major religions in the world, Christianity, Islam, the Jewish faith, these are, and even most of the esoteric sees us as an expression of something divine.
[2:54:42.000 --> 2:54:49.000]  The fact that someone wouldn't know what that means tells me I should talk about that today.
[2:54:49.000 --> 2:55:01.000]  So I want to start out the broadcast talking about what does it mean and what have I read recently that might help illustrate what that means in the context of science and technology, the language that most people get.
[2:55:01.000 --> 2:55:07.000]  Well, there was a recent study released, in fact, it was released just in the last week.
[2:55:07.000 --> 2:55:13.000]  This is very timely, as these things always are. This is Dr. Nick Begich. We've got some messages coming up.
[2:55:13.000 --> 2:55:33.000]  These are incredibly important to support this network. On the high points of the week, this is the info wars. We'll be right back.
[2:55:33.000 --> 2:55:40.000]  Most of the world submitted to the unconstitutional criminal lockdowns directed by the communist Chinese and the United Nations.
[2:55:40.000 --> 2:55:51.000]  And now because the slaves have proven themselves to be subservient, the worst Australian models of complete lockdown so you can't even leave your house for months and months are being announced.
[2:55:51.000 --> 2:56:01.000]  And in Germany, the police are using giant armored tanks with water cannons to blast men, women and children that protest the fact that Merkel, the dictator, has put them under her control.
[2:56:01.000 --> 2:56:09.000]  That's right, she's been ringing elections for years and years. And the same thing is coming here to the United States. This is world government.
[2:56:09.000 --> 2:56:16.000]  In Philadelphia, they've announced four people or more seen together will be arrested. They're announcing the Christmas is canceled.
[2:56:16.000 --> 2:56:26.000]  This is what the communist takeover looks like, to bankrupt you, to take red of all your due process and absolutely transform the world into a prison planet.
[2:56:26.000 --> 2:56:33.000]  How long have we warned you about this? But you can fight back. America is the last bastion. Stop submitting.
[2:56:33.000 --> 2:56:52.000]  Live from Austin, Texas, broadcasting worldwide. It's Alex Jones. And now your host, Nick Baggage.
[2:56:52.000 --> 2:57:01.000]  All right, I want to pick up where I left off because I'm kind of excited about this because it's a great question, you know, and it's a question that deserves an answer.
[2:57:01.000 --> 2:57:16.000]  And what I read this week that really just blew me away was a science article about the human brain and the neuro connections and the pathways through the brain and all of these centers of the brain that have been identified
[2:57:16.000 --> 2:57:28.000]  and and imaged and put in a three dimensional model, if you will. And this is what is really interesting is that three dimensional model at scale, you know, really small.
[2:57:28.000 --> 2:57:42.000]  You know, when you think about our brain compared to the size of, say, the universe, as an example, you know, which is all the galaxies and, you know, and all the energy flowing between these
[2:57:42.000 --> 2:57:52.000]  bodies of mass, which is an expression of energy, if you really understand it, you know, without going over the math, but if you really understand it.
[2:57:52.000 --> 2:58:04.000]  And so here's what the brain is on scale. You can look at the brain on scale and they did and it scales perfectly with the universe.
[2:58:04.000 --> 2:58:19.000]  Let me say that again, the human brain scales perfectly with the universe, the energy centers correlate with galaxies and energy centers that are identified as mass throughout the universe.
[2:58:19.000 --> 2:58:29.000]  And it's, you know, think about that as sort of a beginning point for this idea of being created in the image and likeness of God being in the image and likeness of a creator and what that really means.
[2:58:29.000 --> 2:58:41.000]  So I've expressed it differently in different programs through the, through the last few years in implores. And one of the ways I've talked about it is a holographic thing, you know, sort of like, if you look at a hologram, you keep slicing it up
[2:58:41.000 --> 2:58:48.000]  and slicing it up into smaller and smaller bits, but you still see the same image in it. It's still got a complete hole in it.
[2:58:48.000 --> 2:58:57.000]  It's complete in it. So by analogy, by comparison, you know, we're kind of like that hologram and now science is even telling us more about it.
[2:58:57.000 --> 2:59:09.000]  This is the power of it, you see, because if we can learn how to work through our consciousness and the brain, the mind is sort of the bridge between different aspects of what we are.
[2:59:09.000 --> 2:59:20.000]  Okay, it's the bridge place between the flesh and the physical and the emotional and the mental that connects us to the spiritual, which is connecting us to consciousness itself.
[2:59:20.000 --> 2:59:29.000]  And it's expressed in our very physiology, even in the mathematics of living organisms, you see it throughout nature, you can read about this, you can study this.
[2:59:29.000 --> 2:59:42.000]  It's not taught as integrated science anymore because there is no integrated science or hasn't been in many, many, many decades, which is the hole in all of it, the void in all of it.
[2:59:42.000 --> 3:00:03.000]  And you know that void actually in the universe, the empty space actually contains something like the brain contains water for all that space around all those neuro connections and energy centers within the brain that correlate to the universe and all of the galaxies in the universe.
[3:00:03.000 --> 3:00:14.000]  Does that seem so strange that God would express itself in one form as all, the all, the everything, and then you're creating that image, what does that mean?
[3:00:14.000 --> 3:00:20.000]  And there would be different ways of seeing that if we could ever get the resolution high enough to look within.
[3:00:20.000 --> 3:00:29.000]  So we're doing it on a fleshy sort of basis still, mapping neural pathways, looking at the body, looking at our biology.
[3:00:29.000 --> 3:00:38.000]  When underlying this is also another system, I've talked about it, and other people get all weirded out about it sometimes, but it's a true system, you can measure it.
[3:00:38.000 --> 3:00:42.000]  And it's the electromagnetic system of the human body.
[3:00:42.000 --> 3:00:54.000]  It's expressed in a lot of different ways through thousands of years by those who could see and understand what they were looking at or feeling or sensing when we weren't so tuned out from what we are.
[3:00:54.000 --> 3:01:00.000]  Because here's what happens. We're in a soup of noise, electromagnetic noise from a scientific perspective.
[3:01:00.000 --> 3:01:12.000]  There's a billion times more electromagnetic radiation around us, man made actually, than existed in nature a little over 120 years ago.
[3:01:12.000 --> 3:01:21.000]  So we are in a soup of noise, a soup of electromagnetic noise that has shut us off from what we are.
[3:01:21.000 --> 3:01:24.000]  We no longer connect to anything natural.
[3:01:24.000 --> 3:01:43.000]  And now they want to cover our faces and hold us in our homes in a mass arrest of our consciousness and our physical bodies all at the same time as the information pipeline dumps its cesspool of information into our minds.
[3:01:43.000 --> 3:01:54.000]  Because most of it is tailored just for what you want to hear, what will appeal to the flesh, what will appeal to your base personality.
[3:01:54.000 --> 3:02:05.000]  And that's what we need to resist and wake up from and recognize what we are and who we are and not get pushed around by those that would intrude on the very essence of what we are.
[3:02:05.000 --> 3:02:11.000]  And this is the technology of the 21st century that I've been talking about for 25 years.
[3:02:11.000 --> 3:02:15.000]  In science terms, okay, in the science of it.
[3:02:15.000 --> 3:02:25.000]  So there's 1600 references in the four books that are still on implores that lay the matrix out for you if you need that level of diving.
[3:02:25.000 --> 3:02:26.000]  Go ahead, dive in.
[3:02:26.000 --> 3:02:32.000]  And then I challenge you to challenge me in this way.
[3:02:32.000 --> 3:02:34.000]  Don't believe what I say.
[3:02:34.000 --> 3:02:45.000]  Look it up yourself and take possession of your life and start acting as a creator you were intended to be and do what you can do with the faith of a mustard seed.
[3:02:45.000 --> 3:02:47.000]  All right, just start with that.
[3:02:47.000 --> 3:02:52.000]  What does that mean in the context of being created in the image of a creator?
[3:02:52.000 --> 3:02:55.000]  It means simply this.
[3:02:55.000 --> 3:03:00.000]  What you know to be right and true, you begin to act on it.
[3:03:00.000 --> 3:03:06.000]  And metaphorically and real holistically, you will move mountains.
[3:03:06.000 --> 3:03:12.000]  Let me say it again, not just metaphorically, although that will happen too, because that's usually the place people start.
[3:03:12.000 --> 3:03:15.000]  And then you'll see it expressed in the world because that's who we are.
[3:03:15.000 --> 3:03:16.000]  That's what we are.
[3:03:16.000 --> 3:03:19.000]  That's what's possible in 21st century.
[3:03:19.000 --> 3:03:32.000]  And what so much is lost sight of and then I discover someone in their late fifties in the European Commission doesn't know what that means.
[3:03:32.000 --> 3:03:34.000]  Whoa.
[3:03:34.000 --> 3:03:43.000]  So as I look at the world and determine what platform change happens, it happens on the platform of values and belief systems.
[3:03:43.000 --> 3:03:53.000]  It happens on ideas that get expressed into how we create in the world, how we move our words into creation in the world.
[3:03:53.000 --> 3:04:00.000]  You see, that's the other thing that we have as human souls, the ability to create things.
[3:04:00.000 --> 3:04:08.000]  You know, in the last segment, Owen was talking about sex, all right, and how that's exploited, sexual energy and how that's exploited.
[3:04:08.000 --> 3:04:12.000]  You know, that's the core of creative energy.
[3:04:12.000 --> 3:04:19.000]  You know, within many of the occult rituals, and I've studied that I studied them.
[3:04:19.000 --> 3:04:32.000]  That was part of my earliest investigation in life was all of the various religions and cults, all of the correlations between parapsychology and all of that.
[3:04:32.000 --> 3:04:42.000]  From the time I was about 12 till around 17, 18, and that reading was probably, I don't know, 1000 titles, something like that.
[3:04:42.000 --> 3:04:46.000]  A lot of books, a lot of material, a lot of inquiry.
[3:04:46.000 --> 3:04:56.000]  You know, but that's been my life, you know, is to learn a lot about a lot of different things and try and find some way to piece it together and sort of bring it together so that we might be more potent.
[3:04:56.000 --> 3:05:02.000]  And I'll tell you the thing that gets in the way the most is a powerful intellect, you know, I'll tell you what.
[3:05:02.000 --> 3:05:11.000]  Because to get to the finish line of knowing is a journey I would not wish on anyone.
[3:05:11.000 --> 3:05:14.000]  But here's what I do know is the path you pick is the right one.
[3:05:14.000 --> 3:05:15.000]  It's yours.
[3:05:15.000 --> 3:05:16.000]  It's yours individually.
[3:05:16.000 --> 3:05:20.000]  The creator has a relationship with you individually, whether you know it or not.
[3:05:20.000 --> 3:05:27.000]  And you can express yourself whether you know it or not, you're doing it, either you're doing it with awareness or you're doing it unconsciously.
[3:05:27.000 --> 3:05:32.000]  And hey, the creator does care, but it doesn't matter.
[3:05:32.000 --> 3:05:33.000]  Let me say that again.
[3:05:33.000 --> 3:05:35.000]  Does care, but doesn't matter.
[3:05:35.000 --> 3:05:36.000]  What does that mean?
[3:05:36.000 --> 3:05:39.000]  Well, that means it's going to happen whether you're aware of it or not.
[3:05:39.000 --> 3:05:42.000]  You're going to participate whether you're aware of it or not.
[3:05:42.000 --> 3:05:43.000]  I believe that.
[3:05:43.000 --> 3:05:44.000]  I know a number of other people do too.
[3:05:44.000 --> 3:05:46.000]  And because we believe that it is so.
[3:05:46.000 --> 3:05:52.000]  Because the power of knowing is the power of faith and that's how mountains get moved.
[3:05:52.000 --> 3:05:54.000]  And you're in it with us.
[3:05:54.000 --> 3:06:07.000]  You're in it with us every day that you listen and then you try to internalize and change and project yourself in the world more, more efficiently, more lovingly, more kindly, with more power that we're created for.
[3:06:07.000 --> 3:06:13.000]  You know, I was thinking about this too many people build shells around themselves, artificial or otherwise.
[3:06:13.000 --> 3:06:15.000]  This is not what's needed to protect us.
[3:06:15.000 --> 3:06:22.000]  What's needed is to be higher expressions of kindness, higher expressions of love in the midst when you see none.
[3:06:22.000 --> 3:06:23.000]  Be that.
[3:06:23.000 --> 3:06:24.000]  Be that.
[3:06:24.000 --> 3:06:25.000]  Be the tip of the spear.
[3:06:25.000 --> 3:06:28.000]  Be that word that changes minds and hearts.
[3:06:28.000 --> 3:06:29.000]  This is Nick Begge.
[3:06:29.000 --> 3:06:30.000]  We'll be right back.
[3:06:30.000 --> 3:06:32.000]  The Great Reset.
[3:06:32.000 --> 3:06:34.000]  Where have I heard of that before?
[3:06:34.000 --> 3:06:36.000]  Oh, the great leap forward.
[3:06:36.000 --> 3:06:48.000]  Mao Zedong ordering all the small towns and small farms to basically shut down and have the rural people and the small business people move into the big cities and go under communist commune control.
[3:06:48.000 --> 3:06:49.000]  And that's all this is.
[3:06:49.000 --> 3:06:53.000]  The big mega banks want to break us to the same ones that put Mao Zedong into power.
[3:06:53.000 --> 3:06:58.000]  And they're creating the process of getting rid of our old economy and bringing in the new economy where everything's free.
[3:06:58.000 --> 3:07:02.000]  Because when you're a prisoner, well, everything's free, but you're also a slave.
[3:07:02.000 --> 3:07:07.000]  Scotland is going to have universal guaranteed incomes now of subsistence level.
[3:07:07.000 --> 3:07:09.000]  But of course, you got to take those vaccines.
[3:07:09.000 --> 3:07:10.000]  You can't have any kids.
[3:07:10.000 --> 3:07:16.000]  And oh, don't worry, though, all of the tampons and stuff like that is free too as well.
[3:07:16.000 --> 3:07:17.000]  I'm not kidding.
[3:07:17.000 --> 3:07:19.000]  So give me some free paper.
[3:07:19.000 --> 3:07:22.000]  They give me enough money to basically live in a tiny apartment, but they own you.
[3:07:22.000 --> 3:07:23.000]  They control you.
[3:07:23.000 --> 3:07:24.000]  That's the Great Reset.
[3:07:24.000 --> 3:07:30.000]  That's why it's got to be resisted to total takeover and we're fighting it at infowars.com.
[3:07:30.000 --> 3:07:34.000]  Cognitive dissonance is a major issue amongst the left.
[3:07:34.000 --> 3:07:38.000]  It can be very stressful dealing with facts you refuse to accept.
[3:07:38.000 --> 3:07:43.000]  If you have a family member suffering from this degenerative mental condition,
[3:07:43.000 --> 3:07:47.000]  buy them a bottle of ultimate fish oil from infowarsstore.com.
[3:07:47.000 --> 3:07:54.000]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure,
[3:07:54.000 --> 3:08:00.000]  decrease triglyceride levels, decrease the growth rate of plaque and provide a soothing reduction
[3:08:00.000 --> 3:08:04.000]  in inflammatory responses in joints and the digestive system.
[3:08:04.000 --> 3:08:11.000]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function
[3:08:11.000 --> 3:08:16.000]  by increasing the concentration and activity of immune cells.
[3:08:16.000 --> 3:08:22.000]  It worked for my family and now I can have a logical and calm discussion about actual facts
[3:08:22.000 --> 3:08:24.000]  that pertain to reality.
[3:08:24.000 --> 3:08:53.000]  Get your ultimate fish oil for a friend, family member or yourself at infowarsstore.com.
[3:08:53.000 --> 3:09:03.000]  Because there is a war on for your mind with Nick Begich.
[3:09:03.000 --> 3:09:05.000]  And welcome back.
[3:09:05.000 --> 3:09:09.000]  Just thinking about all this again this week.
[3:09:09.000 --> 3:09:15.000]  When I go into my week, I've got a lot of stuff going on in a couple of different areas
[3:09:15.000 --> 3:09:18.000]  so I'm kind of moving in and out of a few different worlds.
[3:09:18.000 --> 3:09:24.000]  I'm trying to develop some things on my mining and tourism interests in Alaska
[3:09:24.000 --> 3:09:29.000]  and I'm trying to develop the same time my public agenda for what I do every week.
[3:09:29.000 --> 3:09:31.000]  So you kind of get it ready and you do it.
[3:09:31.000 --> 3:09:35.000]  A lot of times you don't even realize you're doing it when it's happening.
[3:09:35.000 --> 3:09:40.000]  So a lot of the material I read this week that was not intended for this program is going to end up here anyway.
[3:09:40.000 --> 3:09:42.000]  And that's the way it works.
[3:09:42.000 --> 3:09:46.000]  And I appreciate that and I appreciate how it comes together.
[3:09:46.000 --> 3:09:53.000]  Because all week long everyone on the network is dealing with all different aspects of the politics
[3:09:53.000 --> 3:09:59.000]  and sort of what's behind it and even the spiritual dimensions of all that as well.
[3:09:59.000 --> 3:10:05.000]  And at the end of the week I get the fourth hour on a Friday to kind of wrap things up.
[3:10:05.000 --> 3:10:10.000]  And I always try to think about all this in maybe a little different way
[3:10:10.000 --> 3:10:16.000]  to get us to kind of break some of these patterns that we've gotten ourselves locked into.
[3:10:16.000 --> 3:10:19.000]  And this is the systems themselves support this.
[3:10:19.000 --> 3:10:23.000]  And this is sort of the other area of my research has been personal privacy
[3:10:23.000 --> 3:10:26.000]  and what people are now calling surveillance capitalism.
[3:10:26.000 --> 3:10:30.000]  But I just call it the push system, you know, the manipulation system.
[3:10:30.000 --> 3:10:36.000]  The system of grabbing you and choking you by the throat till the air is gone
[3:10:36.000 --> 3:10:38.000]  and they just drag you around like the carcass.
[3:10:38.000 --> 3:10:43.000]  Because that's how we're being treated on so many levels and we don't even see it.
[3:10:43.000 --> 3:10:48.000]  There's a video that's trending actually, it's called The Social Dilemma.
[3:10:48.000 --> 3:10:50.000]  I recommend it highly.
[3:10:50.000 --> 3:10:53.000]  It's timely right now, extremely timely.
[3:10:53.000 --> 3:10:58.000]  The social dilemma, I think it's a Netflix thing, but I did get a chance to see it.
[3:10:58.000 --> 3:11:04.000]  And it's so much of what we've been saying for 25 years for a quarter of a century.
[3:11:04.000 --> 3:11:10.000]  And it's rolled out and so I get into that a bit about what does all this mean
[3:11:10.000 --> 3:11:13.000]  and how does that work and what does it mean for you?
[3:11:13.000 --> 3:11:18.000]  Well, what it means for you, every one of us who's a you, that's all of us.
[3:11:18.000 --> 3:11:22.000]  Me, you, everybody, even me, I go into the Internet.
[3:11:22.000 --> 3:11:23.000]  Believe me, I do.
[3:11:23.000 --> 3:11:25.000]  I get my research and things there.
[3:11:25.000 --> 3:11:30.000]  But what keeps getting narrowed is what I can look at.
[3:11:30.000 --> 3:11:34.000]  You see, because it keeps tailoring to my search patterns
[3:11:34.000 --> 3:11:38.000]  and then keeps shoving garbage at me that it wants me to click on.
[3:11:38.000 --> 3:11:39.000]  Don't click on that stuff.
[3:11:39.000 --> 3:11:41.000]  Just ignore it.
[3:11:41.000 --> 3:11:43.000]  Always drive your own awareness.
[3:11:43.000 --> 3:11:45.000]  All right, this is the first step.
[3:11:45.000 --> 3:11:48.000]  Don't take the bait.
[3:11:48.000 --> 3:11:55.000]  It's designed, if you think about it as having a digital pheromones attached to you.
[3:11:55.000 --> 3:12:03.000]  You know, it's your formula or grabbing you by the throat and choking the air out of you.
[3:12:03.000 --> 3:12:05.000]  So you just do a carcass being drug around.
[3:12:05.000 --> 3:12:06.000]  Don't be that.
[3:12:06.000 --> 3:12:08.000]  Don't be that.
[3:12:08.000 --> 3:12:10.000]  So how do you avoid it?
[3:12:10.000 --> 3:12:14.000]  One of the best inoculations is don't take the bait.
[3:12:14.000 --> 3:12:15.000]  Do your searches.
[3:12:15.000 --> 3:12:17.000]  Try to find the safe engines.
[3:12:17.000 --> 3:12:19.000]  You know, don't use the Google.
[3:12:19.000 --> 3:12:21.000]  You can help it, but sometimes it's just more efficient.
[3:12:21.000 --> 3:12:29.000]  All right, whatever the excuse is, just make sure you're driving the search.
[3:12:29.000 --> 3:12:33.000]  All right, you drive the search for your own information
[3:12:33.000 --> 3:12:37.000]  because otherwise you're being driven to the search.
[3:12:37.000 --> 3:12:41.000]  So whether it's the negative view or the positive view
[3:12:41.000 --> 3:12:45.000]  or the other 50 million, 7 billion views,
[3:12:45.000 --> 3:12:51.000]  the one that will be your fingerprint in the digital world is already defined.
[3:12:51.000 --> 3:12:54.000]  Your fingerprint has already been given up.
[3:12:54.000 --> 3:12:58.000]  Your digital blueprint for your whole life has been spread out on the internet
[3:12:58.000 --> 3:13:05.000]  like litter dumped on the highway for people just to rummage through as they will
[3:13:05.000 --> 3:13:07.000]  as they happen to blow by it.
[3:13:07.000 --> 3:13:09.000]  That's wrong, fundamentally wrong.
[3:13:09.000 --> 3:13:12.000]  I was in another conversation with a friend of mine
[3:13:12.000 --> 3:13:15.000]  that used to be real high up in Microsoft.
[3:13:15.000 --> 3:13:20.000]  He's not anymore, but he still has the concepts that were delivered there
[3:13:20.000 --> 3:13:24.000]  that I still have a hard time with and it's the personal privacy.
[3:13:24.000 --> 3:13:27.000]  So he's got some ideas and they're actually patents
[3:13:27.000 --> 3:13:32.000]  that he wants to push out there so that we can all have some ability to screen out
[3:13:32.000 --> 3:13:36.000]  our personal privacy and all that, which is a great idea as far as it goes.
[3:13:36.000 --> 3:13:40.000]  But I still don't trust the systems and more importantly,
[3:13:40.000 --> 3:13:43.000]  I don't think we should be asked the questions.
[3:13:43.000 --> 3:13:47.000]  Now, my good friend takes exception to that because, you know,
[3:13:47.000 --> 3:13:51.000]  I mean, if he can make money on the patents, that'd be great for him.
[3:13:51.000 --> 3:13:52.000]  But here's how I view it.
[3:13:52.000 --> 3:13:54.000]  You should not be allowed.
[3:13:54.000 --> 3:13:56.000]  That's the me in you and the you and me.
[3:13:56.000 --> 3:14:02.000]  None of us should be allowed to give up our personal privacy as an option
[3:14:02.000 --> 3:14:03.000]  by checking the box.
[3:14:03.000 --> 3:14:05.000]  I accept the terms.
[3:14:05.000 --> 3:14:09.000]  No one should ever be able to ask you to do that.
[3:14:09.000 --> 3:14:11.000]  Let me say that again.
[3:14:11.000 --> 3:14:19.000]  No one should ever be able or allowed legally to ask you to give up your rights.
[3:14:19.000 --> 3:14:20.000]  That would be OK.
[3:14:20.000 --> 3:14:24.000]  If that was all OK, then they could ask you, for instance,
[3:14:24.000 --> 3:14:28.000]  hey, how about giving up your right to be free and just be my slave
[3:14:28.000 --> 3:14:30.000]  and I'll pay your family X dollars?
[3:14:30.000 --> 3:14:32.000]  See, we don't allow that, right?
[3:14:32.000 --> 3:14:33.000]  Because that's immoral.
[3:14:33.000 --> 3:14:34.000]  That's wrong.
[3:14:34.000 --> 3:14:39.000]  We allow it with our free speech, the fundamental that gets us to not knowing that piece of information
[3:14:39.000 --> 3:14:42.000]  that's selling each other into slavery is wrong.
[3:14:42.000 --> 3:14:48.000]  The reason we know that is because we have free speech coming out of our soul
[3:14:48.000 --> 3:14:54.000]  as long as we remain free and understand what liberty is.
[3:14:54.000 --> 3:14:57.000]  Liberty begins in our awareness.
[3:14:57.000 --> 3:15:01.000]  Liberty begins in what we were created to be.
[3:15:01.000 --> 3:15:04.000]  Liberty begins there.
[3:15:04.000 --> 3:15:06.000]  That is where freedom happens.
[3:15:06.000 --> 3:15:16.000]  And then from that realm of the unseen, it drops in between our ears, in our brains, in our minds,
[3:15:16.000 --> 3:15:22.000]  in our consciousness, in our connection to what's high and what's fleshy and low.
[3:15:22.000 --> 3:15:29.000]  And in that translation is formed our personality and our individuality within our brain, right?
[3:15:29.000 --> 3:15:30.000]  That's what we are.
[3:15:30.000 --> 3:15:37.000]  But we start with the programming that people start shoving on us in lots of different ways, right?
[3:15:37.000 --> 3:15:40.000]  Our parents' program, that's their job.
[3:15:40.000 --> 3:15:41.000]  That's our job.
[3:15:41.000 --> 3:15:44.000]  Society programs too.
[3:15:44.000 --> 3:15:46.000]  Our culture does too.
[3:15:46.000 --> 3:15:49.000]  A whole lot of other interests do too.
[3:15:49.000 --> 3:15:57.000]  And now they do it on steroids because they compete not for your consciousness in the same way just yet,
[3:15:57.000 --> 3:16:00.000]  but they're competing for your attention.
[3:16:00.000 --> 3:16:06.000]  They want your attention because that makes you a commodity that can be sold.
[3:16:06.000 --> 3:16:11.000]  So, you know, we're kind of stuck in the digital world right now in a lot of ways,
[3:16:11.000 --> 3:16:18.000]  but we can choose how we enter it, how we exit it, how we oscillate within it to a great extent still.
[3:16:18.000 --> 3:16:24.000]  But here's what the New World Order in the deep state fears the most.
[3:16:24.000 --> 3:16:31.000]  People who are fearless, people who know who they are and what they were creating the image and likeness of
[3:16:31.000 --> 3:16:34.000]  and what that truly means at the root of what we are.
[3:16:34.000 --> 3:16:38.000]  And there are a lot of people awakening to that.
[3:16:38.000 --> 3:16:43.000]  And people ask me, I asked the question of this bureaucrat in Belgium.
[3:16:43.000 --> 3:16:47.000]  I said, how do you think I started doing this 25 years ago?
[3:16:47.000 --> 3:16:50.000]  You know, who do you think I was trying to reach?
[3:16:50.000 --> 3:16:53.000]  And she said, oh, millions and millions and millions of people.
[3:16:53.000 --> 3:16:59.000]  And I said, no, no, that wasn't why I did this and not why I started this.
[3:16:59.000 --> 3:17:06.000]  I did this to only hope with the best of hopes to reach one, the right one.
[3:17:06.000 --> 3:17:14.000]  And I believe I have and I believe that right one is you, every one of you.
[3:17:14.000 --> 3:17:22.000]  That's it. Alls I wanted to do is give some information so you would start asking yourselves, ourselves, each of us.
[3:17:22.000 --> 3:17:26.000]  What's important? How do we project in the world? And let's do it better.
[3:17:26.000 --> 3:17:28.000]  This is Nick Pegg. We'll be right back.
[3:17:28.000 --> 3:17:34.000]  There is an economic war taking place of the ruling class to consolidate power and control.
[3:17:34.000 --> 3:17:43.000]  There's a headline out from Zero Hedge that breaks down Bloomberg numbers that global airlines are set to lose $157 billion this year
[3:17:43.000 --> 3:17:47.000]  by the end of December. It's already over $130 billion they've lost.
[3:17:47.000 --> 3:17:53.000]  Why would they take part in the hoax, in the lockdown, in the hysteria if it hurts them?
[3:17:53.000 --> 3:17:56.000]  Well, see, that'll knock out all the small airlines and consolidate control.
[3:17:56.000 --> 3:17:59.000]  And it's the same in every single industry.
[3:17:59.000 --> 3:18:01.000]  And the big megabanks have unlimited capital.
[3:18:01.000 --> 3:18:06.000]  They want to bankrupt the world economy until they buy it up for pennies on the dollar.
[3:18:06.000 --> 3:18:10.000]  That's why the great stock market crash of 29 later turned out was engineered by some central banks.
[3:18:10.000 --> 3:18:13.000]  This is how the globalists take control.
[3:18:13.000 --> 3:18:17.000]  It stars the third world to death. It makes the first world poor.
[3:18:17.000 --> 3:18:19.000]  It's economic warfare.
[3:18:19.000 --> 3:18:24.000]  And it gives cover to the big megabanks that created thousands of trillions of dollars in fake derivatives.
[3:18:24.000 --> 3:18:26.000]  Only the truth will set us free.
[3:18:26.000 --> 3:18:45.000]  Imagine a dystopic novel or a dystopic science fiction movie where if you've had a cold, you can be locked up in your home, you can be taken away, you can be forcibly inoculated with drugs that masquerade as vaccines and actually change your very DNA.
[3:18:45.000 --> 3:18:47.000]  Well, that's where you are in the year 2020.
[3:18:47.000 --> 3:18:49.000]  Global government of the United Nations.
[3:18:49.000 --> 3:18:58.000]  All these authoritarian groups admit they're doing it. They even admit that they're doing it for power and control and that they're not even worried about COVID-19.
[3:18:58.000 --> 3:19:00.000]  That's what Klaus Schwab and others have said.
[3:19:00.000 --> 3:19:06.000]  Think about how it's saying that it's, oh, and big tech's got to track you. They've got to trace you. They've got to control you.
[3:19:06.000 --> 3:19:08.000]  You've got to have absolutely your house.
[3:19:08.000 --> 3:19:15.000]  You've got to have secret police come disappear you because, my God, this thing has one tenth of one percent chance of killing you.
[3:19:15.000 --> 3:19:18.000]  Give your ability to cancer or heart attack.
[3:19:18.000 --> 3:19:20.000]  This is their takeover.
[3:19:20.000 --> 3:19:25.000]  Imagine on America's death certificate, killed by the fear of the common cold.
[3:19:25.000 --> 3:19:49.000]  Yeah, that's fear monitoring. That's mind control.
[3:19:56.000 --> 3:19:59.000]  The two formulas are different, but both are concentrates.
[3:19:59.000 --> 3:20:01.000]  And our first product got rape reviews.
[3:20:01.000 --> 3:20:03.000]  We've now been testing this out for several months.
[3:20:03.000 --> 3:20:05.000]  Some of our staff like it more than bodies.
[3:20:05.000 --> 3:20:06.000]  Some like bodies better.
[3:20:06.000 --> 3:20:10.000]  For me, they're both amazing for their anti-inflammatory action and so much more.
[3:20:10.000 --> 3:20:12.000]  And they fund the M4.
[3:20:12.000 --> 3:20:15.000]  So get our new liquid turmeric extract exclusively.
[3:20:15.000 --> 3:20:18.000]  M4Store.com today, an additional 25 percent off.
[3:20:18.000 --> 3:20:21.000]  This is a 360 win.
[3:20:21.000 --> 3:20:26.000]  Turmeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[3:20:26.000 --> 3:20:55.000]  Get yours today at M4sLife.com.
[3:20:56.000 --> 3:21:01.000]  Welcome to the Alex Jones Show.
[3:21:01.000 --> 3:21:05.000]  Hey, I'm so glad to be here, really.
[3:21:05.000 --> 3:21:12.000]  And I was thinking about all this, you know, and just as I ended that last segment talking about one,
[3:21:12.000 --> 3:21:15.000]  one person is all that really matters and it's you, right?
[3:21:15.000 --> 3:21:18.000]  I mean, it really is you.
[3:21:18.000 --> 3:21:21.000]  You know, it's not waiting for the other guy.
[3:21:21.000 --> 3:21:26.000]  And I go back to when I started this work over 25 years ago.
[3:21:26.000 --> 3:21:33.000]  What I said then and I say it now and I mean it sincerely, I didn't want to organize an organization.
[3:21:33.000 --> 3:21:36.000]  Okay, not that that's a wrong way to approach things.
[3:21:36.000 --> 3:21:40.000]  I just knew that wasn't going to be mine this time around and what I was about to do.
[3:21:40.000 --> 3:21:44.000]  I wasn't going to create some big, complex organization.
[3:21:44.000 --> 3:21:46.000]  Alex's team is here.
[3:21:46.000 --> 3:21:48.000]  It's there and it's big and it's complex.
[3:21:48.000 --> 3:21:57.000]  And I thank God that Alex did this and with all of you because I can still do what I intended to do,
[3:21:57.000 --> 3:21:59.000]  which was be a committee of one.
[3:21:59.000 --> 3:22:05.000]  Here I am, the committee of one, just like you, and begin to act on what I believe to be right and true.
[3:22:05.000 --> 3:22:08.000]  And my example would show that you could make things change in the world.
[3:22:08.000 --> 3:22:09.000]  That's what I've been doing.
[3:22:09.000 --> 3:22:11.000]  I never organized a big organization.
[3:22:11.000 --> 3:22:13.000]  The most I ever had was a couple of part-time people.
