[00:00:09.031 --> 00:00:14.959]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones!
[02:58:15.106 --> 02:58:18.929]  Hey, how would you like to take InfoWars with you wherever you go?
[02:58:18.929 --> 02:58:24.173]  Well, now you can do just that with the new official InfoWars app.
[02:58:24.173 --> 02:58:25.474]  And here's the best part.
[02:58:25.474 --> 02:58:27.316]  It is absolutely free.
[02:58:27.316 --> 02:58:32.540]  At the Apple Store and Google Play, you can join the InfoWars today.
[02:58:32.540 --> 02:58:36.483]  Check it out right now at InfoWars.com forward slash app app.
[02:58:36.483 --> 02:58:40.607]  It's the InfoWars official app taken on the globalist at point blank range.
[02:58:40.607 --> 02:58:44.690]  And with your help spreading it and with your help downloading it, we are unstoppable.
[02:58:46.678 --> 02:58:51.520]  As the years go by, it gets harder and harder to keep up with your body's nutritional needs.
[02:58:51.520 --> 02:59:00.424]  With changes in diet, unnatural ingredients and stress, you may not be able to get all the necessary nutrients, amino acids, vitamins and minerals needed daily.
[02:59:00.424 --> 02:59:05.766]  That's why InfoWars Life created the powerful Vitamin Mineral Fusion Formula.
[02:59:05.766 --> 02:59:14.030]  The new platinum standard of advanced multivitamin formulation, Vitamin Mineral Fusion uses a unique delivery system to maximize the effects
[02:59:14.150 --> 02:59:14.470]  I think so.
[02:59:49.730 --> 02:59:55.915]  You're listening to the Alex Jones Show.
[02:59:55.915 --> 02:59:57.115]  Big Brother.
[02:59:57.115 --> 02:59:58.897]  Mainstream Media.
[02:59:58.897 --> 03:00:00.818]  Government cover-ups.
[03:00:00.818 --> 03:00:02.499]  You want to stop tyranny?
[03:00:02.499 --> 03:00:04.160]  Well, so does he.
[03:00:04.160 --> 03:00:08.844]  Live from the InfoWars.com studios, it's Alex Jones.
[03:00:10.979 --> 03:00:15.385]  Alright, Mike Adams here stepping in for the fourth hour of the Alex Jones Show today.
[03:00:15.385 --> 03:00:16.227]  Thank you for joining me.
[03:00:17.112 --> 03:00:21.054]  And big thanks to Owen Schroyer there for an excellent job on the show.
[03:00:21.054 --> 03:00:23.595]  We've got a lot coming up here for the fourth hour.
[03:00:23.595 --> 03:00:34.120]  First, I want to talk about Kanye and his appearance at the White House, because he's just done an extraordinary thing for America and for racial unity in America.
[03:00:34.120 --> 03:00:36.501]  So I'm going to cover that here in a minute.
[03:00:36.501 --> 03:00:43.824]  I'm also going to cover the stock market and what's going on with the Fed raising interest rates in an attempt to try to crash the market under Trump.
[03:00:44.364 --> 03:00:49.668]  Even as the Fed kept rates artificially low for virtually all eight years under Obama.
[03:00:49.668 --> 03:01:02.917]  I'm also going to then cover later in the hour the Hillary Clinton commitment to violence and why Democrats have now essentially become the radical left-wing domestic terrorism party.
[03:01:03.718 --> 03:01:04.398]  Of America.
[03:01:04.398 --> 03:01:09.381]  And if you vote for Democrats, you're voting for the destruction of your own nation.
[03:01:09.381 --> 03:01:11.763]  We'll talk about all those topics and much more.
[03:01:11.763 --> 03:01:16.946]  Also remind you, this Sunday, my show with InfoWars is called CounterThink.
[03:01:16.946 --> 03:01:18.967]  It airs Sunday at 6 p.m.
[03:01:18.967 --> 03:01:21.528]  Central Time at InfoWars.com.
[03:01:21.528 --> 03:01:31.414]  And there I have a very detailed breakdown of the coming Civil War, how it may play out, and some steps you should take to prepare yourself against
[03:01:33.105 --> 03:01:36.388]  The breakdown of society that the Democrats are now promising.
[03:01:36.388 --> 03:01:38.150]  So be sure to catch that show again.
[03:01:38.150 --> 03:01:40.331]  It's Sunday, 6 p.m.
[03:01:40.331 --> 03:01:42.753]  Central Time at Infowars.com.
[03:01:42.753 --> 03:01:44.235]  The show is called Counterthink.
[03:01:44.235 --> 03:01:51.180]  Now, getting back to Kanye, and I think he goes by Ye now, but I know his name is Kanye.
[03:01:51.180 --> 03:01:53.783]  I don't know him personally, but I'm just going to call him Kanye.
[03:01:53.783 --> 03:01:55.184]  I think he did an extraordinary thing today.
[03:01:55.876 --> 03:02:19.306]  By going to the White House and speaking with President Trump on very important topics and just being very transparent and open about how he feels as a black American, as a man who did not have a strong father figure in his family because his parents were divorced, and how strongly he feels about helping his fellow brothers and sisters, you know, fellow human beings.
[03:02:19.306 --> 03:02:20.867]  Kanye wants to uplift
[03:02:21.522 --> 03:02:24.603]  The African American communities all across America.
[03:02:24.603 --> 03:02:27.225]  In fact, Kanye wants what's best for all America.
[03:02:27.225 --> 03:02:29.806]  As far as, as far as, I mean, that's obvious.
[03:02:29.806 --> 03:02:31.787]  Just like President Trump does.
[03:02:31.787 --> 03:02:33.287]  And this is what they have in common.
[03:02:33.287 --> 03:02:38.010]  President Trump wants to help black Americans just as much as he wants to help white Americans.
[03:02:38.010 --> 03:02:44.172]  In fact, President Trump doesn't see people as black or white or Latino or Chinese American or anything.
[03:02:44.172 --> 03:02:45.913]  They're just all Americans.
[03:02:45.913 --> 03:02:47.334]  And everybody deserves to do well.
[03:02:48.306 --> 03:02:50.267]  And everybody deserves to be uplifted.
[03:02:50.267 --> 03:02:58.452]  And when Kanye went to the Oval Office there and sat with Trump, liberal heads were exploding all across the country.
[03:02:58.452 --> 03:03:00.813]  This was an extraordinary thing.
[03:03:00.813 --> 03:03:05.056]  And it reminded me of the 2008 election.
[03:03:05.056 --> 03:03:09.118]  This election cycle, the campaign of 2007 involving Barack Obama.
[03:03:10.323 --> 03:03:19.653]  Many, many white people across America, in fact tens of millions of them, voted for Barack Obama because they wanted to vote for racial unity.
[03:03:19.653 --> 03:03:24.839]  They wanted to make America a country where the president was African American.
[03:03:24.839 --> 03:03:25.359]  And they did.
[03:03:25.359 --> 03:03:26.741]  They successfully did that.
[03:03:26.741 --> 03:03:28.463]  Because they wanted to vote for racial unity.
[03:03:29.386 --> 03:03:33.047]  They wanted a national healing to take place across America.
[03:03:33.047 --> 03:03:38.729]  But Obama failed to use his power to create racial unity.
[03:03:38.729 --> 03:03:41.070]  In fact, Obama weaponized government.
[03:03:41.070 --> 03:03:48.552]  He weaponized every branch of government and the bully pulpit there to drive a wedge between black and white Americans.
[03:03:48.552 --> 03:03:53.414]  He pushed racial disunity and he has promoted racial
[03:03:54.134 --> 03:03:56.537]  Well, not just disharmony, but even hatred.
[03:03:56.537 --> 03:03:58.119]  He made things worse.
[03:03:58.119 --> 03:04:00.923]  But Kanye is bringing the races together.
[03:04:00.923 --> 03:04:08.673]  Kanye, believe it or not, just did in the White House today what Barack Obama couldn't do in the White House for eight years.
[03:04:09.366 --> 03:04:14.748]  Literally, Kanye just accomplished what Obama could not accomplish in eight years.
[03:04:14.748 --> 03:04:17.849]  And so for that, I applaud what Kanye just did.
[03:04:17.849 --> 03:04:19.749]  I applaud his spirit.
[03:04:19.749 --> 03:04:21.810]  I applaud his courage.
[03:04:21.810 --> 03:04:23.790]  I know he's being viciously attacked.
[03:04:23.790 --> 03:04:29.572]  CNN, if you can believe it, called him a Negro, essentially implying that he can't read books.
[03:04:29.572 --> 03:04:30.692]  That's CNN?
[03:04:30.692 --> 03:04:31.352]  Are you kidding me?
[03:04:31.352 --> 03:04:33.093]  The racists are at CNN now!
[03:04:33.966 --> 03:04:38.730]  And it's Trump supporters that are calling for racial unity and racial healing.
[03:04:38.730 --> 03:04:40.992]  So thank you, Kanye, for that action today.
[03:04:40.992 --> 03:04:43.954]  We'll be right back with much more straight ahead on the Alex Jones Show.
[03:04:43.954 --> 03:04:45.695]  This is Mike Adams filling in.
[03:04:45.695 --> 03:04:46.136]  Stay with us.
[03:04:54.477 --> 03:05:01.622]  Nourish a probiotic-friendly environment in your gut with Prebiotic Fiber by InfoWars Life.
[03:05:01.622 --> 03:05:13.970]  Help the good bacteria thrive and support overall digestive health with our specially formulated Prebiotic Fiber, a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[03:05:14.690 --> 03:05:25.775]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system.
[03:05:25.775 --> 03:05:32.538]  InfoWars Life's cutting-edge formula only brings you the highest quality, organic, and clinically studied ingredients.
[03:05:33.158 --> 03:05:47.811]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[03:05:47.811 --> 03:05:50.473]  Head to InfoWarsLife.com or call 1-888-253-3139.
[03:06:05.578 --> 03:06:12.801]  Live from the InfoWars.com studios, it's Alex Jones.
[03:06:12.801 --> 03:06:18.884]  This is Mike Adams filling in for Alex Jones today on the Alex Jones Show.
[03:06:18.884 --> 03:06:20.124]  Thanks for continuing with me.
[03:06:20.124 --> 03:06:31.770]  We've got many, many important topics today, but in the last segment I spoke about Kanye and the courage that he has as a conscious, aware, and obviously very intelligent individual.
[03:06:31.770 --> 03:06:34.851]  He's really advanced in his thinking and
[03:06:35.589 --> 03:06:42.678]  It just with him having the courage to go to the White House and speak with President Trump and invite the press and talk about what America really needs to heal.
[03:06:42.678 --> 03:06:48.386]  I think that Kanye has just put Republicans.
[03:06:49.364 --> 03:07:02.247]  Over the victory line for the midterm elections to hold the house now Of course Democrats are out there saying that if they lose the house, they are going to commit mass violence across America.
[03:07:02.247 --> 03:07:16.270]  I'm going to talk about that in more detail here They're basically putting a gun to the head of every voter in America and saying if you don't vote Democrat Then we're gonna commit violence and turn into a terrorist party and and destroy your country.
[03:07:16.270 --> 03:07:17.410]  That's that's sort of like
[03:07:18.655 --> 03:07:19.135]  What is that?
[03:07:19.135 --> 03:07:20.455]  America held hostage?
[03:07:20.455 --> 03:07:22.076]  It's a hostage situation.
[03:07:22.076 --> 03:07:25.536]  Like they're putting a gun to your head and saying, go vote for us or else.
[03:07:25.536 --> 03:07:28.957]  That's exactly why we must vote against the Democrats.
[03:07:28.957 --> 03:07:42.200]  If they do not honor their social contract, which honors, you know, democracy is supposed to be about our constitutional republic, technically, but the democratic process is about changing power
[03:07:43.211 --> 03:07:47.692]  Peacefully, without military coups, without revolutions, without violence in the streets.
[03:07:47.692 --> 03:07:54.973]  And it's a social contract that people take on both sides of the aisle, in every country where a democratic process takes place.
[03:07:54.973 --> 03:08:03.515]  The social contract says that you participate in democracy, you vote, and even if you lose, you respect the outcome of the election.
[03:08:03.515 --> 03:08:04.956]  That's the social contract.
[03:08:04.956 --> 03:08:11.657]  That's the good faith that parties must agree to, or participants and citizens agree to, to participate in democracy.
[03:08:12.682 --> 03:08:19.728]  The radical violent left has now essentially rejected that social contract and they have pre-announced that they will violate it.
[03:08:19.728 --> 03:08:23.692]  They've pre-announced that they will commit mass violence if they don't get their way.
[03:08:23.692 --> 03:08:28.136]  They have pre-announced that they will not honor the outcome of any election that they don't win.
[03:08:28.979 --> 03:08:39.743]  And you notice how this is the same party that went insane in 2016 when Trump was asked during one of the debates, will you accept the outcome of the election if you lose?
[03:08:39.743 --> 03:08:43.464]  And Trump said something like, well, we'll have to see what the circumstances are at the time.
[03:08:43.464 --> 03:08:55.309]  Hillary Clinton at that time went nuts, and so did CNN, and so did the entire left-wing media saying, oh my God, he's not pre-announcing that he's going to accept the outcome of the election.
[03:08:55.309 --> 03:08:57.450]  He's un-American, he's a threat to our democracy.
[03:08:59.187 --> 03:09:05.373]  They're doing exactly what they condemned Trump for theoretically doing, which he never even did.
[03:09:05.373 --> 03:09:10.557]  They're saying, the Democrats are saying, they will not honor the outcome of this election.
[03:09:10.557 --> 03:09:15.962]  And furthermore, they attack the integrity of everything that they no longer control.
[03:09:15.962 --> 03:09:19.686]  You notice that when the Democrats don't control the White House, they attack the presidency.
[03:09:20.276 --> 03:09:28.420]  When the Democrats now have lost their majority in the Supreme Court, they attack the Supreme Court and they say, well, the Supreme Court has lost integrity.
[03:09:28.420 --> 03:09:30.681]  It must not be legitimate anymore.
[03:09:30.681 --> 03:09:35.003]  They always say everything is illegitimate if it's run by the GOP.
[03:09:35.003 --> 03:09:37.544]  When they lose the Senate, they say, well, the Senate's illegitimate.
[03:09:37.544 --> 03:09:39.585]  Too many Republicans, right?
[03:09:39.585 --> 03:09:42.906]  And they lose the House, they say, well, the House is illegitimate.
[03:09:42.906 --> 03:09:46.848]  This is the way the Democrats operate and it has become clear to all of us at this point
[03:09:47.944 --> 03:09:52.105]  Democrats are incompatible with civil society.
[03:09:52.105 --> 03:09:56.607]  And I want to say that again, forcefully, and I hope you really share this very important message.
[03:09:56.607 --> 03:10:02.329]  Democrats repeatedly demonstrate that they are incompatible with civil society.
[03:10:02.329 --> 03:10:06.250]  They do not honor the social contract of democratic elections.
[03:10:06.250 --> 03:10:09.831]  They do not honor outcomes of elections that they don't win.
[03:10:09.831 --> 03:10:17.394]  And now, to top it off, they are threatening violence against all of America if they don't get their power back.
[03:10:18.095 --> 03:10:22.037]  And that is exactly why we cannot allow them to get their power back.
[03:10:22.037 --> 03:10:24.718]  This is why we must vote against Democrats.
[03:10:24.718 --> 03:10:28.960]  This year, you must vote a straight Republican ticket.
[03:10:28.960 --> 03:10:30.780]  I'm talking about the federal elections.
[03:10:30.780 --> 03:10:34.002]  At a local level, that may vary based on your local situation.
[03:10:34.002 --> 03:10:36.843]  There might be Libertarian or Independent candidates who are better.
[03:10:36.843 --> 03:10:37.943]  I'm not sure.
[03:10:37.943 --> 03:10:45.707]  But for every position of Congress, Senate or the House, you must vote a straight Republican ticket.
[03:10:45.707 --> 03:10:46.307]  This time,
[03:10:47.290 --> 03:11:11.827]  Only it will perhaps this time from here forward because Democrats have become the party of Terrorism and they will when they lose the house in this upcoming election and currently I put the odds of them losing You know I should say not regaining control of the house the odds of the GOP maintaining control are now better than 50% Better than 50% not a hundred percent
[03:11:14.600 --> 03:11:18.444]  Not even 80%, but much better than 50%.
[03:11:18.444 --> 03:11:26.813]  And if the Democrats don't take back the House, if they remain in the minority, they are going to become so radicalized and so violent.
[03:11:26.813 --> 03:11:31.478]  The footage that you saw from Portland, Oregon the other day, with this radical left-wing group,
[03:11:32.692 --> 03:11:51.380]  Directing traffic by harassing people, harassing senior citizen drivers in their cars, bashing the windows of the cars, physically attacking, assaulting, yelling racial slurs at people in their cars, while the police stood down, the Portland police stood down and did nothing.
[03:11:51.380 --> 03:11:57.783]  That scene is a tiny taste of things yet to come if the Democrats don't get their way at the ballot box.
[03:11:58.536 --> 03:12:06.718]  They will unleash this kind of radical, not just civil unrest, but really radical terrorism, violence all across America.
[03:12:06.718 --> 03:12:10.079]  They will do this in every city where they can get away with it.
[03:12:10.079 --> 03:12:24.243]  And by the way, it's going to become very important in my view for President Trump to fire sessions immediately after the election, bring in a new head of the DOJ that then orders police departments nationwide to stop
[03:12:25.541 --> 03:12:34.864]  Standing down and start engaging the violent left-wing terrorists in order to stop them from overrunning cities and harassing innocent citizens.
[03:12:34.864 --> 03:12:39.346]  Remember under Obama, how the police were always told to stand down?
[03:12:39.346 --> 03:12:52.690]  Even in cities like Baltimore, I think it was the mayor of Baltimore at one point that said, well, the cops should retreat, the cops should stand down, let the rioters just burn the buildings, commit arson, loot everything, and even attack police with deadly force.
[03:12:53.382 --> 03:12:57.625]  This is what Obama had in place and this is what Democrats have in place.
[03:12:57.625 --> 03:12:59.606]  I say no more.
[03:12:59.606 --> 03:13:12.934]  The police must be allowed to stand their ground because we support the men and women in blue who are trying to regain civility and keep some basic peace in our cities all across America.
[03:13:12.934 --> 03:13:16.176]  And when they are attacked, they need to be able to stand their ground.
[03:13:16.176 --> 03:13:18.298]  They need to have rules of engagement that allow them
[03:13:19.119 --> 03:13:33.743]  To protect themselves, and if necessary, if they are attacked with deadly force, they must be able to respond with deadly force in order to stop themselves and their fellow policemen and women from being killed.
[03:13:33.743 --> 03:13:39.524]  You know, if you've got attackers coming at you, a mob of left-wing lunatics who are talking about
[03:13:40.555 --> 03:13:51.778]  Terrorism and talking about killing people and they're carrying weapons like Molotov cocktails that have an area effect that can kill and set on fire multiple police officers.
[03:13:51.778 --> 03:14:05.082]  If they're coming at you with that Molotov cocktail, the police need to be able to apply their training and their tools and their glocks, frankly, in their defense under those circumstances where they are attacked with deadly force.
[03:14:05.082 --> 03:14:07.202]  Of course, they must exercise restraint.
[03:14:07.202 --> 03:14:09.663]  If the protesters are peaceful, you meet them with peace.
[03:14:10.603 --> 03:14:14.465]  The protesters are violent, you try to stop the violence, you arrest them, you shut them down.
[03:14:14.465 --> 03:14:31.672]  And I hope and I pray that President Trump puts somebody in charge at the DOJ, replaces Jeff Sessions after the election, that calls for civility across our cities and stopping the lunatic left-wing mobs.
[03:14:31.672 --> 03:14:39.976]  These mobs are a danger to society and they will only escalate if they lose the midterm elections, which looks increasingly likely
[03:14:40.845 --> 03:14:45.467]  And there are other things that are coming into play here over the next two weeks.
[03:14:45.467 --> 03:14:53.870]  Things coming out that I think will push this election even more in the direction of the GOP majority.
[03:14:53.870 --> 03:15:00.193]  And yet, at the same time, never forget, Google and Facebook are right now committing massive election fraud.
[03:15:00.193 --> 03:15:04.954]  They are silencing pro-GOP voices and pro-Trump voices.
[03:15:04.954 --> 03:15:07.335]  They are, in effect, attempting to steal this election right now.
[03:15:07.335 --> 03:15:08.896]  They are committing massive election fraud.
[03:15:09.815 --> 03:15:13.216]  They are doing what the Russians could never hope to do.
[03:15:13.216 --> 03:15:16.018]  Google, YouTube, even Twitter.
[03:15:16.018 --> 03:15:24.401]  The selective silencing of conservative voices is election meddling at its worst, and that's what's being done right now by these tech giants.
[03:15:24.401 --> 03:15:26.002]  And it's affecting our elections.
[03:15:26.002 --> 03:15:28.182]  So this is not over.
[03:15:28.182 --> 03:15:29.823]  You need to get out and vote.
[03:15:29.823 --> 03:15:31.944]  You need to encourage others to get out and vote.
[03:15:31.944 --> 03:15:34.785]  If you don't vote, you're going to lose your country.
[03:15:34.785 --> 03:15:38.246]  Democrats will be in charge and they'll use their power to destroy this nation.
[03:15:38.246 --> 03:15:39.527]  You cannot allow that to happen.
[03:15:40.350 --> 03:15:43.096]  Much more discussion straight ahead here on the Alex Jones Show.
[03:15:43.096 --> 03:15:44.899]  We'll be right back after this break.
[03:15:53.362 --> 03:15:55.242]  Healthcare reform is confusing.
[03:15:55.242 --> 03:16:03.844]  But whether it's finding an affordable insurance plan, keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare system has become a challenge.
[03:16:03.844 --> 03:16:07.525]  Control your own healthcare costs and choices with Liberty HealthShare.
[03:16:07.525 --> 03:16:09.485]  Liberty HealthShare is not insurance.
[03:16:09.485 --> 03:16:15.527]  It is an association of self-pay patients who unite with like-minded people to share the cost of each other's medical needs.
[03:16:15.527 --> 03:16:17.027]  Neighbor helping neighbor.
[03:16:17.027 --> 03:16:19.587]  Learn more now by going to libertyoncall.org.
[03:16:19.587 --> 03:16:21.468]  That's libertyoncall.org.
[03:16:22.828 --> 03:16:24.009]  Bacon lovers.
[03:16:24.009 --> 03:16:25.570]  We ship free.
[03:16:25.570 --> 03:16:27.391]  Try our amazing bacon.
[03:16:27.391 --> 03:16:29.392]  No refrigeration required.
[03:16:29.392 --> 03:16:38.999]  Proprietary value-added packaging provides 10-year shelf life and protects the leanest, thickest, center-cut, fully cooked bacon in America today.
[03:16:38.999 --> 03:16:42.461]  Ready to eat right from the pouch or warm and serve.
[03:16:42.461 --> 03:16:44.322]  Savory and delicious.
[03:16:44.322 --> 03:16:47.264]  Wholesale price for your everyday use.
[03:16:47.264 --> 03:16:50.186]  Order today at ReadyToEatBacon.com.
[03:16:50.186 --> 03:16:51.487]  ReadyToEatBacon.com.
[03:16:52.908 --> 03:16:54.129]  Hi, I'm Dan Pilla.
[03:16:54.129 --> 03:16:58.050]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:16:58.050 --> 03:16:59.591]  I sued the IRS and won.
[03:16:59.591 --> 03:17:02.552]  I beat the IRS then, and I've been beating them ever since.
[03:17:02.552 --> 03:17:08.115]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:17:08.115 --> 03:17:09.315]  I can help you, too.
[03:17:09.315 --> 03:17:12.257]  If you owe taxes you can't pay, don't wait another day.
[03:17:12.257 --> 03:17:14.478]  There's no such thing as a hopeless tax case.
[03:17:14.478 --> 03:17:18.919]  Call 800-34-NO-TAX, or go to my website, danpilla.com.
[03:17:18.919 --> 03:17:21.200]  That's danpilla.com, danpilla.com.
[03:17:22.581 --> 03:17:26.463]  Most of you know that heart disease is the number one silent killer in the U.S.
[03:17:26.463 --> 03:17:31.446]  What if I told you for just $54.95 a month you could fight against heart disease naturally?
[03:17:31.446 --> 03:17:36.269]  At Heart and Body Extract, we've been helping thousands of people get back to a healthier heart.
[03:17:36.269 --> 03:17:37.610]  Don't just take my word for it.
[03:17:37.610 --> 03:17:41.392]  Check out all of the success stories at HBExtract.com.
[03:17:41.392 --> 03:17:42.353]  Or to order, call 866-295-5305.
[03:17:42.353 --> 03:17:42.753]  That's 866-295-5305.
[03:17:42.753 --> 03:17:43.314]  HBExtract.com.
[03:17:43.314 --> 03:17:45.595]  Don't risk it when you can take charge of it.
[03:17:54.249 --> 03:18:01.716]  Whether you're looking to boost the benefits of our fish oil formula, or just want an alternative, InfoWars Life has the formula for you.
[03:18:01.716 --> 03:18:10.984]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[03:18:10.984 --> 03:18:20.053]  Containing powerful antioxidants such as athezanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[03:18:20.985 --> 03:18:32.432]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[03:18:32.432 --> 03:18:41.537]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[03:18:41.997 --> 03:18:44.739]  Paired with our Ultimate Fish Oil or used separately.
[03:18:44.739 --> 03:18:48.403]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[03:18:48.403 --> 03:18:54.187]  Now available at InfoWarsStore.com.
[03:18:54.187 --> 03:18:56.529]  InfoWars Live is launching its newest product.
[03:18:56.529 --> 03:18:58.691]  We're really, really proud of it.
[03:18:58.691 --> 03:19:01.494]  It's a best source prebiotic fiber.
[03:19:02.603 --> 03:19:14.108]  And it's got the very best concentrated fibers from berries and fruits and other compounds that have been known to be the very best for your body and for regularity and so much more.
[03:19:14.108 --> 03:19:23.192]  And it synergistically works with our 50 billion live active culture flora life as well as MycoZx that targets the yeast, the mold, and the funguses in the gut.
[03:19:23.712 --> 03:19:29.480]  So this is the time to take advantage of getting this new incredible fiber product and these other products.
[03:19:29.480 --> 03:19:34.927]  You get them separately or together and make really, really big savings and get high quality products at the same time.
[03:19:34.927 --> 03:19:37.190]  And I'm doing this to introduce these products to you.
[03:19:37.190 --> 03:19:38.331]  Buy these!
[03:19:38.331 --> 03:19:39.212]  Sold out in a month!
[03:19:40.469 --> 03:19:43.492]  Strongest concentrated turmeric formula we could come up with.
[03:19:43.492 --> 03:19:45.514]  It sold out for another month and a half.
[03:19:45.514 --> 03:19:48.817]  We sold it at 50% off till it sold out.
[03:19:48.817 --> 03:19:51.360]  And I think it's gonna be the same way with this fiber.
[03:19:51.360 --> 03:19:57.205]  Get yours today in fullwarslife.com.
[03:19:57.205 --> 03:19:59.848]  You're listening to the Alex Jones Show.
[03:20:18.116 --> 03:20:27.447]  Speaking about Kanye's meeting in the White House today and about racial unity and racial healing for America, I've got a very powerful message here for you.
[03:20:30.183 --> 03:20:32.225]  It's about, it's not about the color of our skin.
[03:20:32.225 --> 03:20:35.388]  It's, it's about, you know, as Martin Luther King Jr.
[03:20:35.388 --> 03:20:53.725]  said, the content of our character, but more importantly, it's about individual liberty and respecting the right of every divine conscious human being, which includes, you know, people of every skin color or national origin, the right of every individual to pursue life, liberty, and happiness.
[03:20:54.893 --> 03:21:05.579]  And as far as I'm concerned, anybody who is pro-liberty, anybody who supports that pursuit of life, liberty, and happiness is on Team Humanity.
[03:21:05.579 --> 03:21:11.562]  And Team Humanity is what we represent as conservatives or Trump supporters or libertarians.
[03:21:11.562 --> 03:21:13.022]  Team Humanity.
[03:21:13.022 --> 03:21:15.323]  The Democrats are anti-life.
[03:21:15.323 --> 03:21:18.065]  They want to destroy even unborn babies.
[03:21:18.812 --> 03:21:20.653]  They want to destroy nations.
[03:21:20.653 --> 03:21:28.077]  They want to destroy economies and sweep in communism, which is all about human suffering and totalitarianism.
[03:21:28.077 --> 03:21:32.680]  And obviously we must reject that, but here's something that you may not have thought about.
[03:21:32.680 --> 03:21:40.024]  You know, all of us, if you go back far enough in our ancestry, did you know that all of our ancestors are actually from Africa?
[03:21:40.024 --> 03:21:45.167]  At one time in human history, there were only about, you know, according to science, there were only about 4,000 humans alive.
[03:21:47.446 --> 03:21:55.869]  And they were Africans, and they all had dark skin, because, you know, dark skin is a natural sunscreen against the intense sunlight radiation.
[03:21:55.869 --> 03:21:59.650]  When you live in Africa or live near the equator, you have to have that sun protection.
[03:21:59.650 --> 03:22:06.532]  So, actually, dark skin pigmentation is a natural defensive shield against ultraviolet radiation of the sun.
[03:22:06.532 --> 03:22:12.914]  But over time, as humans prospered, and then there was migration where humans spread out from Africa,
[03:22:13.661 --> 03:22:21.344]  And some groups of humans went to, for example, the present-day northern Europe, and their sunlight was a lot less intense.
[03:22:21.344 --> 03:22:37.150]  And so their skin, over time, over many, many generations of just survival, became more fair-skinned to allow more sunlight to come in so they could have more vitamin D, because vitamin D is absolutely crucial for preventing cancer, boosting immune function, and so on.
[03:22:37.150 --> 03:22:40.572]  If you have dark skin, but you live in, let's say, London,
[03:22:41.352 --> 03:22:45.174]  You are not going to get enough vitamin D to protect your health.
[03:22:45.174 --> 03:22:48.515]  And so, Europeans became more fair-skinned.
[03:22:48.515 --> 03:22:50.535]  And that was the skin color differentiation.
[03:22:50.535 --> 03:22:56.077]  And, you know, similar things happened in China and modern-day Russia and so on.
[03:22:56.077 --> 03:22:59.159]  Wherever people lived closer to the equator, their skin became darker.
[03:22:59.159 --> 03:23:02.660]  And wherever groups moved away from the equator, their skin became lighter.
[03:23:02.660 --> 03:23:07.342]  This was all about a natural response to a sunlight and vitamin D intake.
[03:23:08.999 --> 03:23:20.504]  What this means, though, from a racial healing point of view, is that all of us that count ourselves as Americans, whether we have white skin or brown skin, black skin, whether, you know, it doesn't matter.
[03:23:20.504 --> 03:23:23.746]  We are all, all humans, are really brothers and sisters.
[03:23:23.746 --> 03:23:25.446]  We are all related.
[03:23:25.446 --> 03:23:27.247]  All of our ancestors came from Africa.
[03:23:27.247 --> 03:23:33.150]  And that's really backed up by, you know, archaeology, anthropology, mainstream science.
[03:23:34.261 --> 03:23:56.515]  Isn't it interesting that right now as humanity is coming together to save ourselves from tyranny and to save ourselves from authoritarianism that we realize we are all unified by our common history and yet the Democrat Party wants to divide us and turn us into enemies against each other like brother fighting brother and sister fighting sister.
[03:23:56.515 --> 03:23:58.777]  That's what the Democrats are trying to do.
[03:23:58.777 --> 03:24:02.319]  They want to split us apart and weaponize us based on
[03:24:03.078 --> 03:24:09.163]  Yes, skin-deep differences, just things that you see visually, which means nothing about a person's character.
[03:24:09.163 --> 03:24:10.744]  Kanye proved that today.
[03:24:10.744 --> 03:24:16.609]  He proved that human character is much more than anything that could be called skin-deep.
[03:24:16.609 --> 03:24:28.599]  He proved that he could out-think and have more compassion and have more presence of mind and more spiritual divinity than all of those CNN commentators that are attacking him, calling him
[03:24:29.119 --> 03:24:37.243]  You know, the token negro and all the mean, all the racist, evil things that CNN is now saying against Kanye, that he has outlasted that.
[03:24:37.243 --> 03:24:41.825]  Because he has a bigger picture, a bigger vision of what we all are.
[03:24:41.825 --> 03:24:43.545]  We're all divine beings.
[03:24:43.545 --> 03:24:45.846]  We all have a common ancestry.
