[00:00.000 --> 00:29.960]  There is all kinds of important developments that have happened in the last 24 hours.
[03:08:59.960 --> 03:09:04.960]  Nana Afua Mumford of the Washington Post editorial board wrote an article entitled,
[03:09:04.960 --> 03:09:12.960]  I doubted Justie Smollett, it breaks my heart that I might be right.
[03:09:12.960 --> 03:09:20.960]  You're sad that a hate crime didn't happen by echoing Smollett's initial claim that the incident was a Trump-themed racist homophobic attack.
[03:09:20.960 --> 03:09:25.960]  The media also claimed that they were just reporting the facts.
[03:09:25.960 --> 03:09:34.960]  No, you literally published news stories like this one titled, The Justie Smollett attack highlights the hate black gay Americans face.
[03:09:34.960 --> 03:09:38.960]  According to CNN's Brian Stelter, the media did nothing wrong.
[03:09:38.960 --> 03:09:43.960]  There was a rush to judgment. I think it was mostly in the celebrity press and among activists and among Twitter people.
[03:09:43.960 --> 03:09:47.960]  I think it was really careful reporting by news organizations.
[03:09:47.960 --> 03:09:56.960]  Be careful reporting like this CNN headline which reported the attack as a definitive homophobic racist incident before any details were proven.
[03:09:56.960 --> 03:09:57.960]  So careful.
[03:09:57.960 --> 03:09:58.960]  We've got some breaking news.
[03:09:58.960 --> 03:10:04.960]  Actor and musician Justie Smollett from the hit show Empire was attacked and beaten in Chicago.
[03:10:04.960 --> 03:10:09.960]  Two assailants approached him wearing ski masks and yelling homophobic and racist slurs.
[03:10:09.960 --> 03:10:11.960]  Racial and homophobic slurs.
[03:10:11.960 --> 03:10:15.960]  They poured a chemical on him believed to be bleach and tied a rope around his neck.
[03:10:15.960 --> 03:10:19.960]  As the men fled they yelled, this is MAGA country.
[03:10:19.960 --> 03:10:20.960]  Really careful reporting.
[03:10:20.960 --> 03:10:22.960]  Really careful reporting.
[03:10:22.960 --> 03:10:25.960]  But you can't blame the media for being jealous of Justie Smollett lying.
[03:10:25.960 --> 03:10:28.960]  After all, that's their specialty.
[03:10:28.960 --> 03:10:32.960]  You might even start to believe that this is a banana.
[03:10:32.960 --> 03:10:34.960]  But it's not.
[03:10:34.960 --> 03:10:41.960]  This is an apple.
[03:10:41.960 --> 03:10:42.960]  Really careful reporting.
[03:10:42.960 --> 03:10:45.960]  America's favorite blame game.
[03:10:45.960 --> 03:10:46.960]  Pin the tail on the honky.
[03:10:46.960 --> 03:10:52.960]  We have a media that's saying it's a debate whether or not what just happened to Justie Smollett is a hate crime.
[03:10:52.960 --> 03:10:53.960]  It's absurd.
[03:10:53.960 --> 03:10:56.960]  The **** isn't a debate.
[03:10:56.960 --> 03:10:57.960]  I agree.
[03:10:57.960 --> 03:10:58.960]  I agree.
[03:10:58.960 --> 03:11:00.960]  The **** isn't a debate.
[03:11:00.960 --> 03:11:05.960]  Is Donald Trump Jr. promoting a Justie Smollett conspiracy theory?
[03:11:05.960 --> 03:11:06.960]  No.
[03:11:06.960 --> 03:11:08.960]  Turns out you guys were doing that.
[03:11:08.960 --> 03:11:14.960]  Really careful reporting on how many of these Democrats are going to issue retractions if and when Smollett is convicted.
[03:11:14.960 --> 03:11:15.960]  Don't hold your breath.
[03:11:15.960 --> 03:11:17.960]  This was an attempted modern day lynching.
[03:11:17.960 --> 03:11:21.960]  No one should have to fear for their life because of their sexuality or color of their skin.
[03:11:21.960 --> 03:11:23.960]  We must confront this hate.
[03:11:23.960 --> 03:11:24.960]  Which tweet?
[03:11:24.960 --> 03:11:25.960]  What tweet?
[03:11:25.960 --> 03:11:28.960]  About saying that it is a modern day lynching.
[03:11:28.960 --> 03:11:29.960]  Um.
[03:11:29.960 --> 03:11:31.960]  Okay.
[03:11:31.960 --> 03:11:32.960]  Which tweet?
[03:11:32.960 --> 03:11:33.960]  What tweet?
[03:11:33.960 --> 03:11:38.960]  My God.
[03:11:38.960 --> 03:11:42.960]  Just heard that Justie Smollett was brutally assaulted in a racist homophobic hate crime.
[03:11:42.960 --> 03:11:43.960]  This is awful.
[03:11:43.960 --> 03:11:44.960]  Whoops.
[03:11:44.960 --> 03:11:49.960]  Looks like Sean King threw Smollett under a bus quicker than his own white mother Kathy Griffin.
[03:11:49.960 --> 03:11:51.960]  No one can ruin a career faster than I can.
[03:11:51.960 --> 03:11:52.960]  Justie Smollett.
[03:11:52.960 --> 03:11:53.960]  Hold my bleach.
[03:11:53.960 --> 03:11:54.960]  It's 2 a.m.
[03:11:54.960 --> 03:11:56.960]  And minus 20 degrees outside.
[03:11:56.960 --> 03:11:59.960]  So I decided to walk to 7-11 for a slurpee.
[03:11:59.960 --> 03:12:03.960]  I got jumped by a cell of Islamic State jihadis who yelled Alarakbar.
[03:12:03.960 --> 03:12:04.960]  And this is ISIS country.
[03:12:04.960 --> 03:12:08.960]  They threw a burger on me and sprayed me with camel pee but I fought them off.
[03:12:08.960 --> 03:12:09.960]  Interview me.
[03:12:09.960 --> 03:12:15.960]  Others hid behind the excuse of saying we're waiting for all the evidence to come in before commenting.
[03:12:15.960 --> 03:12:16.960]  The facts are still unfolding.
[03:12:16.960 --> 03:12:24.960]  Which is kind of funny because it didn't stop the same people from blaming evil white racist homophobic Trump supporters for the attack.
[03:12:24.960 --> 03:12:26.960]  Before any evidence had come in.
[03:12:26.960 --> 03:12:27.960]  Which tweet?
[03:12:27.960 --> 03:12:34.960]  Meanwhile, actual hate crimes against Trump supporters are being carried out on a regular basis and the media barely reports it.
[03:12:34.960 --> 03:12:40.960]  Smollett allegedly staged the attack after a racist letter sent to the Empire Show Studios didn't get enough attention.
[03:12:40.960 --> 03:12:43.960]  It's offensive.
[03:12:43.960 --> 03:12:48.960]  He was even allegedly prepared to testify against two innocent people the cops had in custody.
[03:12:48.960 --> 03:12:54.960]  Until he realized the two people were his Nigerian buddies and he mysteriously changed his mind.
[03:12:54.960 --> 03:12:56.960]  Why the hoax?
[03:12:56.960 --> 03:13:02.960]  Because ascribing yourself victimhood status is now one of America's most lucrative career paths.
[03:13:02.960 --> 03:13:04.960]  Just ask Colin Kaepernick.
[03:13:04.960 --> 03:13:08.960]  Nothing attracts power and money quicker than playing the victim.
[03:13:08.960 --> 03:13:13.960]  Our culture has fetishized victimhood into a business and business is booming.
[03:13:13.960 --> 03:13:20.960]  Also, the notion that Jussie Smollett staged the attack against himself was once a conspiracy theory.
[03:13:20.960 --> 03:13:29.960]  Don't forget that when you read news reports of the establishment asserting that conspiracy theories need to be banned because they're harmful to society.
[03:13:29.960 --> 03:13:37.960]  Sometimes conspiracy theories are just inconvenient truths that the political establishment wants to remain hidden.
[03:13:37.960 --> 03:13:41.960]  Smollett is also one of the biggest virtue signalers on the planet.
[03:13:41.960 --> 03:13:47.960]  Proving once again that the most righteously indignant often turn out to be the biggest frauds.
[03:13:47.960 --> 03:13:53.960]  And the media is perfectly willing to facilitate the greed soaked gravy train.
[03:13:53.960 --> 03:14:00.960]  As CBS News' Laura Logan admitted, this entire farce proves once again that journalists are no longer journalists.
[03:14:00.960 --> 03:14:02.960]  They're political activists.
[03:14:02.960 --> 03:14:09.960]  But wait, I'm just hearing that there's new surveillance footage which caught the Smollett attack on camera.
[03:14:09.960 --> 03:14:10.960]  Really careful reporting?
[03:14:10.960 --> 03:14:11.960]  Oh.
[03:14:11.960 --> 03:14:23.960]  If I had said it was a Muslim or a Mexican or someone black, I feel like the doubters would have supported me a lot much more.
[03:14:23.960 --> 03:14:42.960]  There we have it, Jussie Smollett is a complete idiot. That video is up on YouTube right now. Please get it out, share it.
[03:14:42.960 --> 03:15:02.960]  So you remember this was preceded by Smollett receiving this letter which was basically a cut out of magazines calling him gay slurs and black slurs, which was sent to the studios of Empire.
[03:15:02.960 --> 03:15:08.960]  Now it turns out that that was likely a set up carried out by the Nigerian brothers as well.
[03:15:08.960 --> 03:15:13.960]  There you see the image of the letter. Again, it had MAGA in the top corner to blame it on Trump supporters.
[03:15:13.960 --> 03:15:19.960]  Breitbart reports, Alicia Milano struggles to come to grips with Jussie Smollett hate hoax.
[03:15:19.960 --> 03:15:26.960]  She said, if that man staged his own attack, he's wrong in so many ways. No one could be that hurtful to stage this, right?
[03:15:26.960 --> 03:15:34.960]  They cannot come to terms with the fact that this was staged. The liberal tears are beautiful to behold and they just can't handle it.
[03:15:34.960 --> 03:15:45.960]  But as we've proven, dozens and dozens of hate crime hoaxes in America, most of them blamed on Trump supporters, have occurred over the past four years and have been documented.
[03:15:45.960 --> 03:16:14.960]  We'll be back in the next segment of the Alex Jones Show Live breaking news at infowalls.com. Don't go away.
[03:16:15.960 --> 03:16:22.960]  If you have any questions, please feel free to post them in the comments below.
[03:16:46.960 --> 03:16:51.960]  The United States of Empire by James Dunn, available at Amazon Books.
[03:16:51.960 --> 03:16:55.960]  Pain in my neck, back and shoulders has really gotten worse.
[03:16:55.960 --> 03:16:59.960]  Relief for body pain is here with Sunny Bay heating pads.
[03:16:59.960 --> 03:17:03.960]  Well, the last thing I want is to take another pill, so what's so good about Sunny Bay heating pads?
[03:17:03.960 --> 03:17:09.960]  Sunny Bay heating pads, made by BioMed DB Design right here in the USA, come in all sizes.
[03:17:09.960 --> 03:17:15.960]  Our extra large, microwaveable heating pad for back pain is designed to be large enough to cover your entire back.
[03:17:15.960 --> 03:17:19.960]  It's also perfect to wrap around your legs, knees or shoulder and neck.
[03:17:19.960 --> 03:17:21.960]  But I need to know their good quality.
[03:17:21.960 --> 03:17:36.960]  Of course, Sunny Bay heating pads and pillows are often an Amazon choice and it's easy and most affordable when you purchase your Sunny Bay heating pads right from our website, SunshinePillows.com, or call us 253-678-1361.
[03:17:36.960 --> 03:17:39.960]  Hey, a Sunny Bay heating pad would make a great gift, right?
[03:17:39.960 --> 03:17:52.960]  Yes, and they start at just $19.99 and free shipping is available, so call 253-678-1361 or shop for your Sunny Bay heating pad at SunshinePillows.com.
[03:17:52.960 --> 03:18:11.960]  By leaps and by bounds, the number one best-selling supplement family in the world is energy drinks and energy supplements.
[03:18:11.960 --> 03:18:21.960]  But they are riddled with dyes and toxins and synthetic caffeine and other chemicals that sure get you a quick boost but burn out in just a few hours and have terrible side effects.
[03:18:21.960 --> 03:18:30.960]  We have developed, hands down, from our research, the most powerful, healthy energy drink pre-workout and beyond system in the world.
[03:18:30.960 --> 03:18:33.960]  There's nothing else like it, you must experience it.
[03:18:33.960 --> 03:18:40.960]  It is a total game changer and it comes in easy to use, packaged, mixed in with fruit juice or water, whatever you'd like.
[03:18:40.960 --> 03:18:50.960]  Warning though, it's very, very strong, it lasts 10 hours, so take a half pack at the first time you take it because TurboForce is named TurboForce because it will take you into overdrive.
[03:18:50.960 --> 03:18:52.960]  TurboForce and InfoWarsLife.com
[03:19:20.960 --> 03:19:28.960]  Ultimate Bone Broth will help support your healthy muscles, digestion, tendons and ligaments while also supporting your body's fight against free radicals.
[03:19:28.960 --> 03:19:40.960]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric, chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[03:19:40.960 --> 03:19:44.960]  It's time to experience what Ultimate Bone Broth can do for you.
[03:19:44.960 --> 03:19:51.960]  Get Ultimate Bone Broth now at 50% off.
[03:20:14.960 --> 03:20:19.960]  Your host, Paul Joseph Watson.
[03:20:45.960 --> 03:20:50.960]  This is InfoWarsLife protein bars available in both chocolate, peanut butter and vanilla coconut flavors.
[03:20:50.960 --> 03:20:53.960]  Each bar is a great tasting way to get your energy and fuel on the go.
[03:20:53.960 --> 03:20:56.960]  And again, once again, you're going to buy these anyway.
[03:20:56.960 --> 03:21:06.960]  Most people eat protein bars at this point, most people consume energy drinks, so why not get them from us, support the network, get a great product, add a great discount.
[03:21:06.960 --> 03:21:13.960]  InfoWarsLife protein bars are formulated to give you straightforward energy whenever you need it with nutrient packed power and no unnatural additives.
[03:21:13.960 --> 03:21:28.960]  Unlike other energy bars that contain loads of filler, fuel and unnatural ingredients, InfoWarsLife protein bars are made of wholesome ingredients for high level performance with great taste, including whey protein, chocolate compounds and chicory root fiber.
[03:21:28.960 --> 03:21:33.960]  You get 12 bars in each box and easily accessible, great tasting energy on the go.
[03:21:33.960 --> 03:21:43.960]  Snack to help you reach your goals as a meal alternative snack, pre or post workout fuel these protein bars are an easy choice, high in fiber and nutrients.
[03:21:43.960 --> 03:21:48.960]  Only 240 calories per bar with 15 grams of protein in each.
[03:21:48.960 --> 03:21:51.960]  So these are going to give you the energy you'll need.
[03:21:51.960 --> 03:21:56.960]  And you can use them as a replacement meal if you're trying to lose weight as well.
[03:21:56.960 --> 03:22:08.960]  40% off when you buy two or more boxes at infowarsstore.com, that is a massive discount available right now at infowarsstore.com.
[03:22:08.960 --> 03:22:14.960]  Now it broke about an hour ago here in the UK, you probably heard the story, there's a similar story in America.
[03:22:14.960 --> 03:22:27.960]  Of the ISIS bride, this was a girl who fled London, another great example of integration, as we invite in 300,000 new immigrants into the UK every single year, net.
[03:22:27.960 --> 03:22:38.960]  Fled London when she was 15 to go to Syria to marry an Islamic State fighter, basically had abortions while she was out, had miscarriages, failed to have babies.
[03:22:38.960 --> 03:22:44.960]  Now she's had a baby in a Syrian refugee camp. She's demanding to come back.
[03:22:44.960 --> 03:22:48.960]  Sub stories are all over the media about how we need to take care of her.
[03:22:48.960 --> 03:23:06.960]  Basically an ISIS supporter, married an Islamic State fighter, gave interviews saying that she saw beheaded, decapitated heads in bins and was not fazed by it, was not fazed by the mass slaughter that ISIS has overseen over the past four years.
[03:23:06.960 --> 03:23:16.960]  And now just wants to come back and the media is all like, oh, she's just a nice British girl from Bethnal Green, let's let her back in at taxpayer expense.
[03:23:16.960 --> 03:23:25.960]  Remember, this is the same government headline, Asia be, Asia be be not offered UK asylum amid concerns of unrest and attacks.
[03:23:25.960 --> 03:23:38.960]  He had a Pakistani Christian refugee who was under threat of being killed by Islamists, not just Islamists, basically people in Pakistan in general, because she renounced Islam.
[03:23:38.960 --> 03:23:50.960]  She ended up, of course, getting refuge in Canada. The UK government refused to offer her asylum because they thought it would cause unrest in the UK and attacks on embassies.
[03:23:50.960 --> 03:24:04.960]  Her supporters basically got that confirmed from the government. So think about that. They were steadfastly refusing to offer asylum to a genuine refugee from Pakistan because it would upset Muslims.
[03:24:04.960 --> 03:24:11.960]  And also implicit within that, it's the same Islamophobia charge that they level at people like me.
[03:24:11.960 --> 03:24:20.960]  If they're not going to let her in because they think moderate Muslims in the United Kingdom will stage unrest or will stage violent attacks.
[03:24:20.960 --> 03:24:36.960]  What does that say about how the UK government views moderate Muslims that they're so out of control that they're so inherently violent that they will react to one refugee receiving refuge in the United Kingdom by lashing out violently.
[03:24:36.960 --> 03:24:42.960]  That tells you everything you need to know. They refused to do so because they said it would offend Muslims.
[03:24:42.960 --> 03:24:56.960]  And now wall-to-wall media coverage over the past week from the likes of BBC and Sky News basically demanding that this ISIS-supporting one-time terrorist be allowed back into the UK at taxpayer expense.
[03:24:56.960 --> 03:25:06.960]  The update on this, which just broke about an hour ago, family of ISIS-bride Shamina Begum disappointed her UK citizenship is being removed.
[03:25:06.960 --> 03:25:17.960]  Again, they're being given a platform to say, you know, pedal their sob story, but the Home Office, the UK government has announced that it intends to remove her British citizenship, their lawyer say.
[03:25:17.960 --> 03:25:31.960]  So they've actually made the right decision and no doubt leftists are all over Twitter freaking out about it, just like they weren't freaking out about Asia BB, an actual refugee who deserved asylum.
[03:25:31.960 --> 03:25:43.960]  And then there's this story out of the sun. Remember, this is the nice, normal British girl who made a mistake by joining ISIS because 15-year-olds make that mistake all the time, don't they?
[03:25:43.960 --> 03:25:53.960]  You know, normally you'd say a mistake is getting caught smoking weed behind the bike shed or whatever. No, she joined ISIS. Just a mistake. We've all made it.
[03:25:53.960 --> 03:26:00.960]  Headline, ISIS-bride Shamina Begum. Remember, this is a nice British girl who needs to come back. We need to take care of her.
[03:26:00.960 --> 03:26:19.960]  She just had a baby. Guess what she named the baby? Girard. And that's named after a barbaric jihadi warlord who massacred Jews. That's the nice, normal, repentant British girl who we need to allow back into the country now that she's an adult, now that she's 19.
[03:26:19.960 --> 03:26:37.960]  So she named her baby at the request of her terrorist husband after a barbaric jihadi warlord who massacred Jews. The whining teen jihadi has been slammed on social media for choosing a name that doesn't show that she wants to return to Britain in peace, which is what she claimed.
[03:26:37.960 --> 03:26:52.960]  The mirror says that in Arabic, giraffe means able fighter or one who wounds. Wait a minute. I thought Islam was a religion of peace. Doesn't quite make sense, does it? The 19-year-old who's already had two children and a boy and a girl die while living among the terror group in Syria
[03:26:52.960 --> 03:27:01.960]  gave birth to a second son at the weekend. She told Sky News, it's a boy. I named him after my old son who died. That's what my husband wanted.
[03:27:01.960 --> 03:27:10.960]  So she's claiming that she's repentant even though simultaneously saying she's not repentant and saying that decapitated heads don't face her.
[03:27:10.960 --> 03:27:25.960]  Meanwhile, she's still following the orders of her ISIS terrorist husband by naming this baby after a jihadi warlord who is named after somebody who massacred Jewish people.
[03:27:25.960 --> 03:27:36.960]  She was a general from the early days of the Arab conquests, from the religion of peace conquests, chiefly famed for beating the crap out of infidels.
[03:27:36.960 --> 03:27:50.960]  That's who she named her baby after. Again, a nice normal British girl from East London who just made a mistake that we've all made joining ISIS, seeing people beheaded, seeing mass slaughter on an industrial basis.
[03:27:50.960 --> 03:28:04.960]  But no, we need to let her back in. And as David Curtin of UKIP noted in a tweet, the mainstream media who wouldn't lift a finger to advocate for Asia BB, a Pakistani Christian mother whose life is in danger from Islamists,
[03:28:04.960 --> 03:28:15.960]  she's actually in danger of assassination on a daily basis, is still banging on about helping a jihadi bride who went to join Islamic State of her own accord.
[03:28:15.960 --> 03:28:26.960]  There's no choice to do that. Imam Tawhidi followed up with this comment, making a mistake when you're 15 is getting caught smoking by your dad, not joining bloody ISIS.
[03:28:26.960 --> 03:28:38.960]  Old Hoban made this comment, marry a jihadi, happily live under ISIS, condone murder, executions, rape, torture, expect to be spoken to if you enter the UK because the UK government came out and said previously,
[03:28:38.960 --> 03:28:48.960]  well, we're going to speak to her. Don't worry about that. We'll speak to her. Everything's going to be OK. But they've actually made the right decision and cancelled her British citizenship according to the latest report.
[03:28:48.960 --> 03:29:15.960]  This is the Alex Jamieshire Live, Infowalls.com. We'll be back.
[03:29:15.960 --> 03:29:44.960]  We'll be right back.
[03:29:45.960 --> 03:30:12.960]  We'll be right back.
[03:30:12.960 --> 03:30:41.960]  We'll be right back.
[03:30:42.960 --> 03:30:53.960]  We'll be right back.
[03:31:12.960 --> 03:31:34.960]  We'll be right back.
[03:31:34.960 --> 03:31:53.960]  We'll be right back.
[03:32:05.960 --> 03:32:12.960]  And on our quest to bring our listeners and viewers the best iodine in the world, we've gone through two permutations.
[03:32:12.960 --> 03:32:35.960]  First, seaweed-based iodine that was pretty good, but hard to source, and the gloves tried to block us getting a supply of it. So we discovered deep-earth crystals of pure nascent iodine and brought you X2. That's been incredible.
[03:32:35.960 --> 03:32:46.960]  And finally, we discovered that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bioavailable.
[03:32:46.960 --> 03:32:56.960]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery. X3, now available at InfowallsLive.com.
[03:32:56.960 --> 03:33:10.960]  You're listening to the Alex Jones Show.
[03:33:10.960 --> 03:33:23.960]  Live from the Infowalls.com studios, you're listening to the Alex Jones Show, and now your host, Paul Joseph Watson.
[03:33:23.960 --> 03:33:32.960]  We're live. It is 4th hour of the Alex Jones Show. We're going to hit more key news stories in a second, but I want to tell you about Immune Gargle Plus Silver Wound Gel Combo.
[03:33:32.960 --> 03:33:45.960]  The 40% off at the Infowalls store, again, another fantastic product. We're proud to bring you two revolutionary silver products in one affordable combo with Immune Gargle Plus Silver Wound Gel Combo available.
[03:33:45.960 --> 03:33:54.960]  The 40% off you can stock up right now. Take some to go for easy access to these incredible products. The incredible silver formula with an all-purpose use.
[03:33:54.960 --> 03:34:03.960]  Silver blue silver Immune Gargle comes in a 1 ounce, 3.4 ounce or 16 ounce bottle. The dentist recommended for daily use whenever you feel like you need to stay clean.
[03:34:03.960 --> 03:34:10.960]  We also have super silver wound dressing gel, which is the only FDA certified wound treatment product of this kind.
[03:34:10.960 --> 03:34:21.960]  I should do with some of that right now. Just dropped away on my hand. It's all scarred and bleeding. Perfect for scrapes, cuts, skin irritations and first degree burns whenever you need it.
[03:34:21.960 --> 03:34:36.960]  That is the amazing Immune Gargle Plus Silver Wound Gel Combo special. 40% off right now at Infowallsstore.com. Get that and get it today. Stock up and support this network.
[03:34:36.960 --> 03:34:47.960]  Stock up a tweet about 10 minutes ago, which is a Guardian headline. My tweet is entitled the first overtly racist modeling agency because the headline is this.
[03:34:47.960 --> 03:35:01.960]  The world's first non-white modeling agency. A true celebration of diversity. It's so diverse. There are no white people in it whatsoever. How diverse is that?
[03:35:01.960 --> 03:35:13.960]  In London a year ago, Lord boasts a catalog of models of color who challenge the fashion industry's bias towards Caucasian looks. There is no bias. Absolute BS.
[03:35:13.960 --> 03:35:25.960]  My girlfriend's an actress. She can't get roles because she's white. Consistently gets turned down for roles in favor of non-white people who are less talented because they're non-white.
[03:35:25.960 --> 03:35:37.960]  They have to achieve these ridiculous identity politics quotas. There's one at the BBC where 8% of their staff have to be disabled.
[03:35:37.960 --> 03:35:50.960]  They literally have to find disabled people to fill these roles. And there was another instance of this which I tweeted yesterday, which is an application form for again an acting role.
[03:35:50.960 --> 03:35:59.960]  And it said, I'll read it out. This was for an acting role for somebody aged 20 to 35. It says female. This does not mean cis.
[03:35:59.960 --> 03:36:09.960]  So they have to put it in there to make sure they've got the tranny base covered. It says act must identify as deaf or disabled.
[03:36:09.960 --> 03:36:18.960]  Identify as deaf? What? So do you actually have to be deaf? Or can you just pretend to be deaf? Or you just identify as deaf for one day?
[03:36:18.960 --> 03:36:25.960]  Maybe if you don't want to hear an argument, you don't like. You can just identify as deaf and get this job potentially as well.
[03:36:25.960 --> 03:36:33.960]  It says your disability does not need to be visible. We're particularly keen to solicit applications from neurodiverse actors.
[03:36:33.960 --> 03:36:37.960]  Whatever the hell that means. I guess it means autistic or something like that.
[03:36:37.960 --> 03:36:44.960]  It says any ethnicity, but we encourage applications from deaf and disabled, BAME performers, which means non-white.
[03:36:44.960 --> 03:36:54.960]  So they've got acting roles, which are saying if you identify as deaf, then you can come in and play for that role.
[03:36:54.960 --> 03:36:58.960]  Whether that means you actually have to be deaf or not, nobody knows.
[03:36:58.960 --> 03:37:08.960]  And now you've got the first overtly racist modelling agency. I've spoken to models and basically they already select non-white people en masse.
[03:37:08.960 --> 03:37:14.960]  Because again, that's the diversity ghetto chic that they're going for, especially in London.
[03:37:14.960 --> 03:37:24.960]  So you've got all these girls out there who look stereotypically white. Many of them are Scandinavian looking and they're not getting any jobs because they're already picking non-white people.
[03:37:24.960 --> 03:37:28.960]  Again, because we've got such fantastic white privilege.
[03:37:28.960 --> 03:37:39.960]  So they're celebrating the first overtly racist modelling agency that specifically excludes white people as a celebration of diversity.
[03:37:39.960 --> 03:37:46.960]  Okay, I thought diversity meant all races and all creeds. No, it means no white people. That's what it's come to mean.
[03:37:46.960 --> 03:37:51.960]  That's what it means right now with this first overtly racist modelling agency.
[03:37:51.960 --> 03:37:59.960]  And that has a knock on effect. And with that shown in this news story, headline out of Sputnik, diversity means no white people.
[03:37:59.960 --> 03:38:07.960]  Rash of provocative stickers plagues UK town. They were terrorized by some stickers on some lampposts. Oh my God, call the police, which they did.
[03:38:07.960 --> 03:38:13.960]  Anti-mass immigration sentiment in the UK has been on the rise amid highly publicised, racially charged issues.
[03:38:13.960 --> 03:38:15.960]  Again, we've had a lot of fake hate crimes too.
[03:38:15.960 --> 03:38:21.960]  Including grooming gang child sexual exploitation. No one cares about that really.
[03:38:21.960 --> 03:38:26.960]  But if you're an ISIS bride who's not faced by decapitated heads, come on in.
[03:38:26.960 --> 03:38:30.960]  Child sexual exploitation scandals rocking the country.
[03:38:30.960 --> 03:38:37.960]  Now this is in the town of St. Ives, Cambridgeshire, where police are investigating a series of provocative anti-immigration stickers,
[03:38:37.960 --> 03:38:41.960]  which were found on the doors of local homes, local news portal, Cambridgeshire Live has reported.
[03:38:41.960 --> 03:38:46.960]  The series of numbered black and white stickers found across multiple addresses on Monday morning include phrases like,
[03:38:46.960 --> 03:38:54.960]  mass immigration is white genocide, as well as a series claiming that diversity means no white countries, no white cities, no white neighbourhoods, means no white people.
[03:38:54.960 --> 03:39:01.960]  Now where do you think they could have got that idea from, given that we now have one of the biggest newspapers in the United Kingdom,
[03:39:01.960 --> 03:39:12.960]  celebrating the elimination of white people from an entire profession, from an entire agency that specifically discriminates against white people,
[03:39:12.960 --> 03:39:17.960]  which I believe under UK law is illegal, but no one cares because it's not enforced.
[03:39:17.960 --> 03:39:23.960]  If white people are, you know, feeling the cost of it, nobody cares, nobody enforces it.
[03:39:23.960 --> 03:39:25.960]  Where could they have got that idea from?
[03:39:25.960 --> 03:39:26.960]  Gee, I wonder.
[03:39:26.960 --> 03:39:32.960]  Article continues, one of the stickers featured the phrase, second generation, third, fourth, you have to go back.
[03:39:32.960 --> 03:39:34.960]  Now this is what happens.
[03:39:34.960 --> 03:39:42.960]  If you throw this in the face of people over and over again, if you prove that you're so-called diverse society actually means the elimination of white people,
[03:39:42.960 --> 03:39:46.960]  then you will get extremists on the right who do things like this.
[03:39:46.960 --> 03:39:52.960]  Now of course, this is just stickers, they're treating it like it was some massive right-wing terrorist attack, they're all freaking out.
[03:39:52.960 --> 03:40:00.960]  Residents of St. Audrey Lane and Langley Close reported the stickers, which were also plastered on lampposts, shock horror.
[03:40:00.960 --> 03:40:05.960]  Local woman said she saw stickers on lampposts, again stickers on lampposts basically akin to a terror attack.
[03:40:05.960 --> 03:40:13.960]  Nearer school with the phrases say no to Muslim rape gangs, God forbid, beware of anti-white rape gangs and beware of what is coming.
[03:40:13.960 --> 03:40:23.960]  So again, you're going to have fringes on the extremes and they will lash out and they will come out with that kind of volatile extremist rhetoric.
[03:40:23.960 --> 03:40:37.960]  If you have a situation where white people are specifically ostracised from entire professions like they're beginning to be in the acting and modelling professions with the first overtly racist modelling agency.
[03:40:37.960 --> 03:40:45.960]  Meanwhile in France, Sputnik again reports French citizens marching protest of rising anti-Semitism in the country.
[03:40:45.960 --> 03:40:51.960]  Gee, I wonder why that's happening. They've got a Muslim population officially of about eight, nine percent.
[03:40:51.960 --> 03:40:54.960]  It's probably actually closer to double that.
[03:40:54.960 --> 03:41:01.960]  And now some 14 French political parties, including President Emmanuel Macron's La Publicon March, because they have to do it to save face,
[03:41:01.960 --> 03:41:10.960]  as well as the Republicans called on the French electorate to hold political demonstrations all over the country under the slogan no to anti-Semitism.
[03:41:10.960 --> 03:41:20.960]  In addition to the Prime Minister, 19 members of the government are expected to take part in the march along with former French President Francois Hollande and Nicolas Sarkozy.
[03:41:20.960 --> 03:41:23.960]  Anti-Semitism is on the rise. In fact, I did a video about this.
[03:41:23.960 --> 03:41:37.960]  I forgot how many thousands of Jews fleeing Paris every single year because of this says last year there were 541 registered incidents up 74 percent from the 311 registered in 2017.
[03:41:37.960 --> 03:41:41.960]  So it's gone up 74 percent in a year.
[03:41:41.960 --> 03:41:50.960]  The march is taking place just hours after about 80 graves were discovered vandalized, painted with swastikas in a Jewish cemetery in eastern France,
[03:41:50.960 --> 03:41:54.960]  which reminds me of that Karl Lagerfeld warning.
[03:41:54.960 --> 03:41:58.960]  Of course, we had the death of Karl Lagerfeld, the fashion icon today.
[03:41:58.960 --> 03:42:03.960]  He gave an interview with AFP not so long ago. I think it was a few months ago.
[03:42:03.960 --> 03:42:12.960]  Well, he said, quote, one cannot, even if there are decades between them, kill millions of Jews so you can bring millions of their worst enemies in their place.
[03:42:12.960 --> 03:42:14.960]  This is Karl Lagerfeld said this.
[03:42:14.960 --> 03:42:21.960]  I know someone in Germany who took a young Syrian and after four days said the greatest thing Germany invented was the Holocaust.
