[00:00.000 --> 00:02.000]  Assume, impeach him.
[02:58:38.000 --> 02:58:43.120]  with more of uh this guy i mean you should talk about sick fourth hour info wars dot com forward
[02:58:43.120 --> 02:58:54.720]  slash show visit gcm live dot com today most of the info wars radio listening audience is aware of
[02:58:54.720 --> 02:59:00.960]  the high quality affordable firearms available that are made right here in america at hdfirearms.com
[02:59:00.960 --> 02:59:06.720]  one of the most exciting things about hdfirearms.com is the ability to upgrade your ar-15 platform
[02:59:06.720 --> 02:59:13.200]  today they call it their low profile platform pvx muzzle brakes proven to help control muzzle rise
[02:59:13.200 --> 02:59:20.960]  6061 billet material with time three hard coding bolt carrier group for 308 and 556 ar's custom
[02:59:20.960 --> 02:59:27.200]  kydex holsters ideal for concealed carry with 0.080 thick kydex to ensure durability most
[02:59:27.200 --> 02:59:34.080]  competitors material use 0.060 configure yours today at hdfirearms.com and my favorite single
[02:59:34.080 --> 02:59:40.880]  stage trigger a home run upgrade for your ar-15 and ar-10 platforms find out more at hdfirearms.com
[02:59:40.880 --> 02:59:50.320]  today or call 770-485-7015 that's hdfirearms.com or call 770-485-7015
[02:59:53.520 --> 02:59:56.160]  you're listening to the alex jones show
[02:59:56.160 --> 03:00:09.600]  from his central texas command center deep behind enemy lines the information war continues
[03:00:10.160 --> 03:00:18.640]  it's alex jones and the gcn radio network so a massive new branch of law enforcement they're
[03:00:18.640 --> 03:00:24.480]  not just arming the epa and the fda with machine guns and armored vehicles and billions of bullets
[03:00:24.480 --> 03:00:28.240]  and power grabbing land everywhere and just running around foaming at the mouth of the
[03:00:28.240 --> 03:00:34.480]  borders open shutting off our power plants like a pack of 10 million demonic pink gremlins
[03:00:34.480 --> 03:00:40.640]  you know wrecking our infrastructure couldn't couldn't do more kyjus you know out of pacific
[03:00:40.640 --> 03:00:46.640]  rim are less destructive than these real life destroyers of civilization these these these
[03:00:46.640 --> 03:00:51.760]  miscreants and now they have the announcement of their new domestic terrorism initiative
[03:00:51.760 --> 03:00:54.800]  if you read all the literature run by the southern poverty law center basically
[03:00:56.800 --> 03:01:02.480]  80 else in there but not the splc is the big dog it's such a great job at elheim city
[03:01:04.560 --> 03:01:09.760]  so let's go ahead and go back a domestic terrorism initiative here is this announcement
[03:01:10.960 --> 03:01:17.520]  this is a threat that requires as much as any other if not more not just a federal response
[03:01:17.520 --> 03:01:22.560]  but working closely with police officers district attorneys local community officials
[03:01:22.560 --> 03:01:29.120]  and members of the community who are eyes on the ground had nsd in order to ensure that we gain
[03:01:29.120 --> 03:01:34.400]  the benefits of the information and input coming in from all those different eyes on the federalization
[03:01:34.400 --> 03:01:40.720]  you know and in recognition of the growing number of domestic terrorism matters across the country
[03:01:40.720 --> 03:01:47.600]  and across across all of the united states we've created a new position to assist in our important
[03:01:47.600 --> 03:01:54.000]  work in combating domestic terrorism so just this week i've pointed a new domestic terrorism
[03:01:54.000 --> 03:01:59.440]  council to serve as our main point of contact for us attorneys working on domestic terrorism
[03:01:59.440 --> 03:02:05.840]  matters the new domestic terrorism council will not only help ensure that domestic terrorism cases
[03:02:05.840 --> 03:02:11.520]  are properly coordinated but will play a key role in our headquarters level efforts to identify
[03:02:11.520 --> 03:02:17.920]  translated to help shape our national strategy and to analyze legal gaps for enhancements required
[03:02:17.920 --> 03:02:23.440]  to ensure that we can combat these threats the new council will also play an important role in
[03:02:23.440 --> 03:02:29.680]  plugging into the domestic terrorism executive council by providing its members with overviews
[03:02:29.680 --> 03:02:35.120]  of cases and trends from around the country to provide a direction to that group that's enemies
[03:02:35.120 --> 03:02:40.800]  list persecution our collective objective is to disrupt and prevent terrorist attacks to stop
[03:02:40.800 --> 03:02:45.440]  the states from saving the country not a prosecution although they are sometimes necessary
[03:02:45.440 --> 03:02:50.800]  it's that we see the attack prevented the life save the injury that never they'll stop some
[03:02:50.800 --> 03:02:55.360]  fake attacks with mentally ill people and they'll carry out their own tools at our disposal and we
[03:02:55.360 --> 03:03:01.680]  need to do so aware that perhaps more so than any other area in which we operate we need to be mindful
[03:03:01.680 --> 03:03:06.000]  of the importance of people's civil rights and civil liberties and our fundamental values we do
[03:03:06.000 --> 03:03:11.760]  not investigate people for exercising their first amendment right sure but we are obligated to
[03:03:11.760 --> 03:03:16.400]  investigate extremist groups and individuals when they have when we have reason to believe that
[03:03:16.400 --> 03:03:21.120]  they're involved in the commission of a federal crime including crimes of violence and Santa Claus
[03:03:21.120 --> 03:03:26.960]  is real we need to utilize proactive enforcement tools and investigative techniques including
[03:03:26.960 --> 03:03:33.040]  undercover operations the use of confidential informants and other statutory authorities
[03:03:33.040 --> 03:03:39.840]  all these crazy power tripping anti-americans oh i'm gonna throw up i tell you let's let's go out
[03:03:39.840 --> 03:03:43.440]  to break with one more clip the threat of influence of internet here it is play that
[03:03:43.440 --> 03:03:48.880]  well we can only track threats that we can see with the explosive use of social media and encrypted
[03:03:48.880 --> 03:03:54.240]  communications those inspired to violence by messages of hate we run the risk that we will
[03:03:54.240 --> 03:03:59.920]  see less just as the bad guys are seeing more they call free speech messages social media in this
[03:03:59.920 --> 03:04:06.400]  space can also create for an extreme segment of our society a sort of radicalization echo chamber
[03:04:06.400 --> 03:04:12.640]  which each of their own calls for extremist propaganda or violence echo and support being
[03:04:12.640 --> 03:04:18.080]  done by posters that's a phenomenon in particular southern poverty law center has analyzed closely
[03:04:18.080 --> 03:04:24.480]  oh he analyzed it closely let me tell you analyzing the same oh he said so as service providers to
[03:04:24.480 --> 03:04:29.440]  provide a service that does so much good and has so many legitimate uh business entertainment purposes
[03:04:29.440 --> 03:04:34.880]  and is the way uh most of our children now are communicating and playing day to day just as it
[03:04:34.880 --> 03:04:40.640]  provides those good things they also need to take responsibility for how their services can be abused
[03:04:40.640 --> 03:04:45.360]  yeah so you'll censor like suckerbars doing to understand what the threats are this guy's the
[03:04:45.360 --> 03:04:50.000]  perfect sociopath globalist just real non-threatening oh hi i'm not a little suit
[03:04:51.760 --> 03:04:57.280]  meanwhile i close door yeah get these americans uh we'll be right back stay whether something
[03:04:57.280 --> 03:05:04.880]  continue on the road just straight ahead and yet another land grab the blm the bureau of land
[03:05:04.880 --> 03:05:10.880]  management is ignoring the real estate title given by the state of texas 74 years ago to a farmer
[03:05:10.880 --> 03:05:15.600]  now the same bureaucracy that has ignored property rights for ranchers like clavin bundy and nevada
[03:05:15.600 --> 03:05:20.720]  ignored property rights for minors in oregon and elsewhere is coming after the property of a texas
[03:05:20.720 --> 03:05:26.640]  farmer the blm has decided they will move the boundary take half his land and his house congress has
[03:05:26.640 --> 03:05:31.280]  allowed bureaucracies to grow unchecked because congress doesn't like to pass laws they have
[03:05:31.280 --> 03:05:36.480]  abdicated their constitutional duty to bureaucracies who not only write the law but often act as their
[03:05:36.480 --> 03:05:41.440]  own police force and run their own court no one in either party in washington wants to change it
[03:05:42.080 --> 03:05:46.640]  these bureaucracies will destroy every last remnant of your god given constitutionally
[03:05:46.640 --> 03:05:52.560]  protected rights including your property rights unless they are stopped by you by the people
[03:05:52.560 --> 03:05:59.360]  at the state and the local level for more information go to info wars dot com i'm david night
[03:05:59.360 --> 03:06:06.880]  most of the info wars radio listening audience is aware of the high quality affordable firearms
[03:06:06.880 --> 03:06:11.840]  available that are made right here in america at hdfirearms.com one of the most exciting
[03:06:11.840 --> 03:06:17.520]  things about hdfirearms.com is the ability to upgrade your ar-15 platform today they call it
[03:06:17.520 --> 03:06:24.320]  their low profile platform pvx muzzle brakes proven to help control muzzle rise 6061 billet
[03:06:24.320 --> 03:06:31.920]  material with time three hard coding bolt carrier group for 308 and 556 ar's custom kydex holsters
[03:06:31.920 --> 03:06:37.520]  ideal for concealed carry with point 080 thick kydex to ensure durability most competitors
[03:06:37.520 --> 03:06:44.240]  material use point 0600 configure yours today at hdfirearms.com and my favorite single stage
[03:06:44.240 --> 03:06:50.720]  trigger a home run upgrade for your ar-15 and ar-10 platforms find out more at hdfirearms.com
[03:06:50.720 --> 03:07:02.000]  today or call 770-485-7015 that's hdfirearms.com or call 770-485-7015 alex jones here info wars
[03:07:02.000 --> 03:07:07.280]  store.com is now partnering with the top of the line storeable food company my patriot supply to
[03:07:07.280 --> 03:07:13.680]  bring you the highest quality freshest longest lasting most affordable storeable foods private
[03:07:13.680 --> 03:07:18.800]  labeled from info wars select.com at the lowest price you're going to find anywhere the globalist
[03:07:18.800 --> 03:07:24.080]  want us dependent we need to be self-sufficient and if you don't have high quality long lasting
[03:07:24.080 --> 03:07:28.720]  storeable foods i believe you're making a huge mistake my goal is to find the best deals and
[03:07:28.720 --> 03:07:34.720]  bring it to you now is the time to take action and to secure your pantry for any emergency
[03:07:34.720 --> 03:07:38.800]  you can buy all the great my patriot supply products at info wars store.com they're the
[03:07:38.800 --> 03:07:45.520]  exact same products inside info wars select.com visit info wars select.com or info wars store.com
[03:07:45.520 --> 03:07:52.160]  today to check out the amazing deals for yourself secure you and your families needs today at info
[03:07:52.160 --> 03:08:00.000]  wars store.com with info wars select that's info wars select.com or 888-253-3139
[03:08:02.800 --> 03:08:08.400]  he's the t-rex of political talk alex jones on the gcn radio network
[03:08:08.400 --> 03:08:17.200]  it is key to understand but the globalists are waging war to take over the west by opening
[03:08:17.200 --> 03:08:24.000]  up the borders bringing in masses of immigrants and then filling those immigrants full of hate
[03:08:24.560 --> 03:08:29.840]  of the people that are already in the country and that they're not getting enough and we've got
[03:08:29.840 --> 03:08:35.760]  mainstream news articles today here's rt associated press you name it german parents
[03:08:35.760 --> 03:08:41.600]  outrage it for school children asked to make beds cook for refugees retirees are being thrown out
[03:08:41.600 --> 03:08:48.960]  of government subsidized housing to make way for the quote refugees in england the express news
[03:08:48.960 --> 03:08:54.080]  reports refugees taunt police with selfies showing stolen goods but they can't be arrested
[03:08:57.600 --> 03:09:02.960]  and then this latest article with video at info wars dot com this ties into what i'm about to get
[03:09:02.960 --> 03:09:09.360]  into with rob do governor tells residents of german town about to accept quote migrants
[03:09:09.360 --> 03:09:17.600]  if you don't like it leave while another town of just 4 000 residents prepares to accept 3000
[03:09:17.600 --> 03:09:25.360]  migrants sweden has set up an airline into the middle east to fly the illegals in free
[03:09:26.320 --> 03:09:30.080]  so so it's not like they have a migrant crisis and they can't handle it they
[03:09:30.080 --> 03:09:37.040]  want it and over 80 percent now they admit are military aged men these are not refugees in fact
[03:09:37.040 --> 03:09:42.560]  it was an article yesterday on info wars dot com about this and it showed real refugees from syria
[03:09:42.560 --> 03:09:48.400]  a bunch of women and children mainly with old people and then it shows the new refugees and
[03:09:48.400 --> 03:09:54.240]  they get off in our military they line up military ranks they're from a bunch of different countries
[03:09:54.240 --> 03:10:00.640]  and it is a deal with europe i guess to sell out and start a caliphate up
[03:10:02.240 --> 03:10:06.400]  and the word's gone out to the big emom of jerusalem he says all that in speeches i mean
[03:10:08.640 --> 03:10:13.280]  yeah i gotta hand it to the socialists on the left and the big banks i mean they really are
[03:10:13.280 --> 03:10:19.920]  hardcore i mean they are hardcore and they're now announcing in germany and they're doing
[03:10:19.920 --> 03:10:24.640]  they're arresting you if you criticize it a regional governor told residents of municipality in germany
[03:10:24.640 --> 03:10:29.840]  they didn't embrace the arrival of hundreds of new immigrants they should leave that's what governor
[03:10:29.840 --> 03:10:33.440]  quomo said in new york if you're pro-liver pro-gun get out of the state people started your joke you
[03:10:33.440 --> 03:10:41.600]  said no get out of here you're not welcome the municipality of loan fell am i pronounced that
[03:10:41.600 --> 03:10:47.920]  right as a population of 13 500 during a town hall meeting they've already received thousands
[03:10:47.920 --> 03:10:52.320]  residents were suddenly informed that 400 new migrants that's invaders would be arriving the
[03:10:52.320 --> 03:10:59.760]  very next day regional governor walter lube kick told the is that right lube uber bick how do you
[03:10:59.760 --> 03:11:06.960]  say that how do you say it lube key lube key told the attendees that people who were not happy
[03:11:06.960 --> 03:11:11.760]  with the influx of migrants could simply vacate the area remarking quote if you don't like it you
[03:11:11.760 --> 03:11:17.040]  can leave we have as germans freedom you're free to leave if you don't agree really go go to another
[03:11:17.040 --> 03:11:22.480]  town one of the audience members reacts by commenting i can't believe it piss off get out
[03:11:22.480 --> 03:11:27.840]  of here the rest of the crowd booze loudly but they don't care they're all going to get e u jobs
[03:11:27.840 --> 03:11:32.160]  the more they break germany the more they break spain the more they break portugal the more they
[03:11:32.160 --> 03:11:38.400]  break greece the more they bankrupt it the more they get reward it's all about hard core in your
[03:11:38.400 --> 03:11:46.720]  face cnn says ban the term he and she it's the new inward they actually say that that's on info wars.com
[03:11:48.080 --> 03:11:54.320]  and they're never going to stop it's they're not going to stop they're not crazy it's psych warfare
[03:11:54.320 --> 03:12:01.760]  on record now you criticize all this the justice department's federalizing the local police and
[03:12:01.760 --> 03:12:07.200]  saying you're the number one threat we're going to surveil you we're going to watch you we're going
[03:12:07.200 --> 03:12:14.000]  to come after you then they go to the strong cities network this is from yesterday at the
[03:12:14.000 --> 03:12:18.400]  justice department there's almost no coverage of this we're getting articles right now and look
[03:12:18.400 --> 03:12:22.080]  i don't want to be the only ones reporting i'm reporting all this before we have articles out
[03:12:22.960 --> 03:12:29.200]  hoping other people pick up on it and i'm doing the analysis for people that's why msnbc hates me
[03:12:29.200 --> 03:12:33.920]  so much i'm not bragging i've studied this though they go look at congress chairman of committees
[03:12:33.920 --> 03:12:38.800]  get their talking points from alex jones and that's true they're not talking points i've
[03:12:38.800 --> 03:12:43.760]  done the homework i've done the interviews thousands of them i've been there i've studied it i know
[03:12:43.760 --> 03:12:49.520]  their plan and i'm not sitting on it like i've got a golden egg it's a hand grenade i'm saying we
[03:12:49.520 --> 03:12:57.120]  need everybody to realize how diabolical premeditated and evil this is and they want tyranny to get
[03:12:57.120 --> 03:13:01.840]  rid of the free market and make us poor even if you're cynical and don't care about freedom
[03:13:01.840 --> 03:13:04.320]  this is going to hurt your bottom line this is bad
[03:13:07.840 --> 03:13:12.560]  so here they are the strong cities network which is a un initiative through the justice
[03:13:12.560 --> 03:13:19.440]  department federalizing police setting up spies funding leftist groups and putting people on the
[03:13:19.440 --> 03:13:23.680]  police review boards and you're like well there's some bad cops there's but yeah that's federal
[03:13:23.680 --> 03:13:33.920]  training that's globalism but you don't fix it by putting satan over it this is u n notice the
[03:13:33.920 --> 03:13:40.320]  u n sir like you your borders aren't open enough this is all global government tpp world treaty here
[03:13:40.320 --> 03:13:46.720]  it is the attorney general uh when she was out attending the united nations uh general assembly
[03:13:46.720 --> 03:13:53.120]  events hosted hosted her own launch of a strong cities network and that's the first ever network
[03:13:53.120 --> 03:13:58.640]  of city leaders around the world involved in building community for convincing states the
[03:13:58.640 --> 03:14:03.920]  network was created in recognition of the key role of local communities in combating violent
[03:14:03.920 --> 03:14:09.440]  extremism and back it up 10 seconds see this strategy is going on it's called unionization for
[03:14:09.440 --> 03:14:15.200]  over 60 years mainly in third world countries that are weak where they say imf world bank
[03:14:15.200 --> 03:14:17.920]  money will come in but you got to put the u n in charge of how it's distributed and they
[03:14:17.920 --> 03:14:23.120]  distribute it back to their own companies this is billions they're saying two billion the first
[03:14:23.120 --> 03:14:30.560]  year on this in the us alone to fly everybody around to un meetings steak dinners prostitutes
[03:14:30.560 --> 03:14:36.160]  you know all the regular stuff to corrupt them to get dirt on them to give them deals it's an
[03:14:36.160 --> 03:14:42.000]  intelligence operation and then bring them back and basically set them up in charge over the city
[03:14:42.000 --> 03:14:49.200]  and following you in edicts and that's what it's announced it's you in here it is the network was
[03:14:49.200 --> 03:14:55.200]  created in recognition of the key role of local communities in combating violent extremism and
[03:14:55.200 --> 03:15:00.880]  the need for more than a top-down approach instead from an approach that builds up from the communities
[03:15:02.400 --> 03:15:08.320]  see everything's inverse here he says oh this is bottom up no it's not it's international
[03:15:08.320 --> 03:15:12.720]  and then it's directed down to the bottom and circumvents the national and state government
[03:15:12.720 --> 03:15:18.080]  with the occupier traders sitting in their quarterbacking let's go back from the communities
[03:15:18.720 --> 03:15:24.000]  and it takes a page from our integrated strategy in combating other types of violent extremism
[03:15:24.560 --> 03:15:29.520]  we've long known i remember when i was doing violent crimes in the dc us attorney's offices
[03:15:29.520 --> 03:15:34.240]  that were most successful when we partner with and are out in the local communities
[03:15:34.240 --> 03:15:40.640]  part of life together to uphold the law community members are often best positioned to identify
[03:15:40.640 --> 03:15:45.360]  and relate to individuals who've begun on a path of violent extremism because they see things that
[03:15:45.360 --> 03:15:53.600]  we just don't see in law enforcement in the united states according to one study in 80 percent of the
[03:15:53.600 --> 03:16:01.120]  international terrorism uh inspired cases inside the united states there was a connection uh there
[03:16:01.120 --> 03:16:08.160]  was a third party bystander who was in a position to see the radicalization taking place but in
[03:16:08.160 --> 03:16:14.240]  over half of those cases that person who saw taking place did nothing to intervene if we could
[03:16:14.240 --> 03:16:20.080]  simply increase the number of those witnesses who take action to help us uh stop that path to
[03:16:20.080 --> 03:16:25.760]  radicalization i think we could reduce the number of lives lost terrorist attacks here oh that's good
[03:16:25.760 --> 03:16:30.080]  so somebody's saying is we're going to help with community people watching these are
[03:16:30.080 --> 03:16:35.440]  international spies in your town and then what they do is they radicalize leftist when we've gone
[03:16:35.440 --> 03:16:39.120]  to the police review board we know about the we've had our people in there that folks don't
[03:16:39.120 --> 03:16:42.400]  know what they look like videotaping this stuff three different meetings we're going to put a
[03:16:42.400 --> 03:16:47.680]  report out there's actual the majority are malice and Stalinist and then they've got all these young
[03:16:47.680 --> 03:16:51.840]  people they order to go out and then they show up at our pro-life demonstrations saying they love
[03:16:51.840 --> 03:16:56.080]  satan kill everybody and then they show up at other events saying kill the pigs and then they're
[03:16:56.080 --> 03:17:00.240]  putting they're getting ready to put more of these people on the new police review board
[03:17:01.520 --> 03:17:09.040]  or i live literal green i mean like translucent green skin you know scum
[03:17:10.960 --> 03:17:14.960]  i say green skin some people actually have like greenish white skin that's how evil they are
[03:17:14.960 --> 03:17:22.880]  they physically look like ghouls and they're showing up and we go to these events and they're
[03:17:22.880 --> 03:17:30.560]  getting orders from ut people and then they have un support i mean this is organized i just cannot
[03:17:30.560 --> 03:17:36.560]  believe that we are overrun by this much scum there's other clips definition of code book for
[03:17:36.560 --> 03:17:40.960]  domestic terrorism i'm going to get to this tomorrow i want to go to rob do is about to take over
[03:17:40.960 --> 03:17:46.400]  and they've got a big whistleblower coming up as from murk and it is a scary all this is the good
[03:17:46.400 --> 03:17:51.920]  news is is dr robert said the world is seeing that we have evil people running our country
[03:17:51.920 --> 03:17:56.880]  and so the deception is not working anymore rob but i tell you to still see them move to indict
[03:17:56.880 --> 03:18:01.600]  ron paul and rand paul and that's what all this is with jessie benton and others being indicted
[03:18:01.600 --> 03:18:06.960]  for nothing it really shows you that this is we are two minutes to midnight right and i like what
[03:18:06.960 --> 03:18:12.000]  you or what dr robert said today is a brave man can only die once a coward dies a thousand deaths
[03:18:12.000 --> 03:18:16.880]  and as long as we stand up and fight yeah maybe they will kill us maybe something will happen but
[03:18:16.880 --> 03:18:21.680]  they can only do it once and and then whatever you've done is what you're going to leave behind so
[03:18:21.680 --> 03:18:28.240]  you have to act now you have to stand up i have a great picture joe just texted me joe biggs out
[03:18:28.240 --> 03:18:32.880]  there with a good group of citizens out there wanting hillary to go to prison there it is on
[03:18:32.880 --> 03:18:36.880]  my phone i'm going to tweet that out in a bit but that's the kind of action we need we need people
[03:18:36.880 --> 03:18:41.200]  to stand up to tyrants whenever they come into your town in city and let people know that we're
[03:18:41.200 --> 03:18:45.200]  not going to take it anymore it's a fight they want to run around behind the scenes demonizes
[03:18:45.200 --> 03:18:50.080]  false flag is frame us set us up and and we're not going to get on our knees we're not going to go
[03:18:50.080 --> 03:18:55.280]  quietly the night we're going to fight as hard as we can and it's just it's still really hard to
[03:18:55.280 --> 03:19:00.000]  believe but it it happened i mean we really have a crop of sinister people that have it out for
[03:19:00.000 --> 03:19:04.880]  everybody in charge and the good thing is yeah we do have a big target on our back but that also
[03:19:04.880 --> 03:19:08.960]  lets us get a lot of information out so we're able to spread our information out people are picking
[03:19:08.960 --> 03:19:14.080]  it up it's getting i mean info wars is growing exponentially and i love to see that and with
[03:19:14.080 --> 03:19:18.400]  this whistleblower that we're going to have in today brandy vaughn she's i was just in the hallway
[03:19:18.400 --> 03:19:21.600]  talking to her alex and i was talking she was what do you want to talk about i said well i covered
[03:19:21.600 --> 03:19:26.080]  the vitamin k shot on monday she was ooh wait till you see what they're putting in it now
[03:19:26.080 --> 03:19:30.560]  okay because i have on tape a pediatrician telling me there's nothing bad in just a little
[03:19:30.560 --> 03:19:34.240]  bit of alcohol just a little bit of alcohol no there's other things in it and we're going to
[03:19:34.240 --> 03:19:38.960]  go over that coming up and she's a whistleblower on mark i didn't know she was here that's big
[03:19:38.960 --> 03:19:43.520]  she's here yeah she used to be a sales rep for virk she was a vioxx sales rep the national news i
[03:19:43.520 --> 03:19:48.560]  just didn't know that she was in studio wow well i'm going to hand the baton to you and uh you got
[03:19:48.560 --> 03:19:52.960]  40 minutes coming up folks call your friends and family tell them to tune in right now on your local
[03:19:52.960 --> 03:19:58.000]  aminathem stations or info wars dot com forward slash show you are the power you are the resistance
[03:19:58.000 --> 03:20:03.680]  who have you told today about the info war do you lay awake at night and worry about the health
[03:20:03.680 --> 03:20:08.320]  and safety of you and your loved ones do you wonder what would happen if you weren't able to get to a
[03:20:08.320 --> 03:20:13.280]  hospital or doctor how can you keep your family safe against the deadly pathogens that are beginning
[03:20:13.280 --> 03:20:19.520]  to emerge in the world today give yourself peace of mind with supernatural silver supernatural
[03:20:19.520 --> 03:20:25.280]  silver is turning heads around the world as a new weapon in the fight against bacteria viruses and
[03:20:25.280 --> 03:20:31.520]  fungus supernatural silver can be taken internally or use topically to help the body's own immune
[03:20:31.520 --> 03:20:37.040]  system fight off disease much more effectively supernatural silver has been tested at independent
[03:20:37.040 --> 03:20:42.240]  universities and laboratories around the world and has been proven to be safe and highly effective
[03:20:42.240 --> 03:20:47.360]  against some of the planet's deadliest pathogens there is no better product to have in your home
[03:20:47.360 --> 03:20:53.520]  for daily use or emergency preparedness go to supernatural silver dot com use the code silver
[03:20:53.520 --> 03:21:00.080]  2015 for 20 percent off and give yourself and your loved ones a fighting chance with supernatural
[03:21:00.080 --> 03:21:05.840]  silver your liver can be full of fatty deposits built up toxins and even dangerous objects known
[03:21:05.840 --> 03:21:11.840]  as liver stones we worked with the top developers in the field of detox to take tried and true herbs
[03:21:11.840 --> 03:21:16.800]  and other compounds known to safely cleanse the liver and fuse it with the latest research and
[03:21:16.800 --> 03:21:21.840]  technological development on concentrating these ingredients to give you the maximum effect liver
[03:21:21.840 --> 03:21:26.800]  shield is the only liver support product in the market that uses a patented spy girex blend of
[03:21:26.800 --> 03:21:31.360]  powerful organic herbs that support detoxification and when you visit in full worse life dot com
[03:21:31.360 --> 03:21:36.720]  see the instructional video on how to do a six-day liver detox this isn't a game and let me tell you
[03:21:36.720 --> 03:21:42.560]  the results are dramatic liver shield is totally organic and made of the safest high quality herbs
[03:21:42.560 --> 03:21:47.520]  but that said you need to consult your physician before you do the full detox liver shield can
[03:21:47.520 --> 03:21:52.320]  also be used daily by itself for overall upkeep of the liver secure your liver shield today
[03:21:52.320 --> 03:21:56.880]  exclusively at info wars life dot com for the lowest price available that's info wars life
[03:21:56.880 --> 03:22:04.560]  dot com or call 888-253-3139 at 30dayfoodsupply.com two of our top priorities are providing quality
[03:22:04.560 --> 03:22:10.080]  food at a reasonable price and protecting your security when you call 800-700-2184 we will never
[03:22:10.080 --> 03:22:14.000]  record your phone call and never ask for your personal information like how much food you
[03:22:14.000 --> 03:22:18.640]  have stored or where you keep it will also never store your credit card information and email address
[03:22:18.640 --> 03:22:23.120]  on a computer your email address will never be shared or sold will never limit the number of boxes
[03:22:23.120 --> 03:22:28.000]  you can purchase will never use outside packers or use relabeled food from another company our
[03:22:28.000 --> 03:22:31.760]  meals are naturally high in fiber carbs and protein and everything is packed with oxygen
[03:22:31.760 --> 03:22:36.560]  absorbers and mylar pouches under our direct supervision at our plant in oregon oregon
[03:22:36.560 --> 03:22:40.720]  trail foods and 30 day food supply dot com keep prices low by buying directly from their producers
[03:22:40.720 --> 03:22:46.560]  in oregon and then passing the savings onto you call 800-700-2184 and purchase our 30 day 90
[03:22:46.560 --> 03:22:52.640]  serving emergency food supply for only $99 and $10 ship your entire order to lower 48 visit our
[03:22:52.640 --> 03:23:00.800]  website 30dayfoodsupply.com or call 800-700-2184 that's 30dayfoodsupply.com and 800-700-2184
[03:23:00.800 --> 03:23:05.200]  most of us already know that taking a fish oil supplement to boost omega threes is a good idea
[03:23:05.200 --> 03:23:09.520]  but did you know that about 60 percent of americans are actually deficient in omega threes did you
[03:23:09.520 --> 03:23:15.040]  know that most fish oil products contain only about 25 omega threes and the remaining 75 percent
[03:23:15.040 --> 03:23:19.760]  is undesirable fish fat heck did you know that more than 90 percent of fish oil supplements sold
[03:23:19.760 --> 03:23:24.800]  in the usa are not even made here if you want to boost your omega threes using the finest american
[03:23:24.800 --> 03:23:31.120]  made fish oil check out neutral gold fish oil supplements on www.fishoil.best neutral gold
[03:23:31.120 --> 03:23:36.400]  fish oils are independently five star certified and guaranteed to be exceptionally pure that means
[03:23:36.400 --> 03:23:41.520]  no more fish burps best of all just one neutral gold fish oil capsule contains more omega threes
[03:23:41.520 --> 03:23:50.640]  than four standard fish oil capsules go to www.fishoil.best or call 888-920-1497 and use promo
[03:23:50.640 --> 03:24:00.320]  code bestfishoil to get a free one month supply that's www.fishoil.best or call 888-920-1497
[03:24:00.320 --> 03:24:24.880]  we are back on the fourth hour of overdrive with the alex joneshow i'm your host rob do
[03:24:24.880 --> 03:24:31.120]  and i have a very special guest we're going to go to in one quick second uh she's a whistleblower
[03:24:31.120 --> 03:24:37.280]  from murk pharmaceuticals she used to work there selling vioxx she was a sales rep and now she's
[03:24:37.280 --> 03:24:42.800]  come out and i've got some i was talking to her in the hardings brandy vaughn and she said what do
[03:24:42.800 --> 03:24:46.800]  you want to cover i said well you know on monday i covered the vitamin k shot and how the pediatricians
[03:24:46.800 --> 03:24:51.760]  don't want to give you the oral they are pushing that shot and she was oh i've got some great
[03:24:51.760 --> 03:24:55.520]  some images that you want to see that you want to see but first but right before we get to that i
[03:24:55.520 --> 03:24:59.680]  want to go over this article this is from the denver post fight brewing between feds
[03:24:59.680 --> 03:25:04.320]  and kombucha team makers now what does that have to do with vaccines well basically what's
[03:25:04.320 --> 03:25:10.480]  going on is the u.s alcohol tobacco um and firearms agents are are worried about how much
[03:25:10.480 --> 03:25:16.080]  alcohol is in kombucha and uh for years u.s alcohol tobacco tax and trade bureau have
[03:25:16.080 --> 03:25:20.000]  monitored kombucha makers nationwide for violations of federal alcohol rules a product
[03:25:20.000 --> 03:25:25.520]  with more than 0.5 alcohol by volume must be labeled as such and it's critical that customers
[03:25:25.520 --> 03:25:31.360]  have that information uh for health religious or some other reasons such as childhood consumption
[03:25:31.360 --> 03:25:39.040]  well let's look at the right here guys on the uh the insert for murk vitamin k shot oh it's got
[03:25:39.040 --> 03:25:44.640]  0.9 alcohol in it yet they want to inject that into little babies and there's not a big deal
[03:25:44.640 --> 03:25:50.880]  about it yet we've got a whole federal bureaucracy ready to go after people for making kombucha
[03:25:50.880 --> 03:25:54.960]  something that's really good for you and something that you should be drinking if you're not uh
[03:25:54.960 --> 03:25:59.360]  drinking it already it's uh i think comes from russia there's villages in russia where everybody
[03:25:59.360 --> 03:26:04.160]  lives to be a hundred now drink kombucha so at least that's what i've been told by the hippies
[03:26:04.160 --> 03:26:09.040]  out there that drink the kombucha so brandy von welcome to the alex joneshow overdrive hour
[03:26:09.040 --> 03:26:15.440]  and having me here oh you're i'm so glad you came uh and you're going to be on with leon
[03:26:15.440 --> 03:26:18.160]  macadoo tomorrow we're going to tape another segment and we're going to take your calls
