[00:00:01.667 --> 00:00:03.728]  It's Wednesday the 19th.
[00:22:43.953 --> 00:22:45.214]  The crash is coming.
[00:22:45.214 --> 00:22:47.476]  Take measures now to soften the landing.
[00:22:47.836 --> 00:22:50.458]  Go to babyboomerbackupplan.com or call 888-507-8789.
[00:22:50.458 --> 00:22:51.919]  That's babyboomerbackupplan.com.
[00:23:17.756 --> 00:23:18.536]  And more!
[00:23:18.536 --> 00:23:26.299]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[00:23:26.299 --> 00:23:32.340]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[00:23:32.340 --> 00:23:35.662]  It's extremely effective and it starts working in just days.
[00:23:35.662 --> 00:23:41.203]  Visit HBExtract.com to learn more and to read scores of testimonials from satisfied customers.
[00:23:41.203 --> 00:23:43.944]  And we've never increased our price in over 10 years.
[00:23:43.944 --> 00:23:46.805]  That makes heart and body extract as great a value now
[00:23:47.105 --> 00:23:50.730]  As it was the first day we sold it, a healthy heart is a happy heart.
[00:23:50.730 --> 00:23:51.932]  Call 866-295-5305 or go to hbextract.com.
[00:24:24.719 --> 00:24:27.821]  By the way, it's official.
[00:24:27.821 --> 00:24:38.627]  Obama is to announce his quote, immigration reform, unilateral, outside of Congress's control, outside of the courts, in Las Vegas on Friday.
[00:24:38.627 --> 00:24:42.630]  Roger's report calls it the Vegas jackpot.
[00:24:42.630 --> 00:24:46.412]  And that report is out of CNBC News.
[00:24:47.742 --> 00:24:50.608]  They're saying that the health order will omit health benefits.
[00:24:50.608 --> 00:24:57.841]  Well, they already give them health benefits, so I think that's PR propaganda out of the New York Times, if you ask me.
[00:24:59.209 --> 00:25:01.950]  We'll give you details of that coming up.
[00:25:01.950 --> 00:25:06.931]  I do want to, again, take a lot of your phone calls here today and we'll start doing that here in a moment.
[00:25:06.931 --> 00:25:09.072]  Then we'll look at the latest in Ferguson.
[00:25:09.072 --> 00:25:11.112]  We've got some very interesting news and some good news.
[00:25:11.112 --> 00:25:22.656]  AT&T quietly backs away from its use of advanced tracking cookies due to public backlash and the fact that there's now a major market in not surveilling people.
[00:25:23.866 --> 00:25:30.153]  Also, military deploys chemical, biological, nuclear, and high-yield explosive response vehicles to St.
[00:25:30.153 --> 00:25:33.717]  Louis, Missouri.
[00:25:33.717 --> 00:25:35.119]  Very interesting.
[00:25:35.119 --> 00:25:39.023]  Terrorism-related deaths up 60% last year, worldwide study says.
[00:25:39.023 --> 00:25:42.466]  Yeah, because the West has turned loose jihadi globalist armies.
[00:25:43.956 --> 00:25:46.658]  So we'll be breaking those reports down.
[00:25:46.658 --> 00:25:53.183]  Also, we'll get into three of the ten largest economies in the world have already fallen into recession.
[00:25:53.183 --> 00:25:53.924]  Is the U.S.
[00:25:53.924 --> 00:25:54.244]  next?
[00:25:54.244 --> 00:25:59.008]  We never left the recession in most sectors of the economy, in my view, since 2008.
[00:25:59.008 --> 00:26:06.273]  We'll also look at a Zero Hedge article about one reader's shocked response upon learning his health insurance costs had doubled.
[00:26:06.273 --> 00:26:08.735]  There's another great report on Infowars.com.
[00:26:08.735 --> 00:26:12.538]  This is why Rand Paul is Hillary Clinton's worst nightmare.
[00:26:12.538 --> 00:26:13.319]  And more.
[00:26:14.329 --> 00:26:16.713]  That is all coming up today.
[00:26:16.713 --> 00:26:19.096]  The toll-free number is 800-259-9231.
[00:26:19.096 --> 00:26:29.252]  We're going to talk to Mr. Hagman coming up in the second hour with all of his intel sources.
[00:26:31.727 --> 00:26:38.794]  Breaking down what he thinks Obama may try to pull to get his executive order agenda through.
[00:26:38.794 --> 00:26:40.696]  Don't think they're not going to go for broke.
[00:26:40.696 --> 00:26:42.818]  They know America's waking up.
[00:26:42.818 --> 00:26:43.939]  They're going to pull something.
[00:26:43.939 --> 00:26:45.060]  Everybody can see it.
[00:26:45.060 --> 00:26:46.141]  Everybody can feel it.
[00:26:46.141 --> 00:26:48.783]  We know the M.O., the history of these people.
[00:26:48.783 --> 00:26:50.104]  So do you have your eyes peeled?
[00:26:50.104 --> 00:26:52.086]  What's your gut tell you is coming next?
[00:26:52.086 --> 00:26:53.748]  That's what we're talking about right now.
[00:26:53.748 --> 00:26:54.749]  The next big event.
[00:26:56.240 --> 00:26:59.602]  Or what do you think the big events of 2015 will be?
[00:26:59.602 --> 00:27:03.584]  Or in the last month coming up of 2014?
[00:27:03.584 --> 00:27:05.725]  Let's talk to Slim in Canada.
[00:27:05.725 --> 00:27:07.846]  Slim, what's your view?
[00:27:07.846 --> 00:27:11.407]  My view is I think they're going to come out of left field with this one.
[00:27:11.407 --> 00:27:15.169]  You know, they came at us with 9-11 and they gave us, we didn't expect that.
[00:27:15.169 --> 00:27:17.730]  So I think they're going to give us something unexpected.
[00:27:17.730 --> 00:27:22.292]  It's nothing to do with ISIS, nothing to do with Ebola, nothing to do with all the stuff that they're trying to scare us.
[00:27:22.292 --> 00:27:23.113]  What they're doing is they're
[00:27:23.773 --> 00:27:24.293]  We're good to go.
[00:27:44.922 --> 00:27:47.203]  These days you see a lot more planes in the sky.
[00:27:47.203 --> 00:27:48.484]  Well that's what Obama said.
[00:27:48.484 --> 00:27:53.066]  He said this is a trial run for something airborne much worse and it is.
[00:27:53.066 --> 00:27:55.528]  This whole Ebola thing is a trial run.
[00:27:55.528 --> 00:28:02.351]  Can they order the media to lie and cover stuff up and will they go along with the order to stand down?
[00:28:02.351 --> 00:28:05.333]  And clearly, yes, the media is now ready
[00:28:06.451 --> 00:28:21.185]  To jeopardize themselves and the entire future of this nation and the world by being subservient, supine, horribly demonic lap dogs nesting on the chest of this corrupt system.
[00:28:22.196 --> 00:28:24.558]  Well, they don't call it paid programming for nothing.
[00:28:24.558 --> 00:28:26.479]  We're the ones who are trying to be programmed.
[00:28:26.479 --> 00:28:28.280]  That's the key.
[00:28:28.280 --> 00:28:29.921]  I mean, they're trying to program us.
[00:28:29.921 --> 00:28:32.783]  We're not watching program, we're being programmed.
[00:28:32.783 --> 00:28:41.129]  So, I mean, the media is going to try and spin it to the sheep as much as they can and try and put their spin on it and put us, like I said, put us at a left field.
[00:28:41.129 --> 00:28:43.270]  Just like they did with all the other false flags.
[00:28:43.270 --> 00:28:48.534]  I mean, we just found out that here in Canada that the one that we had here was completely a false flag.
[00:28:49.194 --> 00:28:56.360]  I mean, the guy turns out wasn't even... I mean, there's some cases that are showing that the guy wasn't even a Canadian citizen, let alone a guy in the military.
[00:28:56.360 --> 00:28:58.381]  Well, I'll tell you how it's false flag.
[00:28:58.381 --> 00:29:05.046]  Major Hassan that shot and killed 13 people, wounded huge numbers of others.
[00:29:05.046 --> 00:29:09.910]  For two years, the CIA was watching him talking to the supposed head of Al-Qaeda, al-Awlaki.
[00:29:10.802 --> 00:29:17.368]  And they declared national security on those emails, never told the army, knew he was going to do it and let him do it.
[00:29:17.368 --> 00:29:25.556]  Just like they've helped fund Al Qaeda to attack Assad, they turn around, run into Iraq, grab the oil fields, and then go, oh my goodness, what are we going to do?
[00:29:25.556 --> 00:29:27.918]  They're false flagging us in front of us.
[00:29:27.918 --> 00:29:31.521]  False flags don't mean the government carries the attack out every time.
[00:29:31.521 --> 00:29:35.104]  Sometimes they just fund the nutbags and then open the door for them to do it.
[00:29:35.945 --> 00:29:36.746]  Great point.
[00:29:36.746 --> 00:29:46.697]  So you're looking for biological terrorism or staged al-Qaeda terrorism in 2015 so we learn to worship our captors and have mass Stockholm Syndrome.
[00:29:46.697 --> 00:29:48.459]  More calls coming up.
[00:29:48.459 --> 00:29:49.861]  We're on the march.
[00:29:49.861 --> 00:29:52.384]  The Empire's on the run.
[00:29:52.384 --> 00:29:55.087]  Alex Jones and the GCN Radio Network.
[00:29:59.202 --> 00:30:01.163]  Aging starts at the cellular level.
[00:30:01.163 --> 00:30:05.684]  When cells become toxic, they die early, and aging sets in.
[00:30:05.684 --> 00:30:10.145]  In the past decade, we have witnessed unparalleled scientific discoveries.
[00:30:10.145 --> 00:30:17.467]  During that period, key patented compounds have focused on mitochondrial growth, nerve growth, and rejuvenation.
[00:30:17.467 --> 00:30:26.530]  But no one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:30:26.750 --> 00:30:32.294]  We now have the synergistic solution, DNA Force, just one of the key compounds.
[00:30:32.294 --> 00:30:39.899]  BioPQQ is backed by major clinical studies and over 175 PubMed-listed published studies.
[00:30:39.899 --> 00:30:42.461]  You want the best that's out there at the lowest price anywhere?
[00:30:42.461 --> 00:30:47.605]  The ultimate value, cutting-edge, trailblazing game-changer that also supports the Info War.
[00:30:47.945 --> 00:30:52.768]  Secure your DNA Force today at InfoWarsLife.com or call toll free 888-253-3139.
[00:30:52.768 --> 00:30:53.909]  DNA Force from InfoWarsLife.
[00:30:59.145 --> 00:31:08.811]  Using unparalleled research in the development of a synergistic formulation based around the key concepts of super oxygenation, the next level in cleansing is here.
[00:31:08.811 --> 00:31:18.738]  With key ingredients backed by real clinical studies, the new Oxy Powder, available through InfoWars Life, was invented during Dr. Group's research on the toxification of our bodies.
[00:31:18.738 --> 00:31:21.660]  Many herbal colon cleansers are harsh on the body.
[00:31:21.800 --> 00:31:22.060]  I think so.
[00:31:36.834 --> 00:31:37.074]  We're good.
[00:31:59.269 --> 00:32:00.529]  Another major health threat.
[00:32:00.529 --> 00:32:05.511]  This one in Toledo, Ohio, where everybody in the entire city has been told not to drink the waters.
[00:32:05.511 --> 00:32:08.192]  Ohio's governor declaring a state of emergency.
[00:32:08.192 --> 00:32:15.234]  Did you know that the average person uses about 80 to 100 gallons of water at home every single day?
[00:32:15.234 --> 00:32:18.215]  If there's a water emergency, will you be prepared?
[00:32:18.215 --> 00:32:21.176]  Panicked residents forming long lines throughout the day.
[00:32:21.176 --> 00:32:23.177]  We're here at a supermarket in Toledo.
[00:32:23.177 --> 00:32:26.018]  You can see the shelves empty where water once was.
[00:32:26.118 --> 00:32:31.842]  To stay safe and healthy during a crisis, you must have access to safe, clean water.
[00:32:31.842 --> 00:32:35.345]  Water which will not be available at your local grocery store.
[00:32:35.345 --> 00:32:38.447]  There's a mad dash on right now to stock up on supplies.
[00:32:38.447 --> 00:32:42.710]  The ProPure Pro1 G2.0 water filtration system is a must-have.
[00:32:42.850 --> 00:32:45.011]  Hey, I'll show you politics in America.
[00:32:45.011 --> 00:32:46.572]  Here it is, right here.
[00:32:46.572 --> 00:32:48.813]  I think the puppet on the right shares my beliefs.
[00:32:48.813 --> 00:32:50.414]  I think the puppet on the left is more to my liking.
[00:33:13.348 --> 00:33:14.028]  Hey, wait a minute!
[00:33:14.028 --> 00:33:15.929]  There's one guy holding up both puppets!
[00:33:15.929 --> 00:33:16.909]  Shut up!
[00:33:16.909 --> 00:33:18.590]  Go back to bed, America.
[00:33:18.590 --> 00:33:22.131]  Your government is in control.
[00:33:22.131 --> 00:33:26.993]  Defending the Republic from enemies, foreign and domestic.
[00:33:26.993 --> 00:33:28.434]  It's Alex Jones.
[00:33:36.581 --> 00:33:43.384]  We're going to go right back to your phone calls and back into the news on this live Wednesday worldwide transmission.
[00:33:43.384 --> 00:33:44.845]  I am your host Alex Jones.
[00:33:44.845 --> 00:33:49.647]  Please remember how vitally important it is to spread the word about this broadcast.
[00:33:49.647 --> 00:33:59.751]  The fact that we're on close to 180 affiliates, a lot of them big stations, a lot of them great mom and pops across the country, is such a testament to the fact that America is waking up.
[00:34:00.768 --> 00:34:17.572]  And the fact that this broadcast 15 years ago was seen as out of this world, bizarre, crazy, wild, and now you see the points we bring up being echoed across the media sphere shows that we're not as naive as we once were.
[00:34:19.369 --> 00:34:23.751]  I'm only going off the facts, off the history, off the documentation.
[00:34:23.751 --> 00:34:28.673]  So when you're listening to us on AM or FM Affiliate, please tell your friends and family.
