[00:00:03.397 --> 00:00:05.258]  It's Sunday, April 25th.
[01:12:03.616 --> 01:12:06.679]  I mean, this was one police officer, one person in the community,
[01:12:07.319 --> 01:12:08.700]  They found him guilty.
[01:12:08.700 --> 01:12:11.222]  This was the swiftest justice I've ever seen in my life.
[01:12:11.222 --> 01:12:14.084]  The day after the film came out, he was arrested.
[01:12:14.084 --> 01:12:15.225]  He was tried.
[01:12:15.225 --> 01:12:18.367]  Ten hours of deliberation, he was convicted.
[01:12:18.367 --> 01:12:22.629]  I'm not really sure why people are acting like this is monumental.
[01:12:22.629 --> 01:12:26.092]  Also, he did not get a fair trial, in my personal opinion.
[01:12:26.092 --> 01:12:27.833]  There was a lot of obstruction that happened.
[01:12:27.833 --> 01:12:31.596]  They paid the family out $27 million before the jury could be selected.
[01:12:31.596 --> 01:12:33.497]  I mean, they're going to have a case and appeal.
[01:12:34.037 --> 01:12:41.800]  So I don't know why people are celebrating and I don't know why this is such a big focal point other than people are making money off of the pain of people in our country.
[01:12:41.800 --> 01:12:59.967]  So you're objecting firstly to some of the things that happened around the trial which now that there is a conviction I think we should probably park that but secondly you're upset that there's a amalgamation here of a wider sense of a landmark case and this one specific court case.
[01:13:01.994 --> 01:13:03.535]  Yeah, this is not a landmark case.
[01:13:03.535 --> 01:13:06.197]  I think people are, this is a political agenda.
[01:13:06.197 --> 01:13:08.158]  They're pushing lies in our country.
[01:13:08.158 --> 01:13:10.459]  Policing in America is not inherently racist.
[01:13:10.459 --> 01:13:12.260]  We don't live in a racist country.
[01:13:12.260 --> 01:13:19.325]  This was an interaction between a police officer that I thought did the wrong thing and a black man who was on drugs, high, resisting arrest.
[01:13:19.645 --> 01:13:24.510]  So you reject President Biden's comments about systemic racism and it being a stain on the whole nation?
[01:13:44.071 --> 01:13:47.553]  Yes, President Biden is an idiot in my personal opinion.
[01:13:47.553 --> 01:13:50.135]  And he's just talking because he's a politician.
[01:13:50.135 --> 01:13:51.376]  Systemic racism.
[01:13:51.376 --> 01:13:57.880]  I mean, if you look at Joe Biden himself, you know, he spoke at a Ku Klux Klan member's funeral and did the eulogy.
[01:13:58.653 --> 01:13:59.153]  Of course not.
[01:14:16.463 --> 01:14:18.945]  We don't have a problem with racism in our country.
[01:14:18.945 --> 01:14:21.988]  We have a problem with people not following the law.
[01:14:21.988 --> 01:14:25.951]  We also have a problem with politicians making up things so they can get re-elected.
[01:14:25.951 --> 01:14:27.672]  And that's exactly what has been happening.
[01:14:27.672 --> 01:14:29.594]  That's why you never see anything change.
[01:14:29.594 --> 01:14:30.955]  They're lying to us.
[01:14:30.955 --> 01:14:41.003]  So the rate of people being killed by police is, the rate is higher amongst black people than amongst the rest of the population.
[01:14:41.003 --> 01:14:44.987]  What do you, how do you account for that if that isn't a systemic racism problem?
[01:14:45.572 --> 01:14:47.593]  Yeah, first of all, that's not true.
[01:14:47.593 --> 01:14:50.094]  Twice as many white people get killed by police every year.
[01:14:50.094 --> 01:14:52.575]  Twice as many white people get killed unarmed by police every year.
[01:14:52.575 --> 01:14:53.715]  You just don't see it.
[01:14:53.715 --> 01:14:55.476]  There's a gentleman named Tony Tempah.
[01:14:55.476 --> 01:14:59.037]  I guarantee you anybody watching me have no idea who Tony Tempah is.
[01:14:59.037 --> 01:15:02.898]  Tony Tempah was murdered in the same fashion that George Floyd was killed.
[01:15:02.898 --> 01:15:06.500]  But because he was white, we don't hear about it and nobody cares about it.
[01:15:06.500 --> 01:15:09.641]  Nobody's talking about police reform when he was suffocated and killed.
[01:15:10.001 --> 01:15:12.483]  But they only talk about it because George Floyd is black.
[01:15:12.483 --> 01:15:18.168]  Black people commit over half of violent crimes in this country and only make up 13% of the population.
[01:15:18.168 --> 01:15:22.973]  They commit over half of the murders in this country, but only make up 13% of the population.
[01:15:22.973 --> 01:15:26.416]  And we can agree that 13% of the population aren't the criminals.
[01:15:26.416 --> 01:15:28.938]  There's only a small fraction of the black community that's doing this.
[01:15:29.318 --> 01:15:35.003]  So that explains why police are in the black communities more, and that explains why black people are incarcerated more.
[01:15:35.003 --> 01:15:38.706]  They are making up lies saying that it has anything to do with racism.
[01:15:38.706 --> 01:15:43.831]  Do you understand that there's black police officers, too, that patrol in many of these majority black cities?
[01:15:43.831 --> 01:15:45.132]  Are they racist?
[01:15:45.132 --> 01:15:46.513]  No, that's not the case.
[01:15:46.513 --> 01:15:54.801]  They're just making these things up, in my personal opinion, and they're riding a wave of dead black people in order to make money and get political leverage.
[01:15:57.910 --> 01:16:00.451]  The globalists are purposely collapsing our world.
[01:16:00.451 --> 01:16:04.173]  They are creating insecurity, crime, war, and famine.
[01:16:04.173 --> 01:16:11.335]  All of us should do everything we can to get prepared and get ready for ourselves and our families' sakes, but also our community.
[01:16:11.335 --> 01:16:18.258]  And citizenstronghold.com is the best place to go to get high-quality body armor at the lowest price you're going to find.
[01:16:18.258 --> 01:16:22.040]  Again, this is high-quality body armor at the lowest price you're going to find.
[01:16:22.040 --> 01:16:25.721]  We've worked with them for years, but they can never supply enough to our audience.
[01:16:25.721 --> 01:16:27.482]  They have massively expanded their factories.
[01:16:27.822 --> 01:16:31.843]  It's made right here in America, and they're ready to ship it to you right now.
[01:16:31.843 --> 01:16:33.684]  CitizenStronghold.com.
[01:16:33.684 --> 01:16:37.585]  When you go there, put in promo code ALEX and get 10% off on your purchases.
[01:16:37.585 --> 01:16:40.406]  They have it for children, they have it for women, they have it for men.
[01:16:40.406 --> 01:16:44.327]  They have backpacks that then unfold and are full top body armor.
[01:16:44.327 --> 01:16:47.788]  They've got it all right now ready to ship to you, 10% off.
[01:16:47.788 --> 01:16:51.690]  And the globalists are coming to try to stop the sale of it soon.
[01:16:51.690 --> 01:16:54.430]  That's why you need to get it now at CitizenStronghold.com.
[01:16:54.430 --> 01:16:55.691]  Promo code ALEX and get 10% off.
[01:16:58.081 --> 01:17:00.462]  You know, it's crazy to get to this point.
[01:17:00.462 --> 01:17:02.203]  It's very bittersweet.
[01:17:02.203 --> 01:17:05.184]  Everything we've talked about has happened just like we said it would.
[01:17:05.184 --> 01:17:06.445]  And now we have a lot of credibility.
[01:17:06.445 --> 01:17:07.365]  But I don't care about that.
[01:17:07.365 --> 01:17:09.406]  I care about beating the New World Order.
[01:17:09.406 --> 01:17:14.108]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[01:17:14.108 --> 01:17:17.469]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[01:17:17.469 --> 01:17:18.990]  I can't tell you what's going on.
[01:17:18.990 --> 01:17:20.190]  But let's just say this.
[01:17:20.190 --> 01:17:21.491]  We're going to see this through to the end.
[01:17:21.491 --> 01:17:23.952]  We're going to stay on air as long as we can.
[01:17:24.592 --> 01:17:28.234]  So please pray for us and please buy the products at Infolwerestore.com.
[01:17:28.234 --> 01:17:30.795]  They're great products, plus they fund the operation.
[01:17:30.795 --> 01:17:33.976]  So you know, unlike other products you can buy, they're still great.
[01:17:33.976 --> 01:17:34.836]  Do they fund freedom?
[01:17:34.836 --> 01:17:35.957]  No, a lot of them don't.
[01:17:35.957 --> 01:17:42.399]  These are great products that fund freedom and fund justice when the whole world's waking up and looking for truth.
[01:17:42.399 --> 01:17:44.120]  That's why the globalists are censoring.
[01:17:44.120 --> 01:17:46.961]  They can't bring in all this tyranny and leave people like us on the air.
[01:17:47.542 --> 01:17:50.667]  So while you're at it, don't just financially support us and spread the word.
[01:17:50.667 --> 01:17:57.801]  Download everything we've done you can find and save it, because who knows how long we're going to be on the air and the enemy is trying to destroy everything we ever said.
[01:17:59.217 --> 01:18:12.870]  The ultimate fluoride-free charcoal mouthwash is now available at InfoWarsStore.com and DrJonesNaturals.com for the lowest price possible to complete your daily mouth cleaning routine.
[01:18:12.870 --> 01:18:23.640]  It is the perfect companion to the new activated charcoal toothpaste all under our new line by Dr. Jones Naturals that will naturally give your mouth and breath a deep clean.
[01:18:24.614 --> 01:18:34.072]  This mouthwash only uses the best natural ingredients like real peppermint oil, thyme oil, xylitol, and of course, high quality charcoal.
[01:18:34.938 --> 01:18:46.124]  Not only fluoride-free, this mouthwash is completely free of other dangerous ingredients such as SLS, harsh detergents, BPA, and so much more.
[01:18:46.124 --> 01:18:50.186]  As soon as you use it, you can tell that this formula is the real deal.
[01:18:50.186 --> 01:18:56.790]  So get your bottle of the new Activated Charcoal Mouthwash right now at InfowarsStore.com.
[01:18:59.528 --> 01:19:06.112]  The federal government commissioned secret radiation experiments on thousands of non-consenting patients.
[01:19:06.112 --> 01:19:08.454]  Hundreds of hospitals in the U.S.
[01:19:08.454 --> 01:19:18.400]  injected healthy men, women, and children with uranium and plutonium at dosage levels ranging from non-therapeutic to lethal, killing many of the test subjects.
[01:19:19.469 --> 01:19:23.190]  Endgame, blueprint for global enslavement, is one of the most important films ever made.
[01:19:23.190 --> 01:19:30.573]  14 years ago, we tracked and documented the Bilderberg Group's activities and their plan for a great reset using the threat of a fake virus.
[01:19:30.573 --> 01:19:32.233]  The film now is more important than ever.
[01:19:32.233 --> 01:19:34.814]  When it shot to number one on Amazon last year, they banned it.
[01:19:35.014 --> 01:19:40.678]  We have it back in print, available now at InfoWarsTore.com, selling them as low as $3.95 a piece.
[01:19:40.678 --> 01:19:45.501]  You can buy them in bulk, and there's a zero country code, so anywhere on the planet, you can make copies.
[01:19:45.501 --> 01:19:46.982]  In fact, I want you to make copies.
[01:19:46.982 --> 01:19:52.205]  You are the Paul Revere's 1776 Worldwide, 1776 Worldwide, in game.
[01:19:52.205 --> 01:20:01.611]  Blueprint for Global Enslavement, available now at InfoWarsTore.com.
[01:20:01.611 --> 01:20:04.273]  You're listening to the Alex Jones Show.
[01:20:13.027 --> 01:20:15.649]  Waging war on corruption.
[01:20:15.649 --> 01:20:21.233]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:20:21.233 --> 01:20:24.616]  And now, your host, Owen Troyer.
[01:20:24.616 --> 01:20:29.420]  How do you like those astronomically high gas prices?
[01:20:29.420 --> 01:20:32.062]  You can thank Joe Biden for that.
[01:20:32.062 --> 01:20:37.467]  And soon, the cost of a cheeseburger will be astronomically high as well.
[01:20:38.260 --> 01:20:40.642]  Welcome back into the Alex Jones Show, Owen Schroeder here.
[01:20:40.642 --> 01:20:41.822]  I'm going to do a news blitz.
[01:20:41.822 --> 01:20:45.965]  If I can get through all the news in this segment, I'll open up the phone lines.
[01:20:45.965 --> 01:21:04.698]  But yes, ladies and gentlemen, Joe Biden, of course, at the behest of China, at the behest of the new world order, it doesn't want you to be free and prosperous and eat red meat.
[01:21:06.249 --> 01:21:24.344]  According to a study done at the University of Michigan, Joe Biden's climate plan would force Americans to reduce their red meat consumption by 90%, meaning that they can only consume four pounds of red meat per year or one burger a month.
[01:21:24.344 --> 01:21:26.126]  That wouldn't really be the equivalent for me.
[01:21:26.126 --> 01:21:28.688]  I like big cheeseburgers.
[01:21:30.555 --> 01:21:37.198]  Of course, the irony is, remember, Joe Biden had the President of Japan over for a cheeseburger dinner.
[01:21:37.198 --> 01:21:39.739]  Remember that one?
[01:21:39.739 --> 01:21:51.285]  And just two years ago, or three years ago now, excuse me, on Politico, remember the old story they made fun of us saying, we're not coming for your cheeseburgers?
[01:21:51.285 --> 01:21:55.047]  The headline, why right-ringers are going crazy about meat!
[01:21:55.925 --> 01:22:00.727]  Conservatives are panicked that liberals are going to take away their stakes after grabbing guns.
[01:22:00.727 --> 01:22:04.329]  The fear is pushing people to absurd lengths to prove how free they are.
[01:22:04.329 --> 01:22:10.472]  Except now here you are coming for our guns and our red meat.
[01:22:10.472 --> 01:22:15.914]  So your gas prices go up, your cheeseburger prices go up, your lumber prices go up, your energy prices go up.
[01:22:15.914 --> 01:22:21.917]  All thanks to Biden capitulating to the New World Order where the United States is not allowed to be free and prosperous.
[01:22:21.917 --> 01:22:23.378]  We're not allowed to have a free market.
[01:22:25.357 --> 01:22:27.299]  And that's really all it is.
[01:22:27.299 --> 01:22:29.261]  They want a global government.
[01:22:29.261 --> 01:22:31.863]  You cannot have a free market.
[01:22:31.863 --> 01:22:35.366]  You cannot have a prosperous, dominant United States of America.
[01:22:35.366 --> 01:22:36.667]  You cannot have that.
[01:22:36.667 --> 01:22:41.091]  That then leads the world, and then you don't get a global government.
[01:22:41.091 --> 01:22:48.598]  Because the very principles of the United States of America government political system is small government.
[01:22:48.598 --> 01:22:51.120]  We've lost our way, but small government.
[01:22:51.841 --> 01:22:53.102]  Self-government.
[01:22:53.102 --> 01:22:57.105]  That revolutionary idea that the Democrats hate so much.
[01:22:57.105 --> 01:23:01.028]  Self-government.
[01:23:01.028 --> 01:23:02.529]  Self-government.
[01:23:02.529 --> 01:23:07.652]  And so here's what it's going to look like.
[01:23:07.652 --> 01:23:11.055]  In Los Angeles they have just built a homeless encampment.
[01:23:11.055 --> 01:23:13.857]  Now you've seen the tent cities popping up.
[01:23:13.857 --> 01:23:18.020]  You've even seen now government subsidized tent cities in places like Portland.
[01:23:18.792 --> 01:23:20.873]  Now, it's gone next level.
[01:23:20.873 --> 01:23:28.478]  A large homeless encampment along the 101 freeway in North Hollywood is now a colorful village of tiny homes for the homeless.
[01:23:28.478 --> 01:23:33.881]  So, they get these tiny homes constructed for them.
[01:23:33.881 --> 01:23:39.224]  They get government subsidized hotel rooms paid for by them.
[01:23:39.224 --> 01:23:43.026]  By the way, we also have to pay for the illegal immigrants as well.
[01:23:43.026 --> 01:23:45.608]  This is a socialist country now, you see?
[01:23:45.608 --> 01:23:47.189]  This is a socialist country now.
[01:23:47.859 --> 01:23:52.240]  And so that's what it looks like under Agenda 21.
[01:23:52.240 --> 01:23:55.021]  So this story was from January 9th, 2015.
[01:23:55.021 --> 01:24:01.143]  The headline, Agenda 21 is real, far creepier than Area 51, and it's coming soon to a suburb near you.
[01:24:01.143 --> 01:24:02.764]  This is it.
[01:24:02.764 --> 01:24:04.304]  This is it.
[01:24:04.304 --> 01:24:11.126]  Government lockdowns, open borders, homeless encampments.
[01:24:11.126 --> 01:24:13.767]  All over, because you'll be homeless too.
[01:24:13.767 --> 01:24:14.887]  You'll own nothing.
[01:24:14.887 --> 01:24:15.947]  The New World Order tells you.
[01:24:15.947 --> 01:24:17.588]  You'll be a slave, but you'll like it.
[01:24:20.916 --> 01:24:22.057]  Replacement migration.
[01:24:22.057 --> 01:24:27.239]  Biden administration to increase number of illegals released into the United States by 800 percent.
[01:24:27.239 --> 01:24:30.681]  Of course, that's just the numbers that we know of.
[01:24:30.681 --> 01:24:35.504]  That doesn't even count the ones that don't get caught and processed.
[01:24:35.504 --> 01:24:44.628]  And then they'll end up in, many of them, in the cities like that one in L.A., the homeless facilities.
[01:24:44.628 --> 01:24:48.210]  The Democrat Party's gone full racist, by the way, in case you haven't noticed.
[01:24:48.210 --> 01:24:49.211]  They've gone full racist now.
[01:24:50.034 --> 01:24:52.496]  They aren't even hiding their racism.
[01:24:52.496 --> 01:24:54.017]  And they like Jim Crow laws.
[01:24:54.017 --> 01:24:58.201]  Of course, it was the Democrats that wrote the Jim Crow laws, so they're bringing Jim Crow laws back.
[01:24:58.201 --> 01:24:59.442]  That's the Democrat Party.
[01:24:59.442 --> 01:25:04.446]  This is seen at the Madison Metropolitan School District.
[01:25:04.446 --> 01:25:06.928]  This is in Wisconsin.
[01:25:06.928 --> 01:25:09.330]  They had a Zoom meeting for parents.
[01:25:12.726 --> 01:25:15.048]  And, at the bottom here, they have links.
[01:25:15.048 --> 01:25:16.809]  You click the link, you go to the Zoom meeting.
[01:25:16.809 --> 01:25:17.989]  They have two different links!
[01:25:17.989 --> 01:25:19.410]  You think, two different links?
[01:25:19.410 --> 01:25:20.751]  Well, one link should be fine.
[01:25:20.751 --> 01:25:22.652]  No, see, two different links!
[01:25:22.652 --> 01:25:28.736]  Zoom link for parents of color, and Zoom link for white parents.
[01:25:28.736 --> 01:25:32.058]  I used to read books about this stuff.
[01:25:32.058 --> 01:25:40.324]  Uh, for whites only, or, or, um, at the time, they had the, uh, colored people, water fountains.
[01:25:40.324 --> 01:25:40.804]  Remember that?
[01:25:41.525 --> 01:25:43.547]  The Democrats did that with Jim Crow laws.
[01:25:43.547 --> 01:25:44.527]  They wrote those.
[01:25:44.527 --> 01:25:49.071]  The Democrats founded by the leftovers of the KKK.
[01:25:49.071 --> 01:25:57.637]  Now they're bringing it back, folks, and they have separate Zoom meetings for parents of color and for white parents.
[01:25:57.637 --> 01:26:08.185]  Now, see, if they would be honest about this, they'd just say, no, we want to be racist against white people because there was racism against black people in America, so now we're just going to be racist against white people.
[01:26:08.185 --> 01:26:10.687]  Of course, that's the complete opposite of what Martin Luther King's dream was.
[01:26:11.536 --> 01:26:15.319]  But that's what they really are doing.
[01:26:15.319 --> 01:26:17.001]  That's what they're really doing.
[01:26:17.001 --> 01:26:19.342]  And they're not the only people.
[01:26:19.342 --> 01:26:31.492]  There's a month-old headline that just covers the story of universities hosting different graduation ceremonies for gay people and different skin colors and income levels and all this.
[01:26:31.492 --> 01:26:33.534]  So this is the left, okay?
[01:26:33.534 --> 01:26:35.596]  This is the segregationist movement.
[01:26:36.295 --> 01:26:39.617]  Once again brought on by the left, the Democrats.
[01:26:39.617 --> 01:26:44.021]  Here's the leading newspaper of the left, New York Times.
[01:26:44.021 --> 01:26:50.265]  Whiteness is a suicide cult, blackness is a superpower.
[01:26:50.265 --> 01:26:55.749]  That is a literal headline from the New York Times.
[01:26:55.749 --> 01:26:57.090]  So, there you go.
[01:26:57.090 --> 01:26:59.612]  Again, who are the real racists?
[01:26:59.612 --> 01:27:01.753]  They don't even see their own irony.
[01:27:01.753 --> 01:27:04.055]  Black-owned businesses in George Floyd Square
[01:27:04.964 --> 01:27:08.066]  Say they are in desperate need of help from the police.
[01:27:08.066 --> 01:27:12.809]  The businesses are struggling to stay open due to rampant crime.
[01:27:12.809 --> 01:27:18.272]  So you have white liberals that are racist that are out there with Black Lives Matter.
[01:27:18.272 --> 01:27:27.938]  Then you have black criminals that are just criminals who are robbing and looting businesses in the name and the cover of Black Lives Matter.
[01:27:27.938 --> 01:27:30.619]  And it's black business owners that are suffering the most from it.
[01:27:30.619 --> 01:27:33.361]  In Atlanta where they moved the All-Star game because of racism.
[01:27:34.429 --> 01:27:39.970]  And now in George Floyd Square, where white people, you know, aren't allowed to talk.
[01:27:39.970 --> 01:27:41.190]  Did you know that?
[01:27:41.190 --> 01:27:44.431]  Yeah, these are the liberal Democrats that are so racist.
[01:27:44.431 --> 01:27:45.551]  They have a sign up for white people.
[01:27:45.551 --> 01:27:47.212]  You're not allowed to talk.
[01:27:47.212 --> 01:27:49.732]  And of course, this is all supported by big tech.
[01:27:49.732 --> 01:27:58.294]  Twitter, Facebook, and Netflix moguls have donated seven and a half million dollars to the BLM co-founder who is pushing their net neutrality policy.
[01:27:58.294 --> 01:27:59.554]  So that's how that works.
[01:28:00.669 --> 01:28:07.214]  You know, the Black Lives Matter leaders, not the family of George Floyd or Michael Brown or the others, they're asking where their money is.
[01:28:07.214 --> 01:28:08.375]  The families of Breonna Taylor.
[01:28:08.375 --> 01:28:10.396]  They're saying, how come BLM scammed us?
[01:28:10.396 --> 01:28:11.437]  They didn't pay us anything.
[01:28:11.437 --> 01:28:13.199]  Because it's all about free handouts.
[01:28:13.199 --> 01:28:17.882]  That's how a free citizen is getting free handouts from the government that controls you.
[01:28:17.882 --> 01:28:29.251]  And so, they, the BLM founders, quote unquote, they have big luxurious mansions now, and they get paid off to promote
[01:28:30.723 --> 01:28:34.507]  Big tech agendas.
[01:28:34.507 --> 01:28:35.348]  That's how it works.
[01:28:35.348 --> 01:28:38.711]  So they have to pay influencers to promote their big tech agendas.
[01:28:38.711 --> 01:28:45.718]  They have to pay influencers to promote their medical tyranny agendas with the forced vaccines.
[01:28:45.718 --> 01:28:47.179]  That's what these people are into.
[01:28:47.179 --> 01:28:53.906]  I think we'll take some phone calls here as we close out the Alex Jones Show in the next two segments.
[01:28:53.906 --> 01:28:55.087]  I'll open it up on the other side.
[01:29:00.716 --> 01:29:05.998]  Snowden and others taught us how mobile phones are constantly spying on us.
[01:29:05.998 --> 01:29:12.840]  Not just tracking and recording our GPS location, but recording audio and video as well.
[01:29:12.840 --> 01:29:14.481]  With or without a battery.
[01:29:15.280 --> 01:29:21.363]  Now, with the InfoWars Privacy Pouch, you can go dark wherever you choose.
[01:29:21.363 --> 01:29:22.243]  Excellent.
[01:29:22.243 --> 01:29:27.826]  Now I have my own compact Faraday cage I can take wherever I want.
[01:29:27.826 --> 01:29:32.428]  And you can, too, at InfoWarsStore.com.
[01:29:32.428 --> 01:29:42.473]  Government agencies, identity thieves, tech giants, and now contact tracers are all tracking your every move through your mobile phone.
[01:29:43.173 --> 01:29:48.117]  Now you can have the power to easily cut them off and go dark.
[01:29:48.117 --> 01:29:54.001]  Support the InfoWar and get your InfoWars privacy pouch today.
[01:29:54.001 --> 01:30:01.627]  InfoWarStore.com The equation is very simple.
[01:30:01.627 --> 01:30:11.194]  The mega banks control the media, they control big pharma, they control academia, they control the military, industrial complex, they control big tech.
[01:30:12.339 --> 01:30:21.442]  And everywhere that they have been in control in the third world, they have established absolute total despotism and dehumanization.
[01:30:21.442 --> 01:30:29.905]  It is the Western Christian idea of human freedom that ended slavery and that promoted women's rights and so much more that actually threatens them.
[01:30:29.905 --> 01:30:36.148]  So because they can't defeat that empowering ethic, they instead co-opt it, turn it upside down, and use
[01:30:37.548 --> 01:30:45.636]  The idea of equality to actually destroy human freedom and the free market that threatens their monopolies of control.
[01:30:45.636 --> 01:30:50.140]  That's why they target InfoWars, because we understand the keys to defeating them.
[01:30:50.140 --> 01:30:55.505]  But the only way our transmission gets out is if you promote InfoWars and ban that video.
[01:30:55.505 --> 01:30:56.606]  So redouble your efforts.
[01:30:56.606 --> 01:30:57.527]  We're all in this together.
[01:31:00.063 --> 01:31:05.028]  One of the most popular memes on the internet in the last decade has been, Alex Jones was right.
[01:31:05.028 --> 01:31:13.938]  But it now routinely trends number one on platforms like Twitter and Facebook, making the globalists pull their hair out in anger.
[01:31:13.938 --> 01:31:16.200]  But let me tell you, we are tomorrow's news today.
[01:31:16.400 --> 01:31:22.184]  And thanks to your support, we're still on air at InfoWars.com and banned on video at radio stations and TV stations across the country.
[01:31:22.184 --> 01:31:28.688]  And our film Endgame, censored and taken offline by Amazon when it hit number one a few years ago, is now available again.
[01:31:28.688 --> 01:31:31.530]  We have reprinted it on high-quality DVD in HD.
[01:31:31.530 --> 01:31:32.890]  It has a zero country code.
[01:31:32.890 --> 01:31:41.596]  Anyone in the world is authorized to make copies of it, and I'm asking you to get the original, make copies, give it to everyone you know, air it on local access TV, give it to your pastors, your police chiefs,
[01:31:41.596 --> 01:31:43.758]  Last week I had a caller to my radio slash TV transmission.
[01:32:02.779 --> 01:32:10.605]  And he said to me, he said, Alex, there's all these facts and all these numbers and vaccines being recalled and people dying from it and people getting sick.
[01:32:10.605 --> 01:32:15.969]  How do I reach out to my friends and family and explain to them and to warn them about the danger?
[01:32:15.969 --> 01:32:19.612]  And I said to him something very profound because it's so true.
[01:32:19.612 --> 01:32:21.333]  Trust your gut, trust your spirit.
[01:32:21.333 --> 01:32:22.234]  That's what the Bible tells us.
[01:32:22.876 --> 01:32:28.980]  And I said, ask those friends, those family, those neighbors, do you feel good about this vaccine?
[01:32:28.980 --> 01:32:31.062]  And his answer was, no, they don't feel good about it.
[01:32:31.062 --> 01:32:32.943]  So, go with your gut.
[01:32:32.943 --> 01:32:34.604]  Well, let me ask you again.
[01:32:34.604 --> 01:32:36.566]  How does your gut feel about getting storable food?
[01:32:37.463 --> 01:32:39.625]  How does your gut feel about getting out in the countryside?
[01:32:39.625 --> 01:32:42.927]  How does your gut feel about getting guns and ammo to protect yourself?
[01:32:42.927 --> 01:32:44.568]  Well, I know what your gut's telling you.
[01:32:44.568 --> 01:32:49.011]  We have the best durable food with the highest quality at the lowest prices you're going to find.
[01:32:49.011 --> 01:32:53.955]  10% off at InfoWarStore.com right now or PrepareWithAlex.com.
[01:32:53.955 --> 01:32:56.377]  Go with your gut and fund the Info War.
[01:32:56.377 --> 01:33:01.100]  InfoWarStore.com.
[01:33:01.100 --> 01:33:03.702]  You're listening to the Alex Jones Show.
[01:33:19.584 --> 01:33:21.265]  You want to stop tyranny?
[01:33:21.265 --> 01:33:22.965]  Well, so does he.
[01:33:22.965 --> 01:33:24.946]  It's Alex Jones.
[01:33:24.946 --> 01:33:28.627]  And now, your host, Owen Troyer.
[01:33:28.627 --> 01:33:33.589]  Alright, I'm gonna give out the phone number now.
[01:33:33.589 --> 01:33:35.890]  I've got a couple segments left to take your phone calls.
[01:33:35.890 --> 01:33:35.930]  877-789-2539.
[01:33:42.425 --> 01:33:43.466]  877-789-2539.
[01:33:43.466 --> 01:33:50.668]  I've got two segments left here of the Alex Jones Show on this Sunday, then Harrison Smith will be hosting Sunday Night Live.
[01:33:50.668 --> 01:33:53.409]  He doesn't have any guests, so he may be taking calls as well.
[01:33:53.409 --> 01:33:56.571]  I know he's got a lot of news he's going to cover.
[01:33:56.571 --> 01:34:01.493]  But we'll start getting your phone calls lined up here as I finish some of this other news.
[01:34:01.493 --> 01:34:10.656]  Gina Carano, she is the former MMA fighter and she was the actress in the popular show Mandalorian.
[01:34:11.875 --> 01:34:18.318]  It then got removed from her duties because she's not a liberal.
[01:34:18.318 --> 01:34:20.619]  Statement of the day from Gina Carano.
[01:34:20.619 --> 01:34:22.961]  You want to start improving your health?
[01:34:22.961 --> 01:34:26.983]  Stop being so full of she, I, it.
[01:34:26.983 --> 01:34:32.125]  I think that pretty much sums it up.
[01:34:32.125 --> 01:34:36.127]  You want to start improving your health?
[01:34:36.127 --> 01:34:39.109]  Stop being so full of she, I, it.
[01:34:39.109 --> 01:34:41.470]  And of course feels like that was directed
[01:34:42.259 --> 01:34:45.762]  To the liberal progressive left in this country.
[01:34:45.762 --> 01:34:48.744]  A couple other headlines here.
[01:34:48.744 --> 01:34:54.909]  Trump demands National Guard in Arizona as legal action continues against Maricopa audit.
[01:34:54.909 --> 01:34:59.213]  Yes, the Democrats doing everything they can to try to stop that audit.
[01:34:59.213 --> 01:35:01.554]  What are they so afraid of?
[01:35:01.554 --> 01:35:06.859]  And of course the viral photos that have people going bananas.
[01:35:06.859 --> 01:35:09.581]  A lot of people wondering if it might
[01:35:10.279 --> 01:35:16.841]  Have something to do with a certain guest of InfoWars named Steve Pchenik.
[01:35:16.841 --> 01:35:23.903]  And they are doing blacklight scanning of all the ballots.
[01:35:23.903 --> 01:35:27.784]  So is that one way to see what ballots are real and which ones are fake?
[01:35:27.784 --> 01:35:29.504]  Perhaps time will tell.
[01:35:29.504 --> 01:35:33.565]  Never-before-seen photos show Bill Clinton greeting sex offender Jeffrey Epstein in the White House.
[01:35:33.565 --> 01:35:38.807]  And actually it's not just Clinton greeting Epstein, also greeting Maxwell.
[01:35:39.631 --> 01:35:40.911]  That case is ongoing.
[01:35:40.911 --> 01:35:42.212]  New charges have been filed.
[01:35:42.212 --> 01:35:44.533]  Trafficking of minors.
[01:35:44.533 --> 01:35:47.314]  Again, that's Epstein and Maxwell.
[01:35:47.314 --> 01:35:49.794]  No big media coverage on that, though.
[01:35:49.794 --> 01:36:06.860]  You know, everything's about George Floyd or a police officer, but, you know, the industrial-level sex trafficking, the industrial-level sex abuse that involved presidents of the United States, no big deal because, well, Bill Clinton was a Democrat.
[01:36:06.860 --> 01:36:09.181]  So as long as you're a Democrat, you can get away with anything.
[01:36:11.785 --> 01:36:14.306]  Here's another example.
[01:36:14.306 --> 01:36:20.169]  Michigan Democratic Representative gets pulled over for drunk driving.
[01:36:20.169 --> 01:36:22.830]  He drove his car into a ditch.
[01:36:22.830 --> 01:36:23.830]  It was that bad.
