[00:00.000 --> 00:22.120]  information wars tomorrow's news today and at the moment in most parts of the
[03:20:35.780 --> 03:20:37.780]  what our guests have actually exposed
[03:20:37.780 --> 03:20:39.780]  and let me tell you Australia
[03:20:39.780 --> 03:20:41.780]  being such a compliant country for so long
[03:20:41.780 --> 03:20:43.780]  and having that she'll be right attitude
[03:20:43.780 --> 03:20:45.780]  really for the most part
[03:20:45.780 --> 03:20:47.780]  was not aware of just how deep this agenda goes
[03:20:47.780 --> 03:20:49.780]  but I think COVID has exposed that
[03:20:49.780 --> 03:20:51.780]  to other great people
[03:20:51.780 --> 03:20:53.780]  doing the work of independent media
[03:20:53.780 --> 03:20:55.780]  in this country have exposed that
[03:20:55.780 --> 03:20:57.780]  and of course we've played a huge role in that
[03:20:57.780 --> 03:20:59.780]  so we're talking about the entire agenda
[03:20:59.780 --> 03:21:01.780]  say in the end game and I'm going to get there
[03:21:01.780 --> 03:21:03.780]  so stay with me here
[03:21:03.780 --> 03:21:05.780]  but going from the vaccines
[03:21:05.780 --> 03:21:07.780]  the injections we're now seeing
[03:21:07.780 --> 03:21:09.780]  the introduction of
[03:21:09.780 --> 03:21:11.780]  the digital ID
[03:21:11.780 --> 03:21:13.780]  and a vaccine pass
[03:21:13.780 --> 03:21:15.780]  this was the beginning of this conditioning
[03:21:15.780 --> 03:21:17.780]  was the QR codes
[03:21:17.780 --> 03:21:19.780]  papers
[03:21:19.780 --> 03:21:21.780]  where we've seen that in history before
[03:21:21.780 --> 03:21:23.780]  and you know every time I'm reminded
[03:21:23.780 --> 03:21:25.780]  of some of the atrocities
[03:21:25.780 --> 03:21:27.780]  that
[03:21:27.780 --> 03:21:29.780]  regular people
[03:21:29.780 --> 03:21:31.780]  complied with and
[03:21:31.780 --> 03:21:33.780]  participated in
[03:21:33.780 --> 03:21:35.780]  as part of this
[03:21:35.780 --> 03:21:37.780]  I never really get sick of hearing it
[03:21:37.780 --> 03:21:39.780]  because I think we all need to be reminded sometimes
[03:21:39.780 --> 03:21:41.780]  I think we need to remember
[03:21:41.780 --> 03:21:43.780]  I mean I'm not talking about living in a
[03:21:43.780 --> 03:21:45.780]  permanent state of PTSD
[03:21:45.780 --> 03:21:47.780]  from what the government did to us
[03:21:47.780 --> 03:21:49.780]  I don't believe people are sitting here
[03:21:49.780 --> 03:21:51.780]  permanently traumatized by it
[03:21:51.780 --> 03:21:53.780]  because the people that know what's going on
[03:21:53.780 --> 03:21:55.780]  are resilient people and I thank them for that
[03:21:55.780 --> 03:21:57.780]  but it's important to remember
[03:21:57.780 --> 03:21:59.780]  because
[03:21:59.780 --> 03:22:01.780]  it ties into what they're going to do in the future
[03:22:01.780 --> 03:22:03.780]  everything that we went through
[03:22:03.780 --> 03:22:05.780]  was conditioning so the QR codes
[03:22:05.780 --> 03:22:07.780]  show us your papers do this
[03:22:07.780 --> 03:22:09.780]  be
[03:22:09.780 --> 03:22:11.780]  accustomed to surveillance
[03:22:11.780 --> 03:22:13.780]  until that surveillance no longer
[03:22:13.780 --> 03:22:15.780]  requires you to actively
[03:22:15.780 --> 03:22:17.780]  participate in it
[03:22:17.780 --> 03:22:19.780]  now we're just going to make it easy
[03:22:19.780 --> 03:22:21.780]  we're going to improve our surveillance
[03:22:21.780 --> 03:22:23.780]  systems so that you're constantly
[03:22:23.780 --> 03:22:25.780]  being surveilled
[03:22:25.780 --> 03:22:27.780]  and you don't even have to actively
[03:22:27.780 --> 03:22:29.780]  participate in it it's just happening
[03:22:29.780 --> 03:22:31.780]  like we see in China this is one of
[03:22:31.780 --> 03:22:33.780]  the reasons why and I just had Dr Li Mengyan
[03:22:33.780 --> 03:22:35.780]  on this week that interview is not up on
[03:22:35.780 --> 03:22:37.780]  Bandog video yet but it is on
[03:22:37.780 --> 03:22:39.780]  zbdeo.com I'll get it up there as soon as possible
[03:22:39.780 --> 03:22:41.780]  where she said
[03:22:41.780 --> 03:22:43.780]  everything that you're telling me
[03:22:43.780 --> 03:22:45.780]  about Australia Maria
[03:22:45.780 --> 03:22:47.780]  these are things that were already set up
[03:22:47.780 --> 03:22:49.780]  in China and that have allowed
[03:22:49.780 --> 03:22:51.780]  for the citizens to be
[03:22:51.780 --> 03:22:53.780]  controlled in this manner to be
[03:22:53.780 --> 03:22:55.780]  locked in their buildings to get used
[03:22:55.780 --> 03:22:57.780]  to having a red code on their phone
[03:22:57.780 --> 03:22:59.780]  that forces them into a quarantine camp
[03:22:59.780 --> 03:23:01.780]  your country is currently setting this up
[03:23:01.780 --> 03:23:03.780]  now and I said I know
[03:23:03.780 --> 03:23:05.780]  and every single country around the world
[03:23:05.780 --> 03:23:07.780]  is doing that we've set up that infrastructure
[03:23:07.780 --> 03:23:09.780]  and it's ultimately leading
[03:23:09.780 --> 03:23:11.780]  to what they're going
[03:23:11.780 --> 03:23:13.780]  to use as an excuse for
[03:23:13.780 --> 03:23:15.780]  under the guise of climate change
[03:23:15.780 --> 03:23:17.780]  needing you to stay inside your home
[03:23:17.780 --> 03:23:19.780]  giving you these
[03:23:19.780 --> 03:23:21.780]  fences and these borders
[03:23:21.780 --> 03:23:23.780]  what's essentially geofencing
[03:23:23.780 --> 03:23:25.780]  turning your life into a digital prison
[03:23:25.780 --> 03:23:27.780]  where you aren't allowed
[03:23:27.780 --> 03:23:29.780]  to
[03:23:29.780 --> 03:23:31.780]  think anything other than
[03:23:31.780 --> 03:23:33.780]  what the government narrative is
[03:23:33.780 --> 03:23:35.780]  because then you're committing thought crimes
[03:23:35.780 --> 03:23:37.780]  and they're manufacturing
[03:23:37.780 --> 03:23:39.780]  this economic crisis
[03:23:39.780 --> 03:23:41.780]  they're manufacturing these food shortages
[03:23:41.780 --> 03:23:43.780]  and they are coming
[03:23:43.780 --> 03:23:45.780]  they've told us to our faces
[03:23:45.780 --> 03:23:47.780]  Antonio Gatera says
[03:23:47.780 --> 03:23:49.780]  2023 food shortages
[03:23:49.780 --> 03:23:51.780]  aren't going to be on the rise
[03:23:51.780 --> 03:23:53.780]  when these maniacs tell us what they're going to do
[03:23:53.780 --> 03:23:55.780]  we should believe them
[03:23:55.780 --> 03:23:57.780]  and we should prepare for it because we know
[03:23:57.780 --> 03:23:59.780]  how evil they are and how capable they are
[03:23:59.780 --> 03:24:01.780]  of committing the worst atrocities
[03:24:01.780 --> 03:24:03.780]  on humanity look at what they've done to us
[03:24:03.780 --> 03:24:05.780]  for two years three years
[03:24:05.780 --> 03:24:07.780]  forget two three years
[03:24:07.780 --> 03:24:09.780]  look at what they've done throughout history
[03:24:09.780 --> 03:24:11.780]  what can you even believe
[03:24:11.780 --> 03:24:13.780]  in history anymore
[03:24:13.780 --> 03:24:15.780]  because they've rewritten the books how many times over
[03:24:19.780 --> 03:24:21.780]  and so the things that they are
[03:24:21.780 --> 03:24:23.780]  setting up now for example the food shortages
[03:24:25.780 --> 03:24:27.780]  imagine next time
[03:24:27.780 --> 03:24:29.780]  having to line up in a government bread line
[03:24:29.780 --> 03:24:31.780]  and the only way to access
[03:24:31.780 --> 03:24:33.780]  that bread is with your injection
[03:24:33.780 --> 03:24:35.780]  you think that that's beyond them it's not
[03:24:35.780 --> 03:24:37.780]  imagine
[03:24:37.780 --> 03:24:39.780]  going to the supermarket
[03:24:39.780 --> 03:24:41.780]  and not being able to
[03:24:41.780 --> 03:24:43.780]  I mean just yesterday we had this announcement
[03:24:43.780 --> 03:24:45.780]  of a major chain here one of the
[03:24:45.780 --> 03:24:47.780]  essential services that stayed open
[03:24:47.780 --> 03:24:49.780]  during COVID during the lockdowns
[03:24:49.780 --> 03:24:51.780]  but they're no longer going
[03:24:51.780 --> 03:24:53.780]  to be printing receipts in fact
[03:24:53.780 --> 03:24:55.780]  these receipts will be linked to your banking app
[03:24:57.780 --> 03:24:59.780]  this is Kmart in Australia that's doing it
[03:24:59.780 --> 03:25:01.780]  so what does that do
[03:25:01.780 --> 03:25:03.780]  that means
[03:25:03.780 --> 03:25:05.780]  that your carbon credits
[03:25:05.780 --> 03:25:07.780]  your carbon emissions will be
[03:25:07.780 --> 03:25:09.780]  monitored through your purchases and linked to your bank
[03:25:11.780 --> 03:25:13.780]  and of course
[03:25:13.780 --> 03:25:15.780]  we've seen major banks announcing that they're going to start
[03:25:15.780 --> 03:25:17.780]  reporting on your carbon emissions
[03:25:19.780 --> 03:25:21.780]  and regularly letting you know what they are
[03:25:21.780 --> 03:25:23.780]  and they've started conditioning the masses
[03:25:23.780 --> 03:25:25.780]  for that inside their phones
[03:25:25.780 --> 03:25:27.780]  so that when they go and make purchases their banking app
[03:25:27.780 --> 03:25:29.780]  gives them a little bit of a notification
[03:25:29.780 --> 03:25:31.780]  that they've exceeded their carbon credits or whatever
[03:25:33.780 --> 03:25:35.780]  again part of the conditioning for the future
[03:25:35.780 --> 03:25:37.780]  where you don't get to go
[03:25:37.780 --> 03:25:39.780]  and see your mum
[03:25:39.780 --> 03:25:41.780]  if you've exceeded your carbon credits
[03:25:43.780 --> 03:25:45.780]  you don't get to go down the street
[03:25:45.780 --> 03:25:47.780]  if you've exceeded your carbon credits
[03:25:47.780 --> 03:25:49.780]  you need to sit home right now
[03:25:49.780 --> 03:25:51.780]  you need to stay home
[03:25:51.780 --> 03:25:53.780]  because you're emitting too much CO2 the gas of life
[03:25:53.780 --> 03:25:55.780]  you can't eat meat
[03:25:55.780 --> 03:25:57.780]  you've eaten too much
[03:25:57.780 --> 03:25:59.780]  you can eat crickets though
[03:25:59.780 --> 03:26:01.780]  they're allowed
[03:26:01.780 --> 03:26:03.780]  they're sustainable
[03:26:03.780 --> 03:26:05.780]  they're good for the environment
[03:26:05.780 --> 03:26:07.780]  and somehow you're going to emit less CO2
[03:26:07.780 --> 03:26:09.780]  when you eat crickets than when you eat meat
[03:26:11.780 --> 03:26:13.780]  and how many people will fall for this
[03:26:13.780 --> 03:26:15.780]  and even if they don't fall for it
[03:26:15.780 --> 03:26:17.780]  by the time that infrastructure is in place
[03:26:17.780 --> 03:26:19.780]  and it pretty much already is guys
[03:26:19.780 --> 03:26:21.780]  it's too late
[03:26:21.780 --> 03:26:23.780]  and people are sleep walking
[03:26:23.780 --> 03:26:25.780]  into this system
[03:26:25.780 --> 03:26:27.780]  that is a complete digital
[03:26:27.780 --> 03:26:29.780]  imprisonment
[03:26:29.780 --> 03:26:31.780]  and it's being done
[03:26:31.780 --> 03:26:33.780]  through the corporations as well
[03:26:33.780 --> 03:26:35.780]  when you think about and just again
[03:26:35.780 --> 03:26:37.780]  back to my interview with
[03:26:37.780 --> 03:26:39.780]  this senator
[03:26:39.780 --> 03:26:41.780]  Senator Alex Antic he's actually been on this program before
[03:26:41.780 --> 03:26:43.780]  that's being released tonight on Zero Time
[03:26:43.780 --> 03:26:45.780]  again it won't be on band.video straight away
[03:26:45.780 --> 03:26:47.780]  but head to Zmedia.com
[03:26:47.780 --> 03:26:49.780]  and watch it
[03:26:49.780 --> 03:26:51.780]  and talk about the fact that
[03:26:51.780 --> 03:26:53.780]  they've done this through the corporations
[03:26:53.780 --> 03:26:55.780]  so you go to work
[03:26:55.780 --> 03:26:57.780]  and your companies
[03:26:57.780 --> 03:26:59.780]  adopted all of these policies and ESGs
[03:26:59.780 --> 03:27:01.780]  and you know
[03:27:01.780 --> 03:27:03.780]  talking about sustainable development
[03:27:03.780 --> 03:27:05.780]  all the time reducing their carbon footprint
[03:27:05.780 --> 03:27:07.780]  and so people take this attitude home with them
[03:27:07.780 --> 03:27:09.780]  and what they're doing through the destruction
[03:27:09.780 --> 03:27:11.780]  of small to medium enterprise
[03:27:11.780 --> 03:27:13.780]  is that they're forcing people to go and join
[03:27:13.780 --> 03:27:15.780]  these large corporations because they need money to eat
[03:27:15.780 --> 03:27:17.780]  and then they go and they have to be part
[03:27:17.780 --> 03:27:19.780]  of this system they are
[03:27:19.780 --> 03:27:21.780]  squashing you
[03:27:21.780 --> 03:27:23.780]  with every move that they make
[03:27:23.780 --> 03:27:25.780]  they are restricting you, they're strangling you
[03:27:25.780 --> 03:27:27.780]  from every single angle
[03:27:27.780 --> 03:27:29.780]  and people don't even realize in fact
[03:27:29.780 --> 03:27:31.780]  for the most part the masses are happy to participate
[03:27:31.780 --> 03:27:33.780]  because
[03:27:33.780 --> 03:27:35.780]  they believe the climate religion
[03:27:35.780 --> 03:27:37.780]  they believe
[03:27:37.780 --> 03:27:39.780]  in universalism
[03:27:39.780 --> 03:27:41.780]  and I recently spoke about
[03:27:41.780 --> 03:27:43.780]  the fact that they've just launched their new 10 commandments
[03:27:43.780 --> 03:27:45.780]  commandments from Mount Sinai
[03:27:45.780 --> 03:27:47.780]  the 10 climate commandments
[03:27:49.780 --> 03:27:51.780]  and you know what they released an eco-bible
[03:27:51.780 --> 03:27:53.780]  an eco-bible
[03:27:53.780 --> 03:27:55.780]  not an eco-Quran
[03:27:55.780 --> 03:27:57.780]  not an eco-any other book
[03:27:57.780 --> 03:27:59.780]  an eco-bible
[03:27:59.780 --> 03:28:01.780]  which they say they're now selling these programs
[03:28:01.780 --> 03:28:03.780]  at varying prices
[03:28:03.780 --> 03:28:05.780]  20,000 I think is the maximum
[03:28:05.780 --> 03:28:07.780]  for some posters that you can put up
[03:28:07.780 --> 03:28:09.780]  in your churches
[03:28:09.780 --> 03:28:11.780]  but they're actually talking about how
[03:28:11.780 --> 03:28:13.780]  churches
[03:28:13.780 --> 03:28:15.780]  need to start
[03:28:15.780 --> 03:28:17.780]  preaching this eco-bible
[03:28:17.780 --> 03:28:19.780]  to their congregations
[03:28:19.780 --> 03:28:21.780]  and get Christians involved
[03:28:21.780 --> 03:28:23.780]  in climate change specifically churches
[03:28:23.780 --> 03:28:25.780]  why
[03:28:25.780 --> 03:28:27.780]  why are they doing that and there is
[03:28:27.780 --> 03:28:29.780]  very alarming language in there that suggests
[03:28:29.780 --> 03:28:31.780]  that churches will no longer be
[03:28:31.780 --> 03:28:33.780]  able to preach
[03:28:33.780 --> 03:28:35.780]  other than that
[03:28:35.780 --> 03:28:37.780]  so they shut you down you didn't stand up
[03:28:37.780 --> 03:28:39.780]  for your rights they shut down your religious institutions
[03:28:39.780 --> 03:28:41.780]  you didn't stand up for your faith
[03:28:41.780 --> 03:28:43.780]  and now they're going to tell you that you have to preach
[03:28:43.780 --> 03:28:45.780]  universalism and climate change
[03:28:45.780 --> 03:28:47.780]  and if you don't do it
[03:28:47.780 --> 03:28:49.780]  you'll be shut down again
[03:28:49.780 --> 03:28:51.780]  because you're endangering the planet
[03:28:51.780 --> 03:28:53.780]  we'll be right back with more of this
[03:28:53.780 --> 03:29:13.780]  short break
[03:29:23.780 --> 03:29:25.780]  help us clear out our stock
[03:29:25.780 --> 03:29:27.780]  of bodies tumor
[03:29:27.780 --> 03:29:29.780]  vitamin C with zinc and alpha power
[03:29:29.780 --> 03:29:31.780]  turn those shady federal
[03:29:31.780 --> 03:29:33.780]  reserve notes into the highest
[03:29:33.780 --> 03:29:35.780]  quality supplements available
[03:29:35.780 --> 03:29:37.780]  while they still last
[03:29:37.780 --> 03:29:39.780]  now with free shipping
[03:29:39.780 --> 03:29:41.780]  we thank you
[03:29:41.780 --> 03:29:43.780]  for your support
[03:29:43.780 --> 03:29:45.780]  and we wish you a very peaceful
[03:29:45.780 --> 03:29:47.780]  happy and merry Christmas
[03:29:47.780 --> 03:29:55.780]  music
[03:29:55.780 --> 03:29:57.780]  December 2022
[03:29:57.780 --> 03:29:59.780]  is here and we are proud
[03:29:59.780 --> 03:30:01.780]  and very excited to announce
[03:30:01.780 --> 03:30:03.780]  that free shipping is back
[03:30:03.780 --> 03:30:05.780]  at infowarstore.com
[03:30:05.780 --> 03:30:07.780]  that's right free shipping on all orders
[03:30:07.780 --> 03:30:09.780]  of $50 or more
[03:30:09.780 --> 03:30:11.780]  but we've signed a new deal with a big
[03:30:11.780 --> 03:30:13.780]  national shipping company
[03:30:13.780 --> 03:30:15.780]  and they're able to cut our regular shipping
[03:30:15.780 --> 03:30:17.780]  costs by up to 50%
[03:30:17.780 --> 03:30:19.780]  so that means even on orders
[03:30:19.780 --> 03:30:21.780]  that are below $50 you're going to be paying
[03:30:21.780 --> 03:30:23.780]  way lower than you were previously
[03:30:23.780 --> 03:30:25.780]  this is a game changer
[03:30:25.780 --> 03:30:27.780]  we're so excited about it
[03:30:27.780 --> 03:30:29.780]  our listeners have really asked for free shipping again
[03:30:29.780 --> 03:30:31.780]  we couldn't afford it before
[03:30:31.780 --> 03:30:33.780]  but by moving to a bigger national distributor
[03:30:33.780 --> 03:30:35.780]  we're able to do it so now
[03:30:35.780 --> 03:30:37.780]  your orders will be shipped even faster
[03:30:37.780 --> 03:30:39.780]  the same great customer service and more
[03:30:39.780 --> 03:30:41.780]  so get huge discounts
[03:30:41.780 --> 03:30:43.780]  and free shipping on so many great items
[03:30:43.780 --> 03:30:45.780]  at infowarstore.com
[03:30:45.780 --> 03:30:47.780]  right now I want to thank you all for your support
[03:30:47.780 --> 03:30:49.780]  but now there's no excuse to boost your immune system
[03:30:49.780 --> 03:30:51.780]  lead a healthier life
[03:30:51.780 --> 03:30:53.780]  and keep info wars on the air
[03:30:53.780 --> 03:30:55.780]  infowarstore.com
[03:30:55.780 --> 03:30:57.780]  once a tragedy reaches
[03:30:57.780 --> 03:30:59.780]  a level of national significance
[03:30:59.780 --> 03:31:01.780]  American citizens
[03:31:01.780 --> 03:31:03.780]  should be allowed to basically
[03:31:03.780 --> 03:31:05.780]  question that event
[03:31:05.780 --> 03:31:07.780]  in any way that they deemed fit
[03:31:07.780 --> 03:31:09.780]  the first amendment is unique in the world
[03:31:09.780 --> 03:31:11.780]  that's what they want to take away
[03:31:11.780 --> 03:31:13.780]  and speak freely
[03:31:13.780 --> 03:31:15.780]  so they're going to go from Mike Lindell next
[03:31:15.780 --> 03:31:17.780]  or are they going to go for Steve Bannon
[03:31:17.780 --> 03:31:19.780]  or are they going to go for Tucker Carlson
[03:31:19.780 --> 03:31:21.780]  I studied the globalist 30 years ago
[03:31:21.780 --> 03:31:23.780]  but on air 28 years
[03:31:23.780 --> 03:31:25.780]  and I knew they were planning all of this
[03:31:25.780 --> 03:31:27.780]  and I warned the public as a modern Paul Revere
[03:31:27.780 --> 03:31:29.780]  but I couldn't have done it without your support
[03:31:29.780 --> 03:31:31.780]  and now because we've been so successful
[03:31:31.780 --> 03:31:33.780]  warning the population of the planet
[03:31:33.780 --> 03:31:35.780]  not just America, we're public enemy number one
[03:31:35.780 --> 03:31:37.780]  when it comes to the globalist agenda
[03:31:37.780 --> 03:31:39.780]  that's why it's more important than ever
[03:31:39.780 --> 03:31:41.780]  to salute you and I thank you
[03:31:41.780 --> 03:31:43.780]  and I ask you now to critical juncture of the battle
[03:31:43.780 --> 03:31:45.780]  free double your efforts of visiting infowarstore.com
[03:31:45.780 --> 03:31:47.780]  and getting amazing products that keep us on air
[03:31:47.780 --> 03:31:49.780]  1776 the promo code
[03:31:49.780 --> 03:31:51.780]  the destination is
[03:31:51.780 --> 03:31:53.780]  infowarstore.com
[03:31:53.780 --> 03:31:55.780]  and I thank you all for your support
[03:31:55.780 --> 03:31:57.780]  December 2022 is here
[03:31:57.780 --> 03:31:59.780]  and we are proud
[03:31:59.780 --> 03:32:01.780]  and very excited to announce
[03:32:01.780 --> 03:32:03.780]  that free shipping is back
[03:32:03.780 --> 03:32:05.780]  at infowarstore.com
[03:32:05.780 --> 03:32:07.780]  that's right free shipping on all orders
[03:32:07.780 --> 03:32:09.780]  50 dollars or more
[03:32:09.780 --> 03:32:11.780]  but we've signed a new deal
[03:32:11.780 --> 03:32:13.780]  with a big national shipping company
[03:32:13.780 --> 03:32:15.780]  and they're able to cut our regular shipping cost
[03:32:15.780 --> 03:32:17.780]  by up to 50 percent
[03:32:17.780 --> 03:32:19.780]  so that means even on orders
[03:32:19.780 --> 03:32:21.780]  that are below 50 dollars
[03:32:21.780 --> 03:32:23.780]  you're going to be paying way lower than you were previously
[03:32:23.780 --> 03:32:25.780]  this is a game changer
[03:32:25.780 --> 03:32:27.780]  we're so excited about it
[03:32:27.780 --> 03:32:29.780]  our listeners have really asked for free shipping again
[03:32:29.780 --> 03:32:31.780]  we couldn't afford it before
[03:32:31.780 --> 03:32:33.780]  but by moving to a bigger national distributor
[03:32:33.780 --> 03:32:35.780]  we're able to do it so now
[03:32:35.780 --> 03:32:37.780]  we can do it even faster
[03:32:37.780 --> 03:32:39.780]  the same great customer service and more
[03:32:39.780 --> 03:32:41.780]  so get huge discounts
[03:32:41.780 --> 03:32:43.780]  and free shipping on so many great items
[03:32:43.780 --> 03:32:45.780]  at infowarstore.com
[03:32:45.780 --> 03:32:47.780]  right now
[03:32:47.780 --> 03:32:49.780]  I want to thank you all for your support
[03:32:49.780 --> 03:32:51.780]  but now there's no excuse to boost your immune system
[03:32:51.780 --> 03:32:53.780]  lead a healthier life
[03:32:53.780 --> 03:32:55.780]  and keep in force on the air
[03:32:55.780 --> 03:33:05.780]  Welcome back
[03:33:05.780 --> 03:33:07.780]  we're talking about the end game
[03:33:07.780 --> 03:33:09.780]  of the agenda
[03:33:09.780 --> 03:33:11.780]  starting with the COVID
[03:33:11.780 --> 03:33:13.780]  nonsense
[03:33:13.780 --> 03:33:15.780]  leading to lockdowns
[03:33:15.780 --> 03:33:17.780]  leading to vaccines
[03:33:17.780 --> 03:33:19.780]  leading to the ID
[03:33:19.780 --> 03:33:21.780]  digital ID
[03:33:21.780 --> 03:33:23.780]  which started off as the QR codes
[03:33:23.780 --> 03:33:25.780]  leading to the climate change
[03:33:25.780 --> 03:33:27.780]  agenda
[03:33:27.780 --> 03:33:29.780]  and now we're circling back to the lockdowns
[03:33:29.780 --> 03:33:31.780]  because that's where we're going
[03:33:31.780 --> 03:33:33.780]  I really love the team to queue up the video
[03:33:33.780 --> 03:33:35.780]  Smart Cities
[03:33:35.780 --> 03:33:37.780]  this has just come out of
[03:33:37.780 --> 03:33:39.780]  the State of Victoria
[03:33:39.780 --> 03:33:41.780]  talking about these 20 minute neighbourhoods
[03:33:41.780 --> 03:33:43.780]  and I really want to play this for everyone
[03:33:43.780 --> 03:33:45.780]  I've played footage on here before
[03:33:45.780 --> 03:33:47.780]  about Smart Cities
[03:33:47.780 --> 03:33:49.780]  but this one really takes the cake
[03:33:49.780 --> 03:33:51.780]  I hope the team have it ready now
[03:33:51.780 --> 03:33:53.780]  to improve livability
[03:33:53.780 --> 03:33:55.780]  the Victorian Government
[03:33:55.780 --> 03:33:57.780]  is working to create a city
[03:33:57.780 --> 03:33:59.780]  of 20 minute neighbourhoods
[03:33:59.780 --> 03:34:01.780]  it's all about creating
[03:34:01.780 --> 03:34:03.780]  walkable neighbourhoods
[03:34:03.780 --> 03:34:05.780]  where people can live locally
[03:34:05.780 --> 03:34:07.780]  places where communities can
[03:34:07.780 --> 03:34:09.780]  access most of their daily needs
[03:34:09.780 --> 03:34:11.780]  within a 20 minute return walk from home
[03:34:13.780 --> 03:34:15.780]  these places should have
[03:34:15.780 --> 03:34:17.780]  diverse housing options and access to
[03:34:17.780 --> 03:34:19.780]  recycling routes and local public transport
[03:34:21.780 --> 03:34:23.780]  local health facilities, parks, shops
[03:34:23.780 --> 03:34:25.780]  and other local infrastructure
[03:34:25.780 --> 03:34:27.780]  we are already working with local
[03:34:27.780 --> 03:34:29.780]  government, communities and industry
[03:34:29.780 --> 03:34:31.780]  to deliver projects
[03:34:31.780 --> 03:34:33.780]  and are committed to building a livable city
[03:34:33.780 --> 03:34:35.780]  of 20 minute neighbourhoods
[03:34:35.780 --> 03:34:37.780]  to find out more visit the
[03:34:37.780 --> 03:34:39.780]  Plan Melbourne website
[03:34:43.780 --> 03:34:45.780]  as you can see that agenda
[03:34:45.780 --> 03:34:47.780]  from 2017 to 2050
[03:34:47.780 --> 03:34:49.780]  but dare I say they will be accelerating
[03:34:49.780 --> 03:34:51.780]  that much sooner than 2050
[03:34:51.780 --> 03:34:53.780]  they want you in this digital prison
[03:34:53.780 --> 03:34:55.780]  what you're seeing on your screen right now
[03:34:55.780 --> 03:34:57.780]  is a climate lockdown trial
[03:34:57.780 --> 03:34:59.780]  that's supposed to begin in 2024
[03:34:59.780 --> 03:35:01.780]  let me explain that
[03:35:01.780 --> 03:35:03.780]  Canterbury City Council
[03:35:03.780 --> 03:35:05.780]  is another one that's doing this
[03:35:05.780 --> 03:35:07.780]  but this article pertains to Oxford Shire
[03:35:07.780 --> 03:35:09.780]  Council
[03:35:09.780 --> 03:35:11.780]  which has proposed
[03:35:11.780 --> 03:35:13.780]  to trial six new
[03:35:13.780 --> 03:35:15.780]  traffic filters
[03:35:15.780 --> 03:35:17.780]  in the city of Oxford
[03:35:17.780 --> 03:35:19.780]  or the council of Oxford I should say
[03:35:19.780 --> 03:35:21.780]  and what these traffic filters are
[03:35:21.780 --> 03:35:23.780]  the trial has actually
[03:35:23.780 --> 03:35:25.780]  started on the 5th of September
[03:35:25.780 --> 03:35:27.780]  and they are supposed to
[03:35:27.780 --> 03:35:29.780]  well under the guise of reducing traffic
[03:35:29.780 --> 03:35:31.780]  as you can see some of the
[03:35:31.780 --> 03:35:33.780]  sales pitch words that have been
[03:35:33.780 --> 03:35:35.780]  used in that Victorian video
[03:35:35.780 --> 03:35:37.780]  improve livability
[03:35:37.780 --> 03:35:39.780]  because we need that now right
[03:35:39.780 --> 03:35:41.780]  the cities we live in are not livable right now
[03:35:41.780 --> 03:35:43.780]  the
[03:35:43.780 --> 03:35:45.780]  rural areas that they're
[03:35:45.780 --> 03:35:47.780]  flooding are not livable right now
[03:35:47.780 --> 03:35:49.780]  and spraying
[03:35:49.780 --> 03:35:51.780]  our skies daily so that we just
[03:35:51.780 --> 03:35:53.780]  destroy all these rural
[03:35:53.780 --> 03:35:55.780]  areas destroy the farming
[03:35:55.780 --> 03:35:57.780]  to push us into these livable cities
[03:35:57.780 --> 03:35:59.780]  these aren't livable right now well they're not livable
[03:35:59.780 --> 03:36:01.780]  when you keep spraying us
[03:36:01.780 --> 03:36:03.780]  like ants
[03:36:03.780 --> 03:36:05.780]  and I'm frustrated
[03:36:05.780 --> 03:36:07.780]  because for those who don't know
[03:36:07.780 --> 03:36:09.780]  Australia is meant to be
[03:36:09.780 --> 03:36:11.780]  forging hot in the summer
[03:36:11.780 --> 03:36:13.780]  we are having 14 degree
[03:36:13.780 --> 03:36:15.780]  Celsius days
[03:36:15.780 --> 03:36:17.780]  this is not normal
[03:36:17.780 --> 03:36:19.780]  we've got global warming right
[03:36:19.780 --> 03:36:21.780]  global warming guys 14
[03:36:21.780 --> 03:36:23.780]  degrees summer days because of La Nina
[03:36:23.780 --> 03:36:25.780]  and I've had
[03:36:25.780 --> 03:36:27.780]  geoengineering experts on to prove that
[03:36:27.780 --> 03:36:29.780]  that is actually man made
[03:36:29.780 --> 03:36:31.780]  completely manufactured weather but
[03:36:31.780 --> 03:36:33.780]  back to these live
[03:36:33.780 --> 03:36:35.780]  locally sales pitch of these smart cities
[03:36:35.780 --> 03:36:37.780]  what does live locally
[03:36:37.780 --> 03:36:39.780]  mean
[03:36:39.780 --> 03:36:41.780]  and people will listen to that
[03:36:41.780 --> 03:36:43.780]  who trust the government propaganda and think oh yes
[03:36:43.780 --> 03:36:45.780]  it would be good to live locally
[03:36:45.780 --> 03:36:47.780]  you already live locally
[03:36:47.780 --> 03:36:49.780]  your neighbourhood
[03:36:49.780 --> 03:36:51.780]  is local to you
[03:36:51.780 --> 03:36:53.780]  you likely have a local shopping centre
[03:36:53.780 --> 03:36:55.780]  you likely have a local
[03:36:55.780 --> 03:36:57.780]  grocer
[03:36:57.780 --> 03:36:59.780]  you already live locally
[03:36:59.780 --> 03:37:01.780]  what a stupid catchphrase
[03:37:01.780 --> 03:37:03.780]  but I guarantee you
