[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[03:22:47.760 --> 03:22:51.400]  If they crash the market again or they're too reckless again, it'll be bad.
[03:22:51.400 --> 03:22:56.960]  So we have great, great, great developments with Scarimucci.
[03:22:56.960 --> 03:23:02.720]  Finally, we have somebody in the White House who knows how to get a message out.
[03:23:02.720 --> 03:23:07.480]  Now, Scarimucci too, the media loves him because he knows how to handle the media.
[03:23:07.480 --> 03:23:11.560]  So Mucci is a rare guy that can play both games, right?
[03:23:11.560 --> 03:23:13.680]  So I'm really good at one game.
[03:23:13.680 --> 03:23:17.960]  I'm really good at the social media game, direct to consumers, direct to readers, direct
[03:23:17.960 --> 03:23:18.960]  to viewers.
[03:23:18.960 --> 03:23:24.000]  So right now, of course, I'm live on The Real Ox Jones Show, which is amazing.
[03:23:24.000 --> 03:23:28.520]  They're running YouTube Live, they're running Periscope, they're on Radio Tresherade all
[03:23:28.520 --> 03:23:29.520]  over the world.
[03:23:29.520 --> 03:23:32.720]  I'm right now on Facebook Live with one phone.
[03:23:32.720 --> 03:23:35.760]  My Periscope is live, I'm another iPad.
[03:23:35.760 --> 03:23:38.560]  I need to get another camera set up so I can do YouTube Live.
[03:23:38.560 --> 03:23:45.680]  So I'm really good at reaching massive amounts of people directly and bypassing the media.
[03:23:45.680 --> 03:23:50.640]  But I'm not good at playing the traditional media game and I'm getting better at it.
[03:23:50.640 --> 03:23:51.640]  Mucci's good at both.
[03:23:51.640 --> 03:23:58.400]  He knows how to reach the people and he knows how to work with the traditional media people.
[03:23:58.400 --> 03:24:02.200]  He's a rare talent, a once in a generation media talent.
[03:24:02.200 --> 03:24:08.440]  So Mucci, he's in there and now there's finally Periscope, right?
[03:24:08.440 --> 03:24:10.120]  That was a historic moment.
[03:24:10.120 --> 03:24:13.280]  They periscope President Trump in Air Force One.
[03:24:13.280 --> 03:24:14.280]  We need more of that.
[03:24:14.280 --> 03:24:15.280]  We need fireside chats.
[03:24:15.280 --> 03:24:21.440]  We need the multiple computers, phones, webcams, whatever you want to call it, streaming
[03:24:21.440 --> 03:24:22.440]  live.
[03:24:22.440 --> 03:24:23.440]  They're getting there.
[03:24:23.440 --> 03:24:24.440]  And they're trying.
[03:24:24.440 --> 03:24:26.960]  We have incredible momentum right now.
[03:24:26.960 --> 03:24:30.320]  Scaramucci even said that, momentum.
[03:24:30.320 --> 03:24:35.520]  Trump referenced momentum, how many people understand this and can connect these dots
[03:24:35.520 --> 03:24:37.760]  the way I can?
[03:24:37.760 --> 03:24:38.760]  They don't read books.
[03:24:38.760 --> 03:24:40.480]  They've never read the art of the deal.
[03:24:40.480 --> 03:24:44.560]  They've never read Trump's book Think Big and Kick, we'll call it but because I think
[03:24:44.560 --> 03:24:46.680]  we're on the radio, we'll keep it family friendly.
[03:24:46.680 --> 03:24:47.680]  They don't know anything.
[03:24:47.680 --> 03:24:52.520]  They don't actually study his work and there's incredible momentum right now and both Trump
[03:24:52.520 --> 03:24:54.880]  and Scaramucci are momentum players.
[03:24:54.880 --> 03:24:59.080]  I actually got a message from the highest levels today, I can't say from who obviously,
[03:24:59.080 --> 03:25:03.840]  but the highest level said, let your people know today because they knew I was going on
[03:25:03.840 --> 03:25:04.840]  Alex Jones.
[03:25:04.840 --> 03:25:08.200]  They saw that they, they monitor my Twitter religiously, McMaster does too.
[03:25:08.200 --> 03:25:11.600]  He reads it personally and he doesn't like it.
[03:25:11.600 --> 03:25:14.800]  People overheard him screaming today about Cernovich's tweets.
[03:25:14.800 --> 03:25:19.600]  They literally, you could, I mean if the media really told the truth, they don't tell the
[03:25:19.600 --> 03:25:23.720]  truth about Mike Cernovich though because they don't want me to look more influential
[03:25:23.720 --> 03:25:24.960]  as I actually am.
[03:25:24.960 --> 03:25:28.640]  They don't want to tell the truth about how much impact that we're having because they're
[03:25:28.640 --> 03:25:32.320]  trying to get me banned and everything to the right of you, hit jobs.
[03:25:32.320 --> 03:25:38.600]  McMaster was heard screaming at the West Wing about Cernovich's tweets, effin' tweet screaming.
[03:25:38.600 --> 03:25:45.480]  So McMaster is mad because I revealed that Much directly contradicted him.
[03:25:45.480 --> 03:25:51.960]  So Much went on Fox News today and said Obama holdovers are the leakers.
[03:25:51.960 --> 03:25:56.720]  But McMaster had said a week or two ago, there's no such thing as an Obama holdover.
[03:25:56.720 --> 03:26:01.160]  Now the fake news media, because they're not intelligent people and they don't actually,
[03:26:01.160 --> 03:26:03.120]  they have goldfish memories, right?
[03:26:03.120 --> 03:26:07.360]  All they care, well Trump tweeted something today, let's forget everything happened, but
[03:26:07.360 --> 03:26:10.280]  I'm always a strategic player.
[03:26:10.280 --> 03:26:14.000]  And as a strategic player, I'm always thinking, well what happened today and how does this
[03:26:14.000 --> 03:26:16.560]  move work with the other pieces on the board?
[03:26:16.560 --> 03:26:18.920]  So what Much did today was significant.
[03:26:18.920 --> 03:26:23.480]  What Much did was said, look, we know McMaster is a bad guy.
[03:26:23.480 --> 03:26:26.680]  We know he wants to bring in people who work for Ben Rhodes.
[03:26:26.680 --> 03:26:32.680]  We know who the leakers are and HR, he better get his act together or he'll be out.
[03:26:32.680 --> 03:26:35.600]  And we're on his heel.
[03:26:35.600 --> 03:26:36.600]  So he's triggered.
[03:26:36.600 --> 03:26:42.760]  I've heard multiple, you know, 10, 15, 20 people have told me that McMaster actually
[03:26:42.760 --> 03:26:49.200]  has a personal vendetta against me because I'm cyber, he said I'm a bully and you know
[03:26:49.200 --> 03:26:50.200]  who I'm bullying?
[03:26:50.200 --> 03:26:52.800]  You can't make this up.
[03:26:52.800 --> 03:26:53.800]  You can't make it up.
[03:26:53.800 --> 03:26:58.280]  I gotta just pause and take a deep breath because it sounds so absurd and yet it is not.
[03:26:58.280 --> 03:26:59.280]  It is true.
[03:26:59.280 --> 03:27:01.160]  So you know who I'm bullying?
[03:27:01.160 --> 03:27:02.960]  I'm bullying deep state.
[03:27:02.960 --> 03:27:04.240]  I kid you not.
[03:27:04.240 --> 03:27:11.680]  They said that it is unfair for me to target people in the CIA, people who are at the highest
[03:27:11.680 --> 03:27:16.440]  levels of government, people who are at the highest levels of intelligence.
[03:27:16.440 --> 03:27:20.320]  They said it's unfair for me to target them.
[03:27:20.320 --> 03:27:22.280]  They've been spying on us.
[03:27:22.280 --> 03:27:25.000]  They've been spying on us for decades.
[03:27:25.000 --> 03:27:29.360]  But when I publicly talk about what they're doing and how they're leaking in everything,
[03:27:29.360 --> 03:27:35.320]  then I'm just a big bully and the media goes along with it, they're going in foreign policy.
[03:27:35.320 --> 03:27:37.560]  Oh yeah, Sernovich is being mean to these people.
[03:27:37.560 --> 03:27:43.160]  I mean, it really, how do you bully a three-star general?
[03:27:43.160 --> 03:27:44.680]  That's what I would like to know.
[03:27:44.680 --> 03:27:51.000]  How do you bully a three-star general, a veteran of multiple, if McMaster isn't strong enough
[03:27:51.000 --> 03:27:55.520]  for me, if he's shook, maybe he should read Girl of Mindset or go to one of my seminars
[03:27:55.520 --> 03:28:01.160]  and learn how to check into the present moment and learn how to not be rattled and shook
[03:28:01.160 --> 03:28:02.160]  up all the time.
[03:28:02.160 --> 03:28:03.320]  Maybe he needs a mindset.
[03:28:03.320 --> 03:28:09.080]  Maybe I should do a Girl of Mindset training seminar at the, I actually should, now that
[03:28:09.080 --> 03:28:10.080]  I think about it.
[03:28:10.080 --> 03:28:14.040]  McMaster, I know you're watching, buddy, I know you watch everything we do.
[03:28:14.040 --> 03:28:15.040]  I know what you're doing.
[03:28:15.040 --> 03:28:16.280]  You think you spy on me?
[03:28:16.280 --> 03:28:18.360]  That's what you think.
[03:28:18.360 --> 03:28:24.920]  I'll come in and give you a Girl of Mindset seminar and I'll give you all the secrets.
[03:28:24.920 --> 03:28:28.360]  And then what will happen is you'll no longer be a puppet for the globalist.
[03:28:28.360 --> 03:28:31.560]  You'll no longer be a puppet for the warmongers.
[03:28:31.560 --> 03:28:35.160]  You'll actually want to make the world a better place because you'll believe in yourself and
[03:28:35.160 --> 03:28:38.640]  you'll find inner peace and happiness and love and joy in your own heart.
[03:28:38.640 --> 03:28:42.360]  And then you're going to want to spread that into the world instead of trying to spread
[03:28:42.360 --> 03:28:48.080]  more chaos and destruction and murder to the world.
[03:28:48.080 --> 03:28:55.840]  McMaster also too, nobody else had this before me, presented his plan for the Afghan troop
[03:28:55.840 --> 03:28:56.840]  surge.
[03:28:56.840 --> 03:29:00.360]  So that was, there was a principles meeting today or a schedule for today.
[03:29:00.360 --> 03:29:02.520]  These things get moved often.
[03:29:02.520 --> 03:29:07.840]  McMaster is still trying to get his troop surge going on.
[03:29:07.840 --> 03:29:09.680]  He really wants more troops in Afghanistan.
[03:29:09.680 --> 03:29:11.480]  He won't let it drop.
[03:29:11.480 --> 03:29:15.560]  Trump is very frustrated with him.
[03:29:15.560 --> 03:29:17.460]  So we got to keep the heat on McMaster.
[03:29:17.460 --> 03:29:20.920]  We got to keep the heat on, share the links about McMaster.
[03:29:20.920 --> 03:29:23.800]  Get the message out about McMaster.
[03:29:23.800 --> 03:29:27.240]  Ben Rhodes should not be in the NSC.
[03:29:27.240 --> 03:29:32.760]  Ben Rhodes, actually, let's talk about Ben Rhodes in this next segment.
[03:29:32.760 --> 03:29:36.800]  He testified before the Senate and that never got leaked.
[03:29:36.800 --> 03:29:38.280]  So we're going to go on break right now.
[03:29:38.280 --> 03:29:42.800]  The next segment, we're going to talk about Ben Rhodes, McMaster, and how Soros is controlling
[03:29:42.800 --> 03:29:45.000]  McMaster and is owning McMaster.
[03:29:45.000 --> 03:29:56.760]  We'll be back the next segment.
[03:29:56.760 --> 03:29:58.040]  We're on the march.
[03:29:58.040 --> 03:30:00.480]  The Empire's on the run.
[03:30:00.480 --> 03:30:08.680]  Alex Jones and the GCN Radio Network.
[03:30:08.680 --> 03:30:12.760]  After speaking with his military staff, President Trump has banned transgenders from the military,
[03:30:12.760 --> 03:30:15.880]  providing disruptions in the service, such as structural accommodations, and increased
[03:30:15.880 --> 03:30:17.520]  costs as the primary reasons.
[03:30:17.520 --> 03:30:21.400]  His decision stems from a longstanding controversy over whether the military should provide insurance
[03:30:21.400 --> 03:30:23.680]  for soldiers to transition from one gender to another.
[03:30:23.680 --> 03:30:27.360]  In other news, President Trump also publicly blasted his Attorney General Jeff Sessions
[03:30:27.360 --> 03:30:31.160]  for not replacing acting FBI Director Andrew McCabe, who was at the center of controversy
[03:30:31.160 --> 03:30:34.920]  after his wife received $700,000 for her political campaign from Hillary Clinton.
[03:30:34.920 --> 03:30:37.440]  McCabe was handling the FBI investigation into Clinton.
[03:30:37.440 --> 03:30:41.240]  The president also blasted Sessions on Tuesday for taking, quote, a very weak position on
[03:30:41.240 --> 03:30:42.400]  Hillary Clinton crimes.
[03:30:42.400 --> 03:30:46.200]  So far, Sessions has focused more on ramping up civil asset forfeiture and prosecuting
[03:30:46.200 --> 03:30:48.360]  marijuana users than investigating Hillary Clinton.
[03:30:48.360 --> 03:30:51.960]  CNN, however, has launched an investigation into media pioneer Matt Drudge.
[03:30:51.960 --> 03:30:55.000]  The founder of the Drudge Report has been spending a lot of time at the White House, which has
[03:30:55.000 --> 03:30:58.720]  forced establishment media to not only acknowledge his influence over Trump, but also his role
[03:30:58.720 --> 03:31:02.280]  as the progress meter of the Trump agenda and how the Drudge Report represents middle
[03:31:02.280 --> 03:31:03.280]  America.
[03:31:03.280 --> 03:31:06.200]  If Matt Drudge is concerned about the progress Trump is making, so should the president.
[03:31:06.200 --> 03:31:08.800]  This is Kit Daniels with Infowars.com.
[03:31:08.800 --> 03:31:12.680]  It's not just our water we need to filter, it's not just our food that needs to be cleaned,
[03:31:12.680 --> 03:31:15.560]  it's the air we're breathing, especially for our children.
[03:31:15.560 --> 03:31:21.600]  The artificial particulates, the chemicals, is absolutely weighing down our immune systems.
[03:31:21.600 --> 03:31:26.560]  The same team based right here in America that brought you, the Alexa Pure, groundbreaking
[03:31:26.560 --> 03:31:31.520]  water filtration systems, have now developed Alexa Pure Breeze, whether it's your home
[03:31:31.520 --> 03:31:36.640]  or office, you owe it to yourself, your coworkers, your family, your children, to the best job
[03:31:36.640 --> 03:31:38.360]  you can to purify your air.
[03:31:38.360 --> 03:31:43.360]  The elite are masters at poisoning our environment, while themselves doing things that mitigate
[03:31:43.360 --> 03:31:46.360]  or avoid most toxic effects for themselves.
[03:31:46.360 --> 03:31:48.560]  The general public doesn't.
[03:31:48.560 --> 03:31:52.520]  The Alexa Pure Breeze will be a steal at $300, $400, $500.
[03:31:52.520 --> 03:31:56.120]  One of these systems can keep 800 square feet incredibly clean.
[03:31:56.120 --> 03:31:59.680]  This is a system I'm personally putting in throughout my house, replacing older, more
[03:31:59.680 --> 03:32:02.880]  expensive filters that didn't do as good a job.
[03:32:02.880 --> 03:32:08.880]  Find out why this system is so revolutionary today at M4store.com.
[03:32:08.880 --> 03:32:12.360]  After being sold out for months, our best-selling Super Blue fluoride toothpaste is now back
[03:32:12.360 --> 03:32:17.000]  in stock at M4store.com, the first shipment of Super Blue sold out in one week.
[03:32:17.000 --> 03:32:20.360]  I thought it would be a six-month supply for listeners, and since then, people are beating
[03:32:20.360 --> 03:32:24.440]  down our doors, wanting to be able to resupply their Super Blue.
[03:32:24.440 --> 03:32:26.160]  Research across the board is clear.
[03:32:26.160 --> 03:32:27.520]  In fact, it's certified.
[03:32:27.520 --> 03:32:31.160]  When bacteria infect your gums, it can enter your bloodstream, and if you contribute to
[03:32:31.160 --> 03:32:32.680]  blood clots and heart attacks.
[03:32:32.680 --> 03:32:37.120]  That's why the Last Surgeon General's report on oral health warns that your oral health
[03:32:37.120 --> 03:32:39.640]  can have a serious impact on your entire body.
[03:32:39.640 --> 03:32:43.840]  Super Blue fluoride-free toothpaste is a groundbreaking new formula that's loaded with good halogen
[03:32:43.840 --> 03:32:46.440]  iodide, some of the bad halogen fluoride.
[03:32:46.440 --> 03:32:51.040]  Super Blue contains natural oils and ingredients used its biblical times to help wipe out bad
[03:32:51.040 --> 03:32:53.200]  bacteria and eliminate bad breath.
[03:32:53.200 --> 03:32:57.600]  Just some of the ingredients in Super Blue, chosen by our dental experts include xylitol,
[03:32:57.600 --> 03:33:00.720]  peppermint oil, iodide, nano-silver, and more.
[03:33:00.720 --> 03:33:05.840]  Learn more about InfoWars Live Super Blue toothpaste at InfoWarsLife.com, and support
[03:33:05.840 --> 03:33:12.480]  the InfoWars while you support healthy gums and teeth.
[03:33:12.480 --> 03:33:21.280]  News, analysis, reports, it's the Alex Jones show, and now your host, Mike Cernovich.
[03:33:21.280 --> 03:33:26.720]  Thanks for joining me back, everybody.
[03:33:26.720 --> 03:33:30.760]  If you're watching on Facebook Live, be sure to hit that like button and spread and share
[03:33:30.760 --> 03:33:34.320]  the links for all the Facebook Live viewers out there.
[03:33:34.320 --> 03:33:35.320]  Get those links out.
[03:33:35.320 --> 03:33:36.320]  Get the like button.
[03:33:36.320 --> 03:33:37.320]  Let's get this trending.
[03:33:37.320 --> 03:33:40.160]  So let's talk about Ben Rhodes for a minute.
[03:33:40.160 --> 03:33:43.280]  And I sent a couple links to the production team, so they're so great, they'll pull that
[03:33:43.280 --> 03:33:44.280]  up.
[03:33:44.280 --> 03:33:49.600]  Ben Rhodes, he worked for Obama, lied to reporters.
[03:33:49.600 --> 03:33:55.280]  He actually was quoted on the record as saying that, I can convince a 26-year-old at the
[03:33:55.280 --> 03:33:57.440]  Washington Post of anything.
[03:33:57.440 --> 03:34:01.680]  So he's an admitted liar, and he admitted that he conned them.
[03:34:01.680 --> 03:34:06.080]  But if you work at the Washington Post, you don't actually care if they lie to you.
[03:34:06.080 --> 03:34:10.600]  All you care about is harming freedom and harming liberty and harming the people who
[03:34:10.600 --> 03:34:11.840]  want to help.
[03:34:11.840 --> 03:34:17.880]  So for eight years, Obama and Ben Rhodes said they had secret talks with Iran.
[03:34:17.880 --> 03:34:19.600]  We never heard about it.
[03:34:19.600 --> 03:34:23.900]  How was it that they were able to keep the Iran deal secret?
[03:34:23.900 --> 03:34:27.760]  Think about, again, let's connect some dots and let's talk about McMaster and why McMaster
[03:34:27.760 --> 03:34:29.480]  is right now.
[03:34:29.480 --> 03:34:33.360]  The number one greatest threat to national security in America is HR McMaster.
[03:34:33.360 --> 03:34:38.080]  You can quote that, you can tweet it out, you can clip that, the video footage.
[03:34:38.080 --> 03:34:44.520]  The number one threat to national security in the United States of America is HR McMaster.
[03:34:44.520 --> 03:34:45.720]  Quote me on that.
[03:34:45.720 --> 03:34:52.200]  So McMaster has leaks every day coming out from Ben Rhodes's people.
[03:34:52.200 --> 03:34:57.800]  If there were no leaks about the Iran deal during the Obama administration, Ben Rhodes
[03:34:57.800 --> 03:34:59.640]  wasn't leaking anything.
[03:34:59.640 --> 03:35:00.920]  So what does that tell you?
[03:35:00.920 --> 03:35:05.480]  Well, Ben Rhodes testified before the Senate committee either yesterday or the day before
[03:35:05.480 --> 03:35:06.480]  that.
[03:35:06.480 --> 03:35:10.120]  Isn't that amazing that was never leaked?
[03:35:10.120 --> 03:35:14.080]  Isn't it amazing that nobody had advanced knowledge, so House Intelligence Committee
[03:35:14.080 --> 03:35:16.040]  met with Ben Rhodes?
[03:35:16.040 --> 03:35:18.180]  Nobody had that story.
[03:35:18.180 --> 03:35:19.680]  You know why?
[03:35:19.680 --> 03:35:20.880]  Favor trading.
[03:35:20.880 --> 03:35:26.000]  What they do is, if you get a leak from Ben Rhodes or Ben Rhodes' people, it's like a
[03:35:26.000 --> 03:35:28.200]  code of silence.
[03:35:28.200 --> 03:35:34.120]  And that really goes to show you how corrupt the fake news media is that there's this
[03:35:34.120 --> 03:35:40.360]  major code of silence, that they're going to protect Rhodes at all costs.
[03:35:40.360 --> 03:35:46.640]  So then the question would be, why does HR McMaster want to bring in two political appointees
[03:35:46.640 --> 03:35:50.680]  from the Obama administration who worked for Ben Rhodes?
[03:35:50.680 --> 03:35:53.040]  Because McMaster wants information leaked.
[03:35:53.040 --> 03:35:55.520]  He wants our national security secrets leaked.
[03:35:55.520 --> 03:36:02.360]  He wants to do anything he can to harm Trump because who owns McMaster?
[03:36:02.360 --> 03:36:04.000]  Soros.
[03:36:04.000 --> 03:36:09.600]  George Soros, McMaster, Petraeus had a secret meeting at Bilderberg.
[03:36:09.600 --> 03:36:11.600]  I bet you nobody has that story yet.
[03:36:11.600 --> 03:36:17.360]  See, I have so many scoops out there that I just release them on air all the time.
[03:36:17.360 --> 03:36:20.280]  I don't even have time to write them all up.
[03:36:20.280 --> 03:36:25.000]  If I wrote up everything I knew, I wouldn't have any fingers left because I would be typing
[03:36:25.000 --> 03:36:27.360]  all day and my hands were, quote, working.
[03:36:27.360 --> 03:36:32.080]  There's so much, there's so much to talk about all the time.
[03:36:32.080 --> 03:36:35.600]  That's how bad McMaster is and why we really have to get McMaster.
[03:36:35.600 --> 03:36:36.600]  We have to fire him.
[03:36:36.600 --> 03:36:38.680]  But we're going to take some calls.
[03:36:38.680 --> 03:36:41.600]  Carlos has been on the line for two hours.
[03:36:41.600 --> 03:36:42.760]  I know Alex.
[03:36:42.760 --> 03:36:44.360]  I'll hold him to this.
[03:36:44.360 --> 03:36:47.840]  Alex says, if you're on hold for longer than an hour, you get a free t-shirt.
[03:36:47.840 --> 03:36:53.840]  So Carlos, even though I'm not the boss, even though I'm not the boss, that's the truth.
[03:36:53.840 --> 03:36:56.520]  Carlos just enough.
[03:36:56.520 --> 03:36:58.800]  Oh, sorry Carlos.
[03:36:58.800 --> 03:36:59.800]  That's a bummer.
[03:36:59.800 --> 03:37:02.680]  So we'll take the next caller here.
[03:37:02.680 --> 03:37:06.080]  I don't have the screen right up right now.
[03:37:06.080 --> 03:37:07.560]  So we'll take Sean.
[03:37:07.560 --> 03:37:08.560]  How you doing, Sean?
[03:37:08.560 --> 03:37:09.560]  I'm great.
[03:37:09.560 --> 03:37:10.560]  How are you?
[03:37:10.560 --> 03:37:11.560]  Doing well.
[03:37:11.560 --> 03:37:19.360]  I was wanting to talk about the implementation of COG.
[03:37:19.360 --> 03:37:23.640]  I believe that that was planned and still moving forward.
[03:37:23.640 --> 03:37:26.440]  I don't think they ever dropped it.
[03:37:26.440 --> 03:37:27.440]  What plan?
[03:37:27.440 --> 03:37:32.480]  I think Hillary was the plan to implement COG.
[03:37:32.480 --> 03:37:35.040]  I don't know what Hillary was.
[03:37:35.040 --> 03:37:36.040]  Is that an acronym?
[03:37:36.040 --> 03:37:39.800]  I'm not really sure what that acronym is.
[03:37:39.800 --> 03:37:43.800]  It's to bring the deep state in in the state of emergency.
[03:37:43.800 --> 03:37:44.800]  Got you.
[03:37:44.800 --> 03:37:45.800]  Bring in the deep state.
[03:37:45.800 --> 03:37:53.320]  I believe that Hillary was a PAPSY candidate because if you notice about Hillary's health
[03:37:53.320 --> 03:38:00.240]  right now, she's always on the verge of her death, but she's not fumbling around dying
[03:38:00.240 --> 03:38:02.000]  every two seconds.
[03:38:02.000 --> 03:38:08.400]  And so I believe that they were possibly poisoning her, using her for a PAPSY to win
[03:38:08.400 --> 03:38:14.080]  the presidency, get in there, open the borders, use some executive orders, take the guns,
[03:38:14.080 --> 03:38:20.640]  and then they were going to kill her and then have the martial law implemented because they
[03:38:20.640 --> 03:38:23.840]  had that from day one.
[03:38:23.840 --> 03:38:27.880]  I believe Trump getting in through a wrench in there.
[03:38:27.880 --> 03:38:32.840]  And at first, you know, they were in denial, which is that's not my president.
[03:38:32.840 --> 03:38:37.480]  And then after denial is frenzy, and then that's where you see the rioting and everything.
[03:38:37.480 --> 03:38:41.400]  And now I believe that they're trying to, that they're getting their bearings back and
[03:38:41.400 --> 03:38:43.920]  they're trying to reimplement the plan.
[03:38:43.920 --> 03:38:49.840]  If you notice, because he is completely involved, and I think that everyone, even like Jeff
[03:38:49.840 --> 03:38:56.040]  Sessions, who's been just totally weak on everything except for TPP, he's been, if you
[03:38:56.040 --> 03:39:01.640]  take away TPP, he looks like a Democrat.
[03:39:01.640 --> 03:39:06.960]  And I think that right now everyone should be really worried because even these people
[03:39:06.960 --> 03:39:15.480]  that Trump puts in, they're still getting, they're still getting pulled over to the other
[03:39:15.480 --> 03:39:16.480]  side.
[03:39:16.480 --> 03:39:19.880]  I think that Pence, I mean, where has he been?
[03:39:19.880 --> 03:39:27.360]  No one's heard anything about Pence pretty much since they won the presidency.
[03:39:27.360 --> 03:39:31.480]  And so I kind of believe that he's just kind of hiding in the background to see what's
[03:39:31.480 --> 03:39:32.480]  going to happen.
[03:39:32.480 --> 03:39:39.760]  I really believe now that their plan is to try to assassinate Trump and carry out some
[03:39:39.760 --> 03:39:45.240]  form of false flag here on the states and then implement martial law, which will open
[03:39:45.240 --> 03:39:46.840]  the door to bring in deep state.
[03:39:46.840 --> 03:39:52.160]  And once that happens, we're not going to get out from underneath of it.
[03:39:52.160 --> 03:39:54.200]  And then all hell is going to break loose.
[03:39:54.200 --> 03:40:02.720]  And the only way we're going to get out of it is not going to be pretty.
[03:40:02.720 --> 03:40:03.720]  Okay.
[03:40:03.720 --> 03:40:04.720]  Thank you.
[03:40:04.720 --> 03:40:05.720]  Thank you.
[03:40:05.720 --> 03:40:08.720]  Thanks for your call, sir.
[03:40:08.720 --> 03:40:09.720]  Okay.
[03:40:09.720 --> 03:40:10.720]  Okay.
[03:40:10.720 --> 03:40:15.720]  We have another caller, Carol, it looks like.
[03:40:15.720 --> 03:40:16.720]  Carol?
[03:40:16.720 --> 03:40:17.720]  Carol.
[03:40:17.720 --> 03:40:18.720]  Hi.
[03:40:18.720 --> 03:40:21.720]  Hey, how are you?
[03:40:21.720 --> 03:40:25.320]  I'm amazed I'm online.
[03:40:25.320 --> 03:40:27.520]  Welcome.
[03:40:27.520 --> 03:40:29.240]  Thank you.
[03:40:29.240 --> 03:40:38.680]  I am not sure this is true, but from what little I've looked at it, it seems very important.
[03:40:38.680 --> 03:40:47.720]  The coup of President Trump may be taking action by legislation.
[03:40:47.720 --> 03:40:55.480]  They have passed in the Senate, apparently not in the Congress in the House yet, Senate
[03:40:55.480 --> 03:40:58.800]  Bill 722.
[03:40:58.800 --> 03:41:08.480]  And you know in bills that they can name them one thing and have a lot of information, but
[03:41:08.480 --> 03:41:11.800]  they can add other stuff.
[03:41:11.800 --> 03:41:19.540]  The title of Senate Bill 722 is Countering Iran's Destabilization Act, Activities Act
[03:41:19.540 --> 03:41:23.040]  of 2017.
[03:41:23.040 --> 03:41:32.760]  But in title two portion of it, which is lots of words down, it has to do, it also apparently
[03:41:32.760 --> 03:41:39.480]  takes over control of sanctions of Russia and takes over control of what the president
[03:41:39.480 --> 03:41:43.560]  can do by legislation.
[03:41:43.560 --> 03:41:44.840]  I need help with that.
[03:41:44.840 --> 03:41:50.320]  I'm not saying it's true absolutely, just from what I've looked at, it looks very possible.
[03:41:50.320 --> 03:41:57.480]  But while we're all excited about this other stuff, that the Congress may pass a bill that
[03:41:57.480 --> 03:42:05.040]  takes over a whole bunch of powers of President Trump by passing the bill.
[03:42:05.040 --> 03:42:13.200]  It's like an eight-minute summary by Anonymous suggested, so I went and looked up the bill.
[03:42:13.200 --> 03:42:23.280]  And I'm looking at the legal parts of the bill going, you know, lots of words and lots
[03:42:23.280 --> 03:42:31.000]  of legalese, so I'm not sure, but it's already passed the Senate.
[03:42:31.000 --> 03:42:38.240]  And Anonymous was saying that it passed like 98 to 2.
[03:42:38.240 --> 03:42:45.240]  And so the House and the Senate may be taking things over by passing a law.
[03:42:45.240 --> 03:42:46.240]  Okay, gotcha.
[03:42:46.240 --> 03:42:49.560]  Yeah, we'll definitely look into it.
[03:42:49.560 --> 03:42:54.480]  Thank you again for your call.
[03:42:54.480 --> 03:42:55.480]  Always good to hear from you.
[03:42:55.480 --> 03:42:56.480]  Thanks Carol.
[03:42:56.480 --> 03:42:59.720]  Okay, yeah, I appreciate the call.
[03:42:59.720 --> 03:43:02.440]  Yeah, we'll take the next call, we'll take a few more.
[03:43:02.440 --> 03:43:06.960]  Yeah, that one, it's just a sanctions bill, so I don't know, I mean, a lot of things
[03:43:06.960 --> 03:43:09.640]  get spun way out of proportion.
[03:43:09.640 --> 03:43:13.840]  A sanctions bill was passed as bipartisan, I don't think it's a good idea, these sanctions
[03:43:13.840 --> 03:43:15.640]  never really work.
[03:43:15.640 --> 03:43:20.600]  But a lot of times people read way more into that stuff than it really is.
[03:43:20.600 --> 03:43:25.680]  It isn't stripping Trump of any of his presidency, I guess in theory, you're taking away some
[03:43:25.680 --> 03:43:28.280]  of his executive powers, it's a separation of powers issue.
[03:43:28.280 --> 03:43:33.800]  But there's a lot of hysteria, and unless I have a lot of evidence supporting it, I
[03:43:33.800 --> 03:43:36.720]  definitely, I don't like to feed into that.
[03:43:36.720 --> 03:43:38.720]  Greg from Montana, how you doing?
[03:43:38.720 --> 03:43:42.840]  Thank you so much for taking my call.
[03:43:42.840 --> 03:43:48.320]  I was prompted to call by the pastor who was on with Alex, and he was talking a lot about
[03:43:48.320 --> 03:43:50.560]  prayer and the need for prayer.
[03:43:50.560 --> 03:43:55.040]  And one of the things that I would like to throw out there for everyone who might be
[03:43:55.040 --> 03:44:01.840]  open to this is the idea of many, many people in all parts of the country, and maybe other
[03:44:01.840 --> 03:44:06.280]  parts of the world, getting together to do the Psalms.
[03:44:06.280 --> 03:44:12.600]  This was done in early colonial times by the Pilgrims of Puritans, and up into revolutionary
[03:44:12.600 --> 03:44:19.360]  times, people would get together in churches and recite the Psalms, and I think probably
[03:44:19.360 --> 03:44:24.320]  the King James Version would be the best for people to use because it's most widely
[03:44:24.320 --> 03:44:32.400]  accepted, Catholics could accept it, even perhaps many of the spiritually minded Jews,
[03:44:32.400 --> 03:44:38.280]  and people could come together in small groups, in churches, even in stadiums, and over the
[03:44:38.280 --> 03:44:40.680]  internet and do this.
