[00:00.000 --> 00:04.000]  President Bush is speaking today about the new financial rescue package.
[1:21:19.000 --> 1:21:22.000]  Oh, that's the day the Templars got it.
[1:21:26.000 --> 1:21:30.000]  She's gonna turn on the juice boys.
[1:21:30.000 --> 1:21:35.000]  And then she'll turn on the power.
[1:21:35.000 --> 1:21:38.000]  She's got the look.
[1:21:38.000 --> 1:21:41.000]  Yeah, she's got looks.
[1:21:41.000 --> 1:21:44.000]  Gotta have this last part, but I'm getting into the bankers.
[1:21:44.000 --> 1:21:49.000]  That kill.
[1:21:49.000 --> 1:21:51.000]  She's got the look.
[1:21:51.000 --> 1:21:53.000]  She's got looks.
[1:21:53.000 --> 1:21:55.000]  The kill.
[1:21:55.000 --> 1:21:57.000]  She's got looks.
[1:21:57.000 --> 1:21:58.000]  The kill.
[1:21:58.000 --> 1:22:00.000]  I gotta have some fun.
[1:22:00.000 --> 1:22:01.000]  I'm sorry.
[1:22:01.000 --> 1:22:04.000]  Crazy stuff playing that type of music gets me out of control.
[1:22:04.000 --> 1:22:15.000]  I go back to being like 14 years old.
[1:22:15.000 --> 1:22:18.000]  Man, that's good stuff.
[1:22:18.000 --> 1:22:19.000]  And you know, they're big fans.
[1:22:19.000 --> 1:22:20.000]  Let's go.
[1:22:20.000 --> 1:22:22.000]  They play our videos for concerts.
[1:22:22.000 --> 1:22:23.000]  Everybody's freaking out over it.
[1:22:23.000 --> 1:22:26.000]  We actually got contact with the folks that make those videos asking if they could.
[1:22:26.000 --> 1:22:31.000]  I say, knock yourselves out.
[1:22:31.000 --> 1:22:33.000]  All right.
[1:22:33.000 --> 1:22:35.000]  That's not why you tune in to hear me sing.
[1:22:35.000 --> 1:22:38.000]  I'm sorry, ladies and gentlemen, and I apologize.
[1:22:38.000 --> 1:22:42.000]  Besides that stuff's probably not good culturally, and I'm sorry.
[1:22:42.000 --> 1:22:45.000]  I just, I just, I just revert back to being 14 years old.
[1:22:45.000 --> 1:22:47.000]  All right, let's get serious.
[1:22:47.000 --> 1:22:50.000]  You tuned in for the breakdown of what the New World Order is up to.
[1:22:50.000 --> 1:22:52.000]  Let me make it very simple.
[1:22:52.000 --> 1:22:56.000]  In the banker bailout bill, it says unlimited fractional reserve banking.
[1:22:56.000 --> 1:23:01.000]  Before banks could loan out roughly $10 for every dollar they had in deposits.
[1:23:01.000 --> 1:23:02.000]  It isn't a real dollar.
[1:23:02.000 --> 1:23:04.000]  It's a zero, a one.
[1:23:04.000 --> 1:23:07.000]  It's numbers on a sheet, numbers in a computer.
[1:23:07.000 --> 1:23:12.000]  And so they have created thousands, over a thousand trillion conservatively.
[1:23:12.000 --> 1:23:18.000]  A lot of estimates are as much as 3,000 trillion, but over a quadrillion dollars in fiat currency.
[1:23:18.000 --> 1:23:29.000]  Now, the bankers ran around and bought up gold mines and infrastructure and roads and shipping companies and media and defense stocks and everything else and stocks and real companies.
[1:23:29.000 --> 1:23:34.000]  But in a Ponzi scheme, when you're printing too much money, issuing too much liquidity, it finally implodes.
[1:23:34.000 --> 1:23:41.000]  Now, they've already moved into safe assets, set up police states in every country that they've been, you know, preparing to implode the Ponzi scheme in.
[1:23:41.000 --> 1:23:46.000]  It's in the IMF World Bank documents, but how they use the militarized police and military against countries once they've done this.
[1:23:46.000 --> 1:23:48.000]  Same thing's happening here now.
[1:23:48.000 --> 1:23:57.000]  Now, the banker bill gives immunity to all the criminal activities that have been done by the select group of banks.
[1:23:57.000 --> 1:24:02.000]  Now, who holds the shares in the private Federal Reserve?
[1:24:02.000 --> 1:24:03.000]  Who are the families?
[1:24:03.000 --> 1:24:05.000]  What are the private banks they use as their fronts?
[1:24:05.000 --> 1:24:12.000]  They are, of course, Chase Manhattan, JPMorgan, JPMorgan Chase.
[1:24:12.000 --> 1:24:14.000]  They are Bank of America.
[1:24:14.000 --> 1:24:17.000]  We know that banks are going to be somewhat safe.
[1:24:17.000 --> 1:24:18.000]  These are them.
[1:24:18.000 --> 1:24:23.000]  They are Wells Fargo and they, of course, are Citibank.
[1:24:23.000 --> 1:24:31.000]  And then they get to use the regulators to go out after other banks, other financial institutions, many of which are solvent.
[1:24:31.000 --> 1:24:32.000]  That's come out in the news.
[1:24:32.000 --> 1:24:34.000]  Many of which really aren't in trouble.
[1:24:34.000 --> 1:24:38.000]  So the private banks also control through the Fed and the Treasury.
[1:24:38.000 --> 1:24:40.000]  Fed's not federal.
[1:24:40.000 --> 1:24:45.000]  The Treasury is somewhat the power to go after their competition as well and then use our money.
[1:24:45.000 --> 1:24:54.000]  And as they said, pay market value or higher premiums for all of this junk that they themselves are holding.
[1:24:54.000 --> 1:25:01.000]  So they made the decision to turn them into derivatives, create these paper assets that aren't really tied to anything.
[1:25:01.000 --> 1:25:04.000]  They made the decision now we get to bail that out.
[1:25:04.000 --> 1:25:09.000]  They're still going to take your house even though in taxes you're going to have to pay for all of this.
[1:25:09.000 --> 1:25:15.000]  So this is basically like, what was the analogy I heard?
[1:25:15.000 --> 1:25:27.000]  It's like having a dog with fleas and instead of paying to have a flea dip done, they are bailing out the fleas, not the dog.
[1:25:27.000 --> 1:25:31.000]  And they are getting governmental power out of this.
[1:25:31.000 --> 1:25:33.000]  And they told Congress, in fact, pull that up.
[1:25:33.000 --> 1:25:34.000]  People just tuned in.
[1:25:34.000 --> 1:25:35.000]  They won't believe it.
[1:25:35.000 --> 1:25:36.000]  Pull up the Congressman again.
[1:25:36.000 --> 1:25:50.000]  They told Congress that if they did not pass the bill Thursday and Friday, physical martial law would be declared nationwide.
[1:25:50.000 --> 1:25:52.000]  The Congress would basically be abolished.
[1:25:52.000 --> 1:26:02.000]  And we interviewed Congressman Brad Sherman, Democrat from California, after it was reported on C-SPAN.
[1:26:02.000 --> 1:26:07.000]  And the story is martial law will be declared a banker bill not passed in the House.
[1:26:07.000 --> 1:26:12.000]  In House debate on the banker rescue bill, Representative Brad Sherman told his fellow Congress critters,
[1:26:12.000 --> 1:26:17.000]  the government will declare martial law and the stock market will drop 3,000 points if the bill was not passed.
[1:26:17.000 --> 1:26:25.000]  The panic mongers were to the point of telling people the market would plunge 3,000 points and there would be martial law, said Sherman.
[1:26:25.000 --> 1:26:27.000]  Go ahead and play it.
[1:26:27.000 --> 1:26:35.000]  City from Ohio, the only way they can pass this bill is by creating and sustaining a panic atmosphere.
[1:26:35.000 --> 1:26:38.000]  That atmosphere is not justified.
[1:26:38.000 --> 1:26:48.000]  Many of us were told in private conversations that if we voted against this bill on Monday that the sky would fall,
[1:26:48.000 --> 1:26:52.000]  the market would drop 2,000 or 3,000 points the first day, another couple of thousand the second day.
[1:26:52.000 --> 1:26:59.000]  And a few members were even told that there would be martial law in America if we voted no.
[1:26:59.000 --> 1:27:04.000]  That's what I call fear mongering, unjustified, proven wrong.
[1:27:04.000 --> 1:27:08.000]  We've got a week, we've got two weeks to write a good bill.
[1:27:08.000 --> 1:27:13.000]  The only way to write to pass a bad bill, keep the panic pressure on.
[1:27:13.000 --> 1:27:15.000]  Now what has the Senate done to this bill?
[1:27:15.000 --> 1:27:18.000]  All right, that is Congressman Brad Sherman, but did we stop there?
[1:27:18.000 --> 1:27:19.000]  No, we called him up.
[1:27:19.000 --> 1:27:21.000]  We got him on.
[1:27:21.000 --> 1:27:25.000]  And he said, yes, they told a bunch of members of Congress this and they told me about it.
[1:27:25.000 --> 1:27:28.000]  But under the rules of the House, I was told in confidence, they said,
[1:27:28.000 --> 1:27:32.000]  blood would be in the streets, troops in the streets, that the Congress would basically be abolished.
[1:27:32.000 --> 1:27:35.000]  Now that's up on infowars.com right now.
[1:27:35.000 --> 1:27:38.000]  You can go hear that interview on the shows over to none of you like.
[1:27:38.000 --> 1:27:39.000]  You want to see the proof of that.
[1:27:39.000 --> 1:27:43.000]  But you just heard the audio transmitted live on many mainstream news stations.
[1:27:43.000 --> 1:27:46.000]  We're carrying the debate that went out on, I'm told, CNBC.
[1:27:46.000 --> 1:27:49.000]  It also went on C-SPAN.
[1:27:49.000 --> 1:27:50.000]  That's where we got it from.
[1:27:50.000 --> 1:27:53.000]  Now, what happened?
[1:27:53.000 --> 1:27:59.000]  Monday, there was such pressure on the Congress, 2,000 calls to every four or five.
[1:27:59.000 --> 1:28:02.000]  We have Congressman Burgess from Texas on saying that.
[1:28:02.000 --> 1:28:06.000]  Other Congress people said they were getting 9,000 calls to every couple calls for it.
[1:28:06.000 --> 1:28:09.000]  I think Feinstein said that in the Senate.
[1:28:09.000 --> 1:28:12.000]  So all of this was going on.
[1:28:12.000 --> 1:28:19.000]  And so understand the president's group on open markets, it controls the stock market every day.
[1:28:19.000 --> 1:28:21.000]  It didn't put money in that day.
[1:28:21.000 --> 1:28:24.000]  And so it dropped a trillion, 200 billion to terrorize everybody.
[1:28:24.000 --> 1:28:26.000]  Then they threatened martial law.
[1:28:26.000 --> 1:28:29.000]  They passed it Friday and the market still plunged.
[1:28:29.000 --> 1:28:30.000]  What is this going to do to your money?
[1:28:30.000 --> 1:28:32.000]  What is this going to do to your future?
[1:28:32.000 --> 1:28:35.000]  When we get back, we'll cover it in detail and take your phone calls.
[1:28:35.000 --> 1:28:38.000]  I want to hear from you what you think about this.
[1:28:38.000 --> 1:28:39.000]  Stay with us.
[1:28:39.000 --> 1:28:50.000]  The resistance to tyranny continues.
[1:28:50.000 --> 1:28:55.000]  As a parent, your biggest fear is getting a phone call that your child has been attacked or worse.
[1:28:55.000 --> 1:28:58.000]  With your child going to college or moving out on their own,
[1:28:58.000 --> 1:29:01.000]  it's important to keep these safety tips in mind.
[1:29:01.000 --> 1:29:03.000]  Teach them to be aware of their surroundings.
[1:29:03.000 --> 1:29:06.000]  Walk on well that pass with friends or students.
[1:29:06.000 --> 1:29:09.000]  Secure the windows and doors of their dorm room or apartment.
[1:29:09.000 --> 1:29:11.000]  Know how to reach campus security.
[1:29:11.000 --> 1:29:14.000]  Always tell someone where they're going and when to expect their return.
[1:29:14.000 --> 1:29:17.000]  And always carry a self-defense device.
[1:29:17.000 --> 1:29:21.000]  This important message is brought to you by Pepperspray.com.
[1:29:21.000 --> 1:29:26.000]  Pepperspray.com features a full line of products for college students like Pepperspray and Mace,
[1:29:26.000 --> 1:29:32.000]  as well as window locks for dorm rooms or apartments, personal alarms, stun guns, and nighttime safety items.
[1:29:32.000 --> 1:29:37.000]  Enter school in the coupon code box and receive 10% off your order.
[1:29:37.000 --> 1:29:39.000]  Go to Pepperspray.com.
[1:29:39.000 --> 1:29:44.000]  That's Pepperspray.com or call 800-908-9988.
[1:29:44.000 --> 1:30:10.000]  That's 800-908-9988.
[1:30:14.000 --> 1:30:18.000]  My blood pressure has normalized. My diabetes has totally improved.
[1:30:18.000 --> 1:30:23.000]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[1:30:23.000 --> 1:30:25.000]  I recommend heart and body extract to everyone.
[1:30:25.000 --> 1:30:33.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[1:30:33.000 --> 1:30:44.000]  Order your two-month supply today by calling 866-295-5305. That's 866-295-5305 or order online hbextract.com.
[1:30:44.000 --> 1:31:04.000]  Heart and Body Extract 866-295-5305 or hbextract.com.
[1:31:15.000 --> 1:31:21.000]  Now compare Calben Pure Soap. All natural, earth-friendly, no harsh chemicals, no animal testing.
[1:31:21.000 --> 1:31:26.000]  They're safe and you save 85% of the money you're spending on cleaning products now.
[1:31:26.000 --> 1:31:30.000]  Start saving over $1,000 a year for your family of four.
[1:31:30.000 --> 1:31:40.000]  Keep it natural. Call Calben Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[1:31:40.000 --> 1:31:45.000]  Try Calben Pure Soaps and I'll bet you'll never use any other cleaning products again.
[1:31:45.000 --> 1:32:11.000]  Call 1-800-340-7091 for all your cleaning needs.
[1:32:15.000 --> 1:32:20.000]  It's over. There are definitely some do's and don'ts with this rollover process and that's where Midas Resources comes in.
[1:32:20.000 --> 1:32:26.000]  Call us at 1-866-323-5665 and we can help you with this process.
[1:32:26.000 --> 1:32:32.000]  History has shown that metals will maintain your buying power even if other financial assets are failing.
[1:32:32.000 --> 1:32:37.000]  It's not a question of if you'll need precious metals in your portfolio, it's a question of when.
[1:32:37.000 --> 1:32:42.000]  So whether you're planning for an economic rainy day or a Category 5 hurricane, the solution is the same.
[1:32:42.000 --> 1:32:50.000]  Call us today at 1-866-323-5665.
[1:32:50.000 --> 1:33:14.000]  You're listening to GCN, the Genesis Communications Radio Network.
[1:33:14.000 --> 1:33:24.000]  You're listening to GCN, the Genesis Communications Radio Network.
[1:33:24.000 --> 1:33:34.000]  You're listening to GCN, the Genesis Communications Radio Network.
[1:33:34.000 --> 1:33:44.000]  All right, telling you like it is, the bankers, the private bankers have been given governmental power, immunity from their crimes,
[1:33:44.000 --> 1:33:51.000]  the power to take over any mortgages, any other instruments they wish, the power to pump trillions, not 800-something billion in.
[1:33:51.000 --> 1:33:55.000]  And the public loves to talk about wooden arrows, subsidies, and other little corruptions.
[1:33:55.000 --> 1:34:01.000]  What about the carbon tax to start all these new carbon taxes on the American people
[1:34:01.000 --> 1:34:05.000]  and incentivize it with tax breaks in the Internal Revenue Service Code?
[1:34:05.000 --> 1:34:10.000]  That's for the global banks to take control of your life, micromanage you.
[1:34:10.000 --> 1:34:15.000]  Or what about the provision that CNET News is reporting on?
[1:34:15.000 --> 1:34:17.000]  Let me dig it out here.
[1:34:17.000 --> 1:34:22.000]  Banker bailout bill contains IRS police state provision, Declan McCulloch CNET News.
[1:34:22.000 --> 1:34:28.000]  The bailout also gives the Internal Revenue Service new authority to conduct undercover operations that would immunize immunity,
[1:34:28.000 --> 1:34:34.000]  the IRS from a parcel of federal laws including preventing IRS agents to run businesses for an extended sting operation
[1:34:34.000 --> 1:34:39.000]  to open their own personal bank accounts with U.S. tax dollars and so on.
[1:34:39.000 --> 1:34:41.000]  So now they're going to have that going on.
[1:34:41.000 --> 1:34:43.000]  You thought the IRS was bad before.
[1:34:43.000 --> 1:34:46.000]  They're gearing up to really squeeze everybody now and throw your button present with no proof.
[1:34:46.000 --> 1:34:50.000]  Of course, you waive your Fifth Amendment to not incriminate yourself when you fill out those tax papers
[1:34:50.000 --> 1:34:57.000]  or when your CPA fills them out and then there's no way to follow the 66,000-page tax system.
[1:34:57.000 --> 1:35:02.000]  I have two CPAs go over my taxes just to try to figure out what to do
[1:35:02.000 --> 1:35:04.000]  knowing people say, well, why do you even pay it then?
[1:35:04.000 --> 1:35:07.000]  Because I can't set myself up for them to come after me.
[1:35:07.000 --> 1:35:08.000]  Yes, it's a private group.
[1:35:08.000 --> 1:35:09.000]  Yes, it goes to offshore banks.
[1:35:09.000 --> 1:35:12.000]  Yes, it just goes to pay the debt to the private banks.
[1:35:12.000 --> 1:35:14.000]  Yes, even Ronald Reagan had a commission that documented that.
[1:35:14.000 --> 1:35:16.000]  Yes, the public doesn't know that.
[1:35:16.000 --> 1:35:22.000]  The point is I keep my nose super, duper clean on sales, taxes for the state, everything.
[1:35:22.000 --> 1:35:26.000]  Because I'm not going to give them, I don't even speed anymore.
[1:35:26.000 --> 1:35:31.000]  I mean, you know, just because this system is so corrupt, ladies and gentlemen.
[1:35:31.000 --> 1:35:33.000]  But the point is they can still come after you.
[1:35:33.000 --> 1:35:35.000]  It doesn't matter.
[1:35:35.000 --> 1:35:37.000]  So that's to squeeze the public.
[1:35:37.000 --> 1:35:42.000]  You know, they gave us the Federal Reserve in 1913, same year, the IRS to pay the tax directly to them.
[1:35:42.000 --> 1:35:46.000]  With the 16th Amendment, 17th Amendment took your senators from the state level
[1:35:46.000 --> 1:35:51.000]  where they were sent by the legislators and were made federal so that you couldn't control them, state level.
[1:35:51.000 --> 1:35:58.000]  But so understand that the private bankers terrorize the public and said,
[1:35:58.000 --> 1:36:01.000]  give us immunity, give us unlimited power, give us trillions of your dollars,
[1:36:01.000 --> 1:36:04.000]  let us devalue the dollar or the markets will crash.
[1:36:04.000 --> 1:36:07.000]  And then when the Congress said no, because of a thousand to one phone calls,
[1:36:07.000 --> 1:36:13.000]  and that's conservative, thousand to one, not 95% like the polls are saying against it.
[1:36:13.000 --> 1:36:14.000]  A thousand to one.
[1:36:14.000 --> 1:36:15.000]  We interviewed what?
[1:36:15.000 --> 1:36:17.000]  Four Congressmen this week.
[1:36:17.000 --> 1:36:19.000]  I heard them all over the news saying it.
[1:36:19.000 --> 1:36:22.000]  9,000 phone calls to five.
[1:36:22.000 --> 1:36:26.000]  That's more than a thousand to one.
[1:36:26.000 --> 1:36:30.000]  I even heard Fox News reporting on the radio, local station in Austin, 590.
[1:36:30.000 --> 1:36:34.000]  So the point is that they terrorize the public and then the plunge protection team
[1:36:34.000 --> 1:36:39.000]  that always props up the stock market, the Federal Reserve, didn't prop it up
[1:36:39.000 --> 1:36:41.000]  after they had fear-mongered for a week.
[1:36:41.000 --> 1:36:45.000]  A president had never got up on TV and said, we're going to have a depression if you don't do this.
[1:36:45.000 --> 1:36:47.000]  A secretary of the Treasury never talked like that.
[1:36:47.000 --> 1:36:49.000]  Talk about firing a theater.
[1:36:49.000 --> 1:36:53.000]  The Democratic leaders, Nancy Pelosi, Harry Reid, all saying depression if you don't do this.
[1:36:53.000 --> 1:36:55.000]  Barack Obama's saying it.
[1:36:55.000 --> 1:36:57.000]  John McCain's saying it.
[1:36:57.000 --> 1:37:02.000]  And then that drove the market down that day, all staged.
[1:37:02.000 --> 1:37:05.000]  And then the plunge protection teams, the president's working group of markets,
[1:37:05.000 --> 1:37:12.000]  didn't prop it up and it fell $1 trillion, $200 billion terrorizing the public.
[1:37:12.000 --> 1:37:20.000]  The biggest one-day drop in the stock market ever, even during the Great Depression.
[1:37:20.000 --> 1:37:22.000]  And the public panicked.
[1:37:22.000 --> 1:37:29.000]  But still, the poll showed about 91%, it was hundreds of polls, it was always over 90% against it.
[1:37:29.000 --> 1:37:32.000]  They were still getting 100 to one plus phone calls in Congress.
[1:37:32.000 --> 1:37:34.000]  And they went ahead and passed it.
[1:37:34.000 --> 1:37:37.000]  And now what is it going to do?
[1:37:37.000 --> 1:37:42.000]  Well, we just had a trillion-dollar defense budget more than twice the size it was just six years ago.
[1:37:42.000 --> 1:37:51.000]  The federal government has a current trade deficit of, what is it, $500 something billion a month, conservatively.
[1:37:51.000 --> 1:37:58.000]  There is a $10 trillion currently owed debt, and it's over $50 trillion, according to the Dallas Morning News,
[1:37:58.000 --> 1:38:03.000]  was $40 something trillion, according to them, $50 something trillion in obligations.
[1:38:03.000 --> 1:38:06.000]  And so they're devaluing the dollar.
[1:38:06.000 --> 1:38:08.000]  That means your IRAs.
[1:38:08.000 --> 1:38:09.000]  That means your bank accounts.
[1:38:09.000 --> 1:38:11.000]  That means your investments.
[1:38:11.000 --> 1:38:13.000]  I mean, we've already had incredible inflation.
[1:38:13.000 --> 1:38:19.000]  A Mustang that was $15,000 in 1995 is what, $35,000?
[1:38:19.000 --> 1:38:24.000]  Gasoline that was $1.25 six, seven years ago is now $3.50.
[1:38:24.000 --> 1:38:26.000]  You think that's cheap?
[1:38:26.000 --> 1:38:29.000]  Milk that was $1 for a carton is now $3.45.
[1:38:29.000 --> 1:38:34.000]  Eggs that were $0.30, $0.40 for a dozen are now $2.
[1:38:34.000 --> 1:38:38.000]  The CPI, they claim it's only 6.5%.
[1:38:38.000 --> 1:38:43.000]  Real inflation, the big banks and brokers firms put out is more like 14%,
[1:38:43.000 --> 1:38:46.000]  and it's going to be more like 25% by next year.
[1:38:46.000 --> 1:38:48.000]  And that's compounded in the last seven years.
[1:38:48.000 --> 1:38:56.000]  At least 50% of buying power has been lost by people on fixed incomes.
[1:38:56.000 --> 1:38:58.000]  Close to 30% has been lost.
[1:38:58.000 --> 1:39:04.000]  If you believe the baloney, government numbers on inflation,
[1:39:04.000 --> 1:39:06.000]  which you know are a lie, you can go into hell.
[1:39:06.000 --> 1:39:07.000]  That's all fraud.
[1:39:07.000 --> 1:39:09.000]  So I'm going to take your phone calls now on this,
[1:39:09.000 --> 1:39:11.000]  and there are going to be more bailouts.
[1:39:11.000 --> 1:39:13.000]  They're already saying, oh, it didn't help enough.
[1:39:13.000 --> 1:39:16.000]  Warren Buffett says, we need more, and he's bought into the very banks
[1:39:16.000 --> 1:39:18.000]  that are the select banks that will get the money.
[1:39:18.000 --> 1:39:22.000]  And they can do whatever they want with your money in private institutions,
[1:39:22.000 --> 1:39:25.000]  and it's no conflict of interest as hundreds of billions of dollars are given
[1:39:25.000 --> 1:39:29.000]  to Goldman Sachs, which Henry Paulson still owns massive stock in,
[1:39:29.000 --> 1:39:31.000]  which Henry Paulson headed up just a few years ago.
[1:39:31.000 --> 1:39:33.000]  And I could go on and on and on.
[1:39:33.000 --> 1:39:36.000]  The immunity, the conflicts of interest, the corruption,
[1:39:36.000 --> 1:39:38.000]  and it's really all even in the mainstream news.
[1:39:38.000 --> 1:39:39.000]  It's not even hidden.
[1:39:39.000 --> 1:39:42.000]  So you got suckered and, well, the public didn't get suckered.
[1:39:42.000 --> 1:39:45.000]  The establishment tried to sucker the public and said it'll fix everything,
[1:39:45.000 --> 1:39:48.000]  but then after they said, actually, it's not really going to help.
[1:39:48.000 --> 1:39:51.000]  I shouldn't say the public got suckered as the public didn't get suckered.
[1:39:51.000 --> 1:39:54.000]  And so the public's going to get madder and madder as the economy falls apart
[1:39:54.000 --> 1:39:56.000]  more and more as Main Street implodes.
[1:39:56.000 --> 1:39:58.000]  There's no money for Main Street, no money for the economy.
[1:39:58.000 --> 1:40:01.000]  We're going to have socialism as will be for the people.
[1:40:01.000 --> 1:40:05.000]  No, it all goes directly to foreign international banks.
[1:40:05.000 --> 1:40:09.000]  The federal reserve is predominantly owned by the Queen of England and Rothschilds.
[1:40:09.000 --> 1:40:12.000]  All right, let's go to Brandon in South Carolina.
[1:40:12.000 --> 1:40:14.000]  Then we're going to really come back and try to go faster your calls.
[1:40:14.000 --> 1:40:15.000]  Brandon, go ahead.
[1:40:15.000 --> 1:40:16.000]  You're on the air.
[1:40:16.000 --> 1:40:17.000]  Hey, Alex, how are you doing?
[1:40:17.000 --> 1:40:18.000]  Good.
[1:40:18.000 --> 1:40:23.000]  I just wanted to bring up the point that, you know, I mean,
[1:40:23.000 --> 1:40:29.000]  we all know the government corrupt and all this stuff, but I mean,
[1:40:29.000 --> 1:40:33.000]  and I do believe in the New World Order and I do believe in all the corrupt things
[1:40:33.000 --> 1:40:38.000]  that are happening, but I mean, it's the American people that are feeding this, you know?
[1:40:38.000 --> 1:40:41.000]  No, the American people did not vote for this.
[1:40:41.000 --> 1:40:42.000]  I didn't know.
[1:40:42.000 --> 1:40:43.000]  That's not what I'm saying.
[1:40:43.000 --> 1:40:45.000]  You're getting me wrong.
[1:40:45.000 --> 1:40:46.000]  No, you're right.
[1:40:46.000 --> 1:40:50.000]  It's because we've been corrupt and evil and denied reality that the evil's gotten so bad.
[1:40:50.000 --> 1:40:51.000]  That's right.
[1:40:51.000 --> 1:40:52.000]  That's right.
[1:40:52.000 --> 1:40:56.000]  But what I'm saying is, it's our hunger for the oil.
[1:40:56.000 --> 1:41:04.000]  It's our, you know, not being able to work and have a decent paying job.
[1:41:04.000 --> 1:41:08.000]  Well, that's a small part of it and the New World Order took advantage of our laziness,
[1:41:08.000 --> 1:41:11.000]  but we have enough oil and fuel to run our own country, sir.
[1:41:11.000 --> 1:41:12.000]  Right.
[1:41:12.000 --> 1:41:16.000]  It's because of oligopolies and a cartel.
[1:41:16.000 --> 1:41:21.000]  Look, they drill oil and gas wells and cap them, sir.
[1:41:21.000 --> 1:41:27.000]  Well, you may be right, but what I'm saying is, if we're going to really change the country,
[1:41:27.000 --> 1:41:32.000]  we really need to give back the basics and figure out what it is that we really want.
[1:41:32.000 --> 1:41:34.000]  Listen, I totally agree with you.
[1:41:34.000 --> 1:41:41.000]  And, you know, I mean, what we put our emphasis on, such as, you know, having a job that's
[1:41:41.000 --> 1:41:45.000]  30 miles away from your home, it's just not feasible.
[1:41:45.000 --> 1:41:48.000]  Well, listen, they made this country based on the automobile.
[1:41:48.000 --> 1:41:50.000]  And before that, the railways.
[1:41:50.000 --> 1:41:52.000]  And it's good to have the population spread out.
[1:41:52.000 --> 1:41:56.000]  It's diverse and it makes us have a strong economy, but they based it on petroleum.
[1:41:56.000 --> 1:41:58.000]  Then they started restricting the petroleum.
[1:41:58.000 --> 1:42:01.000]  And because of dollar devaluation, oil has cost more.
[1:42:01.000 --> 1:42:05.000]  Oil really hasn't gone up.
[1:42:05.000 --> 1:42:06.000]  Okay.
[1:42:06.000 --> 1:42:09.000]  Foreigners that paid a little bit more for oil and gas the last five years.
[1:42:09.000 --> 1:42:13.000]  It was because of speculation, but that was only the top 30% of the increase.
[1:42:13.000 --> 1:42:19.000]  70% or more of oil price increase was because of dollar devaluation.
[1:42:19.000 --> 1:42:24.000]  We'll be back in just a few minutes and go to David, Keith, Forrest, Dave, Mike.
[1:42:24.000 --> 1:42:26.000]  I'm going to get to everybody.
[1:42:26.000 --> 1:42:29.000]  Looks like Forrest has been holding longer than what I see on the screen.
[1:42:29.000 --> 1:42:31.000]  I'm going to go to him a little bit earlier, too.
[1:42:31.000 --> 1:42:33.000]  We'll be right back with the final segment.
[1:42:33.000 --> 1:42:34.000]  I'll blitz through your calls.
[1:42:34.000 --> 1:42:38.000]  Another big piece of baloney I've been hearing is that, well, we don't have the bankers
[1:42:38.000 --> 1:42:39.000]  holding money.
[1:42:39.000 --> 1:42:40.000]  That pays the paycheck.
[1:42:40.000 --> 1:42:42.000]  Yeah, and a debtor economy.
[1:42:42.000 --> 1:42:45.000]  We have a higher debt ratio than they did during the Great Depression.
[1:42:45.000 --> 1:42:47.000]  We have a negative savings in this country.
[1:42:47.000 --> 1:42:48.000]  They set us up.
[1:42:48.000 --> 1:42:52.000]  We'll be right back.
[1:42:52.000 --> 1:42:55.000]  They say you can't predict the stock market.
[1:42:55.000 --> 1:42:58.000]  If you trade on a regular basis, you've probably heard that lie.
[1:42:58.000 --> 1:43:02.000]  But what if I told you there's a way to know which way the market will go each week
[1:43:02.000 --> 1:43:04.000]  a whole week in advance?
[1:43:04.000 --> 1:43:07.000]  Do you think you could benefit from this kind of information?
[1:43:07.000 --> 1:43:11.000]  The guys over at eminiforecaster.com put out a weekly forecast line.
[1:43:11.000 --> 1:43:15.000]  They call it a G-line, which forecasts the direction of the stock market
[1:43:15.000 --> 1:43:17.000]  a whole week in advance.
[1:43:17.000 --> 1:43:18.000]  Is that possible?
[1:43:18.000 --> 1:43:23.000]  Head over to eminiforecaster.com and check out their forecast history to see for yourself.
[1:43:23.000 --> 1:43:27.000]  Eminiforecaster.com predicts the market one whole week in advance.
[1:43:27.000 --> 1:43:31.000]  It's simple to use and can give you the market edge you've been looking for.
[1:43:31.000 --> 1:43:36.000]  If you're an active trader in the markets, go directly to eminiforecaster.com.
[1:43:36.000 --> 1:43:40.000]  That's E-M-I-N-I forecaster.com right now for more information.
[1:43:40.000 --> 1:43:45.000]  Again, that's E-M-I-N-I forecaster.com.
[1:43:45.000 --> 1:43:50.000]  This is Rob at eminiforecaster.com and I approve this message.
[1:44:16.000 --> 1:44:20.000]  Find surplus items for cheap now, like 30 caliber cleaning kit for just $2.99 a piece
[1:44:20.000 --> 1:44:22.000]  or a dozen for $30.
[1:44:22.000 --> 1:44:24.000]  Flare pistols are only $25.
[1:44:24.000 --> 1:44:27.000]  Want to add a brand new Israeli gas mask to your collection?
[1:44:27.000 --> 1:44:29.000]  Kids in adult sizes are just $20.
[1:44:29.000 --> 1:44:33.000]  Get G3 mags for just $2 or a military fuel can for only $16.
[1:44:33.000 --> 1:44:35.000]  Add this iPhone hose for another $7.99.
[1:44:35.000 --> 1:44:38.000]  Find it all online at mainmilitary.com.
