[00:00:25.865 --> 00:00:26.705]  The year is 2020.
[01:10:10.445 --> 01:10:15.168]  Will Trump be arrested as Biden gets sworn in as president?
[01:10:15.168 --> 01:10:17.951]  They say, imagine the scene come the 20th of January.
[01:10:17.951 --> 01:10:23.215]  It's a frigid day in Washington, both inside and outside the White House and Capitol.
[01:10:23.215 --> 01:10:24.536]  And throughout this story, they are
[01:10:25.639 --> 01:10:33.567]  They are writing a fantasy story about Donald Trump being arrested, but saying this is exactly what could actually happen.
[01:10:33.567 --> 01:10:37.111]  They say, you know, Joe Biden is there being inaugurated.
[01:10:37.111 --> 01:10:38.492]  Trump isn't at the inauguration.
[01:10:38.492 --> 01:10:42.376]  He's flying off to Florida to start his new life as a citizen.
[01:10:42.376 --> 01:10:49.703]  They say once Trump and Melania walk down the mobile stairs off of Air Force One, or what would then be Executive One, since he would no longer be the president,
[01:10:50.973 --> 01:10:56.744]  As Trump and Melania walk down the mobile stairs and onto the Florida soil to begin the next phase of their lives, there's confusion.
[01:10:56.744 --> 01:10:58.868]  Where will the questioning take place?
[01:11:00.566 --> 01:11:18.396]  After a heated scuffle caught on camera by tens of local, national, international media outlets on hand at Palm Beach International Airport to chronicle his return to civilian life, the FBI team and the Secret Service detail agree he'll ride in the USS Suburban with the federal agent's vehicles falling in behind in a mixed motorcade.
[01:11:18.396 --> 01:11:24.239]  Imagine the split screens on television across the country and the world on one side, a smiling and ebullient
[01:11:24.719 --> 01:11:26.641]  Joseph Robinette Biden Jr.
[01:11:26.641 --> 01:11:31.085]  He's waving to supporters as he prepares to enter the Oval Office as president for the first time.
[01:11:31.085 --> 01:11:43.537]  On the other, a dour-faced and angry Donald John Trump is seen tapping on his iPhone and then yelling at someone unlucky enough to be on the other side of his first phone call as an official federal criminal suspect.
[01:11:45.859 --> 01:11:46.979]  Absolutely incredible.
[01:11:46.979 --> 01:11:47.799]  I mean, it's a fantasy.
[01:11:47.799 --> 01:11:51.480]  I mean, you can see the person drooling out of their mouth while they write this.
[01:11:51.480 --> 01:11:57.062]  I mean, this is their fantasy that they're portraying, but this is based on real cases.
[01:11:57.062 --> 01:11:58.722]  This is based on a reality.
[01:11:58.722 --> 01:12:08.624]  This is based on Alexandria Ocasio-Cortez and several other members of the United States government saying, we must prosecute Trump and his supporters the minute he's out of office.
[01:12:08.624 --> 01:12:11.725]  So I hope Republicans understand the threat that they are under.
[01:12:12.864 --> 01:12:15.127]  I hope Trump understands the threat that he's under.
[01:12:15.127 --> 01:12:17.429]  That this will not just go away.
[01:12:17.429 --> 01:12:24.958]  That once the election is over, if Joe Biden gets into office, which I think is increasingly rare, the likelihood that that would happen.
[01:12:25.967 --> 01:12:30.389]  But if that does take place, they're going to come after you with everything they can.
[01:12:30.389 --> 01:12:33.951]  And for the American people out there, don't think you're going to get off the hook.
[01:12:33.951 --> 01:12:38.633]  Don't think you're going to be let off for supporting the person that they've determined is a criminal.
[01:12:38.633 --> 01:12:47.798]  So right now, there are at least 12 federal and state investigations into Trump, his 2016 campaign, and his business dealings according to a list compiled by the New York Times.
[01:12:48.798 --> 01:12:49.899]  Our country is dead.
[01:12:49.899 --> 01:12:51.360]  I hope everybody realizes that.
[01:12:51.360 --> 01:12:57.445]  The idea of a free and fair republic based on a constitution is over.
[01:12:57.445 --> 01:13:02.389]  They're openly talking about political prosecutions, persecutions.
[01:13:02.389 --> 01:13:11.156]  They're going to use every ounce of power that they're granted by their sheep-like, zombie, zombified followers
[01:13:12.093 --> 01:13:20.735]  Who vote for these people for God knows what reason, they're going to use every ounce of power that they're given to target us with everything that they've got.
[01:13:20.735 --> 01:13:24.996]  Anybody that ever supported Trump, anybody that looks like Trump, anybody that Trump's ever had business with.
[01:13:24.996 --> 01:13:37.000]  By the way, I don't know if you remember this, again, we're going back into the past, which is so difficult to do these days, with the media lying and obfuscating everything that has come before, in true 1984 style.
[01:13:40.711 --> 01:13:42.632]  Four years of investigation.
[01:13:42.632 --> 01:13:55.561]  Two years of unregulated, unlimited, $50 million of investigation into Trump and everybody who ever talked to anybody that ever talked to Trump, we've had these investigations.
[01:13:55.561 --> 01:13:56.262]  That's not enough.
[01:13:56.262 --> 01:13:57.983]  They're going to find something.
[01:13:57.983 --> 01:14:02.066]  They're going to go in there and find something to try to pin on Donald Trump.
[01:14:02.066 --> 01:14:07.029]  And the minute he's out of office, they're going to try to throw him in jail.
[01:14:07.029 --> 01:14:08.330]  So this is where we are as a country.
[01:14:10.776 --> 01:14:12.120]  Things are not normal anymore.
[01:14:12.120 --> 01:14:14.548]  And it's not us that made it that way.
[01:14:14.548 --> 01:14:15.811]  I want to make that perfectly clear.
[01:14:15.811 --> 01:14:17.998]  And of course you had that...
[01:14:19.494 --> 01:14:27.077]  A congresswoman, I guess, from, uh, I think Milwaukee, come out and say, you know, the soldiers, her soldiers need to make Trump supporters pay.
[01:14:27.077 --> 01:14:32.699]  Just the latest in a long line of thinly veiled threats at Trump supporters.
[01:14:32.699 --> 01:14:41.722]  This guy named Tom Elliott tried to post that video showing that threat, showing her making threats to Trump supporters on a political basis.
[01:14:41.722 --> 01:14:44.603]  Something that should be treated as treason and should be punished accordingly.
[01:14:45.543 --> 01:14:50.204]  But he says YouTube doesn't want people knowing about Democratic lawmakers threatening the lives of Trump voters.
[01:14:50.204 --> 01:14:51.585]  Not newsworthy, I guess.
[01:14:51.585 --> 01:15:01.808]  And he posts a screenshot of a message from YouTube to him saying, hi, our team has reviewed your content and unfortunately we think it violates our violent criminal organizations policy.
[01:15:01.808 --> 01:15:04.128]  We've removed the following content from YouTube.
[01:15:04.128 --> 01:15:08.089]  The video was, quote, make them pay Michigan Democratic State Rep.
[01:15:08.089 --> 01:15:09.790]  Cynthia Jones threatens Trump supporters.
[01:15:10.430 --> 01:15:19.935]  So they can make threats to you, they can call their supporters out to punish you for your political beliefs, try to post evidence of that, and YouTube will take it down.
[01:15:19.935 --> 01:15:25.338]  I don't know if YouTube is calling the Democratic Party a violent criminal organization, but I think that would be giving them too much credit.
[01:15:25.618 --> 01:15:25.978]  I don't think so.
[01:15:45.912 --> 01:15:49.674]  I mean, even during the Civil War, weren't people a little bit smarter than this?
[01:15:49.674 --> 01:15:54.476]  Were there really these types of open threats to imprison the sitting president?
[01:15:54.476 --> 01:15:57.617]  Trump, if he knows what's good for him, he'll never leave that office.
[01:15:57.617 --> 01:16:01.459]  Cognitive dissonance is a major issue amongst the left.
[01:16:01.459 --> 01:16:05.781]  It can be very stressful dealing with facts you refuse to accept.
[01:16:05.781 --> 01:16:14.285]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[01:16:14.645 --> 01:16:31.250]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[01:16:31.250 --> 01:16:42.294]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[01:16:42.794 --> 01:16:51.281]  It worked for my family, and now I can have a logical and calm discussion about actual facts that pertain to reality.
[01:16:51.281 --> 01:16:56.826]  Get your ultimate fish oil for a friend, family member, or yourself at InfoWarsStore.com.
[01:17:01.670 --> 01:17:04.032]  Other dictionaries have similar ones.
[01:17:04.032 --> 01:17:11.676]  Terrorism is the threat of force or actually carrying out force for a political or financial reason.
[01:17:11.676 --> 01:17:15.558]  It's basically scaring the hell out of people until you submit to them.
[01:17:15.558 --> 01:17:19.041]  That's exactly what all this overblown COVID-19 garbage is.
[01:17:19.041 --> 01:17:21.462]  You see the headlines from CNN, ABC News.
[01:17:21.462 --> 01:17:23.864]  Doctors say it's worse than they ever thought.
[01:17:23.864 --> 01:17:25.685]  COVID more devastating than you'd ever imagine.
[01:17:26.425 --> 01:17:32.687]  They told us that two and a half million people would be dead just eight months ago, within three months.
[01:17:32.687 --> 01:17:33.607]  Okay?
[01:17:33.607 --> 01:17:38.189]  It's a quarter million if you count all of the people that died of other things.
[01:17:38.189 --> 01:17:40.490]  We're talking 96% had comorbidity.
[01:17:40.490 --> 01:17:41.310]  These are real numbers.
[01:17:41.310 --> 01:17:42.570]  These are real facts.
[01:17:42.570 --> 01:17:49.973]  This is the chicken little event where we all run in our houses, never come out, and are taught we're not essential, while the big box stores and Amazon take over the planet.
[01:17:50.453 --> 01:17:51.256]  Rebuke it.
[01:17:51.256 --> 01:17:52.440]  Stand up against it.
[01:17:52.440 --> 01:17:54.206]  This is slavery.
[01:17:54.206 --> 01:17:56.414]  It is not something you can put up with and survive.
[01:17:58.519 --> 01:18:03.600]  Just in time for Christmas, a lot of our best-selling products are back in stock.
[01:18:03.600 --> 01:18:08.282]  The Privacy Pockets are back in stock and massively discounted at $19.95.
[01:18:08.282 --> 01:18:10.322]  A great stocking stuffer, a great gift.
[01:18:10.322 --> 01:18:13.283]  Alpha Power sold out for a year because of the lockdown.
[01:18:13.283 --> 01:18:15.744]  A lot of the key patented ingredients weren't available.
[01:18:15.744 --> 01:18:17.664]  It is now back in stock.
[01:18:17.664 --> 01:18:24.446]  Another great product that's been selling out because people realize it's got so many great vitamins and minerals and saw palmetto is Prostagart.
[01:18:25.206 --> 01:18:28.609]  It's good for not just men, but it's good for women's clans as well.
[01:18:28.609 --> 01:18:29.369]  Check it out.
[01:18:29.369 --> 01:18:32.071]  They're all massively discounted at InfoWarsTore.com.
[01:18:32.071 --> 01:18:37.315]  And of course, some of the big ones are X2 and X3, the pure, clean iodines that are so essential.
[01:18:37.315 --> 01:18:38.976]  So many people are deficient in iodine.
[01:18:38.976 --> 01:18:42.278]  It's essential to your immune system and so much more.
[01:18:42.278 --> 01:18:43.659]  InfoWarsTore.com.
[01:18:43.659 --> 01:18:46.201]  All of these products are discounted from $30 to
[01:18:48.263 --> 01:18:49.664]  60% off and free shipping.
[01:18:49.664 --> 01:18:51.106]  Get your orders in by the 18th.
[01:18:51.106 --> 01:18:52.608]  You'll get them before Christmas.
[01:18:52.608 --> 01:18:55.331]  Infowarsstore.com.
[01:18:55.331 --> 01:18:56.772]  Infowarsstore.com.
[01:18:56.772 --> 01:18:57.774]  Thank you so much for your support.
[01:18:59.019 --> 01:19:03.643]  Our entire modern system has been built to track and trace us.
[01:19:03.643 --> 01:19:07.365]  Not because we're doing anything wrong, but so we can be socially engineered and controlled.
[01:19:07.365 --> 01:19:09.407]  And now, that's out in the open.
[01:19:09.407 --> 01:19:15.952]  One way to take back a lot of your power is to put your so-called smartphone in a privacy pocket when you're not using it that way.
[01:19:15.952 --> 01:19:24.158]  Hackers, Bill and Melinda Gates, and the Clintons, contact tracers, and all these big corporations that are setting up this tracking and control grid in the name of fighting COVID.
[01:19:24.158 --> 01:19:25.659]  They admit their internal documents are truly about
[01:19:25.939 --> 01:19:30.381]  A taxless society control system don't have that power over you.
[01:19:30.381 --> 01:19:32.421]  They protect their locations.
[01:19:32.421 --> 01:19:34.642]  They protect where they're going and what they're doing.
[01:19:34.642 --> 01:19:35.623]  I can tell you.
[01:19:35.623 --> 01:19:39.344]  I was the first person 20 years ago who said, cover up the cameras on your computer.
[01:19:39.344 --> 01:19:42.505]  And now, of course, Bill Gates and all of them admit they're doing that.
[01:19:42.505 --> 01:19:43.346]  Mark Zuckerberg.
[01:19:43.346 --> 01:19:44.746]  So get your privacy pockets.
[01:19:44.746 --> 01:19:46.547]  They make great stocking stuffers and great gifts.
[01:19:46.547 --> 01:19:47.827]  They've been sold out for months.
[01:19:47.827 --> 01:19:48.928]  They're little Faraday cages.
[01:19:48.928 --> 01:19:50.028]  They're only $19.95.
[01:19:50.028 --> 01:19:52.189]  And they're back in stock at InfoWareStore.com.
[01:19:52.629 --> 01:20:00.639]  Give the gift of privacy and security and safety with Privacy Pockets at Inforrestore.com.
[01:20:00.639 --> 01:20:03.283]  You're listening to the Alex Jones Show.
[01:20:11.357 --> 01:20:13.058]  Big Brother.
[01:20:13.058 --> 01:20:15.379]  Mainstream media.
[01:20:15.379 --> 01:20:17.179]  Government cover-ups.
[01:20:17.179 --> 01:20:19.260]  You want to stop tyranny?
[01:20:19.260 --> 01:20:21.381]  Well, so does he.
[01:20:21.381 --> 01:20:27.023]  Live from the InfoWars.com studios, it's Alex Jones.
[01:20:27.023 --> 01:20:31.364]  Harrison Smith sitting in for Alex Jones as he's in Washington D.C.
[01:20:31.364 --> 01:20:33.965]  spearheading the movement and the march.
[01:20:33.965 --> 01:20:37.847]  Quite literally spearheading the march to save this republic.
[01:20:38.752 --> 01:20:42.515]  Truly heroic stuff going on across the nation right now.
[01:20:42.515 --> 01:20:46.037]  Very, very honored to be sitting in this chair and sharing this news with you.
[01:20:46.037 --> 01:20:54.102]  Of course, the main story of the day, the big story of the day is these leaked files exposing mass infiltration of firms all over the world by the Chinese Communist Party.
[01:20:54.102 --> 01:20:55.143]  And we'll get to that.
[01:20:55.143 --> 01:21:06.711]  We're taking a meandering path here because, as I said in the last segment, all of these different topics, all these different categories are all very intricately intertwined.
[01:21:06.711 --> 01:21:08.212]  So, of course, we start with the idea that
[01:21:09.052 --> 01:21:10.613]  Joe Biden is actually the president-elect.
[01:21:10.613 --> 01:21:12.194]  Well, he's not.
[01:21:12.194 --> 01:21:14.095]  Those votes will be cast actually tomorrow.
[01:21:14.095 --> 01:21:21.500]  The 14th of December will be when the electoral votes are actually cast, but it's not until the 6th of January that those are counted.
[01:21:21.500 --> 01:21:27.144]  In the meantime, there are multiple court cases, including that Texas Supreme Court case being refiled.
[01:21:27.144 --> 01:21:32.767]  There's a movement that can be made with Mike Pence as vice president choosing to throw out contested votes.
[01:21:32.767 --> 01:21:36.410]  There's lots of paths to victory yet available, including
[01:21:37.270 --> 01:21:53.383]  And the sort of last resort path, the pulling the pin on the grenade path of martial law, which at the greatest reach is necessary.
[01:21:53.383 --> 01:21:54.904]  And hopefully it doesn't get to that.
[01:21:54.904 --> 01:21:59.628]  Pray to God that it doesn't actually have to come to that, that some of these Republicans and some of the state houses
[01:22:00.834 --> 01:22:06.879]  Realize what's happening, realize the danger that they're in, that the country is literally on the verge of total destruction.
[01:22:06.879 --> 01:22:19.109]  They actually look at what Joe Biden is planning on doing once he's in office and hopefully they'll put a stop to the blatant and outrageous theft of the election that we've seen go on even before November 4th in the lead up to it.
[01:22:19.109 --> 01:22:21.992]  The just innumerable number of
[01:22:23.146 --> 01:22:26.428]  Stories coming out about mail-in balloting.
[01:22:26.428 --> 01:22:34.552]  But if all of that fails, then at least we have that final stopgap measure of martial law, and hopefully we don't have to get there.
[01:22:34.552 --> 01:22:37.854]  But frankly, it could be worse.
[01:22:37.854 --> 01:22:38.414]  It could be worse.
[01:22:38.414 --> 01:22:40.716]  We could be taken over by Chinese communists.
[01:22:40.716 --> 01:22:45.358]  We could be completely usurped by globalist slave masters.
[01:22:45.358 --> 01:22:48.360]  So, martial law, a little bit preferable to that in my personal opinion.
[01:22:49.704 --> 01:22:55.566]  So we start with the contested election, and we go on to see what Joe Biden is saying.
[01:22:55.566 --> 01:22:59.147]  Of course, he wants unity, by which he means subjugation.
[01:22:59.147 --> 01:23:05.929]  He wants togetherness, by which he means bend the knee, shut up, and let us abuse you without speaking out too much.
[01:23:05.929 --> 01:23:11.290]  And of course, he posts pictures of his dogs tearing apart a Trump doll.
[01:23:11.290 --> 01:23:17.212]  You have this Michigan lawmaker threatening the lives of Trump supporters.
[01:23:18.223 --> 01:23:32.138]  And then you have somebody trying to post that on YouTube, trying to make awareness of the fact that Democrats are complete hypocrites, total liars, and dangerously pushing us towards civil war as they refuse to behave in any sort of civilized manner whatsoever.
[01:23:33.117 --> 01:23:43.947]  He tries to post this video, this guy known on YouTube as Grabian, and YouTube says, no, no, no, you can't put videos of Democrats threatening Trump supporters.
[01:23:43.947 --> 01:23:46.710]  No, no, that's a violation of our terms of service.
[01:23:46.710 --> 01:23:50.213]  Yes, yet another example of this big tech censorship.
[01:23:50.213 --> 01:23:57.320]  Another rather outrageous overreach of the big tech ability to silence everyone and anyone who opposes their
[01:23:58.655 --> 01:24:24.740]  Insidious plans Twitter briefly limits users interact interacting with Trump tweets about stolen election so Trump came out and said he believes that the election was stolen from him and Twitter didn't let users like or retweet those assertions and you also really have to pay attention to this because Anytime you see one of these little labels under one of Trump's tweets or anybody's tweet a lot of times it's under a tweet of
[01:24:26.158 --> 01:24:27.419]  An opinion.
[01:24:27.419 --> 01:24:31.743]  And you have to understand, that's what censorship is.
[01:24:31.743 --> 01:24:34.085]  It's not just about, there you go, most corrupt election in U.S.
[01:24:34.085 --> 01:24:34.426]  history.
[01:24:34.426 --> 01:24:36.448]  The claim about election fraud is disputed.
[01:24:36.448 --> 01:24:39.270]  See, this is where their power levels are now.
[01:24:39.270 --> 01:24:41.072]  Right now, they can put a little label on it.
[01:24:41.072 --> 01:24:43.314]  They're scared to go any farther than that.
[01:24:43.314 --> 01:24:50.581]  Give them institutional power, elect them into office, and that same standard of fact-checking will be applied to your opinions.
[01:24:51.161 --> 01:24:52.302]  This is what you need to understand.
[01:24:52.302 --> 01:24:55.345]  It has nothing to do with so-called fact-checking.
[01:24:55.345 --> 01:25:02.693]  Just like YouTube didn't remove that video because it showed violence, you know, criminalized, organized violence.
[01:25:02.693 --> 01:25:05.616]  It didn't show that, but that was the excuse they used to bring it down.
[01:25:05.616 --> 01:25:13.704]  And so, when these people get the power that they want, if they're allowed to achieve the heights of control that they're reaching for,
[01:25:14.545 --> 01:25:16.666]  They will use that same standard.
[01:25:16.666 --> 01:25:17.867]  So you have to understand this.
[01:25:17.867 --> 01:25:20.289]  It won't matter if it's factual or not.
[01:25:20.289 --> 01:25:22.130]  It will matter whether it serves them or not.
[01:25:22.130 --> 01:25:25.592]  It can be your opinion, they'll say that's false, and they'll censor you for it.
[01:25:25.592 --> 01:25:37.959]  Right now they're doing it on Twitter, but give them institutional power, give them total control of the government, give them what they want, and they'll use that same standard to destroy every aspect of your speech.
[01:25:37.959 --> 01:25:38.900]  So it's worth paying attention to.
[01:25:39.861 --> 01:25:44.165]  YouTube's also removing videos about questioning Biden's election victory.
[01:25:44.165 --> 01:25:49.790]  Google-owned video platform YouTube has announced plans to remove any content that questions Joe Biden's victory in the 2020 U.S.
[01:25:49.790 --> 01:25:54.675]  presidential election, despite the fact that legal challenges involving multiple states continue.
[01:25:54.675 --> 01:26:00.501]  YouTube also announced it will be promoting authoritative news sources such as NBC and CBS in video recommendations.
[01:26:00.501 --> 01:26:04.064]  Not new, but definitely an escalation of their previous practices.
[01:26:04.064 --> 01:26:04.885]  I think that's obvious.
[01:26:06.340 --> 01:26:07.241]  But it's truly incredible.
[01:26:07.241 --> 01:26:18.567]  And, you know, it happened with Kyle Rittenhouse, it happened with several other situations where you have arguments being made, sometimes being made in front of the Senate, sometimes being made in courthouses.
[01:26:18.567 --> 01:26:23.891]  If you can make an argument in a court, if you can make an argument in front of the Senate, but that same argument
[01:26:24.730 --> 01:26:33.572]  gets deleted from major free speech platforms, major platforms like YouTube and Twitter and Facebook, they are superseding the American government.
[01:26:33.572 --> 01:26:49.396]  And of course the people they adhere to, the people they bow to, are not elected, they're not responsible to a public that they serve, they're completely independent, their ambitions are their own, the reasons they do things are completely on their own, and you don't have a say over that.
[01:26:49.396 --> 01:26:51.537]  But they, in many ways, supersede the court
[01:26:52.697 --> 01:26:57.079]  Supersede any sort of national safeguards that we have.
[01:26:57.079 --> 01:26:59.840]  And so this brings us to sort of back around.
[01:26:59.840 --> 01:27:09.304]  And again, we're all we're sort of in a big Venn diagram of the Biden election, the Biden presidency, the stolen election, China, big tech.
[01:27:09.304 --> 01:27:10.384]  And we're here right in the middle.
[01:27:12.245 --> 01:27:15.006]  At the intersection of hypocrisy, okay?
[01:27:15.006 --> 01:27:18.928]  Biden transition quietly brings on Facebook and Google employees.
[01:27:18.928 --> 01:27:25.930]  When the Biden transition team released the names of hundreds of personnel on November 10th, there were zero current Facebook or Google employees among them.
[01:27:25.930 --> 01:27:26.651]  That's changed.
[01:27:26.651 --> 01:27:34.394]  The transition website quietly added four Facebook and Google employees to his agency review team on or close to Thanksgiving.
[01:27:35.094 --> 01:27:40.616]  Zayed Zayed, a Facebook Public Policy official, joined the State Department and International Development teams.
[01:27:40.616 --> 01:27:44.718]  Christopher Upperman, a Facebook Manager, was added to the Small Business Administration team.
[01:27:44.718 --> 01:27:51.240]  Rachel Lieber, a Facebook Director and Associate General Counsel, now sits on the Intelligence Community team.
[01:27:51.240 --> 01:27:53.641]  Dion Scott, a Google Programmer and Manager,
[01:27:54.501 --> 01:27:55.522]  We're good to go.
[01:28:12.762 --> 01:28:18.883]  Long story short, there is massive overlap between Big Tech and the incoming Biden administration.
[01:28:18.883 --> 01:28:25.225]  The administration, and when I say things like incoming Biden administration, just know there's sarcastic quotes around that.
[01:28:25.225 --> 01:28:26.885]  Please put those in yourself.
[01:28:26.885 --> 01:28:28.225]  Add those in yourself.
[01:28:28.225 --> 01:28:35.127]  Massive overlap to the administration that they have censored to bring about, which they have
[01:28:36.152 --> 01:28:42.358]  Destroyed free speech to bring about that they have covered up stories to bring about this supposed Biden administration.
[01:28:42.358 --> 01:28:43.599]  And now they're being rewarded.
[01:28:43.599 --> 01:28:46.522]  Now the crossover is becoming more obvious.
[01:28:46.522 --> 01:28:47.723]  Now they think they've won.
[01:28:47.723 --> 01:28:51.927]  So they're coming out in the open and saying, we're doing this and there's nothing you can do to stop it.
[01:28:51.927 --> 01:28:55.150]  And it gets far, far more deep than that.
[01:28:55.150 --> 01:28:56.372]  And yes, it does connect to China.
[01:28:57.506 --> 01:29:11.515]  The Pope came out yesterday and announced a global government corporate alliance to redistribute wealth, create a planetary universal income, which of course the United Nations and global corporations will control through the apps on your phone, and finally a chip under your skin.
[01:29:11.515 --> 01:29:17.399]  It's all now completely official, part of the UN Great Reset of the Davos Group.
[01:29:17.399 --> 01:29:23.683]  And Klaus Schwab, all officially written about in hundreds of books by Schwab and Rockefeller Foundation, all the rest of them,
[01:29:23.863 --> 01:29:26.205]  Agenda 21, Agenda 2030, it's here.
[01:29:26.205 --> 01:29:31.609]  And only gets worse, like being fed into a wood chipper, or a meat grinder, until you reject it all.
[01:29:33.402 --> 01:29:39.723]  And the rejection starts with realizing it's a spiritual battle, good versus evil, and stopping abortion.
[01:29:39.723 --> 01:29:41.904]  We must start valuing human life again.
[01:29:41.904 --> 01:29:48.806]  We must start saying that we are not expendable, that we are not disposable, that we are essential.
[01:29:48.806 --> 01:29:51.566]  Until we do that, we are all slaves.
[01:29:51.566 --> 01:29:54.947]  We must stand up and declare our basic God-given human rights now.
[01:29:58.877 --> 01:29:59.277]  The U.S.
[01:29:59.277 --> 01:30:09.622]  Postal Service tells InfoWars that as long as you get your order in by December 18th, and we're able to ship it out by that date, you will get it anywhere in the United States before Christmas.
[01:30:09.622 --> 01:30:10.783]  But listen, don't wait.
[01:30:10.783 --> 01:30:13.124]  Do your shopping at InfoWarsStore.com.
[01:30:13.124 --> 01:30:16.145]  Get great products and fund the InfoWars.
[01:30:16.145 --> 01:30:20.347]  Now at the most critical time, not just in InfoWars history, but this country's history.
[01:30:20.347 --> 01:30:21.808]  You have invested in InfoWars.
[01:30:22.168 --> 01:30:30.937]  You've prayed for us, you've spread the word, you've bought the products, and you've gotten the benefits of the information warfare, of the truth, in the fight against the globalists.
[01:30:30.937 --> 01:30:39.386]  But now is the time to redouble all our efforts in praying for a Great Awakening, which is starting to happen, and spreading the word about it, fullwars.com, newswars.com.
[01:30:40.467 --> 01:30:41.127]  We're good to go.
[01:31:04.935 --> 01:31:07.117]  It is pure turmeric.
[01:31:07.117 --> 01:31:16.324]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[01:31:16.324 --> 01:31:24.330]  This is absorbed under the tongue into the bloodstream and then the remaining also is then absorbed by the stomach so it's more of an intense delivery system.
[01:31:24.790 --> 01:31:28.011]  The two formulas are different, but both are concentrates.
[01:31:28.011 --> 01:31:29.852]  And our first product got rave reviews.
[01:31:29.852 --> 01:31:31.972]  We've now been testing this out for several months.
[01:31:31.972 --> 01:31:34.153]  Some of our staff like it more than bodies.
[01:31:34.153 --> 01:31:35.513]  Some like bodies better.
[01:31:35.513 --> 01:31:39.655]  For me, they're both amazing for their anti-inflammatory action and so much more.
[01:31:39.655 --> 01:31:40.835]  And they fund the InfoWare.
[01:31:40.835 --> 01:31:45.477]  So get our new liquid turmeric extract exclusively at InfoWareStore.com today.
[01:31:45.477 --> 01:31:46.197]  Get an additional 25% off.
[01:31:46.197 --> 01:31:46.697]  This is a 360 win.
[01:31:49.958 --> 01:31:54.683]  Tumeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[01:31:54.683 --> 01:31:57.647]  Get yours today at InfoWarsLife.com.
[01:31:57.647 --> 01:32:00.910]  The globalists have always been at war with the family and small businesses.
[01:32:00.910 --> 01:32:02.012]  They want control.
[01:32:02.012 --> 01:32:03.673]  They want domesticated slaves.
[01:32:03.673 --> 01:32:06.376]  That's the process that is taking place right now.
[01:32:07.097 --> 01:32:18.825]  And when you shop at the big box stores and when you shop with Amazon, remember that they are creating monopolies and they are the globalists that are pushing the lockdowns, gun control, abortion, world government, all of it.
[01:32:18.825 --> 01:32:20.846]  And if you want to do that, go ahead and shop there.
[01:32:20.846 --> 01:32:27.071]  But if you'll shop at InfoWars, where we have thousands of products made right here in America with our warehouses and our crew,
[01:32:27.811 --> 01:32:30.052]  It's incredible and it changes the whole world.
[01:32:30.052 --> 01:32:35.593]  So do your shopping if you want to fund the InfoWar and if you want to stop the globalists at InfoWarStore.com.
[01:32:35.593 --> 01:32:38.154]  And tell others to do their shopping at InfoWarStore.com.
[01:32:38.154 --> 01:32:39.674]  We have amazing products.
[01:32:39.674 --> 01:32:43.875]  We can get everything delivered to you by Christmas if you order by the 18th.
[01:32:43.875 --> 01:32:45.455]  So again, I want to thank you all for your support.
[01:32:45.455 --> 01:32:48.996]  I want to thank you for thinking through what you do and where you spend your money.
[01:32:48.996 --> 01:32:51.637]  And do your shopping and get great products at InfoWarStore.com.
[01:33:01.682 --> 01:33:04.281]  You're listening to The Alex Jones Show.
[01:33:15.199 --> 01:33:16.640]  Welcome back, folks, to the Alex Jones Show.
[01:33:16.640 --> 01:33:21.262]  Harrison Smith sitting in today for Alex Jones, who is still in Washington, D.C.
[01:33:21.262 --> 01:33:36.149]  In the last segment, I talked about some of the newly revealed big tech insiders that will now be a part of Biden's team and the way that those were secretly sort of slipped in after the announcement was made of who would be in his transition team.
[01:33:36.149 --> 01:33:41.171]  They then later sort of added, just sort of slipped in these big tech insiders into this.
[01:33:41.171 --> 01:33:43.592]  But of course, we've known about this for a long time.
[01:33:43.592 --> 01:33:44.473]  Breitbart.com.
[01:33:44.954 --> 01:33:46.645]  From mid-November.
[01:33:47.918 --> 01:34:08.232]  According to the Financial Times, presidential contender Biden has hired both Jessica Hertz, a former Associate General Counsel at Facebook, Cynthia Hogan, former Apple Vice President for Government Affairs to his transition team, Eric Schmidt, the former Google Chief Executive, has been a big fundraiser and is being talked about to lead a new technology industry task force in the White House.
[01:34:08.232 --> 01:34:17.578]  So all of these people that are censoring you, all of these people that are working hand-in-hand with Communist China, all of these people that are telling you it's literally a sin for you to have free speech,
[01:34:18.418 --> 01:34:20.900]  Tim Cook in Apple, Eric Schmidt in Google.
[01:34:20.900 --> 01:34:27.105]  They're going to have official government positions under the Biden campaign that they helped to bring about.
[01:34:27.105 --> 01:34:28.666]  This is crony capitalism.
[01:34:28.666 --> 01:34:32.749]  This is the mafia that is seeking to rule all of our lives.
[01:34:32.749 --> 01:34:39.214]  Another thing that was revealed yesterday, Facebook's fact-checking czar just happens to be a Hillary Clinton fangirl.
