[00:00.000 --> 00:01.000]  I'm great.
[01:25:06.960 --> 01:25:18.960]  And I just can't believe anybody would serve over there that anybody would be involved in this and let the military try to persecute and prosecute people.
[01:25:18.960 --> 01:25:28.960]  It's only going to backfire on them. Now, a lot of troops are spoken out against the war. Why do you think they have singled out your son?
[01:25:28.960 --> 01:25:46.960]  They've singled out my son because, one, he's an officer, and this is a real embarrassment for them, that they weren't able to, you know, brainwash my son to the point that he believes that it's okay to kill.
[01:25:46.960 --> 01:26:08.960]  They also do not like the idea that he spoke out, you know, that he got up and had a press conference and said that what is going on in Iraq is wrong, that the president lied, that the...
[01:26:08.960 --> 01:26:13.960]  Now, is that before or after he refused to get deployed to Iraq?
[01:26:13.960 --> 01:26:32.960]  Well, it was at the same time. It was the same time that his brigade was going to go out and so he made a public statement that he was not going to go with his brigade to Iraq because of the illegality of the war, the immorality of the war.
[01:26:32.960 --> 01:26:41.960]  And so it was at this point in time that they, you know, of course, they forced an order on him to go and he refused to go.
[01:26:41.960 --> 01:26:51.960]  Now, what are they going to do when more and more of the troops say no and more and more of the troops are speaking out saying it's all a lie, what we hear on TV?
[01:26:51.960 --> 01:27:00.960]  Well, I think you're familiar with what happened in Vietnam. It was when the soldiers quit fighting that the war came to an end.
[01:27:00.960 --> 01:27:14.960]  And I get a feeling that that's what's going to happen in Iraq because as you know, most of the troops over there, the soldiers anyway, they know what they're doing over there is wrong.
[01:27:14.960 --> 01:27:27.960]  I have recently received an email from a soldier and he says that, you know, everybody, the word he uses, everybody over here knows that what we're doing over here is wrong.
[01:27:27.960 --> 01:27:34.960]  And, you know, it's just a matter of time before they're going to say enough is enough.
[01:27:34.960 --> 01:27:44.960]  What do you think about the development of them trying to go to Mexico, talk about mercenaries, to open huge recruiting stations, to shift our military now over to foreigners?
[01:27:44.960 --> 01:27:47.960]  I mean, that's really getting imperial.
[01:27:47.960 --> 01:27:54.960]  Well, they've been doing this for a while now. They have been recruiting people Mexico and the body of the Mexico for some time.
[01:27:54.960 --> 01:27:58.960]  They've gone to the Philippines. They've gone to Puerto Rico.
[01:27:58.960 --> 01:28:07.960]  They go to these places where the poor kids do not understand anything and they're told, oh, you know, you're going to get American citizenship if you fight.
[01:28:07.960 --> 01:28:15.960]  Well, I understand that that's sort of a joke also because all they do is they get green cards once they're out of the military.
[01:28:15.960 --> 01:28:17.960]  But they stay in the military.
[01:28:17.960 --> 01:28:24.960]  You know, you talk about four or five tours over there. These people are not going over there because they want to go over there.
[01:28:24.960 --> 01:28:30.960]  They have something called stop loss and they're forced to go over there.
[01:28:30.960 --> 01:28:34.960]  That's right. We've got people who've already served and they make them stay in.
[01:28:34.960 --> 01:28:43.960]  That's correct. You know, they even have reserve officers now, reserve members of the Army. They're forced to go back.
[01:28:43.960 --> 01:28:50.960]  But I mean, what's wrong with the elite that they're wearing the military down to nothing and recruiting foreigners and doing?
[01:28:50.960 --> 01:28:52.960]  I mean, this is just crazy.
[01:28:52.960 --> 01:28:57.960]  It is insane. You're right. It is insane.
[01:28:57.960 --> 01:29:10.960]  Oil and corporate profits are so important for Bush and Cheney and Rice and of course, Rumsfeld is still around there.
[01:29:10.960 --> 01:29:17.960]  We're also talking about Henry Kissinger. We're talking about James Baker.
[01:29:17.960 --> 01:29:23.960]  These guys, the corporate profits are so important for them that they'll do anything.
[01:29:23.960 --> 01:29:31.960]  What do you think about the Democrats attempting to increase troops and now they're getting some heat so they're going to have a few hearings and try to just put everybody off?
[01:29:31.960 --> 01:29:34.960]  We have 78% in major polls of the American people.
[01:29:34.960 --> 01:29:42.960]  70% of the troops in polls want to come home, but they're not home. Where are they? We've been there three and a half, four years.
[01:29:42.960 --> 01:29:57.960]  You know, on January 15th, there's going to be a group called Appeal for Redress or Petition for Redress and they're going to present this to Congress.
[01:29:57.960 --> 01:30:11.960]  They're going to present a request that Congress can do about five minutes on the other side with me, sir, because I want to talk about solutions and also how we help your son and other soldiers that don't want to fight for the New World Order.
[01:30:11.960 --> 01:30:22.960]  It's not our military. It's not our country. And as soon as we get around to realizing that, we can get America back, but not a minute before we realize it.
[01:30:22.960 --> 01:30:32.960]  We're on the march. The empire's on the run. Alex Jones and the GCN Radio Network.
[01:30:32.960 --> 01:30:39.960]  It's no secret. Aluminum itself adversely affects the blood-brain barrier and is capable of causing DNA damage.
[01:30:39.960 --> 01:30:44.960]  Research has even shown that aluminum salts used in antiperspirants have detrimental effects.
[01:30:44.960 --> 01:30:46.960]  So why are you still using traditional deodorant?
[01:30:46.960 --> 01:30:57.960]  Well, there is an alternative and it's called nobio. Nobio eliminates the bacterial growth which causes odor and does not interfere with perspiration, which is important for allowing your body to expel toxins.
[01:30:57.960 --> 01:31:02.960]  There are no chemicals, aluminum, preservatives, or petroleum-based ingredients in nobio.
[01:31:02.960 --> 01:31:08.960]  Just natural ingredients like grapeseed oil, arrowroot powder, silica, vitamin E, tea tree oil, and uranium.
[01:31:08.960 --> 01:31:13.960]  Nobio's job is to destroy the bacteria that causes the odor while soothing your skin.
[01:31:13.960 --> 01:31:17.960]  You can use nobio under your arms, on tough foot odors, or for athlete's foot.
[01:31:17.960 --> 01:31:22.960]  Nobio is guaranteed 100% or receive a full refund.
[01:31:22.960 --> 01:31:32.960]  Visit no-bio.com to order. That's no-bio.com or call 850-723-8599.
[01:31:32.960 --> 01:31:38.960]  It's a fact. You can legally eliminate credit card debt which has been fraudulently created by the banks.
[01:31:38.960 --> 01:31:47.960]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt, so why should you, the hardworking American, be harassed for yours?
[01:31:47.960 --> 01:31:54.960]  There's a double standard when it comes to being responsible for debt and unlike the Federal Reserve, the people of this country can't print more money when needed.
[01:31:54.960 --> 01:32:02.960]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[01:32:02.960 --> 01:32:11.960]  We also do credit restoration. Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt.
[01:32:11.960 --> 01:32:15.960]  Instead of living each day in fear, it's time to turn your life around.
[01:32:15.960 --> 01:32:23.960]  Call Day of Jubilee. Open 9 a.m. to 5 p.m. Central Standard Time at 920-293-8024.
[01:32:23.960 --> 01:32:32.960]  That's 920-293-8024 and ask for Robert. Don't wait any longer to get your life back in order.
[01:32:32.960 --> 01:32:38.960]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[01:32:38.960 --> 01:32:47.960]  Well, the glass has a natural resonance. If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[01:32:47.960 --> 01:32:53.960]  Using this similar principle, Royal Raymond Wright discovered that disease organisms can be destroyed using different resonant frequencies.
[01:32:53.960 --> 01:33:01.960]  The BioSolutions frequency instrument uses the same technology for relief or elimination of pain and disease conditions with no side effects.
[01:33:01.960 --> 01:33:06.960]  The 2006 BioSolutions Plus is the easiest to operate frequency instrument ever developed.
[01:33:06.960 --> 01:33:10.960]  Its easy reference guide will allow you to begin using the instrument within minutes.
[01:33:10.960 --> 01:33:14.960]  Simple step-by-step instructions using pictures are easy to follow.
[01:33:14.960 --> 01:33:19.960]  Customer satisfaction is guaranteed or your money back. Don't just treat symptoms. Eliminate the cause.
[01:33:19.960 --> 01:33:25.960]  For more information, call BioSolutions toll-free 1-866-885-6625.
[01:33:25.960 --> 01:33:32.960]  That's 1-866-885-6625. 1-866-885-6625.
[01:33:32.960 --> 01:33:50.960]  Music
[01:33:50.960 --> 01:34:01.960]  Music
[01:34:01.960 --> 01:34:11.960]  Music
[01:34:11.960 --> 01:34:17.960]  Welcome back. We've got Debbie Morrow coming up for a few minutes. Always great to have her.
[01:34:17.960 --> 01:34:25.960]  I want to play this clip of O'Reilly. Again, I'm not giving him attention. I'm not focusing on the mainstream media.
[01:34:25.960 --> 01:34:33.960]  I really think that's a diversion. But it's important to play this just to illustrate for people out there that support him and support the war and support all this,
[01:34:33.960 --> 01:34:39.960]  the type of mindlessness and the tactics that are being used against you.
[01:34:39.960 --> 01:34:45.960]  I mean, you need to be aware that you're being targeted with propaganda.
[01:34:45.960 --> 01:34:55.960]  Going back to our guest, Bob Wattata, father of Aaron Wattata, Lieutenant Aaron Wattata, who's up for court-martialing on February 5th.
[01:34:55.960 --> 01:35:02.960]  We'll be following that here. Darja Maul is being called as a prosecution witness because he was at one of the events where he spoke.
[01:35:02.960 --> 01:35:11.960]  A frequent contributor to this broadcast will be getting him on. We'll talk about it as well. It's just unbelievably disgusting that they're trying all of this.
[01:35:11.960 --> 01:35:20.960]  We're simply pointing out the President was deceptive. We know that he's deceptive. We know he's a criminal. We know they premeditated a lot about WMDs.
[01:35:20.960 --> 01:35:29.960]  They lied about everything. They're always lying. And, you know, a lot of us are outraged at the traitorous activities of this government.
[01:35:29.960 --> 01:35:39.960]  Mr. Wattata, in closing any websites you want to plug, any organizations that are moving forward trying to end this war, any way we can help your son.
[01:35:39.960 --> 01:35:48.960]  Well, certainly, we have a website. Thank you, LT.org. Thank you, LT.org.
[01:35:48.960 --> 01:36:01.960]  That's the website that we have up there for Aaron to let everybody know what is happening and what we would like to see them do to help Aaron.
[01:36:01.960 --> 01:36:14.960]  Give that website out again one more time. Okay. Thank you, LT.org. T-H-J-N-K-Y-O-U-L-T.org.
[01:36:14.960 --> 01:36:19.960]  I bet you're proud of your son because, you know, he didn't listen to you. He joined the military.
[01:36:19.960 --> 01:36:27.960]  But then he found out it was a scam and a lot of people get involved in a scam and they rationalize. They project. They lie to themselves.
[01:36:27.960 --> 01:36:35.960]  They make excuses. He admitted he was wrong. He admitted he'd been bamboozled and defrauded.
[01:36:35.960 --> 01:36:45.960]  And then he didn't just slink away. He spoke out and said he was wrong and showed real moral courage. And so I salute your son.
[01:36:45.960 --> 01:36:51.960]  Well, thank you very much. We are also very proud of him for taking the stand he has.
[01:36:51.960 --> 01:37:02.960]  We know that he's going to possibly be put into jail for it, but, you know, there's people like Martin Luther King was jailed.
[01:37:02.960 --> 01:37:07.960]  Rosa Parks was jailed. These people stood up and said, hey, this is wrong.
[01:37:07.960 --> 01:37:13.960]  Jesus Christ. Jesus Christ was jailed. Jesus Christ was jailed. Founding fathers were jailed.
[01:37:13.960 --> 01:37:21.960]  That's correct. Even George Washington was called a traitor by his own people.
[01:37:21.960 --> 01:37:26.960]  He was called treasonous. He was called a traitor because he went against the king.
[01:37:26.960 --> 01:37:31.960]  Absolutely. Well, we appreciate you coming on, sir. And we'll check in with you as this develops.
[01:37:31.960 --> 01:37:36.960]  I know you'll be very busy around the trial, but I'd like to get you on during that and I appreciate you.
[01:37:36.960 --> 01:37:43.960]  Well, thank you very much, Alex. And just call me and you have my number and I would be glad to join you on this show.
[01:37:43.960 --> 01:37:45.960]  Thank you, Robert. Take care.
[01:37:45.960 --> 01:37:46.960]  Thank you.
[01:37:46.960 --> 01:37:51.960]  All right. Just disgusting.
[01:37:51.960 --> 01:37:56.960]  And I understand you can everybody running around the military generally shooting their mouth off about the president.
[01:37:56.960 --> 01:38:04.960]  But I mean, these are criminals. And it's in the military code that if you've got a criminal government, you are to resist it.
[01:38:04.960 --> 01:38:13.960]  Speak out against it. It's in the Declaration of Independence. This government is criminal. Period.
[01:38:13.960 --> 01:38:20.960]  And you can't put perfume on a pig. It cannot be done. This war is a shame to America.
[01:38:20.960 --> 01:38:29.960]  And the very people orchestrating this war are the very people implementing the destruction of our borders and the North American Union.
[01:38:29.960 --> 01:38:38.960]  The very ones butchering the Bill of Rights. That's my Bill of Rights. Not yours, you sniveling neocons.
[01:38:38.960 --> 01:38:52.960]  That's the heart and soul of the U.S. Not you. Not you. You don't own and you don't run this country and you don't own and you don't run me.
[01:38:52.960 --> 01:39:00.960]  So stop running around on your moral high horses. Republican listeners out there, people who aren't conservative, you're Republican.
[01:39:00.960 --> 01:39:07.960]  You like your pervert homosexual Republican leaders.
[01:39:07.960 --> 01:39:12.960]  That's what you like. That's what you love. That's what you're into.
[01:39:12.960 --> 01:39:14.960]  And I bring that up because it throws them for a loop.
[01:39:14.960 --> 01:39:24.960]  George Bush is about as conservative as the $3 bill. And it's just a joke. You are a joke.
[01:39:24.960 --> 01:39:33.960]  And you know who you are out there listening. You make me sick. This country has been completely hijacked.
[01:39:33.960 --> 01:39:42.960]  And I just bring up a whole gay thing because it's just so ridiculous that going back to the late 80s, right through to death, there's constantly gay prostitutes in there.
[01:39:42.960 --> 01:39:47.960]  That's what these guys are into. Bohemian gloves, going bombs. And it's just such a joke.
[01:39:47.960 --> 01:39:53.960]  And then I'm tired of liberals blaming Christians going, oh, look at your Christian leaders.
[01:39:53.960 --> 01:40:03.960]  You know, look at Bush. He believes God told him to do it. He just does that to manipulate Christians. That guy is as Christian as Satan.
[01:40:03.960 --> 01:40:06.960]  I'm going to shut up. Let's go to tomorrow. I'm going to go to this little Riley thing.
[01:40:06.960 --> 01:40:07.960]  I'm going to cover some of the news.
[01:40:07.960 --> 01:40:16.960]  And then the third hour, solid Blitzkrieg of calls. I will take unending calls. Lots of them.
[01:40:16.960 --> 01:40:20.960]  Debbie Mauro, I haven't had you on in two or three weeks. Good to have you here with us.
[01:40:20.960 --> 01:40:28.960]  Thank you for having me back. You know, we were closed for the holidays and we could get all of our bookkeeping done for the new year.
[01:40:28.960 --> 01:40:35.960]  And now we are ready to go and take your orders and get back to selling burkeys.
[01:40:35.960 --> 01:40:39.960]  Well, let's be specific. This is a Made in America black burkey system.
[01:40:39.960 --> 01:40:45.960]  I've bought many of them as gifts. Use one right here in the office and you get a wholesale price on it.
[01:40:45.960 --> 01:40:51.960]  At least, you know, a $200 unit or $195 unit would be about 300 in stores.
[01:40:51.960 --> 01:40:54.960]  You also have the national distributors for the British burkeys.
[01:40:54.960 --> 01:40:59.960]  So you get the big discount on those as well. Call her for prices.
[01:40:59.960 --> 01:41:07.960]  This is the big national manufacturer and distributor, but they've got Debbie just to handle radio interviews just to give you that personal customer service.
[01:41:07.960 --> 01:41:13.960]  And she's a wonderful lady. They've got a free brochure. They've got sports bottles that just make the water safe to drink.
[01:41:13.960 --> 01:41:18.960]  They've got purifiers that totally clean it out. The water is full of poison.
[01:41:18.960 --> 01:41:28.960]  What do you mean full of poison? Just go read what the EPA allows. Herbicide, pesticide, heavy metals, chlorine.
[01:41:28.960 --> 01:41:33.960]  It goes on and on. And people need to give Debbie Marrow a call.
[01:41:33.960 --> 01:41:37.960]  You need to...this is one area of your life you can take control right now.
[01:41:37.960 --> 01:41:41.960]  And that's to stop drinking all of the poison that's in the water. Debbie?
[01:41:41.960 --> 01:41:46.960]  That's correct. You said it all, Alex. And we're here to take your calls.
[01:41:46.960 --> 01:41:50.960]  And, you know, the burkey water systems are affordable.
[01:41:50.960 --> 01:41:56.960]  And if you're buying bottled water now, you know, it's going to pay for itself in no time.
[01:41:56.960 --> 01:42:02.960]  It's a great, easy-to-use system. You don't have to call a plumber to get it plumbed in.
[01:42:02.960 --> 01:42:05.960]  It's all standalone product.
[01:42:05.960 --> 01:42:14.960]  Main America. And it actually purifies the pathogenic bacteria system sediment and the VOCs to a non-detectable level.
[01:42:14.960 --> 01:42:22.960]  It set a new standard in the water filter industry. And we'd like to get those out to all of your listeners.
[01:42:22.960 --> 01:42:28.960]  Well, you've got a bunch of different units. Describe what $198 or $195 unit does.
[01:42:28.960 --> 01:42:36.960]  Okay. Well, we have a travel burkey, which is a stainless steel one-and-a-half gallon system
[01:42:36.960 --> 01:42:41.960]  that you can use in an apartment, house. It's good for one or two or three people.
[01:42:41.960 --> 01:42:44.960]  It's great if you want to have it for on the go.
[01:42:44.960 --> 01:42:51.960]  A lot of our customers, a lot of your listeners, save their burkeys for, I'll forbid, something really bad happen.
[01:42:51.960 --> 01:42:55.960]  And I always try to encourage you, don't do that. Use it every day.
[01:42:55.960 --> 01:43:00.960]  It's something that you want to do every day because bad things are happening every day to your water.
[01:43:00.960 --> 01:43:04.960]  It's, you know, there's bad stuff in the water all the time now.
[01:43:04.960 --> 01:43:12.960]  We don't want to wait until there's nuclear fallout because you want to get out the VOCs and the chemicals and, you know, things like MTBE.
[01:43:12.960 --> 01:43:17.960]  Well, every major city, they found Ritalin and Prozac and everything else in it.
[01:43:17.960 --> 01:43:24.960]  The fish can't even reproduce in most major city lakes now because of all the female hormones, just some birth control pills alone.
[01:43:24.960 --> 01:43:33.960]  That's right. And we want to filter our water the best we can so that we know that we're getting out all of these bad contaminants that are in the water.
[01:43:33.960 --> 01:43:35.960]  No, they're nutritious.
[01:43:35.960 --> 01:43:45.960]  Well, you know, I have a little granddaughter that they're trying to force my daughter into putting her on Ritalin or something just because she's a creative child.
[01:43:45.960 --> 01:43:49.960]  They're sick, freaks. Don't do not let them do that.
[01:43:49.960 --> 01:43:53.960]  No, absolutely not. We'll pull her out of school before we let that happen.
[01:43:53.960 --> 01:44:03.960]  Think about America trying to, they got 15 million kids on this and now they passed the Federal New Freedom Initiative to federally fund forcing more kids on it.
[01:44:03.960 --> 01:44:11.960]  And then getting the stuff makes them their heart expand, their brain shrink, retards growth, causes all sorts of heart attacks.
[01:44:11.960 --> 01:44:20.960]  That's mainstream news, man. And then they'll knock your door down looking for illegal drugs, which the government shipped them to begin with.
[01:44:20.960 --> 01:44:23.960]  I mean, I just cannot deal with it anymore.
[01:44:23.960 --> 01:44:24.960]  Absolutely.
[01:44:24.960 --> 01:44:26.960]  That's a drug pushing trash.
[01:44:26.960 --> 01:44:35.960]  That's it. That's it, Alex. And so we want to get these Berkeys out as many people as possible. So please give me a call.
[01:44:35.960 --> 01:44:42.960]  Yeah, give them your call. Give her a call right now. 1-888-803-4438.
[01:44:42.960 --> 01:44:47.960]  Triple eight, 803-4438 or Berkeywater.com online.
[01:44:47.960 --> 01:44:50.960]  You can order via the Safe Secure shopping cart and right there in the comments section.
[01:44:50.960 --> 01:44:57.960]  Tell them what free gift you want with one of the big Berkeys, potassium iodate, a sports bottle, sheltering in place DVD.
[01:44:57.960 --> 01:45:03.960]  888-803-4438 or Berkeywater.com. Debbie, how was your holiday?
[01:45:03.960 --> 01:45:11.960]  Actually, we had really, really wonderful holiday. It was kind of quiet. Thanksgiving's our big holiday.
[01:45:11.960 --> 01:45:15.960]  Christmas, we stay home and be kind of quiet and got real rested.
[01:45:15.960 --> 01:45:18.960]  That's good. I wish I would have done that.
[01:45:18.960 --> 01:45:19.960]  Yeah, it was great.
[01:45:19.960 --> 01:45:23.960]  Hey, Debbie, thank you for coming on. Say hi to your husband and family for me.
[01:45:23.960 --> 01:45:27.960]  I will. Thank you for having me and I look forward to hearing from your listeners.
[01:45:27.960 --> 01:45:31.960]  Leave your number twice so in case I don't hear it correctly the first time, okay?
[01:45:31.960 --> 01:45:32.960]  Debbie, thank you.
[01:45:32.960 --> 01:45:33.960]  Thank you. God bless.
[01:45:33.960 --> 01:45:40.960]  God bless you. 888-803-4438 or Berkeywater.com or order via infowars.com.
[01:45:40.960 --> 01:45:47.960]  Okay, there's so many lies. I'm going to play it and we're going to stop the tape and I'm going to comment as we go through it,
[01:45:47.960 --> 01:45:51.960]  or I would never be able to later comment on all of it.
[01:45:51.960 --> 01:46:01.960]  This is O'Reilly with the leader of the group that protested when the Democrats were trying to shill with their pro-war position
[01:46:01.960 --> 01:46:03.960]  after flip-flopping.
[01:46:03.960 --> 01:46:08.960]  Okay, and then notice how he tries to say they have no members. They're a little group.
[01:46:08.960 --> 01:46:16.960]  They're nobody. They're disrupting. They're bad. They're crazy. It's all buzzwords. Here it is.
[01:46:16.960 --> 01:46:20.960]  Even though the Democrats took control of Congress today, some on the far left are not happy.
[01:46:20.960 --> 01:46:26.960]  When Democratic Congressman Rahm Emanuel tried to give a speech yesterday, here's what happened.
[01:46:26.960 --> 01:46:29.960]  At every step of the...at every...
[01:46:30.960 --> 01:46:32.960]  Okay, at every...
[01:46:36.960 --> 01:46:37.960]  Alright.
[01:46:38.960 --> 01:46:40.960]  Alright, what are you...
[01:46:40.960 --> 01:46:43.960]  We're going to keep going here.
[01:46:44.960 --> 01:46:46.960]  We're going to have a....
[01:46:48.960 --> 01:46:49.960]  Thank you.
[01:46:49.960 --> 01:46:57.360]  No, Emmanuel could not get his remarks out. Joining us from Washington, Senator Taylor,
[01:46:57.360 --> 01:47:00.400]  prominent member of the far-left group, the world can't wait.
[01:47:00.400 --> 01:47:07.520]  Why some members of your group were in that mob, that screaming mob? What do you do that
[01:47:07.520 --> 01:47:09.280]  and what's the worthiness of that?
[01:47:09.280 --> 01:47:15.760]  Well, Bill, right now what you see is the U.S. is involved in a criminal war in Iraq.
[01:47:15.760 --> 01:47:19.600]  It was launched illegally. It's cost hundreds of thousands of Iraqi lives. It's cost thousands
[01:47:19.600 --> 01:47:24.040]  of U.S. soldiers' lives. There's been a whole doctrine of preemptive war that's been codified
[01:47:24.040 --> 01:47:30.200]  into place and an institutionalization of torture. These are war crimes and crimes against humanity,
[01:47:30.200 --> 01:47:34.360]  and if Congress is not speaking about them, so people have an obligation to step up and
[01:47:34.360 --> 01:47:38.480]  speak the truth and to demand a stop to these crimes.
[01:47:38.480 --> 01:47:43.880]  Okay, so you're saying that the new Democrat Congress in here now, you're not even going
[01:47:43.880 --> 01:47:47.280]  to give them a chance to address the things that you just said.
[01:47:47.280 --> 01:47:54.160]  Okay, let's stop right there. Let's stop right there. These Democrat groups attack people
[01:47:54.160 --> 01:47:57.440]  like me when I said you watched the Democrats are going to come in and say increase the
[01:47:57.440 --> 01:48:05.000]  troops. They're going to do whatever that Henry Kissinger, George Schultz slash James
[01:48:05.000 --> 01:48:10.240]  Baker group says. And then now those groups, and I have to commend them, did after they
[01:48:10.240 --> 01:48:15.080]  saw the Democrats were going to basically go for expansion of the war, they got mad,
[01:48:15.080 --> 01:48:18.880]  and they went in there and tried to shut down press conferences to get media attention
[01:48:18.880 --> 01:48:24.400]  that the American people demand. So here he is claiming that they're not even giving the
[01:48:24.400 --> 01:48:30.200]  Democrats a chance. That's why number one, at least we're trying to talk about how they're
[01:48:30.200 --> 01:48:35.880]  a minority view and that people don't agree with them and that it's her view that the
[01:48:35.880 --> 01:48:41.440]  war was a lie and that it's her opinion. No, those are facts, buddy, like gravity. Let's
[01:48:41.440 --> 01:48:47.040]  go back to Bill O'Reilly down. So they can't even address it even if they wanted to. Is
[01:48:47.040 --> 01:48:51.120]  that what you're telling me? No, that's not what I'm saying. I'm saying the Democrats
[01:48:51.120 --> 01:48:54.880]  have made very abundantly clear that they are not calling for an immediate withdrawal
[01:48:54.880 --> 01:49:00.120]  from Iraq. This is the only just solution right now. So unless the Democrats or the
[01:49:00.120 --> 01:49:05.480]  Republicans or whatever official, whoever official, whoever's elected immediately withdraw
[01:49:05.480 --> 01:49:11.400]  from Iraq, you will not let them speak. Your group will shout them down. This is your version
[01:49:11.400 --> 01:49:16.960]  of democracy. You think this is what the country should be. They speak all the time. The voices
[01:49:16.960 --> 01:49:20.680]  that are not heard are the voices like Cindy Sheehan's, like the protesters who are out
[01:49:20.680 --> 01:49:24.400]  today demanding a plenty of publicity and she gets plenty of the opportunity. The voices
[01:49:24.400 --> 01:49:27.960]  talking about the war crimes that are being committed in our names right now, the fact
[01:49:27.960 --> 01:49:32.320]  that because of the U.S. occupation of Iraq, hundreds of thousands of Iraqi people's lives
[01:49:32.320 --> 01:49:36.680]  have been destroyed, people have been killed, torture has been committed and legalized.
[01:49:36.680 --> 01:49:41.480]  But look, these things are not being discussed the way they should. That's your opinion,
[01:49:41.480 --> 01:49:47.120]  okay? Stop right there. That's your opinion. White House memos say they can torture people
[01:49:47.120 --> 01:49:53.680]  till they die. Official torture children with pliers. It's all there. They've used it.
[01:49:53.680 --> 01:49:59.640]  They've done it. No, no, that's her opinion. Now again, he's playing to this mindless audience
[01:49:59.640 --> 01:50:08.360]  that's got Alzheimer's out there who literally can't even, they just lack a rally. They just
[01:50:08.360 --> 01:50:12.400]  want to be lied to by this butcher of America. Here it is.
[01:50:12.400 --> 01:50:15.360]  But those are facts. No, they're not facts. You are alone.
[01:50:15.360 --> 01:50:20.840]  The torture is being committed. And if you want only to take a night.
[01:50:20.840 --> 01:50:26.080]  She goes, those are facts. He says that's her opinion. Okay. About it being an unjust
[01:50:26.080 --> 01:50:34.000]  war, a staged war, they let us into war, torture being legitimized. No, no, those aren't facts.
[01:50:34.000 --> 01:50:42.080]  That's your opinion. She says, no, they are facts. He goes, you're alone. You're alone.
[01:50:42.080 --> 01:50:46.840]  She's a loon. That's all he ever does with people who disagree with it. He calls them
[01:50:46.840 --> 01:50:52.760]  a loon. Well, you're a pervert, buddy. You're a perv
[01:50:52.760 --> 01:50:58.680]  who sexually harasses admittedly women hardcore that work for you.
[01:50:58.680 --> 01:51:02.480]  I mean, how do you like that? I mean, if anybody is a loon, it's you, Bill O'Reilly, who would
[01:51:02.480 --> 01:51:06.440]  get up there and lie about the death of America, who would push the North American Union.
[01:51:06.440 --> 01:51:12.320]  I've heard you say ban SUVs, ban the militia. You're a piece of trash. You're not a real
[01:51:12.320 --> 01:51:16.960]  conservative. You're a piece of filth. You got to be ashamed of yourself. You're a big
[01:51:16.960 --> 01:51:22.640]  bully. You're a punk. Well, come back and play the rest of what this punk has to say.
[01:51:22.640 --> 01:51:25.640]  Stay with us. I'm Alex Jones.
[01:51:35.640 --> 01:51:40.640]  It's here after a year in production and traveling the distant lands. My new film, Terror Storm,
[01:51:40.640 --> 01:51:44.920]  is complete. Shocking, declassified government documents prove that Western governments are
[01:51:44.920 --> 01:51:49.640]  orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:51:49.640 --> 01:51:55.480]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London
[01:51:55.480 --> 01:51:59.360]  were carried out by British intelligence. Terror Storm Chronicles, the lies that took
[01:51:59.360 --> 01:52:05.200]  us to war in Iran, the White House program to disseminate fake news, NSA spy, secret
[01:52:05.200 --> 01:52:10.560]  police torture, the latest 9-11 information, and much, much more. Terror Storm is the definitive
[01:52:10.560 --> 01:52:14.520]  guide to the history of government-sponsored terrorism. It's an anthology of government
[01:52:14.520 --> 01:52:20.040]  crimes. Terror Storm is a film of everyone who wants to be truly informed, must see. Get
[01:52:20.040 --> 01:52:28.800]  your copy today at infowars.com or prisonplanet.com, or by calling toll 3-1-888-2533139, or watch
[01:52:28.800 --> 01:52:32.520]  it right now online at prisonplanet.tv.
[01:52:32.520 --> 01:52:39.400]  Good morning, honey. Wow, the weather is beautiful, the cabin is terrific, and it's the first
[01:52:39.400 --> 01:52:41.560]  day of our vacation. Yeah.
[01:52:41.560 --> 01:52:46.440]  Honey, is there something wrong? Yeah, I just realized we forgot to pack the travel
[01:52:46.440 --> 01:52:50.920]  burky system. I can't drink this cabin water, and what am I going to do when I'm out on
[01:52:50.920 --> 01:52:56.560]  the lake? Now the whole vacation is ruined. Honey, cheer up. I brought our sport burky
[01:52:56.560 --> 01:53:02.240]  purifiers. What? Yeah, I know you're picky about not having pathogenic bacteria, organic
[01:53:02.240 --> 01:53:07.200]  chemicals, heavy metals or foul tastes, and odors in the water, so I packed our sport
[01:53:07.200 --> 01:53:13.520]  burky purifiers. You know, this is a terrific cabin, and wow, have you noticed the beautiful
[01:53:13.520 --> 01:53:19.080]  weather? Don't ruin your vacation. Get a travel burky today for only $209 or get a sport
[01:53:19.080 --> 01:53:29.760]  burky for only $39. Call 888-803-4438. That's 888-803-4438. Order on the web at burkywater.com.
[01:53:29.760 --> 01:53:32.520]  Travel burky now available in Iowa.
[01:53:32.520 --> 01:53:37.520]  For years, you've been hearing about Herbal Healer Academy and how it's remained the leader
[01:53:37.520 --> 01:53:42.120]  in effective alternative and natural medicine and education. But how can they continue to
[01:53:42.120 --> 01:53:48.400]  hold that title for years on end? The answer is high quality and huge selection. Just visit
