[00:00.000 --> 00:30.000]  Infowars, the most band network in the world
[02:02:30.360 --> 02:02:37.360]  You freeze people to death. You do everything. And I guess this is what is astonishing to me.
[02:02:37.360 --> 02:02:41.360]  People, there's no political solution. This is a spiritual problem.
[02:02:41.360 --> 02:02:58.360]  This is absolutely a judgment, in my opinion, upon the United States for all of its its his hideous child trafficking, the ancillary deaths, you know, collateral damage, bombing here, bombing there.
[02:02:58.360 --> 02:03:07.360]  And it's interesting, Russian name, their same are S.A.M.I.R.T. missile, actually ICBMs, Satan one and Satan two.
[02:03:07.360 --> 02:03:11.360]  And they're aimed at the U.S. And I think people better understand something.
[02:03:11.360 --> 02:03:20.360]  Russia's change in nuclear posture, where they used to say they used to say that, well, we won't use nuclear weapons until attack first.
[02:03:20.360 --> 02:03:25.360]  We are watching attacks on Russian missile.
[02:03:25.360 --> 02:03:31.360]  I'm sorry, Air Force. Let's stop right there in the last two weeks. There have been a bunch of cruise missile attacks out of Ukraine on Russia.
[02:03:31.360 --> 02:03:38.360]  Putin came out four days ago, as you know, tell the viewers. He said the West has moved nuclear weapons up to our borders.
[02:03:38.360 --> 02:03:42.360]  We have it. And the West has said that they may first strike.
[02:03:42.360 --> 02:03:48.360]  So we may change our policy to a first strike. And we're very close to nuclear war, the closest we've ever been.
[02:03:48.360 --> 02:03:55.360]  And that was almost no coverage in the U.S. media. Talk about sleepwalking into thermonuclear Armageddon. Elaborate on that.
[02:03:55.360 --> 02:04:05.360]  Well, first of all, the mainstream M.S.M., mainstream media, I call them M.S.A.T.M., mainstream accessories to murder.
[02:04:05.360 --> 02:04:16.360]  Ladies and gentlemen, what we are seeing by their lack of non-coverage is the, if you will, the offering up to literally the forces of death of the American population.
[02:04:16.360 --> 02:04:26.360]  When you start attacking Russian strategic nuclear bases, hey, if they did that to us, I think everybody would read between the lines.
[02:04:26.360 --> 02:04:40.360]  But they're not stupid. And it just came out that Angela Merkel just announced, this is critical, Alex, that they lied, Western Europe lied to the Russians all the way through on Minsk I and Minsk II agreement.
[02:04:40.360 --> 02:04:53.360]  And ladies and gentlemen, you've got to understand, Russia is not a third-rate nation to be raped like some floating pirate ship in the ocean.
[02:04:53.360 --> 02:05:02.360]  So let me ask you this. How do you see the events unfolding? Is everything you've said is on record? And is there any, I understand you're saying there's no political solution.
[02:05:02.360 --> 02:05:12.360]  I mean, I think that's right, other than some refuges that have good governors and other things. And I want to ask you the big question. How do the globalists think they're going to carry this out and protect themselves?
[02:05:12.360 --> 02:05:27.360]  I know it's all over the news, what you reported 20 years ago, but now they confirm they've built bunkers up near the green line close to the Arctic Circle in northern Canada, hundreds of miles away from even small towns.
[02:05:27.360 --> 02:05:34.360]  They've built armored redoubts in Kauai. They've built armored redoubts in very remote areas in New Zealand and Australia.
[02:05:34.360 --> 02:05:41.360]  I mean, the globalists are all running around like chickens with their heads cut off. Then there are minions who aren't worth billions but worth tens of millions, hundreds of millions.
[02:05:41.360 --> 02:05:47.360]  They're building bunkers all over the place in mountainous terrain and other places. They're all scurrying.
[02:05:47.360 --> 02:05:52.360]  Then the people that are building those for them are building bomb shelters for themselves because they know it's coming down.
[02:05:52.360 --> 02:05:58.360]  Why did they orchestrate it? Why do they maneuver us in a position that destroys their use of all their money?
[02:05:58.360 --> 02:06:05.360]  Well, we know why. There's a spiritual need to kill and destroy because they're being demonically controlled by the father of lies.
[02:06:05.360 --> 02:06:14.360]  But I know a lot of them now, even high level who aren't consciously being evil, are now having to admit to themselves they were brought into a trap.
[02:06:14.360 --> 02:06:21.360]  That's one of the biggest threats to the globalists is people in their own systems realizing that their only way out is to oppose the New World Order.
[02:06:21.360 --> 02:06:29.360]  Well, I think all of those things you said are accurate. Obviously, bunkers are being built all over the world.
[02:06:29.360 --> 02:06:35.360]  That's why a lot of guys buy the biggest yachts they can and look for the safest harbors to moor in.
[02:06:35.360 --> 02:06:43.360]  That's why you're seeing a scramble out. Everything that you just defined as being the position that the billionaire and the trillion...
[02:06:43.360 --> 02:06:51.360]  We know that the main Google founders both have private islands in the South Pacific that are supplied by aircraft.
[02:06:51.360 --> 02:06:57.360]  I've had some meetings with some of the high level people. They were telling me about what they've done off record.
[02:06:57.360 --> 02:07:01.360]  A lot of folks have gone to the Southern Hemisphere. They asked me if I was going to go and I said I don't have the money to do it.
[02:07:01.360 --> 02:07:06.360]  Plus, I'm on a banning ship. But there is a race to the Southern Hemisphere. You might want to explain to people why that is.
[02:07:06.360 --> 02:07:14.360]  Well, first of all, it's like the old movie On the Beach. The Northern Hemisphere is where the majority of missiles will be fired.
[02:07:14.360 --> 02:07:21.360]  Obviously, you're going to see above the equator. You take a look at where Russia is. You take a look at where the United States is.
[02:07:21.360 --> 02:07:26.360]  You take a look at where Great Britain and NATO are. We're above the equator.
[02:07:26.360 --> 02:07:33.360]  The winds aloft and the secondary fallout patterns will favor the Southern equator.
[02:07:33.360 --> 02:07:38.360]  So anything below the Southern equator. That's why so many people are going to Paraguay.
[02:07:38.360 --> 02:07:43.360]  They're headed to Argentina, the Bariloche region. I probably pronounced it wrong.
[02:07:43.360 --> 02:07:51.360]  But everything, if you just take the Earth and you basically draw a line around the equator, which is there,
[02:07:51.360 --> 02:08:02.360]  the point is that you see the majority of light and wonderful graphics, but that's why they're all headed to the south of the equator or the far north.
[02:08:02.360 --> 02:08:09.360]  The south of the equator is going to be more favorable for a lot of reasons.
[02:08:09.360 --> 02:08:15.360]  But Earth changes, the density and population densities are less there.
[02:08:15.360 --> 02:08:25.360]  I just talked about Russia, but some of the most powerful political figures, even ex-presidents of the United States,
[02:08:25.360 --> 02:08:30.360]  have property in Paraguay, which has got one of the largest underground aquifers in the world.
[02:08:30.360 --> 02:08:44.360]  So at the end of the day, water will rule the planet and they who own the fresh water will have water to be able to give to people and feed them, obviously.
[02:08:44.360 --> 02:08:51.360]  And so this is why they're headed absolutely to anything that's south equatorial.
[02:08:51.360 --> 02:08:58.360]  And that's why Australia, before the weather modification, was considered one of the safest places.
[02:08:58.360 --> 02:09:01.360]  The same thing with New Zealand, but New Zealand has a big problem.
[02:09:01.360 --> 02:09:09.360]  It's called some of the most active volcanic regions in the world, Lake Taupo, T-A-U-P-O, Macquarie Island.
[02:09:09.360 --> 02:09:14.360]  They're going to have real problems because they're already becoming active again.
[02:09:14.360 --> 02:09:20.360]  And here's the ultimate statement I think that I can make on this.
[02:09:20.360 --> 02:09:30.360]  You're going to watch everybody everywhere that knows what's going on as things get tenser, watch the people that move to different places.
[02:09:30.360 --> 02:09:32.360]  Montana now has become a readout.
[02:09:32.360 --> 02:09:38.360]  We have one of the most wealthy enclaves up in our mountains in Gallatin Canyon.
[02:09:38.360 --> 02:09:44.360]  And there are people building, you know, 25, 50 million dollar homes up there with bunkers, et cetera, et cetera.
[02:09:44.360 --> 02:09:53.360]  But what's important that I think the average man understands is that, ladies and gentlemen, there is going to be a civil war.
[02:09:53.360 --> 02:09:55.360]  There is a communist takeover takedown.
[02:09:55.360 --> 02:09:57.360]  And it's the left, Alex.
[02:09:57.360 --> 02:09:58.360]  It's not you.
[02:09:58.360 --> 02:09:59.360]  It's not me.
[02:09:59.360 --> 02:10:00.360]  I've never called for civil war.
[02:10:00.360 --> 02:10:02.360]  But when you tell people there's going to be one.
[02:10:02.360 --> 02:10:05.360]  And yet the left is saying, get ready for civil war, civil war, civil war.
[02:10:05.360 --> 02:10:07.360]  I was tracking at one time.
[02:10:07.360 --> 02:10:14.360]  And almost every unsafe 10 to one mentions of civil war was by, quote, left sides.
[02:10:14.360 --> 02:10:17.360]  Well, when everybody's starving, it's a dog eat dog.
[02:10:17.360 --> 02:10:19.360]  It's the law of the jungle.
[02:10:19.360 --> 02:10:24.360]  And in essence, the entire military protocol for zombie apocalypse.
[02:10:24.360 --> 02:10:28.360]  Most people don't know this was actually a military manual for it.
[02:10:28.360 --> 02:10:35.360]  Is that anybody who's above ground when all of the slow down, slow down, because we have the new listeners that tune in.
[02:10:35.360 --> 02:10:38.360]  And conservatively, we tape a lot of shows on Saturday.
[02:10:38.360 --> 02:10:41.360]  We get about two million views just a band video alone.
[02:10:41.360 --> 02:10:44.360]  Then I rear it on the main broadcast reaches four or five million.
[02:10:44.360 --> 02:10:46.360]  And you cover so many incredible things.
[02:10:46.360 --> 02:10:51.360]  I remember hearing you 15 years ago.
[02:10:51.360 --> 02:10:56.360]  It was more than it was like 16, seven years ago on my show.
[02:10:56.360 --> 02:10:59.360]  Say the military is drilling.
[02:10:59.360 --> 02:11:09.360]  So it doesn't freak out the public that sees this in urban areas to mow down crowds when they're trying to take over critical infrastructure like nuclear reactors or what have it.
[02:11:09.360 --> 02:11:13.360]  And they know within 10 to 15 days, the average person acts like a psychotic zombie.
[02:11:13.360 --> 02:11:17.360]  Most people within 15 days either commit suicide or go into cannibalism.
[02:11:17.360 --> 02:11:19.360]  And you said you had that from sources.
[02:11:19.360 --> 02:11:24.360]  Then about four years later, it was an NBC News CNN everywhere.
[02:11:25.360 --> 02:11:34.360]  The military put out the manuals publicly that the Army and Marines were training for it, where they would have crowds of up to a thousand hired actors, but dressed as zombies.
[02:11:34.360 --> 02:11:36.360]  So the troops wouldn't feel so bad.
[02:11:36.360 --> 02:11:45.360]  But though this is really U.S. citizens mowing them down at nuclear bases and things that can't be overrun by basically road warrior type, you know, collapse society.
[02:11:45.360 --> 02:11:51.360]  So if you guys love to click Web because it's so old, but type in army trains for zombie apocalypse.
[02:11:51.360 --> 02:11:55.360]  Type that into Bing. Google may be blocking it now. Type it into DuckDuckGo.
[02:11:55.360 --> 02:11:58.360]  Because, folks, Google's totally fried now, but Google might have it, too.
[02:11:58.360 --> 02:12:01.360]  But type in military trains for zombie apocalypse.
[02:12:01.360 --> 02:12:06.360]  They are literally training for the total collapse and then have the role players dress up like zombies.
[02:12:06.360 --> 02:12:09.360]  So, again, the troops don't go. We're trained to mow down citizens en masse.
[02:12:09.360 --> 02:12:12.360]  They go, oh, it's it's like a joke, but it's not.
[02:12:12.360 --> 02:12:13.360]  So there you go. Headquarters.
[02:12:14.360 --> 02:12:17.360]  Command. Counter zombie dominance.
[02:12:17.360 --> 02:12:19.360]  APR 2011.
[02:12:19.360 --> 02:12:21.360]  So, see, I told you it was like 16, 17 years ago.
[02:12:21.360 --> 02:12:22.360]  I already talked about it.
[02:12:22.360 --> 02:12:24.360]  And there it is.
[02:12:24.360 --> 02:12:28.360]  Twelve years ago, it actually being drilled to see my memory is pretty good.
[02:12:28.360 --> 02:12:34.360]  And now again, though, you can actually find that ABC, NBC, CBS.
[02:12:34.360 --> 02:12:35.360]  We're not joking.
[02:12:35.360 --> 02:12:38.360]  So now start over with the zombie apocalypse.
[02:12:38.360 --> 02:12:40.360]  This couldn't be more important.
[02:12:40.360 --> 02:12:46.360]  And all the zombie movies and the culture getting you ready to see masses of people World War Z mowed down.
[02:12:46.360 --> 02:12:52.360]  Because when you're in urban center and five, 10 million people are starving to death, they act like locust or army ants.
[02:12:52.360 --> 02:12:55.360]  Explain what happens when civilization breaks down.
[02:12:55.360 --> 02:13:02.360]  Well, when civilization breaks down, all norms, all mores, everything goes away for one thing.
[02:13:02.360 --> 02:13:05.360]  To eat, to stay alive, and you'll fight to stay alive.
[02:13:05.360 --> 02:13:18.360]  And what's interesting about the zombie, if you will, the entire zombie protocols are absolutely in and I would say already in our plans, operational plans.
[02:13:18.360 --> 02:13:34.360]  But if you look at the the television series like The Walking Dead and all of the spin offs of The Walking Dead, Alex, the luminous, the globalist, the Luciferians always want to signal what they're going to do.
[02:13:34.360 --> 02:13:42.360]  It's kind of like Satan likes to rub the noses of human beings in their own demise and then get them to go along with it.
[02:13:42.360 --> 02:13:43.360]  It's a principle.
[02:13:43.360 --> 02:13:45.360]  I don't know how it all works, but it works.
[02:13:45.360 --> 02:13:49.360]  So even some of the viruses and you remember this.
[02:13:49.360 --> 02:13:51.360]  Well, it was a couple of years ago.
[02:13:51.360 --> 02:13:53.360]  Your memory is better than mine.
[02:13:53.360 --> 02:13:56.360]  You've been gifted with a wonderful memory.
[02:13:56.360 --> 02:14:07.360]  The issues of some of the drugs that were being seen on the streets of Miami were people were literally eating the faces off people.
[02:14:07.360 --> 02:14:08.360]  Do you remember that?
[02:14:08.360 --> 02:14:11.360]  And they were blaming it on a bad dose of drugs.
[02:14:11.360 --> 02:14:14.360]  Well, maybe they should understand something.
[02:14:14.360 --> 02:14:16.360]  This is what worries me.
[02:14:16.360 --> 02:14:20.360]  A four star general who used to be a spec ops out of.
[02:14:20.360 --> 02:14:26.360]  That was my next question, because you'd said so much to come true that that that that I knew you weren't lying.
[02:14:26.360 --> 02:14:30.360]  I thought you might have been a little nuts because you said a top former general told you this.
[02:14:30.360 --> 02:14:33.360]  And then five years later, it was in the news exactly as you'd said.
[02:14:33.360 --> 02:14:36.360]  Tell us what that source told you.
[02:14:36.360 --> 02:14:41.360]  Basically, that human cell tissue.
[02:14:41.360 --> 02:14:43.360]  And this is one by his own men.
[02:14:43.360 --> 02:14:45.360]  They said, Steve, this is the bravest man.
[02:14:45.360 --> 02:14:47.360]  I knew him.
[02:14:47.360 --> 02:14:48.360]  I know him.
[02:14:48.360 --> 02:14:51.360]  We broke off communications for a number of reasons.
[02:14:51.360 --> 02:14:53.360]  He's still alive by the grace of God.
[02:14:53.360 --> 02:15:05.360]  But he said, tell the people they're putting human genes into the different foods and and different nutritional supplements.
[02:15:05.360 --> 02:15:13.360]  They are turning a nation into the very zombies that they are intending on fighting.
[02:15:13.360 --> 02:15:16.360]  Now, ladies and gentlemen, that wasn't guy who had a top secret clearance.
[02:15:17.360 --> 02:15:22.360]  This was one of America's elite, elite fighting generals.
[02:15:22.360 --> 02:15:25.360]  And by fighting general, the guy was always on the ground with his men.
[02:15:25.360 --> 02:15:27.360]  He didn't send his men in to die.
[02:15:27.360 --> 02:15:28.360]  He went in to save them.
[02:15:28.360 --> 02:15:30.360]  And the stories are legendary.
[02:15:30.360 --> 02:15:31.360]  And I won't give up names.
[02:15:31.360 --> 02:15:33.360]  I just there's no purpose.
[02:15:33.360 --> 02:15:37.360]  And by the way, I know who it is because I separately confirmed to other people to go ahead.
[02:15:37.360 --> 02:15:38.360]  OK.
[02:15:38.360 --> 02:15:39.360]  And the deal is, is this.
[02:15:40.360 --> 02:15:48.360]  I believe that it's critical that people understand that I don't have anything to gain by telling you this stuff.
[02:15:48.360 --> 02:15:56.360]  If I would have had my druthers, I would have basically probably, you know, gone photographing around the world or something.
[02:15:56.360 --> 02:16:03.360]  But God's calling on your life, Alex Jones, on my life, on those who have been sounding the alarm is simply this.
[02:16:03.360 --> 02:16:10.360]  You realize that when the pulpits went silent, God released people that would tell you, tell me, tell Mike Adams,
[02:16:10.360 --> 02:16:15.360]  tell all of us who are telling the truth what should have been stated in the pulpits.
[02:16:15.360 --> 02:16:18.360]  That's why you've got so many dead, dumb unto death Christians.
[02:16:18.360 --> 02:16:22.360]  Look, if you're a follower of Jesus, stand up for Jesus.
[02:16:22.360 --> 02:16:24.360]  Don't let those scumbags mock him.
[02:16:24.360 --> 02:16:27.360]  Don't let them denigrate the God of heaven.
[02:16:27.360 --> 02:16:28.360]  Stand up.
[02:16:28.360 --> 02:16:29.360]  Stand up.
[02:16:29.360 --> 02:16:39.360]  Because, again, what's what I say this, if you just put up one of those articles, whoever does it that you just put up on fetal stem cells.
[02:16:39.360 --> 02:16:46.360]  You know, ladies and gentlemen, we're being we're being hybridized.
[02:16:46.360 --> 02:16:51.360]  We're being absolutely dehumanized.
[02:16:51.360 --> 02:16:59.360]  And even Bill Gates and others have talked about they want to get rid of the part of the human genome that relates to the living God.
[02:16:59.360 --> 02:17:02.360]  And Jesus said, if he didn't shorten the days to be no, no.
[02:17:02.360 --> 02:17:16.360]  By the way, I saw a new study, mainline scientific study that 5G and magnets can manipulate and block the area of the brain connected to higher consciousness and contact with God and trigger violent and destructive behavior.
[02:17:16.360 --> 02:17:26.360]  And when those when those waves block that, just like they tell us in The Kingsman, where they send the sequence out through the cell phones, through the 5G, everybody starts killing each other.
[02:17:26.360 --> 02:17:28.360]  They tell you what they're going to do.
[02:17:28.360 --> 02:17:29.360]  Absolutely.
[02:17:29.360 --> 02:17:35.360]  And what's what's interesting, you know, they try and all of these, you know, fact checkers.
[02:17:35.360 --> 02:17:42.360]  I mean, really, you tell me Newsweek or Time or Scopes or, you know, Snopes or whatever.
[02:17:42.360 --> 02:17:44.360]  Snopes is for Dopes, by the way.
[02:17:44.360 --> 02:17:46.360]  Or you kidding me, Wikipedia.
[02:17:46.360 --> 02:17:58.360]  There are people that the same people that denied all of the flavor enhancements based on fetal stem cells are those, Alex, that denied that COVID was a
[02:17:58.360 --> 02:18:05.360]  Well, they also deny that there are full genomes of people with immortal cell lines put in these shots, but later it was admitted.
[02:18:05.360 --> 02:18:06.360]  Yeah.
[02:18:06.360 --> 02:18:09.360]  So so again, here's here's what I'm saying.
[02:18:09.360 --> 02:18:11.360]  And maybe you can answer this question for me.
[02:18:11.360 --> 02:18:21.360]  You spent your life on podcasting, broadcasting, trying to get people to understand the lateness of the hour, the madness of the minute.
[02:18:21.360 --> 02:18:33.360]  But even knowing all this stuff and seeing it ahead of time, what is it, do you think, that keeps people from acting, you know, at essence in their own best interests?
[02:18:33.360 --> 02:18:35.360]  You know, they killed God.
[02:18:35.360 --> 02:18:36.360]  I can't feel God.
[02:18:36.360 --> 02:18:37.360]  My soul is dead.
[02:18:37.360 --> 02:18:40.360]  Remember what I said at the start of your program, Alex?
[02:18:40.360 --> 02:18:49.360]  I said the very first A.I. chip that would interrogate human thought processes was called the soul catcher.
[02:18:49.360 --> 02:18:52.360]  And somebody wants to look that up on your staff right now.
[02:18:52.360 --> 02:18:55.360]  It's important that people understand that.
[02:18:55.360 --> 02:19:05.360]  We don't have to make anything up because the reality of the moment is all pointing to that we have been programmed.
[02:19:05.360 --> 02:19:08.360]  We have been basically reprogrammed.
[02:19:08.360 --> 02:19:11.360]  They want to absolutely get us.
[02:19:11.360 --> 02:19:13.360]  And this is something that people have got to see.
[02:19:13.360 --> 02:19:14.360]  Thank you.
[02:19:14.360 --> 02:19:15.360]  Thank you.
[02:19:15.360 --> 02:19:17.360]  This first came out not in 2019.
[02:19:17.360 --> 02:19:22.360]  This came out in the BBC, I think 2010 at least.
[02:19:22.360 --> 02:19:24.360]  Maybe even before that.
[02:19:24.360 --> 02:19:29.360]  But again, the soul catcher chip, even science fiction movies of saucers.
[02:19:29.360 --> 02:19:34.360]  I forget what it was, but one of them where they they have a beam and they they take your soul.
[02:19:34.360 --> 02:19:36.360]  The Freddy Krueger movies.
[02:19:36.360 --> 02:19:37.360]  I don't watch those, by the way.
[02:19:37.360 --> 02:19:39.360]  I'm just familiar with the plots.
[02:19:39.360 --> 02:19:44.360]  The point that I'm trying to make, ladies and gentlemen, you are the target.
[02:19:44.360 --> 02:19:47.360]  Your family's your wife's your wife.
[02:19:47.360 --> 02:19:53.360]  I've got to make it clear why your wife is your children are their targets.
[02:19:53.360 --> 02:19:59.360]  And if we sit back and allow those murderous bastards, the bastard, when I used the word bastard,
[02:19:59.360 --> 02:20:07.360]  it's literally the one that God used in the Book of Enoch to define the offspring of the fallen angels having sex with Earth women, which became the Napoleon.
[02:20:07.360 --> 02:20:10.360]  So the point that I'm trying to make is this.
[02:20:10.360 --> 02:20:19.360]  Now we're we're sitting back unanimously watching the Center for Disease Creation going after six months old.
[02:20:19.360 --> 02:20:21.360]  There's going to be a vaccine for everything.
[02:20:21.360 --> 02:20:22.360]  AstraZeneca.
[02:20:22.360 --> 02:20:23.360]  Not AstraZeneca.
[02:20:23.360 --> 02:20:24.360]  I correct myself.
[02:20:24.360 --> 02:20:25.360]  Pfizer.
[02:20:25.360 --> 02:20:28.360]  Basically, now they're up to the sixth booster.
[02:20:28.360 --> 02:20:29.360]  Let me make it clear.
[02:20:29.360 --> 02:20:33.360]  There's no end to the release of biological pathogens.
[02:20:33.360 --> 02:20:37.360]  There's no end to the targeting of you as an American citizen to die.
[02:20:37.360 --> 02:20:42.360]  They plan for two hundred and sixty seventy million of us to disappear.
[02:20:42.360 --> 02:20:51.360]  And to put that into perspective, go into any place, count the people, remind yourself everyone's dead but me or one person's alive and we're all dead.
[02:20:51.360 --> 02:20:55.360]  So, Alex, we're fighting for number one, the human race.
[02:20:55.360 --> 02:20:57.360]  I want to make that clear.
[02:20:57.360 --> 02:21:06.360]  Most people are sitting around and the mainstream accessories to murder, not all of them, but they just report what I call bio flam.
[02:21:06.360 --> 02:21:12.360]  OK, it's just nothing but, you know, the precursor to vomit.
[02:21:12.360 --> 02:21:17.360]  We're talking about zoonotic transmission, origins of pathogens of novel coronavirus.
[02:21:17.360 --> 02:21:18.360]  You know, come on.
[02:21:18.360 --> 02:21:20.360]  We know gain of function.
[02:21:20.360 --> 02:21:24.360]  We know who hand carried this stuff to China.
[02:21:24.360 --> 02:21:26.360]  We know the payoffs.
[02:21:26.360 --> 02:21:28.360]  We know what's going on.
[02:21:28.360 --> 02:21:29.360]  And you know what?
[02:21:29.360 --> 02:21:33.360]  Maybe there's a few people starting to figure it out.
[02:21:33.360 --> 02:21:34.360]  Anybody.
[02:21:34.360 --> 02:21:35.360]  I want to make this clear.
[02:21:35.360 --> 02:21:48.360]  Anybody who listens to mainstream media and thinks that they are absolutely getting anything that could be remotely relay the truth is deceived and it will cost them their life.
[02:21:48.360 --> 02:21:50.360]  They have to research.
[02:21:50.360 --> 02:21:52.360]  They have to come to their own conclusions.
[02:21:52.360 --> 02:21:57.360]  All we can do at the end of the day, Alex, is provoke people with facts and say, you go search it.
[02:21:57.360 --> 02:21:58.360]  Absolutely.
[02:21:58.360 --> 02:21:59.360]  All right.
[02:21:59.360 --> 02:22:01.360]  Well, Steve, you've made incredible points.
[02:22:01.360 --> 02:22:03.360]  You spent almost an hour with us.
[02:22:03.360 --> 02:22:05.360]  God bless you for your time and your energy.
[02:22:05.360 --> 02:22:10.360]  I wanted to talk about a few things here at the end of any other final points you want to hit.
[02:22:10.360 --> 02:22:15.360]  But also, you put me in touch a few years ago with some great folks, and it's really been great in my life.
[02:22:15.360 --> 02:22:17.360]  It's been great for some of the listeners.
[02:22:17.360 --> 02:22:28.360]  And I wanted to just tell listeners about this great sponsor that you were kind enough to get us, who's one of the biggest satellite cell phone and dongles that turn a regular cell phone into a satellite phone in the world.
[02:22:28.360 --> 02:22:32.360]  And most places are sold out of sat phones and dongles that are at a good price.
[02:22:32.360 --> 02:22:33.360]  They're gouging people.
[02:22:33.360 --> 02:22:43.360]  Well, if you go to Infowarsphone.com, that just takes you to the satellite phone store, who's one of the biggest out there, and they've got a lot of great stuff in stock.
[02:22:43.360 --> 02:22:53.360]  They've got the solar chargers for cell phones, for sat phones, and for the dongles that, again, just plug into a regular cell phone and turn it into a satellite phone, also send text.
[02:22:53.360 --> 02:22:56.360]  They've got deals where the phone's free or the dongle's free.
[02:22:56.360 --> 02:22:58.360]  You just pay for the service.
[02:22:58.360 --> 02:23:03.360]  They also have just a lot of systems where the calls are free that you get and the texts you get are free.
[02:23:03.360 --> 02:23:06.360]  It's just sending them that goes towards your minutes each month.
[02:23:06.360 --> 02:23:16.360]  Everybody should go to the satellite phone store, satellitephonestore.com, or so that they know it came from us, it just takes you to the front page, Infowarsphone.com.
[02:23:16.360 --> 02:23:19.360]  Tell us a little bit about how great this company is.
[02:23:19.360 --> 02:23:26.360]  Well, it's a great company because they provide an alternative when there's no cell, no power, no quality.
[02:23:26.360 --> 02:23:27.360]  And they're patriots.
[02:23:27.360 --> 02:23:28.360]  They advertise on Tenpenny.
[02:23:28.360 --> 02:23:30.360]  You're the guy that got them from everybody.
[02:23:30.360 --> 02:23:31.360]  They're patriots.
[02:23:31.360 --> 02:23:33.360]  They advertise exclusively with patriots.
[02:23:33.360 --> 02:23:35.360]  Yes, and I've got to share something.
[02:23:35.360 --> 02:23:47.360]  They're the most amazing company because when Florida had the issue, Tina, one of the owners of the satellite phone store, was sending her people out to basically allow people to come into contact with their loved ones.
[02:23:47.360 --> 02:23:53.360]  Alex, communication is the singular most important point in a crisis situation.
[02:23:53.360 --> 02:23:57.360]  You want to know where your kids are, your wife is, your friend, your mother, father, daughter.
[02:23:57.360 --> 02:23:59.360]  It's the only way you're going to do it.
[02:23:59.360 --> 02:24:02.360]  The bivy stick that you showed up is one of the best deals out there.
[02:24:02.360 --> 02:24:09.360]  The bivy stick is basically you plug it into your phone and you're going from satellite to satellite.
[02:24:09.360 --> 02:24:12.360]  You're not going through a satellite phone tower.
[02:24:12.360 --> 02:24:15.360]  The satellite phone towers, who knows what's going to happen to those.
[02:24:15.360 --> 02:24:18.360]  But the bivy stick, this is a great deal.
[02:24:18.360 --> 02:24:21.360]  It's a two-way Iridium satellite communicator.
[02:24:21.360 --> 02:24:29.360]  And you just basically use your phone as a keypad and basically as a transmitting and receiving unit.
[02:24:29.360 --> 02:24:32.360]  And then you can send up to a thousand character texts.
[02:24:32.360 --> 02:24:40.360]  So what's critical about all preparation, I know a little bit about the field because I was one of the guys that found it a long time ago.
[02:24:40.360 --> 02:24:46.360]  And the thing that's important is communication is peace of mind.
[02:24:46.360 --> 02:24:49.360]  And when something bad happens, it plays with your mind.
[02:24:49.360 --> 02:24:56.360]  You can go to Infowars, ladies and gentlemen, because Tina has been supportive of the alternative news media.
[02:24:56.360 --> 02:25:00.360]  She's been all so supportive of Alex Jones, of myself, of Mike Adams.
[02:25:00.360 --> 02:25:10.360]  But you can also, she bought Alex a substantial amount of solar cells, solar panels, you know, both folding and fixed.
[02:25:10.360 --> 02:25:13.360]  And some of the biggest solar generator power systems.
[02:25:13.360 --> 02:25:17.360]  And actually I got one right to my left of me, weighs a bunch.
[02:25:17.360 --> 02:25:22.360]  And I carry a solar cell charger in my car for my SAP phone.
[02:25:22.360 --> 02:25:24.360]  And I've got my SAP phone right here.
[02:25:24.360 --> 02:25:25.360]  They've got big ones.
[02:25:25.360 --> 02:25:26.360]  They've got small ones.
[02:25:26.360 --> 02:25:27.360]  They're all cutting edge.
[02:25:27.360 --> 02:25:28.360]  Really good prices.
[02:25:28.360 --> 02:25:30.360]  Infowarsphone.com.
[02:25:30.360 --> 02:25:31.360]  People didn't get prepared.
[02:25:31.360 --> 02:25:32.360]  That's right.
[02:25:32.360 --> 02:25:39.360]  You weren't just the person 30 years ago first predicting a whole new world order, the forced injections, putting human animal genomes into us.
[02:25:39.360 --> 02:25:42.360]  You also, you know, trailblazed people getting prepared.
[02:25:42.360 --> 02:25:49.360]  And that's what's scary is that if 90 percent of people during the Great Depression were rural, about half of them, they say, were fully self-sufficient.
[02:25:49.360 --> 02:25:57.360]  So we're looking at 40 percent or so that were totally self-sufficient in the Great Depression.
[02:25:57.360 --> 02:26:01.360]  The others were partially self-sufficient, only 10 percent urban, totally unself-sufficient.
[02:26:01.360 --> 02:26:05.360]  Now we're at 90 percent in the United States, even higher in places like Europe.
[02:26:05.360 --> 02:26:08.360]  Places like Hong Kong, it's like 95 percent not self-sufficient.
[02:26:08.360 --> 02:26:11.360]  What happens when the lights go out?
[02:26:11.360 --> 02:26:16.360]  What happens when the food runs out in those is just psychotic hell upon hell.
[02:26:16.360 --> 02:26:23.360]  And so that's why everybody should be thinking about trying as quickly as possible to get to a rural area and get prepared.
[02:26:23.360 --> 02:26:30.360]  But whatever you do, we need satellite phone service so that when the cell towers go down, you are able to operate.
[02:26:30.360 --> 02:26:35.360]  Well, actually, we're going to change from holidays to howling days.
[02:26:35.360 --> 02:26:45.360]  One of the tragedies of the China lockdown was human beings screaming out of madness because they were locked in their homes or apartments.
[02:26:45.360 --> 02:26:50.360]  In that case. And I'll never, Alex, forget the sound of the howling dad.
[02:26:50.360 --> 02:26:55.360]  So we're going from holidays, which were in the holiday season, to howling days.
