[00:00.000 --> 00:06.000]  Please welcome to the program, the always interesting dynamic, Donald Trump. Donald!
[3:20:46.000 --> 3:20:58.000]  Article says presidential candidate Michael Bloomberg is facing accusations of racism saying minorities are overrepresented in crime statistics, despite official numbers proving him correct.
[3:20:58.000 --> 3:21:19.000]  The Times are showing Bloomberg up in second behind Joe Biden, who apparently has already left and gone home because he's that confident of winning. A clip resurfaced from a talk Bloomberg gave to the Aspen Institute in 2015, where he discussed stop and frisk, which as I said before the break, pretty much worked in New York to reduce violent crime.
[3:21:19.000 --> 3:21:32.000]  It was touted at the time as a success. He said in this audio clip, which is again, it's nothing new. It's five years old, quote, 95% of murders murderers and murder victims fit one M.
[3:21:32.000 --> 3:21:49.000]  Now, you can just take a description, Xerox didn't pass it out to all the cops. Their male minority, 16 to 25. That's true in New York. That's true in virtually every city. And that's where the real crime is. You've got to get the guns out of the hands of people that are getting killed.
[3:21:49.000 --> 3:22:06.000]  It immediately prompted the hashtag Bloomberg is racist to trend on Twitter, but it wasn't just Bernie Sanders supporters that were piling on Michael Bloomberg. It was Trump supporters, including Trump himself, who tweeted while Bloomberg is a total racist.
[3:22:06.000 --> 3:22:20.000]  And Donald Trump Jr, who tweeted. Oh, my God, leaked audio of Michael Bloomberg talking about the high crime rates among urban minorities. Trump president Trump deleted his tweet. Donald Trump Jr didn't.
[3:22:20.000 --> 3:22:38.000]  It's pretty odd because I said before the break, Trump literally ran on this same platform as the law and order candidate in 2016. In fact, in this article, I think I have indeed embedded the video from the 2016 debate with Hillary Clinton, where
[3:22:38.000 --> 3:22:54.000]  Trump is talking about how stop and frisk was a great success, how he supports it and how he believes Hillary Clinton supports it. But she can't say she supports it for political reasons. There's also a Trump tweet from 2013 where he says quote sadly the overwhelming
[3:22:54.000 --> 3:23:09.000]  amount of violent crime now major cities is committed by blacks and Hispanics. The tough subject must be discussed. And people were discussing it, but only in the context of Oh, my God, this proves that Michael Bloomberg is a racist.
[3:23:09.000 --> 3:23:24.000]  The stats don't tend to suggest that that's the case. They suggest that he's right. Now he was obviously being hyperbolic in claiming that 95% of murders are committed by minorities. But if you look at the Bureau of Justice Statistics,
[3:23:24.000 --> 3:23:41.000]  we had all these debates, by the way, six years ago, during the whole Black Lives Matter 2014 to 2016, where Black Lives Matter was this huge movement, massive protests, and indeed in some cases, Black Lives Matter supporters gunning
[3:23:41.000 --> 3:23:58.000]  down cops on the streets. That happened several times because they were radicalized by this rhetoric. They see white liberals kissing the feet of black Israeli black power movement members, literally going down the line, kissing the boots of
[3:23:58.000 --> 3:24:11.000]  what is called an extremist hate group. Now I'm not going to say that because I get called an extremist, but members affiliated with that group have been linked with actual crimes and shooting police officers dead.
[3:24:11.000 --> 3:24:24.000]  Going back to the article though, Bureau of Justice Statistics, again, we had all these debates six years ago during the rise of Black Lives Matter. The stats were readily available, not so readily available now.
[3:24:24.000 --> 3:24:35.000]  In fact, I looked for these on Google earlier, didn't come up, didn't come up on the first page, didn't come up on the second page. It's not like I'm searching for some right wing racist website.
[3:24:35.000 --> 3:24:51.000]  These stats were listed with the links to the Bureau of Justice official website, with the link to the official FBI website on Channel4.com. Channel4 is the most left wing news organization in Great Britain that you can get.
[3:24:51.000 --> 3:25:04.000]  They were talking about it back in 2015, 2016 because this debate was being had in the context of Black Lives Matter and all black people were represented when it comes to being killed by police.
[3:25:04.000 --> 3:25:19.000]  So these stats were being online, have been talked about for the past six years. Now it's very hard to find them on Google.com because they gain their algorithm to relegate certain search results because of their partisan bias.
[3:25:19.000 --> 3:25:32.000]  But they are on Yahoo! Search, and that's where I found them. According to the Bureau of Justice Statistics, black offenders commit 52% of homicides recorded in data between 1980 and 2008.
[3:25:32.000 --> 3:25:38.000]  Of course, this has become such common knowledge that it's basically a meme at this point.
[3:25:38.000 --> 3:25:49.000]  And I've put the link to the actual screenshot which shows you that black people make up roughly 13% of the US population since black men and not black women commit vast majority of homicides.
[3:25:49.000 --> 3:25:58.000]  That means 52% of the homicides, according to these statistics, are being committed by roughly 6.5% of the population.
[3:25:58.000 --> 3:26:14.000]  FBI figures also show 38.5% of people arrested for murder, manslaughter, rape, robbery, and aggravated assault were black, again mostly black males, meaning that 38.5% of such crimes are being committed by roughly 6.5% of the population.
[3:26:14.000 --> 3:26:30.000]  93% of black homicide victims were also killed by other black people, which again was not a narrative that black lives matter, was very keen on discussing between the years of 2014 and 2016.
[3:26:30.000 --> 3:26:47.000]  So was Bloomberg slightly hyperbolic in claiming that 95% of murders were committed by minorities? Maybe you could claim that, but his general point is completely dead on accurate and it's proven by FBI and Bureau of Justice Statistics.
[3:26:47.000 --> 3:27:06.000]  And then there's another clip which is also flagged up over the past 24 hours in the midst of this controversy, where Bloomberg makes the point that these numbers are derived from victim reporting, which debunks the notion that police officers are unfairly framing black people as a result of institutional racism.
[3:27:06.000 --> 3:27:20.000]  And then as some people pointed out on Twitter, including here, Matt Walsh, many prominent pro-Trump personalities joined the attack on Bloomberg despite him being correct on the quote, statistical realities of violent crime.
[3:27:20.000 --> 3:27:37.000]  So again, Matt Walsh tweeted, conservative jumping on the Bloomberg is racist bandwagon and now agreeing with the left that it's racist to discuss the statistical realities of violent crime, and all for the sake of bringing down a guy who wasn't going to win anyway, dubious strategy guys.
[3:27:37.000 --> 3:27:51.000]  So again, you've got a bunch of, in some cases, quite prominent pro-Trump personalities trying to counter signal trying to attack Bloomberg, again trying to pander to this narrative that Trump is not racist.
[3:27:51.000 --> 3:28:06.000]  They're never going to stop calling you or Trump a racist. There's no point in trying to counter signal it, get over it. In fact, there was a poll a couple of weeks ago, which found that something like 93% of black people think that Trump's racist.
[3:28:06.000 --> 3:28:20.000]  So, you know, from what I recall, he did get a few more black votes than Mitt Romney from 2012 to 2016 in comparison. But this narrative is not really going to prove to be a success electorally.
[3:28:20.000 --> 3:28:38.000]  So why a bunch of pro-Trump prominent media personalities are jumping on it? Is anyone's guess, again, given that Trump as the law and order candidate ran partly on this very same platform, the fact that minorities are overrepresented in crime statistics?
[3:28:38.000 --> 3:28:51.000]  You can argue, is it IQ? Is it upbringing? Is it socio-economics? That's a separate debate. There's no debate that they are overrepresented because the FBI crimes that prove that in trickle-tip.
[3:28:51.000 --> 3:29:09.000]  Heart disease is on the rise. Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you, but the symptoms are there. Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[3:29:09.000 --> 3:29:15.000]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[3:29:15.000 --> 3:29:25.000]  Blood pressure has normalized, my diabetes has totally improved. Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel. I recommend heart and body extract to everyone.
[3:29:25.000 --> 3:29:51.000]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[3:29:51.000 --> 3:30:01.000]  Don't be a victim. If you're worried about the coronavirus, exercise, but not too hard because that can lower your immune system. Drink extra purified clean water so that no toxins weigh you down.
[3:30:01.000 --> 3:30:10.000]  Get plenty of hydration, prayer and meditation has been proven to make you healthier. Get plenty of vitamin C, get plenty of vitamin D3 which is fish oil. Take your colloidal silver, all of it.
[3:30:10.000 --> 3:30:23.000]  That's what allows you to be healthier and get plenty of sleep. We have sold out of the 16 ounce immune gargle that has the nano silver that's patented and documented and even admitted in documents we've shown to go after this whole corona SARS family.
[3:30:23.000 --> 3:30:31.000]  A virus. We're almost sold out of the one ounce spray bottles. That'll be sold out a couple days and we're about a week and a half or so of the super silver three ounce bottles.
[3:30:31.000 --> 3:30:42.000]  We need to have period really good for your gums, really great for your teeth. We also have the super silver and our whitening toothpaste. Again, we're the only folks allowed to private label or make our own products with this top nanotech company base here in the U.S.
[3:30:42.000 --> 3:30:53.000]  That's in all these homeland security documents and everything because we get the best stuff. There's a lot of patriots. There's not just bad guys coming after us. There's a flip side of all the good guys and good gals. It's very exciting.
[3:30:53.000 --> 3:31:07.000]  Allergies, dander, asthma, germs, toxins. There are many reasons why we need to think about what is really in the air around us. We may not be able to stop breathing, but we can control what's in the air we breathe.
[3:31:07.000 --> 3:31:23.000]  The revolutionary Alexa pure breeze air filtration system is a powerful ally in the fight against the dangerous toxins and viruses in the air. Powerful, quiet and effective. The breeze uses a four step purification process to help you breathe easier and cleaner.
[3:31:23.000 --> 3:31:32.000]  Similar systems could cost hundreds to even thousands of dollars, but the Alexa pure breeze air purification is the best and most affordable bar none.
[3:31:32.000 --> 3:31:46.000]  The breeze in the ion cluster patented technology used in the system, eliminate up to 99.97% of airborne contaminants. Get the Alexa pure breeze today and save big on a world class air filtration system for your home.
[3:31:46.000 --> 3:31:52.000]  Don't keep breathing toxic or dangerous air. Get this special today at infowarstore.com.
[3:31:52.000 --> 3:32:06.000]  Infowars life is bringing you a breakthrough in modern medicine introducing pollen block. We have found an extraordinary new natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways,
[3:32:06.000 --> 3:32:09.000]  eye comfort and respiratory function.
[3:32:09.000 --> 3:32:29.000]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced less seasonal immune and inflammatory responses. They began studying this effect in published trials and decades later, we now have the fruit of this research, a fast acting, chewable tablet that helps alleviate seasonal distress symptoms.
[3:32:29.000 --> 3:32:44.000]  Pollen block is natural and effective. It is not an antihistamine. In fact, current research has found that it actually acts by blocking the activity of triptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[3:32:44.000 --> 3:32:46.000]  Go outside and enjoy the air you breathe.
[3:32:46.000 --> 3:32:55.000]  Head to infowarslife.com and grab a pack of our pollen block chewable tablets.
[3:32:55.000 --> 3:33:06.000]  You're listening to the Alex Jones show.
[3:33:06.000 --> 3:33:16.000]  Live from London, England, it's Paul Joseph Watson with summit.news.
[3:33:16.000 --> 3:33:33.000]  London Mayor City has revealed the winner of an award for diversity in advertising and this ad, this commercial, this billboard for underwear is so diverse, so diverse that it features absolutely zero white people.
[3:33:33.000 --> 3:33:35.000]  That's how diverse it is.
[3:33:35.000 --> 3:33:42.000]  London Mayor City has revealed the winner of an award for diversity in advertising, which featured, you guessed it, zero white people.
[3:33:42.000 --> 3:33:49.000]  He tweeted, London's greatest strength is our diversity, and it's record stabbings and by the crime.
[3:33:49.000 --> 3:33:55.000]  So he challenged advertisers to produce ads that better represented our pain communities.
[3:33:55.000 --> 3:34:13.000]  The poster features six scantily clad brown and black people advertising Nubian, a company that sells underwears people with darker skin tones, conserved the ad was empowering, inclusive, just not very inclusive of white people because there wasn't even one token white person on there.
[3:34:13.000 --> 3:34:28.000]  Zuby, the rapper, who is black tweeted, how is making everybody black diversity.
[3:34:28.000 --> 3:34:40.000]  The judging panel praised Nubian skin for their bold and empowering campaigns celebrating different body types and skin tones which are underrepresented in advertising said calm body types.
[3:34:40.000 --> 3:34:47.000]  He literally banned an ad from appearing in London that celebrated a certain body type.
[3:34:47.000 --> 3:35:01.000]  What body type was that a thin, attractive, healthy woman, because as respondents to the tweet pointed out, another body type and skin tone that is underrepresented in advertising attractive white people.
[3:35:01.000 --> 3:35:10.000]  Since Khan has banned such advertisements from being seen and they see the beach body ready ad, which of course wasn't back in 2015.
[3:35:10.000 --> 3:35:22.000]  I think it was a long time ago now, which was banned from appearing throughout London and probably throughout the country from what I'm aware of, because it body shamed fat people.
[3:35:22.000 --> 3:35:38.000]  So as long as you're fat and overweight and out of shape and lazy, you can appear semi naked on advertising. If you're in shape healthy, if you're promoting a positive example for young women to get in shape, that is not allowed and that will be banned.
[3:35:38.000 --> 3:36:00.000]  Of course, aside from Khan himself, we have a advertising standards authority in the UK, which now bans advertisements that feature traditional gender roles. They banned a Volkswagen commercial in the UK last year for violating gender stereotypes because it showed a woman caring for a baby.
[3:36:00.000 --> 3:36:02.000]  She was also white by the way.
[3:36:02.000 --> 3:36:14.000]  Another ad seen on the London Underground was allowed that was allowed featured a white character and lectured male commuters not to manspread. There was no advertisement telling women not to bagspread.
[3:36:14.000 --> 3:36:37.000]  Meanwhile, by the way, they also banned another ad which featured a sexy female mechanic fixing a car because that violates a gender stereotypes, apparently, or because she was just attractive and not overweight and obese. Meanwhile, the only ads featuring all white characters in London appear to be those encouraging white people to sterilize themselves.
[3:36:37.000 --> 3:36:49.000]  As you can see from this billboard, which is posted here at the bottom of the article. So that's your new award winning diversity ad features absolutely no white people.
[3:36:49.000 --> 3:36:52.000]  Meanwhile, another headline here.
[3:36:52.000 --> 3:36:58.000]  London Times says embracing traditional gender roles is a form of ISIS style extremism.
[3:36:58.000 --> 3:37:14.000]  This was an article written by Julia Ebner in the London Times, who by the way, she works for the Institute for Strategic Dialogue, ISD, a think tank that partners with national governments, Google and others to counter hate and extremism in the UK.
[3:37:14.000 --> 3:37:20.000]  What's the new form of hate and extremism wanting to be a trad wife.
[3:37:20.000 --> 3:37:32.000]  The article states, trad wives meet the women radicalized into complete subservience to men. There's a growing online community of women are rejecting feminism, God forbid, in favor of submission to men.
[3:37:32.000 --> 3:37:48.000]  The techniques used to radicalize them are similar to those used to groom ISIS brides. They're literally comparing women who want to stay at home and adopt traditional gender roles and God forbid take care of their husbands, comparing them to ISIS brides.
[3:37:48.000 --> 3:37:53.000]  People like Shamai Mbagan, who is banned from the UK.
[3:37:53.000 --> 3:38:05.000]  Article continues, apparently women who choose to be subservient to men and framework of a traditional marriage now represent an extremist movement. And this is not the first time they've come out with this narrative.
[3:38:05.000 --> 3:38:14.000]  A couple of weeks ago, of course, we had self proclaimed anti fascist researcher, Becca Lewis, who tries to get YouTube to ban everyone she doesn't like.
[3:38:14.000 --> 3:38:21.000]  She reacted to a BBC piece about trad wives by labeling it literal white supremacist propaganda.
[3:38:21.000 --> 3:38:34.000]  Because of course, in no other country across the world, not in Mexico, not in China, not in any African country, do we see traditional gender roles being embraced by anyone that never happens, right?
[3:38:34.000 --> 3:38:49.000]  Only in white countries, even though ironically in white countries, those are the countries in which traditional gender roles are increasingly being embraced or not being embraced at all, specifically because of this kind of propaganda.
[3:38:49.000 --> 3:38:55.000]  The New York Times also published an article asserting that mommy vlogging is a virulent strain of white nationalism.
[3:38:55.000 --> 3:39:05.000]  So now I guess if you post YouTube videos with your baby in the kitchen as you're cooking dinner for your husband, that's now white nationalism. That's extremism.
[3:39:05.000 --> 3:39:13.000]  While young people are being encouraged to chase a lifetime of vacuous promiscuous sex, mothers are being publicly shamed on national television, and this brings me to the clip.
[3:39:13.000 --> 3:39:31.000]  While they're telling people that it's an extremist form of white supremacy to want to adopt traditional gender roles, get married, have kids, they're publicly shaming mothers on morning television shows on major networks in major countries for taking care of their husbands.
[3:39:31.000 --> 3:39:37.000]  We have a clip here from the Today Show in Australia where they're doing exactly that. Let's roll the clip.
[3:39:37.000 --> 3:39:44.000]  I want to take you back to the 1950s, or at least that's what I thought when I read this Brisbane Mum's Facebook post.
[3:39:44.000 --> 3:39:47.000]  Brooke Smith shared her routine online. Here's what she said.
[3:39:47.000 --> 3:39:57.000]  I always make sure I don't go to bed until everyone's lunches are packed, their clothes are set out for the next day, including my husband's, and the house is clean, dishwasher is on, and a load of washing is on.
[3:39:57.000 --> 3:40:03.000]  I always get up early, 4.30, with my husband to make his breakfast and coffee.
[3:40:03.000 --> 3:40:08.000]  Go, Brooke, whatever.
[3:40:08.000 --> 3:40:16.000]  I tell you what though, Christy, a lot of people online are saying well done, praising her.
[3:40:16.000 --> 3:40:23.000]  Who? Who are these people? Has he hypnotised her or something? Who does this stuff?
[3:40:23.000 --> 3:40:30.000]  Making his breakfast and then putting his clothes out of a night? Is he disabled or something like seriously?
[3:40:30.000 --> 3:40:34.000]  Get a grip, get off your bum and do stuff yourself.
[3:40:34.000 --> 3:40:39.000]  My only theory is that she might actually like her husband and she might actually like to get up at 4.30 and spend time with him.
[3:40:39.000 --> 3:40:44.000]  I like my husband, make your own bloody breakfast and coffee.
[3:40:44.000 --> 3:40:50.000]  Apparently this couple run an MMA fighting gym.
[3:40:50.000 --> 3:40:51.000]  Mixed martial arts.
[3:40:51.000 --> 3:40:55.000]  Mixed martial arts and they also breed bulldogs, so they can do whatever they want.
[3:40:55.000 --> 3:41:00.000]  Hey, you know what, if it makes her happy, but nothing in that list of things there.
[3:41:00.000 --> 3:41:03.000]  And she's got four children under the age of six.
[3:41:03.000 --> 3:41:08.000]  But did you see her photos too? She's still time to make her hair look beautiful and put her makeup on.
[3:41:08.000 --> 3:41:10.000]  She looks gorgeous.
[3:41:10.000 --> 3:41:13.000]  Making the rest of us look bad.
[3:41:13.000 --> 3:41:18.000]  Oh my God, she gets up in the morning to make her husband breakfast.
[3:41:18.000 --> 3:41:21.000]  She takes care of her four children.
[3:41:21.000 --> 3:41:26.000]  She should be publicly shamed. Who on earth would do that? Who has ever heard of anything like that?
[3:41:26.000 --> 3:41:28.000]  That's ridiculous, right?
[3:41:28.000 --> 3:41:32.000]  That's bad enough to publicly shame someone for that on national television.
[3:41:32.000 --> 3:41:34.000]  And you heard them scoffing.
[3:41:34.000 --> 3:41:37.000]  But now they're literally saying it's a form of extremism.
[3:41:37.000 --> 3:41:40.000]  This is how far down the road we are.
[3:41:40.000 --> 3:41:46.000]  So we've literally got young people trapped in this hellscape of modernity of degeneration.
[3:41:46.000 --> 3:41:52.000]  To the point where we've got record high depression rates, record high suicide rates amongst young people.
[3:41:52.000 --> 3:41:54.000]  People are getting married later and later.
[3:41:54.000 --> 3:42:00.000]  They're engaging in this hedonistic lifestyle, which by all judgment is making them miserable and depressed.
[3:42:00.000 --> 3:42:03.000]  Now they're being told that if they want to get away from that,
[3:42:03.000 --> 3:42:07.000]  if they actually want to go back to traditional lifestyles, which may make them happy,
[3:42:07.000 --> 3:42:10.000]  they're on a par with ISIS brides.
[3:42:10.000 --> 3:42:17.000]  Meanwhile, UK celebrates man coming out as gay after 27 years of marriage with blanket media coverage.
[3:42:17.000 --> 3:42:22.000]  This is a TV host called called Phillips Cofield, who I think he's got three or four kids.
[3:42:22.000 --> 3:42:28.000]  He was married for 27 years before announcing on Instagram and on national television that he was gay.
[3:42:28.000 --> 3:42:32.000]  So he's basically been deceiving his family for 27 years.
[3:42:32.000 --> 3:42:39.000]  He was immediately hailed, celebrated, applauded. You can't stop progress.
[3:42:39.000 --> 3:42:44.000]  So getting up early in the morning to make breakfast for your husband and taking care of your children.
[3:42:44.000 --> 3:42:46.000]  That's bad. That's extremist.
[3:42:46.000 --> 3:42:51.000]  Coming out as gay after lying to your family for 27 years, that's stunning and brave.
[3:42:51.000 --> 3:43:14.000]  Don't go lying. We'll be back.
[3:43:14.000 --> 3:43:21.000]  Yes, now we know we're right. The New World Order is real. Satanism is real. The pedophile leader is real.
[3:43:21.000 --> 3:43:24.000]  But we're real as well and we love God and we're standing up and saying no.
[3:43:24.000 --> 3:43:28.000]  But I just want to make the point here, one month into 2020, that we have never been in Kansas.
[3:43:28.000 --> 3:43:32.000]  We have never been in some small, ill place that didn't matter.
[3:43:32.000 --> 3:43:36.000]  Everything we do, every decision we make governs the future of our species.
[3:43:36.000 --> 3:43:39.000]  And everything we've gone through and everything we're going to go through.
[3:43:39.000 --> 3:43:41.000]  So it's an incredible town to be alive.
[3:43:41.000 --> 3:43:44.000]  It's an incredible town for being aware and being involved.
[3:43:44.000 --> 3:43:50.000]  But just remember, your action now via prayer, word of mouth, and financial support of mp4store.com is critical.
[3:43:50.000 --> 3:43:52.000]  So please take action.
[3:43:52.000 --> 3:43:55.000]  We've got three big sales going right now.
[3:43:55.000 --> 3:43:57.000]  And one of them has to end within a week.
[3:43:57.000 --> 3:44:03.000]  And that's ultimate fish oil for 33% off.
[3:44:03.000 --> 3:44:05.000]  It's amazing. Go check it out for yourself.
[3:44:05.000 --> 3:44:11.000]  Then we've got back in stock X2, our best selling deep earth crystals iodine, the good halogen.
[3:44:11.000 --> 3:44:13.000]  That is the building block to everything in the body.
[3:44:13.000 --> 3:44:15.000]  And I just can't tell you enough how important it is.
[3:44:15.000 --> 3:44:20.000]  The UN admits 2 billion people have low IQ or mental disability because they never got enough iodine.
[3:44:20.000 --> 3:44:22.000]  So just check it out for yourself.
[3:44:22.000 --> 3:44:25.000]  40% off m4store.com and it funds the m4.
[3:44:25.000 --> 3:44:30.000]  And then vitamin D3 with vitamin K that fuses it together.
[3:44:30.000 --> 3:44:32.000]  Super high quality, winter sun.
[3:44:32.000 --> 3:44:34.000]  You don't have sun during the winter.
[3:44:34.000 --> 3:44:36.000]  Sun helps your body produce the vitamin D3.
[3:44:36.000 --> 3:44:38.000]  That's why people get so sick.
[3:44:38.000 --> 3:44:39.000]  That's the main reason.
[3:44:39.000 --> 3:44:42.000]  Well, you can supplement with this under the tongue at higher absorption.
[3:44:42.000 --> 3:44:43.000]  It's amazing.
[3:44:43.000 --> 3:44:48.000]  All three of these are on sale, but only for a limited time at m4store.com.
[3:44:48.000 --> 3:44:50.000]  Protect yourself and fund the m4.
[3:44:50.000 --> 3:45:15.000]  360 win.
[3:45:15.000 --> 3:45:20.000]  So right now, humanity's awakening is explosive, it's powerful, it's incredible.
[3:45:20.000 --> 3:45:22.000]  But there's major obstacles coming down the road.
[3:45:22.000 --> 3:45:27.000]  And the only way we can effectively fight the NWO and stay in the game like m4.
[3:45:27.000 --> 3:45:28.000]  This is the tip of the spear.
[3:45:28.000 --> 3:45:32.000]  If you're finding support, we make it really easy at m4store.com.
[3:45:32.000 --> 3:45:39.000]  But I am blowing through our backup money right now with our reporters doing triple the work they ever have.
[3:45:39.000 --> 3:45:41.000]  Because they volunteered to do it.
[3:45:41.000 --> 3:45:44.000]  And Owen and the rest of the crew will fight 18 hours a day, 7 days a week.
[3:45:44.000 --> 3:45:46.000]  During this election year, that's so critical.
[3:45:46.000 --> 3:45:49.000]  But they need the financing to put them in the field.
[3:45:49.000 --> 3:45:53.000]  Go to m4store.com and fight for your own future.
[3:45:53.000 --> 3:45:55.000]  The demand for food has not let up.
[3:45:55.000 --> 3:45:58.000]  We are selling record amounts of it.
[3:45:58.000 --> 3:46:00.000]  Everybody else has basically already sold out.
[3:46:00.000 --> 3:46:02.000]  Or they have a giant wait list.
[3:46:02.000 --> 3:46:04.000]  Our suppliers have it in-house.
[3:46:04.000 --> 3:46:06.000]  It's taken 7 to 10 days to deliver.
[3:46:06.000 --> 3:46:08.000]  Because again, they have to package it.
[3:46:08.000 --> 3:46:10.000]  They're running 24 hours a day.
[3:46:10.000 --> 3:46:15.000]  But in a few days, they're telling me it may go to a longer wait if you haven't gotten your order in.
[3:46:15.000 --> 3:46:17.000]  So I wouldn't crash the name.
[3:46:17.000 --> 3:46:19.000]  We wanted this virus to be peering out.
[3:46:19.000 --> 3:46:20.000]  We wanted it to just be hype.
[3:46:20.000 --> 3:46:22.000]  Looks like it is really, really bad.
[3:46:22.000 --> 3:46:23.000]  And it is man-made.
[3:46:23.000 --> 3:46:26.000]  And so that's why we're seeing the huge freak out.
[3:46:26.000 --> 3:46:29.000]  So get your storable food at m4store.com.
[3:46:29.000 --> 3:46:30.000]  That helps find your operation.
[3:46:30.000 --> 3:46:31.000]  It's insurance.
[3:46:31.000 --> 3:46:33.000]  You can eat a total 360 win.
[3:46:33.000 --> 3:46:37.000]  Again, get your food and actually get it delivered at m4store.com.
[3:46:37.000 --> 3:46:38.000]  Get your order in.
[3:46:38.000 --> 3:46:40.000]  Get your order in. It's locked in.
[3:46:40.000 --> 3:46:43.000]  Guaranteed 7 to 10 days at m4store.com.
[3:46:43.000 --> 3:46:45.000]  And regardless, it funds the operation.
[3:46:45.000 --> 3:46:47.000]  We also have the immune guard with 40% off.
[3:46:47.000 --> 3:46:49.000]  We are going to sell out of that.
[3:46:49.000 --> 3:47:14.000]  We're keeping it at that sales price m4store.com.
[3:47:14.000 --> 3:47:19.000]  We're going to get into the latest coronavirus news here in a second.
[3:47:19.000 --> 3:47:20.000]  Big developments there.
[3:47:20.000 --> 3:47:22.000]  First, I want to draw your attention to m4store.com,
[3:47:22.000 --> 3:47:25.000]  where we still have available the m4store.com.
[3:47:25.000 --> 3:47:28.000]  Live select storeable food at massive discounts.
[3:47:28.000 --> 3:47:30.000]  We have the one year supply.
[3:47:30.000 --> 3:47:32.000]  We've got a whole bunch of different options.
[3:47:32.000 --> 3:47:34.000]  You can get the one year supply.
[3:47:34.000 --> 3:47:37.000]  Six months, three months, four weeks, two weeks,
[3:47:37.000 --> 3:47:39.000]  depending on your budget.
[3:47:39.000 --> 3:47:42.000]  This is in the case of the one year supply.
[3:47:42.000 --> 3:47:46.000]  3,456 servings of healthy, delicious,
[3:47:46.000 --> 3:47:49.000]  storeable food, drinks and snacks for 365 days,
[3:47:49.000 --> 3:47:51.000]  up to 2,000 calories a day.
[3:47:51.000 --> 3:47:54.000]  Got a 25 year shelf life.
[3:47:54.000 --> 3:47:56.000]  Just add water.
[3:47:56.000 --> 3:47:59.000]  And again, if nothing happens, just eat the food
[3:47:59.000 --> 3:48:00.000]  and save a bunch of money.
[3:48:00.000 --> 3:48:02.000]  Anyway, support this network.
[3:48:02.000 --> 3:48:05.000]  The five star reviews are rolling in in triplicate.
[3:48:05.000 --> 3:48:11.000]  It's got 4.7, 96% recommended on the independent reviews.
[3:48:11.000 --> 3:48:13.000]  We're under the biggest demand due to the surrounding
[3:48:13.000 --> 3:48:15.000]  world events with each passing minute.
[3:48:15.000 --> 3:48:17.000]  Orders will get more delayed in delivery.
[3:48:17.000 --> 3:48:19.000]  So secure your order today.
[3:48:19.000 --> 3:48:22.000]  m4 was live select storeable food.
[3:48:22.000 --> 3:48:24.000]  Delicious, easy to cook.
[3:48:24.000 --> 3:48:27.000]  And again, 25 years shelf life support this network.
[3:48:27.000 --> 3:48:28.000]  It's running out quick.
[3:48:28.000 --> 3:48:31.000]  It's available right now at m4store.com.
[3:48:31.000 --> 3:48:35.000]  As is the super blue silver immune goggle.
[3:48:35.000 --> 3:48:37.000]  That's available at discount.
[3:48:37.000 --> 3:48:40.000]  You've got the super blue fluoride free toothpaste
[3:48:40.000 --> 3:48:42.000]  available again at half price.
[3:48:42.000 --> 3:48:44.000]  Who doesn't use toothpaste?
[3:48:44.000 --> 3:48:46.000]  You might as well get it from us.
[3:48:46.000 --> 3:48:49.000]  We also have the ultimate fish oil bodies,
[3:48:49.000 --> 3:48:52.000]  the immune support, the joint support product,
[3:48:52.000 --> 3:48:55.000]  as well as ultra 12 and a bunch of other products,
[3:48:55.000 --> 3:48:58.000]  including info was life knockout sweep age,
[3:48:58.000 --> 3:49:01.000]  which is also available at discount.
[3:49:01.000 --> 3:49:05.000]  Bunch of great specials available at m4store.com.
[3:49:05.000 --> 3:49:08.000]  Please support this network by stocking up
[3:49:08.000 --> 3:49:10.000]  on those products today.
[3:49:10.000 --> 3:49:13.000]  With a particular focus on the storeable food,
[3:49:13.000 --> 3:49:15.000]  because again of world events,
[3:49:15.000 --> 3:49:18.000]  which get crazier by the minute.
[3:49:18.000 --> 3:49:20.000]  And on that very subject,
[3:49:20.000 --> 3:49:22.000]  the latest with the coronavirus outbreak
[3:49:22.000 --> 3:49:25.000]  is that the World Health Organization is once again
[3:49:25.000 --> 3:49:28.000]  on the front lines of stopping the spread
[3:49:28.000 --> 3:49:30.000]  of this potential global pandemic
[3:49:30.000 --> 3:49:35.000]  by cracking down on people who might offend other people.
[3:49:35.000 --> 3:49:38.000]  Yes, they've declared war, not so much on the virus,
[3:49:38.000 --> 3:49:44.000]  but on people being offensive about the coronavirus headline.
[3:49:44.000 --> 3:49:48.000]  WHO gives coronavirus a new name to prevent stigmatization.
[3:49:48.000 --> 3:49:51.000]  Now they've literally said this about four times now.
[3:49:51.000 --> 3:49:55.000]  It's like, yes, we get it in their original statement
[3:49:55.000 --> 3:49:59.000]  when they declared coronavirus to be a global health emergency.
[3:49:59.000 --> 3:50:02.000]  Within that statement about four different times,
