[00:00:17.611 --> 00:00:21.974]  Hindsight is 2020, and the enemy is very cunning.
[02:52:38.160 --> 02:52:39.640]  This is the end of the country.
[02:52:39.640 --> 02:52:45.802]  We need to see a giant caravan that the news picks up of hundreds and hundreds of cars to become thousands and that everyone meets along the way.
[02:52:45.802 --> 02:52:46.702]  It's already happening.
[02:52:46.702 --> 02:52:47.562]  Folks are going to D.C.
[02:52:47.562 --> 02:52:50.383]  A lot of big groups, but this is not a spectator thing.
[02:52:50.383 --> 02:52:51.383]  This is do it now.
[02:52:53.834 --> 02:52:55.474]  Well, I don't expect any news to cover this.
[02:52:55.474 --> 02:52:58.055]  The news wants to ignore anything pro Trump that's kind of pathetic.
[02:52:58.055 --> 02:52:58.795]  No, but I mean the people's news.
[02:52:58.795 --> 02:53:00.536]  The people's news.
[02:53:00.536 --> 02:53:01.796]  Well, the people showed up, Alex.
[02:53:01.796 --> 02:53:02.616]  That's the beauty of it.
[02:53:02.616 --> 02:53:11.939]  The people show up with their own independent news channels, like JustAnotherChannel.com, a bunch of local reporters, just individuals, freelance journalists showed up at Baton Rouge, Louisiana.
[02:53:11.939 --> 02:53:17.581]  I expect it'll be the same in Tallahassee, because the mainstream news doesn't want to cover the American Restoration, the American Revolution 2.0.
[02:53:17.581 --> 02:53:18.981]  No, they only want to show the little comments.
[02:53:18.981 --> 02:53:20.241]  We knew that would happen.
[02:53:20.241 --> 02:53:20.761]  That's beautiful.
[02:53:20.761 --> 02:53:22.302]  So this is in, where is this?
[02:53:24.793 --> 02:53:25.474]  We are.
[02:53:25.474 --> 02:53:27.256]  I think we may still be in Louisiana.
[02:53:27.256 --> 02:53:28.737]  Are we still in Louisiana, guys?
[02:53:28.737 --> 02:53:32.742]  Yeah, we're still in Louisiana, but we're approaching Mississippi as we speak.
[02:53:32.742 --> 02:53:35.565]  And like I said, under an hour outside of Biloxi.
[02:53:35.565 --> 02:53:38.048]  We're showing a lot of footage of fans along the road as you're driving.
[02:53:40.083 --> 02:53:44.727]  Oh yeah, we've had people along the road, people drive by hawking at us, waving flags and everything.
[02:53:44.727 --> 02:53:49.592]  So this is American Revolution 2.0, the restoration of America.
[02:53:49.592 --> 02:53:53.676]  And I think that the swamp, the corrupt criminals from D.C.
[02:53:53.676 --> 02:53:54.737]  know they're in big trouble.
[02:53:54.737 --> 02:53:55.858]  And if we show up huge,
[02:53:56.258 --> 02:53:59.442]  For President Trump this weekend, millions strong.
[02:53:59.442 --> 02:54:00.804]  It's the total mandate.
[02:54:00.804 --> 02:54:04.469]  It's the total fuel that Trump needs to finally drain this swamp.
[02:54:04.469 --> 02:54:13.981]  Before, as Secretary of Defense Mike Pompeo said, a smooth transition into the next four years, which I don't think he would have said unless he knew that swamp was going to get drained.
[02:54:14.926 --> 02:54:17.368]  Well, it just shows that not everybody's rolling over on the president.
[02:54:17.368 --> 02:54:18.309]  We're putting a fight up.
[02:54:18.309 --> 02:54:25.115]  I mean, the sick part of me, a Machiavellian side, which I try to keep caged up, hopes they put Biden in and actually try this down the road.
[02:54:25.115 --> 02:54:25.975]  It's even worse for them.
[02:54:25.975 --> 02:54:27.977]  I mean, they are just such a bunch of scum.
[02:54:27.977 --> 02:54:31.260]  But I want to fix this peacefully, and I don't want it to go down that road.
[02:54:31.260 --> 02:54:32.841]  So this is going to be an incredible moment.
[02:54:32.841 --> 02:54:34.222]  Tallahassee, Florida tonight.
[02:54:34.222 --> 02:54:36.384]  You guys are up where, to Georgia next?
[02:54:36.384 --> 02:54:37.084]  Then into Virginia?
[02:54:37.925 --> 02:54:41.869]  In fact, I'll just lay it out real quick before this break, Alex.
[02:54:41.869 --> 02:54:45.152]  Tallahassee, Florida, State Capitol Building tonight, 8.30 p.m.
[02:54:45.152 --> 02:54:45.572]  Eastern.
[02:54:45.572 --> 02:54:49.897]  Tomorrow, State Capitol Building, Atlanta, Georgia, 3 p.m.
[02:54:49.897 --> 02:54:50.537]  Eastern.
[02:54:50.537 --> 02:54:56.062]  Tomorrow night, State Capitol Building, Columbia, South Carolina, we're thinking about 7 or 8 p.m.
[02:54:56.062 --> 02:54:58.705]  Stay tuned at StopTheSteelCaravan.com for updates.
[02:54:58.705 --> 02:54:59.686]  And then, Thursday,
[02:55:00.086 --> 02:55:01.911]  Raleigh, North Carolina.
[02:55:01.911 --> 02:55:03.274]  Richmond, Virginia.
[02:55:03.274 --> 02:55:06.020]  And then we complete Friday, Saturday in D.C.
[02:55:06.020 --> 02:55:09.228]  with millions of other patriotic Americans standing up for this republic.
[02:55:11.681 --> 02:55:16.544]  It's beautiful, and what we saw in Virginia was so huge of a fraction of those 50,000 show up.
[02:55:16.544 --> 02:55:17.404]  It's going to be beautiful.
[02:55:17.404 --> 02:55:19.025]  So this is for your Second Amendment.
[02:55:19.025 --> 02:55:19.786]  It's for your family.
[02:55:19.786 --> 02:55:20.786]  It's for the unborn.
[02:55:20.786 --> 02:55:21.747]  It's for everybody.
[02:55:21.747 --> 02:55:24.309]  Everybody needs to meet this caravan and go into D.C.
[02:55:24.309 --> 02:55:25.269]  It's going to be beautiful.
[02:55:25.269 --> 02:55:30.332]  Owen Schroer, look forward to talking to you during the war room today and during election, now it's on election countdown.
[02:55:30.332 --> 02:55:34.735]  What do we, like the Battle for the Republic is the name of the new show, 7 to 9 p.m.
[02:55:34.735 --> 02:55:35.155]  Central.
[02:55:35.155 --> 02:55:39.118]  Battle for the Republic, live coverage of the coup against America and the fight back.
[02:55:39.118 --> 02:55:39.538]  Stay with us.
[02:55:40.993 --> 02:55:43.474]  America is in crisis.
[02:55:43.474 --> 02:55:48.316]  Emergency Lockdown 2 is coming under Biden.
[02:55:48.316 --> 02:55:54.598]  Support InfoWars, the fight against total economic collapse, and Biden's martial law disguised as Lockdown 2.
[02:55:54.598 --> 02:56:03.142]  Up to 60% off, plus free shipping and triple patriot points and more at InfoWarsTore.com, DNA Force, plus Alpha Power back in stock.
[02:56:03.502 --> 02:56:04.303]  We're good to go.
[02:56:20.239 --> 02:56:21.700]  You have to have to live.
[02:56:21.700 --> 02:56:25.822]  But regardless, buying these products from us funds the InfoWars, which is a 360 win.
[02:56:25.822 --> 02:56:27.563]  I want to thank you all for your support.
[02:56:27.563 --> 02:56:29.484]  I want to ask you to redouble your efforts to spread the word.
[02:56:29.484 --> 02:56:34.167]  I want to ask you to buy the products at InfoWarsStore.com today, because without you, we won't be on the air.
[02:56:34.167 --> 02:56:35.348]  Again, I salute you and thank you all.
[02:56:35.348 --> 02:56:36.308]  The toll-free number is 888-253-3139.
[02:56:36.308 --> 02:56:38.430]  Please take action today in our emergency zone.
[02:56:44.406 --> 02:56:53.935]  Transmitting worldwide from the Summit.nu studios in the United Kingdom, you're listening to Paul Joseph Watson.
[02:56:57.463 --> 02:57:00.905]  And we are live on this fourth hour of the show.
[02:57:00.905 --> 02:57:21.796]  We're going to get into the latest in the litigation concerning the recount, the election attempt to actually count the legitimate votes, which is a very important process, much to the chagrin of the mainstream media, which has decided to give itself, to anoint itself with the power of declaring the next president.
[02:57:21.796 --> 02:57:23.037]  That's not the case.
[02:57:23.037 --> 02:57:24.638]  The power is with the electors.
[02:57:25.700 --> 02:57:27.941]  And the recounts are going to continue.
[02:57:27.941 --> 02:57:33.702]  The litigation is going to continue for the next few days and indeed weeks.
[02:57:33.702 --> 02:57:50.366]  But of course, Biden has basically come out and his transition team, which is basically asserted power, as they said they would do before the election to give Biden that legitimacy of power, have come out and said that lockdown 2.0 for the United States is on its way.
[02:57:51.992 --> 02:58:07.697]  Interesting fact, the earliest known use of the term lockdown was in a 1973 Fresno Bee newspaper article, and it referred to prisoners being kept in their cells after a knife attack.
[02:58:07.697 --> 02:58:19.381]  So the very origin of the term lockdown was in the context of an unruly population being kept behind bars by the authorities.
[02:58:19.381 --> 02:58:21.302]  Really makes you think, really makes you think.
[02:58:22.250 --> 02:58:23.571]  And today we're going to be talking about that.
[02:58:23.571 --> 02:58:28.612]  We're going to be talking about the Great Reset, which again is not a conspiracy theory.
[02:58:28.612 --> 02:58:37.576]  It's an open plan being proudly promulgated and promoted by the global elite, by Davos, by the World Economic Forum.
[02:58:37.576 --> 02:58:49.160]  Headline up on Breitbart from James Dellingpole, who I'm hopefully going to interview here in the near future, only Donald Trump can save us from the Great Reset.
[02:58:49.160 --> 02:58:50.881]  Now this is a plan that's been in the works
[02:58:51.661 --> 02:58:59.685]  At least since 2016, this is not something that was just invented off the back of the convenient Chinese coronavirus outbreak.
[02:58:59.685 --> 02:59:03.287]  They've been planning for this for at least four years.
[02:59:03.287 --> 02:59:16.975]  Now the phrase for the Great Reset, which they're using in the halls of global financial elite residences, is build back better, which of course is basically a code phrase for rebranding
[02:59:17.722 --> 02:59:26.869]  Rejuvenating, rejigging their failed New World Order, which again they're trying to reintroduce off the back of COVID hysteria.
[02:59:26.869 --> 02:59:31.612]  And I go back to this survey time and time again because it exemplifies
[02:59:32.378 --> 02:59:48.901]  How much concentrated power the mainstream media has to influence people, to re-educate people, to brainwash people, into becoming so hysterical that they believe this moral panic, they believe that this virus, which has a what?
[02:59:48.901 --> 02:59:59.804]  99.98% survival rate chance amongst people below the age of 75 without comorbidities, is way more dangerous than it actually is.
[02:59:59.804 --> 03:00:02.064]  They did a poll in the United States which found that
[03:00:03.146 --> 03:00:12.803]  The average American, and some thought it was a higher number, but the average American thinks that coronavirus has killed over 30 million Americans.
[03:00:13.604 --> 03:00:16.827]  Similar case across the Western world in the UK.
[03:00:16.827 --> 03:00:22.831]  The average Brit thinks that coronavirus has killed 5 million people in the UK.
[03:00:22.831 --> 03:00:25.654]  It's actually killed less than 50,000.
[03:00:25.654 --> 03:00:27.295]  Why do they believe that?
[03:00:27.295 --> 03:00:35.461]  Because they've been hysterically indoctrinated with this COVID-19 hysteria and this is a long-term plan.
[03:00:35.461 --> 03:00:39.024]  And Darlene Paul talks about it in his article.
[03:00:39.024 --> 03:00:39.925]  And it's basically
[03:00:40.848 --> 03:00:46.250]  As I said, a rebranding of this global neo-feudalist system.
[03:00:46.250 --> 03:00:48.770]  They're talking about nobody having property.
[03:00:48.770 --> 03:00:52.031]  They're talking about redistribution of wealth.
[03:00:52.031 --> 03:01:01.794]  But then when you look at how the wealth has already been redistributed since the start of the pandemic back in March, as the lockdowns were introduced in the Western world,
[03:01:02.796 --> 03:01:04.417]  Who has it benefited?
[03:01:04.417 --> 03:01:07.941]  It hasn't benefited the little people, really, has it?
[03:01:07.941 --> 03:01:13.425]  It's benefited giant transnational corporations time and time again.
[03:01:13.425 --> 03:01:19.871]  That's not redistributing the wealth, even if you believe in that socialist utopian paradigm.
[03:01:19.871 --> 03:01:29.680]  Small businesses are going bust, mass unemployment, mass economic destruction across the Western world, and who benefits?
[03:01:29.680 --> 03:01:29.820]  Well,
[03:01:30.916 --> 03:01:32.717]  That's the headline of this Breitbart article.
[03:01:32.717 --> 03:01:34.097]  Who benefits?
[03:01:34.097 --> 03:01:39.518]  Amazon booms as lockdown crushes small business in Britain.
[03:01:39.518 --> 03:01:48.181]  Amazon, in the third quarter, has seen its profits triple to $6.3 billion.
[03:01:48.181 --> 03:01:51.522]  That's a 37% rise in sales globally.
[03:01:51.522 --> 03:01:52.282]  Why?
[03:01:52.282 --> 03:01:58.804]  Because the only shops that are open are online, the only essential stores that you can go and visit to buy your food.
[03:02:00.081 --> 03:02:03.704]  Are the big box stores, are the big transnational corporations.
[03:02:03.704 --> 03:02:13.112]  In the UK it's supermarkets like Asda, which is owned by Walmart, and Tesco, which again is another giant transnational corporation.
[03:02:13.112 --> 03:02:15.154]  Everybody else is going bust.
[03:02:15.154 --> 03:02:17.516]  So no, they're not redistributing the wealth.
[03:02:18.163 --> 03:02:27.229]  They're hoarding it, they're centralizing it for themselves and that's what they plan to implement further if they get this great reset.
[03:02:27.229 --> 03:02:37.395]  Which again is just about lowering everyone's quality of life, lowering everyone's economic standard and saying that you will no longer be able to own property.
[03:02:37.395 --> 03:02:42.118]  They literally brag about that and talk about it in their own publications.
[03:02:43.266 --> 03:02:49.232]  Headline, globalist Klaus Schwab, world will never return to normal after COVID.
[03:02:49.232 --> 03:03:05.728]  In his book, COVID-19 the Great Reset, World Economic Forum globalist Klaus Schwab, who again is invested in all the vaccine production by the way, asserts that the world will never return to normal despite him admitting that coronavirus doesn't pose an existential threat.
[03:03:05.728 --> 03:03:07.730]  They admit basically that
[03:03:08.467 --> 03:03:17.871]  The hysteria is way overhyped, over-exaggerated, and it's deliberately done to scare people into going along with this agenda.
[03:03:17.871 --> 03:03:19.212]  What is the agenda?
[03:03:19.212 --> 03:03:21.873]  It's what they call a common pass.
[03:03:21.873 --> 03:03:35.019]  They brag about it, they show screenshots from this app that they're producing, where it says before you're allowed to travel on airlines, you have to take the COVID PCR test, and eventually you have to take the vaccine.
[03:03:35.019 --> 03:03:36.120]  Oh, and by the way,
[03:03:37.057 --> 03:03:39.438]  It's not just international airline travel.
[03:03:39.438 --> 03:03:52.725]  Uber now literally has a thing where if you don't wear a mask and the driver reports it to Central Command, the next time you try to use Uber on your phone, they make you take a selfie wearing the mask.
[03:03:52.725 --> 03:03:57.627]  If you then get in the Uber without a mask for a second time, then your account is banned.
[03:03:58.473 --> 03:04:11.077]  So this all ties into the deplatforming the social credit score that we've seen introduced in China, where the coronavirus pandemic originated, which again is based on the fact that
[03:04:12.012 --> 03:04:15.755]  It's not just your behaviour, it's your friend's behaviour.
[03:04:15.755 --> 03:04:21.660]  If you're being a good citizen and taking your vaccines and wearing your mask, that's all good and well.
[03:04:21.660 --> 03:04:30.107]  But then if your friend is flouting the coronavirus restrictions, well then that also affects your social credit score.
[03:04:30.107 --> 03:04:33.970]  So it's this ominous, demon-like programme
[03:04:34.770 --> 03:04:40.174]  Of ostracizing people from their own communities, their own friends, if they misbehave.
[03:04:40.174 --> 03:04:48.541]  So again, it's about incentivizing the prisoners, guarding the other prisoners, and making them submit to the new rules.
[03:04:48.541 --> 03:04:56.307]  Very, very interesting, given the fact that, as we know, the same people behind the coronavirus pandemic hysteria
[03:04:56.940 --> 03:05:14.588]  The World Economic Forum, NGOs, transnational corporations, the vaunted scientists, which are giving our governments this terrible advice that's proven wrong time and time again, were the same people behind the global warming panic of the past two, three decades.
[03:05:14.588 --> 03:05:25.754]  In fact, in 1993, the Club of Rome's co-founder Alexander King wrote the first global revolution and he stated, quote, the common enemy of humanity is man.
[03:05:26.778 --> 03:05:34.704]  In searching for a new enemy to unite us, we came up with the idea that pollution, the threat of global warming, famine and the like would fit the bill.
[03:05:34.704 --> 03:05:36.525]  And what do we see once again?
[03:05:36.525 --> 03:05:43.430]  With the same people who were behind this hysteria writing the IPCC-UN reports.
[03:05:43.430 --> 03:05:45.492]  Again, man is the enemy.
[03:05:45.492 --> 03:05:47.133]  We're the super spreaders.
[03:05:47.133 --> 03:05:51.776]  We need the technocratic global elite to tamp down on our freedoms.
[03:05:51.776 --> 03:05:55.539]  Not just freedom of speech, but specifically freedom of mobility.
[03:05:56.314 --> 03:05:59.036]  for this pandemic to go away.
[03:05:59.036 --> 03:06:06.362]  Very, very Machiavellian program that they've got running, and they openly admit to it.
[03:06:06.362 --> 03:06:09.124]  So we're going to go on to talk about that more in the second segment.
[03:06:09.124 --> 03:06:21.254]  Also tie it into the social credit score, because of course we had the headline a few months ago, or a few weeks ago actually, Public Humiliation, Hitachi Develops Fish Bubble to Enforce Social Distancing.
[03:06:22.213 --> 03:06:35.822]  So you're going to have an app connected to your phone, which is then linked into sensors in public buildings, in airports, in sports stadiums, wherever, where you have a six meter bubble projected around you.
[03:06:35.822 --> 03:06:37.523]  If someone violates that, then you both get in trouble.
[03:06:37.523 --> 03:06:39.564]  Election 2020 is here, and whether Trump wins or loses,
[03:06:43.246 --> 03:06:54.434]  We have all won by exposing the communist Chinese, by exposing the globalists, by exposing the pedophile rings, by exposing the fact this is really a fight between good versus evil.
[03:06:54.434 --> 03:06:58.977]  Now I'm personally a Christian and I believe in God and I know God's real and I've experienced it in my life.
[03:06:58.977 --> 03:07:04.280]  But even if you don't believe in God, it's important to recognize that there is good in this world, there is evil.
[03:07:04.280 --> 03:07:07.543]  And there are people out there that want to do you harm because they enjoy doing that.
[03:07:08.463 --> 03:07:18.329]  And what I see happening across the spectrum of different political views is people finally get that, they finally understand that they're not being naive anymore.
[03:07:18.329 --> 03:07:24.633]  Don't ever project your decency and your goodness onto other people until they've proven what they say.
[03:07:24.713 --> 03:07:25.113]  Thank you.
[03:07:39.451 --> 03:07:46.178]  We're only here on air facing the Globalist onslaught, the DNC-funded lawsuits, and everything that's happening because of you.
[03:07:46.178 --> 03:07:53.485]  We built the only truly multimedia, independent radio, TV, print, film organization in the world that promotes the truth against the Globalists.
[03:07:53.485 --> 03:07:54.746]  We've had a devastating effect.
[03:07:54.746 --> 03:07:56.068]  We're a national treasure.
[03:07:56.068 --> 03:07:58.290]  You're a national treasure for supporting us.
[03:07:58.290 --> 03:07:59.611]  And so, go get a t-shirt.
[03:07:59.611 --> 03:08:00.952]  Go get a historic t-shirt.
[03:08:01.753 --> 03:08:04.674]  We've got a funny one that's the Biden groping a woman.
[03:08:04.674 --> 03:08:05.975]  It's a woman's design shirt.
[03:08:05.975 --> 03:08:06.955]  My wife really likes it.
[03:08:06.955 --> 03:08:07.876]  She sent me this gift.
[03:08:07.876 --> 03:08:08.536]  It's pretty cute.
[03:08:08.536 --> 03:08:09.016]  Here it is.
[03:08:09.016 --> 03:08:10.777]  And it just, you know, it's a little historic thing.
[03:08:10.777 --> 03:08:12.097]  I think Trump's gonna win.
[03:08:12.097 --> 03:08:14.938]  But if Biden's able to steal it, we'll be probably shut down pretty quick.
[03:08:14.938 --> 03:08:16.559]  So it'll be a historic thing to have.
[03:08:16.559 --> 03:08:31.185]  You'll only be able to fight them in the third dimension on the street with graffiti, with handbills you hand out, and with noncompliance, not paying taxes, and pulling your kids out of the schools, and just making it a full-time job to expose and fight and obstruct the criminal foreign takeover of America.
[03:08:31.465 --> 03:08:32.666]  We've gotten to that point.
[03:08:32.666 --> 03:08:33.767]  Biden for nursing home.
[03:08:33.767 --> 03:08:35.988]  I hope to retire Biden and that be a collector's item.
[03:08:35.988 --> 03:08:37.009]  Get it while you still can.
[03:08:37.009 --> 03:08:37.929]  We're not ordering more.
[03:08:37.929 --> 03:08:42.192]  Infowarstore.com.
[03:08:42.192 --> 03:08:51.679]  You're listening to the Alex Jones Show.
[03:08:51.679 --> 03:08:57.103]  You're listening to the Summit.News Radio Hour with Paul Joseph Watson.
[03:09:01.647 --> 03:09:08.588]  The Great Reset is an efficient global feudalism that goes much farther than its medieval brother.
[03:09:08.588 --> 03:09:16.710]  Since the scanner is all-seeing, every person, every mineral, and every berry is digitally tagged and tracked.
[03:09:16.710 --> 03:09:27.112]  Under that framework, every peasant has a function that is derived not from the mystery of life, and not from their inner calling, but from artificial intelligence.
[03:09:27.907 --> 03:09:32.290]  The master of efficiency and the servant of the king.
[03:09:32.290 --> 03:09:43.296]  Ideally, the peasants can be convinced that it's good for them or necessary to be safe, as in contact tracing, and that this is what progress and happiness is like.
[03:09:43.296 --> 03:09:49.260]  But if not, there are other ways, from classic violence to virtual prisons to morality pills.
[03:09:50.450 --> 03:10:07.579]  To sum up, the desired end result is a giant, joyless, highly controlled global conveyor of everything and everybody, where privacy is tremendously expensive, dissent is unthinkable, and spiritual submission is mandatory.
[03:10:07.579 --> 03:10:19.385]  That's a description of the great reset that we're dealing with, that we face, that's being openly announced by the global elite in the aftermath of the first lockdown and in anticipation of the second lockdown,
[03:10:20.313 --> 03:10:26.856]  And that's from an article on Zero Hedge called The Great Reset for Dummies.
[03:10:26.856 --> 03:10:37.800]  Now, talking about the social credit score and how they integrate the COVID restrictions and the compliance with the COVID restrictions, because of course so far we've seen polls that show, for example, in the UK,
[03:10:39.824 --> 03:10:52.250]  I think it was 70% plus supported the decision by the government to lock down for a second time, despite the fact that it obviously didn't work the first time, because now we've got a second wave.
[03:10:52.250 --> 03:11:06.356]  In Sweden they developed herd immunity, now they've got the lowest death rate in Europe, didn't shut down their economy, they've got the best GDP recovery in Europe across the board, but now we're entering a second lockdown, indeed have already entered it in England,
[03:11:07.390 --> 03:11:20.220]  Off the back of these predictions, again, made by the very same people that created these phony IPCC global warming hysterical models that said the Antarctic would be ice-free ten years ago.
[03:11:20.220 --> 03:11:22.502]  Oh yeah, we really need to trust those people again.
[03:11:23.263 --> 03:11:26.506]  That said the UK would be like the Siberian desert.
[03:11:26.506 --> 03:11:28.568]  This is what they said back in the 60s.
[03:11:28.568 --> 03:11:35.935]  Paul Ehrlich, the population bomb, said that there would be global famines because of man-made climate change.
[03:11:35.935 --> 03:11:40.460]  Didn't happen, but now we're listening to those same people once again.
[03:11:40.460 --> 03:11:41.301]  And what they do is
[03:11:41.874 --> 03:11:51.101]  They give a government press conference and they come out with these models which were all proven spectacularly wrong back six months ago before the first lockdown.
[03:11:51.101 --> 03:11:56.885]  And they say, look, if we don't lock down again, we're going to have 4,000 deaths per day.
[03:11:56.885 --> 03:11:58.467]  The NHS is going to be overwhelmed.
[03:11:58.467 --> 03:11:58.867]  There's going to be
[03:11:59.665 --> 03:12:02.807]  People dying in the corridors of hospitals.
[03:12:02.807 --> 03:12:04.268]  We need to do this again.
[03:12:04.268 --> 03:12:13.895]  They over-exaggerate the numbers, so then when the actual numbers are way below that, we come out of the lockdown and they say, look, oh well, we were right.
[03:12:13.895 --> 03:12:16.637]  Lockdowns work!
[03:12:16.637 --> 03:12:18.558]  4,000 people a day didn't die.
[03:12:18.558 --> 03:12:21.220]  We must have been right all along.
[03:12:21.220 --> 03:12:25.243]  No, you were wrong because you grossly over-exaggerated the numbers in the first place.
[03:12:27.276 --> 03:12:38.206]  To the point where, as we saw with the first lockdown, the cases and deaths were already declining before the lockdown took effect, because lockdowns have no impact.
[03:12:38.206 --> 03:12:52.078]  And then when you look at the mask wearing, for example, Spain, Italy, France, when they introduced the mask mandates, for example in Spain you have to wear a mask everywhere, inside or outside, the cases shot up again.
[03:12:53.240 --> 03:12:57.221]  We've had numerous experts question the efficacy of masks.
[03:12:57.221 --> 03:12:58.341]  Of course, they're all ignored.
[03:12:58.341 --> 03:12:58.861]  They're banned.
[03:12:58.861 --> 03:13:00.301]  They're censored.
[03:13:00.301 --> 03:13:07.042]  Their own graphs show that when they enforced mask mandates, the infection rates, the deaths, shot up once again.
[03:13:07.042 --> 03:13:09.863]  So even by their own numbers, that doesn't work.
[03:13:09.863 --> 03:13:16.324]  But now Biden's talking about a nationwide mask mandate, and he's talking about lockdown 2.0.
[03:13:16.324 --> 03:13:21.885]  But what I want to get onto before that is how this plays out in the real world.
[03:13:23.007 --> 03:13:29.871]  And this is a video that went under the radar last week because of the election.
[03:13:29.871 --> 03:13:36.475]  Headline, Spirit Airlines flight attendant threatens to have people who don't wear a mask arrested, put on no-fly list.
[03:13:36.475 --> 03:13:48.162]  There's no law in existence that says if you don't wear a mask, or if you refuse to pull it up over your face a couple of times on an airplane, that you can be put on a no-fly list for life like a friggin' terrorist.
[03:13:48.837 --> 03:13:58.259]  But we have these petty, draconian, jumped-up enforcers telling a plane full of passengers that that's the law, when it isn't.
[03:13:58.259 --> 03:13:59.639]  And this one was caught on video.
[03:13:59.639 --> 03:14:01.739]  There's probably numerous more examples of it.
[03:14:01.739 --> 03:14:03.640]  But here is the video clip.
[03:14:03.640 --> 03:14:10.061]  Spirit Airlines flight attendant threatens to have people who don't wear masks arrested, put on no-fly lists.
[03:14:10.061 --> 03:14:12.181]  Let's roll the clip.
[03:14:12.181 --> 03:14:16.122]  Everybody can effectively take these preventative measures.
[03:14:16.122 --> 03:14:17.002]  Once the door is closed,
[03:14:18.738 --> 03:14:25.863]  If we have to ask you more than once to cover your nose, mouth, put your mask on, we are not going to be rude.
[03:14:25.863 --> 03:14:27.864]  We are not going to be nasty.
[03:14:27.864 --> 03:14:43.534]  We are going to simply take your seat number and your name, and when we get where we're going, you will either be arrested, fine, but you will also be placed on the no-fly list, meaning you will not be able to fly any airline for the rest of your life.
[03:14:43.534 --> 03:14:44.595]  So please, again,
[03:14:45.612 --> 03:14:56.035]  I'm saying this because there is usually always that one person, and I really don't want to have to do the extra paperwork and do more than I'm intended for my job.
[03:14:56.035 --> 03:15:06.078]  So if you do not agree or want to, you know, do what needs to be done, you are more than welcome to exit at this time.
[03:15:06.078 --> 03:15:13.520]  We have about nine more minutes left, but I want to give everybody a fair opportunity that you know what is happening.
[03:15:14.680 --> 03:15:20.902]  Also, I'm not really sure what's going on with all these videos going viral of passengers attacking each other.
[03:15:20.902 --> 03:15:28.664]  And or, my attendants, let me remind you, we are government officials.
[03:15:28.664 --> 03:15:30.765]  This is government property.
[03:15:30.765 --> 03:15:41.308]  If you choose to act out a content or character on this aircraft, you'll be arrested and face 20 years imprisonment and you also receive a $250,000 fine.
[03:15:41.308 --> 03:15:44.009]  If a weapon is used, you will face life in prison.
[03:15:45.293 --> 03:15:54.756]  So before anybody gets creative, want to feel froggy, want to be bad, want to be a superhero, let me let you know what's going on.
[03:15:54.756 --> 03:15:58.157]  With that being said, if you didn't like what I had to say, my name is Mario.
[03:15:58.157 --> 03:16:08.220]  That's what you are, so don't forget to dot the I. I'm the lead flight attendant on today's flight, and I'm accompanied with a Fort Lauderdale and Dallas-based cabin crew who are here for your safety first and your comfort second.
[03:16:08.220 --> 03:16:12.482]  If there is anything that you need on your flight today to make it more enjoyable, please don't hesitate to let us know.
[03:16:12.482 --> 03:16:13.622]  Welcome aboard.
[03:16:15.669 --> 03:16:20.472]  So again, that is a Spirit Airlines employee claiming that he's a government official.
[03:16:20.472 --> 03:16:21.453]  No, he isn't.
[03:16:21.453 --> 03:16:23.394]  Claiming that he's on government property.
[03:16:23.394 --> 03:16:26.136]  No, Spirit Airlines is a commercial airliner.
[03:16:26.136 --> 03:16:32.840]  Claiming that there's a law that says if you don't pull up your mask when ordered to by the mask police, you're going to get
[03:16:33.440 --> 03:16:40.683]  Arrested, jailed for 20 years and put on a no-fly list like a terrorist and never be allowed to fly again.
[03:16:40.683 --> 03:16:42.224]  Complete BS!
[03:16:42.224 --> 03:16:44.224]  They're making it up on the spot.
[03:16:44.224 --> 03:16:45.805]  I don't know if this guy was fired.
[03:16:45.805 --> 03:16:46.825]  He should have been fired.
[03:16:46.825 --> 03:16:49.466]  But again, this got buried during the election.
[03:16:49.466 --> 03:16:55.369]  This is the social credit score and this is how it's going to be integrated with the COVID enforcement.
[03:16:55.369 --> 03:16:55.829]  Because again,
[03:16:57.037 --> 03:17:03.966]  How is that dissimilar to what's already happening in China, where if you post something online which is critical of the government...
[03:17:04.744 --> 03:17:06.605]  You don't get to buy a train ticket.
[03:17:06.605 --> 03:17:08.306]  You don't get to ride a bus.
[03:17:08.306 --> 03:17:10.007]  You don't get to fly.
[03:17:10.007 --> 03:17:12.809]  And the Communist Chinese Party is open about that.
[03:17:12.809 --> 03:17:27.539]  They brag about it through official media and release tallies of how many tens of thousands or indeed I think it was hundreds of thousands of citizens who have been banned from being able to have basic mobility, freedom of movement.
[03:17:28.334 --> 03:17:31.378]  Because they misbehaved, they said something bad about the government.
[03:17:31.378 --> 03:17:34.722]  This is all being integrated under the Great Reset.
[03:17:34.722 --> 03:17:36.124]  We must resist it.
[03:17:36.124 --> 03:17:36.785]  We'll be right back.
[03:17:38.308 --> 03:17:43.490]  Throughout history, there have been two basic forms of civilizations, and different mixes of the two.
[03:17:43.490 --> 03:17:46.531]  One is born of renaissance, the other is born of conquest.
[03:17:46.531 --> 03:17:55.594]  One bases its power on having a strong, enlightened, focused people with an ethos, and a culture, and ingenuity, art, and skill, and strength.
[03:17:55.594 --> 03:18:00.976]  The other is based on the massive number of slaves it controls, with a tiny elite above it.
