[00:00:08.604 --> 00:00:10.165]  It's all a PSYOP.
[02:18:16.060 --> 02:18:17.961]  This is how they persecute people.
[02:18:17.961 --> 02:18:19.762]  The Tea Party, gun owners, you name it.
[02:18:19.762 --> 02:18:23.164]  We have to break the IRS and abolish them, not grovel to them.
[02:18:24.130 --> 02:18:29.453]  And the know-your-customer garbage that George Herbert Walker Bush got through, where they surveil every purchase you make.
[02:18:29.453 --> 02:18:32.134]  The government does, without warrants!
[02:18:32.134 --> 02:18:36.696]  And that's back in the news today, so I wanted to get Gerald Cilente on about that.
[02:18:36.696 --> 02:18:39.978]  Also, feds urge banks to call cops on customers.
[02:18:41.092 --> 02:18:44.176]  Who withdraw $5,000 or more.
[02:18:44.176 --> 02:18:46.179]  This is on Infowars.com.
[02:18:46.179 --> 02:18:48.842]  Infowars.com story by Paul Joseph Watson.
[02:18:48.842 --> 02:18:50.784]  Also on DrudgeReport.com.
[02:18:50.784 --> 02:18:56.171]  The Justice Department is ordering bank employees to consider calling the cops on customers who withdraw $5,000 or more.
[02:18:56.171 --> 02:18:58.835]  So now it's not even a fake know your customer, it's just call the cops.
[02:18:59.935 --> 02:19:03.137]  A chilling example of how the war on cash is intensifying.
[02:19:03.137 --> 02:19:13.844]  Banks are already required to file suspicious activity reports on their customers with threats of fines and even jail time for directors if financial institutions don't meet quotas.
[02:19:13.844 --> 02:19:24.551]  But as investor and financial blogger Simon Black points out last week, a quote senior official from the Justice Department spoke to a group of bankers about the need for them to rat out their customers to the police for stuff that's not illegal.
[02:19:25.882 --> 02:19:29.783]  But then they misapply and claim, well, I as an agent believe it's money laundering.
[02:19:29.783 --> 02:19:32.004]  So then they indict you off of their belief.
[02:19:32.004 --> 02:19:34.284]  Well, I believe you're Santa Claus.
[02:19:34.284 --> 02:19:35.965]  Doesn't mean it's true.
[02:19:35.965 --> 02:19:44.868]  Assistant Attorney General Leslie Caldwell gave a speech in which she urged banks to, quote, alert law enforcement authorities about the problem so the police can seize the funds.
[02:19:44.868 --> 02:19:49.769]  See, because cops will say under federal asset forfeiture, $1,000 is something they're going to seize.
[02:19:50.009 --> 02:19:52.271]  Because they can test the money and find drugs on it.
[02:19:52.271 --> 02:19:53.992]  Almost all money has drugs on it.
[02:19:53.992 --> 02:19:55.814]  Or at least initiate an investigation.
[02:19:55.814 --> 02:19:58.716]  So, rat them out so we can bank rob them on the road when they leave.
[02:19:59.775 --> 02:20:02.376]  Hunters, anglers, campers and survivalists.
[02:20:02.376 --> 02:20:03.476]  Get back to nature.
[02:20:03.476 --> 02:20:10.657]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[02:20:10.657 --> 02:20:14.018]  Slingbow products are compact and models start from just $17.98.
[02:20:14.018 --> 02:20:17.499]  They're perfect for your bug out bag or storing in your vehicle.
[02:20:17.499 --> 02:20:21.639]  Give yourself and your loved ones the excitement and tradition of slingbow.
[02:20:21.639 --> 02:20:26.160]  A new frontier in archery and truly modern twist on this primitive survival tool.
[02:20:26.160 --> 02:20:28.781]  Feel the thrill only at slingbow.com.
[02:20:29.221 --> 02:20:38.529]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[02:20:38.529 --> 02:20:39.329]  This capitalism?
[02:20:39.329 --> 02:20:45.494]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[02:20:45.494 --> 02:20:49.197]  Ted Anderson, I'm placing a free silver dollar in a book that explains our monetary system.
[02:20:49.197 --> 02:20:50.138]  Call for your copy 800-686-2237.
[02:20:50.138 --> 02:20:51.199]  It's time to understand the system.
[02:20:51.199 --> 02:20:51.519]  Call 800-686-2237.
[02:20:51.519 --> 02:20:51.859]  That's 800-686-2237.
[02:20:58.985 --> 02:21:08.489]  Infowarslife and Infowarslife.com is extremely excited to announce our latest release, Winner's Sun, a revolutionary type of vitamin D3.
[02:21:08.489 --> 02:21:13.171]  Winner's Sun is a premium quality vitamin D3 nutritional supplement.
[02:21:13.171 --> 02:21:17.953]  It is produced by extracting oil from healthy nutrient-dense plants known as lichens.
[02:21:17.953 --> 02:21:20.994]  Every batch is analyzed for purity and D3 content.
[02:21:20.994 --> 02:21:23.436]  It's completely free of toxins and allergens.
[02:21:23.436 --> 02:21:26.817]  Simply put, if you want the best at an extremely low price, this is it.
[02:21:26.977 --> 02:21:31.339]  Winter Sun is the result of our pursuit of the best source of vitamin D3.
[02:21:31.339 --> 02:21:39.903]  The research and development took over two years, but the result, as verified by independent laboratories, is the best vegan vitamin D3 product in the world.
[02:21:39.903 --> 02:21:44.945]  Read the facts at InfoWarsLife.com about Winter Sun vitamin D3.
[02:21:44.945 --> 02:21:50.508]  Not only does vitamin D3 promote a healthy mood, but vitamin D supports our memory and brain function.
[02:21:50.848 --> 02:21:52.989]  Something the globalists are targeting.
[02:21:52.989 --> 02:21:59.250]  Visit InfoWars.com today or call 888-253-3139.
[02:21:59.250 --> 02:22:01.391]  The human body is extraordinary.
[02:22:01.391 --> 02:22:05.572]  Despite all the stresses we inflict upon it, it still works hard to stay in balance.
[02:22:05.572 --> 02:22:10.873]  Thousands upon thousands of people rely upon hardened body extract to help their body stay balanced.
[02:22:10.873 --> 02:22:20.096]  This excellent 100% natural herbal formula helps maintain healthy blood pressure levels, cleans arteries, promotes good circulation, balances cholesterol and more.
[02:22:20.576 --> 02:22:28.340]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[02:22:28.340 --> 02:22:34.363]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[02:22:34.363 --> 02:22:37.684]  It's extremely effective and it starts working in just days.
[02:22:37.684 --> 02:22:43.247]  Visit HBExtract.com to learn more and to read scores of testimonials from satisfied customers.
[02:22:43.247 --> 02:22:45.968]  And we've never increased our price in over 10 years.
[02:22:45.968 --> 02:22:48.830]  That makes heart and body extract as great a value now
[02:22:49.130 --> 02:22:52.773]  As it was the first day we sold it, a healthy heart is a happy heart.
[02:22:52.773 --> 02:22:53.954]  Call 866-295-5305 or go to hbextract.com.
[02:22:59.014 --> 02:23:05.755]  Usually the older one gets, the less you are able to absorb amino acids and the less you are able to repair the 100 trillion cells of your body.
[02:23:05.755 --> 02:23:10.136]  As a result, you'll have less energy, your tissues will shrink, and you'll become wrinkled.
[02:23:10.136 --> 02:23:13.637]  An older person will typically injure more easily and heal more slowly.
[02:23:13.637 --> 02:23:14.777]  Not fun!
[02:23:14.777 --> 02:23:23.179]  However, if you can consume a protein powder that is easier to absorb, then you may be able to gain back some strength, muscle, and speed of recovery.
[02:23:23.179 --> 02:23:27.940]  One World Whey is a highly digestible whey protein powder that may be the perfect answer for you.
[02:23:28.280 --> 02:23:29.441]  My name is Errol.
[02:23:29.441 --> 02:23:30.961]  I'm 74 years old.
[02:23:30.961 --> 02:23:33.542]  You know, the taste of One World Whey is amazing.
[02:23:33.542 --> 02:23:41.406]  I play pickleball, and since taking One World Whey and your trace mineral supplement, I have more energy and recover faster from my working out.
[02:23:41.406 --> 02:23:47.709]  I used to take another grass-fed whey protein powder, but now I'm getting much better results using One World Whey.
[02:23:47.709 --> 02:23:48.189]  Call 888-988-3325.
[02:23:48.189 --> 02:23:48.389]  That's 888-988-3325.
[02:23:48.389 --> 02:23:49.730]  Or visit oneworldwhey.com.
[02:24:09.445 --> 02:24:17.930]  Well, when I saw these stories in the New York Times and up on Infowars.com, feds urged banks to call cops on customers who withdraw $5,000 or more.
[02:24:17.930 --> 02:24:20.111]  I had to get Gerald Salente on.
[02:24:20.111 --> 02:24:26.695]  And they tell the cops, we're going to call you so you can pull them over and seize the cash when they leave, and it's your money.
[02:24:26.695 --> 02:24:30.618]  But they say, oh, under acid forfeiture seizure, it doesn't need to be illegal.
[02:24:32.298 --> 02:24:36.259]  And then almost all money has trace drugs on it, so that's their argument.
[02:24:36.259 --> 02:24:38.660]  And they're seizing old ladies' restaurants, you name it.
[02:24:38.660 --> 02:24:40.540]  That's in the New York Times.
[02:24:40.540 --> 02:24:42.821]  They had hearings on it last month, but they're not stopping.
[02:24:42.821 --> 02:24:46.182]  I want to thank the crew, by the way, for doing a great job.
[02:24:46.182 --> 02:24:48.043]  Cut to them in the TV studio.
[02:24:48.043 --> 02:24:55.225]  If you're radio listeners, you can go to infowars.com forward slash show, and you can see the crew in there doing a great job.
[02:24:56.308 --> 02:25:05.573]  But I wanted to get Gerald Cilente on about this and just the whole waterfront of what's going on because I've been doing this 23 years, 20 years on air.
[02:25:05.573 --> 02:25:09.896]  I was a guest on other shows and things 22 years ago, but I've been on air on my own show for 22 years.
[02:25:09.896 --> 02:25:13.958]  We're now seeing more tyranny in a week than I would see in six months previous.
[02:25:13.958 --> 02:25:23.084]  I mean, the power grabbing over the internet and over the borders imploding and global treaties that no one's allowed to see and just all of it.
[02:25:23.784 --> 02:25:28.769]  Police in Wisconsin to take DNA forcibly from anyone with a misdemeanor.
[02:25:28.769 --> 02:25:33.835]  Stories about police with the CIA now grabbing your data without warrants.
[02:25:33.835 --> 02:25:35.897]  I mean, this is all mainstream news.
[02:25:35.897 --> 02:25:39.220]  Gerald Solente, what in the world is going on?
[02:25:39.220 --> 02:25:40.662]  What are the elites doing?
[02:25:40.662 --> 02:25:43.224]  Because it's not just happening here, it's happening all over the world, and I know
[02:25:44.105 --> 02:25:46.647]  Your pet peeve is this war on cash.
[02:25:46.647 --> 02:25:53.311]  They want us cashless so they can put global taxes, currency taxes, money transfer taxes, and track everything we do.
[02:25:53.311 --> 02:25:55.292]  They want to illegally surveil us.
[02:25:55.292 --> 02:25:57.633]  I guess now putting your blinds down will be illegal.
[02:25:57.633 --> 02:25:59.835]  I mean, it is not illegal to get cash.
[02:25:59.835 --> 02:26:00.655]  What is going on?
[02:26:00.655 --> 02:26:03.417]  I know you've really written about this and talked about this.
[02:26:03.417 --> 02:26:05.038]  Internal capital controls.
[02:26:06.271 --> 02:26:15.958]  Well, on the money end, you know, I wrote back in 2009, when things were really shaky, I tried taking money out of a key bank over here.
[02:26:15.958 --> 02:26:24.023]  We did a story in the Trends Journal about how they harassed me and had me sign all these papers.
[02:26:25.044 --> 02:26:27.345]  And I had to put up a fuss to get my money.
[02:26:27.345 --> 02:26:31.987]  And then, back in, as a matter of fact, I even did it on your show.
[02:26:31.987 --> 02:26:37.629]  A few years later, it happened to me again at HSBC.
[02:26:37.629 --> 02:26:40.150]  Oh, it was an ugly picture.
[02:26:40.150 --> 02:26:41.670]  I threatened to call the police.
[02:26:41.670 --> 02:26:43.971]  They would not give me my money.
[02:26:43.971 --> 02:26:44.971]  And it was well over $5,000.
[02:26:47.617 --> 02:26:51.158]  And they kept asking me what I was going to use the money for.
[02:26:51.158 --> 02:26:55.178]  And I kept saying, none of your business.
[02:26:55.178 --> 02:26:57.459]  Who do you think you are?
[02:26:57.459 --> 02:27:02.100]  You didn't ask me where I got the money from when I put it in your bank.
[02:27:02.100 --> 02:27:03.460]  How dare you ask me?
[02:27:03.460 --> 02:27:06.961]  This went on for almost a day.
[02:27:06.961 --> 02:27:11.002]  Then, you start adding up the pieces. 2011.
[02:27:14.130 --> 02:27:21.096]  Halloween night, the perfect time for the clowns to pull a dirty trick.
[02:27:21.096 --> 02:27:40.251]  John the Slime Corzine, everybody's Democratic lovely boy from Jersey, former head of the Goldman Sachs gang, a low-life piece of garbage who gets a free ride for bringing down MF Global.
[02:27:40.251 --> 02:27:41.992]  Remember I had my money with them?
[02:27:42.893 --> 02:27:44.915]  And I couldn't get it out.
[02:27:44.915 --> 02:27:50.460]  And then they ended up taking a good, not a huge part, but a piece of it.
[02:27:50.460 --> 02:27:53.763]  And it only took me a couple of years to get it back.
[02:27:53.763 --> 02:27:56.145]  And I told the story of what happened on 9-11.
[02:27:58.083 --> 02:28:04.089]  When I saw the trade towers coming down, the first thing I did, I picked up the phone.
[02:28:04.089 --> 02:28:07.712]  I had money in fleet banks, certificates of deposit.
[02:28:07.712 --> 02:28:13.758]  In those days, Alex, they used to have a thing called interest rates, where you could make money on them.
[02:28:13.758 --> 02:28:16.700]  So I had our company's money in CDs.
[02:28:17.521 --> 02:28:19.762]  Up in Fleet Bank, up in Boston.
[02:28:19.762 --> 02:28:21.624]  I said, oh, this is Mr. Sellenti.
[02:28:21.624 --> 02:28:25.746]  I'd like my money transferred to the Rhinebeck, my Rhinebeck account.
[02:28:25.746 --> 02:28:30.229]  Because I don't know, I'm watching the trade towers come down.
[02:28:30.229 --> 02:28:33.391]  Hey, something they never talk about!
[02:28:33.391 --> 02:28:35.792]  All those military guys.
[02:28:35.792 --> 02:28:38.474]  Remember somebody whacked the Pentagon?
[02:28:38.474 --> 02:28:39.975]  Yeah, I remember that one too!
[02:28:40.535 --> 02:28:48.677]  So I don't know if there's going to be a nuclear explosion on one of the rotted power plants on the Hudson River, Indian Point.
[02:28:48.677 --> 02:28:51.358]  So if that happens, I want to get out of here.
[02:28:51.358 --> 02:28:58.380]  So I want to get my money, you know, Gerald Slenty's, GC's, 3G's, guns, gold, and a getaway plan.
[02:28:58.380 --> 02:29:02.061]  I'm going to head to Canada, four and a half hours away from here.
[02:29:02.061 --> 02:29:04.362]  From Canada, I could go anywhere.
[02:29:04.362 --> 02:29:06.703]  So they say to me before I give them my
[02:29:07.643 --> 02:29:09.645]  Wire transfer information.
[02:29:09.645 --> 02:29:15.489]  Mr. Salenti, certificates of deposit are financial instruments.
[02:29:15.489 --> 02:29:18.531]  And Wall Street is closed.
[02:29:18.531 --> 02:29:21.113]  You can't get your money.
[02:29:21.113 --> 02:29:23.175]  Three strikes, you're out.
[02:29:23.175 --> 02:29:26.297]  I got three strikes against me.
[02:29:26.297 --> 02:29:27.738]  They wouldn't give me my money on 9-11?
[02:29:29.601 --> 02:29:34.284]  HSBC slimers wouldn't give me my money.
[02:29:34.284 --> 02:29:39.388]  The Key Bank low-lifes... And Corzine grabbed your money, so that's four strikes.
[02:29:39.388 --> 02:29:40.429]  Stay there.
[02:29:40.429 --> 02:29:42.230]  We're gonna come back and talk about the big picture.
[02:29:42.230 --> 02:29:47.433]  The hell of a cashless robo-apocalypse when everything is digital.
[02:29:47.433 --> 02:29:50.315]  The Mark of the Beast with Gerald Salenta.
[02:29:50.315 --> 02:29:52.857]  The Empire's on the run.
[02:29:52.857 --> 02:29:55.539]  Alex Jones and the GCN Radio Network.
[02:30:00.106 --> 02:30:09.093]  Sold out for weeks through the difficult and extensive proprietary process behind its creation, the exclusive InfoWars Life Secret 12 formulation is now back in stock.
[02:30:09.093 --> 02:30:19.620]  This ultra-clean Vitamin B12 nutraceutical has been carefully crafted and developed over the last two years and is based on cellular science of how your body actively absorbs essential nutrients.
[02:30:19.620 --> 02:30:25.705]  Most forms of Vitamin B12 are highly processed and synthetic and could not be properly absorbed by the body.
[02:30:26.045 --> 02:30:32.451]  Secret 12 is a binary of nutrimedical-grade, bioavailable coenzyme forms of B12.
[02:30:32.451 --> 02:30:35.513]  Methylcobalamin, the same kind used in B12 injections.
[02:30:35.513 --> 02:30:41.058]  And adenosylcobalamin, the most bioactive form that has been created with our proprietary process.
[02:30:41.058 --> 02:30:44.141]  Secret 12 is taken by mouth, right on the tongue, and then swallowed.
[02:30:44.141 --> 02:30:45.682]  No needles, no injections.
[02:30:45.682 --> 02:30:47.063]  Don't take my word for it.
[02:30:47.063 --> 02:30:48.264]  Try it for yourself.
[02:30:48.264 --> 02:30:49.245]  Discover the secret.
[02:30:49.245 --> 02:30:49.385]  Secret 12.
[02:30:50.666 --> 02:30:53.008]  Supplies of Secret 12 are very limited.
[02:30:53.008 --> 02:31:00.193]  Secure yours today at InfoWarsLife.com or by calling toll free 888-253-3139.
[02:31:00.193 --> 02:31:06.277]  Used since before the days of the Roman Empire to support the body's natural systems and enhance overall health.
[02:31:06.277 --> 02:31:10.880]  Introducing the new InfoWarsLife.com oil of oregano formulation.
[02:31:10.880 --> 02:31:18.586]  A highly advanced nutraceutical form of this key herb that has been traditionally used by civilizations for thousands of years to promote health.
[02:31:18.826 --> 02:31:24.330]  We have now procured the most high quality and potent forms of oregano oil on the market.
[02:31:24.330 --> 02:31:30.273]  Sourced from top leading manufacturers to ensure a concentrated level of bioactive ingredients.
[02:31:30.273 --> 02:31:35.236]  Extracted directly from the wild herb and sealed in easy to use capsules.
[02:31:35.236 --> 02:31:39.179]  You will no longer need to endure the burning of liquid oregano on the tongue.
[02:31:39.179 --> 02:31:45.383]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[02:31:45.783 --> 02:31:50.924]  This winter season, it's more important than ever to secure this true form of oil of oregano.
[02:31:50.924 --> 02:31:54.645]  Now available in our limited first run at Infowarslife.com.
[02:31:54.645 --> 02:31:58.446]  That's Infowarslife.com or call 888-253-3139.
[02:31:58.446 --> 02:32:03.187]  When cells become toxic, they die early and aging sets in.
[02:32:03.187 --> 02:32:08.148]  No one has put together a formula that focuses directly on brain health, nerve growth factors,
[02:32:08.168 --> 02:32:08.508]  I don't know.
[02:32:29.727 --> 02:32:34.349]  The average person's life is filled with unexpected challenges.
[02:32:34.349 --> 02:32:40.692]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[02:32:40.692 --> 02:32:50.116]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[02:32:50.116 --> 02:32:54.938]  Supercharge and conquer your world at infowarslife.com or call 1-888-253-3139.
[02:33:04.927 --> 02:33:06.709]  The Alex Jones Show.
[02:33:06.709 --> 02:33:12.373]  Because there is a war on for your mind.
[02:33:12.373 --> 02:33:17.258]  One of the big signposts of living in a hardcore tyranny is capital controls.
[02:33:17.258 --> 02:33:19.940]  And the TSA now admits that's going to be part of their job.
[02:33:19.940 --> 02:33:28.207]  They claim if the IRS has an investigation going on you, not an indictment, not a criminal investigation, just has your name in a file, you won't be able to fly out of the country.
[02:33:29.571 --> 02:33:31.973]  Now they're talking about if you haven't had vaccines, you can't fly.
[02:33:31.973 --> 02:33:33.715]  It's all outside of law.
[02:33:33.715 --> 02:33:38.098]  And the New York Times comes out and says, yeah, they take old lady's money with no criminal records.
[02:33:38.098 --> 02:33:41.161]  And even after tax money, the IRS just takes their accounts.
[02:33:41.161 --> 02:33:43.383]  Tens of thousands of people a year.
[02:33:43.383 --> 02:33:45.365]  And now the feds are giving speeches.
[02:33:47.108 --> 02:33:53.352]  Assistant Attorney General Leslie Cadwell gave a speech when she urged banks to alert law enforcement authorities about a problem.
[02:33:53.352 --> 02:33:57.535]  This is a quote, so that police can, quote, seize the funds or at least initiate an investigation.
[02:33:57.535 --> 02:34:02.198]  So the cops pull you over, just grab the money out of your car, and then the feds get 20% of it, locals get 80%.
[02:34:02.198 --> 02:34:04.959]  That's federalization.
[02:34:04.959 --> 02:34:15.186]  As Black highlights, according to the handbook for the Federal Financial Institution Examination Council, such suspicious activity includes transactions conducted or attempted by, at the bank or an affiliate,
[02:34:16.260 --> 02:34:24.446]  And aggregating 5,000 or more, people think it's still 10, so they get under that like they're trying to hide when you're doing nothing wrong.
[02:34:24.446 --> 02:34:29.090]  You'd be insane not to have 5-10% of your cash, you know, in a safe or something.
[02:34:29.090 --> 02:34:37.076]  Black provides a chilling scenario under which an attempt to withdraw your own money from your bank account could end with a home visit from the cops.
[02:34:37.076 --> 02:34:39.739]  And they go through it, how they're doing it.
[02:34:39.739 --> 02:34:42.501]  And again, under asset forfeiture seizure and the drug laws,
[02:34:44.417 --> 02:34:46.637]  You see these cases where the cops pull you over.
[02:34:46.637 --> 02:34:49.838]  It's usually really corrupt jurisdictions that fully do this.
[02:34:49.838 --> 02:34:51.918]  And it'll be an old lady and they'll say, what's in your purse?
[02:34:51.918 --> 02:34:56.799]  And they'll see $2,000, knowing old ladies carry a lot of cash, because they're smart, from the Depression.
[02:34:56.799 --> 02:34:57.859]  And they'll just take it.
[02:34:57.859 --> 02:34:59.180]  Say, if you don't like it, go see the judge.
[02:34:59.180 --> 02:35:01.400]  The judge will say, we're going to test that, man.
[02:35:01.400 --> 02:35:03.080]  This has come out on the news hundreds of times.
[02:35:03.080 --> 02:35:07.281]  We find any drug residue, we're going to take your car and indict you.
[02:35:07.281 --> 02:35:12.282]  Because the federal law says we can, which it really doesn't, but they misinterpret and have kept juries that'll do it.
[02:35:13.986 --> 02:35:16.269]  And a lot of times they say, okay, go ahead and do it.
[02:35:16.269 --> 02:35:17.691]  Then they'll test the money.
[02:35:17.691 --> 02:35:19.953]  And of course, almost all money has some drug residues on it.
[02:35:19.953 --> 02:35:22.376]  And they'll say, all right, we're indicting you.
[02:35:22.376 --> 02:35:24.759]  My cousins are all on the jury.
[02:35:24.759 --> 02:35:25.900]  And that's what goes on.
[02:35:26.704 --> 02:35:29.385]  From upstate New York to East Texas.
[02:35:29.385 --> 02:35:30.966]  And those are the bad cops.
[02:35:30.966 --> 02:35:33.627]  And the feds wrote it all, they did it all.
[02:35:33.627 --> 02:35:35.308]  It is beyond boss hog.
[02:35:35.308 --> 02:35:36.989]  And Roscoe Pico train.
[02:35:36.989 --> 02:35:39.010]  Those are angels compared to this.
[02:35:39.010 --> 02:35:43.392]  And then the big banks, pull up Bloomberg, $378 billion.
[02:35:43.392 --> 02:35:45.933]  Wells Fargo, Wachovia, laundered drug money.
[02:35:45.933 --> 02:35:51.495]  Didn't even get in trouble from 2005 to 2008 when they got quote caught.
[02:35:51.495 --> 02:35:54.457]  I mean, they were leasing and running the drug aircraft.
[02:35:55.233 --> 02:36:01.076]  You know, the cops will be out here looking for drugs on the street when the big banks are laundering the money by the trillions every decade.
[02:36:01.076 --> 02:36:03.097]  500 billion dollars a year in drug money in the U.S.
[02:36:03.097 --> 02:36:03.998]  alone.
[02:36:03.998 --> 02:36:06.499]  Our troops load it on the C-130s and fly it here.
[02:36:06.499 --> 02:36:08.640]  When they couldn't hide it anymore, they just put it on the news.
[02:36:08.640 --> 02:36:11.522]  Going back to Gerald Cilente, this is about social control.
[02:36:12.182 --> 02:36:14.965]  Well, whether people believe in the Bible or not, it's the same thing.
[02:36:14.965 --> 02:36:21.854]  Where everything's tracked, everything's traced, everything's looked at by the NSA, all these other agencies, they follow everything you do.
[02:36:21.854 --> 02:36:31.725]  They built back doors into everything, letting the hackers get into the back doors and create all the financial crises we see, with credit cards getting cancelled every few weeks now, and debit cards.
[02:36:32.506 --> 02:36:46.575]  So cashless is a disaster, and then if we want to have cash, because it's fun to give somebody a tip in cash, or fun to, you know, give bonuses in cash at Christmas, I'm supposedly dirty to take after-tax money and give it to people.
[02:36:46.575 --> 02:36:48.015]  I mean, this is so sick.
[02:36:48.015 --> 02:36:50.537]  We live in a prison in this country.
[02:36:50.537 --> 02:36:53.058]  It's like Forbes saying the war on lemonade stands.
[02:36:53.058 --> 02:36:54.339]  They don't want barter.
[02:36:54.339 --> 02:36:55.560]  They don't want grassroots.
[02:36:55.560 --> 02:36:57.041]  What's really behind it, Gerald Cilente?
[02:36:58.149 --> 02:37:08.131]  I believe that this latest issue about notifying the police with withdrawals is fear of a banking crisis.
[02:37:08.131 --> 02:37:12.512]  And that's why I was relating to what has happened to me in the past.
[02:37:12.512 --> 02:37:18.933]  They cannot afford to run on the banks because there is no dough in the banks to really cover this.
[02:37:18.933 --> 02:37:22.914]  You look what happened, Alex, at the end of 2014, when all of a sudden,
[02:37:26.175 --> 02:37:31.881]  Jamie Legs Diamond over there from the JP Morgan Chase Gang.
[02:37:33.087 --> 02:37:44.358]  Actually gave Congress the language to put in about credit default swaps to be part of the balance sheet in banks.
[02:37:44.358 --> 02:37:55.848]  So essentially all these trillions in derivatives and credit default swaps that the banks are gambling with, now they're covered by supposedly FDIC.
[02:37:57.950 --> 02:38:13.086]  And then you add on top of that the legislation with the bail-ins that allows the banks to grab your dough if it can't be covered by insurance.
[02:38:13.086 --> 02:38:20.193]  I believe that this is being done to dissuade people from taking their money out of banks
[02:38:21.443 --> 02:38:23.605]  And to penalize them when they do.
[02:38:23.605 --> 02:38:28.909]  Because I believe there's going... And, you know, it's not only me.
[02:38:28.909 --> 02:38:30.490]  It's Dr. Paul Craig Roberts.
[02:38:30.490 --> 02:38:33.612]  Well, we've seen the bail-ins in Cyprus and other areas.
[02:38:33.612 --> 02:38:36.034]  This is the globalist model everywhere else they've been.
[02:38:36.034 --> 02:38:39.216]  I mean, Obama's talking about tax increases by executive order.
[02:38:39.216 --> 02:38:40.017]  Totally illegal.
[02:38:40.017 --> 02:38:42.398]  They're talking about grabbing education funds.
[02:38:42.398 --> 02:38:43.599]  Calling them trust funds.
[02:38:43.599 --> 02:38:46.662]  I mean, they are really gearing up, Gerald.
[02:38:46.662 --> 02:38:47.382]  Exactly.
[02:38:47.382 --> 02:38:50.524]  And again, you look at David Stockman's work.
[02:38:50.524 --> 02:38:50.925]  All of us.
[02:38:51.530 --> 02:38:55.672]  We're all saying that this Ponzi scheme is going to collapse.
[02:38:55.672 --> 02:39:01.856]  You see what happens, Alex, even when they hint about raising interest rates.
[02:39:01.856 --> 02:39:10.441]  The market goes into panic because the low interest rates have allowed this Ponzi scheme to continue to go.
[02:39:10.441 --> 02:39:17.765]  And now they're doing it, of course, over in Europe with their quantitative easing.
[02:39:17.765 --> 02:39:19.306]  It's one country after another.
[02:39:20.006 --> 02:39:24.027]  So what we're saying is, this is going to collapse.
[02:39:24.027 --> 02:39:26.927]  When it collapses, there's going to be panic.
[02:39:26.927 --> 02:39:29.908]  When there's panic, people will go to the banks.
[02:39:29.908 --> 02:39:30.368]  That's right.
[02:39:30.368 --> 02:39:34.569]  When they go to the banks, they're going to get nothing.
[02:39:34.569 --> 02:39:39.210]  Well, it's clear that we've got a lot of special interests that are out of control, and I've studied history.
[02:39:39.210 --> 02:39:40.950]  Elites always think they're invincible.
[02:39:40.950 --> 02:39:46.692]  The white shoeboys that you call them, the Harvard gang, there's no way they're going to get away with this.
[02:39:46.692 --> 02:39:48.192]  I mean, they're even training, Gerald.
[02:39:49.329 --> 02:39:53.393]  To have the military take over domestically, as you know, and admitting it.
[02:39:53.393 --> 02:39:55.615]  But the military is getting screwed over worse than anybody.
[02:39:55.615 --> 02:40:04.464]  I mean, who would have the nerve to put even young men and women with treatable diseases on Do Not Treat list at the VA?
[02:40:04.464 --> 02:40:08.628]  I mean, they are... Our government is so illegitimate, Gerald.
[02:40:08.628 --> 02:40:09.869]  Where do you see all this going?
[02:40:09.869 --> 02:40:12.572]  I mean, Washington is so blackmailed.
[02:40:12.572 --> 02:40:12.993]  Congress...
[02:40:14.073 --> 02:40:17.635]  You know, wouldn't even stop the FCC grabbing the internet.
[02:40:17.635 --> 02:40:19.516]  They're just, Obama's dissolved the borders.
[02:40:19.516 --> 02:40:21.938]  They're about to sign the Pacific Partnership in secret.
[02:40:21.938 --> 02:40:25.660]  I mean, we are living in just a crazy time.
[02:40:25.660 --> 02:40:27.321]  Where is it all going?
[02:40:27.321 --> 02:40:30.303]  Again, you know, we're looking at a collapse.
[02:40:30.303 --> 02:40:32.464]  And it's not only in the United States.
[02:40:32.464 --> 02:40:34.686]  Look what's going on around the world.
[02:40:34.686 --> 02:40:37.507]  Whether it's the Podemos party in Spain.
[02:40:37.507 --> 02:40:39.869]  Whether it's UKIP in the UK.
[02:40:39.869 --> 02:40:41.470]  The Pence party got, what, 25% of the vote?
[02:40:43.331 --> 02:40:46.912]  You're going to start seeing more and more revolution take place.
[02:40:46.912 --> 02:40:47.912]  The people have had it.
[02:40:47.912 --> 02:40:49.292]  You know the numbers.
[02:40:49.292 --> 02:40:50.672]  What is it?
[02:40:50.672 --> 02:40:56.053]  1% according to OPSFAM is going to control 99% of all the money next year?
