[00:00:00.169 --> 00:00:06.674]  Communications Radio Network.
[02:17:21.437 --> 02:17:22.658]  I think this last November,
[02:17:23.446 --> 02:17:44.339]  uh... sent a real strong message that the american people if they do decide to vote with one voice and one purpose that they can in fact overcome the vote fraud so they're basically trying to reshape the electoral process where the only possible choices are already pre-approved by the corporate and uh... various other foreign interests and it is definitely an attempt to lock out third parties
[02:17:44.840 --> 02:17:45.240]  All right.
[02:17:45.481 --> 02:17:45.942]  You know what?
[02:17:45.962 --> 02:17:47.185]  I appreciate your call.
[02:17:47.766 --> 02:17:49.089]  Mike, stay with us five more minutes.
[02:17:49.109 --> 02:17:51.755]  I want to come back and jam in two or three more calls on the other side.
[02:17:52.056 --> 02:17:52.958]  Mike Rivera is our guest.
[02:17:52.998 --> 02:17:53.680]  I'm Alex Jones.
[02:17:58.417 --> 02:18:09.689]  Now you can enjoy the most delicious, freshest, and healthiest drinking water anytime, even while traveling, during outdoor sporting activities, and in hospital filtration environments such as local or national emergencies.
[02:18:09.909 --> 02:18:17.878]  The revolutionary Berkey Light removes pathogenic bacteria, cysts, parasites, and harmful or unwanted chemicals to below detectable levels.
[02:18:18.158 --> 02:18:28.841]  It also removes foul tastes and odors like that rotten egg smell of sulfide, and it reduces nitrates and unhealthy minerals like lead and mercury, while leaving in the healthful and nutritional minerals your body needs.
[02:18:29.061 --> 02:18:34.543]  The Berkey Light is so powerful it can purify raw, untreated water from remote lake streams and stagnant ponds.
[02:18:34.783 --> 02:18:41.425]  The Berkey Light is transparent and glows in the dark with its rechargeable LED lighting system, so it can be used as a nightlight or campfire.
[02:18:41.785 --> 02:18:43.767]  Get the Berkey Light Purifier for only $279.
[02:18:43.827 --> 02:18:45.049]  Call New Millennium 888-803-4438.
[02:18:45.089 --> 02:18:47.371]  That's 888-803-4438 or order on the web at berkeywater.com.
[02:18:47.391 --> 02:18:48.292]  Not yet available in Iowa.
[02:18:48.312 --> 02:18:50.975]  Hi, this is Ted Anderson, here for the 2007 Red Book.
[02:19:03.490 --> 02:19:08.313]  The commodity markets like gold, silver, copper, aluminum and oil have exploded over the last year.
[02:19:08.514 --> 02:19:11.255]  This is a glaring testimony of how quickly the U.S.
[02:19:11.296 --> 02:19:12.396]  dollar can be devalued.
[02:19:13.757 --> 02:19:18.360]  Many have turned to precious metals to provide a safe haven while increasing the potential profits.
[02:19:19.281 --> 02:19:26.546]  Though accumulating precious metals has been a proven method for the storage of wealth, it is important that you understand the market you are getting into.
[02:19:27.547 --> 02:19:30.589]  Midas Resources is offering the red book and silver dollar for only $27.95.
[02:19:32.739 --> 02:19:36.201]  The Red Book is the number one best-selling guide to gold and silver coins.
[02:19:37.181 --> 02:19:38.462]  Call for your copy today.
[02:19:38.702 --> 02:19:40.903]  It's 800-686-2237.
[02:19:41.964 --> 02:19:47.807]  If you've already accumulated or plan to get into the precious metals market, you simply must have the Red Book in your library.
[02:19:48.507 --> 02:19:48.908]  Call 800-686-2237.
[02:19:48.968 --> 02:19:49.168]  That's 1-800-686-2237.
[02:19:56.895 --> 02:20:03.379]  I love the new sandal styles, but before I discovered Non-X Nail Gel, I was too embarrassed about my toenails to wear them.
[02:20:03.619 --> 02:20:07.642]  If your nails look dark or discolored, now there's a solution besides hiding them.
[02:20:07.902 --> 02:20:10.043]  It's a patented nail gel called Non-X.
[02:20:10.403 --> 02:20:17.448]  All natural Non-X clears out the source of the problem, the dark or yellow material that builds up under nails called keratin debris.
[02:20:17.748 --> 02:20:20.370]  Non-X Nail Gel is absolutely amazing!
[02:20:20.630 --> 02:20:24.112]  My toenails now look clear and I'm not embarrassed to wear sandals anymore.
[02:20:24.392 --> 02:20:32.296]  Nonex Nail Gel removes yellowing keratin debris, is podiatrist recommended, and has been clinically shown to improve nail clarity.
[02:20:32.677 --> 02:20:34.177]  It's also money-back guaranteed.
[02:20:34.437 --> 02:20:46.324]  You'll find Nonex Gel, spelled N-O-N-Y-X, in the foot care section at Rite Aid, Walgreens, Long's, Brooks, Duane Reade, and independent pharmacies nationwide.
[02:20:46.824 --> 02:20:49.127]  Or online at drugstore.com.
[02:20:49.527 --> 02:20:54.913]  Non-X nail gel for clearer nails and feet that look great in sandals.
[02:20:58.348 --> 02:21:02.471]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine glass?
[02:21:02.691 --> 02:21:04.452]  Well, the glass has a natural resonance.
[02:21:04.712 --> 02:21:11.016]  If the resonant frequency force making the glass vibrate is big enough, the size of the vibration will become so large that the glass shatters.
[02:21:11.297 --> 02:21:17.421]  Using this similar principle, Royal Raymond Rife discovered that disease organisms can be destroyed using different resonant frequencies.
[02:21:17.681 --> 02:21:23.705]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions
[02:21:23.985 --> 02:21:30.391]  With no side effects, the 2006 Biosolutions Plus is the easiest to operate frequency instrument ever developed.
[02:21:30.531 --> 02:21:34.094]  It's easy reference guide will allow you to begin using the instrument within minutes.
[02:21:34.374 --> 02:21:38.098]  Simple step-by-step instructions using pictures are easy to follow.
[02:21:38.278 --> 02:21:40.820]  Customer satisfaction is guaranteed or your money back.
[02:21:40.940 --> 02:21:41.541]  Don't just treat
[02:21:41.681 --> 02:21:41.921]  We're good.
[02:21:58.972 --> 02:22:05.314]  The Fisherman says it's the end of time and the Mississippi River she's a-goin' dry.
[02:22:10.256 --> 02:22:16.818]  The interest is up and the stock market's down and you're only gettin' mugged if you go downtown.
[02:22:17.239 --> 02:22:17.479]  John?
[02:22:21.913 --> 02:22:24.355]  I live back in the woods, you see.
[02:22:24.835 --> 02:22:32.201]  A woman and the kids and the dogs and me.
[02:22:32.381 --> 02:22:38.045]  I've got a shotgun, a rifle, and a four-wheel drive, and a country boy can survive.
[02:22:38.105 --> 02:22:40.046]  Country folks can survive!
[02:22:40.226 --> 02:22:42.428]  All right, welcome back.
[02:22:43.188 --> 02:22:47.211]  All right, let's go through a bunch of your calls with Michael Rivera quickly.
[02:22:47.231 --> 02:22:49.333]  Tim in Michigan, you're on the air, go ahead.
[02:22:49.353 --> 02:22:50.734]  How you doing, Alex?
[02:22:50.754 --> 02:22:50.874]  Good.
[02:22:51.767 --> 02:22:53.228]  Mike, nice to talk to you too.
[02:22:54.049 --> 02:22:54.389]  Thank you.
[02:22:54.409 --> 02:22:59.134]  I just want to mention, I actually saw William Rodriguez this weekend.
[02:23:00.155 --> 02:23:01.396]  What a great man.
[02:23:01.436 --> 02:23:02.457]  I just wanted to mention that.
[02:23:03.077 --> 02:23:07.661]  I urge anybody in the Michigan area to go to A2Planet.com.
[02:23:08.062 --> 02:23:10.364]  You know, like you said Alex, this isn't a cool club.
[02:23:10.544 --> 02:23:12.126]  This is really a race against time.
[02:23:12.786 --> 02:23:15.849]  And you know, people have lost their jobs speaking out against the news.
[02:23:15.949 --> 02:23:16.890]  Oh yeah, oh yeah.
[02:23:17.475 --> 02:23:21.177]  And, uh, you know, Defeat the New World Order is on MySpace right now.
[02:23:21.237 --> 02:23:24.399]  If you go to that, you know, Rupert Murdoch's MySpace, we know all about that.
[02:23:24.899 --> 02:23:26.740]  Um, Meetup.org's coming soon.
[02:23:26.760 --> 02:23:31.742]  Um, I'm also giving away DVDs, Terror Storm, uh, Freedom to Fascism.
[02:23:32.243 --> 02:23:35.064]  Just contact me at DefeatTheNWO at MyWay.com.
[02:23:35.084 --> 02:23:36.865]  I got DVDs given away for free.
[02:23:37.817 --> 02:23:45.721]  And I'm also using marketing experience to send out 9-11 inside job flyers and mass mailers all around the Michigan area.
[02:23:46.101 --> 02:23:46.642]  Good job.
[02:23:46.702 --> 02:23:47.442]  Good to hear from you.
[02:23:47.462 --> 02:23:48.082]  Keep it up.
[02:23:48.283 --> 02:23:52.545]  You know, that's the exciting thing, Michael Rivero, is the grassroots has been unleashed.
[02:23:53.545 --> 02:23:54.406]  Absolutely.
[02:23:54.426 --> 02:23:58.148]  That is the whole point of all of this, is to get everybody talking.
[02:23:58.848 --> 02:24:02.150]  And the more you talk, the more you give other people courage to talk.
[02:24:02.370 --> 02:24:03.851]  Tony in Florida, you're on the air.
[02:24:03.891 --> 02:24:04.311]  Go ahead.
[02:24:05.283 --> 02:24:12.607]  Yes sir, it's an honor to talk to you gentlemen and it's an honor for the millions of listeners to be listening to what I'm going to say.
[02:24:12.627 --> 02:24:13.627]  I have a message of hope.
[02:24:14.888 --> 02:24:17.809]  Now we are in desperate times, but I have a message of hope.
[02:24:18.890 --> 02:24:19.830]  I'm from Mississippi.
[02:24:19.850 --> 02:24:22.112]  Yes, country folks can survive by God's grace.
[02:24:23.132 --> 02:24:28.915]  And as long as you're doing what God has put in your heart to do, you've won the day.
[02:24:32.205 --> 02:24:37.489]  As long as you walk in the path that God has prepared for you, nothing can deter you.
[02:24:38.510 --> 02:24:53.220]  Now, whether you wake up on, whether it's Ruby Ridge, Waco, 9-11, or the coming atrocities that they have in store for us, ladies and gentlemen, Alex, Mr. Rivera, God is going to bless our endeavors.
[02:24:53.800 --> 02:25:00.105]  It's time, you know, and I just want to kind of reiterate some great things, you know, but this is a wonderful thing.
[02:25:00.993 --> 02:25:02.934]  I mean, I'm sitting here thinking about this.
[02:25:02.994 --> 02:25:07.575]  There's people all over the country right now at this moment who are being drawn by the truth.
[02:25:09.316 --> 02:25:20.440]  And it's time for us to stand up and get in their face and say, look, now this is about freedom and this is about tyranny.
[02:25:21.520 --> 02:25:22.740]  What are you going to choose today?
[02:25:22.760 --> 02:25:30.403]  Because for me, in my house, we choose to follow the Lord and the Lord has blessed us
[02:25:31.403 --> 02:25:36.466]  I think all of us right now in this moment have blessed us with the ability to see the truth.
[02:25:37.587 --> 02:25:41.029]  I hear you, my friend, and it is a blessing to know the truth, and I appreciate your call.
[02:25:41.649 --> 02:25:43.750]  Let's now go to George in Florida.
[02:25:43.770 --> 02:25:44.671]  George, go ahead.
[02:25:44.691 --> 02:25:46.592]  Thank you for taking my call, Alex.
[02:25:46.672 --> 02:25:47.072]  You bet.
[02:25:47.993 --> 02:25:51.435]  Even though I'm a previous caller, I am a Teamster truck driver.
[02:25:51.975 --> 02:25:55.777]  Oh, there's that big... I should have talked about that more.
[02:25:55.797 --> 02:25:59.119]  Tell folks about the big protests that are coming up.
[02:26:00.970 --> 02:26:03.971]  You're supposed to be surrounding the state legislatures, the big truck strike.
[02:26:04.771 --> 02:26:14.755]  And the thing is, I talk to people in my local, and they're pretty interested in Ron Paul, and there's not so much getting the national leadership more Ron Paul, it's going by local by local.
[02:26:15.675 --> 02:26:30.360]  And I talked to my brother, he's a UAW, and he just found that UAW just sold out all its members to globalism, and of those union members, some of those big union bosses are on the same payroll as the politicians in the New World Order crowd.
[02:26:31.832 --> 02:26:32.752]  Well, that's the problem.
[02:26:32.772 --> 02:26:35.274]  The elite only has to buy up the central players.
[02:26:35.294 --> 02:26:38.055]  That's why we have to reverse it, take control of the grassroots.
[02:26:38.095 --> 02:26:38.775]  Michael Rivero?
[02:26:38.795 --> 02:26:40.576]  Yeah, absolutely.
[02:26:40.596 --> 02:26:50.380]  The problem with, you know, getting everybody collected into one group with a leader is that leader is very easy to corrupt, and the corruptors certainly have enough money and influence to do that.
[02:26:51.045 --> 02:26:51.546]  I think so.
[02:27:06.279 --> 02:27:18.388]  I was one of a handful, and things were very, very dangerous, and now there are thousands and thousands of blogs getting the truth out, and that is wonderful, because they can't buy us all off, they can't threaten us all off.
[02:27:18.688 --> 02:27:22.030]  The truth is getting out there, and that's really what it's all about.
[02:27:22.591 --> 02:27:23.211]  Absolutely.
[02:27:23.271 --> 02:27:26.633]  Michael Rivero, and to all the callers, thanks for calling in callers.
[02:27:26.733 --> 02:27:27.734]  Mike, thanks for coming on.
[02:27:27.774 --> 02:27:31.797]  I look forward to having you on for your monthly visit coming up next month.
[02:27:32.523 --> 02:27:32.984]  You got it.
[02:27:33.024 --> 02:27:33.684]  Thanks a lot, Alex.
[02:27:34.064 --> 02:27:34.925]  God bless you, my friend.
[02:27:34.945 --> 02:27:36.907]  There goes Michael Rivera of WhatReallyHappened.com.
[02:27:37.247 --> 02:27:42.011]  My websites are Infowars.net, PrisonPlanet.tv, and JonesReport.com.
[02:27:42.331 --> 02:27:44.373]  William Rodriguez is our guest coming up.
[02:27:47.215 --> 02:27:48.196]  We're on the march.
[02:27:48.616 --> 02:27:50.218]  The empire's on the run.
[02:27:51.119 --> 02:27:53.821]  Alex Jones and the GCN Radio Network.
[02:27:56.827 --> 02:27:57.668]  Attention gardeners!
[02:27:57.728 --> 02:28:00.089]  This is an urgent GCN self-reliance update.
[02:28:00.329 --> 02:28:04.652]  GCN has just discovered a new bioactive superfood for garden plants, flowers, and herbs.
[02:28:04.853 --> 02:28:12.738]  It's called Proto-Gro and it's so effective at producing rapid plant growth that it seems to almost force plants to grow like crazy under practically any soil and light conditions.
[02:28:13.058 --> 02:28:15.879]  Now here's the best part for our listeners who garden for self-reliance.
[02:28:16.179 --> 02:28:23.700]  Proto-Gro's unique blend of sea nutrients maximizes mineral uptake and dramatically increases bloom set, creating maximum plant growth in minimum time.
[02:28:23.800 --> 02:28:29.401]  Proto-Gro works by providing geometric keys which have the capacity to actually unlock the genetic code for nutritional uptake in plants.
[02:28:29.621 --> 02:28:35.182]  Proto-Gro's full spectrum plant fertility means fruits and vegetables with extraordinary taste and up to 10 times the nutritional value.
[02:28:35.462 --> 02:28:38.643]  And if you want to double or triple the potency of herbs or wheatgrass, you can.
[02:28:38.683 --> 02:28:43.385]  The ideology powering the Democrats and Republicans is not liberalism or conservatism, but globalism.
[02:28:43.405 --> 02:28:44.125]  Globalists are concerned
[02:29:11.288 --> 02:29:12.629]  Nationalism is nationalism.
[02:29:13.029 --> 02:29:15.030]  Start reading The Nationalist Times each month.
[02:29:15.270 --> 02:29:20.673]  The Nationalist Times promotes a common sense, intelligent, and passionate alternative to the reigning party line.
[02:29:20.973 --> 02:29:29.638]  Published monthly since 1985, The Nationalist Times is a 20-page newspaper featuring outstanding writers and columnists who don't believe in taboos or sacred cows.
[02:29:29.958 --> 02:29:30.258]  I think so.
[02:29:56.534 --> 02:29:57.435]  It's no secret.
[02:29:57.675 --> 02:30:03.179]  Aluminum itself adversely affects the blood-brain barrier and is capable of causing DNA damage.
[02:30:03.339 --> 02:30:08.103]  Research has even shown that aluminum salts used in antiperspirants have detrimental effects.
[02:30:08.443 --> 02:30:10.745]  So why are you still using traditional deodorant?
[02:30:10.945 --> 02:30:13.547]  Well, there is an alternative and it's called No-BO.
[02:30:13.787 --> 02:30:21.934]  No-BO eliminates the bacterial growth, which causes odor and does not interfere with perspiration, which is important for allowing your body to expel toxins.
[02:30:22.114 --> 02:30:26.317]  There are no chemicals, aluminum, preservatives, or petroleum-based ingredients in No-BO.
[02:30:26.637 --> 02:30:32.860]  Just natural ingredients like grapeseed oil, arrowroot powder, silica, vitamin E, tea tree oil, and geranium.
[02:30:33.040 --> 02:30:37.202]  No-BO's job is to destroy the bacteria that causes the odor while soothing your skin.
[02:30:37.362 --> 02:30:41.725]  You can use No-BO under your arms, on tough foot odors, or for athlete's foot.
[02:30:41.885 --> 02:30:45.867]  No-BO is guaranteed 100% or receive a full refund.
[02:30:46.207 --> 02:30:48.748]  Visit No-BO.com to order.
[02:30:48.868 --> 02:30:51.689]  That's No-BO.com or call 850-723-8599.
[02:31:03.903 --> 02:31:19.353]  We are carrying a five-camera shoot production of the presentation that William Rodriguez gave last June in Los Angeles, and it brought so many people to tears.
[02:31:19.994 --> 02:31:27.319]  We all pretty much unanimously agree, I know Charlie Sheen and myself, that it was the most powerful presentation that was given.
[02:31:27.339 --> 02:31:29.640]  Of course, I got second place, ladies and gentlemen.
[02:31:29.660 --> 02:31:30.841]  It doesn't really matter.
[02:31:31.853 --> 02:31:37.035]  But the point is that it's extremely powerful, and we got a couple hundred copies of these, and those are going fast.
[02:31:37.855 --> 02:31:39.496]  And William produced this himself.
[02:31:39.556 --> 02:31:40.476]  It's very well done.
[02:31:40.496 --> 02:31:43.757]  And our two cameras, and he had three cameras there.
[02:31:44.477 --> 02:31:54.021]  He did a great job, and he lays, you know, he goes through 9-11, he goes through the tragedy, he goes through how he saved the people, and then how the cover-up's taken place, and how they try to use him.
[02:31:54.741 --> 02:31:57.442]  It's a very poignant, important, well-done piece.
[02:31:57.462 --> 02:31:58.002]  We carry it.
[02:31:58.322 --> 02:31:59.923]  Fifteen dollars at InfoWars.com.
[02:32:01.380 --> 02:32:06.384]  It's called What Really Happened on 9-11 by William Rodriguez.
[02:32:06.944 --> 02:32:12.688]  Available at Infowars.com or by calling toll-free 888-253-3139.
[02:32:13.269 --> 02:32:18.813]  And while you're on the site or calling the toll-free number, be sure and get America, Freedom to Fascism by Aaron Russo.
[02:32:19.113 --> 02:32:24.117]  Be sure and get my new film Terror Storm, a history of government-sponsored terror, and peruse all the discounts and specials.
[02:32:24.537 --> 02:32:26.078]  Okay, going to William Rodriguez now.
[02:32:39.938 --> 02:32:54.530]  This morning, I talked to him, and he'd just gotten back from his trip from New York to Michigan, and he'd been there defending Kevin Barrett, the professor who they've been calling for him to be fired, for him not to be able to give speeches, for him to have his... I mean, it's horrible.
[02:32:54.570 --> 02:32:55.250]  You know what they do.
[02:32:55.631 --> 02:32:56.852]  I need to be put in a camp.
[02:32:57.392 --> 02:32:59.234]  Charlie Sheen needs to lose his job.
[02:32:59.994 --> 02:33:01.716]  Mark Cuban needs to go to prison.
[02:33:01.736 --> 02:33:03.457]  I need to die.
[02:33:04.178 --> 02:33:06.720]  Rosie needs to be hung by the neck until she dies.
[02:33:08.241 --> 02:33:09.382]  All of this is going on.
[02:33:10.399 --> 02:33:12.681]  And we're sick of it.
[02:33:12.781 --> 02:33:13.521]  We're tired of it.
[02:33:14.222 --> 02:33:17.744]  And they love to use the first responders, the heroes like Willie Rodriguez.
[02:33:18.125 --> 02:33:28.833]  They love to do all of this and they love to sit up there and use them and use their heroism to appropriate it under their own agendas.
[02:33:28.893 --> 02:33:29.813]  And we're sick of it.
[02:33:30.254 --> 02:33:32.755]  The majority of the families believe it's an inside job.
[02:33:32.795 --> 02:33:36.158]  Bill Doyle, the head of the biggest victim group, has told you that on air.
[02:33:36.478 --> 02:33:37.599]  Many others have come on air.
[02:33:38.800 --> 02:33:43.461]  The majority of police and firemen, the vast majority I talked to in New York, know there's a cover-up.
[02:33:44.041 --> 02:33:52.743]  Okay, so the New World Order is sitting on top of a keg of dynamite here, a keg of TNT, and let me tell you, there's fuses all over the place, and those fuses are already lit, folks.
[02:33:53.344 --> 02:33:58.725]  The question is, will that keg of TNT go off and blow us to bits, or are we going to get in a position where this doesn't hurt us?
[02:33:59.668 --> 02:34:01.369]  And now is the time to act.
[02:34:01.769 --> 02:34:03.190]  So William Rodriguez joins us.
[02:34:03.230 --> 02:34:05.812]  He also spoke to some of the family of one of the people on Flight 77.
[02:34:05.892 --> 02:34:11.255]  And he did a really professional job, but I didn't talk to him after this morning.
[02:34:11.275 --> 02:34:20.661]  He sent me this video clip he put together of a slideshow, so it made more sense to just cut out the questions that we're asking, you know, insert them ourselves, to make it have more brevity.
[02:34:21.961 --> 02:34:25.483]  But I was unable to get that in time, so William's going to do it.
[02:34:25.864 --> 02:34:28.025]  William Rodriguez, thank you for joining us.
[02:34:28.678 --> 02:34:29.398]  Thank you, thank you.
[02:34:29.458 --> 02:34:36.942]  It's a pleasure, like always, to be on your show, and a lot of things are happening here in the Tri-State area as well.
[02:34:37.463 --> 02:34:39.784]  The presentation this weekend was amazing.
[02:34:40.444 --> 02:34:43.726]  We have close to 300 people, full venue.
[02:34:43.786 --> 02:34:44.666]  Tell folks about that.
[02:34:44.706 --> 02:34:46.187]  Where you went, why you went, what happened.
[02:34:46.948 --> 02:34:55.312]  Ann Arbor, of course, the site of Michigan State University, and what we were trying to do was, I heard
[02:34:55.879 --> 02:35:04.983]  And read on one of the bloggers that Kevin Barrett was attacked by one of the survivors of the World Trade Center.
[02:35:05.403 --> 02:35:11.986]  And when I read the whole story, it just started to clarify the sense of why the attack was happening.
[02:35:12.446 --> 02:35:16.127]  It was brought in by the Jewish Republican Union.
[02:35:17.870 --> 02:35:20.371]  from his university while he was away.
[02:35:20.411 --> 02:35:21.851]  He wasn't even at the university.
[02:35:21.871 --> 02:35:26.372]  He was doing a speech, a conference somewhere in another state.
[02:35:27.053 --> 02:35:32.014]  And they just kind of put this together because they knew he wasn't going to be there to debate this guy.
[02:35:32.774 --> 02:35:38.516]  And what basically this guy is doing is he's going on a speaking tour, you know, promoting a book.
[02:35:39.416 --> 02:35:45.878]  And he's a survivor from the 50-something floor and basically attacked Mr. Barrett directly.
[02:35:46.951 --> 02:35:52.472]  And what we have here was an attempt by this organization to discredit these men.
[02:35:53.092 --> 02:36:03.454]  But again, you know, you're going to have, of course, the victims that do not agree with what we're doing, but the majority agree with what we are trying to do to look for the search for the truth.
[02:36:04.134 --> 02:36:08.755]  And so I got so angry that I said, well, how come they never call me this group?
[02:36:09.375 --> 02:36:11.655]  And of course, because they wanted to attack Mr. Barrett.
[02:36:11.955 --> 02:36:15.696]  So I said, no, I'm going to take it upon myself to go over there and try to do something.
[02:36:16.455 --> 02:36:26.288]  And what little do we know is that so many people were so upset that they started to call for the possibility of an argumentation and debate forum.
[02:36:26.749 --> 02:36:34.018]  And they brought Mr. Kevin from UL Laboratory and Kevin Ryan.
[02:36:34.860 --> 02:36:46.926]  And they put together this debate and invited the youth of the Republican Party, they invited all the groups that supposedly attack us constantly, and they didn't show up.
[02:36:47.767 --> 02:36:56.231]  We had an empty seat, and what happened was that Mr. Barrett and Mr. Kevin Ryan had to do the debate themselves.
[02:36:57.072 --> 02:37:01.654]  And it was funny because just to see Mr. Kevin Ryan playing the devil's advocate,
[02:37:02.833 --> 02:37:05.655]  Made it more of an interesting event for the day.
[02:37:06.715 --> 02:37:17.881]  After that I spoke and little did I know that in the front of the audience, sitting in the front seat, was a family from the flight 177, the plane that hit the South Tower.
[02:37:18.702 --> 02:37:24.625]  And they were totally moved by the presentation and the support was overwhelmingly positive.
[02:37:25.165 --> 02:37:26.686]  And that's what we came
[02:37:27.646 --> 02:37:34.150]  Now tell us specifically about who this family is, who this woman and man are that you then talked to and who they had that was family on Flight 77.
[02:37:51.095 --> 02:37:53.476]  Well, this is John and Bev Titus.
[02:37:53.536 --> 02:37:55.978]  They lost their daughter.
[02:37:56.298 --> 02:37:58.819]  Her daughter was Alicia Titus.
[02:37:59.019 --> 02:38:08.084]  And if you play the clip, you could hear the first question that I asked is, can you please tell us, what do you think of William Rodriquez's presentation?
[02:38:08.184 --> 02:38:09.305]  And this is what they said.
[02:38:10.045 --> 02:38:13.267]  Okay, network, go ahead and play that and then leave William's audio up.
[02:38:13.327 --> 02:38:17.329]  He's going to speak and ask the question so it's more condensed, so it makes sense.
[02:38:17.650 --> 02:38:18.330]  Leave it running.
[02:38:18.746 --> 02:38:19.807]  Yeah, yeah, just leave it running.
[02:38:19.927 --> 02:38:20.367]  Here it is.
[02:38:21.008 --> 02:38:42.705]  I thought he did an incredible job of telling the facts, giving us some insight from the inside of the towers, portraying it in such a strong and powerful emotional way, and with the evidence to back it up, that it was beyond credible.
[02:38:42.746 --> 02:38:44.327]  It was incredible.
[02:38:47.151 --> 02:38:58.874]  It's something that we've been looking for the answers for a long time and to hear people that were there that knew what was going on helps us in some of the, in our grieving.
[02:38:58.894 --> 02:39:01.655]  Who do you lose on 9-11?
[02:39:01.995 --> 02:39:06.276]  Alicia was killed on the second plane that hit the South Tower.
[02:39:06.636 --> 02:39:14.618]  So we've been dealing with her own grief and we felt Mr. Rodriguez's pain as well and we know that
[02:39:15.353 --> 02:39:18.116]  That he's dealing with some of the same issues that we are.
[02:39:18.176 --> 02:39:21.840]  Yeah, let me ask you the question everybody has in their minds.
[02:39:21.941 --> 02:39:29.569]  As an affected family member of 9-11, do you support us and Mr. Rodriguez's search for the truth on what we're trying to bring out for the families?
[02:39:32.590 --> 02:39:34.211]  Absolutely.
[02:39:34.972 --> 02:39:54.685]  That'll be our lifelong quest is to try to find the truth of September 11th and what's really the real story behind it because we know that what we've been given is only a glimpse of it and distortions of it.
[02:39:54.725 --> 02:39:57.027]  My daughter deserves better than that.
[02:39:58.148 --> 02:39:59.228]  Where was your daughter on 9-11?
[02:40:01.312 --> 02:40:03.393]  She was a flight attendant on Flight 125.
[02:40:05.433 --> 02:40:22.819]  I feel five years later that it's still very difficult for me to wrap my mind around that Alicia was killed and that there are still no answers to so many questions that we have and we've not been given the truth.
[02:40:24.566 --> 02:40:32.632]  And that we're going to continue to search and support people that are out there asking the same kinds of questions and demanding the truth.
[02:40:32.652 --> 02:40:36.695]  Yeah, for us it's a loss that will never end.
[02:40:36.895 --> 02:40:43.480]  I mean, each day we feel the pain and the sadness from the loss of our daughter who is
[02:40:44.353 --> 02:41:03.067]  Very important in our lives and it's it doesn't you know we have moments where we can feel joy but the pain is always there it follows you around the sadness in our family we feel it whenever we have family get-togethers and family is very very important to us.
[02:41:04.808 --> 02:41:08.151]  We ask them how they feel five years after and this is what they answer.
[02:41:12.071 --> 02:41:14.714]  She was like a best friend as well as a daughter.
[02:41:14.954 --> 02:41:21.820]  And I know her and Bev were... She used to call her almost every day and tell her about what was going on in her life.
[02:41:21.940 --> 02:41:28.226]  I mean, it was... Even though she traveled all over the world, she was very, very connected with us.
[02:41:28.707 --> 02:41:32.350]  And still is, but... The loss is great.
[02:41:34.252 --> 02:41:37.155]  And the last words after the interview was these ones.
[02:41:41.208 --> 02:41:47.054]  We want to thank Mr. Rodriguez for all he's doing to bring out the truth because it's very important to us.
[02:41:49.817 --> 02:41:50.898]  Wow, that is amazing.
[02:41:50.938 --> 02:42:02.289]  In fact, I think we might just at the end of the show, in the last five minutes, re-air that with just you at the first, William, you know, asking three or four questions up front and then just playing it.
[02:42:03.010 --> 02:42:19.556]  Uh... there because that is that is so amazing another family going public another family who's been doing their own investigation went and heard your talk and then you know finally went public here obviously you've got that video are you going to be encoding that and and uh... and uh... putting it out.
[02:42:19.876 --> 02:42:22.157]  I will place it on my website in a day or two.
[02:42:22.177 --> 02:42:24.257]  The interview is really long.
[02:42:24.417 --> 02:42:26.838]  Are we just going to put the one that you just played?
[02:42:27.078 --> 02:42:27.238]  Sure.
[02:42:27.278 --> 02:42:28.179]  What website is that?
[02:42:30.871 --> 02:42:33.155]  911keymaster.com or William911.com
[02:42:35.050 --> 02:42:36.111]  That's easier to remember.
[02:42:36.191 --> 02:42:38.132]  William911.com.
[02:42:38.292 --> 02:42:44.917]  William911.com and of course we've got links right now up on InfoWars.com to your main site there.
[02:42:45.697 --> 02:42:48.239]  Basically what we're going to do, we're going to re-edit everything.
[02:42:48.999 --> 02:42:58.966]  Actually I did a long interview because I'm going to many, many of the families and recording them on their views and also to support me on some of the things.
[02:42:59.006 --> 02:42:59.987]  I'm putting my gloves on.
[02:43:00.067 --> 02:43:02.768]  I'm fighting a lot of the people out there that are attacking us.
[02:43:03.789 --> 02:43:14.256]  I'm putting together the support from the families and what you will see is one of the future release of another video that we are putting together that of course we're going to make available to you.
[02:43:14.396 --> 02:43:15.917]  You know I love the way you put that though.
[02:43:15.937 --> 02:43:23.842]  You say I'm putting the gloves on me and you're getting in the ring with them but I guess in Texas we say we're taking the gloves off but bottom line William Rodriguez is taking the gloves off.
[02:43:24.997 --> 02:43:25.317]  Correct.
[02:43:27.438 --> 02:43:37.321]  I'm fighting back and I'm fighting with all the strength that I can to expose these people, people that supported us in the beginning as well and then attacked us.
[02:43:37.361 --> 02:43:42.363]  I'm just going and just protecting, protecting what we're trying to do here.
[02:43:42.923 --> 02:43:49.905]  And what we have here also is a full... I want to talk about so many things, but they're confidential.
[02:43:50.405 --> 02:43:51.966]  So it looks like that's on for this week then?
