[00:00:00.349 --> 00:00:01.370]  I'm great.
[02:18:11.016 --> 02:18:13.837]  Okay, the majority don't want toll roads on existing roads.
[02:18:13.857 --> 02:18:15.097]  The majority don't want open borders.
[02:18:15.317 --> 02:18:16.637]  The majority don't want the war.
[02:18:16.917 --> 02:18:19.418]  They set up on TV and say the majority does.
[02:18:19.818 --> 02:18:21.739]  Well, you might tell you how they do that.
[02:18:22.079 --> 02:18:28.160]  Extortion and fear is what makes a lot of people be fearful of even saying anything.
[02:18:28.180 --> 02:18:31.461]  It's like if you're in a big corporation or a big factory, you don't want to
[02:18:32.385 --> 02:18:37.409]  Yeah, that's why companies fire people to talk about 9-11 men and inside jobs.
[02:18:37.709 --> 02:18:38.630]  Universities do.
[02:18:39.250 --> 02:18:41.312]  They want to make an example.
[02:18:41.332 --> 02:18:42.533]  They're intimidating us.
[02:18:42.853 --> 02:18:49.718]  And if people like being serfs on a plantation, being intimidated and being run by a gang boss, then enjoy your slavery.
[02:18:49.758 --> 02:18:54.761]  Just don't say you're free, don't say you're Americans, and don't festoon yourself with American flags.
[02:18:54.982 --> 02:19:00.826]  Well, the idea of the India caste system, or the English, you know,
[02:19:01.266 --> 02:19:01.966]  I think so, yes.
[02:19:27.869 --> 02:19:28.770]  No, no, I agree.
[02:19:28.790 --> 02:19:30.492]  No offensive violence.
[02:19:30.512 --> 02:19:31.713]  We should all defend ourselves.
[02:19:31.773 --> 02:19:32.854]  It's our God-given right.
[02:19:32.934 --> 02:19:37.078]  But that's why they blow up buildings and stage events and try to blame it on patriot groups.
[02:19:37.378 --> 02:19:39.220]  It's because they want to make it a violent game.
[02:19:39.240 --> 02:19:42.743]  We need to expose them as the violent pieces of trash they are.
[02:19:43.383 --> 02:19:48.626]  We need to just say no to their system and literally put ourselves against the machinery.
[02:19:48.666 --> 02:19:50.047]  Let me tell you something, Don.
[02:19:50.487 --> 02:19:52.488]  I want you to know we're winning, okay?
[02:19:52.728 --> 02:19:54.389]  People are waking up in droves.
[02:19:54.730 --> 02:19:56.391]  The New World Order is in crisis.
[02:19:56.411 --> 02:20:01.013]  That's why they tried to put the Democrats in and now they've got them trying to sell us on staying in the war.
[02:20:01.033 --> 02:20:01.954]  That's not working.
[02:20:03.154 --> 02:20:06.956]  Everybody I know in the left is waking up and not being in the left anymore.
[02:20:07.837 --> 02:20:08.978]  They're out buying guns.
[02:20:08.998 --> 02:20:10.438]  They're out hating the New World Order.
[02:20:10.458 --> 02:20:11.319]  They're out getting it.
[02:20:12.162 --> 02:20:13.683]  I talked to the illegal aliens.
[02:20:13.923 --> 02:20:14.884]  You can even wake them up.
[02:20:15.785 --> 02:20:17.566]  The conservatives are waking up.
[02:20:17.966 --> 02:20:22.750]  There's still a hardcore of them, though, that think gun control and open borders and world government is conservative.
[02:20:23.390 --> 02:20:23.991]  And it's not!
[02:20:24.711 --> 02:20:25.432]  We'll be right back.
[02:20:25.472 --> 02:20:25.832]  Stay with me.
[02:20:30.789 --> 02:20:35.754]  Now, you can bring Berkey Purification Power anywhere with the Sport Berkey Filtration Bottle.
[02:20:36.074 --> 02:20:41.520]  Ideal for sporting games, camping or boating, or Sport Berkey is small enough to store in your glove box.
[02:20:41.540 --> 02:20:45.844]  So it's ideal backup for unexpected emergencies like blackouts, floods or earthquakes.
[02:20:46.184 --> 02:20:49.187]  It's simply the best personal water filtration system available.
[02:20:49.507 --> 02:20:52.931]  So effective you can drink raw, untreated water from lakes, rivers and streams.
[02:20:53.271 --> 02:21:02.613]  Unlike other sport bottles, the Sport Berkey's patented filter formulation is so powerful it removes cysts, parasites, harmful bacteria, and chemicals like herbicides and pesticides.
[02:21:02.873 --> 02:21:06.353]  It even reduces radon-222, lead, and other heavy metals.
[02:21:06.613 --> 02:21:13.715]  This lightweight, rugged 22-ounce filter is small enough to go everywhere, so take one to work and keep another in your glove box for emergencies.
[02:21:13.975 --> 02:21:15.335]  Get the Berkey Sport for only $39.
[02:21:15.375 --> 02:21:17.055]  Get two for $70 by calling New Millennium at 888-803-4438.
[02:21:22.116 --> 02:21:23.497]  Order your Berkey Sport today.
[02:21:23.737 --> 02:21:29.320]  That's toll free, 808-803-4438 or order on the web at berkeywater.com.
[02:21:29.941 --> 02:21:32.422]  David J. Smith for Newswatch Magazine.
[02:21:32.522 --> 02:21:39.346]  Did you know that at the 29 Palms Marine Base located in California, a questionnaire was given to Marine Station there?
[02:21:40.067 --> 02:21:43.349]  It discussed the United States military under UN command.
[02:21:44.079 --> 02:21:45.540]  Would the Marines accept this?
[02:21:45.720 --> 02:21:56.506]  The final statement to be answered, yes or no, was, I would fire upon American citizens who refuse or resist confiscation of firearms banned by the United States government.
[02:21:56.966 --> 02:21:58.367]  Is this what Americans want?
[02:21:58.507 --> 02:22:00.308]  Forced confiscation of guns?
[02:22:00.828 --> 02:22:08.332]  We'd like to help you understand how these things are happening by offering you an absolutely free one-year subscription to Newswatch Magazine.
[02:22:09.148 --> 02:22:10.589]  Just call our toll-free number 1-800-516-8736.
[02:22:10.609 --> 02:22:11.029]  That's 1-800-516-8736.
[02:22:11.069 --> 02:22:11.490]  Call now.
[02:22:11.650 --> 02:22:16.953]  Operators are standing by to receive your call for a one-year free subscription to NewsWatch Magazine.
[02:22:30.074 --> 02:22:33.976]  The United States seems to be celebrating over its triumph of reducing government debt.
[02:22:34.196 --> 02:22:46.463]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[02:22:46.903 --> 02:22:47.303]  The U.S.
[02:22:47.343 --> 02:22:52.926]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[02:22:53.326 --> 02:22:55.527]  In the year 2000, debt growth collapsed to only 4.5%.
[02:22:57.388 --> 02:22:58.449]  It's bad enough that the U.S.
[02:22:58.489 --> 02:23:01.330]  citizens is bound by debt in order to have commerce.
[02:23:01.450 --> 02:23:07.473]  However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[02:23:07.893 --> 02:23:11.255]  Before you make your next investment decision, get the cold hard facts.
[02:23:11.335 --> 02:23:17.678]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[02:23:18.218 --> 02:23:22.122]  You must understand how recession and depression are driven by outstanding debt.
[02:23:22.142 --> 02:23:22.342]  Call 1-800-686-2237.
[02:23:22.362 --> 02:23:22.623]  That's 1-800-686-2237.
[02:23:31.495 --> 02:23:32.335]  Come on, Bill.
[02:23:32.536 --> 02:23:37.760]  Two weeks ago you were riding a bicycle, and today you're showing up in your new car and telling me you're buying a house?
[02:23:38.121 --> 02:23:39.622]  What did you do, rob Bill Gates?
[02:23:39.702 --> 02:23:41.704]  No, John, I didn't rob Bill Gates.
[02:23:42.004 --> 02:23:47.549]  What I did do is visit the website www.DidYouRobBillGates.com.
[02:23:47.869 --> 02:23:54.155]  That's where I learn how to make $3,000 to $9,000 each and every week, starting with my very first week.
[02:23:54.495 --> 02:23:56.697]  It's a simple program that does all the work for you.
[02:23:56.997 --> 02:24:00.461]  I'm already up to $25,000 just going on my third week.
[02:24:00.702 --> 02:24:01.082]  Whoa.
[02:24:01.522 --> 02:24:02.684]  What was that website again?
[02:24:02.704 --> 02:24:06.308]  It's www.didyourobbillgates.com.
[02:24:06.628 --> 02:24:07.750]  Now write this down, John.
[02:24:07.890 --> 02:24:12.235]  You should go there and learn how this program can help you become financially independent, too.
[02:24:12.395 --> 02:24:12.956]  Thanks, Bill.
[02:24:13.256 --> 02:24:14.437]  I'm going there right now.
[02:24:14.898 --> 02:24:15.539]  Check, please.
[02:24:17.289 --> 02:24:18.810]  Uh, you got this one, right Bill?
[02:24:19.291 --> 02:24:19.871]  Sure, John.
[02:24:20.091 --> 02:24:24.474]  Don't forget, it's www.DidYouRobBillGates.com.
[02:24:24.795 --> 02:24:26.536]  Next time, you'll be buying me lunch.
[02:24:26.676 --> 02:24:27.016]  Deal.
[02:24:35.202 --> 02:24:37.103]  Waging war on corruption.
[02:24:37.584 --> 02:24:40.326]  Alex Jones, on the GCN Radio Network.
[02:24:41.548 --> 02:24:44.730]  Crashing for the lies and disinformation.
[02:24:45.470 --> 02:24:47.931]  Waging war on the New World Order.
[02:24:50.212 --> 02:24:51.713]  Huge news blitz coming up.
[02:24:51.733 --> 02:24:53.053]  Let's move fast through your calls.
[02:24:53.213 --> 02:24:54.314]  Wolf in Utah.
[02:24:54.794 --> 02:24:55.994]  You're on the air, welcome.
[02:24:56.715 --> 02:24:57.935]  Hey Alex, how's it going?
[02:24:57.975 --> 02:24:58.355]  Good, sir.
[02:24:59.196 --> 02:25:02.697]  Listen, first of all, I wanted to say amen to you and Ms.
[02:25:02.757 --> 02:25:03.158]  Taylor.
[02:25:04.338 --> 02:25:10.841]  And also I wish Lieutenant Wakata's father was still with you so he could hear me say, I hope he's listening,
[02:25:11.573 --> 02:25:19.837]  How proud I am, and millions of Americans are, of his true patriot, true hero son.
[02:25:23.319 --> 02:25:24.339]  Yeah, it was great, wasn't it?
[02:25:24.419 --> 02:25:27.220]  I mean, we're really glad people were standing up against this evil war.
[02:25:28.301 --> 02:25:28.721]  Amen.
[02:25:30.062 --> 02:25:30.802]  You're so right.
[02:25:32.003 --> 02:25:34.124]  And that guy Troy, he makes me crack up.
[02:25:34.804 --> 02:25:35.444]  But you know what?
[02:25:35.504 --> 02:25:36.925]  I think you're starting to wake him up.
[02:25:38.649 --> 02:25:39.750]  Don't you get that impression?
[02:25:40.010 --> 02:25:40.611]  I don't know, man.
[02:25:40.651 --> 02:25:41.851]  I can't get that guy's number.
[02:25:43.793 --> 02:25:46.755]  He's like, I just think you went off the deep end a little too much.
[02:25:46.775 --> 02:25:48.797]  The whole society went off the deep end.
[02:25:49.257 --> 02:25:49.457]  Yep.
[02:25:50.158 --> 02:25:52.119]  I mean, the stuff that's happening is crazy.
[02:25:52.620 --> 02:25:56.963]  I can't blame people not believing it's happening, but when the evidence is there, get out of denial.
[02:25:57.744 --> 02:25:58.084]  Amen.
[02:25:59.385 --> 02:26:00.065]  You're so right.
[02:26:00.306 --> 02:26:01.527]  All right, good to hear from you, Wolf.
[02:26:01.587 --> 02:26:02.487]  I appreciate you holding.
[02:26:02.928 --> 02:26:05.750]  Joe, Joe, where are you calling from today?
[02:26:06.468 --> 02:26:07.128]  Pittsburgh!
[02:26:07.489 --> 02:26:08.069]  Hello!
[02:26:08.429 --> 02:26:09.510]  Wolfpack Leader Jones.
[02:26:09.530 --> 02:26:11.330]  How you doing?
[02:26:12.371 --> 02:26:18.094]  Alright, well, yeah, first of all, Troy, yeah, he's definitely good for a chuckle.
[02:26:18.114 --> 02:26:24.537]  He kind of puts a voice to, you know, the invincible ignorance of the population.
[02:26:24.557 --> 02:26:27.078]  That's a good term, invincible ignorance.
[02:26:27.638 --> 02:26:29.519]  Yeah, I think I've heard you say that or somebody else.
[02:26:29.579 --> 02:26:30.980]  Yeah, no, I've used it.
[02:26:31.560 --> 02:26:32.081]  It's a good one.
[02:26:33.641 --> 02:26:41.185]  My question for you today was about Calm Trails.
[02:26:41.465 --> 02:26:43.026]  Everybody knows how the government is.
[02:26:43.406 --> 02:26:49.670]  Well, all I know is until 1996, trails disappeared in seconds, now they stay there for hours sometimes.
[02:26:50.690 --> 02:26:55.233]  The government now in textbooks says it's part of some program to keep us safe, so who knows what it is.
[02:26:56.313 --> 02:26:57.554]  I'm sure it's good for us, though.
[02:26:57.594 --> 02:26:59.715]  Our government would only do good, so I trust them.
[02:27:00.575 --> 02:27:02.296]  I'd like to advance my theory about them.
[02:27:02.456 --> 02:27:03.856]  I think they serve two purposes.
[02:27:04.256 --> 02:27:07.317]  First of all, I think there's a... It's a multivitamin spray.
[02:27:08.197 --> 02:27:09.878]  Yeah, something to that effect.
[02:27:09.898 --> 02:27:23.061]  There's a biological effect to it, because... I believe that there's a biological effect to it, but more than that, do you see any correlation between the higher temperatures that are going on in the country now with that?
[02:27:23.422 --> 02:27:24.102]  Well, I know this.
[02:27:24.262 --> 02:27:27.383]  NASA has reported that the world is 20% darker
[02:27:29.463 --> 02:27:31.304]  Than it was ten years ago.
[02:27:32.104 --> 02:27:39.468]  And now all satellite photos show these trails everywhere, and photos previous to 1995-96 do not.
[02:27:41.268 --> 02:27:44.410]  And it is altering the atmosphere, and it is holding in heat.
[02:27:45.650 --> 02:27:49.872]  And now in government textbooks they say they're giving us a quote, sunscreen.
[02:27:50.412 --> 02:27:51.253]  Screening the Earth.
[02:27:51.733 --> 02:27:55.775]  Something weird's going on, and we've had guests on about the subject, and it's weird.
[02:27:58.174 --> 02:28:01.817]  I mean, it scares me, because I know how the government... Don't be scared.
[02:28:01.897 --> 02:28:04.058]  They helped those black men with syphilis, didn't they?
[02:28:04.099 --> 02:28:06.821]  And they helped all those atomic soldiers and children.
[02:28:07.561 --> 02:28:11.084]  This is a nice government that radiated American children to test radiation on them.
[02:28:11.104 --> 02:28:12.024]  These are good people.
[02:28:12.785 --> 02:28:19.810]  Actually, I go out of my house on most days, at least every other day, and I see lines of these planes go through the air, parallel to each other.
[02:28:19.830 --> 02:28:23.613]  And they're just putting something up there that doesn't disappear.
[02:28:23.633 --> 02:28:25.795]  And I remember when I was a kid, with my mother,
[02:28:26.593 --> 02:28:29.576]  Yeah, looking up at the sky in the summer and seeing those planes.
[02:28:29.636 --> 02:28:33.479]  We used to call them sky riders, because they rode in the sky, but the trail always disappeared.
[02:28:33.499 --> 02:28:43.288]  I remember... Well, listen, a few weeks ago, it was a holiday, so they were taking a break, and I was out at the park with some people at work, and we said, let's go take a break, go to the park for an hour.
[02:28:43.869 --> 02:28:44.990]  So we're out there eating lunch.
[02:28:45.848 --> 02:28:49.130]  And the jets were flying by, and they were leaving a trail that disappeared in 30 seconds.
[02:28:49.730 --> 02:28:51.672]  And I said, oh, that's the old-fashioned type.
[02:28:53.052 --> 02:28:56.314]  Now they're lower than ice crystals can even form.
[02:28:56.354 --> 02:29:00.677]  I mean, they'll have chemtrails at 4,000 feet, these aerosols.
[02:29:01.717 --> 02:29:04.519]  And it's just horrible.
[02:29:05.039 --> 02:29:07.421]  There's all sorts of freakish stuff going on, man.
[02:29:08.021 --> 02:29:09.342]  I mean, that's the point.
[02:29:09.362 --> 02:29:14.485]  You've got a shadow government with almost as much funds as the public government.
[02:29:16.651 --> 02:29:18.051]  Ward knows what they're doing.
[02:29:18.071 --> 02:29:22.293]  I appreciate your call.
[02:29:22.773 --> 02:29:23.133]  I hear you.
[02:29:23.173 --> 02:29:23.693]  It's crazy.
[02:29:24.313 --> 02:29:25.814]  Let's talk to Don in Nebraska.
[02:29:25.854 --> 02:29:26.674]  Don, you're on the air.
[02:29:27.134 --> 02:29:28.354]  Alex, great job.
[02:29:28.774 --> 02:29:30.095]  You are a great American.
[02:29:31.355 --> 02:29:32.916]  Well, I'm just doing my duty, my friend.
[02:29:32.976 --> 02:29:33.456]  That's great.
[02:29:33.616 --> 02:29:34.456]  Somebody's got to do it.
[02:29:34.596 --> 02:29:35.256]  You stepped up.
[02:29:35.316 --> 02:29:35.696]  You did it.
[02:29:36.317 --> 02:29:36.817]  I'm awake.
[02:29:36.997 --> 02:29:37.817]  I took the red pill.
[02:29:37.877 --> 02:29:39.257]  I'm waking up everybody else.
[02:29:39.998 --> 02:29:45.139]  I got for Christmas a DVD burner and the Freedom Fascism and the Terror Storm combo.
[02:29:46.204 --> 02:29:46.904]  And I spread out.
[02:29:47.184 --> 02:29:48.625]  I've woken up three other people already.
[02:29:50.245 --> 02:29:50.645]  Good.
[02:29:50.945 --> 02:29:53.886]  I mean, look, we need to aggressively be getting the word out.
[02:29:54.246 --> 02:29:56.027]  Oh, I've made more copies.
[02:29:56.327 --> 02:29:59.548]  You notice how the operatives, like the poo-poo, is making copies of videos?
[02:29:59.828 --> 02:30:00.068]  Oh, yeah.
[02:30:00.088 --> 02:30:01.328]  They like to say it's ineffective.
[02:30:01.628 --> 02:30:08.951]  You'll see how ineffective it is down there at CENTCOM when we defend America from you terrorists who've been bought up by the private foreign banks.
[02:30:09.351 --> 02:30:09.851]  Stay there, Don.
[02:30:09.871 --> 02:30:11.111]  I'll let you finish up on the other side.
[02:30:11.391 --> 02:30:13.872]  You're going to find out how effective we are, traitors!
[02:30:14.767 --> 02:30:16.628]  We're coming for you, you traitors!
[02:30:20.829 --> 02:30:21.730]  We're on the march.
[02:30:22.230 --> 02:30:23.830]  The Empire's on the run.
[02:30:24.731 --> 02:30:27.452]  Alex Jones and the GCN Radio Network.
[02:30:31.934 --> 02:30:34.515]  Hey folks, Alex Jones here with an important question.
[02:30:34.675 --> 02:30:36.816]  When was the last time you used Pure Soap?
[02:30:37.116 --> 02:30:47.199]  I mean the hard to find kind that's all natural and not full of corrosive toxins and chemicals and detergents that just dry out your skin and have been connected to very serious health problems?
[02:30:47.499 --> 02:30:49.900]  Let me tell you something about the Cal Bend Pure Soap Company.
[02:30:50.020 --> 02:30:54.081]  There's a 100% unconditional guarantee on all their wonderful products.
[02:30:54.301 --> 02:31:00.425]  They're all natural, they're triple concentrated, they're factory direct, factory owned, and operated since 1947.
[02:31:01.286 --> 02:31:04.928]  Earth friendly, pure soaps for bathing, laundry, and kitchen.
[02:31:05.128 --> 02:31:08.450]  Try Pure Soap once and I'll guarantee you'll never use anything else.
[02:31:08.771 --> 02:31:13.694]  Now for the first time, Calvin Pure Soap is available factory direct to you and your family.
[02:31:13.934 --> 02:31:17.599]  Save up to 85% off supermarket and retail store prices.
[02:31:17.799 --> 02:31:20.323]  Call today for a Calvin Soap catalog at 1-800-340-7091.
[02:31:20.343 --> 02:31:22.325]  That's 1-800-340-7091 or on the web at CalvinPureSoap.com.
[02:31:30.660 --> 02:31:35.222]  We at The Bible Says want to alert the world to the topic of the Mark of the Beast.
[02:31:35.622 --> 02:31:38.564]  Soon, it will be upon us as an overwhelming surprise.
[02:31:38.884 --> 02:31:41.445]  The world is pressing toward a forced one-world religion.
[02:31:41.805 --> 02:31:46.627]  The real issue behind this is the union of church and state nullifying our First Amendment.
[02:31:47.007 --> 02:31:52.370]  Americans will have to give up their peculiar beliefs and accept what the new world religious leaders prescribe.
[02:31:52.670 --> 02:31:55.631]  In 2005, President Bush signed the REAL ID Act.
[02:31:55.831 --> 02:31:56.391]  We're good to go.
[02:32:19.019 --> 02:32:19.879]  The statistics are heart-wrenching.
[02:32:19.919 --> 02:32:26.523]  According to the CWC, of the 43 million people who have served in the major wars, from the Revolutionary War to the Gulf War, 3 million never made it home alive.
[02:32:26.543 --> 02:32:32.266]  Most likely, each one of us can say we either knew someone who served, or know a brave soul who is currently serving our country.
[02:32:47.914 --> 02:32:55.357]  Now there is a unique way to pay tribute to the courageous men and women who spend their lives protecting our freedom, and to those who have lost their lives doing so.
[02:32:55.677 --> 02:33:01.038]  Davis Products is offering high-quality, solid-cast aluminum memorial markers for your American flag.
[02:33:01.339 --> 02:33:05.260]  Each memorial marker is specifically designed to represent one of 15 wars.
[02:33:05.560 --> 02:33:11.782]  All markers include a three-eighths inch pointed and threaded aluminum rod, painted and highlighted for an appearance that is unforgettable.
[02:33:12.062 --> 02:33:14.803]  What better way to pay homage to our enlisted loved ones
[02:33:15.103 --> 02:33:15.624]  That's right.
[02:33:51.056 --> 02:33:53.178]  Welcome back, ladies and gentlemen.
[02:33:54.059 --> 02:33:55.440]  Continuing with your phone calls.
[02:33:57.242 --> 02:34:00.625]  When I talk about traitors, this is not our government.
[02:34:00.685 --> 02:34:02.867]  It's been bought and paid for by foreign interests.
[02:34:02.907 --> 02:34:08.152]  They use us for whatever wishes they want, while they dismantle our country's sovereignty.
[02:34:08.272 --> 02:34:09.413]  That is treason.
[02:34:10.054 --> 02:34:13.597]  The North American Union is treason by any yardstick.
[02:34:15.035 --> 02:34:18.456]  Okay, Bush is guilty of high treason.
[02:34:18.836 --> 02:34:19.757]  Period.
[02:34:20.257 --> 02:34:23.578]  For signing the North American Union in March of 2005.
[02:34:25.679 --> 02:34:26.219]  Period.
[02:34:27.279 --> 02:34:28.320]  End of discussion.
[02:34:31.181 --> 02:34:34.182]  And you can't just debate these issues, you know, separately.
[02:34:34.462 --> 02:34:38.823]  Well, I say the war is good, because the Islamofascists all want to kill us.
[02:34:38.863 --> 02:34:40.684]  You saw what happened on 9-11.
[02:34:40.864 --> 02:34:42.785]  Yeah, we saw the feds.
[02:34:46.104 --> 02:34:46.744]  Hey, I just want to
[02:35:08.280 --> 02:35:09.662]  Well, his real name is Weiner and he wrote
[02:35:24.600 --> 02:35:28.222]  He wrote love story novels about men lavishing each other.
[02:35:28.482 --> 02:35:30.923]  He's a beatnik ball of scum.
[02:35:31.003 --> 02:35:31.643]  Oh, I know that.
[02:35:31.663 --> 02:35:32.283]  Sorry, go ahead.
[02:35:32.423 --> 02:35:34.424]  That's why he's a neocon.
[02:35:34.484 --> 02:35:36.405]  I mean, you've got to be into that to be one, really.
[02:35:36.725 --> 02:35:38.006]  Sorry, go ahead.
[02:35:39.366 --> 02:35:48.830]  Oh, lo and behold, what you've been talking about for the past year, cutting up Iraq and dividing up among the oil companies and the barons, he has started spouting off about that now, too.
[02:35:50.664 --> 02:35:51.844]  But is he saying it's a good thing?
[02:35:52.305 --> 02:35:53.385]  No, he's saying it's a bad thing.
[02:35:53.845 --> 02:35:55.846]  See, he's jumping on the Alex Jones bandwagon now.
[02:35:57.526 --> 02:36:02.527]  I wonder if he'll start writing novels again about laying on the beach with other men in Tahiti lavishing.
[02:36:05.008 --> 02:36:09.409]  Maybe not Tahiti, but maybe part of Mexico, Corpus Christi, or you know.
[02:36:10.249 --> 02:36:12.730]  Well, I mean, my whole thing is if that's his business, that's fine.
[02:36:12.790 --> 02:36:15.611]  I just don't get how all these guys act like they're conservative.
[02:36:16.238 --> 02:36:19.079]  And I just don't know if their listeners know who they really are, that's all.
[02:36:19.639 --> 02:36:20.199]  No, they don't.
[02:36:20.339 --> 02:36:24.280]  And I've read all the information about who he really is and what he really stands for.
[02:36:24.360 --> 02:36:24.580]  Yeah.
[02:36:24.840 --> 02:36:25.861]  Well, have you looked into him?
[02:36:25.921 --> 02:36:29.202]  I mean, this guy's quite a stinker.
[02:36:29.902 --> 02:36:30.342]  Oh, really?
[02:36:31.382 --> 02:36:36.644]  I haven't really looked into him a whole lot, but... Well, I mean, he's something else, man.
[02:36:37.124 --> 02:36:37.824]  He's something else.
[02:36:37.844 --> 02:36:38.904]  Listen, I appreciate your call.
[02:36:39.585 --> 02:36:44.626]  And... I mean, I haven't listened to Savage probably in about a year.
[02:36:45.603 --> 02:36:46.644]  That's how busy I am.
[02:36:47.705 --> 02:36:49.767]  But he comes on around here in the afternoon.
[02:36:49.788 --> 02:36:51.589]  I ought to tune into it.
[02:36:53.371 --> 02:36:54.192]  And I'm not kidding.
[02:36:54.332 --> 02:36:57.436]  Every time I tune in for a few months straight, I tune in every few days.
[02:36:58.537 --> 02:37:01.360]  When I turn the radio on, he was always saying it.
[02:37:01.400 --> 02:37:03.001]  So it must be like that's all he says.
[02:37:04.303 --> 02:37:07.246]  Or maybe I was just unlucky enough to always tune in when I had to hear it.
[02:37:08.391 --> 02:37:30.140]  About how we need to put everybody in FEMA camps that disagrees with the government, and everybody needs to go to concentration camps, and there's going to be another terror attack, and we're all going to go to concentration camps, and that we shouldn't have to feed the people in concentration camps, so they should be slave camps where we have to work, and that anyone who disagrees with the war is aiding Al-Qaeda and is a terrorist, and just...
[02:37:32.474 --> 02:37:41.928]  On, and on, and on, and on, and on, and on, and on, and then Bush is fighting the New World Order by fighting the Muslims?
[02:37:43.070 --> 02:37:45.654]  Bush's daddy announced the New World Order!
[02:37:49.037 --> 02:37:52.680]  I mean, you tune into that stuff and I'll never forget him going, you just watch.
[02:37:53.200 --> 02:37:55.321]  There's going to be another terror attack.
[02:37:55.742 --> 02:37:58.484]  And when there is, we're arresting all of you.
[02:37:59.985 --> 02:38:00.905]  I mean, they know.
[02:38:00.985 --> 02:38:02.887]  People like him know what the game plan is.
[02:38:03.227 --> 02:38:05.689]  Their bosses will stage another attack and then the other.
[02:38:06.429 --> 02:38:07.730]  They think they're going to get away with it.
[02:38:08.931 --> 02:38:12.894]  I assure them when they end up losing, they're going to have to pay the piper.
[02:38:14.355 --> 02:38:16.256]  He will pay the piper when we win.
[02:38:17.893 --> 02:38:20.634]  We are going to indict the propagandists.
[02:38:20.654 --> 02:38:26.036]  We're going to go in and get the federal records of the hundreds of thousands of media people that have been on the payroll.
[02:38:27.156 --> 02:38:30.798]  And every single one of them is going to go before a jury of their peers.
[02:38:31.518 --> 02:38:35.359]  And quite a few of you that are on government payroll are going to spend a long time in federal prison.
[02:38:36.720 --> 02:38:37.140]  Okay?
[02:38:37.180 --> 02:38:37.920]  You need to know that.
[02:38:38.220 --> 02:38:46.183]  And if your bosses are able to carry out mass arrests and exterminations, which they're probably going to be able to do until we finally whoop them,
[02:38:48.477 --> 02:38:53.501]  Then you're going to be held accountable for calling for it, and you're going to be in there in the war crimes trials.
[02:38:55.102 --> 02:39:01.086]  And you can beg and you can plead, but when you're found guilty of murder, you're going to go to the gallows.
[02:39:03.167 --> 02:39:06.130]  So, you need to understand that.
[02:39:06.170 --> 02:39:07.410]  You're going to be held accountable.
[02:39:09.552 --> 02:39:13.915]  Alright, let's go ahead and talk to Guy in California.
[02:39:13.955 --> 02:39:15.016]  You're on the air, go ahead.
[02:39:17.423 --> 02:39:18.003]  Yes, hello.
[02:39:18.063 --> 02:39:18.743]  Gary, sorry.
[02:39:18.783 --> 02:39:19.404]  Go ahead, Gary.
[02:39:19.584 --> 02:39:20.444]  Yeah, hi, Alex.
[02:39:20.944 --> 02:39:21.284]  Hi.
[02:39:22.484 --> 02:39:23.145]  God bless you.
[02:39:23.345 --> 02:39:24.245]  I just want to say that.
[02:39:24.345 --> 02:39:24.785]  Thank you.
[02:39:24.945 --> 02:39:25.685]  God bless you.
[02:39:25.705 --> 02:39:26.325]  What's on your mind?
[02:39:27.086 --> 02:39:27.966]  Several things.
[02:39:28.986 --> 02:39:41.610]  You know, I would say recently, you know, listening to a lot of what you had to say and being kind of a skeptic and a person that sort of wants to connect the dots for myself.
[02:39:42.850 --> 02:39:46.311]  And I have to tell you, my friend, that
[02:39:48.321 --> 02:40:02.051]  You know, it sounds fantastic, but a lot of, in fact, most of everything what you say, I cannot refute as much as I tried to find contrary evidence.
[02:40:02.611 --> 02:40:04.232]  And please, when you find it, let me know.
[02:40:04.252 --> 02:40:06.254]  Because I don't want to work this hard.
[02:40:06.314 --> 02:40:07.154]  I don't want to do this.
[02:40:07.214 --> 02:40:08.295]  I don't want to risk my life.
[02:40:08.355 --> 02:40:14.860]  Let me tell you, what's on the internet, and I think people are not using it for the tool that it really is,
[02:40:16.063 --> 02:40:22.725]  There's another Alex, and I have to say that you're the one that started me on this journey, and I call it the journey down the rabbit hole.
[02:40:22.905 --> 02:40:25.405]  Everything's a lie on the Internet!
[02:40:26.325 --> 02:40:29.026]  All you can believe is Bill O'Reiler!
[02:40:29.926 --> 02:40:41.049]  No, in fact, I realize the only way you can get the true dissemination of the truth is now you have to rely on the Internet, because the media is completely confused.
[02:40:41.069 --> 02:40:42.149]  Well, people get confused.
[02:40:42.950 --> 02:40:45.772]  They have mainstream media all the time telling the truth.
[02:40:45.792 --> 02:40:46.753]  They're not all controlled.
[02:40:47.033 --> 02:40:48.234]  But it's regionalized.
[02:40:48.674 --> 02:40:54.638]  We take the regionalized news and then we nationalize it and globalize it so you're able to see a pattern.
[02:40:54.658 --> 02:40:58.421]  And we go get legislation and we write articles and we make a claim.
[02:40:58.821 --> 02:41:04.345]  And I found alternative researchers, if they're good, are neurotic about every claim we make we point out.
[02:41:04.805 --> 02:41:07.527]  Well, that's what we do, and that's why we've been successful.
