[00:00:00.109 --> 00:00:04.853]  Kidding, talk radio.
[02:12:27.461 --> 02:12:28.181]  Oh really?
[02:12:28.281 --> 02:12:29.562]  Yeah, it stays with you for life.
[02:12:29.702 --> 02:12:31.883]  Oh thanks, I didn't want to hear that part.
[02:12:32.843 --> 02:12:33.344]  I'm sorry.
[02:12:33.384 --> 02:12:37.586]  Well what happens is you roll over at night and then it causes electrical shooting pain.
[02:12:37.606 --> 02:12:39.046]  It doesn't hurt unless you put pressure on it.
[02:12:39.466 --> 02:12:40.767]  But yeah, that's a trick they do.
[02:12:41.667 --> 02:12:43.008]  It's a little gift they leave you, but go ahead.
[02:12:43.715 --> 02:12:49.237]  Well anyway, we have a good sports orthopedic doctor here in town who's doing surgery on her October 2nd.
[02:12:49.277 --> 02:12:50.218]  Hopefully they'll cure it.
[02:12:50.698 --> 02:12:55.340]  Okay, so, but by the way, they're allowed to all have cameras and snicker and giggle.
[02:12:55.420 --> 02:12:55.920]  Please continue.
[02:12:56.240 --> 02:12:56.820]  That's right.
[02:12:56.940 --> 02:12:57.941]  Thank you for that correction.
[02:12:59.001 --> 02:13:11.086]  And then when Jack Tiller, Marshall Tiller, threw her in the back seat of his squad car, he hits her head on the jam of the door, after having sprained her left elbow and wrist,
[02:13:11.778 --> 02:13:14.799]  That's when he tears her rotator cuff when she hits the back of the car.
[02:13:15.460 --> 02:13:16.500]  You know, the man's a bully.
[02:13:17.161 --> 02:13:18.121]  It's been done twice.
[02:13:18.161 --> 02:13:20.142]  It's been documented twice on video.
[02:13:20.522 --> 02:13:29.206]  And this county prosecutor, who is part of the problem, does not prosecute this man, nor this town council, that allows it to continue.
[02:13:30.066 --> 02:13:33.368]  Well, let's walk through what actually happened to you that day.
[02:13:33.988 --> 02:13:35.349]  How did they set this whole deal up?
[02:13:36.377 --> 02:13:46.708]  They set this whole deal up where they won't give me my civil rights to speak the length of time that is granted to me as a representative, an elected representative of the people.
[02:13:47.428 --> 02:13:59.741]  When you are elected to a legislative body, operating under Robert's Rules of Order, you have the floor until you surrender it, unless the council agrees beforehand that you only have so many minutes.
[02:14:00.939 --> 02:14:03.421]  The President here sets his own time limit.
[02:14:03.601 --> 02:14:05.443]  For me, I'm different from everybody else.
[02:14:05.763 --> 02:14:07.424]  I don't get to speak so many seconds.
[02:14:07.524 --> 02:14:09.826]  Everybody else has the floor unlimited.
[02:14:10.747 --> 02:14:16.692]  So they knew that I would protest that again because I have protested in the past to protect the rights of the voters.
[02:14:18.353 --> 02:14:22.297]  And so they set it up for me to be escorted out of the room again.
[02:14:22.937 --> 02:14:29.903]  But this time, during the day when Marshall Tiller is not on duty, they had him here because he is the bully
[02:14:30.396 --> 02:14:32.977]  He has the least amount of IQ, in my opinion.
[02:14:33.037 --> 02:14:34.278]  I'm surprised you didn't break his hand.
[02:14:34.318 --> 02:14:36.198]  I mean, he was pounding you full force.
[02:14:36.519 --> 02:14:37.819]  Now, let's describe the part.
[02:14:37.839 --> 02:14:38.780]  The cops get around you.
[02:14:38.940 --> 02:14:40.040]  They're all in attack stance.
[02:14:40.080 --> 02:14:41.221]  They know they're about to get you.
[02:14:41.641 --> 02:14:43.822]  You walk to the door peacefully.
[02:14:43.842 --> 02:14:44.882]  You're being very careful.
[02:14:45.202 --> 02:14:47.083]  What made you... I mean, I could see the body language.
[02:14:47.223 --> 02:14:49.904]  So I guess you picked up on the same thing, how they surrounded you?
[02:14:50.464 --> 02:14:51.105]  Yes, I did.
[02:14:51.125 --> 02:14:57.307]  I was very concerned for my safety at that point, because I could see that Jack Tiller's eyes were absolutely mad.
[02:14:57.347 --> 02:14:58.728]  He did not have self-control.
[02:14:59.964 --> 02:15:02.508]  Alright, so you get to the door, what do you do next?
[02:15:03.410 --> 02:15:11.182]  I turn around and somebody yells Hitler at me, and I see Jax there on the edge of control, and I say, oh, it's the bully again.
[02:15:12.478 --> 02:15:14.139]  And that's when he lunges at me.
[02:15:14.480 --> 02:15:18.443]  Now he's already hurt your wife, reportedly, so you have a right to say he's a bully.
[02:15:18.463 --> 02:15:18.723]  Okay.
[02:15:19.084 --> 02:15:23.928]  I already called him a bully outside the hospital when I gave my wife medical attention on the way to jail.
[02:15:24.188 --> 02:15:24.588]  Okay.
[02:15:25.329 --> 02:15:26.370]  Well, how dare you be mad?
[02:15:26.410 --> 02:15:26.490]  Okay.
[02:15:27.010 --> 02:15:27.631]  But he's God.
[02:15:27.671 --> 02:15:28.211]  He's allowed to.
[02:15:28.251 --> 02:15:30.253]  Now, we only have a few minutes left, Councilman.
[02:15:30.533 --> 02:15:31.334]  What happened next?
[02:15:32.155 --> 02:15:38.540]  He then lunges, and I think he actually falls down the hallway, because he can't see in the reflection of the window glass.
[02:15:39.195 --> 02:15:43.239]  And the lunge forces me into the doorway, going to the outside.
[02:15:44.260 --> 02:15:47.603]  Upon impact with the door with my head, I pass out.
[02:15:49.245 --> 02:15:56.892]  I then fall through the door, supposedly, and I land on my back side in the parking lot, on the back of my head.
[02:15:56.912 --> 02:16:00.516]  And this is now caught on video, and he just jumps on and starts pounding with full power.
[02:16:01.064 --> 02:16:07.028]  Yes, but I understand that it's not on the video, they kicked me in my ribs too, and it feels like it, my left side ribs.
[02:16:07.048 --> 02:16:13.051]  Yeah, by the time that's been reported, they were kicking you and then he got on top to get full power leverage on you while you were knocked out.
[02:16:14.752 --> 02:16:15.613]  How bad are you hurt?
[02:16:16.353 --> 02:16:17.054]  Pretty bad.
[02:16:17.074 --> 02:16:18.895]  I have a concussion.
[02:16:18.915 --> 02:16:21.376]  I have a black eye.
[02:16:21.396 --> 02:16:26.119]  They did full rib x-rays and did an x-ray of my mandible.
[02:16:26.199 --> 02:16:27.139]  But that wasn't enough.
[02:16:27.180 --> 02:16:29.501]  They arrested you for assaulting the king.
[02:16:30.071 --> 02:16:30.971]  That's right.
[02:16:31.532 --> 02:16:34.713]  And you can see by the video, I never raised a fist to him.
[02:16:34.753 --> 02:16:37.134]  Now did you ask the media why they said you started a fight?
[02:16:37.995 --> 02:16:38.695]  No, I have not.
[02:16:40.216 --> 02:16:42.457]  So, but I would guess the media is in league with them then.
[02:16:45.078 --> 02:16:49.760]  I would hate to make that accusation, but I wonder sometimes at the stories they write or publish.
[02:16:51.781 --> 02:16:53.002]  Well, you know you're in danger.
[02:16:53.042 --> 02:16:56.183]  I mean, once they start boss-hogging in a town, it's just like a federal government.
[02:16:56.243 --> 02:16:58.184]  Once they go bad, they go south quick.
[02:16:58.815 --> 02:17:00.055]  Now, where is all this going?
[02:17:00.096 --> 02:17:03.817]  Are you going to... I mean, they dropped the assault charge because it's so asinine.
[02:17:04.057 --> 02:17:05.798]  They've still got other charges on you, though, don't they?
[02:17:06.298 --> 02:17:13.800]  They have two misdemeanors remaining, and I go before the judge on October 4th, I believe, at 8 a.m.
[02:17:13.880 --> 02:17:16.301]  How can people contact you if they want to support you, Councilman?
[02:17:17.102 --> 02:17:25.485]  I think the best thing to do is to leave word on the blog, on WNDU, or to email me at XK180.
[02:17:29.433 --> 02:17:30.633]  Alright, sure.
[02:17:30.834 --> 02:17:32.634]  We are going to follow your case.
[02:17:32.694 --> 02:17:34.415]  I'd like to have you back on as this develops.
[02:17:34.995 --> 02:17:35.656]  Please let me know.
[02:17:36.056 --> 02:17:36.956]  Thank you, Councilman.
[02:17:38.097 --> 02:17:38.717]  There you go!
[02:17:38.757 --> 02:17:40.258]  That's the freedom of the New America!
[02:17:40.298 --> 02:17:40.918]  We'll be right back.
[02:17:45.643 --> 02:17:48.664]  More than 700 chemicals have been found in our drinking water.
[02:17:48.984 --> 02:17:53.906]  And did you know that you can have greater exposure to these chemicals by taking hot showers than when you drink the water?
[02:17:54.146 --> 02:17:58.507]  That's because many chemicals are inhaled when they evaporate, and others are absorbed through the skin.
[02:17:58.808 --> 02:18:07.711]  The KDF shower filter is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus in your shower.
[02:18:07.911 --> 02:18:11.532]  The media is non-toxic, environmentally sound, and is recyclable.
[02:18:11.832 --> 02:18:16.881]  The KDF shower filter will typically last 10,000 gallons or one year, whichever comes first.
[02:18:17.162 --> 02:18:23.914]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[02:18:24.374 --> 02:18:24.935]  What about you?
[02:18:25.663 --> 02:18:30.568]  Order your KDF shower filter, normally $49, for our special price of only $35.
[02:18:30.608 --> 02:18:31.029]  A $14 savings.
[02:18:31.069 --> 02:18:32.170]  Call now to order at 1-888-803-4438.
[02:18:32.250 --> 02:18:34.132]  Order today and save $14 by calling 1-888-803-4438.
[02:18:45.336 --> 02:18:45.776]  Gold.
[02:18:46.116 --> 02:18:47.397]  It's like nothing else on Earth.
[02:18:47.657 --> 02:18:53.740]  From the Romans through the Renaissance, from the Industrial Age to the Space Age, gold has weathered the test of time.
[02:18:53.940 --> 02:18:57.762]  For 6,000 years, gold has remained the ultimate store of wealth.
[02:18:58.122 --> 02:19:00.003]  According to the World Gold Council and the U.S.
[02:19:00.043 --> 02:19:02.344]  Mint, demand is at an all-time high.
[02:19:02.485 --> 02:19:09.008]  The stage is being set for the reemergence of gold as the common-sense alternative to a fiat paper currency that gets weaker
[02:19:09.568 --> 02:19:10.830]  We're good to go.
[02:19:24.525 --> 02:19:25.186]  Good as gold.
[02:19:25.346 --> 02:19:30.952]  Call 1-800-686-2237 for the report the Fed hopes you'll never see.
[02:19:31.292 --> 02:19:33.854]  As good as gold can be yours by calling 800-686-2237.
[02:19:33.874 --> 02:19:40.241]  If you have ever thought about owning gold, you must read this report.
[02:19:40.381 --> 02:19:41.422]  Call Midas today at 800-686-2237.
[02:19:44.958 --> 02:19:50.462]  Why continue suffering from pain, illness, and disease when natural health and wellness therapies are within your reach?
[02:19:50.902 --> 02:19:55.125]  Hundreds of people report improved health and wellness using Rife Frequency Technology.
[02:19:55.546 --> 02:20:02.411]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[02:20:02.851 --> 02:20:09.557]  The BioSolutions Frequency Instrument uses the same technology for relief or elimination of pain and disease conditions.
[02:20:09.877 --> 02:20:11.478]  There are no reported side effects.
[02:20:11.778 --> 02:20:14.961]  Join others in discovering a return to natural health and wellness.
[02:20:15.241 --> 02:20:17.703]  Don't just treat symptoms, eliminate the cause.
[02:20:18.003 --> 02:20:24.789]  BioSolutions has over 550 pre-programmed auto-sequences for various health conditions and is very easy to use.
[02:20:25.189 --> 02:20:27.871]  Customer satisfaction is guaranteed or your money back.
[02:20:28.131 --> 02:20:30.954]  For more information, call BioSolutions toll-free
[02:20:31.254 --> 02:20:31.494]  That's 866-885-6625.
[02:20:31.534 --> 02:20:31.895]  That's 866-885-6625.
[02:20:31.935 --> 02:20:33.716]  Once again, that's 866-885-6625 for BioSolutions.
[02:20:45.235 --> 02:20:47.077]  Heart disease is on the rise.
[02:20:47.217 --> 02:20:52.403]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:20:52.563 --> 02:20:53.904]  But the symptoms are there.
[02:20:54.184 --> 02:21:02.353]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:21:02.573 --> 02:21:08.319]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:21:08.479 --> 02:21:10.240]  My blood pressure has normalized.
[02:21:10.320 --> 02:21:12.482]  My diabetes has totally improved.
[02:21:12.602 --> 02:21:16.865]  Everyone is telling me now how much healthier I look, and I'm telling everyone how much healthier I feel.
[02:21:17.025 --> 02:21:19.167]  I recommend Heart and Body Extract to everyone.
[02:21:19.247 --> 02:21:27.173]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:21:27.193 --> 02:21:29.735]  Walter Burien, expert on the financial system of the New World Order.
[02:21:55.498 --> 02:21:57.279]  That's with us for the rest of the broadcast today.
[02:21:57.299 --> 02:22:02.401]  I'm going to have to back up next week because so much is happening so we have a lot of time to flesh all this out.
[02:22:02.801 --> 02:22:07.163]  By the way, gold hit 740 an ounce today before it settled back down to 740.
[02:22:07.203 --> 02:22:08.203]  Settled back down to 739.5.
[02:22:19.227 --> 02:22:20.769]  I mean, that is incredible.
[02:22:21.029 --> 02:22:22.491]  Walter, you know, so much is happening.
[02:22:22.511 --> 02:22:26.955]  I want to get into what the comprehensive financial reports are, how they set it up, how the scam works.
[02:22:26.975 --> 02:22:29.758]  You talk about the sharks feeding on the schools of minnows.
[02:22:29.818 --> 02:22:34.423]  I used that analogy earlier this week, except I was using the example of dolphins that do the same thing.
[02:22:34.804 --> 02:22:35.985]  Birds do the same thing, too.
[02:22:36.526 --> 02:22:37.547]  Some of the aquatic birds.
[02:22:38.207 --> 02:22:39.928]  Well, let's go back to the end of the 40s, 1940s.
[02:22:39.948 --> 02:22:40.709]  World War II was ending.
[02:22:40.729 --> 02:22:42.430]  The money that was changing hands due to the war was massive.
[02:23:09.369 --> 02:23:15.073]  Government, it was known that government was always the number one tool for collecting money.
[02:23:15.753 --> 02:23:18.435]  Up until the 40s, government was a pay-as-you-go structure.
[02:23:18.455 --> 02:23:31.804]  A group of bankers, brokers, politicians, lawyers got together in the mid-40s and they decided to structure government as a for-profit enterprise.
[02:23:32.664 --> 02:23:34.766]  They shifted out of the normal operation of government
[02:23:36.190 --> 02:23:50.135]  So, one of the attributes they needed to accomplish this objective, to turn government into an administrative clearinghouse for revenue collection, they wanted to put government on the same corporate level as any other corporation.
[02:23:50.335 --> 02:23:52.595]  Johnson & Johnson, AT&T, IBM.
[02:23:53.656 --> 02:23:58.677]  Now, a public corporation, a corporation has an annual financial report.
[02:23:59.758 --> 02:24:04.299]  Up until this point, government was just doing a cash and carry budget report.
[02:24:05.627 --> 02:24:24.058]  In 1946, a group called GFOA, Government Financial Officers Association, nice sounding government acronym, just like the Federal Reserve, but totally private, started promoting the annual financial reporting and accounting structure to local governments to get them off the budgetary cash and carry structure.
[02:24:24.998 --> 02:24:30.601]  Well, the first large entity to go on the comprehensive annual financial reporting and accounting structure.
[02:24:31.062 --> 02:24:34.904]  For government, they added one more word, comprehensive, at the beginning.
[02:24:35.464 --> 02:24:45.270]  Instead of just calling their report an annual financial report, they put on their comprehensive annual financial report, or the acronym, CAFR.
[02:24:46.230 --> 02:24:53.354]  Now, when I first started with disclosure, back in 1998, for national disclosure, I did a Google search on CAFR.
[02:24:55.174 --> 02:24:56.074]  Walter, we're low on time.
[02:24:56.094 --> 02:25:00.156]  Also sounds like a vacuum cleaner and a helicopter are taking off in the background.
[02:25:25.073 --> 02:25:26.914]  Is there any way for you to get to a quieter place?
[02:25:28.236 --> 02:25:28.796]  Is that better?
[02:25:30.578 --> 02:25:31.058]  A little bit.
[02:25:31.118 --> 02:25:43.909]  Now, just, we need to boil it down for people, we need to get into context for what's happening right now, because we've gone over this, just explain to them, 75 plus percent of corporations are owned by governments.
[02:25:43.969 --> 02:25:49.214]  Water districts, school districts, states, the feds, every agency, and that's all off budget.
[02:25:49.254 --> 02:25:50.375]  Explain how that scam works.
[02:25:51.598 --> 02:25:57.663]  Well, to be able to do something that somebody doesn't want you to do, you have to be able to do it behind their back.
[02:25:58.303 --> 02:26:10.672]  The Comprehensive Annual Finance Reporting Structure, what it did was it gave them the ability to shift all profit centers, all investment accounts, to be only reported on through the Comprehensive Annual Finance Report.
[02:26:11.152 --> 02:26:16.616]  And what was presented to the public for the last 65 years was the Budget Report.
[02:26:16.976 --> 02:26:19.558]  Now a budget, a selectively created budget report,
[02:26:20.336 --> 02:26:27.003]  A budget report is what they're planning on spending for the year on a selected grouping of accounts, period.
[02:26:28.224 --> 02:26:36.253]  The annual financial report shows the cumulative wealth over decades, all operations within that local government,
[02:26:37.225 --> 02:26:39.726]  All investment funds from within that local government.
[02:26:39.806 --> 02:26:40.887]  It shows the whole picture.
[02:26:41.027 --> 02:26:42.007]  And here's an example.
[02:26:42.087 --> 02:26:48.950]  TxDOT two years ago said we are in the red, a billion dollars on our budget.
[02:26:49.090 --> 02:26:56.233]  And then someone in TxDOT, this came out in the Statesman, it was confirmed to be accurate, said no, we've had a six billion dollar surplus
[02:26:57.053 --> 02:27:05.499]  Going back to ten million some years, two million other years, and that they actually had over a hundred billion dollars in liquid investments that wasn't pension funds, folks.
[02:27:06.000 --> 02:27:07.080]  Liquid off-budget.
[02:27:07.100 --> 02:27:09.202]  Now that was just the Texas Department of Transportation.
[02:27:09.502 --> 02:27:11.624]  Meanwhile they're saying we gotta have toll roads because there's no money.
[02:27:14.546 --> 02:27:16.087]  So that's what it boils down to, folks.
[02:27:16.107 --> 02:27:19.129]  We're going to tie it in with Walter Buran to what this means now.
[02:27:19.169 --> 02:27:20.590]  And Walter's the guy that discovered this.
[02:27:21.130 --> 02:27:22.151]  Hidden in plain view.
[02:27:22.732 --> 02:27:24.633]  Now since he's talked about it, a lot of people know about it.
[02:27:24.653 --> 02:27:26.034]  But this is just another example of how
[02:27:27.166 --> 02:27:29.707]  The financial system you know is like the matrix.
[02:27:29.767 --> 02:27:30.607]  It's a projection.
[02:27:30.647 --> 02:27:31.128]  It's false.
[02:27:36.089 --> 02:27:37.030]  We're on the march.
[02:27:37.490 --> 02:27:39.091]  The empire's on the run.
[02:27:39.111 --> 02:27:42.732]  Alex Jones and the GCN Radio Network.
[02:27:46.109 --> 02:27:47.650]  Hi, this is Brother Michael Dimon.
[02:27:47.930 --> 02:27:53.452]  You can now get the most important package ever on what has happened to the Catholic Church in the last 50 years.
[02:27:53.912 --> 02:28:01.836]  Find out how this massive crisis concerning the Catholic Church happened, what happened, and how the Bible predicted it would take place in the last days.
[02:28:02.356 --> 02:28:09.959]  The package contains six DVDs that contain ten different programs, two books that combine to over a thousand pages and other information.
[02:28:10.239 --> 02:28:13.380]  Order now at our website, mostholyfamilymonastery.com.
[02:28:13.580 --> 02:28:17.542]  That's mostholyfamilymonastery.com.
[02:28:17.802 --> 02:28:22.704]  The last word monastery is spelled M-O-N-A-S-T-E-R-Y or call us at 1-800-275-1126.
[02:28:25.905 --> 02:28:30.550]  That's 1-800-275-1126 or mail in your order to us at 4425 Schneider Road, Fillmore, NY 14735.
[02:28:30.630 --> 02:28:34.575]  The total cost for this massive package of information is only $10.
[02:28:34.615 --> 02:28:36.397]  $15 for UPS ground or $30 outside the U.S.
[02:28:46.622 --> 02:28:47.843]  This is Elizabeth Border.
[02:28:48.403 --> 02:28:49.083]  News alert!
[02:28:49.563 --> 02:28:53.785]  Twice a month you can now get the Divided Kingdom's brand new newsletter.
[02:28:54.245 --> 02:28:54.845]  Concise?
[02:28:55.105 --> 02:28:55.705]  Hard-hitting?
[02:28:56.065 --> 02:28:59.047]  The first issue discusses two vital questions.
[02:28:59.067 --> 02:29:00.567]  War in Iran?
[02:29:01.067 --> 02:29:02.728]  A coming One World Church?
[02:29:03.488 --> 02:29:08.794]  In the first issue is included a pungent discussion of NWO numerology.
[02:29:09.315 --> 02:29:16.743]  For a free sample copy of the Divided Kingdom dossier, write to Post Office Box 8, Bethlehem, Maryland, 21609.
[02:29:19.085 --> 02:29:25.332]  A yearly subscription is only $50 for a newsletter that comes not once, but twice every month.
[02:29:25.852 --> 02:29:31.419]  Get the spiritual support you need right now for your free sample copy to P.O.
[02:29:31.459 --> 02:29:34.803]  Box 8 Bethlehem, MD 21609.
[02:29:35.264 --> 02:29:40.850]  Once again, for your free copy of the Divided Kingdom Dossier newsletter, write to P.O.
[02:29:40.890 --> 02:29:42.172]  Box 8 Bethlehem, MD 21609.
[02:29:45.316 --> 02:29:49.877]  We at The Bible Says want to alert the world to the topic of the Mark of the Beast.
[02:29:50.277 --> 02:29:53.218]  Soon it will be upon us as an overwhelming surprise.
[02:29:53.538 --> 02:29:56.098]  The world is pressing toward a forced one-world religion.
[02:29:56.458 --> 02:30:01.279]  The real issue behind this is the union of church and state nullifying our First Amendment.
[02:30:01.659 --> 02:30:07.040]  Americans will have to give up their peculiar beliefs and accept what the new world religious leaders prescribe.
[02:30:07.340 --> 02:30:10.301]  In 2005, President Bush signed the REAL ID Act.
[02:30:10.501 --> 02:30:11.662]  Which goes into effect May 11, 2008.
[02:30:13.143 --> 02:30:17.865]  Many people believe that this will be the Mark of the Beast because of the restrictive measures included.
[02:30:18.066 --> 02:30:22.188]  Which seems to parallel the no buying and selling of Revelations 13-17.
[02:30:22.488 --> 02:30:28.772]  In Revelations 14-9, speaking of the Mark of the Beast, it says, If any man worship the Beast, take notice.
[02:30:29.112 --> 02:30:30.733]  It says, Worship the Beast.
[02:30:31.013 --> 02:30:33.635]  This issue is about worship, not economics.
[02:30:33.875 --> 02:30:34.195]  I hurt myself
[02:31:01.756 --> 02:31:06.538]  Welcome back, ladies and gentlemen.
[02:31:06.558 --> 02:31:11.080]  I'm about to go straight back to Walter Burry, and this is tying us in with the current economic news.
[02:31:11.100 --> 02:31:13.161]  I'm going to recap some of that.
[02:31:14.982 --> 02:31:16.782]  But I didn't hurt myself today.
[02:31:16.883 --> 02:31:20.744]  I took action and ate my inner food, which is delicious green food.
[02:31:20.764 --> 02:31:22.385]  It doesn't taste horrible like some of the other brands.
[02:31:23.401 --> 02:31:26.484]  It's liquid vitamins directly out of the plant sources, unheated.
[02:31:27.125 --> 02:31:28.767]  It is so incredibly good for you.
[02:31:28.807 --> 02:31:30.208]  In fact, I just had some.
[02:31:30.248 --> 02:31:32.290]  I guess somebody came in here and got the InterFood out because they're eating it.
[02:31:32.991 --> 02:31:35.213]  We go through cans of this stuff every month here at the office.
[02:31:35.894 --> 02:31:38.416]  20 plus ingredients, highest quality, great Patriots.
[02:31:38.816 --> 02:31:41.099]  Go to InfoWars.com, PrisonPlanet.com.
[02:31:41.619 --> 02:31:45.863]  On the right hand side of PrisonPlanet.com, you click on the banner that says InterFood.
[02:31:46.184 --> 02:31:47.525]  And by going to that sub-page,
[02:31:48.328 --> 02:31:49.589]  They wanted me to make sure this is clear.
[02:31:49.629 --> 02:31:50.550]  You've got to click on that.
[02:31:50.610 --> 02:31:52.211]  You get 10% off.
[02:31:52.251 --> 02:31:55.694]  Then if you buy in bulk, you get 20% off on top of that.
[02:31:56.295 --> 02:31:57.656]  Super high quality.
[02:31:57.696 --> 02:32:08.405]  Go to PrisonPlanet.com and click on the InterFood banner or go to ENERFOOD.com or just give them a call and tell them Alex Jones sent you and you can take advantage of that special as well.
[02:32:08.425 --> 02:32:08.465]  866-762-9238.
[02:32:13.686 --> 02:32:29.313]  Balanced energy all day long, greater stamina, weight loss, 20 power packed ingredients, greater mental clarity, reduced food cravings, healthy radiant skin, helps maintain healthy cholesterol levels, improved liver function, healthy blood sugar, immune system support, improved digestion, detoxing effects, colon cleansing, on and on and on.
[02:32:29.433 --> 02:32:30.653]  It is just excellent stuff.
[02:32:31.474 --> 02:32:33.695]  ENERFOOD.COM or 866-762-9238.
[02:32:34.575 --> 02:32:37.656]  And it's good to have as a supplement.
[02:32:37.716 --> 02:32:40.118]  It lasts for years also to go with your storable foods.
[02:32:40.158 --> 02:32:40.938]  And speaking of that,
[02:32:41.773 --> 02:33:07.044]  The name, 26 years of continual operation, the oldest company in the U.S., continually operating with J. Michael Stevens Group, and the owner of it is Steve Shank, ladies and gentlemen, has his own show, Sunday nights, right after my Sunday show, from 4 to 6 p.m., he's on 6 to 8 central, right here on the network, on the AM and FM dial, internet and global shortwave at WWCR, and they've got the whole line of preparedness, but what they are the masters of is portable food,
[02:33:08.786 --> 02:33:12.987]  50% larger meals than what you actually need calorie-wise, so they're big meals.
[02:33:13.007 --> 02:33:17.088]  800-409-5633 or efoodsdirect.com.
[02:33:17.208 --> 02:33:20.129]  efoodsdirect.com or 800-409-5633.
[02:33:20.809 --> 02:33:23.269]  The globalist plan to use food as a weapon.
[02:33:23.889 --> 02:33:28.430]  They've got two-month supplies, year supplies, all very inexpensive.
[02:33:28.450 --> 02:33:30.451]  This is who I bought food from twice.
[02:33:30.471 --> 02:33:31.311]  800-409-5633 or efoodsdirect.com.
[02:33:31.331 --> 02:33:32.051]  Just wonderful folks.
[02:33:37.913 --> 02:33:40.595]  Alright, going back to Walter Murien.
[02:33:40.695 --> 02:33:41.596]  Walter, listen.
[02:33:42.496 --> 02:33:49.281]  I know you're going over the basics of this and the history of this and how it started in Chicago and how it moved the armed services.
[02:33:49.901 --> 02:33:51.302]  Give them basic numbers.
[02:33:51.722 --> 02:33:55.245]  Well, first use an example of a few school districts, actual examples you like to use.
[02:33:55.645 --> 02:33:59.908]  And then let's look at states, back when you first looked at it in the trillions, and cities in the trillions.
[02:34:00.468 --> 02:34:01.989]  Cities with trillions extra, folks.
[02:34:02.109 --> 02:34:03.290]  Yes, we're not playing games here.
[02:34:04.565 --> 02:34:08.008]  This is the level of just opulence and wealth they've got.
[02:34:08.288 --> 02:34:11.831]  While they always tell us we're broke, we're broke, we need more.
[02:34:12.432 --> 02:34:18.477]  And now they don't even need the free market anymore because they've sheared everything away and they have total wealth almost.
[02:34:18.517 --> 02:34:19.257]  There's only 20% left.
[02:34:19.277 --> 02:34:20.498]  That's what these contractions are about.
[02:34:20.758 --> 02:34:21.639]  Walter, break that down.
[02:34:22.500 --> 02:34:27.024]  Let's qualify a few numbers as far as how many individual entities are out there.
[02:34:27.104 --> 02:34:30.126]  Just in local government, there are 84,000 plus
[02:34:32.873 --> 02:34:38.218]  Comprehensive annual finance reports, or annual finance reports, produced each year.
[02:34:38.418 --> 02:34:51.351]  Every city is a separate entity, a county, a state, a school district, enterprise operations, even your local, you know, county, city, state golf course is a separate operation.
[02:34:52.051 --> 02:34:57.016]  Each with their own report, each with their own investments, all separate from each other.
[02:34:57.705 --> 02:35:14.172]  Now, I put a large one up on my front page, the New York State Retirement Fund Capper, which is a government fund for a retirement fund, but I use that one due to the fact that retirement fund cappers show a listing of the investments.
[02:35:15.193 --> 02:35:25.257]  Every single investment, both international and domestic equities, real estate, loans, bonds, investments, the whole nine yards.
[02:35:25.317 --> 02:35:26.338]  It's all broken down.
[02:35:27.226 --> 02:35:28.707]  And you can click on that list.
[02:35:29.588 --> 02:35:32.631]  It says I have 2001's up there, but you can also see 2006.
[02:35:32.751 --> 02:35:35.393]  Oh, and by the way, let's be clear, Walter.
[02:35:35.553 --> 02:35:37.635]  Walter, when I first learned about you ten years ago,
[02:35:38.544 --> 02:35:48.007]  I didn't believe it, and I went and got the Texas Comprehensive Annual Financial Report, I got the Travis County, I got the Austin Independent School District, I got the Navy's report.
[02:35:48.067 --> 02:35:48.968]  It was all on the web.
[02:35:49.308 --> 02:35:59.091]  It was hidden in plain view, and then I would bring it up to city council, and it was like you had shown a giant crucifix to a vampire and dumped holy water on them.
[02:35:59.491 --> 02:36:01.712]  They would literally turn white and gulp.
[02:36:02.421 --> 02:36:06.126]  Now they don't seem to care if people didn't really, I guess, take notice like they should have.
[02:36:06.146 --> 02:36:10.851]  But understand, folks, it is the whole financial system is a complete fraud.
[02:36:10.931 --> 02:36:14.335]  What you're taught has nothing to do with reality.
[02:36:14.415 --> 02:36:18.080]  Now, Walter, just briefly, tell us... What you're taught is a big fraud.
[02:36:18.797 --> 02:36:23.401]  The financial system is not a fraud because they're maintaining value and they're operating under it.
[02:36:23.461 --> 02:36:26.303]  So, that gives it a viable nature for working.
[02:36:26.763 --> 02:36:28.685]  What you're told about it is 100% fraud.
[02:36:28.705 --> 02:36:29.465]  Well, that's what I meant.
[02:36:29.505 --> 02:36:34.409]  The system we all operate in, the debt slave system, is a trap with a rigged game.
[02:36:35.130 --> 02:36:36.811]  Well, let's go back to the Federal Reserve.
[02:36:37.091 --> 02:36:37.331]  Okay?
[02:36:37.351 --> 02:36:41.975]  The Federal Reserve, okay, its sole purpose is to keep the value of the dollar.
