[00:00:04.182 --> 00:00:07.665]  Prepare yourself for a talk radio interview.
[01:05:59.739 --> 01:06:01.940]  It's smart that you're getting going at your food supplies.
[01:06:02.560 --> 01:06:10.845]  One week after the report came out that the world had eaten more food than it produced last year, the country turned into a deep freeze, wiping out a huge part of the new crop.
[01:06:11.326 --> 01:06:11.886]  An example?
[01:06:12.426 --> 01:06:15.248]  In 24 hours, clementine oranges doubled in price.
[01:06:16.129 --> 01:06:18.911]  If you intend to start or finish your supply, call immediately.
[01:06:19.271 --> 01:06:22.533]  When you call, tell them how many adults and how many years of food you need.
[01:06:23.320 --> 01:06:28.501]  When there are shortages, missing items will be substituted, maintaining the quantity of food necessary.
[01:06:29.121 --> 01:06:30.621]  Money is not the problem.
[01:06:30.841 --> 01:06:31.822]  Availability is.
[01:06:32.362 --> 01:06:34.202]  Be careful when food supplies get short.
[01:06:34.462 --> 01:06:38.123]  With no future, many retailers ship real trash to supply you.
[01:06:38.743 --> 01:06:40.843]  For safe food you can trust, call 800-409-5633.
[01:06:40.923 --> 01:06:41.764]  On the web, efoodsdirect.com.
[01:06:41.784 --> 01:06:41.824]  800-409-5633.
[01:06:55.538 --> 01:06:58.160]  You're listening to GCN.
[01:06:58.200 --> 01:07:02.463]  The Genesis Communications Radio Network.
[01:07:04.184 --> 01:07:07.186]  Corruption never had a worse enemy.
[01:07:08.026 --> 01:07:10.408]  You're locked into the Alex Jones Show.
[01:07:11.889 --> 01:07:14.350]  That's right, ladies and gentlemen, the syndicated broadcast.
[01:07:14.370 --> 01:07:15.591]  We kicked off on Sunday.
[01:07:15.651 --> 01:07:17.092]  Five days a week wasn't enough.
[01:07:17.152 --> 01:07:20.394]  Syndicated via MS Communications and Genesis Communications.
[01:07:20.855 --> 01:07:22.276]  Quite a few affiliates signing on.
[01:07:22.296 --> 01:07:24.317]  Very thankful to all those stations out there.
[01:07:25.077 --> 01:07:27.038]  It's not about left and right, it's about right and wrong.
[01:07:27.078 --> 01:07:33.480]  We are defending the republic from the neocons and the liberals, who are all bought and paid for by the very same foreign banks.
[01:07:34.900 --> 01:07:42.623]  So, in front of the press corps, Karl Rove says, you don't make any decisions, the American people don't make any decisions, none of you mean anything, we're the bosses.
[01:07:42.963 --> 01:07:50.926]  And now they're telling the Congress that, they're telling the public that, on open borders, on the plunging value of the dollar, on gun control and everything else.
[01:07:51.864 --> 01:07:53.004]  They're not conservative.
[01:07:53.325 --> 01:08:01.727]  They're would-be dictators, is what they are, but that's because their bosses in the military-industrial complex are making a move on this country in every way.
[01:08:01.747 --> 01:08:03.748]  Alright, let's go to some of your calls.
[01:08:04.628 --> 01:08:10.010]  Let us go ahead now and speak with Eric in Austin, who wants to talk about solutions.
[01:08:10.430 --> 01:08:11.531]  What are the solutions?
[01:08:11.751 --> 01:08:13.271]  Is that a question or a statement?
[01:08:13.772 --> 01:08:16.973]  Well, I got a combination of both, Alex.
[01:08:17.053 --> 01:08:17.613]  First of all,
[01:08:18.163 --> 01:08:19.923]  I do respect you, okay?
[01:08:20.323 --> 01:08:24.364]  I'm not calling to criticize, and I'm not calling to call you a hate monger.
[01:08:25.024 --> 01:08:26.305]  I serve my country.
[01:08:26.625 --> 01:08:27.925]  I don't serve my government.
[01:08:28.285 --> 01:08:29.305]  I hope that makes sense.
[01:08:30.106 --> 01:08:31.226]  Yeah, that totally makes sense.
[01:08:31.466 --> 01:08:33.366]  That means you serve the Bill of Rights and Constitution.
[01:08:33.986 --> 01:08:34.286]  Yes.
[01:08:34.446 --> 01:08:36.027]  Which is being dismantled in front of you.
[01:08:36.047 --> 01:08:37.867]  It's being assaulted, and it's not by Al-Qaeda.
[01:08:38.567 --> 01:08:39.268]  I understand that.
[01:08:39.788 --> 01:08:46.029]  My question to you, and something that I have not seen in any of the video samples that I've seen from your website,
[01:08:46.522 --> 01:08:47.922]  Which I think is pretty good.
[01:08:49.883 --> 01:08:50.943]  What is your solution?
[01:08:51.403 --> 01:08:53.584]  Do I think something is going on?
[01:08:53.804 --> 01:08:54.464]  Yes I do.
[01:08:55.065 --> 01:08:59.986]  I am a devout Roman Catholic and I saw what happened 40 years ago.
[01:09:00.246 --> 01:09:01.406]  I'm only 30 years old.
[01:09:01.947 --> 01:09:04.167]  I'm in existence because of something I hate.
[01:09:04.527 --> 01:09:05.228]  Two words.
[01:09:05.708 --> 01:09:06.748]  Vatican II.
[01:09:07.568 --> 01:09:09.769]  What the Freemasons did to my church
[01:09:10.600 --> 01:09:13.102]  And everything else was absolutely horrific.
[01:09:13.262 --> 01:09:16.505]  I do not know what your personal beliefs are in God.
[01:09:17.145 --> 01:09:18.827]  I do not know... I'm a Christian.
[01:09:18.907 --> 01:09:19.427]  I'm a Christian.
[01:09:19.708 --> 01:09:21.369]  Well, listen, I appreciate your call.
[01:09:21.389 --> 01:09:22.410]  You're saying you want solutions.
[01:09:23.491 --> 01:09:30.997]  Number one, if your house is on fire, and I'm the fire department, or you're the, you know, we pull up, we're together, we're the fire department, and we gotta first get people out of the house.
[01:09:31.613 --> 01:09:33.294]  And we knock down the door because it's locked.
[01:09:33.314 --> 01:09:33.774]  We go in.
[01:09:33.814 --> 01:09:36.935]  Everybody's sleeping in their beds with flames lapping the bed sheets.
[01:09:36.955 --> 01:09:37.936]  And we're like, get up, get up!
[01:09:38.216 --> 01:09:38.996]  Your house is on fire.
[01:09:39.016 --> 01:09:40.097]  And they're going, what?
[01:09:40.357 --> 01:09:42.037]  We hear conspiracy theorists say that.
[01:09:42.137 --> 01:09:43.078]  The ceiling's falling in.
[01:09:43.778 --> 01:09:44.839]  There's fire shooting out.
[01:09:44.859 --> 01:09:46.439]  You know, we're losing all these liberties, these freedoms.
[01:09:46.659 --> 01:09:47.700]  The country's being overrun.
[01:09:48.440 --> 01:09:48.940]  All this stuff.
[01:09:49.020 --> 01:09:50.121]  And we're like, wake up!
[01:09:50.181 --> 01:09:50.761]  Do something!
[01:09:51.481 --> 01:09:54.002]  And the person's just laughing at us.
[01:09:54.042 --> 01:09:55.963]  We're trying to drag the public out by the hair.
[01:09:56.243 --> 01:09:57.604]  Now the public's just now starting to go,
[01:09:58.400 --> 01:09:59.641]  Maybe I do smell smoke.
[01:09:59.661 --> 01:10:02.983]  It's like the door blows open and fire shoots across and burns their hair off.
[01:10:03.563 --> 01:10:04.784]  You know, their skin's hanging off.
[01:10:04.824 --> 01:10:07.985]  They're going, maybe there is, maybe something is hot, Wilbur.
[01:10:08.025 --> 01:10:10.507]  You know, that's the analogy or the parable here.
[01:10:11.567 --> 01:10:15.149]  So, I mean, I don't, I'm here covering it.
[01:10:15.189 --> 01:10:17.550]  There's, you know, people say, well, we know the government's evil.
[01:10:17.611 --> 01:10:18.551]  Now let's do something about it.
[01:10:18.831 --> 01:10:22.073]  Well, we can't do something about it until the people know that both parties are controlled.
[01:10:23.079 --> 01:10:25.401]  Okay, well Bush is better off to vote for Hillary!
[01:10:25.461 --> 01:10:26.201]  No, no!
[01:10:26.481 --> 01:10:31.364]  They vacation together, Roger Ailes and Fox News, and they're all behind her.
[01:10:31.404 --> 01:10:32.044]  It's staged.
[01:10:32.104 --> 01:10:33.025]  Here's the proof, you know?
[01:10:33.605 --> 01:10:35.646]  And conservatives have got to find that out.
[01:10:35.686 --> 01:10:39.549]  It'll blow you away, just how staged this is.
[01:10:41.010 --> 01:10:42.610]  So, I mean, I'm doing my part here.
[01:10:42.650 --> 01:10:46.953]  I'm exposing this, and to me the biggest thing is sunshine.
[01:10:47.654 --> 01:10:58.819]  I mean, if Hitler would have been exposed, and if Hitler, if somebody would have fought Hitler in the years he was in office before he went, you know, global and started the war, he could have been stopped early on.
[01:10:59.820 --> 01:11:00.820]  Even after he was elected.
[01:11:01.380 --> 01:11:11.225]  But the general public didn't do that, because these tyrants first punish and first torture and first persecute small groups, and then they expand out from there.
[01:11:12.964 --> 01:11:16.728]  Okay, let's go ahead and take another call.
[01:11:17.328 --> 01:11:22.293]  Let's talk to Allen in Dublin.
[01:11:22.313 --> 01:11:29.480]  I don't know if that's Dublin, Ireland or Dublin, England, but you are on the air.
[01:11:29.580 --> 01:11:30.982]  Go ahead, Allen.
[01:11:31.902 --> 01:11:33.344]  Hi, it's Alex.
[01:11:33.737 --> 01:11:34.598]  Yes, where are you calling from?
[01:11:34.878 --> 01:11:36.119]  Yeah, it's not Dublin.
[01:11:36.459 --> 01:11:39.201]  It's actually Devon, Exeter, Devon in England.
[01:11:39.261 --> 01:11:39.761]  No, that's fine.
[01:11:39.821 --> 01:11:41.042]  My computer said Devon.
[01:11:41.062 --> 01:11:45.224]  That's why I was... Well, he's doing three things today.
[01:11:45.244 --> 01:11:51.508]  The guy that usually answers the phones is at a wedding, so... That means if he had a wedding, I'd be running the show right now.
[01:11:51.548 --> 01:11:54.090]  He's elsewhere, but he's still taking a call on the mobile.
[01:11:54.450 --> 01:11:54.911]  Yeah, yeah.
[01:11:55.411 --> 01:11:57.032]  Anyway, let's get to the point.
[01:11:57.112 --> 01:11:58.493]  Alex, I'm a great fan of yours.
[01:11:58.773 --> 01:12:01.555]  I heard you're on the James Wales Show over here in Britain.
[01:12:02.779 --> 01:12:06.380]  Last summer, I think in June, and that might completely turn my mind.
[01:12:06.420 --> 01:12:07.460]  That's a big national show.
[01:12:07.480 --> 01:12:08.340]  I'd like to go back on there.
[01:12:08.660 --> 01:12:15.781]  Well, just recently, James Whale had a 9-11 conference with Annie Watson-Face, you know, who's on your television.
[01:12:15.821 --> 01:12:17.322]  James Whale put one on?
[01:12:17.442 --> 01:12:18.562]  Wow, he's really come around.
[01:12:18.582 --> 01:12:20.942]  I remember telling him about that job five years ago.
[01:12:20.982 --> 01:12:21.822]  He didn't believe it.
[01:12:22.283 --> 01:12:23.643]  Yeah, it was fantastic.
[01:12:23.703 --> 01:12:26.103]  It was a three-hour discussion.
[01:12:26.263 --> 01:12:28.704]  Talk show, 1080 and 1089.
[01:12:28.824 --> 01:12:30.164]  The voice of Britannia.
[01:12:30.931 --> 01:12:31.351]  That's right.
[01:12:31.491 --> 01:12:32.612]  It was very, very good.
[01:12:32.652 --> 01:12:37.074]  I think, you know, when someone, the more and more it comes out, the better, obviously, it goes down there.
[01:12:37.374 --> 01:12:52.560]  But what I wanted to say was, I had a little fantasy about this recent 15 sailors that were captured in, well, you know, disputed waters, but most likely Iranian waters, because it was Iraqi waters, and why the hell didn't the other guys get captured?
[01:12:53.281 --> 01:12:53.441]  But,
[01:12:54.406 --> 01:13:04.445]  And my fantasy was that this was, first of all, supposed to be like a false flag thing to cover, you know, the attack on the 6th of April against Iran and all the rest of the Americans wanted to help.
[01:13:05.529 --> 01:13:17.893]  Well, see, what I did is I went and got the former head of the British Maritime Administration, who before that, when he was a deputy, ran the Persian Gulf and actually gave the orders to the military on what to board.
[01:13:18.153 --> 01:13:26.396]  He said clearly they were in the no man's land, about to be into Iranian waters, and that if they would have gone over there and done searches, if the Iranians would have come that far into British
[01:13:27.199 --> 01:13:28.240]  And it really is British U.S.
[01:13:28.280 --> 01:13:29.661]  waters into Iraqi waters.
[01:13:29.821 --> 01:13:30.902]  Oh, they run things.
[01:13:31.082 --> 01:13:31.822]  Oh, sure.
[01:13:31.862 --> 01:13:33.043]  And I got a bridge I want to sell you.
[01:13:34.004 --> 01:13:40.008]  That they would have arrested the Iranians and that the British just rewrote the map and suddenly claimed Iranian waters.
[01:13:40.248 --> 01:13:45.351]  So in a weird, you know, weird lawyer way, it was suddenly Iraqi waters.
[01:13:46.132 --> 01:13:49.314]  Well, from what I understand, I mean, you know, that's another detail.
[01:13:49.334 --> 01:13:56.899]  But from what I understand, these so-called borders were made up in 1975 and they should have been renewed every 10 years.
[01:13:57.709 --> 01:14:00.190]  Yeah, but let me give you the actual answer.
[01:14:00.230 --> 01:14:02.650]  But everyone had pretty much been abiding by the 75 guidelines.
[01:14:02.670 --> 01:14:03.410]  So that's the point.
[01:14:03.970 --> 01:14:06.731]  The British suddenly changed and claimed a wider area.
[01:14:20.427 --> 01:14:20.847]  That's right.
[01:14:21.088 --> 01:14:29.616]  But my fantasy was that it's sort of like a counter-terrorism operation by military people themselves saying, look, we don't want a war.
[01:14:29.997 --> 01:14:33.020]  The British guys getting together with the, you know, perhaps with them.
[01:14:33.080 --> 01:14:34.341]  And this is a fantasy.
[01:14:34.501 --> 01:14:38.966]  I mean, you know, this is not a conspiracy idea, but they said, we don't want a war.
[01:14:39.006 --> 01:14:39.607]  Let's do this.
[01:14:39.747 --> 01:14:43.671]  Let's turn it around the other way against all the, you know, against the new world order.
[01:14:44.156 --> 01:14:45.397]  And, you know, happy days.
[01:14:45.677 --> 01:14:47.038]  You send the guys back.
[01:14:47.138 --> 01:14:48.839]  Britain doesn't ever get involved in the war.
[01:14:49.320 --> 01:14:50.861]  Hey, I hope that's the case.
[01:14:50.881 --> 01:14:54.183]  Let's jam in a couple more here, because I've got to go to some other guests on the news here.
[01:14:54.203 --> 01:14:56.265]  Great to hear from you over in England.
[01:14:56.685 --> 01:14:59.147]  Let's go ahead and talk to Steve in Austin.
[01:14:59.167 --> 01:14:59.667]  You're on the air.
[01:14:59.687 --> 01:15:00.248]  Go ahead, Steve.
[01:15:00.488 --> 01:15:03.870]  Yeah, I had a follow-up from that guy's question about the Iranian waters.
[01:15:04.070 --> 01:15:10.275]  You had alluded a couple weeks ago to some news report, I think you had at least, stating that the maps were redrawn.
[01:15:10.757 --> 01:15:13.058]  I googled it and couldn't find anything.
[01:15:13.098 --> 01:15:14.318]  I'm wondering if you've got a link?
[01:15:14.338 --> 01:15:23.162]  Yeah, I have the head of the British Maritime Administration on, and they just claimed waters that were not in the 75 Agreement, and that was openly stated, so you might have missed that.
[01:15:24.412 --> 01:15:31.854]  I heard him on, but I guess I thought, and I may be construing this wrong, but I thought I had heard... They were in no man's land, yeah.
[01:15:32.135 --> 01:15:36.596]  But I thought I had heard of some news actual reporting of that.
[01:15:36.616 --> 01:15:38.577]  There was some, that's why we reported on it.
[01:15:39.817 --> 01:15:44.538]  But did you hear the British government say, okay, we might have had a navigation mistake?
[01:15:44.878 --> 01:15:45.959]  That was the London Guardian.
[01:15:46.319 --> 01:15:48.440]  So they did back off of it and the Iranians let them go.
[01:15:48.920 --> 01:15:49.920]  We'll be right back, stay with us.
[01:15:53.522 --> 01:15:57.364]  Did you know that the water you drink every day can be even more beneficial to your health?
[01:15:57.624 --> 01:16:01.487]  I'm not talking so-called enriched water, but I'm talking about electrolyzed water.
[01:16:01.867 --> 01:16:06.870]  RPA Biotech is an amazing American company that provides unique technology to transform water.
[01:16:07.150 --> 01:16:18.336]  Electrolyzed plus water will alkalize your water more powerfully than any other single nutraceutical because a body in an alkaline state can't grow pathogens, become allergic, or develop autoimmune disease or vascular degenerative illness.
[01:16:18.676 --> 01:16:22.999]  Electrolyzed water is non-toxic, non-corrosive, and environmentally safe for humans and animals.
[01:16:23.259 --> 01:16:32.586]  Alkaline water is available as a concentrate to be mixed with good, filtered, purified RO water, but not tap water, micro-structured alkaline antioxidant water for consumption.
[01:16:32.746 --> 01:16:37.790]  Call for your Electrolyzed Plus Alkalinizing Miracle Rejuvenating Water Concentrate or other remarkable
[01:16:38.070 --> 01:16:38.671]  I think so.
[01:16:54.889 --> 01:16:59.412]  Through the years of providing water filters to America, you've come to us and we've listened.
[01:16:59.712 --> 01:17:03.815]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[01:17:04.095 --> 01:17:04.635]  We listened.
[01:17:04.955 --> 01:17:09.938]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[01:17:10.199 --> 01:17:10.699]  We listened.
[01:17:11.059 --> 01:17:14.100]  You asked us to develop a filter that was made in the USA.
[01:17:14.560 --> 01:17:15.060]  We listened.
[01:17:15.540 --> 01:17:19.601]  You asked us to include an emergency light for camping and during power outages.
[01:17:19.961 --> 01:17:20.462]  We listened.
[01:17:20.802 --> 01:17:26.043]  After 9-11, you asked us to develop a filter that was more powerful in removing chemical agents.
[01:17:26.463 --> 01:17:27.823]  Again, we listened.
[01:17:28.184 --> 01:17:33.625]  Introducing the Berkey Light, the gravity filter requested by America, designed by Americans,
[01:17:33.985 --> 01:17:35.546]  And made in America.
[01:17:35.966 --> 01:17:38.607]  Get the Berkey Light, the American Water Purifier.
[01:17:38.807 --> 01:17:38.987]  Only $279.
[01:17:39.047 --> 01:17:39.587]  Call New Millennium, 888-803-4438.
[01:17:39.687 --> 01:17:39.927]  That's 888-803-4438.
[01:17:39.987 --> 01:17:41.628]  Or order on the web at berkeywater.com.
[01:17:41.648 --> 01:17:42.589]  Not yet available in Iowa.
[01:17:51.986 --> 01:17:53.707]  Hello friends, Alex Jones here.
[01:17:53.927 --> 01:17:57.630]  I want you to imagine waking up one morning to find out you've been burglarized.
[01:17:57.950 --> 01:18:00.171]  An intruder has taken your personal possessions.
[01:18:00.692 --> 01:18:06.896]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[01:18:07.056 --> 01:18:11.959]  What's worse is, you realize he got it through your front door, because you left it unlocked.
[01:18:12.159 --> 01:18:21.105]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[01:18:21.505 --> 01:18:27.510]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[01:18:27.751 --> 01:18:30.833]  Turn your internet on and off with one simple switch.
[01:18:30.933 --> 01:18:34.036]  There's no software to load and it's so easy to install.
[01:18:34.376 --> 01:18:39.441]  Right now you can order your Net7 Security Switch from Net7 Technologies for only $39.95.
[01:18:40.862 --> 01:18:43.364]  For a limited time, receive free shipping with your order.
[01:18:43.744 --> 01:18:45.746]  Visit net7tech.com.
[01:18:45.906 --> 01:18:51.050]  That's net, the number 7, tech.com and start protecting yourself today.
[01:18:51.590 --> 01:18:54.853]  Attention gardeners, this is an urgent GCN self-reliance update.
[01:18:55.093 --> 01:18:59.416]  GCN has just discovered a new bioactive superfood for garden plants, flowers and herbs.
[01:18:59.616 --> 01:19:07.502]  It's called Proto-Gro and it's so effective at producing rapid plant growth that it seems to almost force plants to grow like crazy under practically any soil and light conditions.
[01:19:07.802 --> 01:19:10.623]  Now here's the best part for our listeners who garden for self-reliance.
[01:19:10.924 --> 01:19:18.447]  Proto-Gro's unique blend of sea nutrients maximizes mineral uptake and dramatically increases bloom set, creating maximum plant growth in minimum time.
[01:19:18.567 --> 01:19:24.150]  Proto-Gro works by providing geometric keys which have the capacity to actually unlock the genetic code for nutritional uptake in plants.
[01:19:24.370 --> 01:19:29.933]  Proto-Gro's full spectrum plant fertility means fruits and vegetables with extraordinary taste and up to 10 times the nutritional value.
[01:19:30.213 --> 01:19:33.534]  And if you want to double or triple the potency of herbs or wheatgrass, you can.
[01:19:33.774 --> 01:19:37.096]  If you want to grow nutritionalized superfoods with non-hybrids, it's now easy.
[01:19:37.336 --> 01:19:42.377]  GCN listeners who want to grow Dervsheep Superfood should visit the Proto-Gro website at growlikecrazy.com.
[01:19:42.397 --> 01:19:45.718]  That's www.growlikecrazy.com or call 877-327-0365.
[01:19:46.038 --> 01:19:46.979]  That's 877-327-0365.
[01:19:46.999 --> 01:19:49.259]  This is the GCN Radio Network.
[01:19:49.279 --> 01:19:53.501]  Home to hard-hitting talk radio.
[01:19:53.561 --> 01:19:56.721]  Crushing through the lies and disinformation.
[01:20:08.583 --> 01:20:12.285]  It's Alex Jones.
[01:20:12.365 --> 01:20:13.826]  All right, it's crunch time.
[01:20:13.846 --> 01:20:16.507]  I've got about 27 minutes left in transmission.
[01:20:16.607 --> 01:20:27.693]  I've got war news, fake man-made global warming hysteria, really for global tax info I want to go over, and some police state news as well.
[01:20:28.574 --> 01:20:31.976]  And loaded phone lines here, so we will try to get everybody.
[01:20:32.256 --> 01:20:36.338]  Matt Dayton is one of the founders of PNAC, Project for a New American Citizen.
[01:20:37.000 --> 01:20:50.428]  That's a pun off of the Project for New American Centuries, the neocons set up where they called for a helpful Pearl Harbor event, but a Pearl Harbor event minus that, without a big terror attack, they couldn't get their New World Order and get us to invade the world so conveniently right on time.
[01:20:50.769 --> 01:21:01.735]  A year later, there was a huge terrorist attack, and the guy that wrote the article for them called Rebuilding America's Defenses was Dick Cheney, and he got to be our savior, and save us from the evil Al-Ci-Ada, I mean Al-Qaeda.
[01:21:02.516 --> 01:21:04.157]  I always call it Al-Ci-Ada, because that's what it is.
[01:21:05.124 --> 01:21:10.706]  But they're down at the mall, down there at UT in front of the legendary Tower of Doom.
[01:21:11.646 --> 01:21:12.547]  The Shooter's Tower.
[01:21:12.587 --> 01:21:14.347]  It is a beautiful tower at night though, not knocking it.
[01:21:15.147 --> 01:21:18.168]  But the famous tower and a lot of folks are out there.
[01:21:18.468 --> 01:21:22.410]  So let's go ahead and bring Matt Dayton up.
[01:21:22.490 --> 01:21:23.990]  Matt, what's going on out there?
[01:21:25.051 --> 01:21:27.151]  Well Alex, thank you for having me on.
[01:21:27.191 --> 01:21:29.392]  It's a pretty beautiful sight out here.
[01:21:29.452 --> 01:21:31.733]  We have all of our signs with
[01:21:32.393 --> 01:21:43.680]  Reading multiple phrases including 9-11, remember, rethink, investigate 9-11, no war with Iran, honor the families of 9-11, control demolition, 9-11 was an inside job.
[01:21:43.840 --> 01:21:46.102]  Tons of our banners are up here.
[01:21:46.162 --> 01:21:47.763]  Jack Blood speaking currently.
[01:21:47.823 --> 01:21:49.604]  We're right in front of the main tower.
[01:21:55.850 --> 01:22:02.175]  Let me stop you, Matt, because you're so close to Jack Blood, talk show host on the same network I'm on, Genesis, that it's overdriving you.
[01:22:02.376 --> 01:22:04.537]  Just stop for a minute and let me hear what Jack has to say.
[01:22:05.018 --> 01:22:05.679]  Sure, no problem.
[01:22:09.642 --> 01:22:10.463]  Very benign.
[01:22:10.483 --> 01:22:14.185]  I think we've found over the last seven years that it is not in fact.
[01:22:14.446 --> 01:22:22.031]  If I went into a coma in 2000 and woke up today, I wouldn't recognize the country I'm living in, the country that I love, and the country that I'm ready to fight to defend.
[01:22:22.591 --> 01:22:28.556]  Richard Searle loves this nickname, the Prince of Darkness.
[01:22:29.577 --> 01:22:34.783]  Michael Chertoff, head of Homeland Control, because security really is control.
[01:22:35.184 --> 01:22:36.505]  Your social control number.
[01:22:37.006 --> 01:22:40.109]  Prosperity and development is control.
[01:22:40.130 --> 01:22:41.051]  Security is control.
[01:22:42.273 --> 01:22:47.815]  Homeland Control Department, but Black Chertoff's name literally translates to the devil in Russian.
[01:22:47.995 --> 01:22:54.377]  We have a guy named Mike the Devil who is protecting us with the Department of Homeland Security.
[01:22:55.418 --> 01:22:59.219]  John Negroponte, who was the star... Alex, can you hear that?
[01:22:59.239 --> 01:23:00.639]  Yeah, I want to hear more.
[01:23:00.699 --> 01:23:02.140]  Keep going.
[01:23:02.180 --> 01:23:05.081]  But apparently, this is a word bandied about quite a bit now in our culture.
[01:23:05.641 --> 01:23:15.451]  Uh, the intelligents are John Negroponte, a proven war criminal, a torture specialist, ran death squads in Iran-Contra, now number two in the State Department.
[01:23:15.511 --> 01:23:19.436]  I will, uh, give you my opinion that number two is almost always number one.
[01:23:19.456 --> 01:23:21.538]  We can just look at Big Time Dick Cheney for that.
[01:23:22.919 --> 01:23:24.381]  Yours will be Bush himself.
[01:23:25.160 --> 01:23:27.682]  Along with Cheney, mass murderers.
[01:23:27.782 --> 01:23:33.085]  Donald Rumsfeld got Aspartame approved, which kills people and cripples people all over the world.
[01:23:33.105 --> 01:23:39.569]  In fact, the Philippines, I just read, banned Aspartame from being allowed to be consumed by their people.
[01:23:39.609 --> 01:23:42.071]  But of course, Donald Rumsfeld got that approved.
[01:23:42.531 --> 01:23:51.017]  Donald Rumsfeld is the one that negotiated the deal in North Korea to sell low-water nuclear reactors, which eventually turned into what we hear now are nuclear weapons.
[01:23:51.917 --> 01:23:53.499]  With a company called APD.
[01:23:53.599 --> 01:23:54.880]  And I'm sure he'll go back to that.
[01:23:54.920 --> 01:24:03.546]  In fact, I'm sorry to have to tell this to you, Donald Rumsfeld is still, to this very day, right now, running the Pentagon as an unpaid consultant.
[01:24:05.648 --> 01:24:12.113]  Our President, and I'm an equal opportunity muckraker, I've got plenty to say about the Clintons.
[01:24:12.233 --> 01:24:16.596]  Our President came this close to being going to jail for insider trading.
[01:24:16.776 --> 01:24:18.037]  His daddy bailed him out.
[01:24:18.698 --> 01:24:20.079]  He was an admitted drug addict.
[01:24:21.135 --> 01:24:28.860]  A drunk driver, a mass murderer, a congenital liar, and some have even said a rapist, and a cheerleader.
[01:24:29.260 --> 01:24:34.743]  And he tells you, well I have to repeat things again and again to catapult the propaganda.
[01:24:35.003 --> 01:24:35.643]  Admit it!
[01:24:38.005 --> 01:24:46.910]  And he also, Leslie Butler, he also says that things would be a heck of a lot easier if this was a dictatorship, just so long as he was the dictator, but back to Jack.
[01:24:47.409 --> 01:24:51.294]  Many people wanted him to be president, and he wrote the book, War is a Racket.
[01:24:52.256 --> 01:24:52.736]  And it is.
[01:24:53.077 --> 01:24:54.999]  Because we see key vote on who benefits.
[01:24:55.039 --> 01:24:59.746]  When we're talking about 9-11, we look at motive, opportunity, who benefited.
[01:25:00.464 --> 01:25:11.292]  And any average rookie detective in Homicide Squad is going to go right after the person that has the motive, the opportunity, and capitalizes and cashes in on the insurance policy.
[01:25:11.513 --> 01:25:12.593]  That's what we need to do.
[01:25:12.613 --> 01:25:20.680]  Re-investigate 9-11 right now because it was a cover-up, it was a whitewash, and they did not ask the appropriate questions or have the appropriate debate.
[01:25:20.700 --> 01:25:22.721]  We need to get that re-investigated right now.
[01:25:22.741 --> 01:25:26.364]  And if you care about this country, or any country, you'll do that.
[01:25:26.404 --> 01:25:27.325]  You'll help us do that.
[01:25:29.586 --> 01:25:33.267]  Matt, can you hear me?
[01:25:34.527 --> 01:25:45.811]  You know, I'm gonna, I think I'm gonna leave the coverage right there just because obviously it's a great speech and I wanted to get some comments from people but they're busy in the middle of the speeches that are being given.
[01:25:46.792 --> 01:25:49.093]  When I leave here though, I'm not going back down to the mall.
[01:25:49.493 --> 01:25:52.934]  I have to, there at UT, I have to go into my little nest
[01:25:53.593 --> 01:25:55.355]  I'm going to let you go because of the sound.
[01:26:17.630 --> 01:26:19.892]  Thanks for checking in with us, and great job.
[01:26:20.392 --> 01:26:22.553]  How many people showed up out there for the little rally?
[01:26:22.793 --> 01:26:24.254]  We've got about a hundred or more.
[01:26:27.356 --> 01:26:27.716]  Thank you.
[01:26:28.037 --> 01:26:29.638]  Listen, I really appreciate you, my friend.
[01:26:29.658 --> 01:26:30.058]  Take care.
[01:26:31.098 --> 01:26:32.139]  Good to hear from you.
[01:26:32.559 --> 01:26:34.400]  Alright, we're done there with that.
[01:26:34.440 --> 01:26:35.321]  Thank you so much.
[01:26:36.722 --> 01:26:40.804]  Alright, let's go ahead now and take some calls.
[01:26:40.824 --> 01:26:43.386]  Then in the final segment, I'll just blitz through the news.
[01:26:44.415 --> 01:26:46.437]  Bottom line, 9-11 is an inside job.
[01:26:46.477 --> 01:26:49.119]  It's a false flag, self-inflicted wound.
[01:26:49.379 --> 01:26:53.003]  It's a false flag, government-sponsored terror event, ladies and gentlemen.
[01:26:53.984 --> 01:26:56.986]  Let us now go ahead and go back to the calls.
[01:26:57.907 --> 01:27:01.330]  Let's talk to Roland in Massachusetts.
[01:27:01.830 --> 01:27:03.192]  You're on the air, welcome.
[01:27:04.693 --> 01:27:06.274]  Hey Alex, thanks for taking my call.
[01:27:06.294 --> 01:27:08.136]  Thank you for calling.
[01:27:08.156 --> 01:27:09.257]  Do you have your radio on in the background?
[01:27:12.293 --> 01:27:13.333]  Okay, he's gone.
[01:27:13.913 --> 01:27:19.695]  Let's go ahead now and take another call from Anson in Dallas.
