[00:00:01.751 --> 00:00:02.471]  Free.
[02:19:31.647 --> 02:19:36.230]  Terrence Yakey in Oklahoma City was there taking people out of the building.
[02:19:36.230 --> 02:19:37.891]  Just, I mean, I could go on for hours about it.
[02:19:37.891 --> 02:19:42.595]  I've made two films on the subject that cover Oklahoma City.
[02:19:42.595 --> 02:19:45.777]  And, uh, you know, talk about the FBI never covering anything up.
[02:19:45.777 --> 02:19:48.439]  They won't release those videotapes.
[02:19:48.439 --> 02:19:50.520]  There have been two separate lawsuits trying to get them.
[02:19:51.846 --> 02:19:56.229]  Why didn't you use those videotapes in the trial in Denver?
[02:19:56.229 --> 02:20:01.674]  If you've got McVeigh getting out of the car, you've got your proof, why won't they use those tapes?
[02:20:01.674 --> 02:20:09.580]  Because it shows them with an Iraqi man from every angle you could imagine.
[02:20:09.580 --> 02:20:11.421]  That's why.
[02:20:11.421 --> 02:20:13.583]  That's why.
[02:20:13.583 --> 02:20:17.246]  And they got these terrorists in every city right now ready to level this country.
[02:20:17.867 --> 02:20:21.328]  And they'll march the troops in after they do it, to be your savior.
[02:20:21.328 --> 02:20:24.288]  Now we expose this, we can save the country!
[02:20:24.288 --> 02:20:26.629]  That's what I'm doing here!
[02:20:26.629 --> 02:20:29.089]  Tons of news, an update from the FEMA camp straight ahead.
[02:20:29.089 --> 02:20:32.910]  Currency devaluation, inflation.
[02:20:32.910 --> 02:20:33.570]  One and the same.
[02:20:41.070 --> 02:20:45.073]  If you had deposited $100,000 in a bank at 1%, in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[02:20:45.073 --> 02:20:47.154]  The dollar lost 33% of its value in that time frame.
[02:20:47.154 --> 02:20:47.694]  The bank paid you 1%.
[02:20:47.694 --> 02:20:49.476]  Your $100,000 now has a net purchasing power of $68,000.
[02:20:49.476 --> 02:20:49.956]  Here is reality.
[02:20:49.956 --> 02:20:51.997]  The devaluation of currency equals real inflation.
[02:21:06.827 --> 02:21:11.049]  Keep in mind how the value of your paper assets are measured in dollars.
[02:21:11.049 --> 02:21:15.210]  Gold in the same time frame increased 35% in value.
[02:21:15.210 --> 02:21:19.312]  Learn how to protect and profit in this truly unstable world economy.
[02:21:19.312 --> 02:21:20.812]  Call Midas Resources at 1-800-686-2237.
[02:21:20.812 --> 02:21:21.053]  That's 1-800-686-2237.
[02:21:31.517 --> 02:21:33.698]  Dad, can we stop?
[02:21:33.698 --> 02:21:35.638]  We need to go to the bathroom.
[02:21:35.638 --> 02:21:36.259]  What?
[02:21:36.259 --> 02:21:37.019]  Again?
[02:21:37.019 --> 02:21:38.719]  We just stopped two hours ago.
[02:21:38.719 --> 02:21:43.361]  Honey, let's stop because I gave the kids their Spark Berkey water bottles.
[02:21:43.361 --> 02:21:44.881]  Why did you do that?
[02:21:44.881 --> 02:21:50.943]  Because they can't drink and talk at the same time and that way we don't have to listen to them singing, Are we there yet?
[02:21:50.943 --> 02:21:52.104]  Are we there yet?
[02:21:52.104 --> 02:21:53.424]  for the entire trip.
[02:21:53.424 --> 02:21:55.585]  Hmm, I didn't think about that.
[02:21:56.085 --> 02:21:57.387]  Great idea!
[02:21:57.387 --> 02:22:00.330]  Yeah, and it's cheap entertainment for the kids!
[02:22:00.330 --> 02:22:07.679]  Bottled water costs around 75 cents a bottle, and using our Berkey Sport Bottles, it costs us less than two and a half cents per refill.
[02:22:07.679 --> 02:22:07.980]  Honey!
[02:22:08.812 --> 02:22:10.433]  You're terrific!
[02:22:10.433 --> 02:22:12.033]  Oh honey, so are you!
[02:22:12.033 --> 02:22:15.734]  You're the one that bought the family our Sport Berkey Water Bottles!
[02:22:15.734 --> 02:22:17.015]  Now can we stop?
[02:22:17.015 --> 02:22:18.055]  I need to go too.
[02:22:18.055 --> 02:22:22.556]  Get your Berkey Sport Purification Bottle for only $39 by calling New Millennium at 888-803-4438.
[02:22:22.556 --> 02:22:22.816]  That's 888-803-4438.
[02:22:22.816 --> 02:22:24.457]  Or order on the web at berkeywater.com.
[02:22:31.559 --> 02:22:34.543]  David J. Smith for Newswatch Magazine.
[02:22:34.543 --> 02:22:40.312]  Did you know that the mother of all secret societies, the Illuminati, worships Lucifer, better known as Satan the Devil?
[02:22:41.315 --> 02:22:49.577]  Did you know that they are the individuals giving rise to the final world social system described in Revelation Chapter 13?
[02:22:49.577 --> 02:22:54.778]  Did you know they were the founders of international communism to be the seen enemy of Christianity?
[02:22:54.778 --> 02:23:01.299]  To be used to destroy America so that we could be merged into an all-powerful one-world government?
[02:23:01.299 --> 02:23:09.421]  We would like to help you understand how these things are coming to pass by offering you an absolutely free one-year subscription to Newswatch Magazine.
[02:23:10.301 --> 02:23:11.843]  Just call our toll-free number 1-800-516-8736.
[02:23:11.843 --> 02:23:13.104]  That's 1-800-516-8736 to request your subscription.
[02:23:13.104 --> 02:23:13.384]  Call now.
[02:23:13.384 --> 02:23:16.587]  Operators are standing by to receive your call.
[02:23:31.511 --> 02:23:33.433]  The statistics are heart-wrenching.
[02:23:33.433 --> 02:23:42.380]  According to the CWC, of the 43 million people who have served in the major wars, from the Revolutionary War to the Gulf War, 3 million never made it home alive.
[02:23:42.380 --> 02:23:48.105]  Most likely, each one of us can say we either knew someone who served, or know a brave soul who is currently serving our country.
[02:23:48.505 --> 02:23:56.273]  Now there is a unique way to pay tribute to the courageous men and women who spend their lives protecting our freedom, and to those who have lost their lives doing so.
[02:23:56.273 --> 02:24:01.918]  Davis Products is offering high-quality, solid-cast aluminum memorial markers for your American flag.
[02:24:01.918 --> 02:24:06.162]  Each memorial marker is specifically designed to represent one of 15 wars.
[02:24:06.162 --> 02:24:12.368]  All markers include a 3-eighths inch pointed and threaded aluminum rod, painted and highlighted for an appearance that is unforgettable.
[02:24:12.648 --> 02:24:15.690]  What better way to pay homage to our enlisted loved ones?
[02:24:15.690 --> 02:24:20.034]  Davis Products Memorial Markers are only $9 a piece and can be ordered by calling 814-827-4946.
[02:24:20.034 --> 02:24:20.494]  That's 814-827-4946.
[02:24:20.494 --> 02:24:22.976]  Or visit Davis-Products.com.
[02:24:22.976 --> 02:24:23.737]  That's Davis-Products.com.
[02:24:38.638 --> 02:24:39.539]  Alright, welcome back.
[02:24:39.539 --> 02:24:47.365]  Kevin Smith, Aaron Dykes, work here at the InfoWars office, are both on the ground at the admitted relocation FEMA camp for illegal aliens and U.S.
[02:24:47.365 --> 02:24:51.388]  citizens, part of a new program building these nationwide for whole families.
[02:24:51.388 --> 02:24:53.269]  They've been told multiple times to turn their cameras off.
[02:24:53.269 --> 02:24:57.412]  There's been open discussions of taking their videotapes and quote, reviewing them.
[02:24:57.412 --> 02:25:00.875]  In America, they're not on the prison complex, FEMA camp property.
[02:25:01.295 --> 02:25:02.836]  Police are driving back and forth now.
[02:25:02.836 --> 02:25:07.759]  Some other people have showed up to, I guess, protest or also to observe.
[02:25:07.759 --> 02:25:11.641]  Let's go straight to Kevin Smith, north of Austin, at a FEMA camp.
[02:25:11.641 --> 02:25:14.142]  Kevin Smith, please continue.
[02:25:14.142 --> 02:25:21.386]  Hey Alex, you know, when we can't depend on the organized left to come out and do their own protest, you put out the word and we get InfoWarriors to show up.
[02:25:21.386 --> 02:25:23.247]  So, we just had three vehicles
[02:25:23.949 --> 02:25:27.931]  Uh, pull up with some of, uh, the Info Wars, uh, and here comes the fourth.
[02:25:27.931 --> 02:25:29.291]  Here comes another one.
[02:25:29.291 --> 02:25:30.192]  Looks like another one.
[02:25:30.192 --> 02:25:32.112]  We're gonna have us a bit of a protest here.
[02:25:32.112 --> 02:25:34.593]  So, yeah, we're starting to get the Taylor PD.
[02:25:34.593 --> 02:25:39.555]  It's now doing a little drive back and forth on this farm and market or county road that we're on.
[02:25:39.555 --> 02:25:43.197]  And there's been an unmarked vehicle, so we'll see how it goes.
[02:25:43.197 --> 02:25:44.177]  Um, I don't know.
[02:25:46.030 --> 02:25:53.075]  Well, I mean, the prison and federal ICE guards have tried to tell you to turn your cameras off, but you haven't.
[02:25:53.075 --> 02:25:55.617]  I wonder if the Taylor PD will try it.
[02:25:55.617 --> 02:26:02.681]  Well, the InfoWars people showing up right now have their own cameras, so we definitely have enough cameras to cover the event.
[02:26:02.681 --> 02:26:07.725]  So, we'll see how it goes, and we'll start asking some of these people why they thought it was important to come out.
[02:26:07.725 --> 02:26:09.746]  But right now, they're just watching us.
[02:26:09.746 --> 02:26:13.189]  They haven't done anything too menacing as of late.
[02:26:13.189 --> 02:26:14.269]  But we are here.
[02:26:14.269 --> 02:26:15.190]  We want to see the kids.
[02:26:15.706 --> 02:26:18.333]  Come out into the yard, which is what it is.
[02:26:18.333 --> 02:26:22.665]  High security fence playground, so we'll definitely be here for that.
[02:26:22.665 --> 02:26:23.948]  Anything else you want from me right now?
[02:26:24.794 --> 02:26:26.295]  Just a basic recap.
[02:26:26.295 --> 02:26:29.318]  They told you to not aim cameras, turn your cameras off.
[02:26:29.318 --> 02:26:32.460]  You heard open discussions of are they allowed to tape us?
[02:26:32.460 --> 02:26:33.941]  Should we review their tapes?
[02:26:33.941 --> 02:26:36.924]  Don't let them touch our equipment.
[02:26:36.924 --> 02:26:37.704]  No, no, we won't.
[02:26:37.704 --> 02:26:51.015]  And when we first got here, we just went ahead and pulled into this open parking lot and that, you know, elicited a response from them and they started circling the wagons and, you know, higher levels of, you know, my manager comes out and then the boss comes out and
[02:26:51.537 --> 02:26:52.979]  And they take our information.
[02:26:52.979 --> 02:26:53.900]  They went back in.
[02:26:53.900 --> 02:26:57.283]  A couple of them had mentioned we might want to review what's on their film.
[02:26:57.283 --> 02:27:02.589]  They haven't came back and said anything to us about that at this point, but they're out in the parking lot watching us right now.
[02:27:02.589 --> 02:27:05.191]  So, you know, we're not doing anything wrong.
[02:27:05.191 --> 02:27:08.555]  We're standing out here on a beautiful day and filming this facility from across the street.
[02:27:09.171 --> 02:27:10.712]  And, uh, let's see what happens.
[02:27:10.712 --> 02:27:13.754]  But, uh, Taylor has just barely slowed down the PD.
[02:27:13.754 --> 02:27:15.936]  Well, more folks will show up.
[02:27:15.936 --> 02:27:17.917]  More folks will show up there in downtown Taylor.
[02:27:17.917 --> 02:27:19.678]  Stay about an hour and a half and come back.
[02:27:19.678 --> 02:27:21.219]  Let's get a report out.
[02:27:21.219 --> 02:27:25.742]  Let's get this out on the web by tonight, uh, for the PrisonPlanet.tv folks.
[02:27:25.742 --> 02:27:33.128]  Thank you, Kevin, and if anything develops in the next 30 minutes of broadcast time, the next 33 minutes of broadcast time, call back in, okay?
[02:27:33.128 --> 02:27:34.108]  I'll sure do it.
[02:27:34.108 --> 02:27:34.588]  Thank you.
[02:27:34.588 --> 02:27:38.131]  Let me take this time out before we break and come back and play this Twilight Zone clip.
[02:27:38.897 --> 02:27:43.059]  That really illustrates, you know, what the whole New World Order is all about.
[02:27:43.059 --> 02:27:49.643]  Rod Serling, great paratrooper patriot of World War II that wrote it, the obsolete man.
[02:27:49.643 --> 02:27:51.204]  Please support us!
[02:27:51.204 --> 02:28:02.630]  Get the most powerful films out there on government-sponsored terror, like Terror Storm, Loose Change 2nd Edition, 9-11 Mysteries Demolitions, America Freedom to Fascism,
[02:28:03.436 --> 02:28:13.063]  These are the types of books and videos and materials that we carry at the online video and bookstore at InfoWars.com or PrisonPlanet.com or JonesReport.com.
[02:28:13.063 --> 02:28:18.267]  You can go to any of those portals and go right through to our secure online Yahoo shopping cart.
[02:28:18.267 --> 02:28:19.668]  Call toll free.
[02:28:19.668 --> 02:28:22.610]  My Police State Trilogy is now on DVD for the first time.
[02:28:22.610 --> 02:28:25.472]  All three in a box set.
[02:28:25.472 --> 02:28:25.533]  $34.95.
[02:28:25.533 --> 02:28:26.493]  See the FEMA camp.
[02:28:26.493 --> 02:28:28.435]  See the troops training to take your guns.
[02:28:28.435 --> 02:28:30.176]  See Senate hearings admitting it.
[02:28:30.176 --> 02:28:32.658]  See the police threatening and telling us to turn our cameras off.
[02:28:33.198 --> 02:28:35.280]  See what we do here!
[02:28:35.280 --> 02:28:52.211]  Get the Police State Trilogy at 45% off or see all of my three Police State films in Road to Tyranny and Masters of Terror and Terror Storm at PrisonPlanet.TV where we've extended the Christmas special as a New Year's special until the 15th of this month.
[02:28:52.211 --> 02:28:57.695]  You can get five plus months free right now at PrisonPlanet.TV almost half a year free
[02:28:59.102 --> 02:29:17.232]  When you get a yearly membership or get a trial monthly membership for $5.95 at PrisonPlanet.tv and it is an incredible, incredible activist tool to be able to go in there and download them in super high quality down to low res depending on whatever your connection is and burn them to disk.
[02:29:17.919 --> 02:29:18.839]  Give them to people.
[02:29:18.839 --> 02:29:24.160]  It can be a factory in the Infowars with your PrisonPlanet.tv membership.
[02:29:24.160 --> 02:29:25.560]  Be sure and take advantage of that.
[02:29:25.560 --> 02:29:26.441]  Get my films.
[02:29:26.441 --> 02:29:27.241]  Make copies of them.
[02:29:27.241 --> 02:29:28.001]  You're authorized.
[02:29:28.001 --> 02:29:30.861]  I ask you to for non-profit educational purposes.
[02:29:30.861 --> 02:29:32.302]  Air them on AXS TV.
[02:29:32.302 --> 02:29:34.402]  Use clips of them in your radio shows.
[02:29:34.402 --> 02:29:39.123]  Get the material out to everybody via Infowars.com or call toll free to order 1-888-253-3139.
[02:29:45.265 --> 02:29:46.986]  888-253-3139.
[02:29:46.986 --> 02:29:49.408]  Or you can write to me.
[02:29:49.408 --> 02:29:59.277]  I'm Alex Jones at 3001 South Lamar Suite 100, Austin, Texas 78704.
[02:29:59.277 --> 02:30:00.197]  We can win this thing.
[02:30:00.197 --> 02:30:01.258]  What they're doing is wrong.
[02:30:01.258 --> 02:30:02.439]  What they're doing is evil.
[02:30:02.439 --> 02:30:03.720]  They're destroying this country.
[02:30:03.720 --> 02:30:05.802]  They're enemies of this republic.
[02:30:05.802 --> 02:30:06.763]  A man in the right
[02:30:08.695 --> 02:30:12.219]  Can take down somebody in the wrong any day of the week.
[02:30:12.219 --> 02:30:13.860]  You just gotta be willing to fight.
[02:30:13.860 --> 02:30:16.723]  We're fighting in the front lines of the Info War.
[02:30:16.723 --> 02:30:21.849]  Stay with us.
[02:30:21.849 --> 02:30:23.250]  We're on the march.
[02:30:23.250 --> 02:30:25.773]  The Empire's on the run.
[02:30:25.773 --> 02:30:28.476]  Alex Jones and the GCN Radio Network.
[02:30:37.116 --> 02:30:38.677]  Currency devaluation.
[02:30:38.677 --> 02:30:39.698]  Inflation.
[02:30:39.698 --> 02:30:41.119]  One and the same.
[02:30:41.119 --> 02:30:45.121]  If you had deposited $100,000 at a bank at 1% in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[02:30:45.121 --> 02:30:47.183]  The dollar lost 33% of its value in that time frame.
[02:30:47.183 --> 02:30:47.743]  The bank paid you 1%.
[02:30:47.743 --> 02:30:49.524]  Your $100,000 now has a net purchasing power of $68,000.
[02:30:49.524 --> 02:30:50.025]  Here is reality.
[02:30:50.025 --> 02:30:52.046]  The devaluation of currency equals real inflation.
[02:31:06.876 --> 02:31:11.098]  Keep in mind how the value of your paper assets are measured in dollars.
[02:31:11.098 --> 02:31:15.279]  Gold in the same time frame increased 35% in value.
[02:31:15.279 --> 02:31:19.360]  Learn how to protect and profit in this truly unstable world economy.
[02:31:19.360 --> 02:31:20.881]  Call Midas Resources at 1-800-686-2237.
[02:31:20.881 --> 02:31:21.121]  That's 1-800-686-2237.
[02:31:31.443 --> 02:31:32.204]  It's a fact.
[02:31:32.204 --> 02:31:37.108]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[02:31:37.108 --> 02:31:42.593]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[02:31:42.593 --> 02:31:46.036]  So why should you, the hard-working American, be harassed for yours?
[02:31:46.036 --> 02:31:53.142]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[02:31:53.502 --> 02:32:01.129]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[02:32:01.129 --> 02:32:03.431]  We also do credit restoration.
[02:32:03.431 --> 02:32:11.819]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their credit card debt instead of living each day in fear.
[02:32:12.199 --> 02:32:14.100]  It's time to turn your life around.
[02:32:14.100 --> 02:32:16.721]  Call Day of Jubilee open 9 a.m.
[02:32:16.721 --> 02:32:17.601]  to 5 p.m.
[02:32:17.601 --> 02:32:19.142]  Central Standard Time at 920-293-8024.
[02:32:19.142 --> 02:32:20.563]  That's 920-293-8024 and ask for Robert.
[02:32:20.563 --> 02:32:23.604]  Don't wait any longer to get your life back in order.
[02:32:32.654 --> 02:32:35.395]  Hey folks, Alex Jones here with an important question.
[02:32:35.395 --> 02:32:37.817]  When was the last time you used pure soap?
[02:32:37.817 --> 02:32:48.242]  I mean the hard to find kind that's all natural and not full of corrosive toxins and chemicals and detergents that just dry out your skin and have been connected to very serious health problems?
[02:32:48.242 --> 02:32:50.563]  Let me tell you something about the Cal Bend Pure Soap Company.
[02:32:50.723 --> 02:32:55.024]  There's a 100% unconditional guarantee on all their wonderful products.
[02:32:55.024 --> 02:33:01.087]  They're all natural, they're triple concentrated, they're factory direct, factory owned and operated since 1947.
[02:33:01.087 --> 02:33:05.828]  Earth friendly, pure soaps for bathing, laundry and kitchen.
[02:33:05.828 --> 02:33:09.489]  Try Pure Soap once and I'll guarantee you'll never use anything else.
[02:33:09.489 --> 02:33:14.411]  Now for the first time, Calvin Pure Soap is available factory direct to you and your family.
[02:33:14.671 --> 02:33:18.513]  Save up to 85% off supermarket and retail store prices.
[02:33:18.513 --> 02:33:21.055]  Call today for a Calvin Soap catalog at 1-800-340-7091.
[02:33:21.055 --> 02:33:23.056]  That's 1-800-340-7091 or on the web at CalvinPureSoap.com.
[02:33:40.348 --> 02:33:46.154]  I promised to play large segments of the Obsolete Man Twilight Zone episode.
[02:33:46.154 --> 02:33:50.439]  With a future totalitarian state where they're telling this guy he's obsolete.
[02:33:50.439 --> 02:33:54.223]  And he basically sets up the establishment, Judge Thug.
[02:33:54.223 --> 02:33:56.766]  We'll have time to play most of it, not all of it.
[02:33:57.755 --> 02:34:00.018]  But this is, I think, the best Twilight Zone episode.
[02:34:00.018 --> 02:34:02.741]  And this is how it is in a lot of authoritarian states.
[02:34:02.741 --> 02:34:07.186]  The establishment has decided that our free societies, our way of life is obsolete.
[02:34:07.186 --> 02:34:09.209]  And the New World Order, that's just the way it is.
[02:34:09.209 --> 02:34:10.991]  You just got to get out of the way.
[02:34:10.991 --> 02:34:12.032]  No, we're going to stand up.
[02:34:12.032 --> 02:34:13.053]  We're going to fight them.
[02:34:13.053 --> 02:34:14.355]  We're going to resist them.
[02:34:14.355 --> 02:34:16.097]  If anything develops out at the FEMA camp,
[02:34:17.572 --> 02:34:29.207]  In the next 25 minutes of broadcast airtime that's left, we will cut in to the Twilight Zone piece and go right to our people up there at the FEMA camp.
[02:34:29.207 --> 02:34:29.848]  So stay with us.
[02:34:29.848 --> 02:34:30.209]  Here it is.
[02:34:40.058 --> 02:34:42.379]  You're traveling through another dimension.
[02:34:42.379 --> 02:34:45.660]  A dimension not only of sight and sound, but of mind.
[02:34:45.660 --> 02:34:49.302]  A journey into a wondrous land whose boundaries are that of imagination.
[02:34:49.302 --> 02:34:50.522]  That's the signpost up ahead.
[02:34:50.522 --> 02:34:57.265]  Your next stop, the Twilight Zone.
[02:34:57.265 --> 02:35:03.688]  Wordsworth Romney obsolescence.
[02:35:03.688 --> 02:35:05.189]  He's waiting, Chancellor.
[02:35:05.189 --> 02:35:05.709]  Order him in.
[02:35:18.089 --> 02:35:21.050]  You walk into this room at your own risk.
[02:35:21.050 --> 02:35:23.211]  Because it leads to the future.
[02:35:23.211 --> 02:35:26.673]  Not a future that will be, but one that might be.
[02:35:26.673 --> 02:35:28.914]  This is not a new world.
[02:35:28.914 --> 02:35:32.175]  It is simply an extension of what began in the old one.
[02:35:33.326 --> 02:35:41.771]  It has patterned itself after every dictator who has ever planted the ripping imprint of a boot on the pages of history since the beginning of time.
[02:35:41.771 --> 02:35:49.795]  It has refinements, technological advances and a more sophisticated approach to the destruction of human freedom.
[02:35:49.795 --> 02:35:55.539]  But like every one of the super states that preceded it, it has one iron rule.
[02:35:55.539 --> 02:35:57.760]  Logic is an enemy and truth is a menace.
[02:36:03.107 --> 02:36:05.829]  This is Mr. Romney Wordsworth.
[02:36:05.829 --> 02:36:12.493]  In his last 48 hours on Earth, he's a citizen of the state, but will soon have to be eliminated.
[02:36:12.493 --> 02:36:17.276]  Because he's built out of flesh, and because he has a mind.
[02:36:17.276 --> 02:36:21.839]  Mr. Romney Wordsworth, who will draw his last breaths in the Twilight Zone.
[02:36:30.242 --> 02:36:34.424]  Wordsworth, Romney, field investigation finding obsolescence.
[02:36:34.424 --> 02:36:36.624]  Do you know why you're here, Mr. Wordsworth?
[02:36:36.624 --> 02:36:37.365]  Yes, sir.
[02:36:37.365 --> 02:36:39.606]  I'd ask you to speak up a little, if you will.
[02:36:39.606 --> 02:36:41.766]  Yes, sir, I know why I'm here.
[02:36:41.766 --> 02:36:46.308]  You've been under investigation, Mr. Wordsworth, for the mandatory period of one year and eleven months.
[02:36:46.308 --> 02:36:47.709]  You're found to be obsolete.
[02:36:47.709 --> 02:36:51.130]  The purpose of this hearing is to make a finding in the matter and make a sentence accordingly.
[02:36:51.130 --> 02:36:51.990]  Do you understand that?
[02:36:51.990 --> 02:36:54.071]  Yes, I understand that.
[02:36:54.071 --> 02:36:57.753]  Your occupation, Mr. Wordsworth?
[02:36:57.753 --> 02:36:58.733]  A librarian, sir.
[02:37:04.156 --> 02:37:05.657]  Of what?
[02:37:05.657 --> 02:37:08.880]  A librarian, sir.
[02:37:08.880 --> 02:37:10.181]  Has this man had counsel?
[02:37:10.181 --> 02:37:10.802]  Yes, sir, he has.
[02:37:10.802 --> 02:37:11.863]  Are you sure he knows his rights?
[02:37:11.863 --> 02:37:15.145]  He's been given orientation, sir.
[02:37:15.145 --> 02:37:22.291]  Mr. Wordsworth, I'm told that you've had counsel... Stand back in the light, Mr. Wordsworth!
[02:37:22.291 --> 02:37:30.278]  I'm told you've had counsel and been given orientation, Mr. Wordsworth, but I'm still not sure in my own mind that you understand the purpose of this hearing.
[02:37:30.982 --> 02:37:35.487]  The field investigators in your sector have classified you as obsolete.
[02:37:35.487 --> 02:37:38.049]  This finding carries with it serious implications.
[02:37:38.049 --> 02:37:42.454]  Do you understand that, Mr. Wordsworth?
[02:37:42.454 --> 02:37:44.376]  Now I ask you again, your occupation?
[02:37:45.976 --> 02:37:47.797]  I am a librarian, sir.
[02:37:47.797 --> 02:37:49.017]  That is my occupation.
[02:37:49.017 --> 02:37:50.377]  That is my profession.
[02:37:50.377 --> 02:37:54.378]  If you people choose to call that obsolete... Request clarification of the term?
[02:37:54.378 --> 02:37:55.199]  Yes.
[02:37:55.199 --> 02:37:56.819]  The term, Mr. Wordsworth.
[02:37:56.819 --> 02:37:57.679]  You people.
[02:37:57.679 --> 02:37:59.260]  You make reference to the state?
[02:37:59.260 --> 02:38:00.880]  I make reference to the state.
[02:38:00.880 --> 02:38:04.081]  And you persisted declaring your occupation as being that of a librarian.
[02:38:04.081 --> 02:38:04.761]  Is that correct?
[02:38:04.761 --> 02:38:06.302]  That is correct, sir.
[02:38:06.302 --> 02:38:10.023]  A librarian.
[02:38:10.023 --> 02:38:13.844]  Having to do... with books.
[02:38:15.745 --> 02:38:16.606]  Yes, sir.
[02:38:16.606 --> 02:38:19.969]  Books.
[02:38:19.969 --> 02:38:25.193]  Since there are no more books, Mr. Wordsworth, there are no more libraries.
[02:38:25.193 --> 02:38:30.177]  And of course it follows that there is very little call for the services of a librarian.
[02:38:30.177 --> 02:38:32.679]  Case in point, a minister.
[02:38:32.679 --> 02:38:38.344]  A minister would tell us that his function is that of preaching the word of God.
[02:38:38.344 --> 02:38:42.067]  And of course it follows that since the state has proven that there is no God,
[02:38:42.757 --> 02:38:46.480]  That would make the function of a minister somewhat academic as well.
[02:38:46.480 --> 02:38:51.523]  There is a God!
[02:38:51.523 --> 02:38:55.245]  You are in error, Mr. Wordsworth.
[02:38:55.245 --> 02:38:59.248]  There is no God!
[02:38:59.248 --> 02:39:02.690]  The state has proven that there is no God!
[02:39:02.690 --> 02:39:09.355]  You cannot erase God with an edict!
[02:39:09.355 --> 02:39:11.276]  You are obsolete, Mr. Wordsworth.
[02:39:11.824 --> 02:39:12.645]  A lie!
[02:39:12.645 --> 02:39:14.646]  No man is obsolete!
[02:39:14.646 --> 02:39:16.527]  You have no function, Mr. Wordsworth!
[02:39:16.527 --> 02:39:19.770]  You're an anachronism, like a ghost from another time!
[02:39:19.770 --> 02:39:25.194]  I am nothing more than a reminder to you that you cannot destroy truth by burning pages!
[02:39:25.194 --> 02:39:26.895]  You're a bug, Mr. Wordsworth!
[02:39:26.895 --> 02:39:28.416]  A crawling insect!
[02:39:28.416 --> 02:39:33.079]  An ugly, misformed little creature who has no purpose here, no meaning!
[02:39:33.079 --> 02:39:34.580]  I am a human being!
[02:39:34.580 --> 02:39:37.002]  You're a librarian, Mr. Wordsworth!
[02:39:37.737 --> 02:39:47.463]  You're a dealer in books and two-cent fines and pamphlets and closed stacks and the musty insides of a language factory that spews out meaningless words on an assembly line.
[02:39:47.463 --> 02:40:00.730]  Words, Mr. Wordsworth, that have no substance and no dimension, like air, like the wind, like a vacuum that you may believe has an existence by sprinkling index numbers on little cards.
[02:40:00.730 --> 02:40:01.871]  I don't care.
[02:40:01.871 --> 02:40:03.432]  I tell you, I don't care.
[02:40:03.432 --> 02:40:04.473]  I'm a human being.
[02:40:04.473 --> 02:40:04.953]  I exist.
[02:40:06.034 --> 02:40:07.583]  And if I speak one thought aloud...
[02:40:08.439 --> 02:40:09.979]  That thought lives!
[02:40:09.979 --> 02:40:12.220]  Even after I'm shoveled into my grave!
[02:40:12.220 --> 02:40:15.320]  Delusions, Mr. Wordsworth!
[02:40:15.320 --> 02:40:20.121]  Delusions that you inject into your veins with printer's ink!
[02:40:20.121 --> 02:40:22.882]  The narcotics that you call literature!
[02:40:22.882 --> 02:40:24.342]  The Bible!
[02:40:24.342 --> 02:40:25.502]  Poetry!
[02:40:25.502 --> 02:40:26.983]  Essays of all kind!
[02:40:26.983 --> 02:40:32.424]  All that it opiates to make you think you have a strength when you have no strength at all!
[02:40:32.424 --> 02:40:35.384]  You have nothing but spindly limbs and a dream!
[02:40:35.384 --> 02:40:37.805]  And the state has no use for your kind!
[02:40:44.170 --> 02:40:48.711]  You waste our time, Mr. Wordsworth, and you're not worth the waste.
[02:40:48.711 --> 02:40:50.151]  Instruct him.
[02:40:50.151 --> 02:40:53.452]  Romney Wordsworth, step back to await the finding of this board.
[02:40:53.452 --> 02:40:57.113]  Yes, sir.
[02:40:57.113 --> 02:41:01.933]  How do you find, ladies and gentlemen?
[02:41:01.933 --> 02:41:02.714]  Obsolete.
[02:41:02.714 --> 02:41:03.374]  Obsolete.
[02:41:03.374 --> 02:41:04.614]  Obsolete.
[02:41:04.614 --> 02:41:05.514]  Obsolete.
[02:41:05.514 --> 02:41:07.915]  I concur.
[02:41:07.915 --> 02:41:09.595]  Romney Wordsworth, step forward.
[02:41:12.918 --> 02:41:18.362]  The board finds you obsolete.
[02:41:18.362 --> 02:41:22.304]  Your rights are as follows, Mr. Wordsworth.
[02:41:22.304 --> 02:41:30.210]  You are to be liquidated within a period of 48 hours, but you have an option as to method and precise time.
[02:41:30.210 --> 02:41:33.512]  There are several prescribed methods, Mr. Wordsworth.
[02:41:33.512 --> 02:41:36.514]  Pills, gas, electrocution,
[02:41:38.078 --> 02:41:49.120]  And it can be done immediately or an hour from now or any specific time that you request.
[02:41:49.120 --> 02:41:51.701]  I'm a very rich man.
