[00:00:00.069 --> 00:00:00.429]  Five.
[01:07:58.316 --> 01:08:10.066]  But imagine, Luke Rodowski and a couple other guys from 9-11 Truth, the local 9-11 Truth squad out there, and there they are, WeAreChange.org, great folks.
[01:08:12.529 --> 01:08:16.993]  They're simply out there with a sign saying 9-11 is an inside job, as they've done hundreds of times.
[01:08:17.333 --> 01:08:24.238]  And we've had the Hercules team, the guys with the machine guns, the black uniforms, walk up and aim machine guns at them and say, need to get out of here!
[01:08:24.258 --> 01:08:25.859]  I mean, it just gets worse and worse.
[01:08:25.899 --> 01:08:27.361]  They just love to intimidate.
[01:08:27.561 --> 01:08:28.601]  You think it's your right!
[01:08:29.042 --> 01:08:39.450]  And see, the criminality's gotten so bad with government now, that they are right out in the open, right out in the open,
[01:08:40.434 --> 01:08:44.939]  Now, if you listen, first they say, that could be a bomb, you could be a terrorist, and by the end of it, they go, look!
[01:08:45.199 --> 01:08:46.361]  He's got a bomb!
[01:08:46.381 --> 01:08:47.702]  And this is a... you ought to go watch the video.
[01:08:48.082 --> 01:08:56.011]  Crowded street, crowded people, New York detectives yelling, he's got a bomb, and then saying, you just threatened me!
[01:08:56.451 --> 01:08:59.755]  And then the plainclothes cops show up and start following orders from them.
[01:09:01.605 --> 01:09:10.289]  I mean, can you imagine what would have happened if they would have turned the cameras off and they told him he was under arrest, they put him in handcuffs, then they grabbed his cell phone and held it up and went, look, a gun!
[01:09:10.549 --> 01:09:13.570]  But then by then on the video, it's their friends down the street videotaping.
[01:09:13.870 --> 01:09:14.531]  Luke's smart.
[01:09:14.551 --> 01:09:19.913]  He knows now that harassment's gotten so bad, he'll have a few cameras spaced out down the street to catch this on tape.
[01:09:20.273 --> 01:09:23.254]  You can watch like 20 minutes of it up on JonesReport.com right now.
[01:09:23.494 --> 01:09:24.715]  We're just going to play five of it.
[01:09:25.095 --> 01:09:26.496]  Listen carefully.
[01:09:27.016 --> 01:09:29.237]  Okay, now, I mean, these guys look like
[01:09:30.091 --> 01:09:31.392]  Something right out of the Sopranos.
[01:09:32.092 --> 01:09:33.033]  And I've been there.
[01:09:33.153 --> 01:09:34.133]  Similar stuff's happened to me.
[01:09:34.173 --> 01:09:35.454]  They haven't said, though, you've got a bomb.
[01:09:35.774 --> 01:09:37.855]  They've just said, OK, I'm going to arrest you.
[01:09:38.516 --> 01:09:39.876]  But you go, but I've got a First Amendment.
[01:09:40.116 --> 01:09:43.058]  That don't matter to me.
[01:09:43.718 --> 01:09:47.440]  And they start joking, going, somebody's going to jail.
[01:09:47.640 --> 01:09:49.541]  And it all starts when somebody walks up smoking a pipe.
[01:09:49.561 --> 01:09:50.302]  Looks like CIA.
[01:09:51.269 --> 01:09:55.710]  And he goes, he starts arguing with him about how Building 7 burned for three days, which it didn't burn for a few hours.
[01:09:56.210 --> 01:09:58.890]  And then he says, you're not allowed to have that, you're not allowed to be demonstrating.
[01:09:58.910 --> 01:10:01.411]  I mean, we're not demonstrators, we're engaging in the First Amendment.
[01:10:02.011 --> 01:10:13.353]  And then the plainclothes come, then the police come, and then Luke said some other cops showed up and got mad, and we're griping out the detectives, like, hey, you can't claim people have bombs that don't.
[01:10:13.893 --> 01:10:19.034]  And in the article we've written, we have links to the federal and state law about reporting fake bomb threats.
[01:10:19.694 --> 01:10:19.934]  Okay?
[01:10:20.882 --> 01:10:22.803]  Meanwhile, I have the Associated Press today.
[01:10:23.123 --> 01:10:27.885]  Four students arrested for heckling FBI Director as he came into Harvard University.
[01:10:28.345 --> 01:10:30.166]  In the past, they would just remove them.
[01:10:30.206 --> 01:10:32.027]  See, now they've been arrested and charged.
[01:10:32.427 --> 01:10:37.989]  See, everything is about destroying freedom because the government's got some very bad things they're going to do to you very soon.
[01:10:38.309 --> 01:10:40.070]  They made the decision to dump the dollar.
[01:10:40.490 --> 01:10:41.491]  I know you don't know what that means.
[01:10:41.511 --> 01:10:42.451]  You'll find out soon enough.
[01:10:42.991 --> 01:10:44.152]  I'm not trying to be condescending.
[01:10:44.192 --> 01:10:47.153]  I just know the general audience has been totally brain-dead and brainwashed.
[01:10:47.493 --> 01:10:50.855]  Alright, here is New York City and Pure Mafia, USA.
[01:10:50.875 --> 01:10:53.837]  Now let's go ahead and roll that tape.
[01:10:54.578 --> 01:10:56.159]  Here it is, ladies and gentlemen.
[01:10:56.179 --> 01:10:58.280]  9-11 Truth, out on the streets of New York.
[01:10:58.961 --> 01:11:01.722]  And to stop their free speech, they sent for Larry Silverstein.
[01:11:01.983 --> 01:11:03.103]  Larry doesn't like it!
[01:11:03.123 --> 01:11:07.906]  The owner of Building 7 and the whole complex, who said that he blew up Building 7, on tape.
[01:11:08.467 --> 01:11:11.309]  Larry doesn't like them protesting on the public sidewalk doing this.
[01:11:11.329 --> 01:11:11.629]  Here it is.
[01:11:15.555 --> 01:11:16.536]  Why would you be calling the cops?
[01:11:16.556 --> 01:11:17.617]  You're not doing anything illegal.
[01:11:18.057 --> 01:11:21.501]  This is a public sidewalk, a public New York City street.
[01:11:21.721 --> 01:11:24.683]  Now this is Port Authority property, and the building is Port Authority property.
[01:11:25.064 --> 01:11:27.266]  We're not protesters.
[01:11:27.406 --> 01:11:29.788]  You found the video already?
[01:11:29.868 --> 01:11:30.168]  Good.
[01:11:30.188 --> 01:11:31.349]  What you got?
[01:11:31.550 --> 01:11:32.551]  Let me smile.
[01:11:32.611 --> 01:11:33.551]  Let me get locked up.
[01:11:42.759 --> 01:11:44.380]  Sir, this is New York City Street.
[01:11:44.501 --> 01:11:45.822]  This is Port Authority, even.
[01:11:45.902 --> 01:11:47.383]  It wasn't burning for three days.
[01:11:47.403 --> 01:11:48.804]  Sir, just one second.
[01:12:09.747 --> 01:12:11.568]  See, Larry don't want to hear that.
[01:12:11.588 --> 01:12:12.549]  I know Larry, but who's Larry?
[01:12:12.589 --> 01:12:13.670]  Larry's not above the law.
[01:12:13.930 --> 01:12:14.490]  We're citizens.
[01:12:14.510 --> 01:12:14.911]  We're Americans.
[01:12:15.011 --> 01:12:16.131]  And you can't record this.
[01:12:16.232 --> 01:12:17.152]  You have to have the law.
[01:12:17.172 --> 01:12:18.493]  You can't be recording this.
[01:12:18.513 --> 01:12:18.853]  Turn that off.
[01:12:18.873 --> 01:12:20.014]  It's a public sidewalk, though.
[01:12:20.875 --> 01:12:23.917]  Can I ask you why you're shaking my picture?
[01:12:23.997 --> 01:12:25.418]  I have every right to.
[01:12:25.438 --> 01:12:26.779]  You're on a public sidewalk.
[01:12:26.899 --> 01:12:29.341]  I'm a citizen.
[01:12:29.421 --> 01:12:29.921]  Hey, buddy.
[01:12:30.041 --> 01:12:32.483]  We were out here before, so I don't mean no disrespect.
[01:12:32.543 --> 01:12:34.064]  Can you take your camera out of my face?
[01:12:34.104 --> 01:12:35.625]  Because you're disrespecting me by doing that.
[01:12:36.423 --> 01:12:38.904]  Sir, I'm not doing anything illegal.
[01:12:38.944 --> 01:12:43.306]  No, I'm asking you politely, can you take that camera out of my face?
[01:12:43.346 --> 01:12:44.626]  You're disrespecting me!
[01:12:44.666 --> 01:12:45.647]  That's all, right?
[01:12:45.667 --> 01:12:47.367]  It's not, right?
[01:12:47.407 --> 01:12:49.568]  Come on, you gotta shut that off.
[01:12:49.588 --> 01:12:52.429]  We have every right to, though.
[01:12:52.469 --> 01:12:56.271]  We're not doing anything illegal, we have every right to.
[01:12:56.311 --> 01:12:57.291]  Shut that off!
[01:12:57.331 --> 01:12:58.812]  That's what I was saying.
[01:13:08.563 --> 01:13:11.204]  When Ricky comes, I think he's got a bomb in his bag.
[01:13:11.284 --> 01:13:12.064]  Exactly.
[01:13:12.505 --> 01:13:15.106]  I saw wires coming out of there.
[01:13:15.146 --> 01:13:20.207]  I think he's got a bomb in his bag.
[01:13:20.247 --> 01:13:21.248]  Terrorism?
[01:13:21.288 --> 01:13:23.889]  We're not terrorists.
[01:13:23.929 --> 01:13:25.249]  We're Americans.
[01:13:25.369 --> 01:13:26.070]  You're right.
[01:13:26.090 --> 01:13:29.551]  By the time the government figures it out, you'll be in a hole for 30 days.
[01:13:29.611 --> 01:13:32.332]  There's no record of what he's saying.
[01:13:32.492 --> 01:13:33.593]  No record of what I'm saying?
[01:13:35.399 --> 01:13:36.080]  I know.
[01:13:36.200 --> 01:13:36.460]  Yes.
[01:13:37.081 --> 01:13:38.703]  We do have a job.
[01:13:39.083 --> 01:13:40.785]  I do have a job, sir.
[01:13:40.805 --> 01:13:42.787]  Don't record us.
[01:13:43.167 --> 01:13:44.148]  Don't record us.
[01:13:44.168 --> 01:13:45.950]  Power go to you guys.
[01:13:58.080 --> 01:13:59.121]  Is that camera on, sir?
[01:13:59.641 --> 01:14:01.203]  Is that camera on?
[01:14:01.403 --> 01:14:02.223]  Is it on?
[01:14:02.243 --> 01:14:03.304]  Let it off.
[01:14:03.464 --> 01:14:09.269]  I mean, this is a public sidewalk, a public street.
[01:14:09.289 --> 01:14:10.390]  This is a public street.
[01:14:10.430 --> 01:14:11.511]  That's a public street.
[01:14:11.531 --> 01:14:14.013]  This is also a public street.
[01:14:18.220 --> 01:14:19.481]  I'm on a public street.
[01:14:19.501 --> 01:14:20.761]  Am I allowed to film here?
[01:14:20.841 --> 01:14:21.141]  Huh?
[01:14:21.201 --> 01:14:22.802]  Am I allowed to film on a public street?
[01:14:22.822 --> 01:14:24.082]  Put the camera down.
[01:14:24.242 --> 01:14:24.462]  Huh?
[01:14:24.643 --> 01:14:25.843]  Put the camera down.
[01:14:25.863 --> 01:14:27.043]  Am I allowed to film this?
[01:14:27.063 --> 01:14:28.264]  Put the camera down.
[01:14:28.324 --> 01:14:30.045]  Put the camera down.
[01:14:30.125 --> 01:14:31.005]  Put the camera down.
[01:14:31.045 --> 01:14:33.326]  Well, sir, I'm not breaking any laws, sir.
[01:14:33.346 --> 01:14:34.426]  Am I allowed to be here?
[01:14:34.446 --> 01:14:35.507]  You're still reporting me.
[01:14:35.547 --> 01:14:36.087]  Come on, man.
[01:14:36.127 --> 01:14:37.788]  You have every right to, sir.
[01:14:37.848 --> 01:14:40.909]  I'm sorry, but constitutionally, legally, you have every right to.
[01:14:41.937 --> 01:14:42.637]  I know my rights.
[01:14:42.717 --> 01:14:44.678]  I've been working at the ASLU before.
[01:14:45.119 --> 01:14:46.439]  And I have every right to.
[01:14:46.479 --> 01:14:49.161]  Guess who's going to jail?
[01:14:49.301 --> 01:14:50.721]  Guess who's going to jail?
[01:14:51.102 --> 01:14:52.462]  Alright.
[01:14:52.522 --> 01:14:52.883]  Hit pause.
[01:14:52.923 --> 01:14:56.084]  We're going to back that up a little bit.
[01:15:04.326 --> 01:15:05.766]  Guess who's going to jail?
[01:15:05.927 --> 01:15:07.487]  Look, he's got a bum!
[01:15:07.507 --> 01:15:08.827]  He starts calling the police.
[01:15:09.067 --> 01:15:10.708]  Look, we've got a bum here!
[01:15:10.728 --> 01:15:12.749]  And Luke's being so nice.
[01:15:12.789 --> 01:15:13.809]  Hey, I don't mean any disrespect.
[01:15:14.009 --> 01:15:15.249]  You're disrespecting me!
[01:15:15.469 --> 01:15:16.130]  I told you!
[01:15:16.150 --> 01:15:17.170]  Turn it off!
[01:15:17.450 --> 01:15:22.672]  And when you're done doing that, get over to my house and mow my lawn, you scum citizen!
[01:15:22.832 --> 01:15:24.272]  You work for us now!
[01:15:24.552 --> 01:15:26.413]  I've got the anti-terror laws!
[01:15:26.973 --> 01:15:29.234]  We're gonna run all of you into the ground!
[01:15:29.514 --> 01:15:32.255]  It's so much fun to kill America!
[01:15:32.575 --> 01:15:33.375]  Oh, yeah!
[01:15:34.517 --> 01:15:37.083]  The Founding Fathers, I saw one blogger say.
[01:15:37.103 --> 01:15:39.328]  I'll tell you about it when we get back.
[01:15:53.076 --> 01:15:56.618]  Do you know where the 78 potentially active volcanoes in the U.S.
[01:15:56.678 --> 01:15:57.178]  are located?
[01:15:57.378 --> 01:16:00.781]  And do you know the locations of the top 300 prime terrorist targets?
[01:16:01.001 --> 01:16:05.684]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[01:16:05.984 --> 01:16:10.987]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[01:16:11.247 --> 01:16:17.272]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[01:16:17.553 --> 01:16:31.965]  Complete with three gigabytes of detailed information on each of 3,000-plus counties in the U.S., including 550 high-resolution full-color maps and full-color photographs, as well as detailed information and analysis to help you zero in on the best places to live.
[01:16:32.205 --> 01:16:36.847]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[01:16:37.147 --> 01:16:42.550]  Get Prudent Places USA for only $49 plus shipping by calling New Millennium at 888-803-4438.
[01:16:42.650 --> 01:16:42.970]  That's 888-803-4438.
[01:16:43.030 --> 01:16:44.611]  To order on the web or at berkeywater.com.
[01:16:53.095 --> 01:16:55.737]  Is your child disrespectful, defiant, or obnoxious?
[01:16:56.057 --> 01:16:58.259]  Does everything turn into an argument with your kid?
[01:16:58.579 --> 01:17:00.301]  I'm behavioral therapist James Lehman.
[01:17:00.501 --> 01:17:04.644]  I'll help you turn your child's behavior around right now with the Total Transformation.
[01:17:05.165 --> 01:17:10.049]  After the Total Transformation, there's no more arguing, no more lecturing, no more back talking.
[01:17:10.429 --> 01:17:12.350]  Now when I ask him to do something, he does it.
[01:17:12.731 --> 01:17:17.835]  We've learned verbiage from the Total Transformation program, and it's almost like magic.
[01:17:18.175 --> 01:17:20.638]  If you say those words, they stop arguing.
[01:17:20.698 --> 01:17:25.965]  Defiance, backtalking, lying, acting out in school, even problems with ADD and ADHD.
[01:17:26.185 --> 01:17:29.689]  The Total Transformation will help you solve even the worst behavior problems.
[01:17:30.089 --> 01:17:34.555]  I guarantee your child will listen to you again and you'll get peace and sanity back in your home.
[01:17:34.975 --> 01:17:39.240]  Call now and get how to turn your child's attitude around in one minute or less free with your order!
[01:17:39.260 --> 01:17:39.701]  1-800-373-0402 1-800-373-0402 Call now!
[01:17:39.721 --> 01:17:39.861]  1-800-373-0402 1-800-373-0402
[01:17:53.510 --> 01:17:54.751]  This is Elizabeth Border.
[01:17:55.292 --> 01:17:55.972]  News alert!
[01:17:56.473 --> 01:18:00.717]  Twice a month you can now get the Divided Kingdom's brand new newsletter.
[01:18:01.117 --> 01:18:01.698]  Concise?
[01:18:01.998 --> 01:18:02.619]  Hard-hitting?
[01:18:02.959 --> 01:18:05.902]  The first issue discusses two vital questions.
[01:18:06.242 --> 01:18:07.464]  War in Iran?
[01:18:07.964 --> 01:18:09.626]  A coming One World Church?
[01:18:10.386 --> 01:18:15.672]  In the first issue is included a pungent discussion of NWO numerology.
[01:18:16.192 --> 01:18:23.640]  For a free sample copy of the Divided Kingdom dossier, write to Post Office Box 8, Bethlehem, Maryland, 21609.
[01:18:25.962 --> 01:18:32.209]  A yearly subscription is only $50 for a newsletter that comes not once, but twice every month.
[01:18:32.749 --> 01:18:38.314]  Get the spiritual support you need right now for your free sample copy to P.O.
[01:18:38.355 --> 01:18:41.698]  Box 8, Bethlehem, Maryland, 21609.
[01:18:42.138 --> 01:18:47.723]  Once again, for your free copy of the Divided Kingdom Dossier newsletter, write to P.O.
[01:18:47.763 --> 01:18:49.445]  Box 8, Bethlehem, Maryland, 21609.
[01:18:52.505 --> 01:18:59.010]  I love the new sandal styles, but before I discovered Non-X Nail Gel, I was too embarrassed about my toenails to wear them.
[01:18:59.230 --> 01:19:03.253]  If your nails look dark or discolored, now there's a solution besides hiding them.
[01:19:03.514 --> 01:19:05.655]  It's a patented nail gel called Non-X.
[01:19:06.036 --> 01:19:13.061]  All natural Non-X clears out the source of the problem, the dark or yellow material that builds up under nails called keratin debris.
[01:19:13.361 --> 01:19:15.963]  Non-X Nail Gel is absolutely amazing!
[01:19:16.243 --> 01:19:19.726]  My toenails now look clear and I'm not embarrassed to wear sandals anymore.
[01:19:20.006 --> 01:19:27.892]  Nonex Nail Gel removes yellowing keratin debris, is podiatrist recommended, and has been clinically shown to improve nail clarity.
[01:19:28.293 --> 01:19:29.794]  It's also money-back guaranteed.
[01:19:30.054 --> 01:19:44.666]  You'll find Nonex Gel, spelled N-O-N-Y-X, in the foot care section at Rite Aid, Walgreens, Long's, Brooks, Duane Reade, and independent pharmacies nationwide, or online at drugstore.com.
[01:19:45.146 --> 01:19:50.548]  Non-X nail gel for clearer nails and feet that look great in sandals.
[01:19:55.290 --> 01:19:57.931]  You're listening to GCN.
[01:19:57.971 --> 01:20:00.552]  The Genesis Communications Radio Network.
[01:20:01.052 --> 01:20:02.533]  Truth.
[01:20:04.614 --> 01:20:06.875]  Exposing corruption.
[01:20:07.455 --> 01:20:11.096]  Dismantling the false left-right paradigm.
[01:20:11.176 --> 01:20:12.637]  He's Alex Jones.
[01:20:13.880 --> 01:20:14.860]  I gotta say this, though.
[01:20:14.880 --> 01:20:20.322]  In places like Texas, you hear about cops getting prosecuted all the time for doing really petty things.
[01:20:21.583 --> 01:20:24.504]  But not in Chicago, not in New York, not in L.A.
[01:20:24.544 --> 01:20:25.744]  I mean, I read the news wires.
[01:20:26.384 --> 01:20:30.166]  Murder for hire, Boston, drug dealing, frame-ups.
[01:20:31.126 --> 01:20:33.227]  I mean, they are the mafia in those cities.
[01:20:33.547 --> 01:20:34.587]  And that's what tyranny's like.
[01:20:34.627 --> 01:20:36.868]  It's when criminals run things.
[01:20:37.188 --> 01:20:39.069]  That's the norm in human societies.
[01:20:39.787 --> 01:20:41.648]  And there's no doubt these guys are committing crimes.
[01:20:41.828 --> 01:20:44.049]  I mean, they start saying, he's got a bomb, he's got a bomb.
[01:20:44.569 --> 01:20:47.290]  And Luke says, you know, I don't have a bomb, and you know that's not true.
[01:20:47.310 --> 01:20:50.911]  And he goes, yeah, I know that's... I have the exact quote, let me find it.
[01:20:52.451 --> 01:20:57.613]  Yeah, that's true, but by the time the government finds out, you'll be in the hole 30 days.
[01:20:58.974 --> 01:21:01.775]  And let's cut back to this whole exchange.
[01:21:01.795 --> 01:21:03.855]  There's like 15 minutes more of it, but I'm not going to air it all.
[01:21:04.095 --> 01:21:05.536]  Here's the last minute and a half of it.
[01:21:06.491 --> 01:21:12.639]  Where police in modern America now, ladies and gentlemen, on camera say they're going to frame you.
[01:21:13.179 --> 01:21:20.889]  And they did go ahead and arrest him, but then some cooler head police showed up after an hour and higher-ups and said release him because they're
[01:21:21.571 --> 01:21:26.296]  I know you boys are having a little bit of fun, but we'll have to get him later.
[01:21:27.057 --> 01:21:28.118]  Let's go ahead and go to the tape.
[01:21:28.678 --> 01:21:30.260]  Guess who's going to jail?
[01:21:30.360 --> 01:21:31.701]  Guess who's going to jail?
[01:21:40.334 --> 01:21:41.695]  I think.
[01:21:41.755 --> 01:21:45.878]  How are you going to say that, sir?
[01:21:45.918 --> 01:21:46.559]  That's a slander.
[01:21:46.579 --> 01:21:48.080]  I saw wires coming out of it.
[01:21:48.200 --> 01:21:49.821]  I don't know what you have in there.
[01:21:50.401 --> 01:21:50.822]  I don't know.
[01:21:50.842 --> 01:21:53.023]  You look like a terrorist may look like.
[01:21:53.083 --> 01:21:54.344]  I don't know what a terrorist looks like.
[01:21:54.364 --> 01:21:55.905]  Sir, that's very disrespectful.
[01:21:55.925 --> 01:21:57.146]  I don't know what a terrorist looks like.
[01:21:57.186 --> 01:21:58.727]  You may look like a terrorist for all I know.
[01:21:58.747 --> 01:21:59.608]  How are you going to say that?
[01:21:59.768 --> 01:22:00.829]  We're not doing anything to you.
[01:22:00.849 --> 01:22:02.750]  You've got wires coming out of the backpack.
[01:22:02.950 --> 01:22:03.791]  I'm not a terrorist, sir.
[01:22:03.811 --> 01:22:05.812]  You've made threats, so now I'm concerned.
[01:22:05.992 --> 01:22:06.973]  Nobody made a threat.
[01:22:08.374 --> 01:22:09.315]  Never made a threat, sir.
[01:22:09.335 --> 01:22:11.558]  What you're doing right now is slanderous.
[01:22:12.079 --> 01:22:12.739]  And it's libel.
[01:22:12.759 --> 01:22:13.681]  Let the judge decide that.
[01:22:13.701 --> 01:22:14.662]  You have no right to do that.
[01:22:16.384 --> 01:22:20.929]  Can we talk to the guys, or?
[01:22:20.949 --> 01:22:24.774]  About what we're doing, or?
[01:22:24.874 --> 01:22:25.154]  Alright.
[01:22:25.675 --> 01:22:26.236]  Just let us know.
[01:22:26.920 --> 01:22:27.800]  How you doing, sir?
[01:22:27.820 --> 01:22:28.480]  How are you doing?
[01:22:28.560 --> 01:22:29.120]  How's everything?
[01:22:29.140 --> 01:22:30.521]  Finally get to talk to you again.
[01:22:30.601 --> 01:22:32.621]  Okay, I had to find that through my homework.
[01:22:32.801 --> 01:22:46.524]  Okay, just to make you understand, we were out here about a month ago, and the Port Authority police officer came, we have it on record, we have it on camera also, and he said that this is private property, and that is private property, but as far as going to this goes, this is Redmond Street, and this is New York City property.
[01:22:46.584 --> 01:22:47.605]  It's considered a courtyard.
[01:22:47.645 --> 01:22:49.405]  New York City public property.
[01:22:49.465 --> 01:22:53.606]  And therefore we could be here, and a month ago... Except over there, that's actually his property.
[01:22:53.906 --> 01:22:55.286]  That street over there.
[01:22:55.307 --> 01:22:56.907]  That street's public.
[01:22:56.927 --> 01:23:11.351]  About a month ago, we were out here and the police officers... Alright, it goes on and on, and then suddenly those police, and this is caught on video from across the street, you can see it on tape, grab the video camera, grab his cell phone, and go, look, a gun!
[01:23:11.991 --> 01:23:13.052]  Look, we got it!
[01:23:13.312 --> 01:23:16.673]  And they start holding up the... I mean, talk about goons.
[01:23:18.306 --> 01:23:18.946]  Talk about good.
[01:23:18.986 --> 01:23:26.009]  It's all about catching the public, getting the public in the system, in the big prisons, predominantly owned by large banks that launder the drug money.
[01:23:26.209 --> 01:23:26.710]  Let me explain it.
[01:23:26.990 --> 01:23:33.333]  The drug dealing mafia owns the government and owns the prisons that they put drug users in.
[01:23:34.193 --> 01:23:37.154]  So they make money shipping it in and they make money shipping it out.
[01:23:37.474 --> 01:23:39.335]  Guess who's going to jail?
[01:23:39.355 --> 01:23:40.716]  Guess who's going to jail?
[01:23:44.479 --> 01:23:46.200]  I mean, folks, you cannot make this up.
[01:23:46.440 --> 01:23:47.201]  And there's more of it.
[01:23:47.281 --> 01:23:51.164]  Dancing around, going, he's got a bomb, I know he does!
[01:23:51.644 --> 01:23:52.885]  I mean, imagine!
[01:23:53.025 --> 01:23:54.866]  Let me tell you Luke's story.
[01:23:56.548 --> 01:23:58.789]  Luke's parents were anti-communist in Poland.
[01:23:59.650 --> 01:24:02.752]  And, you know, he had family that got arrested and disappeared and all that stuff.
[01:24:02.772 --> 01:24:03.833]  And he was like a little kid.
[01:24:03.913 --> 01:24:04.233]  He's only 20.
[01:24:04.293 --> 01:24:05.234]  He got involved when he was 19.
[01:24:05.274 --> 01:24:05.594]  He's 21 now.
[01:24:07.888 --> 01:24:16.651]  And Luke saw my film Police State 2000, and then he saw things like that in New York, and he was going to school, a good student, never been in trouble, and the cops beat him up in New York.
[01:24:17.112 --> 01:24:25.915]  Then he went online to find out about the police state when he was like 18, and he found me, and he found the material we put out, and now he's a 9-11 truther, and he's having a great effect.
[01:24:26.435 --> 01:24:34.718]  But imagine his family coming from Poland, coming from serious, hardcore Soviet tyranny, and they're seeing the exact same thing here now.
[01:24:35.638 --> 01:24:36.059]  But I mean,
[01:24:37.617 --> 01:24:40.299]  The Polish Secret Police, I don't know if they danced around and giggled about it.
[01:24:40.379 --> 01:24:43.402]  I mean, that was the scary thing about the Nazis and the Soviets.
[01:24:43.422 --> 01:24:44.542]  They were kind of cold-blooded about it.
[01:24:44.582 --> 01:24:47.044]  This is just like... It's like a cartoon.
[01:24:47.885 --> 01:24:53.970]  But, like I said, they'll just stop having, um... We'll just stop even having precincts.
[01:24:53.990 --> 01:24:55.371]  You know, I'm with the 127.
[01:24:55.991 --> 01:24:57.232]  No, my family's the 249.
[01:24:57.272 --> 01:25:00.715]  Come on over to the family.
[01:25:01.555 --> 01:25:03.457]  Don't you disrespecting my family?
[01:25:03.477 --> 01:25:07.340]  And... It's just so scary.
[01:25:08.334 --> 01:25:11.875]  To see them openly trying to frame somebody on the streets of New York.
[01:25:13.395 --> 01:25:19.517]  And they just kept saying, turn the camera off, turn it off, and things will go a lot better as soon as you turn it off.
[01:25:20.537 --> 01:25:23.658]  And as soon as they did turn it off, they grabbed it away from them.
[01:25:24.358 --> 01:25:28.679]  And then, I mean imagine, people are hearing the cops say there's a bomb three times.
[01:25:30.140 --> 01:25:32.041]  Could have caused other police to run up and pull their guns.
[01:25:32.081 --> 01:25:33.122]  Could have caused people to panic.
[01:25:33.142 --> 01:25:33.862]  Could have caused anything.
[01:25:34.162 --> 01:25:37.283]  But see, again, it's going to be selectively enforced and nothing's going to happen to them.
[01:25:37.624 --> 01:25:38.404]  And don't worry, folks.
[01:25:38.464 --> 01:25:39.745]  It's just going to get worse and worse.
[01:25:39.785 --> 01:25:40.765]  Go ahead and accept it.
[01:25:40.785 --> 01:25:41.866]  Go ahead and go along with it.
[01:25:42.186 --> 01:25:43.466]  Go ahead and accept it, America.
[01:25:43.707 --> 01:25:45.227]  Police, I want you to go along with it.
[01:25:45.928 --> 01:25:53.271]  Because the same New World Order is going to take your pension funds when your kid's 18 months old and you give them the third round of shots full of mercury and they're having a seizure in the car.
[01:25:53.811 --> 01:25:55.452]  You know, you didn't listen to us.
[01:25:56.132 --> 01:25:59.314]  You didn't listen to us on the New World Order or the North American Union or any of it.
[01:26:00.060 --> 01:26:06.284]  And so you go ahead and believe the system, drink your aspartame, drink your aluminum, you know, lined cans, drink stuff out of that.
[01:26:07.565 --> 01:26:11.268]  Just believe the government and do everything they say and don't believe me.
[01:26:11.368 --> 01:26:11.628]  Okay?
[01:26:11.928 --> 01:26:12.769]  Let's make it easy.
[01:26:13.750 --> 01:26:15.971]  Just, just, just, just don't agree with us.
[01:26:16.472 --> 01:26:17.132]  We're bad.
[01:26:17.292 --> 01:26:18.233]  We're un-American.
[01:26:19.060 --> 01:26:44.634]  And having secret police is good, and having 20 plus billion in fake news be purchased secretly, and tens of thousands of reporters on the government payroll secretly is good, and FEMA camps being built openly is good, and Dying Corp and Halliburton openly in the newspaper running child kidnapping rings is good, and it's all good and I'm bad, and the honeybees all dying is good, and genetic engineered foods filled with amino acids and toxins we can't absorb is good, and everything is just good.
[01:26:44.694 --> 01:26:44.914]  Okay?
[01:26:45.857 --> 01:26:46.258]  Okay, good.
[01:26:46.518 --> 01:26:47.499]  I'm glad it's all good now.
[01:26:47.979 --> 01:26:50.342]  And you can just, you know, I'm a crazy man, I'm a liar.
[01:26:50.602 --> 01:26:53.145]  Cops framing people is good on videotape.
[01:26:53.325 --> 01:26:56.308]  See, they've always done it in secret, but now it's just right out in the open.
[01:26:56.488 --> 01:26:58.190]  Because Jack Bauer does it, it must be okay.
[01:26:58.750 --> 01:27:00.112]  Again, a Pentagon-produced program.
[01:27:00.853 --> 01:27:02.374]  Let's go ahead and take a call.
[01:27:02.394 --> 01:27:03.976]  We have people holding for eons.
[01:27:04.436 --> 01:27:04.817]  Ross?
[01:27:05.624 --> 01:27:07.085]  In California.
[01:27:07.225 --> 01:27:08.106]  You're on the air.
[01:27:08.146 --> 01:27:08.547]  Go ahead.
[01:27:08.807 --> 01:27:09.808]  Hello, Alex!
[01:27:09.888 --> 01:27:10.648]  Hello, go ahead.
[01:27:11.169 --> 01:27:13.430]  Hey, this is Ross Marshall.
[01:27:14.331 --> 01:27:16.093]  Run weirdvideos.com.
[01:27:16.353 --> 01:27:17.674]  I was in contact with you.
[01:27:17.714 --> 01:27:18.595]  I don't know.
[01:27:18.995 --> 01:27:22.478]  You know, you've been holding forever, sir, and then I just lost your call.
[01:27:23.278 --> 01:27:23.739]  It dropped.
