[00:00:00.049 --> 00:00:00.449]  The 8.
[02:09:41.767 --> 02:09:44.368]  I don't care if they kill me when I walk out my front door.
[02:09:44.468 --> 02:09:45.109]  I don't care.
[02:09:45.389 --> 02:09:47.230]  I've heard you say that before, but you know.
[02:09:47.270 --> 02:09:47.690]  I really don't.
[02:09:47.750 --> 02:09:48.370]  You'd be missed.
[02:09:48.770 --> 02:09:49.831]  You'd be missed by a lot of them.
[02:09:49.851 --> 02:09:54.293]  Man, I'll walk into a studio with nobody here at night, just walk right into dark rooms, I don't even care.
[02:09:54.373 --> 02:09:56.714]  I wish I could get over there, it's just a little too distant for me.
[02:09:56.834 --> 02:09:57.974]  I know, I'm just, I don't care.
[02:09:58.214 --> 02:09:59.475]  I've got power over them.
[02:09:59.995 --> 02:10:03.617]  They can strap me down and cut my arms and legs off and I'm sure I'll scream in pain.
[02:10:03.817 --> 02:10:05.257]  They can knock my teeth out.
[02:10:05.738 --> 02:10:06.158]  Good!
[02:10:06.838 --> 02:10:11.300]  Because I'm a free human being and I love decency and honor and I'm not afraid of them.
[02:10:12.881 --> 02:10:15.742]  Last night on TV I saw something that I wanted to pass on.
[02:10:17.323 --> 02:10:22.425]  Walter Cronkite, the grand old man of the media,
[02:10:23.024 --> 02:10:25.685]  was interviewed by Larry King at the same time.
[02:10:25.925 --> 02:10:29.727]  A member of the Christian organization Bohemian Grove.
[02:10:29.987 --> 02:10:34.409]  His daughter was on local radio just a few months ago and I called into the show.
[02:10:34.429 --> 02:10:35.210]  It was on my station.
[02:10:35.250 --> 02:10:36.230]  I'm on until 6 a.m.
[02:10:36.250 --> 02:10:37.691]  and I said... Yeah, she lives down there, right?
[02:10:37.911 --> 02:10:38.711]  Yeah, she lives down here.
[02:10:38.811 --> 02:10:41.993]  And I said to her, I said, your dad likes the rituals there at the Grove.
[02:10:42.013 --> 02:10:42.833]  She goes, oh yes, mm-hmm.
[02:10:43.193 --> 02:10:47.235]  Well, at the same time, Bill Moyer was interviewing
[02:10:48.221 --> 02:10:49.762]  Uh, Henry Kissinger.
[02:10:50.383 --> 02:10:57.408]  And boy, oh boy, I was shocked to hear, like, Walter Cronkite really questioning the Patriot Act and, uh, you know, the Victory Act.
[02:10:57.528 --> 02:11:02.312]  And, uh, also criticizing Bush's deployment of the forces over there in Iraq.
[02:11:02.352 --> 02:11:03.633]  I mean, it was really surprising.
[02:11:03.693 --> 02:11:07.456]  All the while, Henry Kissinger was just saying, we must have this, no, blah, blah, blah.
[02:11:07.996 --> 02:11:13.340]  Wow, you know, I wish people had seen it and really, you know, were able to go between both at the same time.
[02:11:14.261 --> 02:11:14.621]  And, uh,
[02:11:15.140 --> 02:11:16.962]  That was most enlightening to see.
[02:11:17.002 --> 02:11:22.848]  But you know, while I've been on hold, I just want to comment on a couple of things that other callers mentioned.
[02:11:23.368 --> 02:11:32.938]  In regards to the tears that Bush shed yesterday, I didn't see that, but didn't Quinn... Well, he sat there and tried to... He goes, I cried, and he just kept trying to squeeze a tear out.
[02:11:33.138 --> 02:11:34.300]  You know, they practiced it.
[02:11:34.340 --> 02:11:38.124]  They teach them how to do that to remember a puppy that died, or mommy, or...
[02:11:38.664 --> 02:11:40.986]  Didn't Bill Clinton do the same a couple times?
[02:11:41.006 --> 02:11:43.027]  To get the theatrical emotions in the audience?
[02:12:07.668 --> 02:12:13.394]  And something else about the mystical land of Oswin, I hope that caller is still on the programming app out there.
[02:12:31.940 --> 02:12:33.080]  In the Golden State.
[02:12:33.360 --> 02:12:46.043]  But I saw something a week or so ago, it was either on the History Channel or maybe it was involved over this past weekend, an interview on Book 2, on C-SPAN 2, Book 2, whatever it's called.
[02:12:47.643 --> 02:12:55.804]  Talking about, I think it was Winford Scott or Zachary Taylor, I don't recall, who laid siege to Mexico City in the war against Mexico.
[02:12:56.484 --> 02:12:59.845]  After we conquered that territory, Congress
[02:13:00.589 --> 02:13:02.510]  Well, they were never there to begin with.
[02:13:02.690 --> 02:13:03.870]  We'll be right back.
[02:13:16.795 --> 02:13:21.799]  Late summer 2003, mainstream press tells us we're having a stock market recovery.
[02:13:22.199 --> 02:13:24.941]  Late summer 2002, I heard the same thing.
[02:13:25.402 --> 02:13:28.264]  Late summer 2001, you heard the same thing.
[02:13:28.644 --> 02:13:35.790]  The Dow Jones Industrial Average, currently trading in a 93 to 9400 range, is down 7% from two years ago.
[02:13:36.290 --> 02:13:37.191]  That's recovery?
[02:13:37.811 --> 02:13:43.015]  Gold, now trading in the $360 range, is up 31% in that same period.
[02:13:43.416 --> 02:13:44.957]  Where do you want your hard-earned money?
[02:13:45.635 --> 02:13:48.396]  Hi folks, this is Jack Browner with Midas Resources.
[02:13:53.097 --> 02:13:54.657]  I love the sound of real money.
[02:13:55.077 --> 02:14:00.419]  Call your representative today at Midas Resources at 800-686-2237.
[02:14:00.859 --> 02:14:05.440]  Learn how to protect your assets with real wealth, not potentially worthless paper.
[02:14:05.800 --> 02:14:06.620]  Call now, 800-686-2237.
[02:14:06.680 --> 02:14:06.860]  That's 800-686-2237.
[02:14:15.894 --> 02:14:20.377]  Through the years of providing water filters to America, you've come to us and we've listened.
[02:14:20.738 --> 02:14:24.821]  You asked us to make the water level visible to eliminate the guesswork when refilling the water.
[02:14:25.121 --> 02:14:25.681]  We listened.
[02:14:25.981 --> 02:14:30.965]  You asked for an elevated base so the system could be used in places beside on the edge of a counter.
[02:14:31.245 --> 02:14:31.726]  We listened.
[02:14:32.126 --> 02:14:35.148]  You asked us to develop a filter that was made in the USA.
[02:14:35.568 --> 02:14:36.109]  We listened.
[02:14:36.589 --> 02:14:40.392]  You asked us to include an emergency light for camping and during power outages.
[02:14:40.452 --> 02:14:41.032]  I think so.
[02:15:06.471 --> 02:15:07.435]  That's toll-free, 888-803-4438.
[02:15:07.455 --> 02:15:09.101]  Not yet available in Iowa.
[02:15:14.312 --> 02:15:15.092]  Oh my God!
[02:15:15.353 --> 02:15:20.075]  I can't believe I got these drugs prescribed for free and shipped overnight to my door without seeing a doctor.
[02:15:20.355 --> 02:15:21.015]  Yes, it's true.
[02:15:21.115 --> 02:15:23.796]  For a limited time, our doctors are prescribing drugs for free.
[02:15:23.936 --> 02:15:27.978]  Our doctors are prescribing the most popular diet pills, muscle relaxers, sleeping pills, and Viagra.
[02:15:28.078 --> 02:15:28.638]  You heard it right.
[02:15:28.798 --> 02:15:33.841]  Free prescriptions over the phone for painkillers, migraine relief, anti-anxiety, allergy relief, and heartburn relief.
[02:15:33.961 --> 02:15:35.021]  The list goes on and on.
[02:15:35.241 --> 02:15:39.363]  Free prescriptions for hair loss, birth control, antidepressants, acne creams, and herpes medication.
[02:15:39.443 --> 02:15:41.544]  Did I mention free diet pills and Viagra prescriptions?
[02:15:41.544 --> 02:15:41.924]  I think?
[02:16:03.257 --> 02:16:06.419]  Ambien, Fioraset, Sama, Ultram, Viagra, and many more.
[02:16:06.639 --> 02:16:10.961]  Call 1-800-615-7094 now before it's too late.
[02:16:10.981 --> 02:16:14.043]  1-800-615-7094 for free prescriptions.
[02:16:15.904 --> 02:16:21.847]  Herbal Healer Academy is the global supplier of the finest natural medicine that you may need in these troubled times.
[02:16:22.067 --> 02:16:24.328]  We specialize in keeping you alive and healthy.
[02:16:24.528 --> 02:16:30.872]  We provide outstanding products like ECAC, colloidal silver 500 parts per million, olive leaf extract,
[02:16:31.212 --> 02:16:31.853]  We're good to go.
[02:16:51.428 --> 02:16:53.449]  And a current Herbal Healer newsletter free.
[02:16:53.829 --> 02:16:55.911]  Simply log on to HerbalHealer.com.
[02:16:56.071 --> 02:17:00.513]  Check out our online member testimonials and our hundreds of exceptional products.
[02:17:00.753 --> 02:17:03.815]  We have been working hard since 1988 to save the remnant.
[02:17:03.995 --> 02:17:09.859]  That's HerbalHealer.com, your website for safe, effective, natural alternatives in education.
[02:17:19.708 --> 02:17:21.608]  Waging war on corruption.
[02:17:22.088 --> 02:17:24.869]  Alex Jones on the GCM Radio Network.
[02:17:26.769 --> 02:17:32.670]  You're in a bad position because you can't get your mind around how evil the globalists are.
[02:17:34.451 --> 02:17:38.231]  Again, they're on the nightly news, they're in the sitcoms, the dramas, the new TV show.
[02:17:38.251 --> 02:17:39.911]  Threat Matrix is coming out.
[02:17:40.332 --> 02:17:41.852]  Torturing the daylight side of people.
[02:17:42.172 --> 02:17:44.072]  The good guys now torture people.
[02:17:45.092 --> 02:17:48.813]  So that's a mass mind-warping taking place systematically.
[02:17:50.071 --> 02:17:53.092]  And of course you can say to somebody, well Joseph Mengele tortured it was wrong.
[02:17:53.492 --> 02:17:54.632]  They go, well that was him.
[02:17:54.852 --> 02:17:56.072]  It's good when we do it.
[02:17:56.712 --> 02:17:58.553]  Oh, the North Vietnamese tortured our airmen.
[02:17:58.593 --> 02:18:01.213]  Well, that was bad, but it's good when we do it.
[02:18:01.253 --> 02:18:02.254]  They're on the news.
[02:18:02.314 --> 02:18:03.174]  You've seen them.
[02:18:03.234 --> 02:18:04.114]  You've heard them.
[02:18:05.614 --> 02:18:08.075]  I don't watch more than a couple hours of TV a month now.
[02:18:08.435 --> 02:18:10.695]  Every time I turn it on, it's how good torture is.
[02:18:11.335 --> 02:18:12.556]  I got stacks of videos.
[02:18:12.596 --> 02:18:18.397]  Listeners have sent me of newscasts and dramas and shows where how great the New World Order is, how good torture is.
[02:18:20.515 --> 02:18:21.716]  We're in a lot of trouble, folks.
[02:18:21.756 --> 02:18:23.156]  We've got to warp our minds.
[02:18:23.176 --> 02:18:24.517]  We think all this is acceptable.
[02:18:26.518 --> 02:18:32.581]  Let's go ahead and let's talk to... I guess James in Ohio is up next.
[02:18:32.601 --> 02:18:36.063]  We're talking about the lies of 9-1-1 and the sickening propaganda.
[02:18:36.083 --> 02:18:36.443]  Go ahead.
[02:18:36.463 --> 02:18:37.624]  Hey Alex, how are you?
[02:18:38.084 --> 02:18:38.364]  Good.
[02:18:38.584 --> 02:18:41.446]  James in Ohio, State Chairman of the Constitution Party.
[02:18:41.486 --> 02:18:43.187]  Hey, thanks for having Ron Paul on, by the way.
[02:18:44.167 --> 02:18:46.128]  Well, we've got to have leftists like that on.
[02:18:46.408 --> 02:18:46.688]  Yeah.
[02:18:46.969 --> 02:18:48.349]  Actually, hey, he'll be in Ohio tomorrow night.
[02:18:48.389 --> 02:18:49.370]  I'm looking forward to meeting him.
[02:18:49.978 --> 02:18:51.458]  I was being sarcastic again.
[02:18:51.578 --> 02:18:52.178]  I know, I know.
[02:18:52.198 --> 02:18:55.279]  I mean, he's pro-gun, pro-border, pro-sovereignty.
[02:18:55.879 --> 02:18:57.300]  He's a liberal.
[02:18:58.160 --> 02:19:00.520]  But, again, a neocon is a good thing.
[02:19:00.560 --> 02:19:02.661]  A trotskyite, a dirty trotskyite's good.
[02:19:03.721 --> 02:19:04.481]  I know, it's something else.
[02:19:04.541 --> 02:19:07.322]  Hey, why don't you respond to this article in Warnet Daily.
[02:19:07.342 --> 02:19:10.562]  A guy named Paul Sperry wrote a book called Crude Politics.
[02:19:10.582 --> 02:19:11.383]  Have you heard of this guy?
[02:19:11.863 --> 02:19:12.703]  Uh, no.
[02:19:13.763 --> 02:19:18.224]  Well, basically he's saying, yeah, Bush was after the... well, but he didn't have any foreknowledge
[02:19:19.028 --> 02:19:24.632]  The attacks he couldn't possibly have because Rumsfeld was in the Pentagon trying to embody his doubt as Laura Bush was in the Capitol.
[02:19:24.652 --> 02:19:26.493]  I don't think you could respond to that.
[02:19:27.874 --> 02:19:29.075]  How would I respond to that?
[02:19:29.095 --> 02:19:29.436]  Yeah.
[02:19:30.616 --> 02:19:32.057]  Well, I mean, give me a break.
[02:19:32.758 --> 02:19:37.581]  The supposed whatever hit the Pentagon hit right in the area where they're doing repairs on it.
[02:19:39.343 --> 02:19:43.766]  And, you know, Rumsfeld's the big hero and Laura's at the Capitol.
[02:19:43.826 --> 02:19:45.027]  I mean, it's all state.
[02:19:45.962 --> 02:19:52.847]  They were running a drill that morning of flying hijacked jets into downtown New York and D.C.
[02:19:53.687 --> 02:19:55.088]  And that's why NORAD stood down.
[02:19:55.408 --> 02:19:59.131]  Just so happened to be running a drill that day.
[02:19:59.931 --> 02:20:02.353]  Did you understand they were never actually in real danger?
[02:20:03.394 --> 02:20:04.394]  Of course they weren't!
[02:20:05.315 --> 02:20:07.756]  Look, I mean, you asked for the evidence of 9-1-1.
[02:20:07.796 --> 02:20:12.199]  I've had to make two films, write a book, and publish a book to just cover some of it.
[02:20:12.219 --> 02:20:13.060]  But you know what I'm going to do?
[02:20:14.164 --> 02:20:15.264]  I'm going to go to one more caller.
[02:20:15.284 --> 02:20:19.406]  I'm going to come back and I'm going to go over one of the timelines of September 11th and let you decide for yourself.
[02:20:19.526 --> 02:20:19.766]  Okay?
[02:20:20.026 --> 02:20:20.226]  Great.
[02:20:20.547 --> 02:20:21.067]  Thanks for the call.
[02:20:21.087 --> 02:20:21.427]  Thank you.
[02:20:21.747 --> 02:20:22.767]  I've got to move quick here.
[02:20:22.847 --> 02:20:23.808]  Rusty in New York.
[02:20:24.188 --> 02:20:24.868]  Rusty, go ahead.
[02:20:25.188 --> 02:20:25.648]  Or Rudy.
[02:20:27.849 --> 02:20:28.890]  Okay, Mike in Illinois.
[02:20:28.910 --> 02:20:29.470]  You're up next.
[02:20:29.490 --> 02:20:29.970]  Go ahead.
[02:20:30.470 --> 02:20:40.274]  Yeah, Alex, I just wanted to say tonight on CBS News on the Nightline, or not Nightline, but Nightly World News on CBS, they're going to have a thing about Homeland Security.
[02:20:40.314 --> 02:20:42.055]  They showed coming clips about the
[02:20:42.915 --> 02:20:47.738]  You know, Hispanics crossing the borders and it says, are we vulnerable to terrorists crossing through our nation's borders?
[02:20:47.758 --> 02:20:50.559]  So everything is getting blown out and being wide open now, Alex.
[02:20:52.600 --> 02:20:57.843]  Well, yeah, they just took 5,000 more off the border and said they're going to be the new air marshals.
[02:20:57.863 --> 02:21:01.045]  I mean, we have less border patrol than we did on 9-1-1.
[02:21:01.405 --> 02:21:02.606]  It's a sick joke.
[02:21:02.666 --> 02:21:03.246]  Thanks for the call.
[02:21:03.286 --> 02:21:05.327]  You know what?
[02:21:05.347 --> 02:21:10.030]  I'm not taking any more calls because I want to... I already went over PNAC documents.
[02:21:11.556 --> 02:21:12.497]  But we need to go over this.
[02:21:12.537 --> 02:21:14.658]  There's a lot of different timelines in 9-1-1.
[02:21:16.679 --> 02:21:19.620]  And there's a lot of different facets to it.
[02:21:19.881 --> 02:21:21.942]  And I've got one of the shorter ones here.
[02:21:21.982 --> 02:21:25.264]  It's only about 15 pages long.
[02:21:26.204 --> 02:21:29.786]  And I don't know if it's possible to try to actually read all of this on air.
[02:21:32.147 --> 02:21:34.629]  But it is important.
[02:21:35.749 --> 02:21:38.331]  So I'm going to try to go over this when we get back.
[02:21:41.496 --> 02:21:53.452]  We'll talk about the French Daily Le Figaro reporting that in Dubai Hospital receiving treatment for chronic kidney infection last July, Osama bin Laden met with a top CIA official presumably the
[02:21:54.244 --> 02:22:05.934]  Chief of the Station, the meeting held in Bin Laden's private suite that took place at the American Hospital in Dubai at a time when he was a wanted fugitive for the bombings of two U.S.
[02:22:06.034 --> 02:22:09.457]  embassies in last year's attack on the USS Cole.
[02:22:09.477 --> 02:22:19.165]  Bin Laden was eligible for execution according to a 2000 intelligence finding issued by President Bill Clinton before leaving office in January.
[02:22:20.237 --> 02:22:28.624]  On July 14, 2001, he was allowed to leave Dubai on a private jet and there was no Navy fighters waiting to force him down.
[02:22:29.184 --> 02:22:32.026]  Well, yeah, Bin Laden's family all got flown out with a bunch of other people.
[02:22:32.487 --> 02:22:34.008]  Of course, that's now admitted.
[02:22:35.329 --> 02:22:38.191]  And it goes on and on and on.
[02:22:39.352 --> 02:22:44.096]  But I want to try to go over some of the history, just some of the smoking guns.
[02:22:44.116 --> 02:22:46.558]  Maybe I'll go over the timeline in my book.
[02:22:47.618 --> 02:22:48.239]  Just some of the
[02:22:49.668 --> 02:22:50.549]  God, just so much.
[02:22:50.609 --> 02:22:51.430]  Where do you begin?
[02:22:51.470 --> 02:22:52.211]  Where do you end?
[02:22:52.231 --> 02:22:57.055]  I mean, it's just... I mean, it would take months to show this evidence to a jury.
[02:22:57.736 --> 02:23:01.099]  There isn't a jury in the world that wouldn't convict them of carrying out those attacks.
[02:23:01.760 --> 02:23:03.201]  And then using them to enslave us.
[02:23:05.263 --> 02:23:06.184]  We're on the march.
[02:23:06.665 --> 02:23:08.286]  The Empire's on the run.
[02:23:09.187 --> 02:23:11.870]  Alex Jones and the GCN Radio Network.
[02:23:15.060 --> 02:23:19.703]  Have you been tricked into believing that you can't hire or be hired without a social security number?
[02:23:19.863 --> 02:23:25.607]  You think that you can't bank, get a driver's license, or rent an apartment, or get insurance without a social security number?
[02:23:25.627 --> 02:23:25.667]  888-803-4438.
[02:23:25.687 --> 02:23:26.408]  That's toll free, 888-803-4438.
[02:23:26.468 --> 02:23:27.708]  Not yet available in Iowa.
[02:23:38.806 --> 02:23:44.829]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[02:23:45.449 --> 02:23:48.450]  It's Alex Jones and the GCN Radio Network.
[02:23:50.651 --> 02:23:54.253]  Bob Dole's... Bob Dole's former Chief of Staff.
[02:23:55.313 --> 02:23:57.014]  Stanley Hilton's been on this show twice.
[02:23:57.394 --> 02:24:02.056]  He's interviewed over a hundred high-level military officers like Colonel Stephen Butler.
[02:24:04.033 --> 02:24:10.756]  The head of the Defense Language School of Monterey, California, was ordered to train many of the hijackers at the spy school.
[02:24:10.796 --> 02:24:12.517]  These guys are CIA folks.
[02:24:14.377 --> 02:24:18.459]  And he's suing the government for carrying out the attacks, not for having prior knowledge.
[02:24:18.579 --> 02:24:22.301]  The German intelligence groups have said that's what's happened.
[02:24:22.321 --> 02:24:27.623]  The German head of technology, their minister, said there's no way.
[02:24:28.103 --> 02:24:31.765]  There was a press conference in Portugal last year that went on for 70 plus hours.
[02:24:32.498 --> 02:24:37.519]  With hundreds of jet pilots and fighter pilots and former U.S.
[02:24:37.639 --> 02:24:42.621]  colonels and generals saying it's ridiculous, only remote control, on and on and on.
[02:24:44.081 --> 02:24:51.523]  We had David Shippers on, who before September 11th, had detailed information about plans for these planes to be flown into buildings.
[02:24:52.043 --> 02:25:01.666]  As the CIA assets, the so-called hijackers, were going around creating their ledger, their trail, Shippers saw that, the guy that impeached Clinton again,
[02:25:02.704 --> 02:25:04.145]  He went to Ashcroft.
[02:25:04.205 --> 02:25:05.265]  Ashcroft wouldn't stop him.
[02:25:05.305 --> 02:25:10.367]  Bush issued W1999, ordering FBI not to stop Al-Qaeda.
[02:25:12.668 --> 02:25:18.131]  And then the Deputy FBI Director John O'Neill resigned two months before 9-1-1.
[02:25:18.271 --> 02:25:21.952]  They have interviews in England and France saying, quote, the U.S.
[02:25:21.972 --> 02:25:28.955]  government's going to allow massive terror attacks to pretext to invade areas of the Middle East and Central Asia.
[02:25:28.975 --> 02:25:30.576]  This is all in the records, all in the films.
[02:25:31.520 --> 02:25:38.765]  All the books, all the website, on PrisonPlanet.com we have over 500 mainstream news articles with transcripts and interviews all right there.
[02:25:39.585 --> 02:25:41.147]  InfoWars.com has hundreds.
[02:25:41.607 --> 02:25:41.807]  Go!
[02:25:42.207 --> 02:25:42.788]  Go look at it!
[02:25:44.349 --> 02:25:45.950]  It's like, it's just incredible.
[02:25:47.711 --> 02:25:56.637]  Shippers went to him, I mean, FBI agent Robert Wright just stood up there at the press conference, press club and said, here's the letter, I'll be arrested if I tell you what I know.
[02:25:57.578 --> 02:26:02.160]  Larry Klayman stood up from judicial watch and said, all we can say is the Bush's vacation with the Bin Ladens.
[02:26:02.540 --> 02:26:12.005]  You have the motives for the oil, the opium, the weapons sales, the tens of billions of dollars of contracts with no bids allowed, going to just a handful of globalist corporations.
[02:26:12.025 --> 02:26:20.069]  You have the PNAC documents calling for, quote, an attack on the scale of Pearl Harbor for imperial mobilization for a New World Order.
[02:26:20.249 --> 02:26:22.690]  You have the Northwoods, a planned official U.S.
[02:26:22.730 --> 02:26:24.931]  government document for remote-controlled jets
[02:26:25.351 --> 02:26:31.294]  Preferably with young college students on board, saying that killing young people makes the American people more mad.
[02:26:31.314 --> 02:26:34.336]  They talked about committing sniper attacks in D.C.
[02:26:34.356 --> 02:26:42.140]  and Miami, to blame it on their political enemies, how to blow up a ship full of troops, how to kill Marines, and then blame it on foreign enemies.
[02:26:42.180 --> 02:26:45.962]  I mean, that's an official plan, green-lighted all the way up to the President!
[02:26:48.143 --> 02:26:51.925]  Baltimore Sun, ABC News, OnInfoWars.com right now.
[02:26:51.965 --> 02:26:54.647]  They just calmly report this stuff and nothing else is ever said.
[02:26:55.720 --> 02:26:57.141]  The FBI cooked the driver.
[02:26:58.301 --> 02:26:59.001]  Cooked the bomb.
[02:26:59.101 --> 02:26:59.902]  Yeah, cooked the driver.
[02:27:00.942 --> 02:27:01.983]  Cooked up the whole thing.
[02:27:02.963 --> 02:27:03.703]  Made the bomb.
[02:27:04.544 --> 02:27:05.284]  Cooked the bomb.
[02:27:06.084 --> 02:27:06.965]  Trained the drivers.
[02:27:07.265 --> 02:27:10.966]  In the first World Trade Center, a tax source on that, Chicago Tribune.
[02:27:11.406 --> 02:27:12.407]  Tapes were made of it.
[02:27:12.427 --> 02:27:17.149]  Because the informant that did it didn't want to get busted, so he recorded the FBI saying, go ahead and bomb it.
[02:27:18.429 --> 02:27:25.252]  Oklahoma City, with General Parton and all the evidence and the seismographs and the governor and the video of the bombs being removed and
[02:27:26.201 --> 02:27:29.844]  The Iraqis involved, again, who were trained here in the 80s, who were U.S.
[02:27:29.884 --> 02:27:31.345]  government intelligence assets.
[02:27:33.246 --> 02:27:34.907]  And the media's saying, ignore all that.
[02:27:36.588 --> 02:27:38.330]  On and on and on and on and on.
[02:27:38.350 --> 02:27:40.631]  Now let's get into some of the really meaty stuff.
[02:27:40.751 --> 02:27:42.072]  Man, I don't know where to start on this.
[02:27:43.013 --> 02:27:44.394]  I was going to do this today, but...
[02:27:45.464 --> 02:27:49.765]  This is Adam Brzezinski, founder of the Trilateral Commission's book, Grand Chessboard.
[02:27:50.105 --> 02:28:06.569]  To put it in terminology that harkens back to the more brutal age of ancient empires, the three grand imperatives of imperial geo-strategy are to prevent collusion and maintain security dependence among the vassals, to keep tributaries pliant and protected, and to keep the barbarians from coming together.
[02:28:07.535 --> 02:28:19.698]  Moreover, as America becomes an increasingly multicultural society, it may find it more difficult to fashion a consensus on foreign policy issues, except in the circumstance of a truly massive and widely perceived direct external threat.
[02:28:20.659 --> 02:28:32.602]  An attitude of the American people towards the external projection of American power has been much more ambivalent to public support of American engagement in World War II, largely because of the shock effect of the Japanese attack on Pearl Harbor.
[02:28:34.213 --> 02:28:38.517]  PNAC says, fortunate Pearl Harbor, we need more fortunate events.
[02:28:39.658 --> 02:28:40.819]  So incredible.
[02:28:41.860 --> 02:28:48.986]  And you have the CIA following the hijackers out of the country, following them back in when the embassy wouldn't let them back in.
[02:28:49.446 --> 02:28:59.074]  They ordered them to and the CIA and FBI agents that got the visas for the supposed hijackers to get back into the country were given record cash bonuses.
[02:28:59.835 --> 02:29:02.317]  The record bonuses of the year for federal bonuses.
[02:29:03.133 --> 02:29:06.623]  The FBI is over-suppressing Robert Wright and others.
[02:29:07.084 --> 02:29:08.809]  They all got record cash bonuses.
[02:29:11.676 --> 02:29:13.097]  Oh man, it's so horrible.
[02:29:13.137 --> 02:29:14.777]  Pentagon mass casualty drills.
[02:29:14.797 --> 02:29:17.799]  The government said they'd never heard of plans to fly planes into buildings.
[02:29:18.619 --> 02:29:24.401]  But at the Genoa, Italy Globalist Summit, just a few months before, they had anti-aircraft guns on the roofs.
[02:29:25.122 --> 02:29:28.203]  Even before July 2001, the government had received multiple warnings.
[02:29:28.223 --> 02:29:30.084]  The Military District of Washington, D.C.
[02:29:30.404 --> 02:29:34.105]  took the warnings of the planes to fly hijacked passengers into New York and Washington, D.C.
[02:29:34.425 --> 02:29:35.486]  landmarks seriously.
[02:29:35.806 --> 02:29:37.687]  The Army Outline News Service reported.
[02:29:37.707 --> 02:29:39.748]  The Army's Online News Service reported.
[02:29:41.508 --> 02:29:52.771]  2000 edition that the Pentagon conducted a mass casualty exercise simulating a terrorist attack in the Pentagon building by a suicide hijacker flying a large passenger jet.
[02:29:53.851 --> 02:30:01.813]  Despite this publicly available record, a Joint Congressional Intelligence Committee conducted a top-bottom whitewash concerning government prior knowledge.
[02:30:01.853 --> 02:30:07.454]  The committee found the government had never even considered the possibility of hijacked airplanes being flown into buildings.
[02:30:08.166 --> 02:30:09.407]  There's a bunch of other examples.
[02:30:09.447 --> 02:30:17.015]  And of course, that morning of September 11, according to the Associated Press, they were running a drill of flying hijacked jets into the New York and D.C.
[02:30:17.055 --> 02:30:17.595]  skyline.
[02:30:19.677 --> 02:30:25.703]  And I had that Times of London reporter on yesterday, and he goes, well, that is true, but I don't have any comment about that.
[02:30:27.754 --> 02:30:34.941]  The next piece of the evidence you are about to hear, as I'm reading out of my book, is the biggest smoking gun of all.
[02:30:34.981 --> 02:30:47.374]  President Bush signed secret national security order W199I, telling FBI agents as well as defense intelligence officers that if they try to stop Al Qaeda, they would be arrested under national security implications.
[02:30:48.735 --> 02:30:50.497]  Newsweek, Ananova,
[02:30:51.761 --> 02:30:53.721]  And, uh, other major papers reported that.
[02:30:53.781 --> 02:30:55.202]  The document is marked secret.
[02:30:55.582 --> 02:30:58.022]  Case ID 199-I-WF-213.589.199.
[02:30:58.042 --> 02:31:04.824]  199 is FBI code for case type.
[02:31:05.244 --> 02:31:06.004]  9 would mean murder.
[02:31:06.024 --> 02:31:07.884]  65 would mean espionage.
[02:31:07.904 --> 02:31:09.685]  199 means national security.
[02:31:10.345 --> 02:31:12.845]  WF indicates Washington Field Office, Special Agents.
[02:31:13.245 --> 02:31:14.806]  We're investigating ABC.
[02:31:15.726 --> 02:31:17.586]  Again, Osama Bin Laden and company.
[02:31:17.946 --> 02:31:20.907]  Because of his relationship with the World Assembly of Muslim Youth,
[02:31:21.781 --> 02:31:22.927]  He goes on and on.
[02:31:22.967 --> 02:31:24.414]  We're blocked from investigating him.
[02:31:25.430 --> 02:31:28.132]  The leaked document came out on BBC News at night and is now admitted.
[02:31:57.152 --> 02:32:18.751]  FBI Director John O'Neill, untimely demise, again, blew the whistle on that, and it says this is out of the London Independent, May 25, 2002 reported, before leaving, O'Neill shared his grievances with the French authors, who were his secret police officers, in Bin Laden, The Forbidden Truth, published last November,
[02:32:19.523 --> 02:32:25.567]  They recount O'Neill's claim that his probe of Mr. Bin Laden and Al-Qaeda in Afghanistan had been blocked by the U.S.
[02:32:25.687 --> 02:32:26.208]  oil lobby.
[02:32:26.248 --> 02:32:27.409]  John O'Neill was right.
[02:32:27.849 --> 02:32:29.410]  He paid for his judgment with his life.
[02:32:29.970 --> 02:32:31.892]  The Bush-Bin Laden family connection.
[02:32:32.752 --> 02:32:43.160]  And I have the Daily Mail, the Wall Street Journal, all the dates right here in my book, bibliographed, where it says that in 76 he founded his company with Osama Bin Laden and Salim Bin Laden.
[02:32:44.380 --> 02:32:47.182]  They brought him, the Taliban and Al-Qaeda, to Texas in 97.
[02:32:49.964 --> 02:32:55.106]  And, uh, even before September 11th, the Wall Street Journal had called for Bush family to end the relationship with the Bin Ladens.
[02:32:56.106 --> 02:32:58.027]  Again, we have all that bibliographed right here.
[02:32:59.288 --> 02:33:02.569]  And again, Larry Klayman of Judicial Watch said, we've been threatened with arrest.
[02:33:02.589 --> 02:33:03.669]  We tell you what we know.
[02:33:03.769 --> 02:33:07.130]  We can just tell you the Bush's vacation with Mr. Bin Laden, with the Bin Ladens.
