[00:00:12.412 --> 00:00:18.074]  He aligns himself with the truth, and it's time for you to choose a side.
[02:56:43.093 --> 02:56:49.798]  A few train wrecks here, but that's what makes live radio slash TV so much fun and what's dominating MSM.
[02:56:49.798 --> 02:56:51.119]  We are teleprompter free.
[02:56:51.119 --> 02:56:59.346]  Also, 25% off right now on the Alexa Pure Breeze air filtration systems.
[02:56:59.966 --> 02:57:02.588]  We also have 25% off on their water filtration systems.
[02:57:02.588 --> 02:57:03.368]  Take advantage of that.
[02:57:03.368 --> 02:57:07.151]  10% off on Secret 12, super high quality methylcobalamin.
[02:57:07.151 --> 02:57:10.573]  Get your brain force, get your DNA force, get your super male vitality.
[02:57:10.573 --> 02:57:11.874]  A lot of it back in stock.
[02:57:11.874 --> 02:57:13.555]  Biome Defense Probiotic.
[02:57:13.555 --> 02:57:22.441]  And know that we're going to build a Washington Bureau where you can see our reporters getting questions in on national news, really battling the globalists at point blank range.
[02:57:22.441 --> 02:57:23.522]  The final phase.
[02:57:24.773 --> 02:57:31.056]  The big fat dog coming in, little skinny New World Order demon dog having to move over to quote Hank Williams.
[02:57:31.056 --> 02:57:36.239]  So very, very exciting times to be alive right now.
[02:57:36.239 --> 02:57:41.142]  I want to go back to Owen Schroer for his take on just the times we're seeing.
[02:57:41.142 --> 02:57:43.583]  I just want to say thank God again, Owen and Leanne.
[02:57:43.583 --> 02:57:46.085]  We're seeing good Supreme Court people coming in.
[02:57:46.085 --> 02:57:48.386]  We're seeing Trump saying no to carbon taxes.
[02:57:48.386 --> 02:57:50.167]  It'll turn the economy back on.
[02:57:50.167 --> 02:57:51.648]  I mean, he's just making good.
[02:57:51.648 --> 02:57:52.748]  What are we, day 12?
[02:57:52.748 --> 02:57:52.968]  Day 13?
[02:57:52.968 --> 02:57:53.989]  How many days in here?
[02:57:54.485 --> 02:57:55.826]  Yeah, I don't even think we're two weeks in.
[02:57:55.826 --> 02:57:56.446]  Right.
[02:57:56.446 --> 02:58:02.109]  But Alex, just to respond to the report you filed, so they filed this report on these super rich friends, right?
[02:58:02.109 --> 02:58:04.630]  They're supposedly superheroes, super rich friends.
[02:58:04.630 --> 02:58:07.431]  They're the good rich, but the middle class person with money's bad.
[02:58:07.431 --> 02:58:10.553]  Yeah, they got all this money, they're doing all this good influence around the planet.
[02:58:10.993 --> 02:58:11.953]  But wait a second.
[02:58:11.953 --> 02:58:15.095]  Look at the areas where Bill Gates' vaccines went in Africa.
[02:58:15.095 --> 02:58:16.236]  Take a look at the destruction.
[02:58:16.236 --> 02:58:18.377]  How about Brazil, where his mosquitoes went?
[02:58:18.377 --> 02:58:19.077]  You got Zika.
[02:58:19.077 --> 02:58:19.917]  How about Soros?
[02:58:19.917 --> 02:58:22.899]  Ukraine, Arab Spring, Oprah Winfrey, inner U.S.
[02:58:22.899 --> 02:58:26.540]  cities, Warren Buffet, biggest banker bailout recipient.
[02:58:26.540 --> 02:58:28.021]  So what are these people doing?
[02:58:28.021 --> 02:58:30.883]  What positive impact have they brought?
[02:58:30.883 --> 02:58:35.425]  Except my world government or my weather machines and mosquitoes will get you.
[02:58:35.425 --> 02:58:37.166]  Fourth hour straight ahead.
[02:58:37.166 --> 02:58:38.886]  Don't listen to Infowars.
[02:58:38.886 --> 02:58:39.086]  No.
[02:58:40.387 --> 02:58:43.651]  Thank you for listening to GCN.
[02:58:43.651 --> 02:58:45.814]  Visit GCNlive.com today!
[02:58:49.693 --> 02:58:51.655]  Dr. Grip, you developed Living Defense for us.
[02:58:51.655 --> 02:58:52.976]  It took you over a year to do it.
[02:58:52.976 --> 02:58:54.197]  Why is this so good?
[02:58:54.197 --> 02:58:59.481]  Because people are actually waking up to the problem that pretty much scares me the most.
[02:58:59.481 --> 02:59:13.032]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[02:59:13.032 --> 02:59:14.394]  Right now with all the refugees,
[02:59:15.154 --> 02:59:16.795]  Uh, spreading disease around.
[02:59:16.795 --> 02:59:19.376]  We have biological warfare going on everywhere.
[02:59:19.376 --> 02:59:20.676]  These are all parasites.
[02:59:20.676 --> 02:59:21.777]  Tell us about all the stuff that's in it.
[02:59:21.777 --> 02:59:23.117]  There's so many things that are in it.
[02:59:23.117 --> 02:59:27.619]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[02:59:27.619 --> 02:59:30.881]  I recommend doing a parasite cleanse at least twice a year.
[02:59:30.881 --> 02:59:33.962]  Alright, well, I'm glad we've got some back in because I'm going back on it today.
[02:59:33.962 --> 02:59:35.022]  It just came back in yesterday.
[02:59:35.022 --> 02:59:35.843]  Living Defense.
[02:59:35.843 --> 02:59:36.943]  Infowarslife.com.
[02:59:36.943 --> 02:59:37.984]  And folks, you can't lose.
[02:59:37.984 --> 02:59:38.684]  It's full of stuff.
[02:59:38.684 --> 02:59:39.584]  It's great for your body.
[02:59:39.584 --> 02:59:40.685]  Period.
[02:59:40.685 --> 02:59:40.805]  And...
[02:59:41.545 --> 02:59:42.567]  You support the broadcast.
[02:59:42.567 --> 02:59:43.929]  Infowarslive.com.
[02:59:43.929 --> 02:59:46.173]  Thank you Dr. Group from the Global Healing Center.
[02:59:46.173 --> 02:59:52.223]  Thank you so much for all your work sir on this great product.
[02:59:52.223 --> 02:59:54.827]  You're listening to the Alex Jones Show!
[03:00:11.798 --> 03:00:17.342]  Before America can be great again, she must be free again.
[03:00:17.342 --> 03:00:26.608]  You're listening to the Alex Jones Show.
[03:00:26.608 --> 03:00:33.952]  Alright, we are here.
[03:00:33.952 --> 03:00:36.934]  Roger Stone is getting his studio set up and some guests lined up.
[03:00:36.934 --> 03:00:39.056]  He's a little late joining us.
[03:00:39.056 --> 03:00:41.037]  Again, Owen Schroer and Leanne McAdoo are here.
[03:00:42.662 --> 03:00:50.409]  You've got Bill and Melinda Gates that fund the open borders, they're even worse than George Soros, and they fund the gun control, all of it.
[03:00:50.409 --> 03:01:03.841]  And then they've got a thing set up where, when they set up the Bill and Melinda Gates Foundation, it's gotta be 20-something years ago, started putting money in tax-exempt with Ted Turner, their wealth all basically doubled.
[03:01:03.841 --> 03:01:05.883]  So they operate tax-exempt.
[03:01:07.079 --> 03:01:13.262]  And then, quote, all their money and their riches and their palaces and helicopters are just in there, so they're tax exempt.
[03:01:13.262 --> 03:01:17.124]  They've brought back the old trust that Teddy Roosevelt supposedly broke up in 1906.
[03:01:17.124 --> 03:01:26.468]  And if you're in that globalist club like Winfrey was allowed into, there's only maybe 15 of them in there, Zuckerberg's in it, you basically stop paying taxes.
[03:01:26.468 --> 03:01:32.651]  Then they lobby all day for, quote, raising taxes on rich people, saying they're not paying enough, and then raise it on the middle class.
[03:01:32.651 --> 03:01:34.572]  Trump's trying to stop all of that.
[03:01:34.572 --> 03:01:35.252]  Leanne McAdoo.
[03:01:36.038 --> 03:01:54.704]  Yeah, well, I mean, I think it's just really interesting when you have all those same people in the room that they're constantly pushing for depopulation of the planet because there's so much waste and then they're flying around on their planes, they've got 11 houses, you know, it's the exact opposite and then they want to say how great they are.
[03:01:54.704 --> 03:02:04.627]  Bill Gates has like 70,000 square foot compounds, I mean, command bases, underground redoubts, I mean, you know, he's behind weather weapons, everything.
[03:02:04.887 --> 03:02:07.749]  Yeah, Winfrey has a huge compound in Chicago too.
[03:02:07.749 --> 03:02:19.918]  Yeah, I mean it's just, it's just insane the way that they try to push and make us feel guilty and then you'll hear people say, oh well, wasn't it last year, a year or two ago, they said, oh well he donated all of his money to charity.
[03:02:19.918 --> 03:02:22.960]  Yeah, his own charity, so that he wouldn't get taxed on it.
[03:02:22.960 --> 03:02:24.061]  I mean... I'm gonna explain this again.
[03:02:24.361 --> 03:02:25.322]  I've talked to lawyers.
[03:02:25.322 --> 03:02:26.222]  It's on the books.
[03:02:26.222 --> 03:02:27.983]  The IRS comes after you.
[03:02:27.983 --> 03:02:36.908]  I can't put, say, a million dollars, you know, in a foundation to protect it and save it and be tax-exempt so I could maybe fund, you know, say, a pro-human initiative or something.
[03:02:36.908 --> 03:02:38.549]  They don't let little guys do it.
[03:02:38.549 --> 03:02:42.752]  Only the select boys, just like Enron, you know, had Arthur Anderson.
[03:02:42.752 --> 03:02:47.695]  They're left alone because the government they control doesn't prosecute them.
[03:02:47.695 --> 03:02:50.597]  Google's allowed to do stuff that nobody else can do.
[03:02:50.597 --> 03:02:52.798]  Illegal spying, you name it, because Obama protected them.
[03:02:53.098 --> 03:02:55.139]  That's all coming to an end with Trump.
[03:02:55.139 --> 03:02:56.660]  That's why they're crapping their drawers.
[03:02:56.660 --> 03:02:59.282]  And Trump isn't doing this to amass more power to himself.
[03:02:59.282 --> 03:03:01.804]  He is literally devolving it back to the states.
[03:03:01.804 --> 03:03:02.784]  How epic is that?
[03:03:02.784 --> 03:03:07.848]  And notice, pedophile rings are getting rolled up nationwide now, all over the country because the gloves are off.
[03:03:08.564 --> 03:03:23.633]  Right, well I know there's quite a few stories out now where they're just talking about how Donald Trump has inherited this really powerful FBI and this secret government and they were perfectly fine with this massive surveillance state happening under Obama.
[03:03:23.633 --> 03:03:33.419]  They truly thought that they were going to be in power forever but now that Donald Trump is in power they're thinking, oh my gosh, they can spy on journalists or they can put anyone under FBI surveillance with just
[03:03:33.499 --> 03:03:37.040]  Oh, they loved Obama persecuting the press and all the rest of it.
[03:03:37.040 --> 03:03:41.602]  But then Trump says you ought to be able to sue somebody, but they lie about it and they're like, oh, you want to hurt the press.
[03:03:41.602 --> 03:03:42.643]  You're censuring us.
[03:03:42.643 --> 03:03:48.225]  When Obama signed a law, two weeks before Trump got in, putting the CIA over the media.
[03:03:48.225 --> 03:03:51.706]  Now again, that's his leftist at the CIA, and that was going to be Brennan.
[03:03:51.706 --> 03:03:52.627]  Now it's not that way.
[03:03:53.191 --> 03:04:03.043]  Right, and they're also talking about, you know, the Republicans, how they, um, it's a stolen seat, this, uh, Neil, Neil, the nominee for a stolen seat here with a SCOTUS appointment.
[03:04:03.043 --> 03:04:08.028]  Well, they all were really under the impression that Hillary Clinton, she was going to get to choose.
[03:04:08.028 --> 03:04:10.672]  So it's almost like, what are they pushing back against?
[03:04:11.121 --> 03:04:20.346]  Well, I'm going to make one final announcement here and then I've got to go so you guys can come in until Stone's ready with whatever's going on there with their booking of guests or whatever's happening.
[03:04:20.346 --> 03:04:24.669]  But just to be clear here, I'm going to be on the Joe Rogan Experience in about an hour and a half for several hours.
[03:04:24.669 --> 03:04:31.153]  We're going to link to the live feed at InfoWars.com in the next hour so people can share that link on Twitter and Facebook.
[03:04:31.853 --> 03:04:37.716]  And as I try to inform his audience of tens of millions, so I'm here in Los Angeles to see my old friend Joe Rogan.
[03:04:37.716 --> 03:04:38.157]  That's coming up.
[03:04:38.157 --> 03:04:41.098]  I'm going to turn this over to Leigh Ann McAdoo and Owen Schroer.
[03:04:41.098 --> 03:04:41.758]  Stay with us.
[03:04:41.758 --> 03:04:44.220]  We'll be right back with hopefully Roger Stone as well.
[03:04:44.220 --> 03:04:47.722]  Thank you to the crew and the rest of everybody making this possible, including Buckley.
[03:04:47.722 --> 03:04:48.622]  All right, I'm Alex Jones.
[03:04:48.622 --> 03:04:49.823]  Please support the broadcast.
[03:04:49.823 --> 03:04:50.763]  They're trying to censor us.
[03:04:50.763 --> 03:04:51.744]  Never forget that.
[03:04:51.744 --> 03:04:55.526]  Spread the link, spread the videos, and take advantage of the deals at InfoWarsTore.com.
[03:04:55.526 --> 03:04:55.966]  Thank you all.
[03:04:59.736 --> 03:05:04.359]  I tell you what, the Democrats have proven themselves to be the ultimate crybabies.
[03:05:04.359 --> 03:05:11.685]  From Chuckie Schumer fake crying over the temporary travel ban, to Democrats refusing to attend to vote on nominees for Trump's cabinet.
[03:05:11.685 --> 03:05:14.367]  That's right, they aren't even attending the hearings anymore.
[03:05:14.367 --> 03:05:24.154]  Even before Donald Trump had appointed his first Supreme Court Justice, Neil Gorsh, to replace Antonin Scalia, Senators like Jeff Merkley were already speaking out saying, hey, we're gonna block it, we don't care who it is.
[03:05:24.154 --> 03:05:26.896]  But should we expect anything less from the Democrats?
[03:05:27.096 --> 03:05:36.803]  When you go to their many protests and try to engage these people in thoughtful conversation, all you get are mainstream media talking points, or you get cursed at, or you get threatened with violence.
[03:05:36.803 --> 03:05:39.885]  Oh, and let's look who have proved Neil Gorsh to be a federal judge back in 2006.
[03:05:39.885 --> 03:05:49.852]  Barack Obama, Joe Biden, John Kerry, Hillary Clinton, Patrick Leahy, Dianne Feinstein, Chuckie Schumer, Dick Durbin, Jack Reed, Bill Nelson, and many others.
[03:05:49.852 --> 03:05:55.156]  Once again, the crybaby Democrats have proven they don't have an argument or a leg to stand on, so they're not even showing up to work.
[03:05:55.556 --> 03:05:59.577]  Rob Dew reporting for InfoWars.com and InfoWars Nightly News.
[03:05:59.577 --> 03:06:05.019]  After being sold out for months, our best-selling super blue fluoride toothpaste is now back in stock at InfoWarsStore.com.
[03:06:05.019 --> 03:06:07.120]  Research across the board is clear.
[03:06:07.120 --> 03:06:12.422]  When bacteria infects your gums, it can enter your bloodstream and even contribute to blood clots and heart attacks.
[03:06:12.422 --> 03:06:16.163]  That's why the last Surgeon General's report on oral health warns that
[03:06:16.263 --> 03:06:19.706]  Your oral health can have a serious impact on your entire body.
[03:06:19.706 --> 03:06:22.888]  Super Blue Fluoride Free Toothpaste is a groundbreaking new formula.
[03:06:22.888 --> 03:06:26.771]  It's loaded with good halogen iodine instead of the bad halogen fluoride.
[03:06:26.771 --> 03:06:33.936]  Super Blue contains natural oils and ingredients used since biblical times to help wipe out bad bacteria and eliminate bad breath.
[03:06:33.936 --> 03:06:39.320]  Just some of the ingredients in Super Blue chosen by our dental experts include xylitol, peppermint oil,
[03:06:39.600 --> 03:06:41.642]  Iodine, nano, silver, and more.
[03:06:41.642 --> 03:06:49.948]  Due to requests from listeners who found that Spearmint was a little bit too strong for some of their children, we have created the new Bubble Gum flavored Super Blue that is Spearmint free.
[03:06:49.948 --> 03:06:58.235]  Learn more about the new Bubble Gum flavored Super Blue toothpaste and more at InfoWarsLife.com and support the Info War while you support healthy gums and teeth.
[03:06:59.346 --> 03:07:02.549]  A clean, toxic-free body is the foundation of true health.
[03:07:02.549 --> 03:07:04.891]  Deep Cleanze by Infowarslife.com.
[03:07:04.891 --> 03:07:11.897]  A scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[03:07:11.897 --> 03:07:17.222]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[03:07:17.222 --> 03:07:26.210]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[03:07:26.630 --> 03:07:35.518]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[03:07:35.518 --> 03:07:42.604]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spite G-Rex herbal processing technique.
[03:07:42.604 --> 03:07:47.989]  We use only the highest quality organic herbs, backed by serious research, and we still bring it to you at the best.
[03:07:48.189 --> 03:07:49.030]  The answer to 1984 is 1776.
[03:07:49.030 --> 03:07:50.411]  You're listening to the Alex Jones Show.
[03:08:22.662 --> 03:08:23.802]  Thank you very much.
[03:08:23.802 --> 03:08:27.543]  I'm Roger Stone, following the great Alex Jones.
[03:08:27.543 --> 03:08:33.524]  You know, at InfoWars, we work right up to the last minute to bring you breaking news.
[03:08:33.524 --> 03:08:44.547]  And I was on the phone with sources and double-checking some extraordinary, I think, news that we are going to get into later on in the show.
[03:08:44.547 --> 03:08:50.188]  It is extraordinary for me this week because we launched
[03:08:51.058 --> 03:09:01.705]  My new book, The Making of the President 2016, how the American people, pardon me, how Donald Trump orchestrated a revolution.
[03:09:01.705 --> 03:09:10.970]  Now, first of all, I want to thank Alex Jones yesterday for his comments on the actual day of the launch of this book.
[03:09:10.970 --> 03:09:20.076]  This is an important book in which Alex Jones and Matt Drudge and James O'Keefe and Steve Bannon, and there are so
[03:09:23.978 --> 03:09:31.721]  And there are so many intimate details that people don't know about this election.
[03:09:31.721 --> 03:09:49.688]  Yeah, it's a big picture look at how Donald Trump understood how disaffected Americans were, how tired they were of globalism, our shrinking job market, being humiliated around the globe, being harnessed with billions in debt,
[03:09:50.745 --> 03:10:11.019]  Paying for unjust or unwarranted foreign wars, having our phones and our emails tapped and watching our civil liberties being eroded, the American people finally figured out that the system was rigged, as Donald Trump has said repeatedly.
[03:10:11.019 --> 03:10:17.584]  But this is also the first time in the history of our nation in which we reached an important tipping point.
[03:10:18.649 --> 03:10:26.515]  The mainstream media, ABC, NBC, CBS, they've lost their monopoly.
[03:10:26.515 --> 03:10:35.722]  They can no longer feed us their propaganda, confident that we can't find the facts and the truth elsewhere.
[03:10:35.722 --> 03:10:37.103]  And that is no longer the case.
[03:10:38.103 --> 03:10:54.569]  Thanks to journalists like Matt Drudge and Alex Jones and the late Breitbart, who is a great pal of mine by the way, and now Stephen Bannon, who inherited Andrew Breitbart's mantle.
[03:10:54.569 --> 03:11:02.152]  Tucker Carlson in the Daily Caller, the folks at Town Hall, so many other, the people at the American Spectator.
[03:11:02.152 --> 03:11:05.694]  By the way, the American Spectator has a terrific piece on their cover
[03:11:06.624 --> 03:11:26.457]  About how Alex Jones and Roger Stone used the famous Clinton rape t-shirt to break through the mainstream media blackout of Bill Clinton's history as a sexual predator and Hillary's role in covering it up.
[03:11:26.457 --> 03:11:27.317]  Was it crude?
[03:11:27.317 --> 03:11:29.099]  Was it over-the-top?
[03:11:29.099 --> 03:11:30.840]  Yes, it was.
[03:11:30.840 --> 03:11:33.882]  And it was necessary and it was effective.
[03:11:34.733 --> 03:11:40.576]  Again, the details can be found in the making of the President.
[03:11:40.576 --> 03:11:57.763]  But when Alex Jones announced that anybody who was seen on television wearing this shirt would get a $1,000 bounty, and that if they yelled, Bill Clinton is a rapist, audibly,
[03:11:58.934 --> 03:12:01.115]  And their appearance was legal.
[03:12:01.115 --> 03:12:08.738]  In other words, no crashing a closed set or a closed studio that he would make it $5,000.
[03:12:08.738 --> 03:12:12.580]  This phenomena became widespread.
[03:12:12.580 --> 03:12:25.246]  It's funny about how no one in the mainstream media reported of the dozens and dozens of televised incidents of young patriots standing up with their rape t-shirts.
[03:12:26.533 --> 03:12:35.716]  Or how the mainstream media didn't tell you about the young man in New York City, who was savagely beaten by NBC security guards.
[03:12:35.716 --> 03:12:39.377]  Not just removed, but beaten.
[03:12:39.377 --> 03:12:47.519]  Only this week, NBC argued in court that the young man should have known that he was going to be beaten.
[03:12:48.618 --> 03:13:07.058]  So, with that, I want to really focus on what I think is the number one danger to the United States, the number one danger to the Trump administration, indeed, the number one threat to the future of our freedom, and that would be billionaire George Soros.
[03:13:07.058 --> 03:13:07.758]  Joining us now
[03:13:08.499 --> 03:13:10.680]  Thank you so much for having me.
[03:13:33.962 --> 03:13:37.968]  So you've been, I know, doing quite a bit of research in this area.
[03:13:37.968 --> 03:13:46.439]  I know you're working on a documentary and you're not prepared to talk about that yet, but George Soros's name seems to be popping up around the globe.
[03:13:47.729 --> 03:14:04.597]  Having just spent, who knows, a billion dollars to try to install his puppet, Hillary Clinton, and failed, he did not lose a step, not a moment, not a beat, before he began financing an attempt to wrench the election away from Donald Trump.
[03:14:05.518 --> 03:14:22.787]  I would remind InfoWars listeners and viewers that it was Soros who financed the recount in Wisconsin, the failed recount in Michigan, and the recount in Pennsylvania, all of which yielded nothing.
[03:14:22.787 --> 03:14:26.509]  So, Dr. Brothers, tell us what George Soros is up to.
[03:14:27.915 --> 03:14:31.417]  Well, today I think the story is the short.
[03:14:31.417 --> 03:14:33.017]  George Soros is shorting the markets.
[03:14:33.017 --> 03:14:34.338]  He seems to know something.
[03:14:34.338 --> 03:14:37.359]  Typically, he does seem to know things.
[03:14:37.359 --> 03:14:40.400]  He moves the markets, and that's how he makes a lot of his money.
[03:14:40.400 --> 03:14:46.943]  He's a destabilizer, and by destabilizing entire economies, he makes billions and billions of dollars.
[03:14:46.943 --> 03:14:50.925]  In fact, I don't think that anybody really knows exactly how much money he has.
[03:14:51.832 --> 03:15:04.755]  So it's just another mechanism that he uses, and if it causes untold suffering, untold catastrophe and calamity, well, that's just an opportunity to buy for him.
[03:15:04.755 --> 03:15:17.578]  And no surprise that we learned that Soros was a major funder of the Women's March immediately after the Trump inauguration.
[03:15:17.578 --> 03:15:18.838]  I guess that didn't surprise you.
[03:15:19.724 --> 03:15:20.445]  Not at all.
[03:15:20.445 --> 03:15:21.546]  It was not direct.
[03:15:21.546 --> 03:15:26.471]  He didn't, like, write checks to the, or issue cash cards to the individual protesters.
[03:15:26.471 --> 03:15:34.740]  He has a series of dozens of organizations that he funds money to, and being as he's the primary funder of these organizations, you could almost say that
[03:15:35.160 --> 03:15:45.836]  He was the organization, but via proxies and various shell games with corporations and various other filing techniques, he tries to shield himself from that.
[03:15:45.836 --> 03:15:50.263]  But we have been putting the pieces together, and yes, it all leads back to him.
[03:15:51.775 --> 03:16:10.912]  Now, I reported right here on InfoWars well over six, perhaps seven months ago, that the violence that was taking place at the Trump rallies, violence that was being blamed on Donald Trump, was in fact financed by George Soros.
[03:16:11.693 --> 03:16:31.241]  That's why it wasn't surprising that the hoodlums and punks that were throwing rocks and bottles and eggs and bottles of urine and baggies of Clorox meant to blind people during the President's inauguration, well, that was funded by Soros, too.
[03:16:31.241 --> 03:16:36.823]  My question is an obvious one, and I am not an attorney, I am proud to say.
[03:16:37.813 --> 03:16:58.290]  But if Soros, who is clearly an international criminal, is paying people to advocate violence and the assassination of the President of the United States, why, with a crime like that, could the next Attorney General not issue a warrant for his arrest?
[03:16:59.181 --> 03:17:06.444]  People have been injured and in some cases I imagine killed based on this man's treachery.
[03:17:06.444 --> 03:17:15.167]  Do you think there is a possibility that the Trump administration would pursue such a remedy to this worldwide problem?
[03:17:16.567 --> 03:17:23.772]  Well, certainly there are a list of recourses that can be applied to him and his assets here in this country.
[03:17:23.772 --> 03:17:31.158]  And the problem that we have is that there hasn't been any will, no will to do these things.
[03:17:31.158 --> 03:17:37.122]  Subversion is the word I think you're looking for, and the activities can all be grouped into that one heading.
[03:17:37.122 --> 03:17:38.063]  And there are copious
[03:17:38.083 --> 03:17:40.385]  This law is on the books for subversion.
[03:17:40.385 --> 03:17:47.391]  And I believe quite clearly his activities would take up the mantle of subversion and wear it quite readily.
[03:17:47.391 --> 03:17:51.274]  However, you need to have somebody who's willing to prosecute.
[03:17:51.274 --> 03:17:58.861]  You need to have somebody who would first investigate and assemble a grand jury and subpoena all the necessary people.
[03:17:58.861 --> 03:18:00.842]  And that requires political will.
[03:18:00.842 --> 03:18:02.564]  Does Donald Trump have that will?
[03:18:02.564 --> 03:18:03.685]  No question in my mind.
[03:18:04.205 --> 03:18:06.747]  Do the people around him have that will?
[03:18:06.747 --> 03:18:10.410]  I think that remains to be seen.
[03:18:10.410 --> 03:18:21.059]  This is, I would have to say, the first election in my lifetime in which the losers have demonstrated their intention to topple the government almost immediately.
[03:18:22.298 --> 03:18:35.304]  President Donald Trump, who is not a career politician, has gotten no honeymoon out of Washington, hasn't in any way gotten the benefit of the doubt.
[03:18:35.304 --> 03:18:38.806]  I say the man has been president for less than two weeks.
[03:18:38.806 --> 03:18:39.787]  Give him a chance!
[03:18:40.834 --> 03:18:43.355]  Now I agree with what Alex Jones said yesterday.
[03:18:43.355 --> 03:18:45.796]  I like where he's headed.
[03:18:45.796 --> 03:18:58.122]  A man of action on immigration, on Obamacare, overturning some of the more ridiculous excesses of Barack Obama.
[03:18:58.122 --> 03:19:01.644]  But something that is more little known happened this week in Washington.
[03:19:02.577 --> 03:19:18.542]  The White House exercised its prerogative over all departments with a legal document that says that no decisions can be made on any issue, big or small, without White House approval.
[03:19:20.074 --> 03:19:40.000]  So the left-wing bureaucrats that are left in the administration of Barack Obama, who after all vacated the second and third levels of the government, is now being run by hostile bureaucrats.
[03:19:40.000 --> 03:19:43.722]  We'll be back with a lot more on InfoWars.
[03:19:43.722 --> 03:19:44.802]  Thank you, Dr. Brothers.
[03:20:00.066 --> 03:20:04.048]  There was a mighty nation, blessed above all of creation.
[03:20:04.048 --> 03:20:05.169]  Charlie Daniels.
[03:20:05.169 --> 03:20:07.010]  He's always loved America.
[03:20:07.010 --> 03:20:08.811]  He's always defended the Second Amendment.
[03:20:08.811 --> 03:20:11.633]  Let me just read a little thing here from Agenda 21.
[03:20:11.633 --> 03:20:15.775]  The American system of justice must be changed to conform to the rest of the world.
[03:20:15.775 --> 03:20:16.816]  Individual rights.
[03:20:16.816 --> 03:20:19.737]  We'll have to take a back seat to the collective.
[03:20:19.737 --> 03:20:21.639]  Well, you know what the next move's going to be, don't you?
[03:20:21.639 --> 03:20:23.259]  There's going to be coming in a few minutes.
[03:20:23.259 --> 03:20:24.040]  Oh, yeah.
[03:20:24.040 --> 03:20:25.681]  I take it he don't sit well down my way.
[03:20:26.141 --> 03:20:27.083]  At all.
[03:20:27.083 --> 03:20:28.144]  It ain't gonna sit well.
[03:20:28.144 --> 03:20:30.307]  Do you ever wonder what happened to America?
[03:20:30.307 --> 03:20:31.509]  It's time to ride, boys.
[03:20:31.509 --> 03:20:33.472]  We need a thousand Paul Revere's.
[03:20:33.472 --> 03:20:39.421]  When I was a boy, it was okay to be proud of the flag, heritage, mom, and apple pie.
[03:20:39.421 --> 03:20:41.324]  Then beef was for supper.
[03:20:42.044 --> 03:20:43.105]  Revelation.
[03:20:43.105 --> 03:20:44.546]  Dawn of global government.
[03:20:44.546 --> 03:20:46.388]  Theatrical screenings on demand.
[03:20:46.388 --> 03:20:47.989]  DVDs now available.
[03:20:47.989 --> 03:20:52.692]  Starring Alex Jones, Charlie Daniels, Special Ops General Jerry Boykin.
[03:20:52.692 --> 03:20:56.035]  Wanna shed some tears over the red, white, and blue?
[03:20:56.035 --> 03:20:56.735]  Revelation.
[03:20:56.735 --> 03:20:57.756]  The movie.
[03:20:57.756 --> 03:20:58.336]  .info.
[03:20:58.336 --> 03:20:59.317]  Let's fix it.
[03:20:59.317 --> 03:21:00.358]  Happy Valentine's Day, honey!
[03:21:00.598 --> 03:21:02.020]  Wow, look at these roses.
[03:21:02.020 --> 03:21:03.062]  They're gorgeous.
[03:21:03.062 --> 03:21:04.464]  You didn't have to get me these.
[03:21:04.464 --> 03:21:07.828]  I couldn't let Valentine's Day come and go without surprising you with flowers.
[03:21:07.828 --> 03:21:09.070]  Aw, thank you!
[03:21:09.070 --> 03:21:14.077]  Guys, this Valentine's Day, even though she says you don't have to get her flowers, take it from me.
[03:21:14.077 --> 03:21:15.179]  Send her flowers.
[03:21:15.179 --> 03:21:16.521]  She'll be so happy when you do.
[03:21:16.761 --> 03:21:23.247]  And right now, you can get her one dozen assorted roses with a free glass face for $19.99 plus shipping and handling.
[03:21:23.247 --> 03:21:26.270]  And this week only, we'll also include free chocolates!
[03:21:26.270 --> 03:21:30.735]  Just go to proflowers.com, click the blue microphone in the upper right corner, and enter secret code 9494.
[03:21:32.096 --> 03:21:36.580]  These gorgeous roses are guaranteed to stay fresh and beautiful for at least seven days.
[03:21:36.580 --> 03:21:39.262]  Plus, you pick the delivery date and it's guaranteed.
[03:21:39.262 --> 03:21:39.623]  Hurry!
[03:21:39.623 --> 03:21:47.090]  You must order by this Friday to get one dozen assorted roses with a free glass vase and free chocolates starting at $19.99.
[03:21:47.090 --> 03:21:50.853]  The only way to get this incredible deal is to go to ProFlowers.com.
[03:21:50.853 --> 03:21:54.096]  Click the blue microphone in the upper right corner and enter secret code 9494.
[03:21:54.096 --> 03:21:54.856]  That's ProFlowers.com code 9494.
