[00:00:05.188 --> 00:00:07.212]  Important instructions will follow.
[03:03:20.780 --> 03:03:21.840]  We work people to death.
[03:03:21.880 --> 03:03:22.400]  It's liberal.
[03:03:22.420 --> 03:03:23.381]  Oh, gosh, liberal.
[03:03:24.101 --> 03:03:25.621]  Mark Zuckerberg's taking Hawaiian lands.
[03:03:25.681 --> 03:03:26.101]  It's okay.
[03:03:26.121 --> 03:03:26.741]  He's Zuckerberg.
[03:03:27.161 --> 03:03:27.561]  It's all right.
[03:03:27.601 --> 03:03:28.202]  I'm Zuckerberg.
[03:03:28.462 --> 03:03:29.382]  Dumb heifers, I'm here.
[03:03:29.442 --> 03:03:29.982]  I'm your god.
[03:03:31.513 --> 03:03:33.813]  Meanwhile, a year ago, Paul Watson is coming up.
[03:03:33.833 --> 03:03:38.574]  The next segment was pointing out that George Clooney owns multiple palaces.
[03:03:38.594 --> 03:03:40.715]  His family is one of the richest families in Hollywood.
[03:03:41.375 --> 03:03:47.836]  And that he's in advertising bringing more migrants, more Islamists, but then he and his wife fled Europe saying it's too dangerous now.
[03:03:48.316 --> 03:03:49.037]  Yeah, bro!
[03:03:49.057 --> 03:03:51.637]  10 million unwashed crazies.
[03:03:53.337 --> 03:04:00.499]  And I'm sure some of them are really nice people, but they're being rained down by the EU to break down culture in a weaponized program.
[03:04:03.248 --> 03:04:03.989]  It's incredible.
[03:04:04.129 --> 03:04:07.293]  Dutch Airlines pro-gay tweet backfires.
[03:04:07.353 --> 03:04:11.238]  Kit Daniels' tweet reveals top-down conspiracy of social control.
[03:04:11.499 --> 03:04:21.512]  The Royal Dutch Airlines tried to use seatbelts for a pro-LGBT message, but 4chan noticed only the heterosexual buckles fastened together correctly.
[03:04:22.072 --> 03:04:33.303]  The tweet shows three belts with the top representing a lesbian couple, the middle a gay couple, and the bottom a heterosexual couple, but 4chan and Anons noticed the top two belts wouldn't fasten at all.
[03:04:33.684 --> 03:04:36.547]  But notice more than that subliminally, where's the heterosexual?
[03:04:37.127 --> 03:04:37.808]  On the bottom.
[03:04:38.849 --> 03:04:40.170]  Nothing against people that...
[03:04:41.207 --> 03:04:45.110]  Want to, you know, bump these together, or these together, or whatever.
[03:04:45.390 --> 03:04:51.034]  The point is, these are meant to couple together, and the globalists are targeting this to get rid of it because they want to reduce population.
[03:04:51.334 --> 03:04:52.816]  This is who's being discriminated against.
[03:04:53.136 --> 03:04:54.597]  This is who's being targeted.
[03:04:54.977 --> 03:04:58.880]  This, this, the heterosexual operation, the earthlings, us!
[03:04:59.300 --> 03:05:02.663]  We'll be back with Paul Watson and the devastating McMaster News.
[03:05:07.478 --> 03:05:10.421]  And it is the exact same product, just the name is different.
[03:05:10.601 --> 03:05:11.482]  Emrix Essentials.
[03:05:11.822 --> 03:05:13.743]  It's on average 20% off.
[03:05:14.024 --> 03:05:19.208]  On top of that, if you sign up for AutoShip, you get an additional 25% off.
[03:05:19.829 --> 03:05:23.412]  Emrix Essentials is all about personal care.
[03:05:23.832 --> 03:05:24.453]  Hygiene.
[03:05:24.753 --> 03:05:25.974]  Not getting skin cancer.
[03:05:26.454 --> 03:05:28.957]  Not getting bit by a bunch of bugs and mosquitoes.
[03:05:29.437 --> 03:05:30.378]  It's all there.
[03:05:30.678 --> 03:05:35.339]  Infowarslife.com, Infowarsstore.com, and you'll find Emmerich's Essentials.
[03:05:35.519 --> 03:05:42.841]  Of the 30-plus proprietary products that we've developed for Infowarslife.com, DNA Force is the flagship.
[03:05:43.241 --> 03:05:51.803]  This highly advanced formula has been sold out for close to six months due to a worldwide shortage of the sought-after ingredients.
[03:05:52.163 --> 03:06:09.266]  Today I'm very excited to announce that we have received a limited shipment of DNA Force and despite the fact that we have been sold out for close to six months, I'm still discounting it 20% because I want listeners and viewers that haven't tried DNA Force yet to actually get a chance to see how amazing it is.
[03:06:09.406 --> 03:06:18.509]  You can't lose when you support the InfoWar and get great products at InfoWarsLife.com or by calling toll-free, 888-253-3139.
[03:06:18.669 --> 03:06:20.690]  DNA Force is back in stock.
[03:06:21.010 --> 03:06:25.832]  You can get an additional 10% off when you sign up for AutoShip, and you can cancel anytime.
[03:06:25.972 --> 03:06:29.813]  InfoWarsLife.com or 888-253-3139.
[03:06:29.873 --> 03:06:33.554]  And again, thank you for making the InfoWar possible.
[03:06:33.954 --> 03:06:35.335]  You are the InfoWar.
[03:06:35.655 --> 03:06:38.317]  Look, I'm not gonna sit here and say, see I told you so.
[03:06:38.557 --> 03:06:41.619]  That communist Chinese style net censorship is coming to the web.
[03:06:41.919 --> 03:06:42.699]  Because it's already here.
[03:06:43.080 --> 03:06:43.740]  It's being announced.
[03:06:44.100 --> 03:06:47.582]  The way you keep the internet open and free is you get involved more than ever.
[03:06:48.003 --> 03:06:49.964]  Go to InfoWars.com forward slash app.
[03:06:50.044 --> 03:06:51.605]  A new battleship in the fight.
[03:06:51.785 --> 03:06:52.806]  InfoWars Live.
[03:06:52.966 --> 03:06:53.806]  Available right now.
[03:06:54.066 --> 03:06:55.427]  We're looking for a crew to man it.
[03:06:55.868 --> 03:06:58.269]  You gonna sit down and play games and be a trendy?
[03:06:58.969 --> 03:06:59.870]  Or you gonna be part of history?
[03:07:00.430 --> 03:07:03.452]  Don't sit by and let the internet and free speech be stolen from you.
[03:07:03.932 --> 03:07:04.493]  Take action!
[03:07:05.490 --> 03:07:09.692]  Men, give your body the support it needs with InfoWars Life Prostagard.
[03:07:10.212 --> 03:07:14.094]  It's time to start assisting the body in regulating proper prostate balance.
[03:07:14.654 --> 03:07:25.259]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[03:07:25.879 --> 03:07:33.644]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[03:07:33.844 --> 03:07:42.849]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[03:07:43.209 --> 03:07:53.475]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[03:07:53.955 --> 03:07:57.078]  Now's the time to start naturally supporting your body.
[03:07:57.398 --> 03:08:01.602]  Get Prostagard on your side today exclusively at InfoWarsLife.com.
[03:08:02.022 --> 03:08:03.163]  That's InfoWarsLife.com.
[03:08:15.009 --> 03:08:15.750]  Big Brother.
[03:08:16.171 --> 03:08:17.412]  Mainstream media.
[03:08:17.953 --> 03:08:18.854]  Government cover-ups.
[03:08:19.855 --> 03:08:21.277]  You want to stop tyranny?
[03:08:21.538 --> 03:08:22.679]  Well, so does he.
[03:08:23.200 --> 03:08:27.786]  Live from the InfoWars.com studios, it's Alex Jones.
[03:08:31.366 --> 03:08:33.547]  Ladies and gentlemen, we're into hour number four.
[03:08:33.647 --> 03:08:40.451]  I'm turning the baton over in mere minutes to Paul Joseph Watson, known across the internet as PJW.
[03:08:40.971 --> 03:08:50.517]  A big globalist think tank yesterday put out a huge study, I forgot to even get to this, showing algorithms and maps of who's the most popular on the web.
[03:08:51.537 --> 03:08:55.922]  And who on Twitter is the biggest supporter of President Trump?
[03:08:55.962 --> 03:08:57.443]  And that's how they're framing it.
[03:08:57.483 --> 03:09:03.229]  It's who is most related to supporting and sharing information of President Trump.
[03:09:03.730 --> 03:09:09.676]  Well, it's the guy that said, I'm officially off the Trump train when it came to foreign policy a few months ago.
[03:09:09.856 --> 03:09:11.057]  It's Paul Joseph Watson.
[03:09:11.974 --> 03:09:16.417]  We're only supporting Trump because he believes in what he's doing, he's a good guy, he's fighting the globalists.
[03:09:16.697 --> 03:09:19.019]  Does it mean his perspective is perfect according to ours?
[03:09:19.079 --> 03:09:19.339]  No!
[03:09:19.699 --> 03:09:21.361]  But he's really being the president.
[03:09:22.261 --> 03:09:27.185]  And of course, it also showed Cernovich, just as influential on Twitter as Paul Watson.
[03:09:27.365 --> 03:09:27.945]  Amazing!
[03:09:29.006 --> 03:09:30.367]  And I was proud to get the blame.
[03:09:31.027 --> 03:09:33.009]  They said, Jones gets the blame.
[03:09:33.589 --> 03:09:34.870]  He's causing all the hate.
[03:09:36.011 --> 03:09:38.593]  And then the International Business Time had a little tattletale article.
[03:09:40.006 --> 03:09:40.826]  Saying it's terrible.
[03:09:41.507 --> 03:09:52.631]  Jones hasn't been removed off the web for bullying a poor professor that said that, you know, Roman England was black.
[03:09:53.522 --> 03:09:55.044]  Again, we're not bashing black people.
[03:09:55.524 --> 03:10:01.210]  There's this total assault on white people meant to make us all go into racial groups and hate each other.
[03:10:01.811 --> 03:10:06.316]  It's Balkanization, the opposite of what Martin Luther King talked about, so there's all this to go over.
[03:10:06.336 --> 03:10:07.197]  But here's the big news.
[03:10:07.597 --> 03:10:09.519]  I wanted to get Paul's take on it, and he's taken over.
[03:10:09.940 --> 03:10:12.743]  Bombshell, exclusive intelligence agency.
[03:10:13.283 --> 03:10:16.746]  Caught McMaster briefing Soros on White House takeover.
[03:10:17.167 --> 03:10:19.649]  McMaster leaking intel to Soros almost daily.
[03:10:20.009 --> 03:10:27.116]  Says high-level Israeli intelligence source directly to our source, Roger Stone.
[03:10:28.177 --> 03:10:30.539]  And notice, Cernovich is saying the exact same stuff.
[03:10:30.559 --> 03:10:35.063]  They've gone from saying we make stuff up to saying it's horrible, we've got the best intel.
[03:10:36.044 --> 03:10:37.706]  We even know where McMaster's eating.
[03:10:38.840 --> 03:10:39.120]  Yes.
[03:10:40.341 --> 03:10:42.282]  And my sources are not the Israelis.
[03:10:42.342 --> 03:10:47.184]  I have sources in the White House, obviously, and in the military, and some other places.
[03:10:47.224 --> 03:10:47.925]  We'll leave it at that.
[03:10:47.985 --> 03:10:53.468]  But the Israelis are grabbing publicly available stuff that this guy's putting out over the Wi-Fi.
[03:10:54.451 --> 03:10:54.631]  I don't
[03:11:18.021 --> 03:11:20.943]  Man, this gets better by the minute, McMaster!
[03:11:21.423 --> 03:11:22.283]  McMasterbater.
[03:11:23.204 --> 03:11:27.826]  So, he's really trying to pull the wool over our eyes.
[03:11:27.846 --> 03:11:29.067]  I don't think it's working too well.
[03:11:29.988 --> 03:11:31.849]  What do you think's going on here, Paul Watson?
[03:11:31.869 --> 03:11:32.269]  Take over.
[03:11:32.609 --> 03:11:33.169]  We salute you.
[03:11:34.750 --> 03:11:35.270]  Thanks, Alex.
[03:11:35.330 --> 03:11:43.475]  Yeah, there's been a massive panic from the deep state apologists, the mainstream media, the fake news journalists over the past probably week or even more now.
[03:11:44.326 --> 03:11:49.688]  Merely about the fact that we've been tweeting, myself, Mike Cernovich, Jack Posobiec and everyone else.
[03:11:50.720 --> 03:11:52.341]  Hashtag Fire McMaster.
[03:11:52.841 --> 03:12:01.804]  Now, Jake Tapper came out today on the back of that bombshell exclusive that you just mentioned just before that came out and basically had a hissy bit.
[03:12:01.904 --> 03:12:11.627]  He was triggered by the fact that Mike Flynn Jr., Mike Flynn's son, was retweeting me and Cernovich on our hashtag Fire McMaster tweets.
[03:12:11.967 --> 03:12:13.388]  Which, by the way, Mike Flynn Jr.
[03:12:13.428 --> 03:12:16.389]  has been retweeting us for probably well over a year now.
[03:12:16.449 --> 03:12:17.569]  That's not a story.
[03:12:17.989 --> 03:12:19.430]  Why is Jake Tapper
[03:12:19.910 --> 03:12:27.191]  One of the most prominent people at CNN panicked about the fact that he's retweeting us on Fire McMaster.
[03:12:27.231 --> 03:12:30.472]  By the way, codename Humpty Dumpty.
[03:12:31.812 --> 03:12:41.214]  Yeah, and by the way, we're trying to get that to trend again on Twitter right now, which is always an uphill struggle, Alex, because the demotion, that stealth censorship is through the roof.
[03:12:41.794 --> 03:12:45.674]  And that ties into something else, Alex, and I'll get back to McMaster as well.
[03:12:46.355 --> 03:12:48.415]  But breaking as of 10 minutes ago,
[03:12:49.666 --> 03:12:59.232]  On the back of this huge scandal with Google, the engineer coming out and putting out a memo saying basically conservatives are targeted for their opinion, they're discriminated against.
[03:12:59.792 --> 03:13:03.795]  Men and women are biologically different and suited to different tasks.
[03:13:03.855 --> 03:13:11.079]  He actually voiced that thought crime, Alex, and for that he was hounded, doxxed, fired by Google.
[03:13:11.439 --> 03:13:13.961]  Well, it's come out now in the past 20 minutes or so
[03:13:14.787 --> 03:13:22.113]  What we already knew, it's been confirmed, Google Insiders have confirmed, not only is Google demoting, i.e.
[03:13:22.173 --> 03:13:36.365]  changing their algorithms to push anti-PC content off their search results, anti-Islamic terror content off their search results, not only is Google doing that, which we knew about from the election, where they would send
[03:13:36.425 --> 03:13:38.386]  And by the way, last week that top professor
[03:13:53.797 --> 03:14:05.668]  A psychology professor who said, no, there are men and women and people saying that they're a woman who says they're a man and then a man has a baby, you know, that's basically imaginary.
[03:14:05.968 --> 03:14:07.189]  He was banned off Google.
[03:14:07.649 --> 03:14:18.559]  So, and by the way, I've noticed now all this old medical stuff about mainstream science, mainstream news articles about vaccines hurting people, about fibromyalgia, about Lyme's coming from
[03:14:20.080 --> 03:14:23.723]  Coming from Plum Island, which was declassified off the coast of New York.
[03:14:24.423 --> 03:14:25.424]  It's all gone!
[03:14:25.804 --> 03:14:35.991]  They just shoveled scientific reports at the top that are all in nomenclature you can't understand, and only put a bunch of scientific reports that no one can read now, and 50 pages deep.
[03:14:36.391 --> 03:14:38.072]  None of all the top links are there.
[03:14:38.353 --> 03:14:40.854]  So, I mean, Google is gone full sensor.
[03:14:41.175 --> 03:14:42.375]  It has extincted itself.
[03:14:42.716 --> 03:14:44.597]  I've always said we need to find an alternate.
[03:14:44.897 --> 03:14:47.439]  Paul, who do you think is still a half-decent one?
[03:14:48.319 --> 03:14:51.542]  That was as good as Google, because Google's not even good anymore.
[03:14:51.982 --> 03:14:53.002]  They're killing themselves.
[03:14:53.323 --> 03:14:58.726]  I mean, I let them know I was going to sue them three weeks ago, when they delisted us out of the first five pages.
[03:14:58.966 --> 03:15:00.267]  Suddenly, we're all back at the top.
[03:15:00.587 --> 03:15:01.728]  So it's so political.
[03:15:02.008 --> 03:15:07.992]  I'm like, I'm going to sue you for racketeering and civil rights violations, and I've got the documents you hired people to delist me.
[03:15:08.353 --> 03:15:09.954]  Oh, yes, let us put you right back at the top.
[03:15:10.214 --> 03:15:13.916]  But for everybody else that doesn't, it's just, Google is moving against us.
[03:15:13.956 --> 03:15:14.657]  Paul, sorry, go ahead.
[03:15:16.127 --> 03:15:21.343]  Well, what's also been confirmed, Alex, by this insider, which again I've been talking about for ages...
[03:15:22.401 --> 03:15:31.184]  They stop recommended videos by yours truly by other anti-SJW people from appearing on recommended video lists.
[03:15:31.264 --> 03:15:36.146]  That is absolutely huge because that's how you get most of your views on YouTube.
[03:15:36.686 --> 03:15:39.807]  Even with Infowars driving views, it's still more on YouTube.
[03:15:39.847 --> 03:15:48.811]  When they did the super deluxe that got 20 million views on Facebook and on YouTube, they would make it not available or glitched it where the audio was off or just killed them.
[03:15:49.791 --> 03:15:54.893]  When they figured out, oh, this attack, people like Alex, then they just stopped that, Paul.
[03:15:54.933 --> 03:15:56.353]  They're in live time.
[03:15:56.914 --> 03:15:57.254]  Look at this.
[03:15:57.334 --> 03:16:00.795]  Google Fires Diversity Manifesto author, James Damore.
[03:16:00.835 --> 03:16:05.477]  This is a confirmed high-level insider, as you said, up on InfoWars.com.
[03:16:06.417 --> 03:16:07.397]  It's amazing, Paul.
[03:16:07.737 --> 03:16:10.038]  I mean, they're really... So what does this signify to you?
[03:16:10.879 --> 03:16:11.679]  That they're now...
[03:16:13.297 --> 03:16:18.522]  Google, Facebook, Twitter, all of it is intensifying censorship 50 times what it ever was.
[03:16:18.903 --> 03:16:21.845]  Fake news is intensifying their lies about Trump, about us.
[03:16:22.346 --> 03:16:23.968]  CNN's saying the economy's horrible.
[03:16:24.268 --> 03:16:26.670]  I mean, these people are next-level liars.
[03:16:27.271 --> 03:16:30.294]  Does it signify they're getting ready to move with something big?
[03:16:30.334 --> 03:16:32.556]  Because they're saying they're getting ready to kill the president.
[03:16:34.261 --> 03:16:34.702]  Oh, totally.
[03:16:34.742 --> 03:16:37.285]  I mean, the hysteria is through the roof.
[03:16:37.385 --> 03:16:41.851]  People were thinking it would tail off, you know, after Trump was in office for six, seven, eight months.
[03:16:42.332 --> 03:16:42.832]  No way!
[03:16:43.333 --> 03:16:50.963]  As a result of this Google scandal, they're now talking about creating blacklists of anyone with conservative opinions, but not even just conservative opinions.
[03:16:51.283 --> 03:16:52.225]  If you disagree,
[03:16:52.865 --> 03:16:57.268]  With their claim that there aren't any differences biologically between men and women.
[03:16:57.508 --> 03:17:02.992]  You're a thought criminal, you're an alt-right neo-Nazi, and you're not allowed to have a decent paying job.
[03:17:03.252 --> 03:17:09.817]  They're literally calling for that off the back of this Google engineer going public and being fired for his hate crime.
[03:17:10.137 --> 03:17:11.378]  I mean, read what he said.
[03:17:11.398 --> 03:17:13.160]  He put out a 10-page memo, Alex.
[03:17:13.500 --> 03:17:14.862]  And it's dry.
[03:17:14.982 --> 03:17:15.763]  It's anodyne.
[03:17:16.023 --> 03:17:17.584]  It's not even that offensive.
[03:17:17.945 --> 03:17:23.450]  But the mere fact that he was a conservative within Google, they had to shame him.
[03:17:23.710 --> 03:17:24.932]  They publicly shamed him.
[03:17:24.952 --> 03:17:25.712]  They doxed him.
[03:17:25.752 --> 03:17:26.513]  They hounded him.
[03:17:26.553 --> 03:17:27.274]  They fired him.
[03:17:27.574 --> 03:17:29.276]  Now they're going to face a lawsuit from him.
[03:17:29.656 --> 03:17:32.399]  And again, it just gets to the heart of the matter, which is,
[03:17:33.019 --> 03:17:36.900]  No tolerance for diversity of opinion within Google whatsoever.
[03:17:37.220 --> 03:17:41.322]  So if they're doing that on the inside, of course they're going to do it on the outside.
[03:17:41.662 --> 03:17:55.826]  And this whistleblower, another whistleblower, we've got more coming out today, is saying that they had a complete hissy fit after the election, hysteria was rampant, and that's when they decided to ramp up that stealth censorship, which is why now
[03:17:56.908 --> 03:18:05.487]  Whenever I upload a YouTube video, Alex, and this is happening to a bunch of different uploaders, not only conservatives, people with an opinion, anyone.
[03:18:06.101 --> 03:18:10.883]  They delete hundreds of subscribers every time you upload a video.
[03:18:11.243 --> 03:18:17.306]  Now, my traction was so good over the past six months that I still managed to get past a million subscribers.
[03:18:17.326 --> 03:18:18.806]  Paul, let's explain how they're doing this.
[03:18:18.826 --> 03:18:19.987]  Let's explain how they're doing this.
[03:18:20.187 --> 03:18:27.730]  And I'm skipping this break so you have more time and the 50 break because this is the fourth hour and the network doesn't even seem like this is an important hour even though it has hundreds of stations and so that's fine.
[03:18:27.750 --> 03:18:30.711]  We skipped a lot of the breaks here because they haven't even ever monetized it.
[03:18:30.751 --> 03:18:31.191]  That's fine.
[03:18:31.992 --> 03:18:32.452]  But Paul,
[03:18:33.942 --> 03:18:41.826]  If you look at this, first they cut your funding off the channel that made some money 76% as soon as Trump got elected.
[03:18:42.186 --> 03:18:44.667]  They did that to all my channels and of course your channel is my channel.
[03:18:45.127 --> 03:18:48.089]  So that's 76% cutting in funding just on our YouTube platform.
[03:18:48.609 --> 03:18:53.371]  Now we always just grow more tentacles and get more support like a Hydra.
[03:18:53.391 --> 03:18:54.292]  Our listeners understand this.
[03:18:55.132 --> 03:18:56.833]  But see, now they're gonna block everything.
[03:18:56.853 --> 03:18:58.653]  And people keep saying, well, why are you on YouTube?
[03:18:58.974 --> 03:19:04.035]  Because it's the big dominant platform like Facebook because we're winning despite the censorship.
[03:19:04.155 --> 03:19:18.641]  It's the battlefield while we get people to go to Infowars.com and PrisonPlanet.com and while we get denial of service attacks and hack attacks and attempts to get rid of our sponsors and our suppliers and attempts to sabotage us.
[03:19:18.681 --> 03:19:20.422]  Yes, we know, folks, we know.
[03:19:20.622 --> 03:19:21.262]  Drudge is right.
[03:19:21.302 --> 03:19:23.983]  We should have our own things, not their electronic ghetto.
[03:19:24.343 --> 03:19:30.686]  But we have to go into the ghettos of Facebook and Twitter and YouTube and let folks know they're becoming classical ghettos.
[03:19:30.746 --> 03:19:35.688]  For folks that don't know, in Nazi Germany, the first thing they would do was say, you can't have a business.
[03:19:35.728 --> 03:19:36.969]  Then they'd move you into a ghetto.
[03:19:37.329 --> 03:19:38.590]  Then they'd start shutting you down.
[03:19:38.890 --> 03:19:40.170]  This is what they're doing.
[03:19:40.270 --> 03:19:44.492]  And we've got to have President Trump come after them, break them up for antitrust.
[03:19:44.872 --> 03:19:47.774]  The fact that they've noticed that Trump doesn't understand how this works.
[03:19:48.054 --> 03:19:49.134]  He knows they're fake news.
[03:19:49.174 --> 03:19:50.015]  He knows they're bad.
[03:19:50.555 --> 03:19:51.776]  But they're censoring him.
[03:19:51.856 --> 03:19:52.817]  They're blocking him.
[03:19:53.117 --> 03:19:54.779]  And we're getting memos of the president.
[03:19:55.099 --> 03:19:56.040]  He's looking into it.
[03:19:56.260 --> 03:20:01.385]  But all of his adjuncts, except for Scaramucci, go, no sir, that's not happening, and lie to him.
[03:20:01.845 --> 03:20:04.628]  Because they believe the power of Google will break the president.
[03:20:04.868 --> 03:20:06.390]  They're such damn cowards.
[03:20:06.670 --> 03:20:11.714]  If he just had a hundred people around him that weren't cowardly traitors, we would win easily, Paul.
[03:20:11.834 --> 03:20:12.215]  Go ahead.
[03:20:12.575 --> 03:20:16.799]  Instead, we're going into a total AI technocracy takeover nightmare.
[03:20:17.219 --> 03:20:21.002]  The left doesn't get, once our free speech is gone, theirs is gone too.
[03:20:21.303 --> 03:20:23.044]  They're the useful idiots on the left.
[03:20:23.404 --> 03:20:26.907]  There's no such thing as a left with Al Gore and George Soros.
[03:20:27.468 --> 03:20:29.690]  These people are international crime lords.
[03:20:30.310 --> 03:20:31.191]  You morons!
[03:20:31.792 --> 03:20:37.576]  I'm turning it over to you, but I'm going to show this one article that Cernovich sent me from the enemy, showing how you're the top enemy.
[03:20:37.596 --> 03:20:37.897]  Go ahead.
[03:20:39.625 --> 03:20:43.227]  No, I mean, people say, oh, why don't you just start your own video platform?
[03:20:43.388 --> 03:20:45.529]  It would be an echo chamber.
[03:20:45.569 --> 03:20:48.591]  I did it, and it cost us $50,000 a month in bandwidth!
[03:20:49.011 --> 03:20:51.333]  Infowars.com forward slash show!
[03:20:51.773 --> 03:20:52.354]  Sorry, go ahead.
[03:20:52.394 --> 03:20:54.935]  We actually want intellectual diversity.
[03:20:54.975 --> 03:21:09.565]  We want diversity of opinion, which is why we want to interact with people with different ideas, you know, because we're actually classical liberals, unlike Google, which wants to stealth censorship everybody and then claim they're the public commons, that they're going to give everybody a voice.
[03:21:09.785 --> 03:21:19.209]  Google's there to shut up about the execution vans in China and murder operations and whenever they have a massacre of Africans for their land, Google covers it up.
[03:21:19.229 --> 03:21:20.570]  The New York Times says it's okay.
[03:21:20.810 --> 03:21:25.652]  They're evil, hardcore, scientific psychopaths posing as liberals.
[03:21:26.452 --> 03:21:32.235]  The little pink outfits and the funny colored socks and the little moustaches are meant to be non-threatening.
[03:21:32.255 --> 03:21:33.876]  They're savage murderers.
[03:21:33.916 --> 03:21:34.276]  Go ahead.
[03:21:35.658 --> 03:21:46.925]  And the censorship is coming, Alex, because both Vice and the New York Times, far from, you know, alt-right publications, admitted separately that the right is dominating YouTube.
[03:21:46.965 --> 03:21:52.368]  And by the right, it's just anyone who's authentic who has any sense of rationality and common sense remaining.
[03:21:52.908 --> 03:21:53.929]  So they freaked out.
[03:21:54.349 --> 03:21:57.532]  We're completely dominating YouTube in terms of politics.
[03:21:57.552 --> 03:21:58.593]  There's no competition.
[03:21:59.013 --> 03:22:00.975]  All the SJW channels fail.
[03:22:01.575 --> 03:22:04.097]  The SJWs can't even talk!
[03:22:04.397 --> 03:22:11.363]  The SJWs just literally go... Like they're in a Body Snatcher movie!
[03:22:12.199 --> 03:22:13.980]  No, I mean, that is part of it, Alex.
[03:22:14.020 --> 03:22:16.341]  They're lazy, they're unfilial.
[03:22:16.441 --> 03:22:21.082]  They don't spend ten hours sat in front of a computer editing a YouTube video.
[03:22:21.122 --> 03:22:24.063]  They can just put out a tweet and virtue signal and it's easier for them.
[03:22:24.564 --> 03:22:28.385]  But again, New York Times Vice admits the right's dominating YouTube.
[03:22:28.405 --> 03:22:29.666]  They're freaking out about it.
[03:22:29.926 --> 03:22:31.346]  So now they're just gonna censor us.
[03:22:31.606 --> 03:22:33.667]  They're deleting hundreds of subscribers.
[03:22:34.047 --> 03:22:37.228]  The views have plummeted since April, since the adpocalypse.
[03:22:37.248 --> 03:22:38.469]  So it's not just about the money.
[03:22:38.889 --> 03:22:41.490]  Independent creators are gonna get absolutely crushed.
[03:22:41.890 --> 03:22:45.935]  And be demotivated from making videos in the first place.
[03:22:45.955 --> 03:22:51.661]  By the way, what's the name of the video where the, because they all do it, where the woman goes like body snatcher.
[03:22:51.682 --> 03:22:53.904]  Because we've noticed that's the standard deal but she's the best.
[03:22:53.924 --> 03:22:55.446]  I want to show folks I'm not joking.
[03:22:58.584 --> 03:22:59.265]  No, exactly.
[03:22:59.425 --> 03:23:09.152]  I mean, let's look at a segment from this memo that this Google engineer was fired for, was vilified for, was called a misogynist and a racist.
[03:23:09.432 --> 03:23:10.633]  This is what he concluded with.
[03:23:11.093 --> 03:23:12.074]  He said, suggestions.
[03:23:12.414 --> 03:23:23.102]  I hope it's clear that I'm not saying that diversity is bad, that Google or society is 100% fair, that we shouldn't try to correct existing biases or that minorities have the same experience as those in the majority.
[03:23:23.482 --> 03:23:29.406]  My larger point is that we have an intolerance for ideas and evidence that don't fit a certain ideology.
[03:23:29.906 --> 03:23:31.888]  So it's completely milquetoast.
[03:23:31.928 --> 03:23:40.293]  He's saying, oh, we shouldn't treat conservatives like crap and shame them into silence and not allow them to think that they have... Hold on, let's be fair, though.
[03:23:40.373 --> 03:23:41.914]  Under fair use... How dare he?
[03:23:42.195 --> 03:23:42.515]  Hold on.
[03:23:42.635 --> 03:23:45.317]  Under the fairness doctrine they're bringing back, let's give equal time to the other side.
[03:23:45.577 --> 03:23:48.059]  Let's play a popular standard SJW for a moment.
[03:23:48.419 --> 03:23:49.660]  Let's play, give some equal time.
[03:23:49.680 --> 03:23:52.882]  Let's let her communicate both verbally and non-verbally.
[03:23:52.922 --> 03:23:53.202]  Here it is.
[03:23:54.123 --> 03:23:56.265]  All of a sudden, they're growing like parasites.
[03:23:56.345 --> 03:23:57.226]  Is it contagious?
[03:23:58.627 --> 03:24:00.228]  It looked right at me.
[03:24:00.288 --> 03:24:02.931]  You're looking at it as if it was human.
[03:24:02.951 --> 03:24:03.812]  It was not human.
[03:24:06.074 --> 03:24:09.217]  Now, the classic fear begins to grow.
[03:24:09.277 --> 03:24:11.679]  We're being cornered!
[03:24:11.959 --> 03:24:14.842]  In a modern masterpiece of science fiction.
[03:24:42.898 --> 03:24:44.159]  Paul, I'm gonna let you take over.
[03:24:44.199 --> 03:24:49.122]  It's hard to get Paul to host a couple days a week, and then I always take over because I like Paul so much, and he works so hard, he's hard to get a hold of.
[03:24:49.622 --> 03:24:56.846]  But if you're not a TV viewer, we actually show body snatchers versus what they really act like in public, and I finally, I think I went crazy today.
[03:24:57.247 --> 03:24:58.187]  This is entertaining!
[03:24:58.207 --> 03:25:01.149]  We're in a dystopic, badass movie, man!
[03:25:01.849 --> 03:25:03.470]  I'm actually starting to enjoy this, Paul.
[03:25:03.490 --> 03:25:04.611]  I'm gonna go watch the rest of the show.
[03:25:04.631 --> 03:25:04.851]  Bye.
[03:25:05.532 --> 03:25:06.612]  Oh, oh, here's that one part.
[03:25:06.953 --> 03:25:08.493]  Alt-Right Open Intelligence Initiative.
[03:25:08.734 --> 03:25:09.934]  Have you seen this with the map?
[03:25:10.094 --> 03:25:10.715]  You're the big enemy?
[03:25:11.946 --> 03:25:12.647]  Have you seen that?
