[00:00:07.976 --> 00:00:08.336]  It's May Day.
[03:10:35.475 --> 03:10:43.497]  What happens if people double down, buy the product, spread the video, spread it by email, tell people word of mouth about Infowars.com, the forbidden information?
[03:10:45.457 --> 03:10:52.319]  I mean, it's just crazy to see the Federal Reserve Board member attacking us, George Soros' law firm suing us.
[03:10:52.839 --> 03:10:54.239]  I mean, it is amazing.
[03:10:54.872 --> 03:10:59.075]  Well, you know, Alex, one of the things that you know really gets me upset is eminent domain.
[03:10:59.135 --> 03:11:03.278]  I hate to see the government come in and steal people's ranches, steal their mining business, steal their lumber.
[03:11:03.718 --> 03:11:09.842]  And I hate to see somebody come from another country and get subsidized by U.S.
[03:11:09.902 --> 03:11:10.683]  taxpayers.
[03:11:10.863 --> 03:11:11.923]  And that's what's happening here.
[03:11:12.184 --> 03:11:13.945]  How did this guy get so much money?
[03:11:13.985 --> 03:11:15.686]  How did he get so many subsidies?
[03:11:15.726 --> 03:11:20.629]  The subsidized factories, the subsidized workers are trained for him at community colleges.
[03:11:20.689 --> 03:11:22.771]  And of course, it's because of his political connections.
[03:11:23.231 --> 03:11:24.392]  That's what people need to get upset about.
[03:11:24.412 --> 03:11:25.732]  It's the same model as Gulan.
[03:11:25.852 --> 03:11:27.133]  Same thing as the Gulan schools.
[03:11:27.413 --> 03:11:28.553]  Hundreds of billions of dollars of U.S.
[03:11:28.573 --> 03:11:28.774]  money.
[03:11:28.914 --> 03:11:29.434]  Yeah, yeah.
[03:11:29.534 --> 03:11:33.216]  Five hundred million dollars a year when I did the report a couple years ago.
[03:11:33.736 --> 03:11:37.237]  And of course they're growing schools and this network here in America all the time.
[03:11:38.038 --> 03:11:43.720]  And here in America, it's secular, but they push his Turkish connections a great deal.
[03:11:43.760 --> 03:11:45.001]  So what is it about all of this?
[03:11:45.101 --> 03:11:49.683]  I mean, we understand the involvement of the Saudis, and I've got a report here I want to talk about.
[03:11:50.003 --> 03:11:56.969]  The Handmaid's Tale, you know, that story that Margaret Atwood did about this horrific Christian patriarchy that takes over the country.
[03:11:56.989 --> 03:11:58.931]  And they made it into a film with Robert Duvall.
[03:11:59.011 --> 03:11:59.371]  That's right.
[03:11:59.471 --> 03:12:01.713]  Yeah, actually, my wife was an extra in that, Alex.
[03:12:02.194 --> 03:12:02.434]  Wow.
[03:12:02.894 --> 03:12:04.376]  We ought to do a review of that.
[03:12:04.416 --> 03:12:06.557]  In fact, the icon on the TV is the all-seeing eye.
[03:12:06.938 --> 03:12:09.060]  But really, that should have been about Islam.
[03:12:09.140 --> 03:12:09.300]  Yeah.
[03:12:09.580 --> 03:12:10.801]  Exactly, and that's the point.
[03:12:11.141 --> 03:12:19.126]  This is all happening at the same time that they're making Saudi Arabia part of the UN Commission on Women's Rights.
[03:12:19.527 --> 03:12:27.191]  They're already on the Human Rights Commission, now it's women's rights, and you see over the weekend, leftist worldwide war hajibs in solidarity.
[03:12:28.112 --> 03:12:34.559]  And if you look at these pictures of these women who are being subjugated in the Handmaid's Tale, okay?
[03:12:34.599 --> 03:12:36.702]  They're made to wear these costumes and so forth.
[03:12:47.894 --> 03:12:49.534]  And yet their faces are exposed.
[03:12:49.574 --> 03:12:56.176]  I mean, these are people that would be identified in Saudi Arabia as heretic whores.
[03:12:56.696 --> 03:12:58.436]  Infidel whores, that's what they would be calling them.
[03:12:58.956 --> 03:13:06.458]  And all the things that they're talking about in this dystopian novel are going on right now, and yet they're saying, this is reality of Trump's America.
[03:13:06.538 --> 03:13:07.098]  No, it's not!
[03:13:07.118 --> 03:13:09.679]  It's the reality of our allies in Saudi Arabia.
[03:13:09.979 --> 03:13:12.959]  But nobody will say that because of their political connections.
[03:13:13.279 --> 03:13:16.240]  They have so many connections into our monetary system.
[03:13:17.040 --> 03:13:19.342]  You're on fire.
[03:13:19.562 --> 03:13:20.844]  The globalists are the cultists.
[03:13:21.144 --> 03:13:22.745]  They want to destroy Christianity.
[03:13:23.166 --> 03:13:25.067]  That's why they'll ally with Islam, anything.
[03:13:25.128 --> 03:13:27.450]  They want to destroy Christianity.
[03:13:27.690 --> 03:13:31.193]  And George Soros is in the WikiLeaks saying he wants to destroy Israel.
[03:13:31.333 --> 03:13:31.693]  That's right.
[03:13:31.773 --> 03:13:33.555]  And so the ADL says here's more money.
[03:13:34.696 --> 03:13:35.337]  What does that tell you?
[03:13:36.348 --> 03:13:37.529]  Oh yeah, exactly.
[03:13:37.549 --> 03:13:44.852]  When we look at what's going on, as you point out, we welcome this investigation because we did the reports on this, we've talked about this in the past.
[03:13:45.413 --> 03:13:57.919]  How does this kind of stuff happen and yet we can't get anybody to pay any attention to how come a guy who won't say that he's not still a Turkish citizen, how does he get on the New York Fed?
[03:13:58.399 --> 03:14:01.322]  How does he get on the Federal Reserve Board, the one that makes all the policy?
[03:14:02.023 --> 03:14:08.509]  It's absolutely amazing, and this story you just gave me about Jerome Corsi, this is something again we have talked about over and over again.
[03:14:08.529 --> 03:14:13.534]  And by the way, this guy's a total public figure, and he says, oh, my yogurt company doesn't
[03:14:13.894 --> 03:14:14.534]  Bring in people.
[03:14:14.854 --> 03:14:16.295]  Well, of course they don't, technically.
[03:14:16.515 --> 03:14:18.056]  But then he's pushing the refugees.
[03:14:18.096 --> 03:14:18.836]  They're unvetted.
[03:14:19.056 --> 03:14:20.597]  He can't just blame it on the State Department.
[03:14:20.817 --> 03:14:21.538]  But there's the headlines.
[03:14:21.558 --> 03:14:22.458]  The Wall Street Journal, everywhere.
[03:14:23.338 --> 03:14:23.699]  Bloomberg.
[03:14:23.779 --> 03:14:26.120]  Jones sued for linking refugees to rape.
[03:14:26.480 --> 03:14:28.261]  Well, what the hell do you think's happening?
[03:14:28.541 --> 03:14:30.021]  In Europe, they arrest you for it.
[03:14:30.502 --> 03:14:37.305]  See, the whole point of that report that I did, when I did that, was because... It's your report we're being sued for in the headline.
[03:14:38.205 --> 03:14:39.206]  And what's crazier is...
[03:14:40.239 --> 03:14:45.267]  David, they were being sued for saying that the Islamists coming in increased TB.
[03:14:45.688 --> 03:14:46.830]  It did increase in the town 500%.
[03:14:46.870 --> 03:14:48.152]  That's right.
[03:14:48.172 --> 03:14:49.534]  I mean, it's admitted.
[03:14:49.574 --> 03:14:51.297]  So this is just pure intimidation.
[03:14:51.497 --> 03:14:52.239]  But let me ask you this.
[03:14:52.279 --> 03:14:54.302]  I've talked to five top lawyers who've engaged two of them.
[03:14:55.287 --> 03:14:56.989]  Guys that have gone up against these groups before.
[03:14:57.469 --> 03:15:00.873]  People that represented the Boston Herald when the Islamists sued them a few years ago.
[03:15:01.353 --> 03:15:03.175]  And they said, no, it's a pure publicity stunt.
[03:15:03.475 --> 03:15:04.556]  This is a very bad case.
[03:15:04.616 --> 03:15:06.638]  So, what are they even thinking?
[03:15:06.839 --> 03:15:08.180]  Is it just to say I'm fake?
[03:15:08.320 --> 03:15:08.921]  I'm fake?
[03:15:08.941 --> 03:15:10.622]  And hopefully get other people to sue me?
[03:15:10.662 --> 03:15:11.223]  I mean, what is it?
[03:15:11.443 --> 03:15:16.285]  I think they're going to get some very bad publicity out of this, because they don't want people to know what's really going on.
[03:15:16.365 --> 03:15:18.106]  And that was the point of my report!
[03:15:18.146 --> 03:15:28.330]  I said, look, we had these situations with a lot of concern about so many refugees coming into this small town in Idaho, and when this... And the media covered up a year ago that there were the assaults, now they plead guilty?
[03:15:28.510 --> 03:15:37.816]  That's right, they said it was fake news for the longest time, and then at the end of the week, they came in, they closed the case, they said, alright, they've pled guilty, and within a couple of days, 60 Minutes does a puff piece on them.
[03:15:37.976 --> 03:15:45.161]  Doesn't mention the negative consequences or concerns about negative consequences whatsoever, so it simply makes it all about the jobs that he created.
[03:15:45.401 --> 03:15:48.944]  He says, hey, when I bring somebody into this country and I give them a job, they're no longer a refugee.
[03:15:48.984 --> 03:15:52.766]  Well, you know, why aren't you trying to stop the wars in those countries?
[03:15:53.006 --> 03:15:58.390]  We've got seven countries, the same seven countries that Donald Trump said we're going to do extreme vetting on.
[03:15:58.630 --> 03:16:00.291]  Those are countries we're at war with.
[03:16:00.331 --> 03:16:01.431]  We're bombing the people there.
[03:16:01.451 --> 03:16:02.111]  Where is the left?
[03:16:02.131 --> 03:16:06.112]  Why don't they want to talk about stopping the war there for humanitarian purposes?
[03:16:06.132 --> 03:16:06.633]  Oh, exactly.
[03:16:06.933 --> 03:16:08.933]  Oh, I said Sandy Hook made me fake.
[03:16:09.033 --> 03:16:09.774]  I hurt children.
[03:16:09.794 --> 03:16:10.214]  I don't care.
[03:16:10.254 --> 03:16:10.894]  That's not true.
[03:16:11.134 --> 03:16:14.755]  They're the ones launching wars that kill millions, that starve hundreds of thousands to death.
[03:16:14.775 --> 03:16:15.935]  They have blood all over them.
[03:16:16.176 --> 03:16:17.196]  Let's go to a call here.
[03:16:17.316 --> 03:16:19.377]  Skits, you're on the air from Nebraska.
[03:16:19.397 --> 03:16:20.317]  Thanks for being a trooper.
[03:16:20.577 --> 03:16:22.418]  You're on the air worldwide listening on Shortwave.
[03:16:23.338 --> 03:16:23.978]  Thank you, sir.
[03:16:26.239 --> 03:16:27.039]  President Trump.
[03:16:27.779 --> 03:16:36.026]  I started getting worried when that Secret Service agent happened to leave her computer in the car and the computer got stolen.
[03:16:36.106 --> 03:16:36.366]  Yes.
[03:16:36.686 --> 03:16:46.114]  Okay, so I think Mr. Trump, they've got some kind of a hold on him because the moves that he's making were not the moves that I voted for.
[03:16:46.574 --> 03:16:48.896]  What I think he needs to do is, number one,
[03:16:50.615 --> 03:16:55.638]  Give Jared Kushner and his daughter, unfortunately, Ivanka the boot.
[03:16:56.159 --> 03:17:06.166]  Although, I think before he does, he should give his daughter a copy of the Declaration of Independence and the Constitution to study, and maybe she'll know what's going on.
[03:17:08.187 --> 03:17:09.548]  Bring back Steve Bannon.
[03:17:09.908 --> 03:17:10.949]  Bring back Flynn.
[03:17:11.289 --> 03:17:15.012]  Get rid of McMaster, who was a Hillary supporter, instead of
[03:17:17.369 --> 03:17:22.070]  Look how they're claiming Flynn's a Russian agent because he got paid to go speak at a TV event in Russia.
[03:17:22.350 --> 03:17:22.550]  Yeah.
[03:17:22.691 --> 03:17:25.331]  Again, you're not allowed to have any contact with Russia or you're a spy.
[03:17:25.671 --> 03:17:29.932]  The biggest problem with Flynn was that he said the words radical Islamic terror.
[03:17:30.292 --> 03:17:37.094]  And of course when he was replaced, the first thing, the very first meeting that McMaster had his replacement said we're not going to use that term.
[03:17:37.274 --> 03:17:37.774]  Absolutely.
[03:17:38.014 --> 03:17:39.375]  David's gonna be taken over here in a minute.
[03:17:39.415 --> 03:17:40.195]  Great point, Skits.
[03:17:40.235 --> 03:17:40.695]  Anything else?
[03:17:41.715 --> 03:17:41.975]  Yes.
[03:17:42.716 --> 03:17:42.996]  Okay.
[03:17:44.440 --> 03:17:45.660]  Get rid of McMaster.
[03:17:47.201 --> 03:17:52.662]  I would say get rid of his Treasury Secretary and bring in Katherine Austen-Fitz.
[03:17:55.003 --> 03:17:56.884]  Let's get Katherine Austen-Fitz back on.
[03:17:57.384 --> 03:17:58.044]  She's a great lady.
[03:17:58.064 --> 03:17:58.784]  We never get her on.
[03:17:58.804 --> 03:17:59.504]  All right, we're out of time.
[03:17:59.524 --> 03:18:02.285]  I've got to jam in one more who's been holding the longest here.
[03:18:02.365 --> 03:18:04.326]  Dean, you're on The Year with David Knight.
[03:18:04.366 --> 03:18:04.686]  Go ahead.
[03:18:05.926 --> 03:18:06.806]  Hey, Alex.
[03:18:06.827 --> 03:18:08.027]  The sleeper has awakened.
[03:18:08.747 --> 03:18:09.607]  Yes, sir.
[03:18:09.787 --> 03:18:10.648]  Yeah, God bless you.
[03:18:12.506 --> 03:18:27.230]  I said an idea for lowering health care, there's Stephen Wiseman at Change.org has a petition for health care pricing which would totally cut the cost in half.
[03:18:27.530 --> 03:18:29.251]  Oh yeah, there's so many great things they could be doing.
[03:18:30.413 --> 03:18:35.577]  Yeah, and I'd also like to say I'm a writer from Milwaukee and I want to help you guys.
[03:18:35.757 --> 03:18:37.218]  I totally believe... Well, let me say this.
[03:18:37.258 --> 03:18:40.901]  Anybody that wants to write op-ed pieces for us or articles, we've got to vet them, obviously.
[03:18:40.921 --> 03:18:43.182]  If you write us a bunch of great articles, we can maybe hire you.
[03:18:43.523 --> 03:18:45.464]  Send them to ShowTipsAtInfoWars.com.
[03:18:45.864 --> 03:18:48.106]  I'm intending to try to hire some more reporters as well.
[03:18:48.466 --> 03:18:51.849]  We're going to just expand in the face of this and just hope the support comes through.
[03:18:52.750 --> 03:18:54.172]  Showtips at Infowars.com.
[03:18:54.372 --> 03:18:54.712]  What is it?
[03:18:54.772 --> 03:18:55.774]  Jobs at Infowars?
[03:18:55.794 --> 03:18:58.738]  I think jobs at Infowars.com is an address.
[03:18:58.798 --> 03:19:00.981]  I need to start plugging on air, but that's an ad I need to cut.
[03:19:01.261 --> 03:19:07.951]  But we're looking for more writers, more researchers, more editors, and more crew because I want to start going at least live.
[03:19:08.491 --> 03:19:14.999]  10 hours a day with radio shows and TV shows because the world's moving so fast and every time they try to shut us down, I try to expand.
[03:19:15.040 --> 03:19:15.740]  Dean, I love you.
[03:19:16.061 --> 03:19:16.782]  Thank you so much.
[03:19:16.882 --> 03:19:20.306]  Okay, if you want to get to these other callers, Jason in Germany and others, if you've got time, do it.
[03:19:20.366 --> 03:19:22.969]  If not, David, they'll be fine and understand, but I want to thank the callers.
[03:19:23.290 --> 03:19:24.151]  Got to as many as I could.
[03:19:24.171 --> 03:19:25.252]  I'll be back tomorrow to cover more.
[03:19:26.311 --> 03:19:27.991]  David's coming up the next 40 minutes.
[03:19:28.292 --> 03:19:30.692]  Nightly News tonight 7 o'clock central and more.
[03:19:30.772 --> 03:19:32.153]  We do that new live show 5 to 6.
[03:19:32.313 --> 03:19:35.393]  It's a beta test to train the other crews on live switching.
[03:19:35.714 --> 03:19:36.254]  Look for that.
[03:19:36.414 --> 03:19:36.954]  Tweet it out.
[03:19:37.054 --> 03:19:37.754]  Facebook it out.
[03:19:38.134 --> 03:19:38.674]  Word of mouth.
[03:19:38.714 --> 03:19:39.795]  Spread all the shows.
[03:19:39.895 --> 03:19:42.075]  Infowars.com forward slash show.
[03:19:42.535 --> 03:19:43.656]  Sign up for the free newsletters.
[03:19:43.696 --> 03:19:44.556]  We can get you intel.
[03:19:44.856 --> 03:19:45.716]  They're trying to censor.
[03:19:46.056 --> 03:19:47.897]  Infowars.com forward slash newsletter.
[03:19:48.617 --> 03:19:53.939]  53% off on the Caveman Total Paleo Bone Broth Turmeric and more.
[03:19:54.299 --> 03:19:57.061]  33% off till it runs out in the next few days of the Liver Shield.
[03:19:57.361 --> 03:19:58.081]  Please support us.
[03:19:58.101 --> 03:19:59.682]  We're under attack and these are great products.
[03:20:05.772 --> 03:20:06.613]  Lee Stranahan.
[03:20:06.833 --> 03:20:08.794]  Lee Stranahan was formerly with Breitbart.
[03:20:09.215 --> 03:20:10.475]  He knew Andrew Breitbart.
[03:20:10.515 --> 03:20:12.217]  He also knows Steve Bannon.
[03:20:12.557 --> 03:20:14.798]  He is now the editor of ThePopulous.us.
[03:20:14.858 --> 03:20:17.200]  He's a co-host on Fault Lines on Sputnik.
[03:20:17.781 --> 03:20:20.502]  And he has a citizen journalism school.
[03:20:20.522 --> 03:20:23.164]  You'll find that at citizenjournalismschool.com.
[03:20:23.184 --> 03:20:29.729]  But let's talk about the outsourcing of censorship first and the demonizing of individual sources, Lee.
[03:20:30.009 --> 03:20:32.430]  I don't like the term fake news, okay?
[03:20:32.490 --> 03:20:39.232]  There is such a thing as fake news, but the bigger problem, I think, is what I call narrative-driven news, which is this.
[03:20:39.312 --> 03:20:40.572]  Let's take a simple issue.
[03:20:40.612 --> 03:20:41.952]  I'm going to give just an example.
[03:20:42.712 --> 03:20:44.093]  Let's say immigration, okay?
[03:20:44.453 --> 03:20:48.094]  Now, let's say you've got two stories, and they're both completely true.
[03:20:48.874 --> 03:20:54.416]  One story is about a woman who came here illegally, and she's got three kids.
[03:20:54.496 --> 03:20:59.057]  She, you know, has worked for 20 years, but she's here illegally, and she's getting deported.
[03:20:59.737 --> 03:21:05.964]  The second story is about a woman whose child was killed by an illegal alien who'd been deported three times.
[03:21:06.745 --> 03:21:07.085]  Okay?
[03:21:07.445 --> 03:21:11.089]  Now, assume both of those stories are completely true, because those things both happened.
[03:21:11.149 --> 03:21:11.890]  Does that make sense?
[03:21:12.571 --> 03:21:12.791]  Right.
[03:21:13.432 --> 03:21:15.173]  Which story is CNN gonna cover?
[03:21:15.894 --> 03:21:16.134]  Right?
[03:21:16.495 --> 03:21:16.675]  Yes.
[03:21:16.955 --> 03:21:19.238]  The deportation story of the victim.
[03:21:19.318 --> 03:21:19.518]  Yeah.
[03:21:20.303 --> 03:21:22.124]  And which stories is Breitbart going to cover?
[03:21:22.204 --> 03:21:24.146]  You see what I'm saying?
[03:21:24.886 --> 03:21:35.093]  So my point here is that what they don't like about sites like InfoWars is that you guys cover stories that are outside their narrative.
[03:21:35.473 --> 03:21:37.314]  You're outside their normal lane.
[03:21:37.494 --> 03:21:41.637]  To me, the issue is, are people going to be honest with you about what their bias is?
[03:21:41.677 --> 03:21:42.638]  Everybody's got a bias.
[03:21:42.958 --> 03:21:48.039]  And always in the past we would see the same stories put out by ABC, CBS, NBC.
[03:21:48.079 --> 03:21:51.200]  They would all choose to report the same stories and they would have the same angle.
[03:21:51.680 --> 03:21:54.861]  Now we have people who are coming out with a different narrative.
[03:21:55.461 --> 03:21:57.482]  We report the facts and we analyze the facts.
[03:21:57.842 --> 03:22:02.223]  CNN reports the facts, they analyze the facts, but they tell you that their facts are the only facts.
[03:22:02.743 --> 03:22:05.384]  People can make up their own minds.
[03:22:05.484 --> 03:22:06.964]  And people can figure it out.
[03:22:06.984 --> 03:22:07.565]  You can, I can, David.
[03:22:07.585 --> 03:22:08.705]  All of the audience can.
[03:22:08.725 --> 03:22:09.925]  I can look at a New York Times story.
[03:22:25.050 --> 03:22:28.011]  And I know what their bias is, and I can filter that in.
[03:22:28.091 --> 03:22:34.714]  I can look at an Infowars story, and I know where it comes from, and I can filter that out, and I can make up my own damn mind.
[03:22:35.274 --> 03:22:36.435]  That's what's scary to them.
[03:22:36.955 --> 03:22:39.556]  They're frightened to death that we can make up our own minds.
[03:22:39.896 --> 03:22:47.700]  And the wake-up call for them was Donald Trump being elected, because whatever you thought about Donald Trump, he wasn't supposed to win, right?
[03:22:47.720 --> 03:22:49.060]  He was supposed to lose.
[03:22:49.700 --> 03:22:52.842]  And that's when they realized the genie's out of the bottle.
[03:22:53.542 --> 03:22:55.284]  And they can no longer control us.
[03:22:57.467 --> 03:23:01.371]  It's almost like there's an Info-War going on.
[03:23:03.794 --> 03:23:08.059]  Men, give your body the support it needs with Info-War's Life Prostagard.
[03:23:08.539 --> 03:23:12.343]  It's time to start assisting the body in regulating proper prostate balance.
[03:23:12.944 --> 03:23:23.634]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[03:23:24.174 --> 03:23:31.961]  The Prostagard formula does just that with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[03:23:32.161 --> 03:23:37.086]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols,
[03:23:37.606 --> 03:23:38.467]  We're good.
[03:24:16.283 --> 03:24:17.664]  Welcome back to the Alex Jones Show.
[03:24:17.704 --> 03:24:18.304]  I'm David Knight.
[03:24:18.324 --> 03:24:24.849]  In this fourth hour, we're going to go back to our callers here in just a moment to give you a preview of what's coming up.
[03:24:24.869 --> 03:24:32.754]  We're going to talk a little bit about May Day, what's behind that, but also the poster child for communism that we see today, troubled Venezuela.
[03:24:32.814 --> 03:24:34.955]  And we're going to tell you that's not an aberration.
[03:24:34.975 --> 03:24:37.617]  Of course, you'll hear that every time we talk about Venezuela.
[03:24:37.677 --> 03:24:41.619]  I always get comments from the socialists trolling us on YouTube saying, that's not typical.
[03:24:42.020 --> 03:24:42.580]  That's not typical.
[03:24:42.600 --> 03:24:45.162]  You want to talk about socialism, talk about Sweden.
[03:24:45.842 --> 03:24:48.204]  No, actually, Sweden is going to get there.
[03:24:48.365 --> 03:24:49.025]  They're on their way.
[03:24:49.105 --> 03:24:51.408]  They're just moving at a very slow pace.
[03:24:51.448 --> 03:24:55.412]  And they had much further to fall before they get to the point of Venezuela.
[03:24:55.472 --> 03:25:01.758]  No, Venezuela is now where all of these dictatorships, these kleptocracies are eventually going to wind up.
[03:25:01.778 --> 03:25:03.320]  So we're going to talk a little bit about Venezuela today.
[03:25:03.340 --> 03:25:06.222]  We're also going to talk about, as I pointed out, the Handmaid's Tale.
[03:25:06.883 --> 03:25:09.305]  This is a story that was released by Hulu.
[03:25:09.325 --> 03:25:10.566]  They refilmed this.
[03:25:10.746 --> 03:25:13.888]  My wife was in the 1990 version as a extra.
[03:25:13.988 --> 03:25:14.969]  Very small part in it.
[03:25:15.589 --> 03:25:16.810]  Just crowd scenes and stuff.
[03:25:16.870 --> 03:25:19.932]  And of course, they treated her pretty poorly.
[03:25:20.592 --> 03:25:22.354]  I don't think she went back after the first day.
[03:25:22.454 --> 03:25:26.156]  And she was horrified, horrified to find out what this movie was about.
[03:25:26.216 --> 03:25:27.617]  She didn't know anything about this.
[03:25:27.697 --> 03:25:28.938]  It's kind of like having
[03:25:30.319 --> 03:25:34.281]  Phyllis Schlafly finding out that she was an extra in Warren Beatty's Reds.
[03:25:34.781 --> 03:25:38.944]  My wife is so adamantly opposed to everything and all these lies in The Handmaid's Tale.
[03:25:38.964 --> 03:25:43.646]  So we're going to talk about The Handmaid's Burka, because that's really what this is truly about.
[03:25:44.046 --> 03:25:48.389]  It is everything that they're saying in The Handmaid's Tale, this dystopia that's there.
[03:25:48.989 --> 03:25:53.832]  It is far worse than that now in Saudi Arabia, but they cannot bring themselves to say that.
[03:25:54.392 --> 03:25:56.634]  It is simply about the evil of America.
[03:25:56.974 --> 03:25:58.595]  The evil of American patriarchy.
[03:25:58.895 --> 03:26:00.636]  The evil of American Christianity.
[03:26:01.297 --> 03:26:02.898]  That's what this tale is about.
[03:26:02.918 --> 03:26:10.543]  And we're going to show you an op-ed piece from someone who is writing for Salon, who talks about how she punked her class.
[03:26:11.223 --> 03:26:14.605]  And how it was so necessary to study this.
[03:26:14.646 --> 03:26:17.567]  How she did a fake book banning in her class.
[03:26:17.648 --> 03:26:19.749]  But, you know, this is what this is all about.
[03:26:19.989 --> 03:26:23.991]  Let's go back to our callers here and let's try to get this board cleared off the people that have been waiting here.
[03:26:24.011 --> 03:26:25.691]  Let's go to Jeff in Arizona.
[03:26:25.711 --> 03:26:26.212]  Jeff, go ahead.
[03:26:28.432 --> 03:26:28.713]  David?
[03:26:29.053 --> 03:26:29.713]  Yes, go ahead.
[03:26:30.573 --> 03:26:30.753]  Hey.
[03:26:32.954 --> 03:26:36.616]  Listen, I've been a long-time listener to your show.
[03:26:37.236 --> 03:26:41.378]  I've been paying attention to everything Alex has been saying ever since the Obama deception came out.
[03:26:41.758 --> 03:26:42.898]  It's been very eye-opening.
[03:26:43.559 --> 03:26:48.080]  And I know Alex constantly says things like, you know, don't bank me.
[03:26:50.670 --> 03:26:52.331]  I wanted to thank all the hard work you guys do.
[03:26:53.012 --> 03:26:59.719]  Anyway, I just wanted to say that this whole thing with Julian Assange, I'm very confused by it.
[03:27:00.139 --> 03:27:02.321]  Trump seems to be on top of a lot of things.
[03:27:04.203 --> 03:27:06.586]  A lot of domestic things to protect our country, but
[03:27:09.059 --> 03:27:20.643]  Well I think if you look at what's going on with this, and of course we've got an article up on InfoWars about it, talking about how this Vault 7, for example, severely embarrassed the CIA.
[03:27:21.444 --> 03:27:25.345]  And so I think that that's really what's behind this.
[03:27:25.405 --> 03:27:32.308]  And of course it's the bureaucracy there, the CIA is coming after him as well, and so it's
[03:27:33.488 --> 03:27:35.489]  Something that we need to speak out about.
[03:27:35.609 --> 03:27:44.511]  I don't think that we need to say now that Julian Assange is a bad guy, but of course Trump during the campaign was saying that Ed Snowden was a traitor.
[03:27:44.631 --> 03:27:47.571]  I don't think Ed Snowden was a traitor, but certainly WikiLeaks is not.
[03:27:47.671 --> 03:27:51.552]  What WikiLeaks has done is revealed true information about what was going on.
[03:27:51.592 --> 03:28:01.495]  Information that quite frankly was very helpful to Donald Trump, was very helpful to the cause that now CIA Director Pompeo is saying he doesn't
[03:28:02.455 --> 03:28:07.637]  Like Julian Assange wants to come after him, but of course he was applauding Julian Assange when he released this information.
[03:28:07.677 --> 03:28:13.639]  And I think if we look at Vault 7, I've had people say that Vault 7 is not classified.
[03:28:13.940 --> 03:28:24.304]  These hacks that they use to exploit into and to violate your privacy, that it's not classified because if it were, they would be guilty of distributing classified documents.
[03:28:24.344 --> 03:28:25.664]  So they would have some liability there.
[03:28:25.904 --> 03:28:28.105]  Also not copyrighted because they want to keep it secret.
[03:28:28.445 --> 03:28:29.466]  So it creates a very
[03:28:30.186 --> 03:28:34.369]  Difficult situation for them, that they don't want to address directly.
[03:28:34.809 --> 03:28:39.231]  So they're going to engage in underhanded techniques to try to do something about this.
[03:28:39.311 --> 03:28:40.112]  I don't approve of it.
[03:28:40.232 --> 03:28:46.916]  I think that Julian Assange has done a great favor to the world, to democracy here in America.
[03:28:47.476 --> 03:28:51.038]  I don't think that those DNC documents were even hacked into.
[03:28:51.098 --> 03:28:57.041]  That's a lie I think that was promulgated by people who were contractors to the DNC.
[03:28:57.101 --> 03:29:08.827]  WikiLeaks and a UK ambassador said, hey I traveled to the United States and was handed these documents in a park by somebody who was upset about the DNC and I gave these documents as a whistleblower inside the DNC.
[03:29:09.268 --> 03:29:09.728]  I gave these
[03:29:10.308 --> 03:29:16.775]  I've been told that he's a listener of your show, and like I said, I've been a longtime listener, but ever since the election is when I really
[03:29:33.329 --> 03:29:40.652]  Put my best focus and my best effort into paying attention to everything you guys have been saying, so please forgive my ignorance on a lot of issues.
[03:29:41.192 --> 03:29:47.134]  I love your show and all the hard work that everybody on your cast and crew does and everything that you guys are going through.
[03:29:47.735 --> 03:29:48.055]  Well, thanks.
[03:29:48.075 --> 03:29:48.755]  We're gonna work on it.
[03:29:48.855 --> 03:29:49.515]  We're gonna say it.
[03:29:49.655 --> 03:29:50.136]  And you know what?
[03:29:50.436 --> 03:29:52.757]  People need to make it clear to Donald Trump as well.
[03:29:52.797 --> 03:29:53.377]  We'll be right back.
[03:30:03.661 --> 03:30:16.233]  Although conservative commentator Ann Coulter backed out of showing up to her already-canceled speech at Berkeley, that didn't stop freedom-loving Americans from conducting a large First Amendment rally in its place.
[03:30:16.473 --> 03:30:24.601]  Prominent social media icons such as Gavin McInnes, Lauren Southern, Based Stickman, Baked Alaska, Brittany Pettibone, and Faith
[03:30:24.761 --> 03:30:28.745]  Goldie showed up to support free speech and gave speeches.
[03:30:29.006 --> 03:30:37.875]  Reports that the Berkeley police did their job in protecting the peace have come in, and apparently a total of six Antifa protesters were arrested.
[03:30:38.116 --> 03:30:43.622]  Two for resisting arrest, one for a drug violation, and another for possessing a weapon.
[03:30:43.962 --> 03:30:52.326]  Two more arrests were made earlier in the day for possession of a knife and obstructing an officer and wearing a mask to evade police.
[03:30:52.586 --> 03:30:58.428]  Despite these arrests, the protests remained peaceful and dialogue between both sides was present.
[03:30:58.648 --> 03:31:01.790]  This is Millie Weaver reporting to you for InfoWars.com.
[03:31:03.476 --> 03:31:11.267]  InfoWars is partnered with Defender Body Armor to bring you a new state-of-the-art line of advanced, highly tested body armor from InfoWarsStore.com.
[03:31:11.467 --> 03:31:17.014]  Defender Body Armor is certified to protect against all handgun rounds and even armor-piercing FN 5.7 pistol rounds.
