[00:00:03.792 --> 00:00:16.241]  He never gives up.
[01:10:15.426 --> 01:10:15.807]  By who?
[01:10:16.127 --> 01:10:16.868]  Secret Service?
[01:10:17.288 --> 01:10:18.529]  Yep.
[01:10:18.549 --> 01:10:18.609]  Wow!
[01:10:19.029 --> 01:10:21.051]  So Secret Service said I'm not allowed to be at Costco.
[01:10:21.071 --> 01:10:22.091]  Do you have any issues with that?
[01:10:22.111 --> 01:10:23.573]  We can get someone here to talk to you about it.
[01:10:24.013 --> 01:10:26.235]  I just am interested, like, why am I not allowed to be here?
[01:10:26.295 --> 01:10:27.756]  What's the reasoning for Secret Service?
[01:10:27.936 --> 01:10:34.020]  Well, we were told you weren't supposed to be here, so if you want to talk to somebody that gives those decisions out loud, we're more than happy to get somebody out to talk to you.
[01:10:34.040 --> 01:10:36.742]  Yeah, can you actually have someone come tell me why I'm not allowed to be here?
[01:10:37.883 --> 01:10:38.884]  Okay, so we looked into it.
[01:10:38.964 --> 01:10:40.606]  The General Manager doesn't have a problem with you being here.
[01:10:40.626 --> 01:10:42.127]  The Secret Service doesn't have a problem with you being here.
[01:10:42.147 --> 01:10:44.389]  You have a ticket, you can get in line, and you're not going to be disrupted.
[01:11:03.416 --> 01:11:10.821]  I mean, the big question everybody's asking is, including big Hillary donors, is why doesn't this lady just go the hell away?
[01:11:11.201 --> 01:11:20.446]  But again, there's a public list of where her book signings are across the United States, and I would suggest everyone go out and peacefully ask her, what happened at Benghazi?
[01:11:20.767 --> 01:11:21.907]  What happened with the emails?
[01:11:22.428 --> 01:11:24.529]  What happened to all those folks that got Arkansas-ed?
[01:11:25.089 --> 01:11:25.870]  Thanks for having me.
[01:11:25.930 --> 01:11:30.332]  So the American people would really like to know, what happened to your 33,000 emails?
[01:11:30.592 --> 01:11:32.834]  What happened in Benghazi?
[01:11:32.854 --> 01:11:33.574]  Go read the book!
[01:11:33.854 --> 01:11:36.756]  What happened with Newsweek and the cover, Madam President?
[01:11:37.317 --> 01:11:37.837]  Hillary Clinton.
[01:11:38.837 --> 01:11:39.297]  What happened?
[01:11:39.677 --> 01:11:40.558]  Are you a Costco member?
[01:11:40.958 --> 01:11:41.418]  Not anymore.
[01:11:41.438 --> 01:11:44.019]  So you canceled your membership because of this?
[01:11:44.039 --> 01:11:44.719]  Yes, we did.
[01:11:44.739 --> 01:11:45.059]  Wow.
[01:11:45.280 --> 01:11:49.661]  Oh, and almost forgot, it turns out Hillary is going to be in Austin November 17th.
[01:11:49.701 --> 01:11:53.803]  And you can believe we're going to have our crew down there trying to ask her serious questions.
[01:11:54.403 --> 01:11:56.944]  Who knows, I might even try to go ask her a question.
[01:11:57.184 --> 01:11:58.785]  It's still okay in a free country, right?
[01:11:59.485 --> 01:12:00.546]  Off to a free win!
[01:12:00.746 --> 01:12:03.387]  Off to a free win!
[01:12:06.038 --> 01:12:07.778]  So the info warriors are everywhere.
[01:12:07.818 --> 01:12:11.259]  Laura Loomer's going to ride shotgun with us in this segment and the next while we take phone calls.
[01:12:12.099 --> 01:12:15.800]  As well, she's wearing her Hillary for Prison shirts, which that's a collector's edition.
[01:12:15.820 --> 01:12:16.640]  We don't sell that one out.
[01:12:16.680 --> 01:12:19.540]  We have another newer version, Hillary for Prison 2017.
[01:12:20.101 --> 01:12:21.741]  But why go out and confront Hillary?
[01:12:21.781 --> 01:12:26.842]  Because the mainstream media won't, and her and Podesta still have a deep state trying to unseat Trump.
[01:12:26.862 --> 01:12:29.642]  So Laura Loomer, Laura Loomer at Twitter.
[01:12:29.662 --> 01:12:30.503]  Great job as usual.
[01:12:31.363 --> 01:12:32.903]  Thanks so much for having me.
[01:12:33.749 --> 01:12:34.130]  You bet.
[01:12:34.150 --> 01:12:35.093]  So you were there.
[01:12:35.133 --> 01:12:36.556]  What else do we not see that's on the tape?
[01:12:38.052 --> 01:12:41.153]  Well, there were a lot of women protesting, actually.
[01:12:41.213 --> 01:12:50.535]  I mean, the media likes to tell you that Westchester housewives and women living in Westchester and that the youth of America aren't conservative, that they're not Donald Trump supporters.
[01:12:50.595 --> 01:12:59.497]  But I saw probably about 10 Westchester housewives just out there waving Trump flags, wearing their Hillary for prison t-shirts.
[01:12:59.537 --> 01:13:05.439]  There was actually a woman who's a working professional in New York who has a house in Connecticut.
[01:13:05.879 --> 01:13:12.621]  Who wore her Hillary for prison shirt as well as her Clinton orange jumpsuit costume that she bought for Halloween.
[01:13:12.681 --> 01:13:20.784]  So, you know, the most enthusiastic protesters were middle-aged housewives and children, people who can't vote yet, but they're going to be able to vote in 2020.
[01:13:22.708 --> 01:13:26.450]  Well, Hillary really is this arrogant criminal that's already gotten away with so much.
[01:13:26.530 --> 01:13:33.314]  I mean, if people want to stop the globalist agenda, Soros and CNN are saying, go out, attack people, be Antifa, do all this.
[01:13:33.694 --> 01:13:36.996]  All we're saying is, go out to these events, go out and ask your real questions.
[01:13:37.376 --> 01:13:38.857]  Videotape it like Laura did.
[01:13:38.897 --> 01:13:39.578]  Put it online.
[01:13:39.658 --> 01:13:40.538]  Millions will watch it.
[01:13:40.859 --> 01:13:48.363]  And that triggers more people to not just take action, you know, online, but physically to do it in the information war.
[01:13:49.773 --> 01:13:50.493]  Yeah, no, exactly.
[01:13:50.513 --> 01:13:51.594]  And it's very simple, right?
[01:13:51.614 --> 01:13:59.296]  I mean, all you have to do is show up with a cell phone or a sign or, you know, a Hillary for Prison t-shirt and get footage.
[01:13:59.336 --> 01:14:03.557]  I mean, it's incredible what you can get, you know, just on your cell phone.
[01:14:03.597 --> 01:14:04.357]  It can go viral.
[01:14:04.437 --> 01:14:09.099]  I mean, I filmed that video in Barnes and Noble with my cell phone and my Periscope account on Twitter the other day.
[01:14:09.419 --> 01:14:14.340]  And like you said, it has millions of views and even the mainstream media picked it up.
[01:14:14.461 --> 01:14:15.761]  So, you know, there's
[01:14:16.479 --> 01:14:28.404]  There's just a lot that people can do and I really encourage people to look at the list I posted online that contains the dates of her tour and to go to the events and ask Hillary what happened, right?
[01:14:28.464 --> 01:14:30.284]  If you don't know how to do this or you're scared.
[01:14:30.324 --> 01:14:32.365]  Yeah, because the name of her book is what happened.
[01:14:32.405 --> 01:14:33.306]  It's at Laura Loomer.
[01:14:33.626 --> 01:14:34.206]  They're on Twitter.
[01:14:34.226 --> 01:14:38.508]  We've posted it at Infowars.com because she's pushing globalism.
[01:14:38.548 --> 01:14:39.628]  She's trying to overthrow Trump.
[01:14:39.948 --> 01:14:41.289]  She's trying to stop our election.
[01:14:41.709 --> 01:14:43.570]  She admittedly has moved in next to the White House.
[01:14:43.590 --> 01:14:44.310]  She's orchestrating this.
[01:14:44.810 --> 01:14:49.995]  Then we should go out and ask her, hey, what did happen with this?
[01:14:50.495 --> 01:14:55.759]  They want to bully us through political correctness and say we're all white supremacists and all this made up crap.
[01:14:56.020 --> 01:14:59.222]  Let's go out and ask her about calling black people predators.
[01:14:59.463 --> 01:15:04.207]  Let's go ask her about supporting the Nazi collaborator George Soros, right?
[01:15:04.267 --> 01:15:07.009]  Let's get in her face through legal and lawful systems.
[01:15:07.029 --> 01:15:10.252]  Let's let this bully know she's not going to bully us, Laura.
[01:15:11.274 --> 01:15:11.794]  Yeah, exactly.
[01:15:11.854 --> 01:15:20.701]  And also, too, if you don't feel like you have the courage or the time or the ability to go out and confront Hillary Clinton yourself, then you can protest economically.
[01:15:20.761 --> 01:15:23.303]  I mean, look, a lot of conservatives shop at Costco.
[01:15:23.623 --> 01:15:30.468]  Why is Costco, you know, allowing for a criminal... Well, you know the CEO is a total Obama globalist.
[01:15:30.528 --> 01:15:31.469]  I mean, he's the worst.
[01:15:32.332 --> 01:15:35.133]  Yeah, but regardless, conservatives shop at Costco.
[01:15:35.233 --> 01:15:38.294]  It's a store that sells items in full for families, right?
[01:15:38.614 --> 01:15:40.975]  Who are the people that are family-oriented in this country?
[01:15:40.995 --> 01:15:41.775]  It's conservatives.
[01:15:42.055 --> 01:15:44.036]  And so we should start using our weight.
[01:15:45.116 --> 01:15:45.636]  Exactly.
[01:15:45.696 --> 01:15:46.857]  This is economic warfare.
[01:15:46.877 --> 01:15:47.837]  They want to bankrupt us.
[01:15:47.857 --> 01:15:50.078]  They want to kick us off Google, kick us off Amazon.
[01:15:50.418 --> 01:15:52.799]  You know, we need to start letting them know, hey, we have buying power.
[01:15:53.119 --> 01:15:54.499]  We're not going to just roll over.
[01:15:54.539 --> 01:15:58.861]  We're going to study who you are and keep our money away from you if you're anti-free speech.
[01:15:58.881 --> 01:15:59.501]  We'll be right back.
[01:16:06.365 --> 01:16:09.246]  His best-selling book's been translated into scores of languages.
[01:16:09.286 --> 01:16:10.926]  The fourth political theory.
[01:16:11.026 --> 01:16:12.187]  Alexander Dugin is our guest.
[01:16:12.207 --> 01:16:13.847]  I want to get him back up for a full hour.
[01:16:13.867 --> 01:16:17.848]  I appreciate him coming on on short notice to talk about North Korea and the situation there.
[01:16:17.888 --> 01:16:20.249]  But I don't see how it doesn't go nuclear right away.
[01:16:20.629 --> 01:16:24.330]  So you'd want to secure China and Russia not getting involved or then we're all dead.
[01:16:24.930 --> 01:16:32.620]  Uh, because you can't take out the DMZ and the half million troops and 10,000 pieces of artillery every, you know, five miles or so, over 100,000 pieces.
[01:16:33.000 --> 01:16:37.186]  You can't have a strike and then not have them destroy Seoul or Tokyo.
[01:16:37.246 --> 01:16:39.448]  So first of all, concerning North Korea.
[01:16:40.966 --> 01:16:47.411]  I don't think that North Korea represents a real danger.
[01:16:47.872 --> 01:16:51.655]  That is a very unpredictable country with an unpredictable leader.
[01:16:52.215 --> 01:16:58.821]  But there are worse things than unpredictability.
[01:16:59.141 --> 01:17:04.206]  For example, a counter-strategy to destroy humanity.
[01:17:04.286 --> 01:17:07.949]  That is a basic ideology of globalists.
[01:17:08.289 --> 01:17:17.652]  I am absolutely sure that North Korea is lesser evil than globalist tendency.
[01:17:17.832 --> 01:17:18.653]  They are regional.
[01:17:18.773 --> 01:17:22.314]  The problem is that we should find a way
[01:17:23.132 --> 01:17:28.156]  To minimize the dangers and the threats from North Korea.
[01:17:28.617 --> 01:17:31.439]  And Russia has nothing to do with this regime.
[01:17:31.639 --> 01:17:36.944]  Because we are living more than 25 years outside of communist ideology.
[01:17:37.104 --> 01:17:41.087]  America and Trump under influence of globalists.
[01:17:41.347 --> 01:17:46.252]  They have given to North Korea before nuclear power.
[01:17:46.772 --> 01:17:51.819]  And Putin's crime is actually crushing the jihadis and Trump has joined him in that.
[01:17:51.839 --> 01:17:55.143]  That's why the globalists are so upset.
[01:18:03.354 --> 01:18:04.194]  Yeah, absolutely.
[01:18:04.295 --> 01:18:23.244]  And, for example, after North Korea, with its unpredictable leader, being armed with nuclear power, after that, the same people who have done that, they keep blaming that and trying to invade, to create
[01:18:23.584 --> 01:18:23.664]  Yes.
[01:18:44.960 --> 01:18:56.418]  Make China intervene and that is absolutely not sure that the China will intervene on the American side China always is playing its own game
[01:19:01.625 --> 01:19:03.666]  Electrify your day with Secret 12.
[01:19:03.926 --> 01:19:05.247]  It's like lightning in a bottle!
[01:19:05.487 --> 01:19:09.029]  We all have days in which we just can't seem to perform at the level we'd like to.
[01:19:09.389 --> 01:19:17.133]  InfoWars Live Secret 12 is designed to naturally energize your body and mind with two great tasting and super high quality forms of vitamin B12.
[01:19:17.333 --> 01:19:22.135]  Proper vitamin and nutrient intake is essential to keep your body functioning at optimum levels.
[01:19:22.295 --> 01:19:27.758]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[01:19:28.118 --> 01:19:35.640]  Secret 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake and support your body's natural systems.
[01:19:35.881 --> 01:19:40.322]  It pairs two forms of vitamin B12 into one explosive formula.
[01:19:40.602 --> 01:19:46.364]  Vitamin B12 supports healthy energy levels through red blood cell formation and aiding in the body's natural processes.
[01:19:46.484 --> 01:19:49.445]  But it also assists with many other functions of the body.
[01:19:49.645 --> 01:19:52.866]  Electrify your mind and body and take your health to the next level.
[01:19:53.186 --> 01:19:56.887]  Experience the power of Secret 12 at InfoWarsLife.com.
[01:19:57.067 --> 01:20:00.669]  That's InfoWarsLife.com.
[01:20:04.610 --> 01:20:07.271]  You're listening to the Alex Jones Show.
[01:20:24.697 --> 01:20:26.839]  Waging war on corruption.
[01:20:27.299 --> 01:20:28.981]  It's Alex Jones.
[01:20:31.503 --> 01:20:35.886]  So, Laura Loomer, great activist, great journalist, is our guest, riding shotgun with us for the rest of the hour.
[01:20:35.906 --> 01:20:37.347]  We're about to go to some of your phone calls.
[01:20:37.567 --> 01:20:45.273]  She's been going around, like journalists should, asking Hillary about Benghazi, about the 33,000 emails, about the Awan brothers, about all this stuff.
[01:20:45.373 --> 01:20:47.175]  I'm going to ask her in a moment, what else would she ask?
[01:20:47.215 --> 01:20:53.560]  But we're also going to go to your phone calls from JK in Washington, and Mike in Calgary, Canada, and many others that are patiently holding.
[01:20:54.568 --> 01:21:02.372]  But first off, before I get to this really good news about Trump, because if Trump's good, I'm going to talk about it.
[01:21:02.392 --> 01:21:03.392]  If he's bad, I'm going to talk about it.
[01:21:03.732 --> 01:21:04.413]  But it's good news.
[01:21:04.473 --> 01:21:08.134]  He says, I never said we're going to just do this Dreamer thing.
[01:21:08.174 --> 01:21:10.375]  I just executively killed it.
[01:21:10.435 --> 01:21:11.056]  That's a hoax.
[01:21:11.696 --> 01:21:15.358]  And he said, I'm not getting rid of my move away from carbon taxes.
[01:21:15.918 --> 01:21:17.759]  I'm not going to go along with the Paris climate deal.
[01:21:17.779 --> 01:21:18.799]  I already told you I'm not doing it.
[01:21:19.100 --> 01:21:19.840]  That's not true.
[01:21:20.862 --> 01:21:22.123]  But that creates a new question.
[01:21:22.163 --> 01:21:27.525]  Why are his adjuncts, why are his spokespersons out there saying that then?
[01:21:29.106 --> 01:21:30.666]  So that's a whole other enchilada.
[01:21:30.686 --> 01:21:35.849]  But Trump so far has done pretty much everything he said he would do or he's trying to do it.
[01:21:37.690 --> 01:21:39.830]  So I kind of got beaten up the last few days.
[01:21:40.971 --> 01:21:44.052]  People saying, why are you going along with him for DACA?
[01:21:44.473 --> 01:21:46.353]  Why are you suddenly supporting Trump being a traitor?
[01:21:46.373 --> 01:21:47.214]  Why aren't you burning your
[01:21:48.567 --> 01:21:49.247]  MAGA hat.
[01:21:49.268 --> 01:21:53.570]  So I burned the hat for fun and said, it's just a hat, but Trump hasn't betrayed us yet.
[01:21:54.571 --> 01:21:55.692]  Plus, he's not God.
[01:21:55.732 --> 01:21:56.873]  He can't get it all done.
[01:21:58.053 --> 01:22:00.535]  But you know a man by his enemies, and that's the globalist.
[01:22:01.115 --> 01:22:03.977]  And I'm not criticizing people that, you know, did stunts burning the hats.
[01:22:03.997 --> 01:22:04.818]  That's your right to do it.
[01:22:05.278 --> 01:22:08.761]  But Laura Loomer, I want to ask you how you woke up and what got you involved.
[01:22:08.781 --> 01:22:11.843]  But first, what do you make of all these controversies?
[01:22:11.863 --> 01:22:13.143]  Do you think Trump's selling us out?
[01:22:16.085 --> 01:22:18.247]  I wouldn't say he's necessarily selling us out.
[01:22:18.703 --> 01:22:27.008]  But I do, you know, I do kind of wonder why he's schmoozing with Nancy Pelosi and Schumer.
[01:22:27.028 --> 01:22:37.435]  And I miss the more aggressive Trumps, the Trumps that just really didn't care about what he said to people or, you know, offending people on the other side of the aisle.
[01:22:37.515 --> 01:22:38.556]  But, you know, maybe
[01:22:39.494 --> 01:22:42.635]  I personally have a theory that Trump is no longer tweeting for himself.
[01:22:42.695 --> 01:22:57.001]  I mean, when I look at the tweets that Donald Trump is putting out, like those tweets he posted the other day about DACA and, oh, do we really want to send people back who are serving in our military and people who are here illegally who have jobs and have been here their whole life?
[01:22:57.081 --> 01:22:58.961]  Like, yeah, actually we do.
[01:22:59.021 --> 01:23:00.882]  I mean, America first, right?
[01:23:00.902 --> 01:23:03.703]  I mean, they're taking jobs from young Americans.
[01:23:03.883 --> 01:23:05.704]  The point is, there's this entitlement.
[01:23:06.673 --> 01:23:08.315]  We're more of it than anybody else in the world.
[01:23:08.335 --> 01:23:09.396]  You come here, have your baby.
[01:23:09.436 --> 01:23:10.838]  The baby's paid for, taken care of.
[01:23:11.158 --> 01:23:12.059]  We're collapsing.
[01:23:12.099 --> 01:23:13.481]  Then they brainwash the immigrants.
[01:23:13.801 --> 01:23:15.343]  Hey, America, I get your issue.
[01:23:15.383 --> 01:23:16.044]  And you're right.
[01:23:16.304 --> 01:23:18.126]  The Twitter looks like it's not him now.
[01:23:18.446 --> 01:23:21.510]  They've gotten rid of all the people that actually got him into office.
[01:23:21.990 --> 01:23:23.272]  He's surrounded now.
[01:23:23.732 --> 01:23:25.554]  And so it's almost like, hey, don't worry.
[01:23:25.794 --> 01:23:26.976]  There's already been a soft coup.
[01:23:27.912 --> 01:23:28.693]  Yeah, I mean, I don't know.
[01:23:28.733 --> 01:23:30.074]  Maybe he is tweeting for himself.
[01:23:30.154 --> 01:23:34.517]  I mean, he did tweet a funny gif today, swinging a golf bat, you know.
[01:23:34.817 --> 01:23:35.338]  At Hillary.
[01:23:36.258 --> 01:23:37.119]  But, I mean, I don't know.
[01:23:37.139 --> 01:23:42.223]  I just, when I see those tweets and I see the language that's being used, it just doesn't sound like Trump is tweeting.
[01:23:42.283 --> 01:23:44.865]  And there's all of these rumors going around that, like,
[01:23:45.285 --> 01:23:57.678]  You know, they're censoring him, they're drugging him, and, you know, who knows if it's really true if they're giving him sedatives and if they're... Well, I've talked to high-level New York Times, Washington Post writers, and people that have given us good intel before, and they say it's happening.
[01:23:58.138 --> 01:24:00.160]  And so, look, he is surrounded.
[01:24:00.701 --> 01:24:05.526]  All I'm saying is, I don't believe it when Nancy Pelosi says he's gonna support DACA.
[01:24:05.846 --> 01:24:07.588]  I don't believe it till I actually hear him do it.
[01:24:07.648 --> 01:24:08.329]  That's what I'm saying.
[01:24:09.332 --> 01:24:16.699]  Yeah, no, and I have sources as well, and I've heard from people close to people inside the White House who have also told me that it's not true.
[01:24:17.700 --> 01:24:20.763]  So, I mean, I don't believe what Nancy Pelosi and Chuck Schumer are saying.
[01:24:20.783 --> 01:24:21.183]  Exactly.
[01:24:21.283 --> 01:24:25.767]  I'm saying we should trust but verify and kind of wait and see what happens, but here are the headlines.
[01:24:26.088 --> 01:24:33.635]  Trump will pull out of Paris climate change agreement, says White House, denies claim that he is considering staying in.
[01:24:34.235 --> 01:24:35.517]  So that's a Daily Mail article here.
[01:24:35.537 --> 01:24:36.258]  It is Gorka.
[01:24:36.618 --> 01:24:39.922]  Trump will be getting rid of people soon because he's not well served.
[01:24:40.383 --> 01:24:50.135]  Gorka, Dr. Sebastian Gorka, says that he is not planning to get out of his claim to block DACA and that it's all basically lies.
[01:24:50.475 --> 01:24:52.357]  So I certainly hope that's the truth.
[01:24:52.377 --> 01:24:52.818]  What do you think?
[01:24:54.710 --> 01:25:03.779]  I think that we wait until we hear it from Trump because look, the quickest way to make people turn on the president is by upsetting the base and making the base feel betrayed.
[01:25:03.819 --> 01:25:08.944]  Sure, so I'm not going to believe Pelosi or Schumer or CNN when they say Trump's betraying the base.
[01:25:08.984 --> 01:25:10.146]  I'm going to watch and see what happens.
[01:25:11.032 --> 01:25:18.317]  Because I think they understand that, and they're using it as a tool to disrupt Trump's base so that people don't support him any longer.
[01:25:18.417 --> 01:25:22.981]  But, you know, I think that people should just wait until Trump says it himself.
[01:25:23.401 --> 01:25:30.266]  Because I don't trust Nancy Pelosi, you shouldn't trust Nancy Pelosi, and I sure as hell don't trust Chuck Schumer, so you definitely shouldn't trust Chuck Schumer.
[01:25:32.173 --> 01:25:32.753]  I agree with you.
[01:25:32.773 --> 01:25:34.695]  We're going to go to some phone calls here in a moment.
[01:25:35.175 --> 01:25:40.259]  But even Floyd Mayweather, the video is up on InfoWars.com and NewsWars.com.
[01:25:40.279 --> 01:25:41.660]  Floyd Mayweather, Jr.
[01:25:41.680 --> 01:25:54.449]  defends Trump, slams leftist and ungrateful immigrants, and goes on to say Trump was given all these awards by black groups, he was loved before, no one ever said he was a racist before, and now he's basically bringing the country back, the economy back.
[01:25:55.549 --> 01:25:59.092]  Mayweather just says it's a stunt to attack Trump and manipulate people.
[01:26:01.604 --> 01:26:05.126]  Yeah, no, I loved seeing what Mayweather had to say the other day, right?
[01:26:05.186 --> 01:26:26.697]  Because he's an athlete and, you know, a lot of people like to criticize him because he's, you know, an African-American male and they make jokes about him not being educated, but he seems to be a lot more educated and a lot more reasonable and intelligent about the state of America and the state of our president than any other celebrity or... Well, you know what's educated?
[01:26:26.717 --> 01:26:28.758]  Doing your own thing and being successful.
[01:26:29.338 --> 01:26:32.321]  If you go get five degrees and are successful, great, but most people aren't.
[01:26:32.862 --> 01:26:35.385]  The point is, success is the real mark of success.
[01:26:36.986 --> 01:26:42.112]  Right, and education doesn't mean anything, and I think that in the field of journalism, you know,
[01:26:42.944 --> 01:26:43.905]  I've been able to show that.
[01:26:43.945 --> 01:26:52.452]  I mean, look, you see a lot of these people who spend hundreds of thousands of dollars attending, you know, upper echelon Ivy League journalism schools, and they haven't done anything impactful.
[01:26:52.792 --> 01:27:04.142]  But all it takes is one person with a cell phone, like during the election, the gentleman who filmed Hillary Clinton getting pushed into a van while she was having her episode, and that changed the election.
[01:27:04.202 --> 01:27:05.463]  And from what I understand, that
[01:27:05.623 --> 01:27:07.364]  Well, she was picked up like a side of beef.
[01:27:07.764 --> 01:27:08.264]  Exactly.
[01:27:08.864 --> 01:27:13.527]  It seems like the people that have the degrees are worthless because they're just waiting around being told what to do.
[01:27:13.547 --> 01:27:14.867]  Exactly.
[01:27:15.367 --> 01:27:20.670]  It's like getting a degree is like having a degree and being embalmed or like a corpse or something.
[01:27:21.667 --> 01:27:25.249]  Yeah, I always tell people when they say, oh, how did you get involved in journalism?
[01:27:25.269 --> 01:27:27.911]  Should I start, you know, journalism school?
[01:27:27.931 --> 01:27:29.332]  Should I major in journalism?
[01:27:29.392 --> 01:27:34.175]  It's like, eh, I mean, it might help, but I don't think college is worth anybody's money.
[01:27:34.395 --> 01:27:37.777]  Well, you go to journalism school, it's mainly a bunch of leftist brainwashing.
[01:27:38.257 --> 01:27:40.478]  I started out 22 years ago on AXS TV.
[01:27:40.898 --> 01:27:42.579]  I was syndicated two years later.
[01:27:43.759 --> 01:27:47.441]  Because I was covering real topics, covering real news, the public resonated.
[01:27:47.721 --> 01:27:49.742]  What matters is that free market of ideas.
[01:27:50.162 --> 01:27:59.726]  Laura, we're going to go to break in a minute and come back and take calls from Mike and Calgary, JR, JK, Jeremy, Joshua, Aaron, Karen, Nathaniel, Chris, Matthew, everybody.
[01:27:59.766 --> 01:28:02.407]  But briefly, in one minute, how did you wake up?
[01:28:02.467 --> 01:28:03.708]  What got you politically involved?
[01:28:04.963 --> 01:28:14.791]  Well, really, it was when I was in college and my university invited an imam who chanted Allahu Akbar at a 9-11 memorial service at my university.
[01:28:14.911 --> 01:28:17.113]  And I was just like, wow, this is insane.
[01:28:17.133 --> 01:28:18.954]  Like, Islam is taking over.
[01:28:19.094 --> 01:28:21.056]  Islam is infiltrating the universities.
[01:28:21.156 --> 01:28:22.477]  It's brainwashing people.
[01:28:22.517 --> 01:28:25.519]  And it's made its way into our own 9-11 ceremonies.
[01:28:25.579 --> 01:28:27.341]  And from that moment on, I was just determined.
[01:28:27.381 --> 01:28:29.963]  And then I got involved with James O'Keefe and Project Veritas.
[01:28:30.043 --> 01:28:31.604]  Come back and talk about your awakening.
[01:28:31.664 --> 01:28:32.464]  But how dare you?
[01:28:32.524 --> 01:28:34.045]  You don't want to have your genitals cut off?
[01:28:34.125 --> 01:28:35.025]  You don't want to wear a hood?
[01:28:35.225 --> 01:28:36.325]  You want to be able to drive a car?
[01:28:36.626 --> 01:28:39.046]  You're not a very good feminist like Linda Sorcerer.
[01:28:39.647 --> 01:28:48.029]  I can't believe... I want to apologize to the audience that we've got just a horrible, horrible person here with us, Ms.
[01:28:48.109 --> 01:28:50.750]  Loomer, who doesn't want to submit to Islam.
[01:28:50.770 --> 01:28:52.591]  It's the ultimate form of feminism.
[01:28:52.911 --> 01:28:55.652]  I want to apologize to Linda Sorcerer right now.
[01:28:55.672 --> 01:28:58.753]  We're going to come back and ask her, how does she come up with this?
[01:28:58.813 --> 01:28:59.813]  How dare her?
[01:29:01.585 --> 01:29:10.530]  I have promoted and sold hundreds of great products in my 22 years on air, but this one right here is in the top three.
[01:29:10.930 --> 01:29:12.071]  Alexa Pure Breeze.
[01:29:12.391 --> 01:29:15.853]  You can buy filters similar to this one for $500 to $600 that are three stage.
[01:29:15.873 --> 01:29:18.475]  Alexa Pure Breeze is $200, has a four filter system,
[01:29:28.135 --> 01:29:31.961]  Including Ion, Cluster, Charcoal, and more.
[01:29:33.503 --> 01:29:39.693]  That is completely game-changing and costs less than half of leading competitors.
[01:29:40.594 --> 01:29:42.036]  And when you look at the specs,
[01:29:43.106 --> 01:29:44.026]  It's just amazing.
[01:29:44.146 --> 01:29:53.071]  When you first turn it on in a room, it's red, meaning it's picking up particulate, it's picking up pathogens, it's picking up gases, it's picking up toxins.
[01:29:53.471 --> 01:29:59.593]  And it might take 10 minutes, it might take an hour for it to turn pink and then blue when it's picking nothing up.
[01:29:59.674 --> 01:30:00.694]  And these are so strong.
[01:30:01.054 --> 01:30:03.975]  In my home, if I sneeze 20 feet away,
[01:30:05.416 --> 01:30:08.080]  In a few seconds, it goes from blue to red.
[01:30:08.440 --> 01:30:09.802]  It's picking up that particular.
[01:30:10.363 --> 01:30:19.334]  That's what's so amazing about this unit is the sensors are so strong and the four filtration systems are so compact but so powerful.
[01:30:19.475 --> 01:30:22.839]  Could you spend way more and get something that maybe has a little bit better specs?
[01:30:22.919 --> 01:30:23.119]  Yes.
[01:30:23.740 --> 01:30:29.003]  But there are a lot of filters out there that are $500, $600, $700 that aren't even as good.
[01:30:29.283 --> 01:30:33.146]  And again, these can go six months to a year, depending on how dirty the environment is.
[01:30:33.606 --> 01:30:35.987]  The replacement filters are very, very inexpensive.
[01:30:36.507 --> 01:30:40.470]  Do yourself a favor and go to InfowarsStore.com today.
[01:30:40.910 --> 01:30:42.091]  Read the specs for yourself.
[01:30:42.671 --> 01:30:44.233]  And then you have nothing to lose.
[01:30:44.633 --> 01:30:45.114]  Spend $200.
[01:30:45.154 --> 01:30:48.878]  Help us make $50 to fund our operation.
[01:30:49.238 --> 01:30:51.401]  Get an amazing unit in your home.
[01:30:51.681 --> 01:30:59.290]  I'm very confident that we're gonna see you come back and order several more, and then a few more for your office, and then to give them as gifts as well.
[01:30:59.590 --> 01:31:02.754]  There are studies, and listen to me carefully, all over the world
[01:31:03.743 --> 01:31:16.991]  And depending on the study, it's between 7 and 12 years that the average person loses off their life expectancy living in a big city alone because of the toxins and the particulates.
[01:31:17.311 --> 01:31:19.693]  You then add all the pollen and the rest of it.
[01:31:20.713 --> 01:31:28.898]  It is not a luxury to have the Alexa Pure Breeze that is the best filtration system out there at the lowest price.
[01:31:29.999 --> 01:31:31.500]  It is essential.
[01:31:32.958 --> 01:31:39.142]  We are doing everything we can to mitigate the toxic environment that industrial society has created.
[01:31:39.382 --> 01:31:40.602]  So support the InfoWarp.
[01:31:41.043 --> 01:31:43.824]  Fund folks that are fighting the globalists and having success.
[01:31:44.364 --> 01:31:48.847]  And get a system that purifies and cleans the air for yourself and your family.
[01:31:49.107 --> 01:31:51.689]  It's the Alexa Pure Breeze at InfoWarpStore.com.
[01:31:51.929 --> 01:31:57.252]  We also have their full line of amazing gravity-fed filters as well, which are a huge home run.
[01:31:57.552 --> 01:32:00.954]  But this, this is a grand slam.
[01:32:01.574 --> 01:32:05.358]  I don't like them putting chemicals in the water that turn the friggin' frogs gay!
