[00:00:01.877 --> 00:00:07.322]  You're listening to The Alex Jones Show.
[02:46:20.546 --> 02:46:46.070]  via our Christian ethos and so they're using that against us to basically conquer us and it's just like Austria and Australia and Germany many different public schools banning pork on the school lunch because it offends Muslims or Sharia law or you gotta wear hijabs or they're now having to put gates up around Oktoberfest all over Germany
[02:46:47.176 --> 02:46:54.765]  Even in Munich and places because the Muslims come in and beat people up and attack people when they see folks outdoors drinking beer.
[02:46:54.765 --> 02:46:56.807]  Or you see a woman walking her dog.
[02:46:56.807 --> 02:46:59.090]  They come over and attack her and say, that is unclean.
[02:46:59.090 --> 02:47:07.059]  I actually had Muslims about 15 years ago when I was walking my dog in a public park come over and they knew who I was.
[02:47:08.188 --> 02:47:11.190]  This is before I really went on the big jag about Islam.
[02:47:11.190 --> 02:47:15.053]  And they said, you know, Alex, we like your show, but dogs are unclean.
[02:47:15.053 --> 02:47:16.454]  Why do you have a dog?
[02:47:16.454 --> 02:47:20.658]  So they just can't help but get into everybody's business.
[02:47:20.658 --> 02:47:25.381]  If folks get mad at the occasional street preacher yelling and screaming at you, that's their free speech.
[02:47:25.381 --> 02:47:26.802]  I support street preachers.
[02:47:26.802 --> 02:47:27.583]  Some of them are great.
[02:47:27.583 --> 02:47:29.224]  Some of them are very, very obnoxious.
[02:47:29.224 --> 02:47:34.288]  I think they hurt their cause more than they help it, screaming at you with bad breath that you're going to hell.
[02:47:34.288 --> 02:47:35.049]  That said,
[02:47:36.536 --> 02:47:38.657]  With Islam, it's a thousand times that.
[02:47:38.657 --> 02:47:48.964]  They kill you, they murder you if you don't do what they want, and they ban having dogs, having cats in Islamic countries?
[02:47:48.964 --> 02:47:50.245]  That's the reality.
[02:47:50.245 --> 02:47:52.867]  Communist China is trying to ban having dogs.
[02:47:52.867 --> 02:47:55.849]  Because they want to control every fantasy of your life.
[02:47:55.849 --> 02:47:57.930]  They want you loving the state.
[02:47:57.930 --> 02:48:00.032]  Not your dog, not your husband, not your wife.
[02:48:01.354 --> 02:48:07.478]  It's total authoritarianism, and then we have the left trying to bring in authoritarianism and making us comply with it.
[02:48:07.478 --> 02:48:10.240]  But I just wanted to point out today, when I look at Kim Jong-un...
[02:48:11.337 --> 02:48:14.599]  Firing another missile with high trajectory in the Pacific Ocean.
[02:48:14.599 --> 02:48:24.666]  I'm only 4,000 miles from him right now, on the westerly-most island, Kauai, of the United States territory, here in the great state of Hawaii.
[02:48:24.666 --> 02:48:27.307]  And he's fired another missile, threatening to nuke everybody.
[02:48:27.307 --> 02:48:33.371]  Admittedly, he has nuclear weapons, and it just shows us how much danger we're in from authoritarianism.
[02:48:33.371 --> 02:48:34.292]  I can fly to Hawaii.
[02:48:35.478 --> 02:48:46.422]  For $300, I can fly from Texas for about $150 to Arizona, and then for $300, if I buy my tickets right, fly to Hawaii.
[02:48:46.422 --> 02:48:49.603]  I can stay in a decent hotel for $200, $300 a night.
[02:48:49.603 --> 02:48:50.864]  I can eat great food.
[02:48:50.864 --> 02:49:02.648]  I can literally experience God's great creation and have thousands of choices, even if I was a blue-collar worker and saved my money for six months.
[02:49:04.122 --> 02:49:11.970]  You compare the medicine, the science, the entertainment, the culture of the West to everything else and it's so dominant.
[02:49:13.354 --> 02:49:14.575]  It makes the head spin.
[02:49:14.575 --> 02:49:18.778]  But it is grandiose, it's decadent, it's sickening at a certain point.
[02:49:18.778 --> 02:49:31.188]  And that's the problem, is that then there's a mental illness that sets in every culture that becomes decadent, like Rome and many other cultures, that we then somehow become cuckold and obsessed with the barbarian.
[02:49:31.188 --> 02:49:40.256]  And we bring the barbarian in, the barbarian incrementally conditions us to put up with their behavior, and soon basically takes over.
[02:49:41.423 --> 02:49:43.891]  And uses our own openness against us.
[02:49:43.891 --> 02:49:48.143]  So it's very important to be thankful for the freedoms we have that have been hard fought for.
[02:49:49.471 --> 02:49:52.792]  And who have politically been fought over as well.
[02:49:52.792 --> 02:50:18.960]  And to really realize that if we're going to celebrate our collective freedom, we have to recognize, as you said, the litmus test of the so-called left with USA Today and Reuters and AP and Atlantic Monthly and the New York Times and Washington Post celebrating the last six months the jib as a symbol of feminism and covering up the acid attacks and the murders of people for their sexual preference and women being killed after they're raped.
[02:50:20.020 --> 02:50:24.564]  And the insanity of these lecturing scumbags telling us how to live our lives.
[02:50:24.564 --> 02:50:28.427]  But of course they show Romans as black and say Romans were black.
[02:50:28.427 --> 02:50:32.390]  I mean, listen, again, it's just a war on history.
[02:50:32.390 --> 02:50:34.772]  We're not bashing anybody no matter what color they are.
[02:50:34.772 --> 02:50:38.295]  But it's this thing about if you're white, you don't have a history or culture.
[02:50:38.295 --> 02:50:40.336]  It has to be erased.
[02:50:40.336 --> 02:50:43.359]  The Romans and the Greeks.
[02:50:43.359 --> 02:50:44.660]  We're going to skip this break so we have more time.
[02:50:45.973 --> 02:50:49.776]  The Romans and the Greeks, there wasn't even a racial thing back then.
[02:50:49.776 --> 02:50:52.058]  There was cultural things.
[02:50:52.058 --> 02:51:01.005]  And there were so few Africans in Europe that it was actually, if you read the history books, a novelty and it was actually popular and, you know, blacks weren't looked down upon.
[02:51:01.005 --> 02:51:07.070]  But it was known that groups that founded Greece founded Egypt.
[02:51:07.070 --> 02:51:08.652]  It was in all the history books.
[02:51:08.652 --> 02:51:14.857]  And now they've dug up the oldest mummies and they're all basically Southern European, Eastern European or Greek.
[02:51:15.987 --> 02:51:17.068]  We know this.
[02:51:17.068 --> 02:51:22.651]  We know the historians said the Greeks all had blonde hair, blue eyes, until they got taken over by the Moors.
[02:51:22.651 --> 02:51:30.875]  Most of the Greece islands were captured by Muslims out of North Africa, and that's why Greeks have dark hair and dark eyes today.
[02:51:30.875 --> 02:51:36.298]  If you go into some of the more remote islands, there are Greeks today that look like the Greek statues.
[02:51:36.298 --> 02:51:37.959]  They've got blonde, curly hair.
[02:51:37.959 --> 02:51:39.260]  They were described as having blue eyes.
[02:51:39.700 --> 02:51:50.165]  Again, it doesn't matter to me, it's that you see the extension of the BBC saying, here's what Britons look like, and here's what Romans look like, and it's a black family.
[02:51:50.165 --> 02:51:50.985]  In Roman togas.
[02:51:52.571 --> 02:51:54.232]  This is what is pushed.
[02:51:54.232 --> 02:51:55.513]  This is what is done.
[02:51:55.513 --> 02:52:07.180]  Just like Dunkirk about the British Expeditionary Force, 400,000 men or 500,000, whatever it was, being driven, driven by the German invasion into France in 1940, 1941, all the way to the sea.
[02:52:10.041 --> 02:52:21.206]  Herman Goering's Luftwaffe bombing them, strafing them for a week until all the British citizens got in their boats basically, came across the English Channel and picked everybody up.
[02:52:21.206 --> 02:52:28.949]  Of course there wasn't one black person there because this was 70 years ago before the multiculturalism.
[02:52:28.949 --> 02:52:36.192]  And so now England isn't even for white Britons because it was always black 2,000 years ago in Brittany.
[02:52:37.012 --> 02:52:41.033]  According to what we're all told by the BBC.
[02:52:41.033 --> 02:52:47.075]  Again, this and so USA Today says this is a horrible movie.
[02:52:47.075 --> 02:52:49.696]  There are no black people and there are no women in combat.
[02:52:49.696 --> 02:52:56.318]  And now they have Tour of Duty coming out, World War II game, where it's women.
[02:52:56.318 --> 02:53:04.941]  Well, yes, it's actually true that there were some Russian women conscripted in the Russian military and a few of them were on the front lines when it came to the invasion.
[02:53:06.343 --> 02:53:06.683]  I don't
[02:53:26.557 --> 02:53:50.564]  And so again, it makes everybody like in enmity with each other, where facts and history are like chits or poker chips to be traded around and changed and rearranged by these horrible, drooling control freaks that have gotten us to adopt the language, the culture they want, and now they're down to destroying bedrock basic history.
[02:53:50.564 --> 02:53:52.284]  Now they're down to demolishing everything.
[02:53:52.284 --> 02:53:54.945]  But again, this modern thing of the last 60 years,
[02:53:56.795 --> 02:54:02.956]  of saying that Egypt wasn't white, and it was black, and it was all taught in all the universities.
[02:54:02.956 --> 02:54:03.897]  It was pushed everywhere.
[02:54:03.897 --> 02:54:06.477]  There was a big fight about that 60 years ago.
[02:54:06.477 --> 02:54:10.638]  People said, don't be racist, Egypt was founded by sub-Saharans.
[02:54:10.638 --> 02:54:16.139]  And folks said, well, all the historians said that it was founded by people out of Southern Europe.
[02:54:16.139 --> 02:54:20.620]  And that, you know, the same folks that migrated down into the Grecian Islands, basically Macedonians and others.
[02:54:20.620 --> 02:54:24.241]  And they said, no, that's not true.
[02:54:24.241 --> 02:54:25.121]  It was black people.
[02:54:26.414 --> 02:54:36.856]  Well, it's true that if you go into the latter part of Egypt's history, about a thousand years ago, then the population is Arabic and some Sub-Saharan.
[02:54:36.856 --> 02:54:45.558]  But they've now gone into the mummies, DNA testing, and they were as white as the copper-toned girl's butt.
[02:54:45.558 --> 02:54:47.939]  And that's just the reality.
[02:54:47.939 --> 02:54:52.080]  But again, we're not even... It's like saying a man and a woman are a man and a woman.
[02:54:52.901 --> 02:55:16.928]  And if a woman wants to become a man, and then say she got pregnant and is going to have a baby, and then the Daily Mail has the headline, First Man Has Baby, and then I knew when I read the headline it was going to be a woman who said she was a man, and it said, well she was going to have the sex operation, have her genitals, her male genitals cut off, her scrotum, her testes, and her penis cut off.
[02:55:19.819 --> 02:55:23.145]  Or vice versa, it was a woman who was going to try to have that attached.
[02:55:23.145 --> 02:55:24.266]  Boy, this gets crazy.
[02:55:24.266 --> 02:55:29.575]  So it's a woman that wants to have it attached, excuse me, added.
[02:55:29.575 --> 02:55:31.318]  Boy, this insanity gets crazy.
[02:55:33.351 --> 02:55:39.213]  She then gets pregnant, has a baby, and they say a man, even though she hasn't had her new penis created.
[02:55:39.213 --> 02:55:42.495]  I mean, you cannot make this up, ladies and gentlemen.
[02:55:42.495 --> 02:55:54.160]  And I'm sorry to have to discuss topics like this here on air, but you've got a woman that says she's a man, still has female genitals, has a uterus, has ovaries, has a baby, and they say a man has had
[02:55:55.916 --> 02:55:56.877]  A baby.
[02:55:56.877 --> 02:55:58.998]  No, a woman who thought she was a man had a baby.
[02:55:58.998 --> 02:56:04.121]  It's like saying a walrus decided it was a human and then became a jet pilot.
[02:56:04.121 --> 02:56:12.386]  Or it's like saying I identify as a blind person, dump Drano in my eyes, and then make taxpayers pay for me to live on welfare because I identify as a blind person.
[02:56:12.386 --> 02:56:15.028]  That bunch of other mentally ill people say it's okay.
[02:56:15.028 --> 02:56:19.631]  These things are really happening, as you said, Paul, and we have to recognize sanity
[02:56:20.191 --> 02:56:35.799]  Is the most valuable thing out there and that the corporate elite are literally sabotaging society so we don't have a debate about transhumanism, a debate about fission fusion, a debate about quantum mechanics, a debate about all this other stuff that's happening, AI computers, quantum computing.
[02:56:36.673 --> 02:56:46.327]  They want us all running around, not with basic freedoms, but with the new freedoms to be as mentally ill and as mad as the folks in the Tea Party in Alice in Wonderland.
[02:56:46.327 --> 02:56:50.213]  And then there's all the government documents and university documents back to the 50s.
[02:56:50.213 --> 02:56:51.575]  We're going to make literature ugly.
[02:56:51.755 --> 02:57:06.500]  We're going to make cartoons ugly, we're going to make architecture ugly, we're going to make it cool to be a slave, we're going to make it cool to be a failure, we're going to make it cool to be a slacker, we're going to make it cool to not have kids, we're going to make it cool to be this or that and not be heterosexual to totally sabotage society.
[02:57:06.500 --> 02:57:07.880]  That is a fact!
[02:57:07.880 --> 02:57:16.963]  But then the people that have been caught in this, caught in this miserable system, where they're living in mama's basement, they're baristas, Hillary says, I hate our slug supporters,
[02:57:17.423 --> 02:57:19.784]  They're such scum, ah ha ha ha.
[02:57:19.784 --> 02:57:21.764]  You know, Facebook documents admit they hate you.
[02:57:21.764 --> 02:57:23.064]  They want to keep you isolated.
[02:57:23.064 --> 02:57:25.165]  Their whole liberal cosmology is mind control.
[02:57:25.165 --> 02:57:32.946]  But they don't care because once they're in it, Paul, they just want to pull everything else down and make everything else miserable because they bought into the trap.
[02:57:32.946 --> 02:57:43.389]  And now, instead of wanting to get out of the trap, they want to control demolition everything else that isn't in the trap, believing that if everything sinks to a low level and there's a giant sucking sound, that somehow they'll be transcended.
[02:57:43.389 --> 02:57:44.069]  Paul Jones is watching.
[02:57:45.572 --> 02:57:49.033]  Oh it's exactly that Alex, who controls the past controls the future.
[02:57:49.033 --> 02:58:04.680]  It's as ludicrous as saying that you could go to Ethiopia and Nigeria and that this is a typical Ethiopian or Nigerian family and then show a family with blonde hair, blue eyes, white as snow and say that's a typical Nigerian family.
[02:58:05.080 --> 02:58:05.640]  No!
[02:58:05.640 --> 02:58:09.342]  Or to say you're a typical Japanese family of 2,000 years ago.
[02:58:09.342 --> 02:58:29.410]  To show me and you and go, I'm a woman now, I now identify as one, you identify as an Easter Bunny, and just show an Easter Bunny and say, this is a typical Japanese family, a typical Japanese samurai of 1,400, and just show a, you know, a Bugs Bunny with a carrot.
[02:58:29.410 --> 02:58:30.391]  That makes sense too, doesn't it, Paul?
[02:58:31.838 --> 02:58:33.339]  Absolutely incredible, Alex.
[02:58:33.339 --> 02:58:34.841]  The revisionism here.
[02:58:34.841 --> 02:58:40.265]  And it's again to push the narrative that mass uncontrolled immigration is natural and for everyone to just lie down and accept it.
[02:58:40.265 --> 02:58:40.606]  Stay there.
[02:58:40.606 --> 02:58:42.447]  Do five more minutes and then the next host is coming up.
[02:58:42.447 --> 02:58:42.967]  Don't leave, Paul.
[02:58:42.967 --> 02:58:44.389]  I want you to finish up with that.
[02:58:44.389 --> 02:58:46.490]  Paul Joseph Watson's done an incredible job.
[02:58:46.490 --> 02:58:48.532]  We salute him and the great crew in Austin.
[02:58:48.532 --> 02:58:52.596]  And all you, the audience, the affiliates, and the sponsors, and the good Lord above.
[02:58:52.596 --> 02:58:53.456]  Stay with us.
[02:58:53.456 --> 02:58:54.117]  Two plus two equals four.
[02:58:57.734 --> 02:59:03.359]  Today I'm excited to announce the new limited shipment of DNA Force has finally arrived at the M4's warehouse in Austin, Texas.
[02:59:03.359 --> 02:59:12.006]  We have thousands of listeners on the waiting list who've signed up for AutoShip to receive out-of-stock products like DNA Force, and we are now once again expected to sell out very, very soon.
[02:59:12.006 --> 02:59:19.912]  And when it comes to a formula that is such a game-changer like DNA Force, we never know when we will be able to secure an additional supply of the key ingredients.
[02:59:19.912 --> 02:59:26.057]  The secret behind DNA Force is its powerful lineup of patented ingredients like CoQ10, systematic enzymes,
[02:59:26.397 --> 02:59:29.440]  NAR Lipoic Acid, Bio-PQQ and many others.
[02:59:29.440 --> 02:59:34.143]  Bio-PQQ alone is backed by an unprecedented 175 clinical studies.
[02:59:34.143 --> 02:59:37.926]  And just one batch of this stuff costs us more than $30,000.
[02:59:37.926 --> 02:59:40.629]  Visit Infowarslife.com and read the reviews for yourself.
[02:59:40.629 --> 02:59:48.795]  Over 700 reviews have given DNA Force an unheard of 4.8 out of 5 stars through our third-party certified review agency, Power Review.
[02:59:48.795 --> 02:59:54.340]  Take advantage of this new limited shipment and get DNA Force today at Infowarslife.com before it sells out again.
[02:59:54.340 --> 02:59:55.781]  That's Infowarslife.com.
[02:59:58.692 --> 03:00:01.277]  You're listening to The Alex Jones Show!
[03:00:15.197 --> 03:00:16.238]  You want answers?
[03:00:16.238 --> 03:00:17.899]  Well, so does he.
[03:00:17.899 --> 03:00:20.941]  It's Alex Jones.
[03:00:20.941 --> 03:00:26.765]  Alright, final statement from Paul Watson.
[03:00:26.765 --> 03:00:35.871]  You know, when I say Roger Stone's coming up with big breaking news, we have to basically sit on our intel for days before we release it.
[03:00:35.871 --> 03:00:38.092]  And these aren't White House leaks.
[03:00:38.092 --> 03:00:41.174]  These are things that the patriots on the inside want the public to know.
[03:00:41.174 --> 03:00:43.736]  Now, that intensive discussions with Roger
[03:00:45.891 --> 03:00:51.015]  About the fact that we really should hype this up better, who our sources are.
[03:00:51.015 --> 03:00:59.521]  I mean, not specifically who our sources are, but that you're really getting stuff that the New York Times, the Washington Post would kill for, and that they're not going to be getting anymore.
[03:00:59.521 --> 03:01:12.912]  Because they've been using the fact that they have some people on the inside, Reince Priebus is caught red-handed, to leak stuff to then spin or twist what the info is.
[03:01:12.912 --> 03:01:14.273]  You're getting directly
[03:01:15.307 --> 03:01:17.408]  What's going on?
[03:01:17.408 --> 03:01:21.751]  And, I mean, just like I told you six months ago, Scaramucci couldn't get in to see the President.
[03:01:21.751 --> 03:01:25.093]  You know, the President wanted him as a top advisor.
[03:01:25.093 --> 03:01:29.295]  And Rens Premis would walk in and say, well, the President wants you to resign, leave.
[03:01:29.295 --> 03:01:31.957]  And then he called up some certain people and they said, no, it's all bull.
[03:01:31.957 --> 03:01:32.757]  Wait.
[03:01:32.757 --> 03:01:33.918]  Wait and want to talk to Trump.
[03:01:33.918 --> 03:01:34.898]  Just don't leave.
[03:01:34.898 --> 03:01:36.039]  You have been given a letter.
[03:01:36.039 --> 03:01:39.221]  And then Trump got really mad and said, you're kidding.
[03:01:39.221 --> 03:01:42.002]  You're kidding.
[03:01:42.002 --> 03:01:43.203]  I didn't tell you to be fired.
[03:01:43.203 --> 03:01:44.364]  And so that's why six months later,
[03:01:45.694 --> 03:01:56.302]  Trump wanted him at the top billing as his own group communications director, and Primus came in with a new letter saying he was under Primus, and Trump got really upset.
[03:01:56.302 --> 03:02:02.566]  But again, we'll see how far Roger goes with all this, because I have some other sources as well.
[03:02:02.566 --> 03:02:06.349]  You know, Cernovich has some great sources, but this is high level.
[03:02:07.574 --> 03:02:08.135]  High level.
[03:02:08.135 --> 03:02:13.143]  Just like we told you, Trump wasn't going to have boots on the ground to take out Assad, and three days later he said that word for word.
[03:02:13.143 --> 03:02:18.672]  I mean, this is coming from high up, and it's important to know.
[03:02:18.672 --> 03:02:21.456]  But it's very humbling too to realize these are just people like us.
[03:02:23.154 --> 03:02:25.796]  I mean, there's not a bunch of Machiavellian stuff going on with Trump.
[03:02:25.796 --> 03:02:28.837]  He's really... The 3D chess is not 3D chess, folks.
[03:02:28.837 --> 03:02:30.298]  He's just trying to do the right thing.
[03:02:30.298 --> 03:02:34.781]  Trying to do common sense, economic things we know work, and cultural things we know work.
[03:02:34.781 --> 03:02:38.183]  He's not doing all the weird scheming that normally goes on.
[03:02:38.183 --> 03:02:40.044]  That's the big secret, is it isn't 3D chess.
[03:02:40.044 --> 03:02:46.308]  He's going back to common sense stuff that always worked, that was thousands of years of 3D learning.
[03:02:46.308 --> 03:02:49.790]  So it seems super advanced and wild and whoa!
[03:02:49.790 --> 03:02:51.531]  It's called just having integrity.
[03:02:51.531 --> 03:02:52.592]  Paul Watson, what do you say to that?
[03:02:54.175 --> 03:02:55.576]  No, that's exactly it, Alex.
[03:02:55.576 --> 03:03:00.019]  And, you know, Scaramouche has been put in to root out the leakers.
[03:03:00.019 --> 03:03:01.400]  That's why the media hates him.
[03:03:01.400 --> 03:03:04.942]  Because if he does his job, it's game over for them.
[03:03:04.942 --> 03:03:06.703]  He's cut it off at the source.
[03:03:06.703 --> 03:03:10.826]  That's why they're now leaking on him and trying to bring him down.
[03:03:10.826 --> 03:03:12.547]  But again, that's why they hate him.
[03:03:12.547 --> 03:03:16.390]  Then on the flip side, you've got this huge scandal with the DNC and Wasserman Schultz.
[03:03:16.810 --> 03:03:18.171]  They're blacklisting that.
[03:03:18.171 --> 03:03:19.812]  That is absolutely massive.
[03:03:19.812 --> 03:03:20.753]  Foreign collusion.
[03:03:20.753 --> 03:03:22.935]  Collusion with a terrorist organisation.
[03:03:22.935 --> 03:03:23.715]  Proof.
[03:03:23.715 --> 03:03:25.136]  And they're not talking about that.
[03:03:25.136 --> 03:03:28.679]  That's a collusion story which you actually have evidence for.
[03:03:28.679 --> 03:03:30.821]  They're doing everything they can to bury it, Alex.
[03:03:32.861 --> 03:03:41.269]  Paul, getting back to the cultural stuff, you were making the point that it's meant to erase history and make it okay to just absolutely get rid of Western culture.
[03:03:41.269 --> 03:03:46.034]  That's the third world invasion, not bring folks in to then assimilate and create a great melting pot.
[03:03:46.034 --> 03:03:53.442]  We all like different cultures, a mix of things, make a lot of diverse food, clothing, literature, you name it.
[03:03:54.502 --> 03:04:02.085]  I like a foreign film as much as anybody or a foreign meal, but it's meaning get rid of our culture and then let the corporatists manipulate that.
[03:04:02.085 --> 03:04:07.667]  And that's really the issue is destroying Western culture, not just getting us to run up the white flag.
[03:04:07.667 --> 03:04:13.350]  That's why we've got to fight it and say, hey, especially to the so-called minorities, don't you see the manipulation?
[03:04:13.350 --> 03:04:17.171]  They're trying to make sure you don't have a birthright of being in a free, open society.
[03:04:17.171 --> 03:04:18.712]  Why did you try to get here?
[03:04:18.712 --> 03:04:21.293]  And then why are you trying to dynamite it once you get here?
[03:04:23.240 --> 03:04:23.940]  No, that's it Alex.
[03:04:23.940 --> 03:04:28.763]  The West is the most open, tolerant, non-racist country.
[03:04:28.763 --> 03:04:30.244]  I mean, Britain!
[03:04:30.244 --> 03:04:35.027]  Absolutely tolerant of everybody, yet we still get demonised as bigoted, as racist.
[03:04:35.027 --> 03:04:40.410]  They're trying to rewrite history to, again, take our birthright away from us, as you said.
[03:04:40.410 --> 03:04:46.453]  Literally saying that women in hijabs are a good depiction of Victorian era Britain.
[03:04:46.453 --> 03:04:51.216]  They actually said that in a national newspaper, and said that I got owned for saying something else.
[03:04:51.676 --> 03:04:52.758]  Absolutely incredible, Alex.
[03:04:52.758 --> 03:04:53.058]  That's right.
[03:04:53.058 --> 03:04:55.922]  They just say you got owned for being right, for being on target.
[03:04:55.922 --> 03:05:02.691]  Congress saying I got owned for saying there's an attempted coup against the President, which they now admit there is, for being totally on target and first.
[03:05:02.691 --> 03:05:03.232]  I'm bad.
[03:05:03.232 --> 03:05:03.733]  Great job, Paul.
[03:05:07.290 --> 03:05:16.516]  The Constitutional Convention of 1787 was held in strict secrecy, and at the end of the proceedings, citizens gathered outside Independence Hall to learn what had been produced behind closed doors.
[03:05:16.516 --> 03:05:20.698]  While Benjamin Franklin was leaving the hall, a lady asked him, Well, Doctor, what have we got?
[03:05:20.698 --> 03:05:22.319]  A republic or a monarchy?
[03:05:22.319 --> 03:05:25.261]  To which he responded, A republic, if you can keep it.
[03:05:25.261 --> 03:05:30.023]  But today, not only have we lost a republic, but most people don't even know what a republic even is.
[03:05:30.023 --> 03:05:32.565]  For one thing, a republic is not a democracy.
[03:05:32.705 --> 03:05:38.728]  The republic operates under the rule of law which protects individual liberties so that the majority cannot take away the rights of the minority.
[03:05:38.728 --> 03:05:44.290]  Under a republic, the government and its citizens all abide by the same laws regardless of political power or lack thereof.
[03:05:44.290 --> 03:05:48.412]  Democracy, on the other hand, only leads to mob rule fueled by the unrestrained whims of the public.
[03:05:48.632 --> 03:05:55.315]  In a democracy, the individual or any groups of individuals composing the minority have no protection against the unlimited power of the majority.
[03:05:55.315 --> 03:05:57.216]  It is a case of majority over man.
[03:05:57.216 --> 03:06:00.798]  In other words, under democracy, two wolves can vote to eat the sheep for dinner.
[03:06:00.798 --> 03:06:04.240]  But under a republic, the sheep's right to life is protected by the rule of law.
[03:06:04.240 --> 03:06:06.641]  This is Kit Daniels with InfoWars.com.
[03:06:07.381 --> 03:06:12.062]  As most of you already know, I am a voracious consumer of news and information.
[03:06:12.062 --> 03:06:24.985]  And in the last four or five years, doing more and more research, I came across the fact that the elite establishment is fully aware of the fact that our ancient ancestors, in many cases, had much better nutrition than we do today.
[03:06:24.985 --> 03:06:31.566]  And our ancient ancestors sought out the bones of the animals that they were hunting, killing, and then processing.
[03:06:31.566 --> 03:06:34.027]  And so I set out to develop caveman.
[03:06:34.147 --> 03:06:34.367]  I think?
[03:06:54.739 --> 03:06:55.259]  Support.
[03:06:55.259 --> 03:06:58.141]  Caveman is finally back at the InfoWars store.
[03:06:58.141 --> 03:07:04.645]  You can get 25% off the regular price for a limited time only at InfoWarsLife.com or by calling toll free, 888-253-3139.
[03:07:07.847 --> 03:07:13.091]  Protect your skin with SPF 30 Sunscreen Lotion by Emrix Essentials.
[03:07:13.091 --> 03:07:20.256]  Perfect for face and body, this natural unscented sunscreen can be worn at all times of the day, whenever you need sun protection.
[03:07:20.256 --> 03:07:26.140]  We source ingredients from nature, producing a product free of harmful chemicals and toxins.
[03:07:26.140 --> 03:07:33.966]  This natural lotion contains 21% zinc oxide, which is the largest particle size used, and we do not use nanoparticles.
[03:07:34.466 --> 03:07:37.988]  The larger the particle, the safer it is for your body.
[03:07:37.988 --> 03:07:42.110]  The organic oils help hydrate the skin, leaving it nice and smooth.
[03:07:42.110 --> 03:07:46.552]  The truly natural fragrance-free sunscreen for the most sensitive skin.
[03:07:46.552 --> 03:07:52.755]  Emrix Essentials wants you to enjoy the sun and strives to bring you organic products to enhance your life.
[03:07:52.755 --> 03:07:57.658]  Naturally protect your skin with SPF 30 sunscreen lotion by Emrix Essentials.
[03:07:57.898 --> 03:08:01.199]  Stop exposing yourself and your family to toxic ingredients.
[03:08:01.199 --> 03:08:15.962]  Visit Infowarsstore.com and learn more about the new SPF 30 sunscreen lotion.
[03:08:15.962 --> 03:08:19.923]  News, analysis, reports.
[03:08:19.923 --> 03:08:22.603]  It's the Alex Jones Show.
[03:08:22.603 --> 03:08:25.464]  And now, your host, Roger Stone.
[03:08:32.284 --> 03:08:39.548]  Welcome, I'm Roger Stone, and you're here on the Alex Jones Show at InfoWars.
[03:08:39.548 --> 03:08:49.814]  Big counter-attempts in Washington DC as a power struggle clearly ensues inside the Trump administration.
[03:08:49.814 --> 03:08:54.156]  And where the president stands is the crucial question.
[03:08:54.156 --> 03:09:01.100]  We have seen the rise of Anthony Scaramucci, an unabashed Trump loyalist.
[03:09:01.598 --> 03:09:11.121]  We're taking on the mainstream media and taking on the Republican National Committee quizlings who infect the Trump White House.
[03:09:11.121 --> 03:09:24.124]  For reasons that are hard to understand, the nationalist Steve Bannon, formerly associated with Breitbart.com, has aligned himself with the so-called fragmented
[03:09:25.174 --> 03:09:51.500]  Yes, as we revealed exclusively at InfoWars only hours ago, it was Reince Priebus who is responsible for the appointment of Rod Rosenstein, the man who, acting on his own, appointed Special Counsel Robert Mueller, whose job is to be an executioner of Donald J. Trump.
[03:09:51.500 --> 03:09:52.240]  Incredibly,
[03:09:52.975 --> 03:10:08.675]  We can report here exclusively at InfoWars that Rosenstein was appointed at the behest of Congressman Elijah Cummings, the African-American left-wing Democrat from Baltimore.
[03:10:08.675 --> 03:10:10.978]  Yes, you heard that correctly.
[03:10:11.707 --> 03:10:23.513]  Previs took a job recommendation from a left-wing Democrat, and other than Maxine Waters, perhaps the single greatest Trump aider in the U.S.
[03:10:23.513 --> 03:10:25.214]  House.
[03:10:25.214 --> 03:10:36.240]  Cummings has attacked me personally, repeatedly, claiming falsely that I had some traffic with the Russians in an attempt to affect the 2016 election.
[03:10:39.378 --> 03:10:43.140]  Here is the latest status.
[03:10:43.140 --> 03:10:49.203]  Reince Priebus is the Cato Katelyn of the Trump administration.
[03:10:49.203 --> 03:10:53.066]  He's the house guest who doesn't know when to leave.
[03:10:53.066 --> 03:11:04.832]  And, like Cato Katelyn, he jumped on an airplane to Long Island with the President today in a desperate bid to save his job.
[03:11:04.832 --> 03:11:06.313]  It's abundantly clear
[03:11:07.170 --> 03:11:12.452]  That the President has had it with the leadership of Mr. Priebus.
[03:11:12.452 --> 03:11:17.515]  And I continue to predict that his days are limited.
[03:11:17.515 --> 03:11:23.938]  But like Kato Kaelin, Priebus doesn't seem to know how to read the tea leaves.
[03:11:23.938 --> 03:11:30.861]  Doesn't seem to understand the signals he's getting from Donald J. Trump that it's time to leave.
[03:11:32.463 --> 03:11:43.948]  And then there's the question of who will follow Mr. Priebus, an all-important question, because some on this list are problematic.
[03:11:43.948 --> 03:12:00.115]  For example, there is discussion now of, now confirmed at the U.S., pardon me, first reported on InfoWars and now confirmed by the New York Times, that Homeland Security Secretary John Kelly
[03:12:00.732 --> 03:12:07.475]  Is on the short list of those who would replace previous.
