[00:00:10.057 --> 00:00:12.118]  The Matrix is everywhere.
[02:53:09.121 --> 02:53:26.532]  They just want to say something that's sunshine and rainbows, and to me, it comes from a lack of genuine knowledge of how everyday Americans are operating, and I come from a hard-working family, you know, and I feel like my values are conservative values that my parents taught me.
[02:53:26.992 --> 02:53:31.414]  And I always knew these were common sense values and it seems like it's just lacking.
[02:53:31.434 --> 02:53:43.177]  I think that these people come from a place where they're so far removed from what normal people are dealing with that they don't know how to speak in terms that can be even looked at as normal anymore.
[02:53:43.217 --> 02:53:45.278]  They're just, they're basically talking out of their butt.
[02:53:45.618 --> 02:53:46.519]  That's what I want to say.
[02:53:47.899 --> 02:53:48.819]  That's how I feel.
[02:53:49.379 --> 02:54:00.762]  So, as long as we keep a smile on our face, we keep going, we keep creating, we keep, you know, saying, no, we're not going to be beaten down, we're going to keep going, we're going to win this war, the better we will be.
[02:54:02.042 --> 02:54:16.905]  You know, I don't want to die.
[02:54:18.459 --> 02:54:19.219]  In fact, I love life.
[02:54:20.760 --> 02:54:26.843]  Crank this song up for a minute.
[02:54:28.604 --> 02:54:32.005]  Seasons don't fear the Reaper.
[02:54:36.707 --> 02:54:39.369]  We're gonna be like they are.
[02:54:41.670 --> 02:54:42.370]  It is romantic.
[02:54:46.212 --> 02:54:46.572]  Fly.
[02:54:47.878 --> 02:54:48.438]  It's amazing.
[02:54:50.299 --> 02:54:53.021]  We don't fly unless our children continue on.
[02:54:53.781 --> 02:54:54.441]  Then we fly.
[02:54:55.342 --> 02:54:55.802]  Through them.
[02:54:56.963 --> 02:54:57.883]  That's the key.
[02:54:58.383 --> 02:55:01.625]  The species must continue or all is failure.
[02:55:02.105 --> 02:55:02.945]  All of it for nothing.
[02:55:03.646 --> 02:55:08.088]  If you don't have that race consciousness of humanity, you don't have a soul.
[02:55:08.108 --> 02:55:14.171]  I meant to take calls today.
[02:55:14.211 --> 02:55:15.192]  I didn't and we've got
[02:55:16.770 --> 02:55:20.192]  John Rappaport, always informative, going to be hosting the fourth hour.
[02:55:20.212 --> 02:55:25.254]  I didn't really plug today, and I don't do this as some victory dance.
[02:55:26.875 --> 02:55:30.996]  It's just because I don't want to be arrogant about it, but God really works in mysterious ways.
[02:55:31.016 --> 02:55:41.801]  I mean, BuzzFeed is such a discredited, evil, anti-human, broken organization that it's a pox upon us all.
[02:55:42.081 --> 02:55:43.202]  It's a sign of our failure.
[02:55:46.357 --> 02:55:58.030]  But we had record sales today and yesterday for this time of year because the piss gate, fake news, George Soros, colostomy bag.
[02:56:02.105 --> 02:56:02.745]  I mean, it's just true.
[02:56:02.806 --> 02:56:03.766]  I don't mean to be insulting.
[02:56:03.786 --> 02:56:04.226]  It's just true.
[02:56:05.267 --> 02:56:13.112]  They came out and put out a screed that is just ridiculous.
[02:56:14.093 --> 02:56:16.634]  And not fiction, though.
[02:56:16.694 --> 02:56:19.016]  I mean, it's true, but very deceptive.
[02:56:19.036 --> 02:56:26.201]  Like, well, Joe's Anthroplex is $30, but the zinc in it costs $5, lab said.
[02:56:26.741 --> 02:56:28.542]  Yeah, that's one of, like, five ingredients.
[02:56:29.042 --> 02:56:29.623]  Exactly.
[02:56:31.587 --> 02:56:35.908]  And it's like, they're so delusional, they don't know.
[02:56:36.608 --> 02:56:42.670]  Like, we tested it, and none of it has any heavy metals, California standards, and blah, blah, blah.
[02:56:43.370 --> 02:56:51.552]  But, we think they may have this product for kids to treat autism, though none of our promotions say that.
[02:56:51.612 --> 02:56:54.892]  It's like the cra- Like, promotions are public!
[02:56:55.833 --> 02:56:58.673]  You know, like, we say it on air, it's public.
[02:56:59.894 --> 02:57:00.914]  They go, we, we, we.
[02:57:02.117 --> 02:57:07.221]  One of the labs we hired strongly suggests that they're saying you can give your kids vitamins and help them.
[02:57:07.901 --> 02:57:11.163]  And they're probably saying this will help for autism, but it won't, so don't take this.
[02:57:12.184 --> 02:57:12.444]  What?
[02:57:13.085 --> 02:57:14.506]  I mean, I never even thought of that!
[02:57:14.806 --> 02:57:23.292]  It's like... The weird hallucinogenic brains of these people... The fever swamps, as they call it.
[02:57:26.047 --> 02:57:28.509]  It hurts me, but not in the way they think they're hurting me.
[02:57:28.569 --> 02:57:33.513]  It's like it hurts me that I want them to be in communion with me in reality, but they weren't.
[02:57:33.593 --> 02:57:33.973]  They aren't.
[02:57:35.675 --> 02:57:40.899]  The report cautions the use of ingredients in children, especially given the lab suspicion.
[02:57:42.320 --> 02:57:43.941]  Oh my gosh, the lab suspicion.
[02:57:44.361 --> 02:57:50.846]  The InfoWars also may be marketing the supplement as a way to treat autism or a substitute for vaccines.
[02:57:51.067 --> 02:57:51.347]  What?
[02:57:52.150 --> 02:57:53.231]  We have the website.
[02:57:53.631 --> 02:57:54.392]  We have the product.
[02:57:54.432 --> 02:57:55.313]  It's 30 years old.
[02:57:55.393 --> 02:57:56.934]  Sold at Whole Foods under another name.
[02:57:56.994 --> 02:57:57.595]  You know that.
[02:57:57.915 --> 02:57:58.876]  Bezos sells this.
[02:57:59.596 --> 02:58:01.738]  And they say child ease.
[02:58:01.838 --> 02:58:04.961]  They think I'm offering it for autism.
[02:58:05.121 --> 02:58:05.281]  What?
[02:58:05.741 --> 02:58:09.404]  Did you think I had Easter bunnies coming out of my little bobo?
[02:58:09.424 --> 02:58:11.806]  I mean, it's like you read this stuff.
[02:58:11.866 --> 02:58:13.668]  It's like they pay people?
[02:58:14.028 --> 02:58:16.870]  You could chain chimpanzees up at typewriters.
[02:58:17.791 --> 02:58:20.172]  And they would come... It's like, look at this first part.
[02:58:20.692 --> 02:58:24.513]  Well, he... Jones, here it is right here.
[02:58:24.573 --> 02:58:25.073]  Yeah, $5.
[02:58:25.153 --> 02:58:27.694]  The zinc's only worth $5 in anthraplex.
[02:58:27.754 --> 02:58:28.394]  It's sold for $39.
[02:58:28.514 --> 02:58:30.475]  But it's got a bunch of other ingredients.
[02:58:31.035 --> 02:58:33.116]  They literally think you're an idiot.
[02:58:36.227 --> 02:58:38.108]  It's like this is our opposition.
[02:58:38.629 --> 02:58:40.069]  It doesn't even make me feel powerful.
[02:58:40.089 --> 02:58:42.231]  It makes me feel pathetic.
[02:58:43.171 --> 02:58:44.512]  Infowarsstore.com.
[02:58:44.632 --> 02:58:50.055]  Let's make today even better with more crew, more host, more power, more resistance.
[02:58:50.095 --> 02:58:51.076]  Get products you need.
[02:58:51.116 --> 02:58:52.337]  Water filtration t-shirts.
[02:58:54.281 --> 02:58:58.482]  Men, give your body the support it needs with InfoWars Life Prostagard.
[02:58:59.003 --> 02:59:02.884]  It's time to start assisting the body in regulating proper prostate balance.
[02:59:03.444 --> 02:59:14.048]  InfoWars Life has set out to bring you formulations that are not only the highest quality out there, but formulas that you can use on a daily basis to give your body the natural herbs and extracts that our experts recommend.
[02:59:14.668 --> 02:59:22.432]  The Prostagard formula does just that, with its mixture of plant-based nutrients and antioxidants that help give your body total support.
[02:59:22.632 --> 02:59:31.637]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[02:59:31.997 --> 02:59:42.263]  Prostagard is something that the men on the InfoWars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[02:59:42.743 --> 02:59:45.866]  Now's the time to start naturally supporting your body.
[02:59:46.186 --> 02:59:50.410]  Get Prostagard on your side today, exclusively at Infowarslife.com.
[02:59:50.810 --> 02:59:52.772]  That's Infowarslife.com.
[02:59:56.215 --> 03:00:02.100]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:00:12.796 --> 03:00:14.938]  He aligns himself with the truth.
[03:00:15.519 --> 03:00:17.862]  You're listening to Alex Jones.
[03:00:18.703 --> 03:00:20.485]  I can't wait.
[03:00:20.905 --> 03:00:25.210]  I want to do one thing.
[03:00:25.710 --> 03:00:29.915]  Let's get in the ring.
[03:00:29.975 --> 03:00:30.416]  Turn this up.
[03:00:30.456 --> 03:00:31.257]  Listen to human spirit.
[03:00:31.717 --> 03:00:32.899]  It's how amazing humans are.
[03:00:36.978 --> 03:00:46.466]  You know, I don't even like to be around my parents because I love them so much.
[03:00:46.486 --> 03:00:49.229]  It hurts me to be around them.
[03:00:50.190 --> 03:00:56.155]  And I know... I know my dad would kill for me.
[03:00:56.195 --> 03:00:58.957]  Just like that.
[03:00:59.117 --> 03:01:02.220]  See, I don't want to be that psychopath.
[03:01:02.240 --> 03:01:04.202]  I want to be the person that does show up.
[03:01:05.196 --> 03:01:06.017]  I want to be the schmuck.
[03:01:06.577 --> 03:01:07.518]  I want to be the guy with a heart.
[03:01:07.538 --> 03:01:10.160]  I want to be the guy that delivers.
[03:01:10.180 --> 03:01:17.787]  You know, the spiritual energy of the enemy is turning up because they know their time is coming to a close.
[03:01:17.827 --> 03:01:30.718]  And I'm going to shut up now because one of my favorite guys I listen to, though I'm usually busy when he's on, I listen to it at night, and I go to his site around 15 years, nomorefakenews.com, and he's been an investigative journalist for 40 years and a filmmaker.
[03:01:31.478 --> 03:01:33.400]  John Rappaport, go ahead and take over, my friend.
[03:01:34.502 --> 03:01:35.423]  Thank you, Alex.
[03:01:36.405 --> 03:01:37.206]  Good to be here.
[03:01:38.568 --> 03:01:40.010]  Well, there's so many stories.
[03:01:41.192 --> 03:01:41.953]  So many stories.
[03:01:42.013 --> 03:01:43.635]  I'm going to go through some of them here.
[03:01:44.616 --> 03:01:47.621]  You know, this very interesting BuzzFeed thing.
[03:01:48.487 --> 03:01:53.510]  We're going to check the products of InfoWars and see what's really there and so on and so forth.
[03:01:53.550 --> 03:02:02.115]  Well, it appears that the ingredients that they've claimed are in them are actually, well, in them.
[03:02:04.056 --> 03:02:10.739]  So, there are millions of you out there listening to the program all over the world.
[03:02:12.520 --> 03:02:15.042]  I have a little suggestion.
[03:02:16.062 --> 03:02:17.243]  Just a little one.
[03:02:18.863 --> 03:02:29.726]  Maybe some of you want to go over there to BuzzFeed and take a gander at the products that they recommend highly.
[03:02:29.786 --> 03:02:32.827]  Just look at them and see what you think.
[03:02:34.447 --> 03:02:36.828]  And go through them and say, oh, look at this one.
[03:02:36.868 --> 03:02:39.108]  I wonder what that's all about.
[03:02:39.188 --> 03:02:40.128]  Track it down.
[03:02:40.188 --> 03:02:40.909]  Take a look.
[03:02:40.929 --> 03:02:42.589]  Investigate a little deeper.
[03:02:43.869 --> 03:02:45.250]  Maybe you'll find something.
[03:02:45.910 --> 03:02:46.430]  Who knows?
[03:02:47.597 --> 03:02:52.839]  Maybe you'll find that the buzzers should be buzzing about themselves.
[03:02:52.939 --> 03:02:53.400]  I don't know.
[03:02:53.580 --> 03:02:54.340]  I have no idea.
[03:02:56.121 --> 03:02:58.322]  Could be nothing at all.
[03:02:58.422 --> 03:02:59.982]  But on the other hand, you never know.
[03:03:00.082 --> 03:03:04.104]  You might find a product or two that interests you that you track it down.
[03:03:04.144 --> 03:03:04.984]  You say, wait a minute.
[03:03:05.925 --> 03:03:06.965]  What about this thing?
[03:03:07.265 --> 03:03:08.306]  What about that thing?
[03:03:09.446 --> 03:03:10.627]  Let's check this out.
[03:03:10.727 --> 03:03:13.628]  Let's see if it's everything it's cracked up to be.
[03:03:13.688 --> 03:03:15.169]  Let's see what it's actually
[03:03:16.454 --> 03:03:18.155]  What's actually in the product?
[03:03:19.976 --> 03:03:20.837]  Have a little fun.
[03:03:21.777 --> 03:03:22.157]  You know?
[03:03:23.178 --> 03:03:26.500]  Once in a while, I think we deserve to have a little bit of fun.
[03:03:28.921 --> 03:03:29.602]  Just a thought.
[03:03:30.462 --> 03:03:31.183]  Just a thought.
[03:03:31.403 --> 03:03:32.864]  But plant the thought.
[03:03:32.984 --> 03:03:36.105]  You never know what seeds will grow.
[03:03:37.726 --> 03:03:42.089]  Well, here's somebody that didn't have a lot of fun.
[03:03:43.997 --> 03:03:49.121]  Actually, she's extremely resilient and heroic.
[03:03:50.442 --> 03:04:00.849]  Her name is Polly Tommy, and she is one of the producers on the fantastic documentary film called Vaxxed, which I'm sure many of you know about.
[03:04:02.029 --> 03:04:06.913]  It's a documentary that was shut down at the Tribeca Film Festival by Robert De Niro,
[03:04:08.058 --> 03:04:18.803]  And then he said, well, people ought to really see the film because it's got some very important information about vaccines in it and so on, blew up into a gigantic story.
[03:04:20.444 --> 03:04:36.392]  The people at Vaxxed, the producers and the crew, have been traveling all around the United States and in other countries on a kind of a big time tour, screening the film,
[03:04:38.141 --> 03:04:41.783]  Having people there to take questions from the audience afterwards.
[03:04:43.203 --> 03:04:48.526]  And so Polly Tomby went to Australia recently to do this with Baxt.
[03:04:50.647 --> 03:04:53.248]  She had some extremely interesting experiences.
[03:04:55.068 --> 03:04:57.129]  Extremely interesting experiences.
[03:04:59.470 --> 03:05:00.711]  Which I'll tell you about in a minute.
[03:05:14.344 --> 03:05:16.025]  What are they gearing Antifa up?
[03:05:16.345 --> 03:05:21.108]  Why has Soros doubled the amount of money since Trump was elected in January, since he did previously?
[03:05:21.588 --> 03:05:22.729]  What are they gearing up for?
[03:05:22.769 --> 03:05:23.790]  They're calling for violence.
[03:05:23.810 --> 03:05:24.850]  They're calling for Trump's death.
[03:05:25.251 --> 03:05:26.772]  They're calling for it in mainstream news.
[03:05:27.796 --> 03:05:34.622]  They're calling, whether it's Al Gore or whether it's Clapper and Brennan, they're saying something big's about to happen.
[03:05:34.922 --> 03:05:35.783]  It's not impeachment.
[03:05:35.823 --> 03:05:36.824]  We're going to remove him.
[03:05:37.144 --> 03:05:40.447]  We've got to bipartisanly come together for his removal.
[03:05:40.547 --> 03:05:42.349]  Don't do anything when we remove him.
[03:05:42.869 --> 03:05:44.951]  Suddenly Republican leadership is turning against Trump.
[03:05:45.552 --> 03:05:52.357]  As they raise more money than ever raised, as the Democratic Party is being made extinct, they prepare for the killer blow.
[03:05:53.078 --> 03:05:57.040]  And James Leslie Rawls, our expert to break this down, survivalblog.com.
[03:05:57.100 --> 03:06:05.363]  James, this ties into your big lengthy investigative reports, Antifa Part 1 and 2, the Antifa threat spiral.
[03:06:05.644 --> 03:06:06.644]  Break it down for us.
[03:06:06.944 --> 03:06:08.505]  What are the globalists getting ready to do?
[03:06:10.126 --> 03:06:20.010]  Well Alex, I think it's pretty clear that the Antifa movement is being used as kind of a shock troops for
[03:06:20.982 --> 03:06:24.085]  They're their goal of destabilizing the government.
[03:06:24.526 --> 03:06:33.975]  They want to have a wave of protests and a followed by a wave of domestic terrorism in this country.
[03:06:34.655 --> 03:06:35.997]  They want to destabilize.
[03:06:36.557 --> 03:06:41.082]  They want to try to create a counter
[03:06:41.842 --> 03:06:59.816]  Action by the Trump administration, they're hoping for a Kent State type event, where it would demoralize the American populace, turn the populace against the Trump administration, and part of their overall campaign to get Trump out of office.
[03:07:01.958 --> 03:07:07.342]  And I think that if you look at Antifa, how they were set up,
[03:07:08.300 --> 03:07:12.821]  How they interact between their cells.
[03:07:13.482 --> 03:07:21.844]  It's very similar to what we saw in the late 1960s and early 1970s with the radicalization of the anti-war movement.
[03:07:22.925 --> 03:07:28.826]  And that spun off a number of incredibly radical terrorist groups.
[03:07:29.447 --> 03:07:30.827]  A lot of them were cellular.
[03:07:32.240 --> 03:07:45.789]  There was some interaction between cells and in fact there was some interaction, internationally, with groups like the PLO and the Red Army Faction in Germany, the Italian Red Brigades and so forth.
[03:07:46.509 --> 03:07:51.573]  I think we're going to see a very similar era here in the United States in the very near future.
[03:08:04.215 --> 03:08:16.499]  If you are receiving this transmission, you are the resistance.
[03:08:17.099 --> 03:08:20.001]  You're listening to the Alex Jones Show.
[03:08:20.101 --> 03:08:23.702]  And now, your host, John Rappaport.
[03:08:25.601 --> 03:08:32.246]  Okay, so before the break I was talking about the explosive documentary on vaccines called Vaxxed.
[03:08:33.207 --> 03:08:40.372]  And in case there are people out there who don't know the theme of the film, it focuses on one guy.
[03:08:41.670 --> 03:09:06.869]  Longtime Centers for Disease Control CDC researcher William Thompson, who in 2014 went public on his lawyer's website with a confession that he and his colleagues at the CDC had manipulated and cooked the data in a scientific study on the safety of the MMR vaccine, measles, mumps, rubella vaccine.
[03:09:07.690 --> 03:09:10.072]  They had twisted the data to make it seem
[03:09:10.965 --> 03:09:18.288]  As if there was no increased risk for autism from the vaccine when indeed there was.
[03:09:19.169 --> 03:09:28.293]  This was a mind-blowing scandal because William Thompson has worked at the CDC for over 15 years.
[03:09:28.433 --> 03:09:30.053]  His name appears on many studies.
[03:09:30.754 --> 03:09:31.694]  He's an insider.
[03:09:32.194 --> 03:09:36.436]  He's not somebody coming in there from the outside and that was his confession.
[03:09:37.396 --> 03:09:38.637]  Concealed from
[03:09:39.807 --> 03:09:54.199]  Professionals, doctors, the public, mothers of children, the risk for neurological damage, brain damage, autism, from the MMR vaccine.
[03:09:55.280 --> 03:09:55.640]  Major.
[03:09:55.740 --> 03:09:57.021]  That's what the film is about.
[03:09:57.241 --> 03:09:57.461]  See?
[03:09:58.522 --> 03:10:04.207]  So, it's gone worldwide, this documentary.
[03:10:05.388 --> 03:10:07.610]  Polly Tommy, one of the producers,
[03:10:08.268 --> 03:10:10.569]  Was there in Australia recently for a tour.
[03:10:11.029 --> 03:10:15.470]  It was shown in screenings around across the country in different venues.
[03:10:16.610 --> 03:10:19.211]  Lots of media babble about it.
[03:10:19.271 --> 03:10:20.951]  Don't see this film and whatever.
[03:10:21.011 --> 03:10:29.573]  So, of course, people lined up the block to see it right on her way out of the country to go to New Zealand.
[03:10:31.409 --> 03:10:40.094]  Polly is told by Customs and Immigration that her visa is cancelled, she can't come back, and she's banned from Australia.
[03:10:42.295 --> 03:10:44.356]  According to Polly, that's for three years.
[03:10:45.637 --> 03:10:46.117]  Banned?
[03:10:46.838 --> 03:10:47.618]  You know, you're out.
[03:10:48.098 --> 03:10:49.259]  Cancelling your visa.
[03:10:51.040 --> 03:10:51.480]  Amazing.
[03:10:53.882 --> 03:10:54.242]  Okay.
[03:10:55.263 --> 03:10:57.866]  And what does the Australian press do about this?
[03:10:57.986 --> 03:11:00.468]  What reason do they give why she's banned?
[03:11:00.748 --> 03:11:10.476]  Well, because she lied, you see, on her visa and said that, well, you know, she was there for other reasons other than business.
[03:11:12.018 --> 03:11:15.881]  Well, I got a hold of the documents, the actual government documents.
[03:11:17.642 --> 03:11:22.707]  This story is going to be coming quite soon to No More Fake News.
[03:11:24.048 --> 03:11:26.409]  And the documents from the government don't say that at all.
[03:11:26.429 --> 03:11:29.149]  In fact, they say, well, she said she was there on business.
[03:11:29.269 --> 03:11:29.709]  Okay.
[03:11:30.530 --> 03:11:39.052]  But the real reason that they got rid of her was because she is, quote, an anti-vaccine activist from the United States of America.
[03:11:39.812 --> 03:11:49.414]  And she could cause an adversary action among some members of the Australian community.
[03:11:50.374 --> 03:11:51.895]  That's almost word for word.
[03:11:53.235 --> 03:11:53.415]  What?
[03:11:55.512 --> 03:11:56.232]  Which members?
[03:11:57.132 --> 03:11:57.352]  Who?
[03:11:57.533 --> 03:11:57.813]  What?
[03:11:59.193 --> 03:12:00.093]  You know, what is this like?
[03:12:00.473 --> 03:12:02.194]  Triggering snowflakes again?
[03:12:02.214 --> 03:12:02.954]  We're into this?
[03:12:03.434 --> 03:12:03.834]  You know?
[03:12:05.274 --> 03:12:07.315]  Could cause an adverse reaction?
[03:12:07.335 --> 03:12:09.495]  What about the adverse reaction from the vaccine?
[03:12:11.236 --> 03:12:12.936]  This is why they got rid of her.
[03:12:13.016 --> 03:12:17.077]  Because they don't want the public to know what's in that film.
[03:12:18.038 --> 03:12:23.299]  Because it's too true, too explosive, too horrendous, and too
[03:12:24.677 --> 03:12:39.154]  Waking up to unhypnotic, to anti-hypnotic, to anti-trance, to informative, to not fake.
[03:12:40.626 --> 03:12:43.550]  That's why the press is going crazy in Australia.
[03:12:43.590 --> 03:12:46.374]  You see all the medical bureaucrats and all the government officials.
[03:12:46.714 --> 03:12:48.977]  This film is highly dangerous and nobody should see it.
[03:12:49.037 --> 03:12:54.625]  It's horrible because it could cause parents to not vaccinate their children and then everybody would die.
[03:12:54.665 --> 03:12:55.326]  You know, whatever.
[03:12:55.346 --> 03:12:58.350]  The usual kind of insanity, right?
[03:13:00.570 --> 03:13:07.333]  All you have to do is go to the Centers for Disease Control website and start looking at what's actually in these vaccines.
[03:13:07.794 --> 03:13:09.134]  Vaccine by vaccine.
[03:13:09.375 --> 03:13:10.715]  All of them on the schedule.
[03:13:11.696 --> 03:13:12.116]  What's this?
[03:13:12.316 --> 03:13:12.956]  Aluminum?
[03:13:12.996 --> 03:13:14.817]  That's a neurotoxin, isn't it?
[03:13:14.897 --> 03:13:16.278]  Yes, yes.
[03:13:16.918 --> 03:13:20.400]  So we're injecting aluminum into the... That can't be good.
[03:13:21.401 --> 03:13:22.201]  Into children?
[03:13:23.419 --> 03:13:24.680]  What's this other thing?
[03:13:25.260 --> 03:13:27.862]  There's still mercury in flu vaccine?
[03:13:28.042 --> 03:13:28.822]  Oh my God!
[03:13:29.343 --> 03:13:34.046]  And what's this thing polysorbate 80 or another toxic ingredient?
[03:13:34.406 --> 03:13:51.597]  And then there's all kinds of germs, not just the germs intentionally planted in the vaccines, but indeed other germs that get in there as contaminants to inject it directly into the bodies of babies and children and all of the destruction that follows.
[03:13:55.043 --> 03:13:55.543]  Look it up.
[03:13:56.043 --> 03:13:57.443]  Research it for yourself.
[03:14:01.204 --> 03:14:06.345]  This is a blood boiling reality in our world.
[03:14:07.925 --> 03:14:22.308]  That vaccination, which is promoted by the medical cartel as the highest and the greatest good, is a method for disabling populations all over the world, incurring neurological and brain damage,
[03:14:23.968 --> 03:14:28.510]  Disabling people so that they can't function, think straight, live their lives.
[03:14:29.190 --> 03:14:30.231]  It's destruction.
[03:14:30.631 --> 03:14:35.333]  It's destruction on behalf of top-down control.
[03:14:36.514 --> 03:14:38.315]  Otherwise known as globalism.
[03:14:38.455 --> 03:14:50.360]  And if you really want to start going down the rabbit hole, just start looking at the history of modern pharmaceutical medicine and the promotion of SAME by the Rockefeller clan.
[03:14:51.149 --> 03:14:59.736]  The Rockefeller clan, the arch proponents at a very, very high level of what is called globalism.
[03:15:02.578 --> 03:15:02.978]  Go ahead.
[03:15:03.899 --> 03:15:04.519]  Have fun.
[03:15:05.480 --> 03:15:06.301]  Have fun with it.
[03:15:07.562 --> 03:15:10.043]  All right.
[03:15:10.063 --> 03:15:13.926]  30 to 40 percent off talking about InfoWars.
[03:15:14.607 --> 03:15:20.011]  Select storable food at InfoWarsStore.com for a limited time.
[03:15:21.101 --> 03:15:29.808]  Giving you 30 to 40 off on our InfoWars select storable food line, InfoWarsStore.com.
[03:15:31.089 --> 03:15:34.813]  All InfoWars select foods have a shelf life of 25 years.
[03:15:35.773 --> 03:15:39.236]  Made with super high quality ingredients in the USA.
[03:15:41.218 --> 03:15:44.441]  Get 30 to 40 off on all InfoWars
[03:15:45.277 --> 03:15:51.179]  Select storable food at InfoWarsStore.com until tonight.
[03:15:52.199 --> 03:15:52.519]  Only.
[03:15:53.860 --> 03:15:54.480]  Get it done.
[03:15:58.441 --> 03:15:59.101]  Vaccines.
[03:15:59.701 --> 03:16:00.402]  Pauly Tommy.
[03:16:01.382 --> 03:16:01.922]  Vaxxed.
[03:16:03.443 --> 03:16:08.284]  The truest documentary that's come out in a long, long, long time.
[03:16:10.723 --> 03:16:21.871]  I wrote about this extensively at No More Fake News in August of 2014 when William Thompson, who still, by the way, works at the Centers for Disease Control, will not talk to the press.
[03:16:23.012 --> 03:16:26.094]  Says he's available to speak to Congress if there's a hearing.
[03:16:26.614 --> 03:16:27.355]  Never happened.
[03:16:28.455 --> 03:16:29.156]  Never happened.
[03:16:30.557 --> 03:16:39.123]  Nobody except Representative Bill Posey in Congress has been lifting a finger to have hearings put this guy under oath and say,
[03:16:40.327 --> 03:16:52.134]  Dr. Thompson, tell us everything you know about the MMR vaccine, its autism risk, and let's talk about all the other vaccines.
[03:16:52.194 --> 03:16:54.596]  Let's talk about all the other ingredients.
[03:16:55.096 --> 03:16:57.818]  As an insider, tell us what you know.
[03:16:59.799 --> 03:17:02.861]  That would be a hearing to put on national television.
[03:17:03.441 --> 03:17:08.304]  That would be a way that all these fake news networks could actually
[03:17:09.847 --> 03:17:15.748]  recover some of their credibility for the public, but it ain't happening.
[03:17:18.229 --> 03:17:39.234]  I mean, as a reporter, let me tell you, when an insider at a prime, evil, fraudulent government agency like the CDC comes out in the open, an insider, a long-term researcher, and says,
[03:17:40.410 --> 03:17:41.150]  Here's what he said.
[03:17:42.011 --> 03:17:48.873]  We sat in a room, I and my colleagues, doing this study on the MMR vaccine.
[03:17:50.053 --> 03:17:51.674]  And we, ready?
[03:17:51.934 --> 03:17:54.955]  We brought in a garbage can.
[03:17:56.335 --> 03:18:08.840]  And we disposed of many sheets of data that would have been incriminating to the accusatory to the MMR vaccine.
[03:18:08.980 --> 03:18:09.980]  We got rid of all that.
[03:18:11.454 --> 03:18:20.438]  So we could conclude that the vaccine showed no increased risk for autism in children.
[03:18:23.659 --> 03:18:29.441]  Polly Tommy, the producer of Vaxxed, happens to be a parent with an autistic child.
[03:18:29.561 --> 03:18:30.201]  She knows.
[03:18:31.522 --> 03:18:32.042]  She knows.
[03:18:33.075 --> 03:18:41.117]  As many, many, many other parents, and especially mothers, know exactly what happened to their children after being vaccinated.
[03:18:42.637 --> 03:18:51.418]  How they turned away from the world, from being happy, open children, full of life.
[03:18:54.119 --> 03:18:55.379]  Neurological damage.
[03:18:55.979 --> 03:18:57.440]  Never the same again.
[03:18:58.300 --> 03:18:59.740]  Never the same again.
[03:19:01.158 --> 03:19:20.682]  And these puppets and these mongers and these disgusting specimens of anti-humanity, medical bureaucrats and government officials and mainstream dupe reporters talking about in Australia, the United States and any country you want to go to.
[03:19:21.730 --> 03:19:36.314]  Get up on their pedestal and say, oh, we know that vaccines are entirely safe and effective and have wiped out diseases and we wouldn't be here if it were not for the... And there's been an outbreak of one measles case.
[03:19:37.094 --> 03:19:38.414]  Yeah, one measles case.
[03:19:42.115 --> 03:19:44.216]  Death for all populations.
[03:19:44.456 --> 03:19:45.376]  One measles case.
[03:19:47.477 --> 03:19:47.997]  Stay with us.
[03:19:48.017 --> 03:19:51.318]  We'll be back after the break at InfoWarp.
[03:20:08.576 --> 03:20:13.380]  An illegal teenage immigrant from Honduras has been charged with killing his mother.
[03:20:13.520 --> 03:20:19.324]  Punez is a so-called dreamer, protected under the Deferred Action for Childhood Arrivals, or DACA.
[03:20:22.727 --> 03:20:25.629]  A truck had smashed the family's car on the right side.
[03:20:26.049 --> 03:20:28.351]  That's where Lennox was sitting in his little car seat.
[03:20:28.811 --> 03:20:32.794]  Border officials say Banda is a Mexican national in the country illegally.
[03:20:33.255 --> 03:20:34.976]  He's been deported 15 times in 15 years.
[03:20:38.018 --> 03:20:48.222]  Uvia Lopez has a sordid story that includes a prior deportation and identity fraud in addition to the sexual assault of a friend's teenage daughter.
[03:20:48.562 --> 03:20:53.204]  But I have a simple message today for every gang member and criminal alien.
[03:20:54.044 --> 03:21:00.727]  We will find you, we will arrest you, we will jail you, and we will deport you.
[03:21:11.317 --> 03:21:13.198]  He was deported a whopping eight times.
[03:21:13.518 --> 03:21:16.119]  Suspected in a deadly hit-and-run earlier this week.
[03:21:16.419 --> 03:21:21.481]  He's charged with sex abuse, sodomy, burglary, robbery, assault, and kidnapping.
[03:21:21.761 --> 03:21:25.783]  Court records show he's been deported and returned 20 different times.
[03:21:25.983 --> 03:21:28.924]  The father of two killed in a horrifying crash.
[03:21:29.304 --> 03:21:34.106]  Police say that the driver was a drunk, unlicensed, illegal immigrant.
[03:21:34.366 --> 03:21:41.049]  According to an ICE news release, he is a known gang member and has been previously deported four times.
