[00:00:00.109 --> 00:00:00.669]  Network.
[02:47:29.670 --> 02:47:38.517]  So, simple things people can do to start getting off, not just off the grid, the physical grid, but getting off the information grid.
[02:47:39.077 --> 02:47:46.399]  And that's why, you know, if you're going to go to a website, I had somebody ask me the other day, if I want to go to DARPA, should I just link directly?
[02:47:46.419 --> 02:47:54.362]  And I'm thinking, I wouldn't link directly to DARPA, but at Startpage.com, we've got a thing where if you look up DARPA, it says, View by Ixquik Proxy.
[02:47:54.682 --> 02:48:01.404]  And what happens, we'll go to DARPA for you, make a copy of their website, put it on our servers, and then DARPA never connects with you.
[02:48:01.824 --> 02:48:04.465]  And you can see information on the internet privately, it's a proxy.
[02:48:04.605 --> 02:48:07.286]  So, these are free tools that you should be using.
[02:48:07.486 --> 02:48:08.847]  Well, I think that's a great idea.
[02:48:08.867 --> 02:48:16.394]  There are two different views of this, and I think both are appliable, because they sell this idea and culture that's either one or the other.
[02:48:16.414 --> 02:48:17.615]  There's ten different systems.
[02:48:18.016 --> 02:48:18.997]  You can only pick one or two.
[02:48:19.917 --> 02:48:25.262]  Generally, in all different forms of thought, you can find things that are usable.
[02:48:26.764 --> 02:48:30.908]  It's good to choose to keep your stuff private because you want to.
[02:48:31.960 --> 02:48:35.843]  And because it's being stolen, and because they're using it against humanity in general.
[02:48:35.863 --> 02:48:37.004]  It's not that you have something to hide.
[02:48:37.325 --> 02:48:37.765]  Exactly.
[02:48:37.865 --> 02:48:46.213]  But then it's important to operate in full view of the enemy when you're engaged in political speech and to not be chilled.
[02:48:46.253 --> 02:48:49.015]  It's not like, oh they're after me, they're listening, I better shut up.
[02:48:49.055 --> 02:48:49.916]  They win that way.
[02:48:50.276 --> 02:48:56.902]  Make your private stuff hard to get, but then be very vocal in public, wide open, sharing everything on
[02:48:58.294 --> 02:48:58.775]  Thank you.
[02:49:16.147 --> 02:49:21.150]  Every race, color, creed, religion, to understand they don't want InfoWars.com information out.
[02:49:21.190 --> 02:49:23.051]  They don't want us on Facebook and YouTube.
[02:49:23.291 --> 02:49:24.592]  People say, well, why are you on there?
[02:49:24.832 --> 02:49:26.193]  Because that's where the war is.
[02:49:26.733 --> 02:49:28.494]  That's why you've got to go to our Facebooks.
[02:49:28.514 --> 02:49:29.735]  You've got to go to our YouTube.
[02:49:30.015 --> 02:49:31.236]  You've got to go to our Twitters.
[02:49:31.256 --> 02:49:32.717]  You've got to go to all our systems.
[02:49:33.197 --> 02:49:35.198]  And you have to send it out to everyone.
[02:49:35.278 --> 02:49:36.559]  You have to send the memes out.
[02:49:37.019 --> 02:49:38.300]  We're the tip of the spear here.
[02:49:38.640 --> 02:49:43.463]  And we've already had a gigantic effect, thanks to all your prayers and work and drudge and
[02:49:43.963 --> 02:49:48.265]  So many Eminem affiliates carrying the show, but we're all in this together.
[02:49:48.325 --> 02:49:56.668]  That's why I spend the whole show magnifying other talk show hosts who are doing a good job and who aren't.
[02:49:57.734 --> 02:49:59.994]  HUMET for the establishment with cognitive infiltration.
[02:50:00.014 --> 02:50:04.315]  You see a lot of infighting, stirring up, that's literally government agents, folks.
[02:50:04.675 --> 02:50:08.176]  When you see that, people that go around stirring stuff up all day, that is HUMET.
[02:50:09.036 --> 02:50:10.536]  Bad HUMET engaged in that.
[02:50:11.416 --> 02:50:22.038]  You've got to go out, reach people, you've got to speak out, you've got to be involved, you've got to understand the more visible you are, the more we'll show we're the majority, that this system's a fraud, and we'll defeat it.
[02:50:22.118 --> 02:50:23.418]  They're in trouble right now.
[02:50:23.998 --> 02:50:25.719]  And that's why they're accelerating their program.
[02:50:26.059 --> 02:50:27.079]  Catherine, I'm going to come back
[02:50:27.892 --> 02:50:28.967]  We're going to take some phone calls.
[02:50:30.031 --> 02:50:33.774]  But do you briefly agree that humanity's on the march and we're starting to see the warm turn?
[02:50:34.034 --> 02:50:36.636]  So here's the thing, there's freedom in numbers, there's strength in numbers.
[02:50:37.056 --> 02:50:41.899]  And this is the reason why they're manipulating what you see on the internet, manipulating the polls, so you think the numbers are on the other side.
[02:50:41.979 --> 02:50:44.561]  So we, you're absolutely right, you absolutely nailed it.
[02:50:44.962 --> 02:50:55.969]  We have got to be very visible, very vocal, show our numbers, and show that we're not, you know, that there's doctors and lawyers and people with doctorates from Harvard who are saying these things, so that there is strength in numbers.
[02:50:56.310 --> 02:50:58.151]  But when it comes to your personal information- We have to go to break.
[02:50:58.291 --> 02:50:58.811]  Make it private.
[02:50:58.931 --> 02:50:59.472]  Absolutely.
[02:50:59.512 --> 02:50:59.852]  Do that.
[02:50:59.892 --> 02:51:02.253]  Personal stuff, make it private.
[02:51:02.293 --> 02:51:05.435]  A 30-day GMO-free emergency food supply for only $99?
[02:51:05.475 --> 02:51:14.861]  At 30dayfoodsupply.com, you can purchase Oregon Trail Foods' one-month supply of high-quality, nutritious, and healthy emergency meals.
[02:51:14.921 --> 02:51:23.185]  For less than $100, these vegetarian meals are naturally high in fiber, carbs, and protein, and they're packed with oxygen absorbers in mylar pouches.
[02:51:23.466 --> 02:51:24.286]  They're completely free.
[02:51:24.446 --> 02:51:26.007]  of any artificial flavors and colorings.
[02:51:26.247 --> 02:51:30.750]  Have a 20-year shelf life and take up to 70% less space than number 10 cans.
[02:51:30.770 --> 02:51:32.631]  They even offer a gluten-free option.
[02:51:32.971 --> 02:51:35.653]  Oregon Trail Foods and 30dayfoodsupply.com.
[02:51:35.933 --> 02:51:40.416]  Keep prices low by buying directly from the producers in Oregon and then passing the savings to you.
[02:51:40.796 --> 02:51:48.141]  Purchase a 30-day, 90-serving emergency food supply for only $99 this month and $10 ships your entire order.
[02:51:48.661 --> 02:51:49.522]  Visit the website
[02:51:49.682 --> 02:51:53.704]  At 30dayfoodsupply.com or call 541-229-0010.
[02:51:54.944 --> 02:51:59.146]  That's 30dayfoodsupply.com, where they make preparedness affordable.
[02:51:59.727 --> 02:52:01.167]  30dayfoodsupply.com.
[02:52:01.707 --> 02:52:04.269]  Alex Jones here for InfoWars.com.
[02:52:04.489 --> 02:52:09.111]  In the month of July, we have got giant specials on everything at Madein1776.com.
[02:52:09.131 --> 02:52:11.712]  The already discounted Made in 1776 t-shirts are only $17.76.
[02:52:16.414 --> 02:52:21.298]  We have the new belt buckles that in only two weeks of sale are very close to selling out.
[02:52:21.318 --> 02:52:22.719]  There's only 500 of each.
[02:52:22.979 --> 02:52:27.082]  We're talking about Made in America belt buckles in nickel brass.
[02:52:27.162 --> 02:52:29.203]  This is more than a summer blowout special.
[02:52:29.404 --> 02:52:32.346]  This is a new declaration of independence.
[02:52:32.526 --> 02:52:38.290]  But to expand the info orb, we're offering the equivalent of more than five months free.
[02:52:38.630 --> 02:52:40.171]  Right now when you get a membership at PrisonPlanet.tv,
[02:52:41.052 --> 02:52:43.915]  For a limited time, only $39.95 a year.
[02:52:44.195 --> 02:52:47.719]  That's more than five months free off the regular price.
[02:52:48.059 --> 02:52:54.285]  Not just this July 4th weekend, but the entire month of July at MadeIn1776.com.
[02:52:54.666 --> 02:52:59.711]  Moe Enlabe, you can take my gun from my cold, dead hands.
[02:53:01.044 --> 02:53:03.046]  It's time for a home security quiz.
[02:53:03.427 --> 02:53:16.420]  What effective home security device is smaller than a coffee cup, fakes out burglars into thinking someone is home at your house while you're away, plugs into any wall outlet, is recommended by many police departments, and sells for less than $30?
[02:53:17.481 --> 02:53:19.182]  Yes, it's fake TV.
[02:53:19.422 --> 02:53:21.584]  This year, about one in every 50 U.S.
[02:53:21.604 --> 02:53:27.709]  homes will have a break-in with burglars usually picking the easy target, a dark house that looks like no one is home.
[02:53:28.029 --> 02:53:36.255]  Fake TV is a small electronic security device that makes it look like someone is home watching TV by simulating the light from a real TV.
[02:53:36.615 --> 02:53:42.059]  Fake TV could be the difference between coming home to a secure house or one that's been ransacked.
[02:53:42.319 --> 02:53:49.246]  To get your fake TV for only $29.95 with free shipping, go to faketv.com or call 1-877-5-FAKE-TV.
[02:53:49.286 --> 02:53:49.647]  That's 877-532-5388.
[02:53:49.687 --> 02:53:50.648]  Or go to faketv.com.
[02:53:50.768 --> 02:53:52.510]  Fake TV, the burglar deterrent.
[02:54:02.085 --> 02:54:03.787]  Federal agents, we are armed!
[02:54:04.969 --> 02:54:11.898]  We're gonna take a few phone calls in this segment and the next.
[02:54:19.268 --> 02:54:23.331]  Please remember that it is our sponsors that make this transmission possible.
[02:54:24.251 --> 02:54:30.535]  You hear a lot of network ads, which are great people in a lot of cases, but if you hear me endorsing something, it means I believe in it and think it's a high-quality product.
[02:54:30.976 --> 02:54:34.438]  One of those sponsors is mypatriotsupply.com forward slash Alex.
[02:54:34.478 --> 02:54:37.340]  I think everybody should be self-sufficient as much as they can.
[02:54:38.240 --> 02:54:41.941]  Water filtration, you name it, all of those type of things are essential.
[02:54:41.961 --> 02:54:50.385]  You can find it all at mypatriotsupply.com forward slash Alex, mypatriotsupply.com forward slash Alex or 866-229-0927 and please also don't forget
[02:54:54.446 --> 02:55:09.717]  The InfowarsStore.com, the Nightly News subscriptions at PrisonPlanet.tv, the high quality supplements that have really helped me with my health and energy, the X2, we've got some sales on the Fluoride Shield and the original X2 right now, 25% off, all available.
[02:55:12.179 --> 02:55:15.260]  at InfoWarsLive.com or InfoWarsStore.com.
[02:55:15.740 --> 02:55:19.622]  You can also call toll-free 888-253-3139.
[02:55:19.702 --> 02:55:23.543]  That's 888-253-3139.
[02:55:24.404 --> 02:55:28.405]  Catherine, I want to jam in a few calls because these folks have been holding a while, some of them.
[02:55:28.425 --> 02:55:32.067]  But briefly, we're going to do some overdrive coming up.
[02:55:32.607 --> 02:55:34.768]  What are some of the things you want to point out when we do overdrive?
[02:55:35.644 --> 02:55:38.908]  Well, I definitely want to encourage all the listeners to be making smart changes.
[02:55:39.289 --> 02:55:46.857]  I was part of the initiative, or supported the initiative at Reset the Net, which was about getting people to switch over to encryption on the internet.
[02:55:47.158 --> 02:55:50.662]  So what we're really doing, we're keeping the internet, we're building an encrypted layer on top of it.
[02:55:50.802 --> 02:55:54.624]  And that's startpage.com, which people should be using instead of Google, Yahoo, and Bing.
[02:55:54.945 --> 02:55:57.166]  That's Startmail, which has a two-minute video.
[02:55:57.186 --> 02:55:59.067]  I encourage people to go to startmail.com.
[02:55:59.447 --> 02:56:05.191]  Check out the video there and sign up to pre-register or pre-reserve an account when that comes out.
[02:56:05.211 --> 02:56:05.951]  That's coming out soon.
[02:56:06.211 --> 02:56:07.672]  We have 50,000 beta testers.
[02:56:07.953 --> 02:56:08.393]  We thought we'd get 1,000.
[02:56:08.433 --> 02:56:09.994]  I said, let's beta test it.
[02:56:10.274 --> 02:56:10.574]  Okay.
[02:56:10.874 --> 02:56:11.375]  We open it up.
[02:56:11.675 --> 02:56:12.595]  We have 50,000 people.
[02:56:12.615 --> 02:56:14.377]  We had to shut it down when we had so many people.
[02:56:14.397 --> 02:56:14.997]  Yeah, that's exciting.
[02:56:15.017 --> 02:56:16.258]  Well, tell me when you're ready to launch it.
[02:56:16.278 --> 02:56:18.099]  We'll certainly want to have you back for that.
[02:56:18.720 --> 02:56:20.304]  Let's go to Greg in California.
[02:56:20.344 --> 02:56:21.607]  Greg, thanks for holding her on the air.
[02:56:23.086 --> 02:56:25.187]  Yes, Alex Jones.
[02:56:25.287 --> 02:56:26.988]  I'm glad to finally be able to get a hold of you.
[02:56:28.009 --> 02:56:30.891]  I was calling basically to say hi to Catherine.
[02:56:30.911 --> 02:56:32.472]  I think you said her name's Catherine?
[02:56:32.692 --> 02:56:32.872]  Yep.
[02:56:33.052 --> 02:56:33.332]  Right here.
[02:56:34.293 --> 02:56:34.553]  Yeah.
[02:56:35.053 --> 02:56:42.578]  Anyway, I agree with some of the things she said about the smart, not phones, but the homes.
[02:56:42.778 --> 02:56:46.420]  I don't agree with that stuff because I don't want the government tracking my every move.
[02:56:46.440 --> 02:56:50.062]  Well, sir, I mean, it's 100% on record to dominate you, control everything you do.
[02:56:50.082 --> 02:56:50.603]  That's the problem.
[02:56:50.623 --> 02:56:51.523]  I mean, they admit that.
[02:56:51.603 --> 02:56:52.684]  I mean, yes, you're right.
[02:56:54.165 --> 02:56:54.425]  Right.
[02:56:54.505 --> 02:56:56.827]  So, a couple of products you want to avoid.
[02:56:56.887 --> 02:56:58.148]  One of them is Google Nest.
[02:56:58.208 --> 02:57:01.931]  Don't put a Nest thermostat in your home because it's kind of the thin and... Anything smart.
[02:57:01.992 --> 02:57:03.052]  Smart means slavery.
[02:57:03.092 --> 02:57:04.734]  Sir, you said you disagree with something.
[02:57:04.774 --> 02:57:06.555]  Go ahead.
[02:57:06.615 --> 02:57:07.236]  You disagree?
[02:57:08.817 --> 02:57:13.301]  No, I agree with what you're saying that we don't need this tracking in our systems.
[02:57:13.421 --> 02:57:19.106]  It's just too much espionage and spying on our own people and I think it's unconstitutional and I'm also a veteran.
[02:57:19.810 --> 02:57:20.610]  Of the military.
[02:57:20.650 --> 02:57:41.256]  I retired in 2008, and I was stationed at Dyess Air Force Base in Abilene, and I want to mention that I remember when I worked there, I worked in the WSA weapons storage area, and I remember seeing radioactive symbols, so to know that in our own heart, in our own country, that they stole nukes from there is a bad thing.
[02:57:41.934 --> 02:57:50.517]  So, I agree with you guys, and that's why I listen to you every day, and I spread the word to all my friends that I know, and family.
[02:57:50.537 --> 02:57:53.138]  I tell them, start listening to your show.
[02:57:53.318 --> 02:57:54.778]  I tell them to get involved.
[02:57:55.539 --> 02:58:01.781]  I even called the city council and told them I found out they're putting a floor in the water over here, and the guy didn't want to do anything about it.
[02:58:02.859 --> 02:58:04.620]  I'm going to keep doing what I've got to do.
[02:58:04.640 --> 02:58:06.822]  I'm even growing my own vegetables.
[02:58:07.002 --> 02:58:09.024]  I'm not buying a lot of them in the stores anymore.
[02:58:09.524 --> 02:58:16.810]  But my thing is, seeing what I've seen, I've been to Central America, I've been to Panama, I've been all around the world.
[02:58:17.030 --> 02:58:20.513]  I was in Germany in 1989 before the Berlin Walls came down.
[02:58:21.013 --> 02:58:25.717]  And when I came home, I told everybody before it even hit the media that it was going to happen.
[02:58:25.757 --> 02:58:26.738]  Let me throw this at you.
[02:58:26.758 --> 02:58:29.240]  We're going to do 20 minutes of overdrive with Catherine, so I may hold you over.
[02:58:31.341 --> 02:58:34.383]  There weren't supposed to even be nukes at Dias, but you're saying you saw them there.
[02:58:34.783 --> 02:58:35.763]  See, just confirming.
[02:58:36.284 --> 02:58:37.844]  Our source said they weren't supposed to even be there.
[02:58:38.185 --> 02:58:39.785]  They pulled them out, shipped them out.
[02:58:41.066 --> 02:58:42.607]  Some stations carry it, some don't.
[02:58:43.147 --> 02:58:47.209]  Infowars.com forward slash show to find the free feeds out there, folks.
[02:58:47.229 --> 02:58:49.410]  They'll be back this Sunday, 4 to 6 p.m.
[02:58:49.430 --> 02:58:50.351]  on the Live Sunday Show.
[02:58:50.611 --> 02:58:51.031]  Stay with us.
[02:58:52.659 --> 02:58:54.420]  Hi, I'm Dr. Edward Grew.
[02:58:54.941 --> 02:59:01.905]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[02:59:02.365 --> 02:59:12.772]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[02:59:13.193 --> 02:59:22.439]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[02:59:23.159 --> 02:59:26.580]  It's the strongest nascent iodine on the market today.
[02:59:27.220 --> 02:59:30.661]  It delivers 650 micrograms per drop.
[02:59:30.981 --> 02:59:32.561]  Experience the new formula.
[02:59:33.041 --> 02:59:35.022]  Experience the ancient purity.
[02:59:35.602 --> 02:59:36.622]  Shield your family.
[02:59:36.942 --> 02:59:38.343]  Survival Shield X2.
[02:59:38.763 --> 02:59:41.363]  Available now at Infowarslife.com.
[02:59:41.923 --> 02:59:45.884]  X2 from Infowarslife.com or call toll free 888-253-3139.
[02:59:52.802 --> 02:59:55.665]  Coast to Coast, direct from Austin.
[02:59:56.386 --> 02:59:59.590]  You're listening to the Alex Jones Broadcasting Network.
[03:00:07.782 --> 03:00:11.964]  Big Brother, Mainstream Media, Government Cover-Ups.
[03:00:12.604 --> 03:00:13.404]  You want answers?
[03:00:14.165 --> 03:00:15.065]  Well, so does he.
[03:00:15.725 --> 03:00:19.367]  He's Alex Jones on the GCN Radio Network.
[03:00:19.927 --> 03:00:23.969]  And now, live from Austin, Texas, Alex Jones.
[03:00:38.732 --> 03:00:41.354]  We're in overdrive talking to Greg in California.
[03:00:41.574 --> 03:00:41.935]  Veteran.
[03:00:42.395 --> 03:00:43.155]  You saw a lot.
[03:00:43.196 --> 03:00:46.218]  That's why vets are the easiest to wake up because they know we're not making stuff up.
[03:00:46.598 --> 03:00:49.200]  They've already been into one level of the secrecy or even deeper.
[03:00:49.861 --> 03:00:52.583]  But finishing, he started with a key term.
[03:00:52.603 --> 03:00:56.366]  He goes, I don't think we need this type of espionage against our own people.
[03:00:57.026 --> 03:00:58.107]  See, we're so tribal.
[03:00:58.928 --> 03:00:59.768]  He's a smart guy.
[03:01:00.449 --> 03:01:01.110]  And I'm this way too.
[03:01:01.150 --> 03:01:03.792]  I keep saying we, we, we, we shouldn't be doing this in Ukraine.
[03:01:04.832 --> 03:01:06.614]  Or we shouldn't be spying on our own people.
[03:01:08.677 --> 03:01:11.141]  With these government systems and the smart meters and the rest of it.
[03:01:11.642 --> 03:01:18.452]  The globalists have had a technotronic, technocratic coup in their own words over the infrastructure.
[03:01:19.153 --> 03:01:22.138]  That's why they want centralization that even bypasses government.
[03:01:23.226 --> 03:01:28.109]  And they use perception management, where the Border Patrol told us four months ago, we've been ordered to stand down.
[03:01:28.649 --> 03:01:30.870]  No one would confirm it or make a big deal out of it.
[03:01:31.130 --> 03:01:32.711]  I finally said, let's go to the border and show this.
[03:01:32.731 --> 03:01:35.353]  Because the whistleblower calls and says, I'm with ICE.
[03:01:35.733 --> 03:01:36.713]  They bring them in on buses.
[03:01:36.753 --> 03:01:38.835]  We're forced to load them and take them and dump them off.
[03:01:38.875 --> 03:01:42.437]  It became national news, all because
[03:01:43.539 --> 03:01:47.021]  We were here, which scares me because I'm ragtag, folks.
[03:01:47.181 --> 03:01:49.742]  I can't even respond to 10% of what's coming in.
[03:01:50.462 --> 03:01:55.224]  I mean, the stuff that's coming in is just crazy, but it shows what you could do out there.
[03:01:55.664 --> 03:02:03.608]  Mainline talk show host, get a camera, get a crew, put videos on YouTube, part of your radio show, be the media.
[03:02:04.428 --> 03:02:06.509]  It's a vacuum, but call her.
[03:02:06.529 --> 03:02:10.751]  This is a short segment, long segment coming up with Catherine here with us in the studio, but Greg,
[03:02:12.085 --> 03:02:17.327]  Other points or any comments you've got off what he said, Catherine?
[03:02:17.387 --> 03:02:19.788]  Yes, there's something else I wanted to say too.
[03:02:20.008 --> 03:02:36.113]  My wife went to a clinic to get her checkup and she's Russian and she heard in Russian they were asking, these are doctors at the counter or the clerks, asking if they own weapons and that to me shouldn't even be going on either and I've witnessed it and my wife told me about this.
[03:02:36.693 --> 03:02:38.114]  So people going to clinics
[03:02:38.590 --> 03:02:44.375]  Being asked these questions about whether they own guns is unconstitutional, and I've witnessed it myself.
[03:02:44.435 --> 03:02:45.576]  Oh, it's in Obamacare.
[03:02:45.716 --> 03:02:47.617]  It's in Obamacare.
[03:02:47.998 --> 03:02:48.798]  This is it, folks.
[03:02:48.858 --> 03:02:50.240]  They are, look, this is it.
[03:02:50.660 --> 03:02:51.701]  They're dropping the hammer.
[03:02:51.721 --> 03:02:53.242]  Catherine, you agree with that statement?
[03:02:53.442 --> 03:02:58.626]  Yeah, and when you mention Obamacare, I just have to point out that I'm one of the people who completely lost my health coverage.
[03:02:58.947 --> 03:03:04.271]  I am no longer able to receive the treatment that I received for the breast cancer that I'm going to be in treatment for for the rest of my life.
[03:03:04.651 --> 03:03:06.632]  I literally had it taken away from me by Obamacare.
[03:03:07.333 --> 03:03:09.935]  In the state of New Hampshire, now, I'm not allowed to leave the state.
[03:03:10.015 --> 03:03:12.356]  They turned our state into the reservation, basically.
[03:03:12.677 --> 03:03:15.138]  I can't even go over the border into Massachusetts, where I was treated.
[03:03:15.598 --> 03:03:18.200]  So, Obamacare, nightmare, top to bottom.
[03:03:18.640 --> 03:03:32.890]  And I think as they give us an extension, but as that runs out at the end of the year, I think you're going to see a huge amount of backlash, as all of the people who had their care taken away from them are going to be starting to... But by then, the World War III would have started, and the collapsed borders.
[03:03:32.910 --> 03:03:34.211]  See, that's why they keep pushing it off.
[03:03:34.831 --> 03:03:36.513]  Because they know everybody's going to get mad.
[03:03:37.013 --> 03:03:41.316]  Well, it's you push off the resistance so that you can get it in place and then it becomes entrenched.
[03:03:41.556 --> 03:03:43.878]  And then when the resistance comes up, there's really nothing you can do about it.
[03:03:43.978 --> 03:03:47.320]  So I think that's why on Obamacare they've just given us these extensions.
[03:03:47.640 --> 03:03:51.663]  But the idea of asking people if they have firearms, it's not really unconstitutional.
[03:03:51.683 --> 03:03:54.886]  It's unconstitutional for the government to tell doctors to do that and report back.
[03:03:55.186 --> 03:03:56.006]  But here's the thing.
[03:03:56.607 --> 03:04:03.112]  What you choose to voluntarily do to a doctor or a company or to the police or to the doctors, these authority figures,
[03:04:03.772 --> 03:04:07.415]  When a cop asks me at a checkpoint to search my car, I say, are you looking for somebody?
[03:04:07.435 --> 03:04:08.315]  Do I match the description?
[03:04:08.555 --> 03:04:09.236]  They go, hey, buddy.
[03:04:09.256 --> 03:04:11.778]  I go, hey, I care about you and your family.
[03:04:11.818 --> 03:04:12.978]  You know this is a bunch of bull.
[03:04:13.599 --> 03:04:14.820]  Now, you ought to be ashamed of yourself.
[03:04:14.840 --> 03:04:16.861]  You want to get a dog in here and make a big issue out of this?
[03:04:17.181 --> 03:04:21.044]  You know the government ships narcotics in, and the cop always goes, just get out of here.
[03:04:21.404 --> 03:04:22.665]  Or they say, no, I know you're right.
[03:04:23.085 --> 03:04:23.465]  You can go.
[03:04:24.626 --> 03:04:25.687]  They're just following orders.
[03:04:26.148 --> 03:04:27.970]  They're having their own future destroyed, Catherine.
[03:04:28.470 --> 03:04:29.852]  Start saying no!
[03:04:29.932 --> 03:04:32.434]  Doctor asked me that, I'm just like, none of your business, bro.
[03:04:32.694 --> 03:04:34.997]  So, we need to learn how to say no to data requests.
[03:04:35.057 --> 03:04:36.718]  Somebody asked for your age of birth, your date of birth.
[03:04:36.779 --> 03:04:37.079]  Oh yeah, oh yeah.
[03:04:37.099 --> 03:04:37.840]  Just phone them or say no.
[03:04:38.000 --> 03:04:38.861]  I just say no, thank you.
[03:04:40.803 --> 03:04:41.683]  Oh, they do it everywhere.
[03:04:41.703 --> 03:04:42.845]  It's incredible.
[03:04:43.962 --> 03:04:46.725]  And they also like you to beep at the gate to act like you're bad.
[03:04:46.745 --> 03:04:50.850]  Like, I was at this place the other day buying stuff, and I said, I want you to scan all this so it doesn't beep.
[03:04:51.530 --> 03:04:53.593]  And when it beeped, and they ran up to me, I said, this is it.
[03:04:53.613 --> 03:04:54.173]  Get your manager.
[03:04:54.193 --> 03:04:54.934]  I made a huge scene.
[03:04:55.334 --> 03:04:56.896]  I said, this is social engineering.
[03:04:57.297 --> 03:04:58.157]  You don't even know it.
[03:04:58.258 --> 03:04:59.118]  More calls coming up.
[03:05:02.632 --> 03:05:08.959]  By now you may know that a Bitcoin is the first decentralized currency that's easily transferred from person to person over the internet.
[03:05:09.300 --> 03:05:10.161]  No bank needed.
[03:05:10.421 --> 03:05:14.025]  This means lower fees and accounts can never be frozen, limited, or closed.
[03:05:14.285 --> 03:05:17.809]  Plus, a large number of businesses and merchants already accept Bitcoins.
[03:05:18.149 --> 03:05:21.253]  And Bitcoins are easily exchanged for dollars, euros, and more.
[03:05:21.693 --> 03:05:30.140]  If you're interested in making money in the Bitcoin market right away, and by right away we mean start making money today, please visit us at CloudHashing.com.
[03:05:30.460 --> 03:05:37.325]  CloudHashing.com is one of the fastest growing Bitcoin miners in the world, delivering the highest profits to people just like you.
[03:05:37.545 --> 03:05:43.330]  To get started, join us at CloudHashing.com and you will start mining Bitcoins right away and get paid daily.
[03:05:43.510 --> 03:05:44.411]  You heard correctly.
[03:05:44.671 --> 03:05:46.912]  You will receive payments every single day.
[03:05:47.173 --> 03:05:48.013]  And the best part?
[03:05:48.173 --> 03:05:51.376]  You do not need a computer or need any experience in mining Bitcoins.
[03:05:51.656 --> 03:05:53.200]  It's perfect for everyone.
[03:05:53.401 --> 03:05:55.105]  Learn more at cloudhashing.com.
[03:05:55.346 --> 03:05:57.611]  Just like it sounds, cloudhashing.com.
[03:05:57.892 --> 03:06:00.538]  Start making money today at cloudhashing.com.
[03:06:06.050 --> 03:06:07.692]  Curious about what comes next?
[03:06:08.472 --> 03:06:14.678]  Next is the feeling of vulnerability you get after you arrive home to discover your house has been ransacked by burglars.
[03:06:15.158 --> 03:06:18.201]  Fool the bad guys with a new improved fake TV.
[03:06:18.542 --> 03:06:24.807]  You asked for it, we listened, and we made our new fake TV three times brighter than our previous model.
[03:06:25.028 --> 03:06:28.371]  The brightness of our new fake TV is equivalent to a 40-inch TV.
[03:06:29.091 --> 03:06:33.873]  It simulates the color and motion of a real TV while you're away from home.
[03:06:34.414 --> 03:06:40.537]  And when burglars think someone is home watching television, they're likely to pass your house and move on to an easier target.
[03:06:40.877 --> 03:06:45.299]  The new, brighter fake TV is only $39.95 and includes free shipping.
[03:06:45.679 --> 03:06:48.280]  Go to faketv.com or call 1-877-5-FAKE-TV.
[03:06:48.420 --> 03:06:48.721]  That's 877-532-5388.
[03:06:48.761 --> 03:06:50.141]  Or go to faketv.com.
[03:06:57.925 --> 03:07:00.387]  Fake TV, the burglar deterrent.
[03:07:01.649 --> 03:07:03.450]  The human body is extraordinary.
[03:07:03.771 --> 03:07:07.754]  Despite all the stresses we inflict upon it, it still works hard to stay in balance.
[03:07:07.974 --> 03:07:12.979]  Thousands upon thousands of people rely upon hard and body extract to help their body stay balanced.
[03:07:13.259 --> 03:07:22.488]  This excellent 100% natural herbal formula helps maintain healthy blood pressure levels, cleans arteries, promotes good circulation, balances cholesterol and more.
[03:07:22.948 --> 03:07:30.452]  HB Extract, paired with healthy lifestyle choices like good nutrition and exercise, can give you a life free of pain, sickness and fear.
[03:07:30.712 --> 03:07:36.475]  Recapture your youthful vitality and experience your body healing itself with the aid of HB Extract.
[03:07:36.755 --> 03:07:39.616]  It's extremely effective and it starts working in just days.
[03:07:40.076 --> 03:07:45.339]  Visit HBExtract.com to learn more and to read scores of testimonials from satisfied customers.
[03:07:45.619 --> 03:07:48.020]  And we've never increased our price in over 10 years.
[03:07:48.360 --> 03:07:51.222]  That makes heart and body extract as great a value now
[03:07:51.522 --> 03:07:55.803]  As it was the first day we sold it, a healthy heart is a happy heart.
[03:07:55.983 --> 03:08:00.104]  Call 866-295-5305 or go to HBextract.com.
[03:08:04.564 --> 03:08:10.585]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[03:08:11.185 --> 03:08:14.226]  It's Alex Jones and the GCN Radio Network.
[03:08:15.086 --> 03:08:19.587]  If you look at the crazed people running the State Department and caught running false flags, you name it.
[03:08:20.819 --> 03:08:25.201]  They're in control of DARPA, they're in control of Google, Microsoft, it's all a combine.
[03:08:27.002 --> 03:08:34.325]  And they believe they're invincible, ladies and gentlemen, but they're not if we just admit that they have bad will towards us.
[03:08:35.665 --> 03:08:40.868]  And people within their own system, you don't have to do a bunch of heroic stuff, it's just decisions you make every day.
[03:08:41.188 --> 03:08:47.791]  Where you spend your money, where you go, what you do, what you leak, will bring them down in the end.
[03:08:47.811 --> 03:08:49.912]  Because they're just people like us.
[03:08:50.936 --> 03:08:56.000]  Only our goodwill and our naivete has allowed it to go this far.
