[00:00:00.349 --> 00:00:05.552]  Coast-to-coast, direct from Austin.
[02:16:01.046 --> 02:16:08.372]  Well that was one of your points, is to ask the question, is Fort Hood a dump site for problem soldiers and why was Lopez sent there?
[02:16:09.781 --> 02:16:13.442]  Well, that is a key question.
[02:16:13.502 --> 02:16:19.944]  I mean, that's like looking for the Malaysian Airliner 370.
[02:16:20.284 --> 02:16:21.765]  Don't look in the Arctic Ocean.
[02:16:22.665 --> 02:16:26.046]  Look in the Indian Ocean.
[02:16:26.806 --> 02:16:31.588]  Let's find out what was going on at Fort Bliss.
[02:16:32.408 --> 02:16:34.529]  This guy wasn't in Fort Hood very long.
[02:16:36.642 --> 02:16:38.064]  I don't think they knew him very well.
[02:16:39.225 --> 02:16:43.010]  But they know him at Fort Bliss and El Paso.
[02:16:46.329 --> 02:16:55.997]  If he was under this assessment for Post Traumatic Stress Disorder and Traumatic Brain Injury, why would they send him at this time?
[02:16:56.637 --> 02:16:58.579]  He's a truck driver.
[02:16:59.059 --> 02:17:01.682]  He's a truck driver at Fort Hood?
[02:17:02.202 --> 02:17:03.563]  So, I don't know.
[02:17:03.823 --> 02:17:09.928]  But the reason for that transfer should be explained?
[02:17:10.889 --> 02:17:15.072]  Just like it should have been explained, what was the reason for the transfer of Major Hassan?
[02:17:16.862 --> 02:17:17.863]  to Fort Hood.
[02:17:18.563 --> 02:17:23.366]  I fear that they didn't know very much about him when he got there.
[02:17:23.386 --> 02:17:35.292]  Reportedly the CIA didn't give the Pentagon the reports Congress reported a few years ago that for two years they were tracking Hassan talking to Al Qaeda about things he was planning.
[02:17:36.052 --> 02:17:43.256]  And it just looks like a whole process of passing the buck is going on with just all sorts of people that are disturbed.
[02:17:45.439 --> 02:18:03.525]  Unfortunately, the system is overwhelmed and oftentimes, in my experience, they just really don't know what to do with some of these problem people and this was one of those problem people.
[02:18:03.625 --> 02:18:11.467]  He didn't just get refused to leave and get, you know,
[02:18:14.328 --> 02:18:15.769]  Well, sure.
[02:18:15.989 --> 02:18:18.809]  I mean, look at how he was begging for help.
[02:18:19.469 --> 02:18:21.990]  They're now having to admit all over the place and wasn't even really getting it.
[02:18:22.490 --> 02:18:23.870]  Well, it's worse than that.
[02:18:23.950 --> 02:18:27.791]  They're not even acknowledging that he was in combat.
[02:18:27.831 --> 02:18:34.292]  And here's a Facebook posting two years ago celebrating life.
[02:18:34.352 --> 02:18:38.073]  It has been exactly one year and two days since I left Iraq.
[02:18:38.903 --> 02:18:44.986]  Seeing in Fallujah the most brutal explosion, I was left paralyzed and started the discussion over the radio.
[02:18:45.446 --> 02:18:50.909]  I was only focused on breathing deeply so that I don't lose focus and continue the mission.
[02:18:51.369 --> 02:18:57.972]  For hours of agony, waiting for an attack by the insurgency, but we were able to exit Fallujah all alive.
[02:18:58.512 --> 02:19:00.233]  I was in vehicle number six.
[02:19:00.313 --> 02:19:07.957]  The worst was that number five was a diesel truck, the perfect target, and I was only thinking about getting back with my family.
[02:19:10.344 --> 02:19:12.526]  You know, this is a posting two years ago.
[02:19:12.747 --> 02:19:14.749]  Now, was he lying?
[02:19:15.009 --> 02:19:26.562]  It sounds pretty detailed to me, but at the bottom it says, you know, General Commander of the Post said Lopez did not experience direct combat in Iraq.
[02:19:27.623 --> 02:19:29.405]  That sounds to me like direct combat.
[02:19:32.281 --> 02:19:39.725]  Well, they always want to act like anybody that goes off the deep end, you know, was never a combat soldier because, you know, those guys are all angels.
[02:19:40.305 --> 02:19:43.047]  Look at Sergeant Bales killing the 18 people.
[02:19:43.067 --> 02:19:43.487]  Remember that?
[02:19:44.487 --> 02:19:45.148]  I sure do.
[02:19:45.188 --> 02:19:46.128]  That's in my book.
[02:19:46.448 --> 02:19:49.190]  And he was not fit for duty.
[02:19:50.050 --> 02:19:51.011]  He had a half a foot.
[02:19:52.370 --> 02:19:53.731]  Let's talk about him when we come back.
[02:19:53.791 --> 02:19:54.431]  Amazing book.
[02:19:54.451 --> 02:19:55.372]  I want to get into the book.
[02:19:55.692 --> 02:19:56.453]  I haven't read it yet.
[02:19:56.613 --> 02:19:57.473]  Wounded Minds.
[02:19:58.133 --> 02:20:00.735]  And we've got a guy who's been in the VA the whole nine yards.
[02:20:01.135 --> 02:20:09.600]  Top MD psychiatrist who's worked with these people forever and of course been in combat himself and is breaking it down for us.
[02:20:09.620 --> 02:20:10.140]  We'll be right back.
[02:20:11.277 --> 02:20:14.100]  Friends, this is Alex Jones for MidasResources.com.
[02:20:14.480 --> 02:20:19.626]  For more than 15 years, I have exclusively used Midas Resources for all my precious metal needs.
[02:20:20.066 --> 02:20:25.052]  Whether it's bullion or collectibles you're looking for, Midas Resources is simply the best.
[02:20:25.693 --> 02:20:27.755]  I own my gold as a hedge against inflation.
[02:20:28.275 --> 02:20:34.101]  This Federal Reserve fiat currency could go the way of the Deutsche Mark and the Weimar Republic anytime.
[02:20:34.621 --> 02:20:39.146]  In these historically dangerous times, it makes sense to physically hold gold and silver.
[02:20:39.486 --> 02:20:42.129]  Midas already has some of the best deals in the industry.
[02:20:42.369 --> 02:20:47.454]  But if you give them a call and mention the radio special, they will give you a list of the day's super specials.
[02:20:47.934 --> 02:20:51.778]  Midas brokers are standing by to answer all your questions at 800-686-2237.
[02:20:53.259 --> 02:21:00.186]  They also have a lot of informative free literature explaining the opportunities and risk of holding precious metals.
[02:21:00.607 --> 02:21:02.468]  They are ready to answer your questions at 800-686-2237.
[02:21:02.488 --> 02:21:02.889]  Again, that's 800-686-2237.
[02:21:09.943 --> 02:21:20.227]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[02:21:20.547 --> 02:21:22.408]  Guess what else is in the halogen family?
[02:21:22.588 --> 02:21:23.289]  Fluoride!
[02:21:23.489 --> 02:21:25.049]  Ladies and gentlemen, Alex Jones here.
[02:21:25.389 --> 02:21:31.672]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[02:21:31.912 --> 02:21:36.693]  It's the good halogen on the periodic table, and the results are on record.
[02:21:36.833 --> 02:21:42.895]  Reports documented a 15-point IQ increase in areas that had previously been deficient in iodine.
[02:21:43.095 --> 02:21:45.256]  Bottom line, iodine is important.
[02:21:45.516 --> 02:21:48.097]  Unbound, clean, in a glycerin base.
[02:21:48.417 --> 02:21:51.758]  Nascent iodine was the answer for myself and my family.
[02:21:51.898 --> 02:21:57.099]  You will find Survival Shield Nascent Iodine exclusively at Infowarslife.com.
[02:21:57.299 --> 02:22:00.420]  Infowarslife Survival Shield Nascent Iodine
[02:22:01.621 --> 02:22:13.408]  Clean water at home, clean water at the office, clean water on the go.
[02:22:13.668 --> 02:22:19.572]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[02:22:19.912 --> 02:22:22.734]  Thousands of satisfied customers can't be wrong.
[02:22:23.074 --> 02:22:26.256]  For free shipping within the U.S., go to GoBerkey.com.
[02:22:26.616 --> 02:22:29.939]  Or call 877-886-3653.
[02:22:29.979 --> 02:22:34.003]  That's 877-886-3653.
[02:22:34.284 --> 02:22:36.366]  Helping thousands prepare since 2005.
[02:22:37.447 --> 02:22:38.848]  Goberky.com.
[02:22:39.389 --> 02:22:40.530]  Attention gun owners.
[02:22:40.770 --> 02:22:45.395]  It's reasonable to assume that at some point you may need to defend your family from an armed attack.
[02:22:45.575 --> 02:22:49.019]  But is it reasonable to mount a defense without a strong offense?
[02:22:49.259 --> 02:22:51.421]  Infidel Body Armor goes on in seconds.
[02:22:51.661 --> 02:22:53.823]  Is civilian legal in all 50 states.
[02:22:54.064 --> 02:22:56.366]  Is 100% made in the USA.
[02:22:56.486 --> 02:23:00.070]  Is veteran owned and ships next business day for free.
[02:23:00.230 --> 02:23:02.773]  Go to InfidelBodyArmor.com.
[02:23:02.913 --> 02:23:05.736]  I-N-F-I-D-E-L BodyArmor.com.
[02:23:05.856 --> 02:23:06.997]  Infidel Body Armor.
[02:23:07.558 --> 02:23:08.779]  Just won't quit.
[02:23:09.099 --> 02:23:11.661]  Hi folks, Alex Jones here with some important information.
[02:23:11.941 --> 02:23:16.805]  I want to tell you about Matt Redhawk and his team of patriots over at MyPatriotSupply.
[02:23:17.045 --> 02:23:24.951]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the charlatans willing to sell us out for a quick buck.
[02:23:25.192 --> 02:23:29.475]  Deciding to take action, a company run by patriots for patriots was born.
[02:23:29.715 --> 02:23:33.518]  MyPatriotSupply has never taken a loan or accepted outside funding.
[02:23:33.658 --> 02:23:39.382]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[02:23:39.602 --> 02:23:42.384]  It is rare to find companies who practice what they preach.
[02:23:42.784 --> 02:23:48.008]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[02:23:48.148 --> 02:23:56.273]  Go to MyPatriotSupply.com forward slash Alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[02:23:56.333 --> 02:23:56.514]  That's 866-229-0927.
[02:24:02.978 --> 02:24:05.184]  Do business with someone who shares your values.
[02:24:05.485 --> 02:24:06.728]  BuyPatriotsSupply.com
[02:24:30.635 --> 02:24:46.523]  Dr. John Liebert is our guest, a veteran working in the VA and the psychiatry department heading it up in major hospitals, and we were getting into the fact that all-time record suicides, dwarfing any period ever, outpacing combat deaths.
[02:24:46.823 --> 02:24:56.388]  They had all these flags at half-mast around the country for three dead, four dead including the shooter, which I guess is fine, but what about the seven vets that are in the military that die every day?
[02:24:57.108 --> 02:24:59.729]  Of the 22 that are veterans.
[02:24:59.749 --> 02:25:00.409]  22 a day total.
[02:25:00.469 --> 02:25:05.130]  Seven of them was the average CNN had, if that's accurate, that are active duty.
[02:25:05.770 --> 02:25:07.651]  Where's the half mass for them?
[02:25:07.671 --> 02:25:09.992]  I mean, the half mass would be every day.
[02:25:11.032 --> 02:25:12.812]  So we were getting into Sergeant Bales.
[02:25:12.852 --> 02:25:14.993]  For those that don't know about that, sir, tell people about that.
[02:25:16.840 --> 02:25:30.945]  Well, while Sergeant Bales had already served three tours, there were really no alleged problems other than the fact that he had his foot amputated.
[02:25:31.385 --> 02:25:39.809]  He was left with a half a foot, which would have rendered him on the fitness for duty profile unqualified for deployment.
[02:25:40.449 --> 02:25:42.750]  He was not fit for duty just because of his foot.
[02:25:43.390 --> 02:25:45.291]  He also had a head injury.
[02:25:47.800 --> 02:25:58.107]  In Iraq, he was in some of the fiercest combat in Iraq, and he also had a head injury, you know, on base on an automobile accident.
[02:25:59.588 --> 02:26:05.552]  He apparently had a diagnosis of post-traumatic stress disorder, but that's not clear.
[02:26:09.764 --> 02:26:21.556]  You know, he was deployed against his wishes and he probably had more common sense than anybody who deployed him because he really, I don't think he was fit for duty.
[02:26:21.677 --> 02:26:23.799]  I'd like to see his fitness for duty profile.
[02:26:24.540 --> 02:26:25.861]  I mean, it's on his record.
[02:26:26.661 --> 02:26:27.642]  Well, it's ridiculous.
[02:26:27.662 --> 02:26:40.069]  He had a fake foot, and the day before he went and flipped out, he said, didn't remember who he was and all the drugs, his buddy almost got killed and some other friends got killed in an IED attack.
[02:26:40.389 --> 02:26:41.509]  He saw that happen.
[02:26:41.549 --> 02:26:42.790]  I'm going from memory here.
[02:26:43.030 --> 02:26:44.731]  You've got the files there, obviously, in front of you.
[02:26:45.512 --> 02:26:47.953]  And then they just keep deploying, keep making him go out.
[02:26:47.973 --> 02:26:50.594]  And he says, look, I don't want to go back out.
[02:26:51.115 --> 02:26:51.535]  Please.
[02:26:51.655 --> 02:26:52.756]  And they made him.
[02:26:53.436 --> 02:26:54.837]  And then they put him on a bunch of medication.
[02:26:55.077 --> 02:26:56.659]  How does the medication feed into this?
[02:26:56.759 --> 02:27:08.948]  Well, I don't think he was on psychotropic medication, but there is a controversy about his being on an anti-malarial drug, which has just inhibited people and caused violence in soldiers.
[02:27:09.729 --> 02:27:11.370]  I don't think that's ever been established.
[02:27:13.011 --> 02:27:15.893]  I don't believe he was on psychotropic medications.
[02:27:16.334 --> 02:27:17.855]  He was apparently drinking.
[02:27:18.824 --> 02:27:34.148]  But the point is that they not only deployed him, but they deployed him to what appeared to be a remote and rather dangerous special forces outpost to protect the special forces.
[02:27:35.769 --> 02:27:41.710]  So it sounds to me like he was sent on kind of a suicide mission.
[02:27:44.986 --> 02:27:57.533]  Yes, you know, he probably had lost enough of his buddies and these IEDs are just absolutely so dangerous and so devastating.
[02:27:58.534 --> 02:28:05.758]  He probably just had one too many of those and buried one too many of his friends and
[02:28:08.749 --> 02:28:14.553]  He went off and, to tell you the truth, I don't think he ever planned to come back to the United States.
[02:28:14.653 --> 02:28:17.254]  I think he was probably suicidal, my speculation.
[02:28:18.055 --> 02:28:25.940]  The way he was behaving, and when they say he doesn't remember, I tend to believe him, although I did not examine him.
[02:28:27.561 --> 02:28:37.467]  But instead, we put him in prison, and I'm not saying what he did was good, it was horrible, but how do you put a man through this stuff and not expect a large percentage of him to blow?
[02:28:40.762 --> 02:28:51.665]  Well, that of course is the important question and I don't think that it's being addressed at the levels where it should be addressed.
[02:28:52.225 --> 02:29:00.107]  I don't believe that, you know, just running this volunteer army over and over and over again
[02:29:00.865 --> 02:29:04.587]  In order to solve the problems of the Vietnam draft is the solution.
[02:29:04.627 --> 02:29:06.629]  I think the Vietnam draft is a failure.
[02:29:06.689 --> 02:29:09.170]  I think this all-volunteer army is a failure.
[02:29:10.211 --> 02:29:11.271]  It's not the soldiers.
[02:29:11.391 --> 02:29:12.312]  It's not the units.
[02:29:12.932 --> 02:29:19.076]  You know, the Vietnam army was one of the best ever fielded and they just got thrown into the garbage can.
[02:29:19.636 --> 02:29:22.738]  This army is an excellent army.
[02:29:23.399 --> 02:29:27.121]  It's also going to probably be trashed too as they downsize.
[02:29:29.068 --> 02:29:32.051]  I don't think the policy is right.
[02:29:32.712 --> 02:29:34.955]  The draft didn't work.
[02:29:35.476 --> 02:29:36.877]  The volunteer army didn't work.
[02:29:37.658 --> 02:29:41.082]  I think we need to go to universal military service.
[02:29:41.503 --> 02:29:45.448]  Everybody graduates from high school, goes into the military.
[02:29:46.058 --> 02:29:47.439]  Dr. Liebert, stay right there.
[02:29:47.459 --> 02:29:55.546]  I want to come back and hear more of your solutions and debate back and forth the pros and cons of universal service or a new draft.
[02:29:56.186 --> 02:29:58.688]  Of course, you know all the congressional kids are going to be exempt.
[02:29:59.809 --> 02:30:00.710]  We're on the march.
[02:30:01.210 --> 02:30:02.812]  The empire's on the run.
[02:30:03.733 --> 02:30:06.415]  Alex Jones and the GCN Radio Network.
[02:30:10.603 --> 02:30:19.616]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting, 100% organic coffee on the planet.
[02:30:19.696 --> 02:30:27.807]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[02:30:28.087 --> 02:30:32.789]  We have now managed to secure the sought-after beans in a highly customized blend.
[02:30:32.969 --> 02:30:39.692]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[02:30:39.752 --> 02:30:46.836]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[02:30:46.936 --> 02:30:53.799]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[02:30:53.959 --> 02:30:58.302]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[02:30:58.442 --> 02:31:01.705]  Available in original or with our immune support infusion blend.
[02:31:01.825 --> 02:31:07.949]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[02:31:08.130 --> 02:31:10.371]  Available at InfoWarsLife.com.
[02:31:10.872 --> 02:31:17.977]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[02:31:18.117 --> 02:31:20.299]  But it's not just the air outside that's toxic.
[02:31:20.479 --> 02:31:25.664]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[02:31:25.824 --> 02:31:30.949]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[02:31:31.089 --> 02:31:34.172]  There are more than 42 million smokers in the United States.
[02:31:34.452 --> 02:31:38.375]  Well over a thousand types of mold and mildew linked to numerous conditions.
[02:31:38.575 --> 02:31:42.898]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[02:31:42.978 --> 02:31:53.145]  When I began to research these statistics it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[02:31:53.345 --> 02:31:57.708]  Made with organic and wild cultivated herbs and manufactured in the USA.
[02:31:57.828 --> 02:32:04.252]  The new InfoWars Live Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[02:32:04.412 --> 02:32:10.114]  Now available exclusively at Infowarslife.com or by calling toll-free 888-253-3139.
[02:32:10.314 --> 02:32:11.735]  The facts are in.
[02:32:11.915 --> 02:32:13.035]  The studies are legion.
[02:32:13.316 --> 02:32:20.658]  Sodium fluoride and other toxic members of the fluoride family are devastating the health and cognitive ability of the American people.
[02:32:20.819 --> 02:32:24.260]  So why are the social engineers adding it to the water?
[02:32:24.480 --> 02:32:25.060]  It's simple.
[02:32:25.201 --> 02:32:29.684]  Dumb down the host population that the parasitic technocracy is feeding on.
[02:32:29.924 --> 02:32:35.388]  We may not have been able to get fluoride out of the water supply yet, but we can help to get it out of our bodies.
[02:32:35.648 --> 02:32:51.660]  I am extremely excited to announce the exclusive InfoWars Life Fluoride Shield Formulation, fusing six of the best documented ingredients from around the world to help the body remove not just toxic fluoride residues from the body, but a whole host of toxic substances.
[02:32:51.960 --> 02:32:56.261]  Let's take a stand against the globalists by blocking their poisons with Fluoride Shield.
[02:32:56.541 --> 02:32:58.382]  I use Fluoride Shield every day.
[02:32:58.702 --> 02:33:04.003]  Secure your Fluoride Shield and other pioneering formulations at InfoWarsLife.com today.
[02:33:04.263 --> 02:33:08.504]  Let's start cleansing our bodies now and support the InfoWar at the same time.
[02:33:08.664 --> 02:33:10.465]  That's InfoWarsLife.com.
[02:33:21.508 --> 02:33:23.609]  Waging war on corruption.
[02:33:24.089 --> 02:33:27.131]  It's Alex Jones.
[02:33:31.793 --> 02:33:33.234]  Empires have always had a problem.
[02:33:34.014 --> 02:33:35.915]  After big wars, what do they do with all the veterans?
[02:33:36.936 --> 02:33:40.598]  It's generally veterans at the end of World War I, World War II, you name it, that stir up trouble.
[02:33:41.278 --> 02:33:46.260]  It was the veterans that mainly pushed for the civil rights reforms at the end of World War II.
[02:33:47.481 --> 02:33:49.282]  If we're supposed to be the good guys, what's going on here?
[02:33:50.939 --> 02:33:54.140]  And I'm oversimplifying it, but there is social engineering going on.
[02:33:54.220 --> 02:33:59.242]  Sergeant Biggs, who does reporting for us time to time, is going to be a full-time reporter with us soon.
[02:34:00.362 --> 02:34:02.943]  He was in four tours of combat duty.
[02:34:03.503 --> 02:34:10.485]  I've been surfing with him and seen with his shirt off, bullet holes all over him, shrapnel wounds all over his head.
[02:34:10.505 --> 02:34:18.508]  Of course, he's the guy that exposed the fact that they probably whacked Hastings there with the Rolling Stones magazine.
[02:34:20.356 --> 02:34:26.499]  He said that they were giving them on their duty in Afghanistan opiates and ordering them to take them.
[02:34:26.819 --> 02:34:34.983]  They'd have the Russians come in with the helicopters and just deliver just tons of it to the troops as a way to addict them, a way to control them.
[02:34:35.664 --> 02:34:43.047]  And I talked to other troops and they give them speed, they give them all sorts of amnesiacs, they give special forces amnesiacs in these tests.
[02:34:43.208 --> 02:34:44.988]  You can read about that in the Marshall Plan.
[02:34:45.249 --> 02:34:47.770]  That was the name of the article in Wired Magazine about the Army Futurist.
[02:34:48.090 --> 02:34:49.271]  Now I'm throwing this out at
[02:34:51.806 --> 02:35:05.136]  Psychiatrist, MD, Dr. John Lieber, who's served and headed up the major Seattle VAs and other facilities and written the book, Wounded Minds, and I totally agree with him on the points he's raising so far.
[02:35:05.536 --> 02:35:09.039]  As for universal service, it's kind of like the death penalty.
[02:35:09.839 --> 02:35:12.882]  You know, I'm for the death penalty, but I don't trust our government to implement it.
[02:35:13.564 --> 02:35:14.986]  It's the same thing with universal service.
[02:35:15.026 --> 02:35:19.491]  I mean, I don't want my kids in all these big giant wars endlessly.
[02:35:19.511 --> 02:35:23.016]  And of course, I see how they treat troops no matter what, like garbage.
[02:35:23.036 --> 02:35:27.001]  I remember asking my dad when I was a kid, why they have atomic soldiers?
[02:35:27.041 --> 02:35:27.962]  Aren't monkeys cheaper?
[02:35:28.482 --> 02:35:29.243]  He said, no, son.
[02:35:30.542 --> 02:35:35.205]  When I was working at MD Anderson, I asked them that same question, and they said, animals are cheaper than humans.
[02:35:36.026 --> 02:35:41.750]  And so there is this attitude by the technocracy, and people like, you know, John, I think he's probably a good guy.
[02:35:42.450 --> 02:35:45.372]  So people that are nice and have good intentions, they compartmentalize.
[02:35:45.392 --> 02:35:49.355]  I'm not saying he's naive, he's been dealing with this for 40 years or more.
[02:35:50.195 --> 02:35:53.377]  You know, I think there is a predatory attitude, period, against veterans.
[02:35:53.437 --> 02:35:55.379]  So I don't know about universal service.
[02:35:55.759 --> 02:35:59.642]  Comment on that, and then you can hear my more, what you might call, paranoid rants
[02:36:00.742 --> 02:36:05.847]  You know, I'm sure you heard the fluoride ad, you know, doctored about fluoride as a social tool.
[02:36:06.287 --> 02:36:22.481]  I have eco-science written by the current White House science czar, where they talk about social engineering us with sterilants in the water and behavioral modifiers that are now proposing lithium in the water in Japan because of increased suicide over there, instead of addressing the cultural situation.
[02:36:22.501 --> 02:36:25.804]  I know that's a long gestalt introducing you, but what do you say to all that?
[02:36:28.301 --> 02:36:47.055]  I believe that, and in my book I make a very strong point of this, that everybody who graduates from high school goes into the military or
[02:36:47.958 --> 02:36:57.744]  goes to jail and everybody goes into the military with a high school degree or goes to jail.
[02:36:58.836 --> 02:37:08.905]  Um, and in, there are no deferments other than conscientious objectors, but they don't get off the hook because, um, they have to do something else.
[02:37:09.025 --> 02:37:14.971]  They have to be firemen, uh, for two years or go with the Peace Corps or do, do something else.
[02:37:15.391 --> 02:37:20.556]  But there are no, there are no deferments except for, you know, very extreme,
[02:37:21.216 --> 02:37:29.019]  Issues such as severe extreme juvenile delinquency or severe medical disability.
[02:37:29.479 --> 02:37:30.479]  This is nothing new.
[02:37:30.539 --> 02:37:37.142]  This is what Eisenhower said in 1966 when he was complaining about how unfair the draft is.
[02:37:38.643 --> 02:37:43.266]  The all-volunteer army is also discriminatory, too, in a different way.
[02:37:44.326 --> 02:37:57.635]  Because it selects from more rural areas where kids are dead-ended and offers them an opportunity to, you know, get out of Dodge and get a life.
[02:37:57.715 --> 02:37:58.796]  Yeah, it's targeting poor people.
[02:37:59.636 --> 02:38:04.359]  It is, but it's a different class of poor people than the Vietnam draft.
[02:38:05.860 --> 02:38:06.141]  You know,
[02:38:07.396 --> 02:38:09.058]  Which was mostly inter-city kids.
[02:38:09.138 --> 02:38:16.306]  A lot of these kids are, you know, young people are from, you know, some of them aren't even Americans.
[02:38:16.326 --> 02:38:22.112]  I saw Jamaicans, you know, this individual was from Puerto Rico.
[02:38:22.133 --> 02:38:24.295]  Of course, that's a national U.S.
[02:38:24.335 --> 02:38:24.815]  territory.
[02:38:26.642 --> 02:38:29.545]  Some of the biggest recruiting centers are like Mexico City now, yeah.
[02:38:30.085 --> 02:38:31.206]  I wouldn't be surprised.
[02:38:31.907 --> 02:38:36.671]  But in any case, in answer to your question, you know, what would be the ramifications of that?
[02:38:37.711 --> 02:38:47.980]  I think if we had universal military service and everybody was in, there would be more transparency.
[02:38:49.261 --> 02:38:54.746]  We wouldn't have the kinds of, you know, managed news and, you know, kind of sequitur.
[02:38:55.707 --> 02:39:03.733]  Uh, official sequestration of the facts in this matter that, oh, this was just a little incident between a guy and the guy went off.
[02:39:04.413 --> 02:39:07.136]  Um, you know, we're not, I mean, who's going to believe that?
[02:39:07.476 --> 02:39:08.797]  I hope not too many people.
[02:39:09.377 --> 02:39:14.942]  Uh, but in any case, um, you know, I, I think that, that, you know, if everybody's in,
[02:39:15.655 --> 02:39:26.262]  We're gonna have less of this kind of thing, and, you know, it's not gonna be that easy, you know, to ship 500,000 people off to, you know, to Asia.
[02:39:26.802 --> 02:39:39.611]  No, I agree with you that the fact that it's all volunteer allows them to abuse these people, and then nobody has skin in the game, so it actually contributes to more wars, because we just ship off all the rural, conservative kids to die.
[02:39:39.911 --> 02:39:45.275]  It's the foreign, it's, you know, we got, we got our, we got our, we got a foreign legion here.
[02:39:47.008 --> 02:39:47.348]  You're right.
[02:39:47.388 --> 02:39:49.410]  What percentage of it is not even U.S.
[02:39:49.450 --> 02:39:49.831]  citizens?
[02:39:50.692 --> 02:39:51.673]  I saw a number of them.
[02:39:51.693 --> 02:39:54.776]  A high percentage, but they're there.
[02:39:55.456 --> 02:39:57.759]  I saw them, and they're there.
[02:39:58.580 --> 02:40:00.682]  And these are mercenaries.
[02:40:00.782 --> 02:40:11.012]  It's not in a large percentage, but we do have the makings of a foreign legion, and I just happen to be in... I happen to have arrived in France
[02:40:12.054 --> 02:40:25.802]  When de Gaulle signed that Algerian peace treaty and there were gendarmes on every corner waiting for the foreign legion to come in and do a parachute drop on Paris and take it over.
[02:40:25.842 --> 02:40:26.782]  They were so betrayed.
[02:40:26.822 --> 02:40:32.045]  Weren't they involved hiring the Jackals to try to kill de Gaulle?
[02:40:32.365 --> 02:40:37.208]  I wouldn't doubt it, but I'll tell you that I had no idea what was going on.
[02:40:37.268 --> 02:40:41.290]  I was just a tourist and I arrived there and I was just kind of
[02:40:41.850 --> 02:40:48.454]  Dumbfounded at what was going on, but they were really afraid that their own army was going to come at them.
[02:40:48.934 --> 02:40:50.755]  Well that's because they had.
[02:40:50.775 --> 02:40:52.235]  Have you seen the movie The Jackal?
[02:40:52.296 --> 02:40:54.156]  It's an accurate history of what happened.
[02:40:54.176 --> 02:40:58.439]  They have the one attempt by the French Foreign Legion to kill de Gaulle.
[02:40:59.139 --> 02:41:01.240]  And then they send in the Jackal, but he gets killed.
[02:41:01.260 --> 02:41:03.422]  That's actually a true story.
[02:41:03.722 --> 02:41:06.583]  Pretty amazing the types of things that go on there.
[02:41:06.623 --> 02:41:08.384]  Again, governments fearing veterans.
[02:41:09.245 --> 02:41:10.766]  Look at the French and Indian War.
[02:41:11.106 --> 02:41:16.009]  That's who the British regulars started to fight with the veterans back in 1775.
[02:41:16.829 --> 02:41:24.213]  Have you seen this demonization in the news by Homeland Security saying veterans are the number one threat for terrorism?
[02:41:24.254 --> 02:41:24.774]  Have you seen that?
[02:41:26.238 --> 02:41:28.902]  I have not seen that.
[02:41:29.122 --> 02:41:38.996]  We do know that gangs have either been created in the military or have infiltrated the military to get military training.
[02:41:40.532 --> 02:41:44.735]  There have been some of them picked up and, you know, that's an internal threat.
[02:42:10.952 --> 02:42:15.834]  Or sleeping pills that are really, I guess, hypnotics like the Ambien.
[02:42:16.075 --> 02:42:17.595]  We keep seeing it pop up as well.
[02:42:17.615 --> 02:42:20.036]  I mean, do the drugs concern you?
[02:42:21.017 --> 02:42:34.723]  The drugs concern me in that we know that psychotropic drugs are inadequately prescribed
[02:42:35.419 --> 02:42:40.548]  By most practitioners and or a significant number of practitioners.
[02:42:41.937 --> 02:42:43.118]  Including psychiatrists.
[02:42:44.038 --> 02:42:53.062]  So when they talk about this guy getting prescriptions, having worked in the military, you don't know how this guy got prescriptions.
[02:42:53.142 --> 02:42:54.762]  They do have little baggies.
[02:42:55.443 --> 02:42:59.464]  The medics have little baggies, you know, in the combat zones.
[02:43:00.224 --> 02:43:06.247]  And it includes, you know, Ambien, and it includes medications to help, you know, people sleep, etc.
[02:43:06.307 --> 02:43:06.387]  And
