[00:00:00.350 --> 00:00:01.654]  Direct from Austin.
[02:29:39.309 --> 02:29:40.750]  Ranchers are shutting down everywhere.
[02:29:41.231 --> 02:29:43.952]  You're gonna pay for the shutdown of America.
[02:29:45.293 --> 02:29:48.875]  You're gonna pay for the deadbeat Bundy who works his butt off.
[02:29:49.816 --> 02:29:50.476]  But it doesn't matter.
[02:29:50.817 --> 02:29:52.077]  The media calls him a deadbeat.
[02:29:52.598 --> 02:29:54.579]  He should just go have anchor babies in Las Vegas.
[02:29:54.599 --> 02:29:55.119]  He'd be fine.
[02:29:56.020 --> 02:29:56.920]  We're on the march.
[02:29:57.401 --> 02:29:59.002]  The Empire's on the run.
[02:29:59.942 --> 02:30:02.624]  Alex Jones and the GCN Radio Network.
[02:30:06.707 --> 02:30:09.028]  This is Alex Jones for InfoWarsLife.com.
[02:30:09.088 --> 02:30:11.729]  The latest in preparedness is now here.
[02:30:11.909 --> 02:30:17.891]  An electrically stabilized colloidal silver solution that can be added to both your home cabinet and preparedness pack alike.
[02:30:18.091 --> 02:30:23.092]  Concentrated to 30 parts per million in what has been dubbed the survival silver solution.
[02:30:23.172 --> 02:30:27.934]  The new InfoWars Life silver bullet colloidal silver is the answer for you and your family.
[02:30:28.054 --> 02:30:30.875]  And it's entirely free of toxic artificial additives.
[02:30:31.055 --> 02:30:41.245]  The Infowars Life Silver Bullet Silver is so powerful that it is concentrated into a two ounce bottle and is not recommended for extended continual use.
[02:30:41.465 --> 02:30:43.427]  This is not a low grade formula.
[02:30:43.627 --> 02:30:50.754]  We are working with one of the top laboratory manufacturers in the United States to bring you the best form of colloidal silver.
[02:30:50.934 --> 02:30:57.516]  Using electrical processes within a base of deionized water for your preparedness storage or your home kitchen.
[02:30:57.616 --> 02:31:05.779]  Purchase your bottle of InfoWarsLife.com Silver Bullet Colloidal Silver today and find other amazing supplements at InfoWarsLife.com
[02:31:06.966 --> 02:31:10.969]  A chemical spill contaminating the water supply in nine West Virginia counties.
[02:31:11.009 --> 02:31:15.151]  This year alone, over 300,000 people in West Virginia had their drinking water contaminated.
[02:31:15.371 --> 02:31:18.793]  What are the health effects of having these drugs in our drinking water?
[02:31:19.014 --> 02:31:21.915]  It's forced medical treatment without the consent of residents.
[02:31:22.075 --> 02:31:29.420]  My friends, water filtration is one of the most basic actions you can take to protect you and your family from the harmful toxins and heavy metals in your tap water.
[02:31:29.640 --> 02:31:33.301]  On average, the county says it sprays with glyphosate at least once a week.
[02:31:33.561 --> 02:31:37.782]  Few filters cut out the glyphosate that is found in water supplies worldwide.
[02:31:37.962 --> 02:31:43.904]  Remove pesticides, herbicides, chloramines, hydrofluorosilicic acid, sodium hexafluorosilicate.
[02:31:43.944 --> 02:31:47.725]  Fluoride is in tea, it's in coffee, it's in water, it's in bread, it's in toothpaste.
[02:31:47.865 --> 02:31:50.406]  It is our responsibility to protect our families.
[02:31:50.626 --> 02:31:51.966]  The establishment's not going to do it.
[02:31:52.126 --> 02:31:53.346]  It's time to take action.
[02:31:53.487 --> 02:31:55.147]  It's time to filter our water.
[02:31:55.307 --> 02:32:02.481]  Visit InfowarsStore.com and use promo code WATER to get 10% off their entire family of incredible products.
[02:32:02.701 --> 02:32:03.903]  Or call toll free at 888-253-3139.
[02:32:07.219 --> 02:32:15.062]  The globalists have controlled the mainstream media for a long time, but now they're expanding, making the weaponization even more vicious and deceptive.
[02:32:15.322 --> 02:32:17.403]  All the major networks are state-run.
[02:32:17.563 --> 02:32:20.184]  We are partnering this year with the NFL.
[02:32:20.264 --> 02:32:24.666]  The NFL has become a political weapon against the Second Amendment, and pushes Obamacare.
[02:32:24.686 --> 02:32:27.847]  MSNBC tells us that our children belong to the state.
[02:32:27.867 --> 02:32:35.130]  We have to break through our kind of private idea that kids belong to their parents, or kids belong to their families, and recognize that kids belong to whole communities.
[02:32:35.310 --> 02:32:39.433]  It is more important than ever to realize that we are not the alternative media.
[02:32:39.613 --> 02:32:41.314]  We are the true media.
[02:32:41.394 --> 02:32:44.016]  The establishment dinosaur press is dying.
[02:32:44.116 --> 02:32:47.759]  We are in an information war and we are losing that war.
[02:32:47.879 --> 02:32:52.002]  Join us at InfoWarsNews.com and PrisonPlanet.tv.
[02:32:52.202 --> 02:32:55.084]  Members can share their memberships with up to 11 people.
[02:32:55.184 --> 02:32:59.547]  By subscribing, you will literally be buying war bonds in the Info War
[02:32:59.827 --> 02:33:02.751]  To expand our operation in the face of the tyrants.
[02:33:03.052 --> 02:33:04.774]  Join us at PrisonPlanet.tv
[02:33:25.814 --> 02:33:27.258]  You want to stop tyranny?
[02:33:27.519 --> 02:33:28.662]  Well, so does he.
[02:33:29.164 --> 02:33:33.917]  Live from the InfoWars.com studios, it's Alex Jones.
[02:33:52.947 --> 02:33:55.628]  Alright, folks, I'm asking listeners, what is your line in the sand?
[02:33:55.648 --> 02:33:58.108]  I should probably do a whole show about how have you been gored by the system.
[02:33:59.389 --> 02:34:08.891]  But really, all the feds do is act shocked that you don't like us blowing up Waco, you don't like Ruby Ridge, you don't like all the checkpoints or the NSA.
[02:34:10.091 --> 02:34:11.952]  Oh, we're not spying on you without warrants.
[02:34:12.052 --> 02:34:12.972]  Oh, we got caught?
[02:34:13.072 --> 02:34:14.672]  Of course we are, it's no big deal.
[02:34:15.853 --> 02:34:17.473]  Of course we secretly torture people.
[02:34:18.917 --> 02:34:20.398]  Of course we'll secretly disappear you!
[02:34:21.258 --> 02:34:23.039]  Of course we're setting up highway checkpoints!
[02:34:23.679 --> 02:34:25.100]  Of course we track everything you do!
[02:34:25.440 --> 02:34:26.281]  It's for your safety!
[02:34:26.301 --> 02:34:27.081]  It's for your safety!
[02:34:27.101 --> 02:34:27.701]  It's for your safety!
[02:34:28.021 --> 02:34:28.522]  No it's not!
[02:34:29.522 --> 02:34:42.288]  It's to steal from us to leverage our energy and our time and our money into this stinking world government whose aim is planetary evil, planetary dehumanization.
[02:34:47.331 --> 02:34:47.451]  And
[02:34:50.717 --> 02:35:01.265]  A lot of it is, there's a lot of stupid lazy people in the world, but they're smart enough to be con artists and they're smart enough to join with other con artists to set up scams and then protect those scams.
[02:35:02.306 --> 02:35:10.592]  And then they get greedy and decide to shut everything down because they want control of every sector of society.
[02:35:11.873 --> 02:35:13.654]  And we're now entering that decadent cycle.
[02:35:14.175 --> 02:35:15.516]  I want to go back to your phone calls.
[02:35:17.455 --> 02:35:21.097]  And I want to get into the Clintons, because I promised to do that in these new documents that have come out.
[02:35:22.257 --> 02:35:31.482]  And it's got a 15-minute report they'll have tonight for the nightly news that Jakari Jackson and other reporters put together to deal with the Boston bombing and what really happened there.
[02:35:34.063 --> 02:35:40.066]  Maybe, you know, the name of the video should be, The True Story of the Boston Bombing, Special Report or something, I don't know.
[02:35:42.108 --> 02:35:45.891]  But the issue is we dominated that last year and showed how it was a false flag.
[02:35:46.352 --> 02:35:48.013]  I want to counter it again this year.
[02:35:48.033 --> 02:35:54.499]  So we've got a four-minute intro to that report that will be on the nightly news tonight we're going to play as well.
[02:35:54.960 --> 02:36:05.209]  So we'll do that, talk about the Clintons, and then go back to your phone calls for Alvin and others that have been patiently holding.
[02:36:06.698 --> 02:36:13.402]  Before I go any further, listen, this broadcast is really possible because of you.
[02:36:14.183 --> 02:36:18.585]  That's why when Cliven Bundy was thanking me on air, I was saying, no, thank the audience.
[02:36:18.645 --> 02:36:19.446]  And he understood that.
[02:36:19.506 --> 02:36:20.086]  We the people.
[02:36:21.807 --> 02:36:23.308]  We don't take your money at gunpoint.
[02:36:23.448 --> 02:36:25.389]  We're free association, free will here.
[02:36:25.930 --> 02:36:34.295]  If you believe in the information you're hearing, if it's helped you in life, if all the great guests we've had on and all the research and all the hardcore
[02:36:35.660 --> 02:36:39.426]  No holds barred, no compromise, savage defense of freedom.
[02:36:39.766 --> 02:36:47.918]  If you like that, if you like funding a bunch of crazies, because in a world of madmen, being sane is insane.
[02:36:49.040 --> 02:36:50.942]  In the land of the blind, the one-eyed man is king.
[02:36:52.250 --> 02:36:55.911]  In a world of universal deceit, telling the truth is a revolutionary act, quote George Orwell.
[02:36:56.732 --> 02:37:12.537]  If you feel as we feel, if you're on the same page with us, it is an imperative you spread the word about the broadcast, whether you listen on shortwave, internet, satellite, whatever, AM, FM, however you listen, spread the word about the free iPhone app, the free podcast.
[02:37:13.077 --> 02:37:17.299]  Support those local stations, support their local sponsors, become a sponsor locally.
[02:37:18.755 --> 02:37:21.937]  It is so important that we reach more people, and you've been doing that.
[02:37:21.977 --> 02:37:23.298]  That's why we're having a great effect.
[02:37:24.979 --> 02:37:33.865]  And even though as we get bigger, it puts me in more danger, my entire instinct, my entire spirit, wants to go 110% up against the globalists.
[02:37:36.286 --> 02:37:46.853]  So please pray for us as well, but go to Infowarslife.com, get the nascent iodine, get the fluoride shield, the survival shield, the lung cleanse, the silver bullet.
[02:37:47.967 --> 02:37:53.831]  The ProPure systems that are up there with the G2 filters that are out blows away the competition.
[02:37:54.112 --> 02:37:55.252]  We could sell the competition.
[02:37:55.272 --> 02:37:55.773]  We used to.
[02:37:56.393 --> 02:37:56.674]  Why?
[02:37:57.134 --> 02:37:58.895]  I'd make more money if I sold all the brands.
[02:37:58.955 --> 02:38:02.398]  If there were other brands as good or almost as good, I would sell them.
[02:38:03.198 --> 02:38:06.901]  I sell this because in its class, there's nothing close to it.
[02:38:07.161 --> 02:38:10.644]  I sell some other more inexpensive units that are great as well, just don't compare.
[02:38:10.944 --> 02:38:11.805]  They're in a different class.
[02:38:13.106 --> 02:38:16.348]  The ProPure systems, all of it, InfoWarsStore.com.
[02:38:18.385 --> 02:38:23.248]  Or you can call toll-free 888-253-3139.
[02:38:23.508 --> 02:38:29.091]  And by the way, that 25% off on the Traveler is supposed to be done Saturday, so we need to go ahead and take that down.
[02:38:29.131 --> 02:38:30.031]  I've got to be a man of my word.
[02:38:30.672 --> 02:38:33.393]  So I told them last week, get rid of it Friday night.
[02:38:33.814 --> 02:38:34.994]  Saturday morning it's still up there.
[02:38:35.414 --> 02:38:38.216]  So I guess if you've got 10 minutes you can go order those if you want 25% off.
[02:38:38.976 --> 02:38:41.198]  Promo code WATER gets you 10% off across the board.
[02:38:41.538 --> 02:38:42.939]  That's how you fund this operation.
[02:38:42.979 --> 02:38:45.160]  We bring you the best quality products we can get,
[02:38:45.700 --> 02:38:49.142]  Made in America shirts at madein1776.com and other apparel.
[02:38:49.582 --> 02:38:55.705]  We bring you the very best quality we can at the very lowest price, ultra competitive, total Americana.
[02:38:56.985 --> 02:38:59.887]  If you don't bet on that, if you don't double down on us, you're crazy.
[02:39:00.787 --> 02:39:02.528]  We need your support now more than ever.
[02:39:03.168 --> 02:39:05.069]  Infowarsstore.com or 888-253-3139.
[02:39:05.089 --> 02:39:06.630]  And from the bottom of my heart,
[02:39:10.623 --> 02:39:16.010]  I want to thank you for all your support so I can try to pay my folks well and give them bonuses when they work so hard.
[02:39:16.730 --> 02:39:22.177]  And so I can have money to defend myself against spurious attacks and things that go on behind the scenes.
[02:39:22.818 --> 02:39:24.740]  And I don't worship money and status.
[02:39:25.201 --> 02:39:27.343]  But let me tell you, when you go through as much hell as I do,
[02:39:28.364 --> 02:39:34.388]  Having a little bit of money in the bank, without it, it would seriously be hard to operate with the crap that goes on in my life.
[02:39:34.408 --> 02:39:35.269]  I'm just going to leave it at that.
[02:39:35.729 --> 02:39:40.872]  But God has blessed us with a war chest to be able to do a lot of great things.
[02:39:40.932 --> 02:39:42.433]  And I think we've been decent stewards of it.
[02:39:42.794 --> 02:39:44.135]  I pray every day to be a better steward.
[02:39:44.555 --> 02:39:45.575]  I pray to have the answers.
[02:39:45.656 --> 02:39:46.676]  I pray to know what to do.
[02:39:47.096 --> 02:39:48.197]  I try as hard as I can.
[02:39:48.237 --> 02:39:49.318]  I just want to beat these people.
[02:39:49.998 --> 02:39:51.539]  And I call it mid-air refueling.
[02:39:51.559 --> 02:39:53.661]  We need you to energize our coffers.
[02:39:54.687 --> 02:40:01.108]  So we can get more reporters, and fly them more places, and do more, and get the personnel we need.
[02:40:01.268 --> 02:40:03.029]  So, InfoWarsTore.com.
[02:40:03.889 --> 02:40:06.509]  We've got great books on Romans 13, all of it.
[02:40:06.529 --> 02:40:08.890]  It's just hundreds of great books, hundreds of great films.
[02:40:09.390 --> 02:40:10.790]  It's all there, InfoWarsTore.com.
[02:40:10.850 --> 02:40:12.510]  Okay, that's enough of a big plug there.
[02:40:12.870 --> 02:40:15.051]  PrisonPlanet.tv, all of that, Nightly News.
[02:40:15.411 --> 02:40:16.851]  Thank you all for your support.
[02:40:17.971 --> 02:40:19.072]  We couldn't have done it without you.
[02:40:20.512 --> 02:40:20.892]  Any of it.
[02:40:21.991 --> 02:40:22.971]  Thank you for your support.
[02:40:23.371 --> 02:40:24.412]  And you've got this commitment.
[02:40:24.512 --> 02:40:25.552]  I will attack the enemy.
[02:40:25.632 --> 02:40:28.232]  I will prosecute a war of truth against them.
[02:40:28.352 --> 02:40:29.433]  I will never surrender.
[02:40:29.833 --> 02:40:30.833]  I will never back down.
[02:40:31.473 --> 02:40:33.173]  And my heart loves God and loves justice.
[02:40:33.513 --> 02:40:35.754]  It doesn't mean I'm not, you know, worldly.
[02:40:36.294 --> 02:40:37.634]  It doesn't mean I'm perfect, folks.
[02:40:37.654 --> 02:40:38.315]  God knows me.
[02:40:41.855 --> 02:40:44.796]  But I am here and I am committed to do the best job I can.
[02:40:45.970 --> 02:40:47.030]  And I appreciate your prayers.
[02:40:47.070 --> 02:40:47.591]  I can feel them.
[02:40:47.651 --> 02:40:48.451]  Thank you so much.
[02:40:49.171 --> 02:40:50.252]  I love all of you out there.
[02:40:50.292 --> 02:40:51.572]  We couldn't have done this without you.
[02:40:51.632 --> 02:40:53.193]  And our Aminathem affiliates out there.
[02:40:53.593 --> 02:40:54.414]  So many great people.
[02:40:54.434 --> 02:40:57.575]  And the fact that we've hit the barbed wire so more people can follow.
[02:40:57.895 --> 02:41:00.156]  And the fact that we've mainlined Liberty Message.
[02:41:00.516 --> 02:41:02.277]  We've broken the Clinton blockade.
[02:41:03.157 --> 02:41:04.198]  The globalist blockade.
[02:41:04.238 --> 02:41:13.682]  That's coming up after this special report that's the intro to the 15, 16 minute piece that's going to air tonight on
[02:41:15.276 --> 02:41:17.318]  InfoWars Nightly News, 7 o'clock central.
[02:41:17.838 --> 02:41:19.160]  Here is part of that report.
[02:41:20.621 --> 02:41:30.130]  But again, the explosion, the main one there at the Marathon Sports, and then you can hear after that, Paula, it's just absolutely heartbreaking to see this.
[02:41:30.210 --> 02:41:33.353]  It's been a year since the bomb attack at the Boston Marathon.
[02:41:33.373 --> 02:41:37.997]  InfoWars was pointing out the inconsistencies in the story from the very beginning.
[02:41:38.417 --> 02:41:39.698]  Was there any prior knowledge, though?
[02:41:39.738 --> 02:41:46.042]  Because according to BostonGlobe.com, they said they were doing drills this morning for the same exact thing to happen, according to BostonGlobe.com.
[02:41:46.342 --> 02:41:49.845]  Now, were you guys given any warning ahead of time of this taking place?
[02:41:50.185 --> 02:41:52.386]  As I said earlier, there was no specific intelligence.
[02:41:52.866 --> 02:41:57.850]  Sir, why were loudspeakers telling people in the audience to be calm moments before the bomb went off?
[02:41:58.210 --> 02:42:04.274]  Is this another false flag stage attack to take our civil liberties and promote homeland security by sticking our hands down on the pants on the streets?
[02:42:04.594 --> 02:42:04.774]  No.
[02:42:05.255 --> 02:42:08.258]  And it wasn't just the Boston Globe who reported the drills.
[02:42:08.578 --> 02:42:15.645]  There was dogs with their handlers going around sniffing for explosives.
[02:42:15.865 --> 02:42:21.670]  And we were told on a loud announcement that we shouldn't be concerned.
[02:42:21.690 --> 02:42:22.811]  This was just a drill.
[02:42:23.892 --> 02:42:26.675]  So maybe it was just a drill.
[02:42:28.598 --> 02:42:31.039]  But I've just never seen a drill like that.
[02:42:31.339 --> 02:42:35.702]  The most show of force that a track coach has seen in a lifetime of marathons.
[02:42:36.102 --> 02:42:38.163]  This brings up questions of prior knowledge.
[02:42:38.583 --> 02:42:46.787]  And on the subject of prior knowledge, we found out that the CIA, FBI, and DHS knew of Tamerlan Tsarnaev before the bombing.
[02:42:47.188 --> 02:42:52.190]  Reports show that the older Tsarnaev had previously attended a workshop sponsored by the CIA.
[02:42:52.410 --> 02:42:53.931]  The word is also out that the FBI
[02:42:53.951 --> 02:42:54.732]  We're good to go.
[02:43:13.186 --> 02:43:13.646]  The U.S.
[02:43:13.786 --> 02:43:17.508]  Agency for International Development is an agency used by the U.S.
[02:43:17.548 --> 02:43:24.292]  government to operate humanitarian NGOs instrumental in running color revolutions in former Soviet states.
[02:43:24.933 --> 02:43:28.715]  And he just so happened to be the relative of choice for state-run media.
[02:43:29.495 --> 02:43:32.958]  I understand that there must be several criminals and other people on U.S.
[02:43:32.998 --> 02:43:37.122]  data banks, especially with the DHS putting toddlers on the no-fly list.
[02:43:37.582 --> 02:43:51.474]  But if you have a suspect who the Russian government warned you about, attended CIA-backed workshops that the DHS was briefed on, and the FBI interviewed, why does the FBI need public assistance identifying the suspect?
[02:43:51.934 --> 02:43:58.097]  Not to mention how the feds reportedly called the Tsarnaev brothers after the bombing and before any other incidents.
[02:43:58.557 --> 02:44:05.160]  Somebody out there knows these individuals as friends, neighbors, co-workers, or family members of the suspects.
[02:44:05.960 --> 02:44:11.582]  Though it may be difficult, the nation is counting on those with information to come forward and provide it to us.
[02:44:12.083 --> 02:44:14.904]  Did you ask any of your co-workers there, agent?
[02:44:15.564 --> 02:44:22.568]  Aside from stonewalling InfoWars reporter Dan Badondi, Goon's got in his face for dare asking real questions.
[02:44:23.068 --> 02:44:28.911]  Are both suspects seen planting these devices at the finish line of the Baltimore Ultimate?
[02:44:29.052 --> 02:44:29.192]  No.
[02:44:29.212 --> 02:44:29.652]  At what time?
[02:44:30.532 --> 02:44:35.055]  The only one who was observed planting what we believe to be the device is suspect number two with a white cap.
[02:44:35.315 --> 02:44:36.776]  Let's talk about those photos.
[02:44:37.165 --> 02:44:38.606]  There was bomb drills Monday morning.
[02:44:38.666 --> 02:44:42.108]  We got photographs on Infowars.com, folks.
[02:44:42.148 --> 02:44:43.049]  Next question, please.
[02:44:43.309 --> 02:44:50.453]  Jihar's white or gray backpack with the black stripes is clearly not the black backpack with the white or gray stripes that exploded.
[02:44:50.854 --> 02:44:53.295]  In fact, the bags are the exact opposite.
[02:44:53.375 --> 02:44:58.599]  The only official photos that should be officially relied upon in this investigation are those you see before you today.
[02:44:58.719 --> 02:45:02.041]  So what's the possible explanation for these bizarro backpacks?
[02:45:02.441 --> 02:45:03.441]  There's one theory.
[02:45:03.461 --> 02:45:10.563]  Doubt of the official story could easily have been squashed by releasing footage of the bomb being placed.
[02:45:10.583 --> 02:45:14.144]  Footage that even Governor Deval Patrick hasn't seen.
[02:45:25.086 --> 02:45:41.939]  Well, the videotape is not something I've seen, it's been described to me, but it does seem to be pretty clear that this suspect took the backpack off, put it down.
[02:45:46.782 --> 02:45:51.266]  Alright folks, that's part one, and there's two other big parts, but the reason
[02:45:53.427 --> 02:45:55.588]  The Russians, quote, warn the FBI.
[02:45:55.628 --> 02:45:57.949]  The Russians actually said, is this guy your agent?
[02:45:58.229 --> 02:45:59.469]  He's got a fake passport.
[02:46:00.489 --> 02:46:01.090]  A fake name.
[02:46:01.410 --> 02:46:03.270]  Why are you letting him come in and out of your country?
[02:46:04.651 --> 02:46:06.491]  Is he an Al-Qaeda operative for you?
[02:46:07.052 --> 02:46:09.713]  That's how you blow someone's cover, instead of just killing them.
[02:46:10.933 --> 02:46:17.475]  The Russians have had a very hands-off stance towards these double and triple agents.
[02:46:18.376 --> 02:46:20.096]  And again, I'm not romanticizing the Russians.
[02:46:20.136 --> 02:46:22.577]  In the old days, though, the KGB would just kill somebody like that.
[02:46:25.365 --> 02:46:27.247]  Instead, I believe they were part of the drill.
[02:46:27.568 --> 02:46:30.471]  That's why they, you know, the day it happened, they were out partying, didn't care.
[02:46:30.932 --> 02:46:32.834]  Then heard on the news, they were the guys that did it reportedly.
[02:46:32.854 --> 02:46:35.337]  So they're calling the FBI saying, what are you doing?
[02:46:35.357 --> 02:46:38.320]  I mean, this all came out, but really wasn't headline news.
[02:46:39.101 --> 02:46:41.184]  So they're calling the government and others going, we didn't do this.
[02:46:41.244 --> 02:46:42.826]  What in the world are you talking about?
[02:46:45.128 --> 02:46:51.433]  That's why I want to tell folks, don't go be part of drills if you're a police officer or even in the FBI.
[02:46:51.613 --> 02:46:57.378]  Because let me tell you something, the next wave they're going to try to now say the cops can't be trusted so they can purge police.
[02:46:57.818 --> 02:47:01.802]  And if you're a libertarian or conservative cop or a constitutionalist cop or something,
[02:47:03.140 --> 02:47:04.841]  And they try to get you to be part of drills like this?
[02:47:04.941 --> 02:47:05.521]  You're crazy.
[02:47:05.541 --> 02:47:17.967]  They'll go, look at Sergeant Ben Johnson, hypothetical name, John Doe, why he visited this website and he was part of a shooting club and he was a libertarian tea partier and he blew up the daycare center.
[02:47:18.027 --> 02:47:21.769]  I mean, you can script this stuff up one side and down the other.
[02:47:23.870 --> 02:47:24.831]  There was a drill
[02:47:26.323 --> 02:47:27.824]  It turns out they're connected to the government.
[02:47:27.844 --> 02:47:30.165]  The FBI lies and says we've never heard of them.
[02:47:30.445 --> 02:47:32.286]  Been, quote, tracking them for three years.
[02:47:32.746 --> 02:47:33.646]  I looked at these brothers.
[02:47:33.686 --> 02:47:34.647]  I've talked to their family.
[02:47:35.467 --> 02:47:42.410]  Who's been willing to come on, hangs the phone up, calls back crying 30 minutes later saying, I was just threatened.
[02:47:42.530 --> 02:47:43.390]  I love my daughter.
[02:47:43.511 --> 02:47:44.691]  No, no, no.
[02:47:44.731 --> 02:47:46.092]  They told me they can do whatever they want.
[02:47:46.152 --> 02:47:46.552]  No, no, no.
[02:47:47.844 --> 02:47:49.125]  I mean, I live in a movie, folks.
[02:47:49.585 --> 02:47:49.945]  No!
[02:47:50.326 --> 02:47:52.587]  No, they will kill my daughter!
[02:47:52.607 --> 02:47:57.491]  In this country, I'm... I mean, it's not funny, folks.
[02:47:59.392 --> 02:48:05.877]  And see, no one would believe that or know that unless you had enjoyed, and I say that sarcastically, what I've enjoyed.
[02:48:07.278 --> 02:48:09.159]  And the government trying to ruin my family.
[02:48:09.879 --> 02:48:14.623]  And trying to threaten people in my family until they have nothing to do with me.
[02:48:17.298 --> 02:48:19.840]  I mean, that's the type of nasty crud that goes on.
[02:48:23.863 --> 02:48:26.165]  I mean, I've gone through stuff Jim Garrison didn't go through.
[02:48:26.185 --> 02:48:28.526]  And I don't make a big deal out of it.
[02:48:28.566 --> 02:48:30.968]  The point is, I know who runs this government.
[02:48:31.408 --> 02:48:38.033]  They've got people that listen to your phone and then wait till the day something bad happens, in the middle of some family disasters, when they call.
[02:48:38.534 --> 02:48:42.156]  And they call up and say, oh, so your mom or dad's in the hospital?
[02:48:42.196 --> 02:48:42.797]  Good, I hope they die.
[02:48:44.485 --> 02:48:46.365]  And by the way, I saw a little dog on your back porch.
[02:48:46.465 --> 02:48:47.346]  I'm going to cut its head off.
[02:48:52.007 --> 02:48:53.147]  This is who runs America.
[02:48:53.427 --> 02:48:53.927]  And you know what?
[02:48:54.567 --> 02:48:56.088]  Getting scared and going, well, I better not say anything.
[02:48:56.108 --> 02:48:56.528]  They'll get me.
[02:48:56.828 --> 02:48:57.728]  That's how they win.
[02:48:57.948 --> 02:48:58.968]  That's how these thugs win.
[02:48:59.148 --> 02:49:00.009]  They're illegitimate.
[02:49:00.169 --> 02:49:00.949]  They're a fraud.
[02:49:01.129 --> 02:49:01.769]  They're a joke.
[02:49:01.969 --> 02:49:02.669]  They're a scam.
[02:49:02.849 --> 02:49:03.689]  They're dishonorable.
[02:49:05.710 --> 02:49:10.251]  Bongino, former top Secret Service agent on the foreign operations of Obama.
[02:49:11.124 --> 02:49:18.708]  His family's been threatened, his office has been broken into, his car's been broken into, he's being threatened, he's being harassed, and he's not even giving out any of the secrets of Obama.
[02:49:21.749 --> 02:49:23.110]  They just want him to be scared.
[02:49:28.532 --> 02:49:30.013]  We ought to get Bongino back on the show.
[02:49:30.073 --> 02:49:32.274]  I mean, are we just a total nation of cowards?
[02:49:32.994 --> 02:49:38.097]  You know, I was reading over these government documents that got released by the Clinton group.
[02:49:40.037 --> 02:49:45.641]  And they're so incredible that I don't know if I can give justice to them, but we're going to go to break and come back and cover them.
[02:49:47.082 --> 02:49:54.228]  Then I guess do some overdrive since I'm here saying I'll go to your phone calls because I want to get to everybody like Alvin that's been holding so long.
[02:49:56.345 --> 02:49:59.607]  But you read this, it's everything we already knew, but just confirms.
[02:50:00.107 --> 02:50:16.655]  Three years before Matt Drudge changed the world, is how Breitbart says it, and how news will be consumed, President Bill Clinton's White House feared the internet was allowing average citizens, especially conservatives, to bypass legacy gatekeepers and access information that had previously been denied to them by the mainstream press.
[02:50:16.755 --> 02:50:19.416]  I want all my writers to write stories on this in the next week.
[02:50:19.996 --> 02:50:24.298]  I hardly ever tell them what to write about, they just write about whatever they think is interesting, but this is a directive, guys.
[02:50:24.318 --> 02:50:25.199]  Let's write about this, because
[02:50:26.277 --> 02:50:27.579]  This ties into media matters.
[02:50:29.201 --> 02:50:31.284]  This ties into everything.
[02:50:31.325 --> 02:50:33.548]  WorldNetDaily and Breitbart have the best breakdown on it.
[02:50:35.471 --> 02:50:36.773]  But they say in here...
[02:50:39.116 --> 02:50:52.906]  That this allows them to put stories out that then get into local media, that then get into the Washington Post, New York Times, and it goes into saying then they have congressional committees that start investigating their criminal activity.
[02:50:53.647 --> 02:50:53.987]  That's it.
[02:50:54.387 --> 02:51:05.215]  They want air superiority where no one can question them, where they can, you know, kill whoever they want in Arkansas, cut their arms and legs off, shoot them nine times in the back of the head, and have the local paper announce it was a suicide.
[02:51:07.116 --> 02:51:10.359]  How can you save a ton of money and prepare for emergencies?
[02:51:10.759 --> 02:51:13.702]  By having your own in-home freeze dryer from Harvest Rite!
[02:51:14.042 --> 02:51:17.725]  Now you can cut down on wasted food by freeze drying your leftovers!
[02:51:18.085 --> 02:51:18.646]  That's right!
[02:51:18.826 --> 02:51:27.033]  Create your own long-term food storage by freeze drying your own fruits, meats, vegetables, even complete meals with the Harvest Rite in-home freeze dryer!
[02:51:27.413 --> 02:51:29.855]  Imagine the savings and the peace of mind!
[02:51:30.216 --> 02:51:34.859]  See how the amazing Harvest Rite freeze dryer works at harvestrite.com!
[02:51:36.540 --> 02:51:38.381]  Attention all radio listeners.
[02:51:39.002 --> 02:51:46.206]  Survival Life is giving away free credit card knives exclusively to our radio listeners here today.
[02:51:46.766 --> 02:51:52.670]  Visit MyCreditCardKnife.com to see this covert knife in action and claim yours for free.
[02:51:53.170 --> 02:51:59.314]  It's the same knife you've seen in the airline magazines for $29.95, but today it's yours free.
[02:51:59.694 --> 02:52:00.935]  Just pay shipping and handling.
[02:52:01.355 --> 02:52:03.096]  MyCreditCardKnife.com.
[02:52:03.436 --> 02:52:05.298]  MyCreditCardKnife.com.
[02:52:05.418 --> 02:52:05.738]  Go now.
[02:52:06.720 --> 02:52:08.301]  Great news, pure water lovers!
[02:52:08.741 --> 02:52:13.364]  Big Berkey Water Filters dot com has a special discount offer for all GCN listeners.
[02:52:13.645 --> 02:52:16.146]  You can't do better than a Big Berkey for economy.
[02:52:16.306 --> 02:52:21.650]  For only 1.7 cents a gallon, a single set of filters can last for 5 to 10 years.
[02:52:21.870 --> 02:52:25.472]  There's none better than a Big Berkey for emergency preparedness.
[02:52:25.672 --> 02:52:27.013]  As a backup water source,
[02:52:27.313 --> 02:52:38.305]  And you just can't beat a big Berkey to remove dangerous chlorine, all types of fluoride, pathogenic bacteria, cysts, parasites, and unhealthy byproducts from municipal water.
