[00:00:09.346 --> 00:00:14.970]  We are back on the continuing 24 plus hour broadcast for the InfoWars Money Bomb.
[03:17:49.276 --> 03:17:50.517]  I don't know whether your listeners are.
[03:17:50.537 --> 03:17:52.578]  The incident in the Atlantic, near Norway.
[03:17:53.038 --> 03:18:00.981]  Where it is rumoured that a United States naval ship actually vanished when a triangle craft came over it, that it actually vanished.
[03:18:01.421 --> 03:18:06.744]  Actually that ship did sink and no explanation has been given to the families as to what really happened.
[03:18:07.164 --> 03:18:19.709]  But there was a task force sent by NATO to that area of the Atlantic, I think in Norway, near Norway, because underwater UFOs were tagging the nets of the fishing vessels and causing general mayhem.
[03:18:20.229 --> 03:18:29.155]  And the US Navy turned up on the scene and put an exclusion zone in place and the consequences of that, as I understand it, was a ship disappeared.
[03:18:29.795 --> 03:18:35.439]  So you're dealing with something that is certainly very mysterious in terms of underwater bases.
[03:18:36.459 --> 03:18:43.184]  I mean Christopher Columbus, he recorded that when he was touring to America, when he was sailing to America, he actually saw
[03:18:43.804 --> 03:18:48.127]  An underwater UFO appear and fly off at speed from him.
[03:18:48.527 --> 03:19:04.956]  So the oceans of our planet are definitely populated with them and I think that we have got intelligences out there that are non-human intelligence that are peaceful and occupy our planet's ocean as a matter of course and have been for centuries.
[03:19:06.328 --> 03:19:08.669]  Let me just fire a few more at you.
[03:19:09.430 --> 03:19:11.331]  You talked about disappearing ships.
[03:19:11.711 --> 03:19:13.673]  Philadelphia Experiment.
[03:19:13.733 --> 03:19:14.793]  I'm sure you've heard of that one.
[03:19:14.813 --> 03:19:14.993]  Oh, yeah.
[03:19:15.013 --> 03:19:15.314]  Absolutely.
[03:19:15.354 --> 03:19:16.014]  Perhaps or not.
[03:19:18.411 --> 03:19:19.812]  Uh, I think that was a hoax.
[03:19:20.512 --> 03:19:28.955]  If you, uh, interestingly enough, and this may sound odd, if anybody wants to look at, um, the answers for things, look at what the Russians are saying about some of these issues.
[03:19:28.975 --> 03:19:29.815]  They're very revealing.
[03:19:30.156 --> 03:19:36.538]  Some of the Russian military guys and the, the KGB guys, um, they seem to know the score on a lot of things, mysteriously enough.
[03:19:36.578 --> 03:19:37.618]  I think that was a hoax.
[03:19:38.239 --> 03:19:38.959]  Hoax on that one.
[03:19:40.368 --> 03:19:49.876]  Uh, Bob Lazar claimed to have, uh, back-engineered UFOs at Nevada 51 back in the late 80s, then came out very publicly afterwards with his story.
[03:19:50.297 --> 03:19:52.078]  Bob Lazar a hoax or not a hoax?
[03:19:52.559 --> 03:19:54.220]  Uh, I'm in two minds about that one, Paul.
[03:19:54.440 --> 03:19:54.680]  I am.
[03:19:54.841 --> 03:19:56.162]  I'm in two minds about that one.
[03:19:56.562 --> 03:19:59.465]  Uh, Bob Lazar... Yeah, I'm in two minds.
[03:19:59.505 --> 03:19:59.925]  I don't know.
[03:20:00.306 --> 03:20:03.468]  I don't know what to believe on that issue, a bit like yourself with the reptilians are.
[03:20:03.549 --> 03:20:04.810]  I don't know what to believe on that one.
[03:20:05.610 --> 03:20:05.891]  I don't.
[03:20:07.182 --> 03:20:10.965]  How about, um, I think Sir Peter Horsley, was it?
[03:20:11.025 --> 03:20:16.750]  He was a pretty prominent British officer who claimed to have met an alien.
[03:20:17.270 --> 03:20:18.211]  Yeah, yeah, indeed.
[03:20:18.251 --> 03:20:20.513]  Now, I strongly believe in that one.
[03:20:21.393 --> 03:20:33.523]  And there has been incidents, um, incidents occur, bizarre incidents occur, where people who, um... NATO did a research thing, Paul, called the assessment so it is said
[03:20:34.123 --> 03:20:36.884]  Um, this was said by Master Sergeant Robert Dean.
[03:20:37.385 --> 03:20:43.548]  But basically the gist of the report was about UFOs because they were triggering, uh, they nearly triggered World War 3 on a number of occasions.
[03:20:43.968 --> 03:20:49.490]  But the thing is, what was happening there was the, uh, NATO said that you had aliens that looked like us, exactly like us.
[03:20:49.530 --> 03:20:53.472]  You could walk past one down the street and you would never know, was the famous quote.
[03:20:53.492 --> 03:20:54.973]  You would literally never know.
[03:20:55.613 --> 03:21:05.240]  And so Peter Horsley was sat with somebody who knew about Britain's nuclear program backwards way on and knew a lot of other things as well.
[03:21:05.280 --> 03:21:06.621]  He was a man called Janus.
[03:21:07.282 --> 03:21:12.606]  Although I was misquoted on UK radio station Talk Sport and they thought I said the word Janus.
[03:21:13.366 --> 03:21:19.091]  And then that all went off into this humongous black comedy of, oh, did he see a cleaner?
[03:21:19.131 --> 03:21:20.092]  Was he knocking off?
[03:21:20.172 --> 03:21:21.173]  It was quite hilarious.
[03:21:21.453 --> 03:21:25.216]  The clips on my YouTube site with George Galloway, it was very funny.
[03:21:25.636 --> 03:21:26.597]  I've heard it.
[03:21:26.637 --> 03:21:27.958]  Yeah, oh, you've heard it, have you, Paul?
[03:21:27.998 --> 03:21:29.239]  Right, yeah, it's very funny.
[03:21:29.840 --> 03:21:31.201]  But yeah, so I'm astounded.
[03:21:31.221 --> 03:21:33.683]  Peter Horsley had an incident with the brakes on his car.
[03:21:34.243 --> 03:21:35.184]  He nearly crashed his car.
[03:21:35.224 --> 03:21:36.665]  His brakes had been tampered with.
[03:21:37.066 --> 03:21:39.868]  So I'm one for believing that that happened.
[03:21:41.266 --> 03:21:50.870]  Okay, we're running out of time, but Tony, tonytopping.com, final statement, give your website a plug and just conclude it here.
[03:21:50.910 --> 03:21:53.571]  I mean, how does this tie into the Infowar?
[03:21:53.611 --> 03:21:55.631]  Give us a concluding statement.
[03:21:56.352 --> 03:22:02.854]  It does indeed tie into the Infowar, because what you're doing is you're showing one level of reality that is going on around us.
[03:22:03.274 --> 03:22:06.555]  What you're seeing is something that is happening straight in front of your eyes.
[03:22:06.595 --> 03:22:08.016]  The agenda is plain.
[03:22:08.556 --> 03:22:17.686]  And it is in front of you, but there are some of us who are engaged in the kind of the next level up of what's driving it all, what's going on, whether we like it or not.
[03:22:17.746 --> 03:22:28.517]  And I think the other issue is, before InfoWars listeners, because you're a hard crowd to please, and Alex Jones, who's a hard person to please as well, and yourself, you're critical thinkers and researchers,
[03:22:29.237 --> 03:22:39.581]  I'd like to see a bit more about the UFO researchers being harassed and the consequences of all that, and the human factor behind it all, and I think that would be of great beneficial service.
[03:22:39.641 --> 03:22:48.044]  If researchers in UFOs aren't giving answers, let's hope people like yourself and people like Alex Jones can give people proper answers as to what's going on.
[03:22:48.344 --> 03:22:55.047]  And my site's TonyTopping.com, I am on Facebook, I am on Twitter, and thank you Paul for having me on the show.
[03:22:56.129 --> 03:22:57.550]  Really appreciate it, Tony.
[03:22:57.670 --> 03:22:58.310]  Take care.
[03:22:59.090 --> 03:23:00.071]  Thanks for being on the show.
[03:23:00.091 --> 03:23:01.472]  Been very interesting this morning.
[03:23:02.072 --> 03:23:04.733]  Thank you very much, mate, and good luck with the project that you're working on.
[03:23:05.574 --> 03:23:06.214]  Thanks, Tony.
[03:23:06.234 --> 03:23:10.976]  There goes Tony Topping, UFO researcher, tonytopping.com.
[03:23:11.957 --> 03:23:17.539]  Now we're going to hand it over to Richard Reeves back in the Austin command base.
[03:23:17.680 --> 03:23:18.880]  Richard, are you with me?
[03:23:19.500 --> 03:23:20.001]  Yes, sir.
[03:23:20.081 --> 03:23:22.222]  Mr. Watson, how are you doing over there across the pond?
[03:23:23.401 --> 03:23:25.822]  Have you ever been abducted by aliens, Richard?
[03:23:26.442 --> 03:23:32.963]  Well, thankfully not, and hopefully I can avoid that in the upcoming near and long-term future as well, hopefully.
[03:23:34.984 --> 03:23:38.545]  Have you managed to get much sleep, what with the 24-hour marathon going on?
[03:23:38.985 --> 03:23:52.368]  Well, I did go home, I guess around midnight, and laid down for a while, and tossed and turned in the proverbial bed there, and got up about four o'clock here, Texas time, and ready to rip and roar here, hopefully.
[03:23:53.775 --> 03:23:55.438]  Okay Richard, I'm going to hand it over then.
[03:23:55.478 --> 03:23:58.242]  Tell us about your guests and what information you're going to cover.
[03:23:58.583 --> 03:24:01.728]  I'll say goodbye to the Infowarriors and please donate.
[03:24:01.948 --> 03:24:04.072]  Infowarsmoneybomb.com.
[03:24:04.132 --> 03:24:04.833]  I'm signing off.
[03:24:04.933 --> 03:24:07.136]  Paul Joseph Watson handing it over to Richard Reeves.
[03:24:08.066 --> 03:24:09.567]  Thank you, Commander Watson.
[03:24:09.987 --> 03:24:11.948]  Well, welcome, Info Warriors.
[03:24:12.769 --> 03:24:19.412]  It is Friday, going into the second day of the Money Bomb, completing the 27-hour marathon.
[03:24:20.013 --> 03:24:21.313]  We'll be wrapping up today.
[03:24:21.473 --> 03:24:23.915]  Alex will be in here later at 7 a.m.
[03:24:23.955 --> 03:24:24.555]  Texas time.
[03:24:24.595 --> 03:24:30.498]  In an hour, we're going to have an interview with Charlotte Isserby that we're going to play.
[03:24:30.959 --> 03:24:36.041]  And at 8 o'clock Texas time, Gerald Cilente will be coming on live to
[03:24:37.142 --> 03:24:48.287]  Yes host the program via Skype so make sure and stay tuned in for the final hours if you've held in already this long going on what 20 some odd hours right now.
[03:24:49.727 --> 03:24:55.229]  Hopefully you'll continue being able to listen and watch what's been going on here on the InfoWars Money Bomb.
[03:24:55.710 --> 03:24:57.790]  I want to thank Alex for allowing me to guest host.
[03:24:57.870 --> 03:24:59.371]  What an honor and privilege it is.
[03:24:59.891 --> 03:25:06.494]  The guy is one of the hardest working people on this planet and it's just unbelievable
[03:25:07.034 --> 03:25:11.917]  The amount of workload and the amount of weight on the man's shoulders that he has to juggle.
[03:25:12.338 --> 03:25:15.140]  I don't know how he does it, but he manages to make it happen.
[03:25:15.740 --> 03:25:20.083]  And this audience has to be commended for everything they do.
[03:25:20.143 --> 03:25:23.525]  This audience is the most awesome audience on the planet.
[03:25:23.986 --> 03:25:30.770]  I've been a long-term listener of AM radio, talk radio, ever since I guess the late 70s.
[03:25:31.371 --> 03:25:32.952]  Drove professionally for many years.
[03:25:34.933 --> 03:25:44.240]  My main career and talk radio has been my friend and that's how I found Alex back in 1997-98 right here in Austin.
[03:25:44.260 --> 03:26:01.453]  He was on 98.9 KJFK way back around 1998 and I traveled through Austin frequently and I'd make sure and tune in to Alex Jones back there on 98.9 FM and I've been a listener and now a longtime friend for many years so
[03:26:03.231 --> 03:26:18.963]  I appreciate the audience because I've been one of the audience members for many years and in fact still am one of the audience members and this audience will be ultimately the Paul Revere's that make the big difference in this world.
[03:26:19.023 --> 03:26:20.904]  It's not going to be just the United States now.
[03:26:20.964 --> 03:26:26.889]  The Paul Revere's are going to be across the world, around the world, taking on the New World Order.
[03:26:27.549 --> 03:26:34.971]  You know, back in the 1770s, 1776, those years, it was about the 13 colonies.
[03:26:35.031 --> 03:26:37.652]  It was about starting this country back then.
[03:26:37.832 --> 03:26:47.755]  And now, this is going to be a global event because of the communications, the internet, the what we're doing right now on the web.
[03:26:48.295 --> 03:26:52.296]  It's going to be a very interesting time and has been an interesting time.
[03:26:52.316 --> 03:26:56.617]  That's like one of the things I've been saying here lately is who would have thought
[03:26:58.200 --> 03:27:09.132]  Right after 9-11, especially for those of you that were awake about the New World Order and that were aware of what was going on with the world and the geopolitical environment that we were in.
[03:27:10.486 --> 03:27:31.916]  Think back to 9-11 of 2001 during those events and there were just a very small minority of people knowing that this was a New World Order event inside job to further their police state agenda, to further the surveillance society, to further all of their agenda and that
[03:27:32.856 --> 03:27:38.343]  The police state at that time in the fall of 2001 just seemed so imminent.
[03:27:38.443 --> 03:27:42.589]  It just seemed like, wow, it was all going to come all crashing down.
[03:27:42.629 --> 03:27:47.855]  The police state was going to come down on us and really clamp down on our freedoms.
[03:27:48.456 --> 03:28:03.404]  Yet here we are by some miracle and I think in large part to people like Alex Jones and to you guys, all you folks out there in this audience that have taken the steps to fight against the New World Order.
[03:28:03.764 --> 03:28:10.688]  Here we are 10 years post 9-11 when it seemed like BAM the police state was imminent.
[03:28:11.570 --> 03:28:14.291]  That's when I first met Alex was in the fall of 2001.
[03:28:14.351 --> 03:28:21.674]  I thought after that 9-11 event, I not only had to listen to this man on the radio and see him on Access to Cable TV, but I have to go meet the man.
[03:28:21.714 --> 03:28:28.036]  And so I went up there to Access Cable TV and met him and I had some hot little stories that I thought I'd found on hand.
[03:28:28.076 --> 03:28:31.297]  But of course, Alex is always one step ahead of almost everybody.
[03:28:31.817 --> 03:28:33.658]  He knew about every story I had to give him.
[03:28:34.378 --> 03:28:36.760]  But anyway, here we are.
[03:28:37.300 --> 03:28:40.823]  We've got still a pretty high level of freedom here in the United States.
[03:28:40.843 --> 03:28:43.225]  The First Amendment is still thankfully alive.
[03:28:43.785 --> 03:28:47.828]  Second Amendment is still going strong with a lot of folks waking up about that.
[03:28:48.009 --> 03:28:53.713]  On the left side, especially, we've had Obama be the number one gun salesman.
[03:28:54.394 --> 03:28:56.575]  I gotta give credit to Obama.
[03:28:56.635 --> 03:29:02.380]  People are always shocked whenever I say, I really gotta give Obama some credit about at least two things.
[03:29:02.420 --> 03:29:03.661]  I gotta give him credit.
[03:29:04.597 --> 03:29:10.861]  Number one thing I give Obama credit for is he's been the best gun salesman on the planet.
[03:29:11.361 --> 03:29:12.081]  Bar none.
[03:29:12.561 --> 03:29:14.703]  Obama, number one gun salesman.
[03:29:14.783 --> 03:29:18.345]  I just never will forget those stories about... Excuse me.
[03:29:22.547 --> 03:29:23.107]  I'm sorry, folks.
[03:29:23.167 --> 03:29:26.089]  I haven't been the same since the Red Tide down in South Padre.
[03:29:29.505 --> 03:29:31.646]  Obama, number one gun salesman ever.
[03:29:32.266 --> 03:29:38.908]  It's been amazing how those stories came out when he was first elected, how people rushed out and bought guns.
[03:29:38.948 --> 03:29:54.154]  So I think those articles and those stories had to give the New World Order boys some pause and a little bit of apprehension in them realizing what I think part of what's going on is they're actually building their own prison planet
[03:29:54.614 --> 03:30:00.518]  For themselves if they're not careful and I think that's one reason that really slowed down their agenda.
[03:30:00.878 --> 03:30:07.663]  But the number two thing I've got to give Obama credit for what happened just last November.
[03:30:08.323 --> 03:30:09.344]  Just last November of 2010.
[03:30:10.205 --> 03:30:14.928]  I really got to give him credit because he had over 400 plus years worth of tenure.
[03:30:18.270 --> 03:30:18.511]  I don't
[03:30:36.334 --> 03:30:49.500]  Pretty much every incumbent and thankfully this audience I know is receptive to that idea and I know they've heard that word that we definitely need to fire every incumbent and the primaries are the Achilles heels but Obama
[03:30:50.751 --> 03:30:59.637]  I gotta give him credit on that one, firing over 400 years worth of incumbents in the House and Senate in this last election because of his unpopularity.
[03:31:00.557 --> 03:31:15.246]  I tell you, I think he's created himself not only a lot of enemies on the right, which he's always had, but I think now, to this upcoming 2012 election cycle, Obama has created himself a lot of enemies on the left from his Democrat
[03:31:16.334 --> 03:31:22.517]  Past friends that ended up having their rear end sent home from the House and Senate.
[03:31:22.897 --> 03:31:32.821]  So you've got most likely a lot of disgruntled people on the left and on the Democrat side that are ready to see Obama get fired as well.
[03:31:32.901 --> 03:31:36.123]  So that's gonna be interesting to see how that plays out.
[03:31:36.543 --> 03:31:42.526]  Because that mentality of, hey, he's our Democrat, yeah, we got a bunch of our people fired and
[03:31:43.146 --> 03:31:43.306]  They
[03:31:58.903 --> 03:31:59.363]  We're good to go.
[03:32:22.094 --> 03:32:35.374]  Miraculously growing and getting bigger and bigger and fatter and some of the highest incomes in the country are in Washington DC and so I'm sure many of you guys that keep up with the economy have heard about that story.
[03:32:36.795 --> 03:32:49.221]  All right, so Obama gets credit for two big things, and hopefully in 2012, after the November election, I can give him credit for firing another four or five hundred years worth of incumbents.
[03:32:49.702 --> 03:32:51.022]  That's what I'm looking forward to.
[03:32:51.102 --> 03:32:52.163]  Hopefully it'll be even more.
[03:32:52.223 --> 03:32:56.085]  I'd like to see a thousand years worth of incumbents.
[03:32:56.485 --> 03:32:57.286]  And when I say these
[03:32:59.192 --> 03:32:59.452]  I don't
[03:33:25.205 --> 03:33:45.063]  Back in the spring, we were experiencing gasoline climbing higher and higher in price, and a lot of that was due to the activity in the Middle East that was going on, driven by the New World Order there in Libya, and also in other Middle Eastern countries.
[03:33:46.163 --> 03:33:51.466]  I've been meaning to get with Alex for a while and try to come on the program and cover this topic.
[03:34:04.471 --> 03:34:06.352]  For this hour till 7 a.m.
[03:34:06.372 --> 03:34:18.815]  Texas time is a perfect opportunity for me to kind of discuss what I learned and found out with regards to energy and how it's connected to the economy, connected to the New World Order and their agenda.
[03:34:20.455 --> 03:34:30.438]  And one of the things like I said that was going on back in the spring of 2011 is we did see accelerating and climbing gasoline, oil prices, diesel prices, etc.
[03:34:32.404 --> 03:34:37.665]  And I really got curious as to, you know, what are all the things that they need to do?
[03:34:37.685 --> 03:34:39.265]  You know, Lindsey Williams had come on here.
[03:34:39.325 --> 03:34:41.846]  Most of you guys out there in the audience are familiar with Lindsey Williams.
[03:34:42.386 --> 03:34:47.267]  And he was talking about where the NWO plans to take gasoline and oil prices, etc.
[03:34:47.947 --> 03:34:51.607]  And so I got interested in, okay, what all needs to happen?
[03:34:52.108 --> 03:34:56.688]  What all does the NWO need to do to control these prices?
[03:34:56.748 --> 03:35:00.049]  Because they have a lot of control over
[03:35:01.178 --> 03:35:04.339]  The prices of oil and gasoline, obviously, and they've demonstrated that.
[03:35:04.839 --> 03:35:19.024]  But at the same time, they are at the whim of the market a little bit, somewhat, because there's independent-minded companies out there, and there's the big corporate giants that are running gasoline and diesel and oil.
[03:35:19.044 --> 03:35:26.046]  There's the Exxons and the Mobils, and then you got the countries that have their own interests, and you got Hugo Chavez in Venezuela.
[03:35:28.257 --> 03:35:47.285]  All these different players that work together and disparately to end up controlling all these prices and the NWO at the top of it all trying to pull the puppet strings one way or another about how those prices fall and how they go and who gets supply and who doesn't.
[03:35:49.702 --> 03:36:11.537]  One of the things that really caught my eye was I was doing a little bit of research on stock issues and stock market things and I ran across this story about a pipeline company up in Oklahoma and the story was saying how that back in around March, April of 2011 that this pipeline company up in Oklahoma could not keep up with the supply
[03:36:12.177 --> 03:36:12.357]  I don't
[03:36:30.126 --> 03:36:30.847]  We're good to go.
[03:36:50.748 --> 03:36:51.689]  No, we're good.
[03:37:06.676 --> 03:37:16.188]  Independent companies, entrepreneurs, speculators, different entities have built these big giant tank farms all over the country and Cushing, Oklahoma is one of them.
[03:37:16.228 --> 03:37:24.919]  They built these giant tank farms and they filled them up with oil and they bought oil when it was cheaper and they waited for time to release that oil.
[03:37:25.800 --> 03:37:28.503]  And try to cash in and make profit, of course.
[03:37:28.943 --> 03:37:43.516]  But also, I think these big tank farms all around the country, which by the way, Cushing, Oklahoma is supposedly only represents about 8 or 10% of the oil that is stored by such entities.
[03:37:43.576 --> 03:37:44.997]  So it's only a small percentage.
[03:37:45.037 --> 03:37:49.822]  So if Cushing, Oklahoma was needing to pump oil,
[03:37:51.309 --> 03:38:09.362]  And not having the supply of the pipelines to get it to the Mississippi River Valley where a lot of refineries are, to get it to the big refinery areas like around Houston and Texas, areas like that, they lack the pipeline capacity and can only handle about 10 or 12 percent of the oil coming out of Cushing.
[03:38:09.842 --> 03:38:16.047]  And that's just one of the locations and that only represents about 10 percent of the oil
[03:38:16.977 --> 03:38:17.338]  That is
[03:38:25.288 --> 03:38:41.360]  Slow down the increase in price at that time in the spring, but I'm also believing now that the NWO is probably going back to their drawing board and thinking, wow, we were really looking forward to having gasoline costing six, seven, eight dollars a gallon in the United States.
[03:38:41.861 --> 03:38:51.108]  And I think they actually kind of ran into an overhead supply that they may not have completely realized, anticipated and expected.
[03:38:51.548 --> 03:38:52.569]  And then on top of that,
[03:38:53.129 --> 03:38:57.091]  You've got the issues of oil being discovered all over the world.
[03:38:57.131 --> 03:39:10.797]  You've got a big Canadian find that they're trying to build a pipeline down in the United States and I think they'll end up getting that done probably because there's a lot of lobbying efforts to create the jobs that those pipelines would bring out of Canada.
[03:39:11.318 --> 03:39:12.438]  And let me just say this up front.
[03:39:13.459 --> 03:39:14.379]  I love cars.
[03:39:14.579 --> 03:39:20.502]  I think men in general are somehow instinctively just love
[03:39:20.962 --> 03:39:30.149]  The automobile here in the United States, and we're blessed to be here in the United States where the automobile basically, when it comes to personal transportation, has been king and is king.
[03:39:30.870 --> 03:39:34.192]  And I think it's a symbol of American freedom.
[03:39:34.212 --> 03:39:36.654]  You know, that old Southwest Airlines, a symbol of freedom.
[03:39:36.694 --> 03:39:39.256]  They had the jet on the billboard, symbol of freedom.
[03:39:40.297 --> 03:39:57.596]  Well, I think the original symbol of freedom has been for us the automobile one of the one of the symbols of freedom We've got a lot here in the United States the United States, but the automobile definitely one of the major symbols of freedom and I've often said that they'll pry the car out of my out of my
[03:39:58.817 --> 03:39:59.718]  Cold dead hands.
[03:39:59.778 --> 03:40:01.900]  Kind of like that quote about the gun.
[03:40:01.940 --> 03:40:03.801]  You get my gun out of my cold dead hands.
[03:40:03.841 --> 03:40:06.503]  Well, that's the way it is with the automobile.
[03:40:06.543 --> 03:40:08.805]  I just love transportation.
[03:40:09.265 --> 03:40:17.692]  And I don't think it should matter if we drive a little Yugo or a little Mini Daihatsu or whatever or a Hummer.
[03:40:17.792 --> 03:40:23.917]  I don't think in America that that's the issue of what vehicle we drive or how big it is or whatever.
[03:40:24.537 --> 03:40:25.659]  I don't think that's the problem.
[03:40:25.699 --> 03:40:28.882]  The problem is what are we putting in our tanks?
[03:40:29.043 --> 03:40:30.685]  That is where the monopoly is.
[03:40:31.085 --> 03:40:43.801]  And so that's why I've kind of delved into this subject about energy and there's a lot more connected dots that are upcoming that I kind of found out on what's going on with the overall situation with energy because
[03:40:45.540 --> 03:40:50.303]  The oil, like I said, they've been finding vast reserves up in Canada.
[03:40:50.363 --> 03:40:53.665]  You've got Lindsey Williams has talked about all the oil up in Alaska.
[03:40:54.085 --> 03:41:00.368]  You've got years and years, you know, by some accounts, 100, 200 years worth of oil up in Alaska.
[03:41:00.448 --> 03:41:06.011]  And like I said, me loving cars, I don't want to get out of my car.
[03:41:06.031 --> 03:41:07.872]  You've got more and more cities trying to
[03:41:09.033 --> 03:41:33.593]  put us on rails actually literally on rails like in Austin and in many other cities that's a big agenda in San Antonio Houston Austin all over the world that is a big agenda to get people out of their cars and I'm not 100% against it but when they want to put us out of our cars because of cost then I really have a problem with that because I think transportation needs to remain
[03:41:34.213 --> 03:41:42.617]  Inexpensive and accessible to everybody here in the United States and the agenda definitely by the NWO is to put us out of those cars.
[03:41:43.217 --> 03:41:47.639]  But the cost of oil is a key factor in whether we remain in cars.
[03:41:47.959 --> 03:41:57.544]  But the other key factor is what are the alternatives ultimately gonna be to oil because there will be alternatives and there are alternatives.
[03:41:58.104 --> 03:42:01.286]  I don't think we've come upon the best alternatives yet.
[03:42:01.346 --> 03:42:05.129]  I think the alternatives yet to come, and maybe they're out there.
[03:42:05.189 --> 03:42:10.852]  You hear the stories about the 100 mile per gallon carburetors, etc.
[03:42:10.892 --> 03:42:15.275]  You hear all the different stories about ways to get better gas mileage.
[03:42:16.316 --> 03:42:21.479]  I really think these best methods of getting around our cars is yet to come.
[03:42:22.120 --> 03:42:26.223]  But for now, the NWO, obsessed with control,
[03:42:27.159 --> 03:42:39.083]  Has really got their work cut out for him from my perspective from what I see and it's a blessing for us that it looks like their work is so cut out because you've got these massive oil finds all around the planet.
[03:42:39.483 --> 03:42:45.785]  You've got a lot of offshore drilling going on in Brazil in some big giant oil field discoveries there.
[03:42:46.746 --> 03:42:52.328]  You know we've all heard about Venezuela and their oil and there's probably oil that they've yet to discover here in the Gulf of Mexico.
[03:42:53.428 --> 03:43:07.287]  More and more because of the dilemma the NWO is in, in trying to control the supply and demand and cost of oil, you know, I really have to wonder about that deep horizon, the deep water horizon.
[03:43:08.699 --> 03:43:09.860]  I don't think so.
[03:43:29.065 --> 03:43:29.305]  That's
[03:43:51.345 --> 03:44:11.933]  The growth of nuclear energy has been damaged by the Fukushima event and who could blame countries around the world for really wanting to back off and scratch their head when they're looking at developing more nuclear plants thinking wow look at what happened in Fukushima and then also look at what happened with the flooding in Nebraska with the Calhoun plant
[03:44:13.354 --> 03:44:36.640]  The Calhoun nuclear plant there in Nebraska that was by some reports actually flooded internally and I haven't seen or read any stories on that lately but it's interesting to note how that over the past few months and year we've seen virtually almost all types of energy come under some level of attack.
[03:44:37.180 --> 03:44:40.781]  Some level of event like with nuclear.
[03:44:42.216 --> 03:44:48.442]  Like I was saying, Fukushima incident, Calhoun incident, and then there was another nuclear reactor up in Canada that had some problems.
[03:44:49.843 --> 03:44:55.207]  You've got coal under attack from the carbon emissions angle.
[03:44:56.352 --> 03:44:58.733]  And you've got, you know, coal.
[03:44:59.053 --> 03:45:04.474]  You've got Obama saying that, well, you can build a coal-fired power plant, but you'd go bankrupt.
[03:45:04.994 --> 03:45:05.795]  You remember that quote?
[03:45:05.815 --> 03:45:07.895]  I know Alex has played that on the air many times.
[03:45:08.455 --> 03:45:11.776]  So coal has been under attack for quite a while.
[03:45:11.816 --> 03:45:17.078]  Remember back in the 90s during the Clinton administration when some of the best coal in the world
[03:45:17.658 --> 03:45:17.838]  I think?
[03:45:41.121 --> 03:45:50.407]  Taxpayer money, the economic benefit of digging up coal to fund some of their education and all their state projects, things like that.
[03:45:50.487 --> 03:45:54.049]  So coal has been under a long-term attack.
[03:45:54.169 --> 03:45:59.872]  And then the other thing that I ran across is I'm studying all this about the oil in the spring of 2011.
[03:46:00.513 --> 03:46:02.574]  I'm studying about the Deepwater Horizon event.
[03:46:02.614 --> 03:46:03.975]  We got Fukushima going on.
[03:46:04.015 --> 03:46:07.177]  We got flooding in the Midwest with the Calhoun nuclear plant.
[03:46:07.717 --> 03:46:14.521]  We've got coal being attacked by governments and the global warming agenda.
[03:46:14.922 --> 03:46:24.168]  We've got one of the other things that I learned was under attack, especially with all the European economic debacle.
[03:46:24.208 --> 03:46:27.610]  And you've got a lot of countries that are backing away.
[03:46:29.355 --> 03:46:43.602]  from their heavy spending habits and one of the victims of governments backing off from all of their excess spending of money that they don't have or of over taxation of their people.
[03:46:44.382 --> 03:46:50.585]  One of the victims in Europe and also somewhat here in the United States is the alternative energies.
[03:46:51.646 --> 03:47:01.384]  Um, you know, the Darlings, they were there, the Green Energies, and not that I'm necessarily a fan of them, uh, and some of them I think they're farcical, some of them, you know, they might work or whatever, but...
[03:47:03.231 --> 03:47:10.293]  A lot of these alternative energies like wind and solar were counting on big government subsidies.
[03:47:11.133 --> 03:47:20.196]  Hence, we had the big Solyndra story, you know, where they had, I think, half a million dollars and it's basically evaporated and disappeared here in the United States with the Solyndra story.
[03:47:20.216 --> 03:47:26.617]  And now they're talking about, you know, indicting and investigating the Obama administration's activities in helping Solyndra.
[03:47:33.672 --> 03:47:55.937]  We've got a lot of these alternative energies, not that they were necessarily great or fantastic or going to save the world and all that, but it's interesting to see that it's almost like some level of industrial espionage going on to play with the supply and demand and the viability of all forms of energy.
[03:47:56.077 --> 03:48:02.178]  I just keep looking at the different things, you know, you've got the wind situation with the windmills and they're
[03:48:03.078 --> 03:48:03.558]  You know what?
[03:48:24.131 --> 03:48:49.408]  a deepwater horizon event or maybe even now it makes me more suspicious that all of a sudden you had these nuclear plants you had Fukushima, Calhoun and that plant up in Canada like almost three in a row boom boom boom you know you really had to start to wonder and the rumors have been out there of exactly what is going on in the case of Calhoun plant they said that that flooding was
[03:48:50.629 --> 03:48:54.891]  Pretty much intentionally done by the Corps of Engineers and those reports came out.
[03:48:55.391 --> 03:49:10.237]  So you really have to wonder when it comes to energy and we really have to watch in particular because one way to keep the cost of energy low, which is really key, one of the key factors to keeping our economy at least at the level it's at.
[03:49:10.277 --> 03:49:11.337]  Our economy is hurt.
[03:49:11.797 --> 03:49:12.958]  There's no doubt about that.
[03:49:13.018 --> 03:49:14.658]  Our economy is hurt.
[03:49:14.778 --> 03:49:15.799]  It's limping along.
