[00:00:04.989 --> 00:00:06.390]  I am absolutely honored
[02:22:47.916 --> 02:22:52.979]  Don't get left behind by rising inflation and low returns.
[02:22:52.979 --> 02:22:53.220]  Call 800-686-2237.
[02:22:53.220 --> 02:22:54.621]  Secure your future and call 1-800-686-2237.
[02:23:00.504 --> 02:23:05.827]  We don't need to convince you that the threat of forced entry is on the rise and that your door locks are inadequate.
[02:23:05.827 --> 02:23:10.149]  Now you can virtually eliminate the threat of your door being kicked in with the Door Sentinel.
[02:23:10.149 --> 02:23:16.811]  The Door Sentinel offers stand-alone door kick-in protection for under $67 and installs in minutes on any door.
[02:23:16.811 --> 02:23:19.193]  Turn your home or apartment into a fortress.
[02:23:19.193 --> 02:23:23.174]  Get the Door Sentinel at sentinelsecuritygroup.com or call 678-648-6757.
[02:23:23.174 --> 02:23:25.075]  The Door Sentinel, always on guard for you.
[02:23:29.577 --> 02:23:30.818]  Hi, this is Ted Anderson.
[02:23:30.818 --> 02:23:35.381]  Have you ever wondered why banks, stockbrokers, investment advisors won't talk about gold IRAs?
[02:23:35.381 --> 02:23:41.185]  They've been available since 1986, yet the financial industry won't recognize the value of gold for your retirement.
[02:23:41.185 --> 02:23:44.827]  Gold has outperformed paper investments, yet no word about IRAs.
[02:23:44.827 --> 02:23:47.549]  If you would like to have gold for your retirement, call 800-686-2237.
[02:23:47.549 --> 02:23:52.612]  Don't get left behind by rising inflation and low returns.
[02:23:52.612 --> 02:23:52.853]  Call 800-686-2237.
[02:23:52.853 --> 02:23:54.254]  Secure your future and call 1-800-686-2237.
[02:24:01.759 --> 02:24:17.714]  Alright, I could talk to Tarpley all day, and the other thing that they're attacking him on the video for is saying that the current ecosystem would collapse if humans weren't here.
[02:24:18.996 --> 02:24:26.145]  Yeah, he talks about the human-made ecosystem, and we have more forests than we had in North America 200 years ago, that's confirmed.
[02:24:26.145 --> 02:24:29.489]  Many areas where humans are actually is where the wildlife comes into.
[02:24:29.489 --> 02:24:32.192]  But these ignoramuses don't know about all those studies.
[02:24:32.192 --> 02:24:34.555]  Sure, there are things humans do that are bad for the Earth.
[02:24:34.555 --> 02:24:36.737]  But the Earth was born out of fire, it's very powerful.
[02:24:37.638 --> 02:24:40.499]  Uh, and, and the ecosystems are incredibly powerful.
[02:24:40.499 --> 02:24:47.722]  I am worried about some of the cross-species genetic engineering and things like that that can, you know, infect the biosphere, but the environmentalists aren't.
[02:24:47.722 --> 02:24:54.665]  They just want to use environmentalism as an excuse to say, we vote for the cockroaches and the cockroaches outvote you, we're taking your property.
[02:24:54.665 --> 02:24:55.846]  That boils it down to Tarpley.
[02:24:57.068 --> 02:25:04.013]  Am I correct in what you said in that gestalt statement about, you know, the current human-designed ecosystem would collapse?
[02:25:04.013 --> 02:25:10.879]  You're just saying the current ecosystem, you're saying that humans have made contributions, not just things that are negative, correct?
[02:25:10.879 --> 02:25:12.740]  Yeah, above all, agriculture, right?
[02:25:12.740 --> 02:25:19.125]  If you look at agriculture all over the world, whether you like it or not, and whether it's been done well or poorly or in between,
[02:25:19.765 --> 02:25:29.452]  Agriculture is now an integral part of the world ecosystem, and human activity in general plays a role which can be negative, but it's also positive.
[02:25:29.452 --> 02:25:36.577]  And the point with these fanatics is that their hatred of humanity, their genocidal fury, is such that they can't imagine
[02:25:36.937 --> 02:25:37.997]  A positive role, right?
[02:25:37.997 --> 02:25:40.879]  They say humanity is the cancer of the earth.
[02:25:40.879 --> 02:25:44.180]  Mankind is a disease that has to be exterminated.
[02:25:44.180 --> 02:25:45.121]  Don't have children.
[02:25:45.121 --> 02:25:47.562]  This is simply the language of hate.
[02:25:47.562 --> 02:25:49.903]  Now historically that's also what it's been.
[02:25:49.903 --> 02:25:51.303]  If you look at Darwin, right?
[02:25:51.303 --> 02:25:53.164]  This idea of the struggle for existence.
[02:25:53.624 --> 02:25:57.629]  This leads you directly to Friedrich Nietzsche and the will to power.
[02:25:57.629 --> 02:26:01.513]  Nietzsche says, basically, I'm going to go you one better, Darwin.
[02:26:01.513 --> 02:26:03.975]  I'm going to get to the will to power.
[02:26:03.975 --> 02:26:05.637]  And that takes you straight to Hitler.
[02:26:05.637 --> 02:26:08.901]  So in other words, the roots of genocide are in this, on the other side.
[02:26:09.421 --> 02:26:11.262]  Social Darwinism.
[02:26:11.262 --> 02:26:15.565]  The application of Darwin to sociology and social theory.
[02:26:15.565 --> 02:26:17.547]  An absolute disaster.
[02:26:17.547 --> 02:26:26.012]  Because this leads to the most reactionary, the most brutal, the most cruel, backward, savage kinds of social policies, right?
[02:26:26.012 --> 02:26:29.395]  That the poor should die because it's their fault.
[02:26:29.395 --> 02:26:31.356]  They have failed.
[02:26:31.356 --> 02:26:37.320]  Or the idea, for example, that war is a good thing because it wipes out the weaker members of the human species.
[02:26:39.861 --> 02:26:44.164]  And correct me if you disagree with this, but I mean, it's just an innate instinct.
[02:26:44.164 --> 02:26:45.164]  I know it.
[02:26:45.164 --> 02:26:52.208]  To be human is to reach, to build, to recognize beauty, and to want to construct and trailblaze and explore.
[02:26:52.208 --> 02:27:04.354]  Certainly we have the barbarous side to us that is part of our overall balance, but if you just say the barbarism, the brute, you know, anarchy is what humanity is and dive into it,
[02:27:04.694 --> 02:27:07.542]  Every civilization that does that degenerates.
[02:27:07.542 --> 02:27:12.676]  Those that reach for the stars build palaces of enlightenment.
[02:27:13.396 --> 02:27:14.196]  Correct.
[02:27:14.196 --> 02:27:18.998]  In other words, the way I would say it is that mankind is potentially good.
[02:27:18.998 --> 02:27:25.199]  And the true aspect of humanity is scientific creativity and other forms of creativity.
[02:27:25.199 --> 02:27:28.220]  And this is exactly what Darwin never takes into account.
[02:27:28.220 --> 02:27:31.761]  You notice these people never talk about technology.
[02:27:31.761 --> 02:27:37.783]  They say the array of resources that mankind can draw in is axiomatically fixed.
[02:27:38.263 --> 02:27:39.384]  It's always the same.
[02:27:39.384 --> 02:27:44.168]  And notice they control the resources, they're just creating a paradigm of artificial scarcity.
[02:27:44.168 --> 02:27:55.156]  What happens if we come along with a new discovery, a new technology that allows us to define a whole new array of resources or parts of the material universe as resources, right?
[02:27:55.156 --> 02:28:04.423]  If we can, instead of having uranium, if we could use seawater as a fuel, or sand as a fuel, or anything else as a fuel, that would be a step forward.
[02:28:04.423 --> 02:28:07.205]  And this is exactly what they never want.
[02:28:07.205 --> 02:28:08.046]  And it leads them to these
[02:28:08.046 --> 02:28:09.746]  These ridiculous consequences.
[02:28:09.746 --> 02:28:21.609]  They did this book about the limits to growth in the early 1970s, and they calculated that world society would break down within 20 to 25 years because of the exhaustion of natural resources.
[02:28:21.609 --> 02:28:22.969]  Well, it hasn't happened.
[02:28:22.969 --> 02:28:29.111]  And what has happened is that in many of those categories, we now have more proven reserves than we did then.
[02:28:29.111 --> 02:28:35.692]  John Maria Ortiz, back in the 1790s, said that the carrying capacity of the world
[02:28:36.393 --> 02:28:36.793]  Exactly.
[02:28:51.175 --> 02:28:55.096]  Exactly, but at the end of the day, the useful idiots believe all this.
[02:28:55.096 --> 02:29:06.058]  The technocrats know they're just selling a collective guilt so we'll give in to their fake green tyranny that isn't green at all to let them organize our society.
[02:29:06.058 --> 02:29:14.200]  And now they're selling everywhere, the end of humanity, the world without humans, all these TV shows and books, how sexy it is, how great it is to die.
[02:29:14.520 --> 02:29:21.283]  They're giving us a collective will to commit societal suicide so that the globalists can have it all for themselves.
[02:29:21.283 --> 02:29:33.168]  They have injected a psychic fail switch into us to flip off our life force survival mechanism, and I am an organic response like a piranha.
[02:29:33.168 --> 02:29:37.030]  White blood cell against them, and I'm coming for you, and so is Dr. Tarfully.
[02:29:37.310 --> 02:29:38.350]  Tarpley, we salute you.
[02:29:38.350 --> 02:29:39.831]  Your video's number one on YouTube.
[02:29:39.831 --> 02:29:40.891]  Thank you very much, Alex.
[02:29:40.891 --> 02:29:41.591]  Great job.
[02:29:41.591 --> 02:29:42.672]  There he goes.
[02:29:42.672 --> 02:29:46.533]  Coming up, somebody else who believes in humanity and our destiny.
[02:29:46.533 --> 02:29:48.814]  We're going to be talking to Gerald Cilente.
[02:29:48.814 --> 02:29:51.395]  Stay with us.
[02:29:51.395 --> 02:29:52.795]  We're on the march.
[02:29:52.795 --> 02:29:55.316]  The empire's on the run.
[02:29:55.316 --> 02:29:57.997]  Alex Jones and the GCN Radio Network.
[02:30:01.499 --> 02:30:08.165]  When you're out on the road, the last place you want to be is on the road.
[02:30:08.165 --> 02:30:13.309]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[02:30:13.309 --> 02:30:22.037]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[02:30:22.037 --> 02:30:24.379]  They sew pride in every stitch.
[02:30:24.379 --> 02:30:28.062]  Guarantee you'll love the way they fit.
[02:30:40.196 --> 02:30:42.337]  We turn jeans inside out.
[02:30:42.337 --> 02:30:44.118]  Diamond Gusset Jeans.
[02:30:44.118 --> 02:30:47.000]  Made in the USA with unparalleled quality.
[02:30:47.000 --> 02:30:51.243]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[02:30:51.243 --> 02:30:53.624]  So you can ride all day with confidence.
[02:30:53.624 --> 02:30:56.346]  Order yours at gusset.com.
[02:30:56.346 --> 02:30:57.927]  Diamond Gusset Jeans.
[02:30:57.927 --> 02:30:58.707]  Got it.
[02:30:58.707 --> 02:30:59.207]  Others don't.
[02:31:00.728 --> 02:31:05.271]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[02:31:05.271 --> 02:31:06.191]  Number one.
[02:31:06.191 --> 02:31:09.614]  New climate legislation could easily double or triple your electric bill.
[02:31:09.614 --> 02:31:10.474]  Number two.
[02:31:10.474 --> 02:31:15.357]  Our new energy czar wants to control how much power your electric company allows you to have.
[02:31:15.357 --> 02:31:16.118]  It's true.
[02:31:16.118 --> 02:31:20.981]  Total government control of electricity in the name of smart grid technology is coming.
[02:31:20.981 --> 02:31:21.801]  Number three.
[02:31:21.801 --> 02:31:25.384]  In some areas of the country, the power grid is dangerously overloaded.
[02:31:25.384 --> 02:31:29.106]  And now, new socialist legislation is only compounding the problem.
[02:31:29.286 --> 02:31:30.086]  Number 4.
[02:31:30.086 --> 02:31:32.848]  Dangerous weather is always a threat to local grids.
[02:31:32.848 --> 02:31:36.529]  Every year, thousands of families lose their power from weather-related outages.
[02:31:36.529 --> 02:31:37.309]  Number 5.
[02:31:37.309 --> 02:31:41.471]  A solar power generator provides powerful backup, insurance, and peace of mind.
[02:31:41.471 --> 02:31:46.513]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[02:31:46.513 --> 02:31:50.695]  You can get more information at www.mysolarbackup.com.
[02:31:50.695 --> 02:31:52.476]  That's mysolarbackup.com.
[02:31:52.476 --> 02:31:57.078]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-866-422-9000.
[02:31:57.398 --> 02:31:58.339]  877-327-0365.
[02:31:58.339 --> 02:32:03.344]  Hi folks, this is Alex Jones.
[02:32:03.344 --> 02:32:08.649]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[02:32:08.649 --> 02:32:10.191]  Saving means to make money.
[02:32:10.191 --> 02:32:18.980]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[02:32:19.700 --> 02:32:27.224]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[02:32:27.224 --> 02:32:35.248]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[02:32:35.248 --> 02:32:40.471]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[02:32:40.471 --> 02:32:42.632]  Getting a free catalog is easy by calling 800-340-7091.
[02:32:45.413 --> 02:32:48.615]  Or see Calvin on the web at FiveStarSoap.com.
[02:32:48.615 --> 02:32:50.996]  Take charge of your health now by calling 800-340-7091.
[02:32:50.996 --> 02:32:53.118]  Or see Calvin on the web at FiveStarSoap.com.
[02:33:12.288 --> 02:33:14.669]  We are back live.
[02:33:14.669 --> 02:33:15.949]  We're going to...
[02:33:26.388 --> 02:33:36.134]  Gerald Salente here in a moment to cover his latest Trends Journal that is really beginning to come true, that they're setting up the next great war of the 21st century.
[02:33:36.134 --> 02:33:37.355]  What is a great war?
[02:33:37.355 --> 02:33:45.480]  What is a new world war versus the archetypal idea of World War III, which people think of as war with Russia and nuclear war?
[02:33:45.480 --> 02:33:55.407]  But the definition of a world war is multiple continents, Africa, Middle East, Central Asia, more than two countries involved, major powers being sucked in.
[02:33:56.337 --> 02:34:00.422]  Affecting all major nations on earth with the dead troops the economy.
[02:34:00.422 --> 02:34:14.777]  It's a world war and I've got the definitions There and he predicted it a year ago and the last six months really came out with you know the breakdown We're gonna be talking about the latest developments there and all the news we've got here about the military escalations including
[02:34:15.698 --> 02:34:23.945]  Our report that's up on Drudge Report about the biggest Marine Corps drill and now we're getting word the Army's involved ever on the East Coast in preparation.
[02:34:23.945 --> 02:34:29.510]  They're doing amphibious landing drills coming up here in the next week ahead of the Libya invasion.
[02:34:29.510 --> 02:34:34.835]  We have it confirmed from inside Fort Hood and other bases that more special forces are going in.
[02:34:36.076 --> 02:34:45.623]  In July, and then the ground force, the 3rd Corps under it, 1st Cav out of Fort Hood, going into Tripoli in late September, early October.
[02:34:45.623 --> 02:34:47.004]  So that's coming up in a moment.
[02:34:47.004 --> 02:34:49.686]  First, I want to tell you about a special.
[02:34:49.686 --> 02:34:53.109]  And this special ends in, what, two days?
[02:34:53.109 --> 02:34:53.329]  The 23rd?
[02:34:55.077 --> 02:34:57.398]  They only run specials like this once a year.
[02:34:57.398 --> 02:35:01.421]  You can buy three and get the fourth free of any of efoodsdirect.com.
[02:35:01.421 --> 02:35:03.862]  High quality, non-GMO, non-hybrid.
[02:35:03.862 --> 02:35:05.443]  They've got special diet foods.
[02:35:05.443 --> 02:35:07.164]  They've got gourmet.
[02:35:07.164 --> 02:35:08.965]  They've got raw foods.
[02:35:08.965 --> 02:35:10.146]  They've got everything.
[02:35:10.146 --> 02:35:12.107]  They've got a whole bunch of different food lines.
[02:35:12.107 --> 02:35:15.829]  And they've got the biggest production facility in the country.
[02:35:15.829 --> 02:35:20.211]  They can package, what is it, with the new factory they built, three million packages.
[02:35:20.211 --> 02:35:20.952]  I think you said a week?
[02:35:21.492 --> 02:35:23.053]  I mean, they're the big guys.
[02:35:23.053 --> 02:35:26.634]  You get discount, they're pro-patriot, highest quality.
[02:35:26.634 --> 02:35:28.375]  I bought a lot of storable food and didn't like it.
[02:35:28.375 --> 02:35:33.637]  Bought it from these guys, loved it, then approached them as a sponsor five years ago, so that's why they're here.
[02:35:33.637 --> 02:35:37.779]  And with all the crazy things happening in our world, you need to get efoodsdirect.com.
[02:35:37.779 --> 02:35:38.580]  Give them a call, 800-409-5633, 800-409-5633.
[02:35:38.580 --> 02:35:40.040]  Oh, and look here, I can't read.
[02:35:40.040 --> 02:35:40.380]  I'm sorry.
[02:35:40.380 --> 02:35:41.121]  Offer ends Wednesday, June 22nd.
[02:35:49.504 --> 02:35:55.907]  800-409-5633, or the letter E, foodsdirect.com, banners on infowars.com and prisonpanda.com.
[02:35:55.907 --> 02:36:01.089]  And you know because of commodity prices and food prices going up, they buy their food a year out.
[02:36:01.089 --> 02:36:02.789]  That doesn't mean they store it for a year.
[02:36:02.789 --> 02:36:10.052]  They buy contracts for, you know, next year's wheat crop, next year's corn crop, next year's soybean crop, next year's beet crop.
[02:36:10.712 --> 02:36:11.933]  And they're having to buy a year out.
[02:36:11.933 --> 02:36:17.518]  So the food they bought a year ago that just got harvested and now they're packaging, they're now having to buy out again.
[02:36:17.518 --> 02:36:18.839]  The prices have exploded.
[02:36:18.839 --> 02:36:19.719]  That's all over the news.
[02:36:19.719 --> 02:36:22.502]  Even though you're buying wholesale, it's going to go up.
[02:36:22.502 --> 02:36:26.545]  They've done their best job to keep prices low and have not raised prices since last year.
[02:36:26.545 --> 02:36:32.450]  But the rising cost of farmers and other suppliers has forced eFoodsDirect to raise the prices of some of their products beginning July 1st, 2001.
[02:36:32.450 --> 02:36:33.551]  So go to eFoodsDirect.com.
[02:36:33.551 --> 02:36:34.351]  Don't wait.
[02:36:34.351 --> 02:36:34.431]  800-409-5633.
[02:36:34.431 --> 02:36:34.551]  Okay.
[02:36:41.385 --> 02:36:42.725]  Some good things are happening.
[02:36:42.725 --> 02:36:49.808]  Even the Washington Post had to run the headline today, Obama's negation of hostilities in Libya draws criticism.
[02:36:49.808 --> 02:36:54.309]  The White House has officially declared that what's happening in Libya is not hostilities.
[02:36:54.309 --> 02:37:02.052]  That's like if I say I'm God and I walk up and shoot you five times in the head and say, Bob isn't dead on the ground with his head blown off.
[02:37:02.052 --> 02:37:08.714]  Meanwhile, you're on the ground, the whole top of your head's blown off, you're dead, there's a big pool of blood, and I say, he's not dead.
[02:37:08.714 --> 02:37:09.955]  This isn't war, it's kinetic.
[02:37:10.774 --> 02:37:23.583]  And it turns out, top military advisors, the top Pentagon lawyers, and by the way, they're now reporting throughout the week, even the New York Times says, the President's never gone against these lawyers.
[02:37:23.583 --> 02:37:31.929]  The lawyers have said, it's illegal, you gotta get congressional approval, it's a war, you're making a fool out of yourself saying it's not a war, Mr. Peace Prize winner.
[02:37:32.689 --> 02:37:35.492]  And they said, eh, let them eat cake.
[02:37:35.492 --> 02:37:36.553]  And so that's now happening.
[02:37:36.553 --> 02:37:41.158]  But the good news is, just a month ago, the Washington Post and others were agreeing it wasn't a war.
[02:37:41.158 --> 02:37:45.803]  They tried to sell us this manure and tell us that it was chocolate brownies.
[02:37:45.803 --> 02:37:47.045]  People didn't even take a bite.
[02:37:47.045 --> 02:37:49.207]  They smelled it and said, we know what that is.
[02:37:49.207 --> 02:37:54.192]  So the point is, they're losing even more credibility because their lies have gotten more brazen.
[02:37:54.873 --> 02:37:57.916]  Meanwhile, NATO loses contact with one of their drone choppers.
[02:37:57.916 --> 02:38:01.280]  It's so cowardly they don't even have troops in the helicopters.
[02:38:01.280 --> 02:38:03.682]  Huge marine drill confirms ground invasion of Libya.
[02:38:03.682 --> 02:38:06.184]  That's linked on DrudgeReport.com.
[02:38:06.184 --> 02:38:09.087]  From Infowars.com, Kurt Nimmo's report.
[02:38:09.087 --> 02:38:10.769]  Kinetic military action of war.
[02:38:10.769 --> 02:38:11.910]  Libyans are still dead.
[02:38:11.910 --> 02:38:14.333]  UN exploits Libyan refugees.
[02:38:14.333 --> 02:38:16.275]  Calls for taxing risked nations.
[02:38:16.275 --> 02:38:17.015]  Another scam.
[02:38:18.196 --> 02:38:24.419]  That's just some of the news we have, but to break it down, what he said a year ago, he said it's going to be war.
[02:38:24.419 --> 02:38:35.203]  When the economy implodes, when Europe starts going down, and he listed the countries in the order, we all thought it would be Portugal next, but now it's Italy imploding, but that was after Portugal.
[02:38:36.360 --> 02:38:37.601]  The point is, it's on.
[02:38:37.601 --> 02:38:42.904]  The Chinese are accelerating their dumping of T-bills, FT headline, Financial Times.
[02:38:42.904 --> 02:38:45.886]  Trades reveal China shifts from dollar.
[02:38:45.886 --> 02:38:49.408]  Joining us via video Skype is Gerald Salente.
[02:38:49.408 --> 02:38:50.349]  Always great to have him.
[02:38:50.349 --> 02:38:52.190]  You should subscribe to his great journal.
[02:38:52.190 --> 02:38:54.512]  Invaluable info at TrendsResearch.com.
[02:38:54.512 --> 02:38:56.153]  That's TrendsResearch.com.
[02:38:56.153 --> 02:38:58.534]  Gerald, thanks for coming on on short notice.
[02:38:58.534 --> 02:38:59.375]  Oh, always my pleasure.
[02:38:59.375 --> 02:39:00.075]  You know that, Alex.
[02:39:00.075 --> 02:39:01.877]  It was great having dinner with you in New York.
[02:39:02.637 --> 02:39:04.718]  Yeah, it was a lot of fun.
[02:39:04.718 --> 02:39:13.901]  Unfortunately, I'd been up for two days covering Bilderberg, because my guys were up, you know, at three o'clock in the morning my time, and hadn't had any sleep, so I'm sorry, I was like a zombie.
[02:39:13.901 --> 02:39:15.162]  No, no, it was a great night.
[02:39:15.162 --> 02:39:17.783]  It was fun to get together with everyone.
[02:39:17.783 --> 02:39:18.923]  It was awesome.
[02:39:18.923 --> 02:39:30.188]  Now that we've dispensed with the more enjoyable pleasantries, you've really called it accurately, so tell us what's going to unravel with this great world war that they're calling peace.
[02:39:31.448 --> 02:39:39.235]  What we're going to look, what we have to look at now is what's going on in Europe, particularly with Greece and Spain.
[02:39:39.235 --> 02:39:40.757]  The people are taking to the streets.
[02:39:40.757 --> 02:39:42.178]  They know the deal.
[02:39:42.178 --> 02:39:45.541]  That there's no change at the ballot box.
[02:39:45.541 --> 02:39:50.426]  If you go to the ballot box, there's a jack-in-the-box in there, just another political clown.
[02:39:50.426 --> 02:39:54.369]  So they're demanding real change they can believe in.
[02:39:54.369 --> 02:39:56.371]  So there's no outs in this.
[02:39:56.371 --> 02:39:57.152]  For example,
[02:39:57.512 --> 02:40:03.415]  You pick up the news and you see one day Greece is going to be bailed out, the next day they're not.
[02:40:03.415 --> 02:40:06.797]  Greece is only a small player with this.
[02:40:06.797 --> 02:40:08.778]  And what is the bailout?
[02:40:08.778 --> 02:40:17.483]  The bailout means you have a second mortgage, now they're going to give you a third mortgage, and the IMF is coming in to oversee the deal.
[02:40:17.483 --> 02:40:22.866]  All the IMF is, it's the International Mafia Federation.
[02:40:23.706 --> 02:40:27.028]  They're the loan sharks of last resort.
[02:40:27.028 --> 02:40:30.109]  You need the money, you go to the loan shark.
[02:40:30.109 --> 02:40:31.910]  Well, you know, they're respectable.
[02:40:31.910 --> 02:40:36.793]  You know, they have three names in their name, like Dominique Strauss-Kahn.
[02:40:36.793 --> 02:40:41.195]  And they loan you the money that they got from you in the bailout.
[02:40:41.195 --> 02:40:41.955]  That's a beautiful system.
[02:40:43.616 --> 02:40:44.217]  Oh, it is!
[02:40:44.217 --> 02:40:45.759]  And here's the deal.
[02:40:45.759 --> 02:40:50.125]  When they tell you, go tax the people, I want the money.
[02:40:50.125 --> 02:40:53.088]  You tax the people, you don't bring in enough money.
[02:40:53.088 --> 02:40:55.231]  Then they come up with another line.
[02:40:55.231 --> 02:40:58.195]  They say we have to privatize.
[02:40:58.195 --> 02:40:59.436]  Privatize?
[02:40:59.436 --> 02:41:00.818]  I want your bridge!
[02:41:01.659 --> 02:41:04.442]  I want your water supply.
[02:41:04.442 --> 02:41:06.905]  I want your toll road.
[02:41:06.905 --> 02:41:08.167]  Gabish!
[02:41:08.167 --> 02:41:09.508]  That's all it is.
[02:41:09.508 --> 02:41:10.870]  It's a mafia.
[02:41:10.870 --> 02:41:13.353]  They're shaking down these countries.
[02:41:13.353 --> 02:41:17.658]  And by the way, people should understand, that's what happened in Egypt.
[02:41:18.038 --> 02:41:20.939]  That set it up for what happened now.
[02:41:20.939 --> 02:41:34.805]  They sold the country out under, quote, privatization, which means taking valuable public resources and selling them to your criminal buddies for pennies on the dollar.
[02:41:34.805 --> 02:41:37.666]  So now it's imploding worldwide.
[02:41:37.666 --> 02:41:41.908]  As I said a year ago, follow the timeline.
[02:41:41.908 --> 02:41:46.790]  The crash of 29, the Great Depression, currency wars,
[02:41:47.970 --> 02:41:50.012]  Trade wars, real wars.
[02:41:50.012 --> 02:41:54.216]  The Panic of 08, the Great Recession slash Depression.
[02:41:54.216 --> 02:41:59.141]  Currency wars, trade wars, real wars.
[02:41:59.141 --> 02:42:08.790]  We heard public enemy number one today, Osama bin Bernanke, say he's considering more stimulus.
[02:42:08.790 --> 02:42:09.751]  Of course!
[02:42:09.751 --> 02:42:10.652]  Great!
[02:42:10.652 --> 02:42:12.794]  Devalue the dollar more!
[02:42:13.214 --> 02:42:16.897]  Drive the people deeper into the ground!
[02:42:16.897 --> 02:42:19.439]  Make them pay more for everything!
[02:42:19.439 --> 02:42:22.082]  Because the banks need the money.
[02:42:22.082 --> 02:42:24.944]  They have to keep the Ponzi scheme going.
[02:42:24.944 --> 02:42:26.946]  That's what stimulus is.
[02:42:26.946 --> 02:42:29.168]  Keeping the Ponzi scheme going.
[02:42:29.168 --> 02:42:31.069]  But it's all collapsing.
[02:42:31.069 --> 02:42:34.612]  And as I said, when it all collapses, they take you to war.
[02:42:35.560 --> 02:42:36.560]  Did you see the quote?
[02:42:36.560 --> 02:42:45.024]  I re-read it yesterday, a few months ago, with the Liberty Dollar that had been operating for 13 years, coining their own silver and gold.
[02:42:45.024 --> 02:42:49.065]  Even AP admitted that's totally legal, there's hundreds of companies that do it.
[02:42:49.065 --> 02:42:59.149]  But, because he criticized the Federal Reserve, they arrested him, had the federal jury, who convict people 98% of the time, that shows how fake they are.
[02:43:00.029 --> 02:43:12.714]  Convict him and then and then the US attorney on the FBI website said these people are terrorists We're gonna get anybody that's got gold and silver anybody that tries to undermine our financial system
[02:43:13.601 --> 02:43:39.963]  Here they are, the foreign banks have done this, the Goldman Sachs have done this, they're wrecking us, and then they're now blaming a company with gold and silver coins that never pretended to be government gold and silver, publicly criticizing it, saying, have alternative currencies, we got a whole bunch of states moving to do the same thing, and they're saying, your terrorists were coming after you, and now the Forex came out and said that the way they interpret the new laws,
[02:43:40.563 --> 02:43:48.436]  That by July 15th, private sale of gold and silver will be illegal, and the word is now the Feds are talking about trying to confiscate.
[02:43:48.436 --> 02:43:52.864]  I mean, these people, and I guess America will line up and say, because that's what happened in 1933.
[02:43:55.160 --> 02:44:09.606]  Okay, here's our gold and silver, give us devalued paper back and we'll line up and the cops will have machine guns and we'll just give it to them and then they'll publicly ship it to Goldman Sachs and Bank of America like they did in 1933.
[02:44:09.606 --> 02:44:12.848]  I mean, I can't believe the stuff they're doing, Gerald.
[02:44:13.649 --> 02:44:16.972]  Well, again, it was all predicted, all foreseeable.
[02:44:16.972 --> 02:44:22.238]  It's the biggest bank robbery in world history, and the banks are doing the robbing.
[02:44:22.238 --> 02:44:26.903]  And the only way this is going to change is to bring down the banks.
[02:44:26.903 --> 02:44:30.146]  And by the way, IMF is actually a verb.
[02:44:30.146 --> 02:44:30.486]  Like IMF'd?
[02:44:32.308 --> 02:44:35.649]  Or I am effed up by doing business with them?
[02:44:35.649 --> 02:44:37.390]  That's all it is!
[02:44:37.390 --> 02:44:42.251]  It's one big international mafia federation.
[02:44:42.251 --> 02:44:51.675]  They are robbing us in broad daylight, and the people are taking it, and that's what really discourages me the most.
[02:44:51.675 --> 02:44:56.016]  Because they're still looking for a political solution.
[02:44:56.016 --> 02:44:57.577]  There's no such thing.
[02:44:57.577 --> 02:44:59.417]  It's an oxymoron.
[02:44:59.417 --> 02:45:01.178]  There's no political solutions.
[02:45:03.015 --> 02:45:05.677]  Very well said, Gerald.
[02:45:05.677 --> 02:45:07.119]  But there are some good signs.
[02:45:07.119 --> 02:45:08.980]  I mean, Obama says these aren't wars.
[02:45:08.980 --> 02:45:14.205]  The mainstream media tries to play along with the emperor is wearing a beautiful outfit.
[02:45:14.205 --> 02:45:18.069]  And enough of us stood up like the little kid and said, hey, the emperor's naked.
[02:45:18.069 --> 02:45:21.372]  And now all of the media, they're going, yeah, Obama's a kook.
[02:45:21.952 --> 02:45:23.493]  Yeah, it is a war.
[02:45:23.493 --> 02:45:24.913]  He's super unpopular.
[02:45:24.913 --> 02:45:28.095]  Louis Farrakhan acted like he was the second coming.
[02:45:28.095 --> 02:45:30.556]  Now Farrakhan has called Obama a murderer.
[02:45:30.556 --> 02:45:40.801]  I mean, Obama's stock is going down really, really, I mean, as fast as horse and buggy whip stock went down when Henry Ford opened up his assembly line.
[02:45:41.656 --> 02:45:43.677]  Yes, but it's only temporary.
[02:45:43.677 --> 02:45:45.639]  It changes on a dime.
[02:45:45.639 --> 02:45:56.386]  Look at the Wimpocrats, those wiener liberals that aren't condemning Obama for what he's doing regarding the War Powers Act.
