[00:00:00.209 --> 00:00:01.469]  You've got it, brother.
[01:12:58.365 --> 01:13:03.528]  It's one thing if you're going to support carbon taxes like that swollen con artist Al Gore.
[01:13:03.528 --> 01:13:04.468]  That's one thing.
[01:13:04.468 --> 01:13:19.557]  But to have this entire Republican leadership being crammed down our throats supporting carbon taxes, NAFTA highways, forced inoculations, socialist health care, and I got to sit here and watch national radio host endorsing Mitt Romney?
[01:13:19.557 --> 01:13:21.638]  You people make me want to vomit!
[01:13:21.638 --> 01:13:24.539]  Your listeners are idiots!
[01:13:24.539 --> 01:13:25.740]  What is wrong with you?
[01:13:25.740 --> 01:13:27.101]  You said you found the clip?
[01:13:28.257 --> 01:13:33.302]  Here, here, here, here, here is Newt Gingrich with Nancy Pelosi.
[01:13:33.302 --> 01:13:38.067]  I said Hillary, another hag, but here it is.
[01:13:38.067 --> 01:13:39.028]  I will play it in a second.
[01:13:41.804 --> 01:13:43.286]  Ah, stupid YouTube's not working.
[01:13:58.843 --> 01:14:01.904]  We need cleaner forms of energy, and we need them fast.
[01:14:01.904 --> 01:14:06.385]  If enough of us demand action from our leaders, we can spark the innovation we need.
[01:14:06.385 --> 01:14:08.646]  Go to wecansolveit.org.
[01:14:08.646 --> 01:14:10.227]  Together, we can do this.
[01:14:21.297 --> 01:14:26.019]  Hi, we're political whores bought and paid for by mega banks that create money out of nothing.
[01:14:26.019 --> 01:14:34.862]  They own the oil companies, and together with the oil companies, they're lobbying to shut down all coal production because that's 50 plus percent of the power in North America.
[01:14:34.862 --> 01:14:42.165]  By doing that, it'll jack up overall use of oil and other power systems and increase our profits via artificial scarcity.
[01:14:42.165 --> 01:14:44.225]  Please let us cheat you and rob you.
[01:14:44.225 --> 01:14:45.106]  Here, let's go ahead.
[01:14:45.106 --> 01:14:48.067]  That's the guy they sent to fight Al Gore on global warming.
[01:14:49.093 --> 01:14:50.454]  Hey Alex, great honor to talk to you again.
[01:14:50.454 --> 01:14:56.096]  Hey, I got a point that'll help Ron Paul next time he gets cornered about Iran and why we need to start another war with him.
[01:15:09.645 --> 01:15:35.604]  He needs to bring that point up that when we are changed in front of Mike Huckabee and said if we allow Iran to have a nuke that it was reckless and all this kind of garbage, that Ron Paul needs to come back and say, well, it would be more reckless if we let, start a war with Iran, they mine the Straits of Hormuz, they knock out the refineries in Saudi Arabia and the delivery systems to the tankers, what kind of depression that'll start.
[01:15:35.604 --> 01:15:36.364]  Yeah, yeah, stay right there.
[01:15:36.364 --> 01:15:37.245]  I'm going to come back to you.
[01:15:37.245 --> 01:15:37.565]  Look, look.
[01:15:39.179 --> 01:15:40.400]  Iran is not Iraq.
[01:15:40.400 --> 01:15:43.102]  There's three times as many people.
[01:15:43.102 --> 01:15:44.283]  They already fought the U.S.
[01:15:44.283 --> 01:15:48.285]  through the Iraq proxy in the Iran-Iraq war, and over a million and a half of them died.
[01:15:48.285 --> 01:15:50.807]  They are going to go absolutely wild.
[01:15:50.807 --> 01:15:52.608]  And they've got inspectors in there.
[01:15:52.608 --> 01:15:54.189]  They've been running reactors for months.
[01:15:54.189 --> 01:15:55.811]  They can't make weapons fuel with it.
[01:15:56.846 --> 01:15:58.748]  It's just absolute baloney!
[01:15:58.748 --> 01:16:00.529]  They lied about WMDs in Iraq!
[01:16:00.529 --> 01:16:05.072]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:16:05.072 --> 01:16:09.416]  Number one, new climate legislation could easily double or triple your electric bill.
[01:16:09.416 --> 01:16:14.800]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:16:15.160 --> 01:16:15.880]  It's true.
[01:16:15.880 --> 01:16:21.582]  Total government control of electricity in the name of smart grid technology is coming.
[01:16:21.582 --> 01:16:25.184]  In some areas of the country, the power grid is dangerously overloaded.
[01:16:25.184 --> 01:16:29.886]  And now, new socialist legislation is only compounding the problem.
[01:16:29.886 --> 01:16:32.647]  Dangerous weather is always a threat to local grids.
[01:16:32.647 --> 01:16:35.988]  Every year, thousands of families lose their power from weather-related outages.
[01:16:36.328 --> 01:16:41.250]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[01:16:41.250 --> 01:16:46.311]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:16:46.311 --> 01:16:50.493]  You can get more information at www.mysolarbackup.com.
[01:16:50.493 --> 01:16:52.273]  That's mysolarbackup.com.
[01:16:52.273 --> 01:16:56.875]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:17:00.816 --> 01:17:07.478]  When you're out on the road, the last place you want to be is on the road.
[01:17:07.478 --> 01:17:12.620]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:17:12.620 --> 01:17:21.343]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[01:17:21.343 --> 01:17:25.405]  They sew pride in every stitch.
[01:17:25.405 --> 01:17:27.745]  Guarantee you'll love the way they fit.
[01:17:39.497 --> 01:17:41.638]  We turn jeans inside out.
[01:17:41.638 --> 01:17:43.420]  Diamond Gusset Jeans.
[01:17:43.420 --> 01:17:46.322]  Made in the USA with unparalleled quality.
[01:17:46.322 --> 01:17:50.545]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[01:17:50.545 --> 01:17:52.946]  So you can ride all day with confidence.
[01:17:52.946 --> 01:17:55.648]  Order yours at gusset.com.
[01:17:55.648 --> 01:17:57.229]  Diamond Gusset Jeans.
[01:17:57.229 --> 01:17:58.010]  Got it.
[01:17:58.010 --> 01:17:58.891]  Others don't.
[01:18:04.286 --> 01:18:05.547]  Tyranny is here.
[01:18:05.547 --> 01:18:09.490]  The grim future foretold in 1984 has become reality.
[01:18:09.490 --> 01:18:11.892]  It really says that the state is God.
[01:18:11.892 --> 01:18:17.597]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:18:17.597 --> 01:18:23.842]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[01:18:24.242 --> 01:18:30.226]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:18:30.226 --> 01:18:34.409]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[01:18:34.409 --> 01:18:38.692]  Prepare to enter the secretive world of emergency dictatorship.
[01:18:38.692 --> 01:18:44.657]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[01:18:44.657 --> 01:18:48.199]  It's only the beginning of the New World Order's hellish plan.
[01:18:48.199 --> 01:18:50.180]  The police state isn't coming.
[01:18:50.180 --> 01:18:50.621]  It's here.
[01:18:51.281 --> 01:18:59.989]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:18:59.989 --> 01:19:01.590]  Hello friends, Alex Jones here.
[01:19:01.590 --> 01:19:05.033]  You all know I've worked for years with Steve Shank and eFoods Direct.
[01:19:05.033 --> 01:19:07.615]  I have eFoods for my own emergency food supply.
[01:19:07.615 --> 01:19:10.678]  You know Steve, life is different now for all of us, isn't it?
[01:19:10.678 --> 01:19:11.479]  Very different.
[01:19:11.479 --> 01:19:14.982]  People are using this great food to survive the present hurricane season.
[01:19:15.282 --> 01:19:21.424]  And we've already had $40 billion worth of damage from floods, storms, quakes, and droughts.
[01:19:21.424 --> 01:19:23.645]  And that's just the first eight months of this year.
[01:19:23.645 --> 01:19:27.767]  Natural disasters are newsworthy, but only touch a few of us Americans.
[01:19:27.767 --> 01:19:31.428]  The huge issue of the Greatest Depression is on everyone's mind.
[01:19:31.428 --> 01:19:37.771]  The unemployment, the loss of homes, lost businesses, and skyrocketing food costs are hitting every American.
[01:19:37.771 --> 01:19:39.632]  So everyone needs food security.
[01:19:39.632 --> 01:19:43.353]  Folks, this month you will get free shipping on every food order from Eat Foods Direct.
[01:19:43.533 --> 01:19:46.754]  That's right, every order gets free shipping starting September 6th.
[01:19:46.754 --> 01:19:53.057]  Get stocked up with the best storable foods out there with eFoods Direct and be prepared for any emergency before it happens.
[01:19:53.057 --> 01:20:01.561]  To take advantage of this special, call 800-409-5633 or go to eFoodsDirect.com forward slash Alex.
[01:20:01.561 --> 01:20:03.081]  Coast to Coast.
[01:20:03.081 --> 01:20:05.122]  Direct from Austin.
[01:20:05.122 --> 01:20:08.343]  You're listening to the Alex Jones Broadcasting Network.
[01:20:16.428 --> 01:20:29.153]  You know, what's going on is there's a lot of people that think they're members of the establishment out there and they wear suits and they sit there in little stuff coats and try to talk real calm like an NPR propagandist.
[01:20:29.153 --> 01:20:30.294]  I'm getting angry.
[01:20:30.294 --> 01:20:31.494]  I'm getting motivated.
[01:20:31.494 --> 01:20:35.836]  I'm telling you how I really feel and what I intellectually really see.
[01:20:36.696 --> 01:20:51.166]  We got a bunch of foreign banks that have seized our government, that are butchering our constitution, that are setting up a police state to secure their ill-gotten gains, to raise all these new taxes and austerity, to pay them the money they've stolen, in derivatives.
[01:20:51.166 --> 01:20:52.847]  And I'm not putting up with it.
[01:20:52.847 --> 01:20:56.709]  And meanwhile, the government's always, oh, we're doing this to protect you from Al-Qaeda.
[01:20:56.709 --> 01:21:00.612]  I saw, they've got drone attacks all over North Africa to fight Al-Qaeda.
[01:21:01.567 --> 01:21:02.590]  Based out of Libya!
[01:21:02.590 --> 01:21:05.058]  They just put Al-Qaeda in control of Libya!
[01:21:05.058 --> 01:21:06.662]  They talk to you like you're an idiot!
[01:21:08.291 --> 01:21:16.673]  They give you people with voting records about as liberal as Bill Clinton, Mitt Romney, and Rick Perry and tell you they're great.
[01:21:16.673 --> 01:21:20.094]  And yes, then they sit there and say we've got to have war with Iran.
[01:21:20.094 --> 01:21:27.056]  When Ahmadinejad's about to be out of office, when the UN is in there, the reactors cannot produce weapons material.
[01:21:27.056 --> 01:21:28.296]  But so what?
[01:21:28.296 --> 01:21:30.237]  Dozens of countries have weapons.
[01:21:30.237 --> 01:21:31.377]  South Africa has nukes.
[01:21:31.377 --> 01:21:33.197]  We're going to attack them?
[01:21:33.197 --> 01:21:34.818]  The Russians had 10,000 nukes.
[01:21:34.818 --> 01:21:35.798]  We never had a war with them.
[01:21:36.258 --> 01:21:39.681]  Iran gets one nuke, they use them, they're a parking lot!
[01:21:39.681 --> 01:21:43.003]  What about somebody staging a nuke attack, though, to start World War III?
[01:21:43.003 --> 01:21:48.128]  To politically then get everybody to stand down and go along with the police state takeover.
[01:21:48.128 --> 01:21:50.089]  Did you ever think about that?
[01:21:50.089 --> 01:21:56.794]  Or is it too much fun to hate Ahmadinejad because he doesn't look like you?
[01:21:56.794 --> 01:21:58.075]  Dinejad, Dinejad.
[01:21:58.075 --> 01:22:00.758]  I'm having this Freudian weird foible.
[01:22:00.758 --> 01:22:02.219]  Is it Dinejad or Dinejad, Aaron?
[01:22:03.424 --> 01:22:06.707]  Dinejad, Achmed Dinejad, always said it right, let me again, Jeed.
[01:22:06.707 --> 01:22:08.388]  I'm gonna keep saying Jeed.
[01:22:08.388 --> 01:22:12.471]  Robert in Georgia, finish your point, we're gonna get a report from Aaron Dykes, then go on to more calls.
[01:22:12.471 --> 01:22:28.685]  Yeah, it's common sense when you think it through about, you know, Mike Cuckabee's comment about irresponsibility, allowing them to have a nuke, but if the tankers can't come to our country, they're sitting empty because the Saudi Arabia oil fields have been bombed out and the Strait Hormuz is mined.
[01:22:29.617 --> 01:22:34.668]  That, the fuel, the trucks won't be able to run to the grocery stores to restock that.
[01:22:34.668 --> 01:22:37.493]  People won't be able to fuel the cars to get to work.
[01:22:37.493 --> 01:22:40.159]  And so we're already teetering on, well we're already in a depression.
[01:22:40.646 --> 01:22:43.168]  But that'll cause absolute anarchy in this country.
[01:22:43.168 --> 01:22:50.575]  But the globalists would love that because then they can blame all the problems on Iran while the foreign banks gut the country.
[01:22:50.575 --> 01:22:53.558]  See, we think of our government as like this patriotic group.
[01:22:53.558 --> 01:23:04.629]  It's openly owned by offshore banks who are exempt from taxes and then have their heads like Buffett come out and call for raising taxes to get rich when he helped write the loopholes for himself.
[01:23:05.530 --> 01:23:07.031]  Yeah, but here's the deal.
[01:23:07.031 --> 01:23:17.617]  When Ron Paul gets cornered again, whether it's in a debate or some reporter, he needs to bring that point up that that would be far more reckless if we started a war with Iran.
[01:23:18.638 --> 01:23:24.280]  I don't know if somehow you could get that over to Ron Paul the next time they, you know, pull a dirty trick on you.
[01:23:24.280 --> 01:23:30.162]  Well, Ron Paul's going to do what Ron Paul's going to do, and he certainly played the nice guy, but now's the time to get aggressive.
[01:23:30.162 --> 01:23:31.182]  Robert, thank you.
[01:23:31.182 --> 01:23:34.163]  I'm going to talk to Aaron Dyches here for a few minutes.
[01:23:34.163 --> 01:23:35.384]  We're going to let his call go now.
[01:23:36.880 --> 01:23:37.620]  Robert, thank you.
[01:23:37.620 --> 01:23:44.303]  And then we're going to come back with Barry, TJ, Jim, Benjamin, Jerry, Will, Chase, Kathy, Brian, and others.
[01:23:44.303 --> 01:23:51.845]  Aaron Dykes, I appreciate you coming out on Sunday because I haven't talked to you since I sent you Thursday to cover the martial law drill there in Florida.
[01:23:51.845 --> 01:23:56.967]  Tell us exactly what you and Darren McBreen for InfoWars Nightly News witnessed out there.
[01:23:57.267 --> 01:24:03.288]  Well, we got back yesterday, Alex, and the exercise took place mostly on Friday, starting around 5 a.m.
[01:24:03.288 --> 01:24:06.209]  And they said they took more than 18 months putting this together.
[01:24:06.209 --> 01:24:10.910]  I never saw the full budget, but it was Homeland Security grants, so our money.
[01:24:10.910 --> 01:24:16.111]  And they were just frothing all around the city, shutting down everything, using all these facilities.
[01:24:16.111 --> 01:24:23.652]  And they had four public facilities where the media was sort of invited, but then they still freaked out and interrogated us at almost every location.
[01:24:24.232 --> 01:24:25.494]  Then they had... Well, you're the enemy.
[01:24:25.494 --> 01:24:26.436]  You're the American people.
[01:24:26.436 --> 01:24:27.718]  They work for foreign banks.
[01:24:27.718 --> 01:24:30.622]  Then they had other secret locations, including the sports stadium.
[01:24:30.622 --> 01:24:33.827]  And when we showed up there, they really got weird.
[01:24:33.827 --> 01:24:35.029]  And tell us why they got weird.
[01:24:35.029 --> 01:24:36.351]  They didn't want you seeing the children.
[01:24:37.037 --> 01:24:46.482]  Yeah, because they were doing a relocation drill, taking the children to the sports stadium, and you know, that would be from all the Denver public schools, and then have the parents pick them up afterwards.
[01:24:46.482 --> 01:24:50.725]  They did a FEMA drill, using fake parents to pick up some real children.
[01:24:50.725 --> 01:24:53.226]  And again, why is FEMA involved with people's kids?
[01:24:53.226 --> 01:24:59.469]  A. Saw how great they did with the Superdome in New Orleans, and B. We've got the documents a decade ago.
[01:24:59.469 --> 01:25:05.693]  This is just training for the cops to take political dissidents to sports stadiums, and to make the parents come turn their guns in to get their kids.
[01:25:05.973 --> 01:25:11.897]  Well, yeah, if you use the pretext that it's keeping them safe from a school shooter, then it sounds nice and happy to bring them to the stadium.
[01:25:11.897 --> 01:25:13.898]  But yeah, it could be anything.
[01:25:13.898 --> 01:25:18.561]  Well, we happen to know from the clergy response teams and others, it is about political dissonance.
[01:25:18.561 --> 01:25:22.624]  And when the parents come, you check their ID and, oh, we need to take you in for questioning.
[01:25:23.683 --> 01:25:24.504]  Disappear.
[01:25:24.504 --> 01:25:24.764]  Right.
[01:25:24.764 --> 01:25:35.190]  But when we tried to check out the story and find out what they meant by testing student teacher processing activities at Mile High Stadium, which has been renamed a few times over the years, they wouldn't let us in.
[01:25:35.190 --> 01:25:36.431]  They wouldn't tell us anything.
[01:25:36.431 --> 01:25:43.396]  And finally, after like an hour of waiting, finally, they sent out the Denver Police Victims Unit guy to talk to us.
[01:25:44.116 --> 01:25:47.517]  They're kind of like, oh, you stayed too long at the elementary school drill earlier.
[01:25:47.517 --> 01:25:48.617]  There's nothing to see here.
[01:25:48.617 --> 01:25:55.059]  But yes, it is our goal to bring all children to the sports stadium in this drill or any real event.
[01:25:55.059 --> 01:26:01.301]  Aaron, what did you think of the school you went to that had the first graders with cops aiming guns at them?
[01:26:02.208 --> 01:26:03.868]  It was surreal to say the least.
[01:26:03.868 --> 01:26:09.970]  I mean, of course, if there really was a school shooter, it makes sense to bring in the cops, but what are they really using the SWAT teams for?
[01:26:09.970 --> 01:26:13.090]  To knock out people's homes, growing gardens, and the rest of it, right?
[01:26:13.090 --> 01:26:22.032]  Well, in the old days, if there was a school shooter, the first cop in just ran in, drove his car up, jumped in, ran in, and shot the guy, like with the UT tower shooter.
[01:26:22.032 --> 01:26:23.293]  They didn't play games.
[01:26:23.293 --> 01:26:24.653]  Now, in every case, they wait like
[01:26:24.773 --> 01:26:24.893]  Yeah.
[01:26:45.231 --> 01:26:47.472]  Yeah, it's really sad, and they had all the tables turned.
[01:26:47.472 --> 01:26:51.553]  So yeah, it was a scenario where the shooter had been there for a while before the SWAT team showed up.
[01:26:51.553 --> 01:26:53.734]  By the way, I don't want to just make that statement, Aaron.
[01:26:53.734 --> 01:26:58.196]  I had the Rocky Mountain News reporter on about 10 years ago, or 9 years ago, about this.
[01:26:58.196 --> 01:27:00.756]  And it's now defunct, Rocky Mountain News.
[01:27:00.756 --> 01:27:02.137]  Second biggest paper in Colorado.
[01:27:03.445 --> 01:27:09.631]  There were court cases and lawsuits that came out in court that the SWAT teams actually shot some of the kids at Columbine.
[01:27:09.631 --> 01:27:12.734]  And there were other shooters inside, and 127 bombs.
[01:27:12.734 --> 01:27:15.216]  That's CBS News, so I'm not just saying that.
[01:27:15.216 --> 01:27:15.837]  Sorry Aaron, go ahead.
[01:27:16.587 --> 01:27:17.868]  Yeah, it's upsetting.
[01:27:17.868 --> 01:27:22.953]  But as far as the drill we witnessed on Friday, who was playing the terrorist?
[01:27:22.953 --> 01:27:25.235]  It looked like a returning veteran to me, Alex.
[01:27:25.235 --> 01:27:30.260]  He was in the fatigues with the shooter gloves and it didn't look like... Well, we have all the training manuals.
[01:27:30.260 --> 01:27:31.561]  It's always a returning veteran.
[01:27:31.561 --> 01:27:33.123]  Veterans are the number one threat.
[01:27:33.123 --> 01:27:34.104]  Homeland Security admits that.
[01:27:34.264 --> 01:27:46.932]  So everything Homeland Security's been warning about and propagandizing about for a year and a half or so, or probably longer, a year and a half that I'm directly aware of, they were playing out in one way or another in this drill that involved more than a hundred agencies.
[01:27:46.932 --> 01:27:57.560]  Well, when we got the documents three years ago from good cops sent to us, where they said gun owners, conservatives, returning veterans are the enemy of America, the Homeland Security came out and said, yeah, that is who we trained to fight.
[01:27:58.300 --> 01:27:59.741]  And they put Al Qaeda in Libya.
[01:27:59.741 --> 01:28:00.261]  They're good.
[01:28:00.261 --> 01:28:01.381]  Al Qaeda's good.
[01:28:01.381 --> 01:28:03.062]  But George Washington is bad.
[01:28:03.062 --> 01:28:06.924]  And I actually have FEMA saying George Washington is bad in my film Road to Tyranny.
[01:28:06.924 --> 01:28:10.525]  I have them training cops that George Washington is bad.
[01:28:10.525 --> 01:28:12.406]  And Ron Paul, by the way.
[01:28:12.406 --> 01:28:13.186]  Yeah.
[01:28:13.186 --> 01:28:15.547]  And this is not satire, if you're a new listener.
[01:28:15.547 --> 01:28:17.608]  These are foreign banks that are destroying America.
[01:28:17.608 --> 01:28:18.829]  Of course they hate real Americans.
[01:28:19.704 --> 01:28:33.030]  But while they're prepping all the security with the mobile vans and everything and the NFL pat-downs, is it any wonder they're doing scenarios with malls, with shopping centers, with sports... Well, they admit now TSA's is gonna be in those, so they gotta get you ready for the next stage event there.
[01:28:33.030 --> 01:28:34.751]  It's all a big rollout, Aaron.
[01:28:35.231 --> 01:28:38.032]  Yeah, and so we just saw a piece of that here on Friday.
[01:28:38.032 --> 01:28:42.554]  I know on InfoWars Nightly News, weeknight, 7 o'clock, we're going to have a big report for us tomorrow.
[01:28:42.554 --> 01:28:49.256]  More footage at 7 o'clock tomorrow Central, 8 o'clock Eastern, PrisonPlanet.tv or InfoWarsNews.com.
[01:28:49.256 --> 01:28:53.918]  I'm going to come back with more calls, then Luke Rodowski from the Wall Street demonstration arrest.
[01:28:53.918 --> 01:28:55.339]  Aaron Dykes, thanks for joining us.
[01:28:55.339 --> 01:28:56.359]  Thanks Alex.
[01:28:56.359 --> 01:28:56.879]  We'll be right back.
[01:29:00.698 --> 01:29:01.879]  A very wealthy U.S.
[01:29:01.879 --> 01:29:08.802]  citizen is predicting that in 2011, we will witness the most important day in America in more than 50 years.
[01:29:08.802 --> 01:29:11.363]  He says it will change everything about our lives.
[01:29:11.363 --> 01:29:16.746]  The way you shop, travel, invest, educate your children, and even how you take care of your health and your own family.
[01:29:16.746 --> 01:29:19.787]  Now this man has made some outrageous predictions over the years.
[01:29:19.787 --> 01:29:21.848]  The crazy part is, he's usually right.
[01:29:22.088 --> 01:29:28.352]  You see, he predicted the collapse of GM, Fannie Mae, Freddie Mac, and America's biggest mall owner, General Growth Properties.
[01:29:28.352 --> 01:29:31.714]  In fact, Barron's called his work a dire prophecy.
[01:29:31.714 --> 01:29:37.498]  Recently, he created a video, which you can watch online for free, detailing his biggest and most important prediction yet.
[01:29:37.498 --> 01:29:39.139]  And it's a real eye-opener.
[01:29:39.139 --> 01:29:40.440]  I can't stress this enough.
[01:29:40.440 --> 01:29:43.122]  You should at least watch this free video online today.
[01:29:43.122 --> 01:29:47.344]  He explains everything you need to know, including simple steps you can take to protect yourself.
[01:29:47.344 --> 01:29:49.926]  You can find the video at www dot
[01:29:50.126 --> 01:29:51.950]  End of America 3.com.
[01:29:51.950 --> 01:29:54.536]  That's End of America, the number 3.com.
[01:29:54.536 --> 01:29:58.426]  Watch the free video at www.EndOfAmerica3.com.
[01:29:58.426 --> 01:29:59.428]  That's EndOfAmerica3.com.
[01:30:01.727 --> 01:30:06.409]  Alex Jones here with vital information concerning our nation's fragile food supply.
[01:30:06.409 --> 01:30:12.853]  Folks, there are some truly dangerous trends forming, and I think it's important for my listeners to do three things right away.
[01:30:12.853 --> 01:30:15.114]  Number one, study the past.
[01:30:15.114 --> 01:30:17.515]  History really does repeat itself.
[01:30:17.515 --> 01:30:21.237]  Number two, learn to spot the dangerous food shortage trends.
[01:30:22.375 --> 01:30:25.459]  Number three, take decisive action.
[01:30:25.459 --> 01:30:29.303]  A perfect storm is brewing, or a global food crisis.
[01:30:29.303 --> 01:30:34.349]  That's why I'm telling everyone to read the new book, Rising Prices, Empty Shelves.
[01:30:34.349 --> 01:30:37.774]  Warning signs that trigger the deadliest famines in history.
[01:30:38.334 --> 01:30:41.757]  Don't get caught unprepared when the crisis hits.
[01:30:41.757 --> 01:30:46.261]  This book is only available at risingpricesemptyshelves.com.
[01:30:46.261 --> 01:30:51.185]  You'll also get a free copy of Supermarket Survival, How to Cut Your Grocery Bills in Half.
[01:30:51.185 --> 01:30:55.809]  Again, that website is risingpricesemptyshelves.com.
[01:30:55.809 --> 01:30:57.990]  That's risingpricesemptyshelves.com.
[01:31:01.340 --> 01:31:05.364]  Hundreds of nations have fallen to tyranny in the last century alone.
[01:31:05.364 --> 01:31:08.608]  This is our last chance to not relive history.
[01:31:08.608 --> 01:31:13.413]  As we're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[01:31:13.413 --> 01:31:19.820]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[01:31:19.820 --> 01:31:22.043]  I think it's incumbent upon all of us
[01:31:22.583 --> 01:31:22.883]  Tim Geithner?
[01:31:22.883 --> 01:31:23.383]  Bernanke?
[01:31:23.383 --> 01:31:24.063]  They're arsonists!
[01:31:24.063 --> 01:31:25.344]  They're asking for more matches!
[01:31:25.344 --> 01:31:27.584]  And the Congress is saying, who do we make the check out to?
[01:31:41.488 --> 01:31:43.609]  Today, it seems like nobody does care.
[01:31:43.609 --> 01:31:48.751]  And right now in Washington, D.C., we have seen a fall of the Republic.
[01:31:48.751 --> 01:31:57.854]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[01:32:01.820 --> 01:32:05.781]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:32:05.781 --> 01:32:14.643]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:32:14.643 --> 01:32:19.284]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:32:19.284 --> 01:32:30.086]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:32:30.726 --> 01:32:40.228]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless loyal silver with the Silver Lungs Generator.
[01:32:40.228 --> 01:32:45.670]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:32:45.670 --> 01:32:53.151]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:32:53.151 --> 01:32:55.552]  That's www.SilverLungs.com.
[01:33:01.570 --> 01:33:05.171]  Coast to Coast, direct from Austin.
[01:33:05.171 --> 01:33:08.812]  You're listening to the Alex Jones Broadcasting Network.
[01:33:08.812 --> 01:33:28.297]  You know, sometimes I have these shows
[01:33:30.487 --> 01:33:39.850]  In fact, it's Sunday more often than not that I get angry, petulant, and I don't think do a very good job, because I get in here and I read all this news before I go on air.
[01:33:39.850 --> 01:33:42.371]  And then I just get frustrated.
[01:33:42.371 --> 01:33:44.351]  Why does America have to be run like this?
[01:33:44.351 --> 01:33:57.636]  Why do we have to have hundreds of mainstream publications announcing global government, run by private banks, and still I've got to see national hosts make fun of me for talking about world government?
[01:33:57.636 --> 01:33:58.596]  I've had nightline here.
[01:33:59.662 --> 01:34:13.932]  I've had MSNBC here, all of them, Politico, New York Times, Rolling Stone, you name it, and I'll say, yeah, there's a world government, and they go, you really believe there's a world government being formed by private interest?
[01:34:13.932 --> 01:34:22.799]  And I'm like, here, let me show you 20 mainstream news articles calling for a global corporate government that's exactly what we said was coming, and show you documents proving it.
[01:34:23.419 --> 01:34:25.341]  And they just say, no, I don't want to see that.
[01:34:25.341 --> 01:34:26.962]  I'm here to interview you.
[01:34:26.962 --> 01:34:36.490]  See, they want to keep it like in this fantasy world, like, well, we choose to say there isn't one of these tyrannical governments forming, and you choose to say you believe it.
[01:34:36.490 --> 01:34:38.532]  I don't believe it.
[01:34:38.532 --> 01:34:39.393]  I know it.
[01:34:40.874 --> 01:34:48.906]  I don't believe every major vaccine manufacturer out there has been caught adding cancer viruses to vaccines on purpose.
[01:34:48.906 --> 01:34:56.557]  I am literally up to my eyeballs in documentation and did a whole news show Friday on it.
[01:34:57.861 --> 01:35:00.163]  That by the way is up on InfoWars.com.
[01:35:00.163 --> 01:35:10.532]  That section of InfoWars Nightly News is up there for everybody as most of the show ends up a day or two later ending up on InfoWars.com or PresentBeta.com of InfoWars Nightly News.
[01:35:10.532 --> 01:35:13.254]  It's shock cause of cancer revealed.
[01:35:13.254 --> 01:35:16.257]  You might want to go watch it.
[01:35:16.257 --> 01:35:18.679]  And again, I'm supposed to just calmly sit up here.
[01:35:20.322 --> 01:35:41.122]  When I have government and corporate and foundation documents where they admit they were going to do this to the population and then now they've done it and the cancer rates have tripled, I keep saying doubled, that's in the last decade or so, they've actually tripled since 1980 on average and I showed all those numbers and UN numbers and I mean they're killing us.
[01:35:41.863 --> 01:35:51.770]  And instead I'm supposed to just give money to some cancer treatment charity or shave my head and go jog for people with cancer, which is fine, but why not talk about why it's epidemic?
[01:35:51.770 --> 01:35:54.172]  Why little kids are dying everywhere from it?
[01:35:54.172 --> 01:36:02.698]  I'm supposed to just sit here and be calm and talk about how bad Obama is all day instead of how bad the entire system is.
[01:36:03.138 --> 01:36:04.840]  I want it to stop.
[01:36:04.840 --> 01:36:06.281]  I'm not a chump.
[01:36:06.281 --> 01:36:07.562]  I'm not a sucker.
[01:36:07.562 --> 01:36:09.023]  I'm not a schmuck.
[01:36:09.023 --> 01:36:10.304]  I'm not an idiot.
