[00:00:23.171 --> 00:00:24.232]  And we are back!
[01:06:59.093 --> 01:06:59.714]  We'll be right back.
[01:07:03.669 --> 01:07:10.091]  If you believe in this information and want to support its viral spread, go to the InfoWars store at InfoWars.com.
[01:07:10.371 --> 01:07:11.252]  We've got the new G.I.
[01:07:11.292 --> 01:07:13.232]  Joe InfoWars t-shirts.
[01:07:13.612 --> 01:07:19.715]  We've got the incredible ProPure gravity-fed filters available at InfoWars.com in the store.
[01:07:20.275 --> 01:07:24.636]  We've got a new DVD, Sinus Under Attack, the Don't Tread on Me flag.
[01:07:25.336 --> 01:07:29.298]  We've got all sorts of different bumper stickers to help spread the rebellion virally.
[01:07:29.958 --> 01:07:30.599]  It's all there.
[01:07:30.699 --> 01:07:31.299]  Wristbands.
[01:07:31.359 --> 01:07:32.340]  Citizen rule books.
[01:07:32.720 --> 01:07:33.461]  In every order.
[01:07:33.901 --> 01:07:36.624]  Order online at InfoWars.com today.
[01:07:36.884 --> 01:07:37.705]  The water filters.
[01:07:37.725 --> 01:07:38.545]  The canteens.
[01:07:39.226 --> 01:07:39.907]  It's all there.
[01:07:40.307 --> 01:07:41.588]  InfoWars.com.
[01:07:43.610 --> 01:07:44.771]  Dr. Ron Paul.
[01:07:45.131 --> 01:07:47.273]  More than 4,000 babies delivered.
[01:07:47.573 --> 01:07:48.494]  A man of faith.
[01:07:48.834 --> 01:07:50.456]  Committed to protecting life.
[01:07:51.121 --> 01:07:53.744]  Some people need to have a good word said about them.
[01:07:54.784 --> 01:07:58.488]  Ron is the sort of person that his life is his good word.
[01:07:58.708 --> 01:08:02.271]  You know, you just knew that Ron cared about you.
[01:08:02.692 --> 01:08:08.757]  Life begins at conception, in my opinion, and as a result, I love to go to a doctor who felt the same way.
[01:08:09.038 --> 01:08:15.764]  He not only protects unborn life, but he also walks through journeys with women, and he has for years.
[01:08:16.244 --> 01:08:18.666]  I love the fact that he hadn't changed in all these years.
[01:08:18.886 --> 01:08:21.667]  Ron's still the same guy, still saying the same things.
[01:08:22.148 --> 01:08:24.489]  And now, all these years later, still standing his ground.
[01:08:25.249 --> 01:08:27.611]  Ron did not let Washington change him.
[01:08:27.991 --> 01:08:34.175]  It's not hard for someone who is a Christian and who truly believes to stay on the right path.
[01:08:34.235 --> 01:08:36.576]  And I think that's what kind of person Ron Paul is.
[01:08:37.437 --> 01:08:40.278]  America has to have someone like Ron Paul today.
[01:08:40.358 --> 01:08:41.139]  There is no question.
[01:08:51.786 --> 01:08:52.306]  Welcome back.
[01:08:52.366 --> 01:08:55.947]  It's the final segment of InfoWars Nightly News.
[01:08:56.067 --> 01:09:06.250]  As we prepare to close out 2011 this week, we're going to be looking at the storm clouds gathering over the Middle East and over Persia.
[01:09:06.730 --> 01:09:07.891]  And they're in the Persian Gulf.
[01:09:09.611 --> 01:09:21.055]  A year ago, our experts on air, but also our sources inside the military, confirmed to us that the system was moving towards a green light for war with Iran.
[01:09:22.216 --> 01:09:25.518]  Now we see the head of the Joint Chiefs of Staff, top U.S.
[01:09:25.538 --> 01:09:29.101]  generals, Israeli leaders saying, the war is on.
[01:09:29.901 --> 01:09:36.046]  Iran gives up its nuclear program, whether you believe it's peaceful or not, or we're going to attack you.
[01:09:37.026 --> 01:09:47.134]  And Iran has responded by running drills that are still ongoing and threatening aircraft and ships in the area if they get near their waters to shut down the Strait of Hormuz that controls 40% of world oil supplies a day.
[01:09:49.639 --> 01:09:57.483]  Now, if you'd like to see oil prices double or even triple, and that's what would happen through a disruption, be for war.
[01:09:58.023 --> 01:10:09.790]  Now, I've seen people on InfoWars.com flooding us with spam on articles we've been posting and writing about this, saying, I'm a Christian, it's the end of the world, thank God, let's nuke them, let's start it.
[01:10:11.431 --> 01:10:15.293]  And I see a lot of Christian churches pushing this, and this is not what Christians would be promoting.
[01:10:16.069 --> 01:10:20.590]  And people accuse Iran and some Muslim sects of wanting to start the end of the world.
[01:10:21.610 --> 01:10:22.490]  This is insanity.
[01:10:23.370 --> 01:10:31.572]  Okay, mega central banks are imploding the world economy, including the Middle Eastern economy, and trying to set up a world government on its ashes.
[01:10:31.812 --> 01:10:32.592]  This is now public.
[01:10:33.072 --> 01:10:41.654]  So for all of you that laughed at us in the last decade, oh there's no world government, oh there's no mega banks, oh derivatives aren't bad, don't you look foolish now.
[01:10:43.012 --> 01:10:51.940]  But you feel like you're part of the establishment because you repeat and regurgitate everything that the paid for talking heads say to you every night.
[01:10:52.620 --> 01:10:59.667]  I'm not talking to our general listeners and patriots out there worldwide who understand human dignity and who are patriots for liberty and freedom.
[01:11:00.107 --> 01:11:04.491]  I'm talking to those of you out there who are the minority who still support this tyranny.
[01:11:05.392 --> 01:11:07.854]  And I'm talking to those that serve this system as well.
[01:11:09.724 --> 01:11:12.865]  You are destroying your future, your children's future, and our future.
[01:11:12.905 --> 01:11:14.906]  And we're now up to the wire on this.
[01:11:14.986 --> 01:11:17.047]  And you know, my dad is a smart guy.
[01:11:18.028 --> 01:11:20.289]  And over the years, he believes most of what I say.
[01:11:20.309 --> 01:11:22.810]  He researches it and finds out that it's true.
[01:11:23.790 --> 01:11:26.831]  But this weekend, I was over there for Christmas dinner with my family.
[01:11:26.872 --> 01:11:27.572]  We were outside.
[01:11:28.871 --> 01:11:29.171]  I think so.
[01:11:44.818 --> 01:11:48.541]  Libya, and how does the public not get upset?
[01:11:48.781 --> 01:11:50.242]  How does the military not get upset?
[01:11:50.282 --> 01:11:55.305]  I mean, he goes, I just read Brzezinski's book, where he brags that they created them.
[01:11:55.345 --> 01:11:56.086]  It's all true!
[01:11:56.806 --> 01:12:00.088]  And he was looking at me, really freaked out, and he said, my God, these people are madmen!
[01:12:00.108 --> 01:12:02.430]  And I'm like, yes, that's right, they're madmen!
[01:12:04.844 --> 01:12:07.406]  They say, give up your rights in America, or Al-Qaeda will get you.
[01:12:07.466 --> 01:12:09.268]  And then you use Al-Qaeda to take over countries.
[01:12:09.688 --> 01:12:13.611]  And now, the West supposedly pulls out of Iraq, and then Al-Qaeda strikes.
[01:12:14.152 --> 01:12:20.217]  With the very same Al-Qaeda group, are groups that the West admits their funding to attack Iran.
[01:12:21.438 --> 01:12:22.599]  I mean, it's incredible.
[01:12:23.900 --> 01:12:28.124]  The entire system knows they can't hide this anymore, so they don't.
[01:12:30.574 --> 01:12:31.935]  It is schizophrenic.
[01:12:32.355 --> 01:12:33.296]  It is crazy.
[01:12:33.756 --> 01:12:36.117]  It is unspeakable that we've come to this point.
[01:12:36.578 --> 01:12:41.020]  Now, I want to bring Patrick Hennigsen on, who is a reporter for Infowars.com.
[01:12:41.040 --> 01:12:41.920]  He's very brave as well.
[01:12:42.080 --> 01:12:45.242]  Just about a month ago, he said, look, I'll do it on my own dime, but I want to go to Syria.
[01:12:45.702 --> 01:12:46.183]  And I said, well, I...
[01:12:47.323 --> 01:12:48.424]  Please don't do that, Patrick.
[01:12:48.464 --> 01:12:49.244]  It's super dangerous.
[01:12:49.604 --> 01:12:55.566]  Tarpley has been there and reported for us, and was there where Western snipers were posing as Al Qaeda shooting people.
[01:12:55.886 --> 01:12:57.527]  I mean, it's nuts, but he is there in England.
[01:12:57.567 --> 01:13:02.749]  He talks to a lot of the reporters over there, and he does a lot of great work for Infowars.com.
[01:13:03.669 --> 01:13:12.852]  He also has 21stCenturyWired.com, which is his site, but he is reporting for us from England on this situation, and we're going to cover the waterfront.
[01:13:13.152 --> 01:13:22.095]  We'll also get into Ron Paul and some news breaking today that he's working on that Qatar is actually fighting the destabilization of the House of Saad.
[01:13:22.675 --> 01:13:25.276]  So we're going to discuss that all with him today.
[01:13:25.556 --> 01:13:29.617]  Patrick, I mean, things have never gotten more transparent than they have now.
[01:13:30.888 --> 01:13:34.829]  Yeah, this is the incredible thing about this point in history.
[01:13:35.149 --> 01:13:46.633]  It's also the thing that makes it difficult to sleep at night because you go to bed thinking, you know, all these, the clandestine movements over, it's all happening right in your face right now.
[01:13:46.973 --> 01:13:53.955]  And this is the thing, looking at Libya, a lot of people got a lot of confidence from the operation in Libya.
[01:13:54.815 --> 01:14:00.499]  Anybody that was allied with NATO, the NATO countries, and this is like a green light.
[01:14:00.519 --> 01:14:05.041]  This is a fantastic opportunity for those sort of opportunists.
[01:14:05.362 --> 01:14:10.525]  They can look at Libya and say, hey, you know, we don't have to make up anything about WMDs.
[01:14:10.945 --> 01:14:15.307]  We can just do this like straight in off of some kind of a flimsy UN resolution.
[01:14:15.648 --> 01:14:17.048]  And let's repeat this process.
[01:14:17.108 --> 01:14:17.709]  Even the British
[01:14:18.489 --> 01:14:24.251]  Foreign Secretary was kind of boasting saying, look at Libya, this is a great return on our investment.
[01:14:24.291 --> 01:14:29.852]  We spent X amount on the military operation and we're getting X amount back in contracts.
[01:14:30.192 --> 01:14:31.633]  What a fantastic success.
[01:14:32.053 --> 01:14:34.513]  Obviously, he caught a lot of criticism for that at the time.
[01:14:34.813 --> 01:14:39.415]  He's saying, look at this template, we can use this in Syria, we can repeat this in Iran.
[01:14:39.435 --> 01:14:43.456]  And actually, Webster Tarpley said this back in 2010.
[01:14:45.157 --> 01:14:45.537]  Thank you.
[01:15:00.026 --> 01:15:00.587]  Thank you.
[01:15:17.834 --> 01:15:19.415]  We're good to go.
[01:15:41.644 --> 01:15:47.207]  But Saudi Arabia is obviously tied or it's significant, it's second or first or whatever.
[01:15:47.627 --> 01:15:57.012]  But they produce oil, they control, have a lot of control and a lot of power in setting the price of oil with the other OPEC nations.
[01:15:57.612 --> 01:15:58.933]  But they still want some independence.
[01:15:58.993 --> 01:16:10.499]  Qatar has made it known to everybody that it will get completely right into bed with the United States with regards to any of their foreign intervention projects and who knows what else.
[01:16:12.628 --> 01:16:17.453]  And certainly we've seen the globalists stab their old ally Mubarak in the back in Egypt.
[01:16:18.233 --> 01:16:23.558]  And the word is that Saudi Arabia has been making now even public overtures to Pakistan and Russia.
[01:16:24.579 --> 01:16:26.721]  So they're trying to play a double game right now.
[01:16:28.803 --> 01:16:34.148]  But I mean, how long can this Anglo-American globalist combine get away with this?
[01:16:35.188 --> 01:16:37.650]  Well, this is a good question, Alex.
[01:16:37.730 --> 01:16:40.672]  You know how you sit around on Christmas?
[01:16:41.253 --> 01:16:42.373]  It's funny you ask that question.
[01:16:42.414 --> 01:16:44.195]  You sit around Christmas Day with the family.
[01:16:44.215 --> 01:16:46.276]  There's usually some interesting movies on.
[01:16:46.857 --> 01:16:51.961]  I watched a movie called The Fall of the Roman Empire with Alec Guinness, Christopher Plummer,
[01:16:52.721 --> 01:16:54.582]  And Sophia Loren, I think.
[01:16:54.682 --> 01:16:55.382]  That's right, Bobby.
[01:16:55.882 --> 01:17:01.344]  It's a great film, but it had some great quotes from the narrator towards the beginning and the end.
[01:17:01.745 --> 01:17:12.969]  He said, in every great empire, it will be something that falls, something that happens within the empire that will collapse it from within, within Rome, and not from any external enemies.
[01:17:14.207 --> 01:17:22.033]  And one of the things that made Rome, and the fall of Rome was a process as well, it wasn't an event that happened overnight.
[01:17:22.794 --> 01:17:24.735]  It probably took place over about 400 years.
[01:17:24.775 --> 01:17:33.562]  Yeah, it began with tyranny, overthrowing the Senate, and then things just degenerated and you saw the moral decline, the exact same thing that's been done here.
[01:17:34.454 --> 01:17:51.185]  Yeah, and then, you know, so you do see this kind of, you see the Caligula moral decline aspect with the United States, but also, most importantly, and this is probably, Ron Paul is a bit of a prophet, really, if you look at
[01:17:51.745 --> 01:17:53.666]  The rest of the political field.
[01:17:53.986 --> 01:18:02.169]  He's been the only one who has been talking about, and is still really the only one who is still talking about, the economic aspects of the empire.
[01:18:02.569 --> 01:18:09.812]  And the empire having to be able to stretch its borders, you know, globally now.
[01:18:10.292 --> 01:18:16.455]  And also the US has found a new way to co-opt future members of the Anglo-American
[01:18:17.811 --> 01:18:18.231]  We're good to go.
[01:18:35.004 --> 01:18:37.066]  But the message is clear.
[01:18:37.586 --> 01:18:51.718]  If you want to get into bed with the Anglo-American Empire, you may have a nice warm seat on the left side of the bed for a while, but sooner or later you will be kicked out of bed and kicked out of the house if you do fall out of favor.
[01:18:52.359 --> 01:18:54.981]  Well, that's because it really is a new type of tyranny.
[01:18:55.642 --> 01:18:56.522]  There have been many
[01:18:57.603 --> 01:19:04.472]  Systems that sought to dominate and just go ahead and exterminate the people that they'd conquered.
[01:19:05.033 --> 01:19:12.762]  But in this system, the scientific dictatorship in their own words, and I was just going over some documents earlier today on this, that are so shocking when you actually read it.
[01:19:13.223 --> 01:19:27.376]  Where they say, this is a UN and Planned Parenthood, we will destroy the family, we will put chemicals in the food and water to feminize the men, we will forcibly abort them, we will bring in tyranny and we will rout these people.
[01:19:27.776 --> 01:19:30.219]  And you realize it's an attack against humanity.
[01:19:30.359 --> 01:19:34.463]  It's a rewriting of what we were and are and our destiny.
[01:19:36.993 --> 01:19:43.475]  It's still keeping us around as kind of biological androids, but destroying any semblance of humanity.
[01:19:44.135 --> 01:19:57.218]  To not just have the White House science czar calling for stuff in the water, which we know they do engage in, but to have it in all these UN documents and things, and to know these little bastards have been doing it, and then to know that you can't even get mad at the general public.
[01:19:57.258 --> 01:19:59.039]  These are brain-damaged
[01:19:59.699 --> 01:20:08.325]  chemically attacked zombies and that the few of us that are really conscious and awake to this just had a higher resistance to it.
[01:20:08.665 --> 01:20:12.088]  I mean, this is beyond, we're living in a science fiction movie.
[01:20:13.700 --> 01:20:15.281]  It is completely science fiction.
[01:20:15.741 --> 01:20:37.948]  We're looking at a Twilight Zone scenario now where vitamin supplements and homeopathic remedies are being made to be licensed or illegal and where GM corn or Agent Orange, you know, they want to do an Agent Orange resistant, Monsanto, an Agent Orange resistant strain of GM corn.
[01:20:38.588 --> 01:20:49.255]  Okay, why on earth would you be wanting to produce such a creature and introduce it into the biosphere, unless you're planning on, someone's planning on using Agent Orange?
[01:20:50.475 --> 01:20:55.278]  I really, for the life of me, can't figure out why you would unban some of these horrible chemicals.
[01:20:55.318 --> 01:20:56.979]  Well, we talked to Dr. Doug Rocky.
[01:20:56.999 --> 01:20:57.880]  We need to get him back on.
[01:20:57.900 --> 01:21:02.483]  I know he's been ill, but he was the guy that wrote, you know, the DEU program for the Pentagon.
[01:21:03.223 --> 01:21:11.372]  And he was talking about released Agent Orange documents, where the cover was it was to kill plants, and it had that effect too.
[01:21:11.932 --> 01:21:24.365]  But they knew it was a dioxin-based chemical weapon they could get around treaties by saying it was a defoliant, but it also had this neurotoxic effect on all animals, not just plants.
[01:21:25.246 --> 01:21:40.134]  And a new big study came out today that we covered in the news where major prestigious scientific papers are coming out that all these major varieties are sterilizing people and attacking organs.
[01:21:40.254 --> 01:21:43.376]  I mean, again, words cannot describe.
[01:21:43.496 --> 01:21:46.657]  I get accused a lot of, oh, that couldn't be that bad, he's exaggerating.
[01:21:46.697 --> 01:21:47.278]  No, no, no, folks.
[01:21:47.678 --> 01:21:48.899]  The English language
[01:21:49.679 --> 01:21:50.600]  Cannot describe it.
[01:21:50.940 --> 01:21:56.664]  You know, I guess the movie The Matrix, they say one cannot be told about the Matrix, one must see it.
[01:21:57.245 --> 01:21:59.387]  One cannot be told about the New World Order, folks.
[01:21:59.407 --> 01:22:01.568]  You just got to wake up and look into it for yourself.
[01:22:01.588 --> 01:22:02.289]  You're going to find out.
[01:22:02.609 --> 01:22:12.577]  I mean, how do I have 500 documents, you know, that I've read and researched and then, you know, of how they're doing this to us and then just try to mention a few and people go, oh, that's not true.
[01:22:12.837 --> 01:22:13.518]  I'm sorry, Patrick.
[01:22:13.538 --> 01:22:13.798]  Go ahead.
[01:22:14.642 --> 01:22:19.387]  No, if you want to break, you know, I've got skeptics that I have to deal with in my life as well.
[01:22:19.467 --> 01:22:32.181]  They're people in my family, they're my friends, they're my work colleagues that don't really want to believe that these things can be happening or that someone who would have done something by now if what you're saying is true.
[01:22:32.561 --> 01:22:35.605]  Really, let's break it down to a really simple equation.
[01:22:36.005 --> 01:22:42.809]  Look at fluoride, depleted uranium, all number of toxic, banned, or chemical weapons.
[01:22:43.089 --> 01:22:52.394]  Most of these things, if you look back and you look at the history, you check the genealogy of all these evil things, they were waste byproducts.
[01:22:53.634 --> 01:22:57.376]  And they were discovered within the post-manufacturing process, okay?
[01:22:57.756 --> 01:23:02.519]  Certainly with the aluminium industry, I believe, created fluoride.
[01:23:03.019 --> 01:23:19.225]  Okay, so and then you have nuclear waste, then you have depleted uranium, and this is constant recycling and to make new and more weird uranium coatings and things like that, you can even recycle the recycled nuclear waste, okay?
[01:23:20.057 --> 01:23:23.258]  It's cheaper for them to recycle it and sell it to somebody.
[01:23:23.558 --> 01:23:32.041]  It's cheaper for them to dump the fluoride, find out a way to make people buy it, dump it into the water supply, and everyone makes money out of it.
[01:23:32.402 --> 01:23:34.442]  Or pesticides, the same thing.
[01:23:35.263 --> 01:23:42.185]  I wonder which came first, the evil pesticide or the evil killer seed.
[01:23:42.205 --> 01:23:43.906]  It was probably the evil pesticide.
[01:23:44.126 --> 01:23:49.188]  Well, it was Monsanto was Mr. Pesticide, and so of course they came out with poison food.
[01:23:50.222 --> 01:23:55.786]  Yeah, so there's a market for rubbish, toxic rubbish, and really it's devalued.
[01:23:55.806 --> 01:24:04.972]  Yeah, as long as they market it, and then as long as it's poison garbage, people are, it's like, oh my, I mean, it's like these drug ads where, are you got restless feet?
[01:24:05.012 --> 01:24:07.334]  They're kicking around a little bit at night, just some made up BS.
[01:24:07.774 --> 01:24:16.300]  Okay, well take this, it may make you, in the ad, we have to dig that ad up, a compulsive gambler and go crazy, you know, it lists all these, and it's like,
[01:24:16.900 --> 01:24:17.982]  You know, got trouble?
[01:24:18.042 --> 01:24:18.643]  Got a headache?
[01:24:18.663 --> 01:24:20.006]  Well, shoot yourself in the head!
[01:24:20.026 --> 01:24:21.990]  You know, your finger hurts?
[01:24:22.050 --> 01:24:23.452]  Chop it off with a meat cleaver!
[01:24:23.773 --> 01:24:27.840]  I mean, it's like you watch it and it's like absurdist Twilight Zone.
[01:24:27.880 --> 01:24:28.722]  It's like you said, it's...
[01:24:30.134 --> 01:24:37.180]  Well, you know, you go out to the farmer out in Iowa, or you go to the farmer out in Nebraska, you know, and there's a guy from the chemical company.
[01:24:37.580 --> 01:24:38.041]  He's good.
[01:24:38.121 --> 01:24:38.901]  I knew his son.
[01:24:38.941 --> 01:24:40.743]  He also worked this part of the state.
[01:24:41.403 --> 01:24:58.898]  We've had an account with them, and they're good people, and they're selling us these chemical pesticides, and I know the Monsanto people, and they're good people, too, and I'm sure they are, and I'm sure that a lot of people that work in Monsanto have no bloody idea about any of the genetically modified
[01:24:59.378 --> 01:25:01.879]  Properties of some of the products they're doing.
[01:25:01.899 --> 01:25:04.499]  But you know, this is 2012 now.
[01:25:04.819 --> 01:25:08.220]  I don't think anybody has an excuse to be ignorant anymore.
[01:25:08.580 --> 01:25:12.421]  And this is the big thrust of the message in the information war.
[01:25:12.781 --> 01:25:14.481]  You cannot claim ignorance anymore.
[01:25:14.821 --> 01:25:16.081]  The information is out there.
[01:25:16.322 --> 01:25:17.582]  Let's take advantage of it.
[01:25:17.982 --> 01:25:19.622]  It might not be out there forever.
[01:25:19.982 --> 01:25:22.163]  This free internet could be a phenomenon.
[01:25:22.203 --> 01:25:28.004]  This could be a flamboyant period in 21st century technology where they actually let us
[01:25:28.944 --> 01:25:32.246]  Put our websites up and choose our domain names and so forth.
[01:25:32.467 --> 01:25:34.068]  We don't know how long it's going to be here for.
[01:25:34.308 --> 01:25:35.829]  We need to take advantage of it now.
[01:25:36.169 --> 01:25:39.411]  And anybody who's not taking advantage of it, you want to encourage them to do so.
[01:25:39.871 --> 01:25:42.393]  We want to be downloading information.
[01:25:42.793 --> 01:25:45.815]  Everyone should be writing e-books, should be publishing things.
[01:25:46.275 --> 01:25:50.718]  And so this is a bit of the revolution that we are experiencing, the digital revolution.
[01:25:51.118 --> 01:25:54.240]  But, you know, the evil is out there.
[01:25:55.461 --> 01:25:56.622]  You have an ability to see
[01:25:57.362 --> 01:26:00.144]  And no evil, you know, to be able to see it.
[01:26:00.224 --> 01:26:12.252]  You can see it in the dealings of men, you can see it in the dealings of politicians, in big businesses, in the banks, in the predatory usury system of banking.
[01:26:12.652 --> 01:26:15.614]  There's no excuse not to be able to see this.
[01:26:15.634 --> 01:26:20.957]  And a lot of Christians don't want to believe, still don't want to believe that there's such a thing as Satan, believe it or not.
[01:26:21.158 --> 01:26:24.720]  You know, if you did a poll, a lot of them actually don't believe in the devil.
[01:26:25.365 --> 01:26:27.466]  They believe in God, but they don't believe in the devil.
[01:26:27.666 --> 01:26:29.446]  So, these are the times we're living in, Alex.
[01:26:31.167 --> 01:26:36.789]  Well, you're right, and very articulate what you pointed out there.
[01:26:37.489 --> 01:26:50.473]  The system called it a World Wide Web, because the real name is World Wide Wiretap, and DARPA and the Pentagon, on record, said in the 60s and 70s, they designed what is now the Internet
[01:26:51.678 --> 01:27:04.825]  As a system of control to be jacked into everything, be wired into everything, and track everything we do, so they could have predictive programs to basically, with statistical analysis, predict the future.
[01:27:05.326 --> 01:27:12.330]  And I've talked about this for many years now, and even in the Wall Street Journal they admit that Google and all of this is a government crystal ball.
[01:27:13.110 --> 01:27:14.772]  And again, it doesn't actually see the future.
[01:27:14.832 --> 01:27:21.981]  It's just with enough human activities integrated in, they can war game it out statistically and come up 99% of the time, they say.
[01:27:22.021 --> 01:27:23.082]  I'm sure it's even more advanced.
[01:27:23.363 --> 01:27:24.845]  They always tell us about the old technology.
[01:27:25.205 --> 01:27:32.033]  Mass movements, and 93 to 96%, they can predict when you're going to pull over at a steakhouse
[01:27:32.734 --> 01:27:38.415]  Because they already know with the computer that there's a steakhouse up here, and they know about your previous decisions, time actuaries.
[01:27:38.435 --> 01:27:42.856]  The point is, is that this is playing God, but it's still just men running it.
[01:27:43.517 --> 01:27:50.738]  And that's probably why we're in so much danger, because they have this hubris, and of course pride goes before a fall.
[01:27:51.618 --> 01:27:54.179]  It's so dangerous, and we are in such a critical juncture.
[01:27:54.579 --> 01:28:01.821]  So they believed that they would use the internet, and it didn't matter if we had voices, because they would just call us conspiracy theorists and discredit us.
[01:28:02.461 --> 01:28:13.767]  But because so many of us did use the system, they're now saying, as Jay Rockefeller said, who's now the head of that dynasty, one of the most powerful men on earth, he said, we would have been better off without this, and it's time to start shutting the damn thing off.
[01:28:14.148 --> 01:28:15.408]  You can pull those quotes up, folks.
[01:28:16.769 --> 01:28:18.110]  And so now they're moving.
[01:28:18.630 --> 01:28:19.110]  We're good.
[01:28:38.132 --> 01:28:40.115]  Systems where they use copyright to shut you down.
[01:28:40.435 --> 01:28:46.864]  The 80 inventors of the Internet, as you know, two weeks ago went public and said this is the end of the Internet, an authoritarian takeover.
[01:28:47.124 --> 01:28:48.907]  It sounded like Patrick Henningsen or Alex Jones.
[01:28:48.927 --> 01:28:50.729]  So as you said, the denial's over.
[01:28:51.089 --> 01:28:52.171]  People, you better
[01:28:53.092 --> 01:28:56.394]  Appreciate Infowars Nightly News and Patrick Henson's articles.
[01:28:56.694 --> 01:29:01.297]  It doesn't mean we're the best or have all the answers or coach and have teleprompters and info babes.
[01:29:01.557 --> 01:29:04.458]  We're regular people who can see what the globalists have said.
[01:29:04.478 --> 01:29:10.121]  You know, that's what's frustrating for me, Patrick, and I want you to close commenting on this, is that it's all written down.
[01:29:10.682 --> 01:29:12.503]  These people think we're so stupid.
[01:29:13.223 --> 01:29:18.424]  That they publicly write books, Brzezinski, about how they use Al-Qaeda and how they work for them.
[01:29:19.084 --> 01:29:21.765]  And they publicly brag how they're jacking with our water.
[01:29:22.225 --> 01:29:28.647]  And they brag about how they're stealing our pension funds and how they've set up financial pyramid schemes that are meant to rob us.
[01:29:29.227 --> 01:29:33.028]  And it's just all there, and we're here saying to the public, hey, did you see this?
[01:29:33.068 --> 01:29:33.588]  Did you see this?
[01:29:33.968 --> 01:29:41.210]  And now the public's actually listening, so the system's racing to start World War III, racing to shut down the web, racing to demonize Ron Paul.
[01:29:41.230 --> 01:29:42.230]  What I'm worried about is
[01:29:43.303 --> 01:29:47.285]  Is that they're going to lose control and then just go ahead and start an even bigger war.
[01:29:47.325 --> 01:29:51.847]  You know, we need him to lose control and kind of collapse like the old Soviet Union or something.
[01:29:52.147 --> 01:29:54.027]  But instead, I mean, look at Ron Paul.
[01:29:54.047 --> 01:29:56.749]  They've tried to demonize him, so he's gotten a boost in the polls from it.
[01:29:57.189 --> 01:29:59.910]  I mean, they're starting to figure out they're out of bullets.
[01:30:00.190 --> 01:30:02.031]  That's why they want to shut the web down and stuff.
[01:30:03.131 --> 01:30:05.252]  I'm kind of ranting here, but you hear of the gestalt.
[01:30:05.492 --> 01:30:09.414]  You've got the floor for three or four minutes to give us your comments on the big picture.
[01:30:10.134 --> 01:30:10.374]  Sure.
[01:30:10.954 --> 01:30:14.176]  You know, this is exactly what you're talking about.
[01:30:14.997 --> 01:30:26.122]  When I was on, Al Jazeera asked me to come on, and they did a program called Empire, and they asked me to come on and give my opinion about what a war game attack on Iran would look like.
[01:30:26.522 --> 01:30:33.286]  And I told the producer beforehand, I said, look, I'm going to tell you straight up, I think this is a, it'll be a disaster.
[01:30:33.306 --> 01:30:37.508]  I don't know if that's what you're looking for for this program, but I'm going to give you my honest opinion.
[01:30:37.970 --> 01:30:39.393]  That's going to be an absolute disaster.
[01:30:39.694 --> 01:30:45.045]  And I told them, I said to them, I said, the best laid plans of mice and men...
[01:30:45.726 --> 01:30:50.270]  Don't always come to fruition, and that chaos theory can be introduced here.
[01:30:50.310 --> 01:30:53.032]  This is uncharted territory for the US.
[01:30:53.212 --> 01:31:00.118]  They've never fought anybody since Second World War that actually fought back, if you really look at history.
[01:31:00.718 --> 01:31:05.002]  It's been rigged kind of military adventures, okay?
[01:31:05.963 --> 01:31:09.005]  So, there's the chaos theory that comes into play.
[01:31:09.425 --> 01:31:12.448]  Certainly with the Internet, you're actually hitting a nail on the head.
[01:31:13.209 --> 01:31:16.772]  I used to work in the city of London way, way back.
[01:31:17.473 --> 01:31:20.156]  I used to work in the hospitality side back in the 90s.
[01:31:20.637 --> 01:31:23.440]  And when the internet first came on the scene, I was
[01:31:24.215 --> 01:31:32.297]  He's dropping director's lunches at Credit Suisse vs. Boston and also in the Lord Mayor's mansion house.
[01:31:32.717 --> 01:31:41.038]  And these old guys who were captains of industry during the Margaret Thatcher and the John Major years, they were saying, Internet, oh, this is just a fad.
[01:31:41.458 --> 01:31:42.619]  What is with this Internet?
[01:31:42.639 --> 01:31:43.699]  You saw an email.
[01:31:44.339 --> 01:31:45.659]  My secretary does emails.
[01:31:46.119 --> 01:31:50.000]  And this was in 1997, 98, OK?
[01:31:50.500 --> 01:31:53.941]  Really, the elite had no idea the Internet would take off the way it did.
[01:31:54.617 --> 01:31:59.560]  So, now that we've got a hold of it, people need to maximize it to its absolute maximum.
[01:31:59.840 --> 01:32:04.642]  Because they did not count on chaos theory coming into the equation.
[01:32:04.902 --> 01:32:06.003]  You can't calculate it.
[01:32:06.763 --> 01:32:10.345]  The physicists, the greatest physicists can't even calculate it.
[01:32:10.625 --> 01:32:12.126]  All they know is they know it's there.
[01:32:12.904 --> 01:32:15.046]  They know it's there, and it will play a crucial role.
[01:32:15.066 --> 01:32:15.366]  You're right.
[01:32:15.406 --> 01:32:20.511]  They can only map things that they've gone over thousands of times in normal human activity.
[01:32:20.531 --> 01:32:29.340]  When they enter these new paradigms with new technologies, and it is a bunch of old, crazy, wicked men who are not in control.
[01:32:29.420 --> 01:32:35.786]  They think they are, and the more people wake up to them, the more they're trying to exercise their tyranny.
[01:32:36.767 --> 01:32:37.948]  I just see disaster.
[01:32:39.099 --> 01:32:44.483]  Yeah, well, you know, if one wrong move on the part of some psychopath in the U.S.
