[00:00:00.229 --> 00:00:01.550]  ...storable food can be.
[01:07:55.296 --> 01:08:00.580]  I mean, there's all these new... They got a franchise tax in Texas.
[01:08:00.580 --> 01:08:05.963]  It's really a business tax, like an income tax on businesses.
[01:08:05.963 --> 01:08:07.204]  Oh, the crooks!
[01:08:07.204 --> 01:08:09.706]  And again, the politicians aren't getting hardly any of the money.
[01:08:09.706 --> 01:08:11.407]  It's incredible how cheaply they're bought.
[01:08:12.754 --> 01:08:14.255]  It's the foreign brokerage firms.
[01:08:14.255 --> 01:08:17.657]  That's where your tax money is invested.
[01:08:17.657 --> 01:08:20.039]  60 plus percent of it off books.
[01:08:20.039 --> 01:08:23.881]  Alright, going back to Mark in Florida.
[01:08:23.881 --> 01:08:28.104]  Mark, you were saying you don't understand how to read... Who was I talking to last?
[01:08:28.104 --> 01:08:31.266]  Was it Mark or was it... Okay, it was Mark in Florida.
[01:08:31.266 --> 01:08:33.688]  Mark, you were saying... I mean, I don't understand your question.
[01:08:33.688 --> 01:08:36.430]  What do you mean you don't know how to read government documents?
[01:08:37.805 --> 01:08:48.092]  Well, what I was saying was that a lot of times I miss the real point.
[01:08:48.092 --> 01:08:50.934]  I don't pull out of it.
[01:08:50.934 --> 01:09:04.703]  Like right now I'm reading that Kissinger document from 1970, I think it's Defense Policy 200, and it just seems like they're trying to be nice and control the population so that people don't starve, that kind of thing.
[01:09:04.703 --> 01:09:07.165]  You're reading State Department Memorandum 200?
[01:09:08.194 --> 01:09:09.876]  Yeah, the big, the one.
[01:09:09.876 --> 01:09:15.280]  Now, I haven't gotten that far in it, but I've just been, I've been, you know, I'm just trying to try it out to see what I see.
[01:09:15.280 --> 01:09:21.086]  Yeah, the quickest way to do that is to Google the name of it and people have called out the key parts.
[01:09:21.086 --> 01:09:23.448]  Then you go check and make sure those parts are there.
[01:09:23.448 --> 01:09:25.810]  But, you know, they talk about U.S.
[01:09:25.810 --> 01:09:29.934]  policy being a reduction of the third world by 50%.
[01:09:29.934 --> 01:09:31.655]  They talk about using food as a weapon.
[01:09:31.655 --> 01:09:33.557]  They talk about using IMF and World Bank loans.
[01:09:33.939 --> 01:09:36.500]  Well, a lot of people have already done the work for you.
[01:10:05.363 --> 01:10:06.463]  Like check out U.S.
[01:10:06.463 --> 01:10:17.588]  Code Title 50 Chapter 32 Subsection 1520A Paragraph B. Is that the one where they... I think I looked at that watch because I heard you give that.
[01:10:17.588 --> 01:10:20.050]  Go ahead and tell everybody because you'd say it better than me.
[01:10:20.050 --> 01:10:20.510]  Well no, no.
[01:10:20.510 --> 01:10:22.431]  I mean if you look at things like U.S.
[01:10:22.431 --> 01:10:24.592]  Code Title 50 Chapter 32 Subsection 1520A Paragraph B
[01:10:28.396 --> 01:10:32.138]  You know, it states, oh, you know, the whole header in the U.S.
[01:10:32.138 --> 01:10:38.382]  Code says you're not allowed to do secret chemical, biological, radiological testing on the American people.
[01:10:38.382 --> 01:10:45.406]  And then it says in that section, unless it's for research, and then you can do whatever you want, including lethal.
[01:10:45.406 --> 01:10:47.367]  I mean, it's just incredible.
[01:10:47.367 --> 01:10:50.249]  You know, I... Listen, sir, how do you think... It's incredible.
[01:10:50.249 --> 01:10:54.451]  Why do you think in the 40s, 50s, 60s, 70s, 80s, they would march U.S.
[01:10:54.451 --> 01:10:56.993]  troops into chambers and murder them?
[01:10:56.993 --> 01:10:57.693]  Our own government.
[01:10:58.647 --> 01:11:05.030]  So, before the scientists would murder our troops, they had to have a go-ahead to do it.
[01:11:05.030 --> 01:11:06.590]  And so they gave them U.S.
[01:11:06.590 --> 01:11:11.533]  Code and the sub-chapters we just talked about.
[01:11:11.533 --> 01:11:17.475]  And you can read that at any government site or law university site.
[01:11:17.475 --> 01:11:20.156]  And, I mean, that's, we've, they play God.
[01:11:20.156 --> 01:11:22.817]  They see us as animals.
[01:11:22.817 --> 01:11:24.438]  Of course they carried out 9-11.
[01:11:24.438 --> 01:11:26.279]  They've murdered thousands of our own troops.
[01:11:26.914 --> 01:11:27.514]  How's it going?
[01:11:27.514 --> 01:11:31.116]  Alex, I just want to start out by letting you know I'm a big fan of yours.
[01:11:48.806 --> 01:12:05.134]  Listen, my quick question is, I recently heard you talking about how the central banks are going to be cutting off liquidity to the real market and the population of the world, and they're kind of conduiting all the fiat money to themselves while there's still value left.
[01:12:05.134 --> 01:12:11.537]  They're buying up real assets while they'll advertise, oh, we made a $100 million investment for old people or something.
[01:12:11.537 --> 01:12:18.141]  That is a pittance compared to the tens of trillions they've stolen, and then they're leveraging those trillions in the market.
[01:12:18.141 --> 01:12:18.341]  Right.
[01:12:19.122 --> 01:12:36.836]  Right, I guess you've probably discussed this before, but like I said, I recently started listening, and I apologize if this has been discussed, but as individuals, let's just say the fortunate of us that do have a bank account that aren't in any debt right now, what can we, I mean, really, what do I need to be doing right now
[01:12:37.472 --> 01:12:38.273]  Well, I want to be clear here.
[01:12:38.273 --> 01:12:43.957]  You know, they had the system in place for total martial law, the executive orders, the PDDs, the training, the FEMA camps in the late 90s.
[01:12:43.957 --> 01:12:47.419]  And so people got upset then and said, this could happen any time.
[01:13:06.576 --> 01:13:09.877]  The head of the country has been under the guillotine for decades.
[01:13:09.877 --> 01:13:18.339]  Now it just looks like, you know, before the executioner was standing upright smoking a pipe, now he's got his hand on the lever.
[01:13:18.339 --> 01:13:19.799]  And we're going, he may pull it!
[01:13:19.799 --> 01:13:20.760]  He may pull it!
[01:13:20.760 --> 01:13:21.440]  He may pull it!
[01:13:21.440 --> 01:13:24.100]  You know, I don't know if all of this is going to happen.
[01:13:24.100 --> 01:13:26.621]  All I know is they've built underground bunkers.
[01:13:26.621 --> 01:13:28.762]  They've hoarded food and water and weapons.
[01:13:30.560 --> 01:13:37.523]  And the private banks, over a decade ago, said they were going to engineer a world banking collapse to bring in their new world order.
[01:13:37.523 --> 01:13:38.483]  Now they've done that.
[01:13:38.483 --> 01:13:48.347]  Now we've seen hundreds of mainstream articles, like the Financial Times of London two weeks ago, saying, headline, and now for world government, and they say, there is a world government.
[01:13:48.347 --> 01:13:50.548]  We've kept it secret from you.
[01:13:50.548 --> 01:13:53.109]  It is tyrannical, but it's for your own good.
[01:13:53.109 --> 01:13:58.691]  We're going to fix the banking crisis when the world government is the banks, and the article admits it's the banks.
[01:13:59.252 --> 01:14:02.013]  So it's just an asinine fact.
[01:14:02.013 --> 01:14:16.018]  So they're going to terrorize the public, implode the economy further, and now they've got all these IMF world bank chiefs and presidents and prime ministers and world leaders on TV and radio and print saying it's a total collapse, saying it's a depression.
[01:14:16.018 --> 01:14:25.701]  I was watching CNN today and they had all these world financial experts on saying global government's the answer, you know, all of this garbage when they engineered it.
[01:14:25.701 --> 01:14:28.182]  And so I think they're going to go ahead and drop the hammer fully.
[01:14:28.789 --> 01:14:33.312]  The question is, how bad is that hammer going to hit clanging us on top of our noggin?
[01:14:33.312 --> 01:14:41.236]  So, you know, I mean, look, I personally, the network I'm on, Genesis, was founded, owned, and run by a gold company.
[01:14:41.236 --> 01:14:52.523]  So, I'll tell you out of the gates, when I'm telling you buy gold, buy silver, you know, not only do I believe in it, not only have I bought it myself when it was $300 an ounce, or $5 an ounce, you know, gold and silver.
[01:14:52.523 --> 01:14:52.823]  Gold was $300.
[01:14:52.823 --> 01:14:55.485]  Silver was $5.50 an ounce when I bought some.
[01:14:57.759 --> 01:15:00.822]  You know, and it's tripled in value.
[01:15:00.822 --> 01:15:03.104]  The bankers could play some game and lower it again.
[01:15:03.104 --> 01:15:04.705]  I don't think they are.
[01:15:04.705 --> 01:15:12.491]  But, you know, I mean, let me just out front here say I have an interest to push gold and silver, but I push what I believe in to begin with.
[01:15:12.491 --> 01:15:15.074]  So, you know, it's like they ask an artist, well, why do you paint paintings?
[01:15:15.074 --> 01:15:16.635]  Well, because I love to paint.
[01:15:16.635 --> 01:15:22.200]  And it's a side issue that I'm involved in the marketing of it.
[01:15:22.200 --> 01:15:24.141]  So, I believe in gold and silver.
[01:15:24.141 --> 01:15:25.022]  I believe we should be 20-30% in that.
[01:15:26.650 --> 01:15:29.752]  I wouldn't be in any paper right now.
[01:15:29.752 --> 01:15:39.259]  I mean, if you understand market fluctuation, you could be in the put options, going long, going short.
[01:15:39.259 --> 01:15:41.100]  But I mean, that's very dangerous there.
[01:15:41.100 --> 01:15:51.608]  I mean, if I was you, I would be in cash, and I would be in gold and silver, and I would be liquid, and I wouldn't be taking on a lot of debts.
[01:15:51.608 --> 01:15:52.488]  Right.
[01:15:52.488 --> 01:15:54.310]  And then one more quick thing on a personal note.
[01:15:54.310 --> 01:15:55.771]  Of course, I don't want to get too personal on the air.
[01:15:57.312 --> 01:16:06.554]  Let's just say my family does own a lot of land, back east we'll say, and my family has begun to kind of make preparations.
[01:16:06.554 --> 01:16:10.375]  Do you think that's a wise idea for me and for others listening?
[01:16:10.375 --> 01:16:15.236]  Well, I mean, the truly wealthy people I know evacuated the United States a year ago.
[01:16:15.236 --> 01:16:17.656]  They said that was their drop-dead day.
[01:16:17.656 --> 01:16:19.397]  So let me answer that question when we get back.
[01:16:19.397 --> 01:16:21.477]  Good to hear from you, sir.
[01:16:21.477 --> 01:16:25.158]  Kevin, Chris, Igor's first when we get back.
[01:16:27.526 --> 01:16:29.728]  Hi, John Huebner from Midas Resources.
[01:16:29.728 --> 01:16:32.650]  Are you tired of watching your hard-earned assets dwindle away?
[01:16:32.650 --> 01:16:41.256]  As government spending is out of hand and the Federal Reserve is creating in excess of $20 billion a week, are you tired of stockbrokers gambling away your hard-earned money?
[01:16:41.256 --> 01:16:44.258]  Is this market a setup for a crash greater than 1987?
[01:16:44.258 --> 01:16:49.482]  Too many of today's policies resemble those that led to the collapse of 1929.
[01:16:49.482 --> 01:16:51.464]  How much are you willing to lose?
[01:16:51.464 --> 01:16:52.505]  Take action now!
[01:16:52.505 --> 01:16:53.445]  Call me at 1-800-686-2237, extension 129.
[01:16:57.308 --> 01:17:01.291]  I believe that we are facing a financial catastrophe of biblical proportion.
[01:17:01.291 --> 01:17:04.613]  Over recent decades, numerous economic systems have failed.
[01:17:04.613 --> 01:17:11.357]  Current Federal Reserve policy and uncontrolled government spending have set the stage for the United States to be the next target.
[01:17:11.357 --> 01:17:17.321]  Secure your assets today by calling 1-800-686-2237, extension 129.
[01:17:17.321 --> 01:17:19.642]  Do this while paper can still buy gold.
[01:17:19.642 --> 01:17:21.363]  Call me, John Huebner, at 1-800-686-2237, extension 129.
[01:17:26.551 --> 01:17:30.255]  Everyone knows that omega-3 should be an essential part of our daily diet.
[01:17:30.255 --> 01:17:35.981]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[01:17:35.981 --> 01:17:40.326]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[01:17:40.326 --> 01:17:42.789]  Nature's Gem Premium Omega-3.
[01:17:42.789 --> 01:17:48.695]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures.
[01:17:48.735 --> 01:17:49.256]  I don't know.
[01:18:06.192 --> 01:18:08.234]  Nature's Gem Golden Flax is pure.
[01:18:08.234 --> 01:18:11.758]  There is nothing added and nothing taken away and non-GMO.
[01:18:11.758 --> 01:18:14.200]  We offer a 100% money-back guarantee.
[01:18:14.200 --> 01:18:18.044]  Order Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[01:18:18.044 --> 01:18:19.946]  Golden F-L-A-X.com.
[01:18:19.946 --> 01:18:20.466]  Or call 800-387-5516.
[01:18:20.466 --> 01:18:20.687]  That's 800-387-5516.
[01:18:20.687 --> 01:18:21.367]  Free shipping included.
[01:18:26.946 --> 01:18:32.912]  Ionic Zone has the lowest prices in the USA on shock treatment ozone generators starting at $299.
[01:18:32.912 --> 01:18:47.146]  Ionic Zone shock treatment ozone generators are used by remediation contractors and homeowners alike to sterilize homes and cars, making them free from bacteria, molds, viruses, and complete removal of secondhand smoke, pet odors, you name it.
[01:18:47.146 --> 01:18:49.829]  What else can three oxygen atoms, in other words ozone,
[01:18:49.949 --> 01:18:50.329]  I think.
[01:19:13.899 --> 01:19:14.340]  Call 800-549-9535.
[01:19:14.340 --> 01:19:16.042]  That's ioniczone.com or toll free 800-549-9535.
[01:19:16.042 --> 01:19:16.383]  Ionic Zone.
[01:19:26.730 --> 01:19:37.296]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[01:19:37.296 --> 01:19:38.717]  Garden in a Can!
[01:19:38.717 --> 01:19:42.859]  Garden in a Can is your source for premium, long-term, storable seeds.
[01:19:42.859 --> 01:19:44.880]  Garden in a Can is ready when you are.
[01:19:44.880 --> 01:19:47.662]  Plant them now or store them for when you really need them.
[01:19:47.662 --> 01:19:53.865]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting instructions.
[01:19:53.865 --> 01:19:54.166]  We're good.
[01:19:57.313 --> 01:19:58.734]  Garden in a Can.
[01:19:58.734 --> 01:19:59.934]  It's that simple.
[01:19:59.934 --> 01:20:02.336]  Fresh, healthy, easy.
[01:20:02.336 --> 01:20:06.678]  Only $69.95 for over a half acre of safe fresh vegetables.
[01:20:06.678 --> 01:20:08.259]  Ready when you are.
[01:20:08.259 --> 01:20:12.321]  Stop procrastinating and start preparing with Garden in a Can.
[01:20:12.321 --> 01:20:15.802]  For more details visit GardenInACan.com today.
[01:20:15.802 --> 01:20:18.404]  That's GardenInACan.com or call 866-598-7396 866-598-7396
[01:20:29.967 --> 01:20:32.428]  Are you tired of searching for Great Talk Radio?
[01:20:32.428 --> 01:20:33.708]  Well, search no more.
[01:20:33.708 --> 01:20:47.694]  We are the GCN Radio Network.
[01:20:47.694 --> 01:20:48.954]  Oh, man.
[01:20:48.954 --> 01:20:52.015]  You know, I wish I wasn't right about all this stuff.
[01:20:52.015 --> 01:20:56.897]  But, if you know about human history, there's emperors and corrupt systems and
[01:20:57.950 --> 01:21:05.193]  Subterfuge and court intrigue and different groups bidding and vying for power.
[01:21:05.193 --> 01:21:09.335]  There's always corrupt elites that think they're God and seek to enslave the population.
[01:21:09.335 --> 01:21:20.219]  And there's always decadent slobs who did have liberty and freedom because of their ancestors who get lackadaisical and sit on their laurels and then great tyranny comes.
[01:21:20.219 --> 01:21:26.942]  And then the people stand up and fight back and if they're blessed they're able to get liberty again and
[01:21:27.981 --> 01:21:33.564]  Then they guard that liberty for a generation or two because they know how hard-won, hard-fought it is.
[01:21:33.564 --> 01:21:41.507]  And then over time, the tyranny just comes back again because their children and those children's children become slobs.
[01:21:41.507 --> 01:21:43.768]  We're in a lot of trouble, ladies and gentlemen.
[01:21:43.768 --> 01:21:47.010]  Close to $10 trillion has been stolen.
[01:21:47.010 --> 01:21:51.892]  Stolen from the American taxpayer by private offshore banks in just the last eight, nine weeks.
[01:21:51.892 --> 01:21:53.053]  And it's only going to get worse.
[01:21:54.414 --> 01:22:09.566]  The very banks that have done this, that are flush with capital, brag that they're flush with capital, and they have cut off liquidity to Main Street so that the real economy falls apart, so that the banking economy can take over the rest of society.
[01:22:09.566 --> 01:22:15.071]  This is being done in a cold-blooded fashion, only speaking up and standing up against it can stop it.
[01:22:15.071 --> 01:22:17.613]  Let's go ahead and talk to Igor in Virginia.
[01:22:17.613 --> 01:22:19.835]  Igor, you're on the air.
[01:22:19.835 --> 01:22:20.995]  How you doing Alex?
[01:22:20.995 --> 01:22:21.996]  Love your show, man.
[01:22:21.996 --> 01:22:22.817]  Thank you for having me back.
[01:22:24.971 --> 01:22:33.878]  Sir, I just want to say that Obama had a great opportunity to condemn the attack in Gaza, and he didn't issue a comment on that day.
[01:22:33.878 --> 01:22:48.569]  I bet anybody that if over 200 Israelis were killed, innocent civilians, he would come out and quit his vacation in Hawaii and have a press conference on all major media channels and call it an act of terrorism by Palestine.
[01:22:48.569 --> 01:22:52.773]  But since Israel did it, he's an AIPAC member, so he's not going to do anything about it.
[01:22:52.773 --> 01:22:54.374]  Anyway, thank you for having me on your show.
[01:22:55.239 --> 01:22:55.679]  Thank you.
[01:22:55.679 --> 01:22:57.541]  I appreciate your call.
[01:22:57.541 --> 01:23:01.164]  Look, it is a nuanced issue, as they say.
[01:23:01.164 --> 01:23:05.027]  And look, I'll come out and attack any country I want.
[01:23:05.027 --> 01:23:08.590]  I mean, if I think it's right to do.
[01:23:08.590 --> 01:23:15.175]  And what Israel did in Lebanon two years ago was a disproportionate response.
[01:23:15.175 --> 01:23:23.742]  It ended up coming out in Israeli papers that they did send in their own troops, setting them up to be captured as a pretext to go in.
[01:23:24.994 --> 01:23:32.880]  And that was an escalation, and Israel was repulsed by the Iranian-backed Hezbollah, the Shiite-backed Hezbollah.
[01:23:32.880 --> 01:23:36.383]  Now, this is Hamas in Gaza.
[01:23:36.383 --> 01:23:47.732]  And Hamas was set up in the mid-70s as a, quote, counterbalance against the People's Liberation Army, or organization, Yasser Arafat.
[01:23:51.002 --> 01:23:53.643]  So it gets into all this divide and conquer.
[01:23:53.643 --> 01:23:57.065]  The Arabs are not one unified group.
[01:23:57.065 --> 01:24:12.312]  And then Israel, I guess, thought things were going to go in a different direction and allowed one of these groups to get control of the Gaza Strip.
[01:24:12.312 --> 01:24:16.214]  Hamas did.
[01:24:16.214 --> 01:24:18.355]  And it is a real mess.
[01:24:18.355 --> 01:24:19.075]  I mean, there are
[01:24:22.345 --> 01:24:36.569]  Rebels, you could call them, in the populated areas, using the populated areas as cover to fire these Katyusha rockets, which are glorified, you know, glorified homemade rockets.
[01:24:36.569 --> 01:24:37.670]  But they do kill people.
[01:24:37.670 --> 01:24:40.631]  Every week somebody gets killed by one.
[01:24:40.631 --> 01:24:45.032]  And Israel now is talking about invading Gaza itself.
[01:24:45.032 --> 01:24:48.073]  So that is going to be quite a loss of life.
[01:24:48.073 --> 01:24:49.993]  Tens of thousands if this continues.
[01:24:49.993 --> 01:24:50.894]  They're talking about 900 wounded now.
[01:24:53.155 --> 01:24:54.276]  More than 300 dead.
[01:24:54.276 --> 01:24:56.217]  Those are the latest numbers.
[01:24:56.217 --> 01:24:59.899]  And the Israeli stock market is plunging.
[01:24:59.899 --> 01:25:04.062]  I mean, I'm not saying that Israel should just sit there and let people shoot rockets at them.
[01:25:04.062 --> 01:25:07.124]  But at the same time, three or four people die in the U.S.
[01:25:07.124 --> 01:25:10.506]  every day of running into deer on the highway.
[01:25:10.506 --> 01:25:14.688]  We get one person on average dying a week in Israel from one of these rockets.
[01:25:14.688 --> 01:25:17.790]  It's certainly not fun having them drop on your house or school.
[01:25:19.542 --> 01:25:30.745]  But this will only embolden the resistance, and they originally founded Hamas, two-stage terror attacks to kill different peace deals.
[01:25:30.745 --> 01:25:49.189]  Kurt Nemo, up on Infowars.com a few days ago, not a few days ago, yesterday, wrote a story called Obama Silent on Gaza Raids, and in that he gives links to the mainstream news articles where they admit, and Israeli papers admit, that Israel stages terror attacks
[01:25:49.798 --> 01:25:50.859]  Through Hamas.
[01:25:50.859 --> 01:25:53.140]  That's the group they have the most control over.
[01:25:53.140 --> 01:25:55.081]  I'm not saying they run Hamas.
[01:25:55.081 --> 01:25:58.522]  But they certainly have their people in it and provocateurs in it.
[01:25:58.522 --> 01:26:02.324]  And they do stage terror attacks at key points when Israel doesn't want peace.
[01:26:02.324 --> 01:26:05.786]  Because the Israeli military wants to continue running that country.
[01:26:05.786 --> 01:26:07.106]  So those are just the facts.
[01:26:07.106 --> 01:26:08.727]  I just report the facts here.
[01:26:08.727 --> 01:26:12.909]  I'm not taking sides in all of this.
[01:26:12.909 --> 01:26:14.510]  It's disgusting.
[01:26:14.510 --> 01:26:16.931]  When you see the video of the children with their arms and legs blown off.
[01:26:17.782 --> 01:26:18.702]  Let's take another call.
[01:26:18.702 --> 01:26:20.223]  Kevin in Massachusetts.
[01:26:20.223 --> 01:26:21.903]  You're on the air, Kevin.
[01:26:21.903 --> 01:26:22.163]  Hello.
[01:26:22.163 --> 01:26:22.884]  Hi, Alex.
[01:26:22.884 --> 01:26:23.164]  Hello.
[01:26:23.164 --> 01:26:23.844]  Hi, Alex.
[01:26:23.844 --> 01:26:24.484]  Are you there?
[01:26:24.484 --> 01:26:24.824]  Yes, sir.
[01:26:24.824 --> 01:26:25.985]  Yeah, hi.
[01:26:25.985 --> 01:26:29.046]  I'm a frequent caller, a regular listener, a real fan of yours.
[01:26:29.046 --> 01:26:34.227]  I think you're about the only instance of what I would call the uncontrolled opposition left.
[01:26:34.227 --> 01:26:36.568]  But anyhow, I have two points I'd like to ask you about.
[01:26:36.568 --> 01:26:39.849]  Number one, does the name Benjamin Fulford ring a bell with you?
[01:26:41.394 --> 01:26:42.835]  Yeah, and who is it?
[01:26:42.835 --> 01:26:46.277]  Because my memory is, like, you'll know a name and then you don't remember who they are.
[01:26:46.277 --> 01:26:47.717]  Okay, he's a Canadian fellow.
[01:26:47.717 --> 01:26:48.898]  He's based in Tokyo.
[01:26:48.898 --> 01:26:49.758]  He was the head of Forbes.
[01:26:49.758 --> 01:26:52.600]  Oh, yeah, no, no, I mean, I've interviewed him three or four times.
[01:26:52.600 --> 01:26:54.240]  He used to write for Forbes.
[01:26:54.240 --> 01:26:54.661]  Right.
[01:26:54.661 --> 01:27:01.424]  And he says that there's this big Asian global mafia that's aware of the New World Order and about to strike back and all this.
[01:27:01.424 --> 01:27:04.426]  And then he was able to get meetings with David Rockefeller and people.
[01:27:04.426 --> 01:27:04.846]  Sure, of course.
[01:27:04.846 --> 01:27:05.326]  Right, exactly.
[01:27:05.326 --> 01:27:06.226]  Of course, I know he is.
[01:27:06.226 --> 01:27:07.087]  Do you think he's credible?
[01:27:08.547 --> 01:27:14.432]  You know, I believe he believes the things he's saying, and I believe that a lot of what he's saying is true.
[01:27:14.432 --> 01:27:20.157]  But, you know, I want to try to be nice about all this.
[01:27:20.157 --> 01:27:26.662]  He comes off a little wacky sometimes, but so do I. The truth is wacky.
[01:27:26.662 --> 01:27:27.183]  Right.
[01:27:27.183 --> 01:27:28.484]  Okay, question number two here.
[01:27:28.484 --> 01:27:32.067]  I'm a fan of yours for several years now, and I have a lot of your DVDs.
[01:27:32.597 --> 01:27:33.938]  I was looking over one last night.
[01:27:33.938 --> 01:27:37.760]  I was watching comprehensive annual financial reports exposed.
[01:27:37.760 --> 01:27:38.521]  Yes.
[01:27:38.521 --> 01:27:41.162]  Okay, I'm just kind of curious, you know, where did all that money go?
[01:27:41.162 --> 01:27:43.544]  Is it, like, all gone now?
[01:27:43.544 --> 01:27:47.606]  Well, for those that don't know, everybody should watch comprehensive annual financial reports exposed.
[01:27:47.606 --> 01:27:49.328]  People say, well, that sounds boring.
[01:27:49.328 --> 01:28:00.995]  Well, if you think tiny water districts having hundreds of millions in secret bank accounts on the record, or if you think every major school district stealing money and basically being mafia fronts,
[01:28:01.634 --> 01:28:21.166]  If you think that 65% of all the tax money you pay goes directly to offshore banks and is a huge fraud based out of a Chicago mafia model, the Chicago 1313 model that went nationwide in the 1950s, then you shouldn't care about it.
[01:28:21.166 --> 01:28:23.728]  Where it went was into the hands of the globalists.
[01:28:23.728 --> 01:28:28.030]  How do you think the New World Order buys everything up and has so much power?
[01:28:28.030 --> 01:28:29.351]  They run scams.
[01:28:29.351 --> 01:28:31.072]  They don't just control the private central banks.
[01:28:31.397 --> 01:28:40.104]  They control the issuance of currency, and every time a dollar, or a pound, or a yen, or a yon, or a euro is created, debt is paid to the bankers.
[01:28:40.104 --> 01:28:42.647]  They also get your local money.
[01:28:42.647 --> 01:28:48.452]  And then that's what this control collapses about, so they can claim all that money was just lost, when it isn't lost.
[01:28:48.452 --> 01:28:52.875]  Look, I told people a year before Enron got in trouble, get out of Enron, it was a front.
[01:28:52.875 --> 01:28:54.297]  A money laundering op.
[01:28:54.297 --> 01:28:56.318]  Because I had sources in Houston.
[01:28:56.318 --> 01:28:57.499]  I'll just leave it at that.
[01:28:57.499 --> 01:28:58.060]  What happened?
[01:28:59.005 --> 01:28:59.625]  What happened?
[01:28:59.625 --> 01:29:01.806]  It turned out it was a total front.
[01:29:01.806 --> 01:29:04.727]  Remember, he later became Secretary of the Army.
[01:29:04.727 --> 01:29:11.128]  White would give the legislature of California tours of fake computers with fake computer training.
[01:29:11.128 --> 01:29:13.009]  Most of the stock market isn't even real.
[01:29:13.009 --> 01:29:15.009]  It's all just made up, sir.
[01:29:15.009 --> 01:29:16.090]  You understand?
[01:29:16.090 --> 01:29:16.750]  You sure do, Alex.
[01:29:16.750 --> 01:29:17.430]  Hey, thanks very much.
[01:29:17.430 --> 01:29:21.551]  And I sent you some websites on Navy building an army a couple of weeks ago.
[01:29:21.551 --> 01:29:22.331]  I hope you got them.
[01:29:22.331 --> 01:29:22.932]  We did get them.
[01:29:22.932 --> 01:29:23.872]  I saw them in Aaron's email.
[01:29:23.872 --> 01:29:24.952]  I'll try to get him to post them.
[01:29:24.952 --> 01:29:27.153]  We'll be right back.
[01:29:27.153 --> 01:29:28.213]  The headlines are clear.
[01:29:28.945 --> 01:29:31.868]  The worldwide economic collapse is here.
[01:29:31.868 --> 01:29:35.112]  The military is being positioned for martial law.
[01:29:35.112 --> 01:29:36.854]  The mark of the beast is at hand.
[01:29:36.854 --> 01:29:40.137]  Governments are calling for a new world cashless economic system.
[01:29:40.137 --> 01:29:42.900]  Having a long-term food solution is your only hope.
[01:29:42.900 --> 01:29:43.801]  To stay free.
[01:29:44.802 --> 01:29:48.465]  Now, Survival of Seeds introduces their Escape the Beast Kit.
[01:29:48.465 --> 01:29:51.848]  24 varieties of all-natural, non-genetically modified heirloom seeds.
[01:29:51.848 --> 01:29:54.710]  For true patriots and homesteaders wanting food insurance.
[01:29:54.710 --> 01:29:59.333]  That's over 5 pounds of rare historic seeds for a penny per seed.
[01:29:59.333 --> 01:30:02.456]  15,000 seeds that will feed a family healthy food for 7 years.
[01:30:02.456 --> 01:30:11.663]  Big John Lipscomb, host of Don't Tread on Me, is including an instructional DVD that will teach you how to earn big money selling the produce from his incredible heirloom seeds back to him.
[01:30:11.663 --> 01:30:13.104]  Restaurants and small delis.
[01:30:13.724 --> 01:30:14.526]  Copycats.
[01:30:14.526 --> 01:30:16.669]  Their fancy packaging is not free.
[01:30:16.669 --> 01:30:18.632]  Order today before it's too late.
[01:30:18.632 --> 01:30:20.495]  SurvivalistSeeds.com.
[01:30:20.495 --> 01:30:22.838]  That's SurvivalistSeeds.com.
[01:30:22.838 --> 01:30:24.741]  A long-term food solution.
[01:30:27.366 --> 01:30:30.687]  Hello, this is Tom with HempUSA.org.
[01:30:30.687 --> 01:30:38.429]  Most of you have been hearing my ads for the past few months, and it's no secret that the economy is failing and prices are rising in all sectors.
[01:30:38.429 --> 01:30:46.272]  If you've been thinking of a nutrient-dense daily food source and a storable food for yourself and family, the time to act is now.
[01:30:46.272 --> 01:30:52.554]  At HempUSA.org, we still believe that food will be your greatest asset in these trying times ahead.
[01:30:53.174 --> 01:30:59.939]  Please call 1-908-691-2608 and see what our powder seeds and oil can do for you.
[01:30:59.939 --> 01:31:02.741]  Beware, be smart, and be ready.
[01:31:02.741 --> 01:31:04.202]  Call 908-691-2608 or visit us at hempusa.org.
[01:31:09.105 --> 01:31:15.452]  Families need this high quality natural food source for its low price and long storage shelf life.
[01:31:15.452 --> 01:31:19.417]  This incredible food source should be a staple part of your diet every day.
[01:31:19.417 --> 01:31:21.999]  Call 908-691-2608 or visit us at hempusa.org today!
[01:31:26.343 --> 01:31:35.609]  Did you know that it's a documented fact 80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection?
[01:31:35.609 --> 01:31:43.774]  You may be one of millions of people suffering from one of dozens of debilitating chronic diseases from these parasites and your doctor would never know it.
[01:31:43.774 --> 01:31:45.895]  In fact, clinically detected parasites account
