[00:00:00.029 --> 00:00:02.173]  A program note for everyone out there.
[01:10:09.945 --> 01:10:14.268]  There are certain things that we consider to be socially offensive to the structure, and that's where crime and things come in.
[01:10:14.288 --> 01:10:15.969]  So you call them bad, naturally.
[01:10:16.009 --> 01:10:19.612]  However, a person engaged in that crime is a victim of their culture.
[01:10:19.632 --> 01:10:22.334]  Therefore, they're doing what they have to do to survive, so it's good for them.
[01:10:22.594 --> 01:10:24.055]  Therefore, it's all a matter of degree.
[01:10:24.710 --> 01:10:27.771]  Coming back to the family, family is whatever the family wants to be.
[01:10:28.031 --> 01:10:30.751]  There's no restrictions, there's no CPS in any type of society.
[01:10:30.771 --> 01:10:38.133]  These are all amalgams of the corruption that we see, of this human loss, this intellectual disdain.
[01:10:38.193 --> 01:10:50.995]  Well here's the deal, with six and a half million people, let's say you got your society, you're saying it's just going to be so good that nobody does these bad things or these sick things anymore.
[01:10:51.495 --> 01:10:53.516]  Where does the word eradication come in then?
[01:10:54.036 --> 01:10:54.216]  Is that
[01:11:10.382 --> 01:11:12.543]  The less aberrant behavior will happen.
[01:11:12.623 --> 01:11:13.003]  I agree.
[01:11:13.083 --> 01:11:15.404]  I mean, as the economy goes down, crime goes up.
[01:11:15.744 --> 01:11:16.664]  I totally agree with you.
[01:11:16.724 --> 01:11:18.585]  I agree with about 90% of what you guys are saying.
[01:11:19.005 --> 01:11:20.445]  Well, then we have to take it further, then.
[01:11:20.525 --> 01:11:24.967]  Once we realize we can create a society... For example, in this society, let's say you wanted to go to the grocery store.
[01:11:24.987 --> 01:11:25.467]  Well, guess what?
[01:11:25.767 --> 01:11:28.068]  You go in, you get what you need, and you leave.
[01:11:28.775 --> 01:11:29.176]  That's it.
[01:11:29.536 --> 01:11:29.776]  Why?
[01:11:29.796 --> 01:11:31.258]  Why would no one steal?
[01:11:31.298 --> 01:11:32.160]  Because there's no reason to.
[01:11:32.200 --> 01:11:32.860]  They can't sell it.
[01:11:32.880 --> 01:11:33.762]  Because there's no money.
[01:11:34.022 --> 01:11:41.171]  There's no reason for differential advantage in a position where you can't actually engage in gaining something through abuse in society.
[01:11:41.472 --> 01:11:46.959]  This is a core point in why money is such a horrible invention for control.
[01:11:47.499 --> 01:11:49.442]  Money is the ultimate divide and conquer, Alex.
[01:11:49.702 --> 01:11:53.066]  You're supposed to be privy to manipulation techniques.
[01:11:53.206 --> 01:11:56.910]  The free enterprise system, all the monetary systems are pure... I am privy to music.
[01:11:57.130 --> 01:11:57.791]  Here we go.
[01:11:58.472 --> 01:11:58.912]  Hold on.
[01:11:59.413 --> 01:12:02.496]  Let me explain how this is working here for you.
[01:12:03.157 --> 01:12:05.800]  The internet audience is on PrisonPlanet.tv right now.
[01:12:06.741 --> 01:12:10.104]  It is huge, hundreds of thousands listening on the web, and then millions over time on the web.
[01:12:10.384 --> 01:12:20.753]  So we're skipping AM and FM breaks, shortwave breaks, satellite breaks, and so the audience is probably ten percent of what it was, but it is on the air, it is in the view of everyone.
[01:12:21.034 --> 01:12:24.937]  All of this is, unless we just completely... I still don't appreciate your insult.
[01:12:26.418 --> 01:12:29.361]  Well, I wasn't implying or apologizing for what I said.
[01:12:30.502 --> 01:12:33.485]  I mean, I'm not... I was explaining, we're on air all the time.
[01:12:34.344 --> 01:12:44.208]  I was just separately... I was separately... I was separately... Are you even aware you use debate techniques and lawyer tactics which are extremely dishonest just like your music?
[01:12:44.488 --> 01:12:46.309]  Just like your sad music at certain points?
[01:12:46.689 --> 01:12:52.971]  Why are you doing that with this corporate Madison Avenue manipulative music like in a drug commercial for Halcyon?
[01:12:53.171 --> 01:12:56.312]  Why are you doing that like I am saying $29.95?
[01:12:56.553 --> 01:12:56.893]  Why?
[01:12:56.973 --> 01:12:57.273]  Why?
[01:12:57.353 --> 01:12:57.793]  Why?
[01:12:58.093 --> 01:12:59.074]  Why have you done that?
[01:12:59.134 --> 01:13:02.715]  There's a very big difference because one is art and one is pure marketing
[01:13:03.195 --> 01:13:05.596]  And of course you can say there's a matter of degree between the two.
[01:13:21.385 --> 01:13:23.646]  My use of music is music that I like to use.
[01:13:24.286 --> 01:13:24.946]  That's period.
[01:13:24.966 --> 01:13:25.426]  Well, I like 2995!
[01:13:25.466 --> 01:13:25.867]  Well, fine.
[01:13:25.987 --> 01:13:29.168]  If you want to have an argument, fine.
[01:13:29.208 --> 01:13:32.729]  But you're sitting there along with all the other people on Madison Avenue with the same thing.
[01:13:32.969 --> 01:13:34.310]  My music is completely individual.
[01:13:34.350 --> 01:13:35.350]  No, let me explain.
[01:13:35.650 --> 01:13:43.513]  We use, with truthful information and truthful, good products of information, we use Madison Avenue tactics right back against them.
[01:13:44.193 --> 01:13:44.854]  Fine, fine.
[01:13:45.434 --> 01:13:46.495]  I mean, so do you, man!
[01:13:46.575 --> 01:13:48.416]  I mean, hold on, hold on, let's talk about you!
[01:13:48.436 --> 01:13:51.778]  I mean, don't you work in the whole culture of media?
[01:13:51.878 --> 01:13:53.439]  I mean, don't you work in TV?
[01:13:53.519 --> 01:13:57.582]  Yeah, I'm a whore just like everyone else in this system because I have to to survive, yeah.
[01:13:57.882 --> 01:13:58.243]  Oh, good.
[01:13:58.263 --> 01:13:59.243]  Well, I just wanted to make sure.
[01:14:00.044 --> 01:14:02.245]  But I don't really think of it as a... Go ahead, man.
[01:14:02.265 --> 01:14:02.766]  Okay, go ahead.
[01:14:04.298 --> 01:14:07.700]  No, actually, for the first six, seven years of my shopping cart, we would say $20.
[01:14:07.961 --> 01:14:13.644]  And then I went ahead and just on air said, I'm now to show you what Madison Avenue is doing.
[01:14:13.664 --> 01:14:14.665]  I actually have been into that.
[01:14:14.965 --> 01:14:16.666]  You know, have made the point a lot.
[01:14:16.987 --> 01:14:19.388]  And a lot of times, even when I plug, well, I don't even really plug the videos anymore.
[01:14:19.428 --> 01:14:20.869]  I never even really spend much time plugging them.
[01:14:21.710 --> 01:14:23.011]  But I'm not in some guilt.
[01:14:23.051 --> 01:14:23.331]  Hold on.
[01:14:23.351 --> 01:14:24.212]  I'm not in some guilt.
[01:14:24.992 --> 01:14:35.047]  If I paint an oil painting, I'm wanting to sell it, not because I worship a fancy car, but because I want a car that drives well and has a good titanium cage, and if I am in a wreck, my children won't be killed.
[01:14:35.929 --> 01:14:38.733]  I do like, well actually I don't really like nice clothes.
[01:14:39.781 --> 01:14:45.624]  I literally have like 50 blue and black t-shirts and blue jeans with holes in them because I like them.
[01:14:45.664 --> 01:14:49.366]  But the point is, I'm not into baubles, trinkets, things like that.
[01:14:51.126 --> 01:14:53.588]  But I'm not hating materialism.
[01:14:53.828 --> 01:14:55.448]  It's just lower on my hierarchy.
[01:14:55.488 --> 01:15:01.011]  I don't also go to the extreme of just saying basically anything materialistic is inherently bad.
[01:15:01.031 --> 01:15:02.512]  I mean, I need to be able to own my own house.
[01:15:03.132 --> 01:15:14.357]  I don't want a bunch of people in sandals, they're already here stealing farms and ranches everywhere, the phony environmentalists, and then they build giant sky rises on it and are all filthy rich with armed guards.
[01:15:14.377 --> 01:15:17.839]  I also see the whole left thing of, oh, it belongs to everyone.
[01:15:18.119 --> 01:15:19.320]  I just see that as very dangerous.
[01:15:19.740 --> 01:15:20.700]  Another form of tyranny.
[01:15:22.141 --> 01:15:28.404]  Well, I can see why you see that, based on what you've said, and I can understand that angle, but I think we should look beyond these points.
[01:15:28.786 --> 01:15:32.250]  You see, ownership itself is based on the restriction of others.
[01:15:32.630 --> 01:15:36.854]  I'm not saying that people shouldn't have a home, only they are allowed to go into it.
[01:15:37.255 --> 01:15:43.441]  But this protectionist element that comes into play with ownership, property, it has extremely negative influences.
[01:15:43.481 --> 01:15:44.883]  And this is one of the central points.
[01:15:44.903 --> 01:15:45.904]  You can't have a system
[01:15:46.573 --> 01:15:48.553]  Where everything is hoarded by everyone else.
[01:15:48.673 --> 01:15:50.274]  Yeah, but Peter, you know who I am.
[01:15:50.314 --> 01:15:54.234]  When you called up saying, I officially want to sell this now, so I want to get rights to your film.
[01:15:54.795 --> 01:15:56.295]  You know, other people called up threatening you.
[01:15:56.375 --> 01:15:56.975]  I knew what you were doing.
[01:15:56.995 --> 01:16:00.456]  I didn't call up and threaten, because I actually am not very territorial about ideas.
[01:16:00.536 --> 01:16:01.296]  I want them out.
[01:16:01.676 --> 01:16:02.716]  Hey man, I'm not saying that you are.
[01:16:02.736 --> 01:16:05.237]  What I'm saying is, I really want to have an intellectual debate with you.
[01:16:05.477 --> 01:16:05.997]  I respect you.
[01:16:06.017 --> 01:16:06.897]  I think you're very talented.
[01:16:07.017 --> 01:16:08.397]  We're back to the full audience right now.
[01:16:08.417 --> 01:16:12.338]  Skull and bone, for us is home.
[01:16:16.140 --> 01:16:22.202]  Okay, I got some other clips of Zeitgeist and Denim I want to play.
[01:16:22.242 --> 01:16:23.242]  A lot of you will be checking it out.
[01:16:23.262 --> 01:16:24.703]  Most of you have probably seen it.
[01:16:25.283 --> 01:16:33.606]  I would challenge folks from the Zeitgeist crowd, which I respect and enjoy and think are great, but I also like to argue with people and I am competitive.
[01:16:33.646 --> 01:16:34.106]  I can't help it.
[01:16:34.126 --> 01:16:36.807]  I was conditioned that way and I think a little bit of it is the genetics.
[01:16:40.309 --> 01:16:46.974]  I mean in a short segment for you to say whatever basically other points you want to make, then I want to play some clips and go through those with you in the next segment, sir.
[01:16:49.115 --> 01:17:01.523]  Okay, well I can only continue to reiterate my central point, which I don't think has been fully absorbed, and I think everyone listening should seriously consider the reality that human conditioning is the central point.
[01:17:01.563 --> 01:17:05.346]  Now I will jump to the fact that this society that we're talking about
[01:17:05.996 --> 01:17:13.665]  Can work, if people begin to understand what the central elements of it are, and how universal these elements are.
[01:17:13.705 --> 01:17:16.568]  It's based on the carrying capacity of the Earth.
[01:17:16.608 --> 01:17:18.811]  This is not some fantastic notion.
[01:17:18.891 --> 01:17:21.754]  It's not something, it's not some utopia that someone invented.
[01:17:21.814 --> 01:17:22.775]  It's not subjective.
[01:17:22.795 --> 01:17:25.599]  We want to remove subjectivity and opinion.
[01:17:26.059 --> 01:17:38.819]  From society to the extent where everything that's created systematically, every system that works in society is derived from a concrete foundation based on the available knowledge, the highest form of available knowledge and technology that we have today.
[01:17:38.859 --> 01:17:40.602]  This will never occur in a profit system ever.
[01:17:41.092 --> 01:17:45.637]  Because it's based on scarcity, and reduction, and inefficiency, planned obsolescence.
[01:17:45.938 --> 01:17:47.179]  We are totally paralyzed.
[01:17:47.279 --> 01:17:54.307]  People have no idea how free we could actually be if we allow the fruits of technology to flourish, and then the human value system will undergo incredible change.
[01:17:54.588 --> 01:17:56.770]  Will it eradicate all types of aberrant behavior?
[01:17:56.810 --> 01:17:56.990]  No.
[01:17:57.291 --> 01:17:57.911]  Probably not.
[01:17:57.951 --> 01:18:00.855]  At least not in any kind of quick time frame whatsoever.
[01:18:01.215 --> 01:18:04.456]  However, the pattern and the path is extremely clear.
[01:18:04.696 --> 01:18:08.297]  Prisons, police, we buy... These are horrific.
[01:18:08.478 --> 01:18:10.018]  We think these are true institutions.
[01:18:10.438 --> 01:18:11.979]  Someone does something, they want to throw them in prison.
[01:18:12.419 --> 01:18:13.239]  This is the wrong thing.
[01:18:13.259 --> 01:18:17.901]  We want to figure out why they did what they did and address the social conditions that create that environment.
[01:18:18.401 --> 01:18:20.482]  Our entire society is completely backwards.
[01:18:20.522 --> 01:18:26.584]  We can't function this way, and that is the central core of my thesis and what I want people to think about.
[01:18:27.124 --> 01:18:30.705]  Human behavior is influenced to a very, very large extent.
[01:18:31.252 --> 01:18:33.574]  And this human behavior is the source of the problem.
[01:18:33.894 --> 01:18:40.578]  The New World Order will not change until you address the people that are at the very bottom and why they believe what they believe.
[01:18:40.598 --> 01:18:41.039]  Oh, I agree.
[01:18:41.079 --> 01:18:44.701]  I say every day a lot of the problems are, you know, it's all of us individually.
[01:18:44.741 --> 01:18:47.183]  Look in the mirror if you want to know the bottom line problem.
[01:18:48.283 --> 01:18:49.384]  And the bottom line solution.
[01:18:49.964 --> 01:18:50.565]  Absolutely.
[01:18:51.085 --> 01:18:52.526]  The battle is with yourself.
[01:18:52.546 --> 01:18:56.689]  I mean, Alex, your whole website is called InfoWars, and I have to say, you know,
[01:18:57.429 --> 01:19:04.803]  I understand where you're coming from, because there is a battle going on, and it's important that people stand up for themselves, but this is not an end disposition.
[01:19:04.823 --> 01:19:09.852]  There's a reason why peace protesters are met with guys in riot gear and automatic weapons, because they're waiting for something.
[01:19:10.345 --> 01:19:12.226]  They want to perpetuate the war system.
[01:19:12.246 --> 01:19:14.247]  They want the us-against-them mentality to flourish.
[01:19:14.747 --> 01:19:15.708]  That's how they main control.
[01:19:15.728 --> 01:19:16.328]  Yeah, the teams.
[01:19:16.348 --> 01:19:20.370]  They use the sports teams and all those images to always balkanize us and divide us.
[01:19:21.031 --> 01:19:22.712]  Where do you stand on the Second Amendment?
[01:19:22.972 --> 01:19:25.073]  There's always going to be bad people that want to hurt good people.
[01:19:25.093 --> 01:19:26.634]  Aren't I allowed to have guns?
[01:19:27.474 --> 01:19:28.995]  It is not a matter of allowed to have guns.
[01:19:29.215 --> 01:19:30.036]  Is it necessary?
[01:19:30.056 --> 01:19:31.056]  And that's the thing I disagree with.
[01:19:31.076 --> 01:19:32.917]  But who's going to decide if it's necessary?
[01:19:32.937 --> 01:19:37.320]  Because I assure you... You know, if there's a need to manufacture a gun, it could happen.
[01:19:37.420 --> 01:19:39.701]  However, you're missing the point.
[01:19:40.469 --> 01:19:45.231]  You're trying to achieve a system that doesn't have stratification and control.
[01:19:45.671 --> 01:19:48.112]  We live in such a stratified control mechanism.
[01:19:48.132 --> 01:19:52.833]  There's elitism in every single... Who is going to enforce no one having guns, man?
[01:19:53.353 --> 01:19:54.294]  There's no enforcement.
[01:19:54.354 --> 01:19:59.375]  It's based on the understanding and education of what this planet is, who you actually are.
[01:19:59.415 --> 01:20:07.838]  This is why I go after religion, because religion is the biggest, most offensive, stagnating element, systematic institution that there is.
[01:20:08.419 --> 01:20:13.901]  You cannot have a whole group of people believing in something that stops their intellectual growth.
[01:20:14.581 --> 01:20:15.921]  Does that mean they need to be eradicated?
[01:20:15.941 --> 01:20:16.362]  Of course not.
[01:20:16.382 --> 01:20:17.222]  They need to be educated.
[01:20:17.502 --> 01:20:20.623]  Education in our society is completely irrelevant and idiotic.
[01:20:20.663 --> 01:20:23.384]  You get an A if you're smart, so to speak, and an F if you fail.
[01:20:23.644 --> 01:20:26.625]  That imposes immediate stratification and immediate competition.
[01:20:26.665 --> 01:20:29.766]  The fact is, the educational system is a complete joke because
[01:20:30.166 --> 01:20:34.247]  They don't take into account the nature of each individual person.
[01:20:34.347 --> 01:20:39.708]  True education is critical thought processes, not retaining information.
[01:20:39.728 --> 01:20:40.448]  Well, I agree.
[01:20:40.488 --> 01:20:42.909]  Learning how to think and learning the joys of it.
[01:20:42.929 --> 01:20:43.489]  But wait a minute.
[01:20:43.729 --> 01:20:49.810]  We've heard all of this stuff about getting rid of test scores, getting rid of that, and it's actually had disastrous effects where it's been tried.
[01:20:49.890 --> 01:20:52.351]  I mean... Sure, but that's because people aren't prepared for it.
[01:20:52.371 --> 01:20:53.431]  They're not ready for it.
[01:20:53.471 --> 01:20:55.331]  And this is something that I want to reiterate again.
[01:20:55.391 --> 01:20:56.311]  No one's ready for this.
[01:20:56.352 --> 01:20:58.472]  If you took somebody right now and froze them alive,
[01:20:58.832 --> 01:20:59.433]  What would have to happen?
[01:21:24.741 --> 01:21:27.402]  Something would have to happen where the person would be reconditioned in some way.
[01:21:27.542 --> 01:21:28.283]  That's the point.
[01:21:28.303 --> 01:21:29.103]  Re-educated?
[01:21:29.123 --> 01:21:32.605]  The point is the value systems are too different.
[01:21:32.685 --> 01:21:34.045]  I've heard all this before.
[01:21:34.065 --> 01:21:36.006]  That's the problem, Peter Joseph.
[01:21:36.386 --> 01:21:37.687]  Peter, I've heard all this before.
[01:21:37.707 --> 01:21:39.168]  What do you mean you've heard it all before?
[01:21:39.408 --> 01:21:43.510]  I mean, I've heard all this stuff you're saying before, and let me tell you, it isn't pretty.
[01:21:43.690 --> 01:21:46.691]  I mean, re-educated, reconditioned, oh boy.
[01:21:47.452 --> 01:21:49.813]  Oh boy, look out, we're going to skip this break too on the internet.
[01:21:52.677 --> 01:22:05.687]  Peter, again... I don't have an opinion on gun control because it's such a base disposition.
[01:22:06.008 --> 01:22:10.731]  It's based on the assumption that you always have to fight and defend yourself, and that is what has to be elevated.
[01:22:10.751 --> 01:22:12.573]  Well, I'm still dealing in the world I'm in.
[01:22:12.613 --> 01:22:13.454]  I'm trying to people to think.
[01:22:13.834 --> 01:22:19.638]  I want people to identify the system and learn the system and learn how they're being manipulated, and then they can
[01:22:20.459 --> 01:22:32.644]  In a true free society, make decisions through that and then better ideas, better systems will come to the fore and then become dominant if we didn't have this overarching crime syndicate and we were able to educate the public not to reform it.
[01:22:33.826 --> 01:22:34.366]  Sure, yes.
[01:22:34.486 --> 01:22:36.267]  In the interim, yes.
[01:22:36.407 --> 01:22:37.687]  You have to have a protection element.
[01:22:37.947 --> 01:22:39.887]  This is a system based on differential advantage.
[01:22:40.188 --> 01:22:41.428]  You have to protect yourself.
[01:22:41.748 --> 01:22:42.428]  That's what the system is.
[01:22:42.448 --> 01:22:43.808]  And the government has more power.
[01:22:43.828 --> 01:22:46.689]  The global corrupt corporations are arming themselves against us.
[01:22:47.009 --> 01:22:50.330]  So in this paradigm I'm in, I need to be able to defend myself.
[01:22:51.130 --> 01:22:51.750]  I never said that.
[01:22:52.170 --> 01:22:53.031]  You didn't have to.
[01:22:53.091 --> 01:22:53.911]  I didn't say you did.
[01:22:53.951 --> 01:22:54.811]  I was saying what I thought.
[01:22:55.444 --> 01:22:55.964]  Yes, of course.
[01:22:56.104 --> 01:22:56.525]  Absolutely.
[01:22:56.565 --> 01:23:00.207]  This is the distortion that we currently live in.
[01:23:00.727 --> 01:23:04.289]  This system will continue to perpetuate itself until root causes are addressed.
[01:23:04.349 --> 01:23:05.510]  Things like tasers.
[01:23:05.730 --> 01:23:08.051]  You're sitting there battling these tiny little things, which is good.
[01:23:08.431 --> 01:23:12.093]  I think it's great that you go after and you report and you expose all these little things.
[01:23:12.153 --> 01:23:12.954]  We'll cover it all, though!
[01:23:13.414 --> 01:23:19.822]  They're never, ever going to stop until we adjust the society itself to the environment that we live in.
[01:23:19.842 --> 01:23:25.850]  Well, actually, we've called in Austin and San Antonio and Dallas to ban them, and now they're restricting them all over the country and restricting them.
[01:23:25.870 --> 01:23:31.497]  The San Antonio police chief just said they're going to take a lot of them away and restrict their use, and so they're being curtailed.
[01:23:31.937 --> 01:23:33.858]  Well, that's good, but I mean in general.
[01:23:33.918 --> 01:23:35.558]  There's always going to be new things that are going to come out.
[01:23:35.578 --> 01:23:36.939]  There's always going to be... Well, here's an example.
[01:23:36.959 --> 01:23:39.800]  Bush said we couldn't protest eight years ago, seven years ago.
[01:23:40.060 --> 01:23:41.321]  They lost a bunch of lawsuits.
[01:23:41.361 --> 01:23:41.841]  We fought it.
[01:23:42.101 --> 01:23:44.322]  Now they're backing off the free speech zones in a lot of areas.
[01:23:44.861 --> 01:23:45.381]  Yes, sure.
[01:23:45.401 --> 01:23:48.123]  So, as I said... But I'm not battling little things.
[01:23:48.183 --> 01:23:50.125]  I mean, this is a four-hour radio show.
[01:23:50.145 --> 01:23:51.005]  We're covering it all.
[01:23:51.325 --> 01:23:56.189]  We bring a lot of... Yes, I'm saying that it's the larger scheme elements that we have to be concerned with.
[01:23:56.549 --> 01:23:59.971]  We can continue to deal with this and resolve certain things, exposing 9-11.
[01:24:00.011 --> 01:24:01.072]  I'm for all of this.
[01:24:01.092 --> 01:24:09.958]  Well, you're not going to have the material for any type of society you're talking about, and I agree with a lot of it, without having a generally enlightened public.
[01:24:09.998 --> 01:24:14.761]  And the mainstream media is not doing that, so I'm trying in my own little way.
[01:24:15.762 --> 01:24:18.605]  Of course, and I'm agreeing with you, Alex.
[01:24:18.946 --> 01:24:22.650]  The mainstream media is conditioning people to support the establishment.
[01:24:22.710 --> 01:24:28.877]  Everyone's been brainwashed in this system from top to bottom to support the establishment, and that's what has to change.
[01:24:29.277 --> 01:24:34.103]  The change has to begin initially inside, and then we have to adjust the environment to support that change.
[01:24:34.563 --> 01:24:37.525]  Until that happens, my point is that it's just going to keep happening.
[01:24:37.545 --> 01:24:38.665]  There's going to be something else in place.
[01:24:38.685 --> 01:24:40.646]  There's going to be another free speech zone.
[01:24:40.666 --> 01:24:42.927]  Well, I have some little two and three minute... Well, I agree.
[01:24:42.967 --> 01:24:50.611]  The evil, the corrupt system continues to generate always more and more of the bad things we're talking about.
[01:24:50.971 --> 01:24:52.332]  We're going back live right now.
[01:24:52.352 --> 01:24:53.972]  We've only got about 27 minutes left.
[01:24:54.373 --> 01:24:58.534]  And I've got some two and three minute clips I want to play and then have you comment on them.
[01:24:58.575 --> 01:25:00.355]  I think there's four of them when we come back.
[01:25:00.395 --> 01:25:03.797]  So let's try to play those and then tell folks about your website and how they can buy
[01:25:04.097 --> 01:25:11.381]  This song is about being self-sufficient, living on your own property.
[01:25:27.405 --> 01:25:29.507]  I believe decentralization is the key.
[01:25:30.267 --> 01:25:38.615]  We need more Americans to move to the countryside, to become organic farmers, to create communities where they trade and barter together.
[01:25:38.795 --> 01:25:50.826]  You know, not big, huge, expansive thoughts that I think are important, but also the little thoughts, the little things that lead in a journey to something better.
[01:25:52.647 --> 01:26:02.513]  But now you can't because they're shutting down the farms and ranches under the phony environmental rules.
[01:26:06.195 --> 01:26:09.477]  There aren't too many things these old boys can't do.
[01:26:10.878 --> 01:26:18.863]  All right, we are back live with the creator of Zeitgeist, very talented TV editor and producer, Peter Joseph.
[01:26:20.046 --> 01:26:30.873]  And working in the corrupt New World Order system, as we all work in it in some way or another, he decided to go out and put it out free on the internet, Zeitgeist, but I do think he should be supported, all alternative films should be.
[01:26:31.334 --> 01:26:37.318]  I think you should, while we're still in this system, buy his DVD.
[01:26:37.918 --> 01:26:45.163]  How, unless I'm committing a sin here, how do we buy your DVD, Zeitgeist and the Zeitgeist Addendum?
[01:26:45.908 --> 01:26:47.109]  No, there's no sin committed.
[01:26:47.129 --> 01:26:49.650]  You can get it for five bucks from ZeitgeistMovie.com.
[01:26:49.670 --> 01:26:58.216]  I'm going to have the full disc downloadable in a torrent in high resolution, full resolution within a day or two, so you can get the whole thing downloaded and burn it yourself.
[01:26:59.164 --> 01:26:59.944]  Okay, fantastic.
[01:26:59.984 --> 01:27:02.385]  Let me start getting into these clips, or we'll run out of time.
[01:27:02.405 --> 01:27:07.086]  And I want to have you back again, if you'd grace us, to take phone calls in the next month or so.
[01:27:08.127 --> 01:27:12.928]  And overall, this will be positive, because it's been an enlightening discussion, and I said mean things.
[01:27:12.968 --> 01:27:14.268]  I didn't mean them to be taken meanly.
[01:27:14.528 --> 01:27:16.549]  I'm just aggressive, conditioned, warmock.
[01:27:17.189 --> 01:27:18.210]  Let's go ahead and...
[01:27:19.890 --> 01:27:22.651]  But I'm a good guy, so it's good that I'm more like fighting the evil, isn't it?
[01:27:22.691 --> 01:27:24.831]  If we were all passive, we'd be defeated.
[01:27:25.731 --> 01:27:27.951]  But I guess, again, that's my condition.
[01:27:27.991 --> 01:27:29.692]  I thought it was my genetics, but I think it's both.
[01:27:30.232 --> 01:27:32.712]  Let's play a clip from near the first of Zeitgeist to Denim.
[01:27:32.732 --> 01:27:34.693]  That's Zeitgeist 2, I guess, for lack of a better word.
[01:27:35.873 --> 01:27:40.354]  And this is on money and some other issues, like the family.
[01:27:40.414 --> 01:27:40.794]  Here it is.
[01:27:43.394 --> 01:27:47.855]  In a world where 1% of the population owns 40% of the planet's wealth,
[01:27:48.672 --> 01:28:02.436]  In a world where 34,000 children die every single day from poverty and preventable diseases, and where 50% of the world's population lives on less than $2 a day, one thing is clear.
[01:28:03.536 --> 01:28:05.057]  Something is very wrong.
[01:28:06.357 --> 01:28:13.999]  And whether we are aware of it or not, the lifeblood of all of our established institutions, and thus society itself, is money.
[01:28:15.492 --> 01:28:22.673]  Therefore, understanding this institution of monetary policy is critical to understanding why our lives are the way they are.
[01:28:23.634 --> 01:28:27.354]  Unfortunately, economics is often viewed with confusion and boredom.
[01:28:27.914 --> 01:28:35.076]  Endless streams of financial jargon coupled with intimidating mathematics quickly deters people from attempts at understanding it.
[01:28:35.736 --> 01:28:41.077]  However, the fact is, the complexity associated with the financial system is a mere mask.
[01:28:41.664 --> 01:28:42.144]  Okay, that's enough.
[01:28:42.164 --> 01:28:44.625]  I mean, that's invaluable information, and he goes through the facts.
[01:29:07.370 --> 01:29:15.756]  But to say that these private cartels that sit above the entire world economy, that this fraud is free market.
[01:29:16.216 --> 01:29:20.919]  Free market is, I raise a bunch of pigs and go and trade them for a bunch of corn to feed more of my pigs.
[01:29:21.560 --> 01:29:28.024]  Or I'm a gunsmith and I fix somebody's rifle for them and they give me a little gold piece or a silver piece.
[01:29:28.965 --> 01:29:35.889]  So I just think that compared to all the other systems man has tried to create, I don't think it's fair to call this a free market.
[01:29:35.909 --> 01:29:36.650]  What we have is
[01:29:37.670 --> 01:29:47.618]  Private central banking families coming in, getting control of government, and then using that as an engine to expand their control through empire, and it's a totally unfair system.
[01:29:48.058 --> 01:29:53.182]  So, I mean, they are the only ones that can create the symbols that are seen as wealth, and it's a complete fraud.
[01:29:53.563 --> 01:30:06.253]  But, I mean, what's wrong with having a government-issued currency that is controlled, and that can be expanded or contracted, but having public education debate about it, so that we can grease the skids of interaction, commerce?
[01:30:07.540 --> 01:30:07.960]  Well, sure.
[01:30:08.160 --> 01:30:19.946]  I would say that the corruption, of course, is extremely prevalent, but the difference between what I would argue and what you would argue is probably the fact that the corruption you're seeing now is, in fact, created by the system itself.
[01:30:20.086 --> 01:30:25.409]  It's simply a matter of time, because the entire monetary system is based on differential advantage.
[01:30:25.973 --> 01:30:33.602]  See, in the early, early, early days, where you actually bartered for something else, there's less likely to be corruption now.
[01:30:34.103 --> 01:30:37.968]  Insider trading, you know, the general manipulation, planned obsolescence.
[01:30:38.308 --> 01:30:44.396]  This is a different world with strategies for profit that do not give a damn about human
[01:30:45.111 --> 01:30:45.812]  Humans at all.
[01:30:46.012 --> 01:30:49.855]  The human value is second to monetary gain rampantly.
[01:30:49.895 --> 01:30:50.876]  You can see this everywhere.
[01:30:50.896 --> 01:30:54.719]  But how do we even get the public to recognize the Federal Reserve is private and is a fraud?
[01:30:54.759 --> 01:30:59.903]  Well, through great films like yours and the Money Masters that we have available, by the way, at Infowars.com.
[01:31:00.283 --> 01:31:03.145]  Three-hour film on the subject to really get deep into it.
[01:31:03.665 --> 01:31:07.188]  I mean, I mean... Of course, that's why I have it in there.
[01:31:07.208 --> 01:31:10.651]  My point, though, is that you have to look at the psychological ramifications of the monetary system.
[01:31:11.112 --> 01:31:11.452]  You can't.
[01:31:11.713 --> 01:31:12.674]  You can't have the system.
[01:31:12.754 --> 01:31:13.435]  It's not going to work.
[01:31:13.655 --> 01:31:18.841]  The corruption you see, like, for example, Ed Griffin put out this extremely projected review of my film.
[01:31:18.861 --> 01:31:22.705]  He states outright that the free enterprise system is great if it was allowed to work.
[01:31:22.725 --> 01:31:24.847]  Well, there's no such thing as the free enterprise system.
[01:31:25.168 --> 01:31:25.849]  It never existed.
[01:31:25.889 --> 01:31:26.890]  It's never going to exist.
[01:31:27.256 --> 01:31:29.319]  We have different stratifications.
[01:31:29.459 --> 01:31:39.451]  But when we see it partially existing, or in its pure form, it does create the greatest amount of goods and services and homes and food and medicine for the citizenry.
[01:31:39.471 --> 01:31:39.751]  Actually, no.
[01:31:40.212 --> 01:31:44.136]  No, actually, resource management and technology creates those things, along with human ingenuity.
