[00:00:13.493 --> 00:00:15.434]  It is already the second day of July 2008.
[01:15:26.597 --> 01:15:32.045]  Just click the radiographic and enter promo code 500 to get a free trial and a free webcam too.
[01:15:32.065 --> 01:15:32.465]  Hey John!
[01:15:32.506 --> 01:15:33.287]  Remember that code.
[01:15:34.440 --> 01:15:39.401]  Remember I gave you last- Sydney, finalized a contract in London and demoed our new product in Boston.
[01:15:39.821 --> 01:15:42.022]  Online, from my desk, with Webex.
[01:15:42.442 --> 01:15:45.523]  Webex lets me take meetings and give presentations from my desk.
[01:15:45.723 --> 01:15:50.364]  I just talk to clients on the phone and they watch what's happening on my desktop from their desktop.
[01:15:50.524 --> 01:15:53.285]  So I can travel the world and still be here for my date today.
[01:15:54.523 --> 01:15:56.464]  Imagine the power trip of the elite.
[01:15:57.345 --> 01:15:59.006]  They know what the real technologies are.
[01:15:59.066 --> 01:16:00.426]  They know what's really going on.
[01:16:00.446 --> 01:16:05.429]  While we're down here talking about Hollywood squares and the NFL.
[01:16:06.770 --> 01:16:09.892]  Not even knowing the three branches of the transparent government.
[01:16:10.970 --> 01:16:16.892]  We're going to see Hogle, and we're going to have him back up for two hours in the near future to really get into all the wild evidence he's got.
[01:16:16.912 --> 01:16:21.533]  I mean, NASA now basically has admitted they put red filters over the atmosphere to make it look red.
[01:16:21.573 --> 01:16:23.014]  They admit now the sky is blue.
[01:16:24.034 --> 01:16:25.594]  They found ice all over Mars.
[01:16:25.614 --> 01:16:27.815]  I mean, that's the admitted stuff is amazing.
[01:16:28.235 --> 01:16:33.057]  Why would they cover that up in the past and say, oh, we put a red filter on to make the contrast better for you?
[01:16:34.077 --> 01:16:35.118]  to play along with that.
[01:16:36.199 --> 01:16:37.860]  But imagine being members of the elite.
[01:16:37.920 --> 01:16:44.425]  They get to fight and jostle and always try to get to the next level of the pyramid, to find out more, to be explorers.
[01:16:44.946 --> 01:16:50.790]  It's the ultimate greediness by these people to wall off the general world from true knowledge.
[01:16:52.151 --> 01:16:53.953]  I mean, I want to teach people things.
[01:16:54.033 --> 01:16:54.874]  I want to learn things.
[01:16:54.934 --> 01:16:56.034]  I want to show people things.
[01:16:56.575 --> 01:17:02.520]  I guess they love hoarding all the secret knowledge because it gives them the power, but that's what Ray Kurzweil and all these futurists say.
[01:17:03.120 --> 01:17:08.664]  Well, obviously this has been on my mind from the beginning when I started putting the dots together and realized there were two separate realities.
[01:17:08.704 --> 01:17:10.586]  Actually, more than two, but two will basically suffice for now.
[01:17:31.878 --> 01:17:36.202]  And I've been trying to back-engineer what's the endgame, what's the big picture?
[01:17:37.343 --> 01:17:48.132]  Well, one big picture is that the human race is much older and more extraordinary, astounding, astonishing, than anyone has ever been allowed to believe, certainly in modern times.
[01:17:49.253 --> 01:17:57.801]  If you go to ancient texts, ancient wisdom, ancient documents, ancient sacred writings, you find ample evidence that the human race is
[01:17:58.442 --> 01:18:06.811]  Millions and millions and millions of years old, and that we used to have an incredibly fabulous high-tech civilization that allowed human beings to live like gods.
[01:18:07.632 --> 01:18:08.913]  And then something happened.
[01:18:09.554 --> 01:18:13.778]  The Fall, as we term it in the Western idiom, you know, Genesis.
[01:18:14.459 --> 01:18:17.422]  And now we're basically living almost at a sustenance level.
[01:18:18.115 --> 01:18:35.709]  We're being told now that we have to, in the face of extraordinary physical crises of energy, the lifeblood of civilization, without which everybody becomes poor or dead quickly, we're told we have to drill for something which is ridiculous and primitive as oil.
[01:18:35.749 --> 01:18:40.273]  When they have plenty of advanced technologies, they've invented... Oh, there's incredible advanced technologies.
[01:18:40.293 --> 01:18:45.017]  So, the endgame, one of the endgames, is if you control people's sustenance,
[01:18:45.592 --> 01:18:55.021]  If you control the energy in which they live, the resources which they utilize, and the information under which they operate, you control them totally.
[01:18:55.642 --> 01:19:05.471]  So one of the games... And that's it, we're inside a bottle, we're inside a matrix, not an electronic matrix, but garbage being fed into our cerebral cortexes.
[01:19:05.851 --> 01:19:09.194]  And well listen, I have to tell you, that's what all this fits into.
[01:19:09.955 --> 01:19:18.500]  And that's what my instincts and all of my larger knowledge tells me is that if you look at humans, we don't act or behave like anything we see, Terran.
[01:19:18.780 --> 01:19:22.663]  To say we're connected to monkeys and chimpanzees and all the rest of it's a total joke.
[01:19:23.143 --> 01:19:25.985]  And then you do look at Mars and all the legends and the rest of it.
[01:19:26.005 --> 01:19:27.125]  It isn't Martians, folks.
[01:19:27.626 --> 01:19:28.426]  It's us.
[01:19:28.606 --> 01:19:29.587]  I mean, is that what you're saying?
[01:19:30.147 --> 01:19:30.848]  That's what I'm saying.
[01:19:30.908 --> 01:19:32.789]  Now, you have titled your
[01:19:33.656 --> 01:19:36.177]  One of your websites, PrisonPlanet.com.
[01:19:36.217 --> 01:19:39.119]  I always thought to myself, what did Alex figure out?
[01:19:39.139 --> 01:19:40.319]  But he realizes... No, that's it.
[01:19:40.359 --> 01:19:41.580]  We're in a false reality.
[01:19:41.720 --> 01:19:43.361]  I just don't know what it is.
[01:19:43.381 --> 01:19:44.641]  I know they're building camps.
[01:19:44.961 --> 01:19:48.443]  I know they're poisoning us, dumbing us down, genetic engineering us down.
[01:19:48.723 --> 01:19:58.568]  That's all admitted, and I'm trying to branch out now and at least get people thinking about the next level, because all my instincts tell me there's just unbelievable, fabulous things being hidden from us.
[01:19:58.988 --> 01:20:13.447]  Okay, number two, if you get that they're keeping all the good stuff for themselves, the reason is that if we got access to the good stuff, if we got access to the technologies, the energy, you know, we wouldn't be worried about $4, $5 a gallon gas or $10 a gallon gas.
[01:20:15.310 --> 01:20:24.354]  We would live like people are supposed to live, all six billion of us, who could live lightly on the earth, Alex, with this technology.
[01:20:24.514 --> 01:20:25.315]  And live longer!
[01:20:25.535 --> 01:20:26.195]  And live longer!
[01:20:26.695 --> 01:20:33.779]  Absolutely, and better, and, you know, you could live to two, three hundred and have the virility of your twenties and thirties.
[01:20:34.159 --> 01:20:40.422]  There's extraordinary medical breakthroughs, there's extraordinary physics breakthroughs, technology breakthroughs, energy.
[01:20:40.882 --> 01:20:42.883]  It's all been kept away because
[01:20:43.723 --> 01:20:45.924]  They are supposed to have it, and we're not.
[01:20:46.144 --> 01:20:48.646]  So where does that dichotomy come from?
[01:20:48.886 --> 01:20:50.827]  And by the way, folks, don't roll your eyes at all this.
[01:20:50.867 --> 01:20:52.208]  We know they're lying and suppressing.
[01:20:52.228 --> 01:20:53.468]  We're just trying to find out what it is.
[01:20:53.949 --> 01:20:54.469]  Think about it.
[01:20:54.489 --> 01:21:05.855]  We're already on a planet hurtling through space, all these wonders around you, and you've been taught it's bizarre to question, and that's because there's so many kooks in the alternative movement.
[01:21:06.155 --> 01:21:07.096]  The lie is different at every level.
[01:21:28.894 --> 01:21:32.216]  EnterpriseMission.com and DarkMission.net.
[01:21:32.236 --> 01:21:32.636]  Anytime Alex.
[01:21:32.656 --> 01:21:33.457]  It's been fun.
[01:21:33.497 --> 01:21:34.057]  By all means.
[01:21:34.077 --> 01:21:34.437]  Okay, you too.
[01:21:34.457 --> 01:21:34.517]  Bye.
[01:21:58.411 --> 01:21:59.392]  Okay, you got the next guest on?
[01:21:59.552 --> 01:22:00.113]  Tides again.
[01:22:01.014 --> 01:22:04.857]  EnterpriseMission.com and DarkMission.net.
[01:22:05.258 --> 01:22:08.561]  Okay, hey, I want to get you up in the next few weeks if you'll do it for even longer.
[01:22:08.581 --> 01:22:09.102]  Anytime, Alex.
[01:22:09.602 --> 01:22:10.042]  Thank you, Richard.
[01:22:10.062 --> 01:22:10.423]  It's been fun.
[01:22:10.683 --> 01:22:11.364]  Thank you, Richard.
[01:22:11.384 --> 01:22:13.246]  Let me say bye to you behind the scenes here.
[01:22:14.887 --> 01:22:15.788]  We're on the march.
[01:22:16.268 --> 01:22:17.890]  The Empire's on the run.
[01:22:18.811 --> 01:22:21.474]  Alex Jones and the GCN Radio Network.
[01:22:24.893 --> 01:22:30.780]  Attention GCN listeners, would you like to watch uncensored, unregulated, even banned TV on your computer?
[01:22:30.880 --> 01:22:42.354]  Well now you can watch satellite TV on your PC with an extremely simple hookup that allows computer owners to pick up more channels than any sane person can even watch without paying monthly cable or satellite fees.
[01:22:42.754 --> 01:22:43.594]  Here's the story.
[01:22:43.894 --> 01:22:51.757]  New video feed technology lets anyone with a high-speed internet connection gain instant access to an endless list of underground channels from all over the globe.
[01:22:52.057 --> 01:22:53.117]  And here's the best part.
[01:22:53.197 --> 01:22:54.518]  It's 100% legal.
[01:22:54.898 --> 01:23:01.020]  And it works at home, the office, or even in other countries to grab television channels and video feeds at your command.
[01:23:01.320 --> 01:23:05.621]  GCN listeners can use it to watch hundreds of conspiracy videos absolutely free.
[01:23:06.141 --> 01:23:10.305]  Best of all, you could be watching free TV on your PC in five minutes or less.
[01:23:10.465 --> 01:23:11.286]  It's that simple.
[01:23:11.586 --> 01:23:14.909]  Just go to www.orderfreetv.com.
[01:23:15.229 --> 01:23:18.212]  That's www.orderfreetv.com.
[01:23:18.512 --> 01:23:24.117]  To watch unregulated TV on your PC, go to www.orderfreetv.com.
[01:23:24.875 --> 01:23:25.416]  Hey, Bonnie.
[01:23:25.576 --> 01:23:26.998]  No more pickpocketing for us.
[01:23:27.278 --> 01:23:31.423]  I have an easier way we can steal people's credit cards without them even knowing they've been robbed.
[01:23:31.604 --> 01:23:32.705]  How so, Clyde?
[01:23:32.885 --> 01:23:35.629]  I have this RFID reader I picked up on the internet.
[01:23:35.809 --> 01:23:40.475]  Just by waving it near you, I can skim your credit card information while your cards are still in your purse.
[01:23:40.675 --> 01:23:41.196]  Just watch.
[01:23:41.826 --> 01:23:43.728]  Hey look, that's my info on the screen.
[01:23:43.888 --> 01:23:45.129]  You gotta be kidding me.
[01:23:45.370 --> 01:23:45.610]  Nope.
[01:23:45.750 --> 01:23:49.814]  With 50 million credit cards with hidden RFID chips, I figure we'll make a fortune.
[01:23:50.054 --> 01:23:52.276]  As long as people don't hear about Identity Stronghold.
[01:23:52.477 --> 01:23:52.797]  Why?
[01:23:53.017 --> 01:23:54.779]  What's Identity Stronghold?
[01:23:54.979 --> 01:23:56.320]  They make the Secure Sleeve.
[01:23:56.521 --> 01:24:00.084]  When people keep their credit cards in the shielded Secure Sleeve, I can't read them.
[01:24:00.124 --> 01:24:03.087]  Do a lot of people already know about the Secure Sleeve?
[01:24:03.207 --> 01:24:03.748]  No way.
[01:24:04.048 --> 01:24:07.430]  Most people don't realize they even have chips in their credit cards and passports.
[01:24:07.570 --> 01:24:10.211]  Clyde, we should get some of those secure sleeves.
[01:24:10.351 --> 01:24:11.251]  I already got some.
[01:24:11.452 --> 01:24:13.132]  I also got some to fit our passports.
[01:24:13.352 --> 01:24:18.075]  Identity Stronghold has secure sleeves for sale right on the internet at idstronghold.com.
[01:24:18.335 --> 01:24:19.976]  idstronghold.com?
[01:24:20.196 --> 01:24:20.516]  Right!
[01:24:20.676 --> 01:24:21.676]  Or you can call them at 1-800-610-2770.
[01:24:26.101 --> 01:24:26.862]  Attention please!
[01:24:27.002 --> 01:24:29.445]  I've come with a message of information!
[01:24:29.465 --> 01:24:31.648]  9-11 was an inside job!
[01:24:31.708 --> 01:24:33.229]  Do you like being a puppet, sir?
[01:24:33.249 --> 01:24:34.891]  Do you like being a puppet for the New World Order?
[01:24:34.951 --> 01:24:37.775]  How do the American people know that 9-11 was a state?
[01:24:37.795 --> 01:24:41.499]  It wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR...
[01:24:51.120 --> 01:24:53.624]  Seven years after the attacks of September 11th.
[01:24:53.704 --> 01:24:58.712]  George Martin was the co-captain of the New York Giants and laid big blue to a Super Bowl victory.
[01:24:58.812 --> 01:25:04.942]  Today he accomplished another amazing feat, finishing a walk all the way across the country to raise money for the forgotten heroes of 9-11.
[01:25:06.753 --> 01:25:08.575]  Heroes come in all shapes and sizes.
[01:25:08.695 --> 01:25:16.361]  In stature, George Martin is one of the larger ones, but in his mind, he's shadowed by the ones that ran towards the towers that day in September.
[01:25:16.662 --> 01:25:18.663]  And that's why he walks now in June.
[01:25:18.984 --> 01:25:22.106]  To me, the mental part of it was more difficult than the physical aspect of it.
[01:25:22.167 --> 01:25:29.453]  I think because of my athletic ability, it made it a little bit easier, but the mental challenge of doing this repetitively day in and day out, that was the real grind.
[01:25:29.973 --> 01:25:41.743]  3,000 miles, 10 months, 24 pairs of shoes, and 80 sets of socks later, he arrives in San Diego the hard way, via the highway from Manhattan, met by firemen, cops, and his NFL brother.
[01:25:43.940 --> 01:25:47.584]  George endured a lot during his trek, which averaged 22 miles a day.
[01:25:48.024 --> 01:25:54.971]  He dropped 40 pounds, but also raised $2 million for folks with health-related problems linked to 9-11.
[01:25:55.451 --> 01:25:58.754]  A journey, to be sure, of mind, body, and soul.
[01:25:59.054 --> 01:26:05.400]  I want to encourage everyone who is moved by what they're seeing today, or what they're experiencing today, to make their presence known as well.
[01:26:11.997 --> 01:26:12.898]  What a great guy!
[01:26:12.958 --> 01:26:15.179]  Not being self-centered, thinking about other people.
[01:26:16.200 --> 01:26:19.241]  Walking across the country raising more than two million dollars.
[01:26:20.322 --> 01:26:25.485]  ajourneyfor911.info And it all goes to the first responders.
[01:26:26.066 --> 01:26:31.169]  Two million, two thousand and thirty-one has already been raised.
[01:26:31.189 --> 01:26:39.514]  You can also call 1-800-889-8038 and give for the firemen, the police, the other emergency workers that were there.
[01:26:41.089 --> 01:26:43.590]  Let's go ahead and go to our guest.
[01:26:43.610 --> 01:26:51.394]  A lot of folks already know who he is because they're fans of the Giants or NFL football, George Martin, and of course played with the Giants top player.
[01:26:52.314 --> 01:26:54.515]  Mr. Martin, it is great to have you on with us.
[01:26:55.515 --> 01:26:57.216]  Well, thank you very much, and please call me George.
[01:26:57.936 --> 01:27:03.999]  George, how did you first learn about the plight of the first responders from the deadly dust?
[01:27:04.519 --> 01:27:05.960]  I mean, how did this form in your mind?
[01:27:06.020 --> 01:27:08.301]  How did this end up developing and happening?
[01:27:09.451 --> 01:27:20.597]  Well, first of all, I played all 14 of my NFL seasons right here in New York, and I certainly consider myself a transplanted New Yorker, so the events of 9-11, by and large, took place right here in our backyard.
[01:27:21.237 --> 01:27:30.482]  And when I witness the events and I go back in my mind's eye and I see that catastrophe unfolding, I see the horde just rushing away from that catastrophe.
[01:27:30.902 --> 01:27:36.985]  But I also see a small group of people who are actually running towards it, and that always had a profound impact on me.
[01:27:37.515 --> 01:27:55.141]  And when I found out later that post 9-11 that because of their exposure to the toxic cloud down at Ground Zero, that some of them had become ill and eventually some of them had died, I decided at that point in time to use my celebrity for two distinct purposes.
[01:27:55.741 --> 01:28:00.743]  Number one, to raise the awareness level of the plight of the first responders and rescue and recovery workers.
[01:28:01.263 --> 01:28:03.784]  And secondly, to raise funds for their medical treatment.
[01:28:04.084 --> 01:28:05.805]  And that was the essence of the journey for 9-1-1.
[01:28:08.280 --> 01:28:16.826]  Well, the way that the EPA knew the dust was deadly, they said it was safe to breathe, and then now they've been involved in a huge cover-up.
[01:28:16.846 --> 01:28:30.935]  They gave Christina Todd Whitman liability protection, a court did, and then they still won't give them the health care they need when it's only the cost of four or five smart bombs, you know, just a few hundred million dollars to give them all the treatment they need.
[01:28:31.476 --> 01:28:32.796]  Why won't they give them the treatment?
[01:28:32.816 --> 01:28:33.437]  I don't understand.
[01:28:34.505 --> 01:28:40.790]  Well, it's perplexing to me, particularly when these individuals act, to me, rises to the level of being heroic.
[01:28:41.231 --> 01:28:46.755]  And as you said, they put their very health, their careers, and their very lives on the line here.
[01:28:47.236 --> 01:28:52.400]  Why hasn't America and Americans responded in kind to these brave men and women?
[01:28:52.860 --> 01:29:01.848]  And it's so perplexing to me that I think in many regards it angered me, but not to the point where I would do what most of the government is doing, local and state,
[01:29:02.313 --> 01:29:02.733]  I think so.
[01:29:12.771 --> 01:29:17.054]  This great country of mine, and I have no regrets whatsoever.
[01:29:34.386 --> 01:29:38.428]  Yeah, because $2 million is really just half of the story here.
[01:29:38.488 --> 01:29:56.117]  The bigger story is that with the three participating hospitals that we have that are associated with the Journey for 9-1-1, and they are Mount Sinai, Hackensack University Medical Center, and North Shore Long Island Jewish, each one of those three participating hospitals have pledged that for every dollar we raise,
[01:29:56.587 --> 01:30:01.515]  That they are going to contribute an additional dollar of medical services for these first responders.
[01:30:01.556 --> 01:30:02.457]  Well, that's amazing.
[01:30:02.497 --> 01:30:03.198]  That's amazing.
[01:30:04.320 --> 01:30:10.050]  In fact, Mount Sinai five years ago did the CAT scans and said they did have a horrible lung disease and still...
[01:30:10.902 --> 01:30:19.370]  I mean, we have to focus on this because, you know, you're doing this great thing to raise two million, now I guess it's over four million, because it's being matched, and that'll certainly help hundreds of these people.
[01:30:19.410 --> 01:30:23.555]  We have over a thousand who've died from this, fifty-something thousand that are sick from it.
[01:30:24.395 --> 01:30:27.438]  I mean, this could all be over overnight.
[01:30:27.479 --> 01:30:34.806]  I mean, have the feds, in all your investigations, said why they won't give any treatment to these people, or why the state's been doing that?
[01:30:35.814 --> 01:30:39.115]  Well, I've not heard any reason, or any good reason, why they have not.
[01:30:39.455 --> 01:30:52.538]  And again, that kind of angers me, because when you look at the cost that we're spending at this war, I mean, you're right, for a fraction of what we're involved in overseas, we could take care of this problem.
[01:30:52.558 --> 01:30:54.418]  I think they can do it in grand fashion.
[01:30:54.898 --> 01:31:03.460]  And I will commend some of the local congressmen, Carolyn Mahoney and some of her colleagues invited me to Washington.
[01:31:03.843 --> 01:31:12.787]  Yes, Dennis Kucinich and Mahoney did that, and we had cameras there, and that's in the film Truth Rising, that comes out July 4th, and you're right, but again, how could it be, and then that Congressman said,
[01:31:24.352 --> 01:31:26.813]  Well, I think what it does is it compounds an already disastrous situation.
[01:31:51.744 --> 01:31:52.125]  I think so.
[01:32:07.150 --> 01:32:09.172]  Well, let's go back to the great work you did.
[01:32:09.232 --> 01:32:13.035]  How did you raise two million plus dollars in this walk across the nation?
[01:32:33.376 --> 01:32:59.964]  Now that's a great question, because when you talk about marshalling resources, and this was really a team effort, there were so many people from the corporate side, from the philanthropist side, and also from the grassroots side, and I'd like to acknowledge some of those individuals, and first of all, there were two outstanding philanthropists here in New York by the name of Joe and Carol Rich, who themselves alone donated and contributed $911,000 for a journey for 9-1-1.
[01:33:02.958 --> 01:33:07.941]  I mean, kudos goes out to those individuals, because that's putting your money where their mouth is.
[01:33:08.402 --> 01:33:32.178]  And then we had such great corporate support, particularly from my company that I work for, AXA Equitable, which is the 14th largest company in the world, who allowed me to go out on this journey for the nine and a half months, who also was our title sponsor, because they marshaled all their resources among their employees, both nationally and locally, and they contributed mightily to this cause.
[01:33:32.771 --> 01:33:41.014]  And of course we had Best Western Hotels, which was the only hotel chain that stepped to the forefront, as that was our greatest expense going across country.
[01:33:41.314 --> 01:33:55.318]  Best Western stood up, as well as Roger Goodell, who's the commissioner of the National Football League, John Mara, who's the owner of the New York Giants, as well as my good friend Gene Upshaw down at the NFL Players Association, all contributed mightily to a journey for 9-1-1.
[01:33:56.297 --> 01:34:26.157]  Well, that's the only way we're going to make the world a better place, and if the Feds won't take our own tax money and help people that are dying, literally, I mean, even fire captains and fire chiefs are dead and dying, who are down there breathing this, and the police and firemen should think about this, and politically think about the fact that this is the type of government you have that won't even give you health care, and a retired NFL player has to go out and walk across the country to try to get a few million dollars
[01:34:27.157 --> 01:34:32.740]  I mean, what's your larger view, not just of the first responders and the tragedy, but just of the entire 9-11 event itself?
[01:34:53.991 --> 01:34:57.574]  Well, first of all, I'd like to say this because I think the ultimate irony is this.
[01:34:57.974 --> 01:35:01.697]  Here it is, we've all come to an agreement that it's not a matter of if.
[01:35:02.477 --> 01:35:06.320]  We know that in the future that there's likely to be another attack on America.
[01:35:06.820 --> 01:35:09.422]  And it's not a matter of if, it's only a matter of when.
[01:35:10.003 --> 01:35:16.608]  I did not want to give those brave men and women who now don the uniform of police, fire and rescue, and EMT
[01:35:17.483 --> 01:35:22.686]  A moment to pause because America would not stand behind them in their time of need.
[01:35:23.046 --> 01:35:31.491]  And I thought it was important for someone to stand fast and say, well, we're going to respond in kind the way these brave men and women have responded to us.
[01:35:32.111 --> 01:35:42.417]  Secondly, when you look at the nation's economy, when you look at how gas prices are just soaring through the roof, when you look at the housing meltdown, when you look at how it's costing more for the cost of living,
[01:35:42.845 --> 01:35:46.188]  And with inflation tacked on to that, here are people who are suffering.
[01:35:46.228 --> 01:35:51.032]  You're talking about Americans who are paying the ultimate price.
[01:35:51.333 --> 01:36:00.921]  It's just inconsolable for me to understand how we have abandoned together as a government to help these people in their gravest, darkest hour.
[01:36:03.584 --> 01:36:04.904]  Well, at least you're stepping up.
[01:36:06.265 --> 01:36:16.108]  Myself and a group called We Are Change in New York, we've raised pittance compared to what you have, about $50,000 for the Feel Good Foundation and a few other groups in New York.
[01:36:16.208 --> 01:36:21.270]  We sent thousands of gas masks and breathing apparatus the day after 9-11.
[01:36:21.290 --> 01:36:24.411]  We could see that concrete and mercury and arsenic and
[01:36:25.531 --> 01:36:31.554]  The asbestos would be bad when the media and the government were saying it was good for them, and then it wasn't a problem.
[01:36:32.254 --> 01:36:51.281]  So, you know, we've tried to do what we could, and again, people have got to ask themselves why they could end the PR nightmare, and they could have given them... I mean, even if the government was evil, the people running it were bad, they could have still taken care of the police and firemen and emergency workers, and then they wouldn't have this big nightmare, this big public relations nightmare.
[01:36:51.341 --> 01:36:52.642]  It just seems like such a
[01:36:53.542 --> 01:36:54.783]  Such a dumb move.
[01:36:54.803 --> 01:37:05.008]  I mean, I would imagine as you were walking for ten months across the country, boy, what a way to see America, that you were probably asking yourself that as you were walking, weren't you?
[01:37:06.028 --> 01:37:06.789]  Oh, absolutely.
[01:37:06.989 --> 01:37:20.916]  And the thing that is ironic to me, it's my understanding that there were funds that were allocated for the first responders and rescue and recovery workers, but it's been held up, I think, because of the perceived litigation that's going to come down the pike, because
[01:37:21.796 --> 01:37:26.360]  People are denied responsibility on the federal level and the state level and the local level.
[01:37:26.380 --> 01:37:29.502]  That's right, you just answered it, and that's the answer to all of it.
[01:37:29.922 --> 01:37:39.830]  If they give them health care when all the hospitals say they're dead and dying and their lungs are full and 20% capacity like you said, if they admit they're sick, then there could be liability, so they're just cutting them loose.
[01:37:41.051 --> 01:37:47.596]  Exactly, and although we realize this is a very litigious society, it should not preclude people from doing what is right.
[01:37:48.012 --> 01:37:54.240]  And it should not preclude the government from stepping up and fulfilling its obligation and its responsibility toward its citizens.
[01:37:54.660 --> 01:37:55.562]  I don't feel that that's right.
[01:37:56.224 --> 01:37:56.744]  Absolutely.
[01:37:56.804 --> 01:38:12.073]  Tell my listeners in closing, sir, in the few minutes we've got left with you, again, we're talking to a famous NFL player, of course, with the Giants, George Martin, who walked across the entire country and raised more than $2 million.
[01:38:12.093 --> 01:38:16.736]  Now it's been doubled up to $4 million for first responders of the 9-11 deadly dust.
[01:38:18.157 --> 01:38:22.221]  I will share with them a quick story that always had a profound impact on me as I was traveling.
[01:38:23.002 --> 01:38:27.506]  We were passed by this van and this grandmother got out of the van with five of her grandchildren.
[01:38:27.526 --> 01:38:28.066]  Four of them were males.
[01:38:43.385 --> 01:38:57.931]  And she lined them up along the road, and she pointed at us as we were walking toward us, and she said, I want my grandchildren to witness a part of history, and I want them to see a real American hero, and I want them to witness the selfless act of giving back to the community.
[01:38:58.311 --> 01:39:02.152]  She then reached in her purse, and she was a lady of very meager means.
[01:39:02.553 --> 01:39:06.174]  She contributed ten of the fourteen dollars that she had in her purse.
[01:39:06.693 --> 01:39:15.616]  And we were so reluctant to take it, but we realized that she was teaching her grandchildren a very valuable lesson that was worth more than the $10 that she had contributed.
[01:39:16.036 --> 01:39:25.259]  So for those individuals within the sound of our listening voice who would like their presence to be known and would like to make a difference in the lives of these heroes, please go to our website, which is
[01:39:27.265 --> 01:39:32.272]  A journey for 9-11.info or go to our toll free number which is 1-800-889-8038.
[01:39:41.326 --> 01:39:42.007]  Absolutely.
[01:39:42.587 --> 01:39:45.169]  And again, people think, oh, you can't save the world by giving.
[01:39:45.189 --> 01:39:51.414]  When you give to good things like this, it certainly does have an effect, and it also helps you because it softens your heart.
[01:39:53.156 --> 01:39:53.936]  What was the route?
[01:39:53.956 --> 01:39:59.301]  I mean, I know you've got a map there, but what was the route that you walked across the nation?
[01:40:00.562 --> 01:40:09.729]  Well, the thing that we wanted to do, because for the time of year we were leaving in the fall, we wanted to walk south so we could avoid any inclement weather coming for us.
[01:40:10.086 --> 01:40:13.487]  So we went as far as we thought was possible.
[01:40:13.527 --> 01:40:20.450]  So we started in New York, went through New Jersey, then Pennsylvania, down through D.C., Delaware, and then to Tennessee.
[01:40:20.470 --> 01:40:21.791]  We walked across Tennessee.
[01:40:22.131 --> 01:40:31.435]  We went across Arkansas into the panhandle of Texas, then New Mexico, on into Arizona, and eventually down into San Diego.
[01:40:31.695 --> 01:40:34.876]  We went through 13 states, including the District of Columbia.
[01:40:35.677 --> 01:40:39.078]  And that was just a marvelous, marvelous excursion.
[01:40:40.075 --> 01:40:46.177]  Our first inclination was safety first, and we did the entire 3,003 miles without any incident whatsoever.
[01:40:46.337 --> 01:40:49.618]  What was it like when you finally reached the sea there in San Diego?
[01:40:49.638 --> 01:40:53.799]  Well, it was a moment of elation, as you could probably understand.
[01:40:54.099 --> 01:40:59.681]  But it was also a period of mixed emotions, because here it is, we had been doing this for nine months.
[01:41:00.301 --> 01:41:02.862]  It was something that we absolutely were thrilled about.
[01:41:03.102 --> 01:41:05.343]  We did not have one single day where we missed
[01:41:05.669 --> 01:41:06.389]  We're good to go.
[01:41:28.743 --> 01:41:30.025]  Well, I'll say this, sir.
[01:41:46.471 --> 01:41:49.833]  It also exposes the fact that they're not getting the treatment they need.
[01:41:49.893 --> 01:42:05.501]  Not only does it get them some of the treatment, it exposes the fact that all over the country, with a lot of local newspapers and TV on the way, getting attention, now national attention, it's just an example of good people standing up and getting involved.
[01:42:06.562 --> 01:42:11.745]  In closing, how did you come up with the idea to do this and then put it into motion?
[01:42:12.765 --> 01:42:19.187]  Well, first, that's a great question, and to begin with, it's a blending of two very distinct passions that I have.
[01:42:19.727 --> 01:42:31.091]  First of all, as a country boy growing up in the outbacks of Greenville, South Carolina, I'd always had this wonderlust inherent in me, and I always wondered what was the larger picture of this great America that we lived in.
[01:42:31.485 --> 01:42:34.727]  Because my exposure was limited to that little farm that I grew up on.
[01:42:35.168 --> 01:42:37.750]  And I always wanted to see this country up close and personal.
[01:42:37.770 --> 01:42:39.491]  I'll tell you what, final segment coming up.
[01:42:40.152 --> 01:42:40.752]  Sir, stay there.
[01:42:40.772 --> 01:42:42.934]  I want to come back and finish up why you decided to do this.
[01:42:43.314 --> 01:42:46.496]  You know, how the idea finally popped into your head and how you did it.
[01:42:46.796 --> 01:42:49.398]  On the other side with our guest, George Martin.
[01:42:49.438 --> 01:42:49.839]  Stay with us.
[01:42:55.180 --> 01:42:58.122]  Imagine walking down the street and hearing footsteps behind you.
[01:42:58.582 --> 01:43:02.685]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[01:43:03.406 --> 01:43:05.107]  What are you going to do to defend yourself?
[01:43:05.907 --> 01:43:10.010]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[01:43:10.610 --> 01:43:18.696]  With everything from stun guns and tasers, to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[01:43:19.418 --> 01:43:20.338]  Not sure where to start?
[01:43:20.778 --> 01:43:24.139]  The Tebowtech Essentials Package is great for you or to share with your family.
[01:43:24.679 --> 01:43:35.402]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
