[00:00:00.289 --> 00:00:05.652]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com.
[01:20:57.017 --> 01:21:05.659]  You can get his books and videos, by the way, I want you to get them at InfoWars.com or also go to seedsofdeception.com.
[01:21:05.659 --> 01:21:10.501]  That's his site and find out about all the other organizations they have, the documents, the research.
[01:21:10.501 --> 01:21:13.121]  We're only skimming the surface here.
[01:21:13.121 --> 01:21:19.903]  As crazy as all this sounds, it just so happens the one plastic of hundreds they chose to have be the standard plastic used in the West is the one that
[01:21:20.584 --> 01:21:21.085]  We're good to go.
[01:21:30.029 --> 01:21:46.274]  The United Nations Biological Diversity Assessment 96 and others, it's in my film Road to Tyranny, where they state on record, we need to sterilize more than 80% of the world population, to reduce the world population, we need to look at binary weapon systems to do this.
[01:21:46.274 --> 01:21:55.076]  Now a binary weapon system is something where they combine two different things to actually create the weapon, to actually create the toxin.
[01:21:55.657 --> 01:21:56.580]  And that's a separate issue.
[01:21:56.580 --> 01:21:58.225]  I don't know if Mr. Smith wants to get into that.
[01:21:58.225 --> 01:22:00.633]  I'm not familiar with his research in that area.
[01:22:00.633 --> 01:22:02.398]  But this is about eugenics.
[01:22:03.466 --> 01:22:06.287]  But I want to start taking calls coming up in the next segment.
[01:22:06.287 --> 01:22:10.128]  I know we have had callers holding from the first about other issues, but I'm sorry.
[01:22:10.128 --> 01:22:13.829]  We're specifically talking about GMO or poisons or things in the food and water.
[01:22:13.829 --> 01:22:19.351]  And that number, of course, to join us is 877-590-5525.
[01:22:19.351 --> 01:22:31.475]  But Mr. Smith, continuing, you've gotten up to the latest, what, just two weeks ago, a European study by one of the top research outfits out of Europe in Austria.
[01:22:31.475 --> 01:22:32.095]  Please continue.
[01:22:32.682 --> 01:22:36.425]  Yes, this was an actual Austrian Government Commission study.
[01:22:36.425 --> 01:22:39.588]  A rare thing from the Government Commission's study.
[01:22:39.588 --> 01:22:42.410]  And it was also rare because it was long-term.
[01:22:42.410 --> 01:22:53.500]  They did four generations in one case, where they fed the mice, and then they took the offspring, and they fed the mice, and they took their offspring, so they had great-grandchildren.
[01:22:53.500 --> 01:22:59.425]  And they also did a thing where they took multiple litters, where they had one set of parents, and they gave four different litters.
[01:23:00.340 --> 01:23:20.904]  In the four different litters, and also in the multiple generation, in the third and fourth generation or litters, the number of offspring among the GM-fed mice and the weight of the offspring was less, showing levels of infertility and also offspring problems with their health.
[01:23:21.972 --> 01:23:30.158]  And it was very similar, in fact, to, of course, the Russian study where there was smaller offspring.
[01:23:30.158 --> 01:23:39.705]  But in this case there was less offspring also, showing clear trend, and in one case statistical significance, towards infertility and problems with the offspring.
[01:23:39.705 --> 01:23:42.828]  So we see it now in farmer reports.
[01:23:43.519 --> 01:23:48.241]  We see it in studies done on soybeans and studies done on corn.
[01:23:48.241 --> 01:23:50.902]  What about the potato study done by the British in the 90s?
[01:23:50.902 --> 01:23:52.203]  This was a brilliant study.
[01:23:52.203 --> 01:24:08.050]  A good friend of mine, Dr. Arpad Pustai, one of the world's leading researchers in his field, was commissioned by the UK government to create the ideal testing protocol which was going to be made law in the EU to assess the safety of GMOs.
[01:24:08.730 --> 01:24:14.154]  And he led 30 researchers in three different institutes to create the testing protocol.
[01:24:14.154 --> 01:24:19.017]  And he genetically engineered potatoes to produce an insecticide and fed it to rats.
[01:24:19.668 --> 01:24:21.229]  And the rats got quite sick.
[01:24:21.229 --> 01:24:27.093]  They got potentially precancerous cell growth in the digestive tract, smaller brains, livers, and testicles.
[01:24:27.093 --> 01:24:29.194]  There we have the testicles again.
[01:24:29.194 --> 01:24:32.276]  Partial atrophy of the liver, damaged immune system.
[01:24:32.276 --> 01:24:36.678]  Now he also fed controls natural potatoes and they didn't get sick.
[01:24:36.678 --> 01:24:40.821]  And he fed another set of controls natural potatoes spiked with the insecticide.
[01:24:41.281 --> 01:24:44.768]  That the GM potato was designed to produce and they didn't get sick.
[01:24:44.768 --> 01:24:47.673]  So it wasn't the insecticide that was being produced.
[01:24:47.673 --> 01:24:52.963]  It's the fact, and I've interviewed him, that it's wound into the DNA itself so the body gets tricked and is absorbing.
[01:24:53.779 --> 01:25:06.071]  The thing is, we don't know exactly what it is, but we can say, generically, the process of genetic engineering and all the things that can happen somehow caused the damage to the rats in just 10 days.
[01:25:06.071 --> 01:25:07.552]  And by the way, only 10 days.
[01:25:07.552 --> 01:25:11.275]  And by the way, they were only looking at that one area in rats.
[01:25:11.275 --> 01:25:16.020]  He said on the show that with the gene gun, it was also randomly doing other things to the potatoes.
[01:25:16.340 --> 01:25:17.661]  Of course, and that's what happens.
[01:25:17.661 --> 01:25:25.505]  And you know, there's one thing we haven't even discussed, and that's the fact that the genes could transfer inside our own DNA, our own gut bacteria, and that might have happened also.
[01:25:25.505 --> 01:25:30.268]  And we see all these diseases, Crohn's-like, just exploding off the charts suddenly.
[01:25:30.268 --> 01:25:31.549]  Everywhere where these foods are eaten.
[01:25:32.209 --> 01:25:41.593]  All the GI tract stuff, all the allergies, the autoimmune system stuff, all of that could easily be exacerbated by the fact that we're eating these genetically engineered crops.
[01:25:41.593 --> 01:25:48.116]  The only human feeding study ever conducted shows that the genes actually colonize the DNA of our gut bacteria.
[01:25:48.116 --> 01:25:55.499]  They continue to exist inside us long after we stop eating the genetically engineered... Okay, here's the $64 million question and then I want to go back into...
[01:25:56.079 --> 01:25:57.781]  All these horrors that are all documented.
[01:25:57.781 --> 01:26:01.444]  I haven't told you what happened to the researcher, you know, but your audience doesn't.
[01:26:01.444 --> 01:26:02.185]  Go ahead, what's the question?
[01:26:02.185 --> 01:26:03.726]  No, no, no, go ahead and finish up there and then.
[01:26:03.726 --> 01:26:15.558]  Why is Monsanto and Cargill and these other guys, we know it's about money and power and they brag that they're taking over the entire genetic code of the planet and ha ha ha, then they sue people when their own crops infect them.
[01:26:15.558 --> 01:26:16.919]  I mean, it's just amazing.
[01:26:18.576 --> 01:26:21.117]  But, why are they doing this to their own families?
[01:26:21.117 --> 01:26:28.199]  And then the answer is they built their own secret gene bunkers, gene arcs, what are the, you know, and now they admit they have them.
[01:26:28.199 --> 01:26:29.920]  There's a larger plan clearly there.
[01:26:29.920 --> 01:26:33.581]  I know you don't like to speculate, but why are they doing this?
[01:26:33.581 --> 01:26:38.183]  Well, let's tell you what happened to this fella, Arpad Pustai, when he was concerned.
[01:26:38.183 --> 01:26:45.585]  What happened was, he went public with his concerns about the effects of GMOs on the rats.
[01:26:46.164 --> 01:26:53.405]  And was a hero for about two days at the Routt Institute, the top research institute in nutrition in the UK, and one of the best in the world.
[01:26:53.405 --> 01:27:15.610]  And then, after two days of being praised up and down by the director, who is now giving press releases and holding press interviews, that director got a call from the Prime Minister's office, forwarded through the receptionist, two phone calls actually, and the next morning, Dr. Pustai was fired from his job after 35 years and silenced with threats of a lawsuit,
[01:27:16.130 --> 01:27:18.251]  But now the good news is years later he's been vindicated.
[01:27:34.259 --> 01:27:34.859]  Absolutely.
[01:27:34.859 --> 01:27:39.161]  He was allowed to speak before Parliament seven months later, which means he got his data back.
[01:27:39.161 --> 01:27:44.203]  There was an immediate peer review by 23 independent top scientists in the world.
[01:27:44.203 --> 01:27:46.164]  They all said his stuff was good.
[01:27:46.164 --> 01:27:57.729]  It's now published in The Lancet, and it's the most in-depth animal feeding study yet published on genetically engineered foods, implicating the process itself as causing this huge damage in just ten years.
[01:27:57.729 --> 01:28:00.250]  So why are the... how do they think they're going to get away with it?
[01:28:01.337 --> 01:28:10.594]  Well, one of the things is by keeping the number of studies so low and by in the United States eliminating the need for labeling, it's very hard to sue these companies.
[01:28:11.272 --> 01:28:18.134]  for damages to health, because you don't have... it's hard to say it's because of GMOs unless you've done the studies.
[01:28:18.134 --> 01:28:29.838]  Every time a study comes and points to a problem, the person who's gotten the study has lost their funding, denied tenure, fired, stripped of responsibilities, forced out, threatened, etc.
[01:28:29.838 --> 01:28:31.578]  And this is what we document.
[01:28:31.578 --> 01:28:37.600]  And so what we're having right now is there's less than three dozen peer-reviewed published animal feeding studies on Earth
[01:28:38.360 --> 01:28:42.201]  Even though these foods are being fed to a billion people for a dozen years.
[01:28:42.201 --> 01:28:47.183]  Alright, you're also involved in the Institute for Responsible Technology, ResponsibleTechnology.org.
[01:28:47.183 --> 01:28:52.905]  We'll tell folks about some of your books and videos when we get back in the new film about Monsanto.
[01:28:52.905 --> 01:29:02.428]  Ladies and gentlemen, this is real, this is happening, and I just want to warn everybody that please don't take this for granted that you're being warned.
[01:29:02.428 --> 01:29:05.949]  Check out the evidence for yourself, at least for your children.
[01:29:05.949 --> 01:29:06.589]  We'll be right back.
[01:29:09.301 --> 01:29:24.154]  Now that the election is over and the shock is beginning to wear off, Ready Reserve Foods, in an effort to get as many Americans prepared for the promised changes of the new administration, and to help you and your family survive the global economic crash, Ready Reserve is offering the pre-inauguration special.
[01:29:24.774 --> 01:29:32.001]  Between now and January 20th, 2009, all food units U1 through U7 are being offered at wholesale prices.
[01:29:32.001 --> 01:29:33.863]  That's a 33% savings.
[01:29:33.863 --> 01:29:37.566]  A year's supply of meals starts as low as 73 cents per meal.
[01:29:37.566 --> 01:29:41.370]  Ready Reserve Food offers only the highest quality dehydrated food.
[01:29:41.370 --> 01:29:46.214]  Packed in double enameled cans in an inert nitrogen atmosphere, allowing a 15 plus year
[01:29:46.254 --> 01:29:48.135]  How would you like to save up to 90% on your phone bill?
[01:30:15.499 --> 01:30:18.502]  It can be done thanks to Empire One Telecom.
[01:30:18.502 --> 01:30:25.228]  EOT offers voice over IP technology that will allow you to make phone calls from your home or business without the high cost.
[01:30:25.228 --> 01:30:30.092]  Take advantage of EOT's most popular plan, which includes unlimited long distance throughout the U.S.
[01:30:30.092 --> 01:30:34.255]  and Canada and 360 minutes of international calling for only $19.95 a month.
[01:30:36.983 --> 01:30:44.829]  Plus, all calling plans include over 40 special features, including call waiting, caller ID, and three-way calling free!
[01:30:44.829 --> 01:30:48.932]  Take your phone number on the road with you thanks to EOT's travel-friendly box.
[01:30:48.932 --> 01:30:53.476]  Simply plug your adapter into any internet connection and start making phone calls.
[01:30:53.476 --> 01:30:54.877]  It's that easy!
[01:30:54.877 --> 01:31:02.643]  So if you have a high-speed internet connection and are ready to dramatically lower your monthly phone bill, choose your plan now at EOTTech.com.
[01:31:02.643 --> 01:31:04.844]  That's EOTTech.com.
[01:31:04.844 --> 01:31:06.025]  EOTTech.com.
[01:31:08.416 --> 01:31:12.059]  Drought, crop failure, economic collapse, famine.
[01:31:12.059 --> 01:31:14.120]  Is this in America's future?
[01:31:14.120 --> 01:31:17.382]  Sadly, this is part of America's not-so-distant past.
[01:31:17.382 --> 01:31:24.928]  During the Great Depression, half of the American people grew much of their own food, but over 18 million people suffered from starvation.
[01:31:25.268 --> 01:31:29.512]  Today it's been estimated that only 1% of Americans grow their own food.
[01:31:29.512 --> 01:31:33.135]  Plan for your family's future and don't leave anything to chance.
[01:31:33.135 --> 01:31:40.062]  Go to GetSeeds.net and give the gift of life this Christmas and help ensure that if history repeats itself, you
[01:31:40.162 --> 01:31:40.662]  We're good to go.
[01:32:14.378 --> 01:32:16.320]  The time clock is ticking.
[01:32:16.320 --> 01:32:17.621]  Laws could change.
[01:32:17.621 --> 01:32:20.383]  The New World Order is advancing rapidly.
[01:32:20.383 --> 01:32:22.865]  Health consciousness is fading away.
[01:32:22.865 --> 01:32:28.369]  Junk food, fast food, fat food is the New World Order's game.
[01:32:28.369 --> 01:32:30.290]  Don't play the game!
[01:32:30.290 --> 01:32:36.615]  Slim down, detox, and cleanse yourself from the chemical foods and processed food that we intake daily.
[01:32:36.835 --> 01:32:38.396]  And now for the holiday special.
[01:32:38.396 --> 01:32:41.899]  Buy one month of Super Tee and we'll throw in an extra two weeks.
[01:32:41.899 --> 01:32:42.819]  That's right.
[01:32:42.819 --> 01:32:45.942]  One month of Super Tee and we'll throw in an extra two weeks.
[01:32:45.942 --> 01:32:48.103]  It won't last long, so order now.
[01:32:48.103 --> 01:32:49.845]  GetTheTee.com.
[01:32:49.845 --> 01:32:52.607]  That's GetTheTee.com.
[01:32:52.607 --> 01:32:53.507]  Or call us at 928-308-0408.
[01:32:53.507 --> 01:32:53.807]  That's 928-308-0408.
[01:32:53.807 --> 01:32:55.349]  Order now before you can't.
[01:33:09.687 --> 01:33:14.531]  Thank you for listening to GCN.
[01:33:14.531 --> 01:33:19.456]  Visit GCNlive.com today.
[01:33:27.146 --> 01:33:30.247]  Alright, we're going to have time for a few phone calls for our guests.
[01:33:30.247 --> 01:33:33.368]  Normally, you know, I would have gotten your calls earlier in the first hour.
[01:33:33.368 --> 01:33:34.629]  I know you're all over the map, callers.
[01:33:34.629 --> 01:33:37.850]  I'm not going to be able to get to folks, probably on other issues.
[01:33:37.850 --> 01:33:43.932]  But if you want to call in specifically on genetically modified foods and their effects and what you plan to do about it, we've got some solutions.
[01:33:43.932 --> 01:33:45.753]  Then the toll-free number is 877-590-5525.
[01:33:45.753 --> 01:33:45.833]  877-590-5525.
[01:33:45.833 --> 01:33:48.814]  You're listening to us out of the mothership station that we send the syndicated broadcast out on.
[01:33:56.664 --> 01:33:57.588]  News Radio 590 KLBJ, it's 836-0590.
[01:33:57.588 --> 01:33:58.672]  You disagree with us, call in.
[01:34:02.757 --> 01:34:04.018]  Believe me, I wish this wasn't true.
[01:34:04.018 --> 01:34:11.524]  It's hard to try to only get organic food for my children, or to ask them at restaurants when we're there and have them act like we're weirdos.
[01:34:11.524 --> 01:34:15.186]  I mean, I've never been, quote, a health nut on this big kick.
[01:34:15.186 --> 01:34:17.568]  I researched this myself and found out it was true.
[01:34:17.568 --> 01:34:20.870]  By the way, Jeffrey M. Smith's books are just gorgeous.
[01:34:20.870 --> 01:34:23.332]  They're like textbooks, but they're fun to read.
[01:34:23.332 --> 01:34:27.575]  They're big color photographs, documents, all the research is right there.
[01:34:27.575 --> 01:34:30.217]  You need to get the Deadly Gamble Combo.
[01:34:30.217 --> 01:34:32.299]  We have it at InfoWars.com in the shopping cart.
[01:34:33.259 --> 01:34:47.868]  It's got the two film, one audio CD combo pack in it, and then it's got his two books for one super low price, the GMO Trilogy DVD CD set from Jeffrey Smith.
[01:34:47.868 --> 01:34:49.709]  That's $19.95 by itself.
[01:34:49.709 --> 01:34:57.334]  Or you can get it in the deadly gamble combo with his two big books on the subject, Genetic Roulette and Seeds of Destruction.
[01:34:58.075 --> 01:35:02.821]  Uh, or you can get those separately again at Infowars.com.
[01:35:02.821 --> 01:35:09.330]  And before he leaves us, I'll get him to briefly talk more about those and the new film he's in about Monsanto that we're not selling yet, but we've just ordered.
[01:35:09.330 --> 01:35:14.257]  We'll have them on the shopping cart soon, but I hope you'll get it and have parties and show it to friends and family and neighbors.
[01:35:14.697 --> 01:35:16.659]  We have to educate people.
[01:35:16.659 --> 01:35:19.482]  And again, the good news is we could turn the corner on this.
[01:35:19.482 --> 01:35:23.165]  We're having some major victories in the fight against it.
[01:35:23.165 --> 01:35:28.350]  Jeffrey, continuing with that statement, I understand that they're able to cover it up through the controlled media.
[01:35:28.350 --> 01:35:34.837]  I understand that they limit the studies or go after the governments or institutions that do expose this, even when it's their own research.
[01:35:34.837 --> 01:35:36.018]  I understand how they're suppressing it.
[01:35:36.784 --> 01:35:38.745]  But, not completely successfully.
[01:35:38.745 --> 01:35:42.585]  Now, my issue is, why are they doing this?
[01:35:42.585 --> 01:35:44.606]  And, I mean, I really know why.
[01:35:44.606 --> 01:35:52.068]  It's part of the larger sterilization program against humans, and we see the sperm count dropping by 80%, women infertility exploding.
[01:35:52.068 --> 01:35:52.988]  I mean, this is everywhere.
[01:35:52.988 --> 01:35:56.829]  We know in pigs, we know in cows, we know in sheep, we know in rats, we know in mice.
[01:35:56.829 --> 01:35:57.849]  It's doing it.
[01:35:57.849 --> 01:36:00.850]  Animals we test that are similar to us, and it's happening.
[01:36:00.850 --> 01:36:03.371]  But, I mean, from what you know, why are they doing this?
[01:36:03.371 --> 01:36:04.971]  From what they admit, or what they've said.
[01:36:05.822 --> 01:36:23.736]  Well, what is interesting, Arthur Anderson Consulting was giving a lecture at a biotech conference in January 1999 and they described how they had worked with their client Monsanto by asking the executives to describe their ideal future in 15 to 20 years.
[01:36:23.736 --> 01:36:30.562]  And the executives described a world in which 100% of all commercial seeds were genetically engineered and patented.
[01:36:30.562 --> 01:36:33.064]  And so Anderson Consulting worked backwards from that goal
[01:36:33.737 --> 01:36:34.057]  We're good.
[01:36:48.209 --> 01:36:50.352]  Nature is still to replace nature.
[01:36:50.352 --> 01:37:06.632]  And even though there's only eight genetically engineered food crops, and you can find them at ResponsibleTechnology.org, along with a shopping guide on how to avoid them, ResponsibleTechnology.org, and even though there's only eight food crops that have been currently commercialized and still around,
[01:37:07.373 --> 01:37:15.963]  The issue is there's about 173 or so that have been field trialed in more than 50,000 field trials in the United States and around the world.
[01:37:15.963 --> 01:37:16.844]  And let's explain.
[01:37:16.844 --> 01:37:22.511]  They are militarily going into countries where it's illegal and secretly setting up growing operations.
[01:37:22.511 --> 01:37:24.673]  They're caught every week doing this.
[01:37:24.673 --> 01:37:28.057]  So they understand and that infects all the similar plants.
[01:37:28.277 --> 01:37:29.438]  That's what happened in Brazil.
[01:37:29.438 --> 01:37:36.621]  There were huge numbers of trucks of seeds coming across from Argentina planting illegal genetically engineered soy.
[01:37:36.621 --> 01:37:38.202]  It happened in Paraguay.
[01:37:38.202 --> 01:37:49.867]  It's happened in other places where it becomes so infected in the area that the government just gives up and says, well, I guess we have to approve it because it's already... Well, I remember, well, that's another Monsanto executive said that.
[01:37:49.867 --> 01:37:53.489]  He said, we're just going to take over so everything's infected and you don't have a choice.
[01:37:53.489 --> 01:37:57.311]  But I remember seeing like seven, eight years ago a headline on the BBC that
[01:37:58.873 --> 01:38:03.580]  89% of the ancient Mexican corn varieties have all been infected.
[01:38:03.580 --> 01:38:08.607]  Well, if you like this story, a friend of mine was debating with a person from USAID.
[01:38:09.682 --> 01:38:13.064]  Was definitely trying to push GMOs around the world.
[01:38:13.064 --> 01:38:15.866]  And he's debating on South African television.
[01:38:15.866 --> 01:38:19.749]  And after the lights go down, the cameras are shut off, they're still arguing.
[01:38:19.749 --> 01:38:22.471]  And at one point she says, you just wait.
[01:38:22.471 --> 01:38:28.515]  There'll be so much contamination of genetically engineered corn in South Africa, no one in Africa can grow non-GM corn.
[01:38:29.508 --> 01:38:40.215]  So she let it out of the bag that her intention was to contaminate the food supply forcibly so that no one could grow non-GM stuff.
[01:38:40.215 --> 01:38:48.902]  And their favorite is where the plant develops a pesticide in its own genetic code so bugs won't eat it or animals won't eat it, but then they feed it to us.
[01:38:48.902 --> 01:38:55.366]  And of course most animals have better olfactory nerves, noses, than we do.
[01:38:55.366 --> 01:38:57.127]  And so they're able to get away with this.
[01:38:57.127 --> 01:38:58.008]  So it's extremely
[01:38:58.628 --> 01:39:00.310]  Extremely cold-blooded and wide-reaching.
[01:39:00.310 --> 01:39:01.391]  You know, I tell people about this.
[01:39:01.391 --> 01:39:02.732]  I'll read like an AP article on air.
[01:39:02.732 --> 01:39:16.464]  I remember about five years ago it was about protegine in Texas with a pharmacological crop of corn that grew HIV virus shells in it.
[01:39:16.464 --> 01:39:19.366]  And I told people on air they thought I was making this up.
[01:39:19.366 --> 01:39:24.391]  Yeah, the thing is, there's a whole pharmaceutical crop concept
[01:39:24.921 --> 01:39:38.090]  Where they grow, like, for example, Prodigene Company was growing a vaccine for pig diarrhea in a corn field in Iowa, right near Nebraska.
[01:39:38.090 --> 01:39:50.878]  And the next year, they were growing, and the farmer was growing soybeans on the same field, but the inspectors just happened to be driving by and noticed there was some corn stubble from the previous year and some corn stalks coming through.
[01:39:51.499 --> 01:39:51.679]  I don't
[01:40:11.361 --> 01:40:21.889]  And when that came out, only then we found out that they had also destroyed 155 acres in Iowa of corn that had probably been contaminated by other pharmaceutical corn.
[01:40:21.889 --> 01:40:25.131]  This is one of the most stupid things you can imagine.
[01:40:25.131 --> 01:40:29.214]  Planting pharmaceutical corn that creates drugs or industrial chemicals outside.
[01:40:29.214 --> 01:40:29.855]  Well, why virus?
[01:40:31.184 --> 01:40:32.285]  Next to other corn!
[01:40:32.285 --> 01:40:32.826]  Let's explain.
[01:40:32.826 --> 01:40:36.229]  They can have animal virus grown in the plants.
[01:40:36.229 --> 01:40:51.403]  Now, I also tell people, I'll read like a Toronto Star or a Reuters headline, I don't believe it, that cloned beef, cloned, you know, all these major staples, cloned pigs in Canada and the United States, they say, yeah, it's already in the food chain, it's already been bred, nothing you can do about it.
[01:40:51.403 --> 01:40:53.265]  And people say, they don't clone cows.
[01:40:55.037 --> 01:41:02.883]  Well, you know, you were right about that, that they tried to put a spider gene into a goat to milk the goat to get spider web protein to make bulletproof vests.
[01:41:02.883 --> 01:41:08.927]  They put human genes into corn to make spermicide.
[01:41:08.927 --> 01:41:20.636]  And it's interesting, this whole thing about the pigs and cows that were getting sterile from certain varieties of genetically engineered corn, it seemed to cost around a certain number of years and a certain number of
[01:41:21.161 --> 01:41:21.881]  In a certain area.
[01:41:21.881 --> 01:41:25.023]  It was actually all over the United States, but mostly in Iowa.
[01:41:25.023 --> 01:41:32.327]  There was a company that took corn cobs and crushed them up so that they were used for bedding for animals.
[01:41:32.327 --> 01:41:46.034]  And a Baylor University study was doing something on mice, and they found that when the mice were in a cage with these crushed corn cobs, then they became sterile or largely infertile.
[01:41:46.749 --> 01:41:46.969]  Okay.
[01:41:58.712 --> 01:42:09.020]  Much higher, apparently causing the sterility, and the researcher said in his published research that he found that the levels were different in genetically engineered corn.
[01:42:09.020 --> 01:42:15.245]  Well, as you know though, I mean with genetic engineering, the holy grail is to actually get the change you want.
[01:42:15.245 --> 01:42:22.030]  This is not an accident that magically, it's always about sterilization, just magically every product sterilized, sterilized.
[01:42:22.030 --> 01:42:24.292]  I mean, this is clearly being done by design.
[01:42:24.292 --> 01:42:27.334]  I mean, when they're in there changing one thing, they're really in there changing other things.
[01:42:27.970 --> 01:42:29.271]  You know, it's interesting.
[01:42:29.271 --> 01:42:38.881]  One thing that is an argument against the idea that it's being used for population control is that it's not targeted.
[01:42:38.881 --> 01:42:39.642]  It's a shotgun.
[01:42:39.642 --> 01:42:42.685]  Once you put it in the environment, you can't control it.
[01:42:42.685 --> 01:42:45.929]  It can outlast the effects of global warming and nuclear waste.
[01:42:45.929 --> 01:42:46.750]  It can spread.
[01:42:47.270 --> 01:42:49.992]  We don't have a technology to search and destroy.
[01:42:49.992 --> 01:42:55.135]  It's like trying to recall genetically engineered salmon from the ocean or mosquitoes from the environment.
[01:42:55.135 --> 01:42:59.277]  So if these people... Oh yeah, I forgot about the GMOs, the mosquitoes.
[01:42:59.277 --> 01:42:59.678]  Stay there.
[01:42:59.678 --> 01:43:01.379]  We're gonna come back with the final segment.
[01:43:01.379 --> 01:43:02.679]  Boy, this has gone by really fast.
[01:43:02.679 --> 01:43:04.901]  We'll try to cram some of your calls in when we get back.
[01:43:04.901 --> 01:43:06.081]  I mean, if you care.
[01:43:06.081 --> 01:43:08.023]  If not, just, I guess, kiss your butts goodbye.
[01:43:09.033 --> 01:43:12.336]  Can't decide what to give your friends and family this Christmas?
[01:43:12.336 --> 01:43:18.381]  Why not give them the most unique gift available by helping them protect their credit card numbers and personal information from thieves?
[01:43:18.381 --> 01:43:23.946]  There are now millions of credit cards, debit cards, and passports in circulation that contain an RFID chip.
[01:43:23.946 --> 01:43:29.391]  These new cards and passports make transactions a breeze, but introduce a new threat to your personal information.
[01:43:29.631 --> 01:43:32.933]  These cards can be read while still in your wallet or purse.
[01:43:32.933 --> 01:43:38.497]  So, this Christmas, give your friends and family a pack of Secure Sleeves from Identity Stronghold.
[01:43:38.497 --> 01:43:47.243]  Our radio-blocking Secure Sleeves block the signals needed to read the RFID chip inside their new credit cards and passports, keeping their personal data safe and secure.
[01:43:47.523 --> 01:43:51.827]  You can buy them on the web at www.idstronghold.com.
[01:43:51.827 --> 01:43:55.349]  That's www.idstronghold.com.
[01:43:55.349 --> 01:43:56.230]  Or call toll free 800-610-2770.
[01:43:56.230 --> 01:43:56.290]  800-610-2770.
[01:43:56.290 --> 01:43:58.252]  Order now and get them in time for Christmas.
[01:43:58.252 --> 01:43:59.293]  Go to idstronghold.com today.
[01:44:09.222 --> 01:44:09.983]  Santa!
[01:44:09.983 --> 01:44:12.905]  Christmas Eve and you haven't left yet?
[01:44:12.905 --> 01:44:15.508]  Ho ho ho ho ho!
[01:44:15.508 --> 01:44:16.669]  No!
[01:44:16.669 --> 01:44:18.410]  I can't find my keys.
[01:44:18.410 --> 01:44:19.731]  Here's the perfect gift.
[01:44:19.731 --> 01:44:23.795]  Our patented Find One Find All Key Finder or FOFA XD for short.
[01:44:23.795 --> 01:44:29.200]  Once a FOFA Key Finder is attached to each of those easy to lose things, it can find and be found by all the rest.
[01:44:29.200 --> 01:44:35.185]  Use your wallet to find your keys, your keys to find the remote control, or any of them to find an uncharged or muted cell phone.
[01:44:35.325 --> 01:44:41.330]  Fofa goes through walls, cushions and laundry baskets up to 30 feet and projects a loud 90 plus decibel beep.
[01:44:41.330 --> 01:44:44.633]  And new for Christmas, there's even a Fofa just for eyeglasses.
[01:44:44.633 --> 01:44:46.815]  Where did I put my glasses, Mrs. Claus?
[01:44:48.007 --> 01:44:49.368]  Oh, here they are!
[01:44:49.368 --> 01:44:53.150]  Luckily, Rudolph's nose isn't the only thing that flashes.
[01:44:53.150 --> 01:44:57.012]  Order your FOFA today with batteries included along with a 30-day money-back guarantee.
[01:44:57.012 --> 01:44:57.473]  Call 866-245-8670.
[01:44:57.473 --> 01:44:57.753]  That's 866-245-8670.
[01:44:57.753 --> 01:44:59.414]  Or buy online at findonefindall.com.
[01:44:59.414 --> 01:45:00.434]  Again, that's findonefindall.com.
[01:45:08.755 --> 01:45:11.457]  Are you tired of the high cost of home energy bills?
[01:45:11.457 --> 01:45:16.121]  Millennium Technologies has an answer that every listener to this station needs to hear.
[01:45:16.121 --> 01:45:20.744]  An Australian inventor has developed a generator that is powered by the energy of magnets.
[01:45:20.744 --> 01:45:25.488]  And through this technology, the ability to power a typical home with this generator has arrived.
[01:45:25.488 --> 01:45:28.390]  This high-tech generator harnesses the power of permanent magnets
[01:45:28.490 --> 01:45:29.491]  We're good to go.
[01:45:53.132 --> 01:45:56.895]  Please visit us online at agreeneralternative.com.
[01:45:56.895 --> 01:45:59.517]  That's agreeneralternative.com.
[01:45:59.517 --> 01:46:00.157]  Or call 815-648-4400.
[01:46:00.157 --> 01:46:00.358]  That's 815-648-4400.
[01:46:08.726 --> 01:46:10.728]  Heart disease is on the rise.
[01:46:10.728 --> 01:46:17.673]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[01:46:17.673 --> 01:46:26.080]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:46:26.080 --> 01:46:31.805]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:46:32.085 --> 01:46:32.505]  I don't know.
[01:46:50.672 --> 01:46:54.874]  Order your two-month supply today by calling 866-295-5305.
[01:46:54.874 --> 01:46:58.775]  That's 866-295-5305.
[01:46:58.775 --> 01:47:01.816]  Or order online at HBextract.com.
[01:47:01.816 --> 01:47:04.077]  Heart and Body Extract, 866-295-5305.
[01:47:04.077 --> 01:47:11.159]  Or HBextract.com.
[01:47:11.159 --> 01:47:15.961]  You're listening to GCN, the Genesis Communications Radio Network.
[01:47:20.390 --> 01:47:31.909]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show.
[01:47:31.909 --> 01:47:34.633]  Yeah, time flies when you're fighting the new world order.
