[00:00:00.009 --> 00:00:00.349]  I believe.
[01:07:45.215 --> 01:07:46.476]  It does not make you stupid.
[01:07:46.496 --> 01:07:47.777]  No, I know that.
[01:07:47.817 --> 01:07:49.178]  It's in the hallucinogen class.
[01:07:49.899 --> 01:07:50.099]  Right.
[01:07:50.679 --> 01:07:52.941]  Aspartame is a deadly poison.
[01:07:52.981 --> 01:07:55.503]  It killed my grandmother and it's making the public very stupid.
[01:07:55.523 --> 01:07:59.847]  But that's okay because Rumsfeld got it approved and every monkey that gave it to died.
[01:07:59.867 --> 01:08:02.289]  And it gives you basically Alzheimer's when you're 40.
[01:08:02.550 --> 01:08:06.413]  Notice how they're admitting we have tens of thousands of juvenile onset Alzheimer's.
[01:08:07.334 --> 01:08:12.024]  Oh, now 30-year-olds have it, and they always just so happen to drink Diet Coke.
[01:08:12.104 --> 01:08:18.017]  And the one product that I've used since I was a child is Trident gum, thinking that it was good for me.
[01:08:19.085 --> 01:08:24.290]  And I've been chewing Trident my whole life and now it's just like, man, you know, this stuff is loaded with aspartame.
[01:08:24.310 --> 01:08:26.232]  And now when you get Alzheimer's, you'll know why.
[01:08:26.292 --> 01:08:26.552]  Yep.
[01:08:26.692 --> 01:08:27.713]  Black Ops succeeded.
[01:08:27.753 --> 01:08:28.574]  Well done, Lord Vader.
[01:08:29.355 --> 01:08:29.595]  Right.
[01:08:29.695 --> 01:08:30.556]  I still have more here.
[01:08:31.436 --> 01:08:33.038]  As a kid, I was prescribed Ritalin.
[01:08:33.078 --> 01:08:34.579]  It made me very, very sick.
[01:08:34.619 --> 01:08:35.921]  It made me pale white.
[01:08:36.841 --> 01:08:38.183]  Now I'm going to stop you.
[01:08:38.263 --> 01:08:41.466]  The admitted on the insert for Ritalin and the
[01:08:41.946 --> 01:08:42.467]  Yeah, let's see.
[01:09:00.464 --> 01:09:04.685]  My cousin died when he was 18, because he was going to the National Guard.
[01:09:05.025 --> 01:09:11.647]  He didn't want to fail his drug test, so instead of smoking weed, he was huffing some kind of thing, and he died from that.
[01:09:11.867 --> 01:09:12.688]  Yeah, that's really bad.
[01:09:12.708 --> 01:09:18.309]  Let me expand on that, since you were... Well, it doesn't matter.
[01:09:18.349 --> 01:09:18.830]  Go ahead.
[01:09:18.850 --> 01:09:19.750]  Well, no, no.
[01:09:19.790 --> 01:09:25.091]  Part of what I cover in The Drug War is how prohibition drives people to doing worse, stupider things.
[01:09:25.111 --> 01:09:26.672]  That's a perfect small example.
[01:09:26.712 --> 01:09:30.073]  I talk about how crystal meth is the modern-day moonshine.
[01:09:30.598 --> 01:09:35.741]  You know, during the alcohol prohibition, people would start making up whatever they could or doing whatever they could.
[01:09:35.821 --> 01:09:43.865]  Look, humans have always manipulated their consciousness, and the social engineers know that, so they just made it illegal and they regulate it.
[01:09:43.885 --> 01:09:51.590]  So they sell us the legal drugs, they also ship in the main conduits of the illegal, and then they run the local police operations as a double tax.
[01:09:51.770 --> 01:09:55.852]  It's not enough they make the money selling it to us, they've also got to put us in their damn prisons.
[01:09:57.008 --> 01:09:58.169]  But, can I say one more thing?
[01:09:58.269 --> 01:09:58.730]  Yeah, go ahead.
[01:09:59.250 --> 01:10:02.213]  Yeah, um, I was last year, uh, St.
[01:10:02.253 --> 01:10:08.219]  Patrick's Day, I was, I was set up by the police and Homeland Security and charged with aggravated assault.
[01:10:08.259 --> 01:10:10.742]  They gave me DUI because they said I refused my blood test.
[01:10:11.366 --> 01:10:20.389]  And then when I went to take it to trial, they basically threatened my lawyer, forced me to take a plea deal, and I had to serve three months in jail for something I didn't even do.
[01:10:20.469 --> 01:10:21.629]  Yeah, I appreciate your call.
[01:10:21.689 --> 01:10:32.073]  Everybody who calls in with this, or a lot of people I hear on other shows, they go, the government's dumb, I'm innocent, or the government's just screwing up, or, you know, I can't believe I was innocent.
[01:10:32.293 --> 01:10:33.373]  We know you're innocent!
[01:10:33.693 --> 01:10:36.954]  The DNA testing's shown that close to half the people on death row are innocent.
[01:10:36.974 --> 01:10:38.295]  Yeah, they know what they're doing.
[01:10:38.795 --> 01:10:39.875]  They know exactly.
[01:10:39.955 --> 01:10:45.697]  Listen, Weldon that works here in the office, worked with MPs in the Air Force, he said they laugh about ruining people's lives.
[01:10:46.177 --> 01:10:52.938]  It's, look, remember the scumbag bully in school who liked to hurt people and nobody liked him?
[01:10:53.558 --> 01:10:55.639]  I mean, they go out and they get badges, folks.
[01:10:57.519 --> 01:10:58.659]  That's definitely true.
[01:10:58.679 --> 01:11:06.461]  I mean, you know, to me, your average DEA agent reminds me of, like, the guy in high school that used to, like, give me black and blue arms.
[01:11:08.004 --> 01:11:08.825]  Yeah, it's all over.
[01:11:08.885 --> 01:11:10.466]  It's all gone.
[01:11:10.526 --> 01:11:12.047]  I mean, eugenicists... No, I'm serious.
[01:11:12.127 --> 01:11:13.027]  Eugenicists run it all.
[01:11:13.048 --> 01:11:16.590]  They've already poisoned all of us and cancer viruses and planted the vaccines.
[01:11:16.650 --> 01:11:17.431]  I have all the documents.
[01:11:17.451 --> 01:11:18.291]  They engineered AIDS.
[01:11:18.691 --> 01:11:19.672]  We're just totally screwed.
[01:11:19.692 --> 01:11:20.813]  They just do whatever they want.
[01:11:20.873 --> 01:11:22.254]  Black-op, death everywhere.
[01:11:22.734 --> 01:11:24.655]  And they just leave me here because they don't even care.
[01:11:24.675 --> 01:11:26.737]  They're going to move against everybody at once when they pull it.
[01:11:27.417 --> 01:11:31.820]  And, I mean, Kevin, you know, they've arrested Sally for no reason for being in your movie, basically.
[01:11:31.840 --> 01:11:33.041]  And he was one of them.
[01:11:33.061 --> 01:11:34.162]  And, I mean, what about you?
[01:11:34.182 --> 01:11:35.263]  Have you gotten any threats over this?
[01:11:36.491 --> 01:11:37.391]  No, not directly.
[01:11:37.431 --> 01:11:37.831]  Not yet.
[01:11:38.212 --> 01:11:44.193]  Not yet, other than I have a lot of helicopters spinning around in my house and I constantly have guys on my telephone pole.
[01:11:44.253 --> 01:11:47.294]  I take pictures of them all the time.
[01:11:47.494 --> 01:11:51.895]  It seems like every time Ricky Roth calls, there's other guys up there fiddling with my phone line.
[01:11:53.736 --> 01:11:56.557]  Well, you know, that's because it's a local tap.
[01:11:56.597 --> 01:11:58.677]  The NSA just does it from the phone company.
[01:11:59.237 --> 01:12:00.118]  And that's the way it is.
[01:12:00.318 --> 01:12:02.738]  I think it's because it keeps breaking, is what I keep thinking.
[01:12:02.758 --> 01:12:04.859]  Because up here in the hills, the trees keep hitting it.
[01:12:05.831 --> 01:12:10.832]  It's like you can hear it making weird noises sometimes, and then they'll come and they'll do something to it.
[01:12:11.152 --> 01:12:32.276]  Well, Kevin, all I can tell you is, you know this, I know you're clean as a whistle, I would have one fake security system they're going to find, and another hidden one, and having that hidden security system on a DVR, even on its own backup battery, if power goes off, because they're smarter to flip the power off, having that backup DVR may save you.
[01:12:32.296 --> 01:12:33.456]  It's saving a lot of folks.
[01:12:34.107 --> 01:12:35.048]  That's a good idea.
[01:12:35.088 --> 01:12:38.451]  You've got to go to full surveillance of yourself just to protect yourself.
[01:12:38.511 --> 01:12:38.731]  Yeah.
[01:12:38.751 --> 01:12:40.473]  No, I do have hidden cameras around.
[01:12:40.533 --> 01:12:42.355]  That's the idea of the battery thing.
[01:12:43.356 --> 01:12:44.677]  Well, I know you've got hidden cameras.
[01:12:44.737 --> 01:12:47.780]  I mean, you've had those before.
[01:12:47.800 --> 01:12:51.563]  Anyways, oh my God, it's all over.
[01:12:52.924 --> 01:12:53.525]  It is, man!
[01:12:53.565 --> 01:12:54.226]  We're screwed!
[01:12:54.286 --> 01:12:55.407]  I can't believe this!
[01:12:56.247 --> 01:12:57.448]  I just get sick of it!
[01:12:58.533 --> 01:13:06.817]  How did so many evil people get in control, and how are there so many dumb schmucks who are just mindlessly thinking the government's good and they love them?
[01:13:08.137 --> 01:13:10.378]  It's, uh, you know, I don't know.
[01:13:10.738 --> 01:13:14.200]  All I can say is that maybe this whole thing with the economy
[01:13:14.994 --> 01:13:18.436]  It could finally be the last straw that wakes a lot more people up.
[01:13:18.516 --> 01:13:19.056]  Oh no, no, no.
[01:13:19.096 --> 01:13:24.679]  They're going to engineer that now where they get unlimited Federal Reserve power with no regulatory control over themselves.
[01:13:25.179 --> 01:13:27.240]  Literally running the entire government.
[01:13:27.260 --> 01:13:28.441]  They're just going to take... No, no.
[01:13:28.681 --> 01:13:32.163]  They create the crisis and then they're going to totally bring us to our knees now.
[01:13:32.643 --> 01:13:33.824]  Well, I'm going to stay hopeful, Alex.
[01:13:33.844 --> 01:13:34.524]  I'm going to stay hopeful.
[01:13:34.544 --> 01:13:36.325]  I'm going to just go down with a smile on my face.
[01:14:00.899 --> 01:14:02.639]  Well, it's just not funny what they've done.
[01:14:03.420 --> 01:14:04.200]  It's not funny!
[01:14:05.300 --> 01:14:06.280]  Yeah, but you know what?
[01:14:06.300 --> 01:14:07.581]  It's the history of the world.
[01:14:07.601 --> 01:14:09.241]  You know?
[01:14:09.621 --> 01:14:10.421]  But that's what they say.
[01:14:10.461 --> 01:14:11.662]  They go, that's the way it's always been.
[01:14:11.682 --> 01:14:13.202]  I might as well be with the winning team.
[01:14:13.282 --> 01:14:13.902]  Well, no.
[01:14:14.022 --> 01:14:21.724]  But, you know, I mean, it's just revolutions come in cycles and wars are always, you know, weird, complicated things that you can't figure out.
[01:14:21.784 --> 01:14:29.626]  I mean, you know, I'm sure someday when they write the history books on how all this goes down, you know, people will be going, oh, it was so obvious what they were doing.
[01:14:30.376 --> 01:14:33.138]  Yeah, let's go ahead and take a call from Bill and Denver.
[01:14:33.178 --> 01:14:33.838]  You're right, Kevin.
[01:14:34.539 --> 01:14:37.080]  I just say focus on this so much, I'm just so sick of them.
[01:14:38.341 --> 01:14:38.721]  Go ahead.
[01:14:38.941 --> 01:14:39.622]  Go ahead, Bill.
[01:14:39.842 --> 01:14:43.544]  Hey, yeah, Alex and Kevin, it's a pleasure to talk to you.
[01:14:43.664 --> 01:14:51.008]  And Alex, I'd like to thank you very much for being the catalyst, opening my eyes and having me look at things a little bit more closely.
[01:14:51.048 --> 01:14:53.130]  And Kevin, I have to apologize to you.
[01:14:53.230 --> 01:14:57.132]  I have not seen your film yet, and I'm going to remind you that today,
[01:14:57.631 --> 01:15:00.833]  And I'm a truck driver, so hopefully it'll be waiting for me when I do my home time.
[01:15:01.814 --> 01:15:07.998]  But to the guy that used to chew Trident gum, I mean, you know, what is a Trident?
[01:15:08.198 --> 01:15:10.980]  It's a pitchfork, and who usually carries one of those?
[01:15:11.340 --> 01:15:11.941]  Kind of makes sense.
[01:15:12.021 --> 01:15:13.462]  No, it's all in your face, man.
[01:15:13.802 --> 01:15:18.625]  These people love, no, they love the open joke in your face.
[01:15:18.645 --> 01:15:20.066]  Absolutely.
[01:15:20.086 --> 01:15:21.267]  It's like 9-1-1.
[01:15:21.307 --> 01:15:21.968]  Who's 9-1-1?
[01:15:21.988 --> 01:15:22.768]  That's the government.
[01:15:22.808 --> 01:15:24.169]  It's all in your face.
[01:15:25.734 --> 01:15:28.955]  I'd like to say two quick things, and then I'll let you go and listen to you off air.
[01:15:29.035 --> 01:15:45.102]  You are off the phone here, but one thing, I'd love to know what Bill Hicks, I'm a huge Bill Hicks fan, I came kind of late to the party of that, but I'd like to know, I'd love to know what his thoughts on 9-11 would be, and what some of the things he would have to say.
[01:15:46.763 --> 01:15:50.585]  And also, this is kind of off-topic, more to the 9-11 thing.
[01:15:52.074 --> 01:15:59.043]  Uh, when we were talking to Daniel Sanjata today, I had to disagree with something that he said.
[01:15:59.143 --> 01:16:05.792]  He said that it was kind of easy for him to come out because he didn't have a whole lot to lose because he doesn't have millions of dollars and this sort of thing.
[01:16:06.233 --> 01:16:07.214]  I think it's just the opposite.
[01:16:08.385 --> 01:16:13.007]  I think he has so much more to lose because he's not... I agree and I appreciate your call.
[01:16:13.067 --> 01:16:15.188]  In fact, I almost said that to him.
[01:16:15.428 --> 01:16:21.351]  That for somebody who's already big and established, they have less to lose than somebody who's not struggling but just now hitting the big time.
[01:16:21.371 --> 01:16:23.332]  They can swat him down a lot easier.
[01:16:23.712 --> 01:16:25.953]  Joel in Los Angeles, last caller for our guest.
[01:16:26.553 --> 01:16:27.834]  Yeah, hi guys.
[01:16:27.954 --> 01:16:33.856]  Kevin, I just want to say I saw American Drug War at the Egyptian here in L.A.
[01:16:34.096 --> 01:16:35.317]  and thanks for the tix.
[01:16:35.477 --> 01:16:37.818]  It was a really good movie.
[01:16:39.196 --> 01:16:49.844]  I wanted to throw out a dot for people to maybe connect to, and it's about the drug COT that they grow in Somalia, and I guess in Yemen.
[01:16:51.084 --> 01:17:05.474]  Back in 93, 94, I was a rave promoter and a DJ, and I was approached, along with a bunch of other people, to sell this drug called Nexus, which was made
[01:17:06.129 --> 01:17:07.390]  We're good to go.
[01:17:17.734 --> 01:17:28.982]  And it's just that I've been noticing more activity in Somalia and... Oh yeah, that's how they introduced the LSD was with government brochures.
[01:17:29.082 --> 01:17:34.866]  I mean, the government brought it in, legalized it at first, put it on the universities, had the professors push it.
[01:17:35.166 --> 01:17:43.171]  They introduced it just like the CIA gave them the ingredients to how to make crack and they brought it in and set it up.
[01:17:43.252 --> 01:17:46.474]  I appreciate your call and that was one of the points I forgot earlier.
[01:17:48.486 --> 01:17:52.528]  The Taliban had brought opium production, the real Taliban, not the LCIA, the Taliban.
[01:17:52.548 --> 01:17:53.368]  There's two different groups.
[01:17:54.468 --> 01:17:56.129]  They have brought it down to almost zero.
[01:17:56.249 --> 01:17:57.510]  It is now tenfold.
[01:17:57.550 --> 01:18:01.071]  It was eightfold last year and the year before that, sixfold, then fourfold, twofold.
[01:18:01.671 --> 01:18:04.532]  But in just six years, it is now tenfold.
[01:18:05.373 --> 01:18:09.754]  It is double the previous record in the mid-eighties.
[01:18:09.894 --> 01:18:16.597]  There is opium pouring into Europe, pouring into here, and the troops have been on the news and they've admitted they just go guard opium fields.
[01:18:17.017 --> 01:18:17.257]  Yeah.
[01:18:17.397 --> 01:18:20.318]  I mean, our troops guard the opium so your daughter can use it.
[01:18:20.638 --> 01:18:35.842]  And in my film, I take you down to Skid Row, where I go down there one day, and you're literally standing on the street, and I look down, and there's literally thousands of little heroin balloons, like, just as far as, like, Confetti after Mardi Gras.
[01:18:36.242 --> 01:18:41.464]  I mean, just, like, thousands of heroin balloons, and they clean the streets every couple days with those big street cleaners.
[01:18:42.461 --> 01:18:47.687]  And that was like some of the footage that the LAPD told me, well you can't show that because it's not like that anymore.
[01:18:49.750 --> 01:18:54.255]  Oh, that's right, you also have them calling you up telling you what you can and can't do with the camera.
[01:18:54.275 --> 01:18:58.921]  Yeah, and the LAPD basically said I'm going to regret it if I use some of the footage.
[01:19:00.305 --> 01:19:01.667]  But you did use the footage, didn't you?
[01:19:01.807 --> 01:19:02.628]  Yeah, I know.
[01:19:02.668 --> 01:19:03.890]  I got a lawyer, you know.
[01:19:04.030 --> 01:19:06.253]  And now the helicopter's over your house.
[01:19:07.094 --> 01:19:08.956]  Now Shelly's going to prison.
[01:19:08.976 --> 01:19:13.762]  If you saw how close the LAPD helicopter was over my house last night, you would have been like running for your life.
[01:19:13.822 --> 01:19:18.468]  I mean, I could like tell you what color eyes the guy had was flying and he was like right in my face.
[01:19:19.489 --> 01:19:22.393]  I mean, I live on top of a mountain and it was like practically eye level.
[01:19:22.413 --> 01:19:24.115]  Yeah, you live in Lawrence Fishburne's old house.
[01:19:24.355 --> 01:19:24.655]  Yeah.
[01:19:25.016 --> 01:19:25.937]  I'm going to come see you soon.
[01:19:26.057 --> 01:19:26.617]  You got to.
[01:19:26.858 --> 01:19:33.385]  Hey, just to finish you up, Kevin, I just want to commend you for the work you've done, the risk you've taken.
[01:19:33.926 --> 01:19:37.389]  They are not happy about you exposing their business, and it is their business.
[01:19:38.647 --> 01:19:44.934]  It's just the hypocrites, it's so amazing that they are the purveyors of the drugs, and then they're also the enforcers.
[01:19:45.134 --> 01:19:46.155]  It's a perfect business!
[01:19:46.435 --> 01:19:47.757]  No, it's a great business plan.
[01:19:47.937 --> 01:19:48.878]  Got to knock them for that.
[01:19:48.898 --> 01:19:50.740]  Man, they fought it out well.
[01:19:51.020 --> 01:19:52.542]  They fought out every angle of it.
[01:19:52.722 --> 01:19:54.765]  Well, terrorism is also their business plan.
[01:19:54.905 --> 01:19:55.626]  Oh, yeah.
[01:19:55.666 --> 01:19:56.206]  They do it.
[01:19:56.286 --> 01:19:59.230]  Drugs and terror, you know, war on drugs, war on terror.
[01:20:00.263 --> 01:20:02.808]  One is like a substance, the other one is a concept.
[01:20:03.288 --> 01:20:06.674]  You know, you can't have a war on terror.
[01:20:06.694 --> 01:20:07.836]  How do you have a war on drugs?
[01:20:07.896 --> 01:20:08.878]  It doesn't even make sense.
[01:20:09.599 --> 01:20:10.600]  That's why it's so perfect.
[01:20:11.291 --> 01:20:14.112]  You know, maybe I can get you back on tomorrow when Sully's on.
[01:20:14.132 --> 01:20:16.612]  I need to check what time Sully Stillo's on the show tomorrow.
[01:20:17.213 --> 01:20:26.475]  I found out a few weeks ago he'd been arrested and played phone tag with him, but we finally got him today and arrested for some trumped-up gun charge when he was a former cop DEA.
[01:20:27.295 --> 01:20:30.476]  And then they said, hey, saw you on TV, liked the show, and they were arresting him.
[01:20:30.796 --> 01:20:31.096]  Yeah.
[01:20:31.537 --> 01:20:32.437]  Did he tell you anything else?
[01:20:32.457 --> 01:20:39.979]  Uh, you know, other than, you know, he's going to have to have a public defender and he's, you know, he's pretty worried about the situation.
[01:20:41.086 --> 01:20:47.122]  Um, you know, and he's, he's just like one of these gun show guys, like there's a million guys, so he's definitely being singled out.
[01:20:48.052 --> 01:20:51.835]  Yeah, to be clear, he goes and sells his books and sells a few guns at the gun show.
[01:20:51.895 --> 01:20:53.757]  Yeah, just like this gun show thing.
[01:20:53.797 --> 01:20:56.479]  Well, that's what he was doing, was selling some of his collection for money.
[01:20:56.499 --> 01:20:59.482]  Yeah, we're talking about like a couple of guns here and there, you know.
[01:20:59.522 --> 01:21:00.382]  No, but that's what they call it.
[01:21:00.402 --> 01:21:01.643]  They call it straw purchase.
[01:21:02.244 --> 01:21:03.905]  And I had somebody try to set me up a few years ago.
[01:21:03.925 --> 01:21:06.027]  They kept going, go to the gun show with me, go to the gun show with me.
[01:21:06.387 --> 01:21:09.930]  And I go to the gun thing, and he goes, hey, I forgot my ID, buy this for me.
[01:21:09.950 --> 01:21:12.833]  And there was like a cop right behind me, and I'm like, whoa, man.
[01:21:13.653 --> 01:21:16.855]  I mean, oh yeah, this country's gone, I'm telling you.
[01:21:17.475 --> 01:21:20.537]  These bastards can go straight to hell, I'll tell you what.
[01:21:20.737 --> 01:21:22.478]  But you know, there's been tyranny forever.
[01:21:22.498 --> 01:21:26.580]  Yeah, but it's like, it's just computerized now.
[01:21:26.640 --> 01:21:32.383]  They didn't have computers in the Roman days, so of course, tyranny plus computers is like, it's hard.
[01:21:34.380 --> 01:21:37.563]  Well it's only going to get worse, and I want every one of the evil people working for the system.
[01:21:37.603 --> 01:21:38.604]  You didn't escape anything.
[01:21:38.925 --> 01:21:40.506]  They're hitting you with cancer viruses.
[01:21:40.727 --> 01:21:42.308]  There's a level above what you're in.
[01:21:42.328 --> 01:21:46.733]  Yeah, and that's what's so funny about people that are out there going, like, they're not doing chemtrails.
[01:21:46.833 --> 01:21:50.837]  It's like, well, okay, well, your house is next to mine, so you're breathing the same stuff.
[01:21:50.897 --> 01:21:54.941]  So, you know, have fun when your child gets a giant brain tumor, too.
[01:21:55.161 --> 01:21:56.322]  They're bastards, man!
[01:21:56.363 --> 01:21:57.303]  Stop killing us!
[01:21:58.277 --> 01:21:59.218]  Man, this is sick!
[01:21:59.318 --> 01:22:06.003]  Well, Kevin, AmericanDrugWar.com, thank you for spending time with us, and I'm going to have Trey call you and get you to pop in with Sully.
[01:22:06.023 --> 01:22:07.043]  Sounds good.
[01:22:07.063 --> 01:22:08.384]  It's always nice coming on.
[01:22:08.404 --> 01:22:13.508]  I appreciate it, and I appreciate all your listeners and fans, and keep it up, man.
[01:22:13.568 --> 01:22:17.231]  And check out the whole Bill Marklip of what he said before.
[01:22:17.291 --> 01:22:19.312]  Yeah, it's up on Prison Planet, I'm told.
[01:22:19.492 --> 01:22:19.993]  Good, good.
[01:22:20.033 --> 01:22:21.734]  For some reason, my computer's doing something right now.
[01:22:22.034 --> 01:22:22.735]  Take care, my friend.
[01:22:23.115 --> 01:22:23.555]  You too, man.
[01:22:23.615 --> 01:22:24.176]  I'll talk to you soon.
[01:22:24.196 --> 01:22:24.376]  You bet.
[01:22:24.396 --> 01:22:25.396]  There goes Kevin Booth.
[01:22:26.802 --> 01:22:31.786]  In closing, we're about to rejoin the show as I was ranting and raving about the Chinese troops here in about a minute and a half.
[01:22:32.007 --> 01:22:33.428]  I hope you'll get American Drug War.
[01:22:34.429 --> 01:22:36.711]  I hope you'll go to Infowars.com.
[01:22:36.731 --> 01:22:39.033]  We're selling it for $5 cheaper than Kevin is.
[01:22:40.434 --> 01:22:41.775]  The point is, I consulted on it.
[01:22:41.815 --> 01:22:47.399]  The point is that you need to get the film at Infowars.com and show it to everybody you know.
[01:22:47.919 --> 01:22:50.621]  Infowars.com or 888-253-3139.
[01:22:50.641 --> 01:22:58.027]  And don't forget, you just got an hour and 24 minutes of extra radio today with no commercials except right here at the end.
[01:22:58.607 --> 01:23:00.528]  And I got two people in there running the show right now.
[01:23:00.628 --> 01:23:01.909]  All this equipment is very expensive.
[01:23:02.229 --> 01:23:09.093]  Please get a PrisonPlanet.tv membership so you can actually watch us in here, seek the different camera shots.
[01:23:09.113 --> 01:23:10.314]  We're going to have guests in here this week.
[01:23:10.334 --> 01:23:18.279]  You're going to be able to see the document cam, the DVD cam, all of it at InfoWars.com.
[01:23:20.100 --> 01:23:36.839]  It is all available, it is all here, and I hope that you'll go to Infowars.com, go to PrisonPlanet.tv, sign up for a 15 cent a day membership at PrisonPlanet.tv.
[01:23:39.738 --> 01:23:41.880]  Again, I'm Alex Jones signing off for today.
[01:23:41.900 --> 01:23:48.686]  We will now, on the internet, merge with the live broadcast with key information about Chinese troops in America.
[01:23:48.746 --> 01:23:50.788]  Vital info straight ahead.
[01:23:50.808 --> 01:23:52.009]  God bless you all.
[01:23:52.089 --> 01:23:56.973]  PrisonPlanet.tv gets your membership right now so you can see the video of the radio you're listening to right now.
[01:24:02.277 --> 01:24:02.998]  Bye-bye, folks.
