[00:00:00.169 --> 00:00:01.729]  Wait and feel great!
[03:12:49.508 --> 03:12:50.969]  And it never seems to go through.
[03:12:51.509 --> 03:13:05.698]  And, you know, we had Webster Tarpley on a couple hours ago, and he really talked about how Obama is talking about possibly an invasion or a bombing of Pakistan to go after the remnants of the Taliban or Al-Qaeda and Bin Laden.
[03:13:06.058 --> 03:13:10.241]  And that could cause a whole new situation in the Middle East and Eurasia.
[03:13:11.624 --> 03:13:22.754]  Yeah, Jason, again, I know Webster, I think what one has to do is be really careful about taking campaign rhetoric as a sign of real intention.
[03:13:23.675 --> 03:13:27.638]  I mean, look at what Obama has said about Israel, for example.
[03:13:27.658 --> 03:13:38.008]  I mean, it's almost sickening how the candidates reply among themselves to tell the American public who loves Israel the best, Joe Biden.
[03:13:38.428 --> 03:13:44.730]  Trying to outdo everyone else by saying, yeah, we all love Israel, but I love Israel with a passion, you know?
[03:13:45.230 --> 03:13:46.611]  I mean, that's really ridiculous.
[03:13:46.691 --> 03:13:50.012]  So you expect that kind of rhetoric from Obama, from anybody.
[03:13:50.032 --> 03:14:01.496]  And when he talks about, you know, about Afghanistan, for example, he has to sort of show the American people how tough he is, that he is up to the task, the military task.
[03:14:06.812 --> 03:14:12.594]  But I would fully expect, and I've been wrong about these kinds of things before,
[03:14:13.519 --> 03:14:32.923]  I would fully expect that once Warheed would be in office, that the people that he would gather around him would tell him what a feckless exercise not only Iraq but Afghanistan has been, and that history dictates that no one wins this kind of battle or occupation, and he would come to his senses.
[03:14:32.963 --> 03:14:40.525]  So, I'm not willing to address what Obama says about these things as though they should be taken at face value.
[03:14:41.606 --> 03:14:53.913]  So you do think that he's somewhat genuine and there's a possibility that these aggressions in the Middle East will subside after he's elected and he puts in an administration that you feel would de-escalate the war?
[03:14:55.374 --> 03:15:06.280]  Well, yeah, I have, you know, the notion of the candidate who says, you know, a hundred years, no problem, coming into office turns my hair on end.
[03:15:07.541 --> 03:15:08.602]  I don't think that a
[03:15:09.418 --> 03:15:21.961]  A fellow who's made his reputation by crashing airplanes and getting shot down has shown any real acuity with respect to policies to be crafted or followed.
[03:15:22.601 --> 03:15:25.122]  And so it's a matter of compared to what, finally?
[03:15:25.142 --> 03:15:37.005]  And, you know, when I look at the Democratic candidate and you look at the debates, there's a fellow with a cool head, easy and eager to learn.
[03:15:38.565 --> 03:15:39.646]  I think he's teachable.
[03:15:39.666 --> 03:15:56.613]  I think he will probably avoid the mistakes of predecessors who thought they could come into Washington and diss the people in the press and others with whom you really have to sort of work out a compromise so that they will give you half a chance to have your message heard.
[03:15:57.353 --> 03:16:01.859]  And, you know, it's going to be not a very hard act to follow.
[03:16:02.900 --> 03:16:06.044]  I mean, these eight years have been a disaster for our country.
[03:16:06.725 --> 03:16:11.771]  And, you know, just as my friend Bobby Gates, the Secretary of Defense,
[03:16:12.761 --> 03:16:16.845]  Just as he followed Rumsfeld and had, like, a two-year honeymoon.
[03:16:17.786 --> 03:16:39.464]  So, too, I think whoever replaces Bush, presumably if it's the favorite contender, that he will have a honeymoon period where people will just be so delighted to listen to a person who just conceivably might tell the truth on occasion, that if he's of a mind to, and hopefully is, he can change these crazy policies.
[03:16:40.831 --> 03:16:43.492]  Well, I don't share your optimism.
[03:16:43.572 --> 03:16:46.273]  I feel like he is the slicker candidate by far.
[03:16:46.333 --> 03:16:48.174]  He's obviously more well-spoken.
[03:16:48.194 --> 03:16:56.998]  When John McCain comes out and talks about a hundred-year war or he talks about us being the enemy, I mean, I think you can kind of see the senility in his face.
[03:16:57.038 --> 03:16:58.239]  He doesn't look the healthiest.
[03:16:58.679 --> 03:17:02.680]  I can't even believe that they've put him up there, honestly, in the run-up to this.
[03:17:02.760 --> 03:17:05.061]  I thought that they would go with someone more like a Romney.
[03:17:05.762 --> 03:17:08.243]  I mean, McCain's establishment and
[03:17:09.276 --> 03:17:11.558]  The Palin pick, I mean, it's bizarre.
[03:17:11.919 --> 03:17:13.620]  It's not like he has a strong ticket.
[03:17:13.660 --> 03:17:15.262]  It's almost like they're throwing the election.
[03:17:15.282 --> 03:17:18.104]  I mean, do you really think that McCain has a shot at winning this?
[03:17:18.124 --> 03:17:26.252]  This is not my field of expertise, Jason.
[03:17:26.432 --> 03:17:30.976]  My opinion in this area is not worth anything more than the next person's.
[03:17:32.290 --> 03:17:42.873]  You know, there are so many variables and so many shenanigans been played over the last couple of elections that I would encourage anyone who is as afraid as I am
[03:17:43.553 --> 03:17:49.375]  of Kaylin and McCain to make sure that not only that their vote is taken, but that their vote is counted.
[03:17:49.756 --> 03:17:52.417]  Alright, well let's jump to this Iran situation.
[03:17:52.437 --> 03:17:54.057]  You wrote this editorial.
[03:17:54.958 --> 03:18:00.420]  You know, we've discussed Iran at length on the radio and TV interviews with you, InfoWars, and myself.
[03:18:00.900 --> 03:18:03.921]  Do you really think right now we are off the table with Iran?
[03:18:03.961 --> 03:18:06.943]  It looks like there will not be a war of aggression out there.
[03:18:08.603 --> 03:18:09.584]  Yes, they do, Jason.
[03:18:10.925 --> 03:18:27.371]  And I say that as one who for three years was saying that chances were at least equal and probably greater than equal that Bush and Cheney, to fulfill their promise to Israel, would, quote, take care of Iran.
[03:18:28.106 --> 03:18:28.867]  What's changed?
[03:18:29.147 --> 03:18:30.808]  Well, there are a bunch of things that have changed.
[03:18:31.889 --> 03:18:38.294]  One is that the senior uniformed military in this country have shown little guts for a change.
[03:18:39.074 --> 03:18:44.659]  We had Admiral Fallon resigning after saying, we're not going to do Iran on my watch.
[03:18:45.519 --> 03:18:58.765]  Uh, resigning rather than letting himself be on the receiving end of the idiotic order to start a war with Iran and risk the fortunes and lives of all those troops he has in Iraq, Afghanistan, and in the Gulf.
[03:18:58.805 --> 03:19:06.869]  He didn't want to put himself in that position, and so he in effect quit by going to the press and saying, we're not going to do Iran, don't be crazy.
[03:19:07.609 --> 03:19:17.338]  Now, Admiral Mullen, Mike Mullen, who came in, I was an Army officer, so it's really hard for me to say these good things about Navy admirals.
[03:19:19.541 --> 03:19:23.785]  Admiral Mullen, I mean, I think he's got guts that we haven't seen.
[03:19:23.805 --> 03:19:32.573]  He goes back from Israel and says it would be very foolish to open yet a third war, a third front in that part of the area.
[03:19:33.351 --> 03:19:43.678]  And then we later learned, we learned this from the Israeli press, I mean you don't learn anything like this from the American press, what I call the fawning corporate media.
[03:19:44.299 --> 03:19:53.785]  We learned from the Israeli press that when Mullen was there, he braced his opposite numbers in the Israeli leadership and he said, look, don't even think
[03:19:54.679 --> 03:20:04.568]  Don't even think of any tricks in the Persian Gulf or anything that would provoke the Iranians so that they would attack you, and then you would expect us to come in.
[03:20:04.608 --> 03:20:06.849]  We're not going to come in if you provoke the attack.
[03:20:07.390 --> 03:20:13.855]  And then, you know, the real blitz, Jason, you know, you brought up, you brought up the... Well, we'll bring it up on the other side, because we're just about to go to break.
[03:20:13.896 --> 03:20:18.059]  We're with Ray McGowan, former CIA analyst, Infowars.com, PrisonPlanet.com.
[03:20:18.239 --> 03:20:20.521]  This is the Alex Jones Show, PrisonPlanet.tv.
[03:20:30.874 --> 03:20:34.695]  You don't have to be in the military to enjoy military surplus savings.
[03:20:35.015 --> 03:20:40.797]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[03:20:41.177 --> 03:20:42.758]  M10 gas masks for $12 or 3 for $30.
[03:20:42.818 --> 03:20:43.898]  Gas mask hoods $4 or 3 for $10.
[03:20:47.099 --> 03:20:49.422]  Mask filters $6 or $3 for $15.
[03:20:49.723 --> 03:20:51.785]  Save big on British chemical suits only $12.
[03:20:51.825 --> 03:20:52.606]  Israeli gas masks $20.
[03:20:52.726 --> 03:20:54.609]  Trigger finger gloves $5 a pair or $36 a dozen.
[03:20:54.629 --> 03:20:56.211]  Snowshoe binding for $8 or $48 a dozen.
[03:20:56.371 --> 03:20:57.012]  And so much more!
[03:21:03.180 --> 03:21:06.602]  Even hard to find surplus items, all at surplus prices.
[03:21:06.883 --> 03:21:11.626]  Preparing the whole family has never been so affordable at MainMilitary.com.
[03:21:11.946 --> 03:21:16.509]  MainMilitary.com, one of the last surviving true surplus stores in the country.
[03:21:16.769 --> 03:21:19.872]  Shop now at M-A-I-N-E Military.com.
[03:21:19.892 --> 03:21:20.392]  Or call 877-608-0179.
[03:21:20.412 --> 03:21:21.152]  That's 877-608-0179 today.
[03:21:30.220 --> 03:21:35.664]  On September 11, 2001, along with hundreds of my fellow troops, I went to Ground Zero.
[03:21:35.964 --> 03:21:37.265]  And we knew what to do.
[03:21:37.285 --> 03:21:39.066]  Or at least we thought we did.
[03:21:39.287 --> 03:21:45.691]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[03:21:46.331 --> 03:21:51.795]  Whitman, EPA director on the 18th, made a statement that the
[03:21:53.715 --> 03:21:54.876]  We're safe to breathe.
[03:21:55.216 --> 03:22:02.022]  This film follows the growing momentum of 9-11 truth as brave souls throughout the world take action against their global masters.
[03:22:02.303 --> 03:22:05.365]  He had his hand over the radio while he was getting a countdown.
[03:22:05.465 --> 03:22:11.110]  He takes his hand off and you hear three, two, one, and it was boom, boom, boom, boom, boom.
[03:22:11.130 --> 03:22:13.833]  This is an emergency transmission worldwide.
[03:22:14.333 --> 03:22:20.195]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide.
[03:22:20.235 --> 03:22:22.896]  Or order the DVD at Infowars.com.
[03:22:23.296 --> 03:22:28.218]  If we don't expose the government-sponsored terror, they're going to commit more acts and bring in martial law.
[03:22:29.540 --> 03:22:30.961]  Jim Newcomer for Midas Resources.
[03:22:31.021 --> 03:22:31.281]  November 26, 2008.
[03:22:31.341 --> 03:22:32.262]  Gold opened this morning at $819.10.
[03:22:32.302 --> 03:22:34.924]  A one ounce gold coin can be purchased for $843.64, $421.82 for a half ounce, and $212.90 for the quarter ounce.
[03:22:34.964 --> 03:22:35.624]  That's $843.64, $421.82, and $210.91.
[03:22:45.971 --> 03:22:49.816]  Bailout equals market distortions, increased money supply while productivity is going down.
[03:22:49.956 --> 03:22:54.201]  Wall Street is receiving injections of liquidity while smaller companies are forced to concede.
[03:22:54.261 --> 03:22:58.787]  Companies too big to fail are now using the tax dollars to increase market share, paying fat dividends.
[03:22:58.927 --> 03:23:04.294]  Are you wondering why supplies of gold and silver coins are decreasing rapidly, leaving the public scrambling to accumulate what's left?
[03:23:04.534 --> 03:23:07.657]  Fiat currency's value is based on trust, fiscal responsibility.
[03:23:07.677 --> 03:23:11.420]  Is Congress and the White House acting responsibly, earning your trust and confidence?
[03:23:11.560 --> 03:23:13.501]  Or is it time to insure your hard-earned wealth?
[03:23:13.621 --> 03:23:18.906]  Midas Resources offers economic insurance, gold and silver coins, 800-686-2237.
[03:23:19.006 --> 03:23:21.608]  Do you believe that more bailout will solve our economic problems?
[03:23:21.668 --> 03:23:23.409]  Or would you like to call Midas Resources at 1-800-686-2237?
[03:23:23.449 --> 03:23:24.410]  That's Midas Resources at 1-800-686-2237.
[03:23:29.814 --> 03:23:33.096]  Silver is mankind's oldest natural antibiotic.
[03:23:33.256 --> 03:23:37.319]  This very special mineral has been used for centuries by most cultures throughout the world.
[03:23:37.499 --> 03:23:48.947]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[03:23:49.167 --> 03:23:54.991]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[03:23:55.291 --> 03:23:59.653]  And germs can't mutate to be resistant like they can to modern-day antibiotics.
[03:23:59.953 --> 03:24:07.975]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold, and copper, with a money-back guarantee on the colloidal products we produce.
[03:24:08.135 --> 03:24:15.798]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of health care and freedom of speech.
[03:24:16.298 --> 03:24:18.859]  Visit us today at utopiasilver.com.
[03:24:19.019 --> 03:24:21.721]  That's U-T-O-P-I-A silver dot com.
[03:24:21.901 --> 03:24:22.521]  Or call 888-213-4338.
[03:24:22.541 --> 03:24:22.581]  888-213-4338.
[03:24:22.601 --> 03:24:23.722]  And help us win this battle.
[03:24:39.450 --> 03:24:41.551]  All right, folks, we are back at the Alex Jones Show.
[03:24:41.591 --> 03:24:42.811]  I'm Jason Burmiss, subbing in.
[03:24:42.971 --> 03:24:43.991]  I'm a filmmaker.
[03:24:44.071 --> 03:24:47.732]  I've made Fabled Enemies, Loose Change 2nd Edition, Loose Change Final Cut.
[03:24:47.792 --> 03:24:54.834]  I'm currently working on Invisible Empire, and I hope that you go to Infowars.com right now and order copies, make copies, hand them out.
[03:24:55.214 --> 03:24:56.335]  This is vital information.
[03:24:56.355 --> 03:25:00.516]  We're with Ray McGovern, 26-year CIA veteran, and he's discussing with us the
[03:25:01.622 --> 03:25:09.605]  Military personnel who have returned home and said, no war with Iran, and you were just discussing a gentleman who just returned from Israel and said the same thing, right?
[03:25:10.845 --> 03:25:27.030]  Yes, this was the Chairman of the Joint Chiefs, Jason, Mike Mullen, an Admiral, who was out there in June, actually, and told the Israelis, not only do we not want a new war with Iran, but don't even think about trying to provoke one.
[03:25:27.634 --> 03:25:32.436]  By doing something to let the boom go up.
[03:25:33.136 --> 03:25:39.139]  Now, what I was trying to say is he did something incredibly gutsy, something that no U.S.
[03:25:39.339 --> 03:25:46.062]  statesman has done in 41 years, and that is he raised the incident of the U.S.
[03:25:46.142 --> 03:25:46.982]  Liberty ship.
[03:25:47.654 --> 03:25:57.997]  That was deliberately attacked by Israel on the 8th of June, 1967, with 34 crewmen killed, 174 wounded.
[03:25:58.017 --> 03:26:04.579]  It was an incredible attack, and we have bulletproof evidence that it was intentional.
[03:26:04.819 --> 03:26:08.320]  Exactly why the Israelis did it is a matter of some speculation.
[03:26:08.340 --> 03:26:10.000]  You're talking about the USS Liberty, of course.
[03:26:10.741 --> 03:26:11.061]  Yes.
[03:26:11.801 --> 03:26:15.162]  And what Bolling said was, you know, he said, look, he said,
[03:26:15.791 --> 03:26:19.969]  We don't want any more USS Liberty type incidents.
[03:26:19.989 --> 03:26:20.551]  Oooh!
[03:26:21.773 --> 03:26:23.234]  Now, why was it so powerful?
[03:26:23.294 --> 03:26:34.363]  Because the Israelis know that Mullen knows, as a naval officer, what happened back on that terrible day, June 8th, 1967, and that Mullen was not going to let it happen again.
[03:26:34.843 --> 03:26:40.928]  That's about as direct, that's about as clear a message as you can send to the Israeli leaders.
[03:26:41.428 --> 03:26:51.236]  And right after that, right after that, we saw a slight attenuation of the propaganda out of Israel and out of the United States with respect to what a terrible threat.
[03:26:51.917 --> 03:26:54.760]  Iran is or was, but really isn't.
[03:26:55.501 --> 03:27:01.388]  Now, the next big factor that has made it unlikely that we will be striking Iran by air
[03:27:03.150 --> 03:27:04.791]  It's Russia, the Russian bear.
[03:27:05.531 --> 03:27:06.772]  We talk about the bear market.
[03:27:06.832 --> 03:27:12.957]  Well, I'm talking about the Russian bear who has it up to here now with his nose being tweaked.
[03:27:13.577 --> 03:27:27.468]  What happened was the Russians saw Israel and saw us, that is Cheney and Elliot Abrams and those types in the White House, as being behind that idiot Sakhashvili's attack on South Ossetia.
[03:27:28.320 --> 03:27:29.481]  Now, why was that important?
[03:27:29.541 --> 03:27:50.629]  Well, the Russians are up to here, and they said, look, you know, not only are we going to repel this attack, and they did so brutally, I don't hold any grief for that, not only are we going to repel the attack, but don't even think about Georgia becoming part of NATO or the Ukraine, and besides, Israelis, if you thought that you could use Georgian air fuels to attack Iran,
[03:27:51.449 --> 03:27:52.911]  Look at the map, you folks.
[03:27:53.872 --> 03:28:05.803]  The only feasible way, without flying over Iraq and other countries who would deny overflight permission, coming down from Georgia would have been quite feasible.
[03:28:06.083 --> 03:28:09.507]  And that, according to some reports, is what the Israelis had in mind.
[03:28:10.259 --> 03:28:12.080]  So the Russians really came down real hard.
[03:28:12.601 --> 03:28:17.444]  Olmert went up to Russia, other people went up to Russia, and they said, look, it's all over.
[03:28:17.484 --> 03:28:19.606]  Don't even think about attacking Iran.
[03:28:19.646 --> 03:28:21.167]  And they said the same thing to us.
[03:28:21.906 --> 03:28:34.730]  And again, we intelligence analysts look at all sources, and we saw a very sharp fall off of all the warnings out of the White House about how bad Iran is, how it's supplying our opponents in Iraq, and how it's developing.
[03:28:35.170 --> 03:28:40.011]  They all fell right off in early August, and it's still pretty far down.
[03:28:40.351 --> 03:28:42.092]  Two other factors I've mentioned briefly.
[03:28:42.112 --> 03:28:46.533]  You know, AIPAC, the American Israel
[03:28:47.913 --> 03:28:48.254]  I don't
[03:29:05.852 --> 03:29:11.794]  Uh, which amounted to calling for President Bush to blockade Iran, an act of war, okay?
[03:29:12.454 --> 03:29:23.098]  Now, traditionally, when the Israelis draft this kind of legislation, they put the word out and a hundred representatives, you know, co-sponsor the thing, like, you know, like before you could say Jack Robinson, okay?
[03:29:23.338 --> 03:29:23.938]  And that happened.
[03:29:24.398 --> 03:29:24.978]  But guess what?
[03:29:26.459 --> 03:29:27.739]  And the same thing happened in the Senate.
[03:29:28.039 --> 03:29:28.520]  Guess what?
[03:29:28.800 --> 03:29:37.443]  Grassroots folks inundated their representatives with calls, with emails, with taxes and everything else and got them thinking.
[03:29:37.583 --> 03:29:50.608]  And actually some of the co-sponsors withdrew their sponsorship of that bill because they were afraid that indeed the president would be encouraged, here's Congress telling him, to make an act of war on Iran.
[03:29:51.448 --> 03:29:55.651]  I think they also didn't want to fall victim to what I call the Hillary Clinton factor.
[03:29:56.432 --> 03:30:01.736]  You know, Hillary actually thought it would be a smart political move when she voted for the war against Iraq.
[03:30:01.796 --> 03:30:02.797]  Alright, hold that thought, Ray.
[03:30:02.817 --> 03:30:04.138]  We're going to be with you after the break.
[03:30:04.158 --> 03:30:05.058]  We're going to take your calls.
[03:30:05.098 --> 03:30:06.499]  Ray McGovern, CI Analyst.
[03:30:06.579 --> 03:30:07.720]  It's the Alex Jones Show.
[03:30:07.740 --> 03:30:09.882]  PrisonPlanet.com, PrisonPlanet.TV.
[03:30:20.254 --> 03:30:23.256]  We're on the march, the empire's on the run.
[03:30:24.197 --> 03:30:26.879]  Alex Jones and the GCN Radio Network.
[03:30:30.572 --> 03:30:39.317]  More than 700 chemicals have been found in our drinking water, and did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[03:30:39.477 --> 03:30:44.260]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[03:30:44.640 --> 03:30:55.767]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[03:30:56.167 --> 03:31:01.708]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[03:31:01.948 --> 03:31:08.009]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[03:31:08.190 --> 03:31:08.850]  What about you?
[03:31:09.230 --> 03:31:11.150]  Order your KDF Shower Filter normally.
[03:31:11.170 --> 03:31:15.271]  $49 for a special price of only $39.99 with free shipping.
[03:31:15.671 --> 03:31:17.912]  Call the Berkey guy and order now by calling 1-877-886-3653.
[03:31:17.992 --> 03:31:18.192]  That's 1-877-886-3653.
[03:31:24.973 --> 03:31:28.454]  Or simply click on the banner at GCNlive.com to order online now.
[03:31:30.015 --> 03:31:33.156]  A day unlike any other in the long course of American history.
[03:31:33.256 --> 03:31:36.377]  A terrorist act of war against this country.
[03:31:36.717 --> 03:31:38.718]  The enemy struck America on September 11th.
[03:31:39.378 --> 03:31:40.458]  But who is the enemy?
[03:31:40.918 --> 03:31:41.459]  Bin Laden.
[03:31:41.719 --> 03:31:42.659]  This is his ammo.
[03:31:42.679 --> 03:31:44.079]  We have to look to the Middle East.
[03:31:44.099 --> 03:31:45.620]  We have to look to Osama Bin Laden.
[03:31:46.060 --> 03:31:52.807]  Tabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[03:31:53.227 --> 03:31:53.668]  Some U.S.
[03:31:53.708 --> 03:31:59.453]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[03:32:00.074 --> 03:32:03.517]  I'm aware that some Israeli citizens have been detained.
[03:32:03.757 --> 03:32:13.804]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[03:32:14.025 --> 03:32:14.785]  Fabled Enemies.
[03:32:15.265 --> 03:32:22.551]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[03:32:23.031 --> 03:32:26.394]  Either you are with us or you are with the terrorists.
[03:32:30.558 --> 03:32:32.199]  Hello, I'm Steve Shang.
[03:32:32.359 --> 03:32:39.343]  For the past several months, folks have constantly asked me to give them the date as to when they should be finished stocking up on food.
[03:32:39.363 --> 03:32:49.468]  We've been so beaten up by stock market banking, housing, and unemployment crashes that we're desensitized and frozen and active like the frog being unknowingly cooked in gradually increasingly hot water.
[03:32:49.948 --> 03:32:50.848]  We'll snap out of it.
[03:32:50.888 --> 03:32:51.889]  We now have a deadline.
[03:32:52.389 --> 03:32:53.850]  Joe Biden said it's going to happen.
[03:32:54.410 --> 03:33:05.755]  Former Secretary of State Colin Powell went on CBS Meet the Press and pointed to about January 22nd as the time a major international incident would force the new president to make unpopular decisions.
[03:33:06.316 --> 03:33:12.018]  Well, I take the general of his word and my best advice is to have your food in your possession prior to the inauguration.
[03:33:12.459 --> 03:33:17.341]  Contact efoodsdirect.com for your supplies prior to this deadline for disaster.
[03:33:17.901 --> 03:33:21.623]  Ask yourself, is it better to have too much too soon or too little too late?
[03:33:22.223 --> 03:33:26.807]  Call 800-409-5633 or on the web efoodsdirect.com.
[03:33:32.272 --> 03:33:37.436]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[03:33:38.097 --> 03:33:40.419]  Because there's a war on for your mind.
[03:33:41.841 --> 03:33:43.203]  Alright, folks, we're back.
[03:33:43.223 --> 03:33:44.225]  It's the Alex Jones Show.
[03:33:44.305 --> 03:33:46.629]  I am Jason Burmas, sitting in for Alex Jones.
[03:33:47.410 --> 03:33:48.491]  We are with Ray McGovern.
[03:33:48.511 --> 03:33:50.755]  We're discussing the upcoming election.
[03:33:51.796 --> 03:33:53.259]  And he just mentioned that, uh...
[03:33:54.119 --> 03:33:56.821]  Hillary Clinton was a bit of a warmonger against Iran.
[03:33:56.882 --> 03:33:59.484]  I mean, she pretty much said everything was on the table.
[03:33:59.544 --> 03:34:01.145]  I want him to finish up his point on that.
[03:34:01.165 --> 03:34:13.316]  And then I want to get his take on this coming international crisis that people like Joe Biden, Colin Powell, and now a key member of the Pentagon Advisory Panel are talking about.
[03:34:13.336 --> 03:34:13.796]  I want to think if...
[03:34:15.003 --> 03:34:16.764]  I want to know whether he thinks this is a reality.
[03:34:16.824 --> 03:34:18.045]  Is this something that's coming up?
[03:34:18.345 --> 03:34:21.907]  I mean, obviously, with the bailout and the economy, anything's possible.
[03:34:22.668 --> 03:34:24.849]  But why don't you finish up your point and then comment on that?
[03:34:26.410 --> 03:34:26.710]  Sure.
[03:34:26.730 --> 03:34:32.754]  You know, the business about the attack on Iran being off the table, probably.
[03:34:32.774 --> 03:34:43.461]  I'll just finish up by saying that it was a grassroots effort, but many of the congressmen who actually had co-sponsored the bill withdrew that co-sponsorship.
[03:34:44.776 --> 03:34:47.119]  I think it wasn't altogether altruistic.
[03:34:47.419 --> 03:34:54.306]  I think they were thinking about two years from now, when they're running again, and there's a wider war still, and they voted for it.
[03:34:55.227 --> 03:34:58.331]  What I call the Hillary Clinton effect would set in.
[03:34:58.891 --> 03:35:00.793]  You'll recall that back in October 2002,
[03:35:02.535 --> 03:35:05.958]  She thought it was the politically smart thing to do, to vote for a war.
[03:35:06.398 --> 03:35:09.220]  Turned out to derail her attempt to be president.
[03:35:09.660 --> 03:35:15.345]  It will derail the attempts of others to be representatives or senators if they voted for a wider war.
[03:35:15.505 --> 03:35:17.906]  And that's why the whole thing was squashed.
[03:35:18.227 --> 03:35:29.395]  This is the first time in recent memory that I've seen a grassroots effort able to defeat legislation not only proposed by, but drafted by AIPAC.
[03:35:30.293 --> 03:35:32.655]  And the last thing, of course, is the financial crisis.
[03:35:33.615 --> 03:35:36.297]  I think everybody kind of realizes that we're running out of money.
[03:35:36.317 --> 03:35:40.340]  We're spending billions in Iraq and Afghanistan every week.
[03:35:41.040 --> 03:35:57.771]  So where do we get the money to get involved in a war with Iran, which is not at all like Iraq or Afghanistan, but rather a very, very strong country with lots of armed forces that dwarf
[03:35:59.051 --> 03:36:12.718]  So do you think there's a chance of this international crisis that Biden and Powell and other people in the Pentagon are now talking about in the first months of his presidency, if he gets in?
[03:36:14.378 --> 03:36:16.639]  Well, Joe Biden is not one of my favorites.
[03:36:17.060 --> 03:36:20.741]  He kind of runs off the mouth without thinking about what he's going to say.
[03:36:20.761 --> 03:36:26.364]  And we're also dealing again here with the political rhetoric rather than reality.
[03:36:27.769 --> 03:36:36.597]  My guess is that Biden was just trying to draw a parallel between Obama and JFK.
[03:36:36.777 --> 03:36:37.758]  See, even you did it!
[03:36:37.818 --> 03:36:39.600]  We can't just accuse the neocons now!
[03:36:40.681 --> 03:36:42.703]  That's alright, continue!
[03:36:43.755 --> 03:36:47.120]  I apologize for the senior moment here.
[03:36:49.783 --> 03:36:57.914]  It's always politically good to compare your candidate with John Kennedy for how much people have continuing respect, including myself.
[03:36:58.815 --> 03:37:03.900]  And we all know, at least those of us old as I am, that Kennedy was confronted.
[03:37:03.920 --> 03:37:06.322]  He was young and he was confronted by Khrushchev.
[03:37:06.862 --> 03:37:09.084]  He was actually confronted by the CIA.
[03:37:09.184 --> 03:37:20.475]  He was confronted by our military when they decided to go through with that Bay of Pigs foolishness and then expected Kennedy to bail him out by sending the Air Force in to save these guys.
[03:37:21.235 --> 03:37:22.035]  They mousetrapped him.
[03:37:22.675 --> 03:37:32.918]  And so he was beset by all kinds of challenges, not only from Khrushchev in Vienna in May of 1961, but also the Bay of Pigs before that.
[03:37:33.598 --> 03:37:38.780]  And, you know, there was the Berlin, the trouble over Berlin access and everything else.
[03:37:39.600 --> 03:37:56.085]  My guess, and it's only a guess, is that what Biden was referring to is, look, you know, Kennedy, initially braced and shocked by all this, came through, and even when the challenge to us in Cuba with the Russians sending missiles down there, when that happened,
[03:37:56.665 --> 03:38:03.193]  He was able to handle that in a cool and collected way, but a strong way, and he made the Russians back down.
[03:38:03.293 --> 03:38:07.578]  That's the memory most of us have of KFK, but I think it's nothing more than that.
[03:38:07.598 --> 03:38:11.062]  I don't think Biden has any special matter of fact.
[03:38:11.542 --> 03:38:12.342]  Hey Brian, how are you?
[03:38:12.402 --> 03:38:13.102]  Hi, doing good.
[03:38:13.122 --> 03:38:13.583]  How are you?
[03:38:13.603 --> 03:38:13.683]  Good.
[03:38:31.053 --> 03:38:36.822]  I think that, first of all, I want to make one comment about what they're saying about Barack will be tested.
[03:38:37.203 --> 03:38:45.957]  I think they realize they need to warn everybody and what they're going to stage is more false flag terrorism, but they need to brainwash the people and spill it in their minds first.
[03:38:46.577 --> 03:38:53.404]  And the one disagreement I have is about some footage that was used in a film, and better footage could have been used.
[03:38:54.345 --> 03:39:07.058]  I happen to personally know the guys from vthepentacon.com, and they actually have even newer testimony, other than the two Pentagon police officers on-site at the CITCO.
[03:39:07.478 --> 03:39:08.058]  We're good to go.
[03:39:22.179 --> 03:39:25.601]  And even Lloyd's wife agrees that it was a Northside flyover.
[03:39:25.642 --> 03:39:27.523]  They've got a whole lot of new information.
[03:39:27.643 --> 03:39:30.725]  Yeah, you know, I like those guys and I like what they do.
