[00:00:00.109 --> 00:00:01.650]  This is the GCN Radio Network.
[01:12:17.019 --> 01:12:24.901]  Now, most people don't think... You're a psychotic, controlled freak, piece of filth neighbor with no accountability and a black uniform with a machine gun.
[01:12:24.901 --> 01:12:29.162]  Oh yeah, but most people, they don't go for people like that.
[01:12:29.162 --> 01:12:31.443]  Individuals, but they will go for organizations.
[01:12:31.443 --> 01:12:32.923]  So I was going to make the point that
[01:12:33.363 --> 01:12:41.449]  If Ted Bundy was your neighbor, do you, A, want him to like you, or would you say, B, uh, Ted, I think I'll pass on that barbecue?
[01:12:41.449 --> 01:12:45.112]  You know, most people would say, yeah, we'll pass on it.
[01:12:45.112 --> 01:12:55.420]  And if you are, you know, across the street from him, one side, the neighbor he does like, and on the other side, this guy does not go along with my kind of thinking.
[01:12:55.420 --> 01:12:56.781]  I don't like him.
[01:12:56.781 --> 01:12:58.923]  So who would you rather spend time with?
[01:12:58.923 --> 01:13:01.145]  The one he does approve of, or the one he doesn't?
[01:13:01.801 --> 01:13:07.766]  My point is, if we have a psychotic government, why is everyone trying to be liked by it?
[01:13:07.766 --> 01:13:10.408]  Why are they trying to be favored by it?
[01:13:10.408 --> 01:13:15.793]  Wouldn't you cozy up to Tony Soprano and, you know, you get what you deserve?
[01:13:15.793 --> 01:13:17.414]  Absolutely, they do it out of cowardice.
[01:13:17.414 --> 01:13:18.415]  Let's jam in one more.
[01:13:18.415 --> 01:13:21.738]  Matt in Canada, thanks for holding your own the year.
[01:13:21.738 --> 01:13:22.418]  Jake.
[01:13:22.418 --> 01:13:23.299]  Hi.
[01:13:23.299 --> 01:13:24.320]  Hey Alex, how's it going?
[01:13:25.051 --> 01:13:25.631]  Pretty good.
[01:13:25.631 --> 01:13:27.592]  I'm just watching Total Criminality take over.
[01:13:27.592 --> 01:13:30.034]  I'm really freaked out.
[01:13:30.034 --> 01:13:30.894]  Nice to talk to you.
[01:13:30.894 --> 01:13:33.436]  Anyways, I had a question for you.
[01:13:33.436 --> 01:13:41.440]  If we were putting our money all into gold, who's to say that they couldn't create a gold seizure like they did in 1933?
[01:13:41.440 --> 01:13:42.701]  They could do anything.
[01:13:42.701 --> 01:13:46.043]  The point is, if your money's in the bank, they can grab it that much easier.
[01:13:46.043 --> 01:13:50.305]  Well, if you have the gold in your safe at home, can they come with
[01:13:52.286 --> 01:13:54.168]  Black cop uniforms come to your door.
[01:14:09.501 --> 01:14:13.985]  Yeah, it's better to get it out of the bank, but like, if we get the gold in our hands, we should probably hide it pretty good.
[01:14:29.119 --> 01:14:37.248]  Yeah, I think most of us don't have the problem of having a whole bunch of extra money to have that going on, but, you know, look, bottom line, sir, that that's the whole point.
[01:14:37.248 --> 01:14:39.310]  The government doesn't follow a law.
[01:14:39.310 --> 01:14:48.500]  It's a private management group for private offshore corporations to suck off us, and they use high-tech brainwashing and public relations to neutralize and confuse the public.
[01:14:48.860 --> 01:14:51.426]  And we're going into hardcore tyranny right now.
[01:14:51.426 --> 01:14:53.451]  I mean, no matter who gets elected, it's just going to get worse.
[01:14:53.451 --> 01:14:54.072]  They're puppets.
[01:14:54.072 --> 01:14:55.255]  They don't run anything.
[01:14:55.255 --> 01:14:56.939]  The New World Order's in control.
[01:14:56.939 --> 01:14:58.964]  We're not going to get our power back until we admit that.
[01:14:59.797 --> 01:15:05.420]  I know, I see it locally here in Vancouver, on the trains, the transit cops all have tasers.
[01:15:05.420 --> 01:15:07.021]  That's right, and they catch you without a ticket.
[01:15:07.021 --> 01:15:10.223]  If you don't have a ticket, they'll just taser you.
[01:15:10.223 --> 01:15:17.647]  They taser you, and they say, and then the police chief, the transit head, got in trouble, and he said, yes, we're going to punish you.
[01:15:17.647 --> 01:15:19.228]  It's cattle prods.
[01:15:19.228 --> 01:15:19.969]  Yeah.
[01:15:19.969 --> 01:15:23.911]  And tasers have killed almost 400 people, they admit to, and so what do they do?
[01:15:23.911 --> 01:15:25.152]  They say, we're going to go from 50,000 volts to 75,000 volts.
[01:15:28.214 --> 01:15:29.035]  And you're gonna like it.
[01:15:29.035 --> 01:15:32.738]  You're gonna learn how to be a pathetic slave.
[01:15:32.738 --> 01:15:33.038]  Okay?
[01:15:33.038 --> 01:15:34.259]  I mean, look.
[01:15:34.259 --> 01:15:38.663]  20, 30 years ago, and I've seen the studies on this, Americans would help somebody in need.
[01:15:38.663 --> 01:15:42.206]  They would help somebody being mugged, or attacked, or killed, or bleeding to death in the street.
[01:15:42.206 --> 01:15:44.728]  They don't now, on average, because they've been trained.
[01:15:44.728 --> 01:15:46.970]  They watch four or five hours of TV a day.
[01:15:46.970 --> 01:15:48.612]  They wait for somebody else to do it.
[01:15:48.612 --> 01:15:49.993]  They're cowardly!
[01:15:49.993 --> 01:15:51.594]  Stop being cowards!
[01:15:51.594 --> 01:15:52.235]  Get angry!
[01:15:53.661 --> 01:15:58.466]  And stop defending the rat-infested government that's just stealing everything.
[01:15:58.466 --> 01:16:02.531]  I mean, here in Texas, they said, there's no toll roads, there's no plan for toll roads.
[01:16:02.531 --> 01:16:04.993]  The company isn't foreign, and now they're doing it all.
[01:16:04.993 --> 01:16:08.477]  They just lie, lie, lie, lie, lie, lie.
[01:16:08.477 --> 01:16:09.498]  Take the neighbor analogy.
[01:16:09.498 --> 01:16:11.881]  What if you had a neighbor who lied to you a thousand times?
[01:16:11.881 --> 01:16:13.523]  Neighbor you'd caught doing all these horrible things.
[01:16:14.881 --> 01:16:17.904]  I mean, the government gets caught every week shipping heroin and cocaine in.
[01:16:17.904 --> 01:16:21.968]  It's just a... I mean, the Texas Youth Commission runs giant rape rooms with children in them.
[01:16:21.968 --> 01:16:25.191]  I mean, it's the whole government totally filled with scum!
[01:16:25.191 --> 01:16:27.032]  We'll be right back with more of your calls.
[01:16:27.032 --> 01:16:27.573]  Stay with us.
[01:16:31.397 --> 01:16:33.059]  Senator Barkley, I presume.
[01:16:33.059 --> 01:16:35.522]  Governor Ventura, what are you doing down here?
[01:16:35.522 --> 01:16:38.706]  Looking for a way out for me and all these taxpayers.
[01:16:38.706 --> 01:16:40.288]  Are we where I think we are?
[01:16:40.288 --> 01:16:43.312]  Yes, it appears we're at the bottom of a very deep hole.
[01:16:43.312 --> 01:16:44.573]  Did we do something wrong?
[01:16:44.573 --> 01:16:45.174]  Not us.
[01:16:45.174 --> 01:16:49.880]  It seems some schemers on Wall Street dug this hole, and we're down here to get them out of it.
[01:16:50.040 --> 01:16:54.143]  I don't see too many investment bankers or insurance company executives down here.
[01:16:54.143 --> 01:16:55.804]  I don't see Al Franken here either.
[01:16:55.804 --> 01:16:59.727]  Senator, I said we're down here with taxpayers.
[01:16:59.727 --> 01:17:01.869]  I don't see Norm Coleman down here either.
[01:17:01.869 --> 01:17:06.693]  Well, since Norm Coleman became Senator, the federal deficit went up three trillion dollars.
[01:17:06.693 --> 01:17:09.875]  Governor, you and I know the first rule of getting out of a hole.
[01:17:09.875 --> 01:17:11.496]  Stop digging!
[01:17:11.496 --> 01:17:14.579]  During my administration, we ran budget surpluses.
[01:17:14.579 --> 01:17:16.080]  And we gave money back to taxpayers.
[01:17:16.580 --> 01:17:18.961]  That's the kind of thinking we need in Washington.
[01:17:18.961 --> 01:17:24.424]  Please go to SenatorBarclay.com to make a contribution and help take back our country.
[01:17:24.424 --> 01:17:27.385]  I'm Senator Dean Barclay and I approve this message.
[01:17:27.385 --> 01:17:30.407]  And so do I. Paid for by Barclay for Senate.
[01:17:33.268 --> 01:17:39.655]  Long-time survivalist author Ragnar Benson wrote, A survival retreat is a place you go to live, not die.
[01:17:39.655 --> 01:17:45.141]  It is a place out of the mainstream of events that contains the means to survive without outside support.
[01:17:45.141 --> 01:17:51.529]  A place where you find shelter, protection, food, water, medicine, and warmth you prepared for yourself.
[01:17:52.049 --> 01:17:57.291]  It is defensible and is put together with a realistic understanding of what the dangers will be.
[01:17:57.291 --> 01:18:00.512]  Ragnar Benson also said, Why retreat?
[01:18:00.512 --> 01:18:05.033]  This is a question that 90% of our population cannot and will not answer.
[01:18:05.033 --> 01:18:10.835]  If they could, that same 90% would have to admit that things may not continue on as they are now.
[01:18:10.835 --> 01:18:13.056]  They would also have to admit that they will need a retreat.
[01:18:13.676 --> 01:18:17.358]  Something completely impossible for the average American to do.
[01:18:17.358 --> 01:18:19.318]  Act now before it's too late.
[01:18:19.318 --> 01:18:27.822]  In order to find your new, high-security, self-sufficient, off-grid, beautiful retreat property, visit survivalproperty.com.
[01:18:27.822 --> 01:18:29.003]  That's survivalproperty.com.
[01:18:32.702 --> 01:18:35.883]  You know, I know exactly what you're thinking when it comes to this economy.
[01:18:35.883 --> 01:18:37.263]  The banks are crashing.
[01:18:37.263 --> 01:18:38.863]  The stock market's a mess.
[01:18:38.863 --> 01:18:40.524]  There's the mortgage crisis.
[01:18:40.524 --> 01:18:42.464]  There's the lending crisis.
[01:18:42.464 --> 01:18:47.145]  There is the food and gasoline prices through the ceiling crisis.
[01:18:47.145 --> 01:18:48.705]  And we are paralyzed a little bit.
[01:18:48.705 --> 01:18:50.686]  We don't know exactly how to respond to it.
[01:18:50.686 --> 01:18:51.466]  I don't know what to say.
[01:18:51.466 --> 01:18:52.266]  What can you do?
[01:18:52.266 --> 01:18:53.126]  Do what you can do.
[01:18:53.126 --> 01:18:53.746]  That's what you do.
[01:18:53.746 --> 01:18:55.027]  You do what you can do.
[01:18:55.027 --> 01:18:56.547]  What I can do is I can put some food away.
[01:18:56.667 --> 01:18:58.448]  I know there's a global food shortage.
[01:18:58.448 --> 01:18:59.008]  I can read it.
[01:18:59.008 --> 01:19:02.169]  I can go to efoodsdirect.com, read hundreds of articles about this.
[01:19:02.169 --> 01:19:06.551]  I can go up on the Google website and Google food shortage and see the world's a mess.
[01:19:06.551 --> 01:19:06.991]  I know it.
[01:19:06.991 --> 01:19:07.391]  You know it.
[01:19:07.391 --> 01:19:08.151]  Look at the prices.
[01:19:08.151 --> 01:19:08.852]  Look where they're headed.
[01:19:08.852 --> 01:19:09.492]  Be prepared.
[01:19:09.492 --> 01:19:10.172]  Take care of yourself.
[01:19:10.172 --> 01:19:16.275]  You owe your family some security, some sense of self-being, a little bit of self-reliance is a good idea right now.
[01:19:16.275 --> 01:19:18.415]  Get some food from efoodsdirect.com.
[01:19:18.415 --> 01:19:20.116]  Go up to efoodsdirect.com right now.
[01:19:20.116 --> 01:19:21.957]  Look, hey, you don't even have to can your own food anymore.
[01:19:21.957 --> 01:19:22.637]  We canned it for you.
[01:19:22.777 --> 01:19:23.517]  That's 1-800-409-5633.
[01:19:23.517 --> 01:19:26.998]  Eatfoodsdirect.com.
[01:19:26.998 --> 01:19:29.399]  1-800-409-5633.
[01:19:29.399 --> 01:19:30.900]  Call us now.
[01:19:30.900 --> 01:19:32.580]  Alex Jones here with a question.
[01:19:32.580 --> 01:19:34.321]  What does humidity mean to you?
[01:19:34.321 --> 01:19:37.001]  Most people think of hot and sticky summer days.
[01:19:37.001 --> 01:19:42.143]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[01:19:42.143 --> 01:19:45.324]  That's why I'd like you to visit acolablue.com.
[01:19:45.324 --> 01:19:48.865]  Acolablue is a state-of-the-art atmospheric water generator.
[01:19:49.225 --> 01:20:01.770]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[01:20:01.770 --> 01:20:03.791]  Finally, drinking water that you control.
[01:20:03.791 --> 01:20:05.512]  I use one every day.
[01:20:05.512 --> 01:20:11.194]  Say goodbye to expensive water delivery services and storing five gallon bottles of water in your home.
[01:20:11.194 --> 01:20:13.455]  The Ecola Blue 28 is shipped right to your home.
[01:20:13.775 --> 01:20:17.578]  Ready to make close to seven gallons a day, right out of the box.
[01:20:17.578 --> 01:20:19.699]  They have a 30-day money-back guarantee.
[01:20:19.699 --> 01:20:21.220]  Call Ecola Blue right now at 866-585-4044.
[01:20:21.220 --> 01:20:21.520]  That's 866-585-4044.
[01:20:21.520 --> 01:20:23.161]  Or visit Ecola Blue at ecoloble.com today.
[01:20:23.161 --> 01:20:24.022]  You are listening to GCN.
[01:20:24.022 --> 01:20:24.683]  Visit GCNlive.com today.
[01:20:44.375 --> 01:20:53.564]  You know, I challenge new listeners listening out there on M&M's across the country or on the internet at InfoWars.com.
[01:20:53.564 --> 01:20:57.367]  There are archives of this show on the web going back more than 10 years.
[01:20:57.367 --> 01:20:59.469]  Just Google Alex Jones Radio 2000, 2002, 2004, 2005.
[01:21:04.634 --> 01:21:20.267]  And I laid out exactly how they would implode the derivatives, how they would give the banks unlimited governmental power, how they would then call for a world solution, the banks being given global government power, they're even calling in a new world order now, and then exactly what I said would happen has now happened.
[01:21:20.267 --> 01:21:20.507]  Why?
[01:21:20.507 --> 01:21:22.069]  I have the IMF and World Bank documents.
[01:21:22.924 --> 01:21:23.825]  We published them.
[01:21:23.825 --> 01:21:24.946]  We posted them.
[01:21:24.946 --> 01:21:25.746]  We talked about it.
[01:21:25.746 --> 01:21:28.588]  We know what we're talking about here.
[01:21:28.588 --> 01:21:30.650]  Look, I'm going to rampage through your calls.
[01:21:30.650 --> 01:21:35.414]  I'm going to play this clip of a psycho, a schizophrenic, beating a toddler to death.
[01:21:35.414 --> 01:21:38.216]  It's coming up later.
[01:21:38.216 --> 01:21:39.317]  Beating a toddler to death.
[01:21:40.499 --> 01:21:42.842]  Hey Alex, I listen to your show every day.
[01:21:42.842 --> 01:21:45.384]  Actually, I listen to all the GCN shows every day.
[01:21:45.384 --> 01:21:47.246]  I'm a member of the Prison Planet, I've got all your movies.
[01:22:03.667 --> 01:22:05.190]  And, uh, wow.
[01:22:05.190 --> 01:22:06.492]  All I can say is wow.
[01:22:06.492 --> 01:22:07.814]  It's on the news every day.
[01:22:07.814 --> 01:22:11.281]  Uh, New World Order this, New World Government, New World Currency.
[01:22:12.296 --> 01:22:14.037]  And I'm still being laughed at!
[01:22:14.037 --> 01:22:15.838]  Yeah, well... I mean, you know, it's funny.
[01:22:15.838 --> 01:22:17.499]  Ha ha, yeah, great!
[01:22:17.499 --> 01:22:27.524]  Around April, I told my dad, I worked with my dad, I told him and a guy, we were talking, I told him, you know, around October we're going to find out that our government is bankrupt.
[01:22:27.524 --> 01:22:34.348]  And oh boy, they had such a hearty, even though I knew it then, they had a hearty laugh and they were almost rolling on the ground.
[01:22:34.348 --> 01:22:38.250]  Yeah, they laughed at anybody that tells them they have a responsibility.
[01:22:38.250 --> 01:22:38.890]  Go ahead.
[01:22:38.890 --> 01:22:39.711]  That's too convergent.
[01:22:40.671 --> 01:22:41.491]  They are.
[01:22:41.491 --> 01:22:43.352]  Anyway, you know... So they woke up after it happened?
[01:22:43.352 --> 01:22:44.612]  Good men will be good men, Alex.
[01:22:44.612 --> 01:22:45.252]  You're a good man.
[01:22:45.252 --> 01:22:46.673]  I'm a good man.
[01:22:46.673 --> 01:22:53.174]  And all I can say about a woman being raped or a baby being beaten, not on my shift, I don't care.
[01:22:53.174 --> 01:22:53.875]  I'd stop it.
[01:22:53.875 --> 01:22:55.715]  I don't care if it was a cop with a gun.
[01:22:55.715 --> 01:22:58.116]  You're not gonna rape a woman around me.
[01:22:58.116 --> 01:22:59.376]  A good man is a good man.
[01:23:00.131 --> 01:23:01.534]  Regardless of the New World Order.
[01:23:13.323 --> 01:23:14.745]  What happened to us as a country?
[01:23:14.745 --> 01:23:15.927]  This could never have happened.
[01:23:15.927 --> 01:23:19.772]  We had so much wealth and so much liberty because we wouldn't put up with being slaves.
[01:23:19.772 --> 01:23:21.073]  People knew government was bad.
[01:23:21.073 --> 01:23:23.056]  They knew it was bad to have it become big.
[01:23:23.056 --> 01:23:28.283]  But you're saying, your dad and the guy that he works with, that you warned about the banks months before it happened.
[01:23:28.283 --> 01:23:29.565]  They now woke up.
[01:23:29.565 --> 01:23:30.286]  Yes, they did.
[01:23:31.954 --> 01:23:42.157]  Well, you ought to go give them the video clips that are on YouTube of where I was warning on Austin TV months before 9-11 saying the government's going to blow up the World Trade Centers and blame it on Bin Laden.
[01:23:42.157 --> 01:23:43.917]  Give them that and see what they say.
[01:23:43.917 --> 01:23:46.258]  Folks, we know what's going to happen, okay?
[01:23:46.258 --> 01:23:47.258]  I'm telling you.
[01:23:47.258 --> 01:23:49.999]  They're already poisoning your water and your food.
[01:23:49.999 --> 01:23:53.400]  The average person in government isn't aware and isn't involved.
[01:23:53.400 --> 01:23:53.940]  Okay?
[01:23:53.940 --> 01:23:55.100]  It's compartmentalized.
[01:23:55.100 --> 01:23:57.661]  I know it's hard to believe, but it's true.
[01:23:57.661 --> 01:23:59.221]  Go to the documents.
[01:23:59.221 --> 01:24:00.282]  Chad in Canada.
[01:24:00.282 --> 01:24:01.202]  You're on the air, Chad.
[01:24:02.569 --> 01:24:04.131]  Hi there Alex, thanks for taking my call.
[01:24:04.131 --> 01:24:05.132]  Thanks for calling.
[01:24:05.132 --> 01:24:06.673]  First time caller.
[01:24:06.673 --> 01:24:12.299]  Now you mentioned fluoride and I'd like to basically state some credibility here.
[01:24:12.299 --> 01:24:17.064]  I have a degree in chemistry and biology from Laurentian University up here in Canada.
[01:24:17.996 --> 01:24:33.241]  And I'd like to point out to your listeners that fluoride is actually deposited in all glands, but more so in the pineal gland, up to 21,000 parts per million than any other tissue in the body, including teeth and bone.
[01:24:33.241 --> 01:24:35.401]  And they, of course, call that gland the seat of the soul.
[01:24:35.401 --> 01:24:36.362]  That's right.
[01:24:36.362 --> 01:24:41.803]  Even in my own Catholic religion, they call that the seat of the soul, the Eye of Horus.
[01:24:41.803 --> 01:24:42.964]  And, you know, it's interesting.
[01:24:42.964 --> 01:24:45.864]  Well, it regulates the other hormones involved in the area.
[01:24:45.864 --> 01:24:47.385]  Serotonin and melanin, that's right.
[01:24:48.260 --> 01:24:58.807]  And also, you know, our amphibian friends actually have a retina and a crystal attached to this hormone that's seeded in both hemispheres of our brain.
[01:24:58.807 --> 01:25:13.116]  Well, sodium fluoride attacks all the glands, all the bones, and over 90% of EPA scientists and toxicologists two years ago, I've had the head guy on, signed a letter to the head of the EPA.
[01:25:14.257 --> 01:25:17.259]  Saying, we've got to get this out of the water, it's toxic poison.
[01:25:17.259 --> 01:25:30.411]  That's right, and a couple of things recently, to the very meticulous research of Dr. Jennifer Luke from the University of Surrey in England, that states that the pineal gland is attacked the most by the fluoride.
[01:25:30.411 --> 01:25:33.474]  And you ever get that feeling, you're thinking of somebody and bang, they call?
[01:25:33.474 --> 01:25:36.577]  You know, that's your psychic sense that's responsible.
[01:25:37.137 --> 01:25:38.119]  Well, I know this.
[01:25:38.119 --> 01:25:39.541]  You make great points.
[01:25:39.541 --> 01:25:39.961]  I know this.
[01:25:52.458 --> 01:25:55.220]  Most of the studies show a 20 point IQ reduction.
[01:25:55.220 --> 01:25:59.083]  Some studies show higher, some show lower, but there's literally thousands of studies on fluoride.
[01:25:59.083 --> 01:26:01.184]  On average, the IQ studies, just Google it.
[01:26:01.184 --> 01:26:03.286]  Just type IQ reduction fluoride.
[01:26:03.286 --> 01:26:05.327]  You'll be reading mainline government stuff.
[01:26:05.327 --> 01:26:06.508]  Now, listen.
[01:26:06.508 --> 01:26:10.390]  In the 50s, we had widespread fluoridization by about 6% of the country.
[01:26:10.390 --> 01:26:11.952]  Now it's about 70.
[01:26:11.952 --> 01:26:18.076]  And they found very quickly on horse farms and cattle farms to not give them fluoridated water because it was killing them.
[01:26:18.076 --> 01:26:19.617]  And I've got a bunch of news articles about that now.
[01:26:20.794 --> 01:26:26.722]  I mean, it kills the horses and cows, folks!
[01:26:26.722 --> 01:26:27.764]  So incredible.
[01:26:27.764 --> 01:26:29.206]  Thank you so much for the call, sir.
[01:26:29.206 --> 01:26:30.127]  I appreciate it.
[01:26:30.127 --> 01:26:32.811]  I'm cutting all these great callers off so I have a chance to get to everybody.
[01:26:32.811 --> 01:26:34.794]  Bobby in California, you're on the air, Bobby.
[01:26:36.440 --> 01:26:47.006]  Hi, I now refer to my cell phone as a cancer phone, like pass me my cancer phone, or can I use your cancer phone?
[01:26:47.006 --> 01:26:51.569]  And I think what you do, people call them cancer sticks.
[01:26:51.569 --> 01:26:53.950]  And statistically, people are better off
[01:26:54.794 --> 01:26:58.135]  Smoking two packs of cigarettes and putting their cell phone up to their head.
[01:26:58.135 --> 01:27:01.236]  Uh, that was a huge British study by the government came out about a month ago.
[01:27:01.236 --> 01:27:10.778]  Yeah, they found that, uh, that, uh, regular cell phone use, I forget how many hours it said a month, but it was moderate, uh, is more dangerous than a heavy smoker.
[01:27:10.778 --> 01:27:13.619]  And, and people are crazy that they should only use speakerphone.
[01:27:13.619 --> 01:27:14.839]  Don't put that thing up to your head.
[01:27:14.839 --> 01:27:20.881]  Well, the scientists, uh, the brain surgeons and people even have names now for the specific cell phone tumor you get.
[01:27:21.778 --> 01:27:22.198]  Yeah.
[01:27:22.198 --> 01:27:25.781]  And it's always on the side of the head you tend to use the phone on.
[01:27:25.781 --> 01:27:41.333]  Yeah, and I had an idea for the future, like maybe in the Prison Planet form, maybe someone could quote all the propositions throughout all the states, and maybe your listeners could go through and vote whether they think it's anti-New World Order or pro-New World Order.
[01:27:41.333 --> 01:27:42.914]  Just in the future.
[01:27:42.914 --> 01:27:45.997]  But another thing, I had a problem with Webster Tarpley.
[01:27:45.997 --> 01:27:48.218]  I think he kind of oversimplifies everything.
[01:27:49.159 --> 01:27:52.481]  You're certainly right that a lot of big support for her from the system but I mean
[01:28:04.389 --> 01:28:04.849]  I don't
[01:28:23.760 --> 01:28:30.284]  He's calling for this million man spy force of high schoolers to spy on their parents, and we played the clip in the first hour.
[01:28:30.284 --> 01:28:35.527]  He's running 30 minute infomercials where he's called the chosen one and the savior of the world.
[01:28:35.527 --> 01:28:38.428]  They're writing editorials calling him the messiah.
[01:28:38.428 --> 01:28:44.792]  And I mean, any time I see people being called the messiah, I get really upset and I get really worried.
[01:28:44.792 --> 01:28:51.756]  So, I just feel sorry for black folks because a lot of them are very proud and very happy and thinking, man, this will bring a bunch of equality.
[01:28:51.756 --> 01:28:52.036]  It's not.
[01:28:52.978 --> 01:28:58.762]  He's an evil globalist, so it's going to be blamed on black folks when it has nothing to do with color.
[01:28:58.762 --> 01:29:03.385]  And he's going to get so much through of the New World Order agenda.
[01:29:03.385 --> 01:29:06.967]  The left is sick of George Bush for eight years, now the globalists give us a leftist.
[01:29:06.967 --> 01:29:08.929]  Then we'll get sick of him, they'll give us a right-winger.
[01:29:08.929 --> 01:29:13.392]  They're not left-wing or right-wing in their actual actions.
[01:29:13.392 --> 01:29:14.953]  I'm Alex Jones.
[01:29:14.953 --> 01:29:20.036]  30 more minutes of hard-hitting information right after this quick news break for stations out there.
[01:29:20.036 --> 01:29:20.897]  Stay with me.
[01:29:21.497 --> 01:29:25.600]  The websites again are InfoWars.com and PrisonPlanet.com.
[01:29:25.600 --> 01:29:29.883]  Join us in the Second American Revolution against dehumanization and tyranny!
[01:29:29.883 --> 01:29:30.964]  We'll be right back!
[01:29:30.964 --> 01:29:32.825]  Lead from solder in copper pipes.
[01:29:32.825 --> 01:29:33.986]  Mercury from fish.
[01:29:33.986 --> 01:29:34.907]  Dental fillings.
[01:29:34.907 --> 01:29:35.668]  Vaccines.
[01:29:35.668 --> 01:29:36.688]  Arsenic in the water.
[01:29:36.688 --> 01:29:40.691]  These heavy metal toxins are difficult or even impossible to avoid.
[01:29:40.691 --> 01:29:44.434]  Even trace amounts of these heavy metals over time can impact your health.
[01:29:44.654 --> 01:29:56.202]  Many health problems have been suggested as being related to this heavy metal exposure, including memory loss, high blood pressure, depression, mood swings, speech disorders, neuropathy, autoimmune diseases, chronic fatigue, and more.
[01:29:56.202 --> 01:30:02.366]  Unfortunately, traditional detoxifying isn't able to clear the body of these harmful and potentially deadly toxins.
[01:30:02.366 --> 01:30:04.948]  That's why there's Pura Clear from Ripple Creek.
[01:30:04.948 --> 01:30:14.414]  Pura Clear contains a proprietary blend of ingredients, including a cilantro extract and alpha-lipoic acid, among other ingredients formulated specifically to promote body cleansing.
[01:30:14.514 --> 01:30:23.322]  Puriclear also has ingredients selected to promote improved circulation to enhance activity so that heavy metals may be more effectively captured and removed from the body.
[01:30:23.322 --> 01:30:26.664]  Order Puriclear now by calling Ripple Creek at 203-331-0363 or go to RippleCreek.com.
[01:30:31.474 --> 01:30:34.716]  Every 22 seconds, a violent crime is committed.
[01:30:34.716 --> 01:30:37.057]  Are you concerned about your personal safety?
[01:30:37.057 --> 01:30:40.679]  Why wait for something bad to happen when you can take action now?
[01:30:40.679 --> 01:30:41.619]  Be smart.
[01:30:41.619 --> 01:30:42.580]  Be safe.
[01:30:42.580 --> 01:30:44.781]  Trust Pepper Spray instead of your luck.
[01:30:44.781 --> 01:30:50.584]  Pepperspray.com is the only website you'll ever need for all your non-lethal self-defense supplies.
[01:30:50.584 --> 01:31:00.289]  Pepperspray.com carries one of the largest assortments of pepper spray and personal safety products on the web, including mace, animal repellents, stun guns, and tasers.
[01:31:00.509 --> 01:31:06.675]  Pepperspray.com also carries a large assortment of products for personal, home, child, and pet safety.
[01:31:06.675 --> 01:31:11.140]  Pepperspray.com is proud to feature Sabre brand pink ribbon pepper spray.
[01:31:11.140 --> 01:31:16.706]  For every Sabre pink ribbon pepper spray sold, a donation will be made to the National Breast Cancer Foundation.
[01:31:16.986 --> 01:31:21.391]  Enter the word Pepper in the coupon box and you'll receive 10% off your order.
[01:31:21.391 --> 01:31:22.693]  So what are you waiting for?
[01:31:22.693 --> 01:31:24.275]  Go to Pepperspray.com.
[01:31:24.275 --> 01:31:26.557]  That's Pepperspray.com or call 1-800-908-9988.
[01:31:26.557 --> 01:31:26.938]  Call today!
[01:31:31.616 --> 01:31:35.377]  It is now time to reign in evil and bring them to justice.
[01:31:35.377 --> 01:31:40.398]  Through the authority that has been delegated to us, it is time to destroy the destroyers.
[01:31:40.398 --> 01:31:45.859]  The number of the mounted troops was 200 million, the vast majority of the population of the U.S.
[01:31:45.859 --> 01:31:56.861]  Though the people of the U.S., where their numbers and influence are strongest, have primary responsibility for reigning them in and bringing them to justice, all nations will participate since they reside the world over.
[01:31:56.861 --> 01:31:58.081]  They are called Illuminati.
[01:31:58.621 --> 01:31:59.321]  Let's do it!
[01:32:20.586 --> 01:32:24.313]  Visit our website at unveilingthem.com.
[01:32:24.313 --> 01:32:28.622]  That's U-N-V-E-I-L-I-N-G them dot com.
[01:32:28.622 --> 01:32:29.884]  The message of his kingdom.
[01:32:31.053 --> 01:32:33.714]  Break the law and you're caught on film.
[01:32:33.714 --> 01:32:38.736]  Practically impossible for police to spot plates that have been treated with a reflective spray.
[01:32:38.736 --> 01:32:40.697]  The reflection blinded our camera.
[01:32:40.697 --> 01:32:42.037]  We are under the microscope.
[01:32:42.037 --> 01:32:46.039]  Red light cameras and speed cameras are in place to make money, not for your safety.
[01:32:46.039 --> 01:32:49.701]  But you don't have to be defenseless against these unconstitutional devices.
[01:32:49.701 --> 01:32:52.982]  Have a fighting chance with SprayYourPlate.com's Photoblocker.
[01:32:52.982 --> 01:32:59.184]  When properly applied, this revolutionary product has proven itself to be the most effective device available against traffic cameras.
[01:32:59.184 --> 01:33:00.845]  Invisible to the naked eye, your license
[01:33:00.845 --> 01:33:01.285]  I think so.
[01:33:35.009 --> 01:33:40.391]  You're listening to GCN, the Genesis Communications Radio Network.
[01:33:40.391 --> 01:33:58.536]  We're going to continue with your phone calls.
[01:34:02.435 --> 01:34:14.621]  But first I want to play the audio from this video out of California last week.
[01:34:14.621 --> 01:34:23.185]  And this goes to the issue of a spectator population, a cowardly population.
[01:34:23.185 --> 01:34:29.368]  A population that has literally lived their lives in front of a television set, sitting on their hind ends, living through other people.
