[00:00:00.009 --> 00:00:02.210]  Rosetta Stone to expose.
[01:07:22.138 --> 01:07:32.302]  I'm going to have to have you up in the next few weeks for two hours, because you just... I want to go over all of it, and then go over procedures of what you do to fight back against them, but get into the family court structure real fast.
[01:07:33.443 --> 01:07:34.163]  Well, uh...
[01:07:35.347 --> 01:07:38.009]  I've actually been thrown out of it because it got so bad up here.
[01:07:38.029 --> 01:07:45.214]  They had one up here where a family had a boy chained up outside and he had infection with maggots in it.
[01:07:45.995 --> 01:07:50.878]  And a gal had been raped, actually two of them, and so it finally blew the hell out of them.
[01:07:50.898 --> 01:07:53.060]  These are people taken by the child rape forces.
[01:07:53.800 --> 01:07:54.721]  Oh yeah, they were taken.
[01:07:54.761 --> 01:07:55.382]  Let's explain.
[01:07:55.422 --> 01:07:58.324]  They're allowed to torture, murder, anything.
[01:07:58.344 --> 01:08:00.025]  Okay, so he's outside chained up.
[01:08:00.365 --> 01:08:02.226]  The hell force has got him with maggots.
[01:08:02.267 --> 01:08:02.647]  Go ahead.
[01:08:03.677 --> 01:08:07.359]  Well, then what they do is, see, they close all these courts down so the public can't see.
[01:08:07.419 --> 01:08:11.101]  They're all private because we want to protect the privacy for the children.
[01:08:11.822 --> 01:08:17.245]  So they finally started to open up these hearings so that people could go in there and see what's going on.
[01:08:17.305 --> 01:08:18.466]  I got through out of two of them.
[01:08:18.946 --> 01:08:22.228]  But in this particular instance, these people were so egregious.
[01:08:22.869 --> 01:08:27.571]  These two young gals tried to commit suicide, and the grandmother wanted them, and they wouldn't give them.
[01:08:28.092 --> 01:08:33.415]  But anyway, to get the charges against these people, the child custody wouldn't give the evidence to the DA.
[01:08:33.996 --> 01:08:36.537]  So, they got the charges dropped down to almost nothing.
[01:08:36.937 --> 01:08:40.939]  I mean, they spent a little time... Describe what was happening, chained outside with the maggots.
[01:08:41.699 --> 01:08:45.401]  Well, this child, because he was disobeying, they chained him outside.
[01:08:46.081 --> 01:08:49.642]  And he had a wound, and it actually had maggots in it.
[01:08:50.103 --> 01:08:58.506]  We had another one here in Alaska, where the foster care wanted the foster care kids to kill another kid.
[01:08:59.079 --> 01:08:59.839]  And they wouldn't do it.
[01:08:59.959 --> 01:09:05.120]  And the actual foster care parents killed this child in front.
[01:09:06.561 --> 01:09:09.501]  And I see the cases all the time where they commit murder and don't get in trouble.
[01:09:09.962 --> 01:09:16.923]  My God, they have giant rape orgies in the jails.
[01:09:16.963 --> 01:09:17.723]  I just can't believe it.
[01:09:17.743 --> 01:09:18.303]  These bastards.
[01:09:18.363 --> 01:09:23.025]  I can't wait to take this country back and just have mass trials of all these bastards around.
[01:09:23.065 --> 01:09:24.825]  Wouldn't you love to see them all swinging from ropes?
[01:09:25.785 --> 01:09:26.566]  Well, absolutely.
[01:09:26.606 --> 01:09:34.052]  I want to get him up there and we'll give him a trial by jury, you betcha, and then just call Ralph and I'll be the executioner and I'll sleep very well at night.
[01:09:34.652 --> 01:09:35.273]  Absolutely.
[01:09:35.333 --> 01:09:46.061]  I mean, God, when I read about how a girl in school will, you know, they'll ask them, a ten-year-old, you know, your mom's a Christian, she doesn't let you do this, and they say, would you like to be a lesbian?
[01:09:46.081 --> 01:09:46.742]  She says yes.
[01:09:47.142 --> 01:10:01.019]  So they hand her to two lesbian CPS workers, this is a famous case in Oregon, and then the mother is given her back in a court case, and on the steps they pull up, beat the woman up, take the child, and then was found years later dead.
[01:10:01.360 --> 01:10:03.442]  But I mean, they just murder force whoever they want.
[01:10:04.804 --> 01:10:05.665]  Ralph, we're out of time.
[01:10:05.685 --> 01:10:09.589]  I'm going to come back and say bye to you and tell folks to check out your website.
[01:10:09.629 --> 01:10:10.891]  I want to have you up very soon.
[01:10:10.971 --> 01:10:11.952]  I know you're a good man.
[01:10:11.992 --> 01:10:13.313]  I know the info is accurate.
[01:10:14.294 --> 01:10:15.676]  Next time I won't run over you as much.
[01:10:15.736 --> 01:10:18.739]  It just really upsets me because I've seen so much of what you're talking about.
[01:10:18.759 --> 01:10:19.080]  Here we go.
[01:10:26.158 --> 01:10:27.799]  Yeah, Ralph Deere in the behind-the-scenes segment.
[01:10:27.819 --> 01:10:33.200]  I'm gonna have him back up soon to really spend time, maybe get him up with some of the people that have gone through this, Mr. Pound and others.
[01:10:34.241 --> 01:10:42.763]  You understand, he goes and fights with the kids CPS has got, where they chain them up and maggots are eating them outside, and they're raping them, killing them, and CPS defends it.
[01:10:43.144 --> 01:10:43.904]  This is a
[01:10:44.824 --> 01:10:47.186]  Group of people that like to rape and torture kids.
[01:10:47.266 --> 01:10:49.327]  The eugenicists, that's how CPS started.
[01:10:50.488 --> 01:10:54.290]  They set it up because they want to break the family up, but imagine the scum that would do this.
[01:10:54.310 --> 01:10:56.151]  Well, that's who gravitates to do it.
[01:10:57.132 --> 01:10:58.513]  And my God.
[01:11:00.342 --> 01:11:15.286]  Being a carpet cleaner for a summer, I saw a lot of these smaller foster home houses where the kids are on dirty mattresses, you got these dope-head drug addict pedophile parents waddling around in the house, and I just can't handle it anymore.
[01:11:15.426 --> 01:11:16.247]  I just can't handle it.
[01:11:16.267 --> 01:11:20.628]  These bastards rule, they suck our blood, and they're going to go to hell!
[01:11:21.248 --> 01:11:23.349]  I know you're evil, you murdering bastards!
[01:11:24.089 --> 01:11:27.490]  Ralph Winterud, give out your website, spell it out, and we're going to have you up again soon.
[01:11:28.297 --> 01:11:40.402]  Yeah, it's Jess Belli, it's a Latin word, J as in Jack, J-U-S, and then like a bell, bravo, it's J-U-S-B-E-L-L-I dot com, and my email is ralph at jessbelli dot com.
[01:11:43.806 --> 01:11:44.246]  We're good to go.
[01:11:59.631 --> 01:12:01.392]  Okay, thanks for having me, and we'll talk to you later.
[01:12:01.512 --> 01:12:02.053]  Absolutely.
[01:12:02.093 --> 01:12:06.976]  Folks, do not be in Florida, Michigan, California, New York State.
[01:12:07.777 --> 01:12:13.200]  I mean, they supply kids to drug testing, you know, and pesticide testing in those states.
[01:12:13.240 --> 01:12:14.121]  Texas is bad.
[01:12:15.482 --> 01:12:17.883]  And God help us, I wish what I was saying wasn't true.
[01:12:17.923 --> 01:12:18.664]  We're out of time.
[01:12:18.684 --> 01:12:24.228]  I want you to stay with us, though, because without these sponsors, we wouldn't exist.
[01:12:25.956 --> 01:12:28.498]  One of them is interfood, and interfood is really great stuff.
[01:12:28.538 --> 01:12:29.779]  It's the best green food out there.
[01:12:29.819 --> 01:12:31.280]  I saw my wife taking it this morning.
[01:12:32.181 --> 01:12:46.533]  Two little scoops, 20 superfoods, spirulina, chlorella, wheatgrass, barley grass, kelp, dulse, 14 other things unpasteurized so you get full absorption in your intestines and your stomach of the trace minerals and the vitamins.
[01:12:46.553 --> 01:12:48.695]  They got the green food, the healthy coffees, the
[01:12:50.166 --> 01:12:51.087]  They got so much more.
[01:12:51.167 --> 01:12:53.030]  I don't plug something unless I believe in it.
[01:12:53.110 --> 01:12:54.611]  Go to InfoWars.com.
[01:12:55.152 --> 01:12:57.535]  Link through on the banner to get 10% off.
[01:12:58.135 --> 01:13:01.019]  Because by clicking through, it gives you the automatic discount from InfoWars.
[01:13:01.399 --> 01:13:02.220]  That's how that works.
[01:13:02.260 --> 01:13:03.582]  They have a little cookie that does that.
[01:13:03.622 --> 01:13:06.485]  So you get 10% off when you go to that subpage.
[01:13:06.545 --> 01:13:07.266]  Or is it a subpage?
[01:13:07.306 --> 01:13:08.067]  I'm not sure how it works.
[01:13:08.968 --> 01:13:10.989]  Is that a cookie or just a sub-page where you get the discount?
[01:13:27.797 --> 01:13:36.104]  Also, the great folks at eFoodsDirect, eFoodsDirect.com, and they are the longest continually operating storable foods company in the nation.
[01:13:36.485 --> 01:13:44.231]  With all these uncertain times, the main way the criminal's running things will control you if they want is to have a depression and shut the food off and make you come to their centers.
[01:13:45.352 --> 01:13:45.633]  I think?
[01:14:15.132 --> 01:14:18.213]  I love all of you.
[01:14:18.233 --> 01:14:22.555]  I want to rally you against the tyranny that is upon us, that is attacking us everywhere.
[01:14:22.595 --> 01:14:27.356]  Only a blind, deaf, dumb, and blind person would not be aware of what's going on.
[01:14:27.797 --> 01:14:30.217]  None are so blind as those that have eyes and will not see.
[01:14:30.978 --> 01:14:34.219]  I'm telling you, I've seen stuff that is just off the charts insane.
[01:14:34.639 --> 01:14:35.659]  It's only getting worse.
[01:14:35.719 --> 01:14:37.360]  It's getting crazier than I even thought.
[01:14:37.660 --> 01:14:38.640]  They're poisoning you.
[01:14:38.680 --> 01:14:39.621]  They're attacking you.
[01:14:39.861 --> 01:14:41.421]  They're your dumb servants out there.
[01:14:41.461 --> 01:14:42.802]  They're attacking you, you idiots.
[01:14:43.662 --> 01:14:45.645]  Just repent of your evil, ladies and gentlemen.
[01:14:45.685 --> 01:14:49.450]  Retransmission with incredible guests after incredible guests on banking.
[01:14:49.490 --> 01:14:58.380]  Everything else starts now at InfoWars.com on audio, restreaming, get the free podcast, get Truth Rising, fight the New World Order, educate everybody.
[01:14:58.661 --> 01:14:59.442]  InfoWars.com!
