[00:00:00.009 --> 00:00:01.170]  Saudi Arabian connection.
[01:14:46.051 --> 01:14:53.593]  I mean, these guys, this is the heads of the big banks, this is the queens, the kings, this is the Rothschilds, this is the Rockefellers, and they run it!
[01:14:54.753 --> 01:14:58.874]  And they engineered the economic collapse we're in publicly.
[01:14:58.934 --> 01:15:07.457]  They are stealing all the money, and they're going to steal even more, and they're going to take your houses and farms and ranches and businesses, and they don't care about you having a free market.
[01:15:07.677 --> 01:15:09.397]  They don't care about you living a good life.
[01:15:09.437 --> 01:15:10.537]  They don't want you to.
[01:15:11.498 --> 01:15:15.259]  That's what all this grid of control and all this enforcement's about.
[01:15:16.659 --> 01:15:19.120]  It's about taking you down to slave level.
[01:15:20.580 --> 01:15:22.701]  Now, I want to go to your phone calls for those that are holding.
[01:15:23.822 --> 01:15:25.443]  David and, well, we've already gone to them.
[01:15:25.703 --> 01:15:28.985]  Eric and Max and Junis and Abraham and everybody else.
[01:15:29.005 --> 01:15:29.505]  We'll get to you.
[01:15:29.525 --> 01:15:30.185]  Ron in New York.
[01:15:30.726 --> 01:15:32.827]  Ron's a cop, so we'll go to him.
[01:15:32.847 --> 01:15:33.447]  I want to hear from him.
[01:15:33.487 --> 01:15:35.328]  I think that's the New York cop we know from years back.
[01:15:35.348 --> 01:15:36.649]  He sends us a lot of good stuff.
[01:15:36.669 --> 01:15:37.830]  I think I'll go to him first in a minute.
[01:15:38.390 --> 01:15:39.871]  But I wanted to go over some of these headlines.
[01:15:39.891 --> 01:15:40.992]  I've been meaning to do this for days.
[01:15:41.412 --> 01:15:44.814]  It's the kind of stuff I get sent from listeners.
[01:15:50.635 --> 01:15:55.637]  is a report out of the New York Times for everybody.
[01:15:56.978 --> 01:16:05.481]  And you can see there on the screen that there is a tiny camera built in to the upper part of the windshield watching her.
[01:16:07.122 --> 01:16:10.343]  And I'll back it out so you can see the full headlines in the Nation section.
[01:16:10.983 --> 01:16:12.644]  Cameras keep an eye out.
[01:16:14.335 --> 01:16:34.229]  Now, I remember in 2000, reading studies by Toyota, Chrysler, and others, where they said that they were going to condition the public to accept cameras in all the cars, with the police dialing in when they wanted to, just like OnStar with the audio, with the cell phone and listening to you, to, quote, see if you're okay for safety.
[01:16:35.610 --> 01:16:40.013]  They also said it could be advertised, and I put this in my films, like Police State 3, Total Enslavement,
[01:16:41.785 --> 01:16:43.788]  First, parents would use it to track their children.
[01:16:43.808 --> 01:16:49.776]  And parents would use the cell phone function that tracks you with a website down to a few feet from where you are.
[01:16:50.117 --> 01:16:53.662]  Because under the 96 Telecommunications Act, they built this in.
[01:16:55.555 --> 01:16:58.216]  And sure enough, here they are conditioning everybody to get ready for this.
[01:16:58.276 --> 01:17:13.462]  Also, Toyota wants to have an infrared camera that if there's pressure on the seats, when it's hot in the car, you know, this will save the 30-something kids a year that die with their parents leaving them in the car, that that'll call the police and the police will dial in over a mobile modem and watch you.
[01:17:14.723 --> 01:17:20.525]  And they're doing federal studies to get people to put tax-by-the-mile tracker systems in their cars.
[01:17:20.605 --> 01:17:23.186]  So, everybody's being conditioned right now and it says
[01:17:24.682 --> 01:17:32.385]  I feel like I'm being babysat since Stacey Richardson, 17, of the camera, installed under Ford Escort.
[01:17:33.385 --> 01:17:37.947]  Her father says it's for her own good and the good of other drivers.
[01:17:39.232 --> 01:17:43.173]  It says, devices note when a teen makes an unwise move and lets parents know.
[01:17:43.533 --> 01:17:46.834]  And see, now it's going to be truck drivers and everybody else.
[01:17:46.874 --> 01:17:50.354]  They're conditioning the public to accept a total big brother society.
[01:17:50.394 --> 01:17:51.255]  This is how it happens.
[01:17:51.935 --> 01:17:54.055]  But see, this would be fine if we had angels running things.
[01:17:54.095 --> 01:17:54.335]  We don't.
[01:17:54.575 --> 01:17:58.156]  We have a corrupt elite, a dangerous society, very evil elite.
[01:17:58.456 --> 01:18:02.217]  Throughout history, this stuff has always abused and it is being abused.
[01:18:03.413 --> 01:18:13.141]  It says Kevin Richardson does not have to ride in his 17-year-old daughter's Ford Escort to know when she takes a turn too fast.
[01:18:13.181 --> 01:18:16.564]  The camera system installed in her car will email him about it.
[01:18:16.624 --> 01:18:25.831]  So see, that's just like the black boxes 15 years ago they put in all the cars that track you and know how you wrecked or what really happened and then is used against you in a court of law.
[01:18:26.371 --> 01:18:28.733]  Or the progressive insurance boxes they put in your car.
[01:18:29.454 --> 01:18:30.655]  See, it's all about surveillance.
[01:18:32.148 --> 01:18:36.091]  The camera system installed in her car will email him about it.
[01:18:37.992 --> 01:18:41.575]  And it says, she's at the age when she's a little rebellious, said Mr. Richardson.
[01:18:41.895 --> 01:18:43.316]  See, the public's a little rebellious.
[01:18:43.336 --> 01:18:44.678]  We need to have this done by government.
[01:18:44.938 --> 01:18:45.738]  It's our big brother.
[01:18:45.798 --> 01:18:46.579]  It's our big daddy.
[01:18:47.480 --> 01:18:54.545]  Mr. Richardson, 54, of Ludsby, Maryland, said, and I'm of the age where I'm not in a mood to take any crap.
[01:18:55.085 --> 01:18:59.529]  The Richardsons are among the 100 families in Southern Maryland enrolled in a state
[01:19:00.908 --> 01:19:10.574]  Sponsored study to install camera systems that record the movements before and after an unusual driving maneuver, such as a sudden braking or a too sharp a turn.
[01:19:11.374 --> 01:19:14.036]  And state officials want to put these in everybody's cars.
[01:19:14.136 --> 01:19:14.937]  I've read their studies.
[01:19:15.837 --> 01:19:19.399]  This tells the slaves they want to put in the cars of people 16 to 20.
[01:19:21.109 --> 01:19:26.332]  And they're talking about, you know, not letting teens have but one person in the car, or not letting teens drive after night.
[01:19:26.613 --> 01:19:30.075]  It's training them just how to be prisoners, and then when they grow up, they'll still be prisoners.
[01:19:30.615 --> 01:19:41.442]  So there is Big Brother cameras, and public schools everywhere have cameras in the bathrooms and in the classrooms as they learn how to be good little prisoners.
[01:19:41.502 --> 01:19:44.044]  In fact, for PrisonPlanet.tv viewers,
[01:19:44.724 --> 01:19:50.468]  We're going to skip this break and I'm going to talk behind the scenes so we can come back and take calls so I can go through the other news articles.
[01:19:50.769 --> 01:19:54.111]  When we come back for the full audience, we will go to some of your phone calls.
[01:19:54.571 --> 01:19:55.592]  So stay with us.
[01:19:55.612 --> 01:19:58.034]  If you want to see this, go to PrisonPlanet.tv.
[01:20:00.256 --> 01:20:01.797]  Okay, there is that article.
[01:20:01.857 --> 01:20:03.238]  Cameras keep an eye out.
[01:20:03.318 --> 01:20:05.680]  So learning how to be surveilled little slaves.
[01:20:05.720 --> 01:20:11.284]  The state doing studies on putting cameras in our cars to watch us and track us and control us.
[01:20:11.885 --> 01:20:13.186]  An Amy Goodman story
[01:20:14.691 --> 01:20:33.285]  uh... here out of the athens daily review and uh... this story makes a joke and the headline does invasion of the sea smurfs that was not our headline then you read it it admits that the army is going to be used against the american people so we see we see a lot of this
[01:20:34.409 --> 01:20:53.202]  In today's media and in today's society, they always make these very threatening things more palatable by acting like it's friendly and fun to be surveilled by the military and to have the military preparing to wage war on the American people when the military is trained to kill people and break things.
[01:20:54.202 --> 01:21:00.125]  Speaking of roads and cameras they want to put in all the cars to track the American people into taxes.
[01:21:00.145 --> 01:21:01.885]  That's already being done in England and Germany.
[01:21:02.726 --> 01:21:04.967]  Road operators bank on future tolls.
[01:21:05.567 --> 01:21:11.129]  Another PR piece out of the Dallas Morning News about how, well, the economy's down so we've got to toll the roads.
[01:21:11.850 --> 01:21:13.871]  The roads are all paid for and that's all come out.
[01:21:16.001 --> 01:21:38.778]  The politicians have been paid off to just hand these over to the foreign corporations, and we've detailed that, and we cover that in my film, In Game Blueprint for Global Enslavement, and up on the document cam we will show you this article right now, but there it is, Road Operators Bank on Future Tolls.
[01:21:40.848 --> 01:21:42.308]  Here is another report.
[01:21:42.428 --> 01:21:44.489]  FBI struggles to cover cases.
[01:21:45.149 --> 01:21:55.191]  Because you see, under Bill Clinton and President Bush, they got rid of the vast majority of agents that investigate real white-collar crime.
[01:21:55.872 --> 01:22:04.734]  They actually beefed up, through the Treasury and the IRS itself, investigators to squeeze the common middle class for non-crime related stuff.
[01:22:05.574 --> 01:22:10.135]  So again, squeeze the slaves, squeeze the milk cows, run them into submission,
[01:22:12.017 --> 01:22:22.107]  But for the real white-collar criminals, the Enron types, the Treasury Department types, the Goldman Sachs types, they actually just basically took all oversight off of them.
[01:22:22.768 --> 01:22:29.875]  FBI struggles to cover cases focused on terrorism, there's been fewer agents to handle financial crime, and that's the Bush family specialty.
[01:22:31.169 --> 01:22:57.811]  Jeb Bush and Marvin Bush is raiding S&L's and Silverado, savings and loan, and now Obama is now admitting he's the architect of the bailout, he's all for it, unlimited cash to the foreign banks, nothing for American automakers, which I'm not even for bailing them out except for the fact that the Chinese government's announcing they're planning to buy at least Chrysler and GM and $25 billion, two or three B-2 bombers.
[01:22:59.003 --> 01:23:07.245]  So this is a national security infrastructure issue, but because the globalists care less about our infrastructure, and because they actually want to destroy our national sovereignty, you know they're going to go for it.
[01:23:07.265 --> 01:23:09.285]  So FBI struggles to cover cases.
[01:23:09.746 --> 01:23:12.126]  There is that headline right there for you.
[01:23:12.146 --> 01:23:13.046]  And then here's another one.
[01:23:13.066 --> 01:23:15.507]  I mean, I probably see ten of these a day and don't even cover them.
[01:23:16.647 --> 01:23:24.169]  Mexico's top federal police official quits, caught involved in all this criminal activity and narcotics trafficking.
[01:23:25.109 --> 01:23:25.790]  And the U.S.
[01:23:25.830 --> 01:23:28.633]  pays them tens of billions a year to make sure that U.S.
[01:23:28.773 --> 01:23:31.535]  drugs make it in and that other cartel drugs don't.
[01:23:31.575 --> 01:23:35.960]  So there is a drug war, but it's a fight over the market with the criminal banks we have.
[01:23:36.260 --> 01:23:46.990]  And then in the stack people mailed me, there are two other articles that I didn't bring in here because I was busy digging through a giant stack and couldn't find them, that I saw this week of Texas sheriffs caught dealing drugs.
[01:23:47.691 --> 01:23:48.711]  I mean, just in one week.
[01:23:48.751 --> 01:23:51.832]  I mean, it's just wall-to-wall evil, wall-to-wall corruption.
[01:23:52.472 --> 01:23:54.432]  That is your Criminal New World Order.
[01:23:54.492 --> 01:23:55.192]  So there that is.
[01:23:55.472 --> 01:23:55.972]  Here we go.
[01:23:56.073 --> 01:23:56.973]  Back to the full audience.
[01:23:57.573 --> 01:23:57.993]  Today.
[01:24:05.334 --> 01:24:05.914]  Okay.
[01:24:14.836 --> 01:24:15.236]  You know what?
[01:24:16.232 --> 01:24:18.615]  I forgot, I've had Ted Anderson sitting there for 15 minutes.
[01:24:19.195 --> 01:24:21.899]  But we will go to your calls when Darrell Rundness is on with us, I promise.
[01:24:22.539 --> 01:24:24.141]  Ted, are you still in the studio?
[01:24:24.461 --> 01:24:25.322]  Yeah, I'm right here, Alex.
[01:24:25.563 --> 01:24:26.524]  You are a real trooper.
[01:24:26.544 --> 01:24:29.567]  You know, I called you an hour ago and said, come in, tell us where gold is.
[01:24:29.647 --> 01:24:30.428]  It's up today.
[01:24:32.089 --> 01:24:38.050]  The major newspapers are reporting that governments worldwide are out of gold, can't keep up with demand.
[01:24:38.070 --> 01:24:42.031]  Again, we have total manipulation going on here.
[01:24:43.231 --> 01:24:54.913]  When the COMEX says gold is $7.50, but when people are paying $1,000 or more an ounce all over the world, and the gold is selling out, again, you're not adding some huge premium on this gold, Ted.
[01:24:55.533 --> 01:24:58.794]  You're selling it because you bought it a week ago, or more than a week ago when it was less.
[01:24:59.514 --> 01:25:06.516]  You're passing on that $50 plus an ounce savings to people, and that's why you're so competitive, because you've been in the business 30 years.
[01:25:06.816 --> 01:25:07.436]  Yeah, you're right.
[01:25:07.476 --> 01:25:10.557]  I mean, I did buy this stuff between $700 and $710.
[01:25:10.977 --> 01:25:14.058]  Gold is up another $10 from yesterday when we had talked.
[01:25:14.158 --> 01:25:17.319]  My prices are exactly the same as they were yesterday.
[01:25:17.419 --> 01:25:21.300]  So, you know, you're getting one great bargain.
[01:25:21.340 --> 01:25:28.722]  And the reason why I'm able to do this is because, you're right, I did buy this stuff, and until I run out of stock, I'm not going to raise the prices.
[01:25:29.341 --> 01:25:30.922]  I do have the Franks still.
[01:25:31.002 --> 01:25:31.603]  It's $1.87.
[01:25:31.763 --> 01:25:34.826]  Anybody who listened yesterday knows that I was offering them at $1.87.
[01:25:35.666 --> 01:25:38.809]  I also have the British Sovereign right now at $2.28.
[01:25:39.229 --> 01:25:41.011]  I'm sorry the U.S.
[01:25:41.091 --> 01:25:42.252]  Eagles are sold out.
[01:25:42.452 --> 01:25:42.893]  Not U.S.
[01:25:42.933 --> 01:25:43.193]  Eagles.
[01:25:43.473 --> 01:25:45.034]  The Canadian Maple Leafs sold out.
[01:25:45.395 --> 01:25:46.075]  They're done.
[01:25:46.235 --> 01:25:47.977]  I'm going to have to go out and buy them again.
[01:25:48.519 --> 01:25:52.424]  And probably going to be close to the 900s now, but they're gone.
[01:25:53.506 --> 01:26:00.395]  The thing that I'm thinking right now, Alex, I mean there's a lot of people right now, when everything backs up, that think, oh things are getting better again, thank God.
[01:26:00.976 --> 01:26:02.217]  It's not getting better.
[01:26:02.378 --> 01:26:03.619]  Things are getting a lot worse.
[01:26:03.940 --> 01:26:05.462]  Unemployment numbers that are coming out,
[01:26:05.882 --> 01:26:07.123]  Are astronomical.
[01:26:07.463 --> 01:26:10.806]  You know, the automakers right now are about to fail if they give them money.
[01:26:10.886 --> 01:26:20.352]  It's the worst Christmas shaping up since the last year of World War II when our economy was basically, you know, no main street economy.
[01:26:20.372 --> 01:26:22.494]  It was all wartime economy.
[01:26:23.394 --> 01:26:25.556]  I mean, Ted, this is scary.
[01:26:26.107 --> 01:26:26.908]  It is.
[01:26:27.448 --> 01:26:35.014]  It's terribly frightening and I can tell you right now, people should be getting into gold and silver and they should have something that's real and hard that they can hold on to.
[01:26:35.034 --> 01:26:37.576]  This paper currency is doomed.
[01:26:37.736 --> 01:26:42.239]  One thing that I was thinking, you brought up Christmas and there's a lot of people that are thinking about what are they going to buy for Christmas.
[01:26:42.899 --> 01:26:50.185]  You know, all these store cards that you can buy, merchandise cards so people can come back and buy what they want.
[01:26:50.685 --> 01:26:51.686]  I would suggest this.
[01:26:52.287 --> 01:26:57.752]  Walking Liberty Halves in rolls of 20 are sitting at $168 per roll of 20.
[01:26:58.732 --> 01:27:04.057]  They're at $8.60 apiece or $168 per roll of 20.
[01:27:05.318 --> 01:27:08.681]  Buy those and give those to your friends, your relatives, your kids.
[01:27:09.962 --> 01:27:12.344]  Man, I mean, they're going to need this stuff.
[01:27:12.404 --> 01:27:18.569]  They might not know it right now because a lot of people are still under the impression that the United States economy is going to pull through.
[01:27:19.232 --> 01:27:21.133]  But they're going to need this stuff.
[01:27:21.313 --> 01:27:34.501]  Well, Ted, in case things completely collapse, and I'm crossing my fingers, hoping, praying, that it's only a deep, long recession, but even mainline analysts are all saying, no, the question will be, how bad will the depression be?
[01:27:35.662 --> 01:27:37.263]  I just hope that people take advantage.
[01:27:37.583 --> 01:27:40.885]  Now, you do have American Eagles left, when almost everybody else is sold out, right?
[01:27:40.905 --> 01:27:43.767]  Oh yeah, we've got American Eagles, just the Maple Leafs right now.
[01:27:43.947 --> 01:27:45.608]  What size is an American Eagles?
[01:27:45.868 --> 01:27:48.770]  I have one ounce, half ounce, quarter ounce, and tenth ounce.
[01:27:48.790 --> 01:27:50.391]  So whatever you decide.
[01:27:50.451 --> 01:27:52.133]  And you have British Sovereigns, you have Franks.
[01:27:52.573 --> 01:27:54.975]  Give people the prices on those and the price on the silver.
[01:27:55.195 --> 01:28:01.039]  Again, $187 on the Frank and the British Sovereign right now is $228.
[01:28:01.199 --> 01:28:04.382]  Alex, that is the same exact price when gold was at $706.
[01:28:04.942 --> 01:28:08.905]  Right about the time I was locking in on this stuff.
[01:28:09.365 --> 01:28:11.507]  And the Walking Liberty halves.
[01:28:12.048 --> 01:28:14.069]  I mean, the coin right now is $8.40.
[01:28:16.011 --> 01:28:17.032]  Silver dollars are $25.
[01:28:18.252 --> 01:28:20.454]  You know, this is a lot more silver for the money.
[01:28:20.754 --> 01:28:22.035]  It's a better looking coin.
[01:28:22.315 --> 01:28:32.923]  And the main part about it is, is that this is the kind of thing that's going to bail you out when things are, you know, we're heading towards the kind of economy that you're going to need gold and silver to buy goods and services.
[01:28:34.298 --> 01:28:35.098]  Well, I know this.
[01:28:35.198 --> 01:28:36.439]  I mean, I can feel really good about this.
[01:28:36.459 --> 01:28:37.560]  You're a sponsor of the show.
[01:28:37.580 --> 01:28:38.740]  You've made the show possible.
[01:28:39.160 --> 01:28:42.102]  You're selling gold cheaper than anywhere else I can find it.
[01:28:43.062 --> 01:28:43.783]  It's high quality.
[01:28:43.823 --> 01:28:44.863]  You have it in your vault.
[01:28:45.184 --> 01:28:46.664]  You can ship it directly to people.
[01:28:47.045 --> 01:28:48.145]  Folks should call 800-686-2237.
[01:28:48.165 --> 01:28:48.345]  800-686-2237 today.
[01:28:48.365 --> 01:28:49.926]  And they should get into it.
[01:28:49.946 --> 01:28:52.787]  A tenth of an ounce, a half an ounce, an ounce of gold, silver.
[01:29:01.892 --> 01:29:02.312]  Whatever.
[01:29:03.053 --> 01:29:10.276]  Get in the mindset of getting out of paper dollars, especially those of you that have assets and you've still got it sitting in the bank of the stock market.
[01:29:10.396 --> 01:29:16.118]  Mainline analysts are saying 20-30% in precious metals, but they're still telling you, you know, have paper.
[01:29:16.818 --> 01:29:24.922]  Folks, if you trust the government or some far-off government to have it in a bank account or in a vault, then be my guest, but I would physically hold it, ladies and gentlemen.
[01:29:24.942 --> 01:29:24.982]  800-686-8000.
[01:29:27.963 --> 01:29:30.144]  2237.
[01:29:28.283 --> 01:29:30.144]  Here's that number if you missed it.
[01:29:30.164 --> 01:29:30.444]  800-686-2237.
[01:29:31.125 --> 01:29:36.487]  Got links to minusresources.com, uponinfowars.com.
[01:29:36.767 --> 01:29:38.948]  Ted Anderson, thanks for spending time with us.
[01:29:39.329 --> 01:29:40.429]  Yeah, thanks for having me up again.
[01:29:40.489 --> 01:29:40.809]  You bet.
[01:29:40.829 --> 01:29:41.650]  Here's the number again.
[01:29:41.690 --> 01:29:42.730]  They'll be there till midnight.
[01:29:42.750 --> 01:29:42.930]  800-686-2237.
[01:29:43.691 --> 01:29:46.012]  Give them a call.
[01:29:46.032 --> 01:29:46.792]  We'll be right back.
[01:29:46.832 --> 01:29:47.552]  Stay with me.
[01:29:49.794 --> 01:29:50.674]  We're on the march.
[01:29:51.174 --> 01:29:52.675]  The Empire's on the run.
[01:29:53.687 --> 01:29:56.449]  Alex Jones and the GCN Radio Network.
[01:29:56.469 --> 01:29:57.770]  800-686-2237.
[01:29:57.810 --> 01:30:02.454]  Here's that number if you missed it.
[01:30:02.474 --> 01:30:04.716]  800-686-2237.
[01:30:05.436 --> 01:30:08.819]  Got links to MinusResources.com, up on Infowars.com.
[01:30:09.119 --> 01:30:11.281]  Ted Anderson, thanks for spending time with us.
[01:30:11.601 --> 01:30:12.722]  Yeah, thanks for having me up again.
[01:30:12.822 --> 01:30:13.122]  You bet.
[01:30:13.163 --> 01:30:14.003]  Here's the number again.
[01:30:14.023 --> 01:30:15.244]  They'll be there till midnight.
[01:30:15.264 --> 01:30:15.584]  800-686-2237.
[01:30:16.565 --> 01:30:18.367]  Give them a call.
[01:30:18.387 --> 01:30:19.147]  We'll be right back.
[01:30:19.187 --> 01:30:19.808]  Stay with me.
[01:30:22.040 --> 01:30:25.026]  We're on the march, the empire's on the run.
[01:30:25.968 --> 01:30:28.652]  Alex Jones and the GCN Radio Network.
[01:30:32.216 --> 01:30:36.478]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[01:30:36.718 --> 01:30:41.579]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[01:30:41.819 --> 01:30:43.220]  Hi folks, Alex Jones here.
[01:30:43.340 --> 01:30:46.821]  Why not go back to basics and be safe with Calbin Pure Soaps?
[01:30:46.941 --> 01:30:52.103]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[01:30:52.343 --> 01:30:58.105]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[01:30:58.465 --> 01:31:00.926]  Now, Calvin Soaps are available to you and me.
[01:31:00.966 --> 01:31:03.288]  Triple concentrated for all your cleaning needs.
[01:31:03.488 --> 01:31:05.649]  From bathing and laundry to dishes, hair and more.
[01:31:05.929 --> 01:31:07.009]  No harsh chemicals.
[01:31:07.129 --> 01:31:08.050]  No animal testing.
[01:31:08.310 --> 01:31:09.471]  I use them and love them.
[01:31:09.651 --> 01:31:11.231]  Knowing they're all natural and safe.
[01:31:11.532 --> 01:31:12.632]  And I say big time.
[01:31:12.952 --> 01:31:14.673]  Call Calvin Pure Soap at 1-800-340-7091.
[01:31:14.693 --> 01:31:15.013]  That's 1-800-340-7091.
[01:31:15.033 --> 01:31:17.675]  Or log on to 5starsoap.com now for a free catalog.
[01:31:24.418 --> 01:31:31.004]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[01:31:31.924 --> 01:31:38.309]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:31:38.690 --> 01:31:40.651]  The enemy struck America on September 11th.
[01:31:41.312 --> 01:31:42.353]  But who is the enemy?
[01:31:42.873 --> 01:31:43.414]  Bin Laden.
[01:31:43.654 --> 01:31:44.635]  This is his ammo.
[01:31:44.655 --> 01:31:46.016]  We have to look to the Middle East.
[01:31:46.036 --> 01:31:47.497]  We have to look to Osama Bin Laden.
[01:31:48.018 --> 01:31:54.766]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:31:55.167 --> 01:31:55.607]  Some U.S.
[01:31:55.647 --> 01:32:01.415]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:32:02.015 --> 01:32:05.460]  I'm aware that some Israeli citizens have been detained.
[01:32:05.700 --> 01:32:15.746]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[01:32:15.966 --> 01:32:16.727]  Fabled enemies.
[01:32:17.207 --> 01:32:24.531]  Get the DVD at InfoWars.com, or see it in super high quality, along with hundreds of other titles at PrisonPlanet.tv.
[01:32:24.932 --> 01:32:28.314]  Either you are with us, or you are with the terrorists.
[01:32:32.054 --> 01:32:35.455]  More than 700 chemicals have been found in our drinking water.
[01:32:35.575 --> 01:32:40.377]  And did you know that you have greater exposure... Order your KDF shower filter normally.
[01:32:40.397 --> 01:32:42.298]  $49 for a special price of only $39.99 with free shipping.
[01:32:42.338 --> 01:32:43.759]  Call the Berkey guy and order now by calling 1-877-886-3653.
[01:32:43.779 --> 01:32:44.019]  That's 1-877-886-3653.
[01:32:44.039 --> 01:32:46.480]  Or simply click on the banner at GCNlive.com to order online now.
[01:33:10.179 --> 01:33:16.700]  For those holding, like Max and Junis and Abraham, Ron first.
[01:33:16.720 --> 01:33:18.880]  I'm going to get to you Ron, with Daryl Rund as our guest.
[01:33:18.900 --> 01:33:20.721]  We're going to have him back up in the future.
[01:33:21.341 --> 01:33:23.401]  But Daryl is a very successful advertising guy.
[01:33:23.461 --> 01:33:27.502]  He owns a large company that is out there marketing.
[01:33:27.522 --> 01:33:32.943]  He also helps start some folks in some international Christian ministries that are pretty well known.
[01:33:34.111 --> 01:33:40.613]  And he and I are war-gaming out ideas of how to really get people trained and educated how to go out and wake up others.
[01:33:40.633 --> 01:33:42.293]  Let me tell you, Daryl's a great salesman.
[01:33:42.313 --> 01:33:43.194]  You ought to see him on the street.
[01:33:43.234 --> 01:33:43.694]  I've seen it.
[01:33:44.054 --> 01:33:46.494]  He's going to be up there off and on with us this weekend in Dallas.
[01:33:46.534 --> 01:33:51.656]  He's flying back in from Hawaii to his home outside Dallas to be with us some up there this weekend.
[01:33:52.236 --> 01:33:56.697]  So if you're up there at the Grassy Knoll, you'll probably see Daryl thereabouts in the area with us.
[01:33:56.877 --> 01:33:58.598]  He's also going to go in the Fed with us.
[01:33:59.178 --> 01:34:01.940]  Well Alex, thanks for having me and it's a pleasure to be here.
[01:34:01.960 --> 01:34:02.781]  Glad to share my time with you.
[01:34:28.836 --> 01:34:34.680]  You know, I broke down a very simple four-step procedure for people, and I call it IPOD.
[01:34:35.301 --> 01:34:49.991]  I-P-O-D, and it's an acronym that just helps people kind of give, like, a guideline of how to effectively express their thoughts, their ideas, their message, you know, whatever it is they want to communicate to people, and to do it in a way that makes sense.
[01:34:50.855 --> 01:35:00.062]  The I simply stands for icebreaker or introduction, and of course you can use our million-dollar bills or our little Curve Illusion pink and blue gospel tracts.
[01:35:00.082 --> 01:35:07.988]  We use those as a way to open up that door of conversation, i.e., might hand somebody a million-dollar bill and then say, hey, can I ask you the million-dollar question?
[01:35:08.068 --> 01:35:10.930]  And so, you know, there's lots of things you can do.
[01:35:11.290 --> 01:35:16.714]  DVDs, you know, flyers, promotional material, and if you really want to be successful getting it in people's hands,
[01:35:17.438 --> 01:35:23.482]  You know, what you can do is just ask a question that no matter how they respond to, they're going to want one.
[01:35:23.642 --> 01:35:26.263]  I.e., I say, hey Alex, do you live here in town?
[01:35:26.423 --> 01:35:29.285]  You'd say... Yes I do!
[01:35:30.186 --> 01:35:31.046]  Oh good, you'll need this.
[01:35:31.847 --> 01:35:34.048]  And then if you say, well no I don't, I'll say, well here, you need this.
[01:35:34.468 --> 01:35:36.049]  Because either way, they need that, right?
[01:35:36.089 --> 01:35:39.391]  So, hey, are you happy with the way the government's taking care of things today?
[01:35:39.471 --> 01:35:39.671]  No?
[01:35:39.791 --> 01:35:40.492]  Oh, here, you'll want this.
[01:35:41.573 --> 01:35:47.635]  And it's a great way to get about 90% of the people just to take the literature or the DVD or whatever it is you're passing out at the time.
[01:35:47.655 --> 01:35:50.197]  Yeah, because I watch these videos of We Are Change, 9-11 Truth.
[01:35:50.537 --> 01:35:52.077]  About half the time, folks won't take it.
[01:35:52.097 --> 01:35:57.179]  You know, because they see a nervous solicitor going, no, no, that doesn't work.
[01:35:57.219 --> 01:35:59.540]  They need to go, hey, I've got something that's really important for you.
[01:35:59.560 --> 01:36:01.421]  You know, I've got some amazing stuff for you.
[01:36:03.122 --> 01:36:06.083]  But you have even better ways of doing that, so tell us about it.
[01:36:06.823 --> 01:36:11.024]  Yeah, well, you could even ask things, or what I say, customize the approach.
[01:36:11.084 --> 01:36:16.646]  In other words, I might say, if you were walking down the street, I'd say, hey, all the handsome guys get one of these today.
[01:36:16.666 --> 01:36:19.507]  And, of course, you're going to laugh and go, oh, OK, great, you'll take one.
[01:36:20.187 --> 01:36:25.509]  If it's a mom with kids pushing a stroller, I may say something like, hey, everybody with cute kids gets one of these today.
[01:36:25.869 --> 01:36:27.870]  And they go, oh, thank you, and they take it.
[01:36:28.860 --> 01:36:36.261]  You know, it's really a matter of just approaching people with dignity, with respect, and being calm, cool, collected about it.
[01:36:37.759 --> 01:36:41.661]  Fanatical, then they, you know, kind of give you the Heisman move, right?
[01:36:41.681 --> 01:36:44.083]  You know, they kind of put that arm out and say, hey, no thanks.
[01:36:44.143 --> 01:36:47.945]  So, you have to do it in a way that allows you to reach out to these people.
[01:36:48.005 --> 01:36:50.207]  Moreover, I-P-O-D, right?
[01:36:50.227 --> 01:36:52.908]  The P stands for probing or asking questions.
[01:36:53.048 --> 01:37:01.233]  And all too often, people are so eager to get their message out, they never take time to connect with that person by asking probative questions.
[01:37:01.613 --> 01:37:02.474]  You know, questions like,
[01:37:02.854 --> 01:37:04.235]  Hey, do you live around here?
[01:37:04.395 --> 01:37:05.877]  What do you think about our government?
[01:37:05.897 --> 01:37:08.098]  What do you think about this financial crisis?
[01:37:08.118 --> 01:37:09.560]  You know, do you think we should have bailed them out?
[01:37:09.580 --> 01:37:09.940]  What do you think?
