[00:00:00.009 --> 00:00:04.090]  You are listening to GCN, the Genesis Communications Radio Network.
[01:11:09.531 --> 01:11:17.853]  Everybody who reads into this sort of thing, like Dr. Roberts and myself, and writes about it, knows that it's a setup.
[01:11:17.853 --> 01:11:20.334]  They want a Cold War.
[01:11:20.334 --> 01:11:32.757]  They want to divert attention from the horrible economic and financial condition that's going on now in the Western world.
[01:11:32.757 --> 01:11:34.297]  And this is a diversion.
[01:11:35.140 --> 01:11:44.363]  And at the same time, they geopolitically are trying to outflank Russia by eventually, hopefully, from the U.S.
[01:11:44.363 --> 01:11:53.825]  standpoint, or the neocon standpoint, of bringing NATO into this whole thing, and NATO into Georgia.
[01:11:53.825 --> 01:12:00.047]  The fact that I got a... One of my people, who does intelligence work for me,
[01:12:01.269 --> 01:12:13.647]  Um, has been watching the satellite, uh, out of Moscow, and, uh, also a number of reports from, uh, Algeria, Algeria, Algeria, however it's pronounced.
[01:12:13.647 --> 01:12:14.248]  What is it again?
[01:12:14.248 --> 01:12:15.710]  Al-Jazeera.
[01:12:15.710 --> 01:12:16.251]  Al-Jazeera.
[01:12:17.114 --> 01:12:26.860]  And, uh, they reported, uh, long before, uh, the press did in the United States that, uh, over 2,000 people have been killed.
[01:12:26.860 --> 01:12:30.903]  Uh, almost all of them civilians, incidentally.
[01:12:30.903 --> 01:12:40.169]  Uh, the, uh, Blackwater and, um, and I believe it's back, Blackwater, that's what they're being called, American trainers,
[01:12:41.193 --> 01:12:52.141]  And the Israeli Mossad contractors... That's right, Israeli publications are reporting since Friday very proudly that 1,000 Israeli contractors are leading the attack.
[01:12:52.141 --> 01:12:54.262]  This is unbelievable.
[01:12:54.262 --> 01:13:07.531]  Right, and so the next move will be by Russia that they will totally pacify Georgia and move in there.
[01:13:07.531 --> 01:13:10.013]  And then the United States will retaliate
[01:13:10.678 --> 01:13:19.922]  And then Russia will turn their nuclear weapons westward again toward the United States and Western Europe.
[01:13:19.922 --> 01:13:22.483]  Well, that's now been announced, actually.
[01:13:22.483 --> 01:13:25.164]  Well, I can't catch it all like you do.
[01:13:25.164 --> 01:13:25.584]  No, no, no.
[01:13:25.584 --> 01:13:28.265]  I'm saying that you're correct.
[01:13:28.265 --> 01:13:35.548]  I came back early this morning from Galtham and I had 532 emails.
[01:13:35.548 --> 01:13:37.268]  So I had my hands full today.
[01:13:37.268 --> 01:13:38.549]  But the point is that
[01:13:39.389 --> 01:13:42.570]  That they're gearing up for another war.
[01:13:42.570 --> 01:13:46.090]  I think right after the election they're going to go for a draft.
[01:13:46.090 --> 01:13:47.151]  I think there's a good chance of it.
[01:13:47.151 --> 01:13:47.871]  That's what McCain said.
[01:13:47.871 --> 01:13:51.751]  He said, quote, a World War III starts, then we'll need a draft.
[01:13:51.751 --> 01:13:55.592]  And meanwhile, Jerusalem Post, AP reporting, Friday, two U.S.
[01:13:55.592 --> 01:14:01.153]  aircraft carriers are indeed, as we reported during the week with rumors from sources, that they thought they were going there.
[01:14:01.153 --> 01:14:04.754]  Now they admit they're going to the Gulf, beefing up the other two task forces
[01:14:05.354 --> 01:14:06.414]  I don't know that it's part of that.
[01:14:06.414 --> 01:14:10.036]  It may be, but I don't have enough intelligence sources to give me the information that that in fact is so.
[01:14:10.036 --> 01:14:10.556]  I do know...
[01:14:35.399 --> 01:14:49.002]  I do know that the entire area in the Mediterranean as well as off of the Ukraine and in that entire area is alive with Russian submarines.
[01:14:49.002 --> 01:14:58.005]  And if the United States thinks that they're going to send a great flotilla in there and nothing's going to happen to it, I get news for you if they start fighting.
[01:14:58.005 --> 01:15:03.326]  Well, the Russians are already sinking Georgian ships right now.
[01:15:03.326 --> 01:15:03.506]  Right.
[01:15:04.133 --> 01:15:07.417]  But American ships are a different story.
[01:15:07.417 --> 01:15:11.321]  And I think that they're being led right into a trap.
[01:15:11.321 --> 01:15:16.347]  And I noticed that Ukraine said that they were no longer going to allow
[01:15:17.245 --> 01:15:30.782]  Russia to use the facilities on the Black Sea, which they have a lease for 17 more years on that property, and I get news for the Ukraine.
[01:15:30.782 --> 01:15:35.929]  Get used to it, because the Russians are going to be there, and if you argue, you've got a problem too.
[01:15:36.897 --> 01:15:42.862]  You know, people don't understand how vast and the enormous amount of people there are in Russia.
[01:15:42.862 --> 01:15:56.413]  And that, you know, I've talked to former Wehrmacht and SS people in my life of counterintelligence.
[01:15:56.413 --> 01:15:59.215]  Some of them who eventually worked for the United States government.
[01:15:59.215 --> 01:16:01.517]  Yeah, when you were in Germany against the Russians.
[01:16:01.517 --> 01:16:01.958]  Right.
[01:16:01.958 --> 01:16:03.419]  Tell you what, stay there.
[01:16:03.419 --> 01:16:04.300]  We've got to go.
[01:16:04.300 --> 01:16:04.840]  Keep going now.
[01:16:04.840 --> 01:16:05.921]  We're going into break in 30 seconds.
[01:16:09.375 --> 01:16:10.096]  Bob, you were saying?
[01:16:10.096 --> 01:16:11.357]  Go ahead.
[01:16:11.357 --> 01:16:19.484]  And they said that, you know, we were better trained and better equipped.
[01:16:19.484 --> 01:16:21.126]  And our kill ratio is 20 to 1.
[01:16:21.126 --> 01:16:23.888]  But these people just kept on coming.
[01:16:23.888 --> 01:16:24.549]  Alright, stay there.
[01:16:24.549 --> 01:16:27.311]  We're going to come right back with Bob Chapman on the other side.
[01:16:27.311 --> 01:16:27.712]  Your calls.
[01:16:29.654 --> 01:16:33.719]  Have you ever felt like the United States government knows way too much about your financial affairs?
[01:16:33.719 --> 01:16:39.605]  I continue to hear stories about property seizures, frozen bank accounts, confiscation of stocks and bonds.
[01:16:39.605 --> 01:16:40.726]  It makes me wonder if the U.S.
[01:16:40.726 --> 01:16:44.771]  citizen will ever again have the right to life, liberty, and the pursuit of happiness.
[01:16:45.411 --> 01:16:59.240]  Unfortunately, with the Drug and Money Laundering Act, the IRS Revenue Ruling 6045 of 1984, and the Trading with the Enemy Act in Franklin D. Roosevelt's Executive Order of 1933, some precious metal holdings are subject to government intervention.
[01:16:59.240 --> 01:17:04.823]  For this reason, Midas Resources has prepared a report explaining the boundaries of trading precious metals privately.
[01:17:04.823 --> 01:17:10.647]  Whether if you have any intention of trading with Midas Resources or not, I have instructed my representatives to give this report out free.
[01:17:11.488 --> 01:17:12.889]  Call for your free copy at 1-800-686-2237.
[01:17:12.889 --> 01:17:15.533]  When investing, always proceed with caution.
[01:17:15.533 --> 01:17:16.073]  Again, call 1-800-686-2237.
[01:17:16.073 --> 01:17:17.775]  Exercise your legal right to trade metals privately.
[01:17:17.775 --> 01:17:17.835]  1-800-686-2237.
[01:17:29.545 --> 01:17:33.306]  It is now time to reign in evil and bring them to justice.
[01:17:33.306 --> 01:17:38.348]  Through the authority that has been delegated to us, it is time to destroy the destroyers.
[01:17:38.348 --> 01:17:43.770]  The number of the mounted troops was 200 million, the vast majority of the population of the U.S.
[01:17:43.770 --> 01:17:54.794]  Though the people of the U.S., where their numbers and influence are strongest, have primary responsibility for reigning them in and bringing them to justice, all nations will participate since they reside the world over.
[01:17:54.794 --> 01:17:56.014]  They are called Illuminati.
[01:17:56.454 --> 01:17:59.195]  Elite, proponents of the New World Order.
[01:17:59.195 --> 01:18:01.957]  They oppose everything that is God and Truth.
[01:18:01.957 --> 01:18:05.538]  They are of the line that was disinherited 2,000 years ago.
[01:18:05.538 --> 01:18:18.044]  Everything they have built over the centuries, the wealth they have accumulated, the power they have established, the poisoning of the masses, the destruction of the Earth and mankind, we will undo through the authority that has now been delegated to us.
[01:18:18.524 --> 01:18:22.248]  Visit our website at unveilingthem.com.
[01:18:22.248 --> 01:18:26.552]  That's U-N-V-E-I-L-I-N-G them dot com.
[01:18:26.552 --> 01:18:27.814]  The message of his kingdom.
[01:18:29.372 --> 01:18:30.252]  It's a fact.
[01:18:30.252 --> 01:18:37.834]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[01:18:37.834 --> 01:18:46.976]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates, it has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[01:18:46.976 --> 01:18:57.519]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[01:18:57.779 --> 01:19:04.063]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[01:19:04.063 --> 01:19:09.266]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debt.
[01:19:09.266 --> 01:19:13.908]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[01:19:13.908 --> 01:19:15.669]  Call the Federal Debt Relief System at 877-943-8600.
[01:19:15.669 --> 01:19:15.869]  That's 877-943-8600.
[01:19:15.869 --> 01:19:16.370]  Or visit FDRS.org.
[01:19:16.370 --> 01:19:17.951]  Find out how you can break the cycle of debt slavery.
[01:19:25.635 --> 01:19:29.398]  Visit FDRS.org today.
[01:19:29.398 --> 01:19:31.399]  Heart disease is on the rise.
[01:19:31.399 --> 01:19:38.363]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[01:19:38.363 --> 01:19:46.749]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:19:46.749 --> 01:19:52.473]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:19:52.793 --> 01:19:53.173]  I don't know.
[01:20:11.360 --> 01:20:13.781]  Order your two-month supply today by calling 866-295-5305.
[01:20:13.781 --> 01:20:14.181]  That's 866-295-5305.
[01:20:14.181 --> 01:20:16.102]  Or order online, HBextract.com.
[01:20:16.102 --> 01:20:17.962]  Heart and Body Extract, 866-295-5305.
[01:20:17.962 --> 01:20:19.383]  Or HBextract.com.
[01:20:19.383 --> 01:20:23.744]  You're listening to GCN, the Genesis Communication Radio Network.
[01:20:43.752 --> 01:20:45.633]  It is August 10, 2008.
[01:20:45.633 --> 01:21:02.382]  United States-backed Georgian forces launched a sneak attack Thursday night into Friday morning, killing thousands of civilians, mass-murdering Russian troops and other peacekeeping troops in the region they've been in since 1993, which has always been part of Russia proper.
[01:21:02.382 --> 01:21:03.703]  It's just unbelievable.
[01:21:03.703 --> 01:21:12.308]  Bob Chapman is the guy we went to for this, because he worked in counterintelligence in Eastern Europe and Germany during the 1950s, when the Cold War was a lot hotter.
[01:21:13.052 --> 01:21:16.853]  It's also an expert on what's happening in the economy, TheInternationalForecaster.com.
[01:21:16.853 --> 01:21:20.594]  We're going to get to Mike and Greg and Pam and Carl, Randy, all of you here in just a few minutes.
[01:21:20.594 --> 01:21:24.876]  Bob, I'm going to have you ride shotgun with myself and Jason Burnham for the rest of the hour.
[01:21:24.876 --> 01:21:26.976]  We appreciate you being with us.
[01:21:26.976 --> 01:21:36.179]  But just briefly before we get some calls in, A, was this a miscalculation by the delusional chicken-hawk-coward neocons?
[01:21:37.023 --> 01:21:38.243]  Or is this going well for them?
[01:21:38.243 --> 01:21:40.764]  Is this what they thought Russia would do?
[01:21:40.764 --> 01:21:50.167]  A. B. It's all over Russian national TV and international television, Russia Today and others, there's CNN, that yes, Ukrainian, U.S.
[01:21:50.167 --> 01:22:04.871]  Special Forces, it's admitted in our news that Marines, a thousand Marines and others are there, but quote, advising, but people on the ground are reporting dead American soldiers, both black Americans and quote, men in black uniforms with U.S.
[01:22:04.871 --> 01:22:05.531]  insignia
[01:22:06.491 --> 01:22:13.354]  Do you think the Russians are going to grab those bodies and use that for concessions and keep it secret, or is more of that going to be... Well, I mean, you heard both the questions.
[01:22:13.354 --> 01:22:15.515]  A, did the globalists miscalculate?
[01:22:15.515 --> 01:22:19.516]  B, what do you think about Americans being involved in this?
[01:22:19.516 --> 01:22:23.137]  I think the neocons have miscalculated.
[01:22:23.137 --> 01:22:26.939]  I think that they thought that the Russians would back off.
[01:22:26.939 --> 01:22:29.340]  And I think they're surprised.
[01:22:29.340 --> 01:22:32.641]  Number two, the Russians are collecting the dead.
[01:22:33.533 --> 01:22:44.897]  And they're doing DNA samples on them because they don't know of any Negroes, black people, who live in Georgia.
[01:22:44.897 --> 01:22:51.439]  And some of them were quite badly mangled, if you may.
[01:22:51.439 --> 01:22:52.759]  And they just wanted to make sure.
[01:22:52.759 --> 01:22:57.421]  And the uniforms, the black uniforms, and we've been told it was
[01:22:58.770 --> 01:23:01.211]  Blackwater who was in there.
[01:23:01.211 --> 01:23:08.013]  They have an American flag on their shoulder and that was the insignia that's being talked about.
[01:23:08.013 --> 01:23:15.335]  So you've got a thousand Marines which really upsets me because I don't think that our troops should be in there.
[01:23:15.335 --> 01:23:19.656]  You've got over a thousand Israelis who have been in there for a long time.
[01:23:21.022 --> 01:23:34.407]  And you have the tremendous amount of hardware that was supplied by both the United States and Israel, which is being used by the Georgian troops.
[01:23:35.796 --> 01:23:40.200]  At this point, I see it as a no-win situation for Georgia.
[01:23:40.200 --> 01:23:59.294]  Well, the top Russian general said in a press conference today that no doubt this is U.S.-backed, U.S.-funded, and that they're, quote, looking at the black uniforms, at the people of African descent that are dead, and as you said right now, trying to tissue-sample that and see if they're from Eastern Europe.
[01:23:59.294 --> 01:24:01.416]  Exactly.
[01:24:01.416 --> 01:24:03.998]  And so I think if the
[01:24:04.975 --> 01:24:08.738]  The United States moves forward into another war.
[01:24:08.738 --> 01:24:11.300]  This will be opening up a third front.
[01:24:11.300 --> 01:24:12.281]  By the way, I'm not joking.
[01:24:12.281 --> 01:24:16.084]  If you think Hitler was stupid, this guy has got to be out of his skull.
[01:24:16.084 --> 01:24:22.209]  Well, the neocons, some of the neocon websites are saying Russia, I'm not joking listeners, has attacked Georgia U.S.
[01:24:22.209 --> 01:24:23.650]  as I predicted they would Friday.
[01:24:23.650 --> 01:24:27.373]  That's how dumb they think the public are, Bob.
[01:24:27.373 --> 01:24:30.716]  Yeah, well, I didn't see any bombs go off in Atlanta this week.
[01:24:31.340 --> 01:24:35.146]  Well, they just know the public is completely mindless, and I don't understand... Unbelievable!
[01:24:35.146 --> 01:24:45.804]  I mean, I just marvel, and you know, this is a mental disease that is not only a priority of Americans, I mean, this is all over the world!
[01:24:46.531 --> 01:24:55.795]  I mean, we have subscribers everywhere, and they write us letters telling us, you know, the school system in England is so bad, we don't know what we're going to do.
[01:24:55.795 --> 01:25:01.117]  And the same in Germany, and in South Africa, and on and on and on.
[01:25:01.117 --> 01:25:02.098]  And it's all about design.
[01:25:02.098 --> 01:25:04.018]  Let's go to some calls here.
[01:25:04.018 --> 01:25:04.879]  Who is up first?
[01:25:04.879 --> 01:25:07.300]  Who has been holding the longest?
[01:25:07.300 --> 01:25:10.181]  That would be Greg in Fort Worth, Texas.
[01:25:10.181 --> 01:25:10.921]  Thanks for holding, Greg.
[01:25:10.921 --> 01:25:12.442]  You're on the air with Bob Chapman.
[01:25:12.442 --> 01:25:13.122]  Hey Alex.
[01:25:13.122 --> 01:25:13.963]  Hey Bob.
[01:25:13.963 --> 01:25:14.843]  Jason, if you're there.
[01:25:15.842 --> 01:25:18.323]  Hey, I just want to say something, guys.
[01:25:18.323 --> 01:25:22.144]  For the first time in my life, I've been listening to you for a long time, Alex.
[01:25:22.144 --> 01:25:24.925]  And for the first time in my life, I've called your show.
[01:25:24.925 --> 01:25:25.505]  And I'm scared.
[01:25:25.505 --> 01:25:27.305]  I really am.
[01:25:27.305 --> 01:25:29.306]  And I'll tell you why I'm scared.
[01:25:29.306 --> 01:25:35.627]  I have realized since sitting to the guest that you've had on that there's a lot of oil up there in Alaska.
[01:25:35.627 --> 01:25:41.069]  And it seems to me that blood is more profitable than oil.
[01:25:41.069 --> 01:25:43.350]  And I think that's what's going on, Bob.
[01:25:43.350 --> 01:25:43.970]  I don't know.
[01:25:43.970 --> 01:25:44.510]  Maybe you can
[01:25:45.675 --> 01:25:49.118]  Tell me if I'm wrong about that.
[01:25:49.118 --> 01:25:54.203]  But I'm really sick to my stomach right now.
[01:25:54.203 --> 01:25:57.586]  Well, not just oil and blood, but they're saying gas.
[01:25:57.586 --> 01:26:04.373]  The UK Daily Mail, turns out BP owns most of that pipeline, is claiming Russia has attacked to get the pipeline.
[01:26:04.373 --> 01:26:07.116]  Russia didn't attack anybody.
[01:26:07.116 --> 01:26:08.297]  I understand that.
[01:26:08.297 --> 01:26:09.558]  And they have their own pipeline.
[01:26:10.257 --> 01:26:20.608]  I understand that, but what I'm saying is, is that since we can become energy independent with the oil that we have on the northern slopes of Alaska, and we're not doing that.
[01:26:20.608 --> 01:26:23.370]  Instead, we're going around and shooting other people.
[01:26:23.370 --> 01:26:27.735]  It seems to me that blood must be more profitable than oil, and that scares me.
[01:26:28.075 --> 01:26:30.057]  No, I hear you and I appreciate your call.
[01:26:30.057 --> 01:26:34.661]  For those that don't know, 80% of the oil taken out of Alaska goes to Asia.
[01:26:34.661 --> 01:26:36.442]  So even if they open it up, we're not getting it.
[01:26:36.442 --> 01:26:38.184]  We are the schmucks of the world.
[01:26:38.184 --> 01:26:39.205]  They think we're dumb.
[01:26:39.205 --> 01:26:46.451]  You heard us play Miss North Carolina earlier, but cue her back up again, where she doesn't even know which country she's in.
[01:26:46.451 --> 01:26:49.814]  And they know that's a green light to tyrants to do whatever they want with us.
[01:26:49.814 --> 01:26:50.935]  We'll play it after the break.
[01:26:50.935 --> 01:26:52.116]  Let's go to another call here.
[01:26:52.116 --> 01:26:54.758]  Let's go ahead and talk to Pam in New York.
[01:26:54.758 --> 01:26:55.499]  Pam, you're on the air.
[01:26:56.409 --> 01:26:58.370]  Hi Alex, this is Pam in New York.
[01:26:58.370 --> 01:27:00.330]  I'm glad to talk to you.
[01:27:00.330 --> 01:27:09.213]  I've been wanting to call in and tell you listeners that I have found a place to watch the Russian news in English on the internet.
[01:27:09.213 --> 01:27:10.374]  Yes, it's Russia Today.
[01:27:11.417 --> 01:27:23.907]  Yeah, and there's also a place you can go called Livestation.com and you download a small program and you can actually watch their live TV right now.
[01:27:23.907 --> 01:27:31.693]  Well, just so you know, we've taken all the most important Russian newscasts, scores of them, they're all on Infowars.com and presented them.
[01:27:31.693 --> 01:27:37.498]  I spent hours this morning watching the reports, getting the best ones boiled down from different video sources.
[01:27:37.498 --> 01:27:38.859]  We have links of those all up.
[01:27:39.159 --> 01:27:42.521]  You know, you want to see the tanks, the helicopters, the dead bodies.
[01:27:42.521 --> 01:27:48.925]  Yeah, that's what they're showing us on the Russian, I guess it's like the Russian CNN.
[01:27:48.925 --> 01:28:02.574]  They're showing all this, and they also showed an American man that his wife is there visiting his, her mother, and she was, they're talking genocide, that Georgia was genociding this,
[01:28:04.896 --> 01:28:06.336]  No, that's it.
[01:28:06.336 --> 01:28:09.818]  They attacked Ossetia and other areas and just murdered everybody.
[01:28:09.818 --> 01:28:14.239]  And then our media goes, how dare Russia not like us murdering them all?
[01:28:14.239 --> 01:28:28.305]  Well, he said that we should call all our senators and our congressmen and tell Bush to back off and get out of Georgia and leave it to Russia to take care of it.
[01:28:28.305 --> 01:28:30.346]  But Georgia's in the USA!
[01:28:30.346 --> 01:28:33.087]  The Russkies attacked it to get the peaches!
[01:28:34.880 --> 01:28:35.740]  No, I hear you.
[01:28:35.740 --> 01:28:37.461]  Yes, watching Russian TV.
[01:28:37.461 --> 01:28:38.842]  You can watch European television.
[01:28:38.842 --> 01:28:40.162]  It's all admitted.
[01:28:40.162 --> 01:28:42.003]  And Georgia's still attacking.
[01:28:42.003 --> 01:28:44.143]  They keep saying cease fire and then they attack.
[01:28:44.143 --> 01:28:45.544]  And then go, oh, they're attacking us.
[01:28:45.544 --> 01:28:50.005]  I mean, watching the Georgian president Friday on the news going, we've been attacked for no reason.
[01:28:50.005 --> 01:28:53.007]  Not only that, but he's calling out for American and NATO help.
[01:28:53.007 --> 01:28:54.287]  Well, he's got it.
[01:28:54.287 --> 01:28:56.088]  It was there beforehand.
[01:28:56.088 --> 01:28:59.169]  So it's just deception again and again and again, Alex.
[01:28:59.169 --> 01:28:59.889]  It makes me sick.
[01:29:01.309 --> 01:29:03.129]  And again folks, we're not defending Russia.
[01:29:03.129 --> 01:29:04.610]  All these governments are criminal.
[01:29:04.610 --> 01:29:12.211]  The point is, we don't need our government to be going through surrogates and sneak attacking Russian military bases.
[01:29:12.211 --> 01:29:16.192]  And we don't need our young men and women over there fighting either.
[01:29:16.192 --> 01:29:16.872]  Bob, stay there.
[01:29:16.872 --> 01:29:22.313]  I want to come back and talk about whatever you think is most important with this situation and the economy and more phone calls.
[01:29:22.313 --> 01:29:23.354]  Everybody stay with us.
[01:29:23.354 --> 01:29:25.334]  30 minutes left after this important news.
[01:29:29.409 --> 01:29:30.390]  Hey Clyde!
[01:29:30.390 --> 01:29:31.390]  What's up, Bonnie?
[01:29:31.390 --> 01:29:35.854]  Well, I got a question about those shielded secure sleeves from Identity Stronghold.
[01:29:35.854 --> 01:29:40.597]  Yeah, the sleeves that block us from stealing account numbers from the new credit cards with RFID chips.
[01:29:40.597 --> 01:29:41.398]  What about them?
[01:29:41.398 --> 01:29:45.841]  Well, I mentioned them to our friends and they want info on purchasing the secure sleeves.
[01:29:45.841 --> 01:29:46.862]  Oh, Bonnie!
[01:29:46.862 --> 01:29:52.786]  If everyone starts hearing about the secure sleeve, it'll destroy our plan to steal credit card numbers at the mall with my new RFID reader.
[01:29:53.346 --> 01:29:55.087]  I know, but these are our friends, Clyde.
[01:29:55.087 --> 01:29:57.049]  They promised not to tell anyone else.
[01:29:57.049 --> 01:29:58.010]  I guess you're right.
[01:29:58.010 --> 01:29:59.831]  That's what friends are for, I suppose.
[01:29:59.831 --> 01:30:05.595]  Tell them they can get a five-pack of secure sleeves that will fit credit cards and driver's licenses for $19.95.
[01:30:05.595 --> 01:30:10.959]  And Identity Stronghold also has a three-pack of secure sleeves for passport books for $14.95.
[01:30:10.959 --> 01:30:12.340]  And where do they buy them?
[01:30:12.340 --> 01:30:16.503]  They can buy them online or get a mail-in order form at IDStronghold.com.
[01:30:16.503 --> 01:30:18.685]  IDStronghold.com.
[01:30:18.685 --> 01:30:20.126]  Okay, well, what if they don't have the Internet?
[01:30:20.606 --> 01:30:21.067]  They can call 1-800-610-2770.
[01:30:21.067 --> 01:30:21.347]  That's 800-610-2770.
[01:30:21.347 --> 01:30:21.608]  Thanks Clyde!
[01:30:29.423 --> 01:30:33.565]  We all know that the Berkey Water Systems are the most trusted name in water filtration.
[01:30:33.565 --> 01:30:50.731]  The revolutionary Berkey Light self-sterilizing and recleanable purification elements purify water by removing pathogenic bacteria, cysts, and parasites to non-detectable levels, and by extracting harmful chemicals such as herbicides, pesticides, VOCs, organic solvents, radon-222, and trihalomethanes.
[01:30:50.731 --> 01:30:55.153]  They also reduce nitrates, nitrates, sediment, and unhealthy minerals such as lead and mercury.
[01:30:55.353 --> 01:31:02.740]  As an authorized dealer for over two and a half years, serving thousands of satisfied customers, we offer amazing specials for Berkey Light water systems.
[01:31:02.740 --> 01:31:10.587]  Order the Berkey Light system today, complete with two black Berkey filter elements and free KDF shower filter for only $209 plus free shipping.
[01:31:10.587 --> 01:31:15.992]  That's right, free shipping and one KDF shower filter, a $49 value free for a limited time.
[01:31:15.992 --> 01:31:17.233]  Just call the Berkey guy at 1-877-886.
[01:31:19.755 --> 01:31:21.356]  Call 1-877-886-3653 now to order.
[01:31:21.356 --> 01:31:24.618]  That's 1-877-886-3653.
[01:31:24.618 --> 01:31:28.219]  Or simply click on the banner at GCNlive.com to order online now.
[01:31:28.219 --> 01:31:29.180]  Not yet available in Iowa.
[01:31:32.245 --> 01:31:35.649]  Imagine walking down the street and hearing footsteps behind you.
[01:31:35.649 --> 01:31:40.473]  They get closer and closer, and suddenly you have a sense something bad is going to happen.
[01:31:40.473 --> 01:31:42.976]  What are you going to do to defend yourself?
[01:31:42.976 --> 01:31:47.661]  Tebowtech specializes in non-lethal self-defense products for you and your family.
[01:31:47.661 --> 01:31:55.769]  With everything from stun guns and tasers, to personal alarms and pepper spray, Tebowtech will arm you with the most advanced non-lethal products anywhere on the net.
[01:31:56.469 --> 01:31:57.850]  Not sure where to start?
[01:31:57.850 --> 01:32:01.751]  The TeboTek Essentials Package is great for you or to share with your family.
[01:32:01.751 --> 01:32:13.115]  It comes with a 950,000 volt cell phone stun gun, a multi-pack of pepper sprays, an extremely loud personal alarm, and a how-to book for defending yourself with pepper spray all at a low price.
[01:32:13.115 --> 01:32:19.158]  With these or any of TeboTek's products, you have the tools to defend yourself against an attack and get yourself to safety.
[01:32:19.858 --> 01:32:22.320]  Don't be a victim, be a victor!
[01:32:22.320 --> 01:32:25.023]  Stock up now, tbotech.com.
[01:32:25.023 --> 01:32:29.446]  That's t-b-o-t-e-c-h dot com.
[01:32:29.446 --> 01:32:35.612]  High fuel prices for gasoline and diesel are taking a huge bite out of budgets for individuals and businesses.
[01:32:35.612 --> 01:32:37.533]  But there is something you can do.
[01:32:37.533 --> 01:32:47.402]  Fuel Saver Incorporated's fuel enhancer formula will not only stretch each gallon of fuel further for mere pennies per treated gallon, but also cleans fuel injectors, pumps, and reduces emissions.
[01:32:47.962 --> 01:32:56.504]  Average improvement in fuel economy typically ranges from 8 to 20 percent or more, saving you 30 to 80 cents on each gallon of fuel at the pump.
[01:32:56.504 --> 01:32:58.144]  Now there's a boost for your budget.
[01:32:58.144 --> 01:33:02.845]  Fuel Saver Incorporated's product is completely safe for your vehicle, gas or diesel.
[01:33:02.845 --> 01:33:09.927]  In fact, the product is currently in use in motorcycles, cars, trucks, buses, RVs, boats, ships and locomotives.
[01:33:10.387 --> 01:33:12.547]  Go to FuelSaverInc.com today.
[01:33:12.547 --> 01:33:14.868]  That's FuelSaverInc.com.
[01:33:14.868 --> 01:33:18.869]  Or call toll-free 866-768-7811.
[01:33:18.869 --> 01:33:22.169]  Call now, 866-768-7811.
[01:33:22.169 --> 01:33:25.050]  Or go to FuelSaverInc.com.
[01:33:25.050 --> 01:33:26.730]  Fuel Saver Fuel Enhancer.
[01:33:26.730 --> 01:33:28.430]  Start saving on fuel today!
[01:33:28.430 --> 01:33:34.632]  This is the GCN Radio Network.
[01:33:34.632 --> 01:33:36.452]  Home to hard-hitting talk radio.
[01:33:45.828 --> 01:33:45.948]  Yes.
[01:33:59.392 --> 01:34:16.182]  People out there in our nation don't have that and I believe that our education like such as in South Africa and the Iraq everywhere like such as and I believe that they should our education over here in the U.S.
[01:34:16.182 --> 01:34:17.603]  should help the U.S.
[01:34:17.603 --> 01:34:24.868]  or should help South Africa and should help the Iraq and the Asian countries so we will be able to build up our future.
[01:34:31.339 --> 01:34:34.760]  U.S.-backed forces in Georgia, led by U.S.
[01:34:34.760 --> 01:34:46.804]  commandos and mercenaries, launched giant terror attacks Thursday night against multiple cities and towns and Russian military bases, slaughtering peacekeepers in cold blood.
[01:34:46.804 --> 01:34:54.926]  And it's nowhere in the media, because you have a population that, on average, is about like the lady you just heard.
[01:34:54.926 --> 01:34:56.967]  Doesn't have a clue about anything.
[01:34:59.156 --> 01:35:06.037]  I mean, it's now coming out, we have confirmed cases where high school students will ask adults, where does the sun go at night?
[01:35:06.037 --> 01:35:07.037]  Is it turning out?
[01:35:07.037 --> 01:35:08.658]  I mean, I'm not joking here.
[01:35:08.658 --> 01:35:10.558]  They know nothing, ladies and gentlemen.
[01:35:10.558 --> 01:35:12.558]  They think George Bush is a conservative.
[01:35:12.558 --> 01:35:14.239]  They think Barack Obama's a good guy.
[01:35:14.239 --> 01:35:22.640]  I'm about to go back to Bob Chapman and then loaded phone lines here, but Burmese, we're not joking about the complete ignorance of large sectors of the public.
[01:35:22.640 --> 01:35:27.841]  And we've got the government documents for the last hundred years where they federalized education and did it by design.
