[00:00:06.066 --> 00:00:07.707]  Hitler took the guns.
[02:56:41.073 --> 02:56:43.135]  We'll be back shortly on The War Room.
[02:56:43.395 --> 02:56:43.895]  Don't miss it.
[02:56:44.236 --> 02:56:46.337]  That's it, about an hour and five minutes from now.
[02:56:46.677 --> 02:56:53.002]  Before we go any further, because I've barely been plugging the last week because I'm so focused on the news, thank you for making InfoWorks possible.
[02:56:53.462 --> 02:56:55.764]  Thank you for allowing us to send these reporters around the world.
[02:56:57.213 --> 02:56:59.093]  To have people cover these big events.
[02:56:59.674 --> 02:57:01.954]  We have the new product that I'm so excited about.
[02:57:02.034 --> 02:57:03.895]  It's the ultimate turmeric formula.
[02:57:04.095 --> 02:57:04.715]  BODY EASE.
[02:57:04.895 --> 02:57:05.635]  Or BODY EASE.
[02:57:05.995 --> 02:57:06.515]  BODY EASE.
[02:57:07.215 --> 02:57:08.816]  Whole body support.
[02:57:08.956 --> 02:57:13.197]  Amazing, powerful, concentrated, 400 plus milligrams of concentrated turmeric.
[02:57:13.777 --> 02:57:15.457]  And all the great things it does in every capsule.
[02:57:15.537 --> 02:57:18.918]  Along with a bunch of other amazing things.
[02:57:19.118 --> 02:57:21.039]  Supercharged organic sage leaf.
[02:57:21.539 --> 02:57:22.919]  Organic lemon balm leaf.
[02:57:23.719 --> 02:57:25.000]  Organic thyme leaf.
[02:57:26.300 --> 02:57:30.544]  Pepperine from Black Pepper and so much more Boswella.
[02:57:30.924 --> 02:57:31.744]  Am I pronouncing that right?
[02:57:32.445 --> 02:57:34.006]  This is an amazing formulation.
[02:57:34.026 --> 02:57:35.307]  Infoworkstore.com.
[02:57:35.688 --> 02:57:40.612]  It just came out this week and it is 50% off so you can try it at that introductory price.
[02:57:40.672 --> 02:57:42.633]  It probably won't be 50% off for another year.
[02:57:42.653 --> 02:57:43.654]  Take advantage of that.
[02:57:44.115 --> 02:57:44.575]  Stay with us.
[02:57:44.595 --> 02:57:44.995]  We'll be back.
[02:57:45.015 --> 02:57:45.616]  Hour number four.
[02:57:48.757 --> 02:57:50.678]  Dr. Grip, you developed Living Defense for us.
[02:57:50.718 --> 02:57:51.819]  It took you over a year to do it.
[02:57:52.059 --> 02:57:52.980]  Why is this so good?
[02:57:53.280 --> 02:57:58.503]  Because people are actually waking up to the problem that pretty much scares me the most.
[02:57:58.603 --> 02:58:12.151]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[02:58:12.211 --> 02:58:13.592]  Right now with all the refugees,
[02:58:14.352 --> 02:58:15.933]  Uh, spreading disease around.
[02:58:16.013 --> 02:58:18.515]  We have biological warfare going on everywhere.
[02:58:18.595 --> 02:58:19.856]  These are all parasites.
[02:58:19.896 --> 02:58:20.996]  Tell us about all the stuff that's in it.
[02:58:21.016 --> 02:58:22.077]  There's so many things that are in it.
[02:58:22.377 --> 02:58:26.700]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[02:58:26.900 --> 02:58:30.062]  I recommend doing the parasite cleanse at least twice a year.
[02:58:30.162 --> 02:58:33.225]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[02:58:33.265 --> 02:58:34.266]  It just came back in yesterday.
[02:58:34.306 --> 02:58:36.188]  Living Defense, Infowarslife.com.
[02:58:36.268 --> 02:58:37.269]  And folks, you can't lose.
[02:58:37.289 --> 02:58:39.371]  It's full of stuff that's great for your body, period.
[02:58:40.012 --> 02:58:43.014]  And you support the broadcast, Infowarslife.com.
[02:58:43.295 --> 02:58:45.177]  Thank you, Dr. Group from the Global Healing Center.
[02:58:45.557 --> 02:58:47.519]  Thank you so much for all your work, sir, on this great product.
[02:58:52.142 --> 02:58:58.165]  Our B vitamin intake is essential to keep the body functioning at optimum levels.
[02:58:59.206 --> 02:59:06.790]  With our modern diets, it can be hard to get the recommended amount of B vitamins we need every day.
[02:59:07.971 --> 02:59:12.994]  Secret 12 combines two bioactive forms of vitamin B12 for optimal absorption.
[02:59:15.575 --> 02:59:20.661]  Being deficient in B vitamins can cause fatigue, depression, poor memory, and lethargy.
[02:59:21.202 --> 02:59:21.562]  Secret 12.
[02:59:23.044 --> 02:59:23.925]  Optimal absorption.
[02:59:24.205 --> 02:59:28.911]  B vitamins help the body convert food into energy by supporting your intercellular processes.
[02:59:29.351 --> 02:59:33.536]  B vitamins are also essential for the optimal functioning of the brain and nervous system.
[02:59:34.537 --> 02:59:35.258]  Optimum levels.
[02:59:36.679 --> 02:59:40.481]  Secret 12 is an easy way to increase your vitamin D12 intake.
[02:59:40.841 --> 02:59:45.183]  Head to InfoWarsLife.com and support optimal brain and body function with Secret 12.
[02:59:46.004 --> 02:59:47.644]  That's InfoWarsLife.com.
[02:59:51.926 --> 02:59:56.688]  If you are receiving this transmission, you are the resistance.
[03:00:11.272 --> 03:00:15.814]  Live from the InfoWars.com studios, it's Alex Jones.
[03:00:16.555 --> 03:00:21.157]  And Jon Rappaport's taking over in about T-minus six minutes, or exactly six minutes from now.
[03:00:21.918 --> 03:00:22.858]  I just want to say it again.
[03:00:23.919 --> 03:00:35.445]  Everybody that's been listening for 20 years, 15 years, you know I was super negative, super angry, and after the establishment and just discrediting the entire power structure because it was bad.
[03:00:36.636 --> 03:00:46.202]  And it doesn't mean we still don't have a lot of problems, but nationalism, free market, folks that aren't out to get you, that's what's entering the world again.
[03:00:47.123 --> 03:00:49.144]  And the world is turning against globalism.
[03:00:49.464 --> 03:00:52.146]  And a lot of top people don't want to be part of this either.
[03:00:53.066 --> 03:00:54.427]  So it's a very exciting time.
[03:00:55.027 --> 03:01:00.411]  But I wanted to get in this little segment into the hypocrisy of the media and just how dumb they think you are.
[03:01:01.576 --> 03:01:13.966]  It's a total conspiracy theory that the Russians stole the election, and controlled Trump, and controlled his family, and there was all this collusion, and in years and years of investigation, it's been going on for two plus years, nothing found.
[03:01:14.907 --> 03:01:26.517]  And on the other side, all the illegal wiretaps, and all the spying, and all the lying, and all the deleting texts, and all the secret societies, and all the insurance policies, and then Joe Scarborough,
[03:01:28.339 --> 03:01:34.821]  Goes on television and says, just stop your conspiracy theories because you are making America less safe.
[03:01:36.962 --> 03:01:38.302]  That's what they get down to now.
[03:01:38.362 --> 03:01:45.445]  And just nebulous conspiracy theories when they're the ones putting out the conspiracy theories.
[03:01:45.485 --> 03:01:46.365]  We told everybody.
[03:01:47.105 --> 03:01:49.546]  Samsung Galaxy phones of that type.
[03:01:51.383 --> 03:01:58.248]  I even knew this when I heard it, but then all the tech experts came out and said, you cannot erase them without burning them.
[03:02:00.629 --> 03:02:02.430]  The governments have demanded, the U.S.
[03:02:02.450 --> 03:02:08.594]  government mainly in telecommunication acts, going back to 96, that they have encryption keys.
[03:02:08.855 --> 03:02:09.715]  I'm not the tech guy.
[03:02:09.815 --> 03:02:11.817]  The point is, they never really erase the data.
[03:02:11.837 --> 03:02:12.717]  It's how it's organized.
[03:02:13.097 --> 03:02:16.199]  It just rewrites it to say, you can now write over this.
[03:02:17.400 --> 03:02:18.281]  But it's still there.
[03:02:20.669 --> 03:02:25.934]  And so, of course the Justice Department then announced today, oh, we were able to get it in the 50,000 emails.
[03:02:26.135 --> 03:02:28.157]  Because no one bought it, they had to back off.
[03:02:29.218 --> 03:02:29.518]  Okay?
[03:02:32.241 --> 03:02:34.783]  It's a conspiracy theory to say it's erased.
[03:02:35.663 --> 03:02:40.885]  Because the FBI knows above everybody, going back, the first thing was like 35 years ago, they were scared of counterfeiting.
[03:02:41.305 --> 03:02:47.008]  So they got the printer companies to put secret codes in the ink so they could tell when you bought it and who you were and all that.
[03:02:47.028 --> 03:02:48.048]  And of course now that's known.
[03:02:48.508 --> 03:02:49.729]  So let's go to Scarborough, man.
[03:02:49.749 --> 03:02:51.089]  You talk about conspiracy theories.
[03:02:51.469 --> 03:02:55.011]  This guy is the biggest discredited joke in the galaxy.
[03:02:55.031 --> 03:02:55.491]  Here he is.
[03:02:56.880 --> 03:03:00.261]  Yeah, who is the informant that Ron Johnson's talking about?
[03:03:00.501 --> 03:03:02.442]  The McCarthy accusation?
[03:03:02.502 --> 03:03:04.803]  I mean, you know one of the worst things about this, incidentally?
[03:03:05.203 --> 03:03:17.487]  The FBI does make mistakes, and there are problems with the FBI, and you do want congressional oversight of our executive branch institutions, and this discredits sort of, I think, legitimate efforts to say, wait a second, let's take a look at this or that at all.
[03:03:17.567 --> 03:03:20.869]  This dirty pool that is being played by members of...
[03:03:22.290 --> 03:03:36.045]  That neocon that they have on, his father was the head of the Trotskyites and reported directly, William Crystal, to Trotsky, who Stalin had killed in Mexico with an ice axe.
[03:03:37.146 --> 03:03:40.010]  He is third in command from Trotsky.
[03:03:41.004 --> 03:03:45.090]  And they said, we gotta take the Republicans over if we're gonna have communism be successful.
[03:03:45.651 --> 03:03:46.713]  And there it sits.
[03:03:47.113 --> 03:03:48.776]  Thought I'd just add that, he's not gonna tell you that.
[03:03:49.177 --> 03:03:50.919]  Even the New York Times though admits that.
[03:03:50.939 --> 03:03:52.482]  Very proud of it though.
[03:03:52.582 --> 03:03:55.066]  That is the heir to Trotsky.
[03:03:55.266 --> 03:03:55.767]  Let's continue.
[03:03:56.340 --> 03:04:02.962]  That is being played by members of the Senate and the House and the administration.
[03:04:03.622 --> 03:04:07.724]  You're undercutting the foundation of this democracy.
[03:04:07.744 --> 03:04:08.444]  Okay, that's enough.
[03:04:08.544 --> 03:04:09.624]  This is conspiracy theory crap.
[03:04:09.644 --> 03:04:10.565]  I want to add this.
[03:04:10.865 --> 03:04:11.565]  Her dad...
[03:04:12.205 --> 03:04:22.971]  Was the head architect of wanting World War III with the Russians, who had bragged that he helped have genocide by manipulating the situation in Cambodia that killed 30% of the population, Zbigniew Brzezinski.
[03:04:22.991 --> 03:04:25.352]  I mean, I could just keep hitting you and hitting you and hitting you.
[03:04:25.372 --> 03:04:35.158]  See, when you know who these people are, and then you got Scarborough with a dead intern, and the autopsy they wouldn't do, and you just are looking at a bunch of scum.
[03:04:36.687 --> 03:04:39.668]  I mean, it's just, I can go through every one of these people on TV, man.
[03:04:40.248 --> 03:04:42.689]  It's like North Korea, where you have a third-generational dictator.
[03:04:43.029 --> 03:04:46.930]  These scumbags, then, their kids end up ruling over us.
[03:04:46.990 --> 03:04:53.231]  I mean, I guess Mika and Scarborough are gonna pop one out that'll be our new god and dance around America's grave.
[03:04:53.631 --> 03:04:55.712]  Not on my watch, scumbags!
[03:04:56.032 --> 03:04:57.472]  We'll be back with John Rappaport.
[03:05:01.167 --> 03:05:01.888]  I'm so excited.
[03:05:01.968 --> 03:05:11.514]  The new product at m4warslife.com, in a glass bottle, two-month servings, filled to the brim, filled to the absolute top, the real red pill.
[03:05:12.114 --> 03:05:17.298]  This is a heart and brain pill, a nootropic that doesn't have any stimulants in it.
[03:05:17.618 --> 03:05:20.420]  But boy, does it stimulate, because it's beyond that.
[03:05:20.620 --> 03:05:29.386]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients, but it wasn't prescription, but they were charging people $100, $200.
[03:05:31.487 --> 03:05:50.602]  For the formula, and I came up with our own formula, working with some scientists and developers, non-GMO, made right here in America, 120 capsules, and ladies and gentlemen, you add the preglanone to it, which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[03:05:51.102 --> 03:05:52.383]  It is amazing!
[03:05:53.784 --> 03:05:58.748]  Red Pill, now available at InfoWarsStore.com, and your purchase fugs the operation.
[03:06:11.963 --> 03:06:14.104]  Broadcasting live from the U.N.
[03:06:14.164 --> 03:06:19.865]  stronghold, Austin, Texas, you're listening to the Alex Jones Show!
[03:06:31.009 --> 03:06:34.650]  John Rappaport here in the fourth hour sitting in for Alex at InfoWars.
[03:06:36.311 --> 03:06:40.932]  I was talking on a show earlier today and I just want to kind of finish up
[03:06:41.738 --> 03:06:49.905]  On a theme that I think is in line with what Alex was talking about and what's really going on here.
[03:06:50.205 --> 03:06:53.548]  There's a little item called achievement.
[03:06:54.469 --> 03:06:55.130]  Know that word?
[03:06:55.410 --> 03:06:56.010]  Achievement.
[03:06:56.090 --> 03:06:57.512]  It's not taught anymore.
[03:06:59.013 --> 03:07:02.176]  It's not elevated anymore in schools.
[03:07:03.577 --> 03:07:09.262]  The idea that great achievements can be made, especially
[03:07:11.002 --> 03:07:12.763]  Launched by an individual.
[03:07:14.124 --> 03:07:14.824]  Can't have that.
[03:07:15.925 --> 03:07:30.153]  But achievement in general has taken a very far back seat to the idea of some kind of giant cheese glob of collectivism in our society.
[03:07:31.921 --> 03:07:35.243]  Oh, we're all in this together, and so, and so, and so.
[03:07:35.863 --> 03:07:53.111]  And it's all, we're all the same, and the thing, and the glob, and the floating around, and, oh yes, and, and just, you know, be part of a, of the group, and the collective, and, and just, you know, for the sake of utopia that's coming right around the corner.
[03:07:53.931 --> 03:07:59.834]  All of this preposterous crap has been floated now.
[03:08:01.175 --> 03:08:03.897]  Seriously floated now for the last 30 or 40 years.
[03:08:04.258 --> 03:08:05.178]  An achievement.
[03:08:05.719 --> 03:08:06.539]  Where did that go?
[03:08:07.800 --> 03:08:08.401]  Achievement.
[03:08:08.461 --> 03:08:09.762]  The great achievements.
[03:08:11.823 --> 03:08:13.485]  I came of age in New York City.
[03:08:13.505 --> 03:08:16.247]  I used to stand out there at night on rooftops.
[03:08:17.908 --> 03:08:19.970]  Go up to the top of the Empire State Building.
[03:08:20.010 --> 03:08:22.151]  You look out New York City at night.
[03:08:23.933 --> 03:08:27.255]  What an incredible sensation.
[03:08:28.857 --> 03:08:30.318]  That this has been built.
[03:08:31.127 --> 03:08:38.032]  That this all was made, that this all came up out of the ground by human effort.
[03:08:40.213 --> 03:08:42.175]  It wasn't lowered from a spaceship.
[03:08:44.136 --> 03:08:46.978]  Somebody didn't just snap their fingers and it appeared.
[03:08:47.738 --> 03:08:53.642]  It was created and designed and built up to the sky.
[03:08:56.184 --> 03:08:58.566]  It just marches out to the horizon at night.
[03:08:59.102 --> 03:09:05.264]  This fantastic sense of expansion, achievement, taking wing.
[03:09:07.544 --> 03:09:10.225]  And maybe you've seen the old photographs in black and white.
[03:09:11.525 --> 03:09:22.728]  High steel, workers sitting up there on way above the ground, on girders, in the middle of the day, eating their lunch casually.
[03:09:25.108 --> 03:09:25.729]  They built them.
[03:09:26.769 --> 03:09:27.389]  They built them.
[03:09:29.565 --> 03:09:35.327]  And when they came down finally for the end, when it was all done, they looked up there and they said, we built this.
[03:09:35.987 --> 03:09:37.948]  We built this achievement.
[03:09:40.048 --> 03:09:53.432]  And now you have all kinds of globalist front groups, little diabolical creatures scurrying along that want to tear it all down.
[03:09:54.573 --> 03:09:55.793]  Tear it all down.
[03:09:55.993 --> 03:09:57.133]  Get rid of the whole thing.
[03:09:57.454 --> 03:09:58.694]  Let's tear it all down.
[03:09:59.628 --> 03:10:01.129]  Because that'll be righteous.
[03:10:02.230 --> 03:10:03.671]  That will be payback.
[03:10:05.092 --> 03:10:05.513]  For what?
[03:10:06.854 --> 03:10:07.294]  For what?
[03:10:07.314 --> 03:10:10.637]  What are you going to put in its place?
[03:10:12.578 --> 03:10:20.124]  People looking across the land for tubers and roots and living in trees?
[03:10:20.245 --> 03:10:20.925]  Is that what you want?
[03:10:21.926 --> 03:10:24.268]  Is that going to be final social justice?
[03:10:28.208 --> 03:10:31.070]  There are so many fantastic places around the world.
[03:10:33.812 --> 03:10:42.179]  When you see them, and you look at them, and you stand there, and you realize how they have been built by people.
[03:10:44.500 --> 03:10:53.327]  Created, invented, designed, labored over, constructed, fantastic things.
[03:10:54.358 --> 03:11:01.023]  You go to the Frick Museum, a little museum in New York City, and you see two or three magnificent paintings by Vermeer.
[03:11:02.584 --> 03:11:07.967]  You go to the Metropolitan Museum and you look at a few fantastic paintings by Van Eyck.
[03:11:09.008 --> 03:11:11.430]  You begin to get a sense of achievement.
[03:11:12.490 --> 03:11:15.112]  Achievement that takes wing.
[03:11:16.493 --> 03:11:22.377]  That is still at the heart and the root of what the future is all about.
[03:11:23.590 --> 03:11:27.712]  If it's not about that, it's not about anything except destruction.
[03:11:28.092 --> 03:11:29.172]  Tearing it all down.
[03:11:30.013 --> 03:11:35.335]  And of course, that's what the arch-globalists want to do.
[03:11:36.636 --> 03:11:37.816]  That's where they want to go.
[03:11:39.637 --> 03:11:42.899]  Because then they can rebuild it in their image.
[03:11:43.999 --> 03:11:47.701]  That is the image of the machine.
[03:11:49.521 --> 03:11:52.963]  Where the humans are machines.
[03:11:54.051 --> 03:11:55.512]  And the machines are machines.
[03:11:56.112 --> 03:11:59.274]  And everything is run like clockwork, technocratically.
[03:11:59.934 --> 03:12:01.315]  Everything is on schedule.
[03:12:01.375 --> 03:12:02.575]  Everything is on time.
[03:12:02.655 --> 03:12:05.817]  Everything is measured out by small drips and drabs.
[03:12:06.597 --> 03:12:07.798]  People are in slots.
[03:12:09.239 --> 03:12:21.265]  People are units, ciphers, non-entities of no concern, no regard, except as ant colonies of the future.
[03:12:23.718 --> 03:12:26.579]  That is their version of achievement.
[03:12:27.319 --> 03:12:31.020]  And for that, they do not need people.
[03:12:32.760 --> 03:12:33.961]  They do not need people.
[03:12:34.041 --> 03:12:38.342]  And they certainly don't need people to be inspired to want to achieve.
[03:12:39.182 --> 03:12:40.562]  You want to achieve.
[03:12:42.983 --> 03:12:50.505]  If you can't see that or find it, it's covered up and you need to get the dross out of the way and clear
[03:12:51.411 --> 03:13:05.226]  Down to that river of creative energy that is achievement, that is the basis of freedom, the reason for freedom to achieve in this world.
[03:13:10.331 --> 03:13:11.332]  The Erie Canal.
[03:13:12.593 --> 03:13:13.074]  Ever hear of it?
[03:13:15.111 --> 03:13:29.554]  In the early 19th century, New York City, which was the major center of commerce, certainly in the New World, was blocked off from the interior of the country, where there were, you know, endless resources.
[03:13:30.215 --> 03:13:32.155]  There was no possibility of trade.
[03:13:33.115 --> 03:13:43.398]  You had mountains in the way, and you had pack animals, and how were you going to build any kind of market, free market, economy?
[03:13:44.078 --> 03:13:44.718]  Impossible.
[03:13:47.168 --> 03:13:54.493]  But the governor of New York, DeWitt Clinton, an individual who was all about achievement, said, guess what?
[03:13:54.613 --> 03:14:13.285]  We're going to build a 363 mile canal from Albany, New York, connecting to the Great Lakes and thereby into the interior of America so that we can ship goods trade back and forth by water.
[03:14:14.326 --> 03:14:15.967]  People thought he was completely crazy.
[03:14:17.742 --> 03:14:19.943]  Clinton's folly, Clinton's ditch.
[03:14:20.864 --> 03:14:23.586]  This was not with technology of present day.
[03:14:24.266 --> 03:14:33.572]  This was people grabbing the guts of the land and saying, we are going to build with what we have.
[03:14:33.592 --> 03:14:43.958]  363 miles of canal from Albany through mountains, across mountains,
[03:14:45.934 --> 03:14:50.115]  To the Great Lakes and thereby opening up the whole interior of the United States.
[03:14:51.376 --> 03:14:52.436]  Well, you can't do that.
[03:14:52.476 --> 03:14:53.416]  That's ridiculous.
[03:14:53.937 --> 03:14:59.538]  All the little diabolical demons nipped at his heels, you know, because that's all they can do.
[03:14:59.878 --> 03:15:01.519]  They can't do anything themselves.
[03:15:01.579 --> 03:15:02.819]  They can't create anything.
[03:15:02.899 --> 03:15:05.980]  All they can do is gnaw away like little rats.
[03:15:06.600 --> 03:15:09.141]  He paid no attention to that and said, of course, we're going to do it.
[03:15:09.241 --> 03:15:11.362]  And he did it and they did it.
[03:15:11.742 --> 03:15:13.863]  All the people who worked on that did it.
[03:15:13.923 --> 03:15:14.763]  It was completed.
[03:15:16.105 --> 03:15:16.766]  In 1825.
[03:15:18.907 --> 03:15:31.594]  This was the same DeWitt Clinton who said at a time when most of the people living in Manhattan in New York City lived at the bottom.
[03:15:32.995 --> 03:15:35.116]  I'll tell you that story when we come back from the break.
[03:15:35.196 --> 03:15:36.257]  It's quite fantastic.
[03:15:36.377 --> 03:15:37.898]  John Rappaport here for Interworld.
[03:15:50.610 --> 03:16:00.595]  That's how you do it!
[03:16:00.615 --> 03:16:02.356]  That's exactly how you do it?
[03:16:02.656 --> 03:16:08.879]  Yeah, you look for Trump, or America, or any of like 5,000 key words to describe a redneck.
[03:16:08.899 --> 03:16:11.280]  We're trying to get a few people to not show up.
[03:16:11.360 --> 03:16:12.841]  It's a product thing.
[03:16:13.081 --> 03:16:14.862]  The idea of the shadow ban is that
[03:16:15.942 --> 03:16:17.924]  You ban someone, but they don't know they've been banned.
[03:16:18.624 --> 03:16:21.387]  Because they keep posting, but no one sees their content.
[03:16:22.047 --> 03:16:26.531]  So they just think that no one's engaging with their content, when in reality, no one's seeing it.
[03:16:26.571 --> 03:16:32.717]  So is it going to, like, essentially ban certain mindsets and or people who could be negative?
[03:16:32.837 --> 03:16:35.319]  No, it's not going to ban their mindset.
[03:16:35.439 --> 03:16:38.082]  It's going to ban, like, the way of talking.
[03:16:41.023 --> 03:16:49.765]  Undercover Twitter engineers to ban way of talking through shadow banning algorithms to censor opposing political views.
[03:16:49.825 --> 03:16:55.347]  And Drudge has the headline that they admit they are opposing people's views, period.
[03:16:55.427 --> 03:16:59.128]  Just not letting you communicate if you're a Christian, a conservative, a libertarian.
[03:16:59.208 --> 03:17:01.528]  So James O'Keefe, you have done it again, my friend.
[03:17:01.548 --> 03:17:02.429]  Congratulations.
[03:17:02.749 --> 03:17:03.949]  They're at Project Veritas.
[03:17:04.349 --> 03:17:08.691]  Well, Alex, I mean, this is one of the greatest censorship stories in modern times.
[03:17:08.791 --> 03:17:14.134]  I mean, the things these people are saying on this video, I think this is certainly the biggest thing we have ever done.
[03:17:14.154 --> 03:17:16.696]  These are the most powerful people in the world.
[03:17:16.756 --> 03:17:18.737]  There you have it on the screen in front of you.
[03:17:19.317 --> 03:17:20.838]  Our strategy is to shadow ban.
[03:17:20.878 --> 03:17:22.339]  Now, your viewers might know what this is.
[03:17:22.995 --> 03:17:28.159]  But really what they're saying is that when you tweet or Facebook something, you think it's going to your users.
[03:17:28.619 --> 03:17:39.046]  What these companies are doing, and these engineers are on video describing, is how they make you think that your information is going to your users, but the people on the timeline don't see the information.
[03:17:39.066 --> 03:17:40.047]  That's what a shadow ban is.
[03:17:40.087 --> 03:17:43.429]  And they talk about how they specifically targeted, and this is their words, not mine,
[03:17:44.029 --> 03:17:44.570]  Rednecks.
[03:17:45.110 --> 03:17:46.951]  Conservatives who tweet about the flag.
[03:17:47.311 --> 03:17:53.856]  And they create algorithms where if you mention these things that correlate with certain ideas, they ban you.
[03:17:53.936 --> 03:17:56.658]  And they call it S-H-I-T-T-Y people.
[03:17:57.018 --> 03:18:00.220]  This is what the policy executives... These are not low-level employees.
[03:18:00.700 --> 03:18:02.061]  These are executives at Twitter.
[03:18:02.461 --> 03:18:07.665]  Steven Pierre, a Twitter engineer, says we want to, quote, ban a way of talking.
[03:18:08.105 --> 03:18:11.788]  I hope you play some of these clips for your audience, because this is truly extraordinary.
[03:18:11.808 --> 03:18:13.429]  They say they want to downrank
[03:18:15.191 --> 03:18:18.874]  S-H-I-T-T-Y people to not show up.
[03:18:18.934 --> 03:18:20.516]  We're working on that right now.
[03:18:20.576 --> 03:18:33.730]  So they're describing the products and there's Singh, who's on the direct messaging team, talking about how they use algorithms to target Julian Assange, target conservatives, and to ban a way of talking.
[03:18:33.890 --> 03:18:36.353]  Alex, Twitter bills itself as the public square.
[03:18:36.933 --> 03:18:44.139]  And what your audience needs to understand is if they take away our rights to share our ideas on these platforms, where are we going to go?
[03:18:44.279 --> 03:18:46.380]  I mean, most people don't have the power to create their own website.
[03:18:46.420 --> 03:18:56.868]  I know these are private companies, and we may not want the government to intervene, but unless the CEO of Twitter makes their algorithms public so the users know what they're doing, the government didn't have a choice but to intervene.
[03:18:56.988 --> 03:18:59.170]  I mean, this is scary stuff!
[03:18:59.630 --> 03:19:02.312]  And don't take my word for it, they're on tape saying they're
[03:19:02.492 --> 03:19:07.798]  Their whole MO is to, quote, ban a way of talking.
[03:19:08.318 --> 03:19:13.003]  This is the greatest censorship story of modern times.
[03:19:13.063 --> 03:19:16.787]  And unlike the mainstream media, Alex, we don't just anonymously quote sources.
[03:19:17.007 --> 03:19:18.409]  We have these people dead to rights.
[03:19:18.469 --> 03:19:19.109]  How do we do it?
[03:19:19.430 --> 03:19:20.551]  We spend a year
[03:19:21.287 --> 03:19:22.868]  A year undercover.
[03:19:22.949 --> 03:19:24.350]  Now we've got a story on Infowars.com.
[03:19:24.370 --> 03:19:28.813]  I don't know if you know about this, but Twitter has been caught now censoring your exposure.
[03:19:28.853 --> 03:19:29.254]  How is that?
[03:19:29.314 --> 03:19:30.154]  I didn't see that one.
[03:19:30.255 --> 03:19:31.636]  Are they muting me?
[03:19:31.716 --> 03:19:33.257]  Are they shadowbanning my stuff now?
[03:19:33.297 --> 03:19:37.481]  Yes, with O'Keefe's suspension, Twitter confirms authenticity of Project Veritas videos.
[03:19:37.501 --> 03:19:45.327]  Twitter unblocked James O'Keefe account after suffering massive backlash for challenging the Project Veritas founder as his exposing on Twitter political censorship went viral.
[03:19:45.447 --> 03:19:48.328]  This is trending on Twitter, Alex, believe it or not, isn't that ironic?
[03:19:48.828 --> 03:19:57.010]  Shadowban, hashtag shadowban, is trending on Twitter from my, looking at my phone here, and everyone is tweeting at the CEO of Twitter.
[03:19:57.190 --> 03:19:58.070]  This is big stuff!
[03:20:02.871 --> 03:20:05.492]  You're listening to the Alex Jones Show.
[03:20:25.358 --> 03:20:34.842]  John Rappaport here in the fourth hour on InfoWars.
[03:20:35.743 --> 03:20:40.665]  Before I finish that story, I want to tell you about one of the products the InfoWars store.
[03:20:42.006 --> 03:20:49.829]  Alexa Pure Breeze air purifier is now $50 off with free shipping only for a limited time.
[03:20:51.209 --> 03:20:55.870]  Houses are filled with dust, bacteria, allergens, and so forth.
[03:20:56.690 --> 03:21:07.713]  With this purification system, Alexa Pure Breeze, you can remove up to 99.97% of airborne toxins and contaminants.
[03:21:08.513 --> 03:21:09.534]  It's a game changer.
[03:21:10.334 --> 03:21:12.614]  Comparable units cost as much as $800.
[03:21:12.654 --> 03:21:19.496]  We're bringing it to you for a special $50 off with free shipping.
[03:21:20.629 --> 03:21:25.913]  Look into this and know you're contributing to the Infowar.
[03:21:26.814 --> 03:21:38.624]  To get the truth out there about what's happening in our world and what the difference is between a fake future and a real future for all of us.
[03:21:40.025 --> 03:21:42.987]  Products at InfowarsStore.com.
[03:21:43.047 --> 03:21:46.350]  The Alexa Pure Breeze Air Purifier.
[03:21:46.370 --> 03:21:49.052]  $50 off with free shipping for a limited time.
[03:21:52.308 --> 03:22:03.802]  So, I was talking about DeWitt Clinton before the break and how he masterminded and envisioned and pushed forward this fantastic thing called the Erie Canal in 1825.
[03:22:03.882 --> 03:22:06.145]  Well, he did something else in New York.
[03:22:06.745 --> 03:22:10.710]  If you've ever been to Manhattan, you know it's a grid.
[03:22:10.790 --> 03:22:12.312]  It's laid out as a grid.
[03:22:13.032 --> 03:22:17.875]  The avenues go north and south, 1st Avenue, 2nd Avenue, 3rd Avenue, 4th, and so forth.
[03:22:18.476 --> 03:22:20.257]  Some with names, most with numbers.
[03:22:20.757 --> 03:22:29.983]  And the streets across 14th Street, 15th, 16th, 17th, 23rd, etc., etc., all the way up to the top of Manhattan.
[03:22:30.023 --> 03:22:35.807]  Well, in the early days of Manhattan, most people lived at the bottom.
[03:22:37.068 --> 03:22:39.550]  And when you look north, what did you see?
[03:22:41.019 --> 03:22:45.440]  Hills, valleys, forests, and so on and so forth.
[03:22:46.941 --> 03:22:49.922]  How would you build a city there?
[03:22:50.522 --> 03:22:54.123]  A metropolitan city such as New York became.
[03:22:56.404 --> 03:23:00.245]  DeWitt Clinton said, this is what we're going to do.
[03:23:01.205 --> 03:23:10.588]  We're going to take the area, the uninhabited area north of where people are living, and we're going to flatten it.
[03:23:12.239 --> 03:23:12.539]  What?
