[00:00:23.547 --> 00:00:24.727]  From the front lines.
[03:07:23.941 --> 03:07:27.725]  And then you've got Giuliani saying, we're not worried, they're not going to flip him.
[03:07:28.845 --> 03:07:31.388]  And then Rogers saying, there's nothing to flip on.
[03:07:32.341 --> 03:07:36.622]  So, again, Roger and I talked about this months ago, we talked about this weekend, we knew it was coming.
[03:07:37.163 --> 03:07:38.143]  Total vindication.
[03:07:38.783 --> 03:07:56.109]  They've got a magnifying glass, you know, aimed up every orifice here, over every molecule of his body, as he said, and I didn't even want to cut into the time that Roger has, but I wanted to have Owen ride shotgun too, for any of his side comments or takes on this, but as
[03:07:56.869 --> 03:07:58.651]  The wheels come off of this, Roger.
[03:07:59.451 --> 03:08:08.659]  It looks like you're the last gasp hope they've got and are almost telegraphing to you in the media that you just need to roll over or something really bad's gonna happen.
[03:08:08.699 --> 03:08:10.180]  So hang in there, buddy.
[03:08:10.240 --> 03:08:12.262]  This is like way beyond any movie I've ever seen.
[03:08:13.393 --> 03:08:14.894]  No, Alex, you're absolutely right.
[03:08:15.054 --> 03:08:39.415]  Having come up completely empty-handed in terms of any involvement in Russian collusion on my part, having come up empty-handed on the claim that I was trafficking in allegedly hacked emails with WikiLeaks, they now clearly hope to conjure up some extraneous offense in an effort to not only silence me, but to punish me for my advocacy of the election of Donald Trump.
[03:08:40.075 --> 03:08:59.288]  I mean, it's really disconcerting to have a runaway federal prosecutor aggressively scrutinizing, picking and probing through every aspect of your personal and professional life, deploying platoons of federal agents to conduct this microscopic, fine-toothed review of my personal life.
[03:08:59.908 --> 03:09:17.005]  Badgering at least eight of my current or former colleagues, asking questions about my private life, my business associations, my friendship and association with you, with InfoWars, just all over the map, none of it having to do with Russian collusion or the 2016 election.
[03:09:18.066 --> 03:09:21.810]  It is clear that Mr. Mueller plans to target me.
[03:09:22.450 --> 03:09:31.172]  And, of course, MSNBC and CNN, they're just giddy with these reports that my criminal indictment is imminent, even though there is no proof of that.
[03:09:32.072 --> 03:09:38.974]  And they refuse to mention, oh, by the way, this has nothing to do with Russia or WikiLeaks or John Podesta's email, and so on.
[03:09:39.354 --> 03:09:40.754]  It is really frightening.
[03:09:40.854 --> 03:09:42.974]  It's Big Brother writ large.
[03:09:43.094 --> 03:09:45.235]  It's the deep state gone amok.
[03:09:47.074 --> 03:09:49.336]  And they're obviously on their last legs.
[03:09:49.396 --> 03:09:58.344]  Even mainstream media has to admit that Trump is winning, the economy's coming back, that they've been covering up, they've been lying, Congress is honing in on them.
[03:09:59.440 --> 03:10:01.482]  Is there any way they can pull a rabbit out of their hat?
[03:10:01.642 --> 03:10:19.741]  Because when I told you last weekend, I mean I said it on air, Mueller's specialty, and I sent you a news article showing this, is when they've botched investigations, when they've been caught, when they're desperate, when they're covering up, they bring in Mueller, they set somebody up, they say they're to blame, and they kill them within one day of saying they're the person that did it.
[03:10:20.402 --> 03:10:23.265]  And I'm serious, you've already been shot in your backyard.
[03:10:23.305 --> 03:10:25.748]  People make jokes about it all, like, what is this, a James Bond movie?
[03:10:25.768 --> 03:10:32.055]  Yeah, you're at the center of the total fight for the country in a Russiagate spy operation.
[03:10:32.816 --> 03:10:33.697]  They shoot you with a...
[03:10:35.339 --> 03:10:40.745]  You know, radioactive polonium dart, which again are gelatin, so they dissolve.
[03:10:41.125 --> 03:10:43.828]  It doesn't go all the way into your body because it goes into your shirt.
[03:10:44.228 --> 03:10:47.211]  You know, you said what your nephew was out there when this happened.
[03:10:47.331 --> 03:10:47.552]  BAM!
[03:10:47.572 --> 03:10:48.192]  They're like, what is that?
[03:10:48.212 --> 03:10:48.713]  You're bleeding.
[03:10:49.173 --> 03:10:50.214]  And then you got tested.
[03:10:50.274 --> 03:10:53.498]  The feds asked you not to release it in the hospital, but I think you should.
[03:10:53.518 --> 03:10:55.440]  I know the feds came and threatened the hospital.
[03:10:55.480 --> 03:10:56.261]  You should release that.
[03:10:56.301 --> 03:10:57.242]  I know you got T-boned.
[03:10:58.163 --> 03:10:59.224]  Uh, and this is what they do.
[03:10:59.344 --> 03:11:08.738]  Mueller kills who he's going... I know your wife didn't like hearing that, and I'm... I don't want to say it's my fault she's been in the hospital, but you did say she got pretty freaked out when she heard the show.
[03:11:08.998 --> 03:11:10.140]  She knows I don't lie about stuff.
[03:11:10.360 --> 03:11:13.584]  But I think it's for your safety we say that Mueller is a murderer.
[03:11:14.045 --> 03:11:15.006]  Mueller is a criminal.
[03:11:15.026 --> 03:11:16.046]  He covered up 9-11.
[03:11:16.547 --> 03:11:20.850]  They clearly, from the evidence of my sources, killed the third Patsy in the anthrax case.
[03:11:21.510 --> 03:11:23.171]  They have a long history of this crap.
[03:11:23.571 --> 03:11:29.655]  And so I'm saying by exposing that, you were the one that said they were trying to kill you so they could then set you up a year ago.
[03:11:29.736 --> 03:11:30.896]  You know this yourself.
[03:11:31.197 --> 03:11:33.178]  So I'm only saying what you already know, Roger.
[03:11:34.499 --> 03:11:41.063]  Well, Alex, first of all, I think we all recognize an unbridled federal prosecutor can literally indict a ham sandwich.
[03:11:41.263 --> 03:11:43.625]  But I have no interest in being Mr. Mueller's lunch.
[03:11:44.680 --> 03:11:52.550]  Secondarily, if anything does happen to me, I will be a martyr for the cause, and you can talk about it extensively here at InfoWars.
[03:11:53.051 --> 03:11:55.394]  I have no intention of ruling on this president.
[03:11:55.894 --> 03:12:00.260]  I have no negative information with which I could damage him.
[03:12:00.880 --> 03:12:00.980]  Yes.
[03:12:17.256 --> 03:12:18.017]  We're good to go.
[03:12:37.695 --> 03:12:56.709]  Very soon we will be unveiling the Infowars Legal Defense Fund because you're facing the same kind of BS lawsuits, harassment lawsuits that are being used to malign you, to smear you, to drive you into bankruptcy because they're expensive even though they're harassment-oriented and frivolous.
[03:12:56.869 --> 03:12:58.691]  And we're just not going to stand for it.
[03:12:58.791 --> 03:13:00.332]  We are going to fight.
[03:13:00.532 --> 03:13:04.957]  Well, I've talked to the lawyers and the experts, and they totally agree these are all lawfare deals.
[03:13:05.418 --> 03:13:08.421]  But with enough of them, it can start to have the desired effect.
[03:13:08.441 --> 03:13:09.382]  That's what listeners have to understand.
[03:13:09.823 --> 03:13:10.964]  We're not just saying this.
[03:13:11.004 --> 03:13:12.706]  We're up against the Clinton crime network.
[03:13:12.986 --> 03:13:14.168]  People asked us to fight them.
[03:13:14.288 --> 03:13:14.828]  I fought them.
[03:13:15.609 --> 03:13:22.611]  I'm not complaining, I'm not bitching, but if you want your champions to continue on, they need to see millions and millions.
[03:13:22.931 --> 03:13:24.712]  Millions of dollars weren't what they used to be, okay?
[03:13:25.072 --> 03:13:32.934]  Satellites, crew, people, legal, law... There's more than 12 active lawsuits against us right now.
[03:13:32.974 --> 03:13:34.115]  As fast as we knock them down...
[03:13:34.975 --> 03:13:35.876]  They put new ones in.
[03:13:36.276 --> 03:13:39.539]  But by the grace of God, Weinstein's going to jail.
[03:13:40.100 --> 03:13:44.043]  He's part of the larger network of pedophiles, we know, through the Alita Express.
[03:13:44.784 --> 03:13:46.345]  This is going to bring them all down.
[03:13:46.406 --> 03:13:50.129]  It's why they're fighting for their lives, because it's a death battle, Roger.
[03:13:50.369 --> 03:13:55.514]  So yes, we need to have a big focus fundraiser next week, because I've learned, if I just kind of ask here or ask there, it doesn't do anything.
[03:13:55.774 --> 03:14:03.780]  We'd have a big beat the drum, lay it out, expose it, extravaganza, so get your butt to Texas as soon as you can to launch this thing next Thursday.
[03:14:03.800 --> 03:14:05.621]  We're doing a 34-hour broadcast.
[03:14:05.661 --> 03:14:08.683]  If none of your wife's from the hospital, we'll do it remote, my friend.
[03:14:08.943 --> 03:14:09.924]  Owen Schroer, your comments.
[03:14:10.882 --> 03:14:22.073]  Well, and I think that if they saw the audience support us even more in the face of these lawsuits, they'd be less inclined to actually go with them because it's all measurements with them.
[03:14:22.113 --> 03:14:25.356]  It's all measuring how they can bring you down or get in your head or whatever.
[03:14:25.576 --> 03:14:26.197]  It's like Caputo.
[03:14:26.217 --> 03:14:27.538]  He was going to have to sell his house.
[03:14:27.939 --> 03:14:29.420]  As soon as he got the support, they kind of backed off.
[03:14:29.540 --> 03:14:29.940]  Exactly.
[03:14:30.201 --> 03:14:48.718]  So if they saw that all of a sudden in the face of these lawsuits that InfoWars just got massive amounts of, you know, purchases at InfoWarsStore.com, you know, record purchases at InfoWarsStore.com as they continued about these lawsuits, I think that that might back them off because now they're realizing that, uh-oh, we're actually making InfoWars bigger by attacking them like this.
[03:14:48.758 --> 03:14:50.019]  The Streisand effect is real.
[03:14:50.259 --> 03:14:50.639]  Exactly.
[03:14:50.699 --> 03:14:53.521]  Imagine if you had a chance to go back and be in the second American Revolution.
[03:14:53.801 --> 03:14:54.441]  This is it.
[03:14:54.601 --> 03:14:55.402]  We're delivering.
[03:14:55.702 --> 03:14:56.262]  It's happening.
[03:14:56.302 --> 03:14:57.163]  The enemy knows.
[03:14:57.663 --> 03:14:58.844]  And they're trying to destroy us.
[03:14:58.904 --> 03:15:00.445]  So, InfoWarStore.com.
[03:15:00.465 --> 03:15:02.826]  Get Roger Stone's new book there, Stone's Rules.
[03:15:02.866 --> 03:15:04.147]  Get Brain Force, 50% off.
[03:15:04.487 --> 03:15:06.108]  Free shipping on all those items.
[03:15:06.228 --> 03:15:08.049]  InfoWarStore.com.
[03:15:08.709 --> 03:15:11.891]  Roger, you're going to be back on the War Room on Tuesday.
[03:15:12.291 --> 03:15:14.833]  I'll be live hosting on Sunday.
[03:15:14.853 --> 03:15:16.734]  You'll be back next week as well.
[03:15:17.054 --> 03:15:18.855]  Thank you so much, Roger, and Godspeed.
[03:15:19.488 --> 03:15:22.410]  Well, people ask me how I feel and whether I'm concerned.
[03:15:22.891 --> 03:15:26.294]  I've seen this attack on you and smearing you on the Sandy Hook matter.
[03:15:26.754 --> 03:15:29.076]  That really, really aggravates me.
[03:15:29.136 --> 03:15:32.459]  We're in this together and we're not going to stop fighting.
[03:15:32.519 --> 03:15:33.880]  We will not be silenced.
[03:15:34.160 --> 03:15:37.523]  We will not be kneecapped.
[03:15:37.803 --> 03:15:38.664]  We're ready to fight.
[03:15:38.744 --> 03:15:42.427]  But we can't do it without the help of the InfoWars audience.
[03:15:43.103 --> 03:15:45.105]  I mean, they're like the blood in our arteries.
[03:15:45.125 --> 03:15:49.688]  When they give, when they spread the word, they overpower the censors, they financially defeat the enemy.
[03:15:50.008 --> 03:15:51.129]  We are our listeners.
[03:15:51.329 --> 03:15:52.270]  We are our supporters.
[03:15:52.290 --> 03:15:55.292]  So, yes, take advantage of the record sales at InfoWarsTore.com.
[03:15:55.592 --> 03:16:01.417]  All right, Owen, get ready, because you're going to be hosting the special Veterans War Room with Sawman coming up.
[03:16:01.437 --> 03:16:02.177]  But first, Joel Gilmore.
[03:16:02.517 --> 03:16:04.699]  This stuff's made in New York City!
[03:16:05.420 --> 03:16:06.721]  New York City!
[03:16:07.455 --> 03:16:07.935]  Get a rope.
[03:16:08.115 --> 03:16:09.156]  I'm gonna have to ask you to leave.
[03:16:09.236 --> 03:16:09.937]  You're hurting my elbow.
[03:16:10.057 --> 03:16:11.578]  I'm Larry Carroll in Los Angeles.
[03:16:11.618 --> 03:16:16.981]  The Los Angeles County District Attorney has just filed murder charges against Orenthal James O.J.
[03:16:17.021 --> 03:16:22.225]  Simpson in the murders of his ex-wife, Nicole Brown Simpson, and 25-year-old Ronald Coleman.
[03:16:22.325 --> 03:16:23.926]  Football Hall of Famer O.J.
[03:16:23.986 --> 03:16:27.508]  Simpson is questioned in the murders of his ex-wife and a male companion.
[03:16:27.568 --> 03:16:31.249]  Let's return to Tom Brokaw for a report on the still-developing O.J.
[03:16:31.269 --> 03:16:31.890]  Simpson story.
[03:16:31.910 --> 03:16:33.950]  And here's Tom at our Manhattan studios.
[03:16:33.990 --> 03:16:34.210]  Tom?
[03:16:34.851 --> 03:16:42.013]  Bob, we are witnessing tonight a modern tragedy and drama of Shakespearean proportion being played out live on television.
[03:16:42.073 --> 03:16:43.674]  Police believe that O.J.
[03:16:43.694 --> 03:16:44.774]  Simpson is in that car.
[03:16:44.794 --> 03:16:46.054]  He appears to be at this time O.J.
[03:16:46.074 --> 03:16:46.495]  Simpson.
[03:16:46.515 --> 03:16:47.735]  He's in the back of the vehicle.
[03:16:47.755 --> 03:16:50.596]  He has a gun to his head and he says he will hurt himself.
[03:16:50.616 --> 03:16:53.117]  He is demanding to be taken to his mother.
[03:16:53.157 --> 03:16:53.857]  O.J., you there?
[03:16:54.497 --> 03:16:56.058]  Oh, uh...
[03:16:56.838 --> 03:16:57.718]  And nobody's gonna get hurt.
[03:16:57.778 --> 03:16:59.459]  I've already said goodbye to my kids.
[03:16:59.799 --> 03:17:00.519]  You can't take this.
[03:17:00.699 --> 03:17:01.500]  Oh yes you can.
[03:17:01.760 --> 03:17:02.540]  Yes you can.
[03:17:02.960 --> 03:17:10.222]  Lots of people at the overpass, at Sunset.
[03:17:10.242 --> 03:17:11.002]  Get rid of the gun.
[03:17:11.022 --> 03:17:11.683]  I'm gonna leave.
[03:17:11.703 --> 03:17:12.623]  I'm just gonna do it.
[03:17:12.643 --> 03:17:13.903]  I'm just gonna call it.
[03:17:13.943 --> 03:17:14.864]  That's all I'm gonna do.
[03:17:14.904 --> 03:17:16.004]  That's all I'm gonna do.
[03:17:16.044 --> 03:17:20.945]  There's a crowd of people who are on the bridge here watching as he approaches the Sunset Boulevard.
[03:17:21.005 --> 03:17:22.786]  All right, everything's clear.
[03:17:22.886 --> 03:17:25.887]  And now making his left turn westbound on Sunset Boulevard.
[03:17:26.247 --> 03:17:27.588]  He must have gone right by you, Aaron.
[03:17:27.628 --> 03:17:28.388]  Well, he hasn't.
[03:17:28.428 --> 03:17:29.429]  We're staying ahead of him.
[03:17:29.469 --> 03:17:35.993]  We're going to his mansion, believing that he's going there, but it was an amazing situation on that overpass there.
[03:17:36.033 --> 03:17:38.194]  There were people running around on top of there.
[03:17:38.634 --> 03:17:41.196]  I don't know how he's going to be able to drive through all those people.
[03:17:41.316 --> 03:17:43.797]  Okay, he's getting off at Sunset Blvd.
[03:17:43.977 --> 03:17:46.319]  off the 405.
[03:17:46.399 --> 03:17:48.240]  Hello, Jay?
[03:17:49.440 --> 03:17:51.962]  Mr. Simpson, would you please stand and face the jury?
[03:17:54.082 --> 03:18:09.101]  We, the jury, in the above entitled action, find the defendant, Orenthal James Simpson, not guilty of the crime of murder in violation of penal code section 187A, a felony upon Nicole Brown Simpson, a human being, as charged in Part 1 of the information.
[03:18:25.276 --> 03:18:39.484]  We, the jury, in the above-entitled action, find the defendant, Orenthal James Simpson, not guilty of the crime of murder in violation of Penal Code Section 187A, a felony upon Ronald Lyle Goldman, a human being, as charged in Count 2 of the information.
[03:19:11.232 --> 03:19:13.773]  To maintain a certain image.
[03:19:13.933 --> 03:19:18.835]  Nicole didn't come out.
[03:19:19.055 --> 03:19:23.657]  And we started having words about who is this guy, why is he here, what's going on.
[03:19:23.778 --> 03:19:26.519]  And she says, this is my house, get the F out of here.
[03:19:26.859 --> 03:19:31.581]  As things got heated, I just remember Nicole fell and hurt herself.
[03:19:31.621 --> 03:19:33.762]  This guy kind of got into a karate thing.
[03:19:33.902 --> 03:19:35.583]  And I said, well, you think you can kick my ass?
[03:19:35.663 --> 03:19:36.803]  And I remember I grabbed a knife.
[03:19:37.003 --> 03:19:37.984]  And to be honest,
[03:19:39.239 --> 03:19:44.103]  After that I don't remember, except I'm standing there and there's all kind of blood and stuff around.
[03:19:44.583 --> 03:20:00.636]  If you are receiving this transmission, you are in the Resistance.
[03:20:06.158 --> 03:20:09.020]  You're listening to The Alex Jones Show.
[03:20:10.221 --> 03:20:16.044]  The answer to 1984 is 1776.
[03:20:16.124 --> 03:20:20.567]  You're listening to The Alex Jones Show.
[03:20:36.027 --> 03:20:38.390]  Welcome back to the Alex Jones Show.
[03:20:38.950 --> 03:20:42.194]  I'm Joel Gilbert coming to you from the left coast.
[03:20:42.294 --> 03:20:46.198]  Don't forget to check out my new film in the Alex Jones Store.
[03:20:47.480 --> 03:20:48.321]  Art of the Insult.
[03:20:48.361 --> 03:20:49.422]  Trump the Art of the Insult.
[03:20:50.325 --> 03:20:52.627]  We're going to be taking calls later today.
[03:20:52.667 --> 03:20:53.808]  You might want to start dialing.
[03:20:53.868 --> 03:20:59.412]  It's going to be a very famous guest, Hollywood icon, writer and director Lionel Chet.
[03:20:59.432 --> 03:21:06.658]  When coming up in a few minutes, we're going to talk about Harvey Weinstein and the liberal bias in Hollywood, what it's all about.
[03:21:07.518 --> 03:21:14.884]  From the iconic director who's been telling stories of freedom and the American way for many, many years, right in the heart of liberal Hollywood.
[03:21:15.645 --> 03:21:17.166]  The phone number is going to be 1-877-789-8111.
[03:21:21.752 --> 03:21:24.795]  2539, that's 1-877-789-ALEX.
[03:21:25.596 --> 03:21:31.020]  Now before we bring up Lionel Chetwynd, I want to talk about what is now known as Spygate.
[03:21:31.260 --> 03:21:50.156]  All this time, we find out, after all this time, that the Department of Justice, the FBI, CIA, orchestrated an effort to steal the election for Obama's party, the Radical Socialist Democrats, and keep Hillary in office so that Obama's fundamental transformation of America could be complete.
[03:21:51.050 --> 03:21:54.951]  Now what people are not talking about is that Spygate is nothing new.
[03:21:55.791 --> 03:21:58.132]  People forget that Obama did it back in 2012.
[03:21:59.132 --> 03:22:03.393]  He stole the election using government agencies, using the IRS.
[03:22:04.013 --> 03:22:10.934]  Let's take a quick look at the video of Obama talking about IRS interference and let's see if we can see if he's lying.
[03:22:10.974 --> 03:22:11.534]  Let's take a look.
[03:22:15.468 --> 03:22:28.193]  If IRS personnel engaged in the kind of practices that have been reported on and were intentionally targeting conservative groups, then that's outrageous.
[03:22:28.673 --> 03:22:31.174]  They have to be held fully accountable.
[03:22:31.315 --> 03:22:37.317]  You don't want the IRS ever being perceived
[03:22:38.081 --> 03:22:42.064]  To be biased and anything less than neutral in terms of how they operate.
[03:22:42.565 --> 03:22:47.589]  I will not tolerate it and we will make sure that we find out exactly what happened on this.
[03:22:49.330 --> 03:22:52.853]  Okay, so gee, do you think maybe Obama is lying through his teeth and he knew about it?
[03:22:52.953 --> 03:22:57.256]  The IRS, head of the IRS visited the White House 500 times.
[03:22:57.777 --> 03:23:00.139]  Lois Lerner pleads the fifth.
[03:23:00.959 --> 03:23:02.661]  So this has been going on for years.
[03:23:03.541 --> 03:23:06.504]  And this is the way that Obama operated his police state.
[03:23:07.230 --> 03:23:18.974]  It wasn't that five guys at the FBI and my old high school friend Bruce Orr, that I went to high school with, they didn't wake up and say, hey, let's commit a bunch of felonies and treason and we'll try to get Hillary elected.
[03:23:19.554 --> 03:23:21.855]  This was years of police state activity.
[03:23:22.275 --> 03:23:24.015]  It was a natural thing for Obama.
[03:23:24.535 --> 03:23:34.479]  Fast and Furious, spying on the Associated Press, spying on Fox News' James Rosen, John Brennan, the CIA, spying on the Senate Committee, Intelligence Committee.
[03:23:36.590 --> 03:23:44.296]  People remember that, look, after two years of Obama, from 2008 to 2010, the public knew they'd been had.
[03:23:44.436 --> 03:23:46.318]  This guy was not who he says he was.
[03:23:46.958 --> 03:23:49.881]  His agenda was not what he said it would be.
[03:23:50.041 --> 03:23:51.822]  He was not going to cut the deficit in half.
[03:23:52.363 --> 03:23:55.826]  It was not the most transparent government in history.
[03:23:56.386 --> 03:23:58.748]  They could see he was pro-Russia, pro-Iranian,
[03:24:01.255 --> 03:24:02.515]  Uh, Muslim extremist groups.
[03:24:03.155 --> 03:24:05.376]  So the Tea Party movement arose across the country.
[03:24:05.396 --> 03:24:12.737]  They swept the Democrats out of power in 2010, and they were poised to easily remove Obama in 2012 to get rid of him.
[03:24:13.477 --> 03:24:15.298]  The public knew he had lied about everything.
[03:24:16.238 --> 03:24:18.758]  Uh, so Obama used the police state.
[03:24:18.838 --> 03:24:21.879]  He used the IRS to crush the conservative Tea Party movement.
[03:24:22.599 --> 03:24:26.740]  They couldn't organize for the 2012 election while the left was allowed to organize.
[03:24:27.060 --> 03:24:28.620]  And that's all we actually even know about.
[03:24:29.637 --> 03:24:32.958]  So, by comparison, let me tell you what a police state is.
[03:24:33.458 --> 03:24:36.299]  I experienced it when I visited Russia in 1983.
[03:24:36.619 --> 03:24:38.259]  This was the height of the Cold War.
[03:24:38.899 --> 03:24:43.080]  Andropov was the former head of the KGB, was president of the Soviet Union.
[03:24:43.860 --> 03:24:47.901]  And I went on a tour of Russia, and I also visited families who were trying to leave Russia.
[03:24:48.742 --> 03:24:53.903]  And the first thing you notice when you get into Soviet Communist Russia is it's like backwards world.
[03:24:53.923 --> 03:24:54.743]  There's no food.
[03:24:55.443 --> 03:24:57.264]  Even if you have money, there's nothing to buy.
[03:24:57.324 --> 03:24:58.284]  The stores are empty.
[03:24:59.167 --> 03:25:06.574]  There's only one model of a car with four different colors, and it's like a horror movie from 1984, you know, Orwell.
[03:25:07.455 --> 03:25:08.596]  And everything is opposite.
[03:25:08.636 --> 03:25:11.358]  The Russian media says everything the opposite of the truth.
[03:25:11.438 --> 03:25:12.419]  Communism is great.
[03:25:12.820 --> 03:25:13.981]  Free markets are bad.
[03:25:14.601 --> 03:25:15.862]  America is oppressive.
[03:25:16.503 --> 03:25:18.024]  Americans are starving to death.
[03:25:19.025 --> 03:25:22.849]  So the Russian media and the communist officials, all they did was lie.
[03:25:23.556 --> 03:25:30.821]  Now, this kind of reminds you of the mainstream media today, Adam Schiff, Chuck Schumer, when they move their lips, they're lying.
[03:25:31.621 --> 03:25:32.782]  Now, what happened to me in Russia?
[03:25:32.882 --> 03:25:38.306]  When I arrived at the airport, I got held for 12 hours and questioned all night long because I was an American.
[03:25:39.267 --> 03:25:46.752]  I was followed around by, I don't know who, militia, as I walked around Moscow and Leningrad, as I visited different families.
[03:25:47.052 --> 03:25:53.256]  When I took a taxi, two guys followed in a red car, and I was visiting someone who was arrested.
[03:25:53.979 --> 03:25:55.260]  Now, this was the police state.
[03:25:56.380 --> 03:25:57.380]  Now, what happened to me in 2012?
[03:25:58.541 --> 03:25:59.621]  Can you believe it's America?
[03:25:59.661 --> 03:26:00.942]  I flew into Washington, D.C.
[03:26:00.962 --> 03:26:05.123]  for CPAC, and I was told not to get off the plane by the co-pilot.
[03:26:05.643 --> 03:26:07.984]  Four police officers come and escort me off the plane.
[03:26:08.004 --> 03:26:12.726]  They ask me about my films that I've produced, and I kind of just laughed, and they eventually let me go.
[03:26:12.746 --> 03:26:22.510]  The next time I'm in D.C., the Capitol Police follow me when I leave my hotel, the car, and pull me over, check my ID, and let me go.
[03:26:23.365 --> 03:26:27.887]  The IRS opens a five-year-old tax returns and denies all my business expenses.
[03:26:28.768 --> 03:26:32.010]  A leftist reporter working for George Soros hacks my bank account.
[03:26:32.750 --> 03:26:46.237]  So, people that have been opposing Obama and revealing the truth, Dinesh D'Souza, others, we've experienced the police state not too much different from my 1983 visit to the Soviet Union.
[03:26:48.246 --> 03:26:56.233]  Does anybody really believe that if Hillary had been elected, 10,000 votes in a couple of swing states, that there would ever be another free election?
[03:26:57.474 --> 03:27:00.476]  Now, in a police state, if you go along with the program, you don't have a problem.
[03:27:00.516 --> 03:27:01.056]  No problem.
[03:27:01.717 --> 03:27:13.206]  But if you oppose socialism, if you say this isn't working out, the economy is crashing, all the inner cities are getting worse, if you point out their hypocrisy, the police state comes after you.
[03:27:14.107 --> 03:27:17.550]  So we're seeing the last vestiges of the police state.
[03:27:18.594 --> 03:27:30.799]  Obama did everything he could to stay in power in 2012, and he used the entire tools of state, FBI, DOJ, and they're still not finished with it with this special counsel.
[03:27:32.019 --> 03:27:37.401]  And their goal is to restore the Democrat police state, because Democrat and liberal policies don't work.
[03:27:37.661 --> 03:27:39.902]  Socialism does not work.
[03:27:39.982 --> 03:27:42.203]  The only way they can maintain power in history
[03:27:42.919 --> 03:27:52.347]  Is to use force, whether it's the government agencies, the gulag, the actual police to haul you off of airplanes.
[03:27:53.168 --> 03:28:04.377]  And I don't know that anyone completely understands, and everyone should understand, how close the United States as a republic, as a constitutional government, came to coming to a permanent end.
[03:28:04.857 --> 03:28:10.642]  And that's why myself, Infowars Alex Jones, people like Jerome Corsi, of course Roger Stone,
[03:28:11.616 --> 03:28:12.176]  So many others.
[03:28:12.216 --> 03:28:19.339]  We fought so hard to bring information to the public and show what the Obama police state was really all about.
[03:28:20.060 --> 03:28:38.067]  My film, Dreams of My Real Father, I demonstrated that Obama's real father was a Soviet agent and that Obama was radicalized into this Marxist worldview that held that Americans are deplorable and they must be controlled and guided toward socialism.
[03:28:38.968 --> 03:28:39.368]  Coming up,
[03:28:40.100 --> 03:28:51.077]  Iconic Hollywood director and writer Lionel Chetwin is going to reveal what's really been going on in Hollywood and how the bias in Hollywood is affecting free speech.
[03:28:51.698 --> 03:28:53.782]  Coming up right after the break with Lionel Chetwin.
[03:29:02.247 --> 03:29:04.008]  Fueling your body is hard work.
[03:29:04.588 --> 03:29:09.751]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[03:29:10.351 --> 03:29:18.415]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[03:29:18.795 --> 03:29:20.996]  There's no better way to power your body.
[03:29:21.536 --> 03:29:28.082]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[03:29:28.443 --> 03:29:38.973]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[03:29:39.593 --> 03:29:46.520]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[03:29:47.020 --> 03:29:52.643]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[03:29:53.183 --> 03:29:56.784]  Don't miss out on the chance to fuel your body and support recovery.
[03:29:57.024 --> 03:30:00.246]  Try the InfoWars Life Daily Digestive Pack today!
[03:30:01.827 --> 03:30:06.288]  Alpha Power, vital male androgen biosynthesis promoter.
[03:30:06.389 --> 03:30:14.392]  Now I've got page after page after page of the science, of the research, and the facts on the ingredients in Alpha Power.
[03:30:14.772 --> 03:30:16.373]  But here's what you want to know.
[03:30:17.363 --> 03:30:23.306]  You want to go to mfulmorestore.com and read the hundreds and hundreds of five-star third-party reviews on this product.
[03:30:23.986 --> 03:30:27.528]  And also remember that when it came out four months ago, it sold out in three weeks.
[03:30:28.408 --> 03:30:36.412]  Because people that know about these type of products looked at the ingredients list and looked at the potency list and people went crazy.
[03:30:36.992 --> 03:30:44.656]  We set out to look at the already best-selling brands out there and make it even better, even stronger, and basically souped up.
[03:30:45.456 --> 03:30:49.226]  It's got the best of ancient science with the latest developments as well.
[03:30:49.787 --> 03:30:50.609]  It's Alpha Power.
[03:30:50.649 --> 03:30:53.757]  And quite frankly, I don't even really need to take Alpha Power.
[03:30:54.828 --> 03:31:09.696]  If I take Alpha Power, which I do occasionally, if I feel down or don't feel like I have a lot of energy, it makes me have incredible stamina, amazing libido, and also I already have, not really anger issues, but I'm a little bit aggressive sometimes.
[03:31:10.116 --> 03:31:15.479]  And so Alpha Power is so strong that I personally don't take it a lot.
[03:31:15.779 --> 03:31:17.320]  I'm not going to sit here and tell you.
[03:31:17.620 --> 03:31:18.961]  Oh man, it's really great, it really works.
[03:31:18.981 --> 03:31:23.565]  I'm going to tell you, be careful with Alpha Power because I said I want to dominate the industry.
[03:31:24.105 --> 03:31:28.428]  I want people to know that we put the most money into this of any other product out there.
[03:31:28.448 --> 03:31:29.769]  I'm going to explain this because this is critical.
[03:31:30.610 --> 03:31:36.814]  The average supplement, you can look this up online, there's industry publications, Wall Street Journal, has a 5 to 7 times markup.
[03:31:37.215 --> 03:31:39.276]  That's a 500 to 700 percent markup.
